Lionel Messi,利昂内尔·梅西
Claudio Marchisio,克劳迪奥·马尔基西奥
Dario Marianelli,達利歐·馬里安利
Charles Ponzi,查尔斯·庞兹
Ugo Frigerio,乌戈·弗里杰里奥
Giuseppe Sculli,朱塞佩·斯庫利
Fausto Cercignani,福斯托·切尔奇恩亚尼
Sergio Pellissier,塞爾吉奧·佩利西耶
Gianni Amelio,吉安尼·阿梅利奥
Bruno Zevi,布鲁诺·赛维
Antonio Stradivari,安东尼奥·斯特拉迪瓦里
Agostino Casaroli,阿戈斯蒂諾·卡薩羅利
Gianluca Zambrotta,詹卢卡·赞布罗塔
Giorgio Chinaglia,乔治·基纳利亚
Alberto Gilardino,阿尔贝托·吉拉迪诺
Elsa Martinelli,埃尔莎·马丁内利
Joe D'Amato,喬·達馬托
Roberto Regazzi,羅柏托·雷戈奇
Vittorio Storaro,维托里奥·斯托拉罗
Arnaldo Benfenati,阿纳尔多·本费纳蒂
Marcello Pera,马尔切洛·佩拉
Nello Santi,内洛·桑蒂
Rita Levi-Montalcini,丽塔·列维-蒙塔尔奇尼
Ivano Bordon,伊瓦诺·博尔东
Fabio Capello,法比奥·卡佩罗
Flavio Cipolla,弗拉維奧·奇波拉
Marco Materazzi,马尔科·马特拉齐
Sergio Ferrara,塞尔焦·费拉拉
Adolfo Baloncieri,阿道夫·巴隆切里
Adolfo Celi,阿道夫·切利
Chiara Cainero,基娅拉·卡伊内罗
Elio Vittorini,埃利奧·維托里尼
Salvatore Aronica,薩爾瓦托雷·阿羅尼卡
Juan Martín Maldacena,胡安·马尔达西那
Pierfranco Vianelli,皮耶尔弗兰科·维亚内利
Luca Toni,卢卡·托尼
Adolfo Consolini,阿道夫·孔索利尼
Riccardo Giacconi,里卡尔多·贾科尼
Alberto Cova,阿尔贝托·科瓦
Carlo Rubbia,卡洛·鲁比亚
Adone Zoli,阿多内·佐利
Fulvio Collovati,富尔维奥·科洛瓦蒂
Paolo Negro,保罗·内格罗
Alfredo Foni,阿尔弗雷多·福尼
Sani Bečirovič,萨尼·贝契罗维奇
Guglielmo Stendardo,古列爾莫·斯滕達爾多
Francesco Moser,弗朗西斯科·莫斯
Mariacarla Boscono,瑪莉亞卡拉·波高諾
Paolo Giordano (scrittore),保羅·裘唐諾
Joe Manganiello,喬·曼根尼羅
Claudia Gerini,克勞蒂亞·潔里尼
Francesca Schiavone,弗蘭切斯卡·斯基亞沃內
Johnny Torrio,強尼·托里奧
Loris Francesco Capovilla,老楞佐·方濟各·卡波維拉
Daniele Dessena,達尼埃萊·德塞納
Mauro Camoranesi,毛罗·卡莫拉内西
Franco Baresi,弗兰科·巴雷西
Francesco Saverio Nitti,弗朗西斯科·萨维里奥·尼蒂
Giacomo Rizzolatti,贾科莫·里佐拉蒂
Mauricio Macri,毛里西奧·馬克里
Fabiano Caruana,法比亚诺·卡鲁阿纳
Mario Scelba,马里奥·谢尔巴
Cesare Bovo,切萨雷·博沃
Davide Lanzafame,達維德·蘭扎法梅
Massimo Ambrosini,马西莫·安布罗西尼
Sergio Parisse,塞吉奧·帕里塞
Christian Vieri,克里斯蒂安·维耶里
Reinhold Messner,萊茵霍爾德·梅斯納爾
Francesco Clemente,弗朗切斯科·克萊門特
Virginio Rosetta,维尔吉尼奥·罗塞塔
Luigi Allemandi,路易吉·阿莱曼迪
Renzo Piano,伦佐·皮亚诺
Alberto Aquilani,阿尔贝托·阿奎拉尼
Vincenzo Iaquinta,温琴佐·亚昆塔
Gian Piero Gasperini,基恩·派路·加斯柏連尼
Vittorio Emanuele di Savoia (1937),维托里奥·埃曼努埃莱·迪·萨伏伊
Elena Ferrante,埃琳娜·費蘭特
Riccardo Cocciante,里卡多·柯强特
Giuseppe Milano,朱塞佩·米拉诺
Roberto Tricella,罗伯托·特里切拉
Sergio Martini,塞吉歐·馬提尼
Ettore Bastico,埃托雷·巴斯蒂科
Giovanni Lombardi (ciclista),乔瓦尼·隆巴尔迪
Clemente Russo,克莱门特·鲁索
Fabiano Santacroce,法比亚诺·桑塔克罗切
Luigi Longo,路易吉·隆哥
Thiago Motta,蒂亞戈·莫塔
Giuseppe Meazza,朱塞佩·梅阿查
Benedetto Croce,贝内德托·克罗齐
Giulio Saraudi,朱利奥·萨劳迪
Andrea Lucchetta,安德烈亚·卢凯塔
Bruno Sammartino,布魯諾·山瑪提諾
Bernardo Corradi,贝尔纳多·科拉迪
Carlo Caffarra,嘉祿·卡法拉
Giovanni Coppa,若望·科帕
Pietro Parolin,伯多祿·帕羅林
Giuseppe Galderisi,朱塞佩·加尔代里西
Giuseppe Alessi (politico),阿雷希
Gustavo Petro,古斯塔沃·佩特罗
Bettino Craxi,贝蒂诺·克拉克西
Marco Simoncelli,马尔科·西蒙切利
Gianni Rodari,贾尼·罗大里
Pio da Pietrelcina,畢奧神父
Piero Sraffa,皮耶羅·斯拉法
Piero Manzoni,皮耶羅·曼佐尼
Nicola Leali,尼古拉·萊亞利
Emanuele Giaccherini,埃马努埃莱·贾凯里尼
Ruggiero Rizzitelli,鲁杰罗·里齐泰利
Omero Tognon,奥梅罗·托尼翁
Giancarlo Ferrari,贾恩卡洛·费拉里
Danijel Premuš,达尼耶尔·普雷穆什
Ferruccio Novo,费鲁乔·诺沃
Andrea Cagnetti,安德烈亞·卡涅蒂
Mario Zanin,马里奥·扎宁
Carlton Myers,卡尔顿·迈尔斯
Walter Mazzarri,沃尔特·马扎里
Delio Rossi,德里奥·罗西
Riccardo Chailly,里卡多·夏伊
Edoardo Mortara,艾度亞度·莫他拿
Francesco Antonioli,弗朗切斯科·安东尼奥利
Alfonso Cristiano di Borbone-Spagna,阿方索·德·波旁·(1941年—1956年)
Maurizio Stecca,毛里齐奥·斯泰卡
Cesare Rubini,切萨雷·鲁比尼
Luca Marrone,盧卡·馬隆內
Carmelo Bossi,卡尔梅洛·博西
Francesco Marchisano,方濟各·馬爾基薩諾
Benito Lorenzi,贝尼托·洛伦齐
Gianpiero Marini,詹皮耶罗·马里尼
Gelindo Bordin,杰林多·博尔丁
Achille Castiglioni,阿希尔·卡斯蒂格利尼
Adriano Celentano,阿德里安诺·塞兰特诺
Pietro Badoglio,佩特罗·巴多格里奥
Moreno Torricelli,莫雷诺·托里切利
Giovanni Lattuada,乔瓦尼·拉图阿达
Amy Adams,艾美·亞當斯
Paolo Maldini,保罗·马尔蒂尼
Pierluigi Collina,皮耶路易吉·科利纳
Mario Curletto,马里奥·库莱托
Giacomo Alberione,雅培里神父
Rodolfo Terlizzi,鲁道夫·泰利齐
Nicola Ventola,尼古拉·文托拉
Alberto Braglia,阿尔贝托·布拉利亚
Günther Huber,金特·胡贝尔
Miguel Angel Virasoro,米格尔·比拉索罗
Margherita Buy,瑪姬麗塔·貝
Domenico Modugno,多米尼科·莫杜尼奥
Salvatore Accardo,萨尔瓦托雷·阿卡多
Diego Lugano,迭戈·卢加诺
Paolo Romeo,保禄·罗密欧
Paolo Sorrentino,保罗·索伦蒂诺
Salvatore Luria,薩爾瓦多·盧瑞亞
Franco Modigliani,法蘭科·莫迪利安尼
Graziano Mancinelli,格拉齐亚诺·曼奇内利
Toto Cutugno,托托·库图尼奥
Giovanni Arrighi,喬凡尼·阿銳基
Giovanni Falcone,乔瓦尼·法尔科内
Michael Agazzi,邁克爾·阿加齊
Pontormo,蓬托莫
Flavia Pennetta,弗拉维娅·佩内塔
Carlo Cudicini,卡路·古迪仙尼
Paolo Lorenzi,保羅·洛倫齊
Stefano Malinverni,斯特凡诺·马林韦尔尼
Nicola di Grecia (1969),尼古拉斯·(希腊王子)
Marinella Falca,马里内拉·法尔卡
Manuel Iturra,曼努埃尔·伊图拉
Stefano Tacconi,斯特凡诺·塔科尼
Isabella Rossellini,伊莎貝拉·羅塞里尼
Andrea Cordero Lanza di Montezemolo,安德肋·科尔德罗·兰扎·迪·蒙特泽莫洛
Andrea Collinelli,安德烈亚·科利内利
Giovanni Galli,乔瓦尼·加利
Cecilia Maffei,切奇利娅·马费伊
Giuliano Amato,朱利亚诺·阿马托
Tiziano Ferro,提傑安若·費洛
Sara Gama,萨拉·伽马
Simone Pepe,西蒙尼·柏比
Mirka Francia,米尔卡·弗朗西亚
Adriano Panatta,阿德里亚诺·帕纳塔
Daniele Lupo,达尼埃莱·卢波
Lamberto Dini,兰贝托·迪尼
Leonardo Bonucci,莱昂纳多·博努奇
Pietro Rava,彼得罗·拉瓦
Pierluigi Casiraghi,皮埃爾路易吉·卡西拉吉
Angelo Bagnasco,安杰洛·巴尼亚斯科
Daniele Danesin,达尼埃莱·达内辛
Giuseppe Colombo (matematico),朱塞佩·可倫坡
Tranquillo Barnetta,特兰基洛·巴内塔
Boris Pahor,鲍里斯·帕霍尔
Arnoldo Foà,阿诺尔多·弗阿
Andrea Masiello,安德雷·馬西耶洛
Andrea Minguzzi,安德烈亚·明古齐
Mike D'Antoni,迈克·德安东尼
Andrea Baldini,安德烈亚·巴尔迪尼
Andrea Bari,安德烈亚·巴里
Andrea Anastasi,安德烈亚·阿纳斯塔西
Giovanni Pasquale,喬瓦尼·帕斯夸萊
Loris Campana,洛里斯·坎帕纳
Andrea Carnevale,安德烈亚·卡尔内瓦莱
Andrea Borella,安德烈亚·博雷拉
Paolo Thaon di Revel,保羅·塔翁·迪雷韋爾
Severino Poletto,塞维利诺·珀莱托
Andrea Peron,安德烈亚·佩龙
Simone Rosalba,西莫内·罗萨尔巴
Silvia Di Pietro,西尔维娅·迪彼得罗
Alessandro Calvi,亚历山德罗·卡尔维
Christian Galenda,克里斯蒂安·加伦达
Guccio Gucci,古馳奧·古馳
Luca Rossettini,盧卡·羅塞蒂尼
Marta Capurso,玛尔塔·卡普尔索
Mario Castelnuovo-Tedesco,马里奥·卡斯泰尔诺沃-泰代斯科
Diego Romero,迭戈·罗梅罗
Andrea Cassarà,安德烈亚·卡萨拉
Guido Cantelli,圭多·坎泰利
Attilio Nicora,阿提里奥·尼科拉
Francesco Moriero,弗朗切斯科·莫列罗
Roger Piantoni,羅傑·皮安東尼
Andrea Gasbarroni,安德烈亚·加斯巴罗尼
Andrea Giovi,安德里亞·吉奥維
Nicola Pietrangeli,尼古拉·彼得兰杰利
Andrea Mantovani,安德烈·曼托瓦尼
Alessandro Piperno,亞歷山卓·皮沛諾
Bruno Bertotti,布鲁诺·贝尔托蒂
Federico Macheda,费德里科·马凯达
Lucky Luciano,查理·盧西安諾
Alessandro Diamanti,亚历山德罗·迪亚曼蒂
Mario Gentili,马里奥·真蒂利
Bianco Bianchi,比安科·比安基
Severino Rigoni,塞韦里诺·里戈尼
Armando Latini,阿尔曼多·拉蒂尼
Samantha Cristoforetti,薩曼塔·克里斯托福雷蒂
Giancarlo Antognoni,贾恩卡洛·安托尼奥尼
Ildebrando Pizzetti,伊尔代布兰多·皮泽蒂
Stefano Baldini,斯特凡诺·巴尔迪尼
Giuseppe Baldo (calciatore),朱塞佩·巴尔多
Rolando Rigoli,罗兰多·里戈利
Roberto Tucci,羅勃·圖齊
Maurice Taylor,莫里斯·泰勒
Ciro Verratti,奇罗·韦拉蒂
Antonello Cuccureddu,安东内洛·库库雷杜
Antonello Riva,安东内洛·里瓦
Vigor Bovolenta,维戈尔·博沃伦塔
Rachele Guidi,雷切尔·墨索里尼
Giuseppe Tucci,朱塞佩·图齐
Tommaso Buscetta,多瑪索·布西達
Andrea Poli,安德雷·波利
Nino Rota,尼諾·羅塔
Luciano Floridi,卢恰诺·弗洛里迪
Giulio Romano,朱利奥·罗马诺
Domenico Criscito,多梅尼科·克里西托
Giovanni Maria Vian,乔瓦尼·玛丽亚·维安
Ignazio Abate,伊尼亚齐奥·阿巴特
Raoul Bova,雷歐·波瓦
Giorgio Di Centa,乔治·迪琴塔
Martina Guiggi,马丁娜·圭吉
Christian Maggio,克里斯蒂安·马乔
Antonio Sabato Jr.,小安東尼歐·薩巴托
Marco Andreolli,馬爾科·安德雷奧利
Giuseppe Vives,朱塞佩·維維斯
Giacomo Fornoni,贾科莫·福尔诺尼
Mattia De Sciglio,马蒂亚·德西利奥
Cesare Salvadori,切萨雷·萨尔瓦多里
Livio Trapè,利维奥·特拉佩
Ottavio Cogliati,奥塔维奥·科利亚蒂
Valentino (stilista),瓦伦蒂诺·格拉瓦尼
Corrado Gini,科拉多·吉尼
Davide Rebellin,达维德·雷贝林
Roberto Cammarelle,罗伯托·卡马雷莱
Lino Lacedelli,里诺·莱斯德利
Michele Pazienza,米凱萊·帕奇恩扎
Sebastian Giovinco,塞巴斯蒂安·乔文科
Antonio Bailetti,安东尼奥·巴伊莱蒂
Giuseppe Occhialini,朱塞佩·奥基亚利尼
Matteo Maria Zuppi,瑪竇·祖皮
Igor Markevitch,伊戈尔·马克维奇
Tarcisio Burgnich,塔尔奇西奥·布尔尼奇
Giuseppe Tomasi di Lampedusa,朱塞佩·托马西·迪·兰佩杜萨
Antonio Nocerino,安东尼奥·诺切里诺
Robert Acquafresca,罗伯特·阿夸弗雷斯卡
Alessandro Costacurta,亚历山德罗·科斯塔库塔
Giorgio Bambini,乔治·班比尼
Tamás Märcz,梅尔奇·陶马什
Lido Vieri,利多·维耶里
Marcello Nizzola,马尔切洛·尼佐拉
Davide Biondini,戴維·比昂迪尼
Giacomo Bulgarelli,贾科莫·布尔加雷利
Hansjörg Raffl,汉斯约尔格·拉夫尔
Mattia Destro,马蒂亚·德斯特罗
Cesare Prandelli,切薩雷·普蘭德利
Graziano Pellè,格拉齐亚诺·佩莱
Giampaolo Pazzini,詹保羅·柏仙尼
Giacinto Facchetti,吉亞琴托·法切蒂
Morgan De Sanctis,摩根·德桑克蒂斯
Giovanni Ferrari,乔瓦尼·费拉里
Giovanbattista Venditti,喬瓦巴蒂斯塔·溫蒂提
Marco Solfrini,马尔科·索尔弗里尼
Nico Pulzetti,尼科·普爾澤蒂
Pietro Piller Cottrer,彼得罗·皮莱尔·科特雷尔
Pier Ugo Calzolari,皮尔·乌戈·卡尔佐拉里
George Pan Cosmatos,乔治·P·科斯马图斯
Vincenzo Picardi,温琴佐·皮卡尔迪
Antonio Conte (schermidore),安东尼奥·孔特
Marco Giovannetti,马尔科·焦万内蒂
Antonio Di Gennaro (calciatore),安东尼奥·迪真纳罗
Pietro Paolo Virdis,彼得罗·保罗·维尔迪斯
Romeo Neri,罗密欧·内里
Giulio Gaudini,朱利奥·高迪尼
Francesco Bardi,弗朗西斯科·巴尔迪
Marino Defendi,马里诺·德芬迪
Maurizio Iorio,毛里齐奥·约里奥
Enzo Menegotti,恩佐·梅内戈蒂
Giorgio Cagnotto,乔治·卡尼奥托
Giovanni Battista Caproni,喬瓦尼·巴蒂斯塔·卡普羅尼
Andreas Zingerle,安德烈亚斯·青格勒
Samuele Longo,萨穆埃莱·隆戈
Mario David,马里奥·戴维
Luigi Arienti,路易吉·阿里恩蒂
Aureliano Bolognesi,奥雷利亚诺·博洛涅西
Marcelo Tieppo Huertas,马塞洛·韦尔塔斯
Sergio Caprari,塞尔焦·卡普拉里
Giuseppe Paris,朱塞佩·帕里斯
Antonio Angelillo,安东尼奥·安杰利洛
Alessandro Nesta,亚历山德罗·内斯塔
Renata Tebaldi,雷纳塔·泰巴尔迪
Sara Errani,薩拉·埃拉尼
Gaetano D'Agostino,蓋塔諾·達戈斯蒂諾
Mario Trevi (cantante),馬里奧·特雷維
Roberto Soriano,羅伯托·索里亞諾
Nichi Vendola,尼基·文多拉
Antonio Maspes,安东尼奥·马斯佩斯
Cristiano Lupatelli,克里斯蒂亚诺·卢帕特利
Fausto Coppi,冯斯托·科皮
Lucas Leiva,盧卡斯·雷瓦
Antonio Mirante,安東尼奧·米蘭特
Simone Martini,西蒙尼·马蒂尼
Bud Spencer,布德·斯藩塞
Alberto Jori,阿尔贝托·约里
Andrew Viterbi,安德鲁·维特比
Sergio Bertoni,塞尔焦·贝尔托尼
Pompeo Batoni,龐培歐·巴托尼
Guglielmo Pesenti,古列尔莫·佩森蒂
Daniele Orsato,达尼埃莱·奥萨托
Gabriele Amorth,加俾額爾·阿摩特
Francesco Coccopalmerio,方济各·科科帕尔梅里奥
Donatella Versace,多纳泰拉·范思哲
Valentina Vezzali,瓦伦蒂娜·韦扎利
Gianni Rivera,詹尼·里韦拉
Mara Santangelo,玛拉·圣安杰洛
Fabio Grosso,法比奧·格羅素
Tathiana Garbin,塔蒂亞娜·加爾賓
Valeria Golino,薇拉莉·葛琳諾
Agostino Abbagnale,阿戈斯蒂诺·阿巴尼亚莱
Mina (cantante),米娜·(意大利歌手)
Agostino Straulino,阿戈斯蒂诺·斯特劳利诺
Agostino Vallini,奥斯定·瓦利尼
Mauro Bellugi,毛罗·贝卢吉
Piero Ceccarini,皮耶罗·切卡里尼
Daniele Galloppa,達尼埃萊·加洛帕
Luciano Berio,卢恰诺·贝里奥
Riccardo Ferri,里卡尔多·费里
Norbert Madaras,毛道劳什·诺贝特
Davide Brivio,戴維·布里維奥
Giuseppe Delfino,朱塞佩·德尔菲诺
Severino Andreoli,塞韦里诺·安德烈奥利
Gianna Nannini,吉娜·納妮妮
Asia Argento,艾莎·阿基多
Nevio Scala,内维奥·斯卡拉
Antonio Floro Flores,安東尼奧·科路·科利斯
Antonio Siddi,安东尼奥·西迪
Alessandro Gentile,亞歷山德羅·根蒂爾
Mirella Freni,米雷拉·弗雷妮
Antonio Tabucchi,安东尼奥·塔布其
Angelo Anquilletti,安杰洛·安奎莱蒂
Antonio Riberi,黎培里
Alice Rohrwacher,阿莉切·罗尔瓦赫尔
Pietro Ferraris,彼得罗·费拉里斯
Pino Dordoni,皮诺·多尔多尼
Mario Luzi,马里奥·卢齐
Antonio Juliano,安东尼奥·尤利亚诺
Antonio Rossi (canoista),安东尼奥·罗西
Alberto Masi,阿爾貝托·馬西
Valeria Bruni Tedeschi,瓦萊麗雅·布魯尼-特德斯奇
Mario Corso,马里奥·科尔索
Annunzio Paolo Mantovani,阿农齐奥·保罗·曼托瓦尼
Ignazio Marino,伊尼亞齊奧·馬里諾
Giuseppe Iachini,朱塞佩·亚基尼
Alfonso di Borbone Dampierre,阿方索·(安茹及加的斯公爵)
Giovanni De Benedictis,乔瓦尼·德贝内迪克蒂斯
Carmine Abbagnale,卡尔米内·阿巴尼亚莱
Matteo Contini,馬特奥·孔蒂尼
Francesco Monterisi,方济各·蒙泰里西
Franco Scaglione,佛朗哥·斯凯荣内
Giuseppe Di Capua,朱塞佩·迪卡普阿
Karin Knapp,卡琳·克納普
Simone Perrotta,西蒙尼·佩罗塔
Giovanna Amati,吉尔瓦娜·阿玛迪
Carolina Kostner,卡罗琳娜·科斯特内尔
Giulio Natta,居里奥·纳塔
Giuseppe Corradi,朱塞佩·科拉迪
Linton Johnson,林顿·约翰逊三世
Ezequiel Schelotto,埃兹奎尔·谢洛托
Michele Paolucci,米凯莱·保卢奇
Angelo Iachino,安杰洛·亚基诺
Eugenio Corini,欧金尼奥·科里尼
Andrea Petagna,安德烈亞·佩塔納
Franca Sozzani,弗兰卡·索萨尼
Luigi De Agostini,路易吉·德阿戈斯蒂尼
Domenico Fioravanti,多梅尼科·菲奥拉万蒂
Susanna Tamaro,蘇珊娜·塔瑪洛
Francesco Toldo,弗朗切斯科·托尔多
Federica Pellegrini,费代丽卡·佩莱格里尼
Iva Zanicchi,伊娃·扎尼基
Marco Amelia,马尔科·阿梅利亚
Daniele Bonera,达尼埃莱·博内拉
Renato Buso,雷纳托·布索
Ilario Di Buò,伊拉里奥·迪博
Franco Trincavelli,佛朗哥·特林卡韦利
Elena Cecchini,埃莱娜·切基尼
Giancarlo Marocchi,贾恩卡洛·马罗基
Guido Messina,圭多·梅西纳
Mirco Bergamasco,米爾科·貝加馬斯科
Michele di Grecia,希臘的米歇爾
Eugenio Monti,欧金尼奥·蒙蒂
Claudio Ranieri,克劳迪奥·拉涅利
Giovanna di Savoia (1907-2000),薩伏依的喬萬娜公主
Giuseppe Bergomi,朱塞佩·贝尔戈米
Greta Scacchi,格蕾塔·斯卡基
Sofonisba Anguissola,索福尼斯巴·安圭索拉
Romina Power,罗米娜·珀尔
Dante Secchi,丹特·塞基
Oreste Piccioni,奥雷斯特·皮乔尼
Enzo Robotti,恩佐·罗博蒂
Carlo Maria Giulini,卡尔罗·马里亚·朱里尼
Facundo Roncaglia,法昆多·隆卡里亚
Bino Bini,比诺·比尼
Eusebio Castigliano,欧塞比奥·卡斯蒂利亚诺
Gaetano Lucchese,湯米·盧切斯
Lorenzo Crisetig,羅倫索·基斯迪
Alessandro Lucarelli,亞歷山德羅·盧卡雷利
Tommaso Berni,托马索·贝尔尼
Simone Sini,西蒙尼·西尼
Enrico Fabris,恩里科·法布里斯
Jury Chechi,尤里·凯基
Giuseppe Dossena,朱塞佩·多塞纳
Giancarlo Esposito,吉安卡洛·伊坡托
Silvia Farina Elia,西爾維亞·法妮娜·艾利亞
Tatiana Guderzo,塔蒂亚娜·古代尔佐
Caterina Davinio,卡特琳娜·達維諾
Fiona May,菲奥娜·梅
Luigi Datome,路易吉·達托梅
Attilio Pavesi,阿蒂利奥·帕韦西
Edith Gufler,埃迪特·古夫勒
Bruno Giordano (calciatore),布鲁诺·焦尔达诺
Mauro Piacenza,毛禄·皮亚琴扎
Ernesto Ambrosini,埃内斯托·安布罗西尼
Giacomo Bonaventura,賈科莫·博納文圖拉
Gino Fano,基諾·法諾
Gianluca Vialli,詹卢卡·维亚利
Stefania Belmondo,斯特凡尼娅·贝尔蒙多
Vanessa Ferrari,瓦内莎·费拉里
Nina Zilli,妮娜·奇利
Marco Storari,馬高·史度拉利
Ondina Valla,翁迪娜·瓦拉
Pietro Arcari,彼得罗·阿尔卡里
Giulia Rondon,朱莉娅·龙东
Roberto Pruzzo,罗伯托·普鲁佐
Giorgio Bellettini,乔治·贝莱蒂尼
Pierino Prati,皮耶里诺·普拉蒂
Renata Scotto,雷纳塔·史科朵
Daniela Bianchi,丹妮拉·碧安琪
Andrea Parenti,安德烈亚·帕伦蒂
Caterina Murino,卡特琳娜·莫里诺
Romina Oprandi,罗米纳·奥普兰迪
Vittoria Belvedere,維多利亞·貝沃德拉
Luigi Beccali,路易吉·贝卡利
Alba Rohrwacher,艾芭·羅爾瓦雀
Michele Frangilli,米凯莱·弗兰吉利
Luca Bucci,卢卡·布奇
Roberto Baronio,羅伯托·巴羅尼奧
Giuseppe Di Vittorio,吉赛普·蒂·维多里奥
Alberto Cisolla,阿爾貝托·奇索拉
Alberto Fontanesi,阿尔贝托·丰塔内西
Emiliano Viviano,埃米利亚诺·维维亚诺
Carlo Tancredi di Borbone-Due Sicilie,卡洛斯·(波旁-兩西西里)
Alessandro Safina,亚历山德罗·沙费纳
Alex Giorgetti,亚历克斯·焦尔杰蒂
Gastone Darè,加斯托内·达雷
Arnaldo Forlani,阿纳尔多·福拉尼
Luigi Russolo,路易吉·鲁索洛
Antonio Maria Vegliò,安多尼·玛利亚·韦利奥
Francesco Damiani,弗朗切斯科·达米亚尼
Paolo Gennari,保罗·真纳里
Dino Buzzati,迪诺·布扎蒂
Elisa Rigaudo,埃莉萨·里高多
Alessia Filippi,阿莱西娅·菲利皮
Miuccia Prada,繆西婭·普拉達
Vanessa Hessler,瓦妮莎·海斯勒
Giuliana Minuzzo,朱利亚娜·米努佐
Anna Bonaiuto,安娜·博纳奥图
Giuseppe Sannino,朱塞佩·桑尼诺
Luciano Zauri,卢西亚诺·扎里
Terence Hill,特伦斯·希尔
Arianna Follis,阿里安娜·福利斯
Stefano Sorrentino,斯特法諾·索倫蒂諾
Rik De Voest,里克·德·霍伊斯特
Giancarlo De Sisti,贾恩卡洛·德西斯蒂
John Turturro,約翰·特托羅
Giovan Battista Gaulli,喬凡尼·巴蒂斯塔·高里
Demetrio Albertini,德梅特里奧·阿爾貝蒂尼
Catalani,加泰隆尼亞人
Giulio Racah,朱利奥·拉卡
Angelo Comastri,安傑洛·科瑪斯特里
Paolo Caldarella,保罗·卡尔达雷拉
Fabio Borini,法比奧·博里尼
Antonella Bellutti,安东内拉·贝卢蒂
Simone Benedetti,西蒙尼·貝内德蒂
Fabio Casartelli,法比奥·卡萨尔泰利
Ardico Magnini,阿尔迪科·马尼尼
Elisa Blanchi,埃莉萨·布兰基
Andreea Stefanescu,安德烈娅·斯特凡内斯库
Cosimo Pinto,科西莫·平托
Rossella Fiamingo,萝塞拉·菲亚明戈
Josefa Idem,约瑟法·伊德姆
Marco Delvecchio,马尔科·德尔韦基奥
Giorgio Oberweger,乔治·奥贝尔韦格
Giuseppe Tosi,朱塞佩·托西
Fabio Luisi,法比奥·路易西
Eraldo Pecci,埃拉尔多·佩奇
Vittorio Arrigoni,維多里歐·艾里格尼
Andrea Coda,安德雷亚·科达
Ángel Di María,安赫尔·迪马利亚
Michele Ferrero,米歇爾·費列羅
Luca Antonelli,盧卡·安東內利
Sebastiano Rossi,塞巴斯蒂亚诺·罗西
Matteo Tagliariol,马泰奥·塔利亚里奥尔
Elisa Santoni,埃莉萨·圣托尼
Bruno Venturini (calciatore),布鲁诺·文图里尼
Carlo Maria Croce,卡尔洛·克罗切
Marta Pagnini,玛尔塔·帕尼尼
Luigi Apolloni,路易吉·阿波洛尼
Alessandro Andrei,亚历山德罗·安德烈
Hugo Herrnhof,胡戈·赫恩霍夫
Romina Laurito,罗米娜·劳里托
Mark Birighitti,马克·比里吉蒂
Marcello Gandini,馬塞羅·甘迪尼
Carlo Toniatti,卡洛·托尼亚蒂
Giuseppe Moioli,朱塞佩·莫约利
Giorgio Lamberti,乔治·兰贝蒂
Guido Marini,奎多·馬里尼
Isolde Kostner,伊索尔德·科斯特纳
Fabio Fognini,法比奧·福尼尼
Emiliano Brembilla,埃米利亚诺·布伦比拉
Velasio De Paolis,韦拉西奥·德保利斯
Matteo Morandi,馬泰奥·莫蘭迪
Roberto Battaglia (schermidore),罗伯托·巴塔利亚
Peter Capaldi,彼得·卡帕尔蒂
Carlo Urbani,卡爾婁·武爾班尼
Alberto Winkler,阿尔贝托·温克勒
Sergio Siorpaes,塞尔焦·西奥派斯
Uberto de Morpurgo,乌贝托·德莫尔普戈
Luigi Sturzo,路易吉·斯图尔佐
Gabriella Dorio,加布里埃拉·多里奥
Francesca Michielin,佛朗琪絲卡·米凱琳
Marco Simone,馬高·施蒙尼
Laura Chiatti,蘿拉·琪雅蒂
Luca Cigarini,盧卡·奇加里尼
Milena Canonero,米莱娜·坎农诺
Amelia Piccinini,阿梅利娅·皮奇尼尼
Valentina Cortese,瓦伦蒂娜·科尔泰塞
Gino Colaussi,吉诺·科劳西
Pietro Guerra,彼得罗·圭拉
Giandomenico Mesto,吉安多梅尼科·梅斯托
Fabio Firmani,法比奧·費爾馬尼
Lorenzo De Silvestri,洛伦佐·德西尔维斯特里
Karen Putzer,卡伦·普策尔
Margherita Sarfatti,玛格丽塔·萨尔法季
Luigi Barzini (1908-1984),路易吉·巴尔齐尼
Angelo Colombo (calciatore 1961),安杰洛·科隆博
Fortunato Baldelli,福尔图纳托·巴尔代利
Alessandra Sensini,亚历山德拉·森西尼
Giulio Donati,朱利奧·多納蒂
Gabriele Angella,加比爾·安祖拿
Cosimo Ferro,科西莫·费罗
Luca Marchegiani,卢卡·马尔凯贾尼
Gianpaolo Bellini (calciatore),詹保羅·貝利尼
Giulia Quintavalle,朱莉娅·昆塔瓦莱
Arianna Fontana,阿里安娜·丰塔纳
Edda Ciano,埃达·墨索里尼
Giuseppe Biava,朱塞佩·比阿瓦
Paola Antonelli,保拉·安特那利
Antonio Tajani,安东尼奥·塔亚尼
Silvio Fauner,西尔维奥·福纳
Franco Cavallo (velista),佛朗哥·卡瓦洛
Natalia Valeeva,纳塔利娅·瓦列耶娃
Massimo Crippa,马西莫·克里帕
Giampaolo Di Paola,詹保罗·迪·保拉
Franco Lavoratori,佛朗哥·拉沃拉托里
