Massachusetts,マサチューセッツ州
W. Alden Spencer Award,アルデン・スペンサー賞
"Wacousta Township, Humboldt County, Iowa",ワコスタ郡区・(アイオワ州ハンボルト郡)
Washington Park (baseball),ワシントン・パーク
Washington Senators (1891–1899),ワシントン・セネタース・(1891-1899年)
Washington station (Missouri),ワシントン駅・(ミズーリ州)
USS R-12,R-12・(潜水艦)
USS S-26,S-26・(潜水艦)
White Plains station,ホワイト・プレインズ駅
Wildorado Wind Ranch,ワイルドオレイド風力発電所
Wyandanch station,ワイヤンダンチ駅
Pocatello Regional Airport,ポカテッロ地域空港
Time in Arizona,アリゾナ時間
Time in Tennessee,テネシー時間
Tonner Doll Company,トナードール
Trailblazer (monorail),トレイルブレイザー・(モノレール)
Transit Authority of Northern Kentucky,北部ケンタッキー交通局
Transport of Rockland,トランスポート・オブ・ロックランド
Trident Seafoods,トライデントシーフード
Tripler Army Medical Center,トリプラー陸軍病院
Tupelo Regional Airport,テューペロ地域空港
Vought XSO2U,XSO2U・(航空機)
W.A.R. Japanese Zero,WAR・ジャパニーズ・ゼロ
WJLA-TV,WJLA-TV
WRNN-TV,WRNN-TV
WXLV-TV,WXLV-TV
Washington Wild Things,ワシントン・ワイルドシングス
Weed Airport,ウィード空港
West Coast Shoe Company,ウエスコ・(ブーツ)
"Westview High School (Portland, Oregon)",ウェストビュー高等学校・(オレゴン州ビーバートン)
Westwood station (NJ Transit),ウェストウッド駅・(ニュージャージー州)
Windecker Eagle,ウィンデッカー・イーグル
Windsong's Legacy,ウィンドソングズレガシー
Wingfoot Air Express crash,ウィングフット・エア・エクスプレス墜落事故
Winter Park station,ウィンターパーク駅
Wood Memorial Stakes,ウッドメモリアルステークス
Woodland Scenics,ウッドランドシーニックス
W63 (nuclear warhead),W63・(核弾頭)
Wilmington massacre,ウィルミントン暴動
"Ellis Township, Hardin County, Iowa",エリス郡区・(アイオワ州ハーディン郡)
"Scott Township, Fremont County, Iowa",スコット郡区・(アイオワ州フレモント郡)
"Tipton Township, Hardin County, Iowa",ティプトン郡区・(アイオワ州ハーディン郡)
"Wisner Township, Franklin County, Iowa",ウィズナー郡区・(アイオワ州フランクリン郡)
Category:Protected areas of Hawaii,Category:ハワイ州の保護区
J. Lawrence Smith Medal,J.・ローレンス・スミス・メダル
IND Culver Line,INDカルバー線
UFC 159,UFC・159
Laguna Army Airfield,ラグーナ陸軍飛行場
"Etna Township, Hardin County, Iowa",エトナ郡区・(アイオワ州ハーディン郡)
Metro (Oregon regional government),メトロ・(オレゴン地域政府)
"Providence Township, Hardin County, Iowa",プロビデンス郡区・(アイオワ州ハーディン郡)
Delco Electronics,デルコ・エレクトロニクス
2005 National League Division Series,2005年のナショナルリーグディビジョンシリーズ
2013–14 NBA season,2013-2014シーズンのNBA
M-1951 field jacket,M-51・(フィールドジャケット)
Getty Research Institute,ゲティ研究所
Gumroad,Gumroad
RS-27,RS-27
1930 World Series,1930年のワールドシリーズ
1987 Major League Baseball draft,1987年のMLBドラフト
Del Mar Debutante Stakes,デルマーデビュータントステークス
San Felipe Stakes,サンフェリペステークス
Transportation in Chicago,シカゴの公共交通機関
Cincinnati and Lake Erie Railroad,シンシナティ・アンド・レイクエリー鉄道
Lawrenceville School,ローレンスビル・スクール
Lorton station (VRE),ロートン駅・(バージニア急行鉄道)
Taylor Made Farm,テイラーメイドファーム
Hill Prince Stakes,ヒルプリンスステークス
North American Post,北米報知
Variable Message Format,改良型データ・モデム
1946 New York Film Critics Circle Awards,第12回ニューヨーク映画批評家協会賞
1961 New York Film Critics Circle Awards,第27回ニューヨーク映画批評家協会賞
2006 Los Angeles Film Critics Association Awards,第32回ロサンゼルス映画批評家協会賞
Geographic coordinate conversion,経緯度
XVIII Corps (Union Army),第18軍団・(北軍)
World War I Victory Medal (United States),第一次世界大戦戦勝記念章
Hawaii Capital Historic District,ハワイ州都歴史地区
Mondelez International,モンデリーズ・インターナショナル
Paste (magazine),ペースト・(雑誌)
Ravn Alaska,レイバンアラスカ航空
Hilton Grand Vacations,ヒルトン・グランド・バケーション
UFC Fight Night: Maia vs. Shields,UFC・Fight・Night:・Maia・vs.・Shields
Rim Fire,リム・ファイア
10 Hudson Yards,10・ハドソン・ヤード
18th Satellite Awards,第18回サテライト賞
29th Independent Spirit Awards,第29回インディペンデント・スピリット賞
56th Annual Grammy Awards,第56回グラミー賞
"Twin Lake Township, Hancock County, Iowa",ツインレイク郡区・(アイオワ州ハンコック郡)
Mathematical Olympiad Program,数学オリンピックプログラム
The Ascension (professional wrestling),ジ・アセンション
Vermilion River (Minnesota),バーミリオン川・(ミネソタ州セントルイス郡)
Honolulu molasses spill,ホノルル糖蜜流出
Disabled American Veterans,アメリカ傷痍軍人会
El Paso Chihuahuas,エルパソ・チワワズ
"Joanna, Pennsylvania",ジョアンナ・(ペンシルベニア州)
Lehigh Carbon Community College,リーハイ・カーボン・コミュニティ・カレッジ
FXX,FXX・(テレビ局)
Radical Republicans,急進派共和党
2013 US Open – Mixed doubles,2013年全米オープン混合ダブルス
2013 US Open – Women's doubles,2013年全米オープン女子ダブルス
Elmendorf Air Force Base,エルメンドルフ空軍基地
Godbold Transportation Center,ゴッドボールド・トランスポーテーション・センター
Hermann station (Missouri),ハーマン駅・(ミズーリ州)
John Quincy Adams Birthplace,ジョン・クインジー・アダムズ生家
Kannapolis station,カナポリス駅
Malta station,マルタ駅
"Timeline of Nashville, Tennessee",ナッシュビルの年表
List of New York City borough halls and municipal buildings,ニューヨーク市の区庁舎の一覧
Battles of New Ulm,ニューアルムの戦い
Despicable Me Minion Mayhem,ミニオン・ハチャメチャ・ライド
Swill milk scandal,残滓牛乳事件
34th Golden Raspberry Awards,第34回ゴールデンラズベリー賞
List of 2014 box office number-one films in the United States,2014年アメリカ合衆国週末興行成績1位の映画一覧
UFC 173,UFC・173
Bellator 120: Rampage vs. King Mo,Bellator・120
UFC 172,UFC・172
IEEE Jun-ichi Nishizawa Medal,IEEEジュンイチ・ニシザワ・メダル
2014 CONCACAF Women's Championship,2014・CONCACAF女子選手権
Gabbay Award,ガベイ賞
2014 Caribbean Cup,カリビアンカップ2014
Westchester Knicks,ウェストチェスター・ニックス
17-Bit,17-BIT
UFC Fight Night: Te Huna vs. Marquardt,UFC・Fight・Night:・Te・Huna・vs.・Marquardt
T (New York City Subway service),ニューヨーク市地下鉄T系統
Snow in Louisiana,ルイジアナ州の雪
Kilodegree Extremely Little Telescope,Kilodegree・Extremely・Little・Telescope
2014 Billboard Music Awards,ビルボード・ミュージック・アワード2014
Continental Airlines Flight 603,コンチネンタル航空603便離陸失敗事故
Jeffrey Epstein VI Foundation,ジェフリー・エプスタインVI財団
Pleasure Dome (railcar),プレジャー・ドーム
Scripps News,Newsy
South Dakota's 3rd congressional district,サウスダコタ州第3選挙区
Na Hoku Hanohano Awards,ナ・ホク・ハノハノ賞
Squire Patton Boggs,スクワイヤ・パットン・ボッグス
2014 International Champions Cup,インターナショナル・チャンピオンズ・カップ・2014
AirSea Battle,エアシー・バトル
Cambridge Innovation Center,ケンブリッジ・イノベーション・センター
Coast Guard Cross,沿岸警備隊十字章・(アメリカ合衆国)
NXT TakeOver,NXTテイクオーバー
Atlanta Streetcar,アトランタ・ストリートカー
Lyft,Lyft
Smashburger,Smashburger
NFL Honors,NFLオナーズ
Saturn Award for Best Thriller Film,サターンスリラー映画賞
Upjohn,アップジョン社
SpaceX CRS-7,スペースX・CRS-7
Middleton Island,ミドルトン島
Naval Submarine Base Bangor,バンゴール海軍潜水艦基地
Ripple Labs,リップル・(企業)
Trade Act of 1974,1974年通商法
UFC Fight Night: Bigfoot vs. Arlovski,UFC・Fight・Night:・Bigfoot・vs.・Arlovski
Killing of Eric Garner,エリック・ガーナー窒息死事件
Rovers FC (Guam),ローヴァースFC・(グアム)
UFC 180,UFC・180
2014 US Open – Mixed doubles,2014年全米オープン混合ダブルス
Manuʻa Islands,マヌア諸島
Overland Limited (UP train),オーヴァーランド・リミテッド
UFC Fight Night: Bader vs. Saint Preux,UFC・Fight・Night:・Bader・vs.・St.・Preux
2022 World Games,ワールドゲームズ2022
UFC 182,UFC・182
Nokia Lumia 830,Nokia・Lumia・830
15th Annual Latin Grammy Awards,第15回ラテン・グラミー賞
UFC Fight Night: Machida vs. Dollaway,UFC・Fight・Night:・Machida・vs.・Dollaway
2014 MLS Cup Playoffs,MLSカップ・プレーオフ・2014
Sekai Project,Sekai・Project
Nut rage incident,大韓航空ナッツ・リターン
UFC Fight Night: Jacaré vs. Mousasi,UFC・Fight・Night:・Jacare・vs.・Mousasi
Deeplearning4j,Deeplearning4j
UFC 183,UFC・183
Murder of Kitty Genovese,キティ・ジェノヴィーズ事件
Tacoma Defiance,タコマ・ディファイアンス
2015 US Open (tennis),2015年全米オープン・(テニス)
UFC Fight Night: Mendes vs. Lamas,UFC・Fight・Night:・Mendes・vs.・Lamas
UFC Fight Night: McGregor vs. Siver,UFC・Fight・Night:・McGregor・vs.・Siver
"Rapture, Indiana",ラプチャー・(インディアナ州)
African-American Film Critics Association Awards 2014,第12回アフリカン・アメリカン映画批評家協会賞
Hollywood Film Awards,ハリウッド映画賞
San Francisco Film Critics Circle Awards 2014,第13回サンフランシスコ映画批評家協会賞
The Game Awards,The・Game・Awards
San Diego Film Critics Society Awards 2014,第19回サンディエゴ映画批評家協会賞
Team Envy,Team・Envy
Redhead murders,レッドヘッド・マーダーズ
Stance (brand),STANCE・(ブランド)
WeWork,WeWork
BioSentinel,BioSentinel
Fleet Air Reconnaissance Squadron 4 (United States Navy),第4艦隊偵察飛行隊・(アメリカ海軍)
Hack Reactor,Hack・Reactor
Dallas Wings,ダラス・ウィングス
Runhappy,ランハッピー
VP-1,第1哨戒飛行隊・(アメリカ海軍)
Battle of Palmdale,パームデールの戦い
2022 World Athletics Championships,2022年世界陸上競技選手権大会
4th Annual NFL Honors,第4回NFLオナーズ
Amphibious command ship,揚陸指揮艦
Legacy Fighting Championship,Legacy・Fighting・Championship
Paint the Night,ペイント・ザ・ナイト
Hewlett Packard Enterprise,ヒューレット・パッカード・エンタープライズ
Oregon Tool,オレゴン・ツール
Jerry West Award,ジェリー・ウェスト賞
89th Academy Awards,第89回アカデミー賞
Apple Park,Apple・Park
History of copyright law of the United States,著作権法の歴史・(アメリカ合衆国)
Online Film Critics Society Awards 2015,第19回オンライン映画批評家協会賞
New York and Brighton Beach Railway,ニューヨーク・アンド・ブライトンビーチ鉄道
2015 US Open – Women's doubles,2015年全米オープン女子ダブルス
Reeve Aleutian Airways Flight 8,リーブ・アリューシャン航空8便緊急着陸事故
UFC Fight Night: Hunt vs. Mir,UFC・Fight・Night:・Hunt・vs.・Mir
List of presidents of the United States who owned slaves,奴隷を所有していたアメリカ合衆国大統領の一覧
Riseup,Riseup
OpenAI,OpenAI
UFC Fight Night: Hendricks vs. Thompson,UFC・Fight・Night:・Hendricks・vs.・Thompson
Razzie Redeemer Award,ゴールデンラズベリー賞・名誉挽回賞
Stellar Wind (horse),ステラーウインド
NYX Professional Makeup,ニックス・プロフェッショナル・メイクアップ
UFC 201,UFC・201
UFC 200,UFC・200
2016 US Open (tennis),2016年全米オープン・(テニス)
UFC Fight Night: Rodríguez vs. Caceres,UFC・Fight・Night:・Rodriguez・vs.・Caceres
California National Party,カリフォルニア国民党
1974 United States vice presidential confirmation,1974年アメリカ合衆国副大統領承認
59th Annual Grammy Awards,第59回グラミー賞
American Airlines Shuttle,アメリカン航空シャトル
Inverse (website),インヴァース
Black River Island,ブラック・リバー島
Philadelphia Summer Championships,フィラデルフィアサマーインターナショナル
2019 Four Continents Figure Skating Championships,2019年四大陸フィギュアスケート選手権
United States declaration of war on Austria-Hungary,アメリカ合衆国の対墺洪宣戦布告
Duffer brothers,ダファー兄弟
UFC Fight Night: Lewis vs. Abdurakhimov,UFC・Fight・Night:・Lewis・vs.・Abdurakhimov
UFC Fight Night: Cyborg vs. Länsberg,UFC・Fight・Night:・Cyborg・vs.・Lansberg
2016 CS U.S. International Figure Skating Classic,2016年USインターナショナルクラシック
American Airlines Flight 383 (2016),アメリカン航空383便エンジン故障事故
UFC on Fox: Shevchenko vs. Peña,UFC・on・FOX・23
2018 United States Senate election in Michigan,2018年アメリカ合衆国上院議会議員選挙・(ミシガン州)
Northrop Grumman Tern,ノースロップ・グラマン・Tern
Abel Tasman (horse),エイベルタズマン
69th Primetime Emmy Awards,第69回プライムタイム・エミー賞
2017 International Champions Cup,インターナショナル・チャンピオンズ・カップ・2017
Hong Kong Human Rights and Democracy Act,2019年香港人権・民主主義法
Alternative facts,もう一つの事実
UFC Fight Night: Holm vs. Correia,UFC・Fight・Night:・Holm・vs.・Correia
WWE Great Balls of Fire,WWEグレート・ボールズ・オブ・ファイヤー
Zipline (drone delivery company),Zipline
Time in the United States Virgin Islands,アメリカ領ヴァージン諸島時間
Strategic and Policy Forum,大統領戦略政策フォーラム
UFC 222,UFC・222
UFC 223,UFC・223
Wish (company),Wish・(ECサイト)
Commercial Lunar Payload Services,商業月面輸送サービス
Nuro,ニューロ・(企業)
Seattle Seawolves,シアトル・シーウルブズ
Boston Society of Film Critics Awards 2017,第38回ボストン映画批評家協会賞
The Eldridge Hotel,エルドリッジ・ホテル
UFC 219,UFC・219
Justia,Justia
Marvel Music,マーベル・ミュージック
MoonJune Records,ムーンジューン・レコード
UFC Fight Night: Brunson vs. Machida,UFC・Fight・Night:・Brunson・vs.・Machida
Puerto Rico at the 2018 Winter Olympics,2018年平昌オリンピックのプエルトリコ選手団
Austin Gilgronis,オースティン・ギルグロニス
Albert Einstein House,アルベルト・アインシュタインの家
Southwest Airlines Flight 1380,サウスウエスト航空1380便エンジン爆発事故
Maxar Technologies,マクサー・テクノロジーズ
7th Annual NFL Honors,第7回NFLオナーズ
Los Angeles Valiant,ロサンゼルス・ヴァリアント
UFC 225,UFC・225
Milwaukee Milkmen,ミルウォーキー・ミルクメン
New England Free Jacks,ニューイングランド・フリージャックス
"Vinegar Hill (Charlottesville, Virginia)",ビネガーヒル
Hoʻolulu Park,ホオルル公園
Green Lake (Hawaii),グリーン湖・(ハワイ)
Sikorsky–Boeing SB-1 Defiant,SB-1・デファイアント
SPARC (tokamak),SPARC・(トカマク型)
Wag (company),Wag・(企業)
2018 National League Championship Series,2018年のナショナルリーグチャンピオンシップシリーズ
SpaceX Crew-1,スペースX・Crew-1
22nd Hollywood Film Awards,第22回ハリウッド映画賞
Austin FC,オースティンFC
Lantern Entertainment,ランタン・エンタテインメント
Apple Card,Apple・Card
Apple TV%2B,Apple・TV%2B
2020 St. Louis Cardinals season,2020年のセントルイス・カージナルス
2020 Texas Rangers season,2020年のテキサス・レンジャーズ
Joker Stairs,ジョーカー・ステアーズ
KFVE,KFVE
Saturn Award for Best Actor in a Streaming Television Series,サターンストリーミング主演男優賞
2018 Anchorage earthquake,アンカレッジ地震・(2018年)
2018 New York Film Critics Circle Awards,第84回ニューヨーク映画批評家協会賞
MedRxiv,MedRxiv
MeWe,Mewe・(SNS)
Escondido mosque fire,エスコンディードモスク放火事件
62nd Annual Grammy Awards,第62回グラミー賞
2019 US Open – Men's singles,2019年全米オープン男子シングルス
Warner Records,ワーナー・レコード
Peacock (streaming service),Peacock
26th Screen Actors Guild Awards,第26回全米映画俳優組合賞
Guam at the 2019 World Athletics Championships,2019年世界陸上競技選手権大会グアム選手団
UFC on ESPN: Overeem vs. Harris,UFC・on・ESPN:・Overeem・vs.・Harris
2020–21 Minnesota Timberwolves season,2020-21シーズンのミネソタ・ティンバーウルブズ
Castillo de San Marcos,サンマルコス砦
The Clean Network,クリーンネットワーク計画
UFC Fight Night: Anderson vs. Błachowicz 2,UFC・Fight・Night:・Anderson・vs.・Błachowicz・2
2nd Pornhub Awards,第2回Pornhubアワード
United States at the 2022 Winter Olympics,2022年北京オリンピックのアメリカ合衆国選手団
Blackpool Combat Club,ザ・ブラックプール・コンバット・クラブ
Executive Order 14032,大統領令14032
2021 Major League Baseball draft,2021年のMLBドラフト
2021 Los Angeles Dodgers season,2021年のロサンゼルス・ドジャース
2021–22 NBA season,2021-2022シーズンのNBA
Miami International Autodrome,マイアミ・インターナショナル・オートドローム
2020–21 Boston Celtics season,2020-21シーズンのボストン・セルティックス
Boston Society of Film Critics Awards 2020,第41回ボストン映画批評家協会賞
2021 Skate America,2021年スケートアメリカ
2020 American League Division Series,2020年のアメリカンリーグディビジョンシリーズ
San Diego Film Critics Society Awards 2020,第25回サンディエゴ映画批評家協会賞
Kansas City Current,カンザスシティ・カレント
2021 World Series,2021年のワールドシリーズ
2021 Houston MD-87 crash,2021年ヒューストンMD-87離陸失敗事故
2022 Arizona Diamondbacks season,2022年のアリゾナ・ダイヤモンドバックス
2022 Los Angeles Angels season,2022年のロサンゼルス・エンゼルス
2022 Milwaukee Brewers season,2022年のミルウォーキー・ブルワーズ
2022 Seattle Mariners season,2022年のシアトル・マリナーズ
Boston Society of Film Critics Awards 2021,第42回ボストン映画批評家協会賞
2024 United States elections,2024年アメリカ合衆国選挙
UFC 279,UFC・279
UFC Fight Night: Dern vs. Yan,UFC・Fight・Night:・Dern・vs.・Yan
Mega64,Mega64
UFC 269,UFC・269
2021–22 Los Angeles Clippers season,2021-22シーズンのロサンゼルス・クリッパーズ
Archer Aviation,アーチャー・アヴィエーション
Japanese Language School of Greater Hartford,ハートフォード日本語補習校
UFC on ESPN: Santos vs. Hill,UFC・on・ESPN:・Santos・vs.・Hill
UFC Fight Night: Rodriguez vs. Lemos,UFC・Fight・Night:・Rodriguez・vs.・Lemos
El Capitan (supercomputer),El・Capitan・(スーパーコンピュータ)
2022 World Athletics Championships – Men's 20 kilometres walk,2022年世界陸上競技選手権大会・男子20km競歩
2022 World Athletics Championships – Men's 200 metres,2022年世界陸上競技選手権大会・男子200m
2022 World Athletics Championships – Men's 400 metres,2022年世界陸上競技選手権大会・男子400m
2022 World Athletics Championships – Men's pole vault,2022年世界陸上競技選手権大会・男子棒高跳
2022 World Athletics Championships – Women's 400 metres,2022年世界陸上競技選手権大会・女子400m
2022 World Athletics Championships – Women's hammer throw,2022年世界陸上競技選手権大会・女子ハンマー投
2022 World Athletics Championships – Women's triple jump,2022年世界陸上競技選手権大会・女子三段跳
UFC 282,UFC・282
United States,アメリカ合衆国
Indiana,インディアナ州
Pennsylvania,ペンシルベニア州
New York (state),ニューヨーク州
GitHub,GitHub
Google%2B,Google%2B
IPad,IPad
Microsoft,マイクロソフト
2022 United States Grand Prix,2022年アメリカグランプリ
African-American Vernacular English,黒人英語
Ketanji Brown Jackson Supreme Court nomination,ケタンジ・ブラウン・ジャクソンの最高裁判所判事指名
1904 Summer Olympics,1904年セントルイスオリンピック
United States Army,アメリカ陸軍
United States Armed Forces,アメリカ軍
United States Marine Corps,アメリカ海兵隊
Upper Manhattan,アッパー・マンハッタン
United States Secretary of State,アメリカ合衆国国務長官
South Carolina,サウスカロライナ州
Coca-Cola,コカ・コーラ
UFC on ESPN: Blaydes vs. Daukaus,UFC・on・ESPN:・Blaydes・vs.・Daukaus
Musk family,マスク家
2023 IMSA SportsCar Championship,2023年のウェザーテック・スポーツカー選手権
Attack on Paul Pelosi,ポール・ペロシ襲撃事件
New York City,ニューヨーク
Boeing,ボーイング
"Chicot County, Arkansas",チコット郡・(アーカンソー州)
"San Juan County, Utah",サンフアン郡・(ユタ州)
"Waller County, Texas",ウォーラー郡・(テキサス州)
Sierra Nevada,シエラネバダ山脈・(アメリカ合衆国)
"Colorado County, Texas",コロラド郡・(テキサス州)
Eyak language,イヤック語
Mount St. Helens,セント・ヘレンズ山
American Airlines,アメリカン航空
Susquehanna River,サスケハナ川
John F. Kennedy International Airport,ジョン・F・ケネディ国際空港
Lake Erie,エリー湖
"Grand Forks, North Dakota",グランドフォークス・(ノースダコタ州)
Ojibwe language,オジブウェー語
"Ward County, North Dakota",ウォード郡・(ノースダコタ州)
"Warwick, Rhode Island",ウォリック・(ロードアイランド州)
"Wells County, North Dakota",ウェルズ郡・(ノースダコタ州)
"Jackson, Alabama",ジャクソン・(アラバマ州)
"Newaygo County, Michigan",ニウェーゴ郡・(ミシガン州)
"Shishmaref, Alaska",シシュマレフ・(アラスカ州)
Santa Cruz Warriors,サンタクルーズ・ウォリアーズ
"DeWitt County, Texas",デウィット郡・(テキサス州)
"McMullen County, Texas",マクマレン郡・(テキサス州)
"Delaware County, Pennsylvania",デラウェア郡・(ペンシルベニア州)
"Morgan County, Utah",モーガン郡・(ユタ州)
UFC Fight Night: Cannonier vs. Strickland,UFC・Fight・Night:・Cannonier・vs.・Strickland
UFC Fight Night: Strickland vs. Imavov,UFC・Fight・Night:・Strickland・vs.・Imavov
"Tulsa, Oklahoma",タルサ・(オクラホマ州)
"Lansing, Michigan",ランシング・(ミシガン州)
Jeep,ジープ
"Burlington, Vermont",バーリントン・(バーモント州)
Choctaw language,チョクトー語
Philadelphia International Records,フィラデルフィア・インターナショナル・レコード
"Hollywood, Los Angeles",ハリウッド
Martha's Vineyard Sign Language,マーサズ・ヴィンヤード手話
"Bismarck, North Dakota",ビスマーク・(ノースダコタ州)
"Cheyenne, Wyoming",シャイアン・(ワイオミング州)
Empire State Building,エンパイア・ステート・ビルディング
Slovenes,スロベニア人
Stanford University,スタンフォード大学
San Diego,サンディエゴ
Cincinnati,シンシナティ
Global Positioning System,グローバル・ポジショニング・システム
"Charleston, West Virginia",チャールストン・(ウェストバージニア州)
Baker Island,ベーカー島
"Palo Alto, California",パロアルト・(カリフォルニア州)
"Pembina County, North Dakota",ペンビナ郡・(ノースダコタ州)
"Brockton, Massachusetts",ブロックトン・(マサチューセッツ州)
"North Adams, Massachusetts",ノースアダムズ・(マサチューセッツ州)
"Northampton County, Virginia",ノーサンプトン郡・(バージニア州)
"Salem, Massachusetts",セイラム・(マサチューセッツ州)
"Hampshire County, Massachusetts",ハンプシャー郡・(マサチューセッツ州)
"Norwalk, Connecticut",ノーウォーク・(コネチカット州)
"Cheshire County, New Hampshire",チェシャー郡・(ニューハンプシャー州)
"Strafford County, New Hampshire",ストラッフォード郡・(ニューハンプシャー州)
North Station,ノース駅・(ボストン)
Punjabi language,パンジャーブ語
Pioneer 10,パイオニア10号
Pioneer 11,パイオニア11号
Southeast Asia,東南アジア
"Decatur, Alabama",ディケーター・(アラバマ州)
Interstate 20,州間高速道路20号線
Lonely Planet,ロンリープラネット
Interstate 35,州間高速道路35号線
Interstate 45,州間高速道路45号線
Interstate 64,州間高速道路64号線
Interstate 70,州間高速道路70号線
"Orlando, Florida",オーランド
"Marion County, Arkansas",マリオン郡・(アーカンソー州)
"Pulaski County, Arkansas",プラスキ郡・(アーカンソー州)
"Denton County, Texas",デントン郡・(テキサス州)
"Sonoma County, California",ソノマ郡・(カリフォルニア州)
Indianapolis Motor Speedway,インディアナポリス・モーター・スピードウェイ
Big Apple,ビッグ・アップル・(ニューヨーク市)
Houston,ヒューストン
Federalist Party,連邦党
PNC Financial Services,PNCファイナンシャルサービシズ
Airbnb,Airbnb
1892 United States presidential election,1892年アメリカ合衆国大統領選挙
National Center for Biotechnology Information,アメリカ国立生物工学情報センター
Navassa Island,ナヴァッサ島
Nicktoons (American TV channel),ニックトゥーンズ
Academy Award for Best Picture,アカデミー作品賞
"Weld County, Colorado",ウェルド郡・(コロラド州)
Apollo 11,アポロ11号
"Amherst, Massachusetts",アマースト・(マサチューセッツ州)
Fox Sports Networks,FOXスポーツネット
GameSpot,GameSpot
"Lewisville, Texas",ルイスビル・(テキサス州)
"Robertson County, Texas",ロバートソン郡・(テキサス州)
ImageShack,ImageShack
Radio Disney,ラジオ・ディズニー
Roanoke Colony,ロアノーク植民地
"Leon County, Texas",レオン郡・(テキサス州)
"Wasatch County, Utah",ワサッチ郡・(ユタ州)
LPGA,全米女子プロゴルフ協会
Walloon language,ワロン語
Washo language,ワショ語
Motown,モータウン
"Mercer County, North Dakota",マーサー郡・(ノースダコタ州)
National Museum of African Art,国立アフリカ美術館
"Port Arthur, Texas",ポートアーサー・(テキサス州)
"Lynn, Massachusetts",リン・(マサチューセッツ州)
"Middletown, Connecticut",ミドルタウン・(コネチカット州)
Radcliffe College,ラドクリフ・カレッジ
WrestleMania III,レッスルマニアIII
WrestleMania VIII,レッスルマニアVIII
"Middlesex County, Massachusetts",ミドルセックス郡・(マサチューセッツ州)
"Medford, Massachusetts",メドフォード・(マサチューセッツ州)
"Plymouth County, Massachusetts",プリマス郡・(マサチューセッツ州)
"Bristol County, Rhode Island",ブリストル郡・(ロードアイランド州)
"Marlborough, Massachusetts",マールボロ・(マサチューセッツ州)
Las Vegas,ラスベガス
Warner Music Group,ワーナー・ミュージック・グループ
"Carrollton, Texas",キャロルトン・(テキサス州)
"Kit Carson County, Colorado",キットカーソン郡・(コロラド州)
"Watertown, Massachusetts",ウォータータウン・(マサチューセッツ州)
Hawaiian Pidgin,ハワイ・クレオール英語
Pontic Greek,ギリシア語ポントス方言
WWE Classics on Demand,WWE・24/7
WWE Hall of Fame,WWE殿堂
"Ashley County, Arkansas",アシュリー郡・(アーカンソー州)
Hachette Books,アシェットブックス
Mozilla Foundation,Mozilla・Foundation
Solar Radiation and Climate Experiment,SORCE
Comedy Central,コメディ・セントラル
Cooper Union,クーパー・ユニオン
"Odessa, Texas",オデッサ・(テキサス州)
"Arkansas County, Arkansas",アーカンソー郡・(アーカンソー州)
"Woodruff County, Arkansas",ウッドラフ郡・(アーカンソー州)
IBM,IBM
"Clark County, Washington",クラーク郡・(ワシントン州)
James Clerk Maxwell Telescope,ジェームズ・クラーク・マクスウェル望遠鏡
Kroger,クローガー
"Santa Clara County, California",サンタクララ郡
"Christian County, Illinois",クリスチャン郡・(イリノイ州)
"Karnes County, Texas",カーンズ郡・(テキサス州)
"Bastrop County, Texas",バストロップ郡・(テキサス州)
Penthouse (magazine),ペントハウス・(雑誌)
"Bond County, Illinois",ボンド郡・(イリノイ州)
"Bureau County, Illinois",ビュロー郡・(イリノイ州)
"Butte County, Idaho",ビュート郡・(アイダホ州)
"Franklin County, Ohio",フランクリン郡・(オハイオ州)
"Peoria County, Illinois",ピオリア郡・(イリノイ州)
"Big Stone County, Minnesota",ビッグストーン郡・(ミネソタ州)
"Van Zandt County, Texas",バンザント郡・(テキサス州)
Rotten Tomatoes,Rotten・Tomatoes
Baldwin Piano Company,ボールドウィン・ピアノ・カンパニー
"Bolivar County, Mississippi",ボリバー郡・(ミシシッピ州)
Palmyra Atoll,パルミラ環礁
Pixar,ピクサー・アニメーション・スタジオ
ArXiv,ArXiv
"Atlantic City, New Jersey",アトランティックシティ
Erie SeaWolves,エリー・シーウルブズ
"Beverly Hills, California",ビバリーヒルズ
Golden Gate Bridge,ゴールデン・ゲート・ブリッジ
Green Mountains,グリーン山脈
"Douglas County, Minnesota",ダグラス郡・(ミネソタ州)
"Hansford County, Texas",ハンスフォード郡・(テキサス州)
"Greensboro, North Carolina",グリーンズボロ・(ノースカロライナ州)
"Dallas County, Iowa",ダラス郡・(アイオワ州)
"Dawson County, Texas",ドーソン郡・(テキサス州)
"Garden Grove, California",ガーデングローブ・(カリフォルニア州)
Goddard Space Flight Center,ゴダード宇宙飛行センター
"Daggett County, Utah",ダゲット郡・(ユタ州)
"Dakota County, Minnesota",ダコタ郡・(ミネソタ州)
"DeWitt County, Illinois",デウィット郡・(イリノイ州)
"Ogden, Utah",オグデン・(ユタ州)
"Santa Cruz County, Arizona",サンタクルス郡・(アリゾナ州)
South Station,サウス駅・(ボストン)
"Haskell County, Texas",ハスケル郡・(テキサス州)
"Swisher County, Texas",スウィッシャー郡・(テキサス州)
"Graham County, Arizona",グレアム郡・(アリゾナ州)
"Montcalm County, Michigan",モンカルム郡・(ミシガン州)
"Skagit County, Washington",スカジット郡・(ワシントン州)
