衛德明,ヘルムート・ウィルヘルム
陳曉明,陳暁明
秦旺平,秦旺平
柴静,柴静
柴松岳,柴松岳
柴泽民,柴沢民
張敏,チョン・マン
李若彤,カルマン・リー
周家怡,キャサリン・チャウ
梁雨恩,キャシー・リョン
姚德芬,姚徳芬
湯漢,湯漢
艾芜,艾蕪
山度士,レスリー・サントス
劉柏年,劉柏年
孙国强,孫国強
史铁生,史鉄生
杨影,楊影
乔云萍,喬云萍
楊愛瑾,ミキ・ヨン
韩聪,韓聰
苏炳添,蘇炳添
赵祖康,趙祖康
田源,田源
凌婉婷,凌婉婷
杨超声,楊超声
孙耀庭,孫耀庭
蔣文文,蒋文文
蔣婷婷,蒋テイテイ
張其昀,張其キン
李娜,李娜
陳光榮,陳光栄
尧乐博斯,ユルバース・カーン
袁华,袁華
何厚鏵,何厚カ
史冬鹏,史冬鵬
潘凤贞,潘鳳貞
陳雅倫,エレン・チャン
陳欣健,フィリップ・チャン
杨根思,楊根思
梁家仁,レオン・カーヤン
胡綜,胡綜
應昌佑,チャールズ・イン
陈爱莲,陳愛蓮
常书鸿,常書鴻
常振明,常振明
晁娜,晁娜
陈子荷,陳子荷
夏梦,シア・モン
芮乃伟,芮廼偉
王妍,王妍
高淑英,高淑英
邵逸夫,邵逸夫
刘诗雯,劉詩雯
柳荫,柳蔭
葉群,葉群
岳清爽,岳清爽
李玲,李玲
戚本禹,戚本禹
陈关荣,陳関栄
李玲 (撑竿跳高运动员),李玲 (棒高跳)
樊麾,樊麾
戚发轫,戚発軔
孙文雁,孫文雁
韦国清,韋国清
郝帅,郝帥
朱民,朱民
谷思雨,谷思雨
关英楠,関英楠
孙来燕,孫来燕
劉兆芝,劉兆芝
王超華,王超華
向華強,チャールズ・ヒョン
關兆昌,チャールズ・クワン
高凤莲,高鳳蓮
高峰,高峰
葉偉信,ウィルソン・イップ
廖锡龙,廖錫竜
傅雷,フー・レイ
贾鹏芳,賈鵬芳
江帆,江帆
江永华,江永華
刘璇,劉セン
李斌,李斌
林菱,林菱
高嵩,高崧
何冠昌,レナード・ホー
林家棟,林家棟
胡應湘,胡応湘
孔泉,孔泉
田原,田原
施廷懋,施廷懋
葛新爱,葛新爱
黄雪辰,黄雪辰
徐震,徐震 (武術史家)
王洁,王潔
江伊晴,エレイン・コン
孙菲菲,孫菲菲
李洛能,李洛能
伍家朗,伍家朗
陳正祥,陳正祥
张军钊,張軍釗
王適嫻,王適嫻
哈達,ハダ
贺平,賀平
何智丽,小山ちれ
杨云,楊雲
郑李辉,鄭李輝
肖俊峰,肖俊峰
荣昊,栄昊
江欣燕,エルヴィーナ・コン
武杨,武楊
馮亞蘭,馮亞蘭
范瑛,范瑛
陈歌辛,陳歌辛
李偉文,李偉文
薛明,薛明
周苏红,周蘇紅
韓瑩,ハン・イン
高树勋,高樹勲
李玲蔚,李玲蔚 (陸上選手)
孔令輝,孔令輝
虞朝鸿,呉朝鴻
刘宏宇,劉宏宇
西川,西川
唐鵬,唐鵬
邱禮濤,ハーマン・ヤウ
曾雪明,曾雪明
倪妮,倪妮
陈建功,陳建功
陈静,陳静
方励之,方励之
張之亮,ジェイコブ・C・L・チャン
劳义,労義
李炜,李煒
陶虹,陶虹
何英强,何英強
滕海滨,滕海浜
邢傲伟,邢傲偉
陳觀泰,チェン・カンタイ
陈雷 (足球运动员),陳雷
廖力生,廖力生
方镜淇,方鏡淇
胡威威,胡威威
王安憶,王安憶
姜華珺,姜華君
毛岸青,毛岸青
陈中,陳中
謝天華,マイケル・ツェー
王晓东,王暁東
郭小橹,シャオルー・グォ
易中天,易中天
袁隆平,袁隆平
胡杰,胡傑
胡凱,胡凱
宦乡,宦郷
李丹,李丹 (体操選手)
梁相,梁相
李保东,李保東
阚桂香,闞桂香
霍英東,霍英東
嵯峨浩,嵯峨浩
陳琳,陳琳
丁美媛,丁美媛
陳瑋,陳瑋
王喜,王喜
石宗源,石宗源
吉炳轩,吉炳軒
黄雅琼,黄雅瓊
戴晴,戴晴
曾志偉,曾志偉
刘金莉,劉金莉
谷德昭,ヴィンセント・コク
王洪文,王洪文
李芳,李芳
黎国介,黎国介
李金哲,李金哲
卜濤,卜濤
侯凤连,侯鳳連
馮飛,馮飛
陳俊毅,陳俊毅
马晓旭,馬暁旭
梁光烈,梁光烈
吕祖善,呂祖善
蔡国強,蔡國強
陈紫函,チェン・シーハン
成仿吾,成仿吾
程建萍,程建萍
胡贇,胡贇
白丽珠,白虹
陶紅,陶紅
李越宏,李越宏
陳曉婷,陳曉テイ
林一峰,チェット・ラム
迟尚斌,遅尚斌
迟万春,遅万春
陈用林,陳用林
胡杏兒,ミョーリー・ウー
吴文俊,呉文俊
格非,格非
孙葆洁,孫葆潔
郗恩庭,郗恩庭
陈奇涵,陳奇涵
陈姗姗,チェン・シャンシャン
王晓理,王暁理
陈云林,陳雲林
陈志,チェン・ジー
陈中伟,陳中偉
刘延东,劉延東
帖雅娜,帖雅娜
李致新,李致新
努尔·白克力,ヌル・ベクリ
李婷,李婷
牛剑锋,牛剣鋒
刘海粟,劉海粟
吕会会,呂会会
宋靜秀,ルシル・スーン
陸定一,陸定一
王琳,王琳
劉孝生,劉孝生
范忠良,范忠良
蕭正楠,エドウィン・シウ
傅穎,テレサ・フー
龔如心,龔如心
何超儀,ジョシー・ホー
楊茜堯,タビア・ヨン
錢小豪,チン・シュウホウ
清格爾泰,チンゲルテイ
邱翠玲,邱翠玲
朱倩蔚,朱倩蔚
孟苏平,孟蘇平
傅铁山,傅鉄山
田刚,田剛
李惠芬,李惠芬
王燊超,王シン超
周松崗,チォウ・チュンコン
黄穗,黄穂
李敏,李敏
罗紫琳,羅紫琳
詩雅,ミシェール・ワイ
焦志敏,焦志敏
徐夢桃,徐夢桃
阎红,閻紅
曹怀东,曹懐東
梁漢文,エドモンド・リョン
秦基伟,秦基偉
關楚耀,ケルビン・クァン
于幼军,于幼軍
方力钧,方力鈞
袁紅冰,袁紅氷
陆滢,陸瀅
陈坤,陳坤
袁纯清,袁純清
陈金,陳金
丁关根,丁関根
肖钢,肖鋼
艾敬,艾敬
汪道涵,汪道涵
呂文成,呂文成
黄華東,黄華東
葉姵延,葉姵延
爾冬陞,イー・トンシン
吴立红,呉立紅
张津京,張京津
畢文靜,畢文静
张思之,張思之
汪佳捷,汪佳捷
董芳霄,董方宵
杨雪霏,スーフェイ・ヤン
艾尔肯·阿布甫泰肯,エルキン・アルプテキン
周笔畅,周筆暢
區瑞強,アルバート・アウ
區文詩,アンジェラ・アウ
薛凱琪,フィオナ・シット
石智勇,石智勇
齊廣璞,斉広璞
回良玉,回良玉
赛福鼎·艾则孜,セイプディン・エズィズィ
王旭,王旭
陈伟强,陳偉強
杨帆,楊帆
蘇進安,ソ・チン・アン
多多,多多
白玛赤林,ペマ・ティンレー
董必武,董必武
宁瀛,ニン・イン
于丹,于丹
孙紅雷,孫紅雷
錢三強,銭三強
达理扎雅,ダリジャヤ
秦东亚,秦東亜
李娜,李娜
李嘉齡,カ・リン・コリーン・リー
从维熙,従維熙
饶雪漫,饒雪漫
霍耀良,クラレンス・フォク
毛孟靜,クラウディア・モー
付宝荣,付宝栄
凌力,凌力
张震,張震 (軍人)
卢兰,盧蘭
闵春风,閔春風
宋丹 (田径运动员),宋丹
褚桂亭,褚桂亭
冯仁亮,馮仁亮
司马义·铁力瓦尔地,司馬義・鉄力瓦爾地
蔡慧康,蔡慧康
江玟玟,江玟玟
朝克,ドラール・オソル・朝克
戴丽丽,戴麗麗
戴琳,戴琳
葉詠詩,葉詠詩
隋文静,隋文静
蔡雪桐,蔡雪桐
崔永元,崔永元
邱波,邱波
姚晨,姚晨
楊秀麗,楊秀麗
师涛,師涛
蒋洁敏,蒋潔敏
費孝通,費孝通
莫慧兰,莫慧蘭
范斌 (体操),范斌
启功,啓功
黃淳樑,黄淳樑
于荣光,于栄光
刘仲藜,劉仲藜
艾斯海提·克里木拜,アシハテ・クリムバ
許冠英,リッキー・ホイ
萬里,万里
霍建起,霍建起
路遥,路遙
赵沙沙,趙沙沙
陳忠實,陳忠実
阿不来提·阿不都热西提,アブラテ・アブドルシテ
刘晓江,劉暁江
胡煥庸,胡煥庸
許榮茂,許栄茂
沈跃跃,沈躍躍
曾山,曽山
王旭烽,王旭烽
柳亚子,柳亜子
許崇智,許崇智
骆惠宁,駱恵寧
蔡奇,蔡奇
张炜,張煒
谢震业,謝震業
邓清明,鄧清明
邓薇,トウ薇
邓小飞,鄧小飛
周克芹,周克芹
霍达,霍達
李少红,リー・シャオホン
刘复之,劉復之
黄火青,黄火青
韩杼滨,韓杼濱
聂卫国,聶衛国
竺可桢,竺可楨
迟浩田,遅浩田
彭冲,彭沖
叶莉,葉莉
李文珊,ミシェル・リー (バドミントン選手)
朱玲,朱玲
董洁,董潔
高昌礼,高昌礼
游達志,遊達志
吉新鹏,吉新鵬
馮德倫,スティーヴン・フォン
傅全有,傅全有
馬洪,馬洪
陆昊,陸昊
井柏然,井柏然
李英健,マーチー・リー
李翊云,イーユン・リー
宋秀岩,宋秀岩
袁和平,ユエン・ウーピン
穆铁柱,穆鉄柱
林风眠,林風眠
袁伟民,袁偉民
鍾舒漫,シャーマン・チョン
黎錦暉,黎錦睴
张左己,張左己
康克清,康克清
宋德福,宋徳福
郭榮鏗,郭栄鏗
丁噹,丁噹
鄧永鏘,デヴィッド・タン
石天,ディーン・セキ
王珉,王珉
溫兆倫,デリック・ワン
何維健,何維健
李红侠,李紅俠
储安平,儲安平
董文華,董文華
董学升,董学升
董勇,董勇
劉佳宇,劉佳宇
庞伟,龐偉
马龙,馬龍
丁扬,丁楊
丁仲礼,丁仲礼
董超,董超
孙家栋,孫家棟
田纪云,田紀雲
马军,馬鈞
慧文,慧文
湯怡,湯怡
邓稼先,鄧稼先
陈焕友,陳煥友
郭可信,郭可信
刘相蓉,劉相蓉
何灼强,何灼強
申思,申思
孫玥,孫玥
小肥,テレンス・チョイ
丁磊,丁磊
丁伟,丁偉
张平,張平
程晖,程暉
赵玉雕,趙玉彫
盛泽田,盛澤田
汪嵩,汪嵩
乔溪彬,チャオチャオ
马彤,馬彤
刘丽,劉麗
杨志成,エド・ヤング
高雄,コウ・ホン
陳坤耀,エドワード・チェン
蔡武,蔡武
邓以明,鄧以明
傅莹,付瑩
王度,王度
姜波,姜波
董艳梅,董艶梅
李長江,李長江
焦刘洋,焦劉洋
王峥,王峥
陈奇,陳奇
顾俊杰,顧俊傑
刘玉香,劉玉香
吕文君,呂文君
邱騰華,邱騰華
袁雪芬,袁雪芬
陶伟,陶偉
小沈阳,小沈陽
徐妍玮,徐姸瑋
景海鹏,景海鵬
娜塔莉·門多薩,ナタリー・メンドゥザ
李玮锋,李瑋鋒
黄潇潇,黄瀟瀟
刘欢,劉歓
蔡楓華,ケン・チョイ
賈樟柯,賈樟柯
黎斐,黎斐
罗布江村,ギェンツェン・ノルブ
徐嬌,徐嬌
徐媛,徐媛
许永跃,許永躍
樊纲,樊網
段举,段挙
段义和,段義和
李洋,李洋
杜庆华,杜慶華
杜聿明,杜聿明
高丽华,高麗華
徐玉華,徐玉華
张益萌,張益萌
李永達,李永達
李大双,李大双
曹海波,曹海波
蔡振华,蔡振華
王涵,王涵
李嘉威,リー・カーウェイ
杨洋,楊洋
贾昱冰,賈イク冰
纪伟,紀偉
江华,江華
劉鎮偉,ジェフ・ラウ
董春雨,董蘅毅
董国建,董国建
宋容慧,宋容慧
梦鸽,夢鴿
李双江,李双江
朴成,朴成
徐光春,徐光春
周伯华,周伯華
刘晓明,劉曉明
陳屈,チェン・チュー
吴学谦,呉学謙
李肇星,李肇星
韩红,韓紅
劉霞,劉霞
于汉超,于漢超
马朝旭,馬朝旭
谢赫,謝赫
唐九红,唐九紅
李富荣,李富栄
马化腾,馬化騰
關海山,クワン・ホイサン
蔣志光,蒋志光
聂元梓,聶元梓
屠呦呦,屠呦呦
白靈,バイ・リン
王菲,王菲
衛留成,衛留成
何勇,何勇
黄永砯,ホァン・ヨン・ピン
胡健燊,ウー・キンサン
黃志强,カーク・ウォン
任烨,任燁
周秀娜,クリッシー・チャウ
湯鎮業,湯鎮業
周扬,周揚
柳传志,柳伝志
房峰辉,房峰輝
方靜,方靜
羅美薇,メイ・ロウ
古华,古華
林二汶,Lam Yee Man
岑建勳,ジョン・シャム
周建人,周建人
周海婴,周海嬰
當知項欠,トンドゥプ・ワンチェン
孙岭峰,孫嶺峰
刘凯,劉凱
齐晖,斉暉
劳丽诗,労麗詩
葉麗儀,フランシス・イップ
任成远,任成遠
李晨浩,李晨浩
范廷钰,范廷鈺
马天宇,馬天宇
杨宪益,楊憲益
許晴,許晴
王歌慧,エミリー・ウォン
巫一毛,巫一毛
徐铮,徐錚
白志健,白志健
溫雲松,温雲松
茅于轼,茅于軾
储波,儲波
王晨,王晨
張蓉芳,張蓉芳
尼加提·玉山,尼加提玉山
杨惠妍,楊恵妍
鄔君梅,ヴィヴィアン・ウー
林徽因,林徽因
陈怡,陳怡
徐晓飞,徐暁飛
鍾欣潼,ジリアン・チョン
盛世才,盛世才
李鐵,李鉄
国林耀,国林燿
李敬,李敬
陸莉,陸莉
袁贵仁,袁貴仁
許紹雄,ホイ・シウホン
李璨琛,サム・リー
苏荣,蘇栄(zh)
方滨兴,方浜興
杨传堂,楊伝堂(zh)
徐守盛,徐守盛
唐家璇,唐家璇
第十六世噶瑪巴·讓炯日佩多傑,カルマパ16世ランジュン・リクペードルジェ
第十七世大宝法王噶玛巴·伍金赤列·晋美多吉,カルマパ17世
唐功红,唐功紅
畢國智,畢国智
張鼎丞,張鼎丞
滕代远,滕代遠
周麗淇,ニキ・チョウ
李韦良,李韋良
張玉峰,張玉峰
呂建剛,呂建剛
张力 (棒球运动员),張力
潘松,潘松
贾德龙,賈徳龍
滕义,滕毅
王磊,王磊 (バスケットボール選手)
秦仁昌,秦仁昌
莊文強,フェリックス・チョン
毕福剑,畢福剣
謝雪心,スーザン・ツェー
邢爱英,邢愛英
小悦悦事件,中国仏山市女児ひき逃げ事件
程抱一,フランソワ・チェン
方先觉,方先覚
姚洁,ヤオ・ジエ
端木傑,端木傑
馮白駒,馮白駒
封从德,封従徳
馮峰,フォン・ファン
冯巩,馮鞏
冯俊彦,馮俊彦
鄭汝樺,鄭汝樺
丹尼·簡斯拿,ダニ
曲圣卿,曲聖卿
二月河,二月河
陈心启,陳心启
金怡濂,金怡濂
郭灝霆,郭灝霆
楊振鐸,楊振鐸
蔡力,蔡力
王麗紅,王麗紅
王晨,王晨 (バドミントン選手)
傅园慧,傅園慧
李玉伟,李玉偉
赵非,チャオ・フェイ
杨献珍,楊献珍
马弋博,馬弋博
曹乃谦,曹乃謙
石俊杰,石俊杰
史庆兰,史慶蘭
王馥荔,王馥茘
丰云,豊雲
費蘭度·列斯奧,フェルナンド・ラーショ
菲臘,フィリペ
高丰文,高豊文
高红苗,高紅苗
高冠吾,高冠吾
安又琪,安又琪
王霏霏,ワン・フェイフェイ
三宝 (作曲家),三宝 (作曲家)
樂基兒,ゲイリ・ライ
高崇博,高崇博
賴昌星,頼昌星
郎平,郎平
王羽佳,ユジャ・ワン
江亢虎,江亢虎
姜春云,姜春雲
李其炎,李其炎
姚雪,姚雪
蔣英,蒋英
马馼,馬馼
馮紹峰,馮紹峰
卜祥志,卜祥志
韓寒,韓寒
陳日君,陳日君
刘旺,劉旺
张静初,張静初
陳勳奇,フランキー・チェン（陳勳奇）
刘少林,サンドル・リュウ・シャオリン
傅其芳,傅其芳
高兴 (业余天文学家),高興
高一涵,高一涵
高晓松,高暁松
高智晟,高智晟
傅海峰,傅海峰
汪晖,汪暉
徐云丽,徐雲麗
殷剑,殷剣
陈强尼,ジョニー・チャン
鲁晶晶,魯晶晶
宋永毅,宋永毅
犀利哥,程国栄
黄怒波,黄怒波
尚雯婕,ラウル・シャン
蒋彦永,蒋彦永
陳薇薇,陳薇薇
孙家正,孫家正
许莉,許莉
黄东萍,黄東萍
赵忠尧,趙忠堯
威靈臣·迪·蘇沙,ウェリングソン・デ・ソウザ
郭建梅,郭建梅
杨谨伦,ジーン・ルエン・ヤン
耿冰娃,耿冰娃
耿晓锋,耿暁鋒
葛红林,葛紅林
葛洪升,葛洪升
馬道立,馬道立
蔡至勇,ジェラルド・ツァイ
陈清晨,陳清晨
黄博文,黄博文
冯潇霆,馮瀟霆
刘永清,劉永清
顾秉林,顧秉林
古灵益,古霊益
彭真,彭真
聂海胜,聶海勝
李銳,李鋭
杜宇航,デニス・トー
沈文裕,沈文裕（Wen-Yu SHEN）
張力尹,チャン・リイン
劉錫晃,劉錫晃
安琦,安琦
李晉熙,李晉熙
徐云龙,徐雲龍
肇俊哲,肇俊哲
曲波,曲波
顧玉婷,顧玉婷
古雅莎,古雅沙
姚良,姚良
李霄鹏,李霄鵬
腾格尔,騰格尔
汤加丽,湯加麗
田玉梅,田玉梅
毛岸英,毛岸英
邵佳一,邵佳一
魏仁君,ヨハン・ハディクスマ
董英傑,董英傑
赵子荃,趙子荃
王兵,王兵
王超,ウォン・チャオ
宫磊,宫磊
公茂鑫,ゴン・マオシン
李莉 (乒乓球运动员),李莉
路晨,路晨
达那·晋美桑波,タクナ・ジグメ・ザンポ
朱哲琴,ダダワ
羿 (唐堯),羿
管虎,管虎
關麟徵,関麟徴
关牧村,関牧村
关雪婷,関雪婷
李靜,李静
王富洲,王富洲
王刚,王剛
王克平,王克平
吴涛 (田径运动员),呉濤
夏丽川,夏麗川
郭德綱,郭徳綱
郭廣昌,郭広昌
李艳梅,李艶梅
李岩岩,李岩岩
梁戈亮,梁戈亮
郭濤,郭涛 (俳優)
郭文景,郭文景
来学嘉,来学嘉
杨志法,楊志発
杨雁盛,楊雁盛
李若谷,李若谷
錢志純,銭志純
苏聪,蘇聡
葉劍英,葉剣英
黄菊,黄菊
杜威,杜威
宋时轮,宋時輪
韩松,韓松
韩先楚,韓先楚
程永华,程永華
周覓,チョウミ
张杰,張杰
孟佳,モン・ジア
令计划,令計画
张庆黎,張慶黎
譚小環,ハリナ・タム
李平,李平
韩玲,韓玲
韩三明,韓三明
韩三平,韓三平
郭超人,郭超人
姚伟丽,姚偉麗
易景茜,易景茜
王勇峰,王勇峰
王仲殊,王仲殊
王震,王震
韩晓鹏,韓暁鵬
李堅柔,李堅柔
李林,林莉
戴思杰,戴思傑
蒿俊闵,蒿俊閔
谭建,譚建
李鸿忠,李鴻忠
李纪恒,李紀恒
钱红,銭紅
郭兰英,郭蘭英
郭树清,郭樹清
朱维群,朱維群
张永田,张永田
于晓刚,干暁剛
徐復觀,徐復観
许志永,許志永
韩亚琴,韓亜琴
韩有文,韓有文
李石曾,李石曽
陸永,陸永
周生賢,周生賢
鄧楠,鄧楠
龚品梅,龔品梅
张翰 (大陆演员),張翰
赵亮,ツァオ・リャン
张抗抗,張抗抗
张连标,張連標
孙悦,孫悦
何赛飞,何賽飛
黃磊,ホアン・レイ
何建军,何建軍
郝蕾,郝蕾
郝伟,郝偉
陈庆英,陳慶英
郑作新,鄭作新
郑文光,鄭文光
黎笑媚,黎笑媚
李学勤,李学勤
張惠,張恵
刘长春,劉長春
張昊辰,チャン・ハオチェン
释延能,行宇
阿洛伊西奥·多斯桑托斯·贡萨尔维斯,アロイージオ・ドス・サントス・ゴンサウヴェス
何勇 (歌手),何勇
何柱國,何柱国
张肇骞,張肇騫
陈家瑞,陳家瑞
江河,江河
史良,史良
陈介,陳介
李振盛,李振盛
胡錫進,胡錫進
胡耀宇,胡耀宇
余杰,余傑
陆川,陸川
谭震林,譚震林
钱伟长,銭偉長
刚坚·洛桑土旦·赤列雅培,ガンチェン・トゥルク・リンポチェ
高仲勋,高仲勲
陶宇佳,陶宇佳
林慧卿,林慧卿
华岗,華崗
黄达,黄達
何夢華,ホウ・メンホア
黃浩義,ホ・イー
张本能,張本能
阿沛·阿旺晉美,ンガプー・ンガワン・ジクメ
王浩,王浩
林峯,レイモンド・ラム
肖扬,肖揚
傅鍾文,傅鍾文
李惠林,李恵林
侯波,侯波
刘达临,劉達臨
劉海霞,劉海霞
陳慧珊,フローラ・チャン
陈慧佳,陳慧佳
西瓦女士,レディ・シヴァ
吳啟華,ローレンス・ウン
熊欣欣,ホン・ヤンヤン
许文龙,許文龍
侯耀文,侯耀文
夏志清,夏志清
小侯,シャオ・ホウ
包宜鑫,包宜鑫
薛捍勤,薛捍勤
黃璐,ホワン・ユー
金山,金山
孫蔚如,孫蔚如
奚梦瑶,ミン・シー
刘浩,劉浩
劉黎敏,劉黎敏
黃楓,ファン・フェン
黄宏,黄宏
黄俊群,黄俊群
郭怡广,郭怡広
劉壽斌,劉寿斌
陈正雷,陳正雷
韩爱萍,韓愛萍
沈钧儒,沈鈞儒
檀啸,檀嘯
侯咏,侯咏
黎兵,黎兵
李盛霖,李盛霖
陳六使,陳六使
謝雪紅,謝雪紅
李光前,李光前 (シンガポール)
黄鸣,黄鳴
刘伟平,劉偉平
黄兴国,黄興国
黄炎培,黄炎培
静婷,ジンティン
林慧,ウェイ・リン
刘云飞,劉雲飛
刘云樵,劉雲樵
冯珊珊,馮珊珊
周麗麗,周麗麗
夏达,夏達
汤金华,湯金華
陳婷,ティナ・チェン
温利蓉,温利蓉
吕耿松,呂耿松
吕钦,呂欽
席振峰,席振峰
王莹,王莹
焦国标,焦国標
惠钧,恵鈞
王静瑶,王静瑶
王樹金,王樹金
尹鸿博,尹鴻博
彭伟国,彭偉國
梁琤,ジェイド・リョン
李子君,李子君
李道豫,李道豫
江維杰,江維傑
秦晖,秦暉
蔡明紹,マシュー・チャドウィック
于學忠,于学忠
萧劲光,蕭勁光
张云逸,張雲逸
孙其昌,孫其昌
阮振铎,阮振鐸
湯良禮,湯良礼
缪森,繆森
伊力哈木·土赫提,イリハム・トフティ
程天放,程天放
吕林,呂林
洪磊,洪磊
刘亚洲,劉亜洲
张建红,張建紅
竺苗龙,竺苗龍
赵克石,趙克石
程恩富,程恩富
杨珺菁,楊珺菁
九零後,90後
王国生,王国生
章沁生,章沁生
童世平,童世平
王喜斌,王喜斌
邢公侠,邢公侠
陳紹寬,陳紹寛
沈洋,シェン・ヤン
艾里奧,ヘリオ
朱良才,朱良才
岳開先,岳開先
梅婷,梅婷
流沙河,流沙河 (詩人)
刘世香,劉世香
于建嵘,于建嶸
谢朝平,謝朝平
辛沪光,辛滬光
王翀,オウ・チュウ
余漢謀,余漢謀
赵九章,趙九章
马俊仁,馬俊仁
李玲蔚,李玲蔚
謝影雪,謝影雪
唐莉,唐莉
張伯苓,張伯苓
陈龙,陳龍
刘士余,劉士余
劉學軒,劉学軒
刘婷婷,劉婷婷
高玉生,高玉生
劉家輝,リュー・チャーフィー
苗僑偉,マイケル・ミウ
周冬雨,周冬雨
徐永昌,徐永昌
叶选平,葉選平
李书城,李書城
苏耀国,蘇耀国
洪水,グエン・ソン
孙锐,孫鋭
刘显伟,劉顕偉
刘晓东,劉暁東
六小龄童,六小齡童
周韦彤,周韋トン
李喆,李テツ
于芷山,于芷山
張燕卿,張燕卿
孙震,孫震
周学昌,周学昌
溫碧霞,温碧霞
程开甲,程開甲
成思危,成思危
罗念生,羅念生
劉雨欣,劉雨欣
劉玉章,劉玉章
杨得志,楊得志
于仁泰,ロニー・ユー
万玛才旦,ペマ・ツェテン
舒畅,舒暢
鲁冠球,魯冠球
路学长,路学長
吕秀芝,呂秀芝
陆毅,ルー・イー (俳優)
陆志韦,陸志韋
呂桂花,呂桂花
卢琳,盧琳
徐冰,徐冰
毛新宇,毛新宇
春麗,春麗
吴天明,呉天明
任秀娟,任秀娟
陳麗怡,陳麗怡
陈白尘,陳白塵
盧惠光,ケン・ロー
李曼,李曼
盛光祖,盛光祖
尤勇,尤勇
田壮壮,田壮壮
张国焘,張国燾
魏亚楠,魏亜楠
佟健,佟健
残雪,残雪
多吉扎西,多吉扎西
何琢言,何琢言
巴森,バーサンジャブ
李俊,李俊 (映画監督)
郑小瑛,鄭小瑛
羅莽,ロー・マン
積·施利,ジャック・シーリー
向佐,ジャッキー・ヒョン
薛之谦,薛之謙
刘星,劉星
宋佳,宋佳
梁嘉鸿,梁嘉鴻
吉田海偉,吉田海偉
陳靜,ダダ・チャン
張繼聰,ルイス・チョン
劳安,労安
朱云来,朱雲来
迟重瑞,遅重瑞
马承源,馬承源
马德华,馬徳華
牛犇,牛犇
吳征鎰,呉征鎰
耿丽娟,耿麗娟
闫怀礼,閆懷礼
金毓黻,金毓黻
中村祐人,中村祐人
占美斯·麥基,ハイメス・マッキー
郑振铎,鄭振鐸
周睿羊,周睿羊
谷祖琳,ジョー・コク
姜昆,姜昆
张迪,張迪
李忠云,李忠雲
叶培建,葉培建
绿坝娘,グリーンダムたん
谭政,譚政
冼东妹,冼東妹
樊少皇,樊少皇
多吉才让,ドルジェ・ツェリン
施劍翹,剣翹
喻丹,喩丹
马玉芹,馬玉芹
姚金男,姚金男
徐绍史,徐紹史
張薇薇,Vivibear
張叔平,張叔平
翁文灝,翁文灝
邹伦伦,鄒倫倫
李哲思,李哲思
崔健,崔健
程小東,チン・シウトン
肖國棟,肖国棟
安替,安替
绿川英子,長谷川テル
古天樂,ルイス・クー
田亮,田亮
王虹霓,王虹霓
梅蘭芳,梅蘭芳
康生,康生
李萍,李萍
邱红梅,邱紅梅
蔣光鼐,蒋光鼐
馬可,馬可
周柏豪,チャウ・パッホウ
吳凱恩,ヤン・ン
邵兵,邵兵
许广平,許広平
馬芳,馬 芳
馬繼援,馬継援
许幸之,許幸之
袁家骝,袁家騮
吉尊白玛,ジェツン・ペマ
王力,王力
黄欣彤,黄欣彤
马欢欢,馬歓歓
惠若琪,惠若琪
胡歌,フー・ゴー
陆俊,陸俊
贺绿汀,賀緑汀
蔡赟,蔡贇
尉健行,尉健行
許志安,アンディ・ホイ
戴秉国,戴秉国
黎姿,ジジ・ライ
陈艺林,陳芸林
袁梦,袁夢
谢文骏,謝文駿
苍国来,蒼国来栄吉
严浩,厳浩
邵炜刚,邵煒剛
黃寬,黄寛
涂謹申,涂謹申
黎瑞恩,ヴィヴィアン・ライ
王檄,王檄
王晨,王晨
王偉,王偉
于小洋,于小洋
劉以達,劉以達
張婉婷,メイベル・チャン
楊森,楊森
胡兰成,胡蘭成
王靖超,王靖超
廖承志,廖承志
张维娜,張維娜
夏德仁,夏徳仁
杨继绳,楊継縄
薄一波,薄一波
江天一,江天一
彭荃,彭筌
吳樾,呉樾
韩雪,韓雪
王建民,王建民
吕洪祥,呂洪祥
杨沛宜,楊沛宜
香港人,香港人
吕良偉,レイ・ロイ
羅志,羅志
鄭融,ステファニー・チェン
蔡約翰,ジョン・サイズ
邱峻,邱峻
王磊,王磊
林子聰,林子聰
夏志明,夏志明
罗晋,羅晋
罗男,羅男
罗洗河,羅洗河
馬雲,馬雲
贾乃亮,賈乃亮
王天普,王天普
刘明康,リウ・ミンカン
阎森,閻森
曾江,ケネス・ツァン
黃日華,フェリックス・ウォン
唐德尚,唐徳尚
何平,何平
許冠傑,サミュエル・ホイ
梁稳根,梁穏根
卡楚米,カツニ
冉云飞,冉雲飛
毓嶦,愛新覚羅毓嶦
杨幂,楊ミー
倍賞千恵子,倍賞千恵子
孟学农,孟学農
姚景远,姚景遠
何金,何金
胡舒立,胡舒立
關菊英,スザンナ・クァン
邓超,鄧超
艾达·王,エイダ・ウォン
阿部力,阿部力
张晓欢,張暁歓
隋菲菲,隋菲菲
容国团,容国団
乔清晨,喬清晨
朱践耳,朱践耳
文詠珊,ジャニス・マン
李沛瑤,李沛瑶
李德洙,李徳洙
朱德海,朱徳海
张东荪,張東蓀
张贤亮,張賢亮
马三立,馬三立
馬蘇,馬蘇
吕叔湘,呂叔湘
呂思勉,呂思勉
程民德,M. T. チェン
马呈祥,馬呈祥
