Polska,폴란드
Powiat mikołowski,미코우프군
Stare Miasto w Warszawie,스타레미아스토 (바르샤바)
Wiadomości (program informacyjny),비아도모시치
Powiat rawski,라바군
Powiat sandomierski,산도미에시군
Kościół archiprezbiterialny Wniebowzięcia Najświętszej Marii Panny w Krakowie,성모 승천 교회 (크라쿠프)
Powiat skierniewicki,스키에르니에비체군
Powiat legionowski,레기오노보군
Powiat wieluński,비엘룬군
Powiat łowicki,워비치군
Zimowa Uniwersjada 1993,1993년 동계 유니버시아드
Marki,마르키
Powiat piotrkowski,피오트르쿠프군
Powiat łaski,와스크군
Powiat opoczyński,오포치노군
Powiat opatowski,오파투프군
Powiat lęborski,렝보르크군
Powiat kościerski,코시치에지나군
Powiat kłobucki,크워부츠크군
Powiat lubliniecki,루블리니에츠군
Powiat tarnogórski,타르노프스키에구리군
Socjaldemokracja Rzeczypospolitej Polskiej,폴란드 공화국 사회민주당
Powiat bieruńsko-lędziński,비에룬렝지니군
Powiat częstochowski,쳉스토호바군
Powiat proszowicki,프로쇼비체군
Stadion w Lubinie,스타디온 자그웽비아 루빈
Powiat mielecki,미엘레츠군
Powiat brzeziński,브제지니군
Powiat lubaczowski,루바추프군
Powiat lidzbarski,리즈바르크군
Powiat tatrzański,타트라군
Reprezentacja Polski w piłce siatkowej mężczyzn,폴란드 배구 국가대표팀
Polska Organizacja Wojskowa,폴란드 군사 기구
Narodowy Instytut Dziedzictwa,폴란드 국립문화유산위원회
Powiat tarnobrzeski,타르노브제크군
Powiat bocheński,보흐니아군
Powiat nowosądecki,노비송치군
Powiat dębicki,뎅비차군
Powiat miechowski,미에후프군
Powiat brzozowski,브조주프군
Powiat oświęcimski,오시비엥침군
Powiat krośnieński (województwo podkarpackie),크로스노군 (포드카르파츠키에주)
Muszyna,무쉬나
Obóz Narodowo-Radykalny (III Rzeczpospolita),국민급진기지 (1993년)
Kościół katolicki w Polsce,폴란드의 로마 가톨릭교회
OLiS,OLiS
Orkiestra Filharmonii Narodowej,바르샤바 국립 필하모니 관현악단
Port lotniczy Warszawa-Modlin,바르샤바 모들린 공항
Polskie Stronnictwo Ludowe „Wyzwolenie”,폴란드 인민당 '해방'
Kresy Wschodnie,크레시
Powiat choszczeński,호슈치노군
Powiat drawski,드라프스코군
Powiat sławieński,스와브노군
Powiat pyrzycki,피지체군
E373 (trasa europejska),유럽 고속도로 373호선
Port lotniczy Katowice-Pyrzowice,카토비체 공항
Powiat goleniowski,골레니우프군
Powiat łobeski,워베스군
Powiat krakowski,크라쿠프군
Powiat wałecki,바우치군
Powiat braniewski,브라니에보군
Powiat pabianicki,파비아니체군
Powiat gdański,그단스크군
Herb Warszawy,바르샤바의 문장
Sandecja Nowy Sącz,산데츠야 노비송치
Bruk-Bet Termalica Nieciecza,브루크베트 테르말리차 니에치에차
Górnik Łęczna,구르니크 웽치나
Zimowa Uniwersjada 2001,2001년 동계 유니버시아드
Powiat kamieński,카미엔군
Powiat skarżyski,스카르지스코군
Jednostka Wojskowa GROM,JW GROM
Bazylika prymasowska Wniebowzięcia Najświętszej Maryi Panny w Gnieźnie,그니에즈노 대성당
Oliwa (Gdańsk),올리바 (폴란드)
Muzeum Książąt Czartoryskich w Krakowie,차르토리스키 미술관
Trójkąt Trzech Cesarzy,삼제삼합점
Nysa Kłodzka,니사크워츠카강
Demografia Polski,폴란드의 인구
Rodzimowierstwo słowiańskie,로드노베리에
Polskie Stronnictwo Ludowe „Piast” (1913–1931),폴란드 인민당 '피아스트' (1913년)
Zwoleń (powiat zwoleński),즈볼렌 (폴란드)
Stocznia Gdańska,그단스크 조선소
Reprezentacja Polski w hokeju na lodzie mężczyzn,폴란드 아이스하키 국가대표팀
Wisła Płock (piłka nożna),비스와 프워츠크
Dywizjon 303,왕립공군 제303편대
Powiat zduńskowolski,즈둔스카볼라군
Stary Sącz,스타리송치
Powiat suski,수하군
Piwniczna-Zdrój,피브니츠나즈드루이
Bielany Wrocławskie,비엘라니 브로츠와프스키에
Awaryjne lądowanie lotu PLL LOT 016,LOT 폴란드 항공 16편 동체착륙 사고
Wieża ratuszowa w Krakowie,라투슈초바 탑
Świna,시비나강
Powiat starachowicki,스타라호비체군
Reprezentacja Polski w baseballu mężczyzn,폴란드 야구 국가대표팀
Parlament Rzeczypospolitej Polskiej,폴란드 의회
Poręba Wielka (powiat limanowski),포렝바 비엘카 (리마노바군)
Międzyrzec Podlaski (stacja kolejowa),미엥지제츠포들라스키역
Bochotnica,보호트니차
Dzika Orlica,디보카 오를리체강
Gest Kozakiewicza,주먹감자
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2014,2014년 세계 남자 배구 선수권 대회
E371 (trasa europejska),유럽 고속도로 371호선
Biskupice Podgórne,비스쿠피체 포드구르네
Ziemie Odzyskane,수복령
Polski Komitet Olimpijski,폴란드 올림픽 위원회
Rynek Starego Miasta w Warszawie,리네크 스타레고 미아스타
Generalny Inspektorat Sił Zbrojnych,군부총감
Prezes Rady Ministrów,폴란드의 총리
Stadion Miejski w Bielsku-Białej,비엘스코비아와 시립경기장
Bitwa w Lasach Królewskich,라시 크룰레프스키 전투
Baumkuchen,바움쿠헨
Muzeum Fryderyka Chopina w Warszawie,프레데리크 쇼팽 박물관
Cmentarz Wojskowy na Powązkach,포봉즈키 군 공동묘지
World Games 2017,2017년 월드 게임
Stronnictwo Ludowe,인민당 (폴란드)
Rząd Tymczasowy Rzeczypospolitej Polskiej,폴란드 임시정부
Związek Producentów Audio-Video,폴란드 축음기 산업 협회
Stronnictwo Chłopskie,농민당 (폴란드)
Południk Warszawski,바르샤바 자오선
Bitwa pod Tomaszowem Mazowieckim,토마슈프마조비에츠키 전투
Chleb żytni,호밀빵
Strajk chłopski (1937),1937년 폴란드 농민파업
Dom Urodzenia Fryderyka Chopina,쇼팽의 생가
4 Armia Sił Powietrznych i Obrony Przeciwlotniczej,제4항공및방공군
Powiat namysłowski,나미수프군
Bitwa pod Mokrą,모크라 전투
Bitwa graniczna (1939),국경 전투 (1939년)
Bieglów,비글로
Garin (przedsiębiorstwo),아리네라
11 bit studios,11비트 스튜디오
Obóz Wielkiej Polski,위대한 폴란드 기지
Afera na Okęciu,오케치에 공항 사건
Grupa kapitałowa CD Projekt,CD 프로젝트
Stosunki polsko-brytyjskie,영국-폴란드 관계
Stosunki polsko-rumuńskie,루마니아-폴란드 관계
Stosunki polsko-ukraińskie,우크라이나-폴란드 관계
Polska na Zimowych Igrzyskach Olimpijskich 2014,2014년 동계 올림픽 폴란드 선수단
Piotrowice (powiat otwocki),피어트로우비츠
Kategoria:Polskie linie lotnicze,분류:폴란드의 항공사
Trojany (województwo mazowieckie),트로야니
Ambasada Republiki Korei w Polsce,주폴란드 대한민국 대사관
Ekstraliga polska w piłce nożnej kobiet,폴란드 엑스트랄리가
Narodowa Partia Robotnicza,국민노동자당
"Konferencja Narodów Zjednoczonych w sprawie Zmian Klimatu, Warszawa 2013",2013년 유엔 기후 변화 회의
Mistrzostwa Świata w Siatkówce Plażowej 2013,2013년 세계 비치발리볼 선수권 대회
Pomnik historii,폴란드의 역사기념물 목록
Twój Ruch,너의 운동
Pomnik Wikipedii w Słubicach,위키백과 기념물
Mistrzostwa Europy U-21 w Piłce Nożnej 2017,2017년 UEFA U-21 축구 선수권 대회
Polska na Letnich Igrzyskach Olimpijskich 2016,2016년 하계 올림픽 폴란드 선수단
Nowa Nadzieja (polska partia polityczna),자유당 (폴란드)
Rosół,로수
Wybory parlamentarne w Polsce w 2015 roku,2015년 폴란드 총선
Stronnictwo Katolicko-Ludowe,가톨릭인민당 (폴란드)
Kukiz’15,쿠키스15
Nowoczesna,현대당
Mistrzostwa Świata U-20 w Piłce Nożnej 2019,2019년 FIFA U-20 월드컵
Liga Światowa w Piłce Siatkowej 2016,2016년 FIVB 배구 월드리그
Zjednoczona Lewica (Polska),좌파연합 (폴란드)
Lewica Razem (partia),레비차 라젬
Wybory parlamentarne w Polsce w 2019 roku,2019년 폴란드 총선
Przesmyk suwalski,수바우키 간격
Piotr Michalski,피오트르 미할스키
Wolni i Solidarni,자유와 연대 (폴란드)
Unia Europejskich Demokratów,유럽민주연합당
Cracovia (piłka nożna),KS 크라코비아
Wojska Obrony Terytorialnej,영토방위군 (폴란드)
Polska na Zimowych Igrzyskach Olimpijskich 2018,2018년 동계 올림픽 폴란드 선수단
Wybory prezydenckie w Polsce w 2020 roku (drugie),2020년 폴란드 대통령 선거
Igrzyska Europejskie 2023,2023년 유러피언 게임
Porozumienie,동맹당
Centralny Port Komunikacyjny,중앙 교통허브 공항
Wybory samorządowe w Polsce w 2018 roku,2018년 폴란드 지방선거
Stosunki polsko-kenijskie,케냐-폴란드 관계
Edukacja w Polsce,폴란드의 교육문화
Extinction Rebellion,멸종에의 반란
Stosunki polsko-południowokoreańskie,대한민국-폴란드 관계
Wiosna (partia polityczna),비오스나
Pandemia COVID-19,코로나19 범유행
Strefa wolna od ideologii LGBT,성소수자 청정지대
Lewica (2019),좌파 (폴란드)
Pandemia COVID-19 w Polsce,폴란드의 코로나19 범유행
Bukaresztańska Dziewiątka,부쿠레슈티 나인
Eksplozja rakiety w Przewodowie,2022년 폴란드 미사일 폭발
