"Мигунова, Елена Сергеевна",옐레나 미구노바
Олег Георгиевич Федосеев,올레크 페도세예프
"Синчукова, Елена Александровна",옐레나 신추코바
"Харлачёв, Евгений Валерьевич",예브게니 하를라초프
"Любимов, Алексей Борисович",알렉세이 루비모프
"Точилин, Александр Васильевич",알렉산드르 토칠린
Владимир Николаевич Войнович,블라디미르 보이노비치
Игорь Николаевич Ларионов,이고리 라리오노프
"Щенников, Георгий Михайлович",게오르기 스체니코프
Виктор Олегович Пелевин,빅토르 펠레빈
Наталья Николаевна Кустинская,나탈리아쿠 스틴스카야
Абдул-Халим Абусаламович Садулаев,압둘할림 사이둘라예프
Вячеслав Викторович Володин,뱌체슬라프 볼로딘
"Левитин, Игорь Евгеньевич",이고리 레비틴
Анна Владимировна Сидорова,안나 시도로바
"Федоренко, Николай Трофимович",니콜라이 페도렌코
"Проханов, Александр Андреевич",알렉산드르 프로하노프
Владимир Александрович Астаповский,블라디미르 아스타폽스키
"Мишкутёнок, Наталья Евгеньевна",나탈리야 미시쿠툐노크
"Карповцев, Александр Георгиевич",알렉산드르 카르폽체프
"Джалагания, Ксения Николаевна",크세니야 잘라가니야
Хабиб Мевлидинович Аллахвердиев,하비프 알라흐베르디예프
"Пинигин, Павел Павлович",파벨 파니긴
Виктор Сергеевич Розов,빅토르 로조프
Юрий Валерьевич Никифоров,유리 니키포로프
Олег Александрович Стриженов,올레크 스트리제노프
Татьяна Анатольевна Догилева,타티야나 도길레바
Сергей Леонидович Магнитский,세르게이 마그니츠키
Пётр Красилов,표트르 크라실로프
"Семёнов, Мингиян Артурович",민기얀 세묘노프
"Романенко, Роман Юрьевич",로만 로마넨코
Никита Васильевич Филатов,니키타 필라토프
Пётр Григорьевич Болотников,표트르 볼로트니코프
Ирина Салтыкова,이리나 솔티 코바
Дмитрий Олегович Булыкин,드미트리 불리킨
"Попова, Вероника Андреевна",베로니카 포포바
Виктор Васильевич Тихонов,빅토르 티호노프 (1988년)
Игорь Анатольевич Ледяхов,이고리 레댜호프
Виталий Иванович Севастьянов,비탈리 세바스티야노프
"Макаров, Сергей Александрович",세르게이 마카로프
Алан Анатольевич Хугаев,알란 후가예프
Валерий Павлович Афанасьев,발레리 아파나시예프
"Добрыгин, Григорий Эдуардович",그리고리 도브리긴
Татьяна Альбертовна Арнтгольц,타티아나 안트골츠
"Колтунова, Юлия Николаевна",율리야 콜투노바
Евгений Донской,예브게니 돈스코이
Юлия Степанова,율리야 스테파노바
Эмин,에민 아갈라로프
Алексей Иванович Екимов,알렉세이 이바노비치 예키모프
"Заварзина, Алёна Игоревна",알레나 자바르지나
Валентина Лисица,발렌티나 리시차
Екатерина Александровна Гамова,예카테리나 가모바
Александра Костенюк,알렉산드라 코스테뉴크
"Тищенко, Алексей Викторович",알렉세이 티슈첸코
Леонид Викторович Слуцкий,레오니트 슬루츠키
Элла Александровна Памфилова,옐라 팜필로바
Юрий Петрович Любимов,유리 류비모프
"Ильина, Вера Сергеевна",베라 일리나
"Фридзон, Виталий Валерьевич",비탈리 프리존
"Уствольская, Галина Ивановна",갈리나 우스트볼스카야
Елена Владимировна Кондакова,옐레나 콘다코바
Александр Борисович Лебзяк,알렉산드르 레브자크
Александр Григорьевич Зархи,알렉산드르 자르히
Евгения Олеговна Канаева,예브게니야 카나예바
Александр Леонидович Кайдановский,알렉산더 카이다노프스키
Дмитрий Евгеньевич Рыболовлев,드미트리 리볼로블레프
"Томашова, Татьяна Ивановна",타티야나 토마쇼바
"Садова, Наталья Ивановна",나탈리야 사도바
Пелагея,펠라게야
Екатерина Александровна Гордеева,예카테리나 고르데예바
Владимир Бортко,블라디미르 보르 토
Георгий Сергеевич Полтавченко,게오르기 폴탑첸코
Майя Плисецкая,마이야 플리세츠카야
Екатерина Николаевна Вилкова,예카테리나 빌코바
Максим Викторович Сураев,막심수 라예프
"Вайгина-Ефремова, Лилия Николаевна",릴리야 바이히나예프레모바
Валерия Сергеевна Коблова,발레리야 코블로바
Гульнара Искандеровна Галкина-Самитова,굴나라 갈키나사미토바
Белла Ахатовна Ахмадулина,벨라 아흐마둘리나
Анита Сергеевна Цой,아니타 최
"Селезнёва, Лариса Юрьевна",라리사 셀레즈뇨바
Александр Гаврилович Абдулов,알렉산드르 아브둘로프
Татьяна Ивановна Пельтцер,타티야나 펠체르
Татьяна Алексеевна Голикова,타티야나 골리코바
Александра Николаевна Пахмутова,알렉산드라 파흐무토바
Сергей Евгеньевич Нарышкин,세르게이 나리시킨
Алина Маратовна Кабаева,알리나 카바예바
Евгений Викторович Плющенко,예브게니 플루셴코
"Селиванов, Александр Юрьевич",알렉산드르 셀리바노프
Павел Анатольевич Колобков,파벨 콜롭코프
"Манкиев, Назир Юнузович",나지르 만키예프
Людмила Васильевна Рогачёва,류드밀라 로가초바
"Сивкова, Анна Витальевна",안나 시프코바
"Шобухова, Лилия Булатовна",릴리야 쇼부호바
"Мавроматти, Олег Юрьевич",올레크 마브로마티
Рустам Минниханов,루스탐 민니하노프
Муртаза Губайдуллович Рахимов,무르타자 라히모프
Татьяна Пeтрoвнa Николаева,타티야나 니콜라예바
"Шушунова, Елена Львовна",옐레나 슈슈노바
Пётр Владимирович Бочкарёв,표트르 보치카료프
"Кисляк, Сергей Иванович",세르게이 키슬랴크
Николай Михайлович Бударин,니콜라이 부다린
Николай Владиславович Левников,니콜라이 레브니코프
Мария Кац,유디피
"Назаренко, Анастасия Константиновна",아나스타시야 나자렌코
"Севастьянова, Каролина Андреевна",카롤리나 세바스티야노바
Ольга Орлова,올가 올 로바
"Живаневская, Нина Александровна",니나 지바넵스카야
"Орлова, Мария Сергеевна",마리야 오를로바
Евгений Игоревич Тарелкин,예브게니 타렐킨
"Галкина, Людмила Ивановна",류드밀라 갈키나
"Хабарова, Ирина Сергеевна",이리나 하바로바
Алина Андреевна Макаренко,알리나 마카렌코
Игорь Борисович Москвин,이고리 모스크빈
"Панкратов, Денис Владимирович",데니스 판크라토프
Динара Мубиновна Сафина,디나라 사피나
"Веснина, Елена Сергеевна",옐레나 베스니나
Олег Николаевич Ефремов,올레크 예프레모프
Олимпиада Владимировна Иванова,올림피아다 이바노바
Юлия Владимировна Барсукова,율리야 바르수코바
Крэйвен-охотник,사냥꾼 크레이븐
"Накаряков, Сергей Михайлович",세르게이 나카리아코프
Роман Александрович Шишкин,로만 시시킨
"Лунёв, Андрей Евгеньевич",안드레이 루뇨프
Александра Пивоварова,사샤 피보바로바
Ольга Забелинская,올가 자벨린스카야
"Захарова, Светлана Юрьевна",스베틀라나 자하로바
Людмила Михайловна Савельева,류드밀라 사벨리예바
Виктория Викторовна Толстоганова,빅토리야 톨스토가노바
"Гончаренко, Светлана Валентиновна",스베틀라나 곤차렌코
"Поспелова, Светлана Михайловна",스베틀라나 포스펠로바
"Купцова, Марина Геннадьевна",마리나 쿱초바
"Прохорова, Елена Владимировна",옐레나 프로호로바
Жанна Трофимовна Прохоренко,자나 프로코렌코
Анна Алексеевна Фролина,안나 프롤리나
Бьянка,비앙카
Олег Анатольевич Чиркунов,올레크 치르쿠노프
Владимир Антонович Ивашко,블라디미르 이바시코
"Кравчук, Игорь Александрович",이고리 크랍추크
Владимир Евгеньевич Бесчастных,블라디미르 베스차스트니흐
Иван Ярыгин,이반 야리긴
Игорь Михайлович Бутман,이고리 부트만
"Исаев, Мансур Мустафаевич",만수르 이사예프
Ксения Лыкина,크세니야 리키나
Хаджимурат Солтанович Гацалов,하지무라트 가찰로프
Леонид Васильевич Потапов,레오니트 포타포프
Иван Петрович Рыбкин,이반 립킨
"Китаенко, Дмитрий Георгиевич",드미트리 키타옌코
Константин Рауш,콘스탄틴 라우슈
Заурбек Байсангуров,자우르베크 바이산구로프
Юрий Николаевич Озеров,유리 오제로프
"Ткаченко, Иван Леонидович",이반 트카첸코
Павел Оганезович Арсенов,파벨 아르세노프
"Шанаева, Аида Владимировна",아이다 샤나예바
"Давыдов, Сергей Сергеевич",세르게이 다비도프
Елена Владимировна Ваенга,엘레나 바엔가
"Коржаненко, Ирина Николаевна",이리나 코르자넨코
"Котлярова, Ольга Ивановна",올가 코틀랴로바
Людвиг Дмитриевич Фаддеев,류드비크 파데예프
Сергей Михайлович Гриньков,세르게이 그린코프
Юрий Владимирович Назаров,유리 나자로프
"Егорова, Валентина Михайловна",발렌티나 예고로바
"Мустафина, Алия Фаргатовна",알리야 무스타피나
Николай Рукавишников,니콜라이 루카비시니코프
"Улицкая, Людмила Евгеньевна",류드밀라 울리츠카야
Михаил Сергеевич Галустян,미하일 갈루스티안
Юрий Каспарян,유리 카스파랸
Алла Сергеевна Демидова,알라 데미도바
Игорь Матвеевич Костолевский,이고리 코스톨렙스키
"Дериглазова, Инна Васильевна",인나 데리글라조바
Аркадий Фимович Шилклопер,아르카디 실클로페르
Григорий Андреевич Абрикосов,그리고리 아브리코소프
Александр Александрович Фролов,알렉산드르 프롤로프
Аркадий Аркадьевич Бабченко,아르카디 밥첸코
Евгений Максимович Примаков,예브게니 프리마코프
"Линичук, Наталья Владимировна",나탈리야 리니추크
Светлана Сергеевна Журова,스베틀라나 주로바
Анна Германовна Бирюкова,안나 비류코바
Татьяна Анатольевна Тарасова,타티야나 타라소바
Светлана Алексеевна Гладышева,스베틀라나 글라디셰바
Герман Греф,게르만 그레프
"Косинцева, Надежда Анатольевна",나데즈다 코신체바
Елена Александровна Соколова,옐레나 소콜로바
"Косинцева, Татьяна Анатольевна",타티야나 코신체바
Камилла Юсуфовна Гафурзянова,카밀라 가푸르지아노바
Мария Викторовна Бутырская,마리야 부티르스카야
"Зайцев, Иван (волейболист)",이반 자이체브
Ия Сергеевна Саввина,이야 사비나
Илона Александровна Броневицкая,일로나 브론비츠카야
"Кулакова, Галина Алексеевна",갈리나 쿨라코바
Наташа Королёва,나타샤 코롤료바
Рем Иванович Вяхирев,렘 뱌히레프
Владимир Яковлевич Шаинский,블라디미르 샤인스키
Анастасия Стоцкая,아나스타샤 스톡카
Владимир Львович Машков,블라디미르 마시코프
Валентина Зеляева,발렌티나 젤랴예바
Артём Вячеславович Овчаренко,아르템 오브차렌코
Алиса Михайловна Галлямова,알리사 갈랴모바
Анися Бясыровна Кирдяпкина,아니샤 키르댭키나
"Лапина, Светлана Михайловна",스베틀라나 라피나
Юко Кавагути,유코 카바구티
Валерий Золотухин,발레리 졸로투킨
Георгий Тамазович Джикия,게오르기 지키야
Леонид Яковлевич Гозман,레오니트 고즈만
Лилия Фоатовна Нурутдинова,릴리야 누루트디노바
Юлия Станиславовна Савичева,율리야 사비체바
"Шарифов, Шариф Наидгаджавович",섀리프 섀리포프
Олег Павлович Табаков,올레크 타바코프
Павел Владимирович Виноградов,파벨 비노그라노프
"Титов, Владимир Георгиевич",블라디미르 티토프
"Климкин, Илья Сергеевич",일리야 클림킨
"Строкоус, Дарья Владимировна",다리아 스트로쿠스
Григорий Наумович Чухрай,그리고리 추흐라이
Елена Алексеевна Яковлева,옐레나 야코블레바
Евгений Владимирович Макеев,예브게니 마케예프
"Подладчиков, Юрий Юрьевич",유리 포들라치코프
Аркадий Никитич Воробьёв,아르카디 보로비오프
Олег Григорьевич Макаров,올레크 마카로프
Алексей Борисович Миллер,알락세이 밀레르
Татьяна Буланова,타티아나 불 라노 바
Георгий Васильевич Свиридов,게오르기 스비리도프
Софья Ская,소피야 스카야
Муса Хираманович Манаров,무사 마나로프
Ирина Аллегрова,이리나 알레그로바
Владимир Иванович Федосеев,블라디미르 페도세예프
"Капустин, Николай Гиршевич",니콜라이 카푸스틴
Владимир Борисович Габулов,블라디미르 가불로프
Елена Николаевна Николаева,옐레나 니콜라예바
"Орлова, Марина Владимировна",마리나 오를로바
Арсений Васильевич Ворожейкин,아르세니 보로제이킨
Виталий Манский,비탈리 만스키
"Мамиашвили, Михаил Геразиевич",미하일 마미아시빌리
"Ракобольская, Ирина Вячеславовна",이리나 라코볼스카야
"Башмакова, Изабелла Григорьевна",이자벨라 바시마코바
Леонид Руденко,레오니드 루덴코
Алсу,알수
Иван Шведов,이반 시베도프
Арсен Сулейманович Фадзаев,아르센 파자예프
Виктор Феликсович Вексельберг,빅토르 베켈베르크
"Денисенко, Алексей Алексеевич",알렉세이 데니센코
"Соколова, Елена Сергеевна",옐레나 소콜로바
Алиса Фрейндлих,알리사 프라인들리히
Андрей Донатович Синявский,안드레이 시냡스키
"Кудухов, Бесик Серодинович",베시크 쿠두호프
Спартак Артурович Гогниев,스파르타크 고그니예프
Келли Маккарти,켈리 매카티
"Караев, Руслан Савельевич",루슬란 카라에프
Вадим Герасимов,바딤 게라시모프
Любовь Викторовна Бурда,류보비 부르다
Владимир Васильевич Устинов,블라디미르 우스티노프
"Масорин, Владимир Васильевич",블라디미르 마소린
"Соколов, Григорий Липманович",그리고리 소콜로프
Валерия Гай Александровна Германика,발레리야 가이 게르마니카
Алексей Маратович Орлов,알렉세이 마라토비치 오를로프
Юрий Оганесян,유리 오가네샨
Екатерина Львовна Аталик,예카테리나 아탈리크
Татьяна Андреевна Волосожар,타티야나 볼로소자르
Егор Семёнович Строев,예고르 스트로예프
"Дымовский, Алексей Александрович",알렉세이 디몹스키
Леонид Арнольдович Федун,레오니트 페둔
Сергей Анатольевич Старостин,세르게이 스타로스틴
Максим Дмитриевич Шостакович,막심 쇼스타코비치
Виктор Михайлович Афанасьев,빅토르 아파나시예프
Леонид Максимович Леонов,레오니드 레오노프
"Кошелева, Татьяна Сергеевна",타티야나 코셸레바
"Щелканова, Татьяна Сергеевна",타티야나 셸카노바
"Вирсаладзе, Элисо Константиновна",엘리소 비르살라제
Елена Германовна Водорезова,엘레나 보도레조바
Анжелика Агурбаш,안젤리카 아구르바시
Жанна Владимировна Бичевская,잔나 비쳅스카야
Юрий Владимирович Матиясевич,유리 마티야세비치
Марат Хуснуллин,마라트 후스눌린
"Светланов, Евгений Фёдорович",예브게니 스베틀라노프
Татьяна Толстая,타티야나 톨스타야
Дмитрий Владимирович Комбаров,드미트리 콤바로프
Юрий Маркович Нагибин,유리 나기빈
"Круглова, Лариса Николаевна",라리사 크루글로바
"Титова, Людмила Евгеньевна",류드밀라 티토바
Юрий Иванович Онуфриенко,유리 오누프리옌코
"Платонова, Анастасия Александровна",아나스타시야 플라토노바
"Прудникова, Светлана Александровна",스베틀라나 프루드니코바
Александр Валерьевич Радулов,알렉산드르 라둘로프
Тамара Данилова,타마라 다닐로바
Анна Самохина,안나 사모키나
Владимир Сергеевич Лисин,블라디미르 리신
Рашид Маматкулович Рахимов,라시트 라히모프
Станислав Саламович Черчесов,스타니슬라프 체르체소프
Эдуард Николаевич Артемьев,예두아르트 아르테미예프
"Ригерт, Давид Адамович",다비드 리게르트
Наталья Юрьевна Рагозина,나타샤 라고지나
Армен Борисович Джигарханян,아르멘 지가르하냔
Семён Могилевич,세묜 모길레비치
"Черток, Борис Евсеевич",보리스 체르토크
Геннадий Михайлович Стрекалов,겐나디 스트레칼로프
Константин Николаевич Волков,콘스탄틴 볼코프
"Муратов, Евгений Минерафисович",예브게니 무라토프
"Нургалиева, Елена Леонидовна",옐레나 누르갈리예바
Лев Николаевич Наумов,레프 나우모프
Андрей Викторович Плеханов,안드레이 플레하노프
Виктор Владимирович Ерофеев,빅토르 예로페예프
Игорь Ростиславович Шафаревич,이고리 샤파레비치
"Голованов, Владимир Семёнович",블라디미르 골로바노프
Артём Алексеевич Анисимов,아르툠 아니시모프
"Шафран, Даниил Борисович",다닐 샤프란
Даниил Евгеньевич Марков,다닐 마르코프
Елизавета Сергеевна Туктамышева,옐리자베타 툭타미셰바
Наталья Валерьевна Бочина,나탈리야 보치나
Ольга Ивановна Костецкая,올가 드비르나
Артём Сергеевич Дзюба,아르툠 주바
Светлана Валерьевна Васильева,스베틀라나 트루노바
"Иевлева, Александра Андреевна",알렉산드라 이예블레바
Яна Карапетовна Егорян,야나 예고랸
Григорий Лепс,그리고리 랩스
Сергей Безруков,세르게이 베즈루코프
Игорь Северянин,이고리 세베랴닌
Сергей Станиславович Удальцов,세르게이 우달초프
Сергей Владимир,세르게이 블라디미르
"Репин, Вадим Викторович",바딤 레핀
Дмитрий Валерьевич Хохлов,드미트리 호흘로프
"Корнилов, Денис Александрович",데니스 코르닐로프
"Найдёнова, Ольга Владимировна",올가 나이됴노바
"Дедюшко, Александр Викторович",알렉산드르 데듀시코
Александр Владимирович Иваницкий,알렉산드르 이바니츠키
Николай Александрович Морозов,니콜라이 모로조프
Виктор Джонович Кейру,빅토르 케이루
Сергей Викторович Рыжиков,세르게이 빅토로비치 리지코프
Артур Суренович Айвазян,아르투르 아이바지얀
"Гачинский, Артур Андреевич",아르투르 가친스키
Валерий Кузьмич Непомнящий,발레리 네폼냐시
Андрей Юрьевич Соломатин,안드레이 솔로마틴
Анастасия Родионова,아나스타시야 로디오노바
Евгений Гришковец,예브게니 그리시코베츠
"Хрущелёва, Наталья Петровна",나탈리야 흐루셸료바
Владимир Соловьёв,블라디미르 솔로비요프
Пётр Вениаминович Свидлер,페테르 스비들레르
Иван Степанович Силаев,이반 실라예프
Алексей Иванович Воевода,알렉세이 보에보다
Александр Маркович Поляков,알렉산드르 마르코비치 폴랴코프
"Киселёв, Денис Юрьевич",데니스 키셀료프
Влада Рослякова,블라다 로슬랴코바
Вячеслав Анатольевич Штыров,뱌체슬라프 시티로프
"Торлопов, Владимир Александрович",블라디미르 토를로포프
Александр Вячеславович Голубев,알렉산드르 골루베프
"Колесов, Анатолий Иванович",아나톨리 콜레소프
Анастасия Сергеевна Задорожная,아나스타시야 자도로즈나야
Борис Владимирович Моруков,보리스 모루코프
Александр Васильевич Феклистов,알렉산드르 페클리스토프
"Черкесов, Виктор Васильевич",빅토르 체르케소프
"Доброскок, Дмитрий Михайлович",드미트리 도브로스코크
Игорь Пресняков,이고리 프레스냐코프
Arty,아티
Анатолий Фёдорович Добрынин,아나톨리 도프리닌
"Костецкая, Екатерина Александровна",예카테리나 코스테스카야
"Рощин, Анатолий Александрович",아나톨리 로신
Анастасия Сергеевна Павлюченкова,아나스타시야 파블류첸코바
Анатолий Алексеевич Иванишин,아나톨리 이바니신
"Семёнов, Анатолий Анатольевич",아나톨리 세묘노프
Анатолий Андреевич Ким,아나톨리 킴
Равиль Фаритович Гениатулин,라빌 게니아툴린
Александр Васильевич Бердников,알렉산더 베르니니체
Дмитрий Алексеевич Глуховский,드미트리 글루홉스키
Олег Николаевич Тактаров,올레크 타크타로프
"Дмитриев, Артур Валерьевич",아르투르 드미트리예프
"Клименко, Виктор Яковлевич",빅토르 클리멘코
"Мегалинский, Дмитрий Александрович",드미트리 메갈린스키
Александр Геннадьевич Легков,알렉산드르 렉코프
Ирина Ивановна Алфёрова,이리나 알표로바
"Чащина, Ирина Викторовна",이리나 차시나
Сагид Магомедович Муртазалиев,사기트 무르타잘리예프
Илья Иосифович Пятецкий-Шапиро,일리야 퍄테츠키샤피로
Сергей Николаевич Лазарев,세르게이 니콜라예비치 라자레프
Дарья Андреевна Дмитриева,다리야 드미트리예바
Весна Долонц,베스나 돌론츠
"Осмоловский, Анатолий Феликсович",아나톨리 오스몰롭스키
Анатолий Фёдорович Бышовец,아나톨리 비쇼베츠
"Гусаров, Алексей Васильевич",알렉세이 구사로프
Ксения Анатольевна Собчак,크세니야 솝차크
Любовь Григорьевна Полищук,류보프 폴란드슈크
Ксения Олеговна Макарова,크세니야 마카로바
Кристина Орбакайте,크리스티나 오르바카이테
Светлана Владимировна Немоляева,스베틀라나 네몰랴예바
Лия Меджидовна Ахеджакова,리야 아헤자코바
Анастасия Владимировна Барышникова,아나스타시야 바리시니코바
"Фирсов, Анатолий Васильевич",아나톨리 피르소프
Анатолий Васильевич Филипченко,아나톨리 필립첸코
Сергей Иванович Овчинников,세르게이 옵친니코프
Евгений Павлович Леонов,예브게니 레오노프
"Гуревич, Борис Максимович",보리스 구레비치
"Шевченко, Дмитрий Игоревич",드미트리 솁첸코
"Пирог, Дмитрий Юрьевич",드미트리 피로크
Эдуард Вениаминович Лимонов,에두아르드 리모노프
Александр Иванович Лебедь,알렉산드르 레베디
"Рузина, Елена Ивановна",옐레나 루지나
Сергей Александрович Волков,세르게이 볼코프
"Прудников, Алексей Павлович",알렉세이 프루드니코프
Дмитрий Степанович Полянский,드미트리 폴랸스키
"Ковтун, Дмитрий Владимирович",드미트리 콥툰
"Сватковский, Дмитрий Валерьевич",드미트리 스밧콥스키
"Лапиков, Дмитрий Валентинович",드미트리 라피코프
россияне,로시야네
"Елышев, Олег Вячеславович",올레크 엘리셰프
Анатолий Степанович Дятлов,아나톨리 댜틀로프
Анатолий Николаевич Перминов,아나톨리 페르미노프
"Лактионов, Денис Владимирович",데니스 락티오노프
"Сарычев, Валерий Константинович",신의손
"Лапущенкова, Анна Александровна",안나 라푸셴코바
Анатолий Михайлович Быков,아나톨리 비코프
Сервер Джепаров,세르베르 제파로프
Филипп Киркоров,필리프 키르코로프
Рамазан Шахин,라마잔 샤힌
"Шаинова, Марина Владимировна",마리나 샤이노바
"Дасаев, Ринат Файзрахманович",리나트 다사예프
Александр Владимирович Попов,알렉산드르 포포프
Юлий Яковлевич Райзман,율리 라이즈만
"Черепанов, Алексей Андреевич",알렉세이 체레파노프
Александр Вячеславович Жулин,알렉산드르 줄린
"Царгуш, Денис Игоревич",데니스 차르구시
Микаэл Леонович Таривердиев,미카엘 타리베르디예프
Дмитрий Евгеньевич Сычёв,드미트리 시초프
Анатолий Юрьевич Оноприенко,아나톨리 오노프리옌코
"Тихонов, Владимир Михайлович",박노자
Екатерина Владимировна Чемберджи,예카테리나 쳄베르지
Борис Владимирович Заходер,보리스 자호데르
"Шармина, Екатерина Михайловна",예카테리나 마르티노바
"Калитурина, Ольга Викторовна",올가 칼리투리나
Дмитрий Владимирович Берестов,드리트리 베레스토프
Дмитрий Андрейкин,드미트리 안드레이킨
Александр Аркадьевич Тучкин,알렉산드르 투치킨
Ахмат Кадыров,아흐마트 카디로프
"Хмылёв, Юрий Алексеевич",유리 흐밀료프
"Тедеев, Джамболат Ильич",잠볼라트 테데예프
Владимир Валентинович Меньшов,블라디미르 멘쇼프
Дмитрий Врубель,드미트리 브루벨
Андрей Геннадьевич Кириленко,안드레이 키릴렌코
Дмитрий Евгеньевич Торбинский,드미트리 토르빈스키
"Третьяков, Александр Владимирович",알렉산드르 트레티야코프
Константин Алексеевич Безматерных,콘스탄틴 베즈마테르니흐
Валерия,발레리야
"Сурайкин, Андрей Александрович",안드레이 수라이킨
Карина Разумовская,카리나 라주몹스카야
"Сидякин, Андрей Анатольевич",안드레이 시댜킨
"Чесноков, Андрей Эдуардович",안드레이 체스노코프
Василий Владимирович Березуцкий,바실리 베레주츠키
Александр Михайлович Овечкин,알렉산드르 오베치킨
Андрей Георгиевич Битов,안드레이 비토프
Светлана Афанасьевна Светличная,스베틀라나 스베트리크나야
Виктор Савельевич Онопко,빅토르 오놉코
Антон Владимирович Шунин,안톤 슈닌
Евгений Александрович Евтушенко,예브게니 옙투셴코
Наталья Сергеевна Полевщикова,나타샤 폴리
"Николишин, Андрей Васильевич",안드레이 니콜리신
"Чемеркин, Андрей Иванович",안드레이 체메르킨
Андрей Александрович Фурсенко,안드레이 푸르센코
Андрей Кузнецов,안드레이 쿠즈네초프
Владимир Васильевич Квачков,블라디미르 크바치코프
Юрий Георгиевич Шаргин,유리 샤르긴
Салижан Шакирович Шарипов,살리잔 샤리포프
Игорь Петрович Семшов,이고리 셈쇼프
Борис Абрамович Березовский,보리스 베레좁스키
Ксения Геннадьевна Цыбутович,크세니야 치부토비치
"Хомицкий, Вадим Владимирович",바딤 호미츠키
Андрей Алексеевич Чернышов,안드레이 체르니쇼프
Андрей Анатольевич Букин,안드레이 부킨
Анастасия Александровна Вертинская,아나스타시야 베르틴스카야
Богдан Витальевич Пищальников,보그단 피샬니코프
"Потёмкина, Валерия Леонидовна",발레리야 레즈니크
Юрий Владимирович Никулин,유리 니쿨린
Валерий Георгиевич Карпин,발레리 카르핀
"Сальников, Владимир Валерьевич",블라디미르 사르니코프
Денис Меньшов,데니스 멘쇼프
Надежда Валерьевна Скардино,나데즈다 스카르디노
Валентин Валентинович Иванов,발렌틴 이바노프
Евгений Владимирович Белошейкин,예브게니 벨로셰이킨
Николай Васильевич Фёдоров,니콜라이 표도로프
Игорь Николаевич Смирнов,이고리 스미르노프
"Хотеев, Андрей Иванович",안드레이 호테예프
"Иванович, Андрей Викторович",안드레이 이바노비치
Андрей Иванович Борисенко,안드레이 보리센코
"Лавров, Андрей Иванович",안드레이 라브로프
"Зотов, Александр Владимирович",알렉산드르 조토프
Леонид Иович Гайдай,레오니드 가이다이
Владислав Петрович Крапивин,블라디슬라프 크라피빈
Марат Наилевич Измайлов,마라트 이즈마일로프
Михаил Маратович Фридман,미하일 프리드만
"Тетюхин, Сергей Юрьевич",세르게이 테튜힌
Баир Доржиевич Бадёнов,바이르 바됴노프
Валерий Иванович Васильев,발레리 바실리예프
Виктор Анатольевич Шендерович,빅토르 셴데로비치
Андрей Николаевич Коваленко,안드레이 코발렌코
Андрей Николаевич Ланьков,안드레이 란코프
Андрей Антанасович Канчельскис,안드레이 칸첼스키스
Вячеслав Васильевич Тихонов,뱌체슬라프 티호노프
Сергей Богданович Семак,세르게이 세마크
Андрей Евгеньевич Иванов,안드레이 이바노프
Андрей Николаевич Малахов,안드레이 말라 코프
Роман Сергеевич Шаронов,로만 샤로노프
"Сайтиев, Бувайсар Хамидович",부바이사르 사이티예프
Александр Александрович Алиев,올렉산드르 알리예우
Андрей Сергеевич Зубарев,안드레이 주바레프
Сергей Вадимович Степашин,세르게이 스테파신
Олег Иванович Янковский,올레그 얀코브스키
"Ким, Кристина Александровна",크리스티나 킴
Алексей Воробьёв,알렉세이 보로비요프
"Лопаткина, Ульяна Вячеславовна",울리야나 로팟키나
Александр Николаевич Яковлев,알렉산드르 니콜라예비치 야코블레프
Андриян Григорьевич Николаев,안드리얀 니콜라예프
Борис Андреевич Успенский,보리스 우스펜스키
Денис Леонидович Мацуев,데니스 마추예프
"Козлов, Виктор Николаевич",빅토르 코즐로프
Станислав Иосифович Ростоцкий,스타니슬라프 로스토츠키
Алексей Алексеевич Морозов,알렉세이 모로조프
Станислав Александрович Белковский,스타니슬라프 벨콥스키
"Конакбаев, Серик Керимбекович",세리크 코나크바예프
"Колбин, Геннадий Васильевич",겐나디 콜빈
Валентин Козьмич Иванов,발렌틴 이바노프
Дмитрий Олегович Рогозин,드미트리 로고진
"Платов, Евгений Аркадьевич",예브게니 플라토프
Генрих Саулович Альтшуллер,겐리히 알츠슐러
Сергей Константинович Крикалёв,세르게이 크리칼료프
Сергей Владиленович Кириенко,세르게이 키리옌코
Андрей Валерьевич Башкиров,안드레이 바시키로프
Кирсан Николаевич Илюмжинов,키르산 일륨지노프
"Колодин, Денис Алексеевич",데니스 콜로딘
Пётр Андреевич Налич,표트르 날리치
Иосиф Ефимович Хейфиц,이오시프 헤이피츠
"Кривокрасов, Сергей Владимирович",세르게이 크리보크라소프
Сергей Леонидович Катанандов,세르게이 카타난도프
"Мишин, Алексей Владимирович",알렉세이 미신
Алексей Николаевич Мишин,알렉세이 미신
Сергей Валерьевич Харитонов,세르게이 하리토노프
Юрий Петрович Трутнев,유리 트룻네프
"Маркин, Виктор Фёдорович",빅토르 마르킨
Юрий Георгиевич Седых,유리 세디흐
Кирилл Набабкин,키릴 나밥킨
Виталий Геннадьевич Денисов,비탈리 데니소프
Павел Мамаев,파벨 마마예프
"Лутай, Андрей Владимирович",안드레이 루타이
"Тихонов, Андрей Валерьевич",안드레이 티호노프
Александр Геннадиевич Хлопонин,알렉산드르 흘로포닌
"Ковалёв, Алексей Вячеславович",알렉세이 코발료프
"Иванов, Михаил Петрович",미하일 이바노프
