Paris,パリ
Cathédrale Saint-Étienne de Bourges,サン＝テチエンヌ大聖堂・(ブールジュ)
36e cérémonie des César,第36回セザール賞
Moulis-en-Médoc,ムーリ＝ザン＝メドック
Évian-les-Bains,エヴィアン＝レ＝バン
Altkirch,アルトキルシュ
Dordogne (fleuve français),ドルドーニュ川
Grand Prix automobile de France 1982,1982年フランスグランプリ
1er régiment de chasseurs parachutistes,第1猟兵落下傘連隊
Billom,ビヨム
Saint-Sauveur (Finistère),サン＝ソヴール・(フィニステール県)
Garches,ギャルシュ
Sant'Antonino (Haute-Corse),サンタントニノ
Eguisheim,エギスハイム
Le Bourget (Seine-Saint-Denis),ル・ブルジェ
Sambre,サンブル川
La Roche-Maurice,ラ・ロッシュ＝モーリス
Saint-Paul-de-Vence,サン＝ポール＝ド＝ヴァンス
Bagnères-de-Bigorre,バニェール＝ド＝ビゴール
Stade de Reims,スタッド・ランス
Carhaix-Plouguer,カレ＝プルゲール
Camp de Drancy,ドランシー収容所
Bazas,バザス
Parc de la Villette,ラ・ヴィレット公園
Chelles,シェル・(フランス)
Lanvéoc,ランヴェオック
Saint-Dizier,サン＝ディジエ
Maisons-Alfort,メゾン＝アルフォール
Le Blanc-Mesnil,ル・ブラン＝メニル
Zénith (salle de spectacle),ゼニット・(コンサートホール)
Intercontinental Le Mans Cup,インターコンチネンタル・ル・マン・カップ
Oloron-Sainte-Marie,オロロン＝サント＝マリー
Sporting Club de Bastia,SCバスティア
Lys (affluent de l'Escaut),レイエ川
Internationaux de France de tennis 2010,2010年全仏オープン
Conseil international des monuments et des sites,国際記念物遺跡会議
Île-Tudy,イル＝テュディ
Bataille de Dunkerque,ダンケルクの戦い
Vierzon,ヴィエルゾン
Poullan-sur-Mer,プラン＝シュル＝メール
Bourg-Blanc,ブール＝ブラン
Traité de Nice,ニース条約
Esquibien,エスキビアン
Berrien (Finistère),ベリアン・(フランス)
Équipe cycliste TotalEnergies,チーム・トタルエネルジー
Kourou,クールー・(フランス領ギアナ)
Saint-Divy,サン＝ディヴィ
Loc-Eguiner-Saint-Thégonnec,ロック＝エギネール＝サン＝テゴネック
Coat-Méal,コア＝メアル
Tour de France 1906,ツール・ド・フランス1906
Tour de France 1907,ツール・ド・フランス1907
Tour de France 1908,ツール・ド・フランス1908
Sainte-Mère-Église (commune déléguée),サント＝メール＝エグリーズ
Groupe Eclair,エクレール・(カメラ)
Tour de France 1909,ツール・ド・フランス1909
Villefranche-sur-Saône,ヴィルフランシュ＝シュル＝ソーヌ
Saint-Omer (Pas-de-Calais),サントメール・(パ＝ド＝カレー県)
Échiré,エシレ
Lunéville,リュネヴィル
Cavaillon,カヴァイヨン
Corbeil-Essonnes,コルベイユ＝エソンヌ
Plateau des Guyanes,ギアナ高地
La Seyne-sur-Mer,ラ・セーヌ＝シュル＝メール
Saint-Ouen-sur-Seine,サン＝トゥアン
École centrale de Lille,エコール・サントラル・ド・リール
École Du Breuil,エコール・デュ・ブルーユ
École centrale de Nantes,エコール・サントラル・ド・ナント
École centrale Paris,エコール・サントラル・パリ
Saint-Gratien (Val-d'Oise),サン＝グラティアン
Roquebillière,ロクビリエール
Gif-sur-Yvette,ジフ＝シュル＝イヴェット
Saint-Jean-de-Maurienne,サン＝ジャン＝ド＝モーリエンヌ
Le Pecq,ル・ペック
Combs-la-Ville,コン＝ラ＝ヴィル
1er régiment de parachutistes d'infanterie de marine,第1海兵歩兵落下傘連隊・(フランス軍)
Deauville,ドーヴィル
La Chaise-Dieu,ラ・シェーズ＝デュー
Levie,レヴィ・(コルス＝デュ＝シュド県)
La Richardais,ラ・リシャルデ
Bourgoin-Jallieu,ブルゴワン＝ジャイユー
Groupe PSA,グループPSA
Taverny,タヴェルニー
Bagnolet,バニョレ
Rade de Brest,ブレスト停泊地
Mer d'Iroise,イロワーズ海
Mont Ventoux,モン・ヴァントゥ
Saint-Pierre (La Réunion),サン＝ピエール・(レユニオン)
Cachan,カシャン
Courdimanche,クールディマンシュ
Bourg-la-Reine,ブール＝ラ＝レーヌ
École militaire (France),エコール・ミリテール
Domrémy-la-Pucelle,ドンレミ＝ラ＝ピュセル
Pantin,パンタン
École normale de musique de Paris,エコールノルマル音楽院
École supérieure d'électricité,高等電気学校
Rosny-sous-Bois,ロニー＝スー＝ボワ
Saint-Michel-sur-Orge,サン＝ミシェル＝シュル＝オルジュ
Sartrouville,サルトルーヴィル
Bar-sur-Aube,バール＝シュル＝オーブ
Saint-Amand-Montrond,サン＝タマン＝モンロン
Arlempdes,アルランド
Montpeyroux (Puy-de-Dôme),モンペルー・(ピュイ＝ド＝ドーム県)
Territoires du royaume de France,フランスの州・(フランス革命以前)
École nationale des ponts et chaussées,国立土木学校
Les Andelys,レ＝ザンドリ
École des hautes études en sciences sociales,社会科学高等研究院
École nationale d'administration (France),フランス国立行政学院
École du Louvre,エコール・デュ・ルーヴル
Die (Drôme),ディー・(ドローム県)
Avioth,アヴィオット
Gurs,ギュルス・(フランス)
Montréal (Gers),モンレアル・(ジェール県)
Vaudeville (Meurthe-et-Moselle),ヴォードヴィル・(ムルト＝エ＝モゼル県)
Bois de Boulogne,ブローニュの森
2e arrondissement de Paris,2区・(パリ)
Batasuna,バタスナ
Grenoble Foot 38,グルノーブル・フット38
École française d'Athènes,アテネ・フランス学院
École française d'Extrême-Orient,フランス極東学院
École nationale de la magistrature,国立司法学院
École nationale d'ingénieurs de Brest,ブレスト国立工科大学
École nationale des chartes,フランス国立古文書学校
HEC Paris,HECパリ
PSE - École d'économie de Paris,パリ経済学校
Lesparre-Médoc,レスパール＝メドック
Condom (Gers),コンドン
Nyons,ニヨン・(フランス)
Sainte-Florine,サント＝フロリーヌ
Beaux-Arts de Paris,パリ国立高等美術学校
Rethel,ルテル
Saint-Gaudens,サン＝ゴーダンス
École polytechnique (France),エコール・ポリテクニーク
Guebwiller,ゲブヴィレール
École pratique des hautes études,高等研究実習院
École supérieure de physique et de chimie industrielles de la ville de Paris,パリ市立工業物理化学高等専門大学
ESSEC Business School,ESSEC
Largentière,ラルジャンティエール
Université de Paris (1896-1970),パリ大学
Pamiers,パミエ
Montbard,モンバール
Vervins,ヴェルヴァン
Dammartin-en-Goële,ダマルタン＝アン＝ゴエル
Course à la mer,海への競争
Biscarrosse,ビスカロッス
Groupe des Écoles centrales,エコール・サントラル
Championnats du monde de patinage artistique 1958,1958年世界フィギュアスケート選手権
Golfe du Lion,リオン湾
Saint-Vigor-le-Grand,サン＝ヴィゴール＝ル＝グラン
Corps de réaction rapide européen,欧州合同軍
Sari-Solenzara,サリ＝ソランザラ
Sainte-Lucie-de-Tallano,サント＝リュシー＝ド＝タラノ
Île de Sein,サン島
Rocroi,ロクロワ
Le Vigan (Gard),ル・ヴィガン
Clercs réguliers de la Mère de Dieu pour les écoles pies,エスコラピオス修道会
Motul (entreprise),モチュール
Robin Aircraft,ロバン
Internationaux de France de tennis 2008,2008年全仏オープン
QuattroPole,クアトロポール
Éditions Gallimard,ガリマール出版社
Les Éditions de minuit,深夜叢書
Champagne (province),シャンパーニュ
Éditions Larousse,ラルース・(出版社)
Saint-Herblain,サン＝テルブラン
Houilles,ウイユ
Edern,エデルン
Custines,キュスティーヌ
Bureau international des poids et mesures,国際度量衡局
Simple messieurs des Internationaux de France 2008,2008年全仏オープン男子シングルス
Montfort-l'Amaury,モンフォール＝ラモーリー
Bressuire,ブレシュイール
Marmande,マルマンド
Nérac,ネラック
Saint-Flour (Cantal),サン＝フルール
20e arrondissement de Paris,20区・(パリ)
Ploumoguer,プルモゲール
Afrique-Occidentale française,フランス領西アフリカ
Beausoleil (Alpes-Maritimes),ボーソレイユ・(アルプ＝マリティーム県)
Tour de France 1980,ツール・ド・フランス1980
Tour de France 1985,ツール・ド・フランス1985
Coligny (Ain),コリニー
4e arrondissement de Paris,4区・(パリ)
Montsalvy,モンサルヴィ
Issoudun,イスーダン
Saint-Girons (Ariège),サン＝ジロン
Matmut Atlantique,ヌーヴォ・スタッド・ド・ボルドー
Mûr-de-Bretagne,ミュール＝ド＝ブルターニュ
Neufchâteau (Vosges),ヌフシャトー・(ヴォージュ県)
Roue Tourangelle,ラ・ルー・トゥランジェル
Le Mans Football Club,ル・マンFC
Moncontour (Côtes-d'Armor),モンコントゥール・(コート＝ダルモール県)
Thouars,トゥアール
Casamaccioli,カザマーチウリ
Équitation aux Jeux olympiques de 1900,1900年パリオリンピックの馬術競技
Tain-l'Hermitage,タン＝レルミタージュ
Saint-Michel-de-Montjoie,サン＝ミシェル＝ド＝モンジョワ
Poma 2000 de Laon,ポマ2000
Grez-sur-Loing,グレ＝シュル＝ロワン
Mayenne (rivière),マイエンヌ川
Centre national de la recherche scientifique,フランス国立科学研究センター
Île Saint-Louis,サン＝ルイ島
Fauconnerie,鷹狩
Bagnols-sur-Cèze,バニョール＝シュル＝セーズ
Cap-d'Ail,カップ＝ダイユ
Grand Prix moto de France 2003,2003年のフランスグランプリ・(ロードレース)
Siège de Gergovie,ゲルゴウィアの戦い
Les Très Riches Heures du duc de Berry,ベリー公のいとも豪華なる時祷書
Aubenas,オーブナ
Festival de Cannes 1997,第50回カンヌ国際映画祭
La Ciotat,ラ・シオタ
Échirolles,エシロル
Honfleur,オンフルール
Châteaubriant,シャトーブリアン・(ロワール＝アトランティック県)
Tour d'Italie 1949,ジロ・デ・イタリア・1949
Saint-Urcize,サンテュルシズ
Festival de Cannes 1988,第41回カンヌ国際映画祭
Armistice du 11 novembre 1918,ドイツと連合国の休戦協定・(第一次世界大戦)
Ris-Orangis,リス＝オランジス
Autoroute A8 (France),オートルート・A8
Lombez,ロンベズ
Paris-Nice 2012,パリ〜ニース2012
Eu (Seine-Maritime),ウー・(セーヌ＝マリティーム県)
Beaufour-Druval,ボーフール＝ドリュヴァル
Massy (Essonne),マシー・(エソンヌ県)
Festival de Cannes 1975,第28回カンヌ国際映画祭
Simple messieurs des Internationaux de France 2004,2004年全仏オープン男子シングルス
Viry-Châtillon,ヴィリー＝シャティヨン
Aigurande,エグランド
Beaucaire (Gard),ボーケール・(ガール県)
Causse,コース地方
Vandœuvre-lès-Nancy,ヴァンドゥーヴル＝レ＝ナンシー
Sancerre (AOC),サンセールAOC
Assignat,アッシニア
Quartier du Montparnasse,モンパルナス
Beaulieu-sur-Mer,ボーリュー＝シュル＝メール
Pierrefitte-sur-Seine,ピエールフィット＝シュル＝セーヌ
Malakoff (Hauts-de-Seine),マラコフ
Wattrelos,ワットルロー
Loos (Nord),ロス・(ノール県)
Saint-Maurice (Val-de-Marne),サン＝モーリス・(ヴァル＝ド＝マルヌ県)
Avaricum,アウァリクム包囲戦
Chambre des députés (France),代議院・(フランス)
Barfleur,バルフルール
Seine-Port,セーヌ＝ポール
Égletons,エグルトン
Brissonneau et Lotz,ブリッソノー・エ・ロッツ
Roussillon (Vaucluse),ルシヨン・(ヴォクリューズ県)
La Valette-du-Var,ラ・ヴァレット＝デュ＝ヴァール
Nemours,ヌムール
Football club lourdais XV Hautes-Pyrénées,FCルルド
Prieuré de Sion,シオン修道会
Opéra de Paris,パリ国立オペラ
Abbaye Notre-Dame de Fontevraud,フォントヴロー修道院
Bataille de Beaugency,ボージャンシーの戦い・(1429年)
Cuzac,キュザック
Chenonceaux,シュノンソー
Enghien-les-Bains,アンギャン＝レ＝バン
Nogent-sur-Marne,ノジャン＝シュル＝マルヌ
Valenciennes Football Club,ヴァランシエンヌFC
Collobrières,コロブリエール
Saint-Sardos (Tarn-et-Garonne),サン＝サルドス
Championnat du monde masculin de volley-ball 1956,1956年バレーボール世界選手権
Les Lilas,レ・リラ
Lot (rivière),ロット川
Championnats du monde juniors d'athlétisme 1998,1998年世界ジュニア陸上競技選手権大会
Cernay (Haut-Rhin),セルネー
Électricité de France,フランス電力
Élan béarnais Pau-Lacq-Orthez,ÉBポー・オルテッズ
Ozoir-la-Ferrière,オゾワール＝ラ＝フェリエール
Quartier latin (Paris),カルチエ・ラタン
Les Sables-d'Olonne (ancienne commune),レ・サーブル＝ドロンヌ
Collioure,コリウール
Illzach,イルザック
Pont Marie (métro de Paris),ポン・マリー駅
Ax-les-Thermes,アクス＝レ＝テルム
Saint-Pourçain-sur-Sioule,サン＝プルサン＝シュル＝シウール
Murat (commune déléguée),ミュラ・(カンタル県)
Barbizon,バルビゾン
Coupe de France de football,クープ・ドゥ・フランス
Auvers-sur-Oise,オーヴェル＝シュル＝オワーズ
Ansouis,アンスウィ
Équipe de Saint-Martin de football,サッカーサン・マルタン代表
Montargis,モンタルジ
Mionnay,ミオネ
Domeyrat,ドメラ・(オート＝ロワール県)
Sens (Yonne),サンス
Viviers (Ardèche),ヴィヴィエ
Grande Terre (Nouvelle-Calédonie),グランドテール島
France métropolitaine,フランス・メトロポリテーヌ
Lesneven,レスネヴァン
Commercy,コメルシー
Conflans-Sainte-Honorine,コンフラン＝サントノリーヌ
Saint-Claude (Jura),サン＝クロード・(ジュラ県)
Prades (Pyrénées-Orientales),プラード・(ピレネー＝オリアンタル県)
Brunoy,ブリュノワ
Bois-Colombes,ボワ＝コロンブ
Traité de l'Élysée,仏独協力条約
Simple messieurs des Internationaux de France 2012,2012年全仏オープン男子シングルス
Éliminatoires du Championnat d'Europe de football 1984,UEFA欧州選手権1984予選
Pont Saint-Bénézet,サン・ベネゼ橋
Mouans-Sartoux,ムアン＝サルトゥー
Saint-Renan,サン＝ルナン
Abondance (fromage),アボンダンス・(チーズ)
Grand Prix moto de France,フランスグランプリ・(ロードレース)
Traité de Tarascon,タラスコン条約
It's a Small World,イッツ・ア・スモールワールド
Rochefourchat,ロッシュフルシャ
Margaux (Gironde),マルゴー
Colombiers-sur-Seulles,コロンビエール＝シュル＝スル
Gravelines,グラヴリーヌ
Tunnel du Mont-Blanc,モンブラントンネル
Institut de France,フランス学士院
Curling aux Jeux olympiques de 1992,1992年アルベールビルオリンピックのカーリング競技
9e arrondissement de Paris,9区・(パリ)
Condat (Cantal),コンダ・(カンタル県)
Pierrelatte,ピエールラット
Tour Montparnasse,トゥール・モンパルナス
Parc Astérix,アステリックス・パーク
Métro de Marseille,マルセイユ地下鉄
Nogaro,ノガロ
24 Heures du Mans 1955,1955年のル・マン24時間レース
Châteauneuf-Grasse,シャトーヌフ＝グラース
P8 ex-Prusse,プロイセン邦有鉄道P8型蒸気機関車
Mers-les-Bains,メール＝レ＝バン
Air Saint-Pierre,エール・サン＝ピエール
Aircalin,エアカラン
Le Plessis-Robinson,ル・プレシ＝ロバンソン
Bussy-Saint-Georges,ビュシー＝サン＝ジョルジュ
Sannois,サノワ
Le Raincy,ル・ランシー
Megève,ムジェーヴ
Sainte-Croix-Vallée-Française,サント＝クロワ＝ヴァレ＝フランセーズ
Chevilly-Larue,シュヴィイ＝ラリュ
Stains,スタン・(セーヌ＝サン＝ドニ県)
Eurofins Scientific,ユーロフィン
Aizenay,エズネ
7e arrondissement de Paris,7区・(パリ)
Nantes Université,ナント大学
Villiers-sur-Marne,ヴィリエ＝シュル＝マルヌ
Ouilly-du-Houley,ウイリー＝デュ＝ウレ
Airlinair,エールリネール
Airvault,エルヴォー
Boucles de l'Aulne,ブークル・ド・ロルヌ
Tour de France 1986,ツール・ド・フランス1986
Pégomas,ペゴマ
Castagniers,カスタニエ
Tour de France 1968,ツール・ド・フランス1968
Camp de Rivesaltes,リヴザルト収容所
Internationaux de France de tennis 1978,1978年全仏オープン
Vélodrome Jacques-Anquetil,ヴェロドローム・ド・ヴァンセンヌ
Sainte-Vaubourg,サント＝ヴォーブール
Centrale nucléaire de Cruas,クリュアス原子力発電所
Tour d'Italie 1982,ジロ・デ・イタリア・1982
Abbaye Saint-Martin du Canigou,サン＝マルタン・デュ・カニグー修道院
Bretagne Classic,ブルターニュ・クラシック・ウエスト＝フランス
Tramway de Marseille,トラム・(マルセイユ)
Pau Football Club,ポーFC
Hérisson (Allier),エリソン・(アリエ県)
Prix de l'Arc de Triomphe,凱旋門賞
Communauté urbaine,フランスの都市共同体
Bataille de Verneuil (1424),ヴェルヌイユの戦い
Isola (Alpes-Maritimes),イゾラ・(フランス)
Roquefort (Landes),ロックフォール・(ランド県)
Affaire Clearstream 2,クリアストリーム事件
Hôpital-Camfrout,オピタル＝カンフルー
Paris-Tours 2007,パリ〜ツール2007
Xambes,グザンブ
Caramany,カラマニー
Île-de-Batz,イル＝ド＝バ
Guilligomarc'h,ギリゴマーシュ
Rédené,レデネ
Saint-Martin-des-Champs (Finistère),サン＝マルタン＝デ＝シャン・(フィニステール県)
Malons-et-Elze,マロン＝エ＝エルズ
Politique linguistique de la France,フランスの言語政策
Boulogne - Jean Jaurès (métro de Paris),ブローニュ＝ジャン・ジョレス駅
Aubigny-sur-Nère,オービニー＝シュル＝ネール
Place Stanislas,ナンシーのスタニスラス広場、カリエール広場、アリアンス広場
Lusigny,リュジニー
Digoin,ディゴワン
Landerneau,ランデルノー
Tour de France 1931,ツール・ド・フランス1931
Langolen,ランゴラン
Étang de Berre,ベール湖
Besse-et-Saint-Anastaise,ベス＝エ＝サンタナステーズ
Bateau-Lavoir,洗濯船
Saint-Évarzec,サンテヴァルゼック
Plomeur,プロムール
Logonna-Daoulas,ロゴナ＝ダウラ
Le Conquet,ル・コンケ
Formentin,フォルモンタン
Le Rouret,ル・ルレ
Beaumont-le-Roger,ボーモン＝ル＝ロジェ
Monségur (Gironde),モンセギュール・(ジロンド県)
Rezé,ルゼ
Vers-Pont-du-Gard,ヴェル＝ポン＝デュ＝ガール
Loc-Brévalaire,ロック＝ブレヴァレール
Milizac,ミリザック
Gien,ジアン
Corrèze (commune),コレーズ
Espalion,エスパリオン
Fête nationale française,パリ祭
Cosne-Cours-sur-Loire,コーヌ＝クール＝シュル＝ロワール
Montmorillon,モンモリヨン
Parti radical de gauche,左翼急進党
Étienne Marcel (métro de Paris),エティエンヌ・マルセル駅
Pont de Bir-Hakeim,ビル・アケム橋
Courchevel,クールシュヴェル
Mortagne-au-Perche,モルターニュ＝オー＝ペルシュ
Saint-Jean-du-Doigt,サン＝ジャン＝デュ＝ドワ
Limousin (dialecte),リムーザン語
Prison de la Santé,サンテ刑務所
Étoile de Bessèges-Tour du Gard,エトワール・ド・ベセージュ
Trébabu,トレバビュ
Locquirec,ロキレック
Parc des Sports d'Annecy,パルク・デ・スポール・(アヌシー)
Étretat,エトルタ
La Chapelle-Glain,ラ・シャペル＝グラン
Parc national des Écrins,エクラン国立公園
Vertou,ヴェルトゥ
Fronsac (Gironde),フロンサック
Pont Mirabeau,ミラボー橋
Épidémie de gastro-entérite et de syndrome hémolytique et urémique de 2011 en Europe,2011年の欧州における腸管出血性大腸菌感染事件
Opération Nordwind,ノルトヴィント作戦
Loupiac (Gironde),ルピヤック
Cathédrale Notre-Dame de Rouen,ルーアン大聖堂
Coupe de la Ligue française de football,クープ・ドゥ・ラ・リーグ
Loi Gayssot,ゲソ法
Rodez Aveyron Football,ロデーズAF
Le Grau-du-Roi,ル・グロ＝デュ＝ロワ
Brassac-les-Mines,ブラサック＝レ＝ミーヌ
CAC Next 20,CAC・Next・20
Équipe de Nouvelle-Calédonie de football,サッカーニューカレドニア代表
Aspremont (Alpes-Maritimes),アスプルモン・(アルプ＝マリティーム県)
Musée des Beaux-Arts de Nancy,ナンシー美術館
Landéda,ランデダ
Bouguenais,ブゲネ
Buzet-sur-Baïse,ビュゼ＝シュル＝バイズ
Joigny,ジョワニー
Six-Fours-les-Plages,シス＝フール＝レ＝プラージュ
Savigny-le-Temple,サヴィニー＝ル＝タンプル
Tournefeuille,トゥルヌフイユ
Sainte-Catherine (Pas-de-Calais),サント＝カトリーヌ・(パ＝ド＝カレー県)
Belcastel (Aveyron),ベルカステル・(アヴェロン県)
Île Longue (Finistère),ロング島・(フィニステール県)
Canet-en-Roussillon,カネ＝タン＝ルシヨン
Nogent-sur-Seine,ノジャン＝シュル＝セーヌ
Rassemblement démocratique africain,アフリカ民主連合
Candes-Saint-Martin,カンド＝サン＝マルタン
Roquefort-sur-Soulzon,ロックフォール＝シュル＝スールゾン
Musée des Blindés de Saumur,ソミュール戦車博物館
Maison de Courtenay,クルトネー家
Ampus,アンプス・(フランス)
Château de Villandry,ヴィランドリー城
Plouguerneau,プルゲルノー
Névez,ネヴェ
Îles de Lérins,レランス諸島
Îles Chausey,ショゼー諸島
Îles de la Petite-Terre,プティト・テール諸島
Île de la Possession,ポセッション島
Île de Noirmoutier,ノワールムティエ島
Île de Ré,レ島
Lannilis,ランニリス
Le Havre Athletic Club (football),ル・アーヴルAC
Île des Pins,イル・デ・パン
Forces armées françaises,フランス軍
Îles des Saintes,レ・サント諸島
Îles d'Hyères,イエール諸島
Tour de France 2007,ツール・ド・フランス2007
Tour de France 2006,ツール・ド・フランス2006
Coray,コレ・(フランス)
Taulé,トレ
Île d'Oléron,オレロン島
Île d'Or,イル・ドール
Champenois,シャンパーニュ語
Rungis,ランジス
Pièces en euro de la France,フランスのユーロ硬貨
Akkodis,AKKODiSコンサルティング
Le Cateau-Cambrésis,ル・カトー＝カンブレジ
Beuzec-Cap-Sizun,ブゼック＝カップ＝シザン
Bourg-Madame,ブール＝マダム
Combrit,コンブリ
Montségur,モンセギュール・(アリエージュ県)
Commelle-Vernay,コメル＝ヴェルネー
Les Authieux-sur-le-Port-Saint-Ouen,レゾテュー＝シュル＝ル＝ポール＝サン＝トゥアン
Tour de France 1987,ツール・ド・フランス1987
AOM French Airlines,AOMフランス航空
Église Saint-Sulpice de Paris,サン＝シュルピス教会
Internationaux de France de tennis 2009,2009年全仏オープン
Finale de la Ligue des champions de l'UEFA 2005-2006,UEFAチャンピオンズリーグ・2005-06・決勝
ART Grand Prix,ARTグランプリ
Église de la Madeleine,マドレーヌ寺院
Palais-Royal,パレ・ロワイヤル
Folies Bergère,フォリー・ベルジェール
Missions étrangères de Paris,パリ外国宣教会
Camp des Milles,レ・ミル収容所
Arbois,アルボワ
Kremer Racing,クレマー・レーシング
Mémorial de la Shoah,ショア記念館
Saintes-Maries-de-la-Mer,サント＝マリー＝ド＝ラ＝メール
Saint-Priest,サン＝プリエスト
Creil,クレイユ
Landivisiau,ランディヴィジオ
Le Creusot,ル・クルーゾ
Palais du Luxembourg,リュクサンブール宮殿
Wallons,ワロン人
Valréas,ヴァルレアス
Purisme (art),ピュリスム
ASM Clermont Auvergne,ASMクレルモン・オーヴェルニュ
Chablis (Yonne),シャブリ
Châteauneuf-du-Faou,シャトーヌフ＝デュ＝フー
Association sportive Beauvais Oise,ASボーヴェ・オワーズ
Dernières Nouvelles d'Alsace,デルニエール・ヌーベル・ダルザス
Mondragon,モンドラゴン・(ヴォクリューズ県)
Orléanisme,オルレアニスム
Stade toulousain,スタッド・トゥールーザン
Commune (France),コミューン
Ingouches,イングーシ人
Association sportive Magenta Nickel,ASマゼンタ
Association sportive Pirae,ASピレー
Roquefort-les-Pins,ロックフォール＝レ＝パン
Banassac,バナサック
Association sportive de Cannes (football),ASカンヌ
Association sportive de Cannes volley-ball,ASカンヌ・バレーボール
Mirabel (Ardèche),ミラベル・(アルデシュ県)
Paris Saint-Germain Football Club,パリ・サンジェルマンFC
Le Cloître-Pleyben,ル・クロワトル＝プレバン
Planoise,プラノワーズ
Élection présidentielle française de 2012,2012年フランス大統領選挙
Paris-Nice,パリ〜ニース
Tournoi de tennis de Moselle,モゼール・オープン
Tournoi de tennis de Marseille,オープン13
Braine (Aisne),ブレーヌ
La Roquette (Eure),ラ・ロケット・(ウール県)
Wallis (île),ウベア島・(フランス領ウォリス・フツナ)
Aa (fleuve),アー川
Ivry-la-Bataille,イヴリー＝ラ＝バタイユ
Bernex (Haute-Savoie),ベルネ・(オート＝サヴォワ県)
Aigueperse (Puy-de-Dôme),エグペルス・(ピュイ＝ド＝ドーム県)
Granville,グランヴィル・(マンシュ県)
Canal de Briare,ブリアール運河
Fronsac (AOC),フロンサックAOC
Thonon Évian Grand Genève Football Club,エヴィアン・トノン・ガイヤールFC
Orlyval,オルリーヴァル
CC 7100,フランス国鉄CC7100形電気機関車
Abbaye Notre-Dame de Molesme,モレーム修道院
Vin jaune,ヴァン・ジョーヌ
Armagnacs,アルマニャック派
Abbaye de Saint-Germain-des-Prés,サン＝ジェルマン＝デ＝プレ教会
Grand-Fougeray,グラン＝フジュレ
Thal-Marmoutier,タル＝マルムティエ
Abbaye Sainte-Marie de Fontfroide,フォンフロワド修道院
Altillac,アルティヤック
Union sportive Créteil-Lusitanos,USクレテイユ＝リュシタノ
Trégunc,トレガン
Lirac,リラック
Tavel (Gard),タヴェル
Chaville,シャヴィル
Collaboration en France,コラボラシオン
Affaire des Placards,檄文事件
Tour de France 1928,ツール・ド・フランス1928
Gigondas (Vaucluse),ジゴンダス
Alyscamps,アリスカン
Bataille des Cardinaux,キブロン湾の海戦
La Forêt-du-Temple,ラ・フォレ＝デュ＝タンプル
Université de Tours,トゥール大学
Semois,スモワ川
Condé-sur-l'Escaut,コンデ＝シュル＝レスコー
Saint-julien (AOC),サン＝ジュリアンAOC
Saint-Nic,サン＝ニック
Festival de Cannes 1983,第36回カンヌ国際映画祭
Festival de Cannes 1989,第42回カンヌ国際映画祭
Festival de Cannes 2009,第62回カンヌ国際映画祭
Pointe-à-Pitre,ポワンタピートル
Pont Neuf,ポンヌフ
Délégation générale du Québec à Paris,ケベック州政府在パリ事務所
Rocamadour,ロカマドゥール
Championnats du monde de VTT et de trial 2004,世界選手権自転車競技大会マウンテンバイク2004
Université de Perpignan,ペルピニャン大学
Direction de la Surveillance du territoire,国土監視局
Direction générale de la Sécurité extérieure,対外治安総局
Direction du Renseignement militaire (France),軍事偵察局
Parnasse (poésie),高踏派
Vittel,ヴィッテル
École des Annales,アナール学派
Moissac,モワサック
Académie de France à Rome,在ローマ・フランス・アカデミー
Académie Colarossi,アカデミー・コラロッシ
Académie Julian,アカデミー・ジュリアン
Académie Suisse,アカデミー・シュイス
Langues régionales ou minoritaires en France,フランスの言語
Le Cordon Bleu,ル・コルドン・ブルー
Curemonte,キュルモント
Saint-Alban-sur-Limagnole,サンタルバン＝シュル＝リマニョル
Molesme,モレーム
Rochechouart (Haute-Vienne),ロシュシュアール
Académie des sciences d'outre-mer,フランス海外学士院
Académie des inscriptions et belles-lettres,フランス文学院
Académie des beaux-arts (France),芸術アカデミー
Académie de la Grande-Chaumière,アカデミー・ドゥ・ラ・グランド・ショミエール
Charvieu-Chavagneux,シャルヴュー＝シャヴァニュー
Académie du spectacle équestre,ヴェルサイユ馬術アカデミー
Landudec,ランデュデック
Leuhan,ルアン・(フランス)
Gardon (rivière),ガルドン川
La Roche-Derrien,ラ・ロッシュ＝デリアン
Saint-Sébastien-sur-Loire,サン＝セバスティアン＝シュル＝ロワール
Académie des sciences morales et politiques,フランス人文院
Académie royale de peinture et de sculpture,王立絵画彫刻アカデミー
Championnat de France de football 1933-1934,ディヴィジオン・ナシヨナル1933-1934
Institut Notre-Dame de Vie,ノートルダム・ド・ヴィ
Aloxe-corton (AOC),アロース・コルトンAOC
Kerlaz,ケルラズ
Mauriac (Cantal),モーリアック・(カンタル県)
Cham (peuple),チャム族
Les Pavillons-sous-Bois,レ・パヴィヨン＝スー＝ボワ
Équipe de Guadeloupe de football,サッカーグアドループ代表
Abbaye du Thoronet,ル・トロネ修道院
Abbaye de Silvacane,シルヴァカンヌ修道院
France Football,フランス・フットボール
Abbesses (métro de Paris),アベス駅
Lacoste (entreprise),ラコステ
Centre spatial guyanais,ギアナ宇宙センター
Loctudy,ロクテュディ
Jardin remarquable,フランスの著名な庭園の一覧
Tonnerre (Yonne),トネール・(ヨンヌ県)
Université Lille-I,リール第1大学
L'Aigle,レーグル
Mirande,ミランド
Maillane,マイヤーヌ
Dangeul,ダンジェウル
Châteauneuf-du-Pape,シャトーヌフ＝デュ＝パプ
