党委书记,党委員会の責任者
2008年夏季奧林匹克運動會體操比賽－男子跳馬,2008年北京オリンピックの体操競技・男子跳馬
2008年夏季奧林匹克運動會體操比賽－男子個人全能,2008年北京オリンピックの体操競技・男子個人総合
额尔齐斯河,エルティシ川
迪庆藏族自治州,デチェン・チベット族自治州
甘孜藏族自治州,カンゼ・チベット族自治州
福州地铁,福州地下鉄
浦東新區,浦東新区
天坛,天壇
爱民区,愛民区
中胜站,中勝駅
上海国际金融中心,上海国際金融中心
香港華民航空,エア・ホンコン
澳門航空,マカオ航空
定安县,定安県
榆树市,楡樹市
上海国际货运航空,上海国際貨運航空
信阳市,信陽市
富蕴县,コクトカイ県
和布克赛尔蒙古自治县,ホボクサル・モンゴル自治県
疏附县,疏附県
湖北大学,湖北大学
栾城区,欒城区
路環,コロアネ島
越秀区,越秀区
郴州市,郴州市
临安区,臨安区
天长市,天長市
湘西土家族苗族自治州,湘西トゥチャ族ミャオ族自治州
江城哈尼族彝族自治县,江城ハニ族イ族自治県
会泽县,会沢県
静安寺,静安寺
平顶山市,平頂山市
中华人民共和国审计署,中華人民共和国審計署
中国家庭教会,地下教会
青岛科技大学,青島科学技術大学
阿克苏市,アクス市
上海虹桥国际机场,上海虹橋国際空港
機場快綫,機場快線
白鹿洞书院,白鹿洞書院
株洲电视塔,株洲テレビ塔
龙塔,龍塔
商朝,殷
中国中央电视台综合频道,CCTV-1
乌苏市,ウス市
额敏县,ドルビルジン県
中华人民共和国能源政策,中国のエネルギー政策
广州足球俱乐部,広州足球倶楽部
中俄关系,中露関係
怒江傈僳族自治州,怒江リス族自治州
吉县,吉県
223国道,G223国道
北區,北区
天主教康定教区,カトリック康定教区
明登號戰艦,ミンデン
罗定市,羅定市
同江市,同江市
阿合奇县,アクチ県
阿克塞哈萨克族自治县,アクサイ・カザフ族自治県
阿克苏地区,アクス地区
郑州摩天轮,鄭州摩天輪
天主教澳門教區,カトリックマカオ教区
成渝客运专线,成渝旅客専用線
成灌铁路,成都市域鉄路成灌線
医巫闾山,医巫閭山
捷星香港航空,ジェットスター香港
三水区,三水区
凉州区,涼州区
塔尔巴哈台山,タルバガタイ山脈
珲春市,琿春市
白塔区,白塔区
颜庙,顔廟
赤柱,赤柱
砚山县,硯山県
泾河,ケイ河
盱眙县,盱眙県
漯河市,漯河市
霍城县,霍城県
焉耆回族自治县,焉耆回族自治県
尉犁县,ロプノール県
元朗區,元朗区
觀塘區,観塘区
思茅区,思茅区
望江县,望江県
简阳市,簡陽市
洪江市,洪江市
石硤尾邨,石硤尾村
乳源瑶族自治县,乳源ヤオ族自治県
隆中,隆中
天宫一号,天宮1号
肃州区,粛州区
沙湾市,沙湾市
叶城县,カルギリク県
汉江,漢江
雷州半岛,雷州半島
平安区,平安区
英吉沙县,イェンギサール県
中国中央电视台体育频道,CCTV-5
库车市,クチャ市
卡若区,カルプ区
灵丘县,霊丘県
307国道,G307国道
郊区,郊区
上海市历史博物馆,上海市歴史博物館
中國的貪污,中国の汚職
巴楚县,マラルベシ県
玛纳斯县,マナス県
温宿县,オンスー県
和静县,和静県
裕民县,チャガントカイ県
鄯善县,ピチャン県
独山子区,独山子区
若羌县,チャルクリク県
沙洋县,沙洋県
三清山,三清山
秦沈客运专线,秦瀋旅客専用線
博尔塔拉蒙古自治州,ボルタラ・モンゴル自治州
2011年甬台温铁路列车追尾事故,2011年温州市鉄道衝突脱線事故
黄南藏族自治州,黄南チベット族自治州
二里沟站,二里溝駅
车公庄西站,車公荘西駅
怀化市,懐化市
娄底市,婁底市
海西蒙古族藏族自治州,海西モンゴル族チベット族自治州
广元市,広元市
红崖村,タクツェル
遂宁市,遂寧市
2009年亞足聯U19女子青年錦標賽,AFC U-19女子選手権2009
任丘市,任丘市
北海公园,北海公園
杭州地铁1号线,杭州地下鉄1号線
高句丽王城、王陵及贵族墓葬,高句麗前期の都城と古墳
场中路站,場中路駅
东方体育中心站,東方体育中心駅
锦绣路站,錦繍路駅
耀华路站,耀華路駅
塘桥站,塘橋駅
上大路站,上大路駅
中华艺术宫站,中華芸術宮駅
中兴路站,中興路駅
杨高中路站,楊高中路駅
阿卡人,アカ族
中國國家女子排球隊,バレーボール中華人民共和国女子代表
高安路第一小學,高安路第一小学校
益阳市,益陽市
当雄县,ダムシュン県
上海磁浮示范运营线,上海トランスラピッド
河津市,河津市
常德市,常徳市
泸州市,瀘州市
攀枝花市,攀枝花市
香港星光大道,アベニュー・オブ・スターズ
萝岗区,蘿崗区
达尔罕茂明安联合旗,ダルハン・ムミンガン連合旗
人人网,人人網
安居区,安居区
随县,随県
阿克陶县,アクト県
红沿河核电站,紅沿河原子力発電所
涞水县,淶水県
三河市,三河市
国家体育场,北京国家体育場
南充市,南充市
塔克拉玛干沙漠,タクラマカン砂漠
民生路站,民生路駅
少年宮站,少年宮駅
沙田培英中學,沙田培英中学
2007年香港特別行政區行政長官選舉,2007年香港特別行政区行政長官選挙
市民中心站,市民中心駅
五山站,五山駅
政府山,政治山
羅湖口岸,羅湖口岸
拱北口岸,拱北口岸
天津滨海国际机场,天津浜海国際空港
郸城县,鄲城県
中国航空博物馆,中国空軍航空博物館
泽普县,ポスカム県
奇台县,奇台県
北京大学生电影节,北京大学生映画祭
南海区,南海区
信宜市,信宜市
隆安縣,隆安県
防城港核电站,防城港原子力発電所
昌江核电站,昌江原子力発電所
峨眉山,峨眉山
四大佛教名山,中国四大仏教名山
咸宁核电站,咸寧原子力発電所
庆云县,慶雲県
浮山县,浮山県
薛城区,薛城区
和谐3型电力机车,中国国鉄HXD3型電気機関車
加拿大駐香港及澳門總領事館,在香港カナダ総領事館
長洲,長洲島
中國共產黨第十八次全國代表大會,中国共産党第十八回全国代表大会
确山县,確山県
阿勒泰地区,アルタイ地区
山南市,山南市
震旦大学,震旦大学
葵青區,葵青区
上海轨道交通12号线,上海軌道交通12号線
大埔運動場,大埔運動場
上海大学站,上海大学駅
沈阳飞机工业集团,瀋陽飛機工業集団
中兴通讯,中興通訊
广西师范大学,広西師範大学
曲阜路站,曲阜路駅
大华三路站,大華三路駅
芒市,ロ西市
东阳市,東陽市
五常市,五常市
中国2010年上海世界博览会文化中心,上海万博文化センター
托林寺,託林寺
黔东南苗族侗族自治州,黔東南ミャオ族トン族自治州
雅砻江,雅礱江
殷高西路站,殷高西路駅
肇嘉浜路站,肇嘉浜路駅
后滩站,後灘駅
巨峰路站,巨峰路駅
南陈路站,南陳路駅
江山市,江山市
上虞区,上虞区
轮台县,ブグル県
疏勒县,疏勒県
沙雅县,シャヤール県
花园桥站,花園橋駅
北京丰台站,北京豊台駅
海淀五路居站,海淀五路居駅
中環中心,ザ・センター
龍源電力,龍源電力集団股份有限公司
特别行政区,特別行政区
西塘镇,西塘鎮
中国国家足球队,サッカー中華人民共和国代表
隆子县,ルンツェ県
登封市,登封市
大埔區,大埔区
喀喇沁旗,カラチン旗
德阳市,徳陽市
天主教上海教区,カトリック上海教区
天主教朔州教区,朔州教区
甘井子區,甘井子区
2008年夏季奧林匹克運動會花樣游泳比賽,2008年北京オリンピックのシンクロナイズドスイミング競技
2008年夏季奧林匹克運動會中國香港代表團,2008年北京オリンピックの香港選手団
大宁县,大寧県
2012年夏季奥林匹克运动会中国代表团,2012年ロンドンオリンピックの中国選手団
下关区,下関区
上海国际汽车工业博览会,上海モーターショー
郑西客运专线,鄭西旅客専用線
长深高速公路,長深高速公路
银昆高速公路,銀昆高速道路
丹锡高速公路,丹錫高速道路
大广高速公路,大広高速道路
丹阜高速公路,丹阜高速道路
都江堰市,都江堰市
马山县,馬山県
连山壮族瑶族自治县,連山チワン族ヤオ族自治県
乐昌市,楽昌市
青河县,チンギル県
伽师县,ファイザバード県
木垒哈萨克自治县,モリ・カザフ自治県
香港飛馬足球會,太陽飛馬足球隊
莱茵集团,RWE
兰溪市,蘭渓市
如皋市,如皋市
托里县,トリ県
霍林郭勒市,ホーリンゴル市
绵阳市,綿陽市
高昌,高昌
莞佛高速公路,莞仏高速道路
二广高速公路,二広高速道路
杭瑞高速公路,杭瑞高速道路
广澳高速公路,広澳高速道路
哈同高速公路,アジアハイウェイ33号線
鹤大高速公路,鶴大高速道路
黄石高速公路,黄石高速道路
珲乌高速公路,琿烏高速道路
济广高速公路,済広高速道路
吉黑高速公路,吉黒高速道路
开河高速公路,開河高速道路
云台路站,雲台路駅
南浦大桥站,南浦大橋駅
长清路站,長清路駅
陆家浜路站,陸家浜路駅
花木路站,花木路駅
源深体育中心站,源深体育中心駅
商城路站,商城路駅
东明路站,東明路駅
鸡东县,鶏東県
辽中区,遼中区
武汉绿地中心,武漢緑地中心
达州市,達州市
广安市,広安市
新会区,新会区
从化区,従化区
西沙之战,西沙諸島の戦い
白朗县,パナム県
喀喇昆仑山口,カラコルム峠
宜宾市,宜賓市
眉山市,眉山市
黟县,イ県
五家渠市,五家渠市
香港城市大學,香港城市大学
乐山市,楽山市
东乡族自治县,東郷族自治県
重庆江北国际机场,重慶江北国際空港
屏边苗族自治县,屏辺ミャオ族自治県
京藏高速公路,京蔵高速道路
京昆高速公路,京昆高速道路
京沪高速公路,京滬高速道路
京台高速公路,京台高速道路
京新高速公路,京新高速道路
青兰高速公路,青蘭高速道路
青银高速公路,青銀高速道路
青新高速公路,青新高速道路
泉南高速公路,泉南高速道路
内江市,内江市
黄埔区,黄埔区
昆磨高速公路,昆磨高速公路
奎阿高速公路,奎阿高速道路
奎塔高速公路,奎塔高速道路
连霍高速公路,連霍高速道路
兰海高速公路,蘭海高速道路
南友高速公路,南友高速道路
甬舟高速公路,甬舟高速道路
京港澳高速公路,京港澳高速道路
嵊州市,ジョウ州市
汨罗市,汨羅市
中國糧油控股,中国食品
天主教厦门教区,アモイ代理区
新鲁高速公路,新魯高速道路
绒布寺,ロンブク寺
华阴市,華陰市
成都绕城高速公路,成都環状高速道路
长沙绕城高速公路,G0401（中国語簡体字）
重庆绕城高速公路,重慶繞城高速道路
德昂族,トーアン族
天主教榆次教区,榆次教区
黃大仙區,黄大仙区
扎什伦布寺,タシルンポ寺
浦江饭店,浦江飯店
2010年冬季奥林匹克运动会中国代表团,2010年バンクーバーオリンピックの中国選手団
广晟国际大厦,広晟国際大厦
中华人民共和国节日与公众假期,中華人民共和国の祝祭日
杂多县,雑多県
鹤山市,鶴山市
阳春市,陽春市
波密县,ポメ県
芙蓉区,芙蓉区
荃灣區,荃湾区
泌阳县,泌陽県
博爱县,博愛県
连州市,連州市
高要区,高要区
满洲里市,満州里市
博湖县,バグラシュ県
勃利县,勃利県
阿拉善盟,アルシャー盟
茅盾文学奖,茅盾文学賞
2008年夏季奧林匹克運動會棒球比賽,2008年北京オリンピックの野球競技
崇明区,崇明区
中华人民共和国外交,中華人民共和国の国際関係
建宁县,建寧県
广昆高速公路,広昆高速道路
李家峡水库,李家峡ダム
中国核能利用情况,中国の原子力
郊区,郊区
绥芬河市,綏芬河市
科尔沁右翼中旗,ホルチン右翼中旗
扎赉特旗,ジャライド旗
老西门站,老西門駅
长江南路站,長江南路駅
芳华路站,芳華路駅
四平路站,四平路駅
金桥路站,金橋路駅
嫩江路站,嫩江路駅
江浦路站,江浦路駅
2012年夏季奧林匹克運動會中國香港代表團,2012年ロンドンオリンピックの香港選手団
2002年冬季奧林匹克運動會中國香港代表團,2002年ソルトレークシティオリンピックの香港選手団
西安咸阳国际机场,西安咸陽国際空港
玄武门站,玄武門駅
南京地铁,南京地下鉄
萨吾尔山,サウル山脈
会德丰国际广场,上海会徳豊広場
1991年女子世界杯足球赛,1991 FIFA女子ワールドカップ
安多县,アムド県
贵州大学,貴州大学
共和县,共和県
新郑市,新鄭市
北京电影学院,北京電影学院
尼木县,ニェモ県
保安局,保安局
东安区,東安区
太湖,太湖
2006年冬季奧林匹克運動會中國香港代表團,2006年トリノオリンピックの香港選手団
2006年冬季奥林匹克运动会中国代表团,2006年トリノオリンピックの中国選手団
博白县,博白県
清新区,清新区
WTA深圳網球公開賽,深センオープン
哈尔滨绕城高速公路,ハルビン環状高速道路
南宁绕城高速公路,南寧環状高速道路
沈阳绕城高速公路,瀋陽環状高速道路
上海绕城高速公路,上海繞城高速道路
拉萨贡嘎机场,ラサ・クンガ空港
北仑区,北侖区
扎兰屯市,ジャラントン市
爨龙颜碑,爨龍顔碑
荣乌高速公路,栄烏高速道路
沪蓉高速公路,滬蓉高速道路
沪渝高速公路,滬渝高速道路
沪昆高速公路,滬昆高速道路
汕昆高速公路,汕昆高速道路
沪陕高速公路,滬陝高速道路
沈海高速公路,瀋海高速道路
沈吉高速公路,瀋吉高速道路
绥满高速公路,綏満高速道路
温丽高速公路,温麗高速道路
厦蓉高速公路,廈蓉高速道路
阿勒泰市,アルタイ市
四方区,四方区
壤塘县,壌塘県
札达县,ツァンダ県
汶川大地震,四川大地震
台安县,台安県
新青区,新青区
宝山区,宝山区
自治州,自治州 (中国)
枣阳市,棗陽市
枣庄市,棗荘市
中国银行,中国銀行
阿瓦提县,アーバード県
艾丁湖,アイディン湖
陆丰市,陸豊市
台江区,台江区
龙海区,竜海区
2008年夏季奥林匹克运动会中国代表团,2008年北京オリンピックの中国選手団
赞皇县,賛皇県
枣强县,棗強県
鼓浪屿,コロンス島
同安区,同安区
德令哈市,デリンハ市
莫力达瓦达斡尔族自治旗,モリンダワ・ダウール族自治旗
和硕县,ホショード県
靖江市,靖江市
兴宁市,興寧市
雅安市,雅安市
本溪满族自治县,本渓満族自治県
2011年缅甸地震,2011年ミャンマー地震
中国海军361潜艇海难,中国人民解放軍海軍361号潜水艦
岳陽市,岳陽市
衡陽市,衡陽市
稷山县,稷山県
吴桥县,呉橋県
鲁迅文学奖,魯迅文学奨
邵武市,邵武市
瑞金市,瑞金市
东北边疆历史与现状系列研究工程,東北工程
1988年夏季奥林匹克运动会中国代表团,1988年ソウルオリンピックの中国選手団
陈巴尔虎旗,陳バルグ旗
北京古观象台,北京古観象台
东方红人造卫星系列,東方紅
中日和平友好條約,日本国と中華人民共和国との間の平和友好条約
中國鋁業,中国アルミニウム
博乐市,ボルタラ市
博山区,博山区
廈門航空,厦門航空
2010年冬季奥林匹克运动会中国香港代表团,2010年バンクーバーオリンピックの香港選手団
唐山大地震,唐山地震
上海地铁,上海軌道交通
韶山乡,韶山郷
广安区,広安区
博野县,博野県
统万城,統万城
宋家庄站,宋家荘駅
清华园站,清華園駅
八大处,八大処公園
八达岭,八達嶺長城
1994年亞洲羽毛球錦標賽,1994年アジアバドミントン選手権大会
2011年亞洲羽毛球錦標賽,2011年アジアバドミントン選手権大会
彝族,イ族
响水县,響水県
实德集团,実徳グループ
风火山隧道,風火山トンネル
2012年中国反日示威活动,2012年の中国における反日活動
黄鹤楼,黄鶴楼
重陽節,重陽
殷墟,殷墟
华北平原,華北平原
1984年夏季奧林匹克運動會中國代表團,1984年ロサンゼルスオリンピックの中国選手団
石狮市,石獅市
翔安区,翔安区
1996年夏季奥林匹克运动会中国代表团,1996年アトランタオリンピックの中国選手団
百度百科,百度百科
白鹤梁,白鶴梁
白河县,白河県
白鹤滩水电站,白鶴灘ダム
类乌齐县,リウォチェ県
索县,ソク県
城关区,城関区
辽宁足球俱乐部,遼寧足球倶楽部
安岳县,安岳県
清丰县,清豊県
义勇军进行曲,義勇軍進行曲
北京植物園,北京植物園
泊头市,泊頭市
博兴县,博興県
协兴镇,協興鎮
油尖旺區,油尖旺区
中国羽毛球协会,中国バドミントン協会
2000年世界青年羽毛球錦標賽,2000年世界ジュニアバドミントン選手権大会
全港羽毛球錦標賽,香港バドミントン選手権
1979年世界羽毛球錦標賽,1979年WBF世界バドミントン選手権大会
1987年世界羽毛球錦標賽,1987年世界バドミントン選手権大会
霍邱县,霍邱県
长春亚泰足球俱乐部,長春亜泰足球倶楽部
淮滨县,淮浜県
头屯河区,頭屯河区
玉树市,玉樹市
云山战斗,雲山の戦い
中日韩领导人会议,日中韓首脳会談
民航空運公司,民航空運公司
西伯利亞高壓,シベリア高気圧
2013年世界羽毛球錦標賽,2013年世界バドミントン選手権大会
巴东县,巴東県
八公山区,八公山区
井陉矿区,井ケイ鉱区
蔡甸区,蔡甸区
新市区,新市区
青城山,青城山
PP视频,PPTV
京九客运专线,京港旅客専用線
同人遊戲,同人ゲーム
中英關係,中英関係
郵政局,澳門郵政局
阳关,陽関
梁山泊,梁山泊
环北京职业公路自行车赛,ツアー・オブ・北京
天目山,天目山 (浙江省)
阿城区,阿城区
满族,満州民族
洛隆县,ロロン県
玛沁县,瑪沁県
江达县,ジョムダ県
色尼区,ナクチュ県
昂仁县,ガムリン県
聂荣县,ニェンロン県
巴青县,バチェン県
浏阳市,瀏陽市
耒阳市,耒陽市
西貢區,西貢区
中国海洋石油有限公司,クヌーク
中国海洋石油集团有限公司,中国海洋石油総公司
十堰武當山機場,十堰武当山空港
华大基因,北京基因組研究所
第三次印度支那戰爭,第三次インドシナ戦争
尉氏县,尉氏県
Mi-8直升機,Mi-8
維多利亞港,ビクトリア・ハーバー
上海国际电影节,上海国際映画祭
武都区,武都区
饶河县,饒河県
中国基督教,中国のキリスト教
Citylink,連城廣場
大公镇,大公鎮
烏坎事件,烏坎事件
西湖区,西湖区
闽侯县,閩侯県
临湘市,臨湘市
香港藝術館,香港芸術館
茶具文物館,茶具文物館
中国红十字会,中国紅十字会
中日聯合聲明,日本国政府と中華人民共和国政府の共同声明
乌东德水电站,烏東徳ダム
北纬38度线,北緯38度線
福州大学,福州大学
元上都,上都
西峡县,西峡県
雷山县,雷山県
2008年夏季奧林匹克運動會現代五項比賽,2008年北京オリンピックの近代五種競技
2008年夏季奧林匹克運動會帆船比賽,2008年北京オリンピックのセーリング競技
南岔县,南岔県
虎门,虎門
成县,成県
2015年世界田徑錦標賽,2015年世界陸上競技選手権大会
新民主同盟,新民主同盟
伊尔克什坦,イルケシタム
乌兹别克族,ウズベク
秦州区,秦州区
吴淞江,呉淞江
定日县,ティンリ県
嘉黎县,ラリ県
申扎县,シェンザ県
华为,華為技術
沪杭客运专线,滬杭旅客専用線
滨北铁路,浜北線
北京商务中心区,北京商務中心区
石太客运专线,石太旅客専用線
天安門廣場,天安門広場
包茂高速公路,包茂高速道路
阿穆尔板块,アムールプレート
安州区,安州区
亚洲冰球联赛,アジアリーグアイスホッケー
新乐市,新楽市
建德市,建徳市
尼玛县,ニマ県
贡觉县,ゴンジョ県
岗巴县,ガムパ県
南木林县,ナムリン県
1990年广州白云机场劫机相撞事件,廈門航空機ハイジャック事件
个旧站,鶏街駅
喀什站,カシュガル駅
宝成铁路,宝成線
临策铁路,臨哈線
嘉陽小火車及芭石窄軌鐵路,嘉陽炭鉱鉄道
白帝镇,白帝鎮
白帝城,白帝城
白碱滩区,白鹸灘区
班玛县,班瑪県
班戈县,パングン県
中国航天,中国の宇宙開発
衡阳县,衡陽県
中国龙队,チャイナドラゴン
中国人民志愿军,中国人民志願軍
胶州湾,膠州湾
安次区,安次区
白云观,白雲観
DJJ1型电力动车组,中国国鉄DJJ1型電車
坝陵河大桥,壩陵河大橋
边坝县,バンバル県
德州市,徳州市
漠河市,漠河市
中华人民共和国政治,中華人民共和国の政治
华泰汽車,華泰汽車
中国地震烈度表,中国地震烈度表
国家宗教事务局,国家宗教事務局
改则县,ゲルツェ県
七星关区,七星関区
中国共产党中央委员会政法委员会,中国共産党中央政法委員会
嘉兴南湖,南湖 (嘉興市)
柳江区,柳江区
奥林匹克公园,オリンピック公園
清凉山,清涼山公園
大报国慈仁寺,報国寺 (北京市)
桥西区,橋西区
依兰县,依蘭県
通河县,通河県
同里镇,同里鎮
新昌县,新昌県
吴兴区,呉興区
社會民主連線,社会民主連線
帕米爾高原,パミール高原
安达市,安達市
傲游浏览器,Maxthon
安定区,安定区 (定西市)
半坡遗址,半坡遺跡
平武报恩寺,報恩寺 (平武県)
宝安区,宝安区
宝带桥,宝帯橋
保德县,保徳県
卓奥友峰,チョ・オユー
六盤水市,六盤水市
工布江达县,コンボギャムダ県
乐陵市,楽陵市
海曙区,海曙区
公安机关,公安警察
中华人民共和国水利部,中華人民共和国水利部
中华人民共和国民政部,中華人民共和国民政部
中国网,中国網
中华人民共和国国家民族事务委员会,国家民族事務委員会
察哈尔蒙古语,チャハル・モンゴル語
延寿县,延寿県
乐东黎族自治县,楽東リー族自治県
康平县,康平県
昌江黎族自治县,昌江リー族自治県
柯尔克孜族,キルギス人
献县,献県
曲靖市,曲靖市
東平洲,東平洲
姑苏区,姑蘇区
青云谱区,青雲譜区
察隅县,ザユル県
塔什库尔干塔吉克自治县,タシュクルガン・タジク自治県
白水县,白水県
白下区,白下区
柏乡县,柏郷県
白银区,白銀区
台山市,台山市
连平县,連平県
上汽集团,上海汽車
丹江口大坝,丹江口ダム
南浦大桥,南浦大橋
中国民生银行,中国民生銀行
大汶河,大汶河
北京南站,北京南駅
宝清县,宝清県
宝塔区,宝塔区
保亭黎族苗族自治县,保亭リー族ミャオ族自治県
呼兰区,呼蘭区
木兰县,木蘭県
大连外国语大学,大連外国語大学
镇江站,鎮江駅
琼中黎族苗族自治县,瓊中リー族ミャオ族自治県
天山区,天山区
郫都区,郫都区
京沪高速铁路,京滬高速鉄道
一汽-大众汽车,一汽大衆
温福铁路,温福線
城东区,城東区
保山市,保山市
香港聯合交易所,香港証券取引所
秦始皇陵,秦始皇帝陵及び兵馬俑坑
安顺市,安順市
彝良县,彝良県
潞城区,潞城区
冀州区,冀州区
廣深港高速鐵路,広深港高速鉄道
香港電影金紫荊獎,香港金紫荊奨
馬灣,馬湾
新都区,新都区
达坂城区,達坂城区
道外区,道外区
中国北方航空6136号班机空难,中国北方航空6136便放火墜落事件
中国摩托车大奖赛,中国グランプリ
大连软件园,大連ソフトウェアパーク
吉木萨尔县,ジムサル県
牛郎织女,牛郎織女
東亞銀行,東亜銀行
交通銀行,交通銀行
旗,旗 (行政単位)
2008年夏季奥林匹克运动会田径比赛－男子4 × 100米接力,2008年北京オリンピックの陸上競技・男子4×100mリレー
大连实德四五队,大連実徳四五隊
噶尔县,ガル県
夏河县,夏河県
稻田镇,稲田鎮
2010年亞洲運動會曲棍球比賽,2010年アジア競技大会におけるホッケー競技
中國省級行政區地區生產總值列表,中国行政区分別総生産一覧
亞洲公路6號線,アジアハイウェイ6号線
亞洲公路1號線,アジアハイウェイ1号線
普洱市,普洱市
宝兴县,宝興県
宝应县,宝応県
马尔康市,馬爾康市
八廓,八角街
中华全国总工会,中華全国総工会
马卡鲁峰,マカルー
宝丰县,宝豊県
宝墩文化,宝墩文化
保靖县,保靖県
保康县,保康県
北川羌族自治县,北川チャン族自治県
北戴河区,北戴河区
北关区,北関区
皮山县,グマ県
铜仁市,銅仁市
毕节市,畢節市
玉溪市,玉渓市
复旦大学,復旦大学
辽东湾,遼東湾
鲅鱼圈区,鮁魚圏区
巴州区,巴州区
霸州市,覇州市
龙虎山,龍虎山
玉蟾岩遗址,玉蟾岩遺跡
天河区,天河区
渤海湾,渤海湾
巴里坤哈萨克自治县,バルクル・カザフ自治県
八宿县,パシュー県
拜城县,バイ県
聂拉木县,ニャラム県
英德市,英徳市
巴彦县,巴彦県
巴音郭楞蒙古自治州,バインゴリン・モンゴル自治州
2035年9月2日日食,2035年9月2日の日食
莘县,莘県
新闸路站,新閘路駅
龙游县,竜游県
兴化市,興化市
日土县,ルトク県
黄岩区,黄岩区
宜州区,宜州市
澄海区,澄海区
明天廣場,トゥモロースクエア
辉南县,輝南県
楚布寺,ツルプ寺
南京城墙,南京城
黄州区,黄州区
坡头区,坡頭区
红卫兵,紅衛兵
团城演武厅,團城演武廳
阙,闕
都江堰,都江堰
花都区,花都区
舟山普陀山机场,舟山普陀山空港
颱風布拉萬,平成24年台風第15号
周口店北京人遗址,周口店
北安市,北安市
北江,北江
青岛市,青島市
沈河区,瀋河区
中华人民共和国文化,中華人民共和国の文化
名山区,名山区
满洲里西郊机场,満州里西郊空港
广州周大福金融中心,CTF金融センター
洛子峰,ローツェ
南昌市,南昌市
欧洲E60公路,E60号線
阿巴嘎旗,アバグ旗
喀什市,カシュガル市
峨边彝族自治县,峨辺イ族自治県
广州塔,広州塔
龙门县,竜門県
临高县,臨高県
恩施市,恩施市
南山区,南山区
华晨汽车集团,華晨汽車集団
北票市,北票市
北市区,北市区
北塔区,北塔区
中原大佛,魯山大仏
馬哈蘭格·喜瑪爾,マハランガー・ヒマール
凭祥市,憑祥市
东台市,東台市
融水苗族自治县,融水ミャオ族自治県
阿拉善右旗,アルシャー右旗
琶洲街道,琵州
郭亮村,郭亮トンネル
青岛胶州湾大桥,青島膠州湾大橋
長江跨江高壓電線,長江横断送電線
2008年夏季奧林匹克運動會跳水比賽,2008年北京オリンピックの飛込競技
济南市,済南市
北湖区,北湖区
北汽集团,北汽集団
北京东岳庙,北京東岳廟
石景山游乐园,石景山遊楽園
北京世界公园,北京世界公園
碑林區,碑林区
北流市,北流市
北盘江,北盤江
北汽福田,福田汽車
苏州轨道交通,蘇州軌道交通
徐兰客运专线,徐蘭旅客専用線
京沪铁路,京滬線
中国环球小姐,ミス・ユニバース・チャイナ
溪洛渡水电站,溪洛渡ダム
和田县,ホータン県
羊八井镇,羊八井
凉城县,涼城県
中国中央电视台中文国际频道,CCTV-4
中国堕胎,中華人民共和国における妊娠中絶
2004年夏季奥林匹克运动会中国代表团,2004年アテネオリンピックの中国選手団
临沧市,臨滄市
上海國際賽車場,上海インターナショナルサーキット
萨特莱杰河,サトレジ川
咸陽市,咸陽市
成昆铁路,成昆線
2010年中国大奖赛,2010年中国グランプリ
2012年中国大奖赛,2012年中国グランプリ
2004年中国大奖赛,2004年中国グランプリ
北京天文台施密特CCD小行星计划,北京天文台CCD小惑星観測プログラム
北京国安足球俱乐部,北京国安足球倶楽部
北林区,北林区
北镇市,北鎮市
保安族,バオアン族
晋江,晋江
班公错,パンゴン湖
中蒙關係,中蒙関係
克勒青河,シャクスガン渓谷
丹阳市,丹陽市
观山湖区,観山湖区
静乐县,静楽県
古北口镇,古北口鎮
沙依巴克区,サイバグ区
什邡市,什邡市
中苏交恶,中ソ対立
河南足球俱乐部,河南嵩山龍門足球倶楽部
上海石化,中国石化上海石油化工
上海東方明珠新媒體,東方明珠新媒体股分有限公司
西安清真大寺,西安大清真寺
狮子洋隧道,獅子洋トンネル
红旗渠,紅旗渠
四门塔,四門塔
京秦铁路,京秦線
抚顺战犯管理所,撫順戦犯管理所
自貢恐龍博物館,自貢恐竜博物館
江蘇足球俱樂部,江蘇足球倶楽部
汝南县,汝南県
沪深300,CSI300指数
海沧区,海滄区
赤壁之戰,赤壁の戦い
奔腾 (汽车),奔騰
2008年夏季奥林匹克运动会田径比赛－男子10000米,2008年北京オリンピックの陸上競技・男子10000m
石宝寨,石宝寨
赫哲族,ナナイ
上海证券交易所综合股价指数,上海総合指数
南皮县,南皮県
苍梧县,蒼梧県
沧源佤族自治县,滄源ワ族自治県
漕泾镇,漕涇鎮
曹路镇,曹路鎮
亚东县,ドモ県
墨脱县,メトク県
澄江市,澂江県
2018年8月11日日食,2018年8月11日の日食
万山区,万山区
方家山核电站,方家山原子力発電所
阳江核电站,陽江原子力発電所
海阳核电站,海陽原子力発電所
三门核电站,三門原子力発電所
香港欖球代表隊,ラグビー香港代表
香格里拉市,シャングリラ市
西湖,西湖
大嶼山,ランタオ島
中国政法大学,中国政法大学
紫金山,紫金山
中华人民共和国国土资源部,中華人民共和国国土資源部
鸡公山,鶏公山
香港樹仁大學,香港樹仁大学
京津塘高速公路,京津塘高速道路
知识青年,知識青年
中国石油,中国石油天然気
斯诺克中国公开赛,中国オープン
海河,海河
明清皇家陵寝,明・清王朝の皇帝墓群
蚌山区,蚌山区
东方红,東方紅
庆盛站,慶盛駅
嶺南文化,嶺南文化
中华人民共和国铁道部,中華人民共和国鉄道部
