Kazimierz II Sprawiedliwy,카지미에시 2세
Anna Seniuk-Małecka,안나 세니우크
Abraham Stern,아브라함 슈테른
Izabela Trojanowska,이자벨라 트로야노프스카
Małgorzata Szumowska,마우고자타 슈모프스카
Jan Kiepura,얀 키에푸라
Paweł Abbott,파웰 아봇
Grażyna Rabsztyn,그라지나 랍슈틴
Aleksandra Socha,알렉산드라 소하
Paula Kania-Choduń,파울라 카니아호둔
Dorota Masłowska,도로타 마스워프스카
Kalina Jędrusik,칼리나 옝드루시크
Leopold Infeld,레오폴트 인펠트
Magdalena Środa,마그달레나 시로다
Ignacy Pieńkowski,이그나치 피엔코프스키
Ryszard Ronczewski,리샤르트 론체프스키
Jean Templin,장 탕플랭
Wojciech Frykowski,보이치에흐 프리코프스키
Daniel Mróz,다니엘 므루스
Daniel Passent,다니엘 파센트
Tadeusz Kotarbiński,타데우시 코타르빈스키
Joanna Senyszyn,요안나 세니신
Édouard Stako,에두아르 스타코
Stanisława Celińska,스타니스와바 첼린스카
Witold Gombrowicz,비톨트 곰브로비치
Jacek Laszczkowski,야체크 라슈치코프스키
Maryla Rodowicz,마릴라 로도비치
Moïse Kisling,모이즈 키슬링
Przemysław Saleta,프셰미스와프 살레타
Jerzy Snoppek,예지 스노페크
Tomasz Marczyński,토마시 마르친스키
Jonasz Kofta,요나시 코프타
Michał Pazdan,미헐 파즈단
Jan Czochralski,얀 초흐랄스키
Bartosz Bereszyński,바르토시 베레신스키
Szolem Mandelbrojt,숄렘 만델브로이트
Jerzy Antczak,예지 안트차크
Grażyna Szapołowska,그라지나 샤포워프스카
Izuagbe Ugonoh,이주 우고노
Agnieszka Osiecka,아그니에슈카 오시에츠카
Dariusz Żuraw,다리우시 주라프
Janusz Gortat,야누슈 고탓
Jacek Koman,야첵 코만
Sławomir Orzeł,스와보미르 오제우
Andrzej Saramonowicz,안제이 사라모노비치
Justyna Steczkowska,유스티나 스테치코프스카
Ryszard Wolny,리샤르트 볼니
Tadeusz Brzozowski,타데우시 브조조프스키
Dawid Kubacki,다비트 쿠바츠키
Rafał Olbiński,라팔 올빈스키
Sławomir Szmal,스와보미르 슈말
Dariusz Baranowski,다리우시 바라노프스키
Jacek Żakowski,야체크 자코프스키
Olga Bołądź,올가 보웡치
Karol Borsuk,카롤 보르수크
Aneta Kręglicka,아네타 크렝글리츠카
Sylwia Gruchała,실비아 그루하와
Jan Żabiński,얀 자빈스키
Sylwia Grzeszczak,실비아 그제슈차크
Edyta Geppert,에디타 게페르트
Kamil Stoch,카밀 스토흐
Stefan Chwin,스테판 흐빈
Paweł Nastula,파베우 나스툴라
Michal Martychowiec,미하우 마르티호비에츠
Bartosz Chajdecki,바르토시 하이데츠키
Danuta Stenka,다누타 스텐카
Krzysztof Wielicki,크시슈토프 비엘리츠키
Wojciech Kossak,보이치에흐 코사크
Andrzej Bursa,안제이 부르사
Witold Woyda,비톨트 보이다
Kasia Kowalska,카시아 코발스카
Tomasz Kuszczak,토마시 쿠슈차크
Dominika Ostałowska,도미니카 오스타워프스카
Andrzej Bartkowiak,안제이 바르트코비아크
Peter Geach,피터 기치
Anselmo Vendrechovski Júnior,안세우무 벤드레초프스키 주니오르
Lim Dong-Min,임동민
Leon Sternbach,레오 스턴바크
Emilia Plater,에밀리아 플라테르
Henryk Górecki,헨리크 구레츠키
Egon Petri,에곤 페트리
Jan Mycielski,얀 미치엘스키
Emanuel Ax,엠마누엘 엑스
Edward Śmigły-Rydz,에드바르트 리츠-시미그위
Ladislao Kubala,쿠벌러 라슬로
Wacław Sierpiński,바츠와프 시에르핀스키
Leszek Blanik,레셰크 블라니크
Janina Paradowska,야니나 파라도프스카
Rafał Lemkin,라파엘 렘킨
Janusz Pyciak-Peciak,야누시 피치아크페치아크
Piotr Farfał,피오트르 파르파우
Jan Szczepański,얀 슈체판스키
Janusz Kondratiuk,야누시 콘드라티우크
Joanna Bator-Łukasiewicz,요안나 바토르
Robert Korzeniowski,로베르트 코제니오프스키
Maciej Żurawski,마치에이 주라프스키
Kazimierz Nowak,카지미에시 노바크
Roger Guerreiro,호제르 게레이루
Ignacy Mościcki,이그나치 모시치츠키
Marcin Wasilewski,마르친 바실레프스키
Lucjan Lis,루찬 리스
Joachim Lelewel,요아힘 렐레벨
Aleksander Wolszczan,알렉산더 볼시찬
Andrzej Sapkowski,안제이 사프코프스키
Edward Gierek,에드바르트 기에레크
Janusz Korwin-Mikke,야누시 코르빈미케
Przemysław Tytoń,프셰미스와프 티톤
Otton Nikodym,오톤 마르친 니코딤
Jerzy Kukuczka,예지 쿠쿠츠카
Józef Hofmann,요제프 호프만
Mariusz Lewandowski,마리우시 레반도프스키
Richard Nowakowski,리하르트 노바코프스키
Jan Brzechwa,얀 브제흐바
Władysław Kozakiewicz,브와디스와프 코자키에비치
Stanisław Wyspiański,스타니스와프 비스피안스키
Paweł Brożek,파베우 브로제크
Henryk Szeryng,헨릭 셰링
Wiktor Każyński,빅토르 카진스키
Mieczysław Karłowicz,미에치스와프 카르워비치
Tadeusz Rydzyk,타데우시 리지크
Katarzyna Zielińska,카타지나 지엘린스카
Władysław Frasyniuk,브와디스와프 프라시니우크
Hanna Banaszak,한나 바나샤크
Adam Matuszczyk,아담 마투슈치크
Teofil Lenartowicz,테오필 레나르토비치
Michał Żewłakow,미하우 제브와코프
Rafał Murawski,라파우 무라프스키
Dariusz Dudka,다리우시 두트카
Jerzy Maksymiuk,예지 막시미우크
Jacek Bąk,야체크 봉크
Solomon Asch,솔로몬 애쉬
Stanisław Maczek,스타니스와프 마체크
Julia Marcell,줄리아 마셀
Ryszard Siwiec,리샤르트 시비예츠
Alicja Majewska,알리차 마예프스카
Witold Małcużyński,비톨트 말쿠진스키
Tadeusz Browicz,타데우시 브로비치
Bartosz Bosacki,바르토시 보사츠키
Włodzimierz Lubański,브워지미에시 루반스키
Edward Dembowski,에드바르트 뎀보프스키
Wacław Święcicki,바츠와브 슈비엥치츠키
Andrzej Chwalba,안제이 흐발바
Andrzej Chyra,안제이 히라
Piotr Jaroszewicz,피오트르 야로셰비치
Wanda Nowicka,반다 노비츠카
Witold Pilecki,비톨트 필레츠키
Cezary Tomczyk,체자리 톰치크
Andrzej Grabowski,안제이 그라보브스키
Mariusz Szczygieł,마리우시 슈치기에우
Grzegorz Sandomierski,그제고시 산도미에르스키
Wojciech Kilar,보이치에흐 킬라르
Stanisław Kania,스타니스와프 카니아
Adam Jezierski,아담 예지에르스키
Katarzyna Popowa-Zydroń,카타지나 포포바지드론
Marcin Kamiński,마르친 카민스키
Kamil Grosicki,카밀 그로시츠키
Grzegorz Turnau,그제고시 투르나우
Maurycy Moszkowski,모리츠 모슈코프스키
Andrzej Juskowiak,안제이 유스코비아크
Abel Korzeniowski,아벨 코제니오프스키
Herkules Dembowski,에르콜레 뎀보프스키
Wojciech Młynarski,보이치에흐 므위나르스키
Marek Jędraszewski,마레크 옝드라셰프스키
Władysław Ślebodziński,브와디스와프 실레보진스키
Henryk Wars,헨리크 바르스
Mieczysław Czechowicz,미에치스와프 체호비치
Mariusz Jurkiewicz,마리우시 유르키에비치
Andrzej Piaseczny,안제이 피아세치니
Andrzej Mostowski,안제이 모스토프스키
Jerzy Dybał,유렉 뒤발
Andrzej Sekuła,안제이 세쿠와
Lam Quang My,럼꽝미
Andrzej Seweryn,안드레 세베린
Radosław Majdan,라도스와프 마이단
Andrzej Stasiuk,안제이 스타시우크
Grzegorz Ciechowski,그제고시 치에호프스키
Maciej Szczęsny,마치에이 슈쳉스니
Marcin Żewłakow,마르친 제브와코프
Kazimierz Kmiecik,카지미에시 크미에치크
Romuald Twardowski,로무알트 트바르도프스키
Andrzej Ziemiański,안제이 지에미안스키
Andrzej Łapicki,안제이 와피츠키
Jan Wróblewski,얀 브루블레프스키
Przemysław Gintrowski,프리제미스와프 긴트로스키
Augustyn Bloch,아우구스틴 블로흐
Joe Pavelski,조 파벨스키
Andrzej Wroński,안제이 브론스키
Bartosz Piasecki,바르토시 피아세츠키
Jerzy Klempel,예지 클렘펠
Mariusz Wach,마리우시 바흐
Peter J. Lucas,피터 J. 루카스
Janusz Gajos,야누스 가조스
Paweł Wszołek,파베우 프쇼웨크
Jerzy Matuszkiewicz,예지 마투슈키에비치
Krzysztof Warzycha,크시슈토프 바지하
Andrzej Żuławski,안제이 주와프스키
Ryszard Bolesławski,리처드 볼레스라브스키
J.R. Celski,J. R. 셀스키
Sylwia Gliwa,실비아 글리바
Juliusz Machulski,줄리어스 마 줄스키
Tadeusz Różewicz,타데우스 로제비치
Anita Lipnicka,아니타 리프니츠카
Léon Glovacki,레옹 글로바츠키
Stanisław Mikołajczyk,스타니스와프 미코와이치크
Krystyna Moszumańska-Nazar,크리스티나 모슈만스카나자르
Józef Mehoffer,유제프 메호페르
Grzegorz Krychowiak,그제고시 크리호비아크
Piotr Adamczyk,피오트르 아담치크
Julian Fałat,율리안 파와트
Maciej Stuhr,마치에이 슈투르
Tomasz Szukalski,토마시 슈칼스키
Rafał Ulatowski,라파우 울라토프스키
Krystyna Zachwatowicz,크리스티나 자흐바토비치
Aleksander Wielopolski,알렉산데르 비엘로폴스키
Layvin Kurzawa,레뱅 퀴르자와
Barbara Grabowska,바르바라 그라보프스카
Ludomir Różycki,루도미르 루지츠키
Mariusz Błaszczak,마리우시 브와슈차크
Olga Stanisławska,올가 스타니스와프스카
Eric Piatkowski,에릭 파이엇카우스키
Ewa Zielińska,에바 지엘린스카
Jan Niecisław Baudouin de Courtenay,얀 니에치스와프 보두앵 드 쿠르트네이
Irena Jarocka,이레나 야로츠카
Łukasz Garguła,우카시 가르구와
Jerzy Kossak,예지 코사크
Elżbieta Chojnacka,엘리자베트 호이나츠카
Władysław Skoczylas,브와디스와프 스코칠라스
Michał Rola-Żymierski,미하우 롤라지미에르스키
Paweł Fajdek,파베우 파이데크
Stefania Woytowicz,스테파니아 보이토비치
Mateusz Chruściński,마테우시 흐루시친스키
Ludwik Rydygier,루드비크 리디기에르
Karolina Chlewińska,카롤리나 흘레빈스카
Bernard Ładysz,베르나르트 와디시
Wilfrid Michael Voynich,빌프리트 보이니치
Anna Jurkiewicz,안나 유르키에비치
Adam Jerzy Czartoryski,아담 예지 차르토리스키
Ryszard Krynicki,리샤르트 크리니츠키
Ryszard Kwiatkowski,리샤르트 크비아트코프스키
Piotr Perkowski,피오트르 페르코프스키
Łukasz Kwiatkowski,우카시 크비아트코프스키
Robert Piotrkowicz,로베르트 피오트르코비치
Włodzimierz Nahorny,브워지미에시 나호르니
Wiesław Myśliwski,비에스와프 미실리프스키
Władysław Jahl,브와디스와프
Kazimierz Deyna,카지미에시 데이나
Piotr Nowina-Konopka,피오트르 노비나코놉카
Jerzy Bińczycki,예지 빈치츠키
Gosia Andrzejewicz,고시아 안제예비치
Jerzy Andrzejewski,예지 안제예프스키
Małgorzata Wojtkowiak,마우고자타 보이트코비아크
Włodzimierz Korcz,브워지미에시 코르치
Maciej Rybus,마치에이 리부스
Dominika Peczynski,도미니카 페친스키
Wlastimil Hofman,블라스티밀 호프만
Grzegorz Wojtkowiak,그제고시 보이츠코비아크
Adam Ferency,아담 페렌치
Adam Bodzek,아담 보제크
Andrzej Zaucha,안제이 자우하
Szymon Szewczyk,시몬 셰프치크
Rajmund Kanelba,라이문트 카넬바
Borys Lankosz,보리스 란코시
Marek Kwiatkowski,마레크 크비아트코프스키
Natalia Rybicka,나탈리아 리비츠카
Xawery Żuławski,크사베리 주와프스키
Dariusz Szlachetko,다리우시 슐라헤트코
Andrzej Towiański,안제이 토비안스키
Monika Jagaciak,모니카 야가치아크
Roman Skirmunt,라만 스키르문트
Zbigniew Grzybowski,즈비그니에프 그지보프스키
Sarah Pitkowski,사라 피트코프스키말코르
Teresa Lipowska,테레사 리포프스카
Marian Kociniak,마리안 코치 니악
Łukasz Barczyk,우카시 바르치크
Wojciech Siudmak,보이치에흐 시우드마크
Bronisław Kwiatkowski,브로니스와프 크비아트코프스키
Bartosz Salamon,바르토시 살라몬
Franciszek Kostrzewski,프란치셰크 코스트셰프스키
Władysław Hańcza,브와디스와프 한차
Tomasz Cywka,토마시 치프카
Maurycy Zamoyski,마우리치 클레멘스 자모이스키
Krzysztof Pomian,크시슈토프 포미안
Magdalena Frąckowiak,마그달레나 프라츠코비아크
Stanislas Golinski,스타니슬라스 골린스키
Adrian Budka,아드리안 부트카
Artur Marciniak,아르투르 마르치니아크
Aurelia Trywiańska,아우렐리아 트리비안스카
Antonina Kłoskowska,안토니나 크워스코프스카
Magdalena Lamparska,마그달레나 람파르스카
Jan Kobuszewski,얀 코부셰프스키
Józef Tracz,유제프 트라치
Andrzej Paczkowski,안제이 파치코프스키
Bolesław Kwiatkowski,볼레스와프 크비아트코프스키
Michał Żebrowski,미하우 제브로프스키
Anna Rechnio,안나 레흐니오
Tomasz Lem,토마시 렘
Witold Hurewicz,비톨트 후레비치
Bartosz Kaniecki,바르토시 카니에츠키
Czesław Wołłejko,체스와프 보웨이코
Leon Sapieha,레온 사피에하
Henryk Machalica,헨리크 마할리차
Katarzyna Skrzynecka,카타지나 스크시네츠카
Olaf Lubaszenko,올라프 루바젠코
Kazimiera Szczuka,카지미에라 슈추카
Ada Fijał,아다 피야우
Kristof Konrad,크리스토프 콘래드
Szymon Krzeszowiec,시몬 크셰쇼비에츠
Sylwia Chutnik,실비아 후트니크
Tadeusz Isakowicz-Zaleski,타데우시 이사코비치잘레스키
Adam Karol Czartoryski,아담 카롤 차르토리스키
Adam Ludwik Czartoryski,아담 루드비크 차르토리스키
Agnieszka Krukówna,아그니에슈카 크루쿠브나
Weronika Rosati,베로니카 로사티
Andrzej Pronaszko,안제이 프로나슈코
Agnieszka Taborska,아그니에슈카 타보르스카
Agnieszka Wagner,에그니에즈카 와그너
Elżbieta Dmoch,엘주비에타 드모흐
Aleksandra Szwed,알렉산드라 슈베트
Patricia Kazadi,파트리치아 카자디
Ewelina Flinta,에벨리나 플린타
Magda Umer,마그다 우메르
Władysław Zamoyski,브와디스와프 자모이스키
Anna Mucha,안나 무하
Arkadiusz Bilski,아르카디우즈 빌스키
Wirgiliusz Gryń,비르길리우시 그린
Janina Żejmo,야니나 제이모
Magdalena Grzybowska,마그달레나 그지보프스카
Jarosław Rymkiewicz,야로스와프 마레크 림키에비치
Artur Ruciński,아르투르 루신스키
Jan Sztaudynger,얀 슈타우딘게르
Władysława Markiewiczówna,브와디스와바 마르키에비추브나
Barbara Hesse-Bukowska,바르바라 헤세부코프스카
Artur Jędrzejczyk,아르투르 예드라예치크
Bartłomiej Świderski,바르트워미에이 시비데르스키
Paweł Kryszałowicz,파베우 크리샤워비치
Bartłomiej Kasprzykowski,바르트워미에이 카스프시코프스키
Beata Szydło,베아타 시드워
Waldemar Legień,발데마르 레기엔
Jerzy Kowalik,예지 코발리크
Zuzanna Szwed,주잔나 슈베트
Zbigniew Drzewiecki,즈비그니에프 제비에츠키
Bolesław Ocias,볼레스와프 오치아스
Łukasz Madej,우카시 마데이
Stanisław Grochowiak,스타니스와프 그로호비아크
Bogusz Bilewski,보구시 빌레프스키
Patrycja Maliszewska,파트리차 말리셰프스카
Kazimierz Sokołowski,카지미에시 소코워프스키
Błażej Telichowski,브와제이 텔리호프스키
Ania Marson,아니 아마르슨
Cezary Kosiński,체자리 코신스키
Wacław Sieroszewski,바츠와프 시에로셰프스키
Wiktoria Gąsiewska,빅토리아 공시에프스카
Artur Skowronek,아르투르 스코브로네크
Constantin Rozanoff,콘스탄틴 로자노프
Ryszard Pietruski,리샤르트 피에트루스키
Julia Pietrucha,율리아 피에트루하
Małgorzata Pieczyńska,마우고자타 피에친스카
Kora,올가 야츠코프스카
Paula Bzura,파울라 브주라
Paweł Adamowicz,파베우 아다모비치
Bolesław Płotnicki,볼레스와프 프워트니츠키
Marcelina Zawadzka,마르첼리나 자바츠카
Piotr Stokowiec,피요토르 스토코뷔에크
Celina Szymanowska,첼리나 시마노프스카
Joanna Sakowicz-Kostecka,요안나 사코비치코스테츠카
Angelika Jakubowska,안겔리카 야쿠보프스카
Maja Lidia Kossakowska,마야 리디아 코사코프스카
Grzegorz Bartczak,그제고시 바르트차크
Czesław Michniewicz,체스와프 미흐니에비치
Czesław Petelski,체스와프 페텔스키
Kacper Piorun,카츠페르 피오룬
Augustyn Józef Czartoryski,아우구스틴 유제프 차르토리스키
Andrzej Gwiazda,안제이 그비아즈다
Gabriela Kownacka,가브리엘라 코브나츠카
Damian Nawrocik,다미안 나브로치크
Jarosław Grzędowicz,야로스와프 그젱도비치
Kazimierz Rudzki,카지미에시 루츠키
Stanisława Przybyszewska,스타니스와바 프시비셰프스카
Piotr Woźniacki,피오트르 보즈니아키
Gabriela Kulka,가브리엘라 쿨카
Radosław Mroczkowski,라도스와프 므로치코프스키
Urszula Grabowska,우르슐라 그라보프스카
Killion Munyama,킬리온 무냐마
Marian Sawa,마리안 사바
Kazimierz Dąbrowski,카지미에 다브로프스키
Dawid Tomala,다비트 토말라
Michał Kwiatkowski,미하우
Dorota Miśkiewicz,도로타 미시키에비치
Dawid Podsiadło,다비트 포트시아드워
Maria Sadowska,마리아 사도프스카
Anna Nehrebecka,안나 네흐레베츠카
Elżbieta Starostecka,엘주비에타 스타로스테츠카
Edyta Śliwińska,에디타 실리빈스카
Kamil Chanas,카밀 차나스
Roma Gąsiorowska,로마 공시오로프스카
Elżbieta Szemplińska-Sobolewska,엘주비에타 솀플린스카
Elżbieta Witek,엘주비에타 비테크
Edyta Herbuś,에디타 헤르부시
Rita Karin,리타 카린
Joanna Kulig,요안나 쿨리크
Ryszard Lenczewski,리샤르트 렌체프스키
Jerzy Trela,예르지 트렐라
Agnieszka Kotlarska,아그니에슈카 코틀라르스카
Józef Mélèze-Modrzejewski,조제프 멜레즈모제예프스키
Ewa Petelska,에바 페텔스카
Gabriela Muskała,가브리엘라 무스카와
Barbi Sinclair,바비 싱클레어
Edmund Fetting,에드문트 페틴크
Tadeusz Fijewski,타데우시 피예프스키
Łukasz Teodorczyk,우카시 테오도르치크
Tadeusz Świątek,타데우스 즈비아텍
Sebastian Karpiel-Bułecka,세바스티안 카르피엘부웨츠카
Seweryn Blumsztajn,세베린 블룸슈타인
Adam Włodek,아담 브워데크
Kinga Dunin,킨가 두닌
Krzysztof Bosak,크시슈토프 보사크
Krzysztof Chamiec,크시슈토프 하미에츠
Józef Chałasiński,유제프 하와신스키
Grażyna Błęcka-Kolska,그라지나 블렉카 콜스카
Leszek Iwanicki,레첵 이바니츠키
Wacław Wąsowicz,바츠와프 봉소비치
Iwona Bielska,이보나 비엘스카
Krzysztof Mączyński,크시슈토프 몽친스키
Krzysztof Surlit,크시슈토프 수를리트
Stanisław Kamocki,스타니사프 카모츠키
Karol Brzozowski,카롤 브조조프스키
Zbigniew Bródka,즈비그니에프 브루트카
Jacek Dehnel,야체크 데흐넬
Aleksander Czcheidze,알렉산드레 치헤이제
Maciej Scherfchen,마치에이 셰르프헨
Zofia Mrozowska,조피아 므로조프스카
Katarzyna Grochola,카타지나 그로홀라
Wojciech Pawłowski,보이치에흐 파브워프스키
Grzegorz Tobiszowski,그제고시 토비쇼프스키
Gustaw Lutkiewicz,구스타프 루트키에비치
Marek Koniarek,마레크 코니아레크
Edyta Jungowska,에디타 윤고프스카
Marian Dziędziel,마리안 지엥지엘
Alina Janowska,알리나 야노프스카
Mateusz Piskorski,마테우시 피스코르스키
Elżbieta Jasińska,엘주비에타 야신스카
Michał Probierz,미하우 프로비에시
Jacek Fafiński,야체크 파핀스키
Michał Bielczyk,미하우 비엘치크
Andrzej Bogucki,안제이 보구츠키
Sergiusz Żymełka,세르기우시 지메우카
Tadeusz Pieronek,타데우시 피에로네크
Igor Śmiałowski,이고르 스미알로프스키
Kasia Struss,카시아 스트러스
Ilona Ostrowska,일로나 오스트로프스카
Izo Szajewicz,이소 샤예비치
Bronisław Wrocławski,브로니스와프 브로츠와프스키
Iwo Byczewski,이보 비체프스키
Michał Jacaszek,야차셰크
Aleksandra Olsza,알렉산드라 올샤
Tomasz Mariusz Dziubiński,토마시 지우빈스키
Jacek Komuda,야체크 코무다
Grzegorz Gajewski,그제고시 가예프스키
Joanna Liszowska,요안나 리쇼프스카
Jerzy Wasowski,예지 바소프스키
Jacek Piekara,야체크 피에카라
Tomasz Kupisz,토마시 쿠피시
Małgorzata Dydek,마고 디데크
Tomasz Stolpa,토마시 스톨파
Joanna Żółkowska,요안나 주코프스카
Wiesław Gołas,비에스와프 고와스
Gustaw Herling-Grudziński,구스타프 헤를링그루진스키
Berenika Okuniewska,베레니카 톰시아
Sylwia Nowak,실비아 노바크
Józef Green,조셉 그린
Agnieszka Kotulanka,아그니에슈카 코툴란카
Rozalia Mancewicz,로잘리아 만체비치
Julia Wróblewska,율리아 브루블레프스카
Sebastian Kolasiński,세바스티안 콜라신스키
Agnieszka Warchulska,아그니에슈카 바르훌스카
Julian Kornhauser,율리안 코른하우세르
Aldona Wos,알도나 보시
Aldona Młyńczak,알도나 므윈차크
Edward Madejski,에드바르트 마데이스키
Jan Rybkowski,얀 립코프스키
Ewa Dałkowska,에바 달코프스카
Jan Marcin Szancer,얀 마르친 샨체르
Jan Tomasz Zamoyski,얀 토마시 자모이스키
Julia Kamińska,율리아 카민스카
Jan Stanisławski,얀 스타니스와프스키
Jan Błoński,얀 브원스키
Elżbieta Hałas,엘주비에타 하와스
Marta Żmuda Trzebiatowska,마르타 주무다 트셰비아토프스카
Alina Pienkowska,알리나 피엔코프스카
Maria Klejdysz,마리아 클레이디시
Zygmunt Miłoszewski,지그문트 미워셰프스키
Irena Dubiska,이레나 두비스카
Janusz Jojko,야누시 요이코
Józef Kotlarczyk,유제프 코틀라르치크
Paweł Czartoryski,파베우 차르토리스키
Wacław Depo,바츠와프 데포
Ryszard Galla,리샤르트 갈라
Wojciech Zagórski,보이치에흐 자구르스키
Violetta Arlak,비올레타 아를라크
Paweł Małaszyński,파베우 마와신스키
Anna Milewska,안나 밀레프스카
Andrzej Friszke,안제이 프리슈케
Elżbieta Zającówna,엘주비에타 자용추브나
Andrzej Kopiczyński,안제이 코피친스키
Andrzej Maszewski,안제이 마셰프스키
Emil Zegadłowicz,에밀 제가드워비치
Władysław Zamoyski,브와디스와프 스타니스와프 자모이스키
Piotr Bielczyk,피오트르 비엘치크
Piotr Dumała,피오트르 두마와
Karol Linetty,카롤 리네티
Katarzyna Ankudowicz,카타지나 안쿠도비치
Andrzej Pieczyński,안제이 피에친스키
Andrzej Smolik,안제이 스몰리크
Kasia Popowska,카시아 포포프스카
Piotr Pręgowski,피오트르 프렝고프스키
Alina Kaszlinska,알리나 카실린스카야
Piotr Zieliński,피오트르 지엘린스키
Elżbieta Kępińska,엘주비에타 켕핀스카
Katarzyna Pakosińska,카타지나 파코신스카
Katarzyna Strączy,카타지나 스트롱치
Aneta Szczepańska,아네타 슈체판스카
Andrzej Zimniak,안제이 짐니아크
Krzysztof Kiersznowski,크시슈토프 키에르슈노프스키
Andrzej Wawrzyk,안제이 바브지크
Franciszek Szlachcic,프란치셰크 슐라흐치츠
Anna Dereszowska,안나 데레쇼프스카
Krystyna Kobylańska,크리스티나 코빌라니스카
Rafał Lasocki,라파우 라소츠키
Krzysztof Głowacki,크시슈토프 그워바츠키
Krzysztof Ibisz,크시슈토프 이비시
Reizl Bozyk,라이즐 보직
Krzysztof Brejza,크시슈토프 브레이자
Krzysztof Kazimierczak,크시슈토프 카지미에르차크
Krzysztof Majchrzak,크시슈토프 마이흐샤크
Krzysztof Piskuła,크시슈토프 피스쿠와
Krzysztof Tchórzewski,크시슈토프 트후제프스키
Robert Gawliński,로베르트 가블린스키
Robert Brylewski,로베르트 브릴레프스키
Stanisław Tołwiński,스타니스와프 토우빈스키
Roman Zambrowski,로만 잠브로프스키
Roman Strzałkowski,로메크 스트샤우코프스키
Aleksander Ihnatowicz,알렉산데르 이흐나토비치
Leszek Długosz,레셰크 드우고시
Maciej Maleńczuk,마치에이 말렌추크
Lyda Roberti,리다 로버티
Stanisław Michalkiewicz,스타니스와프 미할키에비치
Aleksandra Hamkało,알렉산드라 함카워
Stanisław Staszewski,스타니스와프 스타셰프스키
Aleksandra Ciejek,알렉산드라 치에예크
Magdalena Samozwaniec,마그달레나 사모즈바니에츠
Magdalena Walach,마그달레나 발라흐
Magdalena Różczka,마그달레나 루슈치카
Magdalena Zawadzka,마그달레나 자바츠카
Aleksandra Konieczna,알렉산드라 코니에치나
Stanisław Zaczyk,스타니스와프 자치크
Aleksandra Popławska,알렉산드라 포프와프스카
Sylwester Maciejewski,실베스테르 마치에예프스키
Łucja Prus,우차 프루스
Marek Surmacz,마레크 수르마치
Tadeusz Kossak,타데우시 코사크
Józef Skolimowski,유제프 스콜리모프스키
Maria Zuchowicz,마리아 주호비치
Maria Niklińska,마리아 니클린스카
Tamara Arciuch,타마라 아르치우흐
Mariusz Mowlik,마리우시 모블리크
Małgorzata Buczkowska,마우고자타 부츠코프스카
Tomasz Sapryk,토마즈 사프릭
Tomasz Magdziarz,토마시 마그지아시
Małgorzata Kidawa-Błońska,마우고자타 키다바브원스카
Małgorzata Rejmer,마우고자타 레이메르
Tomasz Karolak,토마즈 카로락
Elżbieta Wieczorkowska,엘주비에타 비에초르코프스카
Tomasz Zieliński,토마시 지엘린스키
Małgorzata Gosiewska,말고자타 고시우스카
Honorata Skarbek,호노라타 스카르베크
Witold Czartoryski,비톨트 차르토리스키
Witold Bendkowski,비톨드 벤드코브스키
Wiktor Zborowski,빅토르 즈보로브스키
Mieczysław Maliński,미에치슬라프 말린스키
Mieczysław Biernacki,미에치스와프 비에르나츠키
Wojciech Kasperski,보이치에흐 카스페르스키
Witold Skulicz,비톨트 스쿨리치
Marcin Mroczek,마르친 므로체크
Miriam Kressin,미리엄 크레신
Anna Ciepielewska,안나 치에피엘레프스카
Mirosław Goliński,미로스와프 골린스키
Monika Mrozowska,모니카 므로조프스카
Władysław Kawula,브와디스와프 카불라
Natalia Maliszewska,나탈리아 말리셰프스카
Adam Jakubowski,아담 야쿠보프스키
Zbigniew Stryj,즈비그니에프 스트리이
Paulina Krupińska,파울리나 크루핀스카
Zbigniew Kwiatkowski,즈비그니에프 크비아트코프스키
Andrzej Pęczak,안제이 펭차크
Andrzej Rozkosz,안제이 로스코시
Andrzej Rybiński,안제이 리빈스키
Zdzisław Zamoyski,지스와프 자모이스키
Andrzej Duda,안제이 두다
Zdzisława Sośnicka,지스와바 소시니츠카
Zofia Chądzyńska,조피아 홍진스카
Zygmunt Staszczyk,지그문트 스타슈치크
Łukasz Skorupski,우카시 스코룹스키
Andrzej Szenajch,안제이 셰나이흐
Adam Szostkiewicz,아담 쇼스트키에비치
Stanisław Niwiński,스타니스와프 니빈스키
Andrzej Kotkowski,안제이 코트코프스키
Andrzej Wnuk,안제이 브누크
Adam Woronowicz,아담 워로비츠
Artur Międzyrzecki,아르투르 미엥지제츠키
Konstanty Brandel,콘스탄티 브란델
Artur Płatek,아르투르 프와테크
Bronisława Dłuska,브로니스와바 드우스카
Andrzej Młynarczyk,안제이 므위나르치크
Aurelia Jankowska-Polańska,아우렐리아 폴란스카
Agata Passent,아가타 파센트
Barbara Bursztynowicz,바르바라 부르슈티노비치
Aniela Pająkówna,아니엘라 파용쿠브나
Barbara Kurdej-Szatan,바르바라 쿠르데이샤탄
Barbara Kurzaj,바르바라 쿠자이
Agnieszka Judycka,아그니에슈카 유디츠카
Agnieszka Kaczorowska,아그니에슈카 카초로프스카
Agnieszka Mandat,아그니에슈카 만다트
Edward Sąsiada,에드바르트 송시아다
Barbara Pec-Ślesicka,바르바라 페츠실레시츠카
Anna Gzyra,안나 그지라
Agnieszka Woźniak-Starak,아그니에슈카 보지니아크스타라크
Anna Kazejak,안나 카제야크다비트
