Figueras,피게레스
Alcázar de Segovia,알카사르 (세고비아)
Partido Obrero de Unificación Marxista,마르크스주의통일노동자당
Segunda División de España 1989-90,세군다 디비시온 1989-90
Segunda División de España 1964-65,세군다 디비시온 1964-65
Estación de Pueblo Nuevo,푸에블로 누에보역
Primera División de España 1945-46,라리가 1945-46
Aeropuerto de Almería,알메리아 공항
Mirinda,미린다
Ruta europea E7,유럽 고속도로 07호선
Estación de Lavapiés,라바피에스역
Seo de Urgel,라세우두르젤
Basauri,바사우리
Primera División de España 1955-56,라리가 1955-56
Estación de Casa de Campo,카사 데 캄포역
Vizcaya,비스카이아도
Espejo (Córdoba),에스페호
Guipúzcoa,기푸스코아도
Provincia de Huelva,우엘바도
Antequera,안테케라
Provincia de Jaén (España),하엔도
Alcántara,알칸타라
Alcañiz,알카니스
Armada española,스페인 해군
Antena 3,안테나 3 (스페인의 텔레비전 채널)
Primera División de España 2000-01,라리가 2000-01
Provincia de Lugo,루고도
Provincia de Málaga,말라가도
Provincia de Orense,오우렌세도
Santutxu Fútbol Club,산투추 FC
Primera División de España 1988-89,라리가 1988-89
Carlismo,카를로스파
Occitania,옥시타니아
Macaronesia,마카로네시아
Provincia de Sevilla,세비야도
Provincia de Pontevedra,폰테베드라도
Provincia de Las Palmas,라스팔마스도
Batalla de Villaviciosa (1710),비야비시오사 전투
Provincia de Tarragona,타라고나도
Orense,오우렌세
Provincia de Santa Cruz de Tenerife,산타크루스데테네리페도
Unión Deportiva Melilla,UD 멜리야
Túnel ferroviario de alta velocidad de Guadarrama,과다라마 터널
Sefardí,스파라드 유대인
Campeonato Mundial de Natación de 2013,2013년 세계 수영 선수권 대회
Botafumeiro,보타푸메이로
La Gomera,라고메라섬
Carreteras europeas,유럽 고속도로
.cat,.cat
Nuevo Estadio de Los Cármenes,누에보 에스타디오 데 로스 카르메네스
España en los Juegos Olímpicos de Los Ángeles 1984,1984년 하계 올림픽 스페인 선수단
Derechos digitales,디지털 권리
Transporte en España,스페인의 교통
Estadio Nuevo Arcángel,에스타디오 누에보 아르캉헬
Al-Ándalus,알안달루스
Copa de la Paz 2012,2012년 피스컵
Rentería,에렌테리아
Club Deportivo Málaga,CD 말라가
Haro,아로
Etnia vasca,바스크인
Air Nostrum,에어 노스트룸
"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",이베로아메리카 국가 기구
Primera División de España 1953-54,라리가 1953-54
Segunda División de España 1985-86,세군다 디비시온 1985-86
San Carlos de la Rápita,산트카를레스데라라피타
Estadio Benito Villamarín,에스타디오 베니토 비야마린
Democracia Real Ya,¡Democracia Real YA!
Museo de Bellas Artes de Bilbao,빌바오 미술관
Segunda División de España 1995-96,세군다 디비시온 1995-96
Pax Hispanica,팍스 히스파니카
Partido de clasificación para la Eurocopa entre España y Malta (1983),스페인 대 몰타 (UEFA 유로 1984 예선)
Sociedad Deportiva Eibar,SD 에이바르
Aeropuerto de Murcia-San Javier,무르시아-산하비에르 공항
Sitio de Barcelona (1713-1714),바르셀로나 공방전
Sahara español,스페인령 사하라
Puerta del Sol,푸에르타 델 솔
Tren cremallera de Montserrat,문세라트 랙식 철도
Estación de Móstoles,모스톨레스 센트랄역
Marcha Real,스페인의 국가
Campeonato Mundial de Atletismo de 1999,1999년 세계 육상 선수권 대회
Aeropuerto de Málaga-Costa del Sol,말라가 코스타델솔 공항
Albacete Balompié,알바세테 발롬피에
Pueblo búlgaro,불가리아인
Segunda División de España 1954-55,세군다 디비시온 1954-55
Pull%26Bear,풀앤베어
Monasterio de Montserrat,몬세라트 수도원
Primera División de España 1974-75,라리가 1974-75
Supercopa de España de Fútbol 1990,수페르코파 데 에스파냐 1990
Copa de Ferias 1965-66,1965-66년 인터시티스 페어스컵
Cueva de Altamira,알타미라 동굴
Albaicín,알바이신
Estación de Hospital de Fuenlabrada,오스피탈 데 푸엔라브라다역
Primera División de España 1989-90,라리가 1989-90
Estación de Francos Rodríguez,프랑코스 로드리게스역
Mango (empresa),망고 (의류)
Capilla Real de Granada,그라나다 왕실 예배당
Parlamento de Cataluña,카탈루냐 의회
Anexo:Temporada 2009-10 del Fútbol Club Barcelona,FC 바르셀로나 2009-10 시즌
Anexo:Temporada 2010-11 del Fútbol Club Barcelona,FC 바르셀로나 2010-11 시즌
Renacimiento español,스페인 르네상스
Código postal de España,스페인의 우편번호
Primera División de España 1952-53,라리가 1952-53
Primera División de España 1929-30,라리가 1929-30
Primera División de España 1949-50,라리가 1949-50
Bailén,바일렌
Ruta europea E5,유럽 고속도로 05호선
Batalla de Málaga (1704),벨레즈-말라가 해전
Santa Cruz de La Palma,산타크루스데라팔마
Renfe AVE,AVE
RWE,RWE
Primera División de España 2003-04,라리가 2003-04
Batalla de Almenar (1710),알메나라 전투
Copa de Ferias 1963-64,1963-64년 인터시티스 페어스컵
Política de España,스페인의 정치
Senado de España,스페인 상원
Club Deportivo Atlético Baleares,CD 아틀레티코 발레아레스
Copa de Ferias 1962-63,1962-63년 인터시티스 페어스컵
Aeropuerto de Vitoria,비토리아 공항
Ajalvir,아할비르
Unión Deportiva Salamanca,UD 살라망카
Partido Socialista Obrero Español,스페인 사회주의노동자당
Primera División de España 1928-29,라리가 1929
España en los Juegos Olímpicos de Melbourne 1956,1956년 하계 올림픽 스페인 선수단
Estadio La Rosaleda,에스타디오 라 로살레다
Desgracia de Gijón,히혼의 수치
Altea (Alicante),알테아
Tratado Sino-Portugués de Pekín,중국-포르투갈 우호통상조약
Serie 103 de Renfe,렌페 103급
Aeropuerto de Salamanca,살라망카 공항
Copa del Rey de fútbol 2012-13,코파 델 레이 2012-13
Derbi madrileño,마드리드 더비
Club Deportivo Leganés,CD 레가네스
Juegos Paralímpicos de Barcelona 1992,1992년 하계 패럴림픽
Aeropuerto de Zaragoza,사라고사 공항
Topas,토파스
Recurso de amparo,암파로 영장
Club Atlético de Madrid "B",아틀레티코 마드리드 B
España en los Juegos Olímpicos de Pekín 2008,2008년 하계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Vancouver 2010,2010년 동계 올림픽 스페인 선수단
Proclamación de la República Catalana de 2017,카탈루냐 공화국 (2017년)
Caminito del Rey,카미니토 델 레이
Estación de Plaza Elíptica,플라사 엘립티카역
Serie 594 de Renfe,렌페 594급
Himno de Canarias,카나리아 제도의 국가
Iglesia y Hospital de la Caridad (Sevilla),오스피탈 데 라 카리다드
Primera División de España 2012-13,라리가 2012-13
Primera División de España 1991-92,라리가 1991-92
Primera División de España 1995-96,라리가 1995-96
Primera División de España 2001-02,라리가 2001-02
Primera División de España 1993-94,라리가 1993-94
Primera División de España 1984-85,라리가 1984-85
España en los Juegos Olímpicos de París 1900,1900년 하계 올림픽 스페인 선수단
Primera División de España 1996-97,라리가 1996-97
Selección de balonmano de España,스페인 핸드볼 국가대표팀
Real Avilés Industrial C. F.,레알 아빌레스 CF
Primera División de España 1987-88,라리가 1987-88
Primera División de España 1994-95,라리가 1994-95
Primera División de España 1981-82,라리가 1981-82
Parque nacional del Teide,테이데 국립공원
Primera División de España 1983-84,라리가 1983-84
As (periódico),As (신문)
Primera División de España 2004-05,라리가 2004-05
Primera División de España 1978-79,라리가 1978-79
Villahermosa (Ciudad Real),비야에르모사 (스페인)
Escuela Técnica Superior de Arquitectura de Madrid,마드리드 건축학교
Miniestadi,미니 에스타디
Real Unión Club,레알 우니온
Estación de Núñez de Balboa,누녜스 데 발보아역
Moros y cristianos,모로스 이 크리스티아노스
Ambite,암비테
Protectorado español de Marruecos,스페인령 모로코
Exposición Especializada de Zaragoza,2008년 세계 박람회
Ruta europea E15,유럽 고속도로 15호선
Museo Nacional de Arte de Cataluña,카탈루냐 미술관
Club Deportivo Basconia,CD 바스코니아
Rosalejo,로살레호
Club Balonmano Ciudad Real,BM 시우다드 레알
Túnel de Gibraltar,지브롤터 해협의 횡단
Massimo Dutti,마시모 두티
Trofeo Pichichi,피치치
Transición española,스페인의 민주화
Anexo:Judo en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 유도
Amigos para siempre (canción),Amigos para siempre
Batalla de Baecula,바이쿨라 전투
España en los Juegos Olímpicos de Salt Lake City 2002,2002년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Sapporo 1972,1972년 동계 올림픽 스페인 선수단
Fundación Joan Miró,호안 미로 재단
Iglesia católica en España,스페인의 로마 가톨릭교회
Relaciones internacionales de España,스페인의 대외 관계
Estación de Avenida de Guadalajara,아베니다 데 과달라하라역
Plaza de España (Sevilla),스페인 광장 (세비야)
Estación de Goya (Metro de Madrid),고야역 (마드리드)
España en los Juegos Olímpicos de Sarajevo 1984,1984년 동계 올림픽 스페인 선수단
Silla Barcelona,바르셀로나 의자
Banco de España,스페인 은행
España en los Juegos Olímpicos de Atlanta 1996,1996년 하계 올림픽 스페인 선수단
Zarauz,사라우츠
Estación de Avenida de América,아베니다 데 아메리카역
Macizo de Montserrat,몬세라트
Historia económica de España,스페인의 경제사
Latina (Madrid),라티나 (마드리드)
Bandera de Ceuta,세우타의 기
Museo de Historia de Madrid,마드리드 역사박물관
Eusko Abendaren Ereserkia,바스크의 국가
Biescas,비에스카스
Museo de Cera de Barcelona,바르셀로나 왁스 박물관
Ruta europea E80,유럽 고속도로 80호선
Diócesis de Urgel,가톨릭 우르젤 교구
España en los Juegos Olímpicos de Innsbruck 1964,1964년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Nagano 1998,1998년 동계 올림픽 스페인 선수단
Invencible Inglesa,드레이크-노리스 원정
Oficina de Propiedad Intelectual de la Unión Europea,유럽 연합 지식재산권 사무소
Anexo:Bádminton en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 배드민턴
Copa del Rey de Fútbol 1907,코파 델 레이 1907
Torres de Santa Cruz,토레스 데 산타 크루스
España en los Juegos Olímpicos de Londres 2012,2012년 하계 올림픽 스페인 선수단
Zara,자라 (브랜드)
Protestas en España de 2011-2015,2011-2015년 스페인 시위
Final de la Copa del Rey de fútbol 2011-12,2012 코파 델 레이 결승전
Universidad de Málaga,말라가 대학교
Copa del Generalísimo de fútbol 1943,코파 델 헤네랄리시모 1943
Ciudadela (Baleares),시우타데야데메노르카
Collado Villalba,코야도비얄바
Esquerra Republicana de Catalunya,카탈루냐 공화좌파당
Estadio El Sadar,에스타디오 엘 사다르
Monarquía Española,스페인 국왕
España en los Juegos Olímpicos de Albertville 1992,1992년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Ámsterdam 1928,1928년 하계 올림픽 스페인 선수단
Estelada,에스텔라다
España en los Juegos Olímpicos de Lake Placid 1980,1980년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Calgary 1988,1988년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Grenoble 1968,1968년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Innsbruck 1976,1976년 동계 올림픽 스페인 선수단
España en los Juegos Olímpicos de Lillehammer 1994,1994년 동계 올림픽 스페인 선수단
Bilbao Athletic,빌바오 아틀레틱
Mobile World Congress,모바일 월드 콩그레스
Anexo:Equipos participantes en la Eurocopa 1964,1964년 유러피언 네이션스컵 선수 명단
Copa del Rey de fútbol 1985-86,코파 델 레이 1985-86
Anexo:Futbolistas del Real Madrid Club de Fútbol,레알 마드리드 CF 선수 명단
Catalán de Baleares,발레아레스어
Columnas de Hércules,헤라클레스의 기둥
Vuelo 5022 de Spanair,스팬에어 5022편 착륙 사고
Estadio José Zorrilla,에스타디오 호세 소리야
Fraga (Huesca),프라가
Selección de fútbol de Canarias,카나리아 제도 축구 국가대표팀
Estación de Lucero,루세로역
Primera División de España 1970-71,라리가 1970-71
Primera División de España 1935-36,라리가 1935-36
Estadio de la Cerámica,에스타디오 데 라 세라미카
Día de Cataluña,카탈루냐 국경일
Hayedos primarios de los Cárpatos y otras regiones de Europa,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
Museo del Prado,프라도 미술관
Telefónica,텔레포니카
Camp Nou,캄 노우
Anexo:Categorías regionales de fútbol de España,디비시오네스 레히오날레스
Monumento (patrimonio histórico de España),스페인 국가문화재
BBVA,빌바오 비스카야 아르헨타리아 은행
Segunda División de España 1940-41,세군다 디비시온 1940-41
Segunda División de España 1933-34,세군다 디비시온 1933-34
Pueblo español,스페인인
Pabellón alemán (Barcelona),바르셀로나 독일관
Torrente (Valencia),토렌트 (발렌시아도)
Cartagena (España),카르타헤나 (스페인)
Segunda División de España 1950-51,세군다 디비시온 1950-51
Área metropolitana de Madrid,마드리드 도시권
Segunda División de España 1949-50,세군다 디비시온 1949-50
Unió Esportiva Sant Andreu,UE 산트 안드레우
Bankia,방키아
Barajas,바라하스
Chipiona,치피오나
Club Atlético de Pinto,CA 핀토
Ruta europea E70,유럽 고속도로 70호선
Copa Mundial de Baloncesto de 2014,2014년 FIBA 농구 월드컵
Imperio español en Asia y Oceanía,스페인령 동인도
Segunda División de España 1974-75,세군다 디비시온 1974-75
Corporación Mondragon,몬드라곤 협동조합
Conferencia de Algeciras,알헤시라스 회담
Primera División de España 2005-06,라리가 2005-06
Provincia (España),스페인의 도
Orden Hospitalaria de San Juan de Dios,천주의 성 요한 수도회
Anexo:Final de la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 결승전
Estadio Santiago Bernabéu,에스타디오 산티아고 베르나베우
Segunda División de España 2010-11,세군다 디비시온 2010-11
Beach Soccer Worldwide,비치 사커 월드와이드
Segunda División de España 1973-74,세군다 디비시온 1973-74
Segunda División de España 1970-71,세군다 디비시온 1970-71
VirusTotal,VirusTotal
Coslada,코슬라다
Segunda División de España 1958-59,세군다 디비시온 1958-59
Segunda División de España 1994-95,세군다 디비시온 1994-95
Virreinato de Nueva España,누에바에스파냐
Los del Río,로스 델 리오
Escudo de España,스페인의 국장
Segunda División de España 1993-94,세군다 디비시온 1993-94
Aeropuerto Adolfo Suárez Madrid-Barajas,아돌포 수아레스 마드리드 바라하스 공항
Instituto Cervantes,세르반테스 문화원
Primera División de España 1958-59,라리가 1958-59
Club Deportivo Castellón,CD 카스테욘
Serie 101 de Renfe,렌페 101급
Segunda División de España 1967-68,세군다 디비시온 1967-68
Segunda División de España 1957-58,세군다 디비시온 1957-58
Segunda División de España 1961-62,세군다 디비시온 1961-62
Segunda División de España 1963-64,세군다 디비시온 1963-64
Segunda División de España 1959-60,세군다 디비시온 1959-60
Segunda División de España 1981-82,세군다 디비시온 1981-82
Segunda División de España 1962-63,세군다 디비시온 1962-63
Segunda División de España 1960-61,세군다 디비시온 1960-61
Segunda División de España 1965-66,세군다 디비시온 1965-66
Segunda División de España 1996-97,세군다 디비시온 1996-97
Isla de Alborán,알보란섬
Anexo:Temporada 2008-09 del Fútbol Club Barcelona,FC 바르셀로나 2008-09 시즌
Circuito de Barcelona-Cataluña,바르셀로나 카탈루냐 서킷
Anexo:Gran Premio de España de 2008,2008년 스페인 그랑프리
Batalla de Trafalgar,트라팔가르 해전
Anexo:Gran Premio de España de 1974,1974년 스페인 그랑프리
Copa del Rey de fútbol 1986-87,코파 델 레이 1986-87
Palacio Real de Madrid,마드리드 왕궁
Gran Premio de España de Motociclismo,스페인 그랑프리 (모터사이클)
Anexo:Gran Premio de Europa de 2012,2012년 유럽 그랑프리
Anexo:Reyes de España,스페인 국왕 목록
Parla,파를라
Elsevier,엘스비어
Estación de Quevedo,케베도역
Algodonales,알고도날레스
Anexo:Gran Premio de España de 2009,2009년 스페인 그랑프리
Anexo:Gran Premio de Europa de 2010,2010년 유럽 그랑프리
Orden de Frailes Menores,작은형제회
Copa del Rey de fútbol 2000-01,코파 델 레이 2000-01
Música de España,스페인의 음악
Anexo:Fútbol en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 축구
Algar,알가르
Meseta Central,메세타고원
Loewe,로에베
Estación de Islas Filipinas,이슬라스 필리피나스역
Aeropuerto de Tenerife Sur,테네리페 수르 공항
Plaza de Cataluña,카탈루냐 광장
Anexo:Gran Premio de España de 2012,2012년 스페인 그랑프리
Anexo:Gran Premio de España de 2010,2010년 스페인 그랑프리
Anexo:Gran Premio de Europa de 2009,2009년 유럽 그랑프리
Segunda División de España 1984-85,세군다 디비시온 1984-85
Puente de Alconétar,알코네타르 다리
Bayona (España),바이오나
Pozoblanco,포소블랑코
Tercio,테르시오
Cántabro (lingüística),칸타브리아 방언
Segunda División de España 2000-01,세군다 디비시온 2000-01
Meeting de Atletismo Madrid,마드리드 육상 대회
Plaza de Colón (Madrid),콜론 광장
Tercera División de España,테르세라 디비시온
Biblioteca Nacional de España,스페인 국립도서관
Primera División de España 1973-74,라리가 1973-74
Primera División de España 1992-93,라리가 1992-93
Recopa de Europa 1988-89,1988-89년 유러피언컵위너스컵
Segunda División B de España,세군다 디비시온 B
Final de la Liga de Campeones de la UEFA 2009-10,2010 UEFA 챔피언스리그 결승전
Bershka,버쉬카
Vejer de la Frontera,베헤르데라프론테라
Tomatina,토마티나
Caltojar,칼토하르
Segunda República española,스페인 제2공화국
Repsol,렙솔
Museo Thyssen-Bornemisza,티센보르네미사 미술관
Castilla,카스티야
Estadio de Anoeta,에스타디오 데 아노에타
Molina de Segura,몰리나데세구라
Oliva (Valencia),올리바 (스페인)
Campo de Las Corts,캄 데 레스 코르츠
Trofeo Teresa Herrera,트로페오 테레사 에레라
Vinaroz,비나로스
Granada 74 Club de Fútbol,그라나다 74 CF
Valencia Club de Fútbol Mestalla,발렌시아 CF 메스타야
Marca (periódico),마르카 (신문)
Museo Guggenheim Bilbao,빌바오 구겐하임 미술관
Anexo:Gran Premio de Europa de 2008,2008년 유럽 그랑프리
Reino de Castilla,카스티야 왕국
Bandera de Melilla,멜리야의 기
Gran Canaria,그란카나리아섬
Liga Asobal,리가 아소발
CAF OARIS,CAF 오아리스
Cambrils,캄브릴스
Levante Fútbol Club,레반테 FC
Almarza (Soria),알마르사
Costa Blanca,블랑카 해안
Talavera de la Reina,탈라베라데라레이나
Levantamiento del 2 de Mayo,도스 데 마요 봉기
Mamá (escultura),마망 (조각 작품)
Laredo (Cantabria),라레도 (스페인)
Eurocopa 1964,1964년 유러피언 네이션스컵
Aldealices,알데알리세스
Aldealafuente,알데알라푸엔테
Casa de Campo,카사 데 캄포
Alentisque,알렌티스케
Alconaba,알코나바
Adradas,아드라다스
Abejar,아베하르
Almajano,알마하노
FON,FON
Aldealpozo,알데알포소
Aldealseñor,알데알세뇨르
Las Ventas,라스 벤타스
Orden de Santiago,산티아고 기사단
España en los Juegos Olímpicos,올림픽 스페인 선수단
Primera División de España 1932-33,라리가 1932-33
Alcubilla de Avellaneda,알쿠비야데아베야네다
Recopa de Europa 1961-62,1961-62년 유러피언컵위너스컵
Arenillas,아레니야스
Copa del Rey de Fútbol 1927,코파 델 레이 1927
Sanfermines,산 페르민 축제
Almazul,알마술
Primera División de España 1962-63,라리가 1962-63
Primera División de España 1967-68,라리가 1967-68
Primera División de España 1933-34,라리가 1933-34
Covaleda,코발레다
Casarejos,카사레호스
Cerbón,세르본
Villaverde,비야베르데
Castillo de Loarre,로아레성
El Mundo (España),엘 문도
Festival de Cine de Sitges,카탈루냐 국제 판타스틱 영화제
Islote de Lobos (Canarias),로보스섬 (카나리아 제도)
Himno de la Comunidad de Madrid,마드리드 지방의 찬가
Arcos de Jalón,아르코스데할론
Anexo:Presidentes del Consejo de Ministros de España,스페인의 총리 목록
Beratón,베라톤
Almenar de Soria,알메나르데소리아
Banco Sabadell,사바델은행
Museo Picasso de Barcelona,피카소 미술관 (바르셀로나)
Renfe Cercanías,세르카니아스
Cercanías Madrid,세르카니아스 마드리드
112 (teléfono),112 (응급 전화번호)
Costa del Azahar,아사하르 해안
Happy Science,행복의 과학
Elecciones generales de España de 2011,2011년 스페인 총선거
Edicto de Granada,알람브라 칙령
Batalla de Ilipa,일리파 전투
La 1,라 1
Costa de Almería,알메리아 해안
Queso de Cabrales,카브랄레스 치즈
Joma,호마 (기업)
Playa de la Barceloneta,바르셀로네타 해변
Aeropuerto de La Palma,라팔마 공항
Nepas,네파스
Obras de Antoni Gaudí (Patrimonio de la Humanidad),안토니 가우디의 건축
Estación de Pinar de Chamartín,피나르 데 차마르틴역
Copa del Rey de fútbol 1983-84,코파 델 레이 1983-84
Segunda División de España 2005-06,세군다 디비시온 2005-06
Segunda División de España 2006-07,세군다 디비시온 2006-07
Segunda División de España 1939-40,세군다 디비시온 1939-40
Borobia,보로비아
Las Aldehuelas,라스알데우엘라스
Accidente de Los Alfaques,로스알파케스 참사
Observatorio del Roque de los Muchachos,로크 데 로스 무차초스 천문대
Real Sociedad de Fútbol "B",레알 소시에다드 B
Copa de la Paz 2005,2005년 피스컵
Segunda División de España 1928-29,세군다 디비시온 1929
Museo de Arte Contemporáneo de Barcelona,바르셀로나 현대미술관
Falange Española Tradicionalista y de las Juntas de Ofensiva Nacional Sindicalista,전통주의 팔랑헤당
Anexo:Vela en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 요트
Primera División de España 1969-70,라리가 1969-70
Primera División de España 1965-66,라리가 1965-66
Anexo:Medallero de los Juegos Paralímpicos de Barcelona 1992,1992년 하계 패럴림픽 메달 집계
Agencia EFE,EFE
Gran Premio de Cataluña de Motociclismo,카탈루냐 그랑프리
Final de la Copa de Campeones de Europa 1955-56,1956 유러피언컵 결승전
Final de la Liga Europa de la UEFA 2011-12,2012 UEFA 유로파리그 결승전
Miss España,미스 에스파냐
Anexo:Banderas de España,스페인의 기 목록
Iglesias (España),이글레시아스 (부르고스도)
Estadio de Vallecas,캄포 데 푸트볼 데 바예카스
Guinda al marasquino,마라스키노 체리
Segunda División de España 2008-09,세군다 디비시온 2008-09
Segunda División de España 2007-08,세군다 디비시온 2007-08
Real Madrid TV,레알 마드리드 TV
Batalla de Zaragoza,사라고사 전투
Coliseum (Getafe),콜리세움 (헤타페)
Estadio El Molinón,엘 몰리논
El 3 de mayo en Madrid,1808년 5월 3일
Estación de Hospital 12 de Octubre,오스피탈 12 데 옥투브레역
Blacos,블라코스
Bosque del Recuerdo,기억의 숲
Final de la Liga de Campeones de la UEFA 1998-99,1999 UEFA 챔피언스리그 결승전
Estación de Duque de Pastrana,두케 데 파스트라나역
Ejército del Aire y del Espacio (España),스페인 공군
Serie 102 de Renfe,렌페 102급
Primera División de España 1957-58,라리가 1957-58
Primera División de España 1946-47,라리가 1946-47
Primera División de España 1954-55,라리가 1954-55
Primera División de España 1961-62,라리가 1961-62
Primera División de España 1959-60,라리가 1959-60
Primera División de España 1941-42,라리가 1941-42
Paralelo 42 norte,북위 42도
Clima de España,스페인의 기후
Selección de béisbol de España,스페인 야구 국가대표팀
Ruta europea E9,유럽 고속도로 09호선
Teatro Nacional de Cataluña,카탈루냐 국립극장
Sociedad Deportiva Compostela (2004),SD 콤포스텔라
Villarreal Club de Fútbol "B",비야레알 CF B
Ducado de Moctezuma de Tultengo,목테수마 데 툴텡고 공작
El Escorial,엘에스코리알 (마드리드주)
Primera División de España 1934-35,라리가 1934-35
Paralelo 41 norte,북위 41도
Talgo (empresa),탈고
Estación de Canillejas,카니예하스역
Ilustración en España,스페인의 계몽주의
Selección de fútbol de Galicia,갈리시아 축구 국가대표팀
Gran Vía,그란비아
Batalla de Brihuega,브리우에가 전투
Estadio de Sarriá,에스타디 데 사리아
Plaza de España (Madrid),스페인 광장 (마드리드)
Cobi,코비 (마스코트)
Estadio de Balaídos,에스타디오 데 발라이도스
Cultura de España,스페인의 문화
Alcázar de Toledo,알카사르 (톨레도)
Adidas Tango España,아디다스 탱고 에스파냐
Aeropuerto de Reus,레우스 공항
La Boquería,라 보케리아
Borja (Zaragoza),보르하 (사라고사주)
Red del Espacio Profundo,심우주 통신망
Aeropuerto de Tenerife Norte-Ciudad de La Laguna,테네리페 노르테 공항
Costa Cálida,칼리다 해안
Príncipe de Asturias,아스투리아스 공
Fútbol base del Fútbol Club Barcelona,라 마시아
Conferencia de Paz de Madrid,마드리드 회담
Comarcas de España,스페인의 코마르카
Copa de la Paz 2009,2009년 피스컵
Aeropuerto de Sevilla,세비야 공항
Ensaimada de Mallorca,엔사이마다
Estación de Iglesia,이글레시아역
Línea 1 (Metro de Barcelona),바르셀로나 지하철 1호선
Estadio Municipal de Anduva,에스타디오 무니시팔 데 안두바
Guardia Civil,과르디아 시빌
Recopa de Europa 1994-95,1994-95년 UEFA 컵위너스컵
Puerto Viejo de Barcelona,벨 항
Museo Arqueológico Nacional (España),국립 고고학 박물관 (스페인)
Plan España,플랜 인터내셔널
Puerto de Barcelona,바르셀로나 항
Estación de La Latina,라 라티나역
Culleredo,쿠제레도
Estadio de Gran Canaria,에스타디오 그란 카나리아
Costa Granadina,코스타트로피칼
Copa del Generalísimo de fútbol 1969,코파 델 헤네랄리시모 1969
Renfe Euromed,유로메드
Fabada,파바다
Real Jaén Club de Fútbol,레알 하엔
Montjuic (Barcelona),몬주이크
Catedral de Toledo,톨레도 대성당
Estadio Ciudad de Valencia,발렌시아 시립 경기장
Plaza Mayor de Madrid,마요르 광장 (마드리드)
Himno del Fútbol Club Barcelona,칸트 델 바르사
Orbea,오베아
Estación de Congosto,콩고스토역
Puente de Alcántara,알칸타라 다리
Copa del Rey de fútbol 1988-89,코파 델 레이 1988-89
Foro para la Gobernanza de Internet,인터넷 거버넌스 포럼
Kelme,켈미
Carabanchel,카라반첼
Villajoyosa,비야호요사
Cola Cao,콜라 카오
Academia del Aragonés,아라곤어 아카데미아
Torre Emperador Castellana,토레 에스파시오
Club Deportivo Alcoyano,CD 알코야노
Unió Esportiva Lleida,UE 례이다
Trofeo Zamora,트로페오 리카르도 사모라
Huracán Valencia Club de Fútbol,우라칸 발렌시아 CF
Selección de fútbol de Andalucía,안달루시아 축구 국가대표팀
Liga ACB,리가 ACB
Museo Picasso Málaga,피카소 미술관 (말라가)
Palma del Río,팔마델리오
Observatorio Fabra,파브라 천문대
Estadio de Mendizorroza,에스타디오 데 멘디소로차
Estadio Municipal de Butarque,에스타디오 무니시팔 데 부타르케
Construcciones y Auxiliar de Ferrocarriles,CAF (기업)
Barca (Soria),바르카 (소리아주)
Estadio Carlos Tartiere (2000),에스타디오 카를로스 타르티에레
Judeoconverso (España),콘베르소
Selección de fútbol sub-21 de España,스페인 U-21 축구 국가대표팀
Convergencia Democrática de Cataluña,카탈루냐 민주 집중
Estadio Metropolitano (Madrid),시비타스 메트로폴리타노
Copa Eva Duarte,코파 에바 두아르테
Metro de Palma de Mallorca,팔마 지하철
Estrella Damm,에스트렐라 담
Aprovechamiento tipo,용적률
Real español,스페인 레알
Copa del Generalísimo de fútbol 1944,코파 델 헤네랄리시모 1944
Copa de la Coronación,코파 데 라 코로나시온
Copa del Generalísimo de fútbol 1941,코파 델 헤네랄리시모 1941
Copa del Generalísimo de fútbol 1944-45,코파 델 헤네랄리시모 1944-45
Copa del Generalísimo de fútbol 1942,코파 델 헤네랄리시모 1942
Torneo Nacional de Fútbol (1939),코파 델 헤네랄리시모 1939
Copa del Generalísimo de fútbol 1940,코파 델 헤네랄리시모 1940
Copa del Rey de Fútbol 1905,코파 델 레이 1905
Copa del Rey de Fútbol 1904,코파 델 레이 1904
Copa del Presidente de la República de Fútbol 1936,코파 델 프레시덴테 데 라 레푸블리카 1936
Copa del Presidente de la República de Fútbol 1935,코파 델 프레시덴테 데 라 레푸블리카 1935
Estadio de los Juegos Mediterráneos,에스타디오 데 로스 후에고스 메디테라네오스
Copa del Rey de Fútbol 1908,코파 델 레이 1908
Copa del Rey de Fútbol 1910,코파 델 레이 1910
Copa del Rey de Fútbol 1913,코파 델 레이 1913
Copa del Rey de Fútbol 1909,코파 델 레이 1909
Copa del Rey de Fútbol 1911,코파 델 레이 1911
Copa del Rey de Fútbol 1912,코파 델 레이 1912
