Deutschland,ドイツ
Der Spiegel,デア・シュピーゲル
TSV 1860 München,TSV1860ミュンヘン
Bad Rappenau,バート・ラッペナウ
Rastatt,ラシュタット
Nordfriesische Inseln,北フリジア諸島
Waldheim,ヴァルトハイム
Schiefer Turm von Suurhusen,ズールフーゼンの斜塔
Fußball-Bundesliga 2007/08,ドイツ・ブンデスリーガ2007-2008
Leine (Aller),ライネ川
Frankfurt-Höchst,フランクフルト＝ヘーヒスト
Fraunhofer-Gesellschaft,フラウンホーファー研究機構
Cyclone Empire,サイクロン・エンパイア
Sparneck,シュパルネック
Documenta,ドクメンタ
Neunkirchen (Saar),ノインキルヒェン・(ザールラント州)
Rheda-Wiedenbrück,レーダ＝ヴィーデンブリュック
Zirndorf,ツィルンドルフ
Möhrendorf,メーレンドルフ
Symrise,シムライズ
Stammbach,シュタムバッハ・(オーバーフランケン)
Stiebel Eltron,スティーベルエルトロン
Großer Preis von Deutschland 2009,2009年ドイツグランプリ
FC Sachsen Leipzig,FCザクセン・ライプツィヒ
Bundeswappen Deutschlands,ドイツの国章
Junkers Flugzeug- und Motorenwerke,ユンカース
Palast der Republik,共和国宮殿
Berlin-Marathon,ベルリンマラソン
Biathlon-Weltmeisterschaften 2012,2012年バイアスロン世界選手権
Großer Preis von Deutschland 2010,2010年ドイツグランプリ
Heroldsberg,ヘロルツベルク
Institut für Sexualwissenschaft,性科学研究所
Nordsee (Restaurantkette),ノルトゼー
Schloss Berg (Bayern),ベルク城
Wörth am Main,ヴェルト・アム・マイン
Friesische Inseln,フリースラント諸島
Liste von Flüssen in Deutschland,ドイツの河川の一覧
Ramstein Air Base,ラムシュタイン空軍基地
Lenne (Niedersachsen),レネ・(ドイツ)
Südschleswigscher Wählerverband,南シュレースヴィヒ選挙人同盟
Chemnitzer FC,ケムニッツFC
Bulgaren,ブルガリア人
Waldspirale,ヴァルトシュピラーレ
Die Tageszeitung,ディー・ターゲスツァイトゥング
Rheinmetall,ラインメタル
Nordfriesische Sprache,北フリジア語
ZFC Meuselwitz,ZFCモイゼルヴィッツ
ZF Friedrichshafen,ZFフリードリヒスハーフェン
Adelberg,アーデルベルク
Leica Camera,ライカ
1st Armoured Division (Vereinigtes Königreich),第1師団・(イギリス軍)
Nürnberger Prozess gegen die Hauptkriegsverbrecher,ニュルンベルク裁判
Heiningen (Landkreis Göppingen),ハイニンゲン・(ゲッピンゲン郡)
Melle,メレ・(ドイツ)
Gammelshausen,ガンメルスハウゼン
Gotha,ゴータ
Alsdorf,アルスドルフ
Freising,フライジング
Roland Berger (Unternehmen),ローランド・ベルガー
Deutsche Euromünzen,ドイツのユーロ硬貨
Daun,ダウン・(ドイツ)
Julius-Maximilians-Universität Würzburg,ユリウス・マクシミリアン大学ヴュルツブルク
Hof (Saale),ホーフ
Böblingen,ベーブリンゲン
Stade,シュターデ
Zell unter Aichelberg,ツェル・ウンター・アイヒェルベルク
Birenbach,ビレンバッハ
Bad Ditzenbach,バート・ディッツェンバッハ
Burgstetten,ブルクシュテッテン
Baltmannsweiler,バルトマンスヴァイラー
Deggingen,デッギンゲン
Z-Plan,Z計画
Deensen,デーンゼン
Martinstag,聖マルティヌスの日
Hanomag,ハノマーグ
Arado Ar 65,Ar・65・(航空機)
Dielmissen,ディールミッセン
Horch,ホルヒ
Nationalsozialistischer Untergrund,国民社会主義地下組織
ESCP Business School,ESCP経営大学院
Bempflingen,ベンプフリンゲン
Frickenhausen (Württemberg),フリッケンハウゼン・(ヴュルテンベルク)
Bissingen an der Teck,ビシンゲン・アン・デア・テック
Erkenbrechtsweiler,エルケンブレヒツヴァイラー
Zalando,Zalando
Johannes Gutenberg-Universität Mainz,ヨハネス・グーテンベルク大学マインツ
Schloss Hohenschwangau,ホーエンシュヴァンガウ城
Bünde,ビュンデ
Fellbach,フェルバッハ
Neustadt am Rübenberge,ノイシュタット・アム・リューベンベルゲ
Straubing,シュトラウビング
Bairisch,バイエルン・オーストリア語
Die Welt,ディ・ヴェルト
Messegelände Hannover,ハノーファー国際見本市会場
FC 08 Homburg,FC08ホンブルク
Wolfschlugen,ヴォルフシュルーゲン
Oberursel (Taunus),オーバーウルゼル・(タウヌス)
Bad Kreuznach,バート・クロイツナハ
Weinheim,ヴァインハイム
Landau in der Pfalz,ランダウ・イン・デア・プファルツ
Deizisau,ダイツィザウ
Kamen,カーメン
Wismar,ヴィスマール
Amberg,アンベルク
Zabern-Affäre,ツァーベルン事件
Demokratie Jetzt,民主主義を今
Kehlsteinhaus,ケールシュタインハウス
Maulbronn,マウルブロン
Filderstadt,フィルダーシュタット
Glyptothek (München),グリュプトテーク
Schloss Linderhof,リンダーホーフ城
Bietigheim-Bissingen,ビーティッヒハイム＝ビッシンゲン
Eisenach,アイゼナハ
Bruchsal,ブルッフザール
Rodgau,ロートガウ
Lehrte,レールテ
TSV Großbardorf,TSVグロースバードルフ
Nordhausen,ノルトハウゼン
Brüder der christlichen Schulen,ラ・サール会
Homburg,ホンブルク
KZ Bergen-Belsen,ベルゲン・ベルゼン強制収容所
Großwallstadt,グロースヴァルシュタット
1. FC Kleve,1.FCクレーフェ
Schlacht im Hürtgenwald,ヒュルトゲンの森の戦い
1. FC Lokomotive Leipzig,1.FCロコモティヴェ・ライプツィヒ
Bahnstrecke Berlin–Lehrte,ベルリン-レールテ線
Malmedy-Massaker,マルメディ虐殺事件
Notzingen,ノッツィンゲン
Preis von Europa,オイロパ賞
Ottenbach (Württemberg),オッテンバッハ・(ヴュルテンベルク)
1. FC Heidenheim,1.FCハイデンハイム
Neuhausen auf den Fildern,ノイハウゼン・アウフ・デン・フィルデルン
Oberboihingen,オーバーボイヒンゲン
Mühlhausen im Täle,ミュールハウゼン・イム・テーレ
Unterschwaningen,ウンターシュヴァーニンゲン
Winterhausen,ヴィンターハウゼン
Böhmenkirch,ベーメンキルヒ
Lichtenwald,リヒテンヴァルト
Schlierbach (Württemberg),シュリアーバッハ・(ヴュルテンベルク)
Salach,ザラハ
Tschetschenen,チェチェン人
Jever,イェファー
Gingen an der Fils,ギンゲン・アン・デア・フィルス
Alte Nationalgalerie,旧国立美術館・(ベルリン)
Lufthansa CityLine,ルフトハンザ・シティーライン
Altbach,アルトバッハ
Börtlingen,ベルトリンゲン
Deutsche Bundesbank,ドイツ連邦銀行
RWE,RWE
Thyssenkrupp,ティッセンクルップ
Halberstadt,ハルバーシュタット
Arado Ar 68,Ar・68・(航空機)
Dachau,ダッハウ
Emtmannsberg,エムトマンスベルク
Zell im Fichtelgebirge,ツェル・イム・フィヒテルゲビルゲ
Landkreis Heilbronn,ハイルブロン郡
Niederländische Sprache,オランダ語
Bernried am Starnberger See,ベルンリート・アム・シュタルンベルガー・ゼー
Schirnding,シルンディング
Gesamtdeutsche Mannschaft,オリンピックの東西統一ドイツ選手団
Neidlingen,ナイトリンゲン
Köngen,ケンゲン
Holzmaden,ホルツマーデン
Althütte,アルトヒュッテ
Neckartenzlingen,ネッカーテンツリンゲン
Olympische Winterspiele 2010/Teilnehmer (Deutschland),2010年バンクーバーオリンピックのドイツ選手団
Weilheim an der Teck,ヴァイルハイム・アン・デア・テック
Landkreis Gotha,ゴータ郡
1. FFC Turbine Potsdam,1.FFCトゥルビネ・ポツダム
Schlat,シュラート
Olympische Sommerspiele 2012/Teilnehmer (Deutschland),2012年ロンドンオリンピックのドイツ選手団
Messerschmitt Me 262,メッサーシュミット・Me262
Kuchen (Gemeinde),クーヘン・(町村)
Olympische Sommerspiele 2008/Teilnehmer (Deutschland),2008年北京オリンピックのドイツ選手団
Lenningen,レニンゲン
Ohmden,オームデン
Verein für Raumschiffahrt,宇宙旅行協会
Großheirath,グロースハイラート
Zell am Main,ツェル・アム・マイン
Beuren (bei Nürtingen),ボイレン・(エスリンゲン郡)
Unterensingen,ウンターエンジンゲン
Wangen (bei Göppingen),ヴァンゲン・(ゲッピンゲン郡)
Dürnau (Landkreis Göppingen),デュルナウ・(ゲッピンゲン郡)
FC Erzgebirge Aue,FCエルツゲビルゲ・アウエ
Dynamo Dresden,SGディナモ・ドレスデン
1. Gebirgsdivision (Bundeswehr),第1山岳師団・(ドイツ連邦陸軍)
1. FC Union Berlin,1.FCウニオン・ベルリン
Bahnstrecke Berlin–Görlitz,ベルリン-ゲルリッツ線
Landkreis Gießen,ギーセン郡
Landkreis Marburg-Biedenkopf,マールブルク＝ビーデンコプフ郡
Rheingau-Taunus-Kreis,ラインガウ＝タウヌス郡
Landkreis Limburg-Weilburg,リムブルク＝ヴァイルブルク郡
Lahn-Dill-Kreis,ラーン＝ディル郡
FC Schalke 04,シャルケ04
Lausitz,ラウジッツ
Süßen,ジューセン
Hochtaunuskreis,ホーホタウヌス郡
Main-Taunus-Kreis,マイン＝タウヌス郡
Olympische Sommerspiele 2004/Teilnehmer (Deutschland),2004年アテネオリンピックのドイツ選手団
Schwalm-Eder-Kreis,シュヴァルム＝エーダー郡
Landkreis Kassel,カッセル郡
Landkreis Waldeck-Frankenberg,ヴァルデック＝フランケンベルク郡
Olympische Sommerspiele 1900/Teilnehmer (Deutsches Reich),1900年パリオリンピックのドイツ選手団
Olympische Sommerspiele 1904/Teilnehmer (Deutsches Reich),1904年セントルイスオリンピックのドイツ選手団
Olympische Winterspiele 1936/Teilnehmer (Deutsches Reich),1936年ガルミッシュ・パルテンキルヘンオリンピックのドイツ選手団
Martin-Luther-Universität Halle-Wittenberg,マルティン・ルター大学ハレ・ヴィッテンベルク
Ripuarische Dialekte,リプアーリ語
Denkendorf (Württemberg),デンケンドルフ・(ヴュルテンベルク)
Uhingen,ウーヒンゲン
Lauterstein,ラウターシュタイン
Werra-Meißner-Kreis,ヴェラ＝マイスナー郡
Landkreis Hersfeld-Rotenburg,ヘルスフェルト＝ローテンブルク郡
Landkreis Fulda,フルダ郡
Schiltberg,シルトベルク
Vogelsbergkreis,フォーゲルスベルク郡
Neustadt bei Coburg,ノイシュタット・バイ・コーブルク
Charité,シャリテー
Donzdorf,ドンツドルフ
Wiesensteig,ヴィーゼンシュタイク
Zaza,ザザ人
Braunsbach,ブラウンスバッハ
Ebersbach an der Fils,エーバースバッハ・アン・デア・フィルス
Geislingen an der Steige,ガイスリンゲン・アン・デア・シュタイゲ
Hansa Rostock,ハンザ・ロストック
Olympische Winterspiele 1956/Teilnehmer (Deutschland),1956年コルチナ・ダンペッツオオリンピックの東西統一ドイツ選手団
Montblanc (Unternehmen),モンブラン・(企業)
Olympische Winterspiele 1928/Teilnehmer (Deutsches Reich),1928年サンモリッツオリンピックのドイツ選手団
Main-Kinzig-Kreis,マイン＝キンツィヒ郡
Wetteraukreis,ヴェッテラウ郡
Hausen (bei Forchheim),ハウゼン・(フォルヒハイム郡)
Werther (Westf.),ヴェールター・(ヴェストファーレン)
Landkreis Offenbach,オッフェンバッハ郡
Owen,アウエン
S-Bahn Stuttgart,シュトゥットガルトSバーン
Hemsbach,ヘムスバッハ
Kabardinische Sprache,カバルド語
Olympische Winterspiele 1960/Teilnehmer (Deutschland),1960年スコーバレーオリンピックの東西統一ドイツ選手団
Olympische Winterspiele 1992/Teilnehmer (Deutschland),1992年アルベールビルオリンピックのドイツ選手団
Xanten,クサンテン
Bezirk Pankow,パンコウ区
Pleiße,プライセ川
Landkreis Bergstraße,ベルクシュトラーセ郡
Basketball-Europameisterschaft 1985,1985年バスケットボール男子欧州選手権
Odenwaldkreis,オーデンヴァルト郡
Landkreis Groß-Gerau,グロース＝ゲーラウ郡
Landkreis Darmstadt-Dieburg,ダルムシュタット＝ディーブルク郡
Hannover 96,ハノーファー96
Sulzbach-Laufen,ズルツバッハ＝ラウフェン
Michelfeld,ミヒェルフェルト
Mainhardt,マインハルト・(バーデン＝ヴュルテンベルク)
Sardische Sprache,サルデーニャ語
Kreßberg,クレスベルク
Zakspeed,ザクスピード
Olympische Sommerspiele 1908/Teilnehmer (Deutsches Reich),1908年ロンドンオリンピックのドイツ選手団
Bühlerzell,ビューラーツェル
Michelbach an der Bilz,ミヒェルバッハ・アン・デア・ビルツ
Nord-Ostsee-Kanal,キール運河
Grimms Märchen,グリム童話
Ludwigsstadt,ルートヴィヒスシュタット
Regierungsbezirk Detmold,デトモルト行政管区
Regierungsbezirk Münster,ミュンスター行政管区
Regierungsbezirk Düsseldorf,デュッセルドルフ行政管区
Regierungsbezirk Köln,ケルン行政管区
Regierungsbezirk Arnsberg,アルンスベルク行政管区
Regierungsbezirk Gießen,ギーセン行政管区
Regierungsbezirk Kassel,カッセル行政管区
Regierungsbezirk Darmstadt,ダルムシュタット行政管区
Arholzen,アルホルツェン
Ilshofen,イルスホーフェン
Stimpfach,シュティムプファッハ
Regierungsbezirk Freiburg,フライブルク行政管区
Regierungsbezirk Karlsruhe,カールスルーエ行政管区
Wolpertshausen,ヴォルパーツハウゼン
Edingen-Neckarhausen,エーディンゲン＝ネッカーハウゼン
Vellberg,フェルベルク
Fichtenau,フィヒテナウ
Baiersdorf,バイアースドルフ
1. SV Concordia Delitzsch,コンコルディア・デーリッチュ
Landkreis Calw,カルフ郡
Landkreis Freudenstadt,フロイデンシュタット郡
Kuka (Unternehmen),クーカ
Henschel %26 Sohn,ヘンシェル
Großer Preis von Deutschland,ドイツグランプリ
Altenriet,アルテンリート
Arte,アルテ・(テレビ局)
Wirtschaft Deutschlands,ドイツの経済
Bammental,バンメンタール
Heiligkreuzsteinach,ハイリヒクロイツシュタイナハ
Bühlertann,ビューラータン
Regierungsbezirk Tübingen,テュービンゲン行政管区
Neckar-Odenwald-Kreis,ネッカー＝オーデンヴァルト郡
Regierungsbezirk Stuttgart,シュトゥットガルト行政管区
Rhein-Neckar-Kreis,ライン＝ネッカー郡
Landkreis Karlsruhe,カールスルーエ郡
Berghof (Obersalzberg),ベルクホーフ
1. Luftlandedivision (Bundeswehr),第1空挺師団・(ドイツ連邦陸軍)
Continental AG,コンチネンタル・(自動車部品製造業)
Flugzeugkollision von Überlingen,ユーバーリンゲン空中衝突事故
Enzkreis,エンツ郡
Landkreis Rastatt,ラシュタット郡
Großer Preis von Deutschland 2008,2008年ドイツグランプリ
Reinhardswald,ラインハルトの森
1. Panzerarmee (Wehrmacht),第1装甲軍
1. Panzerdivision (Bundeswehr),第1装甲師団・(ドイツ連邦陸軍)
Hüffenhardt,ヒュッフェンハルト
Großerlach,グロースエアラハ
Botanischer Garten und Botanisches Museum Berlin,ベルリン＝ダーレム植物園
Kaisersbach,カイザースバッハ
1. Panzer-Division (Wehrmacht),第1装甲師団・(ドイツ国防軍)
Landkreis Tübingen,テュービンゲン郡
Rechberghausen,レヒベルクハウゼン
Bundesstraße 8,ドイツ連邦道路8号線
Drackenstein,ドラッケンシュタイン
Städelsches Kunstinstitut,シュテーデル美術館
Bundesstraße 1,ドイツ連邦道路1号線
Bundesstraße 3,ドイツ連邦道路3号線
Bundesstraße 2,ドイツ連邦道路2号線
Bundesstraße 4,ドイツ連邦道路4号線
Landkreis Reutlingen,ロイトリンゲン郡
Liste der Bezirke und Ortsteile Berlins,ベルリンの区および地区一覧
Pegnitz (Fluss),ペグニッツ川
Volksempfänger,国民ラジオ
Bahnrad-Weltcup 2009/10,UCIトラックワールドカップ2009-2010
Zollernalbkreis,ツォレルンアルプ郡
Bundesstraße 38,ドイツ連邦道路38号線
FF USV Jena,FF・USVイェーナ
Bundesstraße 50,ドイツ連邦道路50号線
Focke-Wulf Fw 190,フォッケウルフ・Fw190
MAN,MAN・(企業)
U-Bahn Frankfurt,フランクフルト地下鉄
U-Bahn München,ミュンヘン地下鉄
Zentrum Operative Kommunikation der Bundeswehr,作戦情報センター
Buseck,ブーゼック
Mercedes-Benz,メルセデス・ベンツ
Issel (Fluss),旧アイセル川
Alb-Donau-Kreis,アルプ＝ドナウ郡
Landkreis Biberach,ビーベラッハ郡
Landkreis Ravensburg,ラーヴェンスブルク郡
Bodenseekreis,ボーデンゼー郡
Landkreis Sigmaringen,ジグマリンゲン郡
Ellwangen (Jagst),エルヴァンゲン・(ヤクスト)
Bezirk Mitte,ミッテ区・(ベルリン)
Altdorf (Landkreis Esslingen),アルトドルフ・(エスリンゲン郡)
Hammah,ハンマー・(ニーダーザクセン)
Wikimedia Deutschland,ウィキメディア・ドイツ
Hockenheim,ホッケンハイム
Gallien,ガリア
10. Panzerdivision (Bundeswehr),第10装甲師団・(ドイツ連邦陸軍)
Lengerich (Westfalen),レンゲリヒ・(ヴェストファーレン)
Ochtrup,オホトルプ
Hopsten,ホプステン
Ladbergen,ラドベルゲン
Laer,ラール・(ヴェストファーレン)
Zentrum für Verifikationsaufgaben der Bundeswehr,連邦軍職務検証センター
Weißbach (Hohenlohe),ヴァイスバッハ・(ホーエンローエ郡)
Zentrum für Kunst und Medien,カールスルーエ・アート・アンド・メディア・センター
Zentrum für Transformation der Bundeswehr,連邦軍変革センター
Tecklenburg,テックレンブルク
Altenberge,アルテンベルゲ
Gemeinsame Normdatei,統合典拠ファイル
Polabische Sprache,ポラーブ語
Basketball-Europameisterschaft 1993,1993年バスケットボール男子欧州選手権
Straßenradsport-Weltmeisterschaften 2007,世界選手権自転車競技大会ロードレース2007
Samtgemeinde Eschershausen-Stadtoldendorf,ザムトゲマインデ・エッシャースハウゼン＝シュタットオルデンドルフ
.de,.de
Fujitsu Technology Solutions,富士通テクノロジー・ソリューションズ
Fußball-Weltmeisterschaft 2006,2006・FIFAワールドカップ
GEMA (Radar),ドイツ電気音響機械装置会社
United States Army Europe and Africa,アメリカ欧州・アフリカ陸軍
Bahnstrecke Hamm–Minden,ハム-ミンデン線
Olympische Sommerspiele 1972,1972年ミュンヘンオリンピック
Odenwald,オーデンヴァルト
Horstmar,ホルストマール
Main-Tauber-Kreis,マイン＝タウバー郡
Hohenlohekreis,ホーエンローエ郡
Hörstel,ヘルステル
Walkertshofen,ヴァルカーツホーフェン
Burg Gutenfels,グーテンフェルス城
Lienen,リーネン
Metelen,メテレン
Betzenstein,ベッツェンシュタイン
Lotte (Westfalen),ロッテ・(ヴェストファーレン)
1. FC Kaiserslautern,1.FCカイザースラウテルン
Zeppelin NT,ツェッペリンNT
Deutsche Basketballnationalmannschaft,バスケットボールドイツ代表
Eintracht Frankfurt,アイントラハト・フランクフルト
Crytek,Crytek
Heiligendamm,ハイリゲンダム
Ostalbkreis,オストアルプ郡
Landkreis Schwäbisch Hall,シュヴェービッシュ・ハル郡
Rems-Murr-Kreis,レムス＝ムル郡
Landkreis Göppingen,ゲッピンゲン郡
Fallschirmjägertruppe (Bundeswehr),降下猟兵
Landkreis Böblingen,ベーブリンゲン郡
Landkreis Esslingen,エスリンゲン郡
Ernst-Jung-Preis,エルンスト・ユング賞
Mettingen,メッティンゲン・(ノルトライン＝ヴェストファーレン州)
Saerbeck,ザーベック
Zimmermann (Klavierhersteller),ツィンマーマン・(ピアノ)
Neuenkirchen (Kreis Steinfurt),ノイエンキルヒェン・(シュタインフルト郡)
Nordwalde,ノルトヴァルデ
Recke (Westfalen),レッケ
Landkreis Ludwigsburg,ルートヴィヒスブルク郡
Landkreis Germersheim,ゲルマースハイム郡
Landkreis Südliche Weinstraße,ズュートリヒェ・ヴァインシュトラーセ郡
Landkreis Kusel,クーゼル郡
Landkreis Kaiserslautern,カイザースラウテルン郡
Landkreis Bad Dürkheim,バート・デュルクハイム郡
Landkreis Südwestpfalz,ズュートヴェストプファルツ郡
Rhein-Pfalz-Kreis,ライン＝プファルツ郡
THW Kiel,THWキール
Herrnhut,ヘルンフート
Westfalen,ヴェストファーレン
Westerkappeln,ヴェスターカペルン
Wettringen (Münsterland),ヴェットリンゲン・(ミュンスターラント)
Volleyball-Weltmeisterschaft der Frauen 2002,2002年バレーボール女子世界選手権
Steinhagen (Westfalen),シュタインハーゲン・(ヴェストファーレン)
Langenberg (Kreis Gütersloh),ランゲンベルク
Herzebrock-Clarholz,ヘルツェブロック＝クラールホルツ
Gemäldegalerie (Berlin),絵画館・(ベルリン)
Jiddisch,イディッシュ語
Versmold,フェルスモルト
Panzerspähwagen Sd.Kfz. 234,Sd・Kfz・234
35. SS-Polizei-Grenadier-Division,第35SS警察擲弾兵師団
Infanterie-Sturmabzeichen,歩兵突撃章
Landkreis Mainz-Bingen,マインツ＝ビンゲン郡
Donnersbergkreis,ドナースベルク郡
Landkreis Alzey-Worms,アルツァイ＝ヴォルムス郡
Landkreis Bad Kreuznach,バート・クロイツナハ郡
Rhein-Hunsrück-Kreis,ライン＝フンスリュック郡
Landkreis Birkenfeld,ビルケンフェルト郡
Hann. Münden,ハン・ミュンデン
Landkreis Trier-Saarburg,トリーア＝ザールブルク郡
Eifelkreis Bitburg-Prüm,ビットブルク＝プリュム郡
Landkreis Vulkaneifel,フルカナイフェル郡
Hille,ヒレ・(ノルトライン＝ヴェストファーレン)
Hüllhorst,ヒュルホルスト
Teddy Award,テディ賞
Lübbecke,リュベッケ
Stemwede,シュテムヴェーデ
UN-Campus,国連キャンパス
Altenbeken,アルテンベーケン
Stadelhofen,シュターデルホーフェン・(オーバーフランケン)
Haithabu,ヘーゼビュー
Rahden,ラーデン
Preußisch Oldendorf,プロイシシュ・オルデンドルフ
Petershagen,ペータースハーゲン
Zündapp Janus,ツェンダップ・ヤヌス
Codex Manesse,マネッセ写本
Frankfurt (Main) Hauptbahnhof,フランクフルト中央駅
Espelkamp,エスペルカンプ
Landkreis Neuwied,ノイヴィート郡
Landkreis Altenkirchen (Westerwald),アルテンキルヒェン郡
Westerwaldkreis,ヴェスターヴァルト郡
Zeven,ツェーフェン
Landkreis Ahrweiler,アールヴァイラー郡
Rhein-Lahn-Kreis,ライン＝ラーン郡
Landkreis Cochem-Zell,コッヘム＝ツェル郡
Landkreis Bernkastel-Wittlich,ベルンカステル＝ヴィットリヒ郡
Landkreis Mayen-Koblenz,マイエン＝コブレンツ郡
Fußball-Weltmeisterschaft 1974,1974・FIFAワールドカップ
Bad Lippspringe,バート・リップシュプリンゲ
Bad Wünnenberg,バート・ヴュネンベルク
Borchen,ボルヒェン
Salzkotten,ザルツコッテン
Harsewinkel,ハルゼヴィンケル
Halle (Westf.),ハレ・(ヴェストファーレン)
Borgholzhausen,ボルクホルツハウゼン
2. Panzergrenadierdivision (Bundeswehr),第2装甲擲弾兵師団・(ドイツ連邦陸軍)
Dornier-Werke,ドルニエ
Waldeck,ヴァルデック侯国
Verl,フェルル
Frankfurter Paulskirche,パウロ教会
Dießen am Ammersee,ディーセン・アム・アンマーゼー
Olympische Winterspiele 1936/Eishockey,1936年ガルミッシュ・パルテンキルヘンオリンピックのアイスホッケー競技
Arbeit %26 soziale Gerechtigkeit – Die Wahlalternative,WASG
Rietberg,リートベルク
Schloß Holte-Stukenbrock,シュロス・ホルテ＝シュトゥーケンブロック
Hövelhof,ヘーフェルホーフ
Büren (Westfalen),ビューレン・(ヴェストファーレン)
Universität Greifswald,グライフスヴァルト大学
Adenau,アーデナウ
Lichtenau (Westfalen),リヒテナウ・(ヴェストファーレン)
Eching am Ammersee,エーヒング・アム・アンマーゼー
Focke-Wulf,フォッケウルフ
Zusmarshausen,ツースマールスハウゼン
Z1 (Rechner),Zuse・Z1
Rheinböllen,ラインベレン
Mauser (Waffenhersteller),モーゼル
Nürnberger Spielwarenmesse,ニュルンベルク国際玩具見本市
Bundestagswahl 2005,2005年ドイツ連邦議会選挙
Meißen,マイセン
Zierenberg,ツィーレンベルク
Zweiflingen,ツヴァイフリンゲン
Ledlenser,Ledlenser
Münchener Rück,ミュンヘン再保険
Panzerbrigade 33,第33装甲旅団・(ドイツ連邦陸軍)
Zustandsdelikt,状態犯
4. Panzergrenadierdivision (Bundeswehr),第4装甲擲弾兵師団・(ドイツ連邦陸軍)
Norddeutsches Tiefland,北ドイツ平野
Zum schwarzen Ferkel,黒仔豚亭
Zum Arabischen Coffe Baum,カフェ・バウム
Reinheitsgebot,ビール純粋令
Schlacht bei Lützen,リュッツェンの戦い・(1632年)
Sennheiser,ゼンハイザー
Scheßlitz,シェスリッツ
Führungsstab der Streitkräfte,全軍指揮幕僚監部
Armenische Sprache,アルメニア語
Berufsakademie,コーオプ教育
Jugoslawen,ユーゴスラビア人
Blaue Banane,ブルーバナナ
Hehlen,ヘーレン
Zeiss Ikon,ツァイス・イコン
Sankt Goar,ザンクト・ゴアー
Europäische Zentralbank,欧州中央銀行
Bildungssystem in Deutschland,ドイツの教育
WWK-Arena,インパルス・アレーナ
Utting am Ammersee,ウッティング・アム・アンマーゼー
Bad Rothenfelde,バート・ローテンフェルデ
Polizei (Deutschland),ドイツの警察
Litauer,リトアニア人
Atomwaffensperrvertrag,核拡散防止条約
Bahnstrecke Lehrte–Hamburg-Harburg,ハノーファー-ハンブルク線
5. Panzerdivision (Bundeswehr),第5装甲師団・(ドイツ連邦陸軍)
Stihl,スチール・(ドイツの企業)
Bernsteinstraße,琥珀の道
Biebergemünd,ビーバーゲミュント
Nörvenich,ネルフェニッヒ
Robert Bosch GmbH,ロバート・ボッシュ・(企業)
Museum für Naturkunde (Berlin),フンボルト博物館
ReactOS,ReactOS
Bundesautobahn 1,アウトバーン・1
Bundesautobahn 2,アウトバーン・2
Zeitter %26 Winkelmann,ツァイッター%26ヴィンケルマン
Mönchsroth,メンヒスロート
Bundesautobahn 3,アウトバーン・3
Lauterecken,ラウターエッケン
Kirchheimbolanden,キルヒハイムボーランデン
Europastraße 36,E36号線
Dunlop (Unternehmen),ダンロップ
Beverungen,ベーヴェルンゲン
Heinrich-Wieland-Preis,ハインリッヒ・ヴィーラント賞
Willebadessen,ヴィレバートエッセン
Nieheim,ニーハイム
Borgentreich,ボルゲントライヒ
Bundesautobahn 10,アウトバーン・10
Bundesautobahn 11,アウトバーン・11
Bundesautobahn 9,アウトバーン・9
Bundesautobahn 8,アウトバーン・8
Bundesautobahn 15,アウトバーン・15
Bundesautobahn 13,アウトバーン・13
Bundesautobahn 14,アウトバーン・14
Bundesautobahn 12,アウトバーン・12
Jagsthausen,ヤクストハウゼン
Zell (Mosel),ツェル・(モーゼル)
Bundesautobahn 6,アウトバーン・6
Bundesautobahn 4,アウトバーン・4
Bundesautobahn 5,アウトバーン・5
Bundesautobahn 7,アウトバーン・7
Walpurgisnacht,ヴァルプルギスの夜
Vattenfall Cyclassics 2011,ヴァッテンフォール・サイクラシックス2011
Dänische Sprache,デンマーク語
Europastraße 60,E60号線
14. Panzergrenadierdivision (Bundeswehr),第14装甲擲弾兵師団・(ドイツ連邦陸軍)
Führungsstab der Marine,海軍指揮幕僚監部
Herxheim bei Landau/Pfalz,ハークスハイム・バイ・ランダウ
Die Alexanderschlacht,アレクサンダー大王の戦い
Marienmünster,マリーエンミュンスター
Zellingen,ツェリンゲン
Norddeutscher Rundfunk,北ドイツ放送
3. Panzer-Division (Wehrmacht),第3装甲師団・(ドイツ国防軍)
Brakel,ブラーケル
Beiersdorf AG,バイヤスドルフ
Extertal,エクスタータール
Kalletal,カレタール
Dörentrup,デーレントルプ
Schlangen (Gemeinde),シュランゲン
Bad Driburg,バート・ドリーブルク
Leopoldshöhe,レーオポルツヘーエ
Oerlinghausen,エルリングハウゼン
Augustdorf,アウグストドルフ
Horn-Bad Meinberg,ホルン＝バート・マインベルク
Lügde,リュクデ
Bundesautobahn 17,アウトバーン・17
Bundesautobahn 19,アウトバーン・19
Bundesautobahn 20,アウトバーン・20
Luxemburgische Sprache,ルクセンブルク語
Slowenische Sprache,スロベニア語
Unstrut,ウンシュトルト川
Universität Münster,ヴェストファーレン・ヴィルヘルム大学
Deutsche Grammophon,ドイツ・グラモフォン
Niedersächsisch,低ザクセン語
Zentral-Dombau-Verein zu Köln,ケルン大聖堂中央建築協会
DR-Baureihe 03,ドイツ国鉄03形蒸気機関車
ZbMATH,ZbMATH
World Team Cup,ワールドチームカップ
Pullach im Isartal,プラッハ・イム・イーザルタール
