Silbo gomero,シルボ
Asturiano (asturleonés de Asturias),アストゥリアス語
Sociedad Deportiva Cultural San Antonio,SDCサン・アントニオ
Trienio Liberal,スペイン立憲革命
Metro de Barcelona,バルセロナ地下鉄
Lorca Deportiva Club de Fútbol,ロルカ・デポルティーバCF
Panoramio,Panoramio
Ikurriña,イクリニャ
Países Catalanes,カタルーニャ語圏
Toques,トケス
Club Polideportivo Ejido,ポリ・エヒド
Irijo,オ・イリーショ
Salou,サロウ
Universidad Jaime I,ジャウメ1世大学
Extremeño (lingüística),エストレマドゥーラ語
Plasencia,プラセンシア
Torre Cepsa,トーレ・カハ・マドリッド
Las Omañas,ラス・オマーニャス
La Estrella (Toledo),ラ・エストレージャ
Río Llobregat,リュブラガート川
Río Cardener,カルダネー川
Guadix,グアディクス
Primera División de España 2007-08,リーガ・エスパニョーラ2007-2008
Acueducto de Segovia,セゴビア旧市街と水道橋
Torre de Hércules,ヘラクレスの塔
Tudela,トゥデラ
Estadio de San Mamés (1913),サン・マメス・(1913年)
Gastronomía del País Vasco,バスク料理
Bardenas Reales,バルデナス・レアレス
Serie 490 de Renfe,レンフェ490系電車
Pollensa,ポリェンサ
Club Deportivo Eldense,CDエルデンセ
Racing Club de Madrid,ラシン・デ・マドリード
Río Ter,テル川
Guerra de Castilla (Borneo),カスティーリャ戦争
Carral,カラル
Idioma valenciano,バレンシア語
Primera División de España 2008-09,リーガ・エスパニョーラ2008-2009
Real Club Deportivo Espanyol "B",RCDエスパニョールB
Atlético Levante Unión Deportiva,アトレティコ・レバンテUD
Meis,メイス・(スペイン)
Universidad Católica de Murcia Club de Fútbol,UCAMムルシアCF
Área metropolitana de Barcelona,バルセロナ都市圏
Gran Premio de la Comunidad Valenciana,バレンシアグランプリ
Cualedro,クアレドロ
Fútbol Club Barcelona (femenino),FCバルセロナ・フェメニ
Selección de fútbol de la Comunidad Valenciana,サッカーバレンシア州代表
Águilas,アギラス
Elecciones al Parlamento Europeo de 2009 (España),2009年欧州議会議員選挙・(スペイン)
Universidad de Vigo,ビーゴ大学
Batalla de Gibraltar (1607),ジブラルタルの海戦
Panda Security,Panda・Security
Peñafiel,ペニャフィエル
Universidad CEU San Pablo,CEUサン・パブロ大学
Selección de rugby de España,ラグビースペイン代表
Taifa de Denia,デニア王国
Anexo:Monarcas de Asturias,アストゥリアス王の一覧
Plaza de toros de La Malagueta,ラ・マラゲータ闘牛場
La Bola,ア・ボーラ
Oimbra,オインブラ
Serie 252 de Renfe,レンフェ252形電気機関車
Vuelta al País Vasco 2011,バスク一周2011
Mezquita-catedral de Córdoba,メスキータ
Gandía,ガンディア
Vuelta a España,ブエルタ・ア・エスパーニャ
Campeonato Mundial de Ciclismo en Ruta de 2005,世界選手権自転車競技大会ロードレース2005
Air Comet,エア・コメット・(スペイン)
El Rosal (Pontevedra),オ・ロサル
Comarca de los Ancares (Lugo),コマルカ・ドス・アンカーレス
Navia (Asturias),ナビア・(スペイン)
Partido Obrero de Unificación Marxista,マルクス主義統一労働者党
Basílica de Nuestra Señora de la Candelaria,ヌエストラ・セニョーラ・デ・ラ・カンデラリア教会
Anexo:Piragüismo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのカヌー競技
Estadio Heliodoro Rodríguez López,エスタディオ・エリオドロ・ロドリゲス・ロペス
Segunda División de España,セグンダ・ディビシオン
El Periódico (Barcelona),エル・ペリオディコ・デ・カタルーニャ
"Manifestación "Catalunya, nou estat d'Europa"",2012年カタルーニャ独立デモ
Fornelos de Montes,フォルネーロス・デ・モンテス
Club Gimnàstic de Tarragona,ジムナスティック・タラゴナ
Primera División de España 2002-03,リーガ・エスパニョーラ2002-2003
Generalife,ヘネラリフェ
Petín,ペティン
Idioma gótico,ゴート語
Supercopa de Europa 1997,1997・UEFAスーパーカップ
Comarca de Ferrol,コマルカ・デ・フェロル
Observatorio de Sierra Nevada,シエラ・ネバダ天文台
Coirós,コイロス
Alicante Club de Fútbol,アリカンテCF
Estación de Málaga Centro-Alameda,マラガ・セントゥロアラメダ駅
Ramiranes,ラミラス
Primera División de España 1945-46,リーガ・エスパニョーラ1945-1946
Selección femenina de waterpolo de España,水球女子スペイン代表
Marquina-Jeméin,マルキナ＝シェメイン
Copa Mundial Femenina de Rugby de 2002,女子ラグビーワールドカップ2002
Monasterio de Leyre,レイレ修道院
Gascón (occitano),ガスコーニュ語
Castillo de Bellver,ベルベル城
Arco (Renfe),アルコ・(列車)
Gran Premio de Cataluña de Motociclismo de 2006,2006年のカタルーニャグランプリ
Atarazanas Reales de Barcelona,王立造船所・(バルセロナ)
Nuevo Estadio Castalia,ヌエボ・エスタディオ・カスタリア
Estrecho de Gibraltar,ジブラルタル海峡
Primera División de España 1986-87,リーガ・エスパニョーラ1986-1987
Andújar,アンドゥハル
Reinosa,レイノーサ
FlyAnt Cargo,Flyant
Betanzos,ベタンソス
Marinaleda,マリナレーダ
Arancón,アランコン
Vuelta a España 1973,ブエルタ・ア・エスパーニャ1973
Torneo WTA de Marbella,アンダルシア・テニス・エクスペリエンス
Palacio Real de Aranjuez,アランフエス王宮
Lejona,レイオア
Pampaneira,パンパネイラ
España en los Juegos Olímpicos de Atenas 2004,2004年アテネオリンピックのスペイン選手団
Pungín,プンシン
Villafranca de Ordizia,オルディシア
Superliga de voleibol,スーペルリーガ・デ・ボレイボル・マスクリーナ
.es,.es
Teide,テイデ山
Codorníu,コドルニウ
Ágreda,アグレダ
Club Baloncesto Breogán,CBブレオガン
Escolapios,エスコラピオス修道会
Vuelta a Andalucía,ブエルタ・ア・アンダルシア
Primera División Femenina de España,プリメーラ・ディビシオン・フェメニーナ
Tenerife,テネリフェ島
Batalla de Vitoria,ビトリアの戦い
Estadio Mallorca Son Moix,エスタディ・デ・ソン・モイシュ
Eurocuerpo,欧州合同軍
Seo de Urgel,ラ・セウ・ドゥルジェイ
San Pedro del Romeral,サン・ペドロ・デル・ロメラル
Écija,エシハ
Real Oviedo,レアル・オビエド
Estadio Olímpico Lluís Companys,エスタディ・オリンピック・リュイス・コンパニス
Estadio Ramón Sánchez-Pizjuán,エスタディオ・ラモン・サンチェス・ピスフアン
Tour de Francia 1963,ツール・ド・フランス1963
Siglo de Oro,スペイン黄金世紀
Almonaster la Real,アルモナステール・ラ・レアル
Chiclana de la Frontera,チクラーナ・デ・ラ・フロンテーラ
Campeonato Mundial de Balonmano Masculino de 2013,2013年世界男子ハンドボール選手権
División de Honor de rugby,ディビシオン・デ・オノール・デ・ラグビー
Anexo:Estadios de fútbol de España,スペインのサッカー競技場一覧
Armada española,スペイン海軍
Camino de Santiago,サンティアゴ・デ・コンポステーラの巡礼路
Golfo de Vizcaya,ビスケー湾
Selección de fútbol de España,サッカースペイン代表
Primera División de España 1980-81,リーガ・エスパニョーラ1980-1981
Universidad de La Coruña,ア・コルーニャ大学
Vuelta a España 2012,ブエルタ・ア・エスパーニャ2012
Idiomas de España,スペインの言語
España en el Festival de la Canción de Eurovisión,スペインのユーロビジョン・ソング・コンテスト
Liga Europa de la UEFA 2013-14,UEFAヨーロッパリーグ・2013-14
Campeonato Mundial de Esquí Alpino de 1996,1996年アルペンスキー世界選手権
Llodio,ラウディオ/リョディオ
La Gudiña,ア・グディーニャ
Primera División de España 2000-01,リーガ・エスパニョーラ2000-2001
Euskadi Ta Askatasuna,バスク祖国と自由
Partido Nacionalista Vasco,バスク民族主義党
Gernika Rugby Taldea,ゲルニカRT
Linares (Jaén),リナーレス・(スペイン)
Noceda del Bierzo,ノセーダ・デル・ビエルソ
Igüeña,イグエーニャ
Vuelta al País Vasco 2005,バスク一周2005
Musques,ムスキス
Comarca del Sar,コマルカ・ド・サール
Campeonato Mundial de Baloncesto de 1986,1986年バスケットボール世界選手権
Grisel,グリセル
Línea 7 (Metro de Barcelona),バルセロナ地下鉄7号線
Cerdido,セルディード
Campeonato Mundial de Natación de 2013,2013年世界水泳選手権
Elecciones generales de España de 1982,1982年スペイン総選挙
Fútbol Club Barcelona (hockey sobre patines),FCバルセロナ・(ローラーホッケー)
Primera División de España 1988-89,リーガ・エスパニョーラ1988-1989
Unión Deportiva Melilla,UDメリリャ
Montehermoso,モンテエルモーソ
Universidad Autónoma de Barcelona,バルセロナ自治大学
Club Bàsquet Sant Josep Girona,CBジローナ
Irimo,イリモ山
Copa del Rey de Fútbol 1903,コパ・デル・レイ1903
Serie 120 de Renfe,レンフェ120系電車
Peñaranda de Bracamonte,ペニャランダ・デ・ブラカモンテ
Serie 100 de Renfe,レンフェ100系
Alcázar de San Juan,アルカサル・デ・サン・フアン
Congosto (León),コンゴスト
Molinaseca,モリーナセカ
Sancedo,サンセード
Folgoso de la Ribera,フォルゴーソ・デ・ラ・リベーラ
Pico Posets,ポセッツ峰
Olympic Broadcasting Services,オリンピック放送機構
Aeropuerto de Huesca-Pirineos,ウエスカ＝ピリネオス空港
Exposición Internacional de Barcelona (1929),バルセロナ万国博覧会・(1929年)
Campo de Criptana,カンポ・デ・クリプターナ
Corgo,オ・コルゴ
Alcalá de Henares,アルカラ・デ・エナーレス
Copa Mundial de Fútbol de 1982,1982・FIFAワールドカップ
Tour de Francia 2003,ツール・ド・フランス2003
Telescopio MAGIC,MAGIC・(望遠鏡)
IE Universidad,IE大学
Primera División de España 1990-91,リーガ・エスパニョーラ1990-1991
Arrigorriaga,アリゴリアガ
Chueca,チュエカ
Palacio de Deportes de la Comunidad de Madrid,パラシオ・デ・デポルテス・(マドリード)
Congreso de los Diputados,スペイン下院
Renfe Altaria,アルタリア・(列車)
Rentería,エレンテリア
Esade,ESADE
Alhambra,アルハンブラ宮殿
Sigüenza,シグエンサ
Puerto del Rosario,プエルト・デル・ロサリオ
Club Deportivo Elgoibar,CDエルゴイバル
Primera División de España 1942-43,リーガ・エスパニョーラ1942-1943
Universidad de La Laguna,ラ・ラグーナ大学
Sagunto,サグント
Telescopio William Herschel,ウィリアム・ハーシェル望遠鏡
Serie 251 de Renfe,レンフェ251形電気機関車
Dieta mediterránea,地中海食
Lorca,ロルカ
Templo Expiatorio de la Sagrada Familia,サグラダ・ファミリア
European Organisation of Military Associations,欧州軍人協会機構
ABC (periódico),ABC・(新聞)
Renfe Cercanías Bilbao,セルカニアス・ビルバオ
Guatimac,グアティマク
Vianos,ビアーノス
Anexo:Gran Premio de España de 2004,2004年スペイングランプリ
Euskal Herria,バスク地方
Tordesillas,トルデシリャス
Selección de hockey sobre hielo de España,アイスホッケースペイン代表
Parque nacional de Picos de Europa,ピコス・デ・エウロパ国立公園
Mahón,マオー
Clásica de San Sebastián 2010,クラシカ・サンセバスティアン2010
Agrupación Deportiva Almería,ADアルメリア
Rairiz de Veiga,ライリス・デ・ベイガ
Trainera,トライネラ
Bombardeo de Almería,アルメリア砲撃
Sierra Morena,シエラ・モレナ山脈
Comarca de Noya,コマルカ・デ・ノイア
El País,エル・パイス
Jaca,ハカ・(スペイン)
Comarca de Órdenes,コマルカ・デ・オルデス
AISA I-115,AISA・I-115
El Real de San Vicente,エル・レアル・デ・サン・ビセンテ
Manacor,マナコル
Ontinyent Club de Futbol,オンティニエンテCF
Aldealpozo,アルデアルポソ
Aeropuerto de Zaragoza,サラゴサ空港
IESE Business School,IESE
Menorca,メノルカ島
Telecinco,テレシンコ
Anexo:Béisbol en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの野球競技
Parque de la Ciudadela,シウタデリャ公園
Torneo Conde de Godó,バルセロナ・オープン・バンコ・サバデル
Formentera,フォルメンテラ島
Isla de Arosa (municipio),ア・イジャ・デ・アロウサ
Puebla del Caramiñal,ア・ポブラ・ド・カラミニャル
Ibiza,イビサ島
Artá,アルター・(スペイン)
Sanfermines,サン・フェルミン祭
Batalla de los Arapiles,サラマンカの戦い
Parque nacional del Teide,テイデ国立公園
Sitio de Barcelona (1713-1714),バルセロナ包囲戦・(1713年-1714年)
La Guardia (Pontevedra),ア・グアルダ
As (periódico),アス・(新聞)
Primera División de España 2004-05,リーガ・エスパニョーラ2004-2005
Oleiros (La Coruña),オレイロス・(スペイン)
Batalla de La Albuera (1811),アルブエラの戦い
Sahara español,スペイン領サハラ
Torneo de Valencia,バレンシア・オープン
Fala (valle de Jálama),ファラ語
Primera División de España 1983-84,リーガ・エスパニョーラ1983-1984
Comarca de Arzúa,コマルカ・デ・アルスーア
Alcubilla de Avellaneda,アルクビージャ・デ・アベジャネーダ
Isla de Cabrera,カブレラ島
Sistema Central,セントラル山系
Sierra de Guadarrama,グアダラマ山脈
Requena (España),レケナ
Aeropuerto de Málaga-Costa del Sol,マラガ＝コスタ・デル・ソル空港
Primera División de España 1991-92,リーガ・エスパニョーラ1991-1992
Primera División de España 1995-96,リーガ・エスパニョーラ1995-1996
Primera División de España 1984-85,リーガ・エスパニョーラ1984-1985
Primera División de España 2012-13,リーガ・エスパニョーラ2012-2013
Primera División de España 1987-88,リーガ・エスパニョーラ1987-1988
Primera División de España 2001-02,リーガ・エスパニョーラ2001-2002
Primera División de España 1993-94,リーガ・エスパニョーラ1993-1994
RTVE,スペイン放送協会
Tranvía de Vitoria,ビトリア＝ガステイス・トラム
Primera División de España 1994-95,リーガ・エスパニョーラ1994-1995
Primera División de España 1981-82,リーガ・エスパニョーラ1981-1982
Real Avilés Industrial C. F.,レアル・アビレスCF
Boimorto (La Coruña),ボイモルト
Selección de balonmano de España,ハンドボールスペイン代表
Primera División de España 1996-97,リーガ・エスパニョーラ1996-1997
Interflora,インターフローラ
Ordizia Rugby Elkartea,オルディシアRE
Stolpersteine,ストルパーシュタイン
Talgo (tren),タルゴ
Villanueva de la Serena,ビジャヌエバ・デ・ラ・セレーナ
Valdeganga,バルデガンガ
Toro de Osborne,オズボーンの雄牛
Tour de Francia 1993,ツール・ド・フランス1993
Euskadi (equipo ciclista 1994-2012),エウスカルテル・エウスカディ
Ascó,アスコー
Baloncesto Fuenlabrada,バロンセスト・フエンラブラダ
Club Baloncesto Gran Canaria,CBグラン・カナリア
Club Joventut Badalona,ホベントゥート・バダローナ
Batalla de Rande,ビーゴ湾の海戦
Provincia de Cuenca,クエンカ県
Reino de Galicia,ガリシア王国
San Cristóbal de La Laguna,サン・クリストバル・デ・ラ・ラグーナ
Bilbao Basket,ビルバオ・バスケット
Club Baloncesto Canarias,CB・1939カナリアス
Provincia de Albacete,アルバセテ県
Fútbol Club Barcelona (baloncesto),FCバルセロナ・バスケット
Laguardia,ラグアルディア
Abadín,アバディン
Cacabelos,カカベーロス
Batalla de Málaga (1704),マラガの海戦
Aeropuerto de Vitoria,ビトリア空港
Real Unión Club,レアル・ウニオン
Club Deportivo Basconia,CDバスコニア
Maján,マハン・(スペイン)
Fuenlabrada,フエンラブラダ
Club Estudiantes de Baloncesto,CBエストゥディアンテス
Covelo,コベーロ
Cercanías de Barcelona (Renfe y FGC),セルカニアス・バルセロナ
Universidad de Salamanca,サラマンカ大学
Ruta europea E5,E05号線
Ducado de Alba de Tormes,アルバ公
Miniestadi,ミニ・エスタディ
Medina del Campo,メディナ・デル・カンポ
Metro de Sevilla,セビリア・メトロ
San Sebastián Gipuzkoa Basket Club,サン・セバスティアン・ギプスコアBC
Real Madrid Baloncesto,レアル・マドリード・バロンセスト
Provincia de Guadalajara,グアダラハラ県
El jardín de las delicias,快楽の園
Saski Baskonia,サスキ・バスコニア
Basket Zaragoza 2002,バスケット・サラゴサ2002
Abla,アブラ・(スペイン)
Albarracín,アルバラシン
Valdés,バルデス・(スペイン)
Guadalupe (España),グアダルーペ・(スペイン)
Ponga,ポンガ
Base Naval de Rota,ロタ海軍基地
Trofeo Pichichi,ピチーチ賞
Universidad de Extremadura,エストレマドゥーラ大学
Provincia de Ciudad Real,シウダー・レアル県
Real Betis Baloncesto,レアル・ベティス・バロンセスト
Provincia de Toledo,トレド県
Provincia de Alicante,アリカンテ県
Trujillo (España),トルヒーリョ・(スペイン)
Primera División de España,プリメーラ・ディビシオン
Club Baloncesto Málaga,CBマラガ
Club Baloncesto Murcia,UCAMムルシアCB
Obradoiro Club de Amigos del Baloncesto,オブラドイロCAB
Bàsquet Manresa,バスケット・マンレサ
Primera División de España 1928-29,リーガ・エスパニョーラ1929
Primera División de España 1929-30,リーガ・エスパニョーラ1929-1930
Abegondo,アベゴンド
Batalla de Baecula,バエクラの戦い
Estadio La Rosaleda,エスタディオ・ラ・ロサレーダ
Asiento (economía),アシエント
Abertis,アベルティス
Batalla de Almansa,アルマンサの戦い
Bermeo,ベルメオ
Martos,マルトス
Tour de Francia 1965,ツール・ド・フランス1965
Gran Premio de Llodio,グラン・プレミオ・デ・リョディオ
Cambados,カンバードス
Provincia de Huesca,ウエスカ県
Provincia de Zaragoza,サラゴサ県
Provincia de Teruel,テルエル県
Valencia Basket,バレンシア・バスケット
Provincia de Valencia,バレンシア県
Provincia de Castellón,カステリョン県
Metro de Bilbao,メトロ・ビルバオ
Unión Deportiva Salamanca,UDサラマンカ
Finisterre (España),フィステーラ
Cordilleras Béticas,ベティコ山系
Castillejo de Robledo,カスティリェホ・デ・ロブレド
Macizo de Montserrat,モンセラート
Durango (España),ドゥランゴ・(スペイン)
Provincia de Palencia,パレンシア県
Úbeda,ウベダ
Air Europa,エア・ヨーロッパ・(スペイン)
Puente de Vizcaya,ビスカヤ橋
Arroba (unidad de masa),アローバ
Aeropuerto de Salamanca,サラマンカ空港
Renaixença,ラナシェンサ
Tratado Sino-Portugués de Pekín,中葡和好通商条約
Burlada,ブルラーダ/ブルラタ
Club Voleibol Haro,CVアーロ
Temporada 2004 del Campeonato Mundial de Supersport,2004年のスーパースポーツ世界選手権
Temporada 2006 del Campeonato Mundial de Supersport,2006年のスーパースポーツ世界選手権
Monedas de euro de España,スペインのユーロ硬貨
Premios Princesa de Asturias,アストゥリアス皇太子賞
Fuerzas Armadas (España),スペイン軍
Grupo Danone,ダノン
Tour de Francia 2006,ツール・ド・フランス2006
Amadeus IT Group,アマデウスITグループ
Palacio de la Música Catalana,カタルーニャ音楽堂
Balaguer,バラゲー
Desgracia de Gijón,ヒホンの恥
Tour de Francia 2007,ツール・ド・フランス2007
Primera División de España 2003-04,リーガ・エスパニョーラ2003-2004
Batalla de Almenar (1710),アルメナラの戦い
Las Médulas,ラス・メドゥラス
Provincia de Burgos,ブルゴス県
Provincia de Soria,ソリア県
Provincia de Ávila,アビラ県
Provincia de Segovia,セゴビア県
Loja (Granada),ロハ・(スペイン)
Torre Glòries,トーレ・アグバール
Club de Fútbol Extremadura,CFエストレマドゥーラ
Plaza de toros Monumental de Barcelona,モヌメンタル闘牛場
Deportes ecuestres en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの馬術競技
Anexo:Tiro en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの射撃競技
Anexo:Natación sincronizada en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのシンクロナイズドスイミング競技
Acciona,アクシオナ
Piñor,ピニョール
Anexo:Natación en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの競泳競技
Telde,テルデ
Adán y Eva (Durero),アダムとイヴ・(デューラーの絵画)
Club Balonmano Ademar León,クルブ・バロンマーノ・アデマル・レオン
Anexo:Bádminton en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのバドミントン競技
Universidad de Oñate,オニャティ大学
Aeropuerto Josep Tarradellas Barcelona-El Prat,バルセロナ＝エル・プラット空港
Adif,アディフ
Casa de Borbón,ブルボン家
Vilasantar,ビラサンタール
Gigantes y cabezudos,巨人と大頭
La vida breve (ópera),はかなき人生
San Antonio Abad,サン・アントニ・ダ・プルマニ
Torres de Santa Cruz,トレス・デ・サンタ・クルス
Universidad de Córdoba (España),コルドバ大学・(スペイン)
SEAT Altea,セアト・アルテア
Villajoyosa,ビジャホヨーサ/ラ・ビラ・ホヨーサ
Laguna de Duero,ラグーナ・デ・ドゥエロ
Monasterio de Yuste,ユステ修道院
Figuerola del Camp,フィガローラ・ダル・カム
Boiro,ボイロ
Atentado de Palma Nova de 2009,2009年パルマノバ爆弾事件
Asociación Mundial de Zoos y Acuarios,世界動物園水族館協会
Gran Telescopio Canarias,カナリア大望遠鏡
Estadio El Sadar,エスタディオ・エル・サダール
Valldemosa,バルデモーサ
Villamuriel de Cerrato,ビリャムリエル・デ・セラート
Sóller,ソーリェル
Outes,オウテス
Serie 130 de Renfe,レンフェ130系
Organización Mundial del Turismo,世界観光機関
Almonte,アルモンテ・(スペイン)
Redondela,レドンデーラ
Iberismo,イベリスモ
Final de la Liga de Campeones de la UEFA 1998-99,UEFAチャンピオンズリーグ・1998-99・決勝
Isla Cristina,イスラ・クリスティナ
Bétera,ベテラ
Bosque del Recuerdo,故人の森
Vuelta a La Rioja,ブエルタ・ア・ラ・リオハ
Ejército del Aire y del Espacio (España),スペイン航空宇宙軍
Volta a Cataluña 2012,カタルーニャ一周2012
IBEX 35,IBEX・35
Anexo:Comarcas de Cataluña,カタルーニャの郡
Chupa Chups,チュッパチャプス
Játiva,シャティバ
La Aldea de San Nicolás,ラ・アルデア・デ・サン・ニコラス
Selección femenina de balonmano de España,ハンドボールスペイン女子代表
Accidente de Metrovalencia de 2006,メトロバレンシア脱線事故
Batalla de Zaragoza,サラゴサの戦い
Distrito del Ensanche,アシャンプラ
Volta a Cataluña 2011,カタルーニャ一周2011
Concierto de Aranjuez,アランフエス協奏曲
Bosníacos,ボシュニャク人
Universidad de Las Palmas de Gran Canaria,ラス・パルマス・デ・グラン・カナリア大学
Escuela de Traductores de Toledo,トレド翻訳学派
Provincia de Valladolid,バリャドリッド県
Villanueva de Arosa,ビラノーバ・デ・アロウサ
Provincia de Salamanca,サラマンカ県
Valle de los Caídos,戦没者の谷
Provincia de Zamora,サモラ県
Provincia de León,レオン県・(スペイン)
Primera División de España 1935-36,リーガ・エスパニョーラ1935-1936
Carballeda de Avia,カルバジェーダ・デ・アビア
Distrito de Ciudad Vieja (Barcelona),シウタ・ベリャ
Alcanar,アルカナー
Leganés,レガネス
Universidad de Castilla-La Mancha,カスティーリャ＝ラ・マンチャ大学
San Javier (España),サン・ハビエル
Imperio español,スペイン帝国
Clásica San Sebastián,クラシカ・サンセバスティアン
Casa de Alba,アルバ家
Estadio de la Cerámica,エスタディオ・デ・ラ・セラミカ
Chiclana de Segura,チクラーナ・デ・セグーラ
Parque nacional de Ordesa y Monte Perdido,オルデサ・イ・モンテ・ペルディード国立公園
Real Zaragoza Deportivo Aragón,デポルティーボ・アラゴン
Primera División de España 1946-47,リーガ・エスパニョーラ1946-1947
Provincia de Almería,アルメリア県
Premio Miguel de Cervantes,セルバンテス賞
Álava,アラバ県
San Fernando (Cádiz),サン・フェルナンド・(カディス県)
Villafranca del Panadés,ビラフランカ・ダル・パナデス
Primera División de España 1934-35,リーガ・エスパニョーラ1934-1935
Primera División de España 1941-42,リーガ・エスパニョーラ1941-1942
Toén,トエン
Inca (Baleares),インカ・(スペイン)
Provincia de Badajoz,バダホス県
Provincia de Barcelona,バルセロナ県
Gran Premio de la Comunidad Valenciana de 2007,2007年のバレンシアグランプリ
Club Voleibol Ciudadela,CVシウタデリャ
Cee,セー・(スペイン)
Provincia de La Coruña,ア・コルーニャ県
Provincia de Granada,グラナダ県・(スペイン)
Provincia de Córdoba (España),コルドバ県・(スペイン)
Provincia de Cáceres,カセレス県
Felanich,ファラニチュ
Catanias,カタニアス
Isla de Alborán,アルボラン島
Torre del Oro,トーレ・デル・オロ
Club Deportivo Castellón,CDカステリョン
Serie 101 de Renfe,レンフェ101系
Estadio de Gran Canaria,エスタディオ・グラン・カナリア
Provincia de Cádiz,カディス県
Villarrobledo,ビリャロブレド
Unió Esportiva Figueres,UEフィゲレス
Fuerza de Gendarmería Europea,欧州国家憲兵隊
Renfe Euromed,ユーロメッド
Alcabón,アルカボン
Ferrocarriles de la Generalidad de Cataluña,カタルーニャ公営鉄道
Desigual,デシグアル
Tour de Francia 1979,ツール・ド・フランス1979
Estadio Verónica Boquete de San Lázaro,エスタディオ・ベロニカ・ボケーテ・デ・サン・ラサロ
Red del Espacio Profundo,ディープスペースネットワーク
Príncipe de Asturias,アストゥリアス公
Comarca de Santiago,コマルカ・デ・サンティアーゴ
Comarca de Tierra de Mellid,コマルカ・ダ・テーラ・デ・メリーデ
Selección de fútbol sala de España,フットサルスペイン代表
Anexo:Municipios de Álava,アラバ県の自治体一覧
Extremadura Unión Deportiva,エストレマドゥーラUD
Fabada,ファバダ
Catedral de Burgos,ブルゴス大聖堂
Abadiano,アバディーニョ
Arteijo,アルテイショ
Frigiliana,フリヒリアーナ
Rianjo,リアンショ
Anexo:Municipios de las Islas Baleares,バレアレス諸島州の自治体一覧
Carabanchel,カラバンチェル
Batalla del cabo Finisterre,フィニステレ岬の海戦
Comarca de Finisterre,コマルカ・デ・フィステーラ
Campeonato Mundial de Atletismo en Pista Cubierta de 2008,2008年世界室内陸上競技選手権大会
El Mercadal,アス・マルカダル
Anexo:Municipios de Guipúzcoa,ギプスコア県の自治体一覧
Casa Vicens,カサ・ビセンス
Elsevier,エルゼビア
Manzaneda (Orense),マンサネーダ
Gran Premio de Cataluña de Motociclismo de 2010,2010年のカタルーニャグランプリ
Estadio José Rico Pérez,エスタディオ・ホセ・リコ・ペレス
Islas Columbretes,コルンブレテス諸島
Recopa de Europa 1994-95,UEFAカップウィナーズカップ・1994-95
Vicedo,オ・ビセード
Gran Premio de Aragón de Motociclismo de 2010,2010年のアラゴングランプリ
El Palmar de Troya,エル・パルマル・デ・トロヤ
Anexo:Municipios de la provincia de Las Palmas,ラス・パルマス県の自治体一覧
Iglesia de San Vicente de Cardona,サン・ビセンス教会
Tercio,テルシオ
Dialecto occidental del euskera,ビスカヤ方言
Anexo:Municipios de Navarra,ナバーラ州の自治体一覧
La Carlota (España),ラ・カルロータ・(スペイン)
Toro (España),トーロ・(スペイン)
Tour de Francia 1969,ツール・ド・フランス1969
Bayona (España),バイヨーナ
Torcal de Antequera,トルカル・デ・アンテケーラ
Tordoya,トルドイア
Mequinenza,メキネンサ
Olite,オリテ
Gran Premio de España de Motociclismo de 2006,2006年のスペイングランプリ・(ロードレース)
Vizcaya,ビスカヤ県
Tercera División de España,テルセーラ・ディビシオン
Binisalem,ビニサレム
Anexo:Fútbol en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのサッカー競技
Patrulla Águila,パトルーラ・アギラ
Real Jaén Club de Fútbol,レアル・ハエン
Gran Premio de Cataluña de Motociclismo de 2003,2003年のカタルーニャグランプリ
Real Monasterio de Santa María de Guadalupe,サンタ・マリア・デ・グアダルーペ王立修道院
Tour de Francia 1977,ツール・ド・フランス1977
Biblioteca Nacional de España,スペイン国立図書館
Ferrocarriles de la Generalidad Valenciana,バレンシア公営鉄道
Club Deportivo Alcoyano,CDアルコヤーノ
Unió Esportiva Lleida,UEリェイダ
Vuelta a Burgos,ブエルタ・ア・ブルゴス
Línea de alta velocidad Córdoba-Málaga,コルドバ・-・マラガ高速鉄道線
Santa Cruz de Bezana,サンタ・クルス・デ・ベサナ
Trofeo Santiago Bernabéu,トロフェオ・サンティアゴ・ベルナベウ
Ruta europea E1,E01号線
Creu de Sant Jordi,サン・ジョルディ十字勲章
Fallas de Valencia,火祭り・(バレンシア)
Templo de Debod,デボー聖堂
Escondite inglés,だるまさんがころんだ
Aeropuerto de Gerona,ジローナ＝コスタ・ブラバ空港
Anexo:Patrimonio de la Humanidad en España,スペインの世界遺産
Puerta de Europa,プエルタ・デ・エウローパ
Picos de Europa,ピコス・デ・エウロパ
La Torre de Esteban Hambrán,ラ・トーレ・デ・エステバン・アンブラン
Tárrega,タラガ
Segunda División B de España,セグンダ・ディビシオンB
Final de la Liga de Campeones de la UEFA 2009-10,UEFAチャンピオンズリーグ・2009-10・決勝
