Ana de la Reguera,アナ・デ・ラ・レゲラ
Halloween (luchador),ハロウィン・(プロレスラー)
Darwin Cerén,ダルウィン・セレン
Roberto Nurse,ロベルト・ヌルセ
Osiel Cárdenas Guillén,オシエル・カルデナス・ギリェン
Maxtla,マシュトラ
Juan Aldama,ファン・アルダマ
Eduardo Verástegui,エドゥアルド・ヴェラステーギ
Dralístico,ドラリスティコ
Jackie Nava,ジャッキー・ナバ
Salvador Cienfuegos,サルバドル・シエンフエゴス
Alexander Callens,アレハンデル・カジェンス
Juan Cordero,フアン・コルデロ
Agustín Arrieta,アグスティン・アリエタ
Carlos Fierro,カルロス・フィエッロ
Carlos Carsolio,カルロス・カルソリオ
Villano V,ビジャノ5号
Mephisto (luchador),メフィスト・(プロレスラー)
Sangre Azteca,サングレ・アステカ
José Abella,ホセ・アベージャ
Máximo (luchador),マキシモ・(プロレスラー)
Mascarita Sagrada,マスカラ・サグラダ
Ángel de Iturbide y Huarte,アンヘル・デ・イトゥルビデ・イ・ウアルテ
Mari Apache,マリー・アパッチェ
Lizmark,リスマルク
Roger Huerta,ロジャー・ウエルタ
Rayo de Jalisco Sr.,ラヨ・デ・ハリスコ
Mario Castañeda,マリオ・カスタネダ
Oro (luchador),オロ・(プロレスラー)
Joe Líder,ジョー・ライダー
Arely Muciño,アレリー・ムシーニョ
Miguel Berchelt,ミゲール・ベルチェット
Ismael Zambada García,イスマエル・サンバダ・ガルシア
Isaác Brizuela,イサーク・ブリスエラ
La Parka,ラ・パルカ
Mr. Niebla,ミステル・ニエブラ
Máscara Año 2000,マスカラ・アニョ・ドスミル
Negro Navarro,ネグロ・ナバーロ
Alfonso Celis Jr.,アルフォンソ・セリスJr.
Eduardo Ávila,エドゥアルド・アビラ
Emil Lewis Holmdahl,エミール・ルイス・ホルムデール
Titán (luchador),ティタン・(プロレスラー)
Fénix (luchador),フェニックス・(プロレスラー)
Rodolfo Pizarro,ロドルフォ・ピサーロ
Irma Sánchez,イルマ・サンチェス
Valeria Luiselli,バレリア・ルイセリ
Omar Treviño Morales,オマール・トレビーニョ・モラレス
Olímpico (luchador),オリンピコ・(プロレスラー)
El Pantera (luchador),エル・パンテーラ
Jorge Páez,ホルヘ・パエス
Rogelio González Pizaña,ロヘリオ・ゴンサレス・ピサーニャ
José María Napoleón,ホセ・マリア・ナポレオン
José Carlos Herrera,ホセ・カルロス・エレーラ
Perro Aguayo Jr.,ペロ・アグアヨ・ジュニア
Pierroth Jr.,ピエロー・ジュニア
Raymundo Capetillo,ライムンド・カペティージョ
Princesa Sugehit,プリンセサ・スヘイ
Francisco Rodríguez Jr.,フランシスコ・ロドリゲス・ジュニア
Marina de Tavira,マリーナ・デ・タビラ
Rey Escorpión (luchador),レイ・エスコルピオン
Ana Lilian de la Macorra,アナ・リリアン・デ・ラ・マコラ
Rayo de Jalisco Jr.,ラヨ・デ・ハリスコ・ジュニア
Ramón Valdés,ラモン・バルデス
Raymundo Beltrán,レイムンド・ベルトラン
Roberto Carlos Juárez,ロベルト・カルロス・フアレス
Regina Torné,レジーナ・トルネ
Humberto Sosa,ウンベルト・ソーサ
La Fiera (luchador),ラ・フィエラ
Rush (luchador),ルーシュ
Rodolfo Cota,ロドルフォ・コタ
Ricardo Domínguez,リカルド・ドミンゲス
Julia Goldani Telles,ジュリア・ゴルダニ・テレス
Julio Ceja (boxeador),フリオ・セハ
Rey Cometa,レイ・コメタ
Alejandra Robles,アレハンドラ・ロブレス
Sexy Star,セクシー・スター
Kavka Shishido,シシド・カフカ
Gran Apache,グラン・アパッチェ
Esmeralda Moreno,エスメラルダ・モレノ
La Máscara (luchador),ラ・マスカラ
Rey Vargas,レイ・バルガス
Mariana Juárez,マリアナ・フアレス
Rocky Santana,ロッキー・サンタナ
Reyna Hamui,レイナ・ハムイ
Juan Francisco Estrada,ファン・フランシスコ・エストラーダ
Sangre Chicana,サングレ・チカナ
Los Perros del Mal,ペロス・デル・マール
Rolando Hinojosa,ローランド・ヒノホサ
Genaro García,ヘナロ・ガルシア
Patricio Elizalde,パト・マチェテ
Ignacio Anaya García,イグナシオ・アナヤ
Irma González (luchadora),イルマ・ゴンザレス
Stuka Jr.,ストゥーカ・ジュニア
Starman (luchador),スターマン・(プロレスラー)
Jorge Rivera Serrano,ホルヘ・リベラ・(プロレスラー)
Héctor Jiménez,エクトル・ヒメネス
Tiffany (luchadora),ティファニー・(プロレスラー)
Teodoro Higuera,テディ・ヒゲーラ
Hirving Lozano,イルビング・ロサノ
Dragon Lee (luchador),ドラゴン・リー・(2代目)
Scorpio Jr.,スコルピオ・ジュニア
Bárbaro Cavernario,バルバロ・カベルナリオ
Tony Ferguson,トニー・ファーガソン
Universo 2000,ウニベルソ・ドスミル
Martha Villalobos,マルタ・ビジャロボス
William Yarbrough,ウィリアム・ヤーブロー
Érick Gutiérrez,エリック・グティエレス
Ángel Blanco (luchador),アンヘル・ブランコ
Ángel Azteca,アンヘル・アステカ
Álvaro Guerrero (actor),アルバロ・ゲレロ
Michel Franco,ミシェル・フランコ
Julio Urías,フリオ・ウリアス
Vinicio Castilla,ビニー・カスティーヤ
Víctor Ulloa (futbolista nacido en 1992),ビクトル・ウジョア
Villano IV,ビジャノ4号
Adan Canto,エイダン・カント
Gabriel Luna,ガブリエル・ルナ
Omar Govea,オマル・ゴベア
Vanessa Zamora,バネッサ・サモラ
Orbelín Pineda,オルベリン・ピネダ
Henry Martín,エンリ・マルティン
El Hijo de Dr. Wagner Jr.,イホ・デ・ドクトル・ワグナー・ジュニア
Carlos Salcedo,カルロス・サルセド
Nati Cano,ナティ・カノ
Flamita,フラミータ
José de Alcíbar,ホセ・デ・アルシバル
Eduardo Aguirre (futbolista),エドゥアルド・アギーレ
Jorge Bustamante Fernández,ホルヘ・ブスタマンテ
César Arturo Ramos,セサル・アルトゥーロ・ラモス
Jesús Gallardo,ヘスス・ガジャルド
Alexa Grasso,アレクサ・グラッソ
Irene Aldana,アイリーン・アルダナ
Daniel Armando Ríos,ダニエル・アルマンド・リオス
Yair Rodríguez,ヤイール・ロドリゲス
Uriel Antuna,ウリエル・アントゥナ
César Montes,セサル・モンテス
Pentagón Jr.,ペンタゴン・ジュニア・(プロレスラー)
Sebastián Córdova,セバスティアン・コルドバ
Alexis Vega,エルネスト・アレクシス・ベガ・ロハス
Patricio O'Ward,パトリシオ・オワード
Brandon Vazquez,ブランドン・バスケス
Angel Garza,エンジェル・ガルサ
Jesse González,ジェシー・ゴンザレス
Jairo Torres,ハイロ・トーレス
Gerardo Arteaga,ヘラルド・アルテアガ
Dharius,Dharius
Jorge Sánchez Ramos,ホルヘ・サンチェス
Kingo Nonaka,野中金吾
Roberto Alvarado,ロベルト・アルバラード
Luis Ricardo Reyes,ルイス・リカルド・レジェス
La Bestia del Ring,ピエロー・(プロレスラー)
Edson Álvarez,エドソン・アルバレス
Donovan Carrillo,ドノバン・カリージョ
Aczino,アチノ
Samuel (cantante),サムエル・(歌手)
Brandon Moreno,ブランドン・モレノ
Christian Nodal,クリスチャン・ノーダル
Alonso Ruizpalacios,アロンソ・ルイスパラシオス
Luis Gerardo Chávez,ルイス・チャベス
Nicolás Ibáñez,ニコラス・イバニェス
Jonathan González,ホナタン・アレクサンデル・ゴンサレス・メンドーサ
José Juan Macías,ホセ・フアン・マシアス
Manuel García Rulfo,マヌエル・ガルシア＝ルルフォ
Santiago Giménez,サンティアゴ・ヒメネス
Emanuel Navarrete,エマヌエル・ナバレッテ
Roberto de la Rosa,ロベルト・デ・ラ・ロサ
Jesús Alfredo Guzmán Salazar,ヘスス・アルフレド・グスマン・サラザール
Luis Nery,ルイス・ネリ
Nemesio Oseguera Cervantes,ネメシオ・オセゲラ・セルバンテス
Juan Toscano-Anderson,ホワン・トスカーノ＝アンダーソン
Álex Verdugo,アレックス・ベルドゥーゴ
Luis Urías,ルイス・ウリアス
Andrés Iniestra,アンドレス・イニエストラ
Diego Lainez Leyva,ディエゴ・ライネス
Johan Vásquez (futbolista mexicano),ヨハン・バスケス
Julián Araujo,ジュリアン・アラウージョ
Joey Meneses,ジョーイ・メネセス
Rosalinda González Valencia,ロザリンダ・ゴンサレス・バレンシア
Alejandra Jiménez (boxeadora),アレハンドラ・ヒメネス
Jaime Munguía,ハイメ・ムンギア
Kevin Álvarez (futbolista nacido en 1999),ケビン・アルバレス
Yalitza Aparicio,ヤリッツァ・アパリシオ
El Hijo del Vikingo,エル・イホ・デル・ビキンゴ
Luka Romero,ルカ・ロメロ
Hugo López-Gatell,ヒューゴ・ロペス＝ゲーテル・ラミレス
Charly Rodríguez,カルロス・アルベルト・ロドリゲス・ゴメス
Efraín Álvarez,エフライン・アルバレス
Fernanda Melchor,フェルナンダ・メルチョール
Randy Arozarena,ランディ・アロサレーナ
Jesús Seade,ヘスス・セアデ
Marcelo Flores,マルセロ・フローレス
Iván Archivaldo Guzmán Salazar,イヴァン・アルヒヴァルド・グスマン・サラザール
Ovidio Guzmán López,オビディオ・グスマン
Noriteru Fukushima,福嶌教輝
Iñaki Godoy,イニャキ・ゴドイ
Víctor González (beisbolista),ビクトル・ゴンサレス
Cade Cowell,ケイド・カウエル
Luis Romo,ルイス・ロモ
Julio César Martínez,フリオ・セサール・マルティネス
Enrique Cabrera (artista),エンリケ・カブレラ
Cristo Fernández,クリスト・フェルナンデス
Alejandro Rejón Huchin,アレハンドロ・レジョン・フーチン
Rafael Espinoza,ラファエル・エスピノサ
Yulisa León,ジェニファー・カントゥ・イグレシアス
María Fernanda Castro Maya,マリア・フェルナンダ・カストロ・マヤ
