반기문,潘基文
김동성 (쇼트트랙 선수),金东圣
이영덕 (1926년),李榮德
고경준,高敬竣
고명진,高明振
고요한,高约翰
박성웅,朴星雄
고광민,高光民
찬열,燦烈
채유정,蔡侑玎
박병호 (야구 선수),朴炳鎬
박범신,朴範信
박정은 (농구인),朴正恩
정재은 (태권도 선수),鄭在恩·(運動員)
백일섭,白一燮
채병덕,蔡秉德
안병범 (1890년),安秉範
백인엽,白仁燁
이형근,李亨根
이응준 (군인),李應俊
권일 (1911년),權逸
이명진,李命進
김근태 (1947년),金槿泰
김을동,金乙東
허가윤,許嘉允
조권,趙權
가인,孙佳人
김준 (배우),金俊
고준희,高準熹
송창의 (배우),宋昶儀
윤석영,尹錫榮
황정음,黄正音
류덕환,柳德煥
하석진,河錫辰
김진우 (배우),金鎮祐
윤영숙,尹映淑
김화순,金和顺
권창훈,权昶勋
김경순,金京纯
정명희 (농구인),郑明姬
장지원 (태권도 선수),张知媛
이수경 (1982년),李水京
김은숙 (농구인),金银淑·(篮球运动员)
박민지,朴旻智
이혜진 (자전거 경기 선수),李惠珍·(自行车运动员)
이형민 (프로듀서),李亨民
이현승 (야구인),李賢承
김영희 (농구인),金英姬
이대명,李大明·(射击运动员)
박영규 (배우),朴英奎
박원상,朴元相
박태수 (축구 선수),朴太洙
박태하,朴泰夏
박새별,朴新星
박찬숙 (농구인),朴赞淑
이미자 (농구 선수),李美子
문경자,文敬子
성정아,成贞儿
유병수,俞炳守
김자옥,金慈玉
보람,全寶藍
정유미 (1983년),鄭裕美
신정환,申廷煥
이유리 (배우),李幼梨
엄기준,嚴基俊
리춘위,李春郁
이아름 (1994년),韓雅凜
이지훈 (연예인),李志勳·(1979年)
오윤아,吳允兒
최다니엘,崔丹尼尔
조웅천,曹雄天
박종훈 (체조 선수),朴锺勋
장은경,张银景
이형숙,李亨淑
전월선 (성악가),田月仙
이주형 (체조 선수),李周炯
오원빈,吳元斌
전기영,全已盈
한지민,韓志旼
김우중,金宇中
유혜리,俞惠利
현우,顯祐
이아현,李雅賢
신신애,申信愛
하주희,河珠熙
홍수아,洪秀兒
조해일,趙海一
이경규,李敬揆
장미희,張美姬
윤치원,尹致远
이라진,李罗振
이미경 (핸드볼 선수),李美卿
이민진 (바둑 기사),李玟真
이미선 (농구 선수),李美善
강민혁 (가수),姜敏赫
유재석,劉在錫
이요원,李枖原
윤상현 (1973년생 배우),尹相鉉
김소희 (쇼트트랙 선수),金昭希·(速滑运动员)
이상일 (축구 선수),李相一
백한성,白漢成
이신미,李信美
김은숙 (작가),金銀淑
신은정,申恩廷
노희경,盧熙京
나현희,羅賢姬
안병만,安秉萬
문예봉,文艺峰
이동원 (1926년),李東元
김동진 (작곡가),金東振
이지남,李指南
이장무,李長茂
이종애,李宗爱
이종호 (축구 선수),李宗浩
피천득,皮千得
김흥수 (배우),金興銖
박영철 (1954년),朴英哲
김필립,金必立
김보아,金甫娥
김영란 (배우),金英蘭
김지숙 (1956년),金知淑
김지호 (배우),金志祜
김조순 (양궁 선수),金调顺
유옥렬,柳玉烈
카트린 강,康瑟琪
최양일,崔洋一
박충균,朴忠均
최성원 (당구 선수),崔成源
최윤 (소설가),崔允
송혜교,宋慧喬
김성민 (배우),金成珉
이적 (가수),李笛
이상 (작가),李箱
장진 (영화 감독),張鎮·(韓國導演)
김관진 (군인),金宽镇
곽윤기,郭潤起
윤빛가람,尹比加兰
조해리,赵海利
이준환,李浚焕
조재기,赵在基
조인철 (유도 선수),赵麟彻
채시라,蔡時那
김갑수 (배우),金甲洙
김여진,金麗珍
박시후,朴施厚
이미숙,李美淑
황인성 (1926년),黄寅性
이필상,李弼商
천둥 (1990년),天動
한승주,韓昇洲
이한기,李汉基
현승종,玄勝鍾
박수아,Lizzy·(韓國歌手)
이기수 (1945년),李基秀
어윤대,鱼允大
현상윤,玄相允
이현재 (1929년),李賢宰
김준형 (배우),金俊馨
진의종,陳懿鍾
진대제,陳大濟
이소희 (배드민턴 선수),李紹希
김유정 (배우),金裕貞·(演員)
한정수,韓政秀
백홍석 (바둑 기사),白洪淅
아우미르 로페스 지 루나,艾美亞·盧比斯·迪·路拿
조재현,曹在顯
이준용 (1870년),李埈镕
최정민 (1930년),崔貞敏
김두한,金斗漢
김태영 (축구인),金泰映
여진구,呂珍九
구본무,具本茂
김태정 (1957년),唐龍·(演員)
김경률 (당구 선수),金京律
박경두,朴倞杜
조태용,赵太庸
남지현 (1990년),南智賢
임달영,林達永
오연서,吳漣序
이다해,李多海
전진 (가수),前進·(藝人)
이세돌,李世乭
조성하 (배우),趙成夏
홍종현 (배우),洪宗玄
이종석 (배우),李鐘奭
이특영,李特英
이성민 (배우),李聖旻
최애영,崔爱英
최불암,崔佛岩
최충식,崔忠植
최진혁,崔振赫
이주현 (1976년),李周炫
리키 김,瑞奇·李耐利
미료,趙美慧
나얼,Naul
손성윤,孫星允
남성진,南成鎮
장성우,張成宇
이다희 (배우),李多熙·(演員)
오승은 (배우),吳勝恩
최지현 (쇼트트랙 선수),崔智贤
최주환,崔周煥
최정한,崔正漢
임상협,林尚協
유룡,劉龍·(韓國)
루벤 베르넌시오,魯賓·貝隆斯奧
롭 레프스나이더,羅布·瑞福斯奈德
서영주,徐榮柱
류승범,柳承範
윤민수,尹敏洙
류태준,柳太準
산이,San·E
서상민,徐相民
서정진 (축구 선수),徐訂晉
최민환,崔敏煥
최경환 (1955년),崔炅煥
송승현,宋承炫
정효정,政孝正
김사랑 (배드민턴 선수),金沙朗
이문식,李文植
이용 (1986년),李镕
이영은 (1982년),李令恩
이윤섭,李允燮
박해진,朴海鎮
김정남 (축구인),金正男·(足球运动员)
김재원 (배우),金載沅
백선엽,白善烨
강기갑,姜基甲
송승헌,宋承憲
스테파니 (대한민국의 가수),天舞Stephanie
조셉 칸,喬瑟夫·坎恩
윤기원 (축구 선수),尹基源
원성진,元晟溱
앤디 (가수),李先鎬
정해원 (축구인),丁海遠
장현승,張賢勝
이장우 (배우),李章宇
정우연 (배우),柳孝榮
김지석 (바둑 기사),金志錫
신동빈,辛東彬
심재원 (축구인),沈载源
김성일 (쇼트트랙 선수),金成一
신형민,辛炯珉
김용건,金容建
이에리사,李艾莉萨
정길옥,郑吉玉
이성재 (바둑 기사),李圣宰
이지애,李智愛
최우혁 (1985년),崔宇革
최윤아 (농구 선수),崔轮我
오재원,吳載元
이숭용,李崇勇
신정락,申政洛
신현준 (군인),申鉉俊
오선진,吳先鎮
심이영,沈李英
오주원,吳周原
김주찬,金周燦
김영광 (배우),金英光
정경미 (유도 선수),郑敬美
원우영,元禹宁
윤진희,尹真熙
이태리 (배우),李泰利
이대훈,李大勋
최병철,崔秉哲
김형욱,金炯旭
김형태 (삽화가),金亨泰
춘성 (1891년),春城·(朝鮮人)
성시백 (쇼트트랙 선수),成始柏
이창환 (양궁 선수),李昌焕·(射箭运动员)
김완 (탁구 선수),金浣
손상필,孫相弼
김소희 (태권도 선수),金昭熙
이재록,李载禄
박규정 (축구인),朴奎禎
데프콘 (가수),Defconn
장도원,張道元
김용옥,金容沃
김동윤 (1980년),金東允
김수현 (작가),金秀賢·(作家)
강경준,姜景晙
김정태 (배우),金正泰
김정현 (1976년),金正鉉
김영호 (배우),金英浩
김찬우 (배우),金燦宇
김영현 (작가),金榮昡
김연주 (배우),金研周
김정난,金正蘭
김영환 (1963년),金永焕
김남진,金男珍
김미경 (배우),金美卿
김예령,金藝玲
최윤칠,崔仑七
김온아,金溫兒
김판곤,金判坤
숭산,崇山行願
이준호 (쇼트트랙 선수),李准镐
송영규,宋英奎
김유미 (1979년),金有美
테디 (음악가),泰迪·朴
지코,Zico·(歌手)
탁정임,卓贞任
한채아,韓彩雅
윤현,尹铉
더콰이엇,The·Quiett
주요한,朱耀翰
신원호 (1991년),申原昊
신새봄,申赛范
신준식,申准植
김영훈 (배우),金永勳
김성수 (1973년),金聖洙
이주연 (1987년),李周妍
김태영 (1949년),金泰榮
유영진 (작곡가),劉英振
이용재 (축구 선수),李勇載
최현주 (양궁 선수),崔玄姝
류화영,柳和榮
김새론,金賽綸
김정야,金正也
한순철,韩淳哲
전주원 (농구인),钱周媛
정의선,郑义宣
전칠성 (권투 선수),全七星
박서준,朴敘俊
손동운,孫東雲
성시연,成沶妍
신보라,申寶拉
김수지 (다이빙 선수),金守志
김수미,金守美
정은채,鄭恩彩
정대현 (1993년),鄭大賢
임슬옹,林瑟雍
정현숙 (탁구 선수),郑贤淑
정아,廷娥
최영희 (1921년),崔榮喜
황지현,黃智賢·(1983年)
김선빈 (야구 선수),金善彬
황수정 (배우),黃秀貞
송경택,宋炅泽
황인영,黃仁英
황보라,黃寶羅
송은범,宋恩範
손창민,孫暢敏
손석희,孫石熙
이재우 (1981년),李在宇
손아섭,孫兒葉
서남표,徐南杓
서영주 (육상 선수),徐永珠
진중권,陳重權
김현숙 (1978년),金賢淑
민지영,閔智英
한고은,韓高恩
김현수 (2000년),金賢秀
고영구,高泳耇
고이건,高尹厚
송신도,宋神道
한혜숙,韓惠淑
고세원,高世元
태미,金景淑
한다민,韓多敏
강세정,康世丁
양정모,梁正模
남승룡,南昇龙
블라디미르 요반치치,弗拉基米尔·约万西奇
장진영 (배우),張真英
에일리,李艺真
김득구,金得九
김성민 (유도 선수),金成民
김우빈,金宇彬
김준엽,金俊烨
윤진이,尹真伊
성우리,中村友理
아라이 히로후미,新井浩文
소유 (가수),韶宥
김보름,金寶凜·(競速滑冰運動員)
훙톈밍,洪天明
권오현 (1952년),权五铉
유흥식,俞興植
정성숙,郑成淑
김창숙 (1949년),金昌淑
강상중,姜尚中
김민수 (가수),金敏秀
김혜옥,金惠玉
김성은 (1983년),金成恩
조민기,趙敏基
한상훈 (바둑 기사),韩尚勋
김빈우,金彬宇
유소연,柳箫然
김애경,金愛敬
윤보라,尹寶拉
김지영 (1974년),金志映·(1974年)
김규완 (작가),金圭莞
김희정 (1970년),金姬貞
김보라 (배우),金寶羅·(演員)
김준연,金俊淵
김효진 (희극인),金孝珍·(1976年)
이성열 (가수),李成烈
김윤경 (1976년),金允慶
한수연,韓秀妍
김영애,金姈愛
김선경 (1968년),金宣敬
조혜진 (1990년),趙慧真
김리나 (1985년),金利娜·(演員)
박동선 (1935년),朴東宣
양달식,梁达植
왕선재,王善财
박리혜,朴梨惠
박근령,朴槿姈
원희룡,元喜龍
원미경,元美京
장원준 (야구인),張元準
박지만,朴志晚
원혜경,元蕙敬
이은경 (1972년생 양궁 선수),李银敬
김차연 (핸드볼 선수),金且妍
문필희,文弼姬
김재엽,金载烨
이원 (1962년),李源·(1962年)
알렉산더 (가수),亞歷山大·(歌手)
오세종,吴世种
허진호,許秦豪
김정환 (펜싱 선수),金政焕
조윤정 (양궁 선수),赵允顶
성유리,成宥利
현쥬니,玄朱妮
허순영,許順榮
이민희 (핸드볼 선수),李珉姬
최임정,崔任貞
배민희 (핸드볼 선수),裴珉姬
이공주 (핸드볼 선수),李公主
임오경,林五卿
김진호 (양궁 선수),金珍浩
구본길,具本佶
오승환,吳昇桓
김영호 (펜싱 선수),金永浩
이승연,李丞涓
주니엘,Juniel
정수영 (배우),鄭秀英
김세아,金世雅
오연수,吳娟受
정소영 (배우),鄭少英
최민호 (유도 선수),崔敏浩
김가연,金佳嬿
김인영 (작가),金仁英
김유석,金庾石
박종규 (1930년),朴钟圭
고낙춘,高乐春
고수희,高水熙
안영수 (권투 선수),安荣水
이솜,李絮
지오,G.O
차화연,車和娟
차현정,車賢靜
정재순,鄭在順
정다혜 (1985년),鄭多惠·(1985年)
정애리,鄭愛利
변우민,卞宇珉
차예련,車藝蓮
정영숙,鄭永淑
정성환 (배우),鄭盛煥
정다빈 (2000년),鄭多彬·(2000年)
정연주 (배우),鄭妍周
정선경,鄭善敬
정준 (배우),鄭俊
허세욱 (1934년),許世旭
조연우 (배우),趙軟祐
소이현,蘇怡賢
소유진,蘇有珍
조상기,趙相紀
조은숙,趙銀淑
루시아누 발렌치 지 지우스,盧斯安奴·華倫迪·迪·迪烏斯
조안 (배우),趙安·(韓國藝人)
설수진,薛守真
양승태,梁承泰
양수진 (근대5종 선수),梁水真
양신영,梁信英
여갑순,吕甲顺
김종현 (사격 선수),金鐘鉉·(運動員)
임주환,林周煥
최은경 (쇼트트랙 선수),崔恩景
정은지,鄭恩地
의친왕,李堈
진갑용,陳甲龍
여홍철,吕洪哲
조성모,曹誠模
조현재 (배우),趙顯宰
오은석,吴恩锡
큐리,李居麗
이영아 (배우),李英雅
클라라 (배우),李成敏
한유섬,韓萸暹
박완수,朴完洙
김규환 (1921년),金圭煥
유아라,柳娥羅
유다인 (배우),劉多仁
유진선 (테니스 선수),俞镇先
유한준 (야구인),柳漢俊
하지민,河知民
추소영,秋素英
한무숙,韩戊淑
추자현,秋瓷炫
채상우,蔡相宇
백도빈,白道斌
우희진,禹喜珍
국지연,菊智妍
조민수 (배우),趙敏修
백설희,白雪姬·(歌手)
한민구,韓民求
한재웅,韓載雄
한혜진 (모델),韓惠珍·(模特兒)
한희순,韓熙順
한현숙,韩玄淑
한현희,韓賢熙
한강 (소설가),韩江·(作家)
현우성,玄宇成
홍유경,洪瑜暻
홍여진,洪如真
정희철,熹哲
홍지민,洪智敏
반효정,潘曉靜
박형식,朴炯植
심태윤,沈泰允
신다은,申多恩
황금희,池成媛
윤명준,尹明準
윤주상,尹柱相
유설아,俞雪婀
지수원,池秀媛
심지호,沈志浩
윤종빈,尹鍾彬·(韓國導演)
한지혜,韓智慧
조윤희,趙胤熙
윤시윤,尹施允
김동욱 (배우),金東旭
하하,Haha
전민서,全敏書
정은주 (쇼트트랙 선수),郑恩朱
박일갑,朴日甲
고현정,高賢廷
강동원,姜棟元
한다감,韓多感
윤승아,尹承雅
아유미 (연예인),伊藤由美
이준혁 (1984년),李浚赫
염수정,廉洙政
라경민,羅景民
이광수 (배우),李光洙·(演員)
이종현 (가수),李宗泫
노민우,魯敏宇
스티페 라피치,斯泰普·拉皮奇
우영,張祐榮
유시민,柳時敏
준호,李俊昊
김규종,金奎鐘
임권택,林權澤
신승찬,申昇瓚
강제규,姜帝圭
선데이 (가수),智声Sunday
윤보미,尹普美
김잔디,金珍迪·(柔道运动员)
허민호,许敏镐
홍성식,洪成湜
여호민,余鎬民
홍준표,洪準杓
홍순영 (외교관),洪淳瑛
곽대성,郭大成·(柔道运动员)
권오중,權五重
현숙희 (유도 선수),玄淑姬
권해효,權海驍
장용 (배우),張勇·(演員)
권율 (배우),權律
엘 (가수),金明洙
임지규,林智圭
유자명,柳子明
양정아,梁瀞疋
이도은,李葉璽
이현우 (1966년),李鉉雨
임성한,林成漢
이상엽,李相燁
임성민 (1969년),林性珉
유지광,柳志光
장광,張光·(演員)
이숙자,李淑子
임소영,林素英
임지은,林志恩
유인영,柳仁英
유희열,柳喜烈
유영재 (1994년),劉永才·(韓國藝人)
이민영 (배우),李敏英
이시언 (배우),李施彥
이한동,李汉东
이해리,李海利
이창민 (가수),李昶旻
이혜영 (1962년),李慧英·(1962年)
윤신영,尹信榮
이근안,李根安
조한승,赵汉乘
최나연,崔蘿蓮
정몽구,郑梦九
조용필,赵容弼
김원기 (레슬링 선수),金原基
이수영,李秀英·(韓國藝人)
최강희 (축구인),崔康熙
김신욱,金信煜
한왕용,韓王龍
조준호 (유도 선수),曹準好
문희준,文熙俊
정선용,郑善溶
황대성,黃大城·(足球員)
박유향,詩音·(歌手)
박정수 (1987년),朴庭秀
김현주 (1977년),金賢珠
가희,嘉熙·(歌手)
최철한,崔哲瀚
이현우 (1993년),李玹雨
정우성,鄭雨盛
김석훈 (1972년),金錫勛
김정주 (권투 선수),金贞柱
윤영선 (바둑 기사),尹暎善
주형준,朱炯俊
유세윤,俞世潤
송재정,宋在貞
황현선,黄铉善
허경민,許敬民
문희정,文熙貞
심형탁,沈亨倬
황정오,黄正五
이유비,李侑菲
이은성 (배우),李恩誠
이규한 (배우),李奎翰
이재황 (배우),李在煌
이효춘,李孝春
이혜숙,李惠淑
이혜은,李慧殷
이정재 (1917년),李丁载
문형인,文亨尹
박해미,朴海美
박희태,朴熺太
박슬기 (방송인),朴瑟琪
박진희 (배우),朴真熙
박재정 (배우),朴載正
박정숙 (1970년),朴正淑
박소현 (배우),朴素賢
박시은 (1980년),朴詩恩
박충훈,朴忠勳
박광현 (배우),朴珖賢
박상연,朴尚淵
박진성 (배우),朴真星
박탐희,朴潭熙
박연선,朴妍善
박근형,朴根瀅
박정철,朴正哲
박상면 (배우),朴相勉
방은희,方銀姬
박원숙,朴元淑
윤미경 (만화가),尹美庚
윤영선 (1988년),尹榮善
하민우,旼佑
윤병세,尹炳世
박예진,朴藝珍
이시영 (배우),李施昤
오지호 (배우),吳智昊
현영,賢榮
김승우,金勝友
김재욱 (배우),金材昱
서봉수,徐奉洙
브라이언 (가수),朱玟奎
채연 (1978년),蔡妍
황지만,黄智万
박성환 (배드민턴 선수),朴成奐
우장춘,禹長春
K (가수),K·(歌手)
주진모 (1974년),朱鎮模·(1974年)
최경주,崔京周
최종환 (배우),崔鐘煥
이선희,李仙姬
최은숙 (펜싱 선수),崔恩淑
장동직,張東稷
김동현 (봅슬레이 선수),金东炫·(雪车运动员)
신정자,申贞子
고경표,高庚杓
인재근,印在謹
황선희,黃善熙
경수진,景收真
김동호 (배우),金東浩·(演員)
이용규 (야구 선수),李容圭
강민호,姜珉鎬
강지환,姜至奐
박재홍 (야구인),朴栽弘
이석 (1941년),李錫·(1941年)
제이민 (1988년),J-Min
박경완,朴勍完
김수경 (야구인),金守经
정가은,鄭佳恩
전지수,全志秀
민경갑,闵庚甲
최익현,崔益鉉
권기옥,权基玉
추신수,秋信守
김민교 (배우),金民教
이특,利特
박용우 (배우),朴埇佑
강래연,姜萊燕
강은경 (작가),姜銀慶
정주현,鄭周賢
공현주,孔賢珠
안선영,安善英
손태영,孫兌迎
안재모,安在模
손지훈,孫智勳
공형진,孔炯軫
안연홍,安妍紅
김미정 (1971년생 유도 선수),金美廷
김청태,金清泰
김복주,金福柱
김장수 (1948년),金章洙
김국영,金國榮
김숙,金淑
김정욱 (1980년),金正旭
김희원 (배우),金熙元·(演員)
우지해,智海·(Girl's·Day)
김수연 (배우),金秀妍
진혁 (배우),陳赫·(韓國演員)
한보름,韓寶凜
김명완 (바둑 기사),金明完
석하정,石賀淨
유서진,柳瑞真
양하은,梁夏銀
찬희,姜澯熙
유하준,劉河俊
김태형 (1988년 배우),金太亨
강민경,姜珉炅
라비 (1993년),金元植
박승현 (프로게이머),朴胜贤
강영중,姜榮中
송미진,宋米秦
오인혜,吳仁惠
오종혁,吳鐘赫
천우희,千玗嬉
오광록,吳光祿
이보람 (가수),李寶藍
윤미라,尹美羅
이광재 (정치인),李光宰
윤제균,尹齊均
김영철 (1976년),金泳澈
강재섭,姜在涉
김선아,金宣兒
배종옥,裴宗玉
서향순,徐香顺
유아인,劉亞仁
김정화 (1983년),金晶和
MC몽,MC夢
이승호 (1981년),李承浩
정대현 (1978년),郑大炫
황정리,黃正利
박은혜 (배우),朴恩惠
간미연,簡美妍
전혜빈,全慧彬
이재진 (배드민턴 선수),李在珍
유이 (배우),Uie
차인표,車仁杓
여운계,呂運計
이다윗,李大衛·(演員)
김슬기 (배우),金瑟琪
사이먼 도미닉,Simon·D
박인비,朴仁妃
채영인,蔡煐引
김지원 (배우),金智媛
김홍일 (1898년),金弘壹
장종훈,張鍾勳
전준우,田峻玗
김호진 (배우),金浩鎮
이희호,李姬镐
김환희,金焕熙
김홍일 (1948년),金弘一·(1948年)
김혜진 (1975년),金利媛
전형필,全鎣弼
차수연,車秀妍
박정상,朴正祥
정한용,鄭漢溶
박지은 (바둑 기사),朴鋕恩
성병숙,成炳淑
장현성,張鉉誠
정욱 (1938년),鄭旭·(1938年)
연지승,延美珠
최두선,崔斗善
최지나,崔智娜
최란,崔蘭
서유정,徐有晶
문지윤,文智允
방일영,方一荣
심은하,沈銀河
송승준,宋勝準
송진우 (야구인),宋津宇
임창용,林昌勇
김현중,金賢重
김기태 (1969년),金杞泰
윤정희 (1980년),尹晶喜
윤아정,尹兒貞
최유정 (배우),崔宥貞
송지선,宋智善
윤세아,尹世雅
윤현숙,尹賢淑
송지나,宋智娜
송용태,宋龙台
윤해영 (배우),尹海英
윤동환,尹東煥
송은이,宋恩伊
송선미,宋善美
김정은 (배우),金廷恩
홍정호 (축구 선수),洪正好
김인 (바둑 기사),金寅
오진혁,吳真爀
박영훈 (바둑 기사),朴永训
이민혁 (가수),李旼赫
이창환 (배우),李昌焕
이한위,李漢偉
이학인,李學仁
이재정 (1944년),李在禎
이영훈 (경제학자),李榮薰
이우정 (1923년),李愚貞
이재용 (배우),李在勇
이원석 (1986년),李沅錫
이순자,李顺子
이윤형 (1979년),李尹馨
이승윤 (정치인),李承潤
채림,蔡琳
루나 (가수),朴善英
전병관,全炳宽
심형래,沈炯來
변천사,边千思
김창준 (1939년),金昌準
강지섭,姜志燮
강성연,姜成妍
강부자,姜富子
송명섭,宋明燮
강성민 (배우),康星民
조성희 (영화 감독),趙聖熙
신지아,申知兒
황동혁,黄东赫
최성준 (1983년),崔星俊
조보아,曹寶兒
조형기,趙炯基
김이영,金伊英
왕희경,王喜敬
이희진 (배우),李姬珍
김남순,金南顺
이경근 (유도 선수),李璟根
정겨운,鄭糠雲
이현재 (1988년),李鉉在
김덕룡,金德龙
김동석 (1990년),金東碩
김도산,金陶山
김동영 (배우),金東英
손민한,孙敏汉
김현곤 (쇼트트랙 선수),金炫坤
송재림,宋再臨
안서현,安瑞賢
임현식,林玄植
홍성지 (바둑 기사),洪性志
정바라,郑巴拉
정다영,鄭多英
장동우,張東雨
변정민,卞貞敏
강은비,姜恩菲
염정아,廉晶雅
김문수 (배드민턴 선수),金文秀
김병현,金炳賢
조병옥,趙炳玉
김태균 (1982년),金泰均·(1982年)
강우석,康祐碩
유창혁,刘昌赫
조갑제,趙甲濟
휘성,輝晟
박명수,朴明洙
유지태,劉智泰
양기탁,梁起鐸
김대은,金大恩·(體操運動員)
백지영,白智榮
장외룡,张外龙
유진 (가수),柳真
박정아 (연예인),朴貞雅
채정안,蔡貞安
정두언,鄭斗彥
전광우,全光宇
주성하,朱成夏
이선균,李善均
최효진 (축구인),崔孝鎮
지석진,池錫辰
손호영,孫昊永
양동근,梁東根
전광렬,田光烈·(韓國)
김치우,金致佑
백예린,白艺潾
문현정 (탁구 선수),文炫晶
이혜영 (1971년),李惠英·(1971年)
엔 (1990년),N·(歌手)
강정화,姜晶華
안재현,安宰賢
이진성 (가수),李鎮成
김보형,金保亨
이강 (축구 선수),李强·(1992年)
박시현 (가수),朴是炫
조윤서,趙尹瑞
박나래 (가수),朴娜萊
박주미,朴柱美
황성웅 (배우),黃成雄
이수혁 (1988년),李洙赫
장하오저,張鎬哲
이경진,李鏡珍
이영유,李怜惟
이경희 (작가),李慶熙
장경아,張京雅
이형철 (배우),李炯喆
천성일 (작가),千成日
오정해,吳貞孩
천영래,千宰昊
노재현,卢载铉
오승현,吳承賢
여운홍,呂運弘
오재무,吳在武
오건우 (배우),吴建宇
강신일,姜信一
노재봉,卢在凤
변정수,卞貞秀
오대규,吳大奎
오주은,吳珠恩
오지은 (배우),吳知恩
오현경 (1970년),吳賢慶
양재호,梁宰豪
문준영,文俊英
리세 (가수),權梨世
전원주,全元珠
전혜진 (1976년),田慧振
임영신,任永信
임병기,任秉基
전수경,全秀景
백수호,白承桓
나혜미,羅惠美
정수일,鄭守一
정의신,鄭義信
정세균,丁世均
김민석 (정치인),金民錫
김민기 (정치인),金敏基
조정은 (1996년),趙廷恩
김명곤,金明坤
그리 (연예인),MC·Gree
김민경 (희극인),金敏璟
이지아,李智雅
김완선,金完宣
신승훈,申昇勳
신현준 (배우),申鉉濬
정준호,鄭俊鎬
김동주 (야구인),金东柱
최형우 (야구 선수),崔炯宇
하수빈,河秀彬
채민서,蔡敏瑞
추미애,秋美愛
채병용,蔡秉龍
김민식 (1989년),金珉植
옥주현,玉珠鉉
김지수 (1972년),金志秀
홍수현,洪洙賢
차승원,車勝元
윤석민 (1986년),尹錫珉
박찬호,朴贊浩
박지윤 (가수),朴志胤
김병춘,金炳春
김병기 (배우),金柄基
김보미 (1987년),金甫美·(1987年)
김범수 (기업인),金範洙·(企業家)
남경필,南景弼
이대호,李大浩
김상경,金相庆
정몽준,鄭夢準
정명석,鄭明析
이진영 (1980년),李晋暎
황보 (1980년),皇甫惠貞
설경구,薛景求
김명민,金明民
구대성,具臺晟
정동환,鄭東煥
나영석,羅暎錫
남경민 (배우),南慶敏
조순,趙淳
나경은,罗京恩
김희정 (1992년),金希庭
최종훈 (1990년),崔鍾訓
하정우,河正宇
김현정 (가수),金炫廷·(歌手)
정보석,鄭普碩
김민준 (1976년),金敏俊
한석규,韓石圭
신하균 (배우),申河均
박성화,朴成华
정근우,鄭根宇
이종욱 (야구인),李鍾旭
정민태,鄭珉台
장원삼,張洹三
이병규 (1974년),李炳圭
박노자,朴露子
한기주,韓基周
박진만,朴镇万
남일우,南一祐
남다름,南多凜
노사연,盧士燕
노건우,盧聖鎬
남창희 (희극인),南昶熙
문창진,文昶辰
양진우,楊鎮宇
김성겸,金成謙
최원영 (배우),崔元英
신동엽 (희극인),申東燁
송원근,宋元根
노주현,盧宙鉉
노진혁,盧珍赫
노웅래,盧雄來
노영민,卢英敏
니모 (가수),吴尚恩
노정의,盧正義·(演員)
노우진,盧宇振
노태엽,盧泰燁
노형구,卢亨求
다니,金岱妮
노을 (가수),盧乙
JAY B,林在範
윤여정,尹汝貞
남지현 (배우),南志鉉
백성현,白成鉉
도종환,都鍾煥
라미란,羅美蘭
더원 (가수),鄭淳元
동현배,董贤培
도경완,都慶完
데이비드 오,吳世勛·(韓國歌手)
윤다훈,尹多勳
서능욱,徐能旭
세훈,Sehun
남우현,南優賢
수애,秀愛
김성주 (방송인),金聖柱·(主持人)
박태원 (1909년),朴泰遠
박형진,朴亨鎮
김성환 (1965년),金星煥·(1965年)
김성현 (1987년),金聖賢
박영선 (정치인),朴映宣
박유하,朴裕河
김성철 (배우),金聖喆
문정인 (대학 교수),文正仁
문보령,文寶玲
문덕수,文德守
명계남,明桂南
전다혜,全多慧
강윤미 (쇼트트랙 선수),姜允美
임은경,任恩頃
최민수,崔民秀
임헌영 (문학평론가),任轩永
주상욱,朱相昱
문세윤,文世潤
배슬기,裴瑟琪
김주혁,金柱赫
윤두준,尹斗俊
안석환,安奭奐
박은빈,朴恩斌
이현진 (배우),李現瞋
정혜영,鄭惠英
황정민,黃晸珉
김강우,金剛于
나르샤,朴效真
이정재 (배우),李政宰
김경욱 (양궁 선수),金京郁
이범수,李凡秀
조세권,趙世權
고기현,高基铉
민서현,閔書賢
문태준 (정치인),文太俊·(政治人物)
문희경,文熙景
문희상,文喜相
민병헌,閔炳憲
민경훈,閔庚勳
박보영,朴宝英
이완 (배우),李莞
김석준 (1957년),金錫俊
양현석,梁鉉錫
권태하,權泰夏
백승헌 (가수),白承憲
이진일,李镇日
연정훈,延政勳
류우익,柳佑益
류상욱,柳相旭
로꼬,Loco
루이스 초이,Louis·Choi
류담,柳潭·(喜劇演員)
김성숙 (1898년),金奎光
김성갑,金性甲
박해일,朴海日
남규리,南奎里
이언 (배우),李言
나홍진,羅泓軫
김수로 (배우),金秀路
한채영,韓彩英
서인국,徐仁國
이해원 (1919년),李海瑗
지성 (배우),池晟
홍기 (1916년),洪基
이장수 (방송인),李章洙·(導演)
허도환,許道煥
황재균,黃載均
황종률 (정치인),黃鍾律
김봉환 (1921년),金鳳煥
허준호,許峻豪
옥고운,玉智英
시우민,Xiumin
비범,B-Bomb
수호 (1991년),Suho
선우은숙,鮮于銀淑
박시연,朴時妍
김상희 (1954년),金相姬
