George Washington,조지 워싱턴
Hayden Panettiere,헤이든 파네티어
Michael Keaton,마이클 키튼
Sojourner Truth,소저너 트루스
Baruch Samuel Blumberg,바루크 새뮤얼 블럼버그
Jackson Pollock,잭슨 폴록
Christopher Lambert,크리스토프 랑베르
Leonardo DiCaprio,레오나르도 디카프리오
Kevin Kline,케빈 클라인
Jeff Young,제프 영
Chuck Behler,척 벨러
T. S. Eliot,T. S. 엘리엇
Martin Moynihan,마틴 모이니핸
Robert Duvall,로버트 듀발
Bob Crane,밥 크레인
Barbara Potter,바버라 포터
Patricia Wells,퍼트리샤 웰스
Mila Kunis,밀라 쿠니스
Wendell Meredith Stanley,웬들 메러디스 스탠리
Charles Boyer,샤를 부아예
Karen Keskulla Uhlenbeck,카렌 울렌벡
Richard Corliss,리처드 콜리스
Hans Zimmer,한스 짐머
Waris Ahluwalia,와리스 알루와리아
Myrna Loy,머나 로이
Charles Bukowski,찰스 부코스키
Leroy Shield,리로이 실드
A. O. Scott,A. O. 스콧
Oral Roberts,오럴 로버츠
Cherami Leigh,셰러미 리
Helen Keller,헬렌 켈러
Peter Criss,피터 크리스
William Faulkner,윌리엄 포크너
Samuel Finley Breese Morse,새뮤얼 모스
Matthew Perry,매슈 페리
Ei-ichi Negishi,네기시 에이이치
George E. Smith,조지 E. 스미스
John Cusack,존 큐잭
James Horner,제임스 호너
Lars Ulrich,라스 울리히
George Lucas,조지 루커스
Ricky Berens,리키 베런스
John Howard Northrop,존 하워드 노스럽
William Hurt,윌리엄 허트
John Grisham,존 그리샴
Masiela Lusha,마시엘라 루샤
Ernie Pyle,어니 파일
Jennifer Garner,제니퍼 가너
Joe Benjamin,조 벤저민
John Steinbeck,존 스타인벡
Daniel Webster,대니얼 웹스터
Richard F. Heck,리처드 F. 헥
Hans von Ohain,한스 폰 오하인
Jamie Foxx,제이미 폭스
Robert Bruce Elliott,R. 브루스 엘리엇
William Joyce,윌리엄 조이스
Julian Sensley,줄리안 센슬리
William Powell,윌리엄 파월
Kirsten Dunst,커스틴 던스트
Stefan Heym,슈테판 하임
Erich Mendelsohn,에리히 멘델손
Bobby Unser,보비 언저
Beno Gutenberg,베노 구텐베르크
Max Delbrück,막스 델브뤽
James R. Schlesinger,제임스 로드니 슐레진저
Thomas Mann,토머스 맨
Bea Arthur,비 아서
Tyra Banks,타이라 뱅크스
Max Horkheimer,막스 호르크하이머
Martin Chalfie,마틴 챌피
Jeff Goldblum,제프 골드블룸
Johann Deisenhofer,요한 다이젠호퍼
Percy Williams Bridgman,퍼시 윌리엄스 브리지먼
Rudolf Carnap,루돌프 카르나프
Franz Boas,프란츠 보아스
Carl Zuckmayer,카를 추크마이어
Jawed Karim,조드 카림
Adam Riess,애덤 G. 리스
Zac Posen,잭포즌
Klaus Mann,클라우스 만
John Malkovich,존 말코비치
Anthony Fokker,안토니 포커
Mos Def,모스 데프
Lee Marvin,리 마빈
Michael Crichton,마이클 크라이턴
Drew Brees,드루 브리스
Paul Lauterbur,폴 라우터버
Jeff Hamilton,제프 해밀턴
Zach Tyler Eisen,잭 타일러
Jerome Karle,제롬 칼
Candice King,캔디스 아콜라
Terry Branstad,테리 브랜스태드
John Fenn,존 펜
River Phoenix,리버 피닉스
Richard Feynman,리처드 파인만
Zach Grenier,자크 그레니어
Ashraf Ghani,아슈라프 가니
Saul Perlmutter,솔 펄머터
Zach Johnson,잭 존슨
Charles Herbert Allen,찰스 허버트 앨런
Zach Parise,잭 패리스
Cosma Shiva Hagen,코스마 시바 하겐
Max Schmeling,막스 슈멜링
Zachary Knighton,재커리 나이턴
Alan J. Heeger,앨런 제이 히거
Brad Paisley,브래드 페이즐리
Mikaela Shiffrin,미케일라 시프린
Zach Galligan,잭 갤리건
Asaph Hall,아사프 홀
Elizabeth Marvel,엘리자베스 마블
Leo Strauss,레오 스트라우스
Zach Randolph,잭 랜돌프
Zach Roerig,잭 로리그
Richard Smalley,리처드 스몰리
Zachary Gordon,재커리 고든
Sylvia Nasar,실비아 나사르
Otto Loewi,오토 뢰비
Carl Joachim Friedrich,칼 요아힘 프리드리히
LaMarcus Adna Thompson,라마커스 애드나 톰슨
Jessie Willcox Smith,제시 윌콕스 스미스
Ahmed Zewail,아메드 즈웨일
Jamie Lee Curtis,제이미 리 커티스
Zachary Abel,재커리 버 에이블
Zach Galifianakis,잭 갤리피아나키스
Janina Gavankar,저니나 거반카
Ann Brashares,앤 브래셰어스
Pat McCrory,팻 매크로리
Newton Cannon,뉴턴 캐넌
Jack Nicholson,잭 니콜슨
David Copperfield,데이비드 코퍼필드
Ted Williams,테드 윌리엄스
Michael Phelps,마이클 펠프스
Zachary Levi,재커리 레비
Zach Braff,잭 브래프
David Call,데이비드 콜
James Pickens,제임스 피킨스 주니어
Fritz Albert Lipmann,프리츠 앨버트 리프만
Kurt Zadek Lewin,쿠르트 레빈
Stephen King,스티븐 킹
Chris O'Donnell,크리스 오도널
Mary Harris Jones,마더 존스
Briana Banks,브리애나 뱅크스
Lion Feuchtwanger,리온 포이히트방거
Blythe Danner,블라이드 대너
Zachary Quinto,재커리 퀸토
Werner Klemperer,베르너 클렘퍼러
Zachary Scott,자카리 스콧
Steven Chu,스티븐 추
Count Basie,카운트 베이시
Bud Cort,버드 코트
Todd Lowe,토드 로
Chris Bauer,크리스 바워
Steve Miner,스티브 마이너
Francis Lieber,프랜시스 리버
James B. Sumner,제임스 B. 섬너
George Grosz,게오르게 그로스
Candice Bergen,캔디스 버건
Anthony Rapp,앤서니 랩
Zack de la Rocha,잭 드 라 로차
Rutina Wesley,루티나 웨슬리
Mike Vogel,마이크 보걸
Rosalyn Sussman Yalow,로절린 서스먼 얠로
Jeremy Miller,제러미 밀러
Carl Ferdinand Cori,칼 퍼디낸드 코리
Peter Lorre,피터 로리
Konrad Heiden,콘라트 하이덴
Alfred Zeisler,알프레드 자이슬러
John Augustus Roebling,존 로블링
Helmut Jahn,헬무트 얀
Ed Lauter,에드 로터
Kristin Bauer van Straten,크리스틴 바워 밴 스트레이튼
Jesse Williams,제시 윌리엄스
Pierre Ramond,피에르 라몽
Candy Clark,캔디 클라크
Sara Ramirez,사라 라미레스
Zachary Isaiah Williams,재커리 윌리엄스
Zachery Ty Bryan,재커리 타이 브라이언
Joseph Schumpeter,조지프 슘페터
Paul Feyerabend,파울 파이어아벤트
Zack Snyder,잭 스나이더
Walter Kohn,월터 콘
Isaiah Washington,아이제이아 워싱턴
Jessica Capshaw,제시카 캡쇼
Ronny Cox,로니 콕스
Michael McMillian,마이클 맥밀리언
Hugh David Politzer,데이비드 폴리처
Brigid Brannagh,브리지드 브래나
Victor Francis Hess,빅토르 프란츠 헤스
Ben Roy Mottelson,벤 로위 모텔손
Ricki Lake,리키 레이크
Janeane Garofalo,저닌 거로펄로
Herbert A. Hauptman,허버트 A. 하우프트먼
Amy Lee,에이미 리
Sylvester Stallone,실베스터 스탤론
Lars Onsager,라르스 온사게르
John Rawls,존 롤스
T. R. Knight,T. R. 나이트
Richard Linklater,리처드 링클레이터
Norman Foster Ramsey,노먼 포스터 램지
Fritz Stiedry,프리츠 슈티드리
Erich von Stroheim,에리히 폰 슈트로하임
Chandra Wilson,챈드라 윌슨
Charles Mingus,찰스 밍거스
Tony Shalhoub,토니 샬호브
Justin Chambers,저스틴 체임버스
Will Smith,윌 스미스
Sam Trammell,샘 트래멀
Mercedes McCambridge,머세이디스 매케임브리지
Richard Romanus,리처드 로마너스
Robert Lucas,로버트 루카스 주니어
Jean Simmons,진 시먼스
Samuel L. Jackson,새뮤얼 L. 잭슨
O. Henry,오 헨리
Matt Cardona,잭 라이더
Franz Werfel,프란츠 베르펠
Fritz Kreisler,프리츠 크라이슬러
John Young,존 영
Sergei Dovlatov,세르게이 도블라토프
Rachel Nichols,레이철 니컬스
Frank Wilczek,프랭크 윌첵
Martin Lewis Perl,마틴 루이스 펄
Vince Vaughn,빈스 본
Luke Wilson,루크 윌슨
Andrew Schally,앤드루 섈리
Emilio G. Segrè,에밀리오 지노 세그레
Stipe Miocic,스티페 미오치치
Sheldon Glashow,셸던 리 글래쇼
Hanns Eisler,한스 아이슬러
Josef von Sternberg,조셉 폰 스턴버그
Alexander Haig,알렉산더 헤이그
Thomas J. Sargent,토머스 사전트
Kate Capshaw,케이트 캡쇼
David Gross,데이비드 그로스
Sarah Weeks,세라 위크스
Kevin McHale,케빈 맥헤일
Isaiah Mustafa,아이제이아 무스타파
Jim Belushi,제임스 벨루시
James Garner,제임스 가너
Alan Arkin,앨런 아킨
Stephanie Zimbalist,스테퍼니 짐발리스트
Nelsan Ellis,넬슨 엘리스
Ralph Asher Alpher,랠프 애셔 알퍼
Julie Bowen,줄리 보언
Har Gobind Khorana,하르 고빈드 코라나
Stanisława Walasiewicz,스타니스와바 발라시에비치
Murray Gell-Mann,머리 겔만
Erich Leinsdorf,에리히 라인스도르프
Max Reinhardt,막스 라인하르트
Heinz Kohut,하인츠 코헛
Herbert Graf,헤르베르트 그라프
Otto F. Kernberg,오토 컨버그
Fritz Machlup,프리츠 매클럽
German Americans,독일계 미국인
Robert F. Furchgott,로버트 F. 퍼치곳
Éamon de Valera,이몬 데 발레라
Susie Essman,수지 에스먼
Gregory Peck,그레고리 펙
Arno Allan Penzias,아노 앨런 펜지어스
Superman,슈퍼맨
Jack Conway,잭 콘웨이
Jessica Lange,제시카 랭
Daniel Carleton Gajdusek,대니얼 칼턴 가이듀섹
Julia Roberts,줄리아 로버츠
Dave Brubeck,데이브 브루벡
Booth Gardner,부스 가드너
Tippi Hedren,티피 헤드런
Andrea Bowen,앤드리아 보언
Joan Crawford,조앤 크로퍼드
Frederick Irving Herzberg,프레더릭 허즈버그
Mary Steenburgen,메리 스틴버건
Joseph Pulitzer,조지프 퓰리처
John Wayne,존 웨인
Monica Seles,모니카 셀레스
Jim Carrey,짐 캐리
Tod Murphy,토드 머피
Alexander Granach,알렉산더 그라나흐
Edward Frenkel,에드워드 프렌켈
Keak da Sneak,키크 다 스니크
Blake Jenner,블레이크 제너
Ray Bradbury,레이 브래드베리
Mary Cassatt,메리 카사트
Harrison Schmitt,해리슨 슈미트
Francis Lederer,프란시스 레더러
Margaret Mitchell,마거릿 미첼
Mike Tyson,마이크 타이슨
Robert W. Holley,로버트 윌리엄 할리
Ray Manzarek,레이 만자렉
Jennifer Lopez,제니퍼 로페즈
Theodor Reik,테오도어 라이크
Turhan Bey,터한 베이
Keith Ellison,키스 엘리슨
Terrence Jones,테런스 존스
Carlos d'Alessio,카를로스 달레시오
Sandra Oh,샌드라 오
Talia Shire,탈리아 샤이어
Hamilton Smith,해밀턴 O. 스미스
Dave Chappelle,데이브 샤펠
Tammy Baldwin,태미 볼드윈
Alfred Thayer Maan,앨프리드 세이어 머핸
Paul Federn,폴 페던
Elissa Landi,엘리사 랜디
Alberto Del Rio,알베르토 델 리오
Ernestine Schumann-Heink,에르네스티네 슈만하잉크
Spider-Man,스파이더맨
Lorenzo Music,로렌조 뮤직
Arthur Penn,아서 펜
Melody Thornton,멜로디 숀튼
Tamarine Tanasugarn,탬마린 타나수깐
Jason Raize,제이슨 레이즈
J. D. Salinger,제롬 데이비드 샐린저
Nicholas Schenck,니컬러스 솅크
Thomas Mifflin,토머스 미플린
Carrie Fisher,캐리 피셔
Megan Fox,메간 폭스
Frank Sinatra,프랭크 시나트라
Charlize Theron,샬리즈 시어런
Art Tatum,아트 테이텀
Alice Drummond,앨리스 드러먼드
Demi Lovato,데미 로바토
Mary Tyler Moore,메리 타일러 무어
Ice Cube,아이스 큐브
Julie Adams,줄리 애덤스
Sandra Bullock,샌드라 불럭
Jane Fonda,제인 폰다
Ginnifer Goodwin,지니퍼 굿윈
Michael Jordan,마이클 조던
Emma Goldman,옘마 골드만
Christopher Lloyd,크리스토퍼 로이드
Edward Elmer Smith,E. E. 스미스
Mariah Carey,머라이어 캐리
Al Capone,알 카포네
Martin Scorsese,마틴 스코세이지
Richard Mentor Johnson,리처드 멘터 존슨
Taboo,타부
Bobby Fischer,보비 피셔
Thomas A. Steitz,토머스 A. 스타이츠
Gilbert Stuart,길버트 스튜어트
Jack Ging,잭 깅
Rosanna Arquette,로재나 아켓
Hoyt Axton,호이트 액스턴
Irene Lentz,아이린 렌츠
Peter Diamond,피터 다이아몬드
Melvin Frank,멜빈 프랭크
Josh Brolin,조시 브롤린
Charles Stark Draper,찰스 스타크 드레이퍼
Kurt Gödel,쿠르트 괴델
Shaun Toub,숀 토브
Akebono Tarō,아케보노 다로
André Kostolany,앙드레 코스톨라니
Zak Spears,잭 스피어스
Thomas J. J. Altizer,토마스 J. J. 알타이저
Robert J. Steinmiller Jr.,로버트 J. 스타인밀러 주니어
Robert Taylor,로버트 테일러
Mark David Chapman,마크 채프먼
Jodie Foster,조디 포스터
Al Pacino,알 파치노
Lorenzo Lamas,로렌조 라마스
Julianne Moore,줄리앤 무어
Zakk Wylde,잭 와일드
Ludwig Mies van der Rohe,루트비히 미스 반 데어 로에
William P. Murphy,윌리엄 패리 머피
Arlene Harris,알린 해리스
Michael Shannon,마이클 섀넌
Edmond H. Fischer,에드먼드 피셔
Edwin G. Krebs,에드윈 크레브스
John Gavin,존 게빈
Renato Dulbecco,레나토 둘베코
Joshua Lawrence Chamberlain,조슈아 체임벌린
Seldon Connor,셀던 코너
Kevin Rankin,케빈 랭킨
Kevin Willis,케빈 윌리스
"Gary Hall, Sr.",게리 홀 시니어
Mark Ruffalo,마크 러펄로
Charlton Heston,찰턴 헤스턴
Subrahmanyan Chandrasekhar,수브라마니안 찬드라세카르
DeHart Hubbard,드하트 허바드
Madeleine Albright,매들린 올브라이트
Paul Newman,폴 뉴먼
Arthur Miller,아서 밀러
Christopher A. Sims,크리스토퍼 심스
Bryan Shelton,브라이언 셸턴
Zalman King,잘만 킹
Zalmay Khalilzad,잘메이 할릴자드
Emma Stone,엠마 스톤
Rosa Parks,로자 파크스
Katherine LaNasa,캐서린 라나사
Christopher Reeve,크리스토퍼 리브
Edgar Rice Burroughs,에드거 라이스 버로스
Valentina de Angelis,발렌티나 드 안젤리스
DJ Khaled,디제이 칼리드
William Giauque,윌리엄 지오크
Amanda Jones,어맨다 존스
Marshall Warren Nirenberg,마셜 워런 니런버그
Dale T. Mortensen,데일 모텐슨
Katie Holmes,케이티 홈스
Q-Tip,큐팁
Michael Anderson,마이클 앤더슨
Thelonious Monk,셀로니어스 멍크
Rodney Rowland,로드니 롤런드
Pearl S. Buck,펄 S. 벅
Pat Buchanan,팻 뷰캐넌
Daniel F. Davis,대니얼 F. 데이비스
Israel Kamakawiwoʻole,이즈라엘 카마카비보올레
Robert L. Stewart,로버트 L. 스튜어트
Julius Axelrod,줄리어스 액설로드
Henrietta Swan Leavitt,헨리에타 스완 레빗
Robert Lefkowitz,로버트 레프코위츠
Brian Kobilka,브라이언 코빌카
Tracy Byrd,트레이시 버드
Christina Aguilera,크리스티나 아길레라
Edward Calvin Kendall,에드워드 캘빈 켄들
Albert Pujols,앨버트 푸홀스
Jack Benny,잭 베니
Mary Lou Jepsen,마리 루 젭슨 (Mary Lou Jepsen)
David Darling,데이비드 달링
Mel Gibson,멜 깁슨
Edward Norton Lorenz,에드워드 로렌츠
James M. Cain,제임스 M. 케인
Talisa Soto,탈리사 소토
Dominic Fumusa,도미닉 퍼무사
Mircea Eliade,미르체아 엘리아데
Donald Arthur Glaser,도널드 글레이저
Jeff Bridges,제프 브리지스
Phil Mahre,필 마어
George Takei,조지 타케이
Cate Blanchett,케이트 블란쳇
Ken Baumann,켄 보먼
Katy Perry,케이티 페리
Al Jarreau,알 자로우
Davey Armstrong,데이비 암스트롱
Harrison Ford,해리슨 포드
Charles Vidor,찰스 비더
Bill Paxton,빌 팩스턴
Zeppo Marx,제포 마르크스
Ted DiBiase Jr.,테드 디비아시 주니어
Jon Bon Jovi,존 본 조비
Pierce Brosnan,피어스 브로스넌
Justin Bartha,저스틴 바사
Gene Hackman,진 해크먼
Ida Lupino,이다 루피노
Frank Gorshin,프랭크 고신
Rita Hayworth,리타 헤이워스
Michael Moore,마이클 무어
Edwin Hubble,에드윈 허블
John Travolta,존 트래볼타
Lionel Casson,라이어널 캐슨
Bret Hart,브렛 하트
Gene Pitney,진 피트니
Rickie Winslow,리키 윈즐로
Denzel Washington,덴절 워싱턴
Indiana Jones,인디아나 존스
Muggsy Bogues,먹시 보그스
Shawn Kemp,숀 켐프
Hartland Snyder,하틀런드 스나이더
Nicolas Cage,니콜라스 케이지
J. K. Simmons,J. K. 시먼스
Carl Johnson,칼 존슨
Lester Young,레스터 영
Walt Whitman,월트 휘트먼
Paul Bunyan,폴 버니언
Cybill Shepherd,시빌 셰퍼드
Ann Forrest,안 포레스트
Barbara Cochran,바버라 코크런
Colin Powell,콜린 파월
Dustin Hoffman,더스틴 호프먼
Robert Curl,로버트 컬
Jeffrey Catherine Jones,제프리 캐서린 존스
Scott Lang,앤트맨
Alan Shepard,앨런 셰퍼드
Julie Delpy,줄리 델피
Cannonball Adderley,캐넌볼 애덜리
Gus Grissom,버질 이반 거스 그리솜
Jordan Rudess,조던 루디스
Olive Borden,올리브 보든
Cory Doctorow,코리 닥터로
Jennifer Love Hewitt,제니퍼 러브 휴잇
Kat Graham,캣 그레이엄
Richard Dysart,리처드 다이서트
Sidney Weinberg,시드니 와인버그
William Standish Knowles,윌리엄 스탠디시 놀스
George Carlin,조지 칼린
Nina Simone,니나 시몬
Frances Lee McCain,프란시스 리 맥케인
Chris Meledandri,크리스 멜러댄드리
Dorothy Day,도로시 데이
Stanford Moore,스탠퍼드 무어
Johnny Cash,조니 캐시
Little Richard,리틀 리처드
Nikki Boyer,니키 보이어
Sitting Bull,타탕카 이오타케
Karl Barry Sharpless,배리 샤플리스
Tjalling Koopmans,찰링 코프만스
Martin Klebba,마틴 클레바
Clint Eastwood,클린트 이스트우드
Simon Rex,사이먼 렉스
Justin Timberlake,저스틴 팀버레이크
Joseph O'Neill,조지프 오닐
Raymond Davis Jr.,레이몬드 데이비스 주니어
Alexander Calder,알렉산더 콜더
Johnny Weissmuller,조니 와이즈뮬러
Elmer Bernstein,엘머 번스틴
Dolly Parton,돌리 파튼
John Barry,존 배리
European Americans,유럽계 미국인
Sarah Palin,세라 페일린
Brian Thompson,브라이언 톰슨
Matt Damon,맷 데이먼
Conway Twitty,콘웨이 트위티
Steven Seagal,스티븐 시걸
Jill Ireland,질 아일랜드
Emma Willard,에마 윌러드
Demi Moore,데미 무어
Max Roach,맥스 로치
Christopher George,크리스토퍼 조지
William Lipscomb,윌리엄 립스컴
George Clinton,조지 클린턴 주니어
William H. Crawford,윌리엄 H. 크로퍼드
William Julius Wilson,윌리엄 줄리어스 윌슨
Patti Page,패티 페이지
Stephen Trask,스티븐 트래스크
Howard Greer,하워드 그리어
Kevin Mitchell,케빈 미첼
Robert Brout,로버트 브라우트
George Tobias,조지 토비아스
Jack Antonoff,잭 안토노프
George Marshall,조지 마셜
Roy Lichtenstein,로이 리히텐슈타인
Alan MacDiarmid,앨런 맥더미드
Frank McHugh,프랭크 맥휴
Shawn Ray,숀 레이
Gene Vincent,진 빈센트
Lauren Weisberger,로런 와이스버거
Reese Witherspoon,리스 위더스푼
Andrew Hutchinson,앤드루 허친슨
John Paine,존 페인
Steve Perry,스티브 페리
Leon Henkin,리언 헹킨
Malcolm X,맬컴 엑스
Boris Johnson,보리스 존슨
Robert Armstrong,로버트 암스트롱
Colin Kaepernick,콜린 캐퍼닉
Leon Cooper,리언 쿠퍼
Saul Bellow,솔 벨로
Bernie Mac,버니 맥
Anna Nicole Smith,애나 니콜 스미스
John Cage,존 케이지
Tonya Pinkins,토냐 핀킨스
Dan Shechtman,단 셰흐트만
Irene Higginbotham,아이린 히긴보텀
Jaegwon Kim,김재권
Charles Cioffi,찰스 시오피
James G. Clinton,제임스 G. 클린턴
Jared Allen,재러드 앨런
Wassily Leontief,바실리 레온티예프
Philip Seymour Hoffman,필립 시모어 호프먼
Tanya Chisholm,타냐 치숌
Dave Bautista,데이브 바티스타
Jimmy Carter,지미 카터
Jeff Hardy,제프 하디
Billy the Kid,빌리 더 키드
Jacob Artist,제이컵 아티스트
Tammy Lynn Sytch,태미 린 시치
Matt Groening,맷 그레이닝
Loïe Fuller,로이 풀러
James Maurice,제임스 모리스
Eddie Murphy,에디 머피
Deborah Lynn Scott,데보라 린 스콧
Lena Horne,리나 혼
Stacey King,스테이시 킹
Shia LaBeouf,샤이아 러버프
Mark Spitz,마크 스피츠
Stephen Jay Gould,스티븐 제이 굴드
F. Sherwood Rowland,프랭크 셔우드 롤런드
Béla Bartók,버르토크 벨러
Jim Lovell,짐 러벨
Edge,에지
Hulk Hogan,헐크 호건
Michael Tucker,마이클 터커
Philip Kaufman,필립 코프먼
John Wilkes Booth,존 윌크스 부스
Sarah Michelle Gellar,세라 미셸 겔러
Howard Gardner,하워드 가드너
Brett Cullen,브렛 컬런
Nathan Barr,네이선 바
Frank O'Bannon,프랭크 오배넌
Paul Flory,폴 플로리
Norman Mailer,노먼 메일러
James Dean,제임스 딘
Jessica Alba,제시카 알바
Jeffrey Hunter,제프리 헌터
Natalie Wood,내털리 우드
James D. Watson,제임스 D. 왓슨
Chris Jericho,크리스 제리코
Rey Mysterio,레이 미스테리오
Robin Williams,로빈 윌리엄스
Cary Grant,캐리 그랜트
Jane Addams,제인 애덤스
Nina Repeta,니나 레페타
Bill Stevenson,빌 스티븐슨
Sean Penn,숀 펜
Jim Morrison,짐 모리슨
Iron Man,아이언맨
Isabel Allende,이사벨 아옌데
Eleanor Roosevelt,엘리너 루스벨트
Mad Hatter,매드 해터
Michael Weston,마이클 웨스턴
Salman Rushdie,살만 루슈디
Leslie Nielsen,레슬리 닐슨
James Ransone,제임스 랜손
Walker Percy,워커 퍼시
Shannon Boxx,섀넌 복스
Anthony Quinn,앤서니 퀸
Joey King,조이 킹
Courtney Hodges,코트니 호지스
Matt Stone,맷 스톤
Randy Orton,랜디 오턴
The Undertaker,언더테이커
Selena Gomez,셀리나 고메즈
Daína Chaviano,다이나 차비아노
Melanie Griffith,멜러니 그리피스
Mario,마리오
Ernst von Glasersfeld,에른스트 폰 글라저스펠트
Cameron Diaz,캐머런 디애즈
Charles Duke,찰스 듀크
Hermann Joseph Muller,허먼 조지프 멀러
Pamela Anderson,파멜라 앤더슨
Stone Cold Steve Austin,스티브 오스틴
Paul Wight,빅 쇼
The Miz,마이크 더 미즈 미자닌
Colleen Camp,콜린 캠프
Maurice Jones-Drew,모리스 존스드루
Trey Parker,트레이 파커
James Gleick,제임스 글릭
Jim Grabb,짐 그래브
Edward G. Robinson,에드워드 G. 로빈슨
A.J. Styles,A.J. 스타일스
Gary Oldman,게리 올드먼
Joseph Gordon-Levitt,조셉 고든 레빗
Orethal Jacob Davis Simpson,O. J. 심프슨
Christie Pearce,크리스티 피어스
Chen-ning Yang,양전닝
"Chavo Guerrero, Jr.",차보 게레로
Lincoln Chafee,링컨 체이피
John Lee Hooker,존 리 후커
Taiwanese Americans,타이완계 미국인
John Cena,존 시나
Robert Middleton,로버트 미들턴
Kofi Kingston,코피 킹스턴
Kane,케인
Montel Vontavious Porter,몬텔 본테이비어스 포터
Sean Parnell,숀 파넬
Jon Moxley,딘 앰브로스
Dan Castellaneta,댄 카스텔라네타
Basil Poledouris,바실 폴레두리스
Robert A. Dahl,로버트 앨런 달
Ray Lewis,레이 루이스
Vince McMahon,빈스 맥마흔
The Great Khali,더 그레이트 칼리
John Corbett,존 코빗
Steve Ballmer,스티브 발머
Jackie Wilson,재키 윌슨
Teri Hatcher,테리 해처
Paul Picerni,폴 피세니
Theo Rossi,시어 로시
Eddie Guerrero,에디 게레로
Matt Biondi,맷 비온디
Bodie Olmos,보디 올모스
Clark Gregg,클라크 그레그
Mr. Wrestling,팀 우즈
Jennifer Beals,제니퍼 빌스
Ashley Rickards,애슐리 리커즈
Carole Lombard,캐롤 롬바드
John Layfield,존 레이필드
Fred Durst,프레드 더스트
Elisabeth Shue,엘리자베스 슈
Carmen Argenziano,카멘 아젠지아노
Mark Fayne,마크 페인
Luis Walter Alvarez,루이스 월터 앨버레즈
Henry Simmons,헨리 사이먼스
Ron Taylor,론 테일러
Young Dro,영 드로
Chico O'Farrill,치코 오파릴
Washington Irving,워싱턴 어빙
Omar Bradley,오마 브래들리
Ursula K. Le Guin,어슐러 르 귄
Bernard Mannes Baruch,버나드 바루크
James Doakes,제임스 도크스
Don Davis,돈 데이비스
Herbert Simon,허버트 사이먼
Dan Haggerty,댄 해거티
George R. R. Martin,조지 R. R. 마틴
J.J. Cale,J. J. 케일
Mary Elizabeth Winstead,메리 엘리자베스 윈스테드
John Adams,존 애덤스
Milo Ventimiglia,마일로 벤티밀리아
Ed Sullivan,에드 설리번
Audrey Niffenegger,오드리 니페네거
Roger Aaron Brown,로저 아론 브라운
Kurt Angle,커트 앵글
Dolph Lundgren,돌프 룬드그렌
Joseph Heller,조지프 헬러
Jesse Sorensen,제시 소렌슨
Tony Oller,토니 올러
Joaquin Wilde,지마 아이언
Rob Van Dam,롭 밴 댐
BookerT,부커 허프먼
Carly Simon,칼리 사이먼
Vin Diesel,빈 디젤
Sting,스팅
Wendy Carlos,웬디 카를로스
Triple H,트리플 H
Blind Willie McTell,블라인드 윌리 맥텔
Ric Flair,릭 플레어
Kevin James,케빈 제임스
Sonny Weems,소니 윔스
Holly Gagnier,홀리 가그니어
Winsor McCay,윈저 맥케이
Kristanna Loken,크리스타나 로컨
Lucky Luciano,러키 루치아노
Stanley Milgram,스탠리 밀그램
William Carlos Williams,윌리엄 카를로스 윌리엄스
David Sanborn,데이비드 샌본
Thomas Hunt Morgan,토머스 헌트 모건
Ludwig von Mises,루트비히 폰 미제스
Ben Shenkman,벤 섕크먼
John Milius,존 밀리어스
Cliff Robertson,클리프 로버트슨
Candye Kane,캔디 케인
Ray Allen,레이 앨런
Paul Giamatti,폴 지어마티
John Herrington,존 헤링턴
Bill Evans,빌 에번스
Tim Allen,팀 앨런
Eric Roberts,에릭 로버츠
Linda Hamilton,린다 해밀턴
Bella Thorne,벨라 손
John Legend,존 레전드
Benjamin Thompson,벤저민 톰프슨
Peter Drucker,피터 드러커
Chris Evans,크리스 에번스
Peter L. Berger,피터 L. 버거
Kristen Bell,크리스틴 벨
Bob Holly,밥 홀리
Josef Hoffmann,요제프 호프만
Richard Dreyfuss,리처드 드레이퍼스
Eric Berne,에릭 번
Sam Rivers,샘 리버스
Andie MacDowell,앤디 맥도웰
George J. Terwilliger III,조지 J. 터윌리거 3세
Sonny Bono,소니 보노
Scott Westerfeld,스콧 웨스터펠드
Wild Bill Hickok,와일드 빌 히콕
Jozy Altidore,조지 앨티도어
Jackie Jackson,재키 잭슨
Michael Bradley,마이클 브래들리
Howlin' Wolf,하울링 울프
Wes Borland,웨스 볼랜드
Joe Zawinul,조 자비눌
Lawrence J. Smith,로런스 J. 스미스
John Duncan Young,존 덩컨 영
W. H. Auden,W. H. 오든
Albert King,알버트 킹
Norbert Wiener,노버트 위너
Karl von Terzaghi,카를 폰 테르자기
Al Leiter,앨 라이터
Lisa Kudrow,리사 쿠드로
Ivan Illich,이반 일리치
Veronica Lake,베로니카 레이크
Lindsay Lohan,린제이 로한
Karl Landsteiner,카를 란트슈타이너
Ray Milland,레이 밀랜드
Katherine Helmond,캐서린 헬먼드
Stan Lee,스탠 리
Winrich Kolbe,윈리치 콜브
Gerda Lerner,거다 러너
Hermann Broch,헤르만 브로흐
Hans Kelsen,한스 켈젠
William Mueller,윌리엄 뮬러
Brian Benben,브라이언 벤벤
Mickey Rourke,미키 루크
F. Murray Abraham,F. 머리 에이브러햄
Zac Efron,잭 에프런
Sean Waltman,숀 월트먼
Blind Lemon Jefferson,블라인드 레몬 제퍼슨
