Россия,러시아
Ингуши,인구시인
Катастрофа Як-42 под Ярославлем,로코모티프 야로슬라블 여객기 추락 사고
"Кума (река, впадает в Каспийское море)",쿠마강
Восточный административный округ,동부 행정구
"СКА (футбольный клуб, Ростов-на-Дону)",FC SKA 로스토프나도누
Гудермес,구데르메스
Останкинская телебашня,오스탄키노 타워
"Покров (город, Россия)",포크로프 (러시아)
Бурятский язык,부랴트어
Чемпионат России по футболу,러시아 프리미어리그
Чукотский язык,축치어
Церковнославянский язык,교회 슬라브어
Давлеканово,다블레카노보
Полесск,폴레스크
Долганский язык,돌간어
Водский язык,보트어
Дальнереченск,달네레첸스크
Данилов (город),다닐로프
Далматово,달마토보
Большой Кавказ,볼쇼이캅카스산맥
Гурьевск (Калининградская область),구리옙스크 (칼리닌그라드주)
Гурьевск (Кемеровская область),구리옙스크
Читинская область,치타주
Гуково,구코보
Гусиноозёрск,구시노오조르스크
Гусь-Хрустальный,구시흐루스탈니
Зимний дворец,겨울 궁전
Поволжские немцы,볼가 독일인
Европейский маршрут E28,유럽 고속도로 28호선
Сургут,수르구트
Полярный,폴랴르니
Автономная область Российской Федерации,러시아의 자치주
Прогресс (космический корабль),프로그레스 (우주선)
Чувашский язык,추바시어
Починок (город),포치노크
Пошехонье (город),포셰혼예
Порхов,포르호프
Почеп,포체프
Приморск (Калининградская область),프리모르스크 (칼리닌그라드주)
Правдинск,프라브딘스크
Демидов (город),데미도프
Дедовск,데돕스크
Города России,러시아의 인구순 도시 목록
Румыны,루마니아인
Десногорск,데스노고르스크
Северо-Кавказский федеральный округ,북캅카스 연방관구
Ростов (футбольный клуб),FC 로스토프
Чеченский язык,체첸어
Крымскотатарский язык,크림 타타르어
Добрянка,도브랸카
Долинск,돌린스크
Башкиры,바시키르인
Поронайск,포로나이스크
Дивногорск,디브노고르스크
Дзержинский (город),제르진스키 (모스크바주)
Донавиа,도나비아 항공
Димитровград (Россия),디미트로브그라드 (러시아)
Дно (город),드노
Дмитровск,드미트롭스크
Домодедово (город),도모데도보
Донской (город),돈스코이 (도시)
Дорогобуж,도로고부시
Дубна,두브나
Третьяковская галерея,트레티야코프 미술관
Кабардино-черкесский язык,카바르다어
Ингушский язык,인구시어
Кетский язык,케트어
Духовщина,두홉시나
Дудинка,두딘카
Город федерального значения,러시아의 연방시
Дятьково,댜티코보
Егорьевск,예고리옙스크
Ямал,야말반도
Елизово,옐리조보
Ейск,예이스크
Елабуга,옐라부가
Хантыйский язык,한티어
Ижорский язык,잉그리아어
Правда (газета),프라우다
Азиатский максимум,시베리아 기단
Лаборатория Касперского,카스퍼스키 랩
Президентские выборы в России (2012),2012년 러시아 대통령 선거
Каракалпакский язык,카라칼파크어
Карельский язык,카리알라어
Автономный округ (Россия),러시아의 자치구
Прокопьевск,프로코피옙스크
Хакасский язык,하카스어
Карское море,카라해
Ительменский язык,이텔멘어
Енисейск,예니세이스크
Пустошка,푸스토시카
Бородинское сражение,보로디노 전투
Железногорск (Красноярский край),젤레즈노고르스크 (크라스노야르스크 변경주)
Железногорск-Илимский,젤레즈노고르스크일림스키
Калмыцкий язык,칼미크어
Sukhoi Superjet 100,수호이 슈퍼제트 100
Пудож,푸도시
Ефремов (город),예프레모프
Большой Тютерс,볼쇼이튜테르스섬
А-50,베리예프 A-50
Тикси,틱시
Азиатский маршрут AH6,아시안 하이웨이 6호선
Россияне,로시야네
Пущино,푸시치노
Пушкино,푸시키노
Остров Фуругельма,푸루겔름섬
Залив Посьета,포시예트만
Остров Попова,포포바섬
Монерон,모네론섬
ГЛОНАСС,글로나스
"Русский (остров, Приморский край)",루스키섬
Приморское течение,연해주 한류
Залив Петра Великого,표트르 대제만
Жиздра (город),지스드라
Жуков (город),주코프 (칼루가주)
Жигулёвск,지굴룝스크
Радужный (Владимирская область),라두즈니 (블라디미르주)
Орочский язык,오로치어
Кильдинский саамский язык,킬딘 사미어
Негидальский язык,네기달어
Пыталово,피탈로보
Жуковка (город),주콥카
Радужный (Ханты-Мансийский автономный округ),라두즈니 (한티만시 자치구)
Райчихинск,라이치힌스크
Земля Франца-Иосифа,제믈랴프란차이오시파 제도
Амга,암가강
Якуты,야쿠트인
Мансийский язык,만시어
Ногайский язык,노가이어
Заволжск,자볼시스크
Жуковский (город),주콥스키 (모스크바주)
Карачаево-балкарский язык,카라차이발카르어
Ракетно-космический центр «Прогресс»,프로그레스 로켓 우주 센터
Шацк (город),샤츠크
Время в России,러시아의 시간대
Список городов России,러시아의 도시 목록
Домодедово (аэропорт),도모데도보 공항
Орокский язык,윌타어
Ак Барс Арена,아크 바르스 아레나
Заозёрск,자오조르스크
Осетинский язык,오세트어
Заинск,자인스크
Закаменск,자카멘스크
Завитинск,자비틴스크
Викимапия,위키매피아
Совет Федерации,연방평의회
Литовцы,리투아니아인
Серов (город),세로프
Совкомфлот,소보콤플로트
Западная Двина (город),자파드나야드비나
Зарайск,자라이스크
Заречный (Пензенская область),자레치니 (펜자주)
Заречный (Свердловская область),자레치니 (스베르들롭스크주)
Звенигово,즈베니고보
Звенигород,즈베니고로드
Керченский пролив,케르치 해협
МиГ,미그
Трансаэро,트랜스아에로 항공
Вятское (Хабаровский край),뱌츠코예
Нанайцы,나나이인
Административно-территориальное деление Алтайского края,알타이 변경주의 행정 구역
Российские железные дороги,러시아 철도
Селькупские языки,셀쿠프어
Smartavia,스마트아비아 항공
Лазика,에그리시
Большой театр,볼쇼이 극장
Континентальная хоккейная лига,콘티넨탈 하키 리그
Калмыки,칼미크인
Гудермесский район,구데르메스키군
Российско-белорусские энергетические конфликты,2007년 러시아-벨라루스 에너지 분쟁
Росатом,로사톰
Чернышевское,체르니솁스코예
Тофалары,토파인
Ашкеназы,아슈케나즈 유대인
Табасаранский язык,타바사란어
Коми-зырянский язык,코미지리안어
Тувинский язык,투바어
Россия на летних Олимпийских играх 2012,2012년 하계 올림픽 러시아 선수단
Зеленодольск,젤레노돌스크
Россия на зимних Олимпийских играх 2010,2010년 동계 올림픽 러시아 선수단
Зея (город),제야 (러시아)
Агинский Бурятский автономный округ,아긴스크부랴트 자치구
Центральный административный округ,중앙 행정구
Центральная избирательная комиссия Российской Федерации,러시아 중앙선거위원회
Центральный аэрогидродинамический институт,TsAGI
Ульяновский автомобильный завод,UAZ
Шорский язык,쇼르어
Якутский язык,야쿠트어
Златоуст,즐라토우스트
Северодвинск,세베로드빈스크
Злынка,즐린카
Центральный федеральный округ,중앙 연방관구
Екатеринбург Арена,중앙경기장 (예카테린부르크)
Роскосмос,러시아 연방 우주국
Чемпионат мира по борьбе 2010,2010년 세계 레슬링 선수권 대회
Зубцов,줍초프
Люберцы,류베르치
Прусский язык,고대 프로이센어
Бабинский саамский язык,아칼라 사미어
Знаменск (Астраханская область),즈나멘스크 (아스트라한주)
Мосфильм,모스필름
Игарка,이가르카
Архиепархия Божией Матери,가톨릭 모스크바 대교구
Аркона (группа),아르코나 (밴드)
Академик Ломоносов,아카데믹 로모노소프
День космонавтики,우주 비행의 날
Русины,루신인
Змеиногорск,즈메이노고르스크
Россия на летних Олимпийских играх 1900,1900년 하계 올림픽 러시아 선수단
Избербаш,이즈베르바시
Восточно-Европейская равнина,동유럽 평원
Медный всадник,청동기마상
Кировско-Выборгская линия,키롭스코 비보륵스카야 선
Северский Донец,시베르스키도네츠강
Азовское море,아조프해
Киевский вокзал,키옙스키역
Ненецкий язык,네네츠어
Латгальский язык,라트갈레어
Балтачевский район,발타쳅스키군
Ржев,르제프
Мавзолей Ленина,레닌 묘
Западно-Сибирская равнина,서시베리아 평원
Ишим (река),이심강
Уральские горы,우랄산맥
Россия на летних Олимпийских играх 1996,1996년 하계 올림픽 러시아 선수단
Оймякон,오이먀콘
Территориальное деление России,러시아의 행정 구역
Арктический совет,북극 이사회
Чемпионат мира по фигурному катанию 2011,2011년 세계 피겨스케이팅 선수권 대회
Флаг Карелии,카렐리야 공화국의 기
"Горьковская (станция метро, Нижний Новгород)",고리콥스카야역 (니즈니노브고로드 지하철)
Эвенки,에벤크인
Ангара (семейство ракет-носителей),안가라 (로켓)
Балтийский завод,발트 조선소
Алдан (река),알단강
Отрадное (станция метро),오트라드노예역
Новогиреево (станция метро),노보기레예보역
Иркутский государственный университет,국립 이르쿠츠크 대학교
Солнечное затмение 1 августа 2008 года,2008년 8월 1일 일식
Алтайский государственный гуманитарно-педагогический университет имени В. М. Шукшина,국립 비스크 인문 교원 대학교
Остров Генриетты,헨리에타섬
Южный поток,사우스스트림
Коломенская (станция метро),콜로멘스카야역
Коммунистическая партия Российской Федерации,러시아 연방 공산당
Белая (приток Камы),벨라야강
Дуга Струве,스트루베 측지 아크
Карелия (историческая область),카렐리야
Северная Земля,세베르나야제믈랴 제도
Готский язык,고트어
Инта,인타
Луна (космическая программа),루나 계획
Lada,라다 자동차
Таван-Богдо-Ула,타반보그드산
Балкарцы,발카르인
Чемпионат России по футболу 2011/2012,러시아 프리미어리그 2011-12
Бутовская линия,부톱스카야선
Диксон (посёлок городского типа),딕손
Лубянка (станция метро),루뱐카역
Сражение под Прохоровкой,프로호롭카 전투
Москвич (завод),모스크비치
Водо-водяной энергетический реактор,VVER
Коми язык,코미어
Исилькуль,이실쿨
Истра (город),이스트라 (모스크바주)
Шереметьево,셰레메티예보 국제공항
Сухой (компания),수호이
Кумыкский язык,쿠미크어
Корякский язык,코랴크어
Лакский язык,라크어
Ишим,이심
Ишимбай,이심바이
Вооружённые силы Российской Федерации,러시아 연방군
Тувинцы,투바인
Таганрогский залив,타간로크만
Ростов,로스토프
Сургутнефтегаз,수르구트네프테가스
Союзмультфильм,소유즈멀트필름
Би-2,비-2
Рославль,로슬라블
День железнодорожника,철도의 날
Енисей (футбольный клуб),FC 예니세이 크라스노야르스크
Финляндский вокзал,핀랸츠키역
Тятя,탸탸산
Нивхский язык,니브흐어
Калачинск,칼라친스크
Камбарка,캄바르카
Калязин,칼랴진
Рубцовск,룹촙스크
ГУМ,굼 (백화점)
Рудня (город),루드냐
Медвежье-Саньково,산코보메드베지예
.ru,.ru
Каменск-Шахтинский,카멘스크샤흐틴스키
Нганасанский язык,응가나산어
Европейский маршрут E50,유럽 고속도로 50호선
Союз правых сил,우파 연합 (러시아)
Йоканьгско-саамский язык,테르 사미어
Камышин,카미신
Камешково,카메시코보
Камень-на-Оби,카멘나오비
Камызяк,카미자크
Кандалакша,칸달락샤
Канаш,카나시
Канск,칸스크
Карабулак (город),카라불라크
Карачаевск,카라차옙스크
Карачев,카라체프
Пулково (аэропорт),풀코보 공항
Понтийский язык,폰토스 그리스어
Каргополь,카르고폴
Тофаларский язык,토파어
Руза,루자 (모스크바주)
Рыбинск,리빈스크
Рыбное,리브노예
Таймыр,타이미르반도
Мордовия (футбольный клуб),FC 모르도비야 사란스크
Северный Кавказ,북캅카스
Сарапул,사라풀
Саров,사로프
Сасово,사소보
Новосибирск-Главный,노보시비르스크역
Бронетанковый музей в Кубинке,쿠빙카 전차 박물관
Монгольское плато,몽골고원
Allegro (электропоезд),카렐리안 트레인즈 Sm6
Хасанские бои (1938),하산호 전투
Каспийск,카스피스크
Касимов,카시모프
Озёрское (Сахалинская область),나가하마촌 (가라후토청)
Рыльск,릴스크
Трансмонгольская железная дорога,몽골 종단 철도
Гросс-Егерсдорфское сражение,그로스예거스도르프 전투
Спартак-Нальчик,PFC 스파르타크 날치크
Палана,팔라나
Салават,살라바트
Сальск,살스크
Бои за Воронеж (1942),보로네시 전투 (1942년)
Петропавловская крепость,페트로파블롭스크 요새
Кашин,카신
Сафоново (город),사포노보
Кедровый (город),케드로비
Кемь (город),켐
Кашира,카시라
Лесогорское,나요시정
Дальневосточный федеральный университет,극동 연방 대학교
Охотское (Сахалинская область),돈나이촌
Сталинградская битва,스탈린그라드 전투
Ноглики,노글리키
Ольга (Приморский край),올가 (프리모르스키 변경주)
Китайско-Восточная железная дорога,동청 철도
Светлогорск (Калининградская область),스베틀로고르스크 (칼리닌그라드주)
Свирск,스비르스크
Себеж,세베시
Свободный (город),스보보드니
Экономическое районирование России,러시아의 경제 구역
Кизляр,키즐랴르
Опочка,오포치카
Северо-Курильск,세베로쿠릴스크
Северобайкальск,세베로바이칼스크
Сочи,소치
Кизилюрт,키질류르트
Газопровод Сахалин — Хабаровск — Владивосток,사할린-하바롭스크-블라디보스토크 파이프라인
Сахалинские корейцы,사할린 한인
Поронай,포로나이강
Ноктундо,녹둔도
Корё-сарам,고려인
Острова Анжу,안주 제도
Сергиев Посад,세르기예프포사트
Кавалеровский район,카발레롭스키군
Днепр,드니프로강
Нерчинск,네르친스크
Луза (город),루자 (키로프주)
Террористический акт в Беслане,베슬란 학교 인질극
Остров Беринга,베링섬
Сельцо (город),셀초
Золотой Рог (Владивосток),금각만 (블라디보스토크)
Босфор Восточный,동보스포루스 해협
Полуостров Муравьёва-Амурского,무라비요프-아무르스키반도
Туполев (конструкторское бюро),투폴레프
Сенгилей,센길레이
Алагирский район,알라기르스키군
НТВ,NTV (러시아)
Женская сборная России по гандболу,러시아 여자 핸드볼 국가대표팀
Кимры,킴리
Кимовск,키몹스크
Североморск,세베로모르스크
Россия на зимних Олимпийских играх 2006,2006년 동계 올림픽 러시아 선수단
Севск,셉스크
Северск,세베르스크
Российский рубль,러시아 루블
Сож,소지강
Европейский маршрут E97,유럽 고속도로 97호선
Красная площадь,붉은 광장
Хасавюрт,하사뷰르트
Сестрорецк,세스트로레츠크
Серпухов,세르푸호프
Государственная дума,국가두마
Сахалинский залив,사할린스키만
Пролив Невельского,네벨스코이 해협
Сунгача,쑹아차허
Анива (залив),아니바만
Кяхтинский договор (1727),캬흐타 조약
Царь-колокол,차르의 종
Валдайская возвышенность,발다이 구릉
Дальневосточный федеральный округ,극동 연방관구
Монголы,몽골인
Бира (приток Амура),비라강
Пятигорск,퍄티고르스크
Сковородино,스코보로디노
Скопин,스코핀
Славск,슬랍스크
Хабаровск I,하바롭스크역
Россия на летних Олимпийских играх 1912,1912년 하계 올림픽 러시아 선수단
Славгород (Россия),슬라브고로드 (알타이 변경주)
Выборгская (станция метро),비보륵스카야역
Россия на летних Олимпийских играх 2000,2000년 하계 올림픽 러시아 선수단
Россия на летних Олимпийских играх 2004,2004년 하계 올림픽 러시아 선수단
Кеть,케티강
Белуха (гора),벨루하산
"Сибирь (футбольный клуб, Новосибирск)",FC 시비리 노보시비르스크
Республика в составе Российской Федерации,러시아의 공화국
Владивосток (аэропорт),블라디보스토크 국제공항
Свиблово (станция метро),스비블로보역
Охотское море,오호츠크해
Уральский федеральный округ,우랄 연방관구
Курский вокзал,쿠르스키역
Острова Де-Лонга,데론가 제도
Хасан (озеро),하산호
Конькобежный спорт на зимних Олимпийских играх 2014,2014년 동계 올림픽 스피드스케이팅
Царь-пушка,차르 캐넌
Сибай,시바이
Карские Ворота,카르스키예 해협
Су-57,수호이 Su-57
Храм Христа Спасителя,구세주 그리스도 대성당
Соликамск,솔리캄스크
Солигалич,솔리갈리치
Чойский район,초이스키군
Тура (река),투라강
Россия на Олимпийских играх,올림픽 러시아 선수단
Министерство иностранных дел Российской Федерации,러시아 외무부
Mental ray,멘탈 레이
Караимы,카라임족
Газпром Арена,크레스톱스키 스타디움
Катунь,카툰강
Эльбрус,옐브루스산
Сибирский федеральный округ,시베리아 연방관구
Чёрная смерть,흑사병
Театр имени Станиславского и Немировича-Данченко,스타니슬랍스키-네미로비치 단첸코 기념음악극장
Славянск-на-Кубани,슬라뱐스크나쿠바니
Снежинск,스네진스크
Снежногорск (Мурманская область),스네즈노고르스크
Уральские авиалинии,우랄 항공
Патриоты России,러시아의 애국자들
Люблинско-Дмитровская линия,류블린스코 드미트롭스카야 선
Сборная России по футболу,러시아 축구 국가대표팀
Конституционный суд Российской Федерации,러시아 헌법재판소
Олимпийский комитет России,러시아 올림픽 위원회
Тушинская (станция метро),투신스카야역
Бузулук,부줄루크
Собинка,소빈카
Дворец Советов,소비에트 궁전
Калининско-Солнцевская линия,칼리닌스코 솔른쳅스카야 선
Библиотека имени Ленина (станция метро),비블리오테카 이메니 레니나역
Советск (Тульская область),소베츠크 (툴라주)
Советск (Кировская область),소베츠크 (키로프주)
Советский (Ханты-Мансийский автономный округ),소베츠키 (한티만시 자치구)
Сокол (город),소콜 (볼로그다주)
Советская Гавань,소베츠카야가반
БТА (телескоп),BTA-6
Россия (авиакомпания),로시야 항공
Химки (футбольный клуб),FC 힘키
Марийская Автономная Советская Социалистическая Республика,마리 자치 소비에트 사회주의 공화국
Бакалинский район,바칼린스키군
Баймакский район,바이막스키군
Сольцы,솔치
Сольвычегодск,솔비체고츠크
Сорск,소르스크
Сортавала,소르타발라
Уссурийский залив,우수리만
Кубок конфедераций 2017,2017년 FIFA 컨페더레이션스컵
Сокольническая линия,소콜니체스카야선
Международная азиатская сеть,아시안 하이웨이
170-й меридиан западной долготы,서경 170도
Авось (скалы),아우오스섬
Авачинская Сопка,아바친스키산
Беломорский район,벨로모르스키군
Шинник (футбольный клуб),FC 신니크 야로슬라블
Сосенский,소센스키
Субъекты Российской Федерации,러시아의 연방주체
Спас-Деменск,스파스데멘스크
Спас-Клепики,스파스클레피키
Центр подготовки космонавтов имени Ю. А. Гагарина,유리 가가린 우주비행사 훈련 센터
Спасск-Дальний,스파스크달니
Фонтанка,폰탄카강
Балтика (футбольный клуб),FC 발티카 칼리닌그라드
Спасск-Рязанский,스파스크랴잔스키
Среднеколымск,스레드네콜림스크
Русское Небо (авиакомпания),러시아 스카이 항공
Северо-Крымский канал,북크림 운하
Петропавловский собор,페트로파블롭스크 성당
Старица (город),스타리차
Старая Русса,스타라야루사
Воробьёвы горы,참새 언덕
Девственные леса Коми,코미 원시림
Сейм (река),세임강
Ленинская линия,레닌스카야선
Сахалинский тоннель,사할린 터널
Остров Броутона,브로우토나섬
Сокольники (Новомосковск),소콜니키 (툴라주)
Железнодорожная линия Барановский — Хасан,바라놉스키-하산 선
Мокша (река),모크샤강
Стародуб,스타로두프
Старый Оскол,스타리오스콜
Серпуховско-Тимирязевская линия,세르푸홉스코 티미랴젭스카야 선
Стерлитамак,스테를리타마크
S7 Airlines,S7 항공
Рязанский проспект (станция метро),랴잔스키 프로스펙트역
Европейский маршрут E20,유럽 고속도로 20호선
ЭР200,RZD ER200
Струнино,스트루니노
Сураж,수라시
Судогда,수도그다
Суворов (город),수보로프 (툴라주)
РЖД Арена,RZD 아레나
Сусуман,수수만
Сухиничи,수히니치
Балтика (компания),발티카 (기업)
Черноморско-Каспийская степь,폰토스-카스피 스텝
Административно-территориальное деление Калмыкии,칼미크 공화국의 행정 구역
Балтийский вокзал (Санкт-Петербург),발티스키역
Балтийский федеральный университет имени Иммануила Канта,임마누엘 칸트 발틱 연방대학교
Балтийский флот ВМФ Российской Федерации,발트 함대
Владимирская (станция метро),블라디미르스카야역
Банк России,러시아 연방 중앙은행
Баргузинский хребет,바르구진산맥
Баргузин (река),바르구진강
Тура (Красноярский край),투라 (크라스노야르스크 지방)
Щёлкино,숄키네
Ушишир,우시시르섬
Слободская Украина,슬로보다우크라이나
"Октябрьская (станция метро, Кольцевая линия)",옥탸브리스카야역 (콜체바야선)
Кировский район (Приморский край),키롭스키군 (프리모르스키 변경주)
Распутица,라스푸티차
Чернышевский (Якутия),체르니솁스키
Обская губа,오비만
Сычёвка,시촙카
Тайшет,타이셰트
Тайга (город),타이가 (케메로보주)
Южно-Курильск,유즈노쿠릴스크
Гыданский полуостров,기단반도
Балаклава,발라클라바
Башнефть,바쉬네프트
Камень (вулкан),카멘산
Туапсе,투압세
Трубчевск,트룹쳅스크
Власиха (Московская область),블라시하
Палех,팔레흐
Хасан (Приморский край),하산 (프리모르스키 지방)
Тетюши,테튜시
Эхо Москвы,모스크바 공감
Ясная Поляна,야스나야 폴랴나
Фенноскандия,페노스칸디아
Трёхгорный,트료흐고르니
Гиагинский район,기아긴스키군
Казанский кремль,카잔 크렘린
"Пионерская (станция метро, Санкт-Петербург)",피오네르스카야역 (상트페테르부르크 지하철)
Томари (Россия),토마리 (러시아)
Томмот,톰모트
Торжок,토르조크
Бельковский,벨콥스키섬
"Белорусская (станция метро, Кольцевая линия)",벨로루스카야역 (콜체바야선)
Остров Беннетта,베네트섬
Организованная преступность в России,러시안 마피아
Таруса,타루사
Парамушир,파라무시르섬
Московский международный кинофестиваль,모스크바 국제 영화제
Расшуа,라스슈아섬
Ми-2,밀 Mi-2
Дальний Восток России,러시아 극동
Екатеринбургский метрополитен,예카테린부르크 지하철
Капустин Яр,카푸스틴 야르
Котлин,코틀린섬
Канин (полуостров),카닌반도
Углегорск (Сахалинская область),우글레고르스크 (사할린주)
Удачный,우다치니
Углич,우글리치
Удомля,우도믈랴
55-я параллель северной широты,북위 55도
Математический институт имени В. А. Стеклова РАН,스테클로프 수학 연구소
Интеркосмос,인터코스모스
Гуцулы,후출인
Унеча,우네차
Узловая,우즐로바야
Урус-Мартан,우루스마르탄
Усмань,우스만 (러시아)
Провидения,프로비데니야
Маяк (производственное объединение),마야크 재처리 공장
Уссурийск,우수리스크
Край (Россия),러시아의 변경주
Замоскворецкая линия,자모스크보레츠카야선
Мир — Шаттл,셔틀-미르 계획
Известия,이즈베스티야
Туран (город),투란 (투바 공화국)
Тында,틴다
Тутаев,투타예프
Азиатский маршрут AH7,아시안 하이웨이 7호선
Флаг Чечни,체첸 공화국의 기
Безымянный (вулкан на Камчатке),베지미아니산
Мая (приток Алдана),마야강
Эвенкийский район,에벤키스키군
Кольцевая линия (Москва),콜체바야선
Женская сборная России по футболу,러시아 여자 축구 국가대표팀
Бутырская тюрьма,부티르카 감옥
РИА Новости,리아 노보스티
Волго-Донской канал,볼가-돈 운하
Россия (банк),로시야 은행
Карачай (озеро),카라차이호
Усть-Илимск,우스티일림스크
Ухта,우흐타
Усть-Кут,우스티쿠트
"Пролетарская (станция метро, Москва)",프롤레타르스카야역 (모스크바 지하철)
Остров Анциферова,안치페로바섬
Рубль СССР,소련 루블
Филёвская линия,필룝스카야선
Мыс Флигели,플리겔리곶
ЮКОС,유코스
Фокино (Брянская область),포키노 (브랸스크주)
Фокино (Приморский край),포키노 (프리모르스키 변경주)
Фурманов (город),푸르마노프 (이바노보주)
Фрязино,프랴지노
Большая кольцевая линия,볼샤야 콜체바야 선
Ка-60,카모프 Ka-60
Шестьдесят четыре деревни к востоку от реки Амур,강동육십사둔
Область (Россия),러시아의 주
ЛОМО,로모 (기업)
Челюскин (мыс),첼류스킨곶
Вах (река),바흐강 (러시아)
Сибирь (автодорога),러시아 연방도로 R255호선
Гражданская платформа (Россия),시민 연단 (러시아)
Хвалынск,흐발린스크
НПО «Энергомаш» имени академика В. П. Глушко,에네르고마쉬
Ансамбль песни и пляски Российской армии имени А. В. Александрова,알렉산드로프 앙상블
Химки,힘키
Холм (город),홀름
180-й меридиан,경도 180도
Шумшу,슘슈섬
Холмск,홀름스크
ВЛ8,VL8
Пушкинский Дом,푸시킨 하우스
Чапаевск,차파옙스크
Сигнальный (остров),시그날니섬
Цаган-Хаг,차간하크호
Буддизм в Калмыкии,칼미키야의 불교
Административно-территориальное деление Марий Эл,마리옐 공화국의 행정 구역
Остров Рудольфа,루돌프섬
Охта (исторический район),오흐타 자치구
Прокопьевский район,프로코피옙스키군
Горки Ленинские,고르키레닌스키예
Рудная Пристань,루드나야프리스탄
Уссурийский край,우수리 지방
Автово (исторический район),압토보
Тымовское,티몹스코예
Административно-территориальное деление Амурской области,아무르주의 행정 구역
Тярлево,탸를레보 자치구
Административно-территориальное деление Кабардино-Балкарии,카바르디노발카르 공화국의 행정 구역
Аря,아랴강
Московский Художественный театр,모스크바 예술극장
Чадан,차단 (투바 공화국)
Алеутский район,알레우츠키군
Союз-2 (семейство ракет-носителей),소유스-2
Российский университет дружбы народов,러시아 민족 우호 대학교
Корякская Сопка,코략스카야 화산
Ольхон,올혼섬
Чекалин (город),체칼린
Черемхово,체렘호보
Чехов (город),체호프 (모스크바주)
Чистополь,치스토폴
Smash!!,스매시!!
Ясный (пусковая база),돔바롭스키 공군 기지
Арбатско-Покровская линия,아르바츠코 포크롭스카야 선
Халха-монголы,할하부
Московское время,모스크바 시간
Административно-территориальное деление Еврейской автономной области,유대인 자치주의 행정 구역
Чемпионат мира по лёгкой атлетике 2013,2013년 세계 육상 선수권 대회
Урус-Мартановский район,우루스마르타놉스키군
Наурский район,나우르스키군
Роствертол,로스트베르톨
Председатель Правительства Российской Федерации,러시아의 총리
Солнечное затмение 11 августа 2018 года,2018년 8월 11일 일식
Чухлома,추흘로마
Чулым (город),출림 (노보시비르스크주)
Чудово,추도보
Чкаловск (Нижегородская область),치칼롭스크
Шадринск,샤드린스크
Россия 24,러시아 24
Упа,우파강 (오카강의 지류)
Сухопутные войска Российской Федерации,러시아 육군
Дом правительства Российской Федерации,벨리 돔
Международный авиационно-космический салон,MAKS 에어쇼
ОКБМ имени И. И. Африкантова,OKBM
Шахтёрск (Россия),샤흐툐르스크 (사할린주)
Шатура,샤투라
Шарья,샤리야
Протестное движение в России (2011—2013),2011-2013년 러시아 시위
Шахты,샤흐티
Матч за звание чемпиона мира по шахматам 1951,1951년 세계 체스 선수권 대회
Сборная России по хоккею с шайбой,러시아 아이스하키 국가대표팀
Город столиц,고로드 스톨리츠
Калевальский район,칼레발스키 나치오날니 군
Юг (река),유크강
Пулковская обсерватория,풀코보 천문대
Уруп,우루프섬
Пермская область,페름주
Шиханы (город),시하니
Нара (река),나라강 (러시아)
Российско-северокорейская граница,러시아-조선민주주의인민공화국 국경
Шумерля,슈메를랴
Щёлково,숄코보
Шуя,슈야
Щёкино,쇼키노
Кунашир,쿠나시르섬
Патриарх Московский и всея Руси,모스크바 및 전 루스 총대주교
Комсомольская правда,콤소몰스카야 프라우다
Нанайский район,나나이스키군
Шикотан,시코탄섬
Онекотан,오네코탄섬
Катастрофа ATR 72 под Тюменью,유테이르 항공 120편 추락 사고
Средиземноморский складчатый пояс,알프스-히말라야 조산대
Государственный академический симфонический оркестр России,러시아 국립 교향악단
Воронеж (река),보로네시강
Электрогорск,옐렉트로고르스크
Электросталь,옐렉트로스탈
Электроугли,옐렉트로우글리
Завод имени Лихачёва,질 (기업)
Северсталь,세베르스탈
Остров Атласова,아틀라소프섬
Мемориал (организация),메모리알 (단체)
Головнино (Сахалинская область),골로브니노
Зимние Паралимпийские игры 2014,2014년 동계 패럴림픽
Руёбэцу,루요베쓰촌
Энгельс (город),옌겔스
Нюрбинский район,뉴르빈스키군
Дальавиа,달라비아 항공
Сибирь (хоккейный клуб),HC 시비리 노보시비르스크
Дигорский район,디고르스키군
Выставка достижений народного хозяйства,국민 경제 달성 박람회
Маныч,마니치강
Шелонь,셸론강
Российская государственная библиотека,러시아 국립도서관 (모스크바)
Юрга,유르가
Юрьев-Польский,유리예프폴스키
Ардонский район,아르돈스키군
Моздокский район,모즈독스키군
Ачхой-Мартан,아치호이마르탄
Ярцево,야르체보
Ясногорск (Тульская область),야스노고르스크
Омь,옴강
Шаболовская,샤볼롭스카야역
Таганрогский авиационный научно-технический комплекс имени Г. М. Бериева,베리예프
"Волга (футбольный клуб, Нижний Новгород)",FC 볼가 니즈니노브고로드
Юхнов,유흐노프
Василеостровская,바실레오스트롭스카야역
Ротмистр,기병대위
Арена Химки,아레나 힘키
Остров Вилькицкого (Восточно-Сибирское море),빌키츠코고섬
Атака лёгкой бригады,경기병여단의 돌격
Кизимен,키지멘산
Боголюбово,보골류보보
Мазурское поозёрье,마주리안 호수 지구
РКК «Энергия»,SP 코롤료프 로켓%26스페이스 코퍼레이션 에네르기아
Красноярск-Пассажирский,크라스노야르스크역
Бия,비야강
Театр юных зрителей имени А. А. Брянцева,브랸체프 아동극장
.рф,.рф
Группа советских войск в Германии,주동독 소련군
Новосибирские острова,노보시비르스크 제도
