Stefano Cerioni,斯特凡诺·切廖尼
Michele Castoro,米歇爾·卡斯托羅
Domiziana Giordano,多美兹亚娜·佐丹奴
Sandra Milo,桑德拉·米洛
Anna Cappellini,安娜·卡佩利尼
Paola Cardullo,保拉·卡尔杜洛
Gastone Moschin,加斯通·莫辛
Nicolò Pollari,尼古拉·玻拉里
Christian Presciutti,克里斯蒂安·普雷休蒂
Aldo Campatelli,阿尔多·坎帕特利
Maurizio Domizzi,毛里齊奥·多米奇
Carlo Gambino,卡羅·甘比諾
Wess,威斯
Paola Severino,保拉·塞韋裡諾
Mario Delpini,瑪略·德爾皮尼
Umberto Nobile,翁贝托·诺比尔
Enrico Baj,恩里科·本治
Francesco Moraglia,方濟各·莫拉利亞
Massimiliano Rosolino,馬西米里亞諾·羅索里諾
Dino Meneghin,迪诺·梅内欣
Umberto Saba,翁贝托·萨巴
Gianluigi Gelmetti,詹路易吉·捷尔梅蒂
Roberto Rosato,罗伯托·罗萨托
Stefano Satta Flores,斯蒂法诺·萨塔·弗洛雷斯
Luigi Lo Cascio,卢伊吉洛·肖卡
Luigi Pavese,路易吉·帕维斯
Gianni Amelio,吉安尼·阿米里奧
Cristian Raimondi,克里斯蒂安·萊蒙迪
Giorgio Bernardi,乔尔乔·贝尔纳尔迪
Arrigo Sacchi,艾列高·沙基
Francesco Clemente,弗朗切斯科·克萊門特
Angelo Peruzzi,安杰洛·佩鲁齐
Federico Balzaretti,费德里科·巴尔扎雷蒂
Alba Parietti,阿尔芭·帕瑞蒂
Marina Berti,玛琳娜·伯蒂
Erika Blanc,艾丽卡·布兰克
Jennifer Isacco,珍妮弗·伊萨科
Cristiana Capotondi,克里斯蒂安娜·卡波通蒂
Mario Draghi,马里奥·德拉基
Annamaria Cancellieri,安娜·瑪麗亞·坎切列裡
Amedeo di Savoia-Aosta,阿梅迪奥·茨沃尼米尔
Cristina Scabbia,克里斯汀娜·絲卡比雅
Yvonne Rüegg,伊冯娜·吕埃格
Luciano Savorini,卢恰诺·萨沃里尼
Pier Giorgio Micchiardi,伯多祿·喬治·米基亞爾迪
Gino Bramieri,吉诺·布拉米耶里
Enrico Mattei,恩里科·馬太
Giorgia Meloni,焦尔吉娅·梅洛尼
Leandro Faggin,莱安德罗·法金
Dominique Boschero,多米尼克·博舍罗
Francesco Guidolin,弗朗西斯科·圭多林
Vasco Pratolini,瓦斯科·普拉托利尼
Francesco Nuti,弗朗切斯克·努提
Salvatore Schillaci,薩瓦多·斯基拉奇
Bruno Zevi,布鲁诺·赛维
Angelo Tasca,安杰洛·塔斯卡
Aldo Maccione,阿尔多·马奇奥内
Maria Curcio,瑪麗亞·庫爾奇奧
Raffaello Martinelli,辣法耳·馬爾蒂內利
Lina Sastri,莉娜·萨斯特利
Gabriele Muccino,加布里埃尔·穆奇诺
Paolo Tagliavento,保罗·塔伊亚文托
Ernesto Ruffini,埃內斯托·魯菲尼
Teresa de Lauretis,特瑞莎·德·劳拉提斯
Bianca Balti,比安卡·巴爾蒂
Maria Grazia Buccella,玛丽亚·格拉齐亚·布切拉
Walter Zenga,沃尔特·曾加
Erri De Luca,埃里·德·卢卡
Roberto Donadoni,罗伯托·多纳多尼
Alessandro Siani,亚历桑德罗·希亚尼
Federico Moccia,费德里科·莫恰
Massimo Serato,马西姆·塞拉托
Barbara Matera,芭芭拉·马泰拉
Cesare Maldini,切萨雷·马尔蒂尼
Eleonora Lo Bianco,埃莱奥诺拉·洛比安科
Enzo Cucchi,恩佐·古奇
Leonardo Domenici,莱奥纳多·多梅尼奇
Giovanni Lombardi,乔瓦尼·隆巴尔迪
Alborosie,阿尔伯罗西
Ettore Bastico,埃托雷·巴斯蒂科
Luigi Longo,路易吉·隆哥
Al Cliver,阿爾·克萊弗
Nina Morić,妮娜·莫里克
Sebastiano Serlio,塞巴斯蒂亚诺·塞利奥
Umberto Giordano,翁贝托·焦尔达诺
Clemente Russo,克莱门特·鲁索
Saverio Costanzo,萨维里奥·康斯坦佐
Sabina Guzzanti,萨宾娜·古赞蒂
Anna Carlucci,安娜·卡卢奇
Arrigo Petacco,阿里戈·佩塔科
Lisandro López,利桑德罗·洛佩斯
Roberto Rosetti,羅拔圖·洛錫迪
Dino De Laurentiis,迪诺·德·劳伦提斯
Amanda Sandrelli,阿曼达·桑德雷利
Fabiano Santacroce,法比亚诺·桑塔克罗切
Vitaliano Brancati,V. 勃朗卡蒂
Nino Frassica,尼诺·弗拉西卡
Fausto Bertinotti,福斯托·贝尔蒂诺蒂
Novella Calligaris,诺韦拉·卡利加里斯
Mara Zini,玛拉·齐尼
Davide Rigon,達維德·里貢
Bruno Pontecorvo,布魯諾·龐蒂科夫
Filippino Lippi,菲利皮诺·利皮
Giuseppe Galderisi,朱塞佩·加尔代里西
Franco Micalizzi,佛朗哥·麦卡利齐
Alessandro Baricco,亚历山德罗·巴里科
Paolo Bettini,保罗·贝蒂尼
Edoardo Amaldi,愛德華多·阿馬爾迪
Davide Santon,达维德·桑顿
Vittorio Emanuele Orlando,维托里奥·埃曼努尔·奥兰多
Claudio Baglioni,克勞迪歐・巴雍尼
Antonio Riva,李安东 (特工)
Massimo Moratti,马西莫·莫拉蒂
Salvatore Giuliano,薩爾瓦托雷·朱利亞諾
Silvio Piola,西爾維奧·皮奧拉
Rina Franchetti,丽娜·弗朗切蒂
Giuseppe Alessi,阿雷希
Gaetano Scirea,加塔诺·西雷阿
Giancarlo De Cataldo,吉安卡洛·德·卡塔尔多
Rosa Russo Iervolino,罗莎·鲁索·伊尔沃利诺
Lorenzo Buffon,洛伦佐·布冯
Luca Marrone,盧卡·馬隆內
Vito Pallavicini,维托·帕拉维奇尼
Pino Puglisi,皮諾·普里茲
Antonella Serra Zanetti,安东内拉·塞拉·扎内蒂
Manfredi Nicoletti,曼夫雷迪·尼科萊蒂
Cesare Rubini,切萨雷·鲁比尼
Simone Barone,西蒙尼·巴罗内
Edera Cordiale,埃德拉·科尔迪亚莱-真蒂莱
Wenling Tan Monfardini,譚文玲
Pierre Cardin,皮爾·卡登
Carlo Ponti,卡洛·蓬蒂
Ardito Desio,阿迪托·迪塞奥
Katia Zini,卡蒂娅·齐尼
Luis Trenker,路易斯·特朗克
Salvatore Licitra,萨尔瓦托雷·里契特拉
Dorina Vaccaroni,多丽娜·瓦卡罗尼
Giuseppe Ferrandino,朱塞佩·费兰迪诺
Alessandro Mendini,亞力山卓·麥狄尼
Mauricio Macri,毛里西奧·馬克里
Maurizio Ganz,梅里斯奧·甘斯
Marino Marini,马里诺·马里尼
Tommaso Montano,托马索·蒙塔诺
Roberto Abbondanzieri,罗伯托·阿邦丹谢里
Cosimo Fusco,科西莫·福斯科
Anna Maria Ferrero,安娜-玛利亚·费莱罗
Gianpiero Marini,馬連尼
Francesco Marchisano,弗朗切斯科·马尔基萨诺
Raffaele Andreassi,拉斐爾·安德里亞西
Antonella Attili,安东内拉·阿蒂利
Imelda Chiappa,伊梅尔达·基亚帕
Francesca Archibugi,弗兰切斯卡·阿尔基布吉
Juan Martín Maldacena,胡安·马尔达西那
Mario Serandrei,马里奥·塞兰德里
Silvano Maria Tomasi,西爾瓦諾·瑪麗亞·托馬西
Luigi Malerba,路易吉·馬爾巴
Gianluca Ramazzotti,吉昂路卡·雷瑪若提
Alessio Cerci,阿莱西奥·切尔奇
Martina Valcepina,玛尔蒂娜·娃尔切皮娜
Mario Tronti,马里奥·特龙蒂
Francesco Antonioli,弗朗西斯科·安东尼奥利
Alfonso Cristiano di Borbone-Spagna,阿方索王子
Luca Barbarossa,盧卡·巴巴羅薩
Benito Lorenzi,贝尼托·洛伦齐
Paola Fantato,保拉·凡塔托
Fabrizio Ravanelli,法布里齐奥·拉瓦内利
Alberto Braglia,阿尔贝托·布拉利亚
Nicola Ventola,雲杜拿
Gustavo Petro,古斯塔沃·佩特羅
Paolo Negro,内格罗
Salvatore Sirigu,萨尔瓦托雷·西里古
Francesco Chicchi,弗朗切斯科·奇契
Vincenzo Montella,文森佐·蒙特拉
Graziella Sciutti,格拉齐耶拉·休蒂
Bruno Cirillo,布鲁诺·奇里洛
Eros Capecchi,厄洛斯·卡佩奇
Barbara Bouchet,芭芭拉·布薛特
Mino Loy,米诺·洛伊
Gianni Brera,圭多·芬蒂
Alessandro Cagno,亚历山德罗·卡尼奥
Iginio Straffi,伊齐奥·斯特拉菲
Daniele Dessena,達尼埃萊·德塞納
Velleda Cesari,韦莱达·切萨里
Davide Astori,戴維德·阿斯托里
Domenico Dolce,多梅尼科·多爾切
Torcuato Di Tella,托尔夸托·迪泰拉
Renato Raffaele Martino,雷纳托·拉法埃莱·马尔蒂诺
Tito Schipa,蒂托·希帕
Piero Pastore,皮耶罗·帕斯托雷
Giuseppe Penone,朱塞佩·佩诺内
Antonello Venditti,安東尼洛・凡狄帝
Francesca Rettondini,弗朗塞斯卡·雷顿代尼
Violante Placido,薇奥兰特·普拉西多
Edoardo Bennato,埃德瓦多・本納托
Gianni De Biasi,狄拜西
Enrico Beruschi,恩里科·贝鲁斯基
Giacomo Rizzolatti,贾科莫·里佐拉蒂
Roberto Maroni,罗伯托·马罗尼
Giuseppe Milano,朱塞佩·米拉诺
Luciano Ligabue,盧契諾·利卡布
Mike D'Antoni,迈克·德安东尼
Franco Moschino,弗兰科·莫斯基诺
Giacinto Scelsi,賈欽多·切爾西
Aurelio De Laurentiis,奧瑞里歐·德勞倫蒂斯
Antonella Ragno-Lonzi,安东内拉·拉尼奥-隆齐
Roberto Tricella,罗伯托·特里切拉
Gianni Bella,詹尼·貝拉
Antonello Grimaldi,安東尼奧路·易吉葛里馬蒂
Sergio Martini,塞吉歐·馬提尼
Santo Versace,桑托·凡賽斯
Paolo Lorenzi,保羅·洛倫齊
Franco Interlenghi,弗朗科·英特朗吉
Roger Piantoni,皮安東尼
Giuliano Giannichedda,簡尼捷達
Carlo Rambaldi,卡羅·蘭博蒂
Alessandro Giannessi,亞歷山德羅·基安納斯
Gianluca Grignani,Gianluca Grignani
Elisa Torrini,埃莉萨·托里尼
Nicola Legrottaglie,尼古拉·莱罗塔列
Cristian Brocchi,克里斯蒂安·布罗基
Mario Salieri,马里奥·萨列里
Nicola Gratteri,尼古拉·格拉特里
Francesca Comencini,弗朗西斯卡·科曼茨尼
Nicola Sansone,尼古拉·桑索內
Moreno Mannini,莫雷诺·曼尼尼
Diego Occhiuzzi,迭戈·奥基乌齐
Luigi Batzella,路易吉·巴塞拉
Palmiro Togliatti,帕尔米罗·陶里亚蒂
Melita Toniolo,梅丽塔·托妮奥洛
Attilio Nicora,阿提里奥·尼科拉
Ferdinando Meglio,费迪南多·梅利奥
Ivan Basso,伊万·巴索
Nicola Pietrangeli,尼古拉·皮特蘭傑利
Toni Negri,安东尼奥·奈格里
Rahman Rezaei,拉赫曼·雷扎伊
Ekaterina Riazanova,叶卡捷琳娜·利亚扎诺娃
Franco Chioccioli,弗兰克·乔乔利
Abdon Pamich,阿布頓·帕米奇
Joseph Bonanno,約瑟夫·博南諾
Luciano Spalletti,卢西亚诺·斯帕莱蒂
Ugo Fano,烏戈·法諾
Shlomo Venezia,什洛莫·韦内齐亚
Michelangelo Pistoletto,米凯兰杰洛·皮斯托莱托
Carlo Zecchi,卡洛塞奇
Robert Miles,罗伯特·迈尔斯
Roberto D'Aversa,羅伯特·達韋爾薩
Ruggero Deodato,鲁杰罗·德奥达托
Francesco Quinn,法蘭西斯科·奎恩
Stefano Pioli,斯蒂法诺·皮奥利
Luca Cambiaso,盧卡·坎比亞索
Giovanni Coppa,乔万尼·科帕
Simone Cantarini,西蒙內·坎塔里尼
Rolando Bianchi,羅蘭多·比安奇
Benny Benassi,班尼·班納西
Giulio Cabianca,朱利奥·卡比安卡
Carlo Felice Trossi,卡洛·费利切·特罗西
Arturo Di Modica,阿图罗·迪·莫迪卡
Marco Melandri,梅藍徳里
Licia Ronzulli,利奇娅·龙祖利
John Aloisi,约翰·阿洛伊西
Cristiano Lucarelli,基斯坦奴·盧卡利尼
Leonardo Pieraccioni,莱昂纳多·皮拉西奥尼
Guido Cantelli,圭多·坎泰利
Giuseppe Bruscolotti,巴格尼
Daniele Nardello,达尼埃莱·纳德尔略
Omero Tognon,奥梅罗·托尼翁
Luca Antonini,卢卡·安东尼尼
Giorgio Agamben,乔治·阿甘本
John Acquaviva,约翰·阿夸维瓦
Franco Nero,弗蘭科·尼羅
Bruno Cortini,布鲁诺·科尔蒂尼
Giovanni Lajolo,乔万尼·拉约洛
Elio Toaff,埃利奧·托夫
Marina Suma,玛丽娜·苏马
Giorgio Morandi,乔治·莫兰迪
Pietro Parolin,伯多祿·帕羅林
Antonino Zichichi,安东尼奥·奇基基
Loris Reggiani,洛里斯·雷贾尼
Maria Pia di Savoia,薩伏依的瑪麗亞·皮婭
Aldo Boffi,阿尔多·博菲
Angelo Palombo,安杰洛·帕隆博
Flavia Fortunato,弗蕾维亚·福群纳多
Nicole Grimaudo,妮可·吉玛多
Bruno Bruni Jr.,小布魯諾·布魯尼
Marco Branca,馬高·白蘭卡
Severino Poletto,塞維利諾·珀萊托
Paolo Emilio Thaon di Revel,保羅·陶內·迪·萊費爾
Giuseppe Ungaretti,朱塞培·翁加雷蒂
Ronnie Quintarelli,罗尼·昆塔雷利
Emilio Colombo,埃米利奧·科倫坡
Giuseppe Mangiarotti,朱塞佩·曼贾罗蒂
Simone Moro,西蒙尼·莫罗
Danijel Premuš,达尼耶尔·普雷穆什
Ferruccio Lamborghini,費魯喬·藍寶堅尼
Giovanni Lodetti,乔瓦尼·洛德蒂
Joel McHale,喬爾·麥克黑爾
Filippo Galli,菲利波·加利
Rosario Crocetta,罗萨里奥·克罗切塔
Danio Bardi,达尼奥·巴尔迪
Cristian Brandi,克里斯蒂安·布兰迪
Paolo Cannavaro,保羅·卡納瓦羅
Bruno Cesari,布魯諾·塞薩里
Bruno Lavagnini,布鲁诺·拉瓦尼尼
Alessio Sakara,阿莱西奥·萨卡拉
Pierdomenico Baccalario,帕多文尼高·巴卡拉里奥
Lucio Fontana,卢齐欧·封塔纳
Bruno Chizzo,布鲁诺·基佐
Bruno Grassini,布魯諾·格拉西尼
Bruno Gaburro,布鲁诺·加伯罗
Bartolomeo Ammannati,巴爾托洛梅奧·阿曼納提
Michele Emiliano,米歇尔·埃米利亚诺
Antonio Oppes,安东尼奥·奥佩斯
Aldo de Nigris,迪尼格里斯
Joe Gallo,喬·加洛
Andrea Dossena,安德雷亚·多塞纳
Daniel Zampieri,丹尼爾·贊皮裡
Daniel Oss,丹尼尔·奥斯
Giuseppe Anatrelli,朱塞佩·阿纳特雷利
Paolo Borsellino,保罗·博尔塞利诺
Sandro Petraglia,桑德罗·佩特拉利亚
Federico Peluso,費德里科·佩魯索
Girolamo Quaglia,杰罗拉莫·夸利亚
Salvatore Riina,萨瓦托·里伊纳
Alessandro Carmelo Ruffinoni,亞歷山大·卡梅洛·魯菲諾尼
Carmelo Bossi,卡尔梅洛·博西
Bruno Corbucci,布鲁诺·科尔布奇
Aldo Agroppi,阿尔多·阿格罗皮
Franco Tancredi,弗兰科·坦克雷迪
Mario Zanin,马里奥·扎宁
Luigi De Magistris,路易吉‧德馬吉斯特裡斯
Davide Tizzano,达维德·蒂扎诺
Christian Obrist,克里斯蒂安·奥布里斯特
Alessandro Gamberini,亞歷山德羅·甘貝里尼
Alberto Grimaldi,埃爾博托·格里莫迪
Cristina Chiabotto,克里斯蒂娅娜·恰波托
Stefano Donagrandi,斯特凡诺·多纳格兰迪
Ferdinando Mandrini,费迪南多·曼德里尼
Davide Bombardini,戴维德·邦巴尔迪尼
Cigoli,奇哥利
Clyde Geronimi,克萊德·傑洛尼米
Bruno Monti,布鲁诺·蒙蒂
Alessandro Petacchi,亚历山德罗·皮塔基
Ruggiero Rizzitelli,鲁吉耶罗·里齐泰利
Tinto Brass,丁度·巴拉斯
Antioco Piseddu,安提約古·皮塞杜
Umberto Colombo,翁貝托·可倫坡
Curzio Malaparte,马拉帕尔泰
Fabrizio Moro,法布里奇奧·莫羅
Mark Bresciano,馬克·比斯安奴
Bruno Mora,布鲁诺·莫拉
Bruno Oberle,布鲁诺·奥伯勒
Ercole Gallegati,埃尔科莱·加莱加蒂
Franco Alfano,阿爾法諾
Maxi López,马克西·洛佩斯
Giorgio Moroder,乔吉奥·莫罗德尔
Vincenzo Nibali,文森佐·尼巴利
Mauro Fiore,慕洛·費奧利
Bruno Lauzi,布魯諾·勞茲
Sebastiano Mainardi,巴斯蒂亞諾·梅納迪
Bruno Pedron,勃路諾·佩德龍
Giovanni Zucchi,乔瓦尼·祖基
Luciano Giovannetti,卢恰诺·焦万内蒂
Francesco Carpino,弗朗切斯科·卡皮諾
Gianluca Pagliuca,詹盧卡·帕柳卡
Giuseppe Di Stefano,朱塞佩·德·史帝法諾
Emiliano Moretti,埃米里亚诺·莫雷蒂
Galvano Della Volpe,德拉·沃尔佩
Diego Alves,迭戈·阿尔维斯
Anna Finocchiaro,安娜·芬諾恰羅
Pier Luigi Nervi,皮埃爾·奈爾維
Giancarlo Judica Cordiglia,贾恩卡洛·朱迪卡·科迪格利亚
Cesare Amè,凱薩·亞梅
Gennaro Delvecchio,真拿路·迪維基奧
Franco Basaglia,法蘭科·巴薩格利亞
Maurilio De Zolt,毛里利奥·德佐尔特
Sergio Toppi,塞爾吉奧·托皮
Vittorio Cottafavi,维托里奥·科塔法维
Alessandro D'Alatri,亚历山德罗·达拉特里
Renato De Maria,雷纳托·玛丽亚
Giovanni Gallavotti,乔瓦尼·加拉沃蒂
Alessia Trost,阿莱西娅·特罗斯特
Nando Cicero,南特·切西罗
Daniele Ciprì,丹尼尔·西皮里
Bruno Pellizzari,布鲁诺·佩利扎里
Fabio Carpi,法比奥·卡尔皮
Fortunato Depero,福尔图纳托·德佩罗
Maurizio Stecca,毛里齐奥·斯泰卡
Mario Curletto,马里奥·库莱托
Enzo Bearzot,恩佐·贝阿尔佐特
Carlo Levi,C. 莱维
Maurizio De Angelis,毛里齐奥·德·安吉利斯
Rosso Fiorentino,羅索·菲奧倫蒂諾
Marco Tardelli,塔迪尼
Vincenzo Fiorillo,文森佐·菲奧里洛
Angelo Ogbonna,安杰洛·奥邦纳
Cristiano Zanetti,克里斯蒂亞諾·扎內蒂
Luigi Di Biagio,路易吉·迪比亚吉奥
Ciro Ferrara,西罗·费拉拉
Franco Corelli,弗兰科·科莱里
Cristian Molinaro,克里斯蒂安·莫利纳
Sacha Modolo,萨查·莫多罗
Ciro Polito,奇羅·波利托
Alessio Romagnoli,阿萊西奥·羅馬尼奥利
Bruno Rubeo,布魯諾·魯比
Bruno Rossi,布魯諾·B·羅西
Luciano Dalla Bona,卢恰诺·达拉博纳
Danilo Mainardi,達尼洛·梅納迪
Cristian Rodríguez,基斯甸·洛迪古斯
Ettore Bugatti,埃托雷·布加蒂
Leone Pompucci,利昂纳·波普奇
Nicola Formichetti,尼古拉·福米切蒂
Giovanni Pisano,乔凡尼·皮萨诺
Nicola Rizzoli,列斯素利
Libero De Rienzo,利贝罗·德·里恩佐
Carlo Di Palma,卡洛·迪·帕爾馬
Simone Inzaghi,西蒙尼·因扎吉
Mario Del Monaco,马里奥·德·摩纳哥
Roberto Faenza,罗贝托·费恩察
Simone Vanni,西莫内·万尼
Ivanoe Bonomi,伊万诺埃·博诺米
Mauro Tassotti,毛罗·塔索蒂
Carlo Peretti,卡洛·佩雷蒂
Luciano De Crescenzo,路西安諾·狄克萊仙佐
Andrés D'Alessandro,安德列斯·达历山德罗
Federico Colbertaldo,费代里科·科尔贝塔尔多
Maria Elisabetta Alberti Casellati,伊丽莎白·卡塞拉蒂
Sergio Fantoni,塞吉歐·芬托尼
Davide Ferrario,大卫·法兰里奥
Giancarlo Giannini,吉安卡羅·吉安尼尼
Luigi Luca Cavalli-Sforza,路易吉·路卡·卡瓦利-斯福扎
Salvatore Samperi,萨尔瓦多勒·桑別尼
Giorgio Simonelli,乔治·西莫内利
Piero Ferrari,皮耶罗·法拉利
Tonino Valerii,托尼諾·瓦萊里
Carlo Vanzina,卡罗·瓦兹纳
Calisto Tanzi,卡利斯托·坦茲
Valentino von Braitenberg,瓦伦蒂诺·布瑞滕堡
Andrea Ranocchia,安德雷亚·拉诺基亚
Daniele Luchetti,丹尼歐里·路查提
Elia Viviani,埃里亚·维维亚尼
Dario Bellezza,D. 贝莱扎
Francesco Bolzoni,弗朗西斯科·博爾佐尼
Rocco Papaleo,罗可·帕帕雷奥
Domenico Paolella,多梅尼科·佩奥利亚
Mario Martone,马里奥·马尔托内
Carlo Mazzacurati,卡洛·马扎库拉蒂
Andrea Molaioli,安德里亚·莫莱奥尼
Ferruccio Manza,费鲁乔·曼扎
Giorgio Tirabassi,乔治·提尔阿贝西
Emilio Solfrizzi,埃米利奥·索弗里齐
Marcello Fondato,马尔切洛·丰达托
Ciriaco De Mita,西里亚科·德米塔
Renato Pozzetto,雷纳托·波泽托
Carlo Caglieris,卡洛·卡列里斯
Salvatore Bocchetti,薩瓦托·博凱蒂
Enrico Oldoini,恩里科·奥尔多尼
Sandro Mazzola,馬素拉
Baccio Bandini,巴喬班迪尼
Francesco Pannofino,弗朗西斯·潘诺菲诺
Brunello Rondi,布魯內洛·隆迪
Andrea Bargnani,安德里亚·巴格纳尼
Giovanni Veronesi,乔瓦尼·韦罗内西
Pietro Sambi,伯多祿·桑比
Lorenzo Bosisio,洛伦佐·博西西奥
Silvio Soldini,西尔维奥·索尔迪尼
Giacobbe Fragomeni,贾科贝·弗拉戈梅尼
Claudio Gentile,克勞迪奧·詹蒂萊
Angelo Schiavio,安哲羅·史基亞維奧
Alberto Zaccheroni,阿尔贝托·扎切羅尼
Alberto Bevilacqua,阿尔贝托·贝维拉夸
Giovanni Parisi,乔瓦尼·帕里西
Federico Barocci,費德里科·巴羅奇
Galliano Rossini,加利亚诺·罗西尼
Goffredo Parise,戈弗雷多·帕里斯
Marco Donadel,馬爾科·多納代爾
Valerio Fiori,瓦莱里奥·菲奥里
Cristian Daniel Ledesma,克里斯蒂安·萊德斯馬
Simone Bolelli,西莫內·博萊利
Giorgetto Giugiaro,喬吉·喬治亞羅
Paolo De Ceglie,保羅·德切列
Mariano Rumor,马里亚诺·鲁莫尔
Roberto Premier,Roberto Premier
Bahman Mohasses,巴曼·莫哈斯
Niccolò Campriani,尼科洛·坎普里亚尼
Beniamino Stella,贝尼亚米尼·斯泰拉
Benedetto Aloisi Masella,貝尼迪托·阿洛伊西·馬西拉
Beniamino Vignola,贝尼亚米诺·维尼奥拉
Benedetto Maria Salvatore Chianetta,本篤·瑪利亞·薩維·基亞內塔
Sandro Cois,山德罗·科伊斯
Benigno Zaccagnini,贝尼諾·扎卡尼尼
Matteo Bisiani,马泰奥·比夏尼
Basilio Franchina,巴西利奥·弗兰基纳
Ozzie Altobello,當·艾圖貝洛
Franco Piavoli,弗兰科·皮亚维奥利
Carlo Conti,卡罗·孔蒂
Davide Ballardini,巴拿甸尼
Maria Beatrice di Savoia,薩伏依的瑪麗亞·貝亞特麗切
Francesco Pisano,弗朗切斯科·皮薩諾
Lucia Traversa,露西娅·特拉韦尔萨
Dino Ballacci,迪诺·巴拉奇
Beda Umberto Paluzzi,伯達·享伯·帕盧齊
Luca Garritano,盧卡·加里塔諾
Mario Perniola,马里奥·佩尔尼奥拉
Benito Cocchi,貝尼托·科基
Luis Bacalov,路易斯·巴卡洛夫
Benvenuto Italo Castellani,本凡諾多·伊塔洛·卡斯泰拉尼
Ernesto Pellegrini,埃內斯托·佩萊格里尼
Ladislao Mittner,密特那
Paola Senatore,宝拉·塞纳托雷
Bernardino Marchió,伯爾納鐸·馬爾基奧
Nicola Vizzoni,尼古拉·维佐尼
Giuseppe Brotzu,朱塞佩·布羅祖
Vincenzo Cerami,温琴佐·塞拉米
Daniele Conti,达尼埃莱·孔蒂
Stanislao Nievo,斯塔尼斯劳·涅沃
Nicola Pozzi,尼古拉·波齊
Paolo Vidoz,保罗·维多兹
Federico Luzzi,費德歷高·盧斯
Lorenzo Savadori,羅倫佐·沙巴多利
Nicola Rodigari,尼古拉·罗迪加里
Leonardo Benvenuti,李奧納多·本維努提
Serse Cosmi,高斯美
Giulio Paolini,朱利奥·鲍里尼
Riccardo Ehrman,里卡多·埃尔曼
Renzo Calegari,倫佐·卡萊加里
David Hofer,大衛·霍弗
Paolo Milanoli,保罗·米拉诺利
Arnaldo Andreoli,阿纳尔多·安德烈奥利
Cristiano Biraghi,克里斯蒂亞諾·比拉吉
Luca Colombo,卢卡·科隆博
Camillo Bazzoni,卡米洛·巴佐尼
Graziano Rossi,格拉齊亞諾·羅西
Rossella Izzo,罗塞拉·伊佐
Ernesto Civardi,埃內斯托·西瓦迪
Corrado Olmi,科拉多·歐密
Corrado De Concini,科拉多·德·康契尼
Fabio Aru,法比奥·阿鲁
Franco Sacchetti,撒介題
Pierluigi Marzorati,皮耶路易吉·马尔佐拉蒂
Franco Indovina,佛朗哥·印多维纳
Nicola Zingaretti,尼科拉·津加蒂
Emanuele Birarelli,埃曼努爾·比拉雷利
Romano Fogli,罗马诺·福利
Giacomo Beretta,賈科莫·貝雷塔
Giampiero Albertini,詹皮耶羅·阿爾貝蒂尼
Claudio Amendola,克劳迪奥·阿门多拉
Éva Henger,伊娃·亨格
Sebastián Dubarbier,塞巴斯蒂安·杜巴比爾
Giulio Questi,吉里歐·庫斯替
Paolo Casarin,保罗·卡萨林
Gianfranco Parolini,吉安弗兰科·帕洛里尼
Leandro Greco,萊昂德羅·格雷科
Francesco Gabriotti,弗朗切斯科·加布廖蒂
Costantino Rocca,科斯坦蒂諾·羅卡
Cristian Bucchi,克里斯蒂安·布基
Gaetano Arturo Crocco,加埃塔诺·阿图罗·克罗科
Claudio Simonetti,克劳迪奥·西蒙内蒂
Umberto Betti,温贝尔托·贝蒂
Luca Guadagnino,盧卡·格達戈尼諾
Walter Novellino,沃爾特·諾維利諾
Sergio Pagano,思齊·帕加諾
Manuela Arcuri,曼奴拉·阿库里
Emanuele Terranova,埃曼紐爾·特拉諾瓦
Igor Protti,伊戈尔·普罗蒂
Gennaro Iezzo,詹纳罗·耶佐
Vincenzo Orlandini,文森佐·奥兰蒂尼
Gianni Bruno,吉亞尼·布魯諾
Pietro Aradori,皮爾特洛·阿拉多里
Fabrizia D'Ottavio,法布里齐娅·多塔维奥
Giorgio Amendola,阿曼杜拉
Claudio Undari,罗伯特·肯达尔
Andrea Occhipinti,安德烈亚·奥基平蒂
Guido Tonelli,吉斗·圖內利
Mattia Perin,馬蒂亞·佩林
Andrea Lehotská,安德里亚·莱霍茨卡
Franco Menichelli,佛朗哥·梅尼凯利
Danilo Donati,達尼羅·多納蒂
Carlo Emilio Bonferroni,卡罗·埃米利奥·邦费罗尼
Franco Rossi,佛朗哥·羅西
Fabio Ferri,法比奥·费里
Billy More,比利·默爾
Biagio Izzo,比亚焦·伊佐
Fabrizio Bernardi,法伯瑞兹欧·伯纳德
Claudio Vandelli,克劳迪奥·万代利
Pietro Lombardi,彼得罗·隆巴尔迪
Lando Buzzanca,兰多·布赞卡
Tino Buazzelli,蒂诺·布阿泽利
Flavio Bucci,弗拉维奥·布奇
Matteo Garrone,马泰奥·加罗内
Agnese Nano,阿涅塞·納諾
Carlo Alighiero,卡洛·阿利吉耶罗
Nancy Brilli,南希·布里利
Luca Pellegrini,卢卡·佩莱格里尼 (1963年)
Renato Zaccarelli,雷納托·扎卡雷利
Cinzia Monreale,琴祺雅·蒙内亚勒
Emilio Caprile,埃米利奥·卡普里莱
Carla Mancini,卡拉·曼奇尼
Carla Signoris,卡拉·锡格纳里斯
Cristiano Del Grosso,克里斯蒂亞諾·德爾·格羅索
Sergio Porrini,塞尔吉奥·波里尼
Emiliano Bonazzoli,埃米利亞諾·博納佐利
