Hebe Camargo,赫柏·卡马戈
Douglas Maradona Campos Dangui,杜格拉斯·馬拉當拿·甘波斯·丹古
Marjorie Estiano,馬喬里·德奧利維拉
Paulo André,保罗·安德烈·克伦·贝尼尼
Elizeu Ferreira Marciano,艾利施路·費利拿·馬斯安奴
Wellingsson de Souza,威靈臣·迪·蘇沙
Rogério Dutra da Silva,羅傑里奧·杜特拉·達·席瓦
William Júnior Sales de Lima Souza,威廉·儒尼奥·萨雷斯·德·利马·索萨
Giselle Itié,吉瑟勒爾·伊迪斯
Clodoaldo Hugueney,克洛多瓦尔多·胡格内·菲略
Geovani Silva,吉奧瓦尼·法利亞·達·席爾瓦
Érika Cristiano dos Santos,埃里卡
Lucélia Santos,卢塞利娅·桑托斯
William Rocha Batista,巴蒂斯塔
José Ricardo Rambo,荷西·列卡度·蘭保
Felipe de Oliveira Conceição,费利佩·孔塞桑
Antonio Pinto,安東尼奧·平托
Thiago Rangel Cionek,蒂亞戈·西奥内克
Sheyla Hershey,謝拉·阿爾梅達·赫爾希
Carlos Alberto Torres,卡洛斯·阿尔贝托·托雷斯
Maria Olívia da Silva,瑪麗亞·奧利維亞·達席爾瓦
Rodrigo Defendi,罗德里格·德芬迪
Roberto Calmon Félix,羅拔圖·卡蒙·菲利克斯
Genival Saraiva de França,熱尼瓦爾·薩拉依瓦-德-法蘭薩
Rodrigo Santoro,罗德里格·桑托罗
Anselmo de Moraes,安塞尔莫·德·莫拉斯
João Justino de Medeiros Silva,若望·猶斯定·德·梅德羅斯·西爾瓦
Josef de Souza Dias,约瑟夫·索萨
Humberto Castelo Branco,温贝托·德·阿伦卡尔·卡斯特洛·布兰科
Ernesto Geisel,埃內斯托·蓋澤爾
Nicholas Santos,尼古拉斯·桑托斯
Francisco Carlos Martins Vidal,希康
Monteiro Lobato,蒙泰罗·洛巴托
Gilberto Milos,吉尔伯托·米洛斯
Gilberto Pereira Lopes,吉爾伯·佩雷拉-洛佩斯
Gilson Andrade da Silva,吉爾松·安德拉德-達-西爾瓦
João Carlos Pinto Chaves,若奥·卡洛斯·平托·查韦斯
Hélio Oiticica,埃利奧·奧蒂西卡
Daniella Cicarelli,丹妮埃拉·西卡雷莉
Eurico Gaspar Dutra,尤里科·加斯帕尔·杜特拉
Mancini,文仙尼
Hugo Leonardo Silva Serejo,里奥·席尔瓦
Thiago Rockenbach,蒂亚戈·罗肯巴赫
Aldair Santos do Nascimento,阿戴爾
Roger Guerreiro,羅傑爾·蓋雷羅
Bruno Fratus,布魯諾·富拉圖斯
Gökçek Vederson,韋達遜
Caio Ribeiro Decoussau,卡約·里貝羅
Susana Werner,苏珊娜
Mariana Ximenes,玛里亚娜·希梅内斯
Djalma Santos,賈爾馬·山度士
Emicida,Emicida
Yuri de Souza,尤里·丰塞卡
Cristiano Marques Gomes,克里斯蒂亚诺·马克斯·戈麦斯
Antônio Augusto Dias Duarte,安多尼·奧斯定·迪亞斯-杜阿爾特
Antonio Agostinho Marochi,安東尼奧·阿戈什蒂紐·馬羅基
Marcos Antônio Elias Santos,马科斯·安东尼奥·埃利亚斯·桑托斯
Márcio Roberto dos Santos,杉圖斯
Cláudio Marzo,克劳迪奥·马索
Cláudio Coutinho,克勞迪奧·庫蒂尼奧
Kieza,杰萨
Waldemar Santana,沃爾德瑪·桑塔那
Paulo Antônio de Conto,保祿·安多尼·德-孔托
Paulo César Rocha Rosa,保羅施薩洛查
Patrick da Silva,柏德歷·達施華
Vilson Dias de Oliveira,威爾遜·迪亞斯-德奧利韋拉
Ítalo Zappa,伊塔洛·扎帕
Coutinho,科廷霍
Giovanna Antonelli,焦万娜·安东内利
Antonio Possamai,安东尼奥·波萨马伊
Antônio Wagner da Silva,安多尼·瓦格納-達-席爾瓦
Edmílson,埃德米尔森
Cláudio Taffarel,克劳迪奥·塔法雷尔
Antônio de Sousa Neto,安東尼奧·蘇薩·內托
Tcheco,特切科
Antônio Flávio Aires dos Santos,安东尼奥·弗拉维奥
Claudinei Quirino,克劳迪内·达席尔瓦
César Cielo,塞萨尔·西埃洛
Vágner Love,瓦格纳·勒夫
Vinícius de Oliveira,文尼休斯·迪欧利斐拉
Anuar Battisti,阿努阿爾·巴蒂斯蒂
Rodrigo Taddei,羅德里戈·塔代伊
Moisés Moura Pinheiro,莫伊塞斯
Jânio Quadros,雅尼奥·夸德罗斯
Café Filho,若昂·卡费·菲略
Prudente de Morais,普鲁登特·德·莫拉伊斯
Paula Pereira,保拉·比阿特丽斯·佩雷拉
Guilherme Porto,威廉·波爾圖
Rafael Cabral,拉斐尔·卡布拉尔·巴博萨
Diego Cavalieri,迭戈·卡瓦列里
Caetano Veloso,卡耶塔諾·費洛索
Lúcio Costa,盧西奧·科斯塔
Emílio Garrastazu Médici,奧米利奧·梅迪西
David Bohm,戴维·玻姆
Ricardo Rogério de Brito,阿莱芒
Taison,泰森
Casemiro,卡斯米路
Waldemar Chaves de Araújo,瓦爾德馬爾·查韋斯·德·阿奧霍
Mel Fronckowiak,梅尔·佛朗科瓦克
André Santos,安德烈·桑托斯
Nelson Jobim,内尔松·若宾
Rodrigo Vergilio,洛迪高·維基奧
Fábio Bilica,法比奥·比利卡
Michel Bastos,米高·巴斯圖斯
Gabriel Bá,蓋布瑞·巴
Allan do Carmo,阿倫·度·卡爾穆
Dênis Marques,丹尼斯·马克斯
Marcus Túlio Tanaka,田中鬥莉王
Davi Rodrigues de Jesus,达维·罗德里格斯·德·赫苏斯
Alceu Rodrigues Simoni Filho,艾斯奧
Cássio Motta,卡斯奧·莫達
José Rodolfo Pires Ribeiro,何塞·鲁道夫·佩雷斯·里贝罗
Leandro Castán,莱昂德罗·卡斯坦
Carina Beduschi,卡里纳·贝德施
Natália Anderle,纳塔利娅·安德利
Florinda Bolkan,佛洛琳達·波坎
Amoroso,馬西奧·阿武羅素
Sanderlei Parrela,桑德雷·帕雷拉
Sérgio Echigo,塞尔吉奥·越後
Bruno Mossa de Rezende,布魯諾·雷森德
Roberto Lopes Miranda,罗伯托
Francisco Jaílson de Souza,法蘭斯高·泰利臣·迪·蘇沙
Marcelino Júnior Lopes Arruda,马塞林诺·儒尼奥·洛佩斯·阿胡达
Gilton Ribeiro,基列頓·列比路
Fernando Romboli,费尔南多·龙波利
João Cabral de Melo Neto,若昂·卡布拉尔·代·美罗·尼图
DJ Patife,德杰·帕夫
Jucilei,尤西雷
Anita Garibaldi,阿妮塔·加里波第
Mr. Thug,Mr. Thug
Edison Mandarino,何塞·爱迪生·曼达里诺
Juliano Roberto Antonello,儒卡
Paulo Roberto Falcão,保羅·羅伯托·法爾考
Antônio Carlos Zago,安東尼奧·卡路士·薩高
Artur da Costa e Silva,阿图尔·达科斯塔·伊·席尔瓦
Afonso Pena,阿方索·佩纳
Washington Luís,华盛顿·路易斯·佩雷拉·德索萨
Machado de Assis,马查多·德·阿西斯
Gilberto da Silva Melo,吉爾伯托·梅洛
Tostão,托斯唐
Artur Bernardes,阿图尔·达席尔瓦·贝纳德斯
Adriane Galisteu,阿德莉安妮·加利斯特屋
Kléberson,若泽·克莱伯森
Epitácio Pessoa,埃皮塔西奥·达席尔瓦·佩索阿
Eduardo da Silva Nascimento Neto,伊度亞度·尼圖
Adi,阿迪尔森·多斯·桑托斯
Eninho,埃尼尼奥
Rômulo Marques Macedo,罗幕洛·马尔克斯·马赛多
Denílson de Oliveira,德尼尔森
Mário Zagallo,马里奥·扎加洛
César Charlone,塞薩爾·查朗
Leovegildo Lins da Gama Júnior,儒尼奧爾
Edvaldo Izídio Neto,瓦瓦
Leônidas da Silva,李安尼達斯·達施華
Giuseppe Ungaretti,朱塞培·翁加雷蒂
Frederico Chaves Guedes,佛雷德里科·查韦斯·格德斯
Paulo Mendes da Rocha,保罗·门德斯·达·罗查
Hermes da Fonseca,赫耳墨斯·罗德里格斯·达·丰塞卡
Mineiro,卡洛斯·卢西亚诺·达席尔瓦
Maria Fernanda Cândido,玛丽亚·费尔南达·坎迪多
Eduardo Saverin,愛德華多·薩維林
Wellington Silva,威靈頓·施華
Raul Plassmann,劳尔·普拉斯曼
Rodrigo Fabiano Mendes,洛迪高·文迪斯
Hélia Souza,弗法奥
Philippe Coutinho,菲利普·库迪尼奥
Sylvinho,施雲奴
Leo Stronda,里奥·斯特龙达
Fábio Henrique Tavares,法比奥·恩里克·塔瓦雷斯
Joaquim Arcoverde de Albuquerque Cavalcanti,若亞敬·阿爾科韋爾德·德·阿爾布克爾克爾·卡瓦爾坎蒂
Glaube Feitosa,古拉贝·菲托撒
Juninho Petrolina,儒尼尼奥·佩特罗利纳
Laurindo Almeida,勞林多·阿爾梅達
Augusto Tasso Fragoso,奥古斯托·塔索·弗拉戈索
José Sette Câmara Filho,何塞·塞特·卡马拉·菲略
Rafael Felipe Scheidt,拉斐尔·夏伊德
Guilherme Clezar,古伊列梅·克里札
Carlos Roberto Gallo,卡洛斯·加洛
Danilo Faria Alvim,丹尼洛·艾爾文
Darcy Ribeiro,達西·里貝羅
Marcos Pizzelli,皮澤利
Didi,迪迪
Marcos Paulo Alves,馬高斯·保羅
Maicosuel Reginaldo de Matos,麦克苏埃尔
Alberto Santos Dumont,亞伯托·桑托斯·杜蒙
Naldo,纳尔多
Ziad Fazah,齐亚德·法扎赫
Daniel Paiola,丹尼尔·帕约拉
Lucas Rodrigues Moura da Silva,卢卡斯·罗德里格斯·莫拉·达席尔瓦
Daniel Rezende,丹尼尔·雷曾德
Anselmo Ramon,安塞尔莫·拉蒙
Sérgio Cláudio dos Santos,塞尔吉尼奥
Thomaz Bellucci,托馬斯·貝魯奇
Maria Francisca de Orléans e Bragança,奥尔良-布拉干萨的玛利亚·弗朗西斯卡
Renato Cajá,雷纳托·卡贾
Christian Corrêa Dionísio,克里斯蒂安·科雷亚·迪奥尼西乌
José Marcelo Ferreira,約瑟·馬塞洛·費雷拉
Samara Felippo,萨马拉·费利波
Roberto Batata,羅伯托·巴塔塔
João Soares de Almeida Filho,若昂济尼奥·阿尔梅达
Dorival Júnior,多里瓦尔·儒尼奥尔
Marcelo Chierighini,馬塞洛·切爾希尼
Catê,馬爾科·安東尼奧·萊莫斯·托齊
Marcos Assunção,馬科斯·阿松桑
José Antônio Peruzzo,若瑟·安多尼·佩魯佐
Sidney Pullen,西德尼·普倫
Andrés D'Alessandro,安德列斯·达历山德罗
Henrique Adriano Buss,恩里克·布斯
Kerlon Moura Souza,卡朗
Raí,萊爾·奧利維拉
Diego Alves,迭戈·阿尔维斯
Deco,迪高
Márcio Araújo,馬斯奧·阿勞約
Davi Kopenawa Yanomami,戴维·科佩纳瓦·亚诺马米
Pagu,巴古
Ariclenes da Silva Ferreira,艾利
Sérgio Eduardo Castriani,思齊·愛德華·卡斯特里亞尼
Filadelfo de Azevedo,菲拉德爾福·阿澤維多
Adriana Aparecida dos Santos,阿德里亚娜·桑托斯
Márcio Rezende,雷森德
Andre Matos,安德烈·馬特斯
Roque Júnior,罗克·儒尼奥尔
Carlos Simon,卡洛斯·欧赫尼奥·西蒙
Rodrigo José Carbone,罗德里格·约瑟·卡尔本
Nenê,尼利
Rodrigo Izecson dos Santos Leite,迪加奧
Paulo Henrique Ganso,保罗·恩里克·甘索
Sonny Anderson,桑尼·安德森
Fábio Júnior,小法比奥
Bruno Segadas Vianna de Carvalho,布魯諾·卡瓦略
Rafael Wihby Bracali,拉斐尔·巴卡利
Hernanes,埃尔纳内斯
Wagner Ferreira dos Santos,瓦格纳·费雷拉·多斯桑托斯
João Miranda de Souza Filho,小若奥·米兰达·德索萨
Juninho Paulista,儒尼尼奥·保利斯塔
Mauricio de Sousa,毛里西奥·代·索萨
João Alves de Assis Silva,若
Keirrison,凱里森·德·索薩·卡爾內羅
José Linhares,若泽·里尼亚雷斯
Paulo Sérgio Silvestre Nascimento,保罗·塞尔吉奥
José Perácio,若泽·佩拉西奥
Evandro Goebel,伊萬德羅·戈貝爾
Rudnei da Rosa,卢德尼·达罗萨
Jardel Nivaldo Vieira,雅德尔·尼瓦尔多
Paulo Marcos de Jesus Ribeiro,保罗·马科斯·德·约苏斯·里贝罗
Silvinho Canuto,施維奴·荷西·簡魯圖
Pintado,平塔多
Rodrigues Alves,弗朗西斯科·德·保拉·罗德里格斯·阿尔维斯
Venceslau Brás,文塞斯劳·布拉斯·佩雷拉·戈麦斯
Rodrigo Alvim,羅德里戈·阿爾維姆
Fernandão,費爾南多·盧西奧·達科斯塔
Vanderlei Luxemburgo,万德雷·卢森博格
Nilo Peçanha,尼洛·普罗科皮奥·佩萨尼亚
Vágner Mancini,瓦格纳·曼西尼
Luís Henrique Dias,路易斯·恩里克 (1960年)
Edu Gaspar,爱德华多·塞萨尔·加斯帕尔
Ricardo Oliveira,里卡多·奥利维拉
Mário Jardel Almeida Ribeiro,马里奥·雅德尔
Marcos Pontes,馬可斯·龐特斯
Lucas Severino,卢卡斯·塞韦里诺
Marquinhos Cambalhota,馬高斯·高美斯·達·阿盧洛
Pedro Júnior,柏度·比斯普·摩利拿·祖利亞
Raphael de Almeida Magalhães,拉斐尔·德·阿尔梅达·马加拉斯
Raul Roulien,劳尔·罗利安
Ariano Suassuna,阿里亚诺·苏萨苏纳
Ramez Tebet,拉梅兹·特贝特
Ramon Machado,拉蒙·马查多·德·马其多
Diego Hypólito,迭戈·伊波利托
Luís Augusto Osório Romão,路爾斯·奧古斯圖·奧索里奧·羅馬奧
Marcus Vinicius de Morais,馬高斯·雲斯奧斯·迪·莫拉爾斯
Carlos José Castilho,卡洛斯·何塞·卡斯蒂略
Alex Chandre de Oliveira,阿莱克斯·尚德雷·德·奥利韦拉
Sérgio Dutra Junior,儒尼奧爾·杜特拉
Wallace Leandro de Souza,华莱士·德索萨
Wellington Paulista,惠靈頓·保利斯塔
Teixeira Mendes,萊蒙度·特些拉·門德斯
Lisa Ono,小野丽莎
Roberto Farias,羅伯托·法里亞斯
Marcos Antônio da Silva Gonçalves,馬科斯·安東尼奧·達席爾瓦·貢薩爾維斯
Fábio Deivson Lopes Maciel,法比奧
José Maria Alkmin,若澤·馬利亞·奥克明
Luiz Gustavo Dias,路易斯·古斯塔沃
Bob Burnquist,鮑伯·勃奎斯特
Diego Maurício,迭戈·毛里西奥
Elinton Sanchotene Andrade,埃林顿·安德拉德
Carlos Arthur Nuzman,卡洛斯·亞瑟·努茲曼
Perla Haney-Jardine,佩拉·哈莉-賈德林
Ademir Menezes,阿迪米亞
Augusto Pacheco Fraga,奥古斯托·帕切科·弗拉加
Netinho,内蒂尼奥
Amon Tobin,阿蒙·托宾
Thomas Cochrane,閣麟
Fernando Andrade dos Santos,费尔南多·安德拉德
Rodrigo Pereira Possebon,罗德里格·波塞邦
Antônio Francisco Braga,佛朗西斯科·布拉加
César Sampaio,塞萨尔·桑帕伊奥
Jonas Gonçalves Oliveira,若纳斯·贡萨尔维斯·奥利韦拉
Rodrigo Pimpão,罗德里戈·平庞
Paulo Evaristo Arns,保罗·埃瓦里斯托·阿恩斯
Tchô,特楚
Gilberto Freyre,吉尔贝托·弗雷雷
Marlos,马洛斯
João Etzel Filho,若昂·埃策爾·菲略
André Ramiro,安德烈·拉米罗
Augusto Leopoldo de Saxe-Coburgo e Bragança,奧古斯特·利奧波德 (薩克森-科堡-哥達)
Jorge Furtado,乔奇·弗塔度
Nereu Ramos,内雷乌·拉莫斯
Sérgio Vieira de Mello,塞尔吉奥·维埃拉·德梅洛
Chico Buarque,奇科·布尔克
Vinicius de Moraes,维尼修斯·德莫赖斯
Leonardo Ferreira da Silva,李安納度·費拉拿·達施華
DJ Marky,德杰·马基
Candido Portinari,坎迪多·波尔蒂纳里
Cristiano Sebastião de Lima Júnior,克里斯蒂亞諾·儒尼奧爾
Alberto Dines,阿爾貝托·迪內斯
Leandro Guilheiro,莱安德罗·古列罗
Lovefoxxx,Lovefoxxx
Maguila,歐迪生·羅德里格
Marcelo Demoliner,马塞洛·德莫里内
Roberto Abdenur,罗伯托·阿布德努尔
Léo Baptistão,莱奥·巴普蒂斯唐
Isadora Williams,伊莎多拉·威廉姆斯
Rickson Gracie,瑞克森·格雷西
Fernanda Montenegro,費爾蘭德·蒙特納哥
Leonardo Bittencourt,萊昂納多·比滕考特
Fernando Lucas Martins,费尔南多·卢卡斯·马丁斯
Rodrigo Gral,羅德里戈·格拉爾
Fernando Meirelles,费尔南多·梅雷莱斯
Filipe Luís Kasmirski,菲利佩·路易斯·卡斯米尔斯基
Jaime Spengler,雅各伯·斯賓格勒
Stefani Miglioranzi,史芬尼·米利奧蘭斯
Irineu Sílvio Wilges,依勒內·西爾維奧·維爾熱斯
Rogério Ceni,罗热里奥·塞尼
Douglas da Silva,杜格拉斯·達·施華
João Paulo Fabio,若昂·保羅·法比奧
Ivan Lins,伊凡·林斯
Luís Carlos Nunes da Silva,卡利尼奧斯
Roberto Pirillo,罗伯托·皮里洛
Fabiano Santacroce,法比亚诺·桑塔克罗切
João Braz de Aviz,若昂·布拉兹·德阿维斯
Donato Gama da Silva,多纳托·加马·达·席尔瓦
Alexander Kellner,亞歷山大·克爾納
Robert de Pinho de Souza,羅伯特·德·皮尼奧·德·索薩
Wanderson de Paula Sabino,雲達臣·迪·保拉·沙賓奴
Odilo Scherer,奥迪利奥·佩德罗·舍雷尔
Careca,卡雷卡
Marcos Roberto Silveira Reis,马科斯·罗伯托·西尔维拉·雷斯
Ricardo Semler,里卡多·塞姆勒
Arnaldo Cezar Coelho,阿納爾多·切扎爾·科埃略
Felipe Mattioni Rohde,費利佩·馬蒂奧尼
Joe Penna,喬·佩納
Sérgio Mendes,塞吉歐曼德斯
Roger Bernardo,羅渣·比拿度
Rubens Augusto de Souza Espínola,魯本斯·奧古斯托·德索薩·埃斯皮諾拉
Mauro Silva,毛罗·席尔瓦
Afonso Alves,艾方素·艾維斯
Bentinho,安东尼奥·本托·多斯·桑托斯
Augusto Farfus,奥古斯托·法富斯
Luís Augusto de Saxe-Coburgo-Gota,路德維希·奧古斯特 (薩克森-科堡-哥達)
Waldemar Aureliano de Oliveira Filho,馬辛尼奧·奧利維拉
Paulo Rink,保罗·林克
Josafá Menezes da Silva,若薩法·梅內澤斯-達-西爾瓦
Moacir Barbosa Nascimento,阿西尔·巴博萨
Derlei,德尔雷
Gil de Ferran,吉爾·德·費蘭
Hércules Brito Ruas,布里托·魯阿斯
José Alencar,若澤·阿倫卡爾
José Gislon,若瑟·吉斯隆
Mike Deodato Jr.,麥克·奧多托
Bartolomeu de Gusmão,巴托洛米奥·洛伦哥·德·古斯茂
Carlos Brito,薄睿拓
Adaílton Martins Bolzan,艾達頓·馬田斯·保坦
Pere Casaldàliga,佩德罗·卡萨尔达利加
Ademir da Guia,阿德米尔·达吉亚
Adi Rocha Sobrinho,阿迪·罗查·索布里尼奥·菲尔霍
Anderson Silva,安德森·席尔瓦
Antônio Carlos Konder Reis,安東尼奧·卡洛斯·康德·雷斯
Luiz Carlos Bombonato Goulart,路易桑
Iomar do Nascimento,馬真尼奧
Branco,布蘭科
Fernando Baiano,费尔南多·巴亚诺
César Aparecido Rodrigues,施薩
Flávio Conceição,弗拉維奧·康塞桑
Junior Negão,尼加奧
Edino Nazareth Filho,埃迪尼奥
Neto Baiano,鲁华度·祖西·达·艾古亚·尼图
Rafael Sóbis,拉斐尔·索比斯
Giuliano Victor de Paula,久利亚诺
Vragel da Silva,维拉格尔·达·席尔瓦
Gilberto Mendes,吉尔伯托·曼德斯
Paulo Roberto Chamon de Castilho,保利尼奥·瓜拉
Edmundo Sussumu Fujita,藤田進
Edmundo de Macedo Soares e Silva,埃德蒙多·狄·馬切多·蘇亞雷斯·席爾瓦
Edney Gouvêa Mattoso,埃德尼·戈維亞-馬托佐
Jarbas Faustinho,阿爾巴斯·佛斯丁尼奧
Duque de Caxias,路易斯·阿尔维斯·利马·席尔瓦
Marcelo BARON Polanczyk,巴隆
Luan Santana,盧安·桑塔納
Adhemar Ferreira de Camargo Neto,阿德马尔
Carlos Ghosn,卡洛斯·戈恩
José Belvino do Nascimento,何塞·貝爾維諾·納西門托
José Benedito Simão,若瑟·本篤·西滿
José Cardoso Sobrinho,若瑟·卡爾多索·索布利尼奧
Tim Maia,蒂姆·马雅
Bertha Lutz,伯莎·玛丽亚·朱莉亚·鲁兹
Sebastião Salgado,塞巴斯蒂昂·萨尔加多
Eugénio Sales,歐仁尼奧·薩勒斯
Nenê Hilário,内内
Renato Augusto,雷纳托·奥古斯托
Tiago Splitter,蒂亚戈·斯普利特
Edenilson Andrade dos Santos,埃德尼爾森·安德拉德·多斯桑托斯
Pedro Antônio Marchetti Fedalto,伯多祿·安多尼·馬爾謝蒂-費達爾托
José Alberto Moura,若瑟·阿爾伯·莫拉
José Murilo de Carvalho,若泽·穆里洛·德·卡瓦略
José Telles da Conceição,若泽·达孔塞桑
França,法蘭卡
Túlio Maravilha,图利奥·马拉维利亚
José Oscar Bernardi,奥斯卡 (足球員)
Pedro Botelho,柏祖羅拔圖
Jádson,謝臣
Bernardinho,贝尔纳多·雷森德
Gustavo Endres,古斯塔沃·安德斯
Mestre Bimba,曼努埃爾·多斯黑斯·馬夏多
Erison Carlos dos Santos Silva,艾利臣·卡路士·度斯·山度士·施華
Francisco Mignone,弗朗西斯科·米戈农
Bruno César,布鲁诺·塞萨尔
Florent Amodio,佛罗伦特·阿莫迪欧
Thomaz Koch,湯瑪斯·科赫
Telê Santana,特裡·桑塔納·達席爾瓦
Marcos Aurélio de Oliveira Lima,馬高斯·歐拿里奧·達·奧利華拉·利馬
José Maria Maimone,若瑟·瑪利亞·邁莫內
Alessandro dos Santos,三都主
Artur Ávila,阿图尔·阿维拉
Hélton da Silva Arruda,希頓
Carlos Rafael do Amaral,卡洛斯·拉斐尔·多阿马拉尔
Anderson Varejão,安德森·瓦雷让
Arthur Friedenreich,亞瑟·弗里登賴希
Jefferson Peres,杰弗森·佩雷斯
Marcelo Bordon,马塞洛·博登
José da Silva Chaves,若瑟·達-西爾瓦-沙韋斯
João Batista Lima Gomes,烈馬
Severino Clasen,塞味利·克拉森
Sebastião Roque Rabelo Mendes,施巴士坦·羅格·拉貝洛-門德斯
Jónatas Domingos,杜明高斯
João do Rio,喬奧·杜·里歐
Luís Carlos Tóffoli,高乔
Dino Sani,甸奴·辛尼
José Ely de Miranda,济托
Carlos Eduardo de Souza Floresta,卡赫
Elton da Costa,艾尔顿·达科斯塔
Emerson Moisés Costa,埃莫森·科斯塔
João Donato,若昂·多纳托
José Padilha,何塞·帕蒂尔哈
Waldo Machado,華度·馬查度
Slobodan Soro,斯洛博丹·索罗
Reinaldo Elias da Costa,雷纳尔多·埃利亚斯·达科斯塔
Luiz Henrique da Silveira,路易斯·恩里克·達西爾維拉
Marcelo Huertas,馬塞洛·赫達斯
Ricardo Alex Santos,里卡多·桑托斯
Mozart Camargo Guarnieri,莫扎特·卡马戈·瓜尼埃里
Eduardo Coutinho,爱德华多·科蒂尼奥
Ozéia,奥泽亚·德保拉·马西埃尔
José Roberto Wright,若泽·罗伯托·赖特
Lyoto Machida,流托·町田
Argélico Fuchs,阿吉爾·法克斯
Ary Barroso,艾里·巴羅佐
Domingos Antônio da Guia,多明戈斯·达吉亚
Iriney Santos da Silva,艾恩尼
Jorge Bornhausen,豪尔赫·博恩豪森
Vanderlei Cordeiro de Lima,科代萬德雷·利馬
Renan Brito Soares,雷南
Félix Miélli Venerando,菲利克斯·米埃利·維內蘭多
Davi José Silva do Nascimento,戴維·荷西·施華·度·納斯克曼多
Alessandro Nunes Nascimento,阿歷山度·紐尼斯
Jadel Gregório,賈德爾·格雷戈里
Lucas Moreira Neves,路加·莫雷拉·內維斯
Friaça,弗里亞薩
Nílton De Sordi,尼頓·德·索迪
Thiego,威廉·泰亞高·迪·捷西斯
Júlio Prestes,儒利奥·普列斯特斯
Thiago Neves,泰亞高·尼維斯
Roberto Marinho,罗伯托·马里尼奥
Guilherme dos Santos Torres,吉列尔梅·多斯桑托斯·托雷斯
Jaime Melo,海梅·梅洛
João Carlos de Oliveira,若昂·卡洛斯·代·奥利维拉
Leivinha,李維尼亞
Marcelinho Paulista,马塞利尼奥·保利斯塔
Adriano Vieira Louzada,阿德里亚诺·维埃拉·兰扎达
Marcelinho Carioca,马塞利尼奥·卡里奥卡
Adriana Behar,阿德里安娜·貝哈爾
Mônica Rodrigues,莫妮卡·羅德里格斯
Kléber Giacomance de Souza Freitas,克莱伯·加科曼斯·德·索萨·弗雷塔斯
Clemerson de Araújo Soares,克利美臣·阿拿祖
Luís Gonzaga Silva Pepeu,類思·公撒格·西爾瓦-佩佩烏
Paulo Sérgio Oliveira da Silva,塞吉尼奥
Carlos Alberto Filho de Arrascaneta,卡洛斯·阿尔贝托·德·热苏斯
Rodrigo Pessoa,罗德里戈·佩索阿
Kelvin Mateus de Oliveira,凱爾文·馬特烏斯·德·奧利韋拉
Marcelo Zarvos,馬塞羅·札佛斯
Rafael Marques Mariano,拉菲爾·馬基斯·馬利安奴
Adriana Samuel,阿德里安娜·塞繆爾
Fábio Rochemback,法比奥·罗申巴克
Silvio Carlos de Oliveira,奧利維拉
Wilson Rodrigues Fonseca,威尔森·罗德里格斯·丰塞卡
Jonas Eduardo Américo,埃杜
Maria Gomes Valentim,瑪利亞·高梅斯·瓦琳廷
Alfredo Volpi,阿爾弗雷多·沃爾夫
Sávio Bortolini Pimentel,沙維奧
Carlos Eduardo Marques,卡洛斯·爱德华多
Marco Antônio Boiadeiro,馬爾科·安東尼奧·邦亞達洛
Jair da Costa,雅伊尔·达科斯塔
Walmor Oliveira de Azevedo,瓦爾莫·奧利韋拉-德-阿澤維多
Rodrigo Moreno Machado,罗德里戈·莫雷诺·马查多
Walter Afanasieff,瓦爾特·阿法納西夫
Marcelo Antônio Guedes Filho,馬些路·安東尼奧·古迪斯·菲諾
Blanka,布蘭卡
Marco Antônio Feliciano,馬克·安東尼奧
Renato Gaúcho,雷纳托·高乔
Abel Braga,阿贝尔·布拉加
"Maria da Glória, Duquesa de Segorbe",奧爾良-布拉幹薩的瑪麗亞-德-格洛麗亞
Enemésio Angelo Lazzaris,恩內梅斯歐·安傑洛·拉扎里斯
Dudu,杜杜
José Maria Rodrigues Alves,泽马利亚
Carlos Drummond de Andrade,卡洛斯·德拉蒙·德安德拉德
Leonardo Boff,李奧納多·波夫
Marcos Corrêa dos Santos,馬科斯·科雷亞·多斯桑托斯
Luís Henrique Pereira dos Santos,路易斯·恩里克·佩雷拉·多斯桑托斯
José Serra,若瑟·賽哈
José Bonifácio de Andrada e Silva,保尼法秀
Caio Canedo Corrêa,卡約·卡內多·科雷亞
Carlos Alberto Carvalho dos Anjos Junior,卡路士·阿馬列度·卡華路·度斯·安祖·祖利亞
Fábio Santos Romeu,法比奧·桑托斯
Fabão,法比奥
Ernesto Neto,埃内斯托·内托
Aldemir Martins,阿爾德米爾·馬丁斯
Alfredo d'Escragnolle Taunay,阿尔弗雷多·德·埃斯克拉尼奥勒·托内
Osvaldo Filho,小奥斯瓦尔多·洛伦索
Guilherme Madalena Siqueira,古勒梅·謝奎拉
Luís Pereira,路易斯·佩雷拉
Roger Galera Flores,罗杰·加莱拉·弗洛雷斯
Luís Carlos Winck,路易斯·卡洛斯·温克
Muriqui,穆里奇
Gonzalo Sorondo,蘇朗度
Gui Boratto,圭·博拉托
Paulo Nagamura,保羅·永村
Tita,米爾頓·奎羅斯·達·派尚
Manuel Marinho Alves,马内卡
Moderato Wisinteiner,莫德拉托·魏賽特因納爾
Augusto Rademaker,奧古斯托·拉德馬克
Fábio Júnior Pereira,法比奧·祖利亞
Alexandre Sarnes Negrão,亚历山大·萨内斯·内格拉
Gilberto Braga,吉爾貝托·布拉加
José Ferreira Neto,荷西·費雷拉·內托
Adílson Batista,艾迪遜
Paulo Lins,保羅·林斯
