Hebe Camargo,이비 카마르구
Flávia de Oliveira,플라비아 지 올리베이라
Débora Nascimento,데보라 나시멘투
Marcelo Melo,마르셀루 멜루
Alex Sandro da Silva,알레스 산드로 다 시우바
Ricardo Gomes,히카르두 고메스
Alessandra Negrini,알레산드라 네그리니
Renata Sorrah,헤나타 소하
Marcelo Serrado,마르셀루 세하두
Natália Falavigna,나탈리아 팔라비냐
Formiga (futebolista),포르미가
Vanessa Giácomo,바네사 지아코무
Renan Barão,헤낭 바랑
Daniella Sarahyba,다니엘라 사라이바
Ronaldo da Costa,호나우두 다 코스타
Klebber Toledo,클레베르 톨레두
Mel Lisboa,메우 리즈보아
Edmundo (futebolista),이드문두 아우베스 지 소자 네투
Lincoln Cássio de Souza Soares,린코웅
Eduardo Gonçalves de Oliveira,에두아르두 곤사우베스 지 올리베이라
Maurício Rua,마우리시우 후아
Tony Ramos,토니 라모스
André Gonçalves Dias,안드레 지아스
Gracie Carvalho,그라시 카르발류
Fernanda Motta,페르난다 모타
Fernando Haddad,페르난두 아다지
Flávia Alessandra,플라비아 알레산드라
Ana Cláudia Michels,아나 클라우지아 미셰우스
Joaquim Cruz,조아킹 크루즈
Paulinho da Costa,파울리뉴 다 코스타
Aurélio Miguel,아우렐리우 미게우
Yan Gomes,얀 고메스
Deyvid Sacconi,데이비드 프랑크 시우바 사코니
Juan Jesus,주앙 길례르미 누니스 제주스
Emanuela de Paula,이마누엘라 지 파울라
Borges (futebolista),험버리토 보르제스
Hélio Gracie,엘리우 그레이시
Frederico Rodrigues Santos,프레데리쿠 호드리게스 산투스
Leomar Leiria,레오마르 레이리아
Geraldo Alckmin,제라우두 아우키민
Jair Pereira,자이르 페헤이라
Luan Garcia,루앙 가르시아 테이셰이라
Baltazar (futebolista),바우타사르 마리아 지 모라아스 주니오르
Giba (voleibolista),지바 (배구 선수)
Rafael Alcântara,하파에우 아우칸타라
Bianca Comparato,비앙카 콤파라투
José Graziano,조제 그라지아노 다 시우바
Isis Valverde,이지스 바우베르지
Gabriela Guimarães,가브리엘라 기마랑이스
Aloísio dos Santos Gonçalves,알로이시우
Norma Bengell,노마 벤겔
Preguinho,프레기뉴
Walter Salles,바우테르 살리스
Murilo Rosa,무릴루 호자
Welliton,웰리통
Vitor Belfort,비토르 베우포르
Grazi Massafera,그라지 마사페라
Guilherme Alvim Marinato,길례르미 마리나투
Camila Alves,카밀라 아우베스
Fernando Luiz Roza,페르난지뉴
Diego Costa,디에고 코스타
Danilo Avelar,다닐루 페르난두 아벨라르
Antonio Peticov,안토니우 페티쿠브
Júlio Titow,줄리우 치토우
Sandra Corveloni,산드라 코르벨로니
Ederson Honorato Campos,이데르송 오노라투 캄푸스
Cristiana Reali,크리스티나 레알리
Heitor Pereira,에이토르 페레이라
Fernando Reges,페르난두 프란시스쿠 헤지스
Michel Temer,미셰우 테메르
Danni Suzuki,다니엘리 스즈키
Maria Luísa Mendonça,마리아 루이자 멘돈사
Paolla Oliveira,파올라 올리베이라
Maitê Proença,마이테 프로엔사
Maria Flor,마리아 플로
"Isabel, Princesa Imperial do Brasil",이자베우 두 브라질 황태녀
Roberto Carlos,호베르투 카를루스 (가수)
Dorothy Stang,도로시 스탕
Júlio Sérgio,줄리우 세르지우
Paloma Bernardi,팔로마 베르나르지
Roberto César Zardin Rodrigues,호베르투 세자르 자르딩 호드리게스
Bruna Marquezine,브루나 마르케지니
Heberty,헤베르치 페르난지스 지 안드라지
Charles Oliveira,찰스 올리베이라
Lygia Fagundes Telles,리지아 파군지스 텔리스
Elis Regina,엘리스 헤지나
Fernanda Torres,페르난다 토히스
Débora Falabella,데보라 팔라벨라
Juliana Paes,줄리아나 파이스
Murilo Benício,무릴루 베니시우
Marília Pêra,마릴리아 페라
Washington Stecanela Cerqueira,와싱통 스테카넬라 세르케이라
Dudu Cearense,두두 세아렌시
Fábio Simplício,파비우 심플리시우
Raffael Caetano de Araújo,하파에우 카에타누 지 아라우주
Céu (cantora),세우
Rubem Fonseca,후벵 폰세카
Egídio (futebolista),에지지우 페레이라 주니오르
Zuluzinho,줄루징요
Camila Finn,카밀라 핑
Imigração chinesa no Brasil,중국계 브라질인
André Mattos (ator),안드레 마투스
Rosimar Amancio,비우 (축구 선수)
Débora Lyra,데보라 리라
Magno Alves,마그누 아우베스
Rivaldo,히바우두
Leandro Lima (futebolista),제오르지 레안드루 아브레우 지 리마
Caboré,이베라우두 지 제수스 페헤이라
Paula Fernandes,파울라 페르난지스
Adriano Chuva,아드리아누 슈바
Anderson (futebolista),안데르송 루이스 지 아브레우 올리베이라
Antônio Rogério Silva Oliveira,안토니우 호제리우 시우바 올리베이라
Musashi Mizushima,미즈시마 무사시
Itamar Franco,이타마르 프랑쿠
Pepe (futebolista),페페 (1983년 2월)
Sophie Charlotte,소피 샤를로치
Santos (futebolista),아데르바르 멜루 두스 산투스 네투
Marina Ruy Barbosa,마리나 후이 바르보자
Leandro Machado,레안드루 마샤두
Sérgio Farias,세르지우 파리아스
Arthur Bernardes (treinador de futebol),아르투르 베르나르지스
Giuseppe Occhialini,주세페 오키알리니
Da Silva,바우데미르 다 시우바
Anselmo Vendrechovski Júnior,안세우무 벤드레초프스키 주니오르
Luís Henrique da Silva Alves,루이스 엔리케 다 시우바 아우베스
Almir Lopes de Luna,아우미르 로페스 지 루나
Dinélson,지네우송 두스 산투스 리마
Éverton Cardoso da Silva,이베르통 카르도주 다 시우바
Michel Teló,미셰우 텔로
Victor Simões,빅토르 시몽이스
Camilo Sanvezzo,카밀루 다 시우바 산베주
Denilson Martins Nascimento,데니우송 마르칭스 나시멘투
Itamar Batista da Silva,이타마르 바티스타 다 시우바
Cleonésio Carlos da Silva,클레오네시우 카를루스 다 시우바
Ivo (futebolista),올리비우 다 호자
Mota (futebolista),주앙 소아리스 다 모타 네투
André Luiz Tavares,안드레 루이스 타바레스
Nonato,노나투
Leonardo Rodriguez Pereira,레오나르두 호드리게스 페레이라
João Maria Lima do Nascimento,주앙 마리아 리마 두 나시멘투
Caíque (futebolista),카이키 시우바 호샤
Waguinho (futebolista),바기뉴
Rinaldo Santana dos Santos,히나우두 산타나 두스 산투스
Héverton Durães Coutinho Alves,에베르통 두랑이스 코치뉴 아우베스
Fabrício Eduardo Souza,파브리시우 소자
Moacir Pereira (treinador de futebol),모아시르 페레이라
Bérgson Gustavo Silveira da Silva,베르그송 구스타부 시우베이라 다 시우바
Waldemar Lemos,와우데마르 레무스 지 올리베이라
Juninho Arcanjo,주니우 세자르 아르칸주
Renaldo Lopes da Cruz,헤나우두 로페스 다 크루스
Felipe Azevedo,펠리피 아제베두 두스 산투스
Ivan Reis,이방 헤이스
Daniel Matsunaga,다니에우 마쓰나가
Wallace Oliveira dos Santos,왈라시 올리베이라 두스 산투스
Jean Raphael Vanderlei Moreira,제앙 하파에우 반데를레이 모레이라
Jorge Luiz Frello Filho,조르지뉴 (1991년)
Adriana Melo,아드리아나 멜루
Bruno Uvini,브루누 우비니
Angelo Sormani,안젤로 소르마니
Alexsandro de Souza,알레산드루 지 소자
Leandra Leal,레안드라 레아우
Denise Fraga,데니지 프라가
Elias Mendes Trindade,일리아스 멘지스 트린다지
Alice Dellal,앨리스 델럴
José Aldo,조제 아우두
Giulia Gam,지울리아 강
Diego Giaretta,디에구 다 시우바 지아레타
Jefferson de Oliveira Galvão,제페르송
Luiz Fernando Pereira da Silva,루이스 페르난두 페레이라 다 시우바
Christine Fernandes,크리스치니 페르난지스
Lua Blanco,루아 블랑쿠
Luana Piovani,루아나 피오바니
Cléber Santana,클레베르 산타나
Manoel Messias Silva Carvalho,마노에우 메시아스 시우바 카르발류
Jonas Sulzbach,조나스 줄츠바흐
Alexandre Pölking,알렉산드레 푈킹
Pedro Rocha,페드로 로차
Alex Teixeira,알레스 테이셰이라
Luiz Marcelo Morais dos Reis,룰리냐
Carlos Saldanha,카를루스 사우다냐
Telmário de Araújo Sacramento,지네이
André Felipe Ribeiro de Souza,안드레 펠리피 히베이루 지 소우자
Marlon Sandro,말론 산드로
Douglas (futebolista),도글라스 (1987년)
Débora Bloch,데보라 블로시
Felipe Santana,펠리피 산타나
Aline Weber,알리니 웨베르
Alinne Moraes,알리니 모라이스
André Lima (futebolista),안드레 리마
Patricia Pillar,파트리시아 필라르
Andréia Horta,안드레이아 오르타
Fernanda Vasconcellos,페르난다 바스콘셀루스
Nanda Costa,난다 코스타
Mário Sérgio Santos Costa,마리뉴
Nathalie Moellhausen,나탈리 모엘하우젠
Amanda Nunes,아만다 누니스
Otávio Monteiro,오타비우
Gustavo Gianetti,구스타부 지아네치
Léa Garcia,레아 가르시아
Bianca Bin,비앙카 빙
Anfilogino Guarisi,안필로지노 과리시
Ronaldo Nazário,호나우두
Fabiano Soares,파비아누 소아리스 페소아
Kempes,이베르통 켐페스 두스 산투스 곤사우베스
Rafael Marques Pinto,하파에우 마르케스 핀투
Naldo Pereira,나우두 (1988년)
Andréa Beltrão,안드레아 베우트랑
Newton da Costa,니우통 다 코스타
Elsinho,이우종 페헤이라 지 소우자
Elierce Barbosa de Souza,일리어시 바르보자 지 소우자
Kaká,카카
Paulo César Tinga,칭가
Edílson Capetinha,이지우송
Cristiano da Silva,크리스치아누 다 시우바
Roberson de Arruda Alves,호베르송 지 아루다 아우베스
Tainá Müller,타이나 뮐러
Fernanda Lima,페르난다 리마
Ana Beatriz Nogueira,아나 베아트리스 노게이라
Sabotage (rapper),사보타지 (래퍼)
Emerson Palmieri,이메르송 팔미에리
Ricardo Bueno,히카르두 부에누
Caco Ciocler,카코 시오클러
Rafael Pinheiro,하파에우 지 안드라지 비텡코흐 피녜이루
Rafael Tolói,하파엘 톨로이
Eraldo (futebolista),이라우두 아니시우 고메스
Erick Silva,에릭 시우바
Juliana Didone,줄리아나 지도니
Walter Henrique da Silva,와우테르 엔히키 다 시우바
Kuki (futebolista),시우비우 루이스 보르바 다 시우바
Roger Carvalho,호제르 카르발류
Milton Nascimento,밀톤 나시멘토
Samuel Rosa Gonçalves,사무엘 호사 곤살베스
Thiago Braz,치아구 브라스
Thomás Bedinelli,토마스 자구아리비 베디넬리
Antônio Rodrigo Nogueira,안토니우 호드리구 노게이라
Vanderlei Farias da Silva,반데를레이 파리아스 다 시우바
Fabiana Semprebom,파비아나 셈프레봉
Vinicius Reche,비니시우스 헤시
Weverson Leandro Oliveira Moura,웨베르송 레안드루 올리베이라 모우라
Carlos Kaiser,카를루스 카이저
Felipe Baxola,펠리피 지 올리베이라 시우바
Larissa Manoela,라리사 마노엘라
Othon Bastos,오손 바스토스
Éverton Ribeiro,이베르통 히베이루
Bárbara (futebolista),바르바라 미셸리니 두 몬치 바르보자
Floriano Peixoto (ator),플로리아누 페이쇼투 (배우)
Lucas Silva,루카스 시우바 보르헤스
Gero Camilo,제루 카밀루
Ingra Lyberato,인그라 리베라토
Márcio Garcia,마르시오 가르시아
Milton Gonçalves,미우통 곤사우베스
Bruno Suzuki,스즈키 브루노
Léo Gamalho,레우 가말류
Luís Mário,루이스 마리우 미란다 다 시우바
Luke Ross,루크 로스
Ricardo Goulart,가오라터
Marieta Severo,마리에타 세베루
Carlos Adriano de Sousa Cruz,카를루스 아드리아누 지 소우사 크루스
Rodrigo Fernandes Valete,호드리구 페르난지스 발레치
Rodrigo Ely,호드리구 엘리
Rodrigo Hilbert,호드리구 이우베르트
Caroline Ribeiro,카롤리니 히베이루
Rafael dos Anjos,하파에우 두스 안주스
Marcelo Toscano,마르셀루 토스카누
Maurício de Oliveira Anastácio,마우리시우 지 올리베이라 아나스타시우
Isabelle Drummond,이자벨리 드루몬드
Thiago Martins (artista),치아구 마르칭스
Felipe Fonteles,루이스 펠리피 폰텔리스
Nelson Xavier,넬슨 자비에
Jaques Wagner,자크 바그너
Thaisinha,타이스 두아르치 게지스
Mike (futebolista),마이키 (축구 선수)
Milhem Cortaz,밀헴 코타즈
Sidarta Ribeiro,시다르타 히베이루
José Dumont,호세 듀몬트
Arolde de Oliveira,아로우지 지 올리베이라
João Miguel,호아오 미구엘
Paulinho Criciúma,파울리뉴 크리시우마
Paulinho Paiakã,파울리뉴 파이아캉
Marlone,마를로니
Pires (futebolista),조제 세바스티앙 피레스 네투
Paulo Rogério Reis Silva,파울루 호제리우 헤이스 시우바
Simone Spoladore,시모니 스폴라도리
Karina Bacchi,카리나 바시
João Paulo da Silva Araújo,주앙 파울루 다 시우바 아라우주
Tom Payne,톰 페인
Roma (futebolista),파울루 마르세우 페레이라 메라베트
Paulo José,파울로 호세
"Paulinho (futebolista, 1988)",파울리뉴 (1988년 6월)
Vladimir Brichta,블라디미르 브리치타
Petra Costa,페트라 코스타
Vadão,바당 (축구인)
Lino Facioli,리누 파시올리
Wendell Lira,웬데우 리라
Coreano-brasileiro,한국계 브라질인
Rafael Costa,하파에우 코스타
Valesca Popozuda,발레스카 포포주다
Camila Rodrigues,카밀라 호드리게스
Lais Ribeiro,라이스 히베이루
Weverton,웨베르통
Tatá Werneck,타타 웨르네크
Felipe Amorim,펠리피 다 시우바 아모링
Douglas Santos,도글라스 산투스
Éder Luiz Lima de Souza,에데르 루이스 리마 지 소자
André Gomes (futebolista brasileiro),루이스 안드리 고메스
Anderson Talisca,탈리스카
Fernanda Souza,페르난다 소자
Felipe Wu,펠리피 아우메이다 우
Fernanda Andrade,페르난다 안드라지
Yuu Kamiya,카미야 유우
Leo Mineiro (futebolista),레우 미네이루
Daniel Dalcin,다니에우 다우싱
Marco Pigossi,마르쿠 피고시
Daniel Dantas,다니엘 댄타스
Henan (futebolista),에낭 파리아 다 시우베이라
Jair Bolsonaro,자이르 보우소나루
Rildo (futebolista),히우두 지 안드라지 펠리시시무
Hugo Carvana,휴고 카바나
Gléguer Zorzin,글레게르 조르징
Joelison Fernandes da Silva,조엘리손 페르난데스 다 시우바
José Eduardo Cardozo,조제 에두아르두 카르도주
Joaquim Nabuco,조아킹 나부쿠
Lins (futebolista),린스 리마 지 브리투
João Schmidt,주앙 슈미트
Júlio Andrade,줄리오 안드라데
Luciano do Valle,루시아누 두 발리
Moisés Lima Magalhães,모이세스 리마 마갈량이스
Murilo Ribeiro de Almeida,무릴루 드 알메이다
Manu Gavassi,마누 가바시
Maisa Silva,마이사 시우바
Manuela d'Ávila,마누엘라 다빌라
Juliana Paiva,줄리아나 파이바
Larissa Maciel,라리사 마시에우
Paulo César de Souza,파울루 세자르 지 소자
Rosamaria Murtinho,호자마리아 무르치뉴
Rafael Berger,하파에우 베르게르
Pedro Barros,페드루 바후스
Pedro Bromfman,페드로 브롬프만
Marcélia Cartaxo,마르셀리아 카르타슈
Rui Costa (político),후이 쿠스타 두스 산투스
Gabigol,가브리에우 바르보자
Perivaldo,페리바우두 단타스
Yago Pikachu,야구 피카슈
Wesley Alex Maiolino,웨즐레이 알레스 마이올리누
Rogerio Prateat,호제리우 프라테아트
Roger Agnelli,로저 아녤리
Vitinho (futebolista),비치뉴
Sophia Abrahão,소피아 아브라앙
Éderson Alves Ribeiro Silva,에데르송 아우베스 히베이루 시우바
Gabriel Paulista,가브리에우 파울리스타
Wendell Nascimento Borges,웬데우 나시멘투 보르지스
Índio do Buraco,구덩이의 남자
Carlos Eduardo Bendini Giusti,카를루스 에두아르두 벤지니 지우스치
Bethe Correia,베치 코헤이아
Kenedy (futebolista),케네지
Ryder Matos,히데르 마투스
Júnior Caiçara,주니오르 카이사라
Alcir de Oliveira Fonseca,아우시르 지 올리베이라 폰세카
Alex Telles,알렉스 텔레스
Lucarelli (voleibolista),히카르두 루카렐리
Ronaldo Marques Sereno,호나우두 마르케스 세레누
Carlos Júnior,카를루스 아우베르투 카르발류 다 시우바 주니오르
Gilberto Moraes Junior,지우베르투 모라이스 주니오르
Leo Cittadini,레우 시타지니
Matheus Pereira,마테우스 페레이라 (1996년)
Wallace (futebolista),월러스 (축구 선수)
Barbara Fialho,바르바라 피알류
Sérgio Ricardo dos Santos Júnior,세르지우 히카르두 두스 산투스 주니오르
Cícero Moraes,시세로 모라에스
Douglas Coutinho,도글라스 코치뉴
Diego Carlos,지에구 카를루스
Fernando Henrique da Conceição,페르난지뉴 (1993년)
Jemerson,제메르송
Everton Cebolinha,에베르통 소아리스
Luan Guilherme de Jesus Vieira,루앙 비에이라
Pedro Cardoso,페드로 카도소
Anitta,아니타 (가수)
Laura Rizzotto,라우라 히조투
Ludmilla,루드밀라 (가수)
Pocah,포카
Nathan (futebolista),나탕 알랑 지 소자
Roberto Azevêdo,호베르토 아제베두
Bernardo Velasco,베르나르두 벨라스쿠
Sérgio Antônio Soler de Oliveira Júnior,세르지우 (1995년)
Malcom (futebolista),마우콩
Rafael Lima Pereira,하파에우 리마 페레이라
Mel Maia,멜 마이아
Maurício Borges,마우리시우 보르지스 시우바
Octávio (futebolista),옥타비우
Gustavo Scarpa,구스타부 스카르파
Ricardo César Dantas da Silva,히카르두 세자르 당타스 다시우바
Caio Lucas,카이우 루카스 페르난지스
Auro,아우루 아우바루 다 크루스 주니오르
Rômulo José Pacheco da Silva,호물루 조제 파셰쿠 다 시우바
Wanderson Ferreira de Oliveira,완데르송 페헤이라 지 올리베이라
Marcus Vinicius D'Almeida,마르쿠스 비니시우스 다우메이다
Wellington Daniel Bueno,웰링통 다니에우 부에누
Alexandre Gama (treinador de futebol),알렉산드레 가마
Catharina Choi,최송이
Luiz Eduardo dos Santos Gonzaga,루이스 에두아르두 두스 산투스 곤자가
Gabriel Jesus,가브리에우 제주스
Isabella Santoni,이자벨라 산토니
Danilo Barbosa,다닐루 바르보자 다 시우바
Gerson Santos da Silva,제르송 산투스 다 시우바
Joaquim Levy,조아킹 레비
Anderson Lopes,안데르송 로페스
Ítalo Ferreira,이탈루 페헤이라
Sergio Guizé,세르지오 기제
Ederson Santana de Moraes,에데르송
Charles Chibana,찰스 치바나
Alisson Becker,알리송 베케르
Rafael da Silva,하파에우 다 시우바
Erik Nascimento Lima,에리크 리마
Daniela Braga,다니엘라 브라가
Lexa (cantora),렉사
Ricardo Lopes,히카르두 로페스 페레이라
Cauly,카울리 올리베이라 소우자
Jimmy Durano,지미 듀레이노
Joelinton,조엘린통
Rafael Vitti,라파엘 비티
Jailson Marcelino dos Santos,자이우송 마르셀리누 두스 산투스
Bia Zaneratto,베아트리스 자네라투 주앙
Camila Queiroz,카밀라 케이로스
Murilo Henrique,무릴루 엔히크 페레이라 호샤
Carlos Gorito,카를로스 고리토
Rosamaria Montibeller,호자마리아 몬치벨레르
Allan (futebolista),알랑 호드리게스 지 소자
Jorge Marco de Oliveira Moraes,조르지 마르쿠 지 올리베이라 모라에스
Richarlison,히샤를리송
Bruno Viana,브루노 비아나
Matheus Sales,마테우스 살레스
Sergio Moro,세르지우 모루
Bernardo Fernandes da Silva Junior,베르나르두 페르난지스 다 시우바 주니오르
Wagner da Silva Souza,바그네르 다 시우바 소우자
Gustavo Henrique Sousa,구스타부 엔히키 다 시우바 소우자
Gabriel Magalhães,가브리에우 마갈량이스
Camila Márdila,카밀라 마르질라
Douglas Tanque,도글라스 탕키
David Neres,다비드 네리스
Matheus Pereira da Silva,마테우스 페레이라 (1998년)
Melody (cantora),멜로디 (브라질의 가수)
Renato Kayzer,헤나투 카이제르 지 소자
Pabllo Vittar,파블루 비타르
Igor Julio,이고르 줄리우
Francisco Hyun-sol Kim,김현솔
Maicon de Andrade,마이콩 시케이라
Tchê Tchê,체체
Marília Mendonça,마릴리아 멘돈사
Rony (futebolista),호니에우송 다 시우바 바르보사
Osman Júnior,오즈망 주니오르
Bruna Hamú,브루나 아무
Raphinha,하파에우 지아스 벨롤리
Gloria Groove,글로리아 그루브
Henrique Zaga,엔히 자가
Marquinhos Trad,마르키뉴스 트라드
Douglas Luiz,도글라스 루이스
Karine Teles,카리네 텔레스
Rodrygo Goes,호드리구 고이스
Fernando Viana,페르난두 비아나
Valentina Sampaio,발렌티나 삼파이우
Vinícius Júnior,비니시우스 주니오르
Pedro Guilherme Abreu dos Santos,페드루 (1997년)
Jessica Alves,제시카 알베스
Hamilton Mourão,아미우통 모랑
Iza (cantora),이자 (가수)
José Coelho de Souza,주앙 코엘료 더 소우자
Bruno Gadiol,브루노 가디올
Carlos Vinícius,카를루스 비니시우스
Matheus Cunha,마테우스 쿠냐
Luísa Sonza,루이자 손자
Andrew Eric Feitosa,안드레우 에리크 페이토사
Daniel Cargnin (judoca),다니에우 카르그닝 (유도 선수)
Éder Militão,에데르 밀리탕
Lucas Paquetá,루카스 파케타
Gleison Bremer,글레이송 브레메르
Naomi Munakata,무나카타 나오미
Eike Duarte,아이케 두아르테
Arthur Melo,아르투르 멜루
Wenderson Galeno,갈레누
Roger Ibañez,호제르 이바녜스
Rodrigo Becão,호드리구 베캉
Pepê (futebolista),페페 (1997년생 축구 선수)
Renan Lodi,헤낭 로지
Bruno da Silva Costa,브루누 다 시우바 코스타
Emerson Royal,이메르송 로얄
Arthur Cabral,아르투르 카브라우
Léo Ortiz,레오 오르티즈
Kaio Jorge,카이우 조르즈
"Danilo (futebolista, 1999)",다닐루 (1999년)
Bruno Guimarães,브루누 기마랑이스
Carlos Augusto,카를루스 아우구스투
Gabriel Martinelli,가브리엘 마르티넬리
Éderson José dos Santos Lourenço da Silva,에데르송 (1999년)
Vitor Gabriel,비토르 가브리에우 클라우지누 헤구 페헤이라
João Pedro Junqueira Jesus,주앙 페드루
Tetê (futebolista),테테 (축구 선수)
Bela Fernandes,벨라 페르난데스
Antony Matheus dos Santos,안토니 (축구 선수)
Reinier,헤이니에르 제주스
Rayssa Leal,하이사 레아우
Aldo Parisot,알도 패리소
Matheus Pato,마테우스 파투
Francisco Evanilson de Lima Barbosa,이바니우송
Yan Couto,얀 코투
Marcelo Valle Silveira Mello,마르셀로 발레 실베이라 멜로
Junior Messias,주니오르 메시아스
Giulia Be,지울리아 비
Igor Jesus Maciel da Cruz,이고르 제주스
Igor Paixão,이고르 파이샹
Gabriel Veron,가브리에우 베론
Kelvin Hoefler,케우빙 호플레르
Hebert Conceição,에베르트 콘세이상
"Morato (futebolista, 2001)",펠리피 호드리기스 다 시우바
Luiz Henrique André Rosa da Silva,루이스 엔히키
"André (futebolista, 2001)",안드레 (2001년생 축구 선수)
João Gomes (futebolista),주앙 고메스
Marcos Leonardo,마르쿠스 레오나르두
Sávio Moreira de Oliveira,사비우 (2004년생 축구인)
Matheus Nunes,마테우스 누네스
Marcus Vinicius Oliveira Alencar,마르키뉴스 (2003년)
Matheus França,마테우스 프랑카
Ângelo Gabriel,안젤루 가브리에우
Fessin,제페르송 가브리에우 나시멘투 브리투
"Danilo (futebolista, 2001)",다닐루 (2001년)
Vanderson de Oliveira Campos,반데르송
Natan Bernardo de Souza,나탕
Andrey Santos,안드레이 산투스
Vinicius Tobias,비니시우스 토비아스
Eduardo Riedel,에두아르두 히에데우
Lucas Beraldo,루카스 베라우두
Vanderlan,반데를랑
Robert Renan,호베르치 헤낭
Endrick,엔드리키 펠리피
Luis Guilherme,루이스 길례르미
Bruno Campos,브루누 캄푸스
Pablo Maia,파블로 마이아
Estevão Willian,에스테반 윌리앙
Vitor Roque,비토르 호케
