반기문,潘基文
하대성,河大成
김민우 (1979년),金玟佑
김민석 (탁구 선수),金珉鉐
김민제 (축구 선수),金旼弟
김명휘,金明輝
김민기 (가수),金珉基
박정환 (축구인),朴晶煥
이승호 (1976년),李丞鎬
김선우 (1977년),金善宇
김환진 (권투 선수),金煥珍
심민 (VJ),シンミン
송하윤,ソン・ハユン
배유나,ペ・ユナ
최남선,崔南善
김동조,金東祚
이로운 (1984년),李如相
홍재호,洪在浩
김영환 (바둑 기사),金榮桓
장성우,張成宇
박성호 (1986년),朴成皓
이정훈 (1977년),李政勳・(1977年生の投手)
이지연 (1983년),李芝妍
차정민,車正敏
마해영,馬海泳
현철 (가수),ヒョンチョル
문동환 (야구인),文東煥
조동찬,趙東贊
롭 레프스나이더,ロブ・レフスナイダー
허웅 (1983년),許雄・(野球)
공효진,コン・ヒョジン
임치빈,イム・チビン
이홍기,イ・ホンギ
신혜성,シン・ヘソン・(歌手)
Jun. K,Jun.・K
권오준 (야구인),権五俊
이형철 (권투 선수),李炯哲
김지태,金智泰
공옥진,孔玉振
김남주 (배우),キム・ナムジュ
신해철,シン・ヘチョル
지진희,チ・ジニ
정경호 (1980년),鄭暻鎬
BMK,BMK・(歌手)
이현 (1983년),イ・ヒョン
이연희,イ・ヨニ
안재욱,アン・ジェウク
임예진,イム・イェジン
조한선,チョ・ハンソン
이덕화,イ・ドックァ
선우휘,鮮于煇
김용기 (축구인),金龍起
박찬영 (권투 선수),朴讃栄
권창훈,権昶勲
조혜연,趙惠連
이수경 (1982년),イ・スギョン・(女優)
황진성 (축구 선수),黄辰成
김수영 (1921년),金洙暎
성재기 (활동가),成在基
백현 (가수),ベクヒョン
김연수 (작가),金衍洙
김영철 (배우),キム・ヨンチョル・(俳優)
서영주,ソ・ヨンジュ
서왈보,徐曰甫
신현준 (군인),申鉉俊
신문선,辛文善
수현 (가수),SOOHYUN
신기하,辛基夏
송일국,ソン・イルグク
박정민 (가수),パク・ジョンミン・(1987年生の歌手)
소지섭,ソ・ジソブ
윤계상,ユン・ゲサン
의민태자,李垠
박효신,パク・ヒョシン
김민희 (1982년),キム・ミニ
천정명,チョン・ジョンミョン
최점환,崔漸煥
양방언,梁邦彦
오하나,オ・ハナ
임경완,林炅玩
조인주,曹仁柱
박영균,朴永均
송지효,ソン・ジヒョ
황석영,黄晳暎
최희용,崔熙墉
최명훈,崔明勲
형민우,邢民友
강소라,カン・ソラ
김유진 (1983년생 축구인),金裕晋
류시훈,柳時熏
심우연,沈愚燃
백지훈,白智勲
임수정 (격투기 선수),イム・スジョン・(格闘家)
김동성 (쇼트트랙 선수),金東聖
최철호,チェ・チョルホ
김수완 (유도 선수),金洙完
김선주 (스키 선수),金善珠
김승규 (축구 선수),金承奎
고창성,高昌成
안정환 (유도 선수),安正煥
구준엽,ク・ジュンヨプ
김지연 (바이올린 연주자),チー・ユン
조성진 (피아니스트),チョ・ソンジン
김성곤 (1949년),金聖坤
나타나에우 지 소자 산투스 주니오르,ナサナエル・デ・ソウザ・サントス・ジュニオール
채문식,蔡汶植
김탁환,金琸桓
김성령,キム・ソンニョン
전월선 (성악가),田月仙
안선주,アン・ソンジュ
곽경근,郭慶根
오원빈,WONBIN
에바 포피엘,エバ・ポピエル
아미르 텔리고비치,アミル・テリゴヴィッチ
안상수 (인천 출신 정치인),安相洙
안정효,安正孝
안창남,安昌男
아라이 료타,新井良太
김태환 (1989년),金太煥
김성범 (유도 선수),金聖氾
유룡,劉龍
김성규 (가수),ソンギュ
최영이,崔領二
정홍원,鄭烘原
황우여,黄祐呂
김남주 (가수),キム・ナムジュ・(歌手)
정영웅,チョン・ヨンウン・(声優)
조경환 (배우),チョ・ギョンファン
이승효,イ・スンヒョ
서현진 (배우),ソ・ヒョンジン
장효희,チャン・ヒョヒ
아드리아누 슈바,アドリアーノ・ネヴェス・ペレイラ
류환길,柳煥吉
이청아,イ・チョンア
서도영,ソ・ドヨン
김산호 (만화가),金珊瑚
신영균 (배우),シン・ヨンギュン
신나희,申娜姫
손아섭,孫児葉
신원호 (1991년),SHIN・WON・HO
고근태,高根台・(囲碁棋士)
송은범,宋恩範
손석희,孫石熙
손정륜,孫正倫
송신도,宋神道
강혜정,カン・ヘジョン
권혁 (야구인),權奕
이회성 (소설가),李恢成
최양일,崔洋一
박종우 (1989년),朴鍾佑
김정훈 (1980년),キム・ジョンフン
덕혜옹주,徳恵翁主
이하늬,イ・ハニ
이명진,李命進
정석원 (배우),チョン・ソグォン・(俳優)
백성동,白星東
백인철 (권투 선수),白仁鉄
김형칠,金亨七
김근태 (1947년),金槿泰
송창의 (배우),ソン・チャンウィ
윤석영,尹錫榮
하석진,ハ・ソクジン
황정음,ファン・ジョンウム
전기영,全己盈
한지민,ハン・ジミン
김우중,金宇中
최윤 (소설가),崔允
오하영 (가수),オ・ハヨン
송혜교,ソン・ヘギョ
김영선 (1918년),金永善
고경준,高敬竣
이호 (법조인),李澔
방영웅,方榮雄
이규호 (1926년),李奎浩
권철현,権哲賢
김정렴,金正濂
엄민영,厳敏永
고요한,高余韓
채병덕,蔡秉徳
강만길,姜萬吉
안병범 (1890년),安秉範
백인엽,白仁燁
김태석 (1882년),金泰錫
이형근,李亨根
이응준 (군인),李應俊
권일 (1911년),権逸
김을동,キム・ウルドン
박소현 (성우),パク・ソヒョン
박광철 (격투가),朴光哲
윤수일,ユン・スイル
편혜영,片恵英
한채아,ハン・チェア
채유정,蔡侑玎
이배용,李培鎔
배수아,裵琇亞
안영규,安泳奎
배현진,裵賢鎮
이하라 츠요시,伊原剛志
안희제,安熙済
양영희,梁英姫
오순택,スーン＝テック・オー
김주연 (골프 선수),バーディ・キム
양희종,梁熙鍾
원병오,元炳旿
양한빈,梁韓彬
양귀자,梁貴子
윤현,尹鉉
박동선 (1935년),朴東宣
현택환,玄澤煥
테디 (음악가),パク・テディ
지코,ジコ
이창강,李彰剛
박리혜,朴梨恵
박근령,朴槿令
원희룡,元喜龍
장원준 (야구인),張元準
박지만,朴志晩
김준 (배우),キム・ジュン
고준희,ゴ・ジュンヒ
가인,ガイン・(歌手)
이원경 (1922년),李源京
조세형 (1931년),趙世衡
구상 (시인),具常
권한진,權韓眞
권석근,權錫根
곽희주,郭熙柱
권갑용,権甲龍
황인성 (1926년),黄寅性
한승주,韓昇洲
천둥 (1990년),Thunder・(歌手)
진의종,陳懿鍾
유재석,ユ・ジェソク
이요원,イ・ヨウォン
윤상현 (1973년생 배우),ユン・サンヒョン
이은상 (시인),李殷相
이동하 (소설가),李東河
이동현 (1983년),李東鉉
강민혁 (가수),カン・ミンヒョク
이상 (작가),李箱
김관진 (군인),金寛鎮
박종팔,朴鐘八
윤빛가람,尹ビッカラム
마해송,馬海松
이호정 (피겨스케이팅 선수),イ・ホジョン
이종호 (축구 선수),李宗浩
이현승 (야구인),李賢承
채시라,チェ・シラ
김병지,金秉址
김갑수 (배우),キム・ガプス
박수아,リジ
김여진,キム・ヨジン
박시후,パク・シフ
김태정 (1957년),タン・ロン
장진 (영화 감독),チャン・ジン
신정환,シン・ジョンファン
이유리 (배우),イ・ユリ
리춘위,李春郁
이지훈 (연예인),イ・ジフン
오윤아,オ・ユナ
최다니엘,チェ・ダニエル
윤성열,尹誠悅
이적 (가수),李笛
이준우 (뮤지컬 배우),イ・ジュンヒョン
차영환 (축구 선수),車永煥
여민정 (성우),ヨ・ミンジョン
염상섭,廉想渉
훈 (가수),HOON
이준협,李俊協
이홍 (1974년),李泓
현월,玄月
김사랑 (배드민턴 선수),金沙朗
이규섭 (농구인),李圭燮
윤명준,尹明準
윤능민,尹能民
이광문 (럭비 선수),李光紋
이기백,李基白
윤신영,尹信榮
유현 (축구 선수),劉鉉
유대현 (축구 선수),柳大鉉
유원상,柳元相
차동훈,車東訓
김정연 (스피드스케이팅 선수),金正淵
문예봉,文藝峰
이동원 (1926년),李東元
정상영,鄭相永
김동진 (작곡가),金東振
리영희,李泳禧
양훈 (야구인),梁訓
강기갑,姜基甲
유건형,ユ・ゴニョン
이호왕,李鎬汪
유병수,兪炳守
김자옥,キム・ジャオク
정유미 (1983년),チョン・ユミ・(1983年生の女優)
김유정 (배우),キム・ユジョン・(女優)
백홍석 (바둑 기사),白洪淅
조재현,チョ・ジェヒョン
이준용 (1870년),李埈鎔
여진구,ヨ・ジング
이미경 (핸드볼 선수),李美京
이민진 (바둑 기사),李玟真
윤정옥,尹貞玉
이영자 (음악가),イ・ヨンジャ
유효진,劉孝眞
유영재 (1994년),ヨンジェ
윤대녕,尹大寧
최순호,崔淳鎬
최정민 (1930년),崔貞敏
김두한,金斗漢
김태연 (1988년),金泰橪
김태영 (축구인),金泰映
조윤옥,趙潤玉
오승립,呉勝立
양혜규,ヤン・ヘギュ
장은경,張銀景
박해진,パク・ヘジン
김정남 (축구인),金正男・(サッカー選手)
송승헌,ソン・スンホン
최은성,崔殷誠
김재원 (배우),キム・ジェウォン
백선엽,白善燁
조해일,趙海一
조병화,趙炳華
장소연 (배구인),チャン・ソヨン・(バレーボール)
윤석찬,尹錫璨
이승희 (1988년),李承煕
조재기,趙在基
조인철 (유도 선수),趙麟徹
이성재 (1976년),李成宰
이왕표,李王杓
이성민 (배우),イ・ソンミン・(俳優)
이인성 (배우),イ・インソン・(1996年生)
정유석 (배우),チョン・ユソク
윤영선 (1988년),尹榮善
임현식,イム・ヒョンシク
윤병세,尹炳世
장동우,ドンウ
이세돌,李世ドル
문현진,文顕進
조성하 (배우),チョ・ソンハ・(俳優)
홍종현 (배우),ホン・ジョンヒョン
이종석 (배우),イ・ジョンソク・(1989年生の俳優)
임달영,林達永
오연서,オ・ヨンソ
이다해,イ・ダヘ
전진 (가수),チョンジン
Mink (가수),Mink
신형민,辛炯珉
최인영,崔仁栄
이흥실,李興實
김새론,キム・セロン
김태영 (1949년),金泰栄
유영진 (작곡가),ユ・ヨンジン
이용재 (축구 선수),李勇載
최덕주,崔徳柱
한상운 (축구 선수),韓相云
정우연 (배우),リュ・ヒョヨン
김지석 (바둑 기사),金志錫
박경훈,朴景勳
신동빈,重光昭夫
최인호 (작가),崔仁浩
최상국,崔相國
최민환,チェ・ミンファン
최몽룡,崔夢龍
윤기원 (축구 선수),尹基源
박창선,朴昌善
앤디 (가수),エンディ
원성진,元晟溱
정해원 (축구인),丁海遠
장현승,チャン・ヒョンスン
이용 (1986년),李鎔
이우영 (축구인),李宇韺
조선작,趙善作
조용철,趙容徹
조세희,趙世熙
조성진 (축구인),趙成眞
최진혁,チェ・ジニョク
조소현,趙昭賢
임현준,林玄埈
송승현,ソン・スンヒョン
이송희일,李宋喜一
마이클 스위프트,マイケル・スウィフト
이강 (축구 선수),李強・(サッカー選手)
홍성지 (바둑 기사),洪性志
안재현,アン・ジェヒョン
김보형,キム・ボヒョン
이지애,イ・ジエ
엄정욱,嚴正郁
강유택,姜儒澤
이성재 (바둑 기사),李聖宰
이숭용,李崇勇
이정식 (야구인),李貞植
김재걸,金在杰
김성배 (야구인),金成培
안경진,アン・ギョンジン
이사강,イ・サガン
주민준,イ・ヨンホ・(1978年生の俳優)
이도형 (야구인),李到炯
김주찬,金周燦
천우희,チョン・ウヒ
이성우 (야구인),李晟宇
이보근,李輔根
오선진,呉先真
오주원,呉周原
안치용 (야구인),安致溶
김대균,金大鈞
오재원,呉載元
김주호 (바둑 기사),金主鎬
이정훈 (1994년),李政勳・(捕手)
조남석,趙南錫
정길옥,鄭吉玉
박시현 (가수),パク・シヒョン
백예린,ペク・イェリン
양하은,梁夏銀
라비 (1993년),ラビ・(VIXX)
장찬재,ジャン・チャンジェ
엔 (1990년),エン・(VIXX)
최현주 (양궁 선수),崔玄姝
손동운,ソン・ドンウン
김정야,金正也
김태완 (1984년),金泰完
김형욱,金炯旭
최주환,崔周煥
신성현,申成鉉
최정한,崔正漢
최경환 (1955년),崔炅煥
최근식,崔根植
구옥희,具玉姫
최영희 (1921년),崔栄喜
염혜선,ヨム・ヘソン
송한기,宋韓基
조오련,趙五連
강수지,スージー・カン
최명길 (자동차 경주 선수),チェ・ミョンギル・(レーサー)
남진 (가수),南珍
김선빈 (야구 선수),金善彬
서관수,徐冠秀
서용빈,徐容彬
김영광 (배우),キム・ヨングァン・(俳優)
정경미 (유도 선수),鄭敬美
이태리 (배우),イ・テリ
남승룡,南昇竜
유명환,柳明桓
김형태 (삽화가),キム・ヒョンテ
노수진,魯壽珍
김성민 (유도 선수),金成民
이재록,李載祿
이민우 (1915년),李敏雨
맷 돌턴,マット・ダルトン
최승인,崔昇仁
최용우,崔守斌
최승호 (시인),崔勝鎬
최우혁 (1985년),チェ・ウヒョク・(1985年生の俳優)
천상병,千祥炳
최용신 (유도 선수),崔鎔信
주요한,朱耀翰
고세원,コ・セウォン
정의선,鄭義宣
정훈 (유도 선수),鄭勲
박서준,パク・ソジュン
김보름,キム・ボルム
양동이 (종합격투기 선수),ヤン・ドンイ
권정혁,權正赫・(サッカー選手)
에일리,Ailee
김득구,金得九
남익경,南翼璟
박주미,パク・チュミ
양재호,梁宰豪
이수혁 (1988년),イ・スヒョク
이형철 (배우),イ・ヒョンチョル・(俳優)
김재엽,金載燁
이원 (1962년),李源
알렉산더 (가수),アレクサンダー・(歌手)
허진호,ホ・ジノ
이불 (미술가),イ・ブル
김현성 (1989년),金賢聖
성유리,ソン・ユリ
배민희 (핸드볼 선수),裵珉姫
도동현,都東顕
지에구 올리베이라 (축구 선수),ディエゴ・ケイロス・デ・オリヴェイラ
신재범 (축구인),申在範
정은채,チョン・ウンチェ
정대현 (1993년),デヒョン
임학수 (시인),林学洙
김수현 (작가),キム・スヒョン・(脚本家)
김정난,キム・ジョンナン
조보아,チョ・ボア
임권택,イム・グォンテク
강제규,カン・ジェギュ
우영,ウヨン
유시민,柳時敏
준호,ジュノ・(2PM)
김규종,キム・キュジョン
이싸빅,李サビク
마시에우 루이스 프랑쿠,マシエウ・ルイス・フランコ
한강 (소설가),韓江・(小説家)
황예슬,黄藝瑟
김잔디,金ジャンディ
윤보미,ユン・ボミ
한대수 (가수),韓大洙
한현희,韓賢熙
김동희 (1989년),金東煕
조민수 (배우),チョ・ミンス
문창진,文昶辰
조민우,趙民宇
이민수 (1992년),李珉洙
배상문,裵相文
임주환,イム・ジュファン
이승연,イ・スンヨン
정은지,チョン・ウンジ
의친왕,李堈
진갑용,陳甲龍
조성모,チョ・ソンモ
조현재 (배우),チョ・ヒョンジェ
여홍철,呂洪哲
고영민,高永民
오승환,呉昇桓
주니엘,JUNIEL
이영아 (배우),イ・ヨンア
현쥬니,チュニ
박종규 (1930년),朴鐘圭
민병대 (축구인),閔丙大
임오경,林五卿
김우빈,キム・ウビン
김보라 (배우),キム・ボラ・(俳優)
성우리,中村ゆり
김지영 (1974년),キム・ジヨン・(1974年生の女優)
아라이 히로후미,新井浩文
클라라 (배우),クララ・(女優)
일레인 김,エレイン・キム
윤진이,ユン・ジニ
최광현,崔光賢
정성숙,鄭成淑
정영숙,鄭永淑
정다빈 (2000년),チョン・ダビン・(2000年生の女優)
김영애,キム・ヨンエ
김영철 (1976년),金泳徹
김선아,キム・ソナ
강재섭,姜在渉
이박사,李博士
김슬기 (배우),キム・スルギ・(女優)
김지원 (배우),キム・ジウォン
박인비,朴仁妃
하찬석,河燦錫
김수학 (1896년),金秀学
곽대성,郭大成
이도은,イ・イプセ
현숙희 (유도 선수),玄淑姫
장용 (배우),チャン・ヨン
엘 (가수),エル・(歌手)
이시언 (배우),イ・シオン
이해리,イ・ヘリ・(1985年生まれ)
이한동,李漢東
세훈,セフン
이숙자,イ・スクジャ
이창민 (가수),イ・チャンミン
김학규 (게임 개발자),金学奎
임명옥,イム・ミョンオク
곽재구,郭在九
김사인,金思寅
양동현,梁東炫
나희덕,羅喜徳
김명완 (바둑 기사),金明完
시우민,シウミン
수호 (1991년),スホ
강상중,姜尚中
조민기,チョ・ミンギ
한상훈 (바둑 기사),韓尚勲
유소연,柳簫然
조윤희,チョ・ユニ
윤시윤,ユン・シユン
김동욱 (배우),キム・ドンウク・(俳優)
하하,ハハ
한지혜,ハン・ジヘ
고현정,コ・ヒョンジョン
강동원,カン・ドンウォン
한다감,ハン・ウンジョン
윤승아,ユン・スンア
아유미 (연예인),伊藤ゆみ
염수정,廉洙政
이광수 (배우),イ・グァンス
이종현 (가수),イ・ジョンヒョン・(CNBLUE)
노민우,ノ・ミヌ
기형도,奇亨度
이인화,李仁和
공성진,孔星鎮
최민호 (유도 선수),崔敏浩
고희동,高羲東
조귀재,曺貴裁
하성민 (축구 선수),河成敏
오연수,オ・ヨンス
조안 (배우),チョ・アン
소이현,ソ・イヒョン
김원일 (축구 선수),金源一
조한승,趙漢乗
김상식 (축구인),金相植
최나연,チェ・ナヨン
데니우송 마르칭스 나시멘투,デニウソン・マルティンス・ナシメント
정몽구,鄭夢九
조용필,チョー・ヨンピル
이수영,イ・スヨン
최강희 (축구인),崔康熙
김신욱,金信煜
조준호 (유도 선수),曹準好
문희준,ムン・ヒジュン
오주한,呉走韓
김현주 (1977년),キム・ヒョンジュ
기섭,キソプ
윤영선 (바둑 기사),尹暎善
한민구,韓民求
한무숙,韓戊淑
한영실,韓栄実
이현우 (1993년),イ・ヒョヌ
김석훈 (1972년),キム・ソックン
정우성,チョン・ウソン
최철한,崔哲瀚
김희경 (음악가),キム・ヒギョン
홍순학,洪淳學
홍준표,洪準杓
홍유경,ホン・ユギョン
지수원,チ・スウォン
박형식,パク・ヒョンシク
양정아,ヤン・ジョンア
임성민 (1969년),林性旼
유인영,ユ・イニョン
나비드,NAVID
강승윤,カン・スンユン
카이 (1994년),カイ・(歌手)
박광일,朴光一
박건 (축구 선수),朴建
김정은 (배우),キム・ジョンウン・(女優)
홍정호 (축구 선수),洪正好
김인 (바둑 기사),金寅
박영훈 (바둑 기사),朴永訓
박은혜 (배우),パク・ウネ
간미연,カン・ミヨン
전혜빈,チョン・ヘビン
차인표,チャ・インピョ
여운계,ヨ・ウンゲ
박예진,パク・イェジン
이시영 (배우),イ・シヨン・(俳優)
오지호 (배우),オ・ジホ
김승우,キム・スンウ
김재욱 (배우),キム・ジェウク
서봉수,徐奉洙
김태균 (영화 감독),キム・テギュン・(映画監督)
채연 (1978년),チェヨン・(歌手)
주진모 (1974년),チュ・ジンモ
브라이언 (가수),ブライアン・(韓国の歌手)
최경주,崔京周
우장춘,禹長春
K (가수),K・(歌手)
김동화 (만화가),金童話
황정오,黄正五
문형인,ムン・ヒョンイン
김혜진 (1975년),キム・ヘジン・(女優)
허경민,許敬民
박용우 (배우),パク・ヨンウ
정한용,チョン・ハニョン
이다윗,イ・ダウィ
박재정 (배우),パク・チェジョン
박진희 (배우),パク・チニ
비범,ビボム
이혜숙,イ・ヘスク
강구한,カン・グハン
강병수 (야구인),大原秉秀
강수진 (발레 무용수),姜秀珍
피오,P.O
강혜미,カン・ヘミ
강윤지,Yoonji
강동우 (야구인),姜東佑
강석희 (작곡가),姜碩煕
강의석 (1986년),カン・イソク
강경식 (1936년),姜慶植
강창일,姜昌一
강정구 (학자),姜禎求
계은숙,桂銀淑
강명운,カン・ミョンウン
강영식 (야구인),姜永植
계용묵,桂鎔黙
고권삼,高権三
CUTEG,CUTEG
강리호,姜里湖
염정아,ヨム・ジョンア
김병현,金炳賢
문성민,ムン・ソンミン
조병옥,趙炳玉
김태균 (1982년),金泰均・(1982年生の内野手)
강우석,康祐碩
유창혁,劉昌赫
피터 정,ピーター・チョン
채림,チェリム・(女優)
루나 (가수),ルナ・(韓国の歌手)
김창준 (1939년),ジェイ・キム
김대은,金大恩
최종환 (배우),チェ・ジョンファン
이선희,イ・ソニ
김남순,金南順
장동직,チャン・ドンジク
왕희경,王喜敬
이경근 (유도 선수),李璟根
정겨운,チョン・ギョウン
박호성,ホスン・パク
신지아,シン・ヒョンス
황동혁,ファン・ドンヒョク
황지우,黄芝雨
박지은 (바둑 기사),朴鋕恩
박슬기 (방송인),パク・スルギ
박희태,朴熺太
박충훈,朴忠勲
박정상,朴正祥
이선균,イ・ソンギュン
지석진,チ・ソクジン
최효진 (축구인),崔孝鎭
손호영,ソン・ホヨン
전광렬,チョン・グァンリョル
김치우,金致佑
김장수 (1948년),金章洙
김국영,金国栄
조정권,趙鼎権
고경표,コ・ギョンピョ
인재근,印在謹
황선희,ファン・ソニ
브라이언 영,ブライアン・ヤング・(1986年生のアイスホッケー選手)
김도현 (성우),キム・ドヒョン・(声優)
김원웅,金元雄
김성종,金聖鍾
김명수 (배우),キム・ミョンス
김민성 (1988년),金旼成
김동명 (시인),金東鳴
김남석 (1985년),キム・ナムソク
김만제,金満堤
김무종,木本茂美
김도연 (정치인),金度演
김대중 (언론인),金大中・(新聞記者)
김대유 (1983년),金村大裕
현인택,玄仁沢
정선용,鄭善溶
황대성,黄大城
박유향,詩音・(歌手)
박정수 (1987년),朴庭秀
조민호 (아이스하키 선수),チョ・ミンホ・(アイスホッケー)
정성훈 (1979년),丁成勳
정재은 (영화 감독),チョン・ジェウン
나주환,羅州煥
김현옥,金玄玉
김건한,金建翰
김홍식 (1909년),金弘植
김형석 (음악가),キム・ヒョンソク・(音楽家)
김환기,金煥基
나미,ナミ・(歌手)
김혁민,金赫珉
김혜경 (성우),キム・ヘギョン・(声優)
김한길,金ハンギル
김재형 (연출가),キム・ジェヒョン
김재박,金在博
김창완,キム・チャンワン
김정은 (성우),金正銀
김진표 (정치인),金振杓
송용태,ソン・ヨンテ
김지순 (배우),智順・(女優)
김장 (성우),キム・ジャン
김창국 (법조인),金昌国・(法曹)
송선미,ソン・ソンミ
김윤아,キム・ユナ
김철 (1926년),金哲・(政治家)
듀나,デュナ
박옥수,朴玉洙
박상혁 (1990년),朴相赫
메이린,MEILIN
박종윤 (1982년),朴鐘潤
황산 (삽화가),H2SO4・(イラストレーター)
Ryu (가수),Ryu・(歌手)
박은숙,パク・ウンスク
박상철 (가수),パク・サンチョル
박노민,朴魯珉
마일영,馬一英
주석 (가수),JoosuC
김레베카,レベッカ・キム
리오 케이코아,L.E.O
박정권,朴正権
박용오,朴容旿
문수호,文需浩
박기남 (야구인),朴基南
박종철,朴鍾哲
박순천,朴順天
이지영 (야구 선수),李知栄
문지애,文智愛
박경태 (야구 선수),朴倞兌
Rihwa,Rihwa
김성갑,金性甲
김선우 (시인),金宣佑
김성동 (소설가),金聖東
김선태 (1911년),金善太
윤정희 (1980년),ユン・ジョンヒ・(1980年生の女優)
우정은,ウ・ジョンウン
고원부,吉村元富
김규철,キム・ギュチョル
김국진,キム・グクジン
김경준 (기업인),キム・ギョンジュン
김경득,金敬得
고효준,高孝準
고유진,コ・ユジン
곽정철,郭正哲
김경원 (1936년),金瓊元
구민정,ク・ミンジョン
금민철,琴民鐡
김강,金剛・(野球)
곽도원,クァク・ドウォン
공대유,コン・テユ
옥주현,オク・ジュヒョン
김지수 (1972년),キム・ジス・(女優)
차승원,チャ・スンウォン
홍수현,ホン・スヒョン
윤석민 (1986년),尹錫珉
박찬호,朴賛浩
박지윤 (가수),パク・チユン
유경민,庾炅旻
장민석 (야구인),張珉碩
박기서 (1948년),朴琦緖
안승민,安承珉
최창화,崔昌華
박영일 (가수),新井英一
김상희 (1954년),金相姫
윤다훈,ユン・ダフン
최유희,崔由姫
최정 (바둑 기사),崔精
서능욱,徐能旭
최정희,崔貞熙
최영 (종합격투기 선수),崔領
박창언,木原彰彦
주준용,朱埈鏞
김석범 (군인),金錫範
안해룡,安海龍
윤미향,尹美香
장용철,張傛喆
성하 (1981년),成河
손환진,孫煌進
최선애,崔善愛
최규병,崔珪昞
장두진,張斗軫
장수영 (바둑 기사),張秀英
이용규 (야구 선수),李容圭
강지환,カン・ジファン
강민호,姜珉鎬
김수경 (야구인),金守経
박재홍 (야구인),朴栽弘
이석 (1941년),李錫
김미정 (1971년생 유도 선수),金美廷
제이민 (1988년),J-Min
박경완,朴勍完
조갑제,趙甲濟
휘성,フィソン
박명수,パク・ミョンス
김호철 (배구인),キム・ホチョル
유지태,ユ・ジテ
양기탁,梁起鐸
김성주 (방송인),キム・ソンジュ・(タレント)
김성은 (아나운서),金成恩
김성한 (1958년),金城漢
김성철 (배우),キム・ソンチョル
김성은 (군인),金聖恩
김성희 (모델),キム・ソンヒ
김세배,金世培
김성환 (만화가),金星煥・(漫画家)
조현정 (성우),チョ・ヒョンジョン
김원룡,金元龍
이자스민,イ・ジャスミン
김병세,キム・ビョンセ
장정 (축구인),張政・(サッカー選手)
장윤정 (미스코리아),チャン・ユンジョン・(MC)
김복동 (1933년),金復東
장석원 (축구 선수),張碩元
김하중,金夏中
김해송,金海松
김현기 (1924년),金顕基
김택술,金宅述
김헌식,金憲植
김봉웅,つかこうへい
김연지 (가수),キム・ヨンジ
김세련,金世錬
김승연,金升淵
김신부,金城信夫
김소운,金素雲
김세진 (배구인),キム・セジン
김상훈 (1977년),金相勳
김영아 (모델),ヨンア
김수임,金寿任
김승준 (바둑 기사),金承俊
김성래,金聲來
김연자,キム・ヨンジャ
김원형,金圓衡
김원희,キム・ウォニ
김상진 (1970년),金尚珍
김실,田中実・(外野手)
오건우 (배우),オ・ゴヌ
권기옥,クォン・キオク
최익현,崔益鉉
조우진 (1987년),趙佑鎮
황보관,皇甫官
추신수,秋信守
이특,イトゥク
심은하,シム・ウナ
손민한,孫敏漢
송승준,宋勝準
송진우 (야구인),宋津宇
임창용,林昌勇
김대의,金大儀
김현중,キム・ヒョンジュン・(1986年生)
김기태 (1969년),金杞泰
유아인,ユ・アイン
김정화 (1983년),キム・ジョンファ
MC몽,MCモン
이승호 (1981년),李承浩
정대현 (1978년),鄭大炫
신지애,申智愛
장외룡,張外龍
유진 (가수),ユジン
박정아 (연예인),パク・チョンア
채정안,チェ・ジョンアン
김호 (축구인),金皓
정두언,鄭斗彦
김신영 (1983년생 축구 선수),金信泳
정이현,鄭梨賢
자니 윤,ジョニー・ユン
주성하,チュ・ソンハ
김준성 (배우),キム・ジュンソン
공현주,コン・ヒョンジュ
찬희,カン・チャニ
안재모,アン・ジェモ
연준석,ヨン・ジュンソク
이기광,イ・ギグァン
임현식 (가수),ヒョンシク・(BTOB)
윤종용,尹鍾龍
최윤영 (1986년),チェ・ユニョン・(1986年生の女優)
최지인,チェ・ジイン
유재하,ユ・ジェハ
혜리,ヘリ・(Girl's・Day)
노계현,ノ・ケヒョン
노성일,盧聖一
노천명,盧天命
여운홍,呂運弘
강부자,姜富子
오지은 (배우),オ・ジウン
남지연 (배구인),ナム・ジヨン
노장진,盧長震
박화요비,火曜飛
박보영,パク・ボヨン
은영선,ウン・ヨンソン
이완 (배우),イ・ワン
이광재 (정치인),李光宰
박성우 (만화가),朴晟佑
이기택,李基澤
양현석,ヤン・ヒョンソク
이상화 (1980년),李相和・(野球)
이상훈 (1933년),李相薫
이승복 (1959년),李承福
이상훈 (1973년),李相勲
이대진,李大振
김정훈 (1986년),金正訓
이범석 (1985년),李範錫・(野球)
김성길 (1956년),金本誠吉
김수장 (바둑 기사),金秀壮
이소라 (배구 선수),イ・ソラ・(バレーボール)
이보람 (가수),イ・ボラム
이순철,李順喆
이상열 (1977년),李尚烈
이순자,李順子
김희중 (바둑 기사),金熙中
이동원 (피겨스케이팅 선수),イ・ドンウォン
이대형,李大炯
이우민,李禹旼
이병기 (1891년),李秉岐
이만기 (씨름 선수),イ・マンギ
이승윤 (정치인),李承潤
김혜연,キム・ヘヨン
김호연 (1955년),金昊淵
정혜영,チョン・ヘヨン
황정민,ファン・ジョンミン
이정재 (배우),イ・ジョンジェ
한승원 (소설가),韓勝源
고영기,高英起
김형원 (시인),金炯元
김의태,金義泰
김기용 (바둑 기사),金起用
고지행,高山智行
김현철 (1959년),金賢哲
한승조,韓昇助
최민용,チェ・ミニョン
고재희,高在熙
김향리,金香里
