Dudon de Saint-Quentin,聖·昆汀杜多
Philippe Ramos,菲利浦·拉摩斯
Edmond Hervé,埃德蒙·埃尔韦
Irène Némirovsky,依蕾娜·內米洛夫斯基
Jérôme Cahuzac,热罗姆·卡于扎克
Bidzina Ivanichvili,毕齐纳·伊万尼什维利
Marcel Mauss,马塞尔·莫斯
Hassan Yebda,哈辛·耶巴達
Jean-Baptiste Biot,让-巴蒂斯特·毕奥
Michel Piccoli,米歇爾·皮可利
Antoinette de Bourbon,安托瓦内特·波旁
Jean Cariou,雅克·卡里乌
Paul Claudel,保羅·克洛岱爾
Claude Lelouch,克洛德·勒卢什
Ronan Pensec,罗南·庞塞克
Léon Gambetta,莱昂·甘必大
Michèle Alliot-Marie,米谢勒·阿利奥-玛丽
Jeanne Balibar,让娜·巴利巴尔
Claude Pompidou,克劳德·庞皮杜
Lucien Choury,吕西安·舒里
Georges Descrières,乔治斯·德斯坎里尔斯
Camille Silvy,卡米尔·西尔维
Émile Loubet,埃米勒·卢贝
Marie-Thérèse Rodet Geoffrin,玛丽-泰蕾兹·罗代·若弗兰
Louise Bourgoin,露易丝·布尔昆
Michaël Llodra,米卡埃尔·洛德拉
Adélaïde d'Orléans,阿黛拉伊德 (奧爾良郡主)
Jean-Christophe Victor,讓-克里斯托夫·維克多
René Hamel,勒内·阿梅尔
Edmond de Sélys Longchamps,埃德蒙·德谢利斯·隆尚
David Blondel,大衛·布隆德爾
Patrick Kron,帕特里克·克朗
Yolande d'Anjou,约兰德，洛林女公爵
Michelle de Valois,瓦盧瓦的蜜雪兒
Dương Thu Hương,楊秋香
Suzy Delair,苏希·德莱尔
Werner de Habsbourg,斯特拉斯堡主教維爾納
François de Chevert,弗朗西斯·德·舍韦尔
Julien Ingrassia,朱利安·英格拉西亚
Urbain IV,烏爾巴諾四世
Michel Debré,米歇尔·德勃雷
Grégoire XI,額我略十一世
Daniel Robin,达尼埃尔·罗班
Marcel Gensoul,馬塞爾·布魯諾·讓蘇爾
Jacqueline Auriol,雅克利娜·奥里奥尔
Jacques Lacan,雅各·拉岡
Boughéra El Ouafi,布吉拉·艾爾·歐菲
Jean-Marie Lustiger,吉恩-馬里·拉斯泰格
Dado Pršo,达多·普尔绍
Philippe d'Orléans,腓力一世
Loustal,雅克·德·罗斯塔尔
Savitri Devi,萨维特里·黛维
Paloma Picasso,帕洛瑪·畢卡索
Jules Grévy,儒勒·格雷維
Camille Flammarion,卡米耶·弗拉马里翁
Marisol Touraine,玛丽索尔·图雷纳
Anna Mouglalis,安娜·蒙格拉絲
Abraham Duquesne,亚伯拉罕·迪凯纳
Catherine Sauvage,凯瑟琳·索瓦日
Demba Ba,丹巴·巴亞
André Chénier,安德烈·舍尼埃
Roger Milla,羅傑·米拉
Édouard Limonov,愛德華·利莫诺夫
Laurent de La Hyre,勞倫特·德拉·海爾
Allison Pineau,艾莉森·皮諾
Calixte II,卡利克斯特二世
Emmanuel Petit,埃马纽埃尔·珀蒂
Hélène Carrère d'Encausse,埃莱娜·卡雷尔·当科斯
Gaston Doumergue,加斯东·杜梅格
Armand Fallières,阿尔芒·法利埃
Félix Faure,费利克斯·福尔
Jean Dubuffet,讓·杜布菲
Emma de Caunes,愛瑪·迪·可力
Philippe VI de France,腓力六世
Costa-Gavras,科斯塔·加夫拉斯
Saad Hariri,萨阿德·哈里里
Pascal Danel,帕斯卡·丹尼尔
Johan Micoud,若昂·米库
Hassan Gouled Aptidon,哈桑·古莱德·阿普蒂敦
Michael Vartan,邁克·瓦爾坦
Georges Couthon,乔治·库东
Jean-Marie Charpentier,让-马里耶·沙尔庞捷
Brian Joubert,布萊恩·茹貝爾
Robert Desnos,R. 戴思诺斯
Chris Marker,克里斯·馬克
Léon Bonnat,萊昂·博納
Jean-Pierre Léaud,讓-皮埃爾·里奧
Jean-de-Dieu Soult,尼古拉斯·讓·德迪烏·蘇爾特
Josef Hoëné-Wronski,約瑟夫·洪尼格-朗斯基
Sébastien Bourdais,塞巴斯蒂安·布尔代
Mady Mesplé,玛迪·梅普莱
Charles de Valois,查理
Samuel Chappuzeau,塞缪尔·恰普佐
Ghassan Salamé,加桑·萨拉姆
Roscelin de Compiègne,羅塞林
Grégory Lemarchal,格雷戈里·勒马夏尔
Clément VI,克勉六世
Christiane Desroches Noblecourt,克里斯蒂安·德罗什-诺布尔考特
Jenifer,珍妮佛
Gaston Bachelard,加斯东·巴舍拉
Robert Manzon,罗贝尔·芒宗
Eugène Green,尤金·格林
Joséphine de Beauharnais,约瑟芬·德博阿尔内
Benoît XII,本篤十二世
Yasmina Reza,雅絲曼娜·雷莎
Maria Casarès,玛丽亚·卡萨雷斯
Innocent V,諾森五世
Jean-Daniel Akpa-Akpro,艾巴艾普
Alice Evans,爱丽丝·埃文斯
Coralie Balmy,科拉莉·巴爾米
Madame du Deffand,德芳侯爵夫人
Anne Briand,安妮·白里安
Alain Bernard,阿兰·贝尔纳
Léonin,莱奥南
Danielle Mitterrand,丹尼爾·密特朗
Moussa Sissoko,穆沙·施素高
Éric Cantona,埃里克·坎通纳
Kees van Dongen,凯斯·范东恩
Ambroise Thomas,昂布鲁瓦·托马
Ante Gotovina,安特·戈托維納
Maxime Weygand,馬克西姆·魏剛
Maxime Colin,麥斯美·高連
Nastasia Noens,纳斯塔西娅·诺昂
Yves Saint Laurent,伊夫·圣洛朗
Anaïs Bescond,阿奈斯·贝斯孔
Dominique Blanc,多米尼克·布隆
Éric Bernard,埃里克·伯納德
Peter Kassovitz,彼得·卡索维茨
Jean-Baptiste Bouchotte,让·巴蒂斯特·诺埃尔·布绍特
Santiago Otheguy,圣地亚哥·奥赛盖伊
Corinne Niogret,科琳娜·尼奥格雷
Kader Keita,阿卜杜勒·卡德尔·凯塔
Jacques Ibert,雅克·伊贝尔
Alexandre Glais-Bizoin,亚历山大·格莱-比祖安
Étienne Didot,迪度特
Éric Salignon,埃里克·薩里尼翁
Jacques Charles,雅克·夏尔
Benjamin Nivet,本傑明·尼維特
Jean-Pierre Jabouille,讓·皮埃爾·雅布耶
Jean-Louis Schlesser,让-路易·施勒塞尔
Cheikh M'Bengue,姆本格
Charles-Louis Clérisseau,查理·路易-克里梭
Charles Colbert de Croissy,克鲁瓦西侯爵
Jeanne de Valois-Saint-Rémy,让娜·德瓦卢瓦-圣雷米
Nicolas d'Autrécourt,奥特库尔的尼古拉
Christine Boutin,克裏斯蒂娜·布坦
Yohann Pelé,尤安·比利
Georges Duby,乔治·杜比
Maurice Trintignant,莫里斯·唐蒂尼翁
Amira Casar,阿蜜拉·卡薩
Marie de Clèves,克雷维的玛丽
Liliane Bettencourt,利利安·贝滕科特
Dany Dauberson,丹妮·道伯森
Louise de Vilmorin,路易絲·德·維爾莫林
Vikash Dhorasoo,韋卡殊·多拉素
Pierre Bérégovoy,皮埃尔·贝雷戈瓦
Philippe II de Bourgogne,菲利普二世
Jean Ier de Bourgogne,约翰
Gérard Larrousse,杰拉德·拉鲁斯
Jo Schlesser,若·施勒塞尔
Pierre Cosso,皮埃爾·科索
Guigues V d'Albon,阿尔邦的吉格五世
Didier Pironi,迪迪埃·皮羅尼
Jacques Laffite,雅克·拉菲特 (賽車手)
Jean-Pierre Beltoise,讓-皮埃爾·貝爾圖瓦斯
Patrick Bruel,帕特里克·布鲁尔
Julien Gracq,朱利安·格拉克
Sergueï Boulgakov,谢尔盖·布尔加科夫
Charles de L'Écluse,卡罗卢斯·克卢修斯
Nicolas-Louis Vauquelin,路易-尼古拉·沃克蘭
Olivier Kapo,奧利維爾·卡普
Gabriel Obertan,加布里埃尔·奥贝坦
Louis Renault,路易·雷诺
José Arribas,荷塞·阿里瓦斯
Alain-Fournier,亞蘭·傅尼葉
Jules Janssen,皮埃尔·让森
Daniel Pennac,达尼埃尔·佩纳克
Yves Giraud-Cabantous,伊夫·吉罗-卡邦图
Henri Pescarolo,亨利·佩斯卡罗
Patrick Depailler,帕特里克·迪派勒
Hippolyte Taine,伊波利特·阿道爾夫·丹納
Faïza Guène,法伊扎·盖纳
Guy Debord,居伊·德博
Nathalie Sarraute,娜塔麗·薩洛特
Harry d'Abbadie d'Arrast,哈利·达巴迪·达拉斯特
Jean Sablon,让·萨布隆
Alfred Dreyfus,阿尔弗雷德·德雷福斯
Simone Veil,西蒙娜·薇依
Jean-Pierre Jarier,讓·皮埃爾·賈里爾
Simon Helberg,西蒙·黑尔贝格
Éléonore de Vermandois,韦尔芒杜瓦的埃莱奥诺尔
Pierre Messmer,皮埃尔·梅斯梅尔
Pierre-Louis Lions,皮埃爾-路易·利翁
Raymond Sommer,雷蒙·佐默
Georges Clemenceau,乔治·克列孟梭
Alexandre Gaydamak,亚历山大·盖达马克
Hilaire Belloc,希莱尔·贝洛克
Jean-Christophe Bahebeck,巴赫贝克
Paul Belmondo,保罗·贝尔蒙多
Harry Schell,哈里·谢尔
Abraham de Fabert d'Esternay,亚伯拉罕·德·法贝尔
Charlotte de Bourbon-Montpensier,波旁的夏洛特
Michel-Eugène Chevreul,米歇尔·欧仁·谢弗勒尔
Louis Barthou,路易·巴尔杜
Étienne Macdonald,埃蒂安-雅克-约瑟夫-亚历山大·麦克唐纳
Gaston Leroux,加斯东·勒鲁
Georges Painvin,乔治·帕万
René-Robert Cavelier de La Salle,勒內-羅貝爾·卡弗利耶·德·拉薩勒
Serge Aurier,沙治·歐利亞
Jerzy Grotowski,葛羅托夫斯基
Claude Rouer,克洛德·鲁埃尔
Françoise d'Amboise,昂布瓦斯的法蘭索瓦絲
Louise Julie de Mailly-Nesle,路易丝·朱莉·德·马伊-内勒
Marisa Pavan,瑪麗莎·佩雯
Charles Itandje,查理斯·伊坦積
François Hesnault,弗朗索瓦·艾森諾
Pierre Levegh,皮耶·列文
Pierre-Henri Raphanel,皮埃爾-亨利·拉芬諾
Johnny Servoz-Gavin,強尼·塞爾沃茲-加文
Jean Todt,让·托德
Olivier Panis,奥利维耶·潘尼斯
Stéphane Darbion,斯泰凡·达尔比永
Jean Victor Marie Moreau,让·维克托·马里·莫罗
David Belle,大衛·貝爾
Le Primatice,弗朗切斯科·普里马蒂乔
Emmanuel Rivière,利維亞尼
Pierre Cardin,皮爾·卡登
Karin Viard,嘉蓮·維雅
Georges Cuvier,喬治·居維葉
Eugène Chaboud,欧仁·沙布
Philippe Étancelin,菲利普·埃唐瑟兰
Charles Le Brun,夏尔·勒布伦
Victoire Thivisol,維克托埃爾·基維索爾
André Frédéric Cournand,安德烈·弗雷德里克·考南德
Alain Touraine,阿兰·图雷纳
Paul Barras,保羅·巴拉斯
Cédric Villani,塞德里克·维拉尼
Samir Amin,薩米爾·阿明
Germaine Tillion,热尔梅娜·蒂利翁
Armand Penverne,阿曼德·彭文
Nicolò dell'Abbate,尼科洛·德尔·阿巴特
Guy Ligier,蓋伊·利吉爾
Philippe III de France,腓力三世
Sébastien Grax,塞巴斯蒂安·格拉克斯
Marc Vidal,維達爾
Anne Marie Martinozzi,安娜·玛丽·马丁诺齐
Brigitte Lahaie,碧姬·莱尔
Eugène Martin,欧仁·马丁
Guy Mairesse,居伊·迈雷斯
Stéphane Lannoy,斯蒂芬·兰诺伊
Pierre Weiss,皮埃爾·外斯
Christopher Samba,基斯杜化·森巴
Vassily Kandinsky,瓦西里·康定斯基
Salomé Zourabichvili,萨洛梅·祖拉比什维利
Jean Behra,让·贝哈
Jacques de Reinach,雅克·德·雷纳克
Henri Louveau,亨利·卢沃
Raymond Radiguet,雷蒙德·哈第蓋
Enki Bilal,恩奇‧畢拉
Théodore Agrippa d'Aubigné,泰奥多尔-阿格里帕·多比涅
Vincent Candela,樊尚·坎德拉
Claude Berri,克勞德·貝黎
Lúcio Costa,盧西奧·科斯塔
Jules Romains,朱尔·罗曼
Tahar Ben Jelloun,塔哈尔·本·杰隆
Bella Darvi,貝拉·黛薇
Mathurin Jacques Brisson,马蒂兰·雅克·布里松
Jeannot Szwarc,珍娜兒·許瓦克
Robert Badinter,罗贝尔·巴丹戴尔
Carlo Ponti,卡洛·蓬蒂
Alexis Lemaire,亞歷克西·斯勒梅爾
Alain Cuny,阿莱恩·库尼
Jean-Marie Valhubert,让-马里·瓦吕贝尔
Gaël Ernesto washington Kakuta,蓋爾·卡古達
Emmanuel de Grouchy,埃曼努尔·格鲁希
Lolo Ferrari,洛洛·费拉里
Madeleine de La Tour d'Auvergne,瑪德琳·德·拉·圖·奧文尼
François Pantxi Sirieix,施尼爾斯
François de Cuvilliés l'Ancien,弗兰索瓦·德·屈维利埃
Louise Bénédicte de Bourbon,露易丝-本尼迪克特·德·波旁
Marie-Laetitia Bonaparte,瑪麗亞·萊蒂西亞·波拿巴
Pierre Louÿs,皮埃爾．路易斯
Zinaïda Hippius,季娜依达·吉皮乌斯
Stéphanie de Beauharnais,史蒂芬妮·德·博阿爾內
Jean-Patrick Manchette,让·帕特里克·莫夏特
Ilya Ilitch Metchnikov,埃黎耶·埃黎赫·梅契尼可夫
Omar Bongo,哈吉·奥马尔·邦戈
Étienne Capoue,埃蒂尼·卡波埃
Stéphane Courtois,斯特凡·库尔图瓦
Sandrine Brétigny,桑德里娜·布雷蒂尼
Léon Mba,莱昂·姆巴
François Clouet,弗朗索瓦·克卢埃
Jean Aurel,吉恩·奧雷爾
Étienne Bonnot de Condillac,埃蒂耶纳·博诺·德·孔狄亚克
Friedrich Burgmüller,弗里德里希·布爾格繆勒
Louis Jouvet,路易·茹韦
Hélène Boucher,埃莱娜·布谢
Gabriel-François Doyen,加布里耶·弗朗索瓦·都爾楊
Sofiane Feghouli,索菲亚内·费古利
Charles Nodier,查尔斯·诺迪埃
Amina Annabi,阿米娜
Étienne Ier de Sancerre,桑塞尔的艾蒂安一世
Michel Constantin,米歇爾·科斯坦丁
Marlène Jobert,玛莲妮·乔伯特
Charles Péguy,貝璣
Théodelinde de Beauharnais,西奥多林德·德·博阿爾內
Jean-François Copé,让-弗朗索瓦·科佩
André Simon,安德烈·西蒙
Aldo Gordini,阿尔多·戈尔迪尼
Charles Pozzi,夏尔·波齐
Jean Alesi,让·阿莱西
Arnaud Clément,阿诺·克莱芒
Walter Gieseking,瓦尔特·吉塞金
Philippe Soupault,菲利普·蘇波
Enguerrand II de Ponthieu,恩格朗二世
François Cevert,弗朗索瓦·西弗特
Hubert Maga,于贝尔·马加
Rémi Gaillard,雷米·蓋拉德
Louis Vierne,路易·维埃纳
Louis Dumont,路易·杜蒙
Mike Sparken,米克·斯帕尔康
Éric Boullier,埃里克·布里耶
Georges Grignard,乔治·格里尼亚
Bertrand Tavernier,贝特朗·塔韦尼耶
Érik Comas,埃里克·科马斯
Bertrand Gachot,伯特蘭·加蕭
Louis Niedermeyer,路易·尼德梅耶
Souleymane Doukara,杜卡拿
Franck Montagny,弗兰克·蒙塔尼
Louis Chiron,路易斯·凱龍
Marylise Lebranchu,玛丽利斯·勒布朗许
Emmanuelle Bercot,艾曼紐·貝考
José-Maria de Heredia,若瑟-马里亚·德·埃雷迪亚
Félicité de La Mennais,休斯·費里西耶·羅伯特·德·拉奈奈
Patrick Tambay,帕特里克·唐贝
Victoire de Saxe-Cobourg-Gotha,維多利亞 (薩克森-科堡和哥達)
Frédéric-Armand de Schomberg,弗雷德里希·紹姆貝格，第一代紹姆貝格公爵
Benoîte Groult,博奴瓦特·格魯
Henri Peslier,亨利·佩斯利耶
Louis Rosier,路易·罗西耶
Mehdi Nebbou,梅迪·內布
Karl-Heinz Förster,卡尔海因茨·福斯特
Philippe Streiff,菲利普·斯特雷夫
Philippe Alliot,菲利普·阿利奧
Christine Goitschel,克里斯蒂娜·古瓦切尔
Jeanne Lanvin,珍妮·浪凡
Henri Gatien Bertrand,貝特朗
Laure Junot d’Abrantès,勞拉·朱諾，阿布蘭特什公爵夫人
Sylviane Félix,西尔维亚娜·费利克斯
René Arnoux,勒內·阿諾
Franck Lagorce,弗朗克·拉戈尔斯
Yannick Dalmas,雅尼克·達爾馬斯
Samuel ibn Tibbon,塞缪尔·伊本·蒂本
René Féret,瑞内·弗莱特
Marion Delorme,馬里昂·德洛梅
Renée Faure,瑞奈·福爾
Augustin Trébuchon,奥古斯丁·特雷比雄
Charles Ehresmann,夏尔·埃雷斯曼
Louis Ier d'Orléans,路易一世
Henri de La Tour d'Auvergne,蒂雷纳子爵
abbé Pierre,皮埃尔神父
Joe Dassin,喬·達辛
Dominique Horwitz,多米尼克·霍卫兹
George Weah,乔治·维阿
Bernard Guasch,貝納爾·瓜斯克
Eugène Viollet-le-Duc,維歐勒·勒·杜克
Lino Ventura,利诺·文图拉
Fernando Botero,费尔南多·博特罗
Jean Lannes,讓·拉納，芒泰貝洛公爵
Julio Cortázar,胡利奥·科塔萨尔
Bettina Rheims,贝蒂娜·兰斯
Olivier Grouillard,奧利維爾·格魯爾德
Jean-Marc Gounon,让-马孔·古农
Jean-Christophe Boullion,讓-克里斯托夫·布利恩
Abderrahmane Sissako,阿博德哈蒙·西塞科
Perrine Pelen,佩里娜·珀朗
Jacqueline Roque,賈桂琳·洛克
Marianne Denicourt,玛丽安娜·德尼库尔
Béatrice Dalle,贝亚特丽斯·达勒
François de La Rochefoucauld,弗朗索瓦·德·拉罗什富科
Élisabeth de Bourgogne,勃艮第的伊莉莎白
Dominique Perben,多米尼克·佩爾邦
Catherine Colonna,卡特琳·科隆纳
Simonne Mathieu,西蒙娜·馬修
Princesse Isabelle d’Orléans,伊莎貝爾 (奧爾良公主)
Rodolphe Kreutzer,鲁道夫·克鲁采
Bernard Menez,贝尔纳·梅内斯
Jean-Pierre Raffarin,让-皮埃尔·拉法兰
Abbas,阿巴斯
Abbas Fahdel,阿巴斯·法蒂勒
André Danjon,安德烈-路易·丹容
Céline Lebrun,塞利娜·勒布伦
Nelly Olin,内利·奥兰
Audrey Tautou,奧黛莉·朵杜
Ferdinand Buisson,费迪南·比松
Sacha Guitry,薩沙·吉特里
Jean Giraud,尚·吉羅
Caroline Ducey,卡罗琳·杜西
Cyril Tommasone,西里爾·托馬遜
Mathias Énard,馬蒂亞斯·艾那爾德
Pierre Vernier,皮埃尔·韦尼尔
Monique Chaumette,莫妮克·肖梅特
Aline Bonetto,艾莉恩·伯娜托
Raymond Sabouraud,雷蒙德·萨布罗
César de Vendôme,塞萨尔·德·波旁
Alix de Foresta,阿历克丝王妃
Marie-Anne de Mailly-Nesle,玛丽·安娜·德·马伊-内勒
Martine Billard,马蒂娜·比亚尔
Roger II de Foix,富瓦的罗热二世
Alfred Sisley,阿尔弗雷德·西斯莱
Abedi Pelé,阿贝迪·贝利
Dominique Bussereau,多米尼克·比瑟罗
Édith Scob,爱迪丝·斯考博
Marguerite Steinheil,玛格丽特·施泰因海尔
Simon IV de Montfort,西蒙·德·孟福特
Thierry Mariani,蒂埃里·马里亚尼
Abdellatif Kechiche,阿布戴·柯西胥
Andreas Franz Wilhelm Schimper,安德烈亞斯弗朗茨·威廉·申佩爾
Abdoul Aziz Nikiema,阿卜杜勒-阿齐兹·尼基耶马
Abdoulay Konko,阿卜杜拉伊·孔科
Abdoulaye Sané,沙內
Abdelkader Ghezzal,阿卜德卡德·格扎尔
Maurice Sarrail,莫里斯·薩海
Papiss Cissé,帕皮斯·西塞
Stéphane Sarrazin,史蒂芬·薩拉贊
Paul Frère,保罗·弗雷尔
Charles IV de France,查理四世
Roland Joffé,羅蘭·佐夫
Michel Butor,米歇尔·布托尔
Antoine François Andréossy,安托万·弗朗索瓦·安德雷奥西
Ibrahim Ba,易卜拉欣·巴
Peguy Luyindula,盧恩度拿
Florent Sinama-Pongolle,弗洛伦特·辛纳玛-庞格勒
Charles Chaynes,夏尔·沙伊纳
Pierre Amoyal,皮耶·阿莫亞
Christophe Blain,克里斯托夫·布兰
Sylvère Lotringer,西尔维尔·洛特兰热
Éliane Radigue,艾莉安·拉迪格
Marc Levy,马克·李维
Franck Riester,弗兰克·里斯特
Mansour Ojjeh,曼蘇爾·歐耶
Loïc Bigois,洛伊·比格瓦斯
Beate Klarsfeld,贝亚特·克拉斯菲尔德
Cédric Kanté,塞德里克·坎特
Maurice Koechlin,莫里斯·克什兰
Édouard Biot,埃杜阿尔德·比奥特
Fernando Arrabal,费尔南多·阿拉巴尔
Marie Bracquemond,瑪麗·布哈可蒙
Anne-Marie Colchen,安妮-瑪麗·科爾尚
Marinette Pichon,马里内特·皮雄
Auguste Blanqui,路易·奥古斯特·布朗基
André Le Nôtre,安德烈·勒诺特尔
Édouard-Gérard Balbiani,爱德华·杰拉德·巴尔比亚尼
Philippe Christanval,菲利普·克里斯坦瓦尔
Mamadou Niang,尼安
Coralie Clément,柯荷莉
Natalia Cheremetievskaïa,娜塔莉娅·布拉索娃
Nicole Védrès,妮可·韋德雷斯
Éric Serra,艾瑞克·塞拉
Georges Prêtre,乔治·普雷特
Théodore Chassériau,泰奥多尔·夏塞里奥
Maurice Garin,毛瑞斯·盖利
Cyprian Kamil Norwid,齐普里安·诺尔维德
Christophe Dugarry,克里斯托弗·杜加里
Nicolas Malebranche,馬勒伯朗士
Catherine Allégret,卡特琳娜·阿莱格雷
Louise Weiss,路易丝·魏斯
Maud Fontenoy,莫德·豐特努瓦
Jean Bureau,让·比罗
Jean Tirole,让·梯若尔
Édouard Chavannes,沙畹
Gérard Ducarouge,杰拉德·迪卡鲁热
Simon de Vexin,西蒙・德・克雷皮
Jérémy Chardy,熱雷米·夏爾迪
Antoine de Bourbon,安托萬·德·波旁
Paul-Henri Mathieu,保羅-亨利·馬蒂厄
Jean Giraudoux,让·季洛杜
Paul Deschanel,保罗·欧仁·路易·德沙内尔
Édouard Baer,伊度域·巴亞
Jean-Louis Barrault,让-路易·巴罗
Achille Peretti,阿基利·佩雷蒂
Christine Delaroche,克里斯蒂娜·德拉罗什
Édouard Drumont,愛德華·德呂蒙
Édouard Louis Dubufe,爱德华·迪比夫
Édouard Duplan,爱德华·迪普朗
Anne de Bavière,安娜·亨麗埃特
Édouard-Alfred Martel,愛德華-阿爾弗雷德·馬特爾
Achille Richard,阿希尔·里夏尔
Victor de Broglie,維克托·德布羅伊
Élisabeth de France,瓦卢瓦的伊丽莎白
Victor-Adolphe Malte-Brun,维克托-阿道夫·马尔特-布兰
Yves Guéna,伊夫·蓋納
Édouard Brissaud,爱德华·布里索
Johann Karl Burckhardt,约翰·卡尔·布尔克哈特
Eugène Lauste,欧仁·奥古斯丁·洛斯特
Édouard Drouyn de Lhuys,德律安·德·吕
Alphonse de Poitiers,图卢兹的阿方索伯爵
Achille Zavatta,阿基爾·扎瓦塔
Jimmy Briand,布莱恩威廉姆斯
Éléonore Desmier d'Olbreuse,伊利諾·達美婭·杜布斯
Fénelon,弗朗索瓦·芬乃伦
Stéphane Franke,斯特凡·弗兰克
Alfred de Vigny,阿爾弗雷德·德·維尼
Édouard-Léon Scott de Martinville,爱德华-莱昂·斯科特·德·马丁维尔
Édouard Mortier,爱德华·莫蒂埃
François Martin,弗朗索瓦·马丁
Louise de La Fayette,路易丝·德·拉法耶特
Édouard Branly,愛德華·布朗利
Achille Liénart,阿希勒·利耶納爾特
Leconte de Lisle,勒孔特·德·利尔
Édouard Cortès,爱德华·科尔特斯
Édouard Colonne,愛德華·科隆
Heinrich Schëuch,海因里希·舒爾契
Humbert de Moyenmoutier,宏伯特
Joseph Armand von Nordmann,阿爾芒·馮·諾德曼
Vencelas Dabaya,旺斯拉·达巴亚
Timothée Kolodziejczak,高洛迪斯薩克
Hubert Curien,于贝尔·居里安
Édouard Roche,愛德華·洛希
Vincent Descombes,文森·德贡布
Daniel Chamier,丹尼爾·切米爾
Georges Dumézil,喬治·杜梅吉爾
Jean-Paul Salomé,让-保尔·萨罗米
Riccardo Pizzuti,里卡多·皮兹蒂
Jean-Gabriel Albicocco,讓-加布里埃爾·阿爾比科科
Pierre Braunberger,皮埃尔·布朗贝热
Achille Souchard,阿希尔·苏沙尔
Achille Valenciennes,阿希爾·瓦朗謝訥
Julio Le Parc,胡利奧·勒·帕克
Mikaël Silvestre,米卡埃尔·西尔韦斯特
Mathurin Méheut,马蒂兰·梅厄
Jean-Denis Lanjuinais,让-德尼·朗瑞奈
Henri Maspero,亨利·馬伯樂
Charles François de Cisternay du Fay,查爾斯·篤費
Jacques Companéez,雅克·康帕内兹
Gabriel Ier de Montgommery,蒙哥馬利伯爵加布里埃爾
Christiaan Hendrik Persoon,克里斯蒂安·亨德里克·珀森
Aimé Jacquet,艾梅·雅凯
Louis II de Bourbon-Condé,路易二世·德·波旁
Pierre-Augustin Caron de Beaumarchais,皮埃爾·博馬舍
Samuel Bing,萨穆尔·宾
Charles de Rémusat,夏尔·德·雷米萨
Jean-Baptiste Bessières,让-巴蒂斯特·贝西埃
Édouard André,愛德華·安德烈
Édouard Glissant,爱德华·格里桑
Charles d'Orléans,查理一世
Alfred Kastler,阿尔弗雷德·卡斯特勒
Gernot Rohr,格特·羅爾
Frédéric Back,費德烈·貝克
Pierre Méchain,皮埃尔·梅尚
Théodore Rousseau,泰奧多爾·盧梭
Henri Martin,亨利-让·纪尧姆·马丁
Hiam Abbass,希安·阿巴斯
Arthur Mabillon,阿蒂尔·马比荣
Bernard Le Bouyer de Fontenelle,贝尔纳·勒布耶·德·丰特奈尔
Christian Clavier,克里斯蒂安·克拉维耶
Alexandre Cabanel,亚历山大·卡巴内尔
Abdoulaye Diallo,阿卜杜拉耶·迪亞洛
Helenio Herrera,希倫尼奧·靴利拿
Michel Bastos,米高·巴斯圖斯
Michael Lonsdale,迈克尔·朗斯代尔
George Sluizer,喬治·蘇魯澤
Édouard Lefebvre de Laboulaye,爱德华·勒内·德·拉布莱
Édouard Rosset-Granger,爱德华·罗塞-格朗热
Louis Le Vau,路易·勒沃
Camille Jordan,卡米尔·若尔当
Henri Fantin-Latour,亨利·方丹-拉图尔
Lazare Carnot,拉扎尔·卡诺
Boris Spassky,鲍里斯·斯帕斯基
Jean-Marie Balestre,让-马里·巴莱斯特
Jean Giono,让·纪奥诺
Édouard Goursat,爱徳华·古尔萨
François Rude,弗朗索瓦·吕德
Kanak,喀納克
Édouard Lucas,爱德华·卢卡斯
Jules Michelet,儒勒·米什莱
Édouard Molinaro,埃德沃德·莫利納羅
Thích Nhất Hạnh,一行禪師
Édouard Herriot,赫里欧
Édouard Stephan,爱德华·斯特凡
Paul Tannery,保罗·塔内里
Annette Kolb,安妮特·柯爾伯
Éric Weil,艾瑞克·怀尔
Édouard Montoute,愛德華·蒙多特
Charles Benoît Hase,卡尔·本尼迪克特·哈斯
Moktar Ould Daddah,穆克塔尔·乌尔德·达达赫
Maurice Thorez,莫理斯·多列士
Léon Halévy,莱昂·阿萊维
Dominique Besnehard,多米尼克·贝纳尔
Bernard Le Coq,貝爾納·勒·科克
Jean-François Pilâtre de Rozier,讓-弗朗索瓦·皮拉特爾·德羅齊耶
Jean Anouilh,尚·阿諾伊
Robert Galley,罗贝尔·加雷
Georges Bordonove,喬治·波篤諾夫
Sébastien Frey,塞巴斯蒂安·弗赖
Henri Victor Regnault,亨利·维克托·勒尼奥
Julia Dietze,茱莉亚·迭泽
Honoré Blanc,奧諾雷·布蘭
Lorik Cana,洛里克·卡纳
Élisabeth Badinter,伊麗莎白·巴丹德
Claire Goll,克莱尔·戈尔
Alain Badiou,阿兰·巴迪欧
Henri Ier de France,亨利一世
Christophe de Margerie,克里斯托夫·德·马尔热里
René Schickele,勒内·希克勒
Pierre-Claude-François Daunou,皮埃爾·克洛德·弗朗索瓦·多努
Claudius Dornier,克勞迪斯·都尼爾
Joseph Marie Jacquard,约瑟夫·马里·雅卡尔
Mireille Mathieu,米雷耶·馬蒂厄
Charles de Steuben,查爾斯·德·斯圖本
Ľubomír Moravčík,卢波米尔·莫拉维茨克
Roland Barthes,罗兰·巴特
Édouard Vaillant,爱德华·瓦扬
Lucas Digne,盧卡斯·迪尼
