Lech Wałęsa,레흐 바웬사
Kryscina Cimanouska,크리스치나 치마노우스카야
Kamil Grabara,카밀 그라바라
Marcin Bułka,마르친 부우카
Jakub Kiwior,야쿠프 키비오르
Nicola Zalewski,니콜라 잘레프스키
Michał Skóraś,미하우 스쿠라시
Jakub Kamiński (piłkarz),야쿠프 카민스키
Sanah,사나 (폴란드의 가수)
Kamil Piątkowski,카밀 피옹트코프스키
Gabriel Slonina,가브리엘 슬로니나
Anna-Maria Sieklucka,안나마리아 시에클루츠카
Blanka Stajkow,블란카 스타이코프
