Douglas Adams,ダグラス・アダムズ
Zak Starkey,ザック・スターキー
Kate Moss,ケイト・モス
Michael Byrne (actor),マイケル・バーン
Adrian Smith,エイドリアン・スミス
Alan Parsons,アラン・パーソンズ
Natasha Richardson,ナターシャ・リチャードソン
Diane Towler,ダイアン・トウラー
Agnes Tuckey,アグネス・タッキー
Luol Deng,ルオル・デン
Dixie Dean,ディキシー・ディーン
Stephen Moyer,スティーヴン・モイヤー
Alan Cumming,アラン・カミング
Tino Sehgal,ティノ・セーガル
Gary Neville,ガリー・ネヴィル
Will Young,ウィル・ヤング
Simon Webbe,サイモン・ウェブ
Bruce Chatwin,ブルース・チャトウィン
Graham Bonnet,グラハム・ボネット
Zara Tindall,ザラ・ティンダル
Christian Colson,クリスチャン・コルソン
Phil Collins,フィル・コリンズ
George McCartney (footballer),ジョージ・マッカートニー
Steven Fletcher (footballer),スティーヴン・フレッチャー・(サッカー選手)
Blair Adams,ブレア・アダムズ
Ida Lupino,アイダ・ルピノ
Kevin Nolan,ケヴィン・ノーラン
Zat Knight,ザット・ナイト
Marian McPartland,マリアン・マクパートランド
"Michael Thomas (footballer, born 1967)",マイケル・トーマス・(サッカー選手)
Benjamin Britten,ベンジャミン・ブリテン
E. E. Evans-Pritchard,エドワード・エヴァン・エヴァンズ＝プリチャード
Geoff Hurst,ジェフ・ハースト
Monica Lewinsky,モニカ・ルインスキー
Thomas Andrews,トーマス・アンドリューズ・(造船家)
William Regal,ダレン・マシューズ
A. S. Neill,A・S・ニイル
George Shearing,ジョージ・シアリング
George Sansom,ジョージ・サンソム
Leslie Heward,レスリー・ヒュアード
Danny Guthrie,ダニー・ガスリー
Adam Carroll (racing driver),アダム・キャロル
Martin Birch,マーティン・バーチ
Helen Mirren,ヘレン・ミレン
Natasha Bedingfield,ナターシャ・ベディングフィールド
Jane Birkin,ジェーン・バーキン
Aaron Ramsey,アーロン・ラムジー
Emilia Fox,エミリア・フォックス
Cheryl (singer),シェリル・コール
Steve Sidwell,スティーヴ・シドウェル
Lynne Dawson,リン・ドーソン
Julie Driscoll,ジュリー・ティペッツ
David Thewlis,デヴィッド・シューリス
Ian Paice,イアン・ペイス
Egon Wellesz,エゴン・ヴェレス
Charles Algernon Parsons,チャールズ・アルジャーノン・パーソンズ
Henry Moore,ヘンリー・ムーア
Gareth Southgate,ガレス・サウスゲート
"Walter Rothschild, 2nd Baron Rothschild",ウォルター・ロスチャイルド・(第2代ロスチャイルド男爵)
Dorothy Garrod,ドロシー・ギャロッド
R. G. Collingwood,ロビン・ジョージ・コリングウッド
John Ray,ジョン・レイ・(博物学者)
Claude Choules,クロード・チョールズ
Alex McLeish,アレックス・マクリーシュ
Steve Coogan,スティーヴ・クーガン
John Fisher,ジョン・フィッシャー
Billie Piper,ビリー・パイパー
Annie Lennox,アニー・レノックス
Darren Bent,ダレン・ベント
Charles Scott Sherrington,チャールズ・シェリントン
Adam Freeland,アダム・フリーランド
Danny Mills,ダニー・ミルズ
Adam Gunn,アダム・ガン
Adam Khan,アダム・カーン
Michael Loewe,マイケル・ローウェ
Frederick Sanger,フレデリック・サンガー
"Anne, Princess Royal",アン・(イギリス王女)
James Donald,ジェームズ・ドナルド
Charlotte Gainsbourg,シャルロット・ゲンズブール
Frances Hodgson Burnett,フランシス・ホジソン・バーネット
Thomas De Quincey,トマス・ド・クインシー
Matt Lucas,マット・ルーカス
Neil Kinnock,ニール・キノック
Berthold Goldschmidt,ベルトルト・ゴルトシュミット
Scott Parker,スコット・パーカー
Gordon Banks,ゴードン・バンクス
Gitta Sereny,ギタ・ゼレニー
Richard Burns,リチャード・バーンズ
Sarah Brightman,サラ・ブライトマン
Mátyás Seiber,シェイベル・マーチャーシュ
Peter Medawar,ピーター・メダワー
Queen Camilla,カミラ・(イギリス王妃)
Jason Isaacs,ジェイソン・アイザックス
John Scales,ジョン・スケールズ
Ciaran Clark,キアラン・クラーク
Nigel Reo-Coker,ナイジェル・レオ＝コーカー
Matthew Goode,マシュー・グード
Chiwetel Ejiofor,キウェテル・イジョフォー
Ally McCoist,アリー・マッコイスト
John Tavener,ジョン・タヴナー
Eric Liddell,エリック・リデル
Bernard Montgomery,バーナード・モントゴメリー
Beatrix Potter,ビアトリクス・ポター
Mark Hughes,マーク・ヒューズ・(ウェールズのサッカー選手)
Dominic Monaghan,ドミニク・モナハン
Melanie C,メラニー・チズム
James George Frazer,ジェームズ・フレイザー
Bobby Zamora,ボビー・ザモラ
Steve Shirley,スティーブ・シャーリー・(実業家)
Sol Campbell,ソル・キャンベル
Leon Osman,レオン・オズマン
Anna Maxwell Martin,アンナ・マックスウェル・マーティン
Tom Huddlestone,トム・ハドルストーン
Benik Afobe,ベニク・アフォベ
James Beattie (footballer),ジェームズ・ビーティー
Joseph Needham,ジョゼフ・ニーダム
Ian Brownlie,イアン・ブラウンリー
Alison Uttley,アリソン・アトリー
Duncan Edwards,ダンカン・エドワーズ
"Andrew Johnson (footballer, born 1981)",アンディ・ジョンソン
Berlie Doherty,バーリー・ドハーティ
Billy Boyd (actor),ビリー・ボイド
Evan Roberts (minister),エバン・ロバーツ
Dominic Cooper,ドミニク・クーパー
Matt Le Tissier,マット・ル・ティシエ
Gerald Gardner,ジェラルド・ガードナー
Adam Rayner,アダム・レイナー
Joe McElderry,ジョー・マケルダリー
Adam Matthews,アダム・マシューズ
Barbara Thompson (musician),バーバラ・トンプソン
Abdulrazak Gurnah,アブドゥルラザク・グルナ
Jamie Redknapp,ジェイミー・レドナップ
Jamie Murray,ジェイミー・マリー
Richard Burton,リチャード・バートン
John Fowles,ジョン・ファウルズ
David Tennant,デイヴィッド・テナント
Lucia Moholy,ルチア・モホリ
Sam Neill,サム・ニール
Joseph Horovitz,ジョーゼフ・ホロヴィッツ
Lucie Rie,ルーシー・リー
Franz Reizenstein,フランツ・ライゼンシュタイン
David Seaman,デビッド・シーマン
Carl Froch,カール・フローチ
Ray Wilson (musician),レイ・ウイルソン
Donovan,ドノヴァン
Glenn Tipton,グレン・ティプトン
Fish (singer),フィッシュ・(歌手)
Don Revie,ドン・レヴィー
Hermann Gollancz,ハーマン・ゴランツ
Adam Roberts (British writer),アダム・ロバーツ
Michael Apted,マイケル・アプテッド
Nicky Shorey,ニッキー・ショーリー
Johnny Marr,ジョニー・マー
Dan Gosling,ダン・ゴスリング
Robbie Savage,ロビー・サヴェージ
Kevin Kilbane,ケヴィン・キルバーン
Kevin Mulligan,ケヴィン・マリガン
James Blake (musician),ジェイムス・ブレイク・(ミュージシャン)
Vanessa Beecroft,ヴァネッサ・ビークロフト
"Prince Harry, Duke of Sussex",ヘンリー・(サセックス公)
George Tabori,ジョージ・タボリ
Kevin Keegan,ケビン・キーガン
Bernard Pagel,バーナード・パーゲル
Vanessa-Mae,ヴァネッサ・メイ
Rhys Ifans,リス・エヴァンス
Arthur Eddington,アーサー・エディントン
Peter Shaffer,ピーター・シェーファー
Oldfield Thomas,オールドフィールド・トーマス
Shaka Hislop,シャカ・ヒスロップ
Malcolm Gladwell,マルコム・グラッドウェル
Michael Redgrave,マイケル・レッドグレイヴ
Chris Hughton,クリス・ヒュートン
Adam Tooze,アダム・トゥーズ
Nigel Farage,ナイジェル・ファラージ
Ian Rankin,イアン・ランキン
A. E. Housman,アルフレッド・エドワード・ハウスマン
Diana Clifton-Peach,ダイアン・クリフトン＝ピーチ
Edward Victor Appleton,エドワード・アップルトン
Joan Collins,ジョーン・コリンズ
Max Rostal,マックス・ロスタル
"Prince Andrew, Duke of York",アンドルー・(ヨーク公)
Sam Bird,サム・バード
John Peter Zenger,ジョン・ピーター・ゼンガー
John Entwistle,ジョン・エントウィッスル
"Paul Robinson (footballer, born 1979)",ポール・ロビンソン・(1979年生のサッカー選手)
Neville Marriner,ネヴィル・マリナー
Cliff Williams,クリフ・ウィリアムズ
Joleon Lescott,ジョリオン・レスコット
Sacha Dhawan,サッシャ・ダーワン
Ben Gordon,ベン・ゴードン
Jonny Wilkinson,ジョニー・ウィルキンソン
Claude Rains,クロード・レインズ
Shaun Murphy,ショーン・マーフィー・(スヌーカー)
Nat Lofthouse,ナット・ロフトハウス
Santiago Cabrera,サンティアゴ・カブレラ
Jim Leighton,ジム・レイトン
Mark Ronson,マーク・ロンソン
Tim Ahearne,ティモシー・エイハーン
Hannah Chaplin,ハンナ・チャップリン
Freeman Dyson,フリーマン・ダイソン
"Princess Margaret, Countess of Snowdon",マーガレット・(スノードン伯爵夫人)
Nigel Pearson,ナイジェル・ピアソン
Nikolaas Tinbergen,ニコ・ティンバーゲン
Craig David,クレイグ・デイヴィッド
Oskar Kokoschka,オスカー・ココシュカ
Cat Stevens,キャット・スティーヴンス
Francis Bacon (artist),フランシス・ベーコン・(芸術家)
Alexander Goehr,アレクサンダー・ゲール
Charlie Watts,チャーリー・ワッツ
Rudolf Wittkower,ルドルフ・ウィットカウアー
Oliver Smithies,オリヴァー・スミティーズ
Ian Anderson,イアン・アンダーソン
Stanley Matthews,スタンリー・マシューズ
César Milstein,セーサル・ミルスタイン
Archibald Hill,アーチボルド・ヒル
Bryan Ferry,ブライアン・フェリー
Jeremy Clarkson,ジェレミー・クラークソン
William Webb Ellis,ウィリアム・ウェッブ・エリス
Roger Bannister,ロジャー・バニスター
Colin Towns,コリン・タウンズ
Chris Froome,クリス・フルーム
Julian Lloyd Webber,ジュリアン・ロイド・ウェバー
Hugh Bonneville,ヒュー・ボネヴィル
Dennis Gabor,ガーボル・デーネシュ
"Sir George Stokes, 1st Baronet",ジョージ・ガブリエル・ストークス
Liam Gallagher,リアム・ギャラガー
Ronald Fisher,ロナルド・フィッシャー
Sophie Ellis-Bextor,ソフィー・エリス・ベクスター
Andy Cole,アンディ・コール
Ray Wilkins,レイ・ウィルキンス
Robert Plant,ロバート・プラント
Alan Rawsthorne,アラン・ロースソーン
Phyllis Mudford King,フィリス・キング
Iso Mutsu,陸奥イソ
Ian Crook,イアン・クルーク
Ian St John,イアン・セント・ジョン
Maud of Wales,モード・(ノルウェー王妃)
Lucian Freud,ルシアン・フロイド
Roger Glover,ロジャー・グローヴァー
"Alan Smith (footballer, born 1980)",アラン・スミス
Ed Miliband,エド・ミリバンド
Susan Blackmore,スーザン・ブラックモア
"Prince Edward, Duke of Edinburgh",エドワード・(エディンバラ公爵)
Alan Sillitoe,アラン・シリトー
"Sophie, Duchess of Edinburgh",ソフィー・(エディンバラ公爵夫人)
Tom Finney,トム・フィニー
Richard Garriott,リチャード・ギャリオット
Richard O'Connor,リチャード・オコーナー
Steven Wilson,スティーヴン・ウィルソン
John Gatenby Bolton,ジョン・ボルトン・(天文学者)
Aaron Wilbraham,アーロン・ウィルブラハム
András Schiff,アンドラーシュ・シフ
Carl Fogarty,カール・フォガティ
George Lusztig,ジョージ・ルスティック
Doreen Denny,ドレーン・デニー
Johnny Haynes,ジョニー・ヘインズ
Justin Hoyte,ジャスティン・ホイト
Bernard Lovell,アルフレッド・ラヴェル
China Miéville,チャイナ・ミエヴィル
Katie Melua,ケイティ・メルア
Leslie Howard,レスリー・ハワード
J. B. S. Haldane,J・B・S・ホールデン
Bonnie Tyler,ボニー・タイラー
George Everest,ジョージ・エベレスト
Pete Postlethwaite,ピート・ポスルスウェイト
Joss Stone,ジョス・ストーン
Iris Murdoch,アイリス・マードック
Anthony Burgess,アンソニー・バージェス
Ian Stewart (musician),イアン・スチュワート・(ミュージシャン)
Keith Emerson,キース・エマーソン
Naomie Harris,ナオミ・ハリス
Lynn Redgrave,リン・レッドグレイヴ
Stanley Rous,スタンリー・ラウス
Paul Merson,ポール・マーソン
Phil Thompson,フィル・トンプソン
Charles Brabin,チャールズ・ブレイビン
C. S. Forester,セシル・スコット・フォレスター
Immodesty Blaize,イモデスティ・ブレーズ
Mr. Methane,ミスター・メタン
Phil Neville,フィリップ・ネヴィル
Seal (musician),シール・(歌手)
Ian Rush,イアン・ラッシュ
Tommy Taylor,トミー・テイラー
Joe Bennett (footballer),ジョー・ベネット
Rick Astley,リック・アストリー
Joe Jordan,ジョー・ジョーダン・(サッカー選手)
Lee Bowyer,リー・ボウヤー
Norman Hunter (footballer),ノーマン・ハンター
Zola Budd,ゾーラ・バッド
David Oyelowo,デヴィッド・オイェロウォ
David Heyman,デヴィッド・ハイマン
Kevin Connor (director),ケヴィン・コナー・(映画監督)
David Bradley (English actor),デイビッド・ブラッドリー
"Valerian Wellesley, 8th Duke of Wellington",アーサー・ウェルズリー・(第8代ウェリントン公爵)
John Boland (Irish nationalist politician),ジョン・ピウス・ボーランド
Jonathan Walters,ジョン・ウォルターズ
"Louis Mountbatten, 1st Earl Mountbatten of Burma",ルイス・マウントバッテン
Yehudi Menuhin,ユーディ・メニューイン
Chris Waddle,クリス・ワドル
Raymond Cattell,レイモンド・キャッテル
Ford Madox Brown,フォード・マドックス・ブラウン
Alexander R. Todd,アレクサンダー・トッド
Jessie Ware,ジェシー・ウェア
Angela Beesley,アンジェラ・ビーズリー
"David Martin (footballer, born 1986)",デイビッド・マーティン
"Lee Martin (footballer, born 1987)",リー・マーティン
Harry Kroto,ハロルド・クロトー
Mairead Maguire,マイレッド・コリガン・マグワイア
Noel Redding,ノエル・レディング
Clarence Barlow,クラレンス・バーロウ
Nigel Gresley,ナイジェル・グレズリー
Betty Williams,ベティ・ウィリアムズ
Simon Rattle,サイモン・ラトル
Lee Dixon,リー・ディクソン
John Edensor Littlewood,ジョン・エデンサー・リトルウッド
Andy Bell (Welsh musician),アンディ・ベル
Vivienne Westwood,ヴィヴィアン・ウエストウッド
Zygmunt Bauman,ジグムント・バウマン
Princess Beatrice of the United Kingdom,ベアトリス・(イギリス王女)
"Prince Edward, Duke of Kent",エドワード・(ケント公)
"Matthew Taylor (footballer, born 1981)",マシュー・テイラー
Mark Noble,マーク・ノーブル
Matt Jarvis,マシュー・ジャーヴィス
David Irving,デイヴィッド・アーヴィング
Carlton Cole,カールトン・コール
John Sykes,ジョン・サイクス
Trevor Brooking,トレヴァー・ブルッキング
Nick Blackman,ニック・ブラックマン
Michael Howard (historian),マイケル・ハワード・(歴史学者)
Rose Gray,ローズ・グレイ
Ian Brown,イアン・ブラウン
Ian Hill,イアン・ヒル
Jamie Bamber,ジェイミー・バンバー
Owain Yeoman,オウェイン・イオマン
Chris Tsangarides,クリス・タンガリーディス
Nick Powell,ニック・パウエル
David Gray (musician),デヴィッド・グレイ・(ミュージシャン)
Mike Rutherford,マイク・ラザフォード
David Hewlett,デヴィッド・ヒューレット
Bernie Taupin,バーニー・トーピン
Gary McAllister,ガリー・マカリスター
Adela Pankhurst,アデラ・パンクハースト
Lady Rose Gilman,ローズ・ギルマン
Ian Dury,イアン・デューリー
Peter Mullan,ピーター・マラン
Francis Younghusband,フランシス・ヤングハズバンド
Marianne Jean-Baptiste,マリアンヌ・ジャン＝バプティスト
Brian G. Marsden,ブライアン・マースデン
"Gary Stevens (footballer, born 1963)",ゲーリー・スティーヴンス・(1963年生のサッカー選手)
Walter Map,ウォルター・マップ
Peter Hook,ピーター・フック
Albert Finney,アルバート・フィニー
Carey Mulligan,キャリー・マリガン
Rod Evans,ロッド・エヴァンス
Tony Banks (musician),トニー・バンクス・(ミュージシャン)
Hubert Parry,チャールズ・ヒューバート・パリー
Clive Burr,クライヴ・バー
Harrison Birtwistle,ハリソン・バートウィッスル
Kingsley Amis,キングズリー・エイミス
Anthony Giddens,アンソニー・ギデンズ
Alfred Pennyworth,アルフレッド・ペニーワース
Jack Collison,ジャック・コリソン
Andy Carroll,アンディ・キャロル
Richard Hamilton (artist),リチャード・ハミルトン・(画家)
James Stirling (architect),ジェームズ・スターリング・(建築家)
Emma Bunton,エマ・バントン
Joseph Rotblat,ジョセフ・ロートブラット
Arthur Quiller-Couch,アーサー・キラークーチ
Bernard Rose (director),バーナード・ローズ
Ivor Gurney,アイヴァー・ガーニー
John Maynard Smith,ジョン・メイナード＝スミス
Rick Allen (drummer),リック・アレン
Midge Ure,ミッジ・ユーロ
Gary Glitter,ゲイリー・グリッター
Jock Stein,ジョック・ステイン
Bernard Lee,バーナード・リー
K. K. Downing,K・K・ダウニング
Patrick O'Brian,パトリック・オブライアン
"James Collins (footballer, born 1983)",ジェームズ・コリンズ・(1983年生のサッカー選手)
Paul Nurse,ポール・ナース
Andy Whitfield,アンディ・ホイットフィールド
PJ Harvey,PJ・ハーヴェイ
Richard Stone,リチャード・ストーン
Lawrence Durrell,ロレンス・ダレル
Dusty Springfield,ダスティ・スプリングフィールド
Eric Ball (composer),エリック・ボール
Bryn Terfel,ブリン・ターフェル
Robert Hinde,ロバート・ハインド
Harry Mortimer,ハリー・モーティマー
Bernard Stevens,バーナード・スティーヴンス
Bernard Ford,バーナード・フォード
Jan Kleyna,ジャン・クレイナ
Alan Watts,アラン・ワッツ
Carol Kidd,キャロル・キッド
Alan R. Moon,アラン・ムーン
Francis Ysidro Edgeworth,フランシス・イシドロ・エッジワース
Suze Randall,スーズ・ランドール
Chris Ryan,クリス・ライアン
Tim Hodgkinson,ティム・ホジキンソン
Inspector Japp,ジェームス・ハロルド・ジャップ
Flinders Petrie,フリンダーズ・ピートリー
Diana Deutsch,ダイアナ・ドイチュ
Timothy Gowers,ウィリアム・ティモシー・ガワーズ
Nigel Kennedy,ナイジェル・ケネディ
Nick Griffin,ニック・グリフィン
David Hockney,デイヴィッド・ホックニー
Joseph Priestley,ジョゼフ・プリーストリー
Andy Wallace (racing driver),アンディ・ウォレス・(レーサー)
Roy Jenkins,ロイ・ジェンキンス
David Leadbetter (golf instructor),デビッド・レッドベター
Hamish Stuart,ヘイミッシュ・スチュアート
Oliver Hart (economist),オリバー・ハート
Margaret Archer,マーガレット・アーチャー
Gavin Rossdale,ギャヴィン・ロスデイル
Dennis Andries,デニス・アンドリュース
Leonard Woolley,レオナード・ウーリー
Jude Law,ジュード・ロウ
James Galway,ジェームズ・ゴールウェイ
Victoria Eugenie of Battenberg,ヴィクトリア・ユージェニー・オブ・バッテンバーグ
Evgeny Kissin,エフゲニー・キーシン
John Eliot Gardiner,ジョン・エリオット・ガーディナー
Alan White (Yes drummer),アラン・ホワイト
Emánuel Moór,エマヌエル・モール
Jonathan Greening,ジョナサン・グリーニング
Tony Coe,トニー・コー
Marc Quinn,マーク・クイン
Steven Davis,スティーヴン・デイヴィス
"Prince Arthur, Duke of Connaught and Strathearn",アーサー・(コノート公)
Charles Glover Barkla,チャールズ・バークラ
Paul Greengrass,ポール・グリーングラス
"George Plantagenet, Duke of Clarence",ジョージ・プランタジネット・(クラレンス公)
Richard Cook (journalist),リチャード・クック・(ジャズ・ライター)
Nick Heyward,ニック・ヘイワード
Malcolm McLaren,マルコム・マクラーレン
Geraint Thomas,ゲラント・トーマス
Wayne Mardle,ウェイン・マーデル
Allen Carr,アレン・カー
Jamie Cullum,ジェイミー・カラム
Charlie Hunnam,チャーリー・ハナム
"Richard of Shrewsbury, Duke of York",リチャード・オブ・シュルーズベリー・(ヨーク公)
William Huggins,ウィリアム・ハギンズ
Mark Haddon,マーク・ハッドン
Ian Walker (footballer),イアン・ウォーカー・(サッカー選手)
John Hartson,ジョン・ハートソン
Darren O'Shaughnessy,ダレン・シャン
Stuart Pearce,スチュアート・ピアース
Charles Rennie Mackintosh,チャールズ・レニー・マッキントッシュ
Harry Redknapp,ハリー・レドナップ
Engelbert Humperdinck (singer),エンゲルベルト・フンパーディンク・(歌手)
Ken Livingstone,ケン・リヴィングストン
Mark Rylance,マーク・ライランス
Peter Manley,ピーター・マンリー
Nick Easter,ニック・イースター
Marit Allen,マリット・アレン
Steve Borthwick,スティーブ・ボーズウィック
Chris Lowe,クリス・ロウ
Danny Care,ダニー・ケア
Jason Roberts (footballer),ジェイソン・ロバーツ
Gavin McCann,ギャヴィン・マッキャン
Cameron Jerome,キャメロン・ジェローム
Michael Tippett,マイケル・ティペット
Charles Spearman,チャールズ・スピアマン
William Ewart Gladstone,ウィリアム・グラッドストン
"Prince George, Duke of Kent",ジョージ・(ケント公)
Ian Holm,イアン・ホルム
Alister McRae,アリスター・マクレー
Arthur Geoffrey Walker,アーサー・ウォーカー
Aphex Twin,エイフェックス・ツイン
Nicko McBrain,ニコ・マクブレイン
"Billy Wright (footballer, born 1924)",ビリー・ライト
Sam Mendes,サム・メンデス
Dave Stewart (Eurythmics),デイヴ・スチュワート・(ギタリスト)
Michael Howard,マイケル・ハワード・(イギリスの政治家)
Aneurin Bevan,アナイリン・ベヴァン
Robert Palmer,ロバート・パーマー
Gertrude Lawrence,ガートルード・ローレンス
Anna Neagle,アンナ・ニーグル
Charles Bennett (athlete),チャールズ・ベネット・(陸上選手)
Tim Henman,ティム・ヘンマン
Ernest Jones,アーネスト・ジョーンズ
Jonathan Edwards (triple jumper),ジョナサン・エドワーズ・(陸上選手)
Peter Grant (music manager),ピーター・グラント・(音楽プロデューサー)
Liane Carroll,リアン・キャロル
Tim Blake,ティム・ブレイク
Daniel Sturridge,ダニエル・スタリッジ
Patrick Bateson,パトリック・ベイトソン
Tony Buzan,トニー・ブザン
Andy McNab,アンディ・マクナブ
Nevil Shute,ネヴィル・シュート
Anna Walton,アンナ・ウォルトン
Robert Greene (dramatist),ロバート・グリーン・(劇作家)
Danny Cipriani,ダニー・シプリアーニ
Trevor Sinclair,トレヴァー・シンクレア
Jack Higgins,ジャック・ヒギンズ
Julie Andrews,ジュリー・アンドリュース
"Princess Louise, Duchess of Argyll",ルイーズ・(アーガイル公爵夫人)
Jack Good (producer),ジャック・グッド・(テレビプロデューサー)
Julian Jarrold,ジュリアン・ジャロルド
Simon Cowell,サイモン・コーウェル
Colin Firth,コリン・ファース
Danny Webb (motorcyclist),ダニー・ウェブ
Brian Molko,ブライアン・モルコ
Lara Croft,ララ・クロフト
Gary Cahill,ガリー・ケーヒル
Joseph Fiennes,ジョセフ・ファインズ
Paul Scofield,ポール・スコフィールド
Michael Palin,マイケル・ペイリン
Simon Wright (musician),サイモン・ライト
Samantha Beckinsale,サマンサ・ベッキンセイル
E. P. Thompson,エドワード・P・トムスン
Steve Cram,スティーブ・クラム
Brian Horrocks,ブライアン・ホロックス
Lewis Spence,ルイス・スペンス
Billy Ocean,ビリー・オーシャン
Jarvis Cocker,ジャーヴィス・コッカー
Charles Thomson Rees Wilson,チャールズ・トムソン・リーズ・ウィルソン
Richard Hickox,リチャード・ヒコックス
Susannah York,スザンナ・ヨーク
Marlon Harewood,マーロン・ヘアウッド
Eunice Gayson,ユーニス・ゲイソン
Mark Shuttleworth,マーク・シャトルワース
Justin Pierce,ジャスティン・ピアース
Hanif Kureishi,ハニフ・クレイシ
Samuel Franklin Cody,サミュエル・フランクリン・コーディ
John Parr,ジョン・パー
Patrick Bamford,パトリック・バンフォード
John Hoppner,ジョン・ホプナー
Carl Barât,カール・バラー
Graham Nash,グラハム・ナッシュ
Viv Anderson,ヴィヴ・アンダーソン
Andrew Loog Oldham,アンドリュー・ルーグ・オールダム
Django Bates,ジャンゴ・ベイツ
Andy Goldsworthy,アンディー・ゴールズワージー
Ray Davies,レイ・デイヴィス
Mick Jones (The Clash guitarist),ミック・ジョーンズ・(ザ・クラッシュ)
Joanne Whalley,ジョアンヌ・ウォーリー
Zuleikha Robinson,ズレイカ・ロビンソン
Hugh Grant,ヒュー・グラント
Michael Polanyi,マイケル・ポランニー
Svetlana Alliluyeva,スヴェトラーナ・アリルーエワ
Zoë Wanamaker,ゾーイ・ワナメイカー
Brian Jones (aeronaut),ブライアン・ジョーンズ・(気球乗り)
E. Phillips Oppenheim,エドワード・オッペンハイム
Peter Hammill,ピーター・ハミル
Lewis Fry Richardson,ルイス・フライ・リチャードソン
William Shockley,ウィリアム・ショックレー
Sammy Ameobi,サミー・アメオビ
Ross Barkley,ロス・バークリー
Islam Feruz,イスラム・フェルス
"John Mowbray, 3rd Duke of Norfolk",ジョン・モウブレー・(第3代ノーフォーク公)
John Peel,ジョン・ピール
Sylvan Ebanks-Blake,シルヴァン・イーバンクス＝ブレイク
Dominic O'Brien,ドミニク・オブライエン
Giovanni Battista Draghi (composer),ジョヴァンニ・バッティスタ・ドラーギ
Denny Laine,デニー・レイン
Jacqueline du Pré,ジャクリーヌ・デュ・プレ
Georgie Henley,ジョージー・ヘンリー
P. L. Travers,パメラ・トラバース
Julie Walters,ジュリー・ウォルターズ
Lena Headey,レナ・ヘディ
Thandiwe Newton,タンディ・ニュートン
Dennis Wise,デニス・ワイズ
Peter Molyneux,ピーター・モリニュー
Alan Wilder,アラン・ワイルダー
Tom Baker,トム・ベイカー
Tsai Chin (actress),ツァイ・チン
Shirley Eaton,シャーリー・イートン
Rita Tushingham,リタ・トゥシンハム
Laura Davies,ローラ・デービース
Martine Beswick,マルティーヌ・ベズウィック
Robert Hardy,ロバート・ハーディ・(俳優)
Alan Walker (musicologist),アラン・ウォーカー・(音楽学者)
Eleanor Fortescue-Brickdale,エリナー・フォーテスキュー＝ブリックデイル
T. J. Clark (art historian),T・J・クラーク
Douglas Mawson,ダグラス・モーソン
Trevor Pinnock,トレヴァー・ピノック
Rumer Godden,ルーマー・ゴッデン
Beatie Edney,ビーティ・エドニー
Julia Ormond,ジュリア・オーモンド
Minnie Driver,ミニー・ドライヴァー
Jimmy Page,ジミー・ペイジ
Paul Potts,ポール・ポッツ
Jony Ive,ジョナサン・アイブ
John McLaughlin (musician),ジョン・マクラフリン
Eduardo Paolozzi,エドゥアルド・パオロッツィ
Herbert Lom,ハーバート・ロム
Len Blavatnik,レオナルド・ブラバトニック
Frederick Blackman,フレデリック・フロスト・ブラックマン
Charles Gmelin,チャールズ・グメリン
Mitch Hewer,ミッチ・ヒューワー
Ally Kerr,アリー・カー
Walter Smith,ウォルター・スミス・(サッカー選手)
Robert Westall,ロバート・ウェストール
Rupert Penry-Jones,ルパート・ペンリー＝ジョーンズ
Lily Collins,リリー・コリンズ
Amanda Tapping,アマンダ・タッピング
Miranda Richardson,ミランダ・リチャードソン
Natascha McElhone,ナターシャ・マケルホーン
Victor Turner,ヴィクター・ターナー
Dwain Chambers,ドウェイン・チェンバース
John Shirley-Quirk,ジョン・シャーリー＝カーク
Blaze Bayley,ブレイズ・ベイリー
Jordan Rhodes,ジョーダン・ローズ
Tom Heaton,トム・ヒートン
Kit Harington,キット・ハリントン
Katie Johnson (English actress),ケイティ・ジョンソン
George Best,ジョージ・ベスト
Julian Lennon,ジュリアン・レノン
Wilbur Smith,ウィルバー・スミス
Iona Brown,アイオナ・ブラウン
Anna Popplewell,アナ・ポップルウェル
Sophia Myles,ソフィア・マイルズ
Sam Johnstone,サム・ジョンストン
Anish Kapoor,アニッシュ・カプーア
Bruce Shand,ブルース・シャンド
Stephen Darby,スティーブン・ダービー
Jonathan Stroud,ジョナサン・ストラウド
David Millar,デヴィッド・ミラー・(自転車競技)
Shirley Brasher,シャーリー・ブルーマー
Christopher Hogwood,クリストファー・ホグウッド
Richard Addinsell,リチャード・アディンセル
Marilyn Strathern,マリリン・ストラザーン
Ingeborga Dapkūnaitė,インゲボルガ・ダクネイト
Rose Tremain,ローズ・トレメイン
Daniel Day-Lewis,ダニエル・デイ＝ルイス
Richard Johnson (actor),リチャード・ジョンソン・(俳優)
Rita Ora,リタ・オラ
Jaye Davidson,ジェイ・デヴィッドソン
James Purefoy,ジェームズ・ピュアフォイ
Patsy Kensit,パッツィ・ケンジット
"David Jones (footballer, born 1984)",デビッド・ジョーンズ・(サッカー選手)
Graeme Le Saux,グレアム・ル・ソー
Sarah Douglas (actress),サラ・ダグラス
Kathleen Shaw,キャスリーン・ショー
Princess Beatrice,ベアトリス・オブ・ヨーク
Princess Eugenie,ユージェニー・オブ・ヨーク
Sandie Shaw,サンディ・ショー
Vera Lynn,ヴェラ・リン
Harry Maguire,ハリー・マグワイア
Derek Bell (racing driver),デレック・ベル
