梅澤貴史,우메자와 타카시
横山泰三,요코야마 다이조
綿矢りさ,와타야 리사
外ノ池亜希,도노이케 아키
秋葉隆,아키바 다카시
安室奈美恵,아무로 나미에
川嶋あい,가와시마 아이
阿部寛,아베 히로시
谷村美月,다니무라 미쓰키
堀井雄二,호리이 유지
丹羽明美,니와 아케미
船谷圭祐,후나타니 게이스케
鈴木慎吾,스즈키 신고
相澤貴志,아이자와 다카시
安倍麻美,아베 아사미
鈴木博美 (陸上選手),히로미 스즈키
今井信子,이마이 노부코
ショー・コスギ,쇼 고스기
飛鳥井雅経,아스카이 마사쓰네
足利義晴,아시카가 요시하루
福永武彦,후쿠나가 다케히코
宇野千代,우노 지요
小林千寿,고바야시 치즈
青木まゆみ,아오키 마유미
松任谷由実,마쓰토야 유미
沖田総司,오키타 소지
中井和哉,나카이 카즈야
向井去来,무카이 교라이
呉清源,오청원
二条良基,니조 요시모토
足利義栄,아시카가 요시히데
中島裕希,나카시마 유키
塚原卜伝,쓰카하라 보쿠덴
桜井充,사쿠라이 미쓰루
大畠章宏,오하타 아키히로
三原向平,미하라 고헤이
亀川諒史,가메카와 마사시
源経信,미나모토노 쓰네노부
進藤尚美,신도 나오미
林原めぐみ,하야시바라 메구미
阿部吉朗,아베 요시로
鈴木達也,스즈키 다쓰야
河原和寿,가와하라 가즈히사
岡倉天心,오카쿠라 덴신
若本規夫,와카모토 노리오
北条氏康,호조 우지야스
高梨康治,타카나시 야스하루
川上源一,겐이치 카와카미
くまいもとこ,쿠마이 모토코
渡辺文雄,와타나베 후미오
羽生善治,하부 요시하루
中曽根弘文,나카소네 히로후미
別府晋介,벳푸 신스케
岩居由希子,이와이 유키코
遠藤章,엔도 아키라
神保彰,진보 아키라
石田彰,이시다 아키라
井上勝之助,이노우에 가쓰노스케
吉田豊,요시다 유타카
金森博雄,가나모리 히로오
松本梨香,마츠모토 리카
久間章生,규마 후미오
大塚明夫,오오츠카 아키오
甘利明,아마리 아키라
浅田彰,아사다 아키라
山本亜希子,야마모토 아키코
中村彰正,나카무라 아키마사
吉田秋生,요시다 아키미
馬場あき子,바바 아키코
柳沢将之,야나기사와 마사유키
板倉勝重,이타쿠라 가쓰시게
近野莉菜,지카노 리나
家長昭博,이에나가 아키히로
武藤嘉文,무토 가분
大西忠生,오니시 타다오
阿部敦,아베 아츠시
新條まゆ,신조 마유
保科正貞,호시나 마사사다
一条内基,이치조 우치모토
保坂司,호사카 쓰카사
金沢文子,카나자와 분코
川瀬智子,카와세 토모코
望月新一,모치즈키 신이치
川久保玲,카와쿠보 레이
melody.,멜로디.
中山晋平,나카야마 신페이
清水健太,시미즈 겐타
安積四郎,아주미 시로
藤原良夫,후지와라 요시오
山田耕筰,야마다 코사쿠
柳亭種彦,다네히코 류테이
小堀政一,고보리 마사카즈
宗良親王,무네요시 친왕
百武裕司,햐쿠타케 유지
有森裕子,아리모리 유코
岩崎究香,이와사키 미네코
石田燿子,이시다 요코
小西行長,고니시 유키나가
中島美嘉,나카시마 미카
佐藤卓哉,사토 다쿠야
小山勉,고야마 쓰토무
宮本信子,미야모토 노부코
関和章子,세키와 아키코
神谷明,가미야 아키라
黒田長政,구로다 나가마사
円谷幸吉,쓰부라야 고키치
狩野永徳,카노 에토쿠
水口哲也,미즈구치 데쓰야
長谷川テル,하세가와 테루
森章,모리 아키라
佐々木明,사사키 아키라
松本育夫,마쓰모토 이쿠오
白井淳,시라이 아쓰시
高木渉,다카기 와타루
荒木香衣,아라키 카에
吉田達也,요시다 타츠야
我那覇和樹,가나하 카즈키
在原棟梁,아리와라노 무네야나
redjuice,redjuice
萩原舞,하기와라 마이
小山田圭吾,오야마다 게이고
あかほりさとる,아카호리 사토루
天野月,아마노 쓰키
角谷静夫,가쿠타니 시즈오
吉原宏太,요시하라 코타
高野長英,타카노 초에이
北杜夫,기타 모리오
横山裕,요코야마 유
武蔵,무사시 (격투기 선수)
谷口浩美,다니구치 히로미
徳川茂徳,도쿠가와 모치하루
DJ Kentaro,DJ 겐타로
冨田勲,도미타 이사오
花田清輝,하나다 기요테루
鈴木盛人,스즈키 모리토
芹沢鴨,세리자와 가모
鳩山邦夫,하토야마 구니오
昭憲皇太后,쇼켄 황태후
BENI,베니
浦和めぐみ,우라와 메구미
南野拓実,미나미노 타쿠미
小池晃,고이케 아키라
久保明,쿠보 아키라
丸山桂里奈,마루야마 가리나
岩渕真奈,이와부치 마나
西村ちなみ,니시무라 치나미
天野♥こころ,아마노 코코로
中村一夫,나카무라 가즈오
大村加奈子,오무라 가나코
カジヒデキ,가지 히데키
坪内秀介,쓰보우치 슈스케
岡本真夜,오카모토 마요
小見川千明,오미가와 치아키
角田光代,카쿠타 미츠요
和田三造,와다 산조
岩渕香里,이와부치 가오리
奈良くるみ,나라 구루미
鮫島彩,사메시마 아야
浜口京子,하마구치 교코
赤染衛門,아카조메 에몬
内田直哉,우치다 나오야
鈴木秀美,스즈키 히데미
南部忠平,난부 주헤이
金城一紀,가네시로 가즈키
藤原仲麻呂,후지와라 나카마로
Hitomi,히토미
川口悠子,유코 카바구티
安藤梢,안도 고즈에
川手ミトヨ,가와테 미토요
長澤和明,나가사와 카즈아키
MISIA,MISIA
伊藤静,이토 시즈카
佐藤晃,사토 아키라
米谷美久,마이타니 요시히사
竹宮惠子,타케미야 케이코
ルルティア,루루티아
川島隆太,가와시마 류타
佐々木小次郎,사사키 고지로
うるし原智志,우루시하라 사토시
TAJIRI,다지리 요시히로
秋山好古,아키야마 요시후루
野坂昭如,노사카 아키유키
有馬朗人,아리마 아키토
河津秋敏,카와즈 아키토시
金野昭次,곤노 아키쓰구
加賀美セイラ,가가미 세이라
友利花,하세 유리나
円舘金,엔다테 킨
埴谷雄高,하니야 유타카
山本常朝,야마모토 쓰네토모
原口一博,하라구치 가즈히로
阿刀田高,아토다 다카시
東川篤哉,히가시가와 도쿠야
田中誠,다나카 마코토
相馬直樹,소마 나오키
志賀直哉,시가 나오야
若林映子,와카바야시 아키코
古賀輝,고가 아키라
魚喃キリコ,나나난 기리코
波形純理,나미가타 준리
島田陽子,시마다 요코
水谷優子,미즈타니 유코
田臥勇太,유타 타부스
今井美樹,이마이 미키
杉山隆一,스기야마 류이치
尾方剛,오가타 쓰요시
松井秀喜,마쓰이 히데키
懿徳天皇,이토쿠 천황
羽海野チカ,우미노 지카
前畑秀子,마에하타 히데코
徳井青空,토쿠이 소라
矢吹健太朗,야부키 켄타로
赤塚不二夫,아카츠카 후지오
松平頼則,마쓰다이라 요시쓰네
島津義久,시마즈 요시히사
出口なお,데구치 나오
保岡興治,야스오카 오키하루
渋川春海,시부카와 하루미
滝田洋二郎,다키타 요지로
冨樫義博,도가시 요시히로
西田吉洋,니시다 요시히로
岩崎恭子,이와사키 교코
BONNIE PINK,보니 핑크
河瀨直美,가와세 나오미
岩清水梓,이와시미즈 아즈사
黒木メイサ,구로키 메이사
猫田勝敏,네코다 가쓰토시
間宮林蔵,마미야 린조
尾形光琳,오가타 고린
滝川一益,다키가와 가즈마스
山田尚子,야마다 나오코
木村次郎右衛門,기무라 지로에몬
井上健,이노우에 타케시
古代祐三,고시로 유조
入江陵介,이리에 료스케
御木本幸吉,미키모토 고키치
久留間鮫造,쿠루마 사메조
河野輝夫,고노 데루오
深井正樹,후카이 마사키
楠大典,쿠스노키 타이텐
伊勢,이세
重信房子,시게노부 후사코
日渡早紀,히와타리 사키
櫻井智,사쿠라이 토모
美内すずえ,미우치 스즈에
津田雅美,쓰다 마사미
漆原友紀,우루시바라 유키
藤島康介,후지시마 고스케
加賀乙彦,가가 오토히코
城島光力,조지마 고리키
宮沢吾朗,미야자와 고로
泉里香,이즈미 리카
多田かおる,다다 가오루
矢井田瞳,야이다 히토미
花森ぴんく,하나모리 핑크
人見絹枝,히토미 기누에
柄谷行人,가라타니 고진
真下耕一,마시모 고이치
川田順,가와다 준
川村二郎,가와무라 지로
大暮維人,오구레 이토
目取真俊,메도루마 슌
永野修身,나가노 오사미
北口晃,키타구치 아키라
佐藤英二,사토 에이지
亀田大毅,가메다 다이키
加藤ミリヤ,가토 미리야
喜多川歌麿,기타가와 우타마로
中島愛,나카지마 메구미
石川智晶,이시카와 지아키
仲里依紗,나카 리이사
守邦親王,모리쿠니 친왕
浅川伯教,아사카와 노리타카
光仁天皇,고닌 천황
笠智衆,류 지슈
松岡禎丞,마츠오카 요시츠구
小林秀雄,고바야시 히데오
沙村広明,사무라 히로아키
亀倉雄策,가메쿠라 유사쿠
春日局 (斎藤福),가스가노쓰보네
島田荘司,시마다 소지
乙武洋匡,오토타케 히로타다
芥川也寸志,아쿠타가와 야스시
安倍宗任,아베노 무네토
山下泰裕,야마시타 야스히로
森尚子,모리 나오코
千田貞暁,센다 사다아키
谷干城,다니 다테키
池中康雄,이케나카 야스오
宮本輝,미야모토 데루
佐野常民,사노 쓰네타미
後光厳天皇,고코곤 천황
Nevadaたん,사세보 소학교 6학년 여아 동급생 살해 사건
白石涼子,시라이시 료코
青木和代,아오키 카즈요
土井利位,도이 도시쓰라
影山利郎,가게야마 도시로
野沢尚,노자와 히사시
江川達也,에가와 타츠야
国枝慎吾,구니에다 신고
鈴木規郎,스즈키 노리오
中嶋勝彦,나카지마 가쓰히코
藤原義孝,후지와라노 요시타카
ひぐちアサ,히구치 아사
米原万里,요네하라 마리
北条時宗,호조 도키무네
芳春院,마쓰
六角義治,롯카쿠 요시하루
北瀬佳範,기타세 요시노리
永井豪,나가이 고
吉沢悠,요시자와 히사시
石内都,이시우치 미야코
三瓶由布子,산페이 유코
岩淵功,이와부치 이사오
増田有華,마스다 유카
カズオ・イシグロ,가즈오 이시구로
橋本早十,하시모토 하야토
新井場徹,아라이바 도루
伊藤宏樹,이토 히로키
伊藤亜由子,이토 아유코
太田朋子,오타 도모코
川端絵美,가와바타 에미
長門裕之,나가토 히로유키
反町隆史,소리마치 다카시
小川敏夫,오가와 도시오
鈴木弘,스즈키 히로시
誠仁親王,사네히토 친왕
保科正之,호시나 마사유키
蘆名盛氏,아시나 모리우지
尼子義久,아마고 요시히사
岩倉具視,이와쿠라 도모미
喜多郎,기타로
マック赤坂,맥 아카사카
宮澤佐江,미야자와 사에
やまだ紫,야마다 무라사키
田山真輔,다야마 신스케
東屋五郎,아즈마야 고로
高木善朗,다카기 요시아키
小野友樹,오노 유우키
中村孝太郎,나카무라 고타로
山内一典,야마우치 가즈노리
小田滋,오다 시게루
山本未來,야마모토 미라이
藤原敏行,후지와라노 도시유키
増田忠俊,마스다 타다토시
永田充,나가타 미츠루
尼子勝久,아마고 가쓰히사
別所長治,벳쇼 나가하루
高市皇子,다케치 황자
自殺サイト殺人事件,마에우에 히로시
神谷英樹,가미야 히데키
佐藤幹夫,사토 미키오
稲垣浩,이나가키 히로시
海江田万里,가이에다 반리
マツコ・デラックス,마츠코 디럭스
保志総一朗,호시 소이치로
久夛良木健,쿠타라기 켄
舛田圭太,마스다 게이타
江角浩司,에즈미 고지
菅原智,스가와라 도모
天野貴史,아마노 다카시
中山英子,나카야마 에이코
山岡聡子,야마오카 소코
小室希,고무로 노조미
上村松園,쇼엔 우에무라
津軽信枚,쓰가루 노부히라
松平忠輝,마쓰다이라 다다테루
本多忠朝,혼다 다다토모
幸徳秋水,고토쿠 슈스이
林羅山,하야시 라잔
Jazztronik,재즈트로닉
PATA,파타
沢田泰司,사와다 다이지
新垣安吉,아라카키 안키치
川相昌弘,가와이 마사히로
青木佳乃,아오키 요시노
相川進也,아이카와 신야
松元環季,마츠모토 타마키
光明天皇,고묘 천황
阿木燿子,아키 요코
中村正直,나카무라 마사나오
中沢啓治,나카자와 케이지
松下年宏,마쓰시타 도시히로
井川祐輔,이가와 유스케
佐々木竜太,사사키 류타
源頼家,미나모토노 요리이에
松本零士,마쓰모토 레이지
池田信太郎,이케다 신타로
堀辰雄,호리 다쓰오
京極夏彦,교고쿠 나쓰히코
藤原清輔,후지와라노 기요스케
大山のぶ代,오야마 노부요
村井慎二,무라이 신지
水都あくあ,미즈토 아쿠아
金田正一,가네다 마사이치
坪井慶介,쓰보이 게이스케
伊野波雅彦,이노하 마사히코
森薫,모리 카오루
中野洋司,나카노 히로시
奥菜恵,오키나 메구미
近江谷杏菜,오미야 안나
ほしのあき,호시노 아키
国本雄資,구니모토 유지
難波圭一,난바 케이이치
神田沙也加,간다 사야카
藤原道長,후지와라노 미치나가
西部洋平,니시베 요헤이
小松塁,고마쓰 루이
遠藤康,엔도 야스시
野村忠宏,노무라 타다히로
藤原鎌足,후지와라 가마타리
織田長益,오다 나가마스
光明皇后,고묘 황후
abec,abec
朝日姫,아사히히메
津軽信義,쓰가루 노부요시
神奈延年,간나 노부토시
眞中幹夫,마나카 미키오
森重真人,모리시게 마사토
渡邉大剛,와타나베 다이고
酒井高徳,사카이 고토쿠
槙野智章,마키노 도모아키
西川周作,니시카와 슈사쿠
鈴木啓太,스즈키 게이타
本山雅志,모토야마 마사시
樹林伸,아기 다다시
片岡洋介,가타오카 요스케
正田建次郎,쇼다 겐지로
藤林秀麿,후지바야시 히데마로
壇蜜,단 미츠
仙谷由人,센고쿠 요시토
斎藤陽介,사이토 요스케
鈴木大輔,스즈키 다이스케
黒津勝,구로쓰 마사루
増嶋竜也,마스시마 다쓰야
金澤慎,가나자와 신
竹西寛子,다케니시 히로코
田村俊子,다무라 도시코
大場つぐみ,오바 쓰구미
小林大悟,고바야시 다이고
井ノ原快彦,이노하라 요시히코
三宅健,미야케 겐
森田剛,모리타 고
髙柳一誠,다카야나기 잇세이
榎本哲也,에노모토 데쓰야
山本真希,야마모토 마사키
橋本英郎,하시모토 히데오
myco,마이코
服部剛丈,핫토리 요시히로
手児奈,데코나
梁石日,양석일
出井伸之,이데이 노부유키
細野不二彦,호소노 후지히코
松永祥兵,마쓰나가 쇼헤이
仲村トオル,나카무라 도루
花房義質,하나부사 요시모토
明石全登,아카시 다케노리
鈴木宗男,스즈키 무네오
ラモス瑠偉,루이 라모스
羽生直剛,하뉴 나오타케
播戸竜二,반도 류지
山岸智,야마기시 사토루
大伴坂上郎女,오토모노 사카노우에노 이라쓰메
力丸乃りこ,리키마루 노리코
植芝理一,우에시바 리이치
大林素子,오바야시 모토코
細川俊之,호소카와 토시유키
斎藤利三,사이토 도시미쓰
ASKA,아스카
米倉千尋,요네쿠라 치히로
加賀健一,가가 겐이치
平川忠亮,히라카와 다다아키
幸田文,고다 아야
塩田仁史,시오타 히토시
清水範久,시미즈 노리히사
那須大亮,나스 다이스케
松平忠直,마쓰다이라 다다나오
堀内光雄,호리우치 미쓰오
最上義光,모가미 요시아키
島田紳助,시마다 신스케
酒井宏樹,사카이 히로키
永井謙佑,나가이 겐스케
権田修一,곤다 슈이치
伊藤壇,이토 단
吉武剛,요시타케 쓰요시
堤俊輔,쓰쓰미 슌스케
鬼束ちひろ,오니쓰카 지히로
古川高晴,후루카와 다카하루
村上和弘,무라카미 가즈히로
大島秀夫,오시마 히데오
山崎豊子,야마사키 도요코
松任谷正隆,마쓰토야 마사타카
前田綱紀,마에다 쓰나노리
有吉忠一,아리요시 주이치
牧野明,마키노 아키라
佐田真由美,사다 마유미
神尾米,가미오 요네
柴﨑晃誠,시바사키 고세이
井村久美子,이무라 구미코
出木杉英才,데키스키 히데토시
田村亮,다무라 료
高橋礼華,다카하시 아야카
藤田哲也,테드 후지타
NIGO,니고
吉見一起,요시미 가즈키
松井今朝子,마쓰이 게사코
徳川圀順,도쿠가와 구니유키
德川家正,도쿠가와 이에마사
上杉朝定 (扇谷上杉家),우에스기 도모사다
山岸範宏,야마기시 노리히로
久石譲,히사이시 조
中村北斗,나카무라 호쿠토
梶山陽平,가지야마 요헤이
深谷友基,후카야 유키
前田健太,마에다 겐타
奥保鞏,오쿠 야스카타
平賀源内,히라가 겐나이
安岡章太郎,야스오카 쇼타로
白柳誠一,시라야나기 세이이치
足利義昭,아시카가 요시아키
横田めぐみ,요코타 메구미
上川陽子,가미카와 요코
小宮山尊信,고미야마 다카노부
小島あきら,고지마 아키라
新藤晴一,신도 하루이치
山口達也,야마구치 다쓰야
小名川高弘,고나가와 다카히로
源信明,미나모토노 사네아키라
寺尾常史,데라오 쓰네후미
木村保,기무라 다모쓰
松浦勝人,마쓰우라 마사토
南明奈,미나미 아키나
二宮城光,니노미야 조코
金栗四三,가나구리 시조
ミハエル・コーガン,마이클 코간
小池一夫,카즈오 코이케
豊臣秀次,도요토미 히데쓰구
吉田松陰,요시다 쇼인
渡辺和郎,와타나베 가즈오
武田真治,다케다 신지
新井貴浩,아라이 다카히로
江角マキコ,에스미 마키코
松永雪希,마츠나가 유키
三川軍一,미카와 군이치
後藤新平,고토 신페이
古川麒一郎,후루카와 기이치로
志賀潔,시가 기요시
清水健二,시미즈 겐지
萩原雄祐,하기하라 유스케
三笠宮崇仁親王,미카사노미야 다카히토
藪下めぐみ,야부시타 메구미
今川貞世,이마가와 사다요
望月久代,모치즈키 히사요
小花美穂,오바나 미호
すえのぶけいこ,스에노부 게이코
和辻哲郎,와쓰지 데쓰로
島義勇,시마 요시다케
丸谷才一,마루야 사이이치
末岡龍二,스에오카 류지
片山善博,가타야마 요시히로
西岡武夫,니시오카 다케오
小池栄子,고이케 에이코
佐藤友哉,사토 유야
石毛佐和,이시게 사와
舞城王太郎,마이조 오타로
氷青,효세이
葉月絵理乃,하즈키 에리노
高島忠夫,타카시마 타다오
栗原勇蔵,구리하라 유조
本田拓也,혼다 다쿠야
奥寺康彦,오쿠데라 야스히코
桑田真澄,구와타 마스미
黒田寛一,구로다 간이치
山下和美,야마시타 가즈미
犬上すくね,이누가미 스쿠네
蒲生賢秀,가모 가타히데
河原木志穂,카와라기 시호
武田信玄,다케다 신겐
國母和宏,고쿠보 가즈히로
石川雅規,이시카와 마사노리
阿部慎之助,아베 신노스케
二岡智宏,니오카 도모히로
やなせなつみ,야나세 나츠미
渡辺久信,와타나베 히사노부
陶晴賢,스에 하루카타
尚裕,쇼 히로시
半場友恵,한바 토모에
谷ルミコ,다니 루미코
中払大介,나카하라이 다이스케
長友佑都,나가토모 유토
蜷川実花,니나가와 미카
山本佳子,야마모토 요시코
鈴木裕,스즈키 유
前島密,마에지마 히소카
六角義賢,롯카쿠 요시카타
長沢美樹,나가사와 미키
谷井あすか,타니이 아스카
西村博之,니시무라 히로유키
遠野そよぎ,도오노 소요기
岡嶋妙,오카지마 다에
今野宏美,콘노 히로미
水原薫,미즈하라 카오루
片倉景綱,가타쿠라 가게쓰나
徳川光友,도쿠가와 미쓰토모
岡崎朋美,오카자키 도모미
小雪,고유키
森田童子,모리타 도지
土井たか子,도이 다카코
大杉栄,오스기 사카에
平清盛,다이라노 기요모리
貞本義行,사다모토 요시유키
青木さやか,아오키 사야카
留守政景,루스 마사카게
田村邦栄,다무라 구니요시
松前慶広,마쓰마에 요시히로
上村一夫,가미무라 가즈오
佐藤大実,사토 오미
開高健,가이코 다케시
中原中也,나카하라 주야
徳川家治,도쿠가와 이에하루
ムラタメグミ,무라타 메구미
松平容保,마쓰다이라 가타모리
佐藤幸徳,사토 고토쿠
藤田淑子,후지타 토시코
鈴村健一,스즈무라 켄이치
広井王子,히로이 오지
田野優花,다노 유카
佐藤久美子,사토 구미코
佐藤有香,사토 유카
仁科芳雄,니시나 요시오
香川照之,가가와 데루유키
sasakure.UK,sasakure.UK
上田燿司,우에다 요지
佐藤江梨子,사토 에리코
濱尾文郎,하마오 후미오
桜木ジェイアール,사쿠라기 제이아르
佐藤勇人,사토 유토
稲村優奈,이나무라 유나
八代亜紀,야시로 아키
石川達三,이시카와 다쓰조
松本隆太郎,마쓰모토 류타로
柳田國男,야나기타 쿠니오
木村弓,기무라 유미
星野千寿子,호시노 치즈코
悠仁親王,아키시노노미야 히사히토
井上美紀,이노우에 미키
山川琴美,야마카와 코토미
影崎由那,가게사키 유나
松田聖子,마츠다 세이코
夜神月,야가미 라이토
石川淳,이시카와 준
高河ゆん,코가 윤
山郷のぞみ,야마고 노조미
馳星周,하세 세이슈
松平容大,마쓰다이라 가타하루
田中涼子,타나카 료코
金月真美,킨게츠 마미
岩里祐穂,이와사토 유호
秋山幸二,아키야마 고지
伊達綱宗,다테 쓰나무네
伊達慶邦,다테 요시쿠니
伊達重村,다테 시게무라
佐藤由加理,사토 유카리
Michiru,호시노 미치루
有田哲平,아리타 뎃페이
福原美和,후쿠하라 미와
松平定信,마쓰다이라 사다노부
aiko,아이코
関智一,세키 토모카즈
瀧通世,타키 미치요
西山麗,니시야마 레이
越田剛史,코시다 타케시
雷句誠,라이쿠 마코토
塚越広大,쓰카코시 고다이
中村一義,나카무라 카주요시
有島武郎,아리시마 다케오
かんざきひろ,간자키 히로
尾崎紅葉,오자키 고요
小山内薫,오사나이 가오루
石井四郎,이시이 시로
熊谷一弥,구마가에 이치야
菊池大麓,기쿠치 다이로쿠
加東大介,가토 다이스케
杉田智和,스기타 토모카즈
観月ありさ,미즈키 아리사
前田秀樹,마에다 히데키
丸谷清之介,마루타니 키요노수케
伏見宮博恭王,후시미노미야 히로야스
陣幕久五郎,진마쿠 규고로
秋山豊寛,아키야마 도요히로
伊丹万作,이타미 만사쿠
原研哉,하라 겐야
小石川正弘,고이시카와 마사히로
石毛宏典,이시게 히로미치
渡辺志穂,와타나베 시호
中島裕美子,나카지마 유미코
伊東勤,이토 쓰토무
若松勉,와카마쓰 쓰토무
友永朱音,토모나가 아카네
東出輝裕,히가시데 아키히로
松原秀典,마쓰바라 히데노리
松平容衆,마쓰다이라 가타히로
佐渡裕,사도 유타카
関口雄飛,세키구치 유히
柳本啓成,야나기모토 히로시게
押井守,오시이 마모루
KOKIA,코키아
二川孝広,후타가와 다카히로
希志あいの,키시 아이노
中西哲生,나카니시 테쓰오
斎藤孝雄,사이토 다카오
松崎悠希,마츠자키 유키
樋口季一郎,히구치 기이치로
本多正信,혼다 마사노부
堀内恒夫,호리우치 쓰네오
鬼室集斯,귀실집사
内田百閒,우치다 햣켄
いがらしゆみこ,이가라시 유미코
立川恵,타치카와 메구미
下柳剛,시모야나기 쓰요시
井端弘和,이바타 히로카즈
前田智徳,마에다 도모노리
赤星憲広,아카호시 노리히로
森博嗣,모리 히로시
千秋実,지아키 미노루
潘恵子,한 게이코
津島三敏,쓰시마 미쓰토시
涌井秀章,와쿠이 히데아키
小畑穣,코바타 미노루
村田修一,무라타 슈이치
赤松広隆,아카마쓰 히로타카
鈴木真仁,스즈키 마사미
萩原朔太郎,하기와라 사쿠타로
藤原道隆,후지와라노 미치타카
佐藤冴香,사토 사야카
サンファイア,선파이어
藤本佑子,후지모토 유코
源静香,신이슬
山本尚史,야마모토 나오후미
高木兼寛,가네히로 다카키
夢花李,사하라 미즈
役所広司,야쿠쇼 고지
草鹿龍之介,구사카 류노스케
松平容敬,마쓰다이라 가타타카
鳥居忠政,도리이 다다마사
柳本柳作,야나기모토 류사쿠
広岡達朗,히로오카 다쓰로
小林由美子,코바야시 유미코
オダギリジョー,오다기리 조
藤原美央子,후지와라 미오코
高田繁,다카다 시게루
時計野はり,도케이노 하리
原辰徳,하라 다쓰노리
内海哲也,우쓰미 데쓰야
野呂佳代,노로 가요
後藤麻衣,고토 마이
佐竹義敦,사타케 요시아쓰
藤本祐介,후지모토 유스케
岸孝之,기시 다카유키
馬原孝浩,마하라 다카히로
清水美沙,시미즈 미사
田淵幸一,다부치 고이치
内川聖一,우치카와 세이이치
山口素弘,야마구치 모토히로
島本須美,시마모토 스미
三浦浩幸,미우라 히로유키
内野正雄,우치노 마사오
小柳ルミ子,코야나기 루미코
野村貢,노무라 미쓰구
川上弘美,가와카미 히로미
良暹,료젠
SUGIZO,스기조
渋沢敬三,시부사와 게이조
前田利常,마에다 도시쓰네
香川幸,카가와 사치
種茂雅之,다네모 마사유키
惟康親王,고레야스 친왕
山崎烝,야마자키 스스무
川上とも子,카와카미 토모코
相ヶ瀬龍史,아이가세 류지
松岡由貴,마츠오카 유키
水田わさび,미즈타 와사비
堺利彦,사카이 도시히코
徳川慶喜,도쿠가와 요시노부
藤田一海,후지타 가즈우미
蒼井そら,아오이 소라
榎あづさ,에노키 아즈사
諸星すみれ,모로호시 스미레
津島恵子,츠시마 케이코
高見広春,다카미 고슌
正名僕蔵,마사나 보쿠소
細貝萌,호소가이 하지메
玉川砂記子,타마가와 사키코
片岡保幸,가타오카 야스유키
中島裕之,나카지마 히로유키
小松聖,고마쓰 사토시
槇原敬之,마키하라 노리유키
福本豊,후쿠모토 유타카
稲尾和久,이나오 가즈히사
二本松義継,니혼마쓰 요시쓰구
伊原春樹,이하라 하루키
鈴木尚広,스즈키 다카히로
川上哲治,가와카미 데쓰하루
山本浩二,야마모토 고지
稲葉篤紀,이나바 아쓰노리
中村直志,나카무라 나오시
二条院讃岐,니조인노 사누키
高楠順次郎,다카쿠스 준지로
鳩山和夫,하토야마 가즈오
輪湖直樹,와코 나오키
上村雅之,우에무라 마사유키
石川遼,이시카와 료
稲葉敦志,이나바 아쓰시
京極高次,교고쿠 다카쓰구
石川直宏,이시카와 나오히로
杉本茂雄,수기모토 시게오
平木隆三,히라키 류조
津田幸男,쓰다 유키오
坂本義行,사카모토 요시유키
筑紫哲也,지쿠시 데쓰야
山田久志,야마다 히사시
小林武史,고바야시 다케시
星野直樹,호시노 나오키
柳沢吉保,야나기사와 요시야스
IKU,이쿠
東尾修,히가시오 오사무
市原隼人,이치하라 하야토
山﨑武司,야마사키 다케시
青木剛,아오키 타케시
塚原光男,쓰카하라 미쓰오
徳川家慶,도쿠가와 이에요시
柳下大,야나기시타 토모
橋口亮輔,하시구치 료스케
市川大祐,이치카와 다이스케
山瀬功治,야마세 고지
羽生結弦,하뉴 유즈루
田代有三,타시로 유조
森岡隆三,모리오카 류조
山口美也子,야마구치 미야코
萱野茂,가야노 시게루
中島崇典,나카지마 다카노리
美川憲一,미카와 겐이치
山口那津男,야마구치 나쓰오
佐原健二,사하라 켄지
上野良治,우에노 요시하루
則武謙,노리타케 켄
アンドウ・マサハシ,안도 마사하시
長宗我部盛親,조소카베 모리치카
新谷かおる,신타니 카오루
森直樹,모리 나오키
増井禎夫,마스이 요시오
横竹翔,요코타케 쓰바사
蘇我稲目,소가노 이나메
亀井善行,가메이 요시유키
岩田稔,이와타 미노루
栗原健太,구리하라 겐타
清原和博,기요하라 가즈히로
北野政次,기타노 마사지
北条時政,호조 도키마사
樺山資紀,가바야마 스케노리
源頼光,미나모토노 요리미쓰
鈴木明子,스즈키 아키코
寺島しのぶ,데라지마 시노부
宮沢りえ,미야자와 리에
CHARA,차라
風香,후카
宮部みゆき,미야베 미유키
松友美佐紀,마쓰모토 미사키
賀川太郎,카가와 타로
増田誓志,마스다 치카시
小野晴香,오노 하루카
知念里奈,치넨 리나
山口鉄也,야마구치 데쓰야
武田一浩,다케다 가즈히로
西口文也,니시구치 후미야
門田博光,가도타 히로미쓰
C.G mix,C.G mix
モモイヒトミ,모모이 히토미
星野奏子,호시노 가나코
松橋未樹,마쓰하시 미키
光孝天皇,고코 천황
中川真依,나카가와 마이
徳川家斉,도쿠가와 이에나리
藤原道綱母,후지와라노 미치쓰나의 어머니
河村たかし,가와무라 다카시
今野章,곤노 아키라
小沢鋭仁,오자와 사키히토
松岡修造,마쓰오카 슈조
宮田孝治,미야타 코지
ELISA,ELISA
関口訓充,세키구치 쿠니미쓰
太田宏介,오타 고스케
望月淳,모치즈키 준
金子光晴,가네코 미쓰하루
高峰秀子,타카미네 히데코
吉田拓郎,요시다 다쿠로
伊藤隆大,이토 다카히로
吉幾三,요시 이쿠조
石田衣良,이시다 이라
堀口悠紀子,호리구치 유키코
五十嵐充,이가라시 미쓰루
堀内孝雄,호리우치 다카오
大塚晶則,오쓰카 아키노리
亀井茲矩,가메이 고레노리
足利義視,아시카가 요시미
