"Фоменко, Анатолий Тимофеевич",阿纳托利·季莫费耶维奇·福缅科
"Сальников, Владимир Валерьевич",弗拉基米尔·萨尔尼科夫
"Березуцкий, Василий Владимирович",瓦西里·别列祖茨基
"Березовский, Борис Абрамович",鲍里斯·阿布拉莫维奇·别列佐夫斯基
"Ким, Анатолий Андреевич",安東尼·金·(俄羅斯)
"Овечкин, Александр Михайлович",亚历山大·奥韦奇金
"Добрынин, Анатолий Фёдорович",阿纳托利·多勃雷宁
"Шишелов, Владимир Александрович",維特馬·施舒洛夫
"Катушев, Константин Фёдорович",康斯坦丁·卡图谢夫
"Тихонов, Владимир Ильич",弗拉基米尔·吉洪诺夫
"Сычёв, Дмитрий Евгеньевич",德米特里·瑟喬夫
"Пономарёв, Юрий Анатольевич",尤里·阿纳托利耶维奇·波诺马廖夫
"Созонов, Иван Андреевич",伊万·索松诺夫
"Гордеев, Алексей Васильевич",阿列克谢·戈尔杰耶夫
"Дедюшко, Александр Викторович",亚历山大·杰久什科
"Кареева, Анна Васильевна",安娜·卡列耶娃
"Саврасенко, Алексей Дмитриевич",阿列克謝·薩夫拉森科
"Непомнящий, Валерий Кузьмич",瓦列里·涅波姆尼亚奇
"Дудинцев, Владимир Дмитриевич",弗拉基米尔·杜金采夫
"Трошин, Владимир Константинович",弗拉基米尔·特罗申
"Селезнёв, Геннадий Николаевич",根纳季·谢列兹尼奥夫
"Измайлов, Марат Наилевич",馬拉特·伊茲邁洛夫
"Смирнов, Игорь Николаевич",伊戈尔·斯米尔诺夫
"Прокопенко, Анастасия Юрьевна",安娜斯塔西亚·普洛科朋科
"Турсунов, Дмитрий Игоревич",德米特里·圖爾蘇諾夫
"Войнова, Анастасия Сергеевна",阿纳斯塔西娅·沃伊诺娃
"Червякова, Анастасия Михайловна",安娜斯塔西亚·阿克丘林娜
"Родионова, Анастасия Ивановна",阿纳斯塔西娅·罗季奥诺娃
"Павлюченкова, Анастасия Сергеевна",安娜斯塔西亞·帕夫柳琴科娃
"Ноговицын, Анатолий Алексеевич",阿纳托利·阿列克谢耶维奇·诺戈维岑
"Рощин, Анатолий Александрович",阿纳托利·罗希钦
"Иванишин, Анатолий Алексеевич",阿纳托利·伊万尼申
"Трутнев, Юрий Петрович",尤里·彼得罗维奇·特鲁特涅夫
"Мутко, Виталий Леонтьевич",維塔利·穆特科
"Канчельскис, Андрей Антанасович",安德烈·坎切尔斯基
Иларион (Алфеев),伊拉里雍
"Николаев, Андриян Григорьевич",安德里扬·尼古拉耶夫
"Яковлев, Александр Николаевич",亚历山大·尼古拉耶维奇·雅科夫列夫
"Иванов, Валентин Валентинович",瓦连京·瓦连京诺维奇·伊万诺夫
"Тихонов, Вячеслав Васильевич",维亚切斯拉夫·吉洪诺夫
"Гайдай, Леонид Иович",列昂尼德·盖代
"Шаронов, Роман Сергеевич",罗曼·沙罗诺夫
"Седых, Юрий Георгиевич",尤里·谢德赫
"Морозевич, Александр Сергеевич",亚历山大·莫罗泽维奇
"Лукьянов, Анатолий Иванович",阿纳托利·卢基扬诺夫
"Андрианов, Анатолий Николаевич",阿纳托利·安德里阿诺夫
"Александров, Анатолий Петрович",阿纳托利·亚历山德罗夫
"Прудников, Анатолий Платонович",阿纳托利·普鲁德尼科夫
"Дятлов, Анатолий Степанович",阿纳托利·佳特洛夫
"Панцов, Александр Вадимович",亚历山大·潘佐夫
"Ищенко, Наталья Сергеевна",娜塔莉娅·伊什琴科
"Филипченко, Анатолий Васильевич",阿纳托利·菲利普琴科
"Набабкин, Кирилл Анатольевич",基里爾·納巴布金
"Тихонов, Владимир Михайлович",朴露子
"Ракита, Марк Семёнович",马克·谢苗诺维奇·拉基塔
"Киркоров, Филипп Бедросович",菲利普·基尔科罗夫
"Джепаров, Сервер Решатович",塞维尔·杰帕罗夫
"Иванов, Александр Константинович (спортсмен)",亚历山大·康斯坦丁诺维奇·伊万诺夫
"Мамаев, Павел Константинович",帕維爾·馬馬耶夫
"Келдыш, Леонид Вениаминович",列昂尼德·克尔德什
"Кулик, Илья Александрович (фигурист)",伊利亚·库里克
"Илюмжинов, Кирсан Николаевич",基尔桑·伊柳姆日诺夫
"Гроссман, Василий Семёнович",瓦西里·格罗斯曼
"Кириенко, Сергей Владиленович",谢尔盖·弗拉季连诺维奇·基里延科
"Крикалёв, Сергей Константинович",谢尔盖·克里卡廖夫
"Алиев, Александр Александрович",亞歷山大·阿利耶夫
"Шаталов, Владимир Александрович",弗拉基米尔·沙塔洛夫
"Степашин, Сергей Вадимович",谢尔盖·瓦季莫维奇·斯捷帕申
"Кузнецов, Андрей Александрович (теннисист)",安德烈·亞歷山德羅維奇·庫茲涅佐夫
"Хотеев, Андрей Иванович",安德烈·赫德夫
"Ведерников, Андрей Георгиевич",安德烈·韦杰尔尼科夫
"Борисенко, Андрей Иванович",安德烈·鲍里先科
"Анкваб, Александр Золотинскович",亞歷山大·安克瓦布
"Иванов, Валентин Козьмич",瓦连京·科兹米奇·伊万诺夫
"Сюняев, Рашид Алиевич",拉希德·苏尼亚耶夫
"Лисицын, Анатолий Иванович",阿纳托利·利西岑
"Соломенцев, Михаил Сергеевич",米哈伊尔·索洛缅采夫
"Абт, Александр Викторович",亞歷山大·阿伯特
"Муханов, Вячеслав Фёдорович",维亚切斯拉夫·穆哈诺夫
"Судьбин, Евгений Олегович",葉夫根尼·蘇德賓
"Истомин, Сергей (музыкант)",謝爾蓋·伊斯托明·(音樂家)
"Липатов, Лев Николаевич",列夫·尼卡拉耶维奇·里帕特夫
"Михельсон, Леонид Викторович",列昂尼德·米赫尔松
"Родштейн, Максим Эдуардович",马克西姆·罗德斯坦因
"Муратов, Дмитрий Андреевич",德米特里·穆拉托夫
"Путин, Игорь Александрович",伊戈尔·普京
"Амисулашвили, Александр Георгиевич",亞歷山大·阿米薩拉什維利
"Брежнева, Галина Леонидовна",加林娜·列昂尼多夫娜·勃列日涅娃
"Котенёв, Владимир Владимирович (российский дипломат)",弗拉基米尔·弗拉基米罗维奇·科捷尼奥夫
"Васильев, Борис Львович",鲍里斯·利沃维奇·瓦西里耶夫
"Рыбаков, Борис Александрович",鲍里斯·雷巴科夫
"Глушаков, Денис Борисович",丹尼斯·格盧沙科夫
"Шелохонов, Пётр Илларионович",彼得·伊拉里昂诺维奇·舍罗霍诺夫
"Руцкой, Александр Владимирович",亚历山大·鲁茨科伊
"Бут, Виктор Анатольевич",维克托·布特
"Литвинов, Сергей Николаевич",谢尔盖·利特维诺夫
"Грищук, Александр Игоревич",亚历山大·格里修克
"Столяров, Андрей Юрьевич",安德烈·史杜利亞路夫
"Воронцевич, Андрей Константинович",安德烈·沃龙采维奇
"Луговой, Андрей Константинович",安德烈·盧戈沃伊
"Воробьёв, Андрей Юрьевич",安德烈·尤里耶维奇·沃罗比约夫
"Гальперин, Глеб Сергеевич",格列布·加尔佩林
"Урманов, Алексей Евгеньевич",阿列克谢·乌曼诺夫
"Великая, Софья Александровна",索菲娅·韦利卡娅
"Медведчук, Виктор Владимирович",维克托·梅德韦丘克
"Ланьков, Андрей Николаевич",安德烈·兰科夫
"Капица, Андрей Петрович",安德烈·彼得罗维奇·卡皮察
"Козырев, Андрей Владимирович",安德烈·科济列夫
"Гречин, Андрей Владимирович",安德烈·格列金
"Мягков, Андрей Васильевич",安德烈·米亚赫科夫
"Колокольцев, Владимир Александрович",弗拉基米爾·科洛科利采夫
"Лавроненко, Константин Николаевич",康斯坦丁·拉朗尼柯
"Евлоев, Магомед Яхьяевич",穆罕默德·叶夫洛耶夫
"Поляков, Валерий Владимирович",瓦列里·波利亚科夫
"Аганбегян, Абел Гезевич",阿贝尔·阿甘别吉扬
"Зорькин, Валерий Дмитриевич",瓦列里·德米特里耶维奇·佐尔金
"Кардашёв, Николай Семёнович",尼古拉·卡尔达肖夫
"Фёдоров, Борис Григорьевич",鲍里斯·格里戈里耶维奇·费奥多罗夫
"Насыров, Мурат Исмаилович",木拉提·纳斯洛夫
"Окуньков, Андрей Юрьевич",安德烈·奧昆科夫
"Тихонов, Николай Александрович",尼古拉·吉洪诺夫
"Дерипаска, Олег Владимирович",奥列格·杰里帕斯卡
"Хряпа, Виктор Владимирович",维克托·赫里亚帕
"Быстров, Владимир Сергеевич",弗拉基米爾·巴斯托夫
"Ковалёнок, Владимир Васильевич",弗拉基米尔·科瓦廖诺克
"Усманов, Алишер Бурханович",阿利舍尔·乌斯曼诺夫
"Маркин, Виктор Фёдорович",维克托·费奥多罗维奇·马尔金
"Таймазов, Артур Борисович",阿尔图尔·泰马佐夫
"Громов, Борис Всеволодович",鮑里斯·格羅莫夫
"Дмитриев, Денис Сергеевич",丹尼斯·德米特里耶夫
"Церетели, Зураб Константинович",祖拉布·采列捷利
"Инаркиев, Эрнесто Казбекович",埃内斯托·伊纳尔基耶夫
"Загладин, Вадим Валентинович",瓦季姆·扎格拉金
"Фадеев, Александр Владимирович",亚历山大·弗拉基米罗维奇·法捷耶夫
"Смолов, Фёдор Михайлович",費多爾·斯莫羅夫
"Ягудин, Алексей Константинович",阿列克谢·亚古丁
"Сердюков, Анатолий Эдуардович",阿纳托利·谢尔久科夫
"Гранат, Владимир Васильевич",弗拉基米爾·格拉納特
"Пичушкин, Александр Юрьевич",亞歷山大·皮丘希金
"Третьяк, Владислав Александрович",弗拉季斯拉夫·特列季亚克
"Христенко, Виктор Борисович",维克托·鲍里索维奇·赫里斯坚科
"Кобрин, Александр Евгеньевич",亞歷山大·寇伯林
"Бессмертных, Александр Александрович",亚历山大·别斯梅尔特内赫
"Гусинский, Владимир Александрович",弗拉基米尔·古辛斯基
"Шаманов, Владимир Анатольевич",弗拉基米尔·沙马诺夫
"Дайнеко, Виктория Петровна",維多利亞·達伊尼科
"Погорилая, Анна Алексеевна",安娜·波格里拉婭
"Степанова, Инна Яковлевна",因娜·斯捷潘诺娃
"Чайковский, Борис Александрович",鲍里斯·柴可夫斯基
"Евкуров, Юнус-Бек Баматгиреевич",尤努斯-別克·葉夫庫羅夫
"Алханов, Али Дадашевич",阿卢·阿尔哈诺夫
"Фалин, Валентин Михайлович",瓦连京·法林
"Казакова, Оксана Борисовна",奧克薩娜·卡扎科娃
"Васильев, Виктор Анатольевич",维克托·阿纳托利耶维奇·瓦西里耶夫
"Газзаев, Валерий Георгиевич",瓦列里·加扎耶夫
"Собянин, Сергей Семёнович",谢尔盖·索比亚宁
"Валуев, Николай Сергеевич",尼古拉·瓦卢耶夫
"Снетков, Борис Васильевич",鲍里斯·斯涅特科夫
"Борзаковский, Юрий Михайлович",尤里·博尔扎科夫斯基
"Феоктистов, Константин Петрович",康斯坦丁·彼得罗维奇·费奥克蒂斯托夫
"Сорокин, Владимир Георгиевич",弗拉基米尔·索罗金
"Кузнецов, Дмитрий Викторович",德米特里·维克托罗维奇·库兹涅佐夫
"Звягинцев, Вадим Викторович",瓦蒂姆·兹维亚金采夫
"Скобцева, Ирина Константиновна",伊琳娜·斯科布采娃
"Кацалапов, Никита Геннадьевич",尼基塔·卡察拉波夫
"Курамагомедов, Заур Исматулаевич",扎乌尔·库拉马戈梅多夫
"Плетнёв, Михаил Васильевич",米哈伊爾·普雷特涅夫
"Арцутанов, Юрий Николаевич",尤里·阿尔楚塔诺夫
"Долгорукова, Юлия Витальевна",尤利娅·多尔戈鲁科娃
"Вайнберг, Моисей Самуилович",米奇斯瓦夫·魏因贝格
"Цветков, Максим Сергеевич",馬克西姆·茨韋特科夫
"Приб, Эдгар",埃德加·普里布
"Федотов, Михаил Александрович",米哈伊尔·费多托夫
"Хрущёв, Сергей Никитич",谢尔盖·赫鲁晓夫
"Лисина, Екатерина Викторовна",葉卡特琳娜·麗絲娜
"Хазанов, Геннадий Викторович",根纳季·哈扎诺夫
"Байбаков, Николай Константинович",尼古拉·巴伊巴科夫
"Холодов, Дмитрий Юрьевич",德米特里·霍洛多夫
"Воронов, Сергей Евгеньевич",謝爾蓋·沃羅諾夫
"Бордюжа, Николай Николаевич",尼古拉·博尔久扎
"Аджубей, Алексей Иванович",阿列克谢·阿朱别伊
"Доброскок, Александр Михайлович",亚历山大·多布罗斯科克
"Пергаменщиков, Борис Миронович",鲍里斯·佩尔加门席科夫
"Швидлер, Евгений Маркович",叶夫根尼·什维德勒
"Синайский, Василий Серафимович",瓦西里·辛奈斯基
"Скрипочка, Олег Иванович",奥列格·斯克里波奇卡
"Власов, Роман Андреевич",罗曼·弗拉索夫
"Рушайло, Владимир Борисович",弗拉基米尔·鲁沙伊洛
"Рогожкин, Александр Владимирович",亚历山大·弗拉基米罗维奇·罗戈日金
"Воронов, Геннадий Иванович",根纳季·沃罗诺夫
"Филатова, Анастасия Ивановна",阿娜斯塔西亚·费拉托娃
"Хворостовский, Дмитрий Александрович",德米特里·赫沃羅斯托夫斯基
"Термен, Лев Сергеевич",李昂·特雷门
"Бортников, Александр Васильевич",亚历山大·博尔特尼科夫
"Смирнов, Станислав Константинович",斯坦尼斯拉夫·斯米尔诺夫
"Собчак, Анатолий Александрович",阿纳托利·索布恰克
"Новиков, Сергей Петрович (математик)",謝爾蓋·彼得羅維奇·諾維科夫
"Самокутяев, Александр Михайлович",亚历山大·萨莫库佳耶夫
"Миткова, Татьяна Ростиславовна",塔季揚娜·米特科娃
"Беглов, Александр Дмитриевич",亚历山大·别格洛夫
"Митяев, Олег Григорьевич",奥列格·格里戈里耶维奇·米佳耶夫
"Комаров, Леонид Александрович",列昂尼德·科马罗夫
"Гранкин, Сергей Юрьевич",塞爾吉·格蘭金
"Волков, Александр Александрович (политик)",亚历山大·亚历山德罗维奇·沃尔科夫·(1951年)
"Швед, Алексей Викторович",阿歷克謝·舍維德
"Медведев, Вадим Андреевич",瓦季姆·梅德韦杰夫
"Габашвили, Теймураз Бесикович",泰穆拉茲·加巴什維利
"Шатров, Михаил Филиппович",米哈伊尔·沙特罗夫
"Новиков, Игорь Дмитриевич",伊戈尔·德米特里耶维奇·诺维科夫
"Познер, Владимир Владимирович",小弗拉基米尔·波兹涅尔
"Броневой, Леонид Сергеевич",列昂尼德·布罗涅沃伊
"Шагалова, Людмила Александровна",柳德米拉·莎加洛娃
"Радионова, Елена Игоревна",艾蓮娜·拉迪奧諾娃
"Котов, Олег Валериевич",奥列格·科托夫
"Цвейба, Ахрик Сократович",艾赫利克·茨維巴
"Понкрашов, Антон Александрович",安東·邦卡拉索夫
"Тимина, Елена Вячеславовна",叶连娜·季米娜
"Батурин, Юрий Михайлович",尤里·米哈伊洛维奇·巴图林
"Корниенко, Михаил Борисович",米哈伊尔·科尔尼延科
"Шипулин, Антон Владимирович",安東·希普林
"Шубенков, Сергей Владимирович",谢尔盖·舒本科夫
"Гранин, Даниил Александрович",丹尼尔·格拉宁
"Лебедев, Игорь Владимирович (политик)",伊戈尔·列别杰夫
"Старинов, Илья Григорьевич",伊利亚·斯塔里诺夫
"Бурляев, Николай Петрович",尼古拉·布尔利亚耶夫
"Жванецкий, Михаил Михайлович",米哈伊爾·日瓦涅茨基
"Калугин, Олег Данилович",奥列格·卡卢金
"Петров, Александр Константинович",亞歷山大·康斯坦丁諾維奇·彼得羅夫
"Игнатьев, Михаил Борисович",米哈伊尔·伊格纳季耶夫
"Маленченко, Юрий Иванович",尤里·马连琴科
"Бекмамбетов, Тимур Нуруахитович",提默·貝克曼比托夫
"Калери, Александр Юрьевич",亚历山大·卡列里
"Буяновский, Виталий Михайлович",維塔利·布亞諾夫斯基
"Елгин, Михаил Николаевич",米基奧·艾堅
Хамелеон (Marvel Comics),變色龍·(漫威漫畫)
"Непомнящий, Ян Александрович",扬·涅波姆尼亚希
"Юмин, Владимир Сергеевич",弗拉基米尔·尤明
"Мотылёв, Александр Анатольевич",亚历山大·莫蒂列夫
"Поздняков, Станислав Алексеевич",斯坦尼斯拉夫·波兹尼亚科夫
"Протопопов, Олег Алексеевич",歐雷格·普羅托波波夫
"Затулин, Константин Фёдорович",康斯坦丁·扎图林
"Тахтаджян, Армен Леонович",亚美因·塔赫塔江
"Юрчихин, Фёдор Николаевич",费奥多尔·尤尔奇欣
"Тайманов, Марк Евгеньевич",马克·泰马诺夫
"Абалкин, Леонид Иванович",列昂尼德·阿巴尔金
"Громов, Феликс Николаевич",菲利克斯·格罗莫夫
"Бароев, Хасан Махарбекович",哈桑·巴罗耶夫
"Постникова, Виктория Валентиновна",维多利亚·波斯特尼科娃
"Гудков, Лев Дмитриевич",列夫·古德科夫
"Сидорова, Мария Игоревна",玛丽亚·西多罗娃
"Дмитриева, Елена Викторовна",叶连娜·德米特里耶娃
"Юровский, Владимир Михайлович (дирижёр)",弗拉基米尔·尤洛夫斯基
"Киселёв, Евгений Алексеевич",葉夫根尼·基謝廖夫
"Дибирова, Ирина Игоревна",伊琳娜·波尔托拉茨卡娅
"Семичастный, Владимир Ефимович",弗拉基米尔·谢米恰斯内
"Бовин, Александр Евгеньевич",亚历山大·鲍文
"Леваев, Лев Авнерович",列弗·里維夫
"Горбатко, Виктор Васильевич",維克托·戈爾巴特科
"Сечин, Игорь Иванович",伊戈尔·谢钦
"Зайков, Лев Николаевич",列夫·扎伊科夫
"Захаров, Сергей Ефимович (художник)",謝爾蓋·扎哈羅夫
"Вятчанин, Аркадий Аркадьевич",阿尔卡季·维亚恰宁
"Иванов, Владимир Александрович (бадминтонист)",弗拉基米尔·亚历山德罗维奇·伊万诺夫
"Сухов, Павел Владиславович",帕維爾·蘇霍夫
"Баранников, Виктор Павлович",维克托·巴兰尼科夫
"Бурбулис, Геннадий Эдуардович",根纳季·布尔布利斯
"Щетинина, Анна Ивановна",安娜·伊萬諾夫娜·謝季寧娜
"Ревишвили, Нукри Патович",努克里·列维什维利
"Геллер, Ефим Петрович",叶菲姆·盖勒
"Распутин, Валентин Григорьевич",瓦连京·拉斯普京
"Кудрин, Алексей Леонидович",阿列克谢·库德林
"Моня, Сергей Александрович",谢尔盖·蒙尼亚
"Делимханов, Адам Султанович",亞當·傑利姆哈諾夫
"Егоров, Борис Борисович",鲍里斯·鲍里索维奇·叶戈罗夫
"Лукашин, Игорь Владимирович",伊戈尔·卢卡辛
"Макашов, Альберт Михайлович",阿尔伯特·马卡绍夫
"Мордашов, Алексей Александрович",阿列克謝·莫爾達紹夫
"Хамитов, Рустэм Закиевич",鲁斯捷姆·哈米托夫
"Кузнецов, Михаил Николаевич (каноист)",米哈伊尔·库兹涅佐夫
"Шенин, Олег Семёнович",奥列格·舍宁
"Чуркин, Виталий Иванович",維塔利·丘爾金
"Ерёменко, Роман Алексеевич",羅曼·葉廖緬科
"Мозгов, Тимофей Павлович",季莫费·莫兹戈夫
"Громов, Михаил Леонидович",米哈伊尔·格罗莫夫
"Сотникова, Аделина Дмитриевна",阿德琳娜·索特尼科娃
"Мусульбес, Давид Владимирович",达维德·穆苏尔别斯
"Синай, Яков Григорьевич",雅科夫·西奈
"Воротников, Виталий Иванович",维塔利·沃罗特尼科夫
"Панарин, Игорь Николаевич",伊戈尔·帕纳林
"Глазунов, Илья Сергеевич",伊利亚·格拉祖诺夫
"Лященко, Николай Григорьевич",尼古拉·利亚先科
"Маслюков, Юрий Дмитриевич",尤里·马斯柳科夫
"Кириллов, Игорь Леонидович",伊戈尔·基里洛夫
"Вдовиченков, Владимир Владимирович",弗拉季米尔·弗多维琴科夫
"Серебренников, Кирилл Семёнович",基里尔·谢列布连尼科夫
"Вяльцев, Егор Иванович",葉戈爾·維亞利采夫
"Соловьёв, Владимир Алексеевич (космонавт)",弗拉基米尔·阿列克谢耶维奇·索洛维约夫
"Козеев, Константин Мирович",康斯坦丁·科泽耶夫
"Лебедев, Валентин Витальевич",瓦连京·列别杰夫
"Чебриков, Виктор Михайлович",维克托·切布里科夫
"Макарова, Екатерина Валерьевна",葉卡捷琳娜·馬卡洛娃
"Ефимов, Борис Ефимович",鲍里斯·叶菲莫夫
"Джонс, Рой",小罗伊·琼斯
"Салов, Валерий Борисович",瓦列里·萨洛夫
"Мурадов, Ширвани Гаджикурбанович",希尔瓦尼·穆拉多夫
"Королёв, Евгений Евгеньевич",葉甫根尼·科羅廖夫
"Кизим, Леонид Денисович",列昂尼德·基济姆
"Ерёменко, Алексей Алексеевич",阿列克谢·叶廖缅科
"Хиль, Эдуард Анатольевич",愛德華·希爾
"Манаков, Геннадий Михайлович",根纳季·马纳科夫
"Шариков, Сергей Александрович",谢尔盖·亚历山德罗维奇·沙里科夫
"Носков, Николай Иванович (музыкант)",尼古拉·諾斯科夫
"Слонимский, Сергей Михайлович",谢尔盖·斯洛尼姆斯基
"Ойстрах, Игорь Давидович",伊戈尔·奥伊斯特拉赫
"Хуциев, Марлен Мартынович",马列·马丁诺维奇·胡齐耶夫
"Зимянин, Михаил Васильевич",米哈伊尔·齐米亚宁
"Гареев, Махмут Ахметович",马赫穆特·加列耶夫
"Вассерман, Анатолий Александрович",阿纳托利·瓦瑟曼
"Невзоров, Александр Глебович",亚历山大·涅夫佐罗夫
"Ткачёв, Александр Николаевич",亚历山大·尼古拉耶维奇·特卡乔夫·(1960年)
"Янин, Валентин Лаврентьевич",瓦连京·亚宁
"Дежуров, Владимир Николаевич",弗拉基米尔·杰茹罗夫
"Курентзис, Теодор",提奥多·库伦奇思
"Ходченкова, Светлана Викторовна",賽佛蘭娜·科契柯娃
"Дмитриев, Роман Михайлович",罗曼·德米特里耶夫
"Тарле, Евгений Викторович",叶夫根尼·塔尔列
"Пригов, Дмитрий Александрович",德米特里·普里戈夫
"Хасбулатов, Руслан Имранович",鲁斯兰·哈斯布拉托夫
"Лобов, Олег Иванович",奥列格·伊万诺维奇·洛博夫
"Халдей, Евгений Ананьевич",叶夫根尼·哈尔岱
"Буковский, Владимир Константинович",弗拉基米尔·康斯坦丁诺维奇·布科夫斯基
"Колобнев, Александр Васильевич",亚历山大·科洛布涅夫
"Романова, Мария Владимировна",瑪麗亞·弗拉基米洛夫娜·羅曼諾娃
"Лончаков, Юрий Валентинович",尤里·隆恰科夫
"Аринбасарова, Наталия Утевлевна",納塔利婭·阿瑞巴莎諾瓦
"Образцова, Евгения Викторовна",叶甫根尼娅·维克多罗夫娜·奥布拉兹佐娃
"Новицкий, Олег Викторович",奥列格·诺维茨基
"Яковенко, Александр Владимирович",亚历山大·弗拉基米罗维奇·雅科文科
"Чазов, Евгений Иванович",叶夫根尼·恰佐夫
"Дворкович, Аркадий Владимирович",阿尔卡季·德沃尔科维奇
"Андреева, Екатерина Сергеевна",葉卡捷琳娜·安德烈耶娃
"Тюрин, Михаил Владиславович",米哈伊尔·秋林
"Ливанов, Василий Борисович",瓦西里·利瓦诺夫
"Падалка, Геннадий Иванович",根纳季·帕达尔卡
Витас,维塔斯
"Баршай, Рудольф Борисович",鲁道夫·巴尔沙伊
"Серебров, Александр Александрович",亚历山大·谢列布罗夫
"Гребенщиков, Борис Борисович",鲍里斯·格列宾希科夫
"Дреев, Алексей Сергеевич",阿列克谢·德里耶夫
"Черемисинов, Алексей Борисович",阿列克谢·鲍里索维奇·切列米西诺夫
"Уайлд, Вик",維克·維爾德
"Гоман, Алексей Владимирович",阿列克谢·戈曼
"Сироткин, Сергей Олегович",謝爾蓋·希洛金·(賽車手)
"Джугашвили, Галина Яковлевна",加琳娜·朱加什维利
"Губенко, Николай Николаевич",尼古拉·尼古拉耶维奇·古边科
"Маликов, Дмитрий Юрьевич",德米特里·马里科夫
"Летов, Егор",叶戈尔·列托夫
"Яковенко, Дмитрий Олегович",德米特里·雅科文科
"Береговой, Георгий Тимофеевич",格奥尔吉·别列戈沃伊
"Немцов, Борис Ефимович",鲍里斯·涅姆佐夫
"Куницын, Игорь Константинович",伊戈爾·庫尼岑
"Рыжков, Николай Иванович",尼古拉·雷日科夫
"Кирьяков, Сергей Вячеславович",谢尔盖·基里亚科夫
"Ковалёв, Сергей Адамович",谢尔盖·阿达莫维奇·科瓦廖夫
"Михайлов, Максим Михайлович",馬克西姆·米哈伊洛夫
"Кара-оол, Шолбан Валерьевич",绍尔班·卡拉-奥尔
"Якименко, Алексей Андреевич",阿列克谢·安德烈耶维奇·亚基缅科
"Галахов, Николай Николаевич",尼古拉·卡拉霍夫
"Решетников, Вениамин Сергеевич",韦尼阿明·谢尔盖耶维奇·列舍特尼科夫
"Никифоров, Николай Анатольевич",尼古拉·尼基福罗夫
"Ковалёв, Николай Дмитриевич",尼古拉·德米特里耶维奇·科瓦廖夫
"Хренников, Тихон Николаевич",季洪·赫连尼科夫
"Линде, Андрей Дмитриевич",安德烈·林德
"Шаймиев, Минтимер Шарипович",明季梅尔·沙伊米耶夫
"Сурков, Владислав Юрьевич",弗拉季斯拉夫·苏尔科夫
"Гири, Аниш",阿尼什·吉里
"Близнюк, Анастасия Ильинична",阿纳斯塔西娅·布利兹纽克
"Арбатов, Георгий Аркадьевич",格奥尔吉·阿尔巴托夫
"Астафьев, Виктор Петрович",维克托·阿斯塔菲耶夫
"Фридман, Уильям Фредерик",威廉·弗里德曼
"Миронов, Сергей Михайлович",谢尔盖·米罗诺夫
"Таджуддин, Талгат Сафич",塔加特·塔祖丁
"Лебедев, Александр Евгеньевич",亚历山大·叶夫根尼耶维奇·列别杰夫
"Козин, Виктор Михайлович",维克托尔·科津
"Илизаров, Гавриил Абрамович",加夫里尔·伊里扎洛夫
"Концевич, Максим Львович",马克西姆·孔采维奇
"Маринато, Гильерме",吉列尔梅·马里纳图
"Окунь, Лев Борисович",列夫·奥昆
"Янукович, Виктор Фёдорович",維克托·亞努科維奇
"Борисов, Егор Афанасьевич",葉戈爾·阿法納西耶維奇·鮑里索夫
"Кузнецов, Анатолий Борисович",阿纳托利·鲍里索维奇·库兹涅佐夫
"Рагулин, Александр Павлович",亚历山大·拉古林
"Норштейн, Юрий Борисович",尤里·诺尔斯泰因
"Языков, Николай Михайлович",尼古拉·亚济科夫
"Тихонов, Андрей Николаевич",安德烈·吉洪诺夫
"Фок, Владимир Александрович",弗拉基米尔·福克
"Фетисов, Вячеслав Александрович",维亚切斯拉夫·费季索夫
"Перкинс, Шейн",沙恩·珀金斯
"Семёнова, Галина Владимировна",加林娜·谢苗诺娃
"Лапшин, Тимофей Алексеевич",季莫费伊·拉普申
"Малкин, Виталий Борисович",维塔利·鲍里索维奇·马尔金
"Тимченко, Геннадий Николаевич",根纳季·季姆琴科
"Маслов, Виктор Павлович",維克托·帕夫洛維奇·馬斯洛夫
"Звонарёва, Вера Игоревна",薇拉·兹沃纳列娃
"Кононенко, Олег Дмитриевич",奥列格·科诺年科
"Немов, Алексей Юрьевич",阿列克谢·涅莫夫
"Маркелов, Станислав Юрьевич",斯坦尼斯拉夫·马科洛夫
"Ульянов, Михаил Александрович",米哈伊爾·烏里揚諾夫
"Фесиков, Сергей Васильевич",谢尔盖·费西科夫
"Ревин, Сергей Николаевич",谢尔盖·列温
"Свешников, Герман Александрович",格尔曼·亚历山德罗维奇·斯韦什尼科夫
"Евтушенков, Владимир Петрович",弗拉基米尔·彼得罗维奇·叶夫图申科夫
"Бакланов, Олег Дмитриевич",奥列格·巴克拉诺夫
"Богданов, Анатолий Иванович",阿纳托利·波格丹诺夫
"Бабурин, Сергей Николаевич",谢尔盖·巴布林
"Вартанян, Геворк Андреевич",格沃尔克·瓦尔塔尼扬
"Усачёв, Юрий Владимирович",尤里·乌萨切夫
"Садовый, Евгений Викторович",叶夫根尼·萨多夫伊
"Иванов, Игорь Сергеевич",伊戈尔·伊万诺夫
"Скобрев, Иван Александрович",伊万·斯科布列夫
"Гиря, Ольга Александровна",奥尔加·吉尔娅
"Макин, Андрей",安德烈·馬金尼
"Смоктуновский, Иннокентий Михайлович",因诺肯季·斯莫克图诺夫斯基
"Елисеев, Алексей Станиславович",阿列克谢·叶利谢耶夫
"Этуш, Владимир Абрамович",弗拉基米尔·埃图什
"Филипенко, Егор Всеволодович",葉戈爾·菲利彭科
