Beijing,北京
Yinchuan Hedong Airport,银川河东机场
Lhasa Gonggar Airport,拉萨贡嘎机场
Yantai Laishan International Airport,煙台萊山國際機場
Liuzhi,六枝
Jianshui,碱水
Wanzhou Wuqiao Airport,万州五桥机场
Sanhe,丰都县
Chengxiang,巫溪县
Taibai,太白
Pailou,牌楼
Lizhi,荔枝街道
Huixing,黄葛坪
Yangcheng,阳城
Nanjin,南津街道
Shenglilu,胜利路
Qinggang,大字号
Ziyang Shi,资阳
Shennongjia Hongping Airport,神農架機場
Fuyuan Airport,撫遠機場
Tibet,西藏
Yichun Mingyueshan Airport,宜春明月山机场
Nanchuan,南川区
Xuzhou Guanyin Airport,徐州观音机场
Yulin Shi,玉林市
Meishan Shi,眉山市
Bozhou,亳州市
Yongzhou,永州
Fangchenggang,防城港
Wulong,武隆
Tumxuk,图木舒克
Huocheng,霍城县
Beijing,北京市
Tianjin Municipality,天津市
Shanghai Municipality,上海市
Hulunbuir,呼伦贝尔
Xinqing,新青
Xikouzi,西口子
Uliastai,Wuliyasitai
Tahe,塔河
Shuangyang,双阳
Shanhecun,山河村
Qiqian,奇乾乡
Qagan Nur,查干湖
Qagan Nur,察汗淖
Panjin Shi,盘锦
Nianzishan,碾子山
Nantai,南台
Liaoyuan Shi,辽源市
Liaoyang Shi,辽阳市
Langxiang,朗乡
Jingpo Hu,镜泊湖
Jidong,鸡东
Hushitai,虎石台
Fuyuan,抚远
Dalain Hob,Dalaihubu Zhen
Changling,长岭
Chaihe,柴河
Amgalang,阿穆古郎
Songling,松岭
Nima,尼玛
Ziyang Chengguanzhen,紫阳城关镇
Zigong Shi,自贡
Zhuyuan,竹园坪
Zhuyang,朱杨镇
Zhuxi,赵家院子
Zhutuo,朱沱镇
Zhuhai Shi,珠海市
Zhouqu Chengguanzhen,舟曲县
Zhouzhuang,周庄镇
Zhoushan Shi,舟山市
Zhoujia,周嘉镇
Wangu,万古
Ulan,Wulan
Tuxiang,吐祥
Tongxi,铜溪
Tongling Shi,铜陵市
Tongjing,统景
Tongchuan Shi,铜川市
Tieqiao,铁桥
Tianpeng,天彭
Tantou,潭头
Tangba,塘坝
Taihe,太和
Song Shan,嵩山
Songgai,松溉
Songbai,松柏
Siguniang Shan,四姑娘山
Shuitu,水土镇
Shuikou,水口
Shuijiang,水江
Shuanglong,双龙镇
Shuangjiang,双江
Shuanghe,双河
Changshou Hu,长寿湖
Shimen,石门
Xianglong,香龙镇
Shijiu Hu,石臼湖
Shijiao,石角镇
Shichuan,石船镇
Shenzhen,深圳
Shennongjia,神农架林区
Xuchang Shi,许昌
Xuantan,玄滩
Xituo,西沱
Hancheng,汉城
Xinmiao,新妙镇
Songzi,松滋市
Xinhe,新河
Xingyun Hu,星云湖
Xinglong,三角坝
Wenfeng,文峰镇
Wacheng Neighborhood,娲城
Xi Hu,西湖
Xiema,歇马
Xixiayingcun,西下营村
Xiaomian,小沔
Xiaolingwei,孝陵卫街道
Xiao Gang,小港
Xiangtan Shi,湘潭
Xiangcheng Chengguanzhen,襄城
Xianfeng,先锋镇
Xiamen Shi,厦门市
Wuxi Shi,无锡市
Wushan,武山
Wujia,吴家镇
Wuhai Shi,乌海
Wucheng,五城
Wenxian Chengguanzhen,文县城关镇
Wenquan,温泉
Wenchang Shi,文昌市
Weizhou Dao,涠洲岛
Weituo,渭沱
Wanning Shi,万宁
Xinhui,新会区
Hufeng,虎峰镇
Huangshi Shi,黄石市
Huai’an Shi,淮安
Huainan Shi,淮南市
Huaibei Shi,淮北
Hong Hu,洪湖
Hetoudian,河头店镇
Hekou,河口
Hebi Shi,鹤壁
Haiyang,海阳镇
Haikou Shi,海口
Guxian,古岘
Guxi,古溪
Gucheng Chengguanzhen,Ku-ch’eng-hsien
Guanyin,观音
Guangshun,广顺街道
Guangming Ding,黄山
Guandu,官渡镇
Gongping,川主宫
Gongga Shan,贡嘎山
Gelan,葛兰镇
Ge Hu,滆湖
Gecheng,葛城镇
Gaoyou Hu,高邮湖
Gaojia,高家镇
Xuanwu Hu,玄武湖
Longsheng,隆盛镇
Haikou Guilinyang Jingji Kaifaqu,海口桂林洋经济开发区
Honghu,洪湖镇
Ninghai,宁海县
Naozhou Dao,硇洲岛
Nan Hu,南湖
Nanri Dao,南台島
Nanma,南麻
Nanlong,南隆
Nanjian,南涧
Mudong,木洞
Miaoyu,庙宇
Mengcheng Chengguanzhen,Meng-ch’eng-hsien
Meizhou Dao,湄洲島
Mawu,马武
Mawang,麻旺
Malianzhuang,马连庄
Ma’anshan Shi,马鞍山市
Luoyang,洛阳
Luoqi,洛碛镇
Luomen,洛门
Luohuang,珞璜镇
Luohe Shi,漯河市
Luocheng,罗城
Lugu Hu,瀘沽湖
Longxing,龙兴镇
Longtan,龙潭镇
Longtan,龙潭镇
Longshi,龙市镇
Longhua,龙华镇
Longju,龙驹
Longgang,龙岗街道
Longgang,龙岗
Longfeng,龙凤坝
Lixian,Lisyan’
Huayang,华阳
Zhongshan Prefecture,中山市
Zhong’ao,中敖
Zhenxi,珍溪
Zhenjiang Shi,镇江市
Zhengxing,正兴镇
Zaozhuang Shi,枣庄
Yushan,郁山镇
Yuntai,云台
Yunnanyi,云南驿
Yunmeng Chengguanzhen,Yün-meng-hsien
Yunmen,云门镇
Wulingyuan,武陵源
Yujia,余家
Yuexi,岳溪
Yuanyang,鸳鸯
Youxi,油溪
Youting,邮亭
Yongxing,永兴
Yongxin,永新镇
Yingtan Shi,鹰潭
Yingshang Chengguanzhen,颖上城关镇
Yinchuan Shi,银川市
Yangzong Hai,阳宗海
Yangquan Shi,阳泉市
Yanggu,阳谷
Ya’an Shi,雅安
Xunsi,巡司
Gao’an,高安镇
Ganshui,赶水
Wofo,卧佛镇
Fuxian Hu,抚仙湖
Foshan Shi,佛山市
Fenshui,分水镇
Fengkou,峰口
Fenggao,峰高镇
Ezhou Shi,鄂州市
Emei Shan,峨眉山
Ehen Hudag,Ekenhu Duge Zhen
Duzhou,渡舟
Dushi,杜市镇
Duoba,多巴镇
Dongting Hu,洞庭湖
Dongqian Hu,东钱湖
Dongguan Shi,东莞市
Dongchongcun,东冲
Dingtao,定陶
Dingjia,丁家镇
Dianshan Hu,Diànshān Hú
Songyang,嵩阳
Dayu Shan,大嵛山
Danzhou Shi,儋州
Xincheng,新城
Damen Dao,大门岛
Dalu,大路
Dajin,大进镇
Yunlong,云龙
Shaping,沙坪
Shaobo Hu,邵伯湖
Shantou Shi,汕头市
Shanghuang,上磺镇
Shangchuan Dao,上川岛
Tianmu Hu,天目湖
Shahe,沙河
Sanya Shi,三亚市
Sanqu,三驱镇
Sanjiaocheng,海晏县
Sanjiao,三角
Sanjiang,三江镇
Sanhui,三汇
Xiaodu,小渡镇
Sangzhe,桑柘镇
Runing,汝宁
Ronglong,荣隆镇
Rizhao Shi,日照市
Renzhao,仁兆
Renyi,仁义镇
Qionghai County,琼海市
Qiong Hai,邛海
Qingshizui,青石嘴镇
Qingfu,庆符
Qilu Hu,杞麓湖
Qilian Shan,祁连山
Putian Shi,莆田市
Pingxiang Shi,萍乡市
Panlong,盘龙镇
Pan’an,磐安镇
Dachang,大昌
Dabuling,大布岭
Dabie Shan,大别山
Da’an,大安
Chongwen Qu,崇文区
Chongkan,崇龛
Chengxi,澄溪
Chengjiang,澄江镇
Chaozhou Shi,潮州市
Chaotian,朝天
Chao Hu,巢湖
Changzhou Shi,常州
Ceyu,测鱼
Caijia,蔡家
Beihai Shi,北海
Baojia,保家
Baizi,白梓镇
Baiyang Dian,白洋淀
Baitao,白涛
Baima,白马镇
Bailin,柏林
Baihua,白花
Baihecun,百合村
Qilian,祁连县
Lishi,李市镇
Linxia Huizu Zizhizhou,临夏
Linshi,蔺市
Linjiang,临江镇
Linjiang,临江镇
Dongta,东塔
Ligezhuang,李哥庄
Liangshui,两水镇
Jiangbei,江北
Lianghekou,两河口
Liancheng,连城
Jianping,建平
Langao Chengguanzhen,岚皋县
Laiwu Shi,莱芜
Laisu,来苏
Kunming Hu,昆明湖
Kongtan,孔滩
Juexi,蕨溪
Jiuxian,旧县
Jiudian,旧店
Jingguan,静观镇
Jielong,接龙
Jiaxing Shi,嘉兴市
Jiasi,贾嗣镇
Jiaozuo Shi,焦作市
Jiang’an,江安
Ji’an Shi,吉安市
Jiachuan,嘉川
Hutang,湖塘
Huolu,火炉镇
Anhua,安化
Anfu,安北
Turugart Pass,吐尔尕特口岸
Altay,阿尔泰山脉
Qarayulghun,喀拉玉尔滚
Hoxut,和硕县
Hoxtolgay,和什托洛盖
Fuhai,福海镇
Bogda Shan,博格达山
Bogda Feng,博格达峰
Barkol,巴里坤
Baiyanghe,柏杨河
Chaiwopu Hu,柴窝堡湖
Oymak,窝依莫克乡
Turgun,吐尔洪
Kax,喀什乡
Baytokay,巴依托海
Yengitam,英塔木
Dongmazar,墩麻扎
Dadamtu,达达木图
Qulukay,曲鲁海
Yuqunweng,愉群翁
Panjim,潘津
Yengisu,英苏牧业村
Qongkur,Chonghu'er
Kuruktag,库鲁克塔格
Kürti,库尔特乡
Hom,禾木哈纳斯蒙古民族乡
Koktokay,可可托海镇
Shima,石蟆镇
Dianbu,店埠
Lüfeng,侣俸镇
Caijiagang,蔡家场
Daxing,大兴
Sanjiao,三教
Chenshi,陈食
Wutan,吴滩
Hegeng,何埂
Xianlong,仙龙
Xinxing,新兴
Broad Feng,布洛阿特峰
Layka,拉依喀
Saybag,萨依巴格
Xambabazar,先拜巴扎镇
Sha-li-k’o-erh Shan,萨雷阔勒岭
Lannga Co,拉昂错
Laggor Co,拉果错
Gongzhu Cuo,公珠错
Kunggar,工卡
Qoshlash,库西拉西
Kongur Shan,公格尔峰
Kokyar,科克亚
Kata,甘岩
Kargang,然多
Karaki,喀拉克尔
Kangtog,康托
Kaika,卡嘎
Kagor,嘎错公社
Kada,卡达
Jungba,琼括学
Jongnag,均那
Jinhua,金华
Jiazha,甲扎
Jiayuguan Shi,嘉峪关市
Jiashi,巴仁镇
Jinlong,扎西岗
Jangmai,江绵
Jangco,岗地
Jainzhug,格当
Jagsamka,甲桑卡
Jagka,卡若
Huatugou,花土沟
Houqiao,猴桥
Hormai,翁增库
Luwang,红星
Hoh Xil Shan,可可西里山
Hengduan Shan,横断山脉
Har Hu,哈拉湖
Gyinkar,金嘎
Jiwa,吉瓦
Jiesa Cuo,杰萨错
Gyaxing,加兴
Geren Cuo,格仁错
Jiangyema,姜叶马
Jiangzi,江孜镇
Gyangrang,加荣
Gyamda,江达
Jiajia,萨噶县
Gyagog,甲谷
Gyaco,塔杰
Gurabnamgyai,仲达
Kunsha,昆沙
Gozha Co,郭扎错
Guyu,古玉
Gormain,郭尔曼
Gomo Co,戈木错
Gomang Co,果忙错
Golmud,格尔木
Golag,古拉
Geladaindong,各拉丹冬
Gas Hure Hu,尕斯库乐湖
Gase,嘎色
Garyarsa,噶尔亚沙
Garma,嘎马
Garbo,洛扎
Gangmar Co,冈玛错
Dongqiao,东巧
Dongjug,东久
Dongco,才日郭来
Dong Co,洞错
Duoma,藏嘎夏
Dogai Coring,多格错仁
Diyag,鲁巴
Deyu Cuo,得雨湖
Dexing,德兴
Dedeng,各塘
Dêqên,德庆
Deji,德吉
Dawa Co,达瓦错
Darab Co,达绕错
Dainkognubma,西邓柯
Daze Cuo,达则错
Daze,达则
Daggyai Co,打加错
Dabsan Hu,达布逊湖
Coyang,色贡
Cuoqin,措勤
Co Nyi,Cuo Ni
Co Ngoin,错鄂
Co Nag,错那
Como Chamling,错母折林
Comai,措麦
Cogo,雄珠
Chubarong,朱巴龙
Chowa,卓瓦
Que’er Shan,雀儿山
Chigu,哲古
Chido,申多
Charing,帕拉玛塘
Chamco,生嘎
Chagyoi,扎玉
Cishi,磁石
Cawarong,察瓦龙
Caka,茶卡盐场
Burang,普兰
Bukadaban Feng,布喀达坂峰
Boindoi,曲丹甲日
Batang,夏邛
Parga,巴噶
Pangkog Co,班戈错
Bangdag Co,邦达错
Bam Co,巴木错
Bagar,巴嘎
Aqqan,阿羌
Andirlangar,安迪尔兰干
Altun Shan,阿尔金山
Aksayqin Hu,阿克赛钦湖
Aq Meschit,阿克美其特村
Makālu,马卡鲁峰
Zuodi Lai,佐地莱
Zoco,左左
Zige Tangcuo,兹格塘错
Zhong Lingka,中林卡
Zhaxi Co,扎西错
Zhari Namco,扎日南木错
Zhanze,展则
Zisong,孜松
Zamar,扎玛
Qaghiliq,喀格勒克
Yanhu,元丹鲁玛
Yamzho Yumco,洋卓雍湖
Yagra,夏玛喀角
Yagmo,大居
Xumu,许木
Xinrong,新荣
Xingba,玛屋
Rikaze Diqu,日喀则
Xia Chayu,洞冲
Xia Lingka,库巴
Xayag,夏雅
Xalazakung,夏拉杂孔
Xagquka,下秋卡
Xagnag,夏那
Waxxari,瓦石峡乡
Uzunsay,杜瓦乌宗沙也
Urru Co,吴如错
Tuoheping Co,托和平错
Tozê Kangri,土则岗日
Toiba,门当惹孜
Tobgyai,土布加
Tingri,岗嘎
Tashqorghan,塔什库尔干镇
Taro Co,塔若错
Tarmar,塔玛
Tangluqangma,汤略强马
Tanggula Shan,唐古拉山
Tongde,同德
Gyamda,江达
Surco,锁作
Sumzom,纳玉
Sogba,索巴
Sinda,生达
Shule,疏勒
Shang Chayu,上察隅
Shangpa,上帕
Sailong,布隆
Sezha,大供
Senlicuo,森里错
Serirong,色日绒
Shaogang,少岗
Sanor,萨诺
Sangxung,香茂那
Sainca,羊秀
Sagang,沙贡
Rola Co,若拉错
Risum,日松
Rinqin Xubco,仁青休布错
Ramai,腊麦
Ragxi,热西
Rabang,热帮
Qusum,曲松
Qingnidong,青泥洞
Qoima Co,雀莫错
Qinggilik,青格里克
Qilian Shan,祁连山
Qarek,恰热克
Qagcaka,恰茶卡
Pompain,吉巴冲
Poinsog,本索
Poindo,旁多办事外
Pazhug,扎西宗
Parta,巴尔达
Paggai,雄津
Paca,巴扎
Oytograk,奥依托格拉克
Orba Co,窝尔巴错
Oma,达热布
Oiyug,达孜
Niukeze,纽克则
Nyinba,热热喀
Nyima,尼玛
Niwu,尼屋
Nyangbo,娘蒲
Nianqingtangla Shan,念青唐拉山
Nyainqêntanglha Feng,念青唐古拉峰
Luobuqiongzi,白朗县
Ngangzi Co,昂孜错
Ngangla Ringco,昂拉仁错
Nanmuqie,纳果
Namka,朗葛
Migriggyangzham Co,米堤江占木错
Midika,麦地卡
Meima Cuo,美马错
Mayum La,马攸木拉
Mami,麻米
Mangshi,芒市
Mangra,石莫
Lura,鲁然
Lunggar,隆嘎尔
Lumajangdong Co,措作错
Lingka,林卡
Lhoma,曲嘎亚塘
Lhatog,拉多
Lhato,阿旺
Lhabu,拉布
Laxong Co,拉雄错
Langru,朗如
Tangjiashan Lake,唐家山堰塞湖
Gurkug,高口
Sexionggongxiang,公日
Kongkangsar,贡康沙
Duoji,多吉
Canglai,仓来
Chawola,查吾拉
Conggo,结巴
Co Nag,错呐
Dagzhu,大竹
Daxung,达瓦雄
Delai,德来
Exi,俄西
Enzhuge,于公果
Kamba,岗巴
Digna,索珠
Dingjie,定结
Donggar,东嘎
Muztagh Ata,慕士塔格峰
Bulingsumdo,波林三多
Ngarnang,阿朗
Pagsum Co,八松错
Pagrikug Banshichu,翻身
Paglog,巴洛
Bumba,奔巴
Jianshe,建设
Xingfu,幸福
Chatan,茶潭
Kagebo Feng,卡格博峰
Maohezhai,帽合訾
Taifu,太伏
Shilin,石林
Xian’erre,献儿热
Molanchejie,莫兰彻结
Se’aqu,色阿曲
Guoquan Yan,锅圈岩
Nanshan,南山
Zanchari,咱察日
Xinlu Hai,新路海
Xieda,谢达
Ranpijiari,然皮加日
Jia’er,加尔
Zhaqingyaniang,扎清亚娘
Anggang,河东
Donggar,东嘎
Donggar,卡龙
Dongra,东拉
Dagring,达仁
Damxoi,索巴
Golug,贡括尔
Tarmar,溪贡
Ju,得巴林
Mabja,朗钦
Mamba,仁多岗
Moinda,蒙达
Najin Banshichu,纳金办事处
Qiaze,恰则
Xingba,新巴
Zaisang,曼王
Zhamog,扎木
Chatang,折木
Zhigung,直孔
Tanggar,唐嘎
Oincun,温村
Yade,亚德
Lebu,勒布
Luobuqiongzi,洛布穷孜
Maindong Co,斯潘古尔湖
Jilipuku,西里扎普
Gyixong,吉雄
Gyaqung,甲穷
Kangyu,康玉
Kaimar,德兴
Sagang,沙贡
Chomodoi,上亚东
Xoboxar,洛苏古巴
Solaka,索拉卡
Chomomai,仁青岗
Xasêr Co,夏赛错
Nyangdoi,竹撒
Nyêr Co,聂尔错
Pengcuolin,旁吉
Qabka,恰嘎
Qagoi Co,恰规错
Qundo,倾多
Qunggo,穷果
Ranwu Cuo,然乌错
Ring Co,长湖
Shaoguan Guitou Airport,韶关桂头机场
Yuri,玉仁
Tumxuk,图木舒克市
Tangdomarri,唐多玛惹
Tiantuo,亚中
Wudog,卧托
Zangdong,章东
Xigazê,日喀则镇
Rumei,直乌
Sajia,青公伦布
Yita,益塔
Qiankeng,外前坑
Taiyangjiang,太阳降
Wenjiacun,温家村
Hanwang,汉王镇
Guanmenshan Shengtaiyuan,关门山
Tuanbao,团堡镇
Haozhou Shi,毫州市
Suining Shi,遂宁
Jinniu,金牛
Beijing National Stadium,国家体育场
Yuanmingyuan,圆明园遗址公园
Three Gorges Dam,长江三峡水利枢纽工程
Potala,布达拉宫
Xishuangbanna,西双版纳傣族自治州
Tangregongma,唐日阿共玛
Angqiong Songduo,昂琼松多
Bare,巴日阿
Zhalangding Co,扎朗丁错
Xinyu,新余市
Shanwang,山旺
Sugesayi,苏格萨拉
Tianchi,天池
Shuangfu,双河场
Yong’an,永安镇
Jukui,聚奎镇
Chengbei,城北乡
Chongxing,兴龙
Shizhi,十直
Xingyi,泥巴溪
Longhe,观音寺
Qingxichang,清溪场镇
Houxi,后溪
Futian,桥头溪
Kangle,康乐镇
Baidi,白帝镇
Guojia,郭家镇
Dunhao,敦好镇
Jiulongshan,广佛寺
Dade,土地垭
Sansha,三沙市
Tiancheng,天城镇
Zhoujiaba,周家坝
Zhonggulou,钟鼓楼街道
Chenjiaba,万州区
Bai’anba,百安坝
Longsha,龙沙
Baisheng,百家场
Yunji,华中村
Changshouhu,长寿湖
Longhe,龙河
Bake,八颗
Shuangfengqiao,双凤桥街道
Fuxing,复兴镇
Shuanghuai,双槐
Qiantang,钱塘
Dashi,大石
Yanwo,燕窝镇
Longxing,女儿碑
Zhongshan Gongyuan,中山公园
Houhai,后海
Daguan Yuan,大观园
Tiantan Gongyuan,天坛公园
Honglingjin Gongyuan,红领巾公园
Shuanglu,双桥区
Tangxiang,棠香街道
Nandajie,南大街街道
Yongxing Island Airport,永兴岛机场
Xinjin Airport,新津机场
Dongjiang Hu,东江湖
Zizhuyuan Gongyuan,紫竹院公园
Datong,打通
Mugala,于田县
Pumori,普莫里峰
Qipan,棋盘村
Chongzuo,崇左
Port of Chongqing,重庆港
Qingyang,庆阳
Shihezi,石河子市
Tianmen,天门市
Wuzhishan City,五指山市
Ledong Li Autonomous County,乐东黎族自治县
Dongfang City,东方市
Changjiang Li Autonomous County,昌江黎族自治县
Lingao County,临高县
Qianjiang,潜江市
Xiantao,仙桃市
Lingshui Li Autonomous County,陵水黎族自治县
Baoting Li and Miao Autonomous County,保亭黎族苗族自治县
Tunchang County,屯昌县
Ding'an County,定安县
Baisha Li Autonomous County,白沙黎族自治县
Qiongzhong Li and Miao Autonomous County,琼中黎族苗族自治县
Chengmai County,澄迈县
Jiyuan,济源市
Shuanglonghu,双龙湖
Liangping,梁平
Kunlun Mountains,昆仑山脉
Xiaqicun,下磜
Zhangjiashan,张家山
Changguangcai Ling,张广才岭
Zhaochanggou,照场沟
Huachuan,桦川县
Yimianpo,一面坡
Yilehuli Shan,伊勒呼里山
Xunhe,逊河镇
Chongli,崇礼
Xin Bulag,Xinbo Lage
Xiaoxingkai Hu,小兴凯湖
Xiajiahecun,下夹河朝鲜族村
Wuda Lianchi,五大连池
Ulan Hua,Wulanhua
Toudaowa,头道瓦
Togrog Ul,土贵乌拉乡
Taiziying,太子营
Taha Man Zu,达斡尔族
Songzhan,宋站镇
Sijituncun,四季
Beixili,北西里
Shiwei,室韦镇
Shitougoucun,石头沟村
Shahezicun,沙河子
Sanhe,三河镇
Quanyancun,泉眼河
Qing’an,庆安县
Qindelitun,勤得利屯
Xunke,逊克
Najinkouzicun,纳金口子村
Mandalt,Mandulatu
Liushuhe,柳树河
Dongcuncun,东村村
Liaoyang Wobucun,辽阳窝棚
Longhecun,莲河
Laodaodiancun,老道村
Juyong Guan,居庸关
Jundecun,峻德村
Jinshancun,金山村
Hutongzhencun,胡通镇村
Khuma,呼玛县
Huairoucun,怀柔站村
Holt,浩尔吐乡
Zhangkeng,张坑
Liyushangtian,鲤鱼上山
Lingshishanguojiasenlin Gongyuan,灵石山国家森林公园
Lianhuahu Gongyuan,莲花湖公园
Hobor,Kebu’er
Heli,鹤立镇
Haliut,乌拉特中后联合旗
Jinhai Hu,金海湖
Sanguofuzhen,三国福镇
Fenglin,丰林
Jiayin Nongchang Daotian Guanliqu,稻田村
Yanqi Hu,雁栖湖
Aihui,爱辉
Yumulindagou,榆木林大沟
Beishijingzigou,北石井子沟
Yushugou,榆树沟
Sujiakala,苏家卡拉
Gounao,沟脑
Zongxicun,棕溪村
Tangdong,唐洞
Zijin Shan,紫金山
Zhuoshui,濯水镇
Wailingding Dao,外伶仃岛
Leye,同乐
Tong Hu,潼湖
Qincheng,秦城
Tianmu Shan,天目山
Tianheng Dao,田横岛
Tengqiaocun,藤桥村
Tengger Shamo,腾格里沙漠
Taopingxiang,洮坪乡
Tanqiucun,坛丘村
Tanjia,谭家
Tanggou,汤沟
Tangjia,唐家
Tancheng,潭城
Guanghe Chengguanzhen,广河县
Taizhou Liedao,大陈岛
Taiping,太平镇
Shanghe,上和镇
Taibai Shan,太白山
Tai’an,太安
Songyuan,松源
Songyuan,松源镇
Songyuan,松源
Siyang,思旸
Sijiao Shan,泗礁山
Lingyun,泗城
Shucheng,沭阳县
Shuangshi,双石
Shuanglu,双路镇
Shuangjiang,双江
Shuanghekou,双河口镇
Shituo,石沱镇
Shipu,石浦镇
Shima,马跑场
Shilaoren Shequ,石老人村
Shijing,石井
Shijiao,石角
Shihui,石会
Shidi,石堤镇
Zhouning,狮城
Shetan,社坛镇
Sheshan Dao,佘山岛
Shenzhou,深州
Shanhu,嵊州市
Shengrenjian,圣仁涧
Mingxi,明溪
Zhushan,宣恩县
Longquan,龙泉
Xixi,锡溪
Xiuqi,修齐
Minfengcun,民丰村
Xi Shan,西山
Xiongshan,政和
Xintian,新田
Xinshi,新市
Xinliao Dao,新寮岛
Longzhou,龙州
Fuxing,Hsing-ch’eng-chen
Xinglong,兴隆
Xingangcun,新港镇
Xingang,新港
Xindou,新都
Xindeng,新登镇
Xincheng,新城
Xincheng,新城
Xinshi,新市
Sanbu,三埠
Xi’eluo,西俄洛
Xiedian,解店
Xiaopingdao Dongjie,小平岛东街
Xiaojiang,小江
Xiang Jiang,湘江
Xianghe,襄河
Xialiang,下两
Qian Zhou,潜洲
Xiagezhuang,夏格庄
Xiadalie Dao,下大列岛
Xiachuan Dao,下川岛
Wuzhi Shan,五指山
Houwuzhaocun,后吴召村
Wuyi Shan,武夷山
Wuxuan,武宣
Tongxiang,梧桐街道
Wutaishan,五台山
Wushao Ling,烏鞘嶺
Sangyuan,吴桥
Wumang Dao,乌蟒岛
Wuling,武陵镇
Wuji,无极
Wudu,武都
Wudong,五洞
Wuchang Hu,武昌湖
Weizhou,威州
Weiyuan,威远
Wei He,渭河
Wanzi Hu,万子湖
Wanshun,万顺镇
Wanshan,万山镇
Huliao,糊寮镇
Xiede,协德
Hui’ancun,惠安村
Hua Shan,華山
Huarongzhuang,华荣庄
Yuhuan,玉环
Huangzhai,黄寨
Huangyan,黄岩
Huangxu,黄圩
Huangbei Hu,黄陂湖
Huangjia,黄家
Huama Chi,花马池
Huaikou,淮口
Huachengxu,花城圩
Hongya Chi,红崖池
Honglu,红炉
Heyin,河阴
Wenbi,文笔
Hengxingcun,恒兴村
Helin,和林镇
Helan Shan,贺兰山
Hekou,河口
Heishui,黑水
Hebian,河边镇
Hebao Dao,荷包岛
Hanjiashu,韩家墅
Hangou,汉沟
Sanhe,海原县
Haitan Dao,海坛岛
Hailing Dao,海陵岛
Hai He,海河
Guye,古冶
Guluzhen,顾路镇
Guishan Dao,桂山岛
Gucheng Hu,固城湖
Guanyinqiao,观音桥
Guanyang,官阳镇
Guanting,官亭
Dujiangyan,灌口
Guangang Hu,官港湖
Guandu,官渡
Guandu,官渡
Guanchangcun,官昌
Gouqi Dao,枸杞岛
Gou Chi,苟池
Gongtan,龚滩镇
Gaolan Dao,高栏岛
Gaogu,高谷
Jinniu Hu,金牛湖
Jiangxin Zhou,江心洲
Xialiaocun,许家寮
Haizhugangcun,海珠港
Qiandengyingcun,前登瀛村
Qingshancun,青山
Dongli Hu,东丽湖
Jitoucun,迹头
Beishancun,北山村
Dingtoucun,顶头村
Zhaojia,赵家
Zouma,走马镇
Yantai,砚台
Sanmiao,三庙
Lixi,李溪
Xikeng,西坑
Huangnikeng,黄泥坑
Yangkelong,洋窠垄
Shankeng,山坑
Laojunteng,老筠腾
Xingdicun,兴地村
Xinfeng Xian Jiading Zhen Xiaohekeng Linchang,信丰县嘉定镇小河坑林场
Shijingcun,石径村
Duxun Yanchang,杜浔盐场
Xiasi,下寺
Huimin,惠民
Yufengshan,玉峰山
Tongjiaxi,童家溪
Tuchang,土场
Shuidongcun,水东村
Yuangongducun,袁公渡村
Niufo,牛佛
Ningzhou,宁州
Fenghuang,凤凰
Fenghuang,凤凰
Ningchegu,宁车沽
Nanyue,南岳
Fan’aocun,樊岙
Nanshu,南墅
Nanping,南平
Nanpeng Liedao,南澎列岛
Nan Ling,南岭
Nanchangshan Dao,南长山岛
Nan’an,大余县
Mu’er,木耳镇
Moye Dao,镆铘岛
Mingyu,鸣玉
Min’ancun,闽安
Miaowan Dao,庙湾岛
Miansi,绵虒
Wenlan,Meng-tzu-ch’eng
Meixing,小金县
Meijiang,梅江
Maotai,茅台
Maihaocun,迈号村
Magitang,尖扎县
Luxi Dao,鹿西岛
Luoqiaocun,罗桥
Luofu Shan,罗浮山
Longxue Dao,龙穴岛
Longxu,龙圩
Longxian,Weng-yüan-hsien
Longmen,龙门
Liugong Dao,劉公島
Liuduzhai,六都寨镇
Zhongxin,中心
Zhongwei,中卫
Ning’an,宁安
Zhonghe,中和镇
Zhongdong,中洞
Zhijiang,芷江
Zhifu Dao,芝罘島
Zhenhaicun,镇海村
Zhenhaixu,镇海圩
Zhengkou,郑口
Zhengchangcun,正场村
Qianyou,乾佑
Zhaozhou,赵州
Zhaohua,昭化
Zhaobao Shan,招寶山
Danzhu,丹朱
Zhangmulin,樟木林乡
Zhanggu,章谷
Yongtai,樟城
Zanhuang,赞皇
Zhamashi,扎麻什乡
Yuxijie,裕溪街
Yuzhou,蔚州
Xiushui,秀水
Yuxi,玉溪
Yuxi,玉溪镇
Yushan Liedao,Hei-shan Ch’ün-tao
Yuhuan Dao,玉环岛
Yuezicun,月子村
Yueyang,岳阳
Yuelai,悦崃镇
Yuekou,岳口街道
Yueqing,乐清
Yongjia,永嘉
Yitiaoshan,一条山
Yishi,猗氏
Yinxu,殷墟
Yinxingcun,银杏村
Yijiangshan Dao,一江山岛
Yanjing,盐井
Heyou,鹤游
Yangshi,羊市镇
Yangjiao,羊角镇
Yanduicun,烟堆
Yakoucun,衙口
Yajiang,鸭江镇
Yabrai Shan,雅布赖山
Xuyangzhuangcun,徐杨
Xunyi Chengguanzhen,旬邑县
Tian’ao Dao,田岙岛
Gaocheng,高城
Gaobeidian,高碑店
Gangzi,港子
