Portugal,葡萄牙
Vale de Vargo,瓦莱-迪瓦尔古
Idães,Idães
Ifanes,伊法内斯
Base Aérea de Beja,貝加空軍基地
Crato,克拉圖
Santa Marta de Penaguião,聖瑪爾塔迪佩納吉昂
Ribeira de Pena,里貝拉迪佩納
Covelo,Covelo (Gondomar)
Exposição Mundial de 1998,1998年世界博覽會
Paradela,Paradela (Miranda do Douro)
Pinelo,皮内洛
Fronteira,弗龍泰拉
Argivai,阿尔吉瓦伊
Fornos de Algodres,福爾努什迪阿爾戈德里什
Noite sangrenta,1921年里斯本血腥之夜
Arentim,阿伦廷
gastronomia de Portugal,葡萄牙飲食
Milhundos,Milhundos
Algarve Cup,阿尔加夫杯
Estádio Algarve,阿尔加维体育场
Sé Catedral de Évora,埃武拉主教座堂
Merino,美利奴羊
Primeira Liga,葡萄牙足球超级联赛
Amedo,阿梅多
Alcobaça,阿爾科巴薩
Castelões,Castelões
Bairro Alto,里斯本上城
Pedrógão Grande,大佩德羅岡
Padrão dos Descobrimentos,發現者紀念碑
Paralelo 39 N,北緯39度線
Coucieiro,科谢伊罗
Couto de Esteves,Couto de Esteves
Aguiar da Beira,阿吉亞爾達貝拉
Estação Ferroviária de Coimbra,科英布拉車站
dialecto árabe andalusino,安達盧斯阿拉伯語
Cova da Beira,科瓦达贝拉次区域
Segadães,Segadães
Vila Fria,Vila Fria (Felgueiras)
Números de telefone em Portugal,葡萄牙电话区号
Mosteiro da Batalha,巴塔利亚修道院
Mora,莫拉
Alto Douro Vinhateiro,上杜羅葡萄酒產區
Argozelo,Argozelo
Ala,Ala
Parada,帕拉达 (布拉干萨)
Rande,Rande
Sé de Faro,法魯主教座堂
Rádio e Televisão de Portugal,葡萄牙廣播電視公司
Mação,馬桑
Porto de Mós,莫什港
Vouzela,沃澤拉
Oleiros,奧萊羅斯
Batalha de Lagos,聖文生角海戰
Estádio Cidade de Barcelos,巴塞罗斯市体育场
Évora,埃武拉
Ligares,Ligares
Milhão,米良
Nisa,尼薩
Batalha do Cabo de São Vicente,圣文森特角战役 (1780年)
Pinhal Novo,新皮尼亚尔
Vila Ruiva,Vila Ruiva
Vila Viçosa,維索薩鎮
Cossourado,科索拉多 (巴塞卢什)
Vilarinho,维拉里纽
Jornal de Notícias,新闻报 (葡萄牙)
Sobrosa,Sobrosa
Supertaça Cândido de Oliveira de 2012,2012年葡萄牙超级杯
Tratado de Saragoça,萨拉戈萨条约
Cávado,卡瓦杜地方
Curopos,Curopos
XVI Governo Constitucional de Portugal,第16届
Teatro Nacional de São Carlos,聖卡洛斯國家劇院
Seixo de Ansiães,Seixo de Ansiães
Golegã,古勒岡
Hispânia,西班牙省
Azões,阿宗伊什
Vilarinho dos Galegos,Vilarinho dos Galegos
Cobro,Cobro
lista de cidades em Portugal,葡萄牙城市列表
Marco de Canaveses,馬爾科-德卡納維澤斯
Foz do Sousa,福斯杜索萨
Paradinha Nova,Paradinha Nova
Outeiro Maior,Outeiro Maior
Oliveira do Douro,Oliveira do Douro (Vila Nova de Gaia)
Rebordões,Rebordões
Albernoa,阿尔贝诺阿
Junta de Salvação Nacional,民族拯救軍政府
Sintra,辛特拉
Vinho do Porto,波特酒
Castanheira de Pêra,卡什塔涅拉德佩拉
Gimonde,Gimonde
Amadora,阿马多拉
Carcavelos,卡卡維洛斯
Chave,Chave (Arouca)
Rebordainhos,Rebordainhos
Zedes,泽德斯
Cabeça Santa,Cabeça Santa
Sismo de Lisboa de 1755,1755年里斯本大地震
Linha do Norte,北線 (葡萄牙)
Crestuma,克雷斯图马
Sinagoga Kadoorie,嘉道理猶太會堂
Palácio Nacional de Belém,贝伦宫
lista de reis de Portugal,葡萄牙君主列表
Dia de Portugal,葡萄牙日、賈梅士日暨葡僑日
lista de partidos políticos em Portugal,葡萄牙政党列表
Penacova,Penacova (Felgueiras)
Estação Rato,拉托站
Jovim,若温
Alcântara,阿爾坎塔拉
Nossa Senhora das Neves,内维斯圣母镇
Gatão,加唐
Burgães,布尔加伊什
Canelas,卡内拉什
Gáfete,Gáfete
Luzim,卢津
Clube Desportivo Feirense,費倫斯足球俱樂部
Diocese do Porto,天主教波爾圖教區
Poceirão,波塞朗
Vila Nova de Gaia,加亚新城
Fátima,花地瑪
Vila de Frades,弗拉迪什镇
Maceda,Maceda
Museu Nacional de Soares dos Reis,國立雷伊斯博物館
Lusa,葡萄牙新聞社
Figueira,菲盖拉
Fonte Arcada,丰蒂阿尔卡达
São Teotónio,São Teotónio
Gestaçô,热斯塔索
Trancoso,特蘭科蘇
Perozelo,Perozelo
Portela,Portela
Pinheiro,Pinheiro
Modivas,莫迪瓦什
XIV Governo Constitucional de Portugal,第14届
Santalha,桑塔利亚
Vilar Seco de Lomba,维拉尔塞科德隆巴
Oceanário de Lisboa,里斯本海洋水族馆
Sabugueiro,萨布盖鲁
Cabo Mondego,蒙德戈角
Paralelo 40 N,北纬40度线
Paralelo 37 N,北緯37度線
Rali Dakar de 2006,2006年達喀爾拉力賽
Ilha do Faial,法亞爾島
A20,A20高速公路
Benlhevai,本列瓦伊
Olival,Olival
Santa Cruz,聖克魯斯
Carvalheira,卡瓦列拉
Algoso,阿尔戈苏
Garvão,加尔旺
Corte do Pinto,Corte do Pinto
Santana de Cambas,Santana de Cambas
São Pedro de Solis,São Pedro de Solis
Jugueiros,Jugueiros
Minde,明迪
Revolução dos Cravos,康乃馨革命
Ermesinde,Ermesinde
Esmoriz,Esmoriz
Gafanha da Nazaré,Gafanha da Nazaré
Pombares,庞巴雷斯
Sernande,Sernande
Nunes,努内斯
Vila Nova da Baronia,巴罗尼亚新镇
São João de Negrilhos,圣若昂-迪内格里柳什
Estoril,埃斯托里爾
São Matias,圣马蒂亚什
Santo Amador,圣阿马多尔
Sobral da Adiça,Sobral da Adiça
Canadelo,卡纳德卢
Senhora da Graça de Padrões,Senhora da Graça de Padrões
XV Governo Constitucional de Portugal,第15届
XIII Governo Constitucional de Portugal,第13届
III Governo Constitucional de Portugal,第3届
Partido Republicano Evolucionista,进化论者党
Santo Isidoro,Santo Isidoro
Monte,山区（丰沙尔）
Deilão,Deilão
Quarteira,夸爾泰拉
Grande Prêmio de Portugal de 2007,2007年葡萄牙摩托車大獎賽
Segredo de Fátima,法蒂瑪的三個秘密
Ibéria,西班牙国家航空
Dia da República,葡萄牙共和國成立日
Supertaça Cândido de Oliveira de 2004,2004年葡萄牙超級盃
Arquivo Nacional da Torre do Tombo,葡萄牙國家檔案館
Paralelo 33 N,北緯33度線
São João dos Caldeireiros,圣若昂-杜斯卡尔代雷鲁什
Santo Agostinho,Santo Agostinho
Santana da Serra,圣安娜-达塞拉
Silva Escura,Silva Escura
Rio Tinto,里奧廷托
Póvoa de Santa Iria,波瓦桑德圣伊里娅
Gandra,Gandra
São Sebastião dos Carros,São Sebastião dos Carros
São Roque do Pico,聖羅克杜皮庫
Calheta,卡列塔
Lajes do Pico,拉日什杜皮庫
política de Portugal,葡萄牙政治
Campeonato Português de Futebol 2003/2004,2003年至2004年葡萄牙足球超級聯賽
Linha do Oeste,西線
Porto Covo,科武港
Figueiró dos Vinhos,菲蓋羅杜什維紐什
Arreigada,Arreigada
São Salvador,圣萨尔瓦多
São Barnabé,São Barnabé
São Miguel do Pinheiro,São Miguel do Pinheiro
Angra do Heroísmo,英雄港
Quintela de Lampaças,Quintela de Lampaças
Sport Comércio e Salgueiros,萨尔盖鲁什
Vinhos portugueses,葡萄牙葡萄酒
Fajã de Baixo,法加德拜索
Gomes Aires,Gomes Aires
Messejana,Messejana
Vidago,维达戈
Aeroporto Internacional de Faro,Faro（FAO）
Ariz,Ariz (Marco de Canaveses)
Vale de Janeiro,瓦莱-迪雅内鲁
Templo romano de Évora,埃武拉罗马神庙
Diário da República,共和國日報
Refojos de Riba de Ave,Refojos de Riba de Ave
Douro,杜罗地方
Gondomar Sport Clube,贡多马尔SC
Peredo dos Castelhanos,Peredo dos Castelhanos
Mós,莫什
Fiães,Fiães
Campeonato Mundial de Handebol Masculino de 2003,2003年世界男子手球錦標賽
Convento de Cristo,托马尔的基督会院
Arraiolos,阿拉約洛斯
Sertã,塞尔唐
Freamunde,Freamunde
Machico,馬希庫
Arnozela,Arnozela
Arosa,阿罗萨 (吉马良斯)
Clube Futebol União,马德拉联合
Penamaior,Penamaior
Trofa,特罗法
Diocese de Angra,天主教英雄港教區
Diocese de Bragança-Miranda,天主教布拉干薩-米蘭達教區
Pedrouços,Pedrouços
Magellan–Elcano expedition,斐迪南·麥哲倫環球航海時間軸
Antas,安塔斯 (埃斯波森迪)
eleições legislativas portuguesas de 2009,2009年葡萄牙立法選舉
Tuizelo,Tuizelo
Seleção Portuguesa de Futebol Sub-20,葡萄牙U20
Biblioteca Joanina,若昂尼納圖書館
Donai,Donai
São Félix da Marinha,São Félix da Marinha
Portugal no Festival Eurovisão da Canção Júnior,葡萄牙在歐洲青少年歌唱大賽之歷年表現
Sobreira,Sobreira
Final da Taça dos Clubes Campeões Europeus de 1989-90,1990年欧洲冠军杯决赛
II Governo Constitucional de Portugal,第2届
União Ciclista da Maia,马亚自行车联盟
Partido Democrático,葡萄牙民主党
Arquidiocese de Braga,天主教布拉加總教區
lista de governadores da Índia Portuguesa,葡屬印度歷任總督
Valmaior,Valmaior
São João de Loure,圣若昂-迪洛里
Torre Vasco da Gama,达·伽马塔
Sistema de ligas de futebol de Portugal,葡萄牙足球联赛系统
Público,公众报
Armil,Armil
Nelas,內拉什
Sport Clube Beira-Mar,貝拉馬爾競技
Aves,阿维什镇
Alandroal,阿蘭德魯阿爾
Vilarinho da Castanheira,Vilarinho da Castanheira
Ponte 25 de Abril,4月25日大橋
Canedo de Basto,Canedo de Basto
Museu da Eletricidade,电力博物馆
São Pedro da Cova,圣佩德罗-达科瓦
Duas Igrejas,Duas Igrejas (Paredes)
Duas Igrejas,Duas Igrejas (Miranda do Douro)
Guarda Nacional Republicana,國家共和衛隊
IV Governo Constitucional de Portugal,第4届
Ministério dos Negócios Estrangeiros,葡萄牙外交部
Alto Minho,上米尼奥地方
Vagos,Vagos (freguesia)
Ervedosa,Ervedosa (Vinhais)
Serra da Estrela,埃什特雷拉山脈
São Martinho de Bougado,São Martinho de Bougado
São Simão de Gouveia,São Simão de Gouveia
Roriz,Roriz
Leça do Balio,Leça do Balio
Lajes das Flores,拉日什-达什弗洛里什
Salvada,萨尔瓦达
Estela,埃什特拉
Póvoa de Varzim,波瓦-迪瓦爾津
Diocese de Aveiro,天主教阿威羅教區
Olhão,奧良
Duque de Aveiro,阿韦罗公爵
Gulpilhares,古尔皮利亚里什
brasão de armas de Portugal,葡萄牙國徽
São Mamede de Infesta,São Mamede de Infesta
Taça de Portugal de 2011–12,2011年至2012年葡萄牙杯
SATA Air Açores,亚速尔航空
Recardães,Recardães
Assares,Assares
Alfundão,阿尔丰当
Alquerubim,阿尔克鲁宾
Préstimo,Préstimo
Larinho,拉里纽
Praça do Marquês de Pombal,庞巴尔侯爵广场
Frossos,弗罗苏什
Santa Justa,聖朱斯塔
Igreja de São Vicente de Fora,城外圣文生修道院
Campeonato Português de Futebol - I Divisão 2009/2010,2009年至2010年葡萄牙足球超级联赛
Metropolitano de Lisboa,里斯本地铁
Vilar Formoso,维拉福尔摩索
Médio Tejo,中塔霍地方
lusofonia,葡萄牙語圈
Base Aérea das Lajes,拉熱斯國際機場
Lamas do Vouga,Lamas do Vouga
Arronches,阿龍希什
Golpe de Estado de 28 de Maio de 1926,1926年5月28日政變
Lagos,拉古什
Arruda dos Vinhos,阿魯達杜什維紐什
Lisboa,里斯本區
Caldelas,卡尔德拉斯
São Jorge de Vizela,São Jorge de Vizela
Estádio dos Barreiros,馬里迪莫球場
Santiago de Figueiró,Santiago de Figueiró
transportes em Portugal,葡萄牙交通
Santa Maria de Avioso,Santa Maria de Avioso
Ribeira de Fráguas,Ribeira de Fráguas
São Pedro de Avioso,São Pedro de Avioso
Vila Chã do Marão,Vila Chã do Marão
Penha Garcia,佩尼亚加西亚
NUTS de Portugal,统计用国土单位命名
Sé,塞镇
Alijó,阿利若
Nossa Senhora de Fátima,花地瑪聖母
Vila Nova de Milfontes,Vila Nova de Milfontes
Praça da Figueira,无花果树广场
Lagares,Lagares (Felgueiras)
Império Português,葡萄牙帝國
Clube Desportivo Santa Clara,辛達卡拉體育會
Governo da República Portuguesa,葡萄牙政府
Assembleia da República,葡萄牙共和国议会
Prémio Camões,卡蒙斯文學獎
Ponta Delgada,蓬塔德爾加達
Labruge,拉布鲁吉
Guarda,瓜达
Estádio Nacional do Jamor,國家體育場
Campeonato Mundial de Atletismo em Pista Coberta de 2001,2001 里斯本
Jogos da Lusofonia,葡語系運動會
Viana do Castelo,維亞納堡
doula,导乐
Vila Real de Santo António,圣安东尼奥雷阿尔城
Lamelas,Lamelas
Lamoso,拉莫苏
Batalha de Alcântara,阿爾坎塔拉戰役
Estremadura,埃什特雷馬杜拉
Ordem da Liberdade,自由勳章
TAP Air Portugal,TAP葡萄牙航空
São Paulo,聖保羅
Vitória Futebol Clube,塞圖巴爾足球俱樂部
Ilha de São Miguel,聖米格爾島
Lama,拉马
Silves,锡尔维什
Leiria,萊里亞
São Pedro,圣佩德罗（丰沙尔）
lista de estações do Metropolitano de Lisboa,里斯本地鐵車站列表
Linha do Alentejo,阿连特茹线
Linhas de Torres Vedras,托利斯維德拉防線
Maratona de Lisboa,里斯本馬拉松
Vila do Bispo,比什普鎮
Estádio Municipal de Portimão,波爾蒂芒市政體育場
Eiriz,埃里什
Festa do Avante!,前进报节
Vila Verde,Vila Verde (Vinhais)
Ilha de São Jorge,聖若熱島
Sporting Clube Farense,法鲁人体育俱乐部
Estação Aeroporto,机场站
Calheta,卡列塔
Ordem de Santiago,圣地牙哥骑士团
Atlético Clube de Portugal,葡萄牙體育會
Montalegre,蒙塔萊格里
Atães,阿唐斯 (吉马良斯)
Atães,阿唐斯 (韦尔迪镇)
Revolução da Maria da Fonte,玛丽亚·达丰特革命
Partido Comunista Português,葡萄牙共產黨
Caldo verde,葡式甘蓝汤
Batalha de Ourique,奥里基战役
Revolução de Setembro,葡萄牙九月革命
Partido Operário de Unidade Socialista,社会主义团结工人党
Torre de Belém,贝伦塔
Santão,桑唐
Lever,Lever
Ilha Terceira,特塞拉島
Beja,貝雅
Castelo de Elvas,埃爾瓦什城堡
Paralelo 41 N,北緯41度線
Igreja Católica em Portugal,葡萄牙基督教新教
Paralelo 42 N,北緯42度線
Ponte de D. Luís,路易一世大橋
Leça Futebol Clube,莱萨
Leça da Palmeira,Leça da Palmeira
Revolução liberal do Porto,1820年自由革命
Segunda Liga de 2009–10,葡萄牙甲級聯賽亞軍
Lordelo do Ouro,Lordelo do Ouro
Palmeira,帕尔梅拉
Portugal nos Jogos Olímpicos,奧林匹克運動會葡萄牙代表團
Santana,圣安娜
Moreirense Futebol Clube,莫雷拉人足球俱乐部
estrada europeia 1,欧洲E1公路
Entradas,恩特拉达什
Escola Superior de Teatro e Cinema,里斯本戲劇與電影學校
Estádio Prof. Dr. José Vieira de Carvalho,荷西·維亞拿·迪·卡華路教授運動場
Ourém,歐倫
Peredo da Bemposta,Peredo da Bemposta
Batalha do Vimeiro,維美洛戰役
Aveiro,阿威羅區
São Sebastião da Pedreira,圣塞巴斯蒂安·达·佩德雷拉
Ferreira,Ferreira (Paços de Ferreira)
Junqueira,Junqueira (Vila do Conde)
Edrosa,埃德罗萨
São Pedro Velho,São Pedro Velho
AP Hotels & Resorts-Tavira-SC Farense,葡萄牙竞技自行车队
Estádio Municipal 22 de Junho,6月22日市政體育場
Vilarelhos,Vilarelhos
Vinhais,Vinhais (freguesia)
Ourique,欧里基 (葡萄牙堂区)
Sociedade União 1º Dezembro,十二月一日
Federação Portuguesa de Basquetebol,葡萄牙籃球協會
Fantasporto,葡萄牙國際奇幻電影節
Ilha do Pico,皮庫島
falcoaria,鷹匠
Museu Nacional de Arte Antiga,國立古代美術館
Atiães,Atiães
Museu Calouste Gulbenkian,古爾本基安美術館
União Desportiva de Leiria,利亞拿體育會
Linha de Cintura,辛图拉线
Linha Amarela,里斯本地铁黄线
Linha Azul,里斯本地铁蓝线
Linha Verde,里斯本地铁绿线
Jogos da Lusofonia de 2009,2009年葡語系運動會
Campeonato Mundial Júnior de Atletismo de 1994,1994年世界青年田径锦标赛
Valpaços,瓦爾帕蘇什
A17 (autoestrada),A17高速公路 (葡萄牙)
A19 (autoestrada),A19高速公路 (葡萄牙)
A2 (autoestrada),A2高速公路
A21 (autoestrada),A21高速公路 (葡萄牙)
A22 (autoestrada),A22高速公路
A23 (autoestrada),A23高速公路 (葡萄牙)
A24 (autoestrada),A24高速公路 (葡萄牙)
A25,A25高速公路 (葡萄牙)
Supercopa Europeia de 2011,2011年歐洲超級盃
Segunda Liga,葡萄牙足球甲级联赛
Atenor,Atenor
São Brissos,São Brissos
Espírito Santo,Espírito Santo (Nisa)
Penalva do Castelo,佩納爾瓦堡
Batalha de Aljubarrota,阿尔茹巴罗塔战役
Peso da Régua,佩蘇達雷瓜
Urrô,Urrô (Arouca)
Sport Clube União Torreense,托里什人联合体育俱乐部
Santa Eulália,Santa Eulália (Arouca)
Campeonato Português de Futebol - I Divisão 1934/1935,1934年至1935年葡萄牙足球超级联赛
Santa Justa,圣茹什塔 (阿拉约卢什)
Codal,Codal
Nespereira,Nespereira (Lousada)
Espinhel,Espinhel (Águeda)
Espinhosela,Espinhosela
Diocese de Lamego,天主教拉梅古教區
lista dos bispos de Macau,天主教澳門教區主教列表
lista de presidentes da Câmara Municipal de Lisboa,里斯本市長列表
Panóias,Panóias
Vilar,维拉尔 (孔迪镇)
Barreiro,巴雷鲁
Zoio,Zoio
Clube Desportivo Nacional,國民體育會
Praça Luís de Camões,贾梅士广场
Junqueira,Junqueira (Vale de Cambra)
Válega,Válega
Barcouço,Barcouço
Bragança,布拉干薩
Campeonato Nacional de Futebol Feminino,葡萄牙全國女子足球錦標賽
Chorente,绍伦特
Romeu,Romeu
Fórum de Governança da Internet,互联网管理论坛
Universidade Técnica de Lisboa,里斯本技術大學
Boavista Futebol Clube,博阿维斯塔足球俱乐部
Jardim Zoológico de Lisboa,里斯本動物園
Madalena,Madalena (Paredes)
Vilar de Peregrinos,Vilar de Peregrinos
Mafamude,Mafamude
Club Sport Marítimo,馬里迪莫足球會
Estádio da Tapadinha,塔帕迪尼亚体育场
Estádio do Restelo,里斯迪羅球場
Palácio da Bolsa,证券交易所宫
Castelões,卡斯特隆伊什
Portalegre,波塔萊格雷區
Vilar de Rei,维拉尔德雷
Vitória Sport Clube,吉马良斯维多利亚
Observatório Europeu da Droga e da Toxicodependência,歐洲藥物和成癮監測中心
E9,欧洲E9海岸路
Pombal,Pombal (Alfândega da Fé)
Santa Bárbara de Padrões,Santa Bárbara de Padrões
Partido Popular Monárquico,人民君主主義黨 (葡萄牙)
São Gregório,圣格雷戈里乌 (阿拉约卢什)
Futebol Clube de Alverca,艾華卡
Estádio do Fontelo,芳特羅體育場
Viana do Alentejo,維亞納杜阿連特茹
Lomba,Lomba (Gondomar)
Nossa Senhora da Expectação,Nossa Senhora da Expectação (Campo Maior)
Espiunca,Espiunca
Lordelo (Felgueiras),Lordelo (Felgueiras)
Baixo Alentejo (província),下阿連特茹
Autódromo Internacional do Algarve,阿爾加維國際賽道
Avanca,阿万卡
Avantos,阿万托斯
A27 (autoestrada),A27高速公路
A28 (autoestrada),A28高速公路 (葡萄牙)
A29 (autoestrada),A29高速公路 (葡萄牙)
A3 (autoestrada),A3高速公路
A33 (autoestrada),A33高速公路 (葡萄牙)
A36 (autoestrada),A36高速公路 (葡萄牙)
Avidagos,Avidagos
Avidos,阿维多什
Avintes,阿温蒂什
Avis,阿維斯
Albergaria-a-Velha,Albergaria-a-Velha
Lourosa,Lourosa
A37 (autoestrada),A37高速公路 (葡萄牙)
Futebol Clube de Arouca,阿洛卡足球會
Batalha do Douro (1809),第二次波尔图之战
Ponte Vasco da Gama,華士古達伽馬大橋
XVII Governo Constitucional de Portugal,第17届
Boelhe,博埃利
Santa Clara-a-Nova,Santa Clara-a-Nova
Embaixada da Austrália em Lisboa,澳大利亞駐葡萄牙大使館
Sever do Vouga,Sever do Vouga (freguesia)
Nabo,Nabo (Vila Flor)
Vale de Santiago,瓦莱-迪圣地亚哥
Macedo do Mato,Macedo do Mato
Macieira da Maia,Macieira da Maia
Barcelos,巴塞卢什
Clube de Futebol Os Belenenses,貝倫人足球俱樂部
Ilha das Flores,弗洛雷斯島
Futebol Clube Penafiel,佩纳菲耶尔足球俱乐部
Futebol Clube de Vizela,維薩拉
A38 (autoestrada),A38高速公路 (葡萄牙)
A41 (autoestrada),A41高速公路 (葡萄牙)
A4 (autoestrada),A4高速公路 (葡萄牙)
A42 (autoestrada),A42高速公路 (葡萄牙)
A43 (autoestrada),A43高速公路 (葡萄牙)
A6 (autoestrada),A6高速公路 (葡萄牙)
A7,A7高速公路 (葡萄牙)
Longomel,Longomel
Oliveira do Bairro,奥利韦拉-杜拜鲁
Fermentões,费尔门托斯
Aldão,阿尔当
Clube Desportivo das Aves,艾維斯體育會
Azinhaga,亚辛哈加
A10 (autoestrada),A10高速公路 (葡萄牙)
A1,A1高速公路
A11 (autoestrada),A11高速公路 (葡萄牙)
A12 (autoestrada),A12高速公路
A14 (autoestrada),A14高速公路 (葡萄牙)
A13,A13高速公路 (葡萄牙)
A15 (autoestrada),A15高速公路 (葡萄牙)
A16 (autoestrada),A16高速公路 (葡萄牙)
Ferreiras,费里拉斯
Ferreiró,Ferreiró (Vila do Conde)
Fertagus,塔霍河鐵路
Festival RTP da Canção,葡萄牙音樂節
Santa Maria,聖瑪麗亞島
Estádio António Coimbra da Mota,安東尼奧·科英布拉·達莫塔體育場
Estádio Marcolino de Castro,马尔科利诺·德卡斯特罗体育场
Estádio Municipal de Arouca,阿洛卡市政球場
Estádio da Mata Real,馬塔皇家體育場
Estádio da Madeira,馬德拉體育場
Futebol Clube do Marco,马尔科足球俱乐部
Grande Lisboa,大里斯本
Associação Académica de Coimbra – O.A.F.,科英布拉大學足球會
Azurara,Azurara (Vila do Conde)
Azurém,阿祖伦
Monforte,蒙福爾特
Santo André,圣安德烈新城
Conde,孔德
Avenida da Liberdade,自由大道
Avessadas,Avessadas
Clube Desportivo Trofense,泰羅芬斯體育會
Fridão,弗里当
São Gonçalo,São Gonçalo
Viariz,维亚里什
Madalena,Madalena
Azinhoso,阿齐尼奥苏
Cepães,塞庞埃斯
Futebol Clube Barreirense,巴雷倫斯
Futebol Clube Famalicão,法馬利考
Futebol Clube de Felgueiras,費爾蓋拉什足球會
Futebol Clube da Maia,邁亞
Combate de Évora,埃武拉戰役
Biblioteca Nacional de Portugal,葡萄牙國家圖書館
Avelanoso,Avelanoso
Aveleda,阿韦莱达 (布拉加)
Aveleda,阿韦莱达 (布拉干萨)
Elvas,埃爾瓦什
Campeonato Mundial de Esgrima de 2002,2002年世界击剑锦标赛
Santa Margarida de Lousada,Santa Margarida de Lousada
Bunheiro,Bunheiro
Água Longa,阿瓜隆加
Felgueiras,Felgueiras (Torre de Moncorvo)
Fajozes,法若齐什
Porto Moniz,莫尼什港
Alfa Pendular,Alfa Pendular電聯車
Vilar do Torno e Alentém,Vilar do Torno e Alentém
Tondela,通德拉
Carregal do Sal,卡雷加爾杜薩爾
Babe,巴贝 (葡萄牙堂区)
Feira Internacional de Lisboa,里斯本展覽會議中心
Gondesende,Gondesende
Felgar,Felgar
Valpedre,Valpedre
Santarém,聖塔倫區
Faro do Alentejo,法鲁-杜阿连特茹
Foz do Douro,杜罗河畔福斯
Louredo,Louredo (Paredes)
Beira Litoral (província),海岸贝拉
Beira Alta (província),上貝拉
Beira Baixa (província),下貝拉
Faro,法魯區
Macieira de Alcoba,Macieira de Alcoba
Macieira da Lixa,Macieira da Lixa
Macinhata do Vouga,Macinhata do Vouga
A5,A5高速公路 (葡萄牙)
A8 (autoestrada),A8高速公路 (葡萄牙)
A9 (autoestrada),A9高速公路 (葡萄牙)
Campeonato Europeu de Futebol de 2004/Grupo B,2004年歐洲國家盃B組
Campeonato Europeu de Futebol de 2004/Grupo C,2004年歐洲國家盃C組
Figueiró,Figueiró (Paços de Ferreira)
Campeonato Europeu de Futebol de 2004/Grupo D,2004年歐洲國家盃D組
Instituto Nacional de Estatística,葡萄牙國家統計研究所
estrada europeia 82,欧洲E82公路
Sporting Clube da Covilhã,科維良足球俱樂部
Alfaião,Alfaião
Britelo,Britelo (Celorico de Basto)
Rede Ferroviária Nacional,葡萄牙國家鐵路網
Figueira dos Cavaleiros,菲盖拉-杜斯卡瓦莱鲁什
Coimbra,科英布拉區
Malta,马尔塔 (孔迪镇)
Santiago de Subarrifana,Santiago de Subarrifana
Freixiel,Freixiel
Leiria,萊里亞區
Cavez,塞韦兹
Arnoia,阿尔诺亚
Vila Caiz,Vila Caiz
Vila Garcia,Vila Garcia
Paraíso,Paraíso
Cepelos,塞佩卢什
Fornos,福尔努什
Ribadouro,Ribadouro
Soeira,Soeira
Águeda,阿格达 (葡萄牙堂区)
Campeonato Mundial de Corta-Mato de 2000,2000年世界越野錦標賽
Ribeira Brava,里韋拉布拉瓦
Calvos,卡沃斯
Malhadas,Malhadas
Bagueixe,Bagueixe
Baguim do Monte,巴金-杜蒙蒂
Bagunte,巴贡蒂
Tresouras,特雷索拉什
Nogueira,诺盖拉
São Martinho de Sardoura,São Martinho de Sardoura
Real,Real
Telões,Telões
Gemunde,Gemunde
Paços de Gaiolo,Paços de Gaiolo
São Lourenço do Douro,圣洛伦索-杜多鲁
Nossa Senhora da Graça dos Degolados,Nossa Senhora da Graça dos Degolados
Estação Ferroviária do Barreiro,巴雷鲁火车站
Estação Ferroviária de Alcântara-Mar,阿爾坎塔拉馬爾車站
Estação Ferroviária de Alcântara-Terra,阿尔坎塔拉-特拉火车站
Universidade do Porto,波爾圖大學
Massarelos,Massarelos
Gueifães,Gueifães
Samil,萨米尔
Milheirós,Milheirós
Mesquinhata,Mesquinhata
Santa Marinha,Santa Marinha
Caíde de Rei,Caíde de Rei
Marzagão,Marzagão (Carrazeda de Ansiães)
Palácio de Mateus,馬特烏斯宮
Aeródromo do Corvo,科尔武机场
Vila Cova,Vila Cova (Penafiel)
Aeroporto das Flores,弗洛雷斯機場
Aeroporto da Horta,奧爾塔
Santa Leocádia,Santa Leocádia
Rebordosa,Rebordosa
Louredo,Louredo
Campelo,Campelo
Silvares,Silvares
Serapicos,Serapicos
Medas,Medas
Vitória,Vitória (Porto)
Campeonato Português de Futebol - I Divisão 2011/2012,2011年至2012年葡萄牙足球超级联赛
São Pedro de Sarracenos,São Pedro de Sarracenos
Águeda,阿格達
Longueira/Almograve,Longueira / Almograve
Margaride,Margaride
Fermentelos,Fermentelos
Ferradosa,Ferradosa
Estação Ferroviária de Entrecampos,因特坎普火车站
Gare do Oriente,里斯本东站
Estação Ferroviária de Porto-Campanhã,坎帕尼揚車站
Águas Santas,Águas Santas (Maia)
Águas Santas,Águas Santas (Póvoa de Lanhoso)
Águas Vivas,Águas Vivas
Costa,科斯塔
Gondim,Gondim
Fregim,Fregim
Frende,Frende
Salvador do Monte,Salvador do Monte
Santa Maria de Sardoura,Santa Maria de Sardoura
Jazente,Jazente
Folgosa,福尔戈萨
Paramos,Paramos
Estação Ferroviária de Braço de Prata,银手臂火车站
A30,A30高速公路
Barcel,巴塞尔
Barcelinhos,巴塞利纽什
Barcelos,巴塞卢什 (弗雷格西亚)
Santa Marinha do Zêzere,Santa Marinha do Zêzere
Teixeiró,Teixeiró
Oliveira,Oliveira
Balazar,Balasar (Póvoa de Varzim)
Amares,阿马里什 (堂区)
Meixedo,Meixedo (Bragança)
Clube Desportivo de Tondela,唐迪拉體育會
Sobrado,Sobrado
