日本の元号,日本年號
車道駅,車道車站
桜本町駅,櫻本町車站
瑞穂運動場西駅,瑞穗運動場西車站
竹芝駅,竹芝站
セコム,SECOM
上野駅,上野站
山手駅,山手車站
津田沼駅,津田沼站
京都賞,京都獎
宇都宮駅,宇都宮車站
鶯谷駅,鶯谷站
大井町駅,大井町站
大宮駅・(埼玉県),大宮站·(埼玉縣)
王子駅,王子站
与野駅,與野車站
有楽町駅,有樂町站
大口駅,大口車站
四ツ谷駅,四谷站
横浜駅,橫濱站
大塚駅・(東京都),大塚站·(東京都)
琵琶湖線,琵琶湖線
大崎駅,大崎站
1998年長野オリンピックのスキージャンプ競技,1998年冬季奥林匹克运动会跳台滑雪比赛
幕末,幕末
磐梯朝日国立公園,磐梯朝日國立公園
バンダイビジュアル,萬代影視
獏,貘·(妖怪)
出雲市駅,出雲市站
大阪学院大学,大阪學院大學
首都高速11号台場線,首都高速11號台場線
国人,國人眾
東北福祉大学,東北福祉大學
新年会,春酒
聖心女子大学,聖心女子大學
首都高速4号新宿線,首都高速4號新宿線
高徳線,高德線
ケイ・エム・プロデュース,KM·Produce
人取橋の戦い,人取橋之戰
令制国,令制國
大東文化大学,大東文化大學
牟岐線,牟岐線
岡山電気軌道,岡山電氣軌道
高松駅・(香川県),高松車站·(香川縣)
渋谷区,澀谷區
尖閣諸島問題,釣魚臺列嶼主權問題
平安時代,平安时代
室戸市,室戶市
堺市,堺市
名和駅・(鳥取県),名和車站·(鳥取縣)
津幡町,津幡町
内灘町,內灘町
浜田市,濱田市
因島市,因島市
十勝郡,十勝郡
天草エアライン,天草航空
江ノ島電鉄線,江之島電鐵線
三和電子,三和電子
朝日新聞社,朝日新闻社
西表島,西表島
第39回衆議院議員総選挙,第39屆日本眾議院議員總選舉
衆議院,众议院·(日本)
内閣総理大臣官邸,內閣總理大臣官邸
北陸電力サッカー部アローズ北陸,北陆电力足球俱乐部
能美市,能美市
葛城市,葛城市
大山崎町,大山崎町
日本アカデミー賞,日本電影學院獎
東屯田通停留場,東屯田通停留場
あま市,海部市
日本国と中華人民共和国との間の平和友好条約,中日和平友好條約
古川市,古川市
関西国際空港,关西国际机场
弘前市,弘前市
西新宿,西新宿
阿寒湖,阿寒湖
八戸市,八戶市
北村山郡,北村山郡
太平駅,太平車站·(日本)
立川駅,立川站
高崎駅,高崎站·(日本)
巣鴨駅,巢鴨站
田端駅,田端站
戸塚駅,戶塚站
田町駅,田町站
高田馬場駅,高田馬場站
国道20号,國道20號·(日本)
大浦天主堂,大浦天主堂
小美玉市,小美玉市
川田駅,川田站
実用英語技能検定,實用英語技能檢定
日本科学未来館,日本科學未來館
別海町,別海町
鳥羽城,鳥羽城
佐多岬,佐多岬
延徳,延德
長谷駅・(神奈川県),長谷車站·(神奈川縣)
なにわ橋駅,難波橋站
不二家,不二家
中之島駅,中之島站·(大阪府)
伊達市・(福島県),伊達市·(福島縣)
吹上駅・(愛知県),吹上車站·(愛知縣)
上山口駅,上山口站
営団日比谷線中目黒駅構内列車脱線衝突事故,營團地下鐵日比谷線事故
名古屋港駅・(名古屋市営地下鉄),名古屋港車站·(名古屋市營地下鐵)
鵠沼駅,鵠沼車站
飯南町,飯南町
東海道新幹線,東海道新幹線
京田辺市,京田邊市
高浜市,高濱市
鳥栖市,鳥栖市
関市,关市
三輪山,三輪山
津島市,津島市
千葉都市モノレール,千葉都市單軌電車
行田市,行田市
糸満市,絲滿市
日南市,日南市
北野天満宮,北野天滿宮
福山市,福山市
甲府藩,甲府藩
ビィートレイン,BEE·TRAIN
日本書紀,日本書紀
ベヨネース列岩,巴榮納列岩
BEMANIシリーズ,Bemani系列
慶應義塾大学,慶應義塾大學
日本神話,日本神話
彌彦神社,彌彥神社
東京ディズニーシー・ホテルミラコスタ,東京迪士尼海洋觀海景大飯店
幕下,幕下·(相撲)
上野市駅,上野市站
北九州市立大学,北九州市立大學
東京ディズニーランドホテル,東京迪士尼樂園大飯店
序二段,序二段
シマノレーシング,禧瑪諾車隊
ディズニーアンバサダーホテル,迪士尼大使大飯店
日本未来の党,日本未來黨
西武新宿線,新宿線·(西武鐵道)
間所出入口,間所出入口
柞原八幡宮,柞原八幡宮
西寒多神社,西寒多神社
天草市,天草市
天草諸島,天草群島
甘粕事件,甘粕事件
神戸連続児童殺傷事件,酒鬼薔薇聖斗事件
歌舞伎町,歌舞伎町
箕面市,箕面市
後志総合振興局,後志綜合振興局
奄美市,奄美市
奄美群島,奄美群島
ISO・3166-2:JP,ISO·3166-2:JP
深川市,深川市
三条市,三條市
美唄市,美唄市
北広島市,北廣島市
城陽市,城陽市
豊明市,豐明市
沼田市,沼田市
ベネッセコーポレーション,倍樂生
中央市,中央市·(日本)
伊豆国,伊豆國
田井ノ浜駅,田井之濱站
インターチャネル,Interchannel
徳島駅,德島車站
摺上原の戦い,摺上原之戰
池田市,池田市
鳴門線,鳴門線
塩谷駅,鹽谷車站
気象庁,氣象廳·(日本)
土讃線,土讚線
銚子駅,銚子站
山鹿市,山鹿市
中津市,中津市
十七条憲法,十七条宪法
電気通信大学,電氣通信大學
沖の南岩,沖南岩
ゼクシズ,ZEXCS
早稲田大学大学院アジア太平洋研究科,早稻田大学大学院亚洲太平洋研究科
L0系,L0系高速列车
越後国,越後國
鳴門市,鳴門市
薩摩国,薩摩國
ドーム前千代崎駅,圓頂球場前千代崎站
総持寺駅,總持寺車站
旭日章,旭日章
国民精神総動員,國民精神總動員·(日本)
御殿場線,御殿场线
小千谷市,小千谷市
別府タワー,別府塔
慶良間諸島,慶良間群島
古墳時代,古坟时代
郷士,乡士·(日本)
東大寺,东大寺
秦野市,秦野市
旭区・(大阪市),旭區·(大阪市)
観音寺市,觀音寺市
松阪市,松阪市
伊賀市,伊賀市
丸亀市,丸龜市
今治市,今治市
六甲山,六甲山
有田町,有田町
浅草神社,淺草神社
立山町,立山町
第一三共,第一三共
猪苗代町,豬苗代町
歌舞伎,歌舞伎
平野区,平野區
東住吉区,東住吉區
宇土市,宇土市
重陽,重陽節
番付,番付表
鹿嶋市,鹿嶋市
半田市,半田市
高徳院,高德院
第44回衆議院議員総選挙,第44屆日本眾議院議員總選舉
豊中市,豐中市
河内長野市,河內長野市
鹿屋市,鹿屋市
能代市,能代市
宗像市,宗像市
羽島市,羽島市
真庭市,真庭市
魚津市,魚津市
大分市,大分市
煎餅,煎餅·(日本)
山陽小野田市,山陽小野田市
東かがわ市,東香川市
長岡京市,長岡京市
南国市,南國市
浪速区,浪速區
第3次小泉内閣・(改造),第三屆小泉內閣·(改組)
江南市,江南市
第1次小泉内閣・(第2次改造),第一屆小泉內閣·(第二屆改組)
幡生駅,幡生站
壱岐市,壹岐市
東大宮駅,東大宮站
横浜美術館,横滨美术馆
北海道庁旧本庁舎,北海道廳舊本廳舍
玉名市,玉名市
大分駅,大分站
尾道駅,尾道站
野木駅,野木站
古河駅,古河站·(日本)
幾寅駅,幾寅站
安中駅,安中站
志賀原子力発電所,志賀核能發電廠
石岡市,石岡市
蕨市,蕨市
須賀川市,須賀川市
熊野市,熊野市
阪南市,阪南市
多治見市,多治見市
柳井市,柳井市
国鉄EF57形電気機関車,日本國鐵EF57型電力機車
ミネベアミツミ,美蓓亚三美
美作市,美作市
小林市,小林市
人吉市,人吉市
三種の神器・(電化製品),三大件·(生活用品)
名古屋市立大学,名古屋市立大學
盛岡市,盛岡市
関西外国語大学,关西外国语大学
小金井駅,小金井站
西出雲駅,西出雲站
直方市,直方市
余市駅,余市車站
九州平定,九州征伐
仁木駅,仁木車站
蘭島駅,蘭島車站
TENGA,TENGA
大成駅,大成站·(北海道)
然別駅,然別車站
高松城・(讃岐国),高松城·(讚岐國)
箱根町,箱根町
外房線,外房線
壮瞥町,壯瞥町
熊本市,熊本市
北川内駅,北川內站
鳥羽市,鳥羽市
西予市,西予市
交野市,交野市
恵那市,惠那市
下呂市,下呂市
松山市,松山市
天満駅,天滿車站
宇部市,宇部市
栗原市,栗原市
倉敷市,倉敷市
琵琶湖,琵琶湖
岡山市,岡山市
阪急電鉄,阪急電鐵
雌阿寒岳,雌阿寒岳
餅,麻糬
名古屋市美術館,名古屋市美術館
内海町・(香川県),內海町·(香川縣)
伏見駅・(愛知県),伏見車站·(愛知縣)
日高本線,日高本線
飯舘村,飯館村
Verbatim,威寶公司
真言宗智山派,真言宗智山派
真駒内屋外競技場,真駒內開放體育場
登呂遺跡,登呂遺跡
杁ヶ池公園駅,杁池公園車站
瑞穂運動場東駅,瑞穗運動場東車站
草薙剣盗難事件,草薙劍竊盜事件
銀山駅,銀山車站
愛・地球博記念公園駅,愛·地球博紀念公園車站
妙音通駅,妙音通車站
公園西駅,公園西車站
芸大通駅,藝大通車站
第1次小泉内閣,第一屆小泉內閣
はなみずき通駅,花水木通車站
陶磁資料館南駅,陶瓷資料館南車站
三原市,三原市
長久手古戦場駅,長久手古戰場車站
茶屋ヶ坂駅,茶屋坂車站
昭和女子大学,昭和女子大學
準天頂衛星システム,準天頂衛星系統
上前津駅,上前津車站
本陣駅,本陣車站
名古屋大学駅,名古屋大學車站
栄駅・(愛知県),榮站·(愛知縣)
志賀本通駅,志賀本通車站
亀島駅,龜島車站
名人・(囲碁),名人·(圍棋)
可児郡,可兒郡
奥尻島,奧尻島
レベルファイブ,LEVEL-5
ジャイブ,JIVE
美里町・(熊本県),美里町·(熊本縣)
名寄市,名寄市
薩摩藩,薩摩藩
印旛郡,印旛郡
高知市,高知市
民主党・(日本・1998-2016),民主党·(日本1998年)
鎌倉市,镰仓市
竹原市,竹原市
横須賀市,橫須賀市
大坂の陣,大坂之役
裁判員制度,裁判員制度
オリコン,Oricon
東浦町,東浦町
目黒駅,目黑站
1964年東京オリンピックのメダル受賞数一覧,1964年夏季奥林匹克运动会奖牌榜
2000年シドニーオリンピックの柔道競技,2000年夏季奥林匹克运动会柔道比赛
袋井市,袋井市
中部国際空港,中部國際機場
先生,先生
赤穂事件,赤穗事件
羽咋市,羽咋市
バスケットボール女子日本リーグ,日本女子籃球聯盟
宇都宮市,宇都宮市
母島,母岛
竹富島,竹富島
鳥島・(八丈支庁),鳥島·(伊豆群島)
国立駅,國立站
安八町,安八町
日高山脈,日高山脈
堀田駅・(名古屋市営地下鉄),堀田車站·(名古屋市營地下鐵)
中村公園駅,中村公園車站
伊豆半島,伊豆半島
清水エスパルス,清水心跳
青森ねぶた,青森睡魔祭
Kalafina,Kalafina
幕張メッセ,幕張展覽館
平城京,平城京
八幡浜市,八幡濱市
高松市,高松市
鳥取市,鳥取市
三陸海岸,三陸海岸
国立国会図書館,國立國會圖書館
七ヶ浜町,七濱町
當麻寺,當麻寺
アムールプレート,阿穆尔板块
旭川市,旭川市
埼玉スタジアム2002,埼玉2002體育場
五霞町,五霞町
熱田神宮,熱田神宮
アクワイア・(ゲーム会社),Acquire
小松島市,小松島市
光市,光市
白石市,白石市
北緯38度線,北纬38度线
隠岐諸島,隱岐群島
アジアリーグアイスホッケー,亚洲冰球联赛
滑川市,滑川市
新宮市,新宮市
鹿島市,鹿島市
東京ゲームショウ,东京电玩展
岩泉町,岩泉町
保土ヶ谷宿,保土谷宿
庄内緑地公園駅,庄內綠地公園車站
戸田市,戶田市
本郷駅・(愛知県),本鄉車站·(愛知縣)
大須観音駅,大須觀音車站
東京都写真美術館,東京都寫真美術館
浄心駅,淨心車站
万葉仮名,萬葉假名
磐城国,磐城國
日活,日活
江南駅・(愛知県),江南站·(愛知縣)
宝塚市,寶塚市
八田駅,八田車站
岩塚駅,岩塚車站
掛川市,掛川市
浅間町駅,淺間町車站
新馬場駅,新馬場站
新栄町駅・(愛知県),新榮町車站·(愛知縣)
覚王山駅,覺王山車站
庄内通駅,庄內通車站
星ヶ丘駅・(愛知県),星丘車站·(愛知縣)
新宿コマ劇場,新宿KOMA劇場
旭駅・(千葉県),旭站·(千叶县)
東静岡駅,東靜岡車站
上社駅,上社車站
池下駅,池下車站
一社駅,一社車站
小田急50000形電車,小田急50000型電聯車
川名駅,川名車站
新宿住友ビルディング,新宿住友大厦
新宿NSビル,新宿NS大厦
笠岡市,笠岡市
109・(商業施設),109百貨
キャメロット・(ゲーム会社),Camelot
金沢大学,金澤大學
日本国と大韓民国との間の基本関係に関する条約,日韩基本条约
三浦市,三浦市
輪島市,輪島市
東松山市,東松山市
寒河江市,寒河江市
東根市,東根市
千種駅,千種車站
清水駅・(静岡県),清水車站·(靜岡縣)
山越駅,山越車站
荒畑駅,荒畑車站
浅草花やしき,浅草花屋敷
横浜・八景島シーパラダイス,橫濱八景島海島樂園
紀伊山地,紀伊山地
スーパーダッシュ文庫,Super·Dash文庫
磐田駅,磐田車站
弁天島・(稚内市),辯天島·(稚內市)
東急百貨店,東急百貨店
日本のポルノ,日本色情作品
中富良野町,中富良野町
日本車輌製造,日本車輛製造
大日駅,大日站
野間文芸賞,野间文艺奖
東北本線,東北本線
和歌山市,和歌山市
小郡市,小郡市
レクシスネクシス,律商联讯
長与町,長與町
東京地下鉄,東京地鐵
静岡県小笠山総合運動公園スタジアム,靜岡縣小笠山綜合運動公園體育場
CHEMISTRY,化學超男子
大分スポーツ公園総合競技場,大分體育公園綜合競技場
豊田市,丰田市
ロッテグループ,樂天·(1948年成立)
海士町,海士町
二本松市,二本松市
日本作曲家協会,日本作曲家协会
広島市立大学,广岛市立大学
丸森町,丸森町
2009年世界フィギュアスケート国別対抗戦,2009年世界花式滑冰團體錦標賽
紀伊国,紀伊國
備前市,備前市
宇陀市,宇陀市
黒川駅・(愛知県),黑川車站·(愛知縣)
伊豆の国市,伊豆之國市
東別院駅,東別院車站
矢場町駅,矢場町車站
井原市,井原市
名城公園駅,名城公園車站
前橋市,前橋市
福井市,福井市
千葉ロッテマリーンズ,千葉羅德海洋
日韓トンネル,日韩海底隧道
2005年の日本シリーズ,2005年日本大賽
硫黄島・(東京都),硫磺島
成人の日,成人之日
南アルプス市,南阿爾卑斯市
海部郡・(愛知県),海部郡·(愛知縣)
狭山市,狹山市
米原市,米原市
出雲市,出雲市
北杜市,北杜市
福田康夫内閣,福田康夫內閣
宋明理学,宋明理學
福津市,福津市
ソフトバンクグループ,軟銀集團
五島市,五島市
甲府市,甲府市
国会・(日本),國會·(日本)
大津市,大津市
1964年東京オリンピックのサッカー競技,1964年夏季奥林匹克运动会足球比赛
日中韓首脳会談,中日韩领导人会议
千葉マリンスタジアム,千葉海洋球場
阿南市,阿南市
在日本大韓民国民団,在日本大韩民国民团
山陰海岸国立公園,山陰海岸國立公園
2010年日本APEC,2010年日本APEC峰會
1972年ミュンヘンオリンピックの柔道競技,1972年夏季奥林匹克运动会柔道比赛
オリンパス,奧林巴斯
樫井の戦い,樫井之戰
伊勢神宮,伊势神宫
駿河国,駿河國
昭和町駅・(香川県),昭和町站·(香川縣)
伊勢国,伊勢國
りんくうタウン,臨空城
中央区・(神戸市),中央區·(神戶市)
仙台市地下鉄,仙台市地下鐵
府中市・(広島県),府中市·(廣島縣)
JR福知山線脱線事故,JR福知山線出軌事故
日本の琵琶,琵琶·(日本)
第20回参議院議員通常選挙,第20屆日本參議院議員通常選舉
建武の新政,建武新政
清水市,清水市
第2次森内閣・(改造・中央省庁再編後),第二屆森內閣·(改組·中央省廳再編後)
第37回衆議院議員総選挙,第37屆日本眾議院議員總選舉
ねじれ国会,較勁國會
兵庫県立大学,兵庫縣立大學
日本の文化,日本文化
渋川駅,澀川站
航空自衛隊,航空自衛隊
筑後国,筑後國
豊後国,豐後國
摂津国,攝津國
美濃国,美濃國
津市,津市
牛丼,牛丼
竹島問題,独岛主权争议
下関市,下关市
日本の警察,日本警察
神奈川大学,神奈川大學
鶴見区・(大阪市),鶴見區·(大阪市)
カナダ太平洋航空402便着陸失敗事故,加拿大太平洋航空402號班機空難
東淀川区,東淀川區
都島区,都島區
生野区,生野區
初島,初島
大和西大寺駅,大和西大寺站
富山湾,富山灣
城東区,城東區·(大阪市)
デミング賞,戴明獎
日本海呼称問題,日本海命名爭議
武蔵町,武藏町
宮城球場,宮城球場
阿倍野区,阿倍野區
能登半島,能登半島
三方ヶ原の戦い,三方原之戰
マキタ,牧田
中川郡・(天塩国),中川郡·(上川綜合振興局)
近鉄奈良線,奈良線·(近畿日本鐵道)
江坂駅,江坂站
2001年世界水泳選手権,2001年世界游泳錦標賽
田沢湖駅,田澤湖車站
瀬戸内市,瀨戶內市
日蓮正宗,日蓮正宗
ガイナックス,GAINAX
第18回参議院議員通常選挙,第18屆日本參議院議員通常選舉
山形国際ドキュメンタリー映画祭,山形國際紀錄片影展
タカタ・(企業),高田公司
日本の教育,日本教育
国縫駅,國縫車站
黒松内駅,黑松內車站
ボンズ・(アニメ制作会社),BONES·(動畫製作公司)
安食駅,安食站
スケバン,女番长
黒岩駅,黑岩車站
小沢駅,小澤車站
蕨岱駅,蕨岱車站
鷲ノ巣信号場,鷲之巢信號場
二股駅,二股車站
AKABEiSOFT2,AKABEiSOFT2
早稲田文学,早稻田文學
石倉駅,石倉車站
山崎駅・(北海道),山崎車站·(北海道)
静岡鉄道静岡清水線,靜岡清水線
中ノ沢駅,中之澤車站
伊豆急行線,伊豆急行線
北豊津信号場,北豐津信號場
本石倉駅,本石倉車站
熱郛駅,熱郛車站
富士屋ホテル,富士屋酒店
Lump・of・Sugar,Lump·of·Sugar
いりなか駅,杁中車站
伊豆諸島,伊豆群島
野田生駅,野田生車站
箱根・駒ヶ岳ロープウェー,箱根駒岳索道線
戦国時代・(日本),战国时代·(日本)
水戸市,水戶市
富山市,富山市
全日本空輸,全日本空輸
天売島,天賣島
天王寺区,天王寺區
淀川区,淀川區
八尾市,八尾市
富田林市,富田林市
日朝関係史,日本—朝鲜半岛关系
一橋大学,一橋大學
宮崎市,宮崎市
国際連合大学,联合国大学
FIFAコンフェデレーションズカップ2001,2001年洲際國家盃
丹沢山地,丹澤山地
アジアハイウェイ1号線,亞洲公路1號線
Perfume,Perfume·(日本音樂團體)
石狩市,石狩市
御崎公園球技場,御崎公園球技場
宮城スタジアム,宮城體育場
茨城県立カシマサッカースタジアム,茨城縣立鹿嶋足球場
銚子市,銚子市
M-flo,M-flo
うるま市,宇流麻市
第40回衆議院議員総選挙,第40屆日本眾議院議員總選舉
東京国際空港,東京國際機場
都留文科大学,都留文科大學
北茨城市,北茨城市
石垣市,石垣市
日本自由党・(1945-1948),日本自由黨·(1945年)
中野市,中野市
第32回衆議院議員総選挙,第32屆日本眾議院議員總選舉
伊達市・(北海道),伊達市·(北海道)
札幌医科大学,札幌醫科大學
青森公立大学,青森公立大學
本場所,本場所
王政復古・(日本),王政复古
社会民主党・(日本・1996-),社会民主党·(日本)
公立はこだて未来大学,公立函館未來大學
旭川医科大学,旭川醫科大學
山形市,山形市
新潟スタジアム,新潟體育場
日本テレビ放送網,日本電視台
東関東自動車道,東關東自動車道
小諸市,小諸市
東京都美術館,東京都美術館
アメヤ横丁,阿美橫丁
男女群島,男女群島
ウェザーニューズ,氣象新聞公司
金大中事件,金大中绑架事件
八坂神社,八坂神社
紋別市,紋別市
千歳市,千歲市
岩見沢市,岩見澤市
羽曳野市,羽曳野市
守口市,守口市
湘南ベルマーレ,湘南比馬
富里市,富里市
山手線,山手線
桜井線,櫻井線
早川駅,早川車站
根府川駅,根府川站
鴨宮駅,鴨宮車站
貴生川駅,貴生川車站
櫛田神社・(福岡市),櫛田神社·(福岡市)
館林駅,館林站
真鶴駅,真鶴車站
江戸城,江戶城
小学館漫画賞,小学馆漫画赏
山形県立保健医療大学,山形縣立保健醫療大學
新宿,新宿
流通経済大学,流通經濟大學
神戸電鉄,神戶電鐵
鹿屋体育大学,鹿屋体育大学
滋賀医科大学,滋賀醫科大學
釧路公立大学,釧路公立大學
関門海峡,關門海峽
札幌ドーム,札幌巨蛋
長居陸上競技場,長居陸上競技場
赤塚駅,赤塚站
四国大学,四國大學
馬橋駅,馬橋車站
院政,院政
国府津駅,國府津站
三河島駅,三河島站
大磯駅,大磯車站
柏駅,柏站
日本の政治,日本政治
ニート,尼特族
綾部市,綾部市
筑西市,筑西市
九州電力,九州電力
バレーボール日本男子代表,日本國家男子排球隊
江戸幕府,江户幕府
鈴鹿市,鈴鹿市
パーフェクト・リバティー教団,完美自由教團
徳島市,德島市
利尻島,利尻島
松江市,松江市
國學院大學,国学院大学
壱岐島,壹岐島
伊予市,伊予市
久慈市,久慈市
風船爆弾,气球炸弹
佐久市,佐久市
蒲郡市,蒲郡市
二戸市,二戶市
七尾市,七尾市
浦添市,浦添市
碧南市,碧南市
富士見市,富士見市
泉南市,泉南市
常陸大宮市,常陸大宮市
福島第二原子力発電所,福島第二核電廠
駒ヶ根市,駒根市
岩国藩,岩國藩
日本銀行券,日本银行券
胆振支庁,膽振支廳
十三駅,十三站
きのさき・(列車),城崎號列車
徳重駅・(名古屋市),德重車站
池田駅・(大阪府),池田站·(大阪府)
留萌支庁,留萌支厅
海老名駅,海老名站
工画堂スタジオ,工畫堂工作室
石橋阪大前駅,石橋阪大前站
沖縄社会大衆党,冲绳社会大众党
三国駅・(大阪府),三國站·(大阪府)
新城市,新城市
尾張旭市,尾張旭市
神楽岡駅,神樂岡車站
昆布駅,昆布車站
AKB48劇場,AKB48劇場
森駅・(北海道),森車站·(北海道)
落部駅,落部車站
蘭越駅,蘭越車站
Taspo,Taspo
多度津駅,多度津站
石谷信号場,石谷信號場
谷中霊園,谷中靈園
古河市,古河市
ポケモンジェット,寶可夢飛機
植田駅・(名古屋市),植田車站·(名古屋市)
四国中央市,四國中央市
常陸太田市,常陸太田市
茅野市,茅野市
岡谷市,岡谷市
大和高田市,大和高田市
元赤坂,元赤坂
大山観光電鉄大山鋼索線,大山鋼索線
新横浜ラーメン博物館,新横滨拉面博物馆
駒ヶ岳駅,駒岳車站
三井記念美術館,三井紀念美術館
東山駅・(北海道),東山車站·(北海道)
姫川信号場,姬川信號場
桂川駅・(北海道),桂川車站·(北海道)
赤坂サカス,赤坂Sacas
JR,JR
伊豆箱根鉄道,伊豆箱根鐵道
草津線,草津線
大原郡,大原郡
SENGOKU・RAIDEN・CHAMPIONSHIP,戰極
上大岡駅,上大岡車站
貨幣博物館,貨幣博物館·(日本)
稲敷市,稻敷市
梅屋敷駅・(東京都),梅屋敷站·(東京都)
江田島市,江田島市
弥生時代,彌生時代
スクウェア・エニックス,史克威尔艾尼克斯
市原市,市原市
元寇,元日战争
三沢市,三澤市
2007年世界陸上競技選手権大会,2007年世界田径锦标赛
黒石市,黑石市
天皇,天皇
日本の地域,日本地理分区
三次市,三次市
津久見市,津久見市
新庄市,新庄市
貝殻島,貝殼島
連合国軍占領下の日本,同盟國軍事佔領日本
潮来市,潮來市
佐賀市,佐賀市
南あわじ市,南淡路市
富津市,富津市
佐倉市,佐倉市
那須塩原市,那須鹽原市
勝浦市,勝浦市
角田市,角田市
菊花章,大勳位菊花章
種子島,種子島
大垣藩,大垣藩
石狩支庁,石狩支厅
上九一色村,上九一色村
空知支庁,空知支厅
十勝支庁,十胜支厅
鳥栖駅,鳥栖車站
上川支庁,上川支厅
渡島支庁,渡島支廳
高田藩,高田藩
根室支庁,根室支厅
稚内駅,稚內車站
自由民主党の派閥,自由民主黨派閥
後志支庁,后志支厅
釧路支庁,钏路支厅
宗谷支庁,宗谷支厅
日高支庁,日高支厅
SMC,SMC公司
室蘭市,室蘭市
喜多方市,喜多方市
四国旅客鉄道,四國旅客鐵道
姫新線,姬新線
西日本鉄道,西日本鐵道
松下政経塾,松下政經塾
南鹿児島駅,南鹿兒島車站
慈眼寺駅,慈眼寺站
門司駅,門司車站
三保の松原,三保之松原
八王子市,八王子市
常滑市,常滑市
Α・(カメラ),索尼α
和泉市,和泉市
守谷市,守谷市
山梨市,山梨市
郵政民営化,日本邮政民营化
江別市,江別市
五所川原市,五所川原市
出雲大社,出雲大社
さくら市,櫻市
豊岡市,豐岡市
白山市,白山市·(日本)
登米市,登米市
日光東照宮,日光東照宮
八重山列島,八重山群島
相馬市,相馬市
香芝市,香芝市
ひたちなか市,常陸那珂市
尾道市,尾道市
津山市,津山市
飯田市,飯田市
府中市・(東京都),府中市·(東京都)
福岡藩,福岡藩
阪急阪神ホールディングス,阪急阪神控股
首都圏新都市鉄道,首都圈新都市鐵道
七色いんこ,七色鸚哥
すすきの,薄野
上郡駅,上郡站
海南市,海南市
高等専門学校,高等專門學校
トキワ荘,常盤莊
ウチナーヤマトグチ,沖繩日語
行政書士,行政书士
2010年の日本シリーズ,2010年日本大賽
山口市,山口市
知多市,知多市
境港市,境港市
塩竈市,鹽竈市
橿原市,橿原市
門真市,門真市
富士宮市,富士宮市
大仙市,大仙市
北上市,北上市
横手市,橫手市
桑名市,桑名市
平川市,平川市
九七式艦上攻撃機,九七式艦上攻擊機
矢板市,矢板市
檜山支庁,檜山支廳
大東亜共栄圏,大東亞共榮圈
島原の乱,島原之亂
鹿角市,鹿角市
第4回参議院議員通常選挙,第4屆日本參議院議員通常選舉
西新井駅,西新井站
薩長同盟,萨长同盟
流山おおたかの森駅,流山大鷹之森站
55年体制,55年體制
湯河原駅,湯河原站
笹塚駅,笹塚站
つつじヶ丘駅,杜鵑丘站
自由ヶ丘駅,自由丘車站·(愛知縣)
千歳烏山駅,千歲烏山站
法務大臣,法務大臣
いすみ市,夷隅市
朝鮮大学校・(日本),朝鮮大學校·(日本)
東御市,東御市
養父市,養父市
伊那市,伊那市
西脇市,西脇市
高砂市,高砂市
鶴見小野駅,鶴見小野站
八潮市,八潮市
鶴ヶ島市,鶴島市
谷山駅・(鹿児島県),谷山車站·(JR九州)
名古屋市交通局,名古屋市交通局
安栖里駅,安栖里車站
宮崎空港線,宮崎機場線
愛野駅・(静岡県),愛野車站·(靜岡縣)
穂積駅,穗積車站
柏原駅・(滋賀県),柏原車站·(滋賀縣)
由比駅,由比車站
金谷駅,金谷車站·(日本)
総合リハビリセンター駅,綜合復健中心車站
高塚駅,高塚車站
鍼灸大学前駅,鍼灸大學前車站
長森駅,長森站
笠寺駅,笠寺車站
富山テレビ放送,富山電視台
三角線,三角線·(九州旅客鐵道)
佐津駅,佐津車站
姫路市,姬路市
中日ドラゴンズ,中日龍
西武拝島線,拜島線
朱雀門,朱雀門·(日本)
日本国旅券,日本護照
平城宮,平城宫
多良間島,多良間島
オーディオテクニカ,铁三角
お台場,御台場
賀茂別雷神社,賀茂別雷神社
水納島・(沖縄県本部町),水納島·(沖繩群島)
武蔵野市,武藏野市
玄界灘,玄界灘
真岡市,真岡市
花見,花見
町田市,町田市
焼津市,燒津市
伊豆市,伊豆市
岩倉使節団,岩倉使節團
三笠・(戦艦),三笠號戰艦
滝川事件,瀧川事件
紀の川市,紀之川市
入間市,入間市
相模原市,相模原市
市川市,市川市
検非違使,檢非違使
神栖市,神栖市
神沢駅,神澤車站
立花山城,立花山城
パナソニック・エコシステムズ,松下環境系統
相生山駅,相生山車站
第46回衆議院議員総選挙,第46屆日本眾議院議員總選舉
鳴子北駅,鳴子北車站
日野自動車,日野汽车
札樽自動車道,札樽自動車道
美瑛駅,美瑛車站
耶馬渓,耶馬溪
道東自動車道,道東自動車道
三菱鉛筆,三菱鉛筆
福井駅・(福井県),福井車站·(福井縣)
道央自動車道,道央自動車道
オリエンタルランド,Oriental·Land
越谷市,越谷市
連署,連署·(役職)
首都高速中央環状線,首都高速中央環狀線
2011年バスケットボール女子アジア選手権,2011年亞洲女子籃球錦標賽
首都高速1号羽田線,首都高速1號羽田線
会津鉄道,會津鐵道
彼岸,彼岸·(節日)
本宮市,本宮市
豊田駅,豐田站·(東京都)
大創産業,大創百貨
なにわの海の時空館,大阪市立海洋博物館
豊予海峡,丰予海峡
幸手市,幸手市
フェンリル・(企業),Fenrir·(公司)
カトリック福岡司教区,天主教福岡教區
鳩ヶ谷市,鳩谷市
奄美大島,奄美大島
