Paris,파리
Boulogne-Billancourt,불로뉴비양쿠르
Rieux,리외
ligne 11,파리 메트로 11호선
ligne 12,파리 메트로 12호선
ligne 13,파리 메트로 13호선
Renault F1 Team,르노 F1
Montauban,몽토방
ligne 14,파리 메트로 14호선
Saint-Gorgon,생고르공
îles Marquises,마르키즈 제도
Spézet,스페제
morbier,모르비에
Simca,심카
Roubia,루비아
bataille de Poitiers,투르 푸아티에 전투
Union pour un mouvement populaire,대중운동연합
Serbes,세르비아인
Gevrey-Chambertin,제브레샹베르탱
Vélieux,벨리외
Centre national d'art et de culture Georges-Pompidou,조르주 퐁피두 센터
Épinal,에피날
Laure-Minervois,로르미네르부아
Grasse,그라스
Lux,Lux
Art déco,아르 데코
canton de Cognac-Nord,코냐크노르 캉통
massif du Jura,쥐라산맥
Béziers,베지에
Colombes,콜롱브
Formula One Group,포뮬러 원 그룹
Air Tahiti,에어 타히티
Beauvais,보베
Villebougis,빌부지
Aurillac,오리야크
homme de Cro-Magnon,크로마뇽인
empire colonial français,프랑스 식민제국
Mâcon,마콩
cinémathèque française,시네마테크 프랑세즈
république de Gênes,제노바 공화국
Auguste et Louis Lumière,뤼미에르 형제
École nationale de l'aviation civile,프랑스 국립 항공 대학교
Châteauroux,샤토루
Albanais,알바니아인
Salon du Bourget,파리 에어쇼
Gouvernement Lionel Jospin,조스팽 내각
Saint-Mihiel,셍미이엘
mur de l'Atlantique,대서양 방벽
Grand Prix automobile de France 2008,2008년 포뮬러 원 프랑스 그랑프리
César du cinéma,세자르상
Fédération internationale de l'automobile,국제 자동차 연맹
La Roche-Bernard,라로슈베르나르
Saint-Dolay,생돌레
Thales Alenia Space,탈레스 알레니아 스페이스
édit de Nantes,낭트 칙령
Palme d'or,황금종려상
Gagny,가니
Andance,앙당스
Colombier-le-Cardinal,콜롱비에르카르디날
Livry-Gargan,리브리가르강
Navarrenx,나바렝스
Club des jacobins,자코뱅당
liste des communes de l'Aube,오브주의 코뮌 목록
Champagne,샹파뉴
Gap,가프
place de la République,레퓌블리크 광장
Menton,망통
13e arrondissement de Paris,파리 13구
Villejuif,빌쥐프
L'Haÿ-les-Roses,라이레로즈
cathédrale Notre-Dame de Chartres,샤르트르 대성당
Chaveroche,샤브로슈
expresso,에스프레소
Saint-Girons,생지론
triple saut masculin aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 세단뛰기
marathon masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 마라톤
athlétisme aux Jeux olympiques de 1900 – saut à la perche hommes,1900년 하계 올림픽 육상 남자 장대높이뛰기
Le Mans Football Club,르망 FC
Baneins,바냉
Gourdon,구르동
Association médicale mondiale,세계의사회
Bellignat,벨리냐
Bénonces,베농스
Grande Chartreuse,그랑드 샤르트뢰즈
île Saint-Louis,생루이섬
Les Très Riches Heures du duc de Berry,베리공의 매우 호화로운 기도서
Champfromier,샹프로미에
Chanay,샤네
Biziat,비지아
Fauconnerie,매사냥
Montpon-Ménestérol,몽퐁메네스테롤
Béon,베옹
Béligneux,벨리뇌
Brens,브랑
Échirolles,에시롤
Montparnasse,카르티에 뒤 몽파르나스
groupe B de la Coupe du monde de football 1998,1998년 FIFA 월드컵 B조
Compiègne,콩피에뉴
Le Pré-Saint-Gervais,르프레생제르베
Châteaubriant,샤토브리앙
Brégnier-Cordon,브레니에코르동
Arandas,아랑다
Cambrai,캉브레
Alençon,알랑송
Briord,브리오르
Aisy-sur-Armançon,에지쉬르아르망송
Digne-les-Bains,디뉴레뱅
Les Sables-d'Olonne,레사블돌론 (구)
Lézignan-Corbières,레지냥코르비에르
Auch,오슈
Aigues-Vives,에그비브
Belleydoux,벨레두
Saint-Lô,생로
Valenciennes FC,발랑시엔 FC
Châteaudun,샤토됭
Nogent-sur-Marne,노장쉬르마른
Aix-les-Bains,엑스레뱅
aérodrome de Futuna Pointe Vele,푸앵트벨 공항
Châtillon-en-Michaille,샤티용앙미셰유
calendrier républicain,프랑스 혁명력
Argenteuil,아르장퇴유
Campeaux,캉포
Tourcoing,투르쿠앙
Saint-Quentin,생캉탱
Sens,상스
Beaulieu,볼리외
traité de Sèvres,세브르 조약
Auvers-sur-Oise,오베르쉬르우아즈
Fontainebleau,퐁텐블로
France métropolitaine,프랑스 본토
Bora-Bora,보라보라섬
championnat d'Europe de football 1984,UEFA 유로 1984
Côte d'Azur,코트다쥐르
Conflans-Sainte-Honorine,콩플랑생토노린
Institut polytechnique des sciences avancées,고급 과학 폴리 테크닉 연구소
Coupe de France de football,쿠프 드 프랑스
La Boisse,라부아스
Brunoy,브뤼누아
Tour de l'Avenir,투르 드 라브니르
AJ Auxerre,AJ 오세르
Ceyzérieu,세제리외
Bois-Colombes,부아콜롱브
Dieppe,디에프
Le Radeau de La Méduse,메두사호의 뗏목
Bayeux,바이외
Conzieu,콩지외
Arromanches-les-Bains,아로망슈레뱅
Accor,아코르
Windward Islands,윈드워드 제도
Laval,라발
Brénaz,브레나즈
franc français,프랑스 프랑
ancien canton français,프랑스의 캉통
Le Puy-en-Velay,르피앙블레
Charenton-le-Pont,샤랑통르퐁
Tarbes,타르브
Moulins,물랭
îles Tuamotu,투아모투 제도
Niort,니오르
Sedan,스당
Saint-Mard,생마르
Aubagne,오바뉴
Saint-Germain-en-Laye,생제르맹앙레
OGC Nice,OGC 니스
basilique Saint-Denis,생드니 대성당
Cholet,숄레
arrondissement de Saint-Germain-en-Laye,생제르맹앙레유 아롱디스망
Aigle Azur,아이글 아주르
Foix,푸아
Annemasse,안마스
Certines,세르틴
Rhône-Poulenc,론풀랑크
Denain,드냉
Romain,로맹
Bureau international des poids et mesures,국제 도량형국
Réméréville,레메레빌
Choisy-le-Roi,슈아시르루아
château d'Ussé,위세성
Chaligny,샬리니
Entzheim,엔츠하임
Chavigny,샤비니
Castelsarrasin,카스텔사라쟁
Graye-sur-Mer,그레쉬르메르
Houdemont,우드몽
Le Blanc,르블랑
Magny-en-Bessin,마니앙베생
Bischwiller,비슈빌레르
Daft Punk,다프트 펑크
Montreuil-sur-Mer,몽트뢰유쉬르메르
Bolozon,볼로종
4e arrondissement de Paris,파리 4구
Bouligneux,불리뉴
Saint-Pierre,생피에르
Ayherre,에에르
Bény,베니
Bar-le-Duc,바르르뒤크
La Baule-Escoublac,라볼에스코블라크
Montmartre,몽마르트르
La Ciotat,라시오타
Villefranche-de-Rouergue,빌프랑슈드루에르그
17e arrondissement de Paris,파리 17구
Charolles,샤롤
gymnastique aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 체조
estuaire de la Gironde,지롱드강
Corte,코르트
Honfleur,옹플뢰르
Le Bény-Bocage,르베니보카주
Saint-Nabord,생나보르
Forces françaises de l'intérieur,프랑스 국내군
université de Versailles-Saint-Quentin-en-Yvelines,베르사유 - 세인트 쿠엔틴 실내 이블린 대학교
Barbizon,바르비종
Saint-Jean-de-Luz,생장드뤼즈
Chouain,슈앵
13e régiment de dragons parachutistes,제13낙하산용기병연대
Anctoville,앙크토빌
traité de Paris,파리 조약 (1815년)
Salon-de-Provence,살롱드프로방스
Bauquay,보케
prix Goncourt,공쿠르상
Yonne,욘강
La Teste-de-Buch,라테스트드뷔크
Béarn,베아르
Couilly-Pont-aux-Dames,쿠이퐁토담
Cleurie,클뢰리
14e arrondissement de Paris,파리 14구
Alfortville,알포르빌
Villers-Cotterêts,빌레르코트레
Manosque,마노스크
société d'Ancien Régime,앙시앵 레짐
Saint-Raphaël,생라파엘
Trèbes,트레브
Vallauris,발로리
île Tromelin,트로믈랭섬
palais des Tuileries,튀일리궁
Aude,오드강
Vitré,비트레
Sainte-Geneviève-des-Bois,생트준비에브데부아
Hérouville-Saint-Clair,에루빌생클레르
Tapisserie de Bayeux,바이외 태피스트리
Meudon,뫼동
Montélimar,몽텔리마르
24 Heures du Mans,르망 24시
Gradignan,그라디냥
Tarascon,타라스콩
Quimperlé,캥페를레
drapeau basque,이쿠리냐
Puteaux,퓌토
Villiers-sur-Marne,빌리에쉬르마른
franc Pacifique,CFP 프랑
Pays catalans,카탈루냐어권
Villenave-d'Ornon,빌나브도르농
Le Plessis-Robinson,르플레시로뱅송
Orly,오를리
Stains,스탱
Miramas,미라마
Saint-Chamond,생샤몽
7e arrondissement de Paris,파리 7구
Le Raincy,르랭시
Ciboure,시부르
Lodève,로데브
liste des communes des Bouches-du-Rhône,부슈뒤론주의 코뮌 목록
Sannois,사누아
Mauléon-Licharre,몰레옹리샤르
liste des communes de l'Aisne,엔주의 코뮌 목록
Saône,손강
Pays celtiques,켈트 국가
La Garenne-Colombes,라가렌콜롱브
Orange,오랑주
Aire-sur-la-Lys,에르쉬르라리스
palais Garnier,오페라 가르니에
Villiers-le-Bel,빌리에르벨
massif des Vosges,보주산맥
Bergerac,베르제라크
Île-d'Aix,일덱스
Vernon,베르농
Romorantin-Lanthenay,로모랑탱 랑트네
Sorbonne,소르본
Cessy,세시
Bondy,봉디
île Juan de Nova,주앙데노바섬
France au Moyen Âge,중세 프랑스
Le Chesnay,르셰네
Vendôme,방돔
Challex,샬렉스
Mont-de-Marsan,몽드마르상
Montfermeil,몽페르메유
liste des communes de l'Ain,앵주의 코뮌 목록
TF1,TF1
34e cérémonie des César,제34회 세자르상
Fréjus,프레쥐스
Ubisoft,유비소프트
palais de l'Élysée,엘리제궁
Guyancourt,기앙쿠르
Beaupont,보퐁
Corlier,코를리에
Guéret,게레
Légion étrangère,프랑스 외인부대
Tir à la corde aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 줄다리기
Corbonod,코르보노
Franconville,프랑콩빌
Martigues,마르티그
Bourg-Saint-Maurice,부르생모리스
Voiron,부아롱
Sénat,프랑스 상원
Le Figaro,르 피가로
Belley,벨레
Grigny,그리니
Victoire de Samothrace,사모트라케의 니케
Annonay,아노네
Vallon-Pont-d'Arc,발롱퐁다르크
Académie des sciences,프랑스 과학 아카데미
"Candide, ou l'Optimisme",캉디드
Viêt,킨족
Réseau express régional d'Île-de-France,RER
Bezons,브종
Lisieux,리지외
Festival de Cannes 1999,1999년 칸 영화제
Castres,카스트르
Saint-Médard-en-Jalles,생메다르앙잘
bataille d'Arras,아라스 전투
Mandelieu-la-Napoule,망들리외라나풀
Pont-Aven,퐁타방
Romans-sur-Isère,로망쉬르이제르
arche de la Défense,신개선문
Dax,닥스
Panthéon,팡테옹
Croix,크루아
5e arrondissement de Paris,파리 5구
Ermont,에르몽
Féniers,페니에
hôtel des Invalides,앵발리드
liste des communes des Alpes-Maritimes,알프마리팀주의 코뮌 목록
équipe de Tahiti de football,타히티 축구 국가대표팀
route de l'ambre,호박의 길
Azille,아질
Rodez,로데즈
Baudricourt,보드리쿠르
roquefort,로크포르
Salon de Paris,살롱 드 파리
Saint-Cloud,생클루
rocher du Diamant,다이아몬드 록
Saint-Amé,생타메
place de la Concorde,콩코르드 광장
Les Ulis,레윌리스
conférence de paix de Paris,파리 강화 회의
Uzès,위제스
Chantepie,샹트피
Sornéville,소르네빌
championnat d'Europe de football 2016,UEFA 유로 2016
pont du Gard,가르교
Dompierre,동피에르
championnats du monde d'athlétisme 2003,2003년 세계 육상 선수권 대회
prix Jean-Nicod,장 니코드 상
Courbevoie,쿠르브부아
allemand supérieur,상부 독일어
île de la Cité,시테섬
Cent-Jours,백일천하
Festival de Cannes 1991,1991년 칸 영화제
Y,이
Chatou,샤투
Yser,이제르강
Dassault Mirage 2000,다소 미라주 2000
Montrouge,몽루주
Montigny-le-Bretonneux,몽티니르브르토뇌
La Roche-sur-Yon,라로슈쉬르용
Camembert,카망베르
Aubusson,오뷔송
18e arrondissement de Paris,파리 18구
Eaubonne,오본
Villepinte,빌팽트
Hénin-Beaumont,에냉보몽
Goussainville,구생빌
Élancourt,엘랑쿠르
Saint-Léonard-de-Noblat,생레오나르드노블라
liste des communes de l'Ariège,아리에주주의 코뮌 목록
Malvalette,말발레트
Lanmeur,랑뫼르
Jarnac,자르나크
Brion,브리옹
Balan,발랑
îles Éparses de l'océan Indien,인도양의 흩뿌려진 섬
Château-Chinon,샤토시농
Massif central,마시프상트랄
provençal,프로방스어
Porto-Vecchio,포르토베키오
Nicolas Bourbaki,니콜라 부르바키
Oise,우아즈강
Autun,오툉
première bataille de la Marne,1차 마른 전투
Givet,지베
cinéma français,프랑스의 영화
Dassault Rafale,다소 라팔
géographie de la France,프랑스의 지리
15e arrondissement de Paris,파리 15구
Marigot,마리고
Sartène,사르텐
championnat de France de football de deuxième division,리그 2
Sibiril,시비릴
Oradour-sur-Glane,오라두르쉬르글란
Rambouillet,랑부예
Gascogne,가스코뉴
liste des communes de la Martinique,마르티니크의 코뮌 목록
Le Marin,르마랭
liste des communes des Ardennes,아르덴주의 코뮌 목록
émeutes de 2005 dans les banlieues françaises,2005년 파리 교외 소요사태
Marine nationale,프랑스 해군
Saintes,생트
Agde,아그드
Sète,세트
Flamands,플라망인
Cinquième République,프랑스 제5공화국
Arcachon,아르카숑
La Courtine,라쿠르틴
Ézanville,에장빌
Alaigne,Alaigne
Saint-Laurent-du-Var,생로랑뒤바르
Bellegarde-sur-Valserine,벨가르드쉬르발세린
Carrefour,까르푸
Draveil,드라베이
Champs-sur-Marne,샹쉬르마른
Tremblay-en-France,트랑블레앙프랑스
Louis Vuitton,루이비통
Asnières-sur-Seine,아니에르쉬르센
Institut Gustave-Roussy,Institut Gustave-Roussy
Méréville,메레빌
Champ-de-Mars,마르스 광장
Châtenay-Malabry,샤트네말라브리
Dinan,디낭
Montgeron,몽주롱
Liévin,리에뱅
Camargue,카마르그
Plabennec,플라베네크
château de Fontainebleau,퐁텐블로궁
Mende,망드
Drancy,드랑시
Chanel,샤넬
Anglet,앙글레트
Pontoise,퐁투아즈
RC Lens,RC 랑스
Oyonnax,오요나
Azay-le-Rideau,아제르리도
Algérie française,프랑스령 알제리
ITER,국제열핵융합실험로
FC Nantes,FC 낭트
Saint-Gilles,생질
affaire XYZ,XYZ 사건
président de la République française,프랑스의 대통령
bataille de Poitiers,푸아티에 전투
archipel Crozet,크로제 제도
Les Pennes-Mirabeau,레펜미라보
Pont-Saint-Esprit,퐁생테스프리
Stade brestois 29,스타드 브레스트 29
Cerdon,세르동
Gerbamont,제르바몽
Galeries Lafayette Haussmann,라파예트 백화점
Beaumont-sur-Oise,보몽쉬르우아즈
Longjumeau,롱쥐모
Ambérieu-en-Bugey,앙베리유앙뷔제
Marignane,마리냔
Clichy,클리시
Eurocopter EC225,유로콥터 EC225
stade Vélodrome,스타드 벨로드롬
Évry,에브리
Vence,방스
département d'outre-mer français,해외 데파르트망
Morlaix,모를레
Bègles,베글
Calvi,칼비
Talence,탈랑스
Ouessant,우에상
Cabourg,카부르
Carpentras,카르팡트라
Gex,젝스
Champigny-sur-Marne,샹피니쉬르마른
Le Bouscat,르부스카
Hyères,예르
Bâgé-le-Châtel,바제르샤텔
Coutances,쿠탕스
Papauté d'Avignon,아비뇽 유수
Pencran,펜크란
division territoriale française,프랑스의 행정 구역
liste des communes du Calvados,칼바도스주의 코뮌 목록
Le Petit-Quevilly,르프티케비
canal du Midi,미디 운하
Saint-Soupplets,생수플레
Collège de France,콜레주 드 프랑스
Saint-Émilion,쌩떼밀리옹
Apremont,아프르몽
Saint-Prix,생프리
Creully,크뢸리
Saint-Jean-Cap-Ferrat,생장카프페라
Aulnay-sous-Bois,올네수부아
Olivet,올리베
Coudekerque-Branche,쿠드케르크브랑슈
Limoux,리무
Saint-Martin-d'Hères,생마르탱데르
Provins,프로뱅
Désertines,데제르틴
Le Désert,르데제르
Briançon,브리앙송
Millau,미요
zone rouge,존 루주
Parti communiste français,프랑스 공산당
Convention nationale,국민공회
Saint-Vigor-des-Mézerets,생비고르데메즈레
Fontenay-aux-Roses,퐁트네오로즈
Névian,네비앙
Joué-lès-Tours,주에레투르
Langres,랑그르
traité de Neuilly,뇌이 조약
Savigny-sur-Orge,사비니쉬르오르주
Saint-Frichoux,생프리슈
Trausse,트로스
abbaye de Cluny,클루니 수도원
Vesoul,브줄
Le Mesnil-Auzouf,르메닐오주프
île du Diable,악마섬
France d’outre-mer,해외 프랑스
Privas,프리바
île Europa,유로파섬
Saint-Étienne-lès-Remiremont,생테티엔레르미르몽
Perrigny-sur-Armançon,페리니쉬르아르망송
Lons-le-Saunier,롱르소니에
Chalon-sur-Saône,샬롱쉬르손
colonne de Juillet,7월 기념비
Vire,비르
Lacapelle-Biron,라카펠 비롱
Riom-ès-Montagnes,리오메스몽타뉴
Mougins,무쟁
Villeneuve-Saint-Georges,빌뇌브생조르주
Istres,이스트르
Orthez,오르테즈
Garges-lès-Gonesse,가르주레고네스
château de Chenonceau,슈농소성
Fécamp,페캉
Sainte-Chapelle,생트샤펠
Amayé-sur-Seulles,아마예쉬르쇨
Saint-Privat-des-Vieux,생프리바데비외
Alès,알레스
Athis-Mons,아티스몽스
Neuilly-sur-Marne,뇌이쉬르마른
Montluçon,몽뤼송
Saint-Folquin,생폴캥
Bonifacio,보니파치오
Saint-Maur-des-Fossés,생모르데포세
Lambersart,랑브르사르
Saint-Étienne-du-Grès,생테티엔뒤그레
Andert-et-Condon,앙드르트콩통
Montreuil,몽트뢰유
Festival de Cannes 1965,1965년 칸 영화제
Ambérieux-en-Dombes,앙베리유앙동브
Arbignieu,아르비뉴
Stade Malherbe Caen,SM 캉
Pépieux,페피외
Parc des Princes,파르크 데 프랭스
Moustiers-Sainte-Marie,무스티에생트마리
Avranches,아브랑슈
Romont,로몽
Condé-en-Brie,콩데앙브리
Trévoux,트레부
19e arrondissement de Paris,파리 19구
L'Abergement-Clémenciat,라브르주멍클레몽시아
Athletic club ajaccien,AC 아작시오
île Saint-Paul,생폴섬
Saint-Rémy-de-Provence,생레미드프로방스
Ambronay,앙브로나이
8e arrondissement de Paris,파리 8구
Nouvelle Vague,누벨 바그
Rassemblement national,국민전선
Châtillon-sur-Seine,샤티용쉬르센
château de Chambord,샹보르성
Bibliothèque nationale de France,프랑스 국립도서관
Terreur,공포 정치
Assemblée nationale,프랑스 하원
Villemomble,빌몽블
FC Metz,FC 메스
Châtellerault,샤텔로
Mérignac,메리냐크
La Garde,라가르드
Palaiseau,팔레조
Caluire-et-Cuire,칼리르에키르
Épernay,에페르네
Fresnes,프렌
traité des Pyrénées,피레네 조약
Étampes,에탕프
Clairavaux,클레라보
Société générale,소시에테 제네랄
Fédération française de football,프랑스 축구 협회
Transport express régional,지방 특급 운송
Dole,돌
Villeneuve-sur-Lot,빌뇌브쉬르로트
La Courneuve,라쿠르뇌브
passerelle des Trois-Pays,세 나라 다리
Mascareignes,마스카렌 제도
Antony,앙토니
Thonon-les-Bains,토농레뱅
Aubervilliers,오베르빌리에
raid de Dieppe,디에프 기습
Gennevilliers,젠빌리에
Languedoc,랑그도크
Vitrolles,비트롤
frères Montgolfier,몽골피에 형제
La Graverie,라그라브리
Sèvres,세브르
Étouvy,에투비
Disneyland Paris,디즈니랜드 파리
Champagne-en-Valromey,샹파뉴앙발로메
Bruay-la-Buissière,브뤼에라비시에르
mistral,미스트랄
Guingamp,갱강
Souvigny,수비니
Bettant,베탕
Morosaglia,모로살리아
Ars-sur-Formans,아르수포르망
Bâgé-la-Ville,바게라빌
Bergues,베르그
Douai,두에
Vincennes,뱅센
Saumur,소뮈르
cathédrale Notre-Dame de Reims,랭스 대성당
Cagnes-sur-Mer,카뉴쉬르메르
Ambléon,앙블레옹
Villefranche-sur-Mer,빌프랑슈쉬르메르
Épinay-sur-Seine,에피네쉬르센
Béthune,베튄
Aigues-Mortes,에그모르트
Castellane,카스텔라네
Redon,르동
liste des communes des Alpes-de-Haute-Provence,알프드오트프로방스주의 코뮌 목록
Blagnac,블라냐크
Athlétic Club arlésien,AC 아를 아비뇽
Clichy-sous-Bois,클리시수부아
Dammarie-lès-Lys,다마리레리
Pessac,페사크
Vêpres siciliennes,시칠리아 만종 사건
Restauration,부르봉 왕정복고
Cergy,세르지
liste des communes de l'Aude,오드주의 코뮌 목록
liste des communes de l'Ardèche,아르데슈주의 코뮌 목록
élection présidentielle française de 2007,2007년 프랑스 대통령 선거
Fontenay-sous-Bois,퐁트네수부아
Brénod,브레노
3e arrondissement de Paris,파리 3구
Gisors,지조르
Mantes-la-Jolie,망트라졸리
Villedaigne,빌데뉴
Armentières,아르망티에르
Rueil-Malmaison,뤼에유말메종
Rochefort,로슈포르
Val-d'Isère,발디제르
Riom,리옹
Ivry-sur-Seine,이브리쉬르센
Nantua,낭튀아
Muret,뮈레
Avallon,아발롱
Lannion,라니옹
Chaumont,쇼몽
Brignoles,브리뇰
Embrun,앙브룅
Sisteron,시스테롱
Figeac,피작
Luc-sur-Orbieu,뤼크쉬르오르비외
Anglefort,앙젤포르
Argentan,아르장탕
Suresnes,쉬렌
girondins,지롱드 당
Artemare,아트마르
6e arrondissement de Paris,파리 6구
aéroport de Paris-Orly,파리 오를리 공항
Meaux,모
Aranc,아랑
Chinon,시농
Château-Thierry,샤토티에리
Draguignan,드라기냥
San-Giuliano,산줄리아노
Clamart,클라마르
Bouches de Bonifacio,보니파시오 해협
Le Cannet,르카네
Saint-Paul-de-Vence,생폴드방스
Belmont-Luthézieu,벨몽뤼테지외
Stade de Reims,스타드 드 랭스
Armix,아르미
Nurieux-Volognat,뉘리외볼로냐
Montréal-la-Cluse,몽레알라클뤼즈
île Amsterdam,암스테르담섬
Bazoilles-et-Ménil,바졸레-에-메닐
Carhaix-Plouguer,카레플루게르
Dordogne,도르도뉴강
36e cérémonie des César,제36회 세자르상
Orvault,오르보
Maisons-Alfort,메종알포르
arrondissement français,프랑스의 아롱디스망
Le Blanc-Mesnil,르블랑메닐
Saint-Dizier,생디지에
Marchémoret,마르셰모레
Bohas-Meyriat-Rignat,보아메리아리냐
Lanvéoc,랑베오크
SÉCAM,SÉCAM
16e arrondissement de Paris,파리 16구
parc de la Villette,라빌레트 공원
SC Bastia,SC 바스티아
Argis,아르지
Châtillon-sur-Chalaronne,샤티용쉬르샬라론
Marcq-en-Barœul,마르크앙바뢸
bois de Vincennes,뱅센 숲
Ski de fond aux Jeux olympiques d'hiver de 1924 – 50 km hommes,1924년 동계 올림픽 크로스컨트리 남자 50km
Lys,레이어강
bataille de Dunkerque,덩케르크 전투
Saint-Jean-de-Beauregard,생장드보르가르
L'Abergement-de-Varey,라브르주멍드바레
Deuil-la-Barre,되이라바르
Gonesse,고네스
Vierzon,비에르종
La Livinière,라리비니에르
Arbigny,아르비니
Plougonvelin,플루공블랭
Asnières-sur-Saône,아스니에르수손
Internationaux de France de tennis 2010,2010년 프랑스 오픈
traité de Nice,니스 조약
Villefranche-sur-Saône,빌프랑슈쉬르손
Coulvain,쿨뱅
Lunéville,뤼네빌
Cavaillon,카바용
plateau des Guyanes,기아나 고지
liste des communes de l'Aveyron,아베롱주의 코뮌 목록
Saint-Jean-de-Maurienne,생장드모리엔
Saint-Omer,생토메르
Gif-sur-Yvette,지프쉬르이베트
Coulonces,쿨롱스
Cachan,카샹
Deauville,도빌
Corbeil-Essonnes,코르베유에손
La Seyne-sur-Mer,라센쉬르메르
1er régiment parachutiste d'infanterie de marine,제1낙하산해병보병연대
Électricité de France,프랑스 전력공사
Ozoir-la-Ferrière,오주아르라페리에르
mont Ventoux,방투산
Bagnolet,바뇰레
Saint-Germain-d'Ectot,생제르맹덱토
Saint-Ouen-sur-Seine,생투앙
Bourgoin-Jallieu,부르고앙잘리외
Arbent,아르뱅
Sartrouville,사르트루빌
Billiat,비야
Ploufragan,플루프라강
Lassy,라시
23e cérémonie des César,제23회 세자르상
Attignat,아티나
province de France,프랑스의 옛 프로뱅스
2e armée,제2군
Grenoble Foot 38,그르노블 푸트 38
Pantin,팡탱
Chenonceaux,슈농소
Ouistreham,우이스트레암
traité de l'Élysée,엘리제 조약
bois de Boulogne,불로뉴 숲
cimetière du Montparnasse,몽파르나스 묘지
Chalamont,샬라몽
athlétisme aux Jeux olympiques de 1900 – lancer de disque hommes,1900년 하계 올림픽 육상 남자 원반던지기
Guebwiller,게브빌레르
2e division blindée,제2기갑사단
lancer du poids masculin aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 육상 남자 포환던지기
Nyons,니옹
Bourg-la-Reine,부르라렌
Condom,콩동
Villeneuve-la-Garenne,빌뇌브라가렌
Batasuna,바타수나
2e arrondissement de Paris,파리 2구
Saint-Pierre,생피에르
Margaux,마르고
université de Paris,신 파리 대학교
Pont-l'Abbé,퐁라베
Ceyzériat,세제리아
Montbard,몽바르
golfe du Lion,리옹만
Charix,샤릭스
Pauillac,포야크
Flainval,플랭발
Le Vigan,르비강
Le Bourget,르부르제
Trungy,트룅지
Montchauvet,몽쇼베
Chelles,셸
Évian-les-Bains,에비앙레뱅
métro de Marseille,마르세유 메트로
9e arrondissement de Paris,파리 9구
Attainville,아탱빌
Saint-Martin-du-Frêne,생마르탱뒤프렌
Condamine,콩다민
Jurques,쥐르크
Combs-la-Ville,콩라빌
Saint-Gratien,생그라티앙
Confort,콩포르
Edern,에데른
Saint-Pierre-du-Fresne,생피에르뒤프렌
Afrique-Occidentale française,프랑스령 서아프리카
Béard-Géovreissiat,베아르제오브레시아
Conseil international des monuments et des sites,국제 기념물 유적 협의회
20e arrondissement de Paris,파리 20구
Rosny-sous-Bois,로니수부아
Taverny,타베르니
Saint-Denis-Maisoncelles,생드니메종셀
Groupe PSA,그루프 PSA
Saint-Michel-sur-Orge,생미셸쉬르오르주
Le Mesnil-Robert,르메닐로베르
course à la mer,바다로의 경주
Chevillard,슈비야르
Kourou,쿠루
Saint-Paul,생폴
.bl,.bl
bataille de Nancy,낭시 전투
Sainte-Florine,생트플로린
Sonthonnax-la-Montagne,송토나라몽타뉴
Ségny,세니
Thiais,티에
Vézézoux,베제주
Montmorency,몽모랑시
Montréal,몽레알
Bénouville,베누빌
bataille de Malplaquet,말플라크 전투
liste des communes de la Corrèze,코레즈주의 코뮌 목록
Sotteville-lès-Rouen,소트빌르루앙
Gurs,귀르스
liste des communes de la Charente,샤랑트주의 코뮌 목록
Davézieux,다베지외
stade de la Meinau,스타드 드 라 메노
liste des communes du Cantal,캉탈주의 코뮌 목록
Verneuil-sur-Avre,베르뇌유쉬르아브르
Conques,콩크
Festival de Cannes 1969,1969년 칸 영화제
Les Mureaux,레뮈로
École centrale Paris,에콜 센트랄 파리
École centrale de Marseille,에콜 센트랄 마르세유
École centrale de Nantes,에콜 센트랄 낭트
École centrale de Lille,에콜 센트랄 릴
École nationale des chartes,국립고문서학교
École de physique des Houches,에콜 데 피지크 데 주쉬
Biéville-Beuville,비에빌뵈빌
École des hautes études en sciences sociales,사회과학고등연구원
Étaples,에타플
École supérieure d'électricité,쉬펠레크
HEC Paris,HEC 파리
École d'économie de Paris,파리 경제 대학원
École française d'Extrême-Orient,원동박고원
Saint-Martin-Vésubie,생마르탱베쥐비
Colomiers,콜로미에
Pont-du-Château,퐁뒤샤토
École supérieure des sciences économiques et commerciales,에섹경영대학
22e cérémonie des César,제22회 세자르상
École des Ponts ParisTech,프랑스 국립토목학교
École nationale d'administration,국립행정학교
École nationale supérieure des beaux-arts,파리 보자르
École pratique des hautes études,고등연구실습원
École polytechnique,에콜 폴리테크니크
Herblay-sur-Seine,에르블레
Biscarrosse,비스카로스
Groupe des Écoles centrales,에콜 센트랄
Corrano,코라노
Marcigny,마르시니
équitation aux Jeux olympiques d'été de 1900,1900년 하계 올림픽 승마
Lunel,뤼넬
Effectif des équipes à la Coupe du monde de football 1938,1938년 FIFA 월드컵 선수 명단
Gardanne,가르단
Centre national de la recherche scientifique,CNRS
Viva World Cup,VIVA 월드컵
Moruroa,무루로아 환초
Yerres,예르
Longwy,롱위
Saint-Laurent-du-Maroni,생로랑뒤마로니
stade Matmut Atlantique,누보 스타드 드 보르도
assignat,아시냐
