上皇后美智子,美智子上皇后
藤江恵輔,藤江惠輔
馬淵澄夫,馬淵澄夫
坂倉準三,坂仓准三
清水聡・(ボクサー),清水聪
北山清太郎,北山清太郎
舛添要一,舛添要一
HISASHI,HISASHI
川村二郎,川村二郎
城島光力,城島光力
守邦親王,守邦親王
木下順二,木下順二
木下尚江,木下尚江
加賀乙彦,加賀乙彥
小野友樹,小野友樹
永野修身,永野修身
下村定,下村定
大暮維人,大暮维人
中村孝太郎,中村孝太郎
石川竜也,石川龍也
田中静壱,田中静壹
滝川一益,瀧川一益
尾形光琳,尾形光琳
間宮林蔵,间宫林藏
猫田勝敏,猫田胜敏
田原豊,田原豐
村田一弘,村田一弘·(足球運動員)
ルールーコウ,如如哥
西田吉洋,西田吉洋
島津義久,島津義久
松井秀喜,松井秀喜
稔幸,稔幸
橋本聖子,橋本聖子
長妻昭,長妻昭
高容姫,高容姬
ほったゆみ,堀田由美
田中絹代,田中絹代
小原日登美,小原日登美
上野順恵,上野順惠
鈴木聡美,鈴木聰美
聖徳太子,聖德太子
近賀ゆかり,近賀由香里
伊丸岡篤,伊丸岡篤
阿川弘之,阿川弘之
松嵜麗,松嵜麗
藤浪晋太郎,藤浪晋太郎
瀬奈じゅん,瀨奈純
松井珠理奈,松井珠理奈
円地文子,圆地文子
佐野常民,佐野常民
中野重治,中野重治
山内一典,山內一典
後光厳天皇,後光嚴天皇
宮本輝,宮本輝
光明天皇,光明天皇
中村正直,中村正直
長門裕之,長門裕之
反町隆史,反町隆史
阿木燿子,阿木燿子
自殺サイト殺人事件,前上博
萩尾望都,萩尾望都
Lia,Lia
小林聡美,小林聰美
北川知克,北川知克
こげどんぼ*,小夏鈍帆
長谷川町子,長谷川町子
飯窪春菜,飯窪春菜
桃井はるこ,桃井晴子
福島瑞穂,福島瑞穗
山座円次郎,山座圓次郎
阿部定,阿部定
岡村明美,岡村明美
佐藤幹夫・(数学者),佐藤幹夫
神谷英樹,神谷英樹
藤林秀麿,藤林秀麿
中村文則,中村文則
井上清・(歴史学者),井上清
髙萩洋次郎,高萩洋次郎
水沼宏太,水沼宏太
保志総一朗,保志總一朗
PATA,PATA·(吉他手)
久夛良木健,久夛良木健
上田藍,上田藍
沢田泰司,澤田泰司
石井正弘,石井正弘
里見弴,里见弴
安積四郎,安積四郎
一条内基,一條內基
塚原卜伝,塚原卜傳
平出修,平出修
保坂司,保坂司
御木本幸吉,御木本幸吉
岩谷徹・(ゲームクリエイター),岩谷徹
新名彩乃,新名彩乃
中山晋平,中山晋平
河原和寿,河原和寿
林羅山,林羅山
幸徳秋水,幸德秋水
丹羽大輝,丹羽大輝
坪井慶介,坪井庆介
阿部良則,阿部良則
船谷圭祐,船谷圭祐
AI・(歌手),AI·(歌手)
森永あい,森永愛
小嶋陽菜,小嶋陽菜
後藤愛,後藤愛
大場栄,大場榮
今井神,今井神
小林秀雄・(批評家),小林秀雄
松岡禎丞,松岡禎丞
沙村広明,沙村广明
遠藤浩輝,遠藤浩輝
相馬直樹,相馬直樹
伊東美咲,伊東美咲
KEIKO,KEIKO
進藤尚美,進藤尚美
林原めぐみ,林原惠
満島ひかり,滿島光
会田安明,会田安明
小林多喜二,小林多喜二
鮎川義介,鮎川義介
愛知揆一,愛知揆一
平沼赳夫,平沼赳夫
伊野波雅彦,伊野波雅彥
酒井高徳,酒井高德
本山雅志,本山雅志
ラモス瑠偉,拉莫斯·瑠偉
橋本英郎,橋本英郎
大場つぐみ,大場鶇
羽生直剛,羽生直剛
小林大悟,小林大悟
槙野智章,槙野智章
金沢文子,金澤文子
赤塚不二夫,赤塚不二夫
志賀直哉,志贺直哉
矢吹健太朗,矢吹健太朗
渡辺毅,渡邊毅
山葉寅楠,山叶寅楠
江川達也,江川達也
高橋陽一,高桥阳一
川嶋あい,川嶋愛
安室奈美恵,安室奈美惠
吉住渉,吉住涉
永里優季,永里優季
綿矢りさ,綿矢莉莎
青木まゆみ,青木真弓
松任谷由実,松任谷由實
川瀬智子,川瀨智子
望月新一,望月新一
寺内健,寺内健
会津八一,会津八一
沖田総司,沖田總司
赤羽末吉,赤羽末吉
安島直円,安岛直圆
衛藤征士郎,衛藤征士郎
円山応挙,圆山应举
種田恵,種田惠
西川周作,西川周作
酒井宏樹,酒井宏樹
播戸竜二,播戶龍二
鈴木啓太,鈴木啟太
永井謙佑,永井謙佑
赤松要,赤松要
権田修一,权田修一
山岸智,山岸智
栗原勇蔵,栗原勇藏
奥寺康彦,奧寺康彥
本田拓也,本田拓也
光仁天皇,光仁天皇
笠智衆,笠智眾
三瓶由布子,三瓶由布子
酒巻和男,酒卷和男
大村加奈子,大村加奈子
西村ちなみ,西村千奈美
亀川諒史,龜川諒史
藤田和日郎,藤田和日郎
石田燿子,石田燿子
山口茜・(バドミントン選手),山口茜
有森裕子,有森裕子
川久保玲,川久保玲
井上明久,井上明久
赤染晶子,赤染晶子
家長昭博,家長昭博
諏訪内晶子,諏訪內晶子
吉田秋生,吉田秋生
豊田章男,豐田章男
Akeboshi,Akeboshi
平田昭彦,平田昭彥
吉田松陰,吉田松阴
近野莉菜,近野莉菜
板倉勝重,板倉勝重
荒木香衣,荒木香衣
楠大典,楠大典
我那覇和樹,我那霸和樹
浦和めぐみ,浦和惠
呉春,松村吴春
神奈延年,神奈延年
西谷泰治,西谷泰治
南野拓実,南野拓實
岩淵功,岩淵功
国枝慎吾,国枝慎吾
藤原義孝,藤原義孝
鈴木規郎,鈴木規郎
中沢啓治,中泽启治
増田有華,增田有華
沢井美優,澤井美優
山口舞,山口舞
竹宮惠子,竹宮惠子
Melody.,Melody.
ルルティア,Rurutia
米谷美久,米谷美久
MISIA,米希亞
昭憲皇太后,昭憲皇太后
BENI,BENI
中道瞳,中道瞳
新條まゆ,新条真由
古賀輝,古賀輝
石田彰,石田彰
神谷明,神谷明
大塚明夫,大塚明夫
伊藤静,伊藤靜
郡司彰,郡司彰
浅田彰,淺田彰
甘利明,甘利明
遠藤章・(農芸化学者),远藤章
桜沢如一,櫻澤如一
志賀潔,志賀潔
香川照之,香川照之
仁科芳雄,仁科芳雄
北口晃,北口晃
萩原舞・(歌手),萩原舞·(歌手)
松田丈志,松田丈志
芹沢鴨,芹澤鴨
鳩山邦夫,鸠山邦夫
小山田圭吾,小山田圭吾
深沢七郎,深澤七郎
長澤和明,長澤和明
天野月,天野月
内田直哉,內田直哉
あかほりさとる,赤堀悟
黒岩彰,黑岩彰
藤原良房,藤原良房
稲垣浩,稻垣浩
狩野探幽,狩野探幽
鷹司輔平,鹰司辅平
村井慎二,村井慎二
堀辰雄,堀辰雄
和達清夫,和達清夫
ほしのあき,星野亞希
坂井利郎,坂井利郎
鈴木弘,铃木弘
松下和幹,松下和干
江畑幸子,江畑幸子
奈良くるみ,奈良久留美
浜口京子,濱口京子
迫田さおり,迫田沙織
赤染衛門,赤染衛門
Hitomi・(AV女優),Hitomi·(AV女優)
小池晃,小池晃
伊藤真澄,伊藤真澄
中島美嘉,中島美嘉
川口悠子,川口悠子
後藤新平,後藤新平
渡部暁斗,渡部曉斗
金野昭次,金野昭次
有馬朗人,有馬朗人
河津秋敏,河津秋敏
森章,森章
佐藤幸徳,佐藤幸德
吉益東洞,吉益東洞
松平容保,松平容保
濱尾文郎,滨尾文郎
桜木ジェイアール,樱木JR
藤田淑子,藤田淑子
佐藤江梨子,佐藤江梨子
南明奈,南明奈
田野優花,田野優花
木村保,木村保
鈴村健一,鈴村健一
広井王子,广井王子
二宮城光,二宮城光
渋川春海,涩川春海
亀田大毅,龟田大毅
佐藤英二,佐藤英二
滝田洋二郎,瀧田洋二郎
Redjuice,Redjuice
安藤希,安藤希
ツトム・ヤマシタ,山下勉
増田忠俊,增田忠俊
永田充,永田充
伊藤壇,伊藤壇
木村政彦,木村政彥
安藤梢,安藤梢
桃田賢斗,桃田賢斗
徳井青空,德井青空
秋山好古,秋山好古
福島由紀,福島由紀
三条の方,三條之方
野坂昭如,野坂昭如
BONNIE・PINK,粉紅邦妮
岩崎恭子,岩崎恭子
黒木メイサ,黑木美沙
岩清水梓,岩清水梓
岩渕真奈,岩淵真奈
川口清健,川口清健
かんざきひろ,神崎廣
石井四郎,石井四郎
桜井孝雄,樱井孝雄
鈴木俊隆,鈴木俊隆
Sasakure.UK,Sasakure.UK
丸山桂里奈,丸山桂里奈
鮫島彩,鮫島彩
希志あいの,希志愛野
上田燿司,上田燿司
二川孝広,二川孝廣
村井さだゆき,村井贞之
極楽院櫻子,極樂院櫻子
徳川寿千代,德川壽千代
深山靖宙,深山靖宙
谷東,谷東
土井利位,土井利位
正田絢子,正田绚子
青木和代,青木和代
大堀彩,大堀彩
宮崎寛務,宮崎寬務
高木善朗,高木善朗
伊藤亜由子,伊藤亚由子
吉武剛,吉武剛
海江田万里,海江田万里
野沢尚,野澤尚
穂積陳重,穂積陳重
二本松嘉瑞,二本松嘉瑞
壇蜜,壇蜜
楠木正行,楠木正行
鈴木大輔・(サッカー選手),铃木大辅·(足球运动员)
仙谷由人,仙谷由人
人見絹枝,人見絹枝
河瀨直美,河瀨直美
花森ぴんく,花森小桃
若林映子,若林映子
島田陽子,岛田阳子
中島愛,中岛爱
水谷優子,水谷優子
石川智晶,石川智晶
仲里依紗,仲里依紗
加藤ミリヤ,加藤米莉亚
芥川也寸志,芥川也寸志
安倍宗任,安倍宗任
盤珪永琢,盤珪永琢
穴吹智,穴吹智
藤原麻呂,藤原麻呂
柄谷行人,柄谷行人
真下耕一,真下耕一
瀧通世,瀧通世
西山麗,西山丽
杉田智和,杉田智和
藤原兼通,藤原兼通
有田哲平,有田哲平
懿徳天皇,懿德天皇
かでなれおん,嘉那蕾音
波形純理,波形純理
前畑秀子,前畑秀子
羽海野チカ,羽海野千花
田南部力,田南部力
鳥居清長,鳥居清長
有島武郎,有島武郎
河野孝典,河野孝典
観月ありさ,觀月亞里莎
涌井秀章,涌井秀章
津島三敏,津島三敏
春日局,春日局
島田荘司,島田莊司
小畑穣,小畑穰
亀倉雄策,龟仓雄策
乙武洋匡,乙武洋匡
松本俊一,松本俊一
京極夏彦,京极夏彦
マツコ・デラックス,貴婦松子
佐渡裕,佐渡裕
樹林伸,樹林伸
藤原清輔,藤原清輔
大山のぶ代,大山羨代
NIGO,NIGO
吉見一起,吉見一起
喜多川歌麿,喜多川歌麿
伊勢・(歌人),伊勢·(歌人)
重信房子,重信房子
西岡武夫,西岡武夫
金栗四三,金栗四三
藤田哲也・(気象学者),藤田哲也·(气象学家)
豊臣秀次,豐臣秀次
多田かおる,多田薰
日渡早紀,日渡早紀
櫻井智,櫻井智
泉里香,泉里香
津田雅美,津田雅美
矢井田瞳,矢井田瞳
漆原友紀,漆原友紀
美内すずえ,美內鈴惠
山下泰裕,山下泰裕
森尚子,森尚子
鈴木紗理奈,鈴木紗理奈
カズオ・イシグロ,石黑一雄
藤原道隆,藤原道隆
山口素弘,山口素弘
島本須美,島本須美
新垣世璋,新垣世璋
萩原朔太郎,萩原朔太郎
鈴木真仁,鈴木真仁
柳本啓成,柳本啓成
赤松広隆,赤松廣隆
安座間美優,安座間美優
白石涼子,白石涼子
金田正一,金田正一
岩倉具視,岩倉具視
池田信太郎,池田信太郎
水都あくあ,水都明亞
マック赤坂,戶並誠
武田義信,武田義信
波多野秀治,波多野秀治
蘆名盛氏,蘆名盛氏
下條アトム,下條阿童木
池田元助,池田元助
六角義治,六角義治
十市皇女,十市皇女
尼子義久,尼子義久
尼子勝久,尼子勝久
保科正之,保科正之
誠仁親王,誠仁親王
土岐頼芸,土岐賴藝
芳春院,芳春院
前田健太,前田健太
奥保鞏,奧保鞏
安岡章太郎,安岡章太郎
平賀源内,平賀源內
川前直樹,川前直樹
朝日姫,旭姬
若村麻由美,若村麻由美
喜納昌吉,喜納昌吉
本多忠朝,本多忠朝
柊あおい,柊葵
Abec,Abec
光明皇后,光明皇后
別所長治,别所长治
津軽信義,津輕信義
高市皇子,高市皇子
織田長益,織田長益
松平忠輝,松平忠輝
津軽信枚,津輕信枚
狩野舞子,狩野舞子
新鍋理沙,新鍋理沙
増嶋竜也,增嶋龍也
森重真人,森重真人
桑田真澄,桑田真澄
山口達也,山口達也
山崎豊子,山崎豐子
前田綱紀,前田綱紀
力丸乃りこ,力丸乃梨子
山下和美,山下和美
大林素子,大林素子
植芝理一,植芝理一
井上大佑,井上大佑
細川俊之,細川俊之
山崎丞,山崎烝
前田利常,前田利常
及川奥郎,及川奧郎
関行男,关行男
潘恵子,潘惠子
惟康親王,惟康親王
原口證,原口證
稲葉敦志,稻叶敦志
出木杉英才,出木杉英才
冨田洋之,富田洋之
三宅健,三宅健
井ノ原快彦,井之原快彥
京極高次,京極高次
上村雅之,上村雅之
森田剛,森田剛
喜多郎,喜多郎
新田祐克,新田祐克
平林たい子,平林泰子
久石譲,久石让
雷句誠,雷句誠
越田剛史,越田剛史
足利義昭,足利義昭
中原アヤ,中原亞矢
春田なな,春田菜菜
白柳誠一,白柳誠一
中村北斗,中村北斗
梶山陽平,梶山陽平
明石全登,明石全登
細野不二彦,細野不二彥
出井伸之,出井伸之
鈴木宗男,鈴木宗男
二宮尊徳,二宮尊德
小島あきら,小島Akira
丸谷清之介,丸谷清之介
松本隆太郎,松本隆太郎
柳田國男,柳田國男
最上義光,最上义光
仲村トオル,仲村亨
斎藤利三,齋藤利三
木村重成,木村重成
米倉千尋,米倉千尋
島田紳助,岛田绅助
ASKA,飛鳥涼
黒田アーサー,黑田亞瑟
堀内光雄,堀內光雄
松平忠直,松平忠直
田村亮・(俳優),田村亮·(演員)
大伴坂上郎女,大伴坂上郎女
松岡由貴,松岡由貴
源頼光,源賴光
樺山資紀,樺山資紀
川上とも子,川上倫子
山田政晴,山田政晴
橋口亮輔,橋口亮輔
柳下大,柳下大
蘇我稲目,蘇我稻目
北条実時,北条实时
鷹司政通,鷹司政通
井川祐輔,井川祐輔
中村一義・(サッカー選手),中村一義
役所広司,役所廣司
太田朋子,太田朋子
水野十子,水野十子
上村松園,上村松園
難波圭一,難波圭一
小手川ゆあ,小手川瑜亞
山本未來,山本未來
徳永直,德永直
杉崎ゆきる,杉崎由綺琉
田名部匡省,田名部匡省
小田滋,小田滋
北条時宗,北條時宗
松下優也,松下優也
神田沙也加,神田沙也加
ひぐちアサ,樋口朝
北条時政,北條時政
藤原道長,藤原道長
香川幸,香川幸
長宗我部盛親,长宗我部盛亲
やまだ紫,山田紫
源頼家,源賴家
松本零士,松本零士
宮澤佐江,宮澤佐江
野際陽子,野際陽子
藤原敏行,藤原敏行
林房雄,林房雄
和辻哲郎,和辻哲郎
島義勇,島義勇
萩原雄祐,萩原雄祐
源信明,源信明
丸谷才一,丸谷才一
小池栄子,小池荣子
前田秀樹,前田秀樹
森薫,森薰
野村忠宏,野村忠宏
藤原鎌足,藤原鎌足
柳田英明,柳田英明
蒲生賢秀,蒲生賢秀
佐田真由美,佐田真由美
望月久代,望月久代
陶晴賢,陶晴賢
氷青,冰青
尚裕,尚裕
河原木志穂,河原木志穗
半場友恵,半場友惠
佐藤友哉,佐藤友哉
舞城王太郎,舞城王太郎
石毛佐和,石毛佐和
葉月絵理乃,葉月繪理乃
鮎川哲也,鮎川哲也
伊東武夫,伊東武夫
小石川正弘,小石川正弘
西島和彦・(物理学者),西島和彥
樋口季一郎,樋口季一郎
原研哉,原研哉
横田めぐみ,横田惠
鉄眼道光,铁眼
米倉加奈子,米倉加奈子
植芝吉祥丸,植芝吉祥丸
井上和香,井上和香
近藤喜文,近藤喜文
羽生結弦,羽生結弦
鬼束ちひろ,鬼束千尋
内藤真実,內藤真實
小雪・(女優),小雪·(日本演員)
すえのぶけいこ,末延景子
小花美穂,小花美穗
岡崎朋美,冈崎朋美
高橋礼華・(バドミントン選手),高橋禮華
宮田孝治,宮田孝治
石川賢・(漫画家),石川賢
浅野いにお,淺野一二O
水本裕貴,水本裕貴
高橋みゆき,高橋美雪
古川高晴,古川高晴
那須大亮,那須大亮
寺田周平,寺田周平
今野宏美,今野宏美
蜷川実花,蜷川實花
長沢美樹,長澤美樹
岡嶋妙,岡嶋妙
遠野そよぎ,遠野Soyogi
西村博之,西村博之
谷井あすか,谷井明日香
松下忠洋,松下忠洋
源静香,源靜香
片倉景綱,片倉景綱
徳川五郎太,德川五郎太
徳川光友,德川光友
水原薫,水原薰
千秋実,千秋實
尾崎紅葉,尾崎紅葉
石井隆,石井隆
小山内薫,小山內薰
阪本奨悟,阪本獎悟
熊谷一弥,熊谷一弥
藤本佑子,藤本佑子
滝口順平,瀧口順平
串田嘉男,串田嘉男
菊池大麓,菊池大麓
若杉弘,若杉弘
戸川昌子,戶川昌子
武田信玄,武田信玄
井村久美子,井村久美子
森田童子,森田童子
空山基,空山基
三川軍一,三川軍一
泉重千代,泉重千代
土井たか子,土井多賀子
佐藤有香,佐藤有香
徳川家治,德川家治
森沢幸子,森泽幸子
内田百閒,內田百閒
松田辰也,松田辰也
森稔,森稔
池内豊・(サッカー選手),池內豐
藤本英雄,藤本英雄
上川陽子,上川陽子
幸田文,幸田文
皆川亮二,皆川亮二
大田皇女,大田皇女
清水隆三,清水隆三
松山基範,松山基範
信藤健仁,信藤健仁
徳川吉通,德川吉通
美川憲一,美川宪一
夜神月,夜神月
松永雪希,松永雪希
石川淳,石川淳
徳川宗翰,德川宗翰
稲村優奈,稻村優奈
等松農夫蔵,等松农夫藏
霜鳥典雄,霜鳥典雄
八代亜紀,八代亞紀
新井貴浩,新井貴浩
江角マキコ,江角真紀子
田代有三,田代有三
中村直志,中村直志
新谷かおる,新谷薰
松岡修造,松岡修造
佐原健二,佐原健二
増井禎夫,增井禎夫
小沢鋭仁,小澤銳仁
山口那津男,山口那津男
良暹,良暹
安野光雅,安野光雅
福田繁雄,福田繁雄
SUGIZO,SUGIZO
海音寺潮五郎,海音寺潮五郎
今川貞世,今川了俊
長友佑都,长友佑都
二条院讃岐,二條院讚岐
森万里子,森萬里子
塚原光男,塚原光男
佐伯美香,佐伯美香
野口啓代,野口啓代
武藤章,武藤章
川原由美子,川原由美子
野原しんのすけ,野原新之助
ワダ・エミ,和田惠美
有馬豊氏,有馬豐氏
藤原頼嗣,藤原賴嗣
平清盛,平清盛
貞本義行,贞本义行
二条天皇,二條天皇
小林幸子,小林幸子
打田しづか,打田志津
西牧未央,西牧未央
後村上天皇,後村上天皇
後伏見天皇,後伏見天皇
徳川家慶,德川家慶
三田一郎,三田一郎
井上謙二,井上谦二
徳川家斉,德川家齊
河村たかし,河村隆之
藤原道綱母,藤原道綱母
影崎由那,影崎由那
時計野はり,時計野針
高田繁,高田繁
藤原清河,藤原清河
原辰徳,原辰德
山川琴美,山川琴美
相良頼房,相良賴房
内海哲也,內海哲也
井上美紀,井上美紀
悠仁親王,悠仁親王
美村里江,美村里江
光孝天皇,光孝天皇
中川真依,中川真依
仲尾あづさ,仲尾梓
後宇多天皇,後宇多天皇
小暮英麻,小暮英麻
紺野秀樹,绀野秀树
勝野洋,勝野洋
長谷川信彦,长谷川信彦
天龍源一郎,天龍源一郎
弥助,彌助
新居昭乃,新居昭乃
橘桜,橘櫻
酒井まゆ,酒井真由
奥原希望,奧原希望
宇津木瑠美,宇津木瑠美
花園天皇,花園天皇
広岡達朗,廣岡達朗
草鹿龍之介,草鹿龍之介
渡辺志穂,渡邊志穗·(歌手)
石毛宏典,石毛宏典
伊達綱宗,伊達綱宗
佐藤由加理,佐藤由加理
星野みちる,星野滿
松原秀典,松原秀典
秋山幸二,秋山幸二
鳥居忠政,鳥居忠政
金崎夢生,金崎梦生
杉本茂雄,杉本茂雄
高松伸,高松伸
徳川慶臧,德川慶臧
西山将士,西山将士
高松大樹,高松大樹
下柳剛,下柳剛
二岡智宏,二岡智宏
堀内恒夫,堀内恒夫
石川雅規,石川雅規
森博嗣,森博嗣
赤星憲広,赤星憲廣
本多正信,本多正信
やなせなつみ,柳濑夏美
渡辺久信,渡邊久信
岩田さゆり,岩田小百合
鬼室集斯,鬼室集斯
井端弘和,井端弘和
前田智徳,前田智德
阿部慎之助,阿部慎之助
村田修一,村田修一
石川直宏,石川直宏
友永朱音,友永朱音
相楽総三,相樂總三
東出輝裕,東出輝裕
鈴木保男,鈴木保男
長沼健,長沼健
春木博,春木博
上杉朝定・(扇谷上杉家),上杉朝定·(扇谷上杉家)
徳川家正,德川家正
徳川圀順,德川圀順
増田誓志,增田誓志
松永行,松永行
山瀬功治,山瀨功治
市川大祐,市川大祐
賀川太郎,賀川太郎
興梠慎三,興梠慎三
田中順也,田中順也
田中隼磨,田中隼磨
押上美猫,押上美猫
鈴木裕,铃木裕
前島密,前島密
獅子文六,狮子文六
六角義賢,六角義賢
中原中也,中原中也
開高健,開高健
中勘助,中勘助
山田詠美,山田詠美
吉田玲子,吉田玲子
布井良助,布井良助
いとうかなこ,伊藤香奈子
樫野有香,樫野有香
竹本英史,竹本英史
松友美佐紀,松友美佐紀
日野康子,日野康子
青空ラムネ,青空檸檬
日野業子,日野業子
ELISA・(歌手),ELISA·(歌手)
野村貢,野村貢
諸星すみれ,諸星堇
榎あづさ,榎梓
柴田トヨ,柴田丰
有賀長雄,有賀長雄
古賀淳也,古贺淳也
さかいかな,酒井香奈
高田裕司・(レスリング選手),高田裕司·(摔跤選手)
槇原敬之,槙原敬之
市原隼人,市原隼人
星野奏子,星野奏子
岸孝之,岸孝之
稲尾和久,稻尾和久
東尾修,東尾修
西口文也,西口文也
IKU,IKU
山﨑武司,山崎武司
福本豊,福本豐
門田博光,門田博光
後藤麻衣・(声優),後藤麻衣·(配音員)
三笠宮崇仁親王,三笠宮崇仁親王
いがらしゆみこ,五十嵐優美子
山郷のぞみ,山鄉望
高河ゆん,高河弓
立川恵,立川惠
星野千寿子,星野千壽子
佐藤勇人,佐藤勇人
木村弓,木村弓
新井茂雄,新井茂雄
関谷清景,關谷清景
佐竹敬久,佐竹敬久
八神千歳,八神千歲
佐藤冴香,佐藤冴香
松尾静香,松尾靜香
今別府香里,今別府香里
高木兼寛,高木兼宽
三谷美菜津,三谷美菜津
山泉和子,山泉和子
津島恵子,津島惠子
Aiko,Aiko
松平定信,松平定信
関智一,關智一
小柳ルミ子,小柳留美子
松田聖子,松田聖子
KOKIA,KOKIA
伏見宮博恭王,伏見宮博恭王
秋山豊寛,秋山丰宽
川上弘美,川上弘美·(小說家)
内野正雄,内野正雄
河井英里,河井英里
蒼井そら,蒼井空
徳川慶喜,德川庆喜
水田わさび,水田山葵
堺利彦,堺利彥
上野良治,上野良治
則武謙,則武謙
玉井操,玉井操
近藤直也,近藤直也
渡部英麿,渡部英麿
二宮洋一,二宮洋一
佐々木彩夏,佐佐木彩夏
九鬼周造,九鬼周造
左・(イラストレーター),左·(插畫家)
ヤスダスズヒト,安田典生
高城れに,高城蕾妮
橋本晃司,橋本晃司
織田哲郎,織田哲郎
片山洋,片山洋
細貝萌,細貝萌
小林由美子,小林由美子
早見あかり,早見朱莉
三谷幸喜,三谷幸喜
中西永輔,中西永輔
入間人間,入間人間
玉井詩織,玉井詩織
有安杏果,有安杏果
高木和道,高木和道
渡邉千真,渡邊千真
太田宏介,太田宏介
関口訓充,關口訓充
原口元気,原口元氣
山田直輝,山田直輝
中川昭一,中川昭一
二ノ宮知子,二之宮知子
濱田真由,濱田真由
押井守,押井守
福山潤,福山潤
青木周蔵,青木周藏
小島剛夕,小島剛夕
平松晶子,平松晶子
中川一郎,中川一郎
Cocco,Cocco
垣岩令佳,垣岩令佳
李相日,李相日
永田亮子,永田亮子
虎島和夫,虎島和夫
青野季吉,青野季吉
松野頼三,松野赖三
馳星周,馳星周
金月真美,金月真美
青木さやか,青木沙耶加
松前慶広,松前慶廣
田中涼子・(声優),田中涼子
留守政景,留守政景
石川達三,石川达三
岩里祐穂,岩里祐穗
森岡隆三,森岡隆三
平木隆三,平木隆三
中島裕美子,中島裕美子
伊東勤,伊東勤
星野直樹,星野直树
柳沢吉保,柳澤吉保
筑紫哲也,筑紫哲也
鈴木尚広,鈴木尚廣
伊原春樹,伊原春樹
山本浩二,山本浩二
稲葉篤紀,稻葉篤紀
山田久志,山田久志
川上哲治,川上哲治
野呂佳代,野呂佳代
小林武史,小林武史
若松勉,若松勉
津田幸男,津田幸男
青木剛,青木剛
オダギリジョー,小田切让
鈴木明子,鈴木明子
高楠順次郎,高楠順次郎
鳩山和夫,鳩山和夫
萱野茂,萱野茂
宮沢りえ,宮澤理惠
CHARA,恰拉·(女歌手)
寺島しのぶ,寺岛忍
宮部みゆき,宫部美幸
風香,風香
上村愛子,上村愛子
沢松奈生子,泽松奈生子
清水隆行,清水崇行
高峰秀子,高峰秀子
村井良大,村井良大
藤井裕久,藤井裕久
望月淳,望月淳
金子光晴,金子光晴
田中耕太郎,田中耕太郎
藤井瑞希,藤井瑞希
氷栗優,冰栗優
秋葉忠利,秋葉忠利
上尾野辺めぐみ,上尾野邊惠
士郎正宗,士郎正宗
北里柴三郎,北里柴三郎
福原みほ,福原美穗
杉本彩,杉本彩
江利チエミ,江利智惠美
桃井かおり,桃井薰
市川由衣,市川由衣
イサム・ノグチ,野口勇
桜田淳子,櫻田淳子
山口鉄也,山口鐵也
片岡保幸,片岡治大
小野晴香,小野晴香
二本松義継,二本松義繼
内川聖一,內川聖一
小松聖,小松聖
田淵幸一,田淵幸一
清水美砂,清水美沙
玉川砂記子,玉川砂記子
中島宏之,中島裕之
馬原孝浩,馬原孝浩
岩田稔,岩田稔
内藤如安,內藤如安
甲田学人,甲田学人
荒木雅博,荒木雅博
堀口悠紀子,堀口悠紀子
清原和博,清原和博
亀井善行,龜井義行
アレックス・ラミレス,亞力克斯·拉米瑞茲
北野政次,北野政次
栗原健太,栗原健太
武田一浩,武田一浩
鴨長明,鴨長明
金子みすゞ,金子美鈴
津島佑子,津島佑子
福元美穂,福元美穗
海堀あゆみ,海堀步
田中明日菜,田中明日菜
北川みゆき,北川美幸
寺沢大介,寺澤大介
樹なつみ,樹夏實
Yuri,益田祐里
大島正太郎,大岛正太郎
新浦壽夫,新浦壽夫
別所浩郎,別所浩郎
つなこ,Tsunako
さとうふみや,佐藤文也
高田翔,高田翔
元良親王,元良親王
渡辺多恵子,渡邊多惠子
紅玉いづき,紅玉伊月
矢野喬子,矢野喬子
真木よう子,真木陽子
小山ちれ,何智丽
川井憲次,川井憲次
杉浦日向子,杉浦日向子
水波風南,水波风南
髙瀬愛実,高瀨愛實
阪口夢穂,阪口夢穗
村岡博人,村岡博人
大塚晶文,大塚晶文
佐藤ゆうこ・(声優),佐藤佑子
峰倉かずや,峰倉和也
石本隆,石本隆
髙木美帆,高木美帆
伊藤一長,伊藤一長
川口順子,川口顺子
影木栄貴,影木榮貴
ヤマグチノボル,山口昇
北野祐秀,北野祐秀
今井兼次,今井兼次
徳永悠平,德永悠平
松永共広,松永共广
杉山元,杉山元
平野達男,平野達男
荒木田守武,荒木田守武
亀井茲矩,龜井茲矩
中田翔,中田翔
春奈るな,春奈露娜
朴春琴,朴春琴
長嶋清幸,長嶋清幸
荒勝文策,荒勝文策
金城基泰,金城基泰
小山慶一郎,小山慶一郎
能見篤史,能見篤史
古味直志,古味直志
榎本亜弥子,榎本亞彌子
平岩親吉,平岩親吉
豊田清,豐田清
城麻美,城麻美
足利義視,足利义视
早坂ひとみ,早坂瞳
衣笠祥雄,衣笠祥雄
越智大祐,越智大祐
吉幾三,吉幾三
岡林信康,冈林信康
石田衣良,石田衣良
水夏希,水夏希
藤村富美男,藤村富美男
田口宏子,田口宏子
斎藤桃子,齋藤桃子
坂本冬美,坂本冬美
北乃きい,北乃綺
木佐貫洋,木佐貫洋
KENN,KENN
八条宮智仁親王,八條宮智仁親王
川島なお美,川島直美
西島克彦,西島克彥
鈴木保奈美,鈴木保奈美
北別府学,北別府學
古田肇,古田肇
