Portugal,葡萄牙
Santa Cruz (Madeira),聖克魯斯·(葡萄牙)
Cobro,科布罗·(葡萄牙)
Vilarinho dos Galegos,维拉里纽-杜什加莱古什
Vendas Novas,新文達什
Entroncamento,恩特龙卡门图
Maia,马亚·(葡萄牙)
Santiago do Cacém,聖地亞哥-杜卡森
Seixal,塞沙爾
Reguengos de Monsaraz,雷根古什迪蒙薩拉什
Chave (Arouca),沙维·(阿罗卡)
Rebordainhos,雷博尔代纽什
Convento e Igreja de São Francisco (Évora),聖方濟天主堂·(埃武拉)
Igreja de São Roque (Lisboa),圣洛克堂·(里斯本)
Tarouca,塔羅卡
Cicouro,锡科鲁
Cibões,锡邦伊什
Revolução de 25 de Abril de 1974,康乃馨革命
Estoril,埃什托里尔
Sertã,塞尔唐
Museu Nacional dos Coches,國家馬車博物館
Vilas Boas (Vila Flor),维拉什博阿什·(费洛尔镇)
Idães,伊当伊什
Vale de Vargo,瓦莱-迪瓦尔古
Ifanes,伊法内斯
Angra do Heroísmo,英雄港
Ariz (Marco de Canaveses),阿里什·(马尔库-迪卡纳韦塞什)
Aeroporto Internacional de Faro,法魯機場
Brunhozinho,布鲁尼奥齐纽
Brunhoso,布鲁尼奥苏
Brunhais,布鲁尼艾什
Sabugal,薩布加爾
Vila Alva,阿尔瓦镇
Codessos,科德苏什
Cividade (freguesia),锡维达德
Codeceda,科德塞达
Força de Gendarmaria Europeia,歐洲憲兵部隊
Luzianes-Gare,卢齐亚尼什-加里
Palácio de Seteais,瑟特阿斯宫
Coelhoso,科埃略苏
Paço Episcopal do Porto,波尔图主教宫
Sé de Silves,锡尔维什主教座堂
Jardim do Príncipe Real,王储花园·(里斯本)
Diocese do Porto,天主教波爾圖教區
Vale de Janeiro,瓦莱-迪雅内鲁
Clube Desportivo Feirense,費倫斯體育會
Brufe (Vila Nova de Famalicão),布鲁费·(法马利康新镇)
Brufe (Terras de Bouro),布鲁菲·(特拉什-迪博鲁)
Sanfins de Ferreira,桑芬什-迪费雷拉
Lodões,洛东伊什
Carvalheira,卡瓦列拉
Algoso,阿尔戈苏
Porto Covo,科武港
Figueiró dos Vinhos,菲蓋羅杜什維紐什
Portugal no Festival Eurovisão da Canção Júnior,葡萄牙在歐洲青少年歌唱大賽之歷年表現
Sobreira,索布雷拉
Valbom (Gondomar),瓦尔邦
Glória (Aveiro),格洛里亚·(阿威罗)
Maçores,马索里什
Guilhufe,吉柳菲
Galegos (Penafiel),加莱古什·(佩纳菲耶尔)
Burga,布尔加
Croca,克罗卡
Bustelo (Penafiel),布斯特卢·(佩纳菲耶尔)
Irivo,伊里武
Paço de Sousa,帕苏-迪索萨
Eja,埃雅
Oldrões,奥尔德朗伊什
Marecos,马雷库什
Universidade de Lisboa,里斯本大学
Ala (Macedo de Cavaleiros),阿拉·(马塞杜-迪卡瓦莱鲁什)
Colos,科洛斯
Mombeja,莫姆贝雅
Patriarcado de Lisboa,天主教里斯本宗主教區
Ordem (Lousada),奥尔登·(洛萨达)
Nelas,內拉什
Trancoso,特蘭科蘇·(葡萄牙)
Armil,阿尔米尔
Sport Clube Beira-Mar,比拉馬體育會
Benlhevai,本列瓦伊
A20 (autoestrada),A20高速公路·(葡萄牙)
Parâmio,帕拉苗
Campo Maior (Portugal),坎普馬約爾·(葡萄牙)
Ferreira do Zêzere,費雷拉杜澤濟里
Bruçó,布鲁索
Duas Igrejas (Penafiel),双教堂镇·(佩纳菲耶尔)
Penamacor,佩納馬科爾
Vila Nova da Barquinha,巴爾基尼亞新鎮
Vila Velha de Ródão,羅當舊鎮
Freguesia,堂区·(葡萄牙)
Supertaça Cândido de Oliveira,葡萄牙超級盃
Parada (Bragança),帕拉达·(布拉干萨)
Rande,兰迪
Modivas,莫迪瓦什
Final da Taça dos Clubes Campeões Europeus de 1989-90,1990年欧洲冠军杯决赛
Santulhão,桑图良
Segadães,塞加当伊什
Rebordões (Santo Tirso),雷博尔东伊什·(圣蒂尔苏)
Vila Fria (Felgueiras),弗里亚镇·(费尔盖拉什)
Albernoa,阿尔贝诺阿
Arosa (Guimarães),阿罗萨·(吉马良斯)
Arnozela,阿尔诺泽拉
Machico,馬希庫
Arreigada,阿雷加达
Arraiolos,阿拉約洛斯
Arronches,阿龍希什
Redondo,雷東多·(葡萄牙)
Vale de Telhas,瓦莱-迪特利亚什
Idanha-a-Nova,新伊達尼亞
Praça do Comércio,商业广场
Alpiarça,阿尔皮亚萨
Paralelo 39 N,北緯39度線
Castelo de Vide,維迪堡
Padrão dos Descobrimentos,發現者紀念碑
Cossourado (Barcelos),科索拉多·(巴塞卢什)
Cortiços (Macedo de Cavaleiros),科尔蒂苏什
Sobrosa,索布罗萨
Jornal de Notícias,新闻报·(葡萄牙)
Jovim,若温
Supertaça Cândido de Oliveira de 2012,2012年葡萄牙超级杯
Penacova (Felgueiras),佩纳科瓦·(费尔盖拉什)
Lista de partidos políticos em Portugal,葡萄牙政党列表
Arruda dos Vinhos,阿魯達杜什維紐什
Alijó,阿利若
Alandroal,阿蘭德魯阿爾
Primeira Liga de 2009–10,2009年至2010年葡萄牙足球超级联赛
Nossa Senhora de Fátima,花地瑪聖母
Ponte 25 de Abril,4月25日大橋
Canedo de Basto,卡内杜-迪巴斯图
Convento de Cristo,托马尔的基督会院
Campeonato Mundial de Handebol Masculino de 2003,2003年世界男子手球錦標賽
Templo romano de Évora,埃武拉罗马神庙
Vagos (freguesia),瓦古什·(葡萄牙堂区)
Covelo (Gondomar),科韦卢·(贡多马尔)
Bustelo (Amarante),布斯特卢·(阿马兰蒂)
Vila do Porto,波爾圖鎮
Proença-a-Nova,新普羅恩薩
Madalena (Açores),馬達萊娜·(亞速爾群島)
Safara,萨法拉
Bucos,布科斯
Santa Cruz das Flores,聖克魯什-達什弗洛里什
Constância (Portugal),康斯坦西亚
Sernancelhe,塞南塞利
Vila Nova de Paiva,派瓦新鎮
Lagos (Portugal),拉古什
Golpe de Estado de 28 de Maio de 1926,1926年5月28日政變
Pampilhosa da Serra,潘皮略薩迪塞拉
Coruche,科鲁希
Alcoutim,阿爾科廷
Chamusca,沙穆什卡
São Mamede de Infesta,圣马梅迪-迪因费斯塔
Brasão de armas de Portugal,葡萄牙國徽
Póvoa de Varzim,波瓦-迪瓦爾津
Império Português,葡萄牙帝國
Serra da Estrela,埃什特雷拉山脈
Ervedosa (Vinhais),埃尔韦多萨·(维尼艾什)
Pampilhosa,潘皮略萨
Aldeia dos Fernandes,费尔南德斯村
Queluz (Portugal),克盧什
Vila de Rei,雷鎮
Sinagoga Kadoorie,嘉道理猶太會堂
Crestuma,克雷斯图马
Linha do Norte,北線·(葡萄牙)
Partido Republicano Evolucionista,进化论者党
Couto de Esteves,科图-迪埃斯特维什
Coucieiro,科谢伊罗
Outeiro Maior,奥泰鲁马约尔
Jugueiros,茹盖鲁什
Alfundão,阿尔丰当
Assares,阿萨里什
Assembleia da República,共和国议会·(葡萄牙)
Museu Nacional Soares dos Reis,國立雷伊斯博物館
Sabrosa,薩布羅薩
Palácio Nacional de Belém,贝伦宫
Sernande,塞尔南迪
Pombares,庞巴雷斯
Nunes (Vinhais),努内斯
Oliveira do Douro (Vila Nova de Gaia),奥利韦拉-杜多鲁·(加亚新城)
Santalha,桑塔利亚
Vilar Seco de Lomba,维拉尔塞科德隆巴
Santo Isidoro (Marco de Canaveses),圣伊西多鲁·(马库-迪卡纳韦西什)
Mourão,莫朗·(埃武拉區)
Gavião (Portugal),加維昂·(葡萄牙)
Sobral de Monte Agraço,索布拉爾德蒙特阿格拉蘇
Penacova,佩納科瓦
Crato (Portugal),克拉圖·(葡萄牙)
Mesão Frio,梅桑弗里烏
Santa Marta de Penaguião,聖瑪爾塔迪佩納吉昂
Ribeira de Pena,里貝拉迪佩納
São Pedro Velho,旧圣佩德罗
Distrito de Lisboa,里斯本區
Leiria,萊里亞
Vila do Bispo,比什普鎮
Viana do Castelo,維亞納堡
Ponta Delgada,蓬塔德爾加達
Clube Desportivo Santa Clara,辛達卡拉體育會
Diocese de Aveiro,天主教阿威羅教區
Olhão,奧良
Estremadura,埃斯特雷马杜拉省
Batalha de Alcântara,阿爾坎塔拉戰役·(1580年)
Curopos,库罗普什
Vilarinho (Santo Tirso),维拉里纽·(圣蒂尔苏)
Vila do Corvo,科爾武鎮
Raiva (Castelo de Paiva),赖瓦·(派瓦堡)
Mira (Portugal),米拉·(葡萄牙)
Corvite,科尔维特
Lama (Santo Tirso),拉马·(圣蒂尔苏)
Real (Castelo de Paiva),雷亚尔·(派瓦堡)
Muro (Trofa),穆罗·(葡萄牙堂区)
Pedorido,佩多里杜
Caldelas (Guimarães),卡尔德拉斯·(吉马良斯)
Tratado de Saragoça (1529),萨拉戈萨条约
Política de Portugal,葡萄牙政治
Vitória Futebol Clube,維多利亞足球會
Ilha de São Jorge,聖若熱島
TAP Air Portugal,TAP葡萄牙航空
Metropolitano de Lisboa,里斯本地铁
Sporting Clube Farense,法鲁人体育俱乐部
Vila Pouca de Aguiar,阿吉亞爾小鎮
Sesimbra,塞新布拉
Lousã,洛桑·(科英布拉區)
Aves (Santo Tirso),阿维什镇
Quintela de Lampaças,金特拉-迪兰帕萨什
Santa Cruz da Graciosa,聖克魯什-達格拉西奧薩
São João da Pesqueira,聖若昂達佩什凱拉
Velas,韦拉什
Vinhos portugueses,葡萄牙葡萄酒
Deilão,代朗
Sistema de ligas de futebol de Portugal,葡萄牙足球联赛系统
Público (jornal),公众报·(葡萄牙)
Torre Vasco da Gama,达·伽马塔
Diocese de Angra,天主教英雄港教區
Diocese de Bragança-Miranda,天主教布拉干薩-米蘭達教區
Barcelos,巴塞卢什
Ilha Terceira,特塞拉島
Clube Desportivo Nacional,國民體育會·(葡萄牙)
Beja,貝雅
Torre de Belém,贝伦塔
Ligares,利加里什
Milhão (Bragança),米良·(布拉干萨)
Santana (Madeira),桑塔納·(馬德拉)
Club Sport Marítimo,馬里迪莫體育會
Portugal nos Jogos Olímpicos,奧林匹克運動會葡萄牙代表團
Estrada europeia 1,欧洲E1公路
Porto de Mós,莫什港
Seixo de Ansiães,塞舒-迪安西昂伊什
Golegã,古勒岡
Seleção Portuguesa de Futebol Sub-20,葡萄牙20歲以下國家足球隊
Antas (Esposende),安塔斯·(埃斯波森迪)
Vouzela,沃澤拉
Expedição de Magalhães,麥哲倫探險隊
Tuizelo,图伊泽卢
Donai,多奈·(葡萄亚堂区)
Refojos de Riba de Ave,雷福茹什-迪里巴迪阿维
Ilha de São Miguel,聖米格爾島
Batalha do Vimeiro,维梅鲁之战
Distrito de Aveiro,阿威羅區
Ilha do Pico,皮庫島
Museu Nacional de Arte Antiga,國立古代美術館
Silves (Portugal),锡尔维什
Vila Real de Santo António,圣安东尼奥雷阿尔城
União Desportiva de Leiria,利亞拿體育會
Museu Calouste Gulbenkian,古爾本基安美術館
Falcoaria,鹰猎
Mazouco,马佐库
Tabuaço,塔布阿蘇
Guarda,瓜达
Alpendurada e Matos,阿尔蓬杜拉达和马图什
Paralelo 40 N,北纬40度线
Paralelo 33 N,北緯33度線
Paralelo 37 N,北緯37度線
Segredo de Fátima,法蒂瑪的三個秘密
Clube de Futebol União,馬迪亞拿聯
Penamaior,佩纳马约尔
Pedrouços (Maia),佩德罗苏什
Trofa (Águeda),特罗法·(阿盖达)
Clube de Futebol Os Belenenses,貝倫人足球俱樂部
Ilha das Flores (Açores),弗洛雷斯島·(亞速群島)
Ilha de Santa Maria,聖瑪麗亞島
Prémio Camões,卡蒙斯文學獎
Segunda Liga,葡萄牙足球甲级联赛
Supercopa da UEFA de 2011,2011年歐洲超級盃
Atenor,阿特诺尔
Castanheira de Pera,卡什塔涅拉德佩拉
Gimonde,吉蒙迪
Atiães,阿蒂昂伊什
Pedrógão Grande,大佩德羅岡
Mação,馬桑·(聖塔倫區)
Oleiros,奥莱鲁什
São Martinho de Bougado,圣马蒂纽-迪博加杜
Taça de Portugal de 2011–12,2011年至2012年葡萄牙杯
Roriz (Santo Tirso),罗里什·(圣蒂尔苏)
São Simão de Gouveia,圣西芒-迪戈韦亚
Biblioteca Joanina,若昂尼納圖書館
Igreja de São Vicente de Fora,城外圣文生修道院
Partido Democrático (Portugal),民主党·(葡萄牙)
Arquidiocese de Braga,天主教布拉加總教區
São Félix da Marinha,圣费利斯-达马里尼亚
Barreiro,巴雷鲁
Zoio,佐约
Calheta (Madeira),卡列塔·(馬德拉)
Ordem de Santiago,圣地亚哥骑士团
Atlético Clube de Portugal,葡萄牙體育會
Boavista Futebol Clube,博維斯塔足球會
Porto Moniz,莫尼什港
Montalegre,蒙塔萊格里
Peso da Régua,佩蘇達雷瓜
Valpaços,瓦爾帕蘇什
Vila Viçosa,維索薩鎮
Burgães,布尔加伊什
Canelas (Penafiel),卡内拉什·(佩纳菲耶尔)
Nisa,尼薩·(葡萄牙)
Vitória Sport Clube,維多利亞體育會
Distrito de Portalegre,波塔萊格雷區
Luzim,卢津
Pinheiro (Penafiel),皮涅鲁·(佩纳菲耶尔)
Gáfete,加费蒂
Portela (Penafiel),波尔特拉·(佩纳菲耶尔)
Perozelo,佩罗泽卢
Figueira (Penafiel),菲盖拉·(佩纳菲耶尔)
Gondomar Sport Clube,贡多马尔体育俱乐部
Atães (Guimarães),阿唐斯·(吉马良斯)
Vilar de Rei,维拉尔德雷
Chorente,绍伦特
Atães (Vila Verde),阿唐斯·(韦尔迪镇)
Sé (Porto),塞镇·(波尔图)
NUTS de Portugal,葡萄牙地域统计单位命名法
Gestaçô (Baião),热斯塔索·(巴扬)
São Teotónio (Odemira),圣特奥托纽
Fonte Arcada (Penafiel),丰蒂阿尔卡达·(佩纳菲耶尔)
Gatão,加唐
Canadelo,卡纳德卢
Nossa Senhora das Neves (Beja),内维斯圣母镇
Senhora da Graça de Padrões,塞尼奥-达格拉萨-迪帕德龙伊什
Romeu (Mirandela),罗梅乌
Bragança (Portugal),布拉干薩
Mós (Bragança),莫什·(布拉干萨)
Fiães (Santa Maria da Feira),菲昂伊什·(圣玛丽亚-达费拉)
Lusofonia,葡萄牙語圈
Peredo dos Castelhanos,佩雷杜-杜什卡斯特利亚努什
Base Aérea das Lajes,拉日什空軍基地
Lamelas,拉梅拉什
Lamas do Vouga,拉马什-杜沃加
Lamoso,拉莫苏
Gulpilhares,古尔皮利亚里什
São Pedro da Cova,圣佩德罗-达科瓦
Museu da Eletricidade (Lisboa),电力博物馆·(里斯本)
Duas Igrejas (Miranda do Douro),双教堂镇·(杜罗河畔米兰达)
Duas Igrejas (Paredes),双教堂镇·(帕雷德斯)
Préstimo,普雷斯迪穆
Labruge,拉布鲁吉
Ponte Vasco da Gama,華士古·達伽馬大橋
Associação Académica de Coimbra – Organismo Autónomo de Futebol,科英布拉大學足球會
Elvas,埃爾瓦什
Partido Comunista Português,葡萄牙共產黨
Monforte,蒙福爾特·(葡萄牙)
Caldo verde,葡式甘蓝汤
Ourém (Portugal),歐倫
Peredo da Bemposta,佩雷杜-达本博斯塔
Estádio Prof. Dr. José Vieira de Carvalho,荷西·維亞拿·迪·卡華路教授運動場
Distrito de Leiria,萊里亞區
Distrito de Santarém,聖塔倫區
Vila de Frades,弗拉迪什镇
Maceda (Ovar),马塞达·(葡萄牙堂区)
Distrito de Faro,法魯區
Distrito de Coimbra,科英布拉區
Ribeira Brava (Madeira),里韋拉布拉瓦·(馬德拉)
Águeda (freguesia),阿格达·(葡萄牙堂区)
Águeda,阿格達
Santa Margarida de Lousada,圣玛格丽达-迪洛萨达
Biblioteca Nacional de Portugal,葡萄牙國家圖書館
Bunheiro,布涅鲁
Garvão,加尔旺·(葡萄牙堂区)
São Pedro de Solis,圣佩德罗-迪索利什
São Sebastião dos Carros,圣塞巴斯蒂昂-杜什卡鲁什
Corte do Pinto,科尔蒂-杜平图
São Roque do Pico,聖羅克杜皮庫
Santana de Cambas,圣安娜-迪坎巴什
Águas Santas (Póvoa de Lanhoso),阿瓜什桑塔什·(波瓦-迪拉尼奥苏)
Águas Vivas,阿瓜什维瓦什
Águas Santas (Maia),阿瓜什桑塔什·(马亚)
Água Longa,阿瓜隆加
Estela (Póvoa de Varzim),埃什特拉·(波瓦-迪瓦尔津)
Calheta (Açores),卡列塔·(亞速爾群島)
Salvada,萨尔瓦达
São Jorge de Vizela,圣若热-迪维泽拉
São Brissos (Beja),圣布里苏什
Jogos da Lusofonia de 2009,2009年葡語系運動會
Penalva do Castelo,佩納爾瓦堡
Espírito Santo (Nisa),圣埃斯皮里图·(尼萨)
Santa Clara-a-Nova,新圣克拉拉
Boelhe,博埃利
Transportes em Portugal,葡萄牙交通
Santiago de Figueiró,圣地亚哥-迪菲盖罗
Primeira Liga Experimental de 1934–35,1934年至1935年葡萄牙足球超级联赛
A13 (autoestrada),A13高速公路·(葡萄牙)
Autoestrada A1,A1高速公路·(葡萄牙)
A11 (autoestrada),A11高速公路·(葡萄牙)
A14 (autoestrada),A14高速公路·(葡萄牙)
A12 (autoestrada),A12高速公路·(葡萄牙)
A10 (autoestrada),A10高速公路·(葡萄牙)
Lajes do Pico,拉日什杜皮庫
Gomes Aires,戈米什艾里什
Praça do Marquês de Pombal (Lisboa),庞巴尔侯爵广场
Larinho,拉里纽
Santo Agostinho (Moura),圣阿戈斯蒂纽
Vila Nova da Baronia,巴罗尼亚新镇
Santana da Serra,圣安娜-达塞拉
São João de Negrilhos,圣若昂-迪内格里柳什
Sobral da Adiça,索布拉尔-达阿迪萨
São Matias (Beja),圣马蒂亚什
Santo Amador,圣阿马多尔
São João dos Caldeireiros,圣若昂-杜斯卡尔代雷鲁什
A15 (autoestrada),A15高速公路·(葡萄牙)
A16 (autoestrada),A16高速公路·(葡萄牙)
A24 (autoestrada),A24高速公路·(葡萄牙)
A19 (autoestrada),A19高速公路·(葡萄牙)
A21 (autoestrada),A21高速公路·(葡萄牙)
A23 (autoestrada),A23高速公路·(葡萄牙)
A25 (autoestrada),A25高速公路·(葡萄牙)
A17 (autoestrada),A17高速公路·(葡萄牙)
A2 (autoestrada),A2高速公路·(葡萄牙)
A22 (autoestrada),A22高速公路·(葡萄牙)
A37 (autoestrada),A37高速公路·(葡萄牙)
A33 (autoestrada),A33高速公路·(葡萄牙)
A3 (autoestrada),A3高速公路·(葡萄牙)
A29 (autoestrada),A29高速公路·(葡萄牙)
A28 (autoestrada),A28高速公路·(葡萄牙)
A27 (autoestrada),A27高速公路·(葡萄牙)
A36 (autoestrada),A36高速公路·(葡萄牙)
A38 (autoestrada),A38高速公路·(葡萄牙)
Gafanha da Nazaré,加法尼亚-达纳扎雷
Rio Tinto (Gondomar),里奧廷托
Freamunde,弗雷阿蒙迪
Quarteira,夸爾泰拉
Vila Nova de Milfontes,米尔丰特什新镇
Silva Escura (Maia),锡尔瓦埃斯库拉·(马亚)
Gandra (Paredes),甘德拉·(帕雷迪什)
Vilarinho da Castanheira,维拉里纽-达卡斯塔涅拉
Lagares (Felgueiras),拉加里什·(费尔盖拉什)
Praça da Figueira,无花果树广场
Paralelo 42 N,北纬42度线
Paralelo 41 N,北緯41度線
Eiriz,埃里什
Diocese de Lamego,天主教拉梅古教區
Panoias (Ourique),帕诺亚什
Lista dos bispos de Macau,天主教澳門教區主教列表
Palmeira (Santo Tirso),帕尔梅拉·(圣蒂尔苏)
Vilar (Vila do Conde),维拉尔·(孔迪镇)
Esmoriz,埃斯莫里斯
Messejana,梅塞雅纳
São Barnabé (Almodôvar),圣巴尔纳贝·(葡萄牙)
São Miguel do Pinheiro,圣米格尔-杜皮涅鲁
Ermesinde,埃尔梅辛迪
São Salvador (Odemira),圣萨尔瓦多·(贝雅区)
Recardães,雷卡尔当伊什
Edrosa,埃德罗萨
Ferreira (Paços de Ferreira),费雷拉·(帕库什-迪费雷拉)
Junqueira (Vila do Conde),容凯拉·(孔迪镇)
Lever,莱维尔
Vilarelhos,维拉雷柳什
Santão,桑唐
Leça da Palmeira,莱萨-达帕尔梅拉
Lordelo do Ouro,洛尔德卢-杜欧鲁
Revolução liberal do Porto,1820年葡萄牙自由革命
Margaride,马尔加里迪
Longueira / Almograve,隆盖拉-阿尔莫格拉维
A30 (autoestrada),A30高速公路·(葡萄牙)
Sampaio (Vila Flor),桑帕尤·(费洛尔镇)
A42 (autoestrada),A42高速公路·(葡萄牙)
A4 (autoestrada),A4高速公路·(葡萄牙)
A7 (autoestrada),A7高速公路·(葡萄牙)
A6 (autoestrada),A6高速公路·(葡萄牙)
A41 (autoestrada),A41高速公路·(葡萄牙)
A43 (autoestrada),A43高速公路·(葡萄牙)
A5 (autoestrada),A5高速公路·(葡萄牙)
Baixo Alentejo (província),下阿连特茹省
A8 (autoestrada),A8高速公路·(葡萄牙)
A9 (autoestrada),A9高速公路·(葡萄牙)
Santa Maria de Avioso,圣玛丽亚-迪阿维奥苏
Leça do Balio,莱萨-杜巴柳
Lajes das Flores,拉日什-達什弗洛里什
São Pedro de Avioso,圣佩德罗-迪阿维奥苏
Ribeira de Fráguas,里贝拉-迪弗拉瓜什
Santa Eulália (Arouca),圣欧拉利娅·(阿罗卡)
Ponte de D. Luís (Porto),路易一世大橋
Estádio Nacional do Jamor,國家體育場·(葡萄牙)
Jogos da Lusofonia,葡語系運動會
Urrô (Arouca),乌罗·(阿罗卡)
Comunidade Intermunicipal Viseu Dão Lafões,维塞乌-当-拉丰伊什
Distrito de Viseu,維塞烏區
Cascais,卡斯凯什
Mosteiro dos Jerónimos,熱羅尼莫斯修道院
Distrito de Castelo Branco,布朗庫堡區
Distrito da Guarda,瓜達區
Seleção Portuguesa de Futebol,葡萄牙國家足球隊
Estádio do Dragão,火龍球場
Avenida da Liberdade (Lisboa),自由大道
Avidagos,阿维达戈什
Aveleda (Braga),阿韦莱达·(布拉加)
Avessadas,阿韦萨达什
Aveleda (Bragança),阿韦莱达·(布拉干萨)
São João de Loure,圣若昂-迪洛里
Avidos,阿维多什
Valmaior,瓦尔马约尔
Batalha de Aljubarrota,阿尔茹巴罗塔战役
Distrito de Évora,埃武拉區
Distrito de Setúbal,塞圖巴爾區
Festa do Avante!,前进报节
Vila Verde (Vinhais),韦尔迪镇·(维尼艾什)
Frossos (Albergaria-a-Velha),弗罗苏什·(旧阿尔贝加里亚)
Entradas (Castro Verde),恩特拉达什
Avis,阿維斯·(葡萄牙)
Avintes,阿温蒂什
Beira Litoral,滨海贝拉省
Santarém (Portugal),圣塔伦·(葡萄牙)
Avantos,阿万托斯
Avanca,阿万卡
Autódromo Internacional do Algarve,阿尔加维国际赛道
Avelanoso,阿韦拉诺苏
Alquerubim,阿尔克鲁宾
Vila Chã do Marão,马朗尚镇
Beira Alta,上贝拉省
Universidade Técnica de Lisboa,里斯本技術大學
Partido Operário de Unidade Socialista,社会主义团结工人党
Batalha de Ourique,奥里基战役
Barcouço,巴科苏
Lomba (Gondomar),隆巴·(贡多马尔)
Moreirense Futebol Clube,莫雷倫斯足球俱樂部
Santa Justa (Arraiolos),圣茹什塔·(阿拉约卢什)
Caldelas (Amares),卡尔德拉斯·(阿马里什)
Mozelos (Santa Maria da Feira),莫泽洛斯·(圣玛丽亚达费拉)
Santa Maria (Bragança),圣玛丽亚·(布拉干萨)
Olo,奥卢·(葡萄牙)
Tondela,通德拉·(葡萄牙)
Nabo (Vila Flor),纳布·(费洛尔镇)
Sever do Vouga (freguesia),塞维尔-杜沃加·(葡萄牙堂区)
Codal,科达尔
Nespereira (Lousada),内斯佩雷拉·(洛萨达)
Vale de Santiago,瓦莱-迪圣地亚哥
Macieira de Alcoba,马西埃拉-迪阿尔科巴
Macedo do Mato,马塞杜-杜马图
Macieira da Maia,马西埃拉-达马亚
Babe (Bragança),巴贝·(葡萄牙堂区)
Carregal do Sal,卡雷加爾杜薩爾
Marinha Grande,大馬里尼亞
Estádio José Alvalade,阿爾瓦拉德球場
Espinhel (Águeda),埃什皮尼尔·(阿格达)
Escola Superior de Teatro e Cinema,里斯本戲劇與電影學校
Macieira da Lixa,马西埃拉-达利沙
Espinhosela,埃什皮尼奥塞拉
Macinhata do Vouga,马西尼亚塔-杜沃加
Madalena (Paredes),马达莱纳·(帕雷迪什)
Samil,萨米尔
Mafamude,马法穆迪
Milheirós (Maia),米列罗什·(马亚)
Vilar de Peregrinos,维拉尔-迪佩雷格里努什
Malta (Vila do Conde),马尔塔·(孔迪镇)
Malhadas,马利亚达什
Ílhavo,伊利亞武
Óis da Ribeira,奥伊什-达里贝拉
Bagueixe,巴盖希
Baguim do Monte,巴金-杜蒙蒂
Viana do Alentejo,維亞納杜阿連特茹
Abade de Vermoim,阿巴迪-迪韦尔莫因
Abambres,阿班布雷斯
Federação Portuguesa de Futebol,葡萄牙足球總會
Abadim,阿巴丁·(卡贝塞拉什-德巴什图)
Baixa de Lisboa,庞巴尔下城
Bairros,拜鲁什
Bairro (Vila Nova de Famalicão),拜罗·(法马利康新镇)
Albergaria-a-Velha,旧阿尔贝加里亚
Lourosa (Santa Maria da Feira),洛罗萨·(圣玛丽亚-达费拉)
Espiunca,埃什皮温卡
Lordelo (Felgueiras),洛尔德卢·(费尔盖拉什)
Nossa Senhora da Expectação (Campo Maior),埃斯佩兰萨圣母村·(坎普马约尔)
Caldas da Rainha,卡爾達斯達賴尼亞
Antime,安蒂米
Óbidos,奧比杜什
São Gregório (Arraiolos),圣格雷戈里乌·(阿拉约卢什)
Vinhais (freguesia),维尼艾什·(葡萄牙堂区)
Ourique (freguesia),欧里基·(葡萄牙堂区)
Beira Baixa,下贝拉省
Azurém,阿祖伦
Azurara (Vila do Conde),阿祖拉拉·(孔迪镇)
Azinhoso,阿齐尼奥苏
Junqueira (Vale de Cambra),容凯拉·(瓦莱-迪坎布拉)
Válega,瓦莱加
Oliveira do Bairro (freguesia),奥利韦拉-杜拜鲁·(葡萄牙堂区)
Longomel,隆戈米尔
Castelões (Guimarães),卡斯特隆伊什·(吉马良斯)
Santa Bárbara de Padrões,圣巴巴拉-迪帕德龙伊什
Pombal (Alfândega da Fé),蓬巴尔·(阿尔凡德加-达菲)
Santa Marinha (Vila Nova de Gaia),圣马里尼亚·(加亚新城)
Praça de Luís de Camões,贾梅士广场
Britelo (Celorico de Basto),布里特卢·(塞洛里库-迪巴什图)
Alfaião,阿尔法伊昂
Sporting Clube da Covilhã,高維拿體育會
Valpedre,瓦尔佩德里
Vilar do Torno e Alentém,维拉尔-杜托努和阿伦滕
Distrito de Beja,貝雅區
Aboim (Amarante),阿博因·(阿馬蘭蒂)
Presidente da República Portuguesa,葡萄牙总统
Aboim (Fafe),阿博因·(法菲)
Aboadela,阿博阿德拉
Aboim da Nóbrega,阿博因-达诺布雷加
Baleizão,巴莱藏
Santuário Nacional de Cristo Rei,里斯本大耶穌像
Balança (Terras de Bouro),巴兰萨·(特拉什-杜博鲁)
Baltar (Paredes),巴尔塔尔·(帕雷德斯)
Balazar (Póvoa de Varzim),巴拉萨尔·(波瓦-迪瓦尔津)
Balazar (Guimarães),巴拉扎尔·(吉马良斯)
Abragão,阿布拉冈
Distrito do Porto,波爾圖區
Baião (Portugal),巴扬
Aborim,阿博林
Banco Nacional Ultramarino,大西洋銀行
Barca (Maia),巴尔卡·(马亚)
Barbudo (Vila Verde),巴布多
Banco Espírito Santo,圣灵银行
A Bola,球报·(葡萄牙)
Barqueiros (Barcelos),巴凯鲁什·(巴塞卢什)
Barcelinhos,巴塞利纽什
Barcelos (freguesia),巴塞卢什·(葡萄牙堂区)
Barcel,巴塞尔·(葡萄牙)
Futebol Clube de Penafiel,彭拿費爾足球會
Futebol Clube de Vizela,維薛拿足球會
Batalha da Roliça,罗利萨之战
Estado Português da Índia,葡屬印度
Arcozelo (Vila Verde),阿尔科泽卢·(韦尔迪镇)
Abade de Neiva,阿巴迪迪内瓦
São Vicente (Madeira),聖維森特·(馬德拉)
Bagunte,巴贡蒂
