André-Pierre Gignac,アンドレ＝ピエール・ジニャック
Maximilian von Götzen-Itúrbide,マクシミリアン・フォン・ゲッツェン＝イトゥルビデ
Alfredo Beltrán Leyva,アルフレド・ベルトラン・レイバ
Aída Román,アイーダ・ローマン
Juan Nepomuceno Almonte,フアン・アルモンテ
Raúl Araiza Herrera,ラウル・アライサ
Pina Pellicer,ピナ・ペリサー
Javier Escuella,ハビエル・エスクエラ
Javier Jáuregui,ハビエル・ハウレギ
Ignacio Bonillas,イグナシオ・ボニージャス
Elías Hernández,エリアス・エルナンデス
Guillermo Arriaga Jordán,ギジェルモ・アリアガ
Horacio Casarín,オラシオ・カサリン
Madaí Pérez,マダイ・ペレス
Ana María López Colomé,アナ・マリア・ロペス・コロメ
Ana María Torres,アナ・マリア・トーレス
Altaír Tejeda de Tamez,アルタイル・テヘダ
Jay Hernández,ジェイ・ヘルナンデス
Macarena Gonzalez,ルシア・サラーテ
Superbarrio Gómez,スーパーバリオ・ゴメス
Ignacio Beristáin,イグナシオ・ベリスタイン
Amanda Olivares,アマンダ・オリバレス
Guillermo Navarro,ギレルモ・ナヴァロ
Alfredo Aceves,アルフレド・アセベス
Luis García Postigo,ルイス・ガルシア・ポスティーゴ
Amado Ursua,アマド・ウルスア
Amalia Aguilar,アマリア・アギラール
Amalia Hernández Navarro,アマリア・エルナンデス
Amalia Mendoza,アマーリア・メンドーサ
Julián Hernández Pérez,フリアン・エルナンデス
José Fernando Ramírez,ホセ・フェルナンド・ラミレス
Francisco Ramírez Gámez,フランシスコ・ハビエル・ラミレス・ガメス
Rey Bucanero,レイ・ブカネロ
Rafael Baca,ラファエル・バカ
Miguel Herrera Aguirre,ミゲル・エレーラ
Juan José Esparragoza Moreno,フアン・ホセ・エスパラゴーサ・モレーノ
Juan López Moctezuma,フアン・ロペス・モクテズマ
Paty Cantú,パティ・カントゥ
Priscila Perales,プリシラ・ペラレス
José Luis López,ホセ・ルイス・ロペス
Enrique Borja,エンリケ・ボルハ
Patricia Manterola,パトリシア・マンテローラ
Francisco Toledo,フランシスコ・トレド
José Alfredo Jiménez,ホセ・アルフレド・ヒメネス
Enrique Chagoya,エンリケ・チャゴヤ
Rodrigo Prieto,ロドリゴ・プリエト
Diego Boneta,ディエゴ・ボネータ
Rosenda Monteros,ロゼンダ・モンテロス
José Antonio Mead,ホセ・アントニオ・ミード
Andrea Palma,アンドレア・パルマ
Enrique Norten,エンリケ・ノルテン
Juan Zurita,ファン・スリタ
Lisset,リセット
Ce Ácatl Topiltzin Quetzalcóatl,トピルツィン
Fernando del Paso Morante,フェルナンド・デル・パソ
Amparo Dávila,アンパロ・ダビラ
Lilia Prado,リリア・プラド
Leticia Murray,レティ・マレー
José Luis Sánchez Solá,ホセ・ルイス・サンチェス・ソラ
R. H. Barlow,R・H・バーロウ
Santiago González Torre,サンティアゴ・ゴンサレス
Carlos Carrera,カルロス・カレラ
Jesús Ramírez,ヘスス・ラミーレス
Jaime Torres Bodet,ハイメ・トレス・ボデー
Antonio Canales Rosillo,アントニオ・カナレス・ロシリョ
Andy Ruiz,アンディ・ルイス・ジュニア
Antonio Avelar,アントニオ・アベラル
Esteban Emiliano Hernandez Baez,アレハンドロ・フェルナンデス
Jorge Eduardo Costilla Sánchez,ホルヘ・エドゥアルド・コスティージャ・サンチェス
Chespirito,ロベルト・ゴメス・ボラーニョ
Antonio Sancho,アントニオ・サンチョ
Miguel Treviño Morales,ミゲル・トレビーニョ・モラレス
Ernesto Cortázar,エルネスト・コルタサル
Andrés Gutiérrez,アンドレス・グティエレス
Antonio Valero de Bernabé y Pacheco,アントニオ・バレロ・デ・ベルナベ
Marcelino García Barragán,マルセリーノ・ガルシア・バラガン
José de Jesús Rodríguez,ホセ・デ・ヘスス・ロドリゲス
Néstor Araujo,ネストル・アラウホ
Ignacio Allende,イグナシオ・アジェンデ
Érik Morales,エリック・モラレス
Manuel Rosas Sánchez,マヌエル・ロサス
Pablo César Aguilar "El Capi Azulado",パブロ・セサル・アギラル
José Sulaimán,ホセ・スレイマン
Vanessa Bauche,ヴァネッサ・ボッシュ
Pedro Armendáriz Jr.,ペドロ・アルメンダリス・Jr
Manuel Tolsá,マヌエル・トルサ
Erick Torres Padilla,エリック・トーレス
Germán Sánchez,ヘルマン・サンチェス
Salvador Sánchez,サルバドル・サンチェス
Leticia Huijara,レティシア・フイジャラ
Lady Apache,レディ・アパッチェ
Luis Roberto Alves,ルイス・ロベルト・アウベス
Guillermo Rodriguez,ギレルモ・ロドリゲス
Sergio Vega,セルジオ・ベガ
Robert Garcia,ロベルト・ガルシア
Mario Domínguez,マリオ・ドミンゲス
Héctor Herrera,エクトル・ミゲル・エレーラ
Laura Zúñiga,ラウラ・スニガ
Kati Horna,カティ・オルナ
Jorge Ernesto Guzmán Rodríguez,エル・イホ・デル・サント
Sergio Goyri,セルジオ・ゴイリ
Juan Serrano,ファン・ルネ・セラーノ
Eufemio Zapata,エウフェミオ・サパタ
Manuel Esperón,マヌエル・エスペロン
Manuel Medina,マヌエル・メディナ
Super Crazy,スペル・クレイジー
Isaac Broid,イサック・ブロイド・サイマン
Vasquez,ファン・ディアス
Juan O'Gorman,ファン・オゴールマン
Michel Jourdain Jr.,ミチェル・ジョルディン・ジュニア
Luis Cruz,ルイス・クルーズ
Angélica Gavaldón,アンジェリカ・ガバルドン
Rodolfo Usigli,ロドルフォ・ウシグリ
Ignacio Manuel Altamirano,イグナシオ・マニュエル・アルタミラノ
Israel Jiménez,イスラエル・ヒメネス
Luis Padilla Nervo,ルイス・パディーラ・ネルボ
Francisco Araiza,フランシスコ・アライサ
Antonio Cárdenas Rodríguez,アントニオ・カルデナス・ロドリゲス
Yuridia,ユリディア
Néstor Vidrio,ネストル・ビドリオ
Giovani dos Santos,ジョバニ・ドス・サントス
Héctor Ruiz,ヘクター・ルイズ
Juan Manuel Márquez Méndez,ファン・マヌエル・マルケス
Manuel DeLanda,マヌエル・デランダ
Lupe Aquino,ルペ・アキノ
Ana Cecilia Cantú,アナ・セシリャ・カントゥ
Hugo Ayala,ウーゴ・アヤラ
Antonio Muñiz,アントニオ・ムニス
Antonio Osuna,アントニオ・オスーナ
Eiza González,エイザ・ゴンザレス
Manuel Negrete,マヌエル・ネグレテ
Mil Máscaras,ミル・マスカラス
Gustavo Peña,グスタボ・ペーニャ
Leonardo Lavalle,レオナルド・ラバージュ
Ignacio Zaragoza,イグナシオ・サラゴサ
José Emilio Pacheco,ホセ・エミリオ・パチェーコ
Guillermo Kahlo,ギリェルモ・カーロ
Armando Reynoso,アーマンド・レイノソ
Manuel Machado,マヌエル・マチャード
Eduardo del Río,リウス
Rafael Márquez Méndez,ラファエル・マルケス
Ayako Hamada,浜田文子
José Cuevas,ホセ・クエバス
Héctor Reynoso López,エクトル・レイノーソ
Rebecca Jones,レベッカ・ジョーンズ
Aníbal,アニバル
Apolo Dantés,アポロ・ダンテス
Apolonio Castillo,アポロニオ・カスティーリョ
Arcadio Poveda Ricalde,アルカディオ・ポベダ
Argenis,アルヘニス
Lamberto Rubio Vázquez,マリオ・ルビオ・バスケス
Benjamín Galindo,ベンハミン・ガリンド
Hernando de Alvarado Tezozómoc,エルナンド・デ・アルバラード・テソソモク
Nazario Moreno González,ナザリオ・モレノ・ゴンザレス
Marcelino Bernal,マルセリーノ・ベルナル
Arkangel De La Muerte,アルカンヘル・デ・ラ・ムエルテ
Marco Estrada,マルコ・エストラーダ
Martin LaSalle,マルタン・ラサール
Villano III,ビジャノ3号
Ricardo López,リカルド・ロペス
Gabriel Pareyon,ガブリエル・パレヨン
Luis Alcoriza,ルイス・アルコリサ
Manlio Fabio Beltrones,マンリオ・ファビオ・ベルトローネス
Armando Silvestre,アーマンド・シルヴェストル
Armando Torrea,アーマンド・トーレア
Mariano Guadalupe Vallejo,マリアーノ・グアタルーペ・ヴァレーオ
Miguel Canto,ミゲル・カント
Poncho Sánchez,ポンチョ・サンチェス
Margarita Ester Zavala Gómez del Campo,マルガリータ・サバラ
Geo Meneses,ヘオ・メネセス
Jorge Volpi,ホルヘ・ボルピ
Sofía Lama,ソフィア・ラマ
Eduardo Medina Mora,エドゥアルド・メディナ＝モラ・イカサ
Maricruz Nájera,マリクルーズ・ナヘラ
Timo Pérez,ティモニエル・ペレス
Erubiel Durazo,エルビエル・デュラーゾ
Jorge Arvizu,ジョルジ・アルヴィズ
Miguel Layún,ミゲル・ラユン
Arturo López,アーテューロ・ロペス
Augustine Chacon,オーガスティン・チャコン
Aureliano Urrutia,アウレリアーノ・ウルティア
Mariano Escobedo,マリアーノ・エスコペド
Matías Romero Avendaño,マティアス・ロメロ
Rodolfo Acosta,ロドルフォ・アコスタ
Alfonso Caso,アルフォンソ・カソ
Otto Sirgo,オト・スィルゴ
Margit Frenk,マルヒット・フレンク
Benji Gil,ベンジー・ギル
Arturo Guzmán Decena,アルトゥーロ・グスマン・デセナ
Maria Josepha Sophia de Itúrbide,マリア・ホセファ・デ・イトゥルビデ
Mario Almada,マリオ・アルマダ
José Salvador Carmona Álvarez,サルバドール・カルモナ
Gustavo Ayón,グスタボ・アヨン
Lucio Cabañas,ルーシオ・カバニャス
Maruxa Vilalta,マルーシャ・ビラルタ
María José,マリア・ホセ
Vicente Saldivar,ビセンテ・サルディバル
Félix Díaz,フェリックス・ディアス (政治家)
Alejandro García,アレハンドロ・ガルシア
Fermín IV,フェルミンIV
Zeferino Nandayapa,ゼフェリーノ・ナンダヤパ
Mauricio Aceves,マウリシオ・アセベス
Mauricio Magdaleno,マウリシオ・マグダレーノ
Jorge Emilio González Martínez,ホルヘ・エミリオ・ゴンサレス・マルティネス
Edgar Pacheco,エドガル・パチェコ
Edgar Sosa,エドガル・ソーサ
Ulises Solís,ウリセス・ソリス
Daniel Zaragoza,ダニエル・サラゴサ
Juan Ferrara,ホアン・フェラーラ
Javier Aquino,ハビエル・アキーノ
Rodrigo Abed,ロドリーゴ・アベド
Miguel Domínguez,ミゲル・ドミンゲス
Cristian Castro,クリスティアン・カストロ
Miguel Alonso Reyes,ミゲル・アロンソ・レイエス
Tom Fears,トム・フィアーズ
Adrián Martínez,エイドリアン・マルティネス
Black Man,ブラックマン
Emilio Carranza,エミリオ・カランサ
Armén Ohanián,アルメン・オハニアン
Francisco Cabañas,フランシスコ・カバニャス
Rodolfo Sánchez Taboada,ロドルフォ・サンチェス・タボアダ
Javier Cortés,ハビエル・コルテス
Efren Torres,アラクラン・トーレス
Blue Panther,ブルー・パンテル
Bobby Treviño,ボビー・トレビーニョ
Octagón,オクタゴン
Natalia Lafourcade,ナタリア・ラフォルカデ
Eugenio Derbez,エウジェニオ・ダーベス
Bebu Silvetti,ファン・フェルナンド・シルヴェッティ・アドルノ
Victoria Ruffo,ビクトリア・ルッフォ
Francisco Javier Clavijero,フランシスコ・ハピエール・クラビヘロ
Roberto Ávila,ボビー・アビラ
Bocafloja,ボカフロハ
Blaise Agüera y Arcas,ブレイス・アグエラ・イ・アルカス
Freddy Castillo,フレディー・カスティーリョ
Jean Meyer,ジャン・メイエ
Kristian Álvarez,クリスチャン・アルバレス
Brazo de Oro,ブラソ・デ・オロ
Grettell Valdez,グレテル・ヴァルディーズ
Cándido Ramírez,カンディド・ラミレス
Rogelio Gabriel Funes Mori,ロヘリオ・フネス・モリ
Paco Ignacio Taibo II,パコ・イグナシオ・タイボ二世
Antonio Sánchez,アントニオ・サンチェズ
Victor Rabanales,ビクトル・ラバナレス
Black Warrior,ブラック・ウォリアー
José Antonio Aguirre,ホセ・アントニオ・アギーレ
Gabriel Bernal,ガブリエル・ベルナル
Gilberto Román,ヒルベルト・ローマン
Miguel León Portilla,ミゲル・レオン＝ポルティーヤ
Elisa Nájera,エリザ・ナヘラ
Bernardo de la Garza,ベルナルド・デ・ラ・ハルサ
Bestia Salvaje,ベスティア・サルバヘ
Carlos Velo,カルロス・ヴェロ
Rodrigo Guerrero,ロドリゴ・ゲレロ
Helena Rojo,ヘレナ・ロホ
Servando González,セルヴァンド・ゴンザレス
Miguel González,ミゲル・ゴンザレス
Miguel Inclán,ミゲル・インクラン
Úrsulo Galván Reyes,ウルスロ・ガルバン
Francisco Romano Guillemin,フランシスコ・ロマーノ・ギルマン
Juan Villoro,フアン・ビジョーロ
José María Velasco,ホセ・マリア・ベラスコ・ゴメス・オブレゴン
José Antonio Castro González,ホセ・アントニオ・カストロ
Carla Morrison,カーラ・モリソン
Carlos Beltrán Leyva,カルロス・ベルトラン・レイバ
Carlos Agostí,カルロス・アゴスティ
Carlos Peña Rodríguez,カルロス・アルベルト・ペーニャ
Byron Galvez,バイロン・ガルベス
Antonio Gallardo,アントニオ・ガヤルド
Alberto J. Pani,アルベルト・J・パーニ
Carlos Guerrero,カルロス・ゲレーロ
Manuel Robles Pezuela,マヌエル・ロブレス・ペスエラ
Álvaro Carrillo,アルバーロ・カリーヨ
Blas Cabrera Felipe,ブラス・カブレラ・フェリペ
Jorge Reyes,ジョージ・レイズ
Patricia Reyes Spíndola,パトリシア・レイエス・スピンドーラ
Isidro Fabela,イシドロ・ファベラ
Jesús Manuel Corona,ヘスス・マヌエル・コロナ
Chucho Castillo,チューチョ・カスティーヨ
Miguel Morayta Martínez,ミゲル・モライタ
Las Poquianchis,ゴンサレス姉妹
Jorge Rivero,ジョージ・リベロ
Carlos Pardo,カルロス・パルド
José Mariano Jiménez,ホセ・マリアノ・ヒメネス
Heriberto Lazcano Lazcano,エリベルト・ラスカーノ
Ana Brenda Contreras Perez,アナ・ブレンダ・コントレラス
Carlos Amado Molina,カルロス・モリーナ
Rafael Limón,ラファエル・リモン
Rafael Sánchez Navarro,ラファエル・サンチェス・ナバロ
Rafael García Torres,ラファエル・ガルシア・トーレス
Odiseo Bichir,オディセオ・ビチル
Dr. Wagner Jr.,ドクトル・ワグナー・ジュニア
Armando Manzanero,アルマンド・マンサネーロ
Joaquín López-Dóriga,ホアキン・ロペス・ドリガ
Canek,エル・カネック
José Treviño,ホセ・トレビーノ
Alberto Ruz Lhuillier,アルベルト・ルス
David Cortés,デービッド・コルテス
Narciso Elvira,ナルシソ・エルビラ
Karim García,カリーム・ガルシア
El Cibernético,シベルネティコ
Rafael Caro Quintero,ラファエル・カロ・キンテロ
Justo Sierra Méndez,フスト・シエラ
Félix Cruz,フェリックス・クルス
Félix Fernández Christileb,フェリックス・フェルナンデス
Popé,ポペ
Ernesto Alonso,エルネスト・アロンソ
Gabriel Figueroa,ガブリエル・フィゲロア
Vanessa Villela,ヴァネッサ・ヴィレラ
Luis Fernando Tena,ルイス・フェルナンド・テナ
Jorge Fons,ホルヘ・フォンス
Carlos López Estrada,カルロス・ロペス・エストラーダ
Carlos Cuadras,カルロス・クアドラス
Mariana Ochoa,マリアナ・オチョア
Betty Suarez,ベティ・スアレス
Pablo González Garza,パブロ・ゴンザレス・ガルサ
Layda Sansores,レイダ・エレナ・サンソレス
Eduardo Fajardo,エデュアルド・ファジャルド
Ricardo Delgado Nogales,リカルド・デルガド
Jhonny González,ジョニー・ゴンサレス
Fernando Montiel,フェルナンド・モンティエル
Joaquín Amaro Domínguez,ホアキン・アマーロ
Cacamatzin,カカマツィン
Pablo de La Llave,パブロ・デ・ラ・ジャーベ
Ignacio Trelles,イグナシオ・トレレス
Corenne Bruhns,コリーヌ・ブルーンス
Jesús Reyes Heroles,レジェス・エロレス
Murcof,ムルコフ
Richard Sánchez,リカルド・サンチェス
Rosalva Luna,ロザルバ・ルナ
Rosalío Solano,ロザリオ・ソラーノ
Paola Núñez,パオラ・ヌニェス
Emily Naphtal,エミリー・ナフタル
Luis Hernández,ルイス・エルナンデス
René Cardona III,ルネ・カルドナIII
Ricky Marvin,リッキー・マルビン
Esperanza Baur,エスペランサ・バウアー
René Arredondo,レネ・アルレドンド
Humberto Contreras,ウンベルト・コントレラス
Adrian Alvarado,アドリャン・アルバラド
Jorge Solís,ホルヘ・ソリス
Ludwika Paleta,ルドウィカ・パレタ
Fernando de Fuentes,フェルナンド・デ・フェンテス
Melchor Múzquiz,メルチョール・ムスキス
Félix María Zuloaga,フェリックス・マリア・スロアガ
Rodolfo Bernardelli,ロドルフォ・ベルナルデリ
Rodolfo González,ロドルフォ・ゴンザレス
Michele Cantú,ミチェレ・カントゥ
Cavernario Galíndo,カルベナリオ・ガレント
Celso Piña,セルソ・ピニヤ
Adrián Fernández,エイドリアン・フェルナンデス
Rubén Salazar,ルーベン・サラサール
Rudy Zamora,ルーディー・ザモラ
Carlos Miguel Prieto,カルロス・ミゲル・プリエト
Carlos Montalbán,カーロス・モンタルバン
Refino Tamal,ルフィーノ・タマヨ
Julio Díaz,フリオ・ディアス
Hernán Márquez,エルナン・マルケス
José José,ホセ・ホセ
Camila Sodi,カミラ・ソディ
Olga Sánchez Cordero,オルガ・サンチェス・コルデロ
Francisco Gattorno,フランシスコ・ガットルノ
Rob Moran,ロブ・モラン
Roberto Cobo,ロベルト・コボ
Chessman,チェスマン
Fernando Ciangherotti,フェルナンド・チャンゲロッティ
Charly Manson,チャーリー・マンソン
Guillermo Hernández "El Campeón",ギジェルモ・エルナンデス
Marco Méndez,マルコ・メンデス
Jesús Delgado Saldaña,ミステル・アギラ
Alan Pulido,アラン・プリード
Jesús Arellano,ヘスース・アレジャーノ
Gustavo Rojo,グスターヴォ・ロホ
Salvador Toscano,サルバトール・トスカーノ
Moisés Muñoz,モイセス・ムニョス
José Sarukhán Kermez,ホセ・サルカン・ケルメス
Gilberto Aceves Navarro,ジルベルト・アセベス・ナヴァロ
Crazy Boy,クレイジー・ボーイ
Hugo Cázares,ウーゴ・カサレス
Wolfgang Paalen,ヴォルフガング・パーレン
Carlos Arruza,カルロス・アルーザ
Juan Carlos Salgado,ファン・カルロス・サルガド
Gamaliel Díaz,ガマリエル・ディアス
Pedro Infante Torrentera,ペドロ・インファンテ・ジュニア
Erik Pérez,エリック・ペレス
Ciclón Ramirez,シクロン・ラミレス
Clara Brugada,クララ・ブルガダ
Tatiana,タチアナ
Roberto Madrazo,ロベルト・マドラソ・ピンタド
Jorge Enríquez García,ホルヘ・エンリケス
Jenni Rivera,ジェニー・リヴェラ
Melchor Ocampo,メルチョール・オカンポ
Luis Mendoza,ルイス・メンドーサ
Julio César González,フリオ・セサール・ゴンザレス
Cristian Mijares,クリスチャン・ミハレス
Ismael Rodríguez,イスマエル・ロドリゲス
Roberto Gavaldón,ロベルト・ガヴァルドン
Conlon Nancarrow,コンロン・ナンカロウ
Emmanuel Lubezkii,エマニュエル・ルベツキ
Humberto González,ウンベルト・ゴンザレス
Sergio Pitol,セルヒオ・ピトル
Félix Candela,フェリックス・キャンデラ
Rodolfo Neri Vela,ロドルフォ・ネリ・ヴェラ
Álex Cabrera,アレックス・カブレラ
Claude Heller,クロード・ヘレル・ルーアサン
Manuel Álvarez Bravo,マヌエル・アルバレス・ブラボ
Crisanto Grajales,クリサント・グラハーレス
Cristhian Presichi,クリスティアン・プレシチ
Manuel Maples Arce,マヌエル・マプレス・アルセ
Ramón Novarro,ラモン・ノヴァロ
Enrique Álvarez Félix,エンリケ・アルバレス・フェリックス
Fanny Cano,ファニー・ダミアン・カノ
Sasha Montenegro,サシャモ・ンテネグロ
Diego Reyes Rosales,ディエゴ・レジェス
Javier Orozco,ハビエル・オロスコ
Fernando Allende,フェルナンド・アジェンデ
Alberto García-Aspe,アルベルト・ガルシア・アスペ
Fernando Eimbcke,フェルナンド・エインビッケ
Guillermo Haro,ギイェルモ・アロ
Cruz Carbajal,クルス・カルバハル
Homero Aridjis,ホメロ・アジリス
Itatí Cantoral,イタッティ・カントーラル
Alejandro Monteverde,アレハンドロ・ゴメス・モンテヴェルデ
Lance Allred,ランス・オーレッド
Moisés Aldape,モイセス・アルダペ
Edgardo Codesal Méndez,エドガルド・コデサル・メンデス
Jorge Martínez de Hoyos,ホルヘ・マルティネス・デ・オヨス
Arturo Barrio,アルトゥーロ・バリオス
Raúl Alcalá,ラウル・アルカラ
Columba Bush,コルンバ・ブッシュ
Cynthia de la Vega,シンシア・デ・ラ・ベガ
Alejandro Luna Ledesma,アレハンドロ・ルナ
Oscar Morelli,オスカル・モレリ
Carmen Montejo,カルメン・モンテージョ
Sara Corrales,サラ・コラレス
Jaime Maussan,ハイメ・マウサン
Fernando Garibay,フェルナンド・ギャリベイ
Julio Cedillo,フリオ・セディーヨ
Damián 666,ダミアン666
Damián Alcázar,ダミアン・アルカザール
Cynthia Moreno,シンティア・モレノ
Josefina Echánove,ジョセフィーナ・エカノーブ
Cy Acosta,サイ・アコスタ
Ofelia Guilmáin,オフェリア・ギルマイン
Daniel Rosas,ダニエル・ロサス
Jorge Carlos Vergara Madrigal,ホルヘ・ベルガラ
Francisco Palencia,フランシスコ・パレンシア
Arturo Márquez,アルトゥロ・マルケス
Guillermo Galván Galván,ギレルモ・ガルバン
Esteban Toledo,エステバン・トレド
Óscar Larios,オスカー・ラリオス
Ana María de México,アナ・マリア・ホセファ・ラモーナ・デ・ウアルテ・イ・ムニス
Enrique Bátiz,エンリケ・バティス
Sharis Cid,シャリス・チド
Galilea Montijo,ガリレア・モンテホ
Columba Domínguez,コルンバ・ドミンゲス
Miguel Ángel Félix Gallardo,ミゲル・アンヘル・フェリクス・ガジャルド
Iliana Fox,イリアナ・フォックス
Robert Graham,ロバート・グラハム
Raúl González Rodríguez,ラウル・ゴンサレス
Teodoro González de León,テオドロ・ゴンザレス・デ・レオン
Roberto Montenegro,ロベルト・モンテネグロ
Mia St. John,ミア・セント・ジョン
Marcial Maciel,マルシアル・マシエル
Juan Gabriel,フアン・ガブリエル
Jesse Tobias,ジェス・トビアス
Luis Ernesto Pérez,ルイス・ペレス
Arturo Ripstein,アルトゥーロ・リプスタイン
Emilio Azcárraga,エミリオ・アスカラガ・ジャン
Ignacio Ambriz,イグナシオ・アンブリス
Ignacio Calderón,イグナシオ・カルデロン
Pedro Ampudia,ペドロ・デ・アンプディア
Juan Bautista de Anza,フアン・バウティスタ・デ・アンサ
Edgar de Evia,エドガー・ド・エヴィア
Ilya Salkind,イリヤ・サルキンド
Jorge Negrete,ホルヘ・ネグレテ
Ivan Mouriño,フアン・カミロ・モウリーニョ・テラソ
Javier Torres Maldonado,ジャヴィエル・トーレス・マルドナード
Marco Antonio Barrera,マルコ・アントニオ・バレラ
José Pablo Moncayo García,ホセ・パブロ・モンカイヨ
Ricardo Legorreta Vilchis,リカルド・レゴレッタ
Alberto Ruy Sánchez,アルベルト・ルイ＝サンチェス
Gilberto Keb Baas,ヒルベルト・ケブ・バース
Lumi Cavazos,ラミ・キャバゾス
Pascual Orozco,パスクワル・オロスコ
David Reynoso,デイヴィッド・レイノソ
Dark Cuervo,ダーク・クエルボ
Dark Ozz,ダーク・オズ
Ana Bertha Lepe,アナ・ベルサ・レペ
Gustavo A. Madero,グスタボ・A・マデロ
Ana Serradilla,アナ・セラディーリャ
Jorge Arce,ホルヘ・アルセ
José Luis Bueno,ホセ・ルイス・ブエノ
David Noel Ramírez Padilla,デビッド・ノエル・ラミレス・パディラ
Diego Amozurrutia,ディエゴ・アモズルティア
Daniel Ponce de León,ダニエル・ポンセ・デ・レオン
Yori Boy Campas,ルイス・ラモン・カンパス
David Sánchez Morales,デイヴィッド・モラレス
Socorro Bonilla,ソコロ・ボニージャ
Laura Cerón,ローラ・セロン
Óscar Chávez,オスカー・チャベス
Óscar Villarreal,オスカー・ビヤレアル
Bender Bending Rodríguez,ベンダー
Adam Parada,アダム・パラダ
L. A. Park,ラ・パルカ
Adrián Alonso,アドリアン・アロンソ
José Guadalupe Posada,ホセ・グアダルーペ・ポサダ
Gustavo Baz Prada,グスターボ・バス・プラーダ
Ricardo Ferretti,リカルド・フェレッティ
Mario Méndez,マリオ・メンデス
Salvador Durán,サルバドール・デュラン
Arturo Brizio Carter,アルトゥーロ・ブリツィオ・カーター
Salvador Guerrero,ゴリー・ゲレロ
Benjamin Johannes Viljoen,ベン・ヴィルジョーヌ
Alfredo Ramos Martínez,アルフレード・ラモス・マルチネス
Ignacio Sarabia,イグナシオ・サラビア・ディアス
Enrique Camarena Salazar,キキ・カマレナ
Daniel Estrada,ダニエル・エストラーダ
Diego Morales,ディエゴ・モラレス
Dolores Jiménez y Muro,ドロレス・ヒメーネス・イ・ムロ
Juan Alberto Rosas,ファン・アルベルト・ロサス
Dionicio Rodriguez,ディオニーシオ・ロドリゲス
Paul Leduc,ポール・ルデュク
Yhency Brazobán,ヤンシー・ブラゾバン
José Luis Reséndez,ホセ・ルイス・レセンデス
Diablo Velasco,ディアブロ・ベラスコ
Diamante,ディアマンテ (プロレスラー)
Felipe de Alba,フェリペ・デ・アルバ
Rogelio A. González,ロヘリオ・A・ゴンサレス
Alfredo Omar Tena,アルフレード・オマール・テナ
Alberto Isaac,アルベルト・イサック
Agustín Jerónimo de Iturbide,アグスティン・ヘロニモ・デ・イトゥルビデ・イ・ウアルテ
Alberto Kalach,アルベルト・カラチ
Adrián Hernández,アドリアン・エルナンデス
Isidoro Ocampo,イシドロ・オカンポ
Guillermo Rodríguez,エル・イホ・デ・ドス・カラス
Gerardo Murguía,ジェラルド・ムルギア
Alfredo Amézaga Delgado,アルフレッド・アメザガ
Alejandro Vela,アレハンドロ・ベラ
Jorge Santana,ホルヘ・サンタナ
Carmen Aub,カーメン・オーブ
El Hijo de L.A. Park,ブラック・スピリット
Eduardo Garza,エドゥアルド・ガルザ
Angélica Rivera,アンヘリカ・リベラ
Don Cheto,ドン・チェト
Donald Reed,ドナルド・リード
Dr. Wagner,ドクトル・ワグナー
Aleks Syntek,アレックス・シンテック
Edgar Cardenas,エドガル・カルデナス
Jesús F. Contreras,ヘスース・フルクトゥオーソ・コントレーラス
Gabriel Beristáin,ガブリエル・ベリスタイン
Geno Silva,ジーノ・シルバ
Mon Laferte,モンセラット・ブスタマンテ
Extreme Tiger,エクストリーム・タイガー
Hugo Ruiz,ウーゴ・ルイス
Edgar Garcia,エドガー・ガルシア
Juan Paredes Miranda,ファン・パレデス
Octavio Meyran,オクタビオ・メイラン
Augusto H. Álvarez,アウグスト・H・アルバレ
Jorge González Reyna,ホルヘ・レイナ
José Arcadio Limón,ホセ・リモン
Carlos Santana,カルロス・サンタナ
Joel Sánchez Guerrero,ホエル・サンチェス
Johan Rodríguez,ホアン・ロドリゲス
Jonathan Orozco,ジョナタン・オロスコ
José Gaos,ホセ・ガオス
Aurelio Rodríguez,アウレリオ・ロドリゲス
Susana Dosamantes,スサンナ・ドサマンテス
Edwin Bustillos,エドウィン・バスティロス
El Satánico,エル・サタニコ
El Signo,エル・シグノ
El Solitario de yahualica,エル・ソリタリオ
El Terrible,エル・テリブレ
El Texano,エル・テハノ
El Texano Jr.,テハノ・ジュニア
Alberto Mariscal,アルベルト・マリスカル
Alejandro Bichir,アレハンドロ・ビチル
Jessica Aguilar,ジェシカ・アギラー
Karina González,カリーナ・ゴンザレス
José Antonio Mexía,ホセ・アントニオ・メヒア
Enrique Rambal,エンリケ・ランバル
El Alebrije,アレブリヘ
El Brazo,エル・ブラソ
El Dandy,エル・ダンディ
El Felino,フェリーノ (プロレスラー)
José Rojas Herrera,ホセ・ロハス
Angélica Celaya,アンジェリカ・セラヤ
Efraín Escudero,エフレイン・エスクデロ
Ramón Ayala,ラモン・アジャラ
El Zorro (luchador),エル・ソロ
El Ángel,エル・アンヘル
Electroshock (luchador),エレクトロ・ショック
José Luis Castillo,ホセ・ルイス・カスティージョ
Santos Escobar,イホ・デル・ファンタズマ
El Oriental,オリエンタル (プロレスラー)
Joaquín Cosío,ホアキン・コシオ
Blanca Soto,ブランカ・ソト
Pancho Córdova,パンチョ・コルドバ
Román Alí Solís López,ロマン・アリ・ソリス
Antonio Roldán,アントニオ・ロルダン
Miguel Covarrubias,ミゲル・コバルビアス
