Inna,茵娜
Dumitru Berbece,杜米特鲁·贝尔贝切
Mircea Grabovschi,米尔恰·格拉博夫斯基
Iosif Boroș,约瑟夫·博罗什
Gheorghe Dogărescu,格奥尔基·多格雷斯库
Cezar Drăgăniță,切扎尔·德勒格尼策
Adrian Cosma,阿德里安·科斯马
Dan Marin,达恩·马林
Mircea Bedivan,米尔恰·贝迪万
Nicolae Munteanu,尼古拉·蒙泰亚努
Calistrat Cuțov,卡利斯特拉特·库措夫
Camelia Diaconescu,卡梅利娅·迪亚科内斯库
Claudiu Eugen Ionescu,克劳迪乌·欧金·约内斯库
Cornel Durău,科尔内尔·杜勒乌
Alexandru Buligan,亚历山德鲁·布利甘
Marian Dumitru,马里安·杜米特鲁
Valentin Samungi,瓦伦丁·萨蒙吉
Lucian Vasilache,卢奇安·瓦西拉凯
Neculai Vasilcă,尼古拉·瓦西尔克
Dumitru Stângaciu,杜米特鲁·斯滕加丘
Valentin Ceaușescu,瓦伦丁·齐奥塞斯库
Dumitru Pârvulescu,杜米特鲁·珀尔武列斯库
Mihaela Ciobanu,米哈埃拉·乔巴努
Anton Doboș,安东·多博什
Ioana Strungaru,伊万娜·斯特伦加鲁
Ioana Tudoran,伊万娜·图多兰
Alexander Fölker,亚历山德鲁·弗尔克
Gheorghe Covaciu,格奥尔基·科瓦丘
Gheorghe Vasilichi,格奥尔基·瓦西利基
Cristian Gațu,克里斯蒂安·加楚
Maricel Voinea,马里切尔·沃伊内亚
Doina Spircu,多依娜·斯珀尔库
Diana Bulimar,迪亚娜·布利马尔
Chira Apostol,基拉·阿波斯托尔
Ovidiu Burcă,奥维迪乌·布尔卡
Marian Ivan,马里安·伊万
Florin Popescu,弗洛林·波佩斯库
Mitică Pricop,米蒂克·普里科普
Miron Cristea,米隆·克里斯特亚
Costică Olaru,科斯蒂克·奥拉鲁
Ion Stoian,扬·斯托扬
Corneliu Chifu,瓦尔特·基富
Corneliu Oros,科尔内留·奥罗斯
Iosif Chișinevschi,约瑟夫·基希涅夫斯基
Victor Atanasie Stănculescu,维克托·斯滕库列斯库
Viorel Manole,维奥雷尔·马诺莱
Herta Anitaș,赫尔塔·阿尼塔什
Valentin Robu,瓦伦丁·罗布
Ilie Ceaușescu,伊利耶·齐奥塞斯库
Ciprian Tătărușanu,齐普里安·特特鲁沙努
Iulia Bobeică,尤利娅·布列
Veronica Necula,韦罗妮卡·尼古拉
Vasile Măstăcan,瓦西里·默斯特坎
Vasile Dorel Năstase,瓦西里·讷斯塔塞
Iulică Ruican,尤利克·鲁伊坎
Roxana Daniela Dumitrescu,罗克萨娜·杜米特雷斯库
Marcela Zsak,玛尔切拉·莫尔多万-扎克
Aurora Dan,奥罗拉·达恩
Rozalia Oros,罗扎利娅·胡斯蒂
Nicolae Negrilă,尼古拉·内格里勒
Andreea Stefanescu,安德烈娅·斯特凡内斯库
Sofia Corban,索菲娅·科尔班
Ovidiu Hoban,奥维迪乌·霍班
Hilde Lauer,希尔德·劳尔
Corina Căprioriu,科丽娜·克普里奥留
Dan Gîrleanu,达恩·格尔莱亚努
Dan Iuga,达恩·尤加
Ladislau Lovrenschi,拉迪斯劳·洛夫伦斯基
Victoria Lepădatu,维多利亚·莱珀达图
Maria Vicol,玛丽亚·维科尔
Rudolf Bürger,比尔格·鲁道夫
Larion Serghei,拉里翁·谢尔盖
Corneliu Ion,科尔内留·扬
Gheorghe Asachi,格奧爾基·阿薩奇
"Margareta, Principesă a României",瑪格麗塔·(羅馬尼亞)
"Elena, Principesă a României",埃列娜公主·(羅馬尼亞)
Mariana Limbău,玛丽安娜·林伯乌
Sanda Toma (caiac),珊达·托马·(皮划艇运动员)
Enikő Barabás,鲍劳巴什·埃妮克
Ioana Cristina Rotaru,伊万娜·罗塔鲁
Simona Mușat,西蒙娜·穆沙特
Rodica Șerban,罗迪卡·谢尔班
Daniela Druncea,达妮埃拉·德伦恰
Nicolae Țaga,尼古拉·察加
Dimitrie Popescu,迪米特里耶·波佩斯库
Gheorghe Vitanidis,格奧爾基·維塔尼迪斯
Ștefan Gușă,斯特凡·古沙
Ștefan Voitec,斯特凡·沃伊捷克
Doina Robu,多依娜·罗布
Dimitrie Ivanov,迪米特里耶·伊万诺夫
Doina Șnep-Bălan,多依娜·什内普-伯兰
Ludovic Orban,卢多维克·奥尔班
Michael Klein,米夏埃尔·克莱因
Dan Coe,达恩·科埃
Edmund Nagy,纳吉·米克洛什
Iacob Felecan,雅各布·费莱坎
Paul-Philippe al României,保罗-菲利普·霍亨索伦
Nicolae Pescaru,尼古拉·佩斯卡鲁
Marin Tufan,马林·图凡
Ștefan Petrescu,斯特凡·彼得雷斯库
Simona Richter,西蒙娜·里希特
Irina Walker,伊琳娜公主·(羅馬尼亞)
Diana Moldovan,黛安娜·摩尔多瓦
Alin Moldoveanu,阿林·莫尔多韦亚努
Lothar Rădăceanu,洛塔尔·拉德齐亚努
Lucia Sauca,露西娅·托阿德尔
Liviu Dragnea,利維烏·德拉格內亞
Constantin Gâlcă,康斯坦丁·格尔克
Vasile Patilineț,瓦西列·帕蒂利内茨
Tibor Selymes,谢伊迈什·蒂博尔
Ionel Gane,伊安利·加尼
Bogdan Stancu,博格丹·斯坦庫
Daniel Timofte,达尼埃尔·蒂莫夫特
Dumitru Cipere,杜米特鲁·奇佩雷
Silviu Brucan,西尔维乌·布鲁坎
Nicu Gingă,尼库·根格
Vasile Oprea,瓦西里·奥普雷亚
Toma Simionov,托马·西苗诺夫
Ernest Grunfeld,厄尼·格伦费尔德
Claudia Laura Grigorescu,克劳迪娅·格里戈雷斯库
Maria Constantinescu,玛丽亚·康斯坦丁内斯库
Marcel Roșca,马塞尔·罗什卡
Elena Radu,埃列娜·拉杜
Elena Săcălici-Petroșanu,埃列娜·瑟克利奇
Mărioara Trașcă,马里瓦拉·特拉什克
Elisabeta Lazăr,伊丽莎白·拉泽尔
Elena Mărgărit-Niculescu,埃列娜·默尔格里特
Maricica Țăran,玛丽奇卡·策兰
Marin Gheorghe,马林·格奥尔基
Adelina Pastor,阿德利娜·帕斯托尔
Alexandru Borbely,亚历山德鲁·博尔贝利
Florin Tene,弗洛林·泰内
Serghei Covaliov,谢尔盖·科瓦廖夫·(1944年)
Ecaterina Oancia,埃卡特琳娜·万恰
Dănuț Dobre,德努茨·多布雷
Dumitru Răducanu,杜米特鲁·勒杜卡努
Elena Bondar,埃列娜·邦达尔
Elena Dobrițoiu,埃列娜·多布里佐尤
Elena Horvat,埃列娜·霍瓦特
Elena Giurcă,埃列娜·久尔克
Elena Leușteanu,埃列娜·莱乌什泰亚努
Maria Magdalena Dumitrache,玛丽亚·玛格达列娜·杜米特拉凯
Maria Micșa,玛丽亚·米克沙
Maria Pădurariu,玛丽亚·珀杜拉鲁
Norman Manea,诺尔曼·马尼亚
Klaus Iohannis,克劳斯·约翰尼斯
Elisabeta Tufan-Guzganu,伊丽莎白·古兹加努-图凡
Maria Fricioiu,玛丽亚·弗里乔尤
Viorica Ioja,维奥丽卡·约扎
Marius Căta-Chițiga,马里乌斯·克塔-基齐加
Andreea Boghian,安德烈娅·博吉安
Alexandru Papană,亚历山德鲁·帕帕讷
Dumitru Hubert,杜米特鲁·胡贝特
Victor Zilberman,维克托·齐尔伯曼
Agafia Constantin-Buhaev,阿加菲娅·康斯坦丁
Tecla Marinescu-Borcănea,泰克拉·马里内斯库
Gheorghe Craioveanu,格奥尔基·克拉约韦亚努
Mihai Covaliu,米哈伊·科瓦柳
Ioan Andone,伊万·安多内
Maria Ștefan-Mihoreanu,玛丽亚·斯特凡
Eduard Stăncioiu,爱德华·斯滕乔尤
Marius Popa (fotbalist),马里乌斯·波帕
Gheorghe Lichiardopol,格奥尔基·利基亚尔多波尔
Emilia Vătășoiu-Liță,埃米莉亚·沃特绍尤
Marlena Zagoni-Predescu,马尔莱娜·扎戈尼
Mihaela Armășescu,米哈埃拉·阿尔默塞斯库
Mihai Cioc,米哈伊·乔克
Cristian Tănase,克里斯蒂安·塔納塞
Alexe Dumitru,阿列克谢·杜米特鲁
Georgeta Hurmuzachi-Dumitrescu,杰奥尔杰塔·胡尔穆扎基-杜米特雷斯库
Nastasia Ionescu,纳斯塔西娅·约内斯库
Marian Drăgulescu,马里安·德勒古列斯库
Ion Dumitru (fotbalist),扬·杜米特鲁
Felicia Afrăsiloaie,费利恰·阿弗勒西洛阿耶
Ilie Subășeanu,伊利耶·苏伯谢亚努
Vasile Deheleanu,瓦西里·德海莱亚努
Alexandru Cuedan,亚历山德鲁·库埃丹
Florica Bucur,弗洛丽卡·布库尔
Florica Lavric,弗洛丽卡·拉夫里克
Mihai Macovei,米哈伊·馬科維
Florin Diacu,弗洛林·迪亚库
Victor Crivoi,維克托·克里沃伊
Daniel Dumitrescu,达尼埃尔·杜米特雷斯库
Ion Dumitrescu (sportiv),扬·杜米特雷斯库
Ilie Matei (sportiv),伊利耶·马泰
Vasile Gergely,盖尔盖伊·拉斯洛
Corneliu Porumboiu,柯內流·波蘭波宇
Bogdan Rath,波格丹·拉特
Elek Köblös,埃莱克·克布勒什
Steliana Nistor,斯泰利娅娜·尼斯托尔
Anamaria Tămârjan,安娜玛丽亚·塔米尔然
Gheorghe Andriev,格奥尔基·安德里耶夫
Florin Mina,弗洛林·米纳
Ovidiu Ionescu,奥维迪乌·伊奥内斯库
Gheorghe Danielov,格奥尔基·达尼埃洛夫
Viorica Dăncilă,維奧麗卡·登奇勒
Mircea Frățică,米尔恰·弗勒齐克
Neculae Pop,尼古拉·波普
Nicu Stoian,尼库·斯托扬
Nicolae Rotaru (sportiv),尼古拉·罗塔鲁
Miron Constantinescu,米隆·康斯坦丁内斯库
Grigore Ion Răceanu,格雷戈里·扬·勒强努
Gheorghe Simionov,格奥尔基·西苗诺夫
Gheorghiță Ștefan,格奥尔基策·斯特凡
Grigore Obreja,格里戈雷·奥布雷扎
Dumitru Radu Popescu,杜米特鲁·拉杜·波佩斯库
Marius Vasile Cozmiuc,马里乌斯·科兹缪克
Valer Toma,瓦莱尔·托马
Nicolae Martinescu,尼古拉·马丁内斯库
Policarp Malîhin,波利卡尔普·马勒欣
Alina Rotaru-Kottmann,阿林娜·罗塔鲁-科特曼
Sorin Macavei,索林·马卡韦伊
Ana Mureșan,安娜·穆雷尚
Ioan Lupescu,伊万·卢佩斯库
Flavius Koczi,弗拉菲烏斯·科齊
Augustin Deleanu,奥古斯丁·德莱亚努
Nicolae Titulescu,尼古拉·蒂图莱斯库
Simion Cuțov,西米翁·库措夫
Haralambie Ivanov,哈拉兰比耶·伊万诺夫
Günther Enescu,金特·埃内斯库
Ioan Grigoraș,伊万·格里戈拉什
Paul Georgescu,保羅·佐治斯古
Petre Borilă,彼得·博里勒
Ion Coman,扬·科曼
Aurel Țicleanu,奥雷尔·齐克莱亚努
Petre Ceapura,彼得·恰普拉
Petru Iosub,彼得鲁·约苏布
Rareș Dumitrescu,拉雷什·杜米特雷斯库
Steliano Filip,斯泰利亚诺·菲利普
Gheorghe Gaston-Marin,格奧爾基·加斯頓·馬林
Roman Vartolomeu,罗曼·瓦尔托洛梅乌
Rodica Frîntu,罗迪卡·弗伦图
Mihaela Petrilă,米哈埃拉·彼得里勒
Raluca Ioniță,拉卢卡·约尼策
Radu Stroe,拉杜·斯特罗埃
Bernard Natan,伯納德·納坦
Meyer Abraham Halevy,梅耶·亚伯拉罕·阿莱维
Lucrețiu Pătrășcanu,卢克雷奇·帕特拉什卡努
Ștefan Foriș,斯特凡·福里什
Dumitru Velicu,杜米特鲁·韦利库
Simion Popescu,西米翁·波佩斯库
Traian Cihărean,特拉扬·奇赫雷安
Tudor Postelnicu,图多尔·波斯泰尔尼库
Jean Georgescu,讓·佐治斯古
Anghelache Donescu,安盖拉凯·多内斯库
Dumitru Popescu,杜米特鲁·波佩斯库
Dumitru Popa (primar al Bucureștiului),杜米特鲁·波帕
Emil Dumitrescu,埃米尔·杜米特雷斯库
Elisa Leonida Zamfirescu,埃莉萨·莱奥尼达·扎姆菲雷斯库
Ion Bîrlădeanu (sportiv),扬·伯尔勒德亚努
Ion Bunoaica,扬·布诺阿卡
Dumitru Petrescu,杜米特鲁·彼特列斯库
Constantin Olteanu,康斯坦丁·奥尔泰亚努
Constantin Sterea,康斯坦丁·斯泰雷亚
Remus Kofler,雷穆斯·科夫勒
Florin Aurelian Popescu,弗洛林·奥勒扬·波佩斯库
Brăduț Covaliu,布勒杜·科瓦留
Gheorghe Stoica,格奥尔基·斯托伊卡
Marian Sandu,马里安·桑杜
Ion Pățan,扬·珀仓
Gheorghe Demetrescu,格奧爾基·德梅特雷斯庫
Ion Traian Ștefănescu,扬·特拉扬·斯特凡内斯库
Ludovic Fazekas,卢多维克·法泽卡什
Silviu Curticeanu,西尔维乌·库尔蒂恰努
Gheorghe Barbu,格奧爾基·巴爾布
Loredana Toma,洛雷达娜·托马
Mihai Tudose,米哈伊·圖多塞
Mihai Dalea,米哈伊·达列亚
Dan Farcaș,丹·福尔考什
Iosif Uglar,约瑟夫·乌格拉尔
Călin Turcu,卡林·圖爾庫
Lina Ciobanu,利娜·乔巴努
Ștefan Tudor,斯特凡·图多尔
Viorica Neculai,维奥丽卡·尼古拉
Bernadette Szőcs,瑟奇·贝尔纳黛特
Mihail Lupoi,米哈伊·卢波
Virginia Andreescu Haret,維吉妮亞·安德萊斯克·哈雷特
Suzana Gâdea,苏扎娜·格德亚
Cornel Burtică,科尔内尔·布尔蒂卡
Dorin Recean,多林·雷切安
Ianis Hagi,亞尼斯·哈吉
Patricia Maria Țig,帕翠夏·瑪麗亞·蒂吉
Alexander Nanau,亞歷山大·納瑙
Ana Ularu,安娜·烏拉魯
Maia Sandu,瑪雅·桑杜
Angela Moldovan,安吉拉·莫尔多万
Mădălina Bereș,默德利娜·贝雷什
Laura Oprea,劳拉·奥普雷亚
Florin Andone,弗洛林·安多内
Marcel Ciolacu,馬切爾·喬拉庫
Sorin Grindeanu,索林·葛林多努
Mihai Țurcaș,米哈伊·楚尔卡什
Ioan Șnep,伊万·什内普
Simion Cuciuc,西米翁·库丘克
Elena-Gabriela Ruse,埃列娜-加布丽埃拉·鲁塞
Cătălin Bălescu,克特林·博雷斯库
Gheorghe Oprea (om politic),格奥尔基·奥普雷亚
Roxana Cogianu,罗克萨娜·科贾努
Emil Străinu,埃米爾·斯特勒伊努
Irina Bara,伊里娜·巴拉
Iosif Szasz,约瑟夫·萨斯
Sevil Shhaideh,塞維爾·什海德
Sorin Cîmpeanu,索林·肯佩亞努
Ana Luiza Filiorianu,安娜·路易莎·菲廖里亚努
Tudor Rațiu,圖多爾·拉蒂烏
Ion Frunzetti,扬·弗伦泽蒂
Ștefania Mărăcineanu,斯特凡妮娅·默勒奇内亚努
Ion Tripșa,扬·特里普沙
Victor Vlad Cornea,维克托·弗拉达·科尔内亚
Robert Glință,罗伯特·格林特
Ionuț Radu,约努茨·拉杜
Ronaldo Deaconu,羅納爾多·迪科努
Andrea Miklós,安德烈娅·米克洛什
Simona Pop,西蒙娜·波普
Radu Bălan,拉杜·巴兰
Virgil Cazacu,维尔吉尔·卡扎库
Bianca Andreescu,比安卡·安德烈斯庫
Andrei Toader,安德烈·托阿德尔
Alexandru Novac,亚历山德鲁·诺瓦克
Petre Roșca,彼得·罗什卡
Denisa Tîlvescu,德尼莎·特尔韦斯库
Jaqueline Cristian,杰奎琳·克里斯蒂安
Andrei Gag,安德烈·加格
Gheorghe Călugăreanu,格奧爾基·克盧格雷亞努
Ștefan Constantin Berariu,斯特凡·贝拉留
Cosmin Pascari,科斯明·帕斯卡里
Mihăiță Vasile Țigănescu,米赫伊策·齐格内斯库
Alexandru Bologa,亚历克斯·博洛加
Florin Cîțu,弗洛林·克楚
Kriszta Incze,因采·克丽斯陶
Ionela Cozmiuc,约内拉-利维娅·科兹缪克
Iuliana Popa,尤利安娜·波帕
Livia Leonte,利维娅·齐卡努
Cristian Dumitru,克里斯蒂安·杜米特鲁
Nicoleta-Ancuța Bodnar,妮科莱塔-安库察·博德纳尔
Simona Radiș,西蒙娜·拉迪什
Mugurel Semciuc,穆古雷尔·塞姆丘克
Iuliana Buhuș,尤利安娜·布胡什
Maria Tivodariu,玛丽亚·蒂沃达留
Adriana Ailincăi,阿德里安娜·艾林克伊
Carol Vereș,卡罗尔·韦赖什
Mihai-Viorel Fifor,米哈伊·菲福尔
Florian Munteanu,佛洛里安·蒙特亞努
Francisc Balla,弗朗奇斯克·巴拉
Ciprian Tudosă,奇普里安·图多瑟
Amalia Bereș,阿马利娅·贝雷什
Maria-Magdalena Rusu,玛丽亚-玛格达列娜·鲁苏
Dumitru Comănescu,杜米特鲁·科默内斯库
Viviana Iuliana Bejinariu,维维安娜·尤利安娜·贝日纳留
Ioana Vrînceanu,伊万娜·弗伦恰努
Valentina Vîrlan,瓦伦丁娜·沃尔兰
Karim Adeyemi,卡里姆·阿德耶米
Nicolae Ciucă,尼古拉·丘克
Mihaela Gheorghiu,米哈埃拉·喬治烏
Natalia Gavrilița,纳塔利娅·加夫里利察
Radu Drăgușin,拉杜·達古辛
Igor Grosu,伊戈爾·格羅蘇
Sabrina Ionescu,萨布丽娜·约内斯库
Louis Munteanu,路易斯·蒙迪安奴
Adina Diaconu,阿迪娜·迪亚科努
David Popovici,达维德·波波维奇
