George Washington,乔治·华盛顿
John Breathitt,约翰·布里赛特
Tom Selleck,湯姆·謝立克
Barry White,貝瑞·懷特
Daína Chaviano,黛依娜·查薇雅諾
European Americans,歐裔美國人
Bernie Mac,伯尼·麥克
Paul Flory,保罗·弗洛里
Gertrude Stein,格特鲁德·斯泰因
Melanie Griffith,梅拉尼·格里菲思
Irene Worth,伊雷妮·沃思
Emily Osment,艾蜜莉·奧斯蒙
Sarah Palin,莎拉·佩林
Roy Orbison,羅伊·奧比森
William H. Crawford,威廉·H·克劳福德
Bill Christian,比尔·克里斯蒂安
Max Roach,麥斯·羅區
Christopher George,基斯杜化·佐治
Yoichiro Nambu,南部阳一郎
Demi Moore,黛米·摩尔
James Newton Howard,詹姆斯·紐頓·霍華
William Steinberg,威廉·施泰因贝格
George Foreman,喬治·福爾曼
Karen Black,凱倫·布萊克
Edie Sedgwick,伊迪·塞奇威克
Robert Burns Woodward,罗伯特·伯恩斯·伍德沃德
Paul Walker,保羅·沃克
Sidney Darlington,西德尼·达林顿
Alexei Abrikosov (physicist),阿列克谢·阿布里科索夫
Howard Gardner,霍华德·加德纳
Goldie Hawn,歌蒂·韓
Bridget Sloan,布丽奇特·斯隆
Rocky Marciano,洛基·馬西安諾
Lucy Liu,劉玉玲
Babe Ruth,貝比·魯斯
Szymon Goldberg,席蒙·戈德堡
Annise Parker,安妮斯·帕克
Jason Earles,杰森·艾尔
Jim Jones,吉姆·琼斯
Irving Wallace,欧文·华莱士
Joaquim de Almeida,若阿金·德阿尔梅达
Elisha P. Ferry,伊莱沙·佩尔·费里
Shannon Boxx,香农·博克斯
Ayaan Hirsi Ali,阿亞安·希爾西·阿里
Troy Dumais,特羅伊·杜麥斯
J. J. Abrams,J·J·艾布斯
Chuck Daly,查克·戴利
Philip Kaufman,菲利普·考夫曼
Piper Laurie,派珀·劳瑞
William S. Burroughs,威廉·柏洛茲
Nicole Gale Anderson,妮可·盖尔·安德森
George Armstrong Custer,乔治·阿姆斯特朗·卡斯特
Jannero Pargo,詹内罗·帕戈
Brett Cullen,布雷特·庫倫
Stanley Cohen (biochemist),斯坦利·科恩
Conchata Ferrell,康查塔·费雷尔
Roseanne Barr,羅珊·巴爾
Roger Wolcott Sperry,罗杰·斯佩里
Christina Applegate,克里斯蒂娜·艾伯盖特
Mae Whitman,梅·惠特曼
Selman Waksman,赛尔曼·瓦克斯曼
Nick Carter,尼克·卡特
Joseph Gordon-Levitt,喬瑟夫·高登-李維
Seth MacFarlane,塞思·麦克法兰
Raven-Symoné,雷文-西蒙尼
Hulk,浩克·(漫畫)
Sonya Noskowiak,索尼娅·诺斯科维亚克
Bridget Moynahan,布丽姬·穆娜
Cat Power,貓女魔力
Tanya Roberts,譚雅·羅拔絲
Anna May Wong,黄柳霜
Clint Eastwood,克林·伊斯威特
Justin Timberlake,賈斯汀·提姆布萊克
Walker Percy,沃克·柏西
David Schwimmer,大卫·史威默
Barbara Bel Geddes,芭芭拉·贝尔格迪斯
Willem Dafoe,威廉·達佛
Malcolm X,麥爾坎·X
Eric S. Raymond,埃里克·雷蒙
William Tecumseh Sherman,威廉·特库姆塞·舍曼
Jeannette Rankin,珍妮特·蘭金
Matthew McConaughey,马修·麦康纳
James Naismith,詹姆斯·奈史密斯
Dan Shechtman,丹·谢赫特曼
B. B. King,B·B·金
John Frusciante,約翰·伏許安
Cliff Burton,克利夫·伯顿
Rey Mysterio,雷·密斯特里歐
David Sanborn,大衛·山朋
Chris Jericho,克里斯·傑利可
Jeff Hardy,傑夫·哈迪
William Gibson,威廉·吉布森
Xzibit,艾勒比
Alyssa Milano,艾莉莎·米兰诺
Vin Diesel,馮·迪索
Sitting Bull,坐牛
Wassily Leontief,瓦西里·列昂季耶夫
Henry Simmons,亨利·西蒙斯
John Brown (abolitionist),约翰·布朗·(废奴主义者)
Lou Reed,卢·里德
Matt Groening,马特·格勒宁
Gerry Neugebauer,格里·诺伊格鲍尔
Gerhard Weinberg,格哈特·温伯格
Jessica Hardy,謝茜嘉·哈迪
Jenna Dewan,珍娜·戴溫
Hillary Scott (actress),希拉蕊·史考特
Joseph McCarthy,约瑟夫·雷蒙德·麦卡锡
Miyoshi Umeki,梅木三吉
Jamie Chung,鄭智麟
Jill Scott (singer),吉尔·斯科特·(歌手)
Reese Witherspoon,麗絲·韋花絲潘
Julianne Hough,茱莉安·哈克
Kerri Walsh Jennings,克丽·沃尔什
Minka Kelly,敏卡·凯利
Jessica Drake,杰西卡·德里克
Julia Ann,茱莉亞·安
Gloria Stuart,葛羅莉·史都華
Brooke Shields,波姬·小丝
Lauryn Hill,劳琳·希尔
Peter Medawar,彼得·梅达沃
Andy García,安迪·加西亞
Laurel Clark,劳雷尔·克拉克
T.I.,T.I.
Macy Gray,梅茜·葛蕾
Nora Ephron,諾拉·艾芙倫
Nicole Richie,妮可·里奇
June Allyson,琼·阿利森
Linda Hunt,琳达·亨特
Jennifer Jason Leigh,珍妮佛·傑森·李
Lacey Chabert,萊西·察伯特
Kathryn Joosten,凱瑟琳·茱斯頓
Michelle Akers,米歇尔·埃克斯
W. H. Auden,威斯坦·休·奥登
Beatrice Straight,碧翠絲·史翠
Jessica Alba,潔西卡·艾巴
Sidney Moncrief,悉尼·蒙克里夫
Estelle Parsons,艾絲提·柏遜絲
Patty Duke,帕蒂·杜克
Ruth Gordon,露芙·高頓
John Corbett,約翰·科貝特
Matt Biondi,馬特·尼古拉斯·比昂迪
Caleb Cushing,凯莱布·顾盛
Eddie Murphy,艾迪·墨菲
Mario (singer),Mario·(歌手)
Thomas Hunt Morgan,托马斯·亨特·摩尔根
Julia Child,茱莉亞·蔡爾德
Howard Hughes,霍华德·休斯
George Eastman,喬治·伊士曼
Andy Williams,安迪·威廉斯
William Carlos Williams,威廉·卡洛斯·威廉斯
Kevin Garnett,凯文·加内特
Amanda Seyfried,阿曼達·西耶弗里德
Sean Astin,辛·艾斯丁
Paul Auster,保羅·奧斯特
Temple Grandin,天寶·葛蘭汀
Haley Bennett,海莉·班奈特
Estelle Getty,埃丝特尔·格蒂
Rebecca De Mornay,瑞贝卡·德·莫妮
Katharine Ross,凯瑟琳·罗斯
The Undertaker,送葬者·(摔角手)
Salman Rushdie,薩爾曼·魯西迪
Norbert Wiener,諾伯特·維納
William E. Boeing,威廉·爱德华·波音
Calvin Klein,卡爾文·克雷恩·(設計師)
Marcia Cross,瑪莎·歌絲
Katherine Heigl,凱瑟琳·海格
Mimi Rogers,咪咪·羅傑斯
Eric Maskin,埃里克·马斯金
Sarah Hyland,莎拉·海蘭
Vanessa Carlton,凡妮莎·卡爾頓
Dave Bautista,巴帝斯塔
Luis Walter Alvarez,路易斯·阿尔瓦雷茨
Hulk Hogan,霍克·霍肯
Edge (wrestler),Edge·(摔角手)
Chris Evans (actor),克里斯·埃文斯
Theodore William Richards,西奥多·威廉·理查兹
Zendaya,赞达亚
Helena Blavatsky,海倫娜·布拉瓦茨基
Jennifer Lawrence,珍妮佛·勞倫斯
Mercedes Ruehl,瑪西蒂·芮爾
Christine Lahti,克里斯蒂娜·拉赫蒂
Shelley Long,谢莉·朗
Roger Myerson,罗杰·梅尔森
Doris Roberts,多丽丝·罗伯茨
Billy the Kid,比利小子
Julianna Baggott,朱莉安娜·伯格特
Sean Penn,西恩·潘
James Ransone,詹姆士·蘭森
Jim Morrison,吉姆·莫里森
Winrich Kolbe,温里希·科尔贝
David Allen (author),戴维·艾伦
Brian De Palma,布赖恩·德帕尔马
Ernest Beutler,恩斯特·比尤特勒
Kathryn Morris,凱瑟琳·莫里斯
Drea de Matteo,德烈娅·德马泰奥
Dean Acheson,迪安·艾奇逊
Gina Carano,吉娜·卡拉諾
Tara Lipinski,塔拉·利平斯基
Bebe Neuwirth,畢比·諾維爾什
Deborah Ann Woll,黛博拉·安·霍爾
Jaime King,潔米·金
Margaret Weis,瑪格麗特·魏絲
Anne McCaffrey,安妮·麥考菲利
Cameron Diaz,卡麥蓉·狄亞茲
Maurice Jones-Drew,莫里斯·琼斯德鲁
Courtney Hodges,考特尼·霍奇斯
Matt Stone,马特·斯通
Mickey Rourke,米基·洛克
Lewis A. Coser,刘易斯·科塞
Harry Belafonte,哈里·貝拉方特
Eva Angelina,伊娃·安吉麗娜
Paula Patton,宝拉·巴顿
Kagney Linn Karter,卡格妮·琳恩·卡特
Willard Van Orman Quine,威拉德·范·奥曼·蒯因
Jascha Horenstein,雅舍·霍伦斯坦
Stone Cold Steve Austin,冷石·史蒂夫·奧斯汀
Kofi Kingston,科菲·京斯頓
Theo Rossi,迪奧·羅西
Kane (wrestler),肯恩·(摔角手)
Eddie Guerrero,艾迪·葛雷洛
Big Show,Big·Show
The Miz,米茲
David Archuleta,大衛·阿丘利塔
Wesley Snipes,衛斯里·史奈普
Sean Waltman,肖恩·瓦特曼
Kristen Bell,姬絲汀·貝兒
Alexander Hamilton,亚历山大·汉密尔顿
Aaron Burr,阿龙·伯尔
The Game (rapper),Game·(歌手)
Jennifer Jones,珍妮花·鍾絲
Lynn Collins,琳恩·柯林斯
Lisa Kudrow,丽莎·库卓
Al Leiter,艾爾·萊特
Kareem Abdul-Jabbar,卡里姆·阿卜杜勒-贾巴尔
Philip Glass,菲利普·格拉斯
Marvin Gaye,马文·盖伊
Melvin Schwartz,梅尔文·施瓦茨
Thomas Eakins,湯姆·艾金斯
Monique Alexander,莫妮克·亞歷山大
Asa Akira,阿薩·阿基拉
Tory Lane,托利·萊恩
Abby Wambach,阿比·瓦姆巴赫
Stormy Daniels,斯托米·丹尼尔斯
Gabby Douglas,加布丽埃勒·道格拉斯
Lisa Ann,莉薩·安
Tila Tequila,提拉·特基拉
Shawnee Smith,肖妮·史密斯
Gigi Fernández,吉吉·费尔南德斯
Clea DuVall,可莉·杜瓦
Nicolaas Bloembergen,尼古拉斯·布隆伯根
Ashley Greene,艾希莉·葛林
Robert B. Laughlin,羅伯特·勞夫林
Debbie Harry,黛比·哈利
Rick Perry,里克·佩里
Mary Todd Lincoln,玛丽·托德
Ray Lewis,雷·刘易斯
Trey Parker,特雷·帕克
Vince McMahon,文斯·麥馬漢
Allen Iverson,艾倫·艾佛森
Dan Castellaneta,丹·卡斯泰拉内塔
Zoe Saldaña,佐伊·索尔达娜
Larry Bird,拉里·伯德
John Goodman,約翰·古德曼
Allisyn Snyder,爱丽森·阿什莉·阿姆
Rima Fakih,莉瑪·法基
Randy Orton,蘭迪·歐頓
Kurt Angle,寇特·安格
Cole Porter,科尔·波特
Michael Stipe,麥可·史戴普
John Cena,約翰·希南
John Mayer,約翰·梅爾
JoJo (singer),JoJo
Richard Rorty,理查德·罗蒂
Elisabeth Moss,伊丽莎白·莫斯
Olesya Rulin,奧蕾絲雅·盧琳
O. J. Simpson,O·J·辛普森
Katherine Helmond,凯瑟琳·赫尔蒙德
Timbaland,提姆巴蘭
The Great Khali,巨人哈利
The Notorious B.I.G.,聲名狼藉先生
Emily Greene Balch,爱米莉·巴尔奇
Robert S. Mulliken,罗伯特·S·马利肯
Adam Lambert,亚当·兰伯特
Helen Reddy,海伦·瑞迪
Catherine O'Hara,凯瑟琳·奥哈拉
Jena Malone,吉娜·瑪隆
Arianna Huffington,阿里安娜·赫芬顿
Clyde Tombaugh,克莱德·汤博
Joseph Barbera,約瑟·巴貝拉
Steven Weinberg,史蒂文·温伯格
Willard Libby,威拉得·利比
Lisa Lopes,丽莎·洛佩兹
Jordin Sparks,喬丁·斯帕克斯
Henry A. Grunwald,亨利·格伦沃尔德
Allison Schmitt,艾莉森·施米特
Malese Jow,玛莱斯·裘
Dean Martin,迪安·马丁
Henry Way Kendall,亨利·肯德尔
Arthur Leonard Schawlow,阿瑟·肖洛
Jerry Yang,楊致遠
Daniel Dennett,丹尼爾·丹尼特
Anne Applebaum,安妮·阿普尔鲍姆
Alex Morgan,亚历克丝·摩根
Ric Flair,瑞克·福萊爾
Triple H,Triple·H·(摔角手)
Kevin James,凯文·詹姆斯·(演员)
Louise Ritter,路易丝·里特
John Lee Hooker,约翰·李·胡克
Oliver Stone,奧利華·史東
Eadweard Muybridge,埃德沃德·迈布里奇
Gael García Bernal,蓋爾·賈西亞·貝納
Felicity Huffman,费利西蒂·赫夫曼
Ginger Lynn,金格·林恩·爱伦
George Smoot,乔治·斯穆特
Amy Van Dyken,埃米·范戴肯
Melissa George,梅利莎·乔治
Annette Bening,安妮特·班寧
Charlaine Harris,莎蓮·哈里斯
Portia de Rossi,波蒂亞·德·羅西
Booker T (wrestler),布克·T
Sean Parnell,肖恩·帕内尔
Montel Vontavious Porter,蒙特爾·凡特維斯·波特
Wyatt Earp,懷特·厄普
Taiwanese Americans,臺灣裔美國人
Rob Van Dam,羅伯·凡·達姆
Harold Urey,哈羅德·尤里
Nathan Deal,南森·迪爾
Barbara Bush,芭芭拉·布什
CM Punk,CM·Punk
Captain America,美國隊長
Bette Midler,贝特·米德勒
Dolley Madison,多莉·麦迪逊
Julia Grant,茱莉婭·格蘭特
Frances Cleveland,弗朗西斯·克利夫兰
Florence Harding,弗洛伦斯·哈定
Elizabeth Monroe,伊丽莎白·门罗
Terrence Malick,泰倫斯·馬利克
Chavo Guerrero Jr.,小查佛·葛雷洛
Leonard Mlodinow,倫納德·姆沃迪瑙
Lenny Kravitz,藍尼·克羅維茲
Anton Heida,安顿·海达
Matthew Pearl,馬修·珀爾
Lewis Black,劉易·布萊克
Paddy Chayefsky,帕迪·查耶夫斯基
Sting (wrestler),史汀·(摔角手)
Wendy Carlos,温蒂·卡洛斯
John Layfield,約翰·萊菲爾德
Lincoln Chafee,林肯·查菲
William Daniel Phillips,威廉·丹尼尔·菲利普斯
Mamie Eisenhower,玛米·艾森豪威尔
Lou Henry Hoover,卢·亨利·胡佛
Curtis Ebbesmeyer,柯蒂斯·埃貝斯邁爾
DeMarre Carroll,德马雷·卡罗尔
Benjamin Thompson,拉姆福德伯爵本杰明·汤普森
Anjelica Huston,安杰丽卡·休斯顿
Sissy Spacek,西席·斯貝西克
Arian Foster,阿里安·福斯特
Gary Sinise,蓋瑞·辛尼茲
Frank Gehry,法蘭克·蓋瑞
Michael Johnson (sprinter),麥可·詹森·(田徑運動員)
Philip W. Anderson,菲利普·安德森
Lillian Hellman,麗蓮·海爾曼
Black Dahlia,黑色大理花懸案
Jim Parsons,吉姆·帕森斯
Lucas Grabeel,卢卡斯·格拉贝尔
Kevin Federline,凯文·费德林
Lady Bird Johnson,小瓢蟲·約翰遜
Bess Truman,貝絲·杜魯門
Angelica Singleton Van Buren,安傑莉卡·辛格頓·范布倫
Louisa Adams,路易莎·亞當斯
Carla Bley,卡拉·貝利
Leontyne Price,李奧汀·普萊絲
Mya (singer),美雅
Fergie (singer),菲姬
Carl Rogers,卡爾·羅哲斯
Peter Pau,鮑德熹
Brenda Song,布蘭達·宋
Otis Taylor (musician),奥蒂斯·泰勒·(音乐家)
Gary Becker,蓋瑞·貝克
Patricia Neal,帕翠夏·尼爾
James Rainwater,利奥·雷恩沃特
Margaret Mead,瑪格麗特·米德
Jerry Seinfeld,傑里·賽恩菲爾德
Emilie de Ravin,艾蜜莉·迪瑞文
Missi Pyle,蜜西·派兒
Skylar Grey,斯盖拉·格蕾
Kim Rhode,金伯莉·罗德
Shannon Lucid,珊农·露茜德
Raymond Chandler,雷蒙·錢德勒
Jim Henson,吉姆·亨森
Tom DeLay,湯·德利
Ambrose Bierce,安布罗斯·比尔斯
Frederick Douglass,弗雷德里克·道格拉斯
Carrie Underwood,卡麗·安德伍
Jackie Jackson,傑奇·傑克森
Lindsay Lohan,琳賽·蘿涵
John Legend,約翰·傳奇
Boris Johnson,鲍里斯·约翰逊
George Mosse,格爾奧格·摩瑟
Elizabeth McGovern,伊莉莎白·麥戈文
Betty Grable,蓓蒂·葛萊寶
Claire Trevor,嘉麗·杜莉華
Rosalind Russell,羅莎琳德·拉塞爾
Alice Brady,愛麗絲·布雷迪
Pam Grier,帕姆·格里爾
Carroll Baker,卡萝尔·贝克
Tiffany Darwish,提芬妮
Frances Conroy,弗兰西丝·康罗伊
Tadeusz Kościuszko,塔德乌什·柯斯丘什科
Howlin' Wolf,切斯特·阿瑟·伯内特
Albert King,艾尔伯特·金·(音乐家)
Henry Gunther,亨利·尼古拉斯·冈瑟
Karol J. Bobko,卡罗尔·鲍勃科
Dolly Parton,桃莉·巴頓
Loie Fuller,洛伊·富勒
Philip Seymour Hoffman,菲臘·西摩·荷夫曼
Joe Jonas,喬·強納斯
Val Kilmer,方·基默
Edward Sapir,愛德華·薩丕爾
Peggy Guggenheim,佩姬·古根漢
Mario Capecchi,马里奥·卡佩奇
Harvey Keitel,哈维·凯特尔
Debbie Gibson,黛比·吉布森
Fairuza Balk,费鲁扎·鲍克
Jo Van Fleet,喬·范弗利特
Gale Sondergaard,蓋兒·桑德嘉
Blind Lemon Jefferson,盲人莱蒙·杰弗森
Benjamin I. Schwartz,史华慈
John Cage,約翰·凱吉
Gene Roddenberry,金·羅登貝瑞
Mark Spitz,马克·斯皮茨
Pervis Ellison,佩维斯·埃利森
Zooey Deschanel,柔伊·黛絲香奈
Jim Jarmusch,吉姆·賈木許
Eric Schopler,艾瑞克·修普勒
Martha Washington,马莎·华盛顿
Jaromír Weinberger,雅罗米尔·魏因贝格尔
Jennifer Esposito,珍妮弗·艾斯波西多
Jeff Buckley,傑夫·巴克利
Peter Blau,彼得·布劳
Ellen Pompeo,艾蓮·朋佩歐
Robert Lowie,羅伯特·羅伊
Stephen Jay Gould,史蒂芬·古爾德
Sarah Michelle Gellar,莎拉·蜜雪兒·吉蘭
Nancy Sinatra,南茜·辛纳特拉
Albert Claude,阿爾伯特·克勞德
Kate Voegele,凱特·芙格麗
Theodore Schultz,西奧多·威廉·舒爾茨
Iron Man,鋼鐵人
Anna Nicole Smith,安娜·妮可·史密斯
Jessica Jung,Jessica·(韓裔歌手)
Linda McMahon,琳達·麥馬漢
Hank Aaron,漢克·阿倫
Yakov Malkiel,雅科夫·马尔基尔
Sherwood Anderson,舍伍德·安德森
Peter Max,彼得·馬克斯
Sunny (singer),Sunny·(少女時代)
Wilhelm Weitling,威廉·魏特林
Jacob Schiff,雅各布·希夫
Scott Joplin,斯科特·喬普林
Edward Cullen,愛德華·庫倫
Jared Padalecki,傑瑞·帕達里基
John Milnor,约翰·米尔诺
John Wilkes Booth,约翰·威尔克斯·布斯
Marisa Tomei,瑪麗莎·托梅
Natalie Wood,娜妲麗·華
Zac Efron,柴克·艾弗隆
Jaegwon Kim,金在权
Jesse McCartney,傑西·麥卡尼
Frederick Reines,弗雷德里克·莱因斯
Alice Walker,愛麗絲·華克
Itzhak Perlman,伊扎克·帕尔曼
Fritz Julius Kuhn,弗里茲·庫恩
Brian Benben,布萊恩·奔本
Daniel Kahneman,丹尼尔·卡尼曼
Severo Ochoa,塞韦罗·奥乔亚
Belinda Carlisle,贝琳达·卡莱尔
Nathaniel Peffer,裴斐
Shia LaBeouf,西亞·李畢福
Christina McHale,姬絲汀娜·麥海爾
John Lewis,約翰·路易斯·(喬治亞州政治人物)
Jane Addams,珍·亞當斯
Norman Mailer,諾曼·梅勒
Ignacy Jan Paderewski,伊格纳奇·扬·帕德雷夫斯基
Fritz John,弗瑞茲·約翰
Rhea Perlman,雷娅·珀尔曼
Nathalia Ramos,娜塔莉亞·羅蒙絲
C. J. Cherryh,C·J·彻里
Albert O. Hirschman,阿爾伯特·赫希曼
Robert McNamara,罗伯特·麦克纳马拉
Gene Wilder,吉恩·怀尔德
Leonard Bloomfield,伦纳德·布龙菲尔德
John Stith Pemberton,约翰·彭伯顿
James Roday Rodriguez,詹姆斯·羅德
Dennis Ritchie,丹尼斯·里奇
Wayne Odesnik,韋恩·奧德斯尼克
Chuck Pfarrer,查克·費瑞爾
Steve Ballmer,史蒂夫·巴爾默
Peter Facinelli,彼得·費辛利
Burton Richter,伯顿·里克特
Robert Johnson,罗伯特·约翰逊
Walter Mischel,沃尔特·米歇尔
Valentine Bargmann,華倫泰·巴格曼
Patricia Arquette,帕特里夏·阿奎特
Madeline Kahn,马德琳·卡恩
Emile Zuckerkandl,埃米尔·扎克坎德
Herman Hollerith,赫爾曼·何樂禮
Diane Ladd,黛安·拉德
Rosie Perez,蘿西·培瑞茲
Jane Wyatt,简·怀亚特
Jack London,杰克·伦敦
B.o.B,B.o.B
Christian Bale,克里斯汀·貝爾
James Lankford,詹姆斯·蘭克福德
John McAfee,約翰·邁克菲
Charles Coughlin,查尔斯·库格林
Jennifer Beals,珍妮佛·貝爾
Charles Ericksen,查尔斯·埃里克森
Aaron Copland,阿隆·科普兰
Rob Schneider,勞勃·許奈德
Danny Glover,丹尼·葛洛佛
Stonewall Jackson,石牆傑克森
Kristen Johnston,克丽丝滕·约翰斯顿
Mariel Hemingway,玛丽埃尔·海明威
Upton Sinclair,厄普顿·辛克莱
Jane Curtin,简·柯廷
Marilyn vos Savant,瑪麗蓮·沃斯·莎凡特
Megan Mullally,梅甘·马拉利
George Dole (wrestler),乔治·多尔
Kathy Hochul,凱西·霍赫爾
Mike Fitzpatrick,麥克·菲茨派翠克
Czesław Miłosz,切斯瓦夫·米沃什
Thomas J. Watson Jr.,小托马斯·J·沃森
Chris Paul,克里斯·保罗
Christie Pearce,克丽丝蒂·皮尔斯
Yang Chen-Ning,杨振宁
Susan B. Anthony,苏珊·安东尼
Reid Priddy,威廉·普里迪
Herbert A. Simon,司马贺
Sonny Weems,桑尼·威姆斯
Rita Wilson,麗塔·威爾遜
Irene Cara,艾琳·卡拉
Tom Wolfe,汤姆·沃尔夫
Sandy Berger,山迪·柏格
William Alfred Fowler,威廉·福勒
Teri Hatcher,泰瑞·海契
Jackie Wilson,傑克·列羅伊·威爾森
Ted Bundy,泰德·邦迪
Anna Chlumsky,安娜·克倫斯基
Rosemary Harris,罗斯玛丽·哈里斯
Garth Brooks,加斯·布鲁克斯
Steve Carell,史提夫·加維
Joseph Murray,约瑟夫·默里
Joseph Weydemeyer,约瑟夫·魏德迈
Rufus Wainwright,洛福斯·温莱特
Jennifer Hudson,珍妮佛·哈德遜
Nicky Hilton,妮琪·希爾頓
Oliver Smithies,奥利弗·史密西斯
Connie Francis,康妮·弗朗西斯
Paul Anka,保羅·安卡
Sam Houston,山姆·休士頓
Linda Cardellini,琳达·卡德里尼
Natasha Lyonne,娜塔莎·雷昂
Ursula K. Le Guin,娥蘇拉·勒瑰恩
Bernard Baruch,伯纳德·巴鲁克
Washington Irving,華盛頓·歐文
George R. R. Martin,喬治·R·R·馬丁
Chick Corea,奇克·柯瑞亞
Robert Fulton,罗伯特·富尔顿
Vladimir Horowitz,弗拉基米爾·霍羅威茨
Roy Scheider,罗伊·谢德
Ed White (astronaut),爱德华·怀特
Josh Holloway,喬許·霍洛威
Dian Fossey,戴安·弗西
Caroline Harrison,卡羅琳·哈里森
Lucretia Garfield,盧克麗霞·加菲爾德
Dominique Swain,多明妮克·史旺
Abigail Fillmore,艾碧該·菲爾莫爾
Man Ray,曼·雷
Georgia O'Keeffe,喬治亞·歐姬芙
Seth Wescott,塞思·韦斯科特
Melissa Benoist,梅莉莎·班諾伊
Jack Kevorkian,傑克·凱沃基安
Benny Goodman,班尼·古德曼
Kenneth Arrow,肯尼斯·阿罗
George Andrew Olah,乔治·安德鲁·欧拉
Lucy Webb Hayes,露西·韋伯·海斯
Nan Goldin,南·戈丁
Paul Cohen,保罗·寇恩
Samuel Barber,塞缪尔·巴伯
Annette Rogers,安妮特·罗杰斯
Jason Mraz,傑森·瑪耶茲
Dolph Lundgren,道夫·龙格尔
Edmund Phelps,埃德蒙·费尔普斯
Jack Ruby,杰克·鲁比
Simon Kuznets,西蒙·库兹涅茨
I. M. Pei,贝聿铭
Max Theiler,马克斯·泰累尔
Ray Milland,雷·米倫
Aaron Eckhart,艾伦·艾克哈特
Fredric March,弗雷德里克·馬區
Richard Dreyfuss,李察·德雷福斯
Ryan Reynolds,萊恩·雷諾斯
Joseph Hooton Taylor Jr.,约瑟夫·泰勒
"Peyton List (actress, born 1998)",珮頓·利斯特
Eliza McCardle Johnson,伊丽莎·麦卡德尔·约翰逊
Marten Mendez,馬滕·孟德茲
Scott Westerfeld,史考特·韋斯特費德
Robert Marshak,羅伯特·馬沙克
Eugene Merle Shoemaker,尤金·舒梅克
L. Ron Hubbard,L·罗恩·贺伯特
Grace Coolidge,格雷丝·柯立芝
Sarah Childress Polk,莎拉·查尔德瑞斯·波尔克
Ellen Axson Wilson,愛倫·艾克森·威爾遜
Ben Stiller,班·史提勒
Olga Fikotová,奥尔加·菲科托娃
Joseph Smith,約瑟·斯密
Cliff Robertson,克里夫·羅勃遜
Ivar Giaever,伊瓦尔·贾埃弗
Stan Lee,史丹·李
Jane Jacobs,简·雅各布斯
Michelle Wie West,魏圣美
Sean Combs,肖恩·库姆斯
Dorothea Tanning,多蘿西婭·坦寧
Leon M. Lederman,利昂·萊德曼
Charles Barkley,查尔斯·巴克利
Robert Coleman Richardson,罗伯特·科尔曼·理查森
Samuel C. C. Ting,丁肇中
Kris Allen,克里斯·艾倫
Stan Marsh,斯坦·马希
Robert Rodriguez,罗伯特·罗德里格兹
Nate Dogg,奈特·道格
Paul Lukas,保羅·盧卡斯
Erich Maria Remarque,埃里希·玛利亚·雷马克
Larry James,拉里·詹姆斯
Jessica Tandy,潔西卡·坦迪
Misty May-Treanor,米斯蒂·梅-特雷纳
Robin Hobb,羅蘋·荷布
Jack Kilby,傑克·基爾比
Kenny Rogers,肯尼·罗杰斯
Janelle Monáe,贾奈尔·梦内
Stanisław Ulam,斯塔尼斯拉夫·乌拉姆
Jodi Picoult,茱迪·皮考特
Marin Hinkle,玛琳·辛科
Adrianne Curry,雅芝·加里
Kyle Broflovski,凯尔·布拉夫斯其
Eric Cartman,埃里克·卡特曼
Kenny McCormick,肯尼·麦克康米克
Josh Hutcherson,喬許·哈卻森
Anthony James Leggett,安東尼·萊格特
Ruby Dee,鲁比·迪伊
Jimmie Johnson,吉米·约翰逊
Rebbie Jackson,瑞比·傑克森
Jerry Bruckheimer,傑瑞·布洛克海默
Jane Russell,珍·羅素
Orson Scott Card,奥森·斯科特·卡德
Iris Chang,张纯如
Warren Buffett,沃伦·巴菲特
Paul Muni,保羅·穆尼
Condoleezza Rice,康多莉扎·赖斯
Robert Wadlow,罗伯特·潘兴·瓦德罗
Darren Aronofsky,戴倫·艾洛諾夫斯基
F. Murray Abraham,F·莫瑞·亞伯拉罕
Broderick Crawford,布羅德里克·克勞福德
Milton Friedman,米爾頓·佛利民
Margot Kidder,马戈迪·基德尔
David Letterman,大卫·莱特曼
John Edwards,约翰·爱德华兹
Gail Devers,盖尔·德弗斯
Lindsay Wagner,林赛·瓦格纳
La Toya Jackson,拉托亞·傑克森
Mary Wayte,玛丽·韦特
Louise Fletcher,露易絲·弗萊徹
Alexis Bledel,艾麗絲·布莉達
Art Carney,亞特·卡尼
Gerard Kuiper,杰拉德·柯伊伯
Frank B. Kellogg,弗兰克·B·凯洛格
Tim Duncan,蒂姆·邓肯
Grant Wood,格兰特·伍德
Laurence Fishburne,勞倫斯·費許朋
Linda Evans,琳达·埃文斯
John B. Watson,约翰·布罗德斯·华生
Walter Gilbert,沃特·吉爾伯特
Joyce Carol Oates,乔伊斯·卡罗尔·欧茨
Joker (character),小丑·(角色)
Roger Guillemin,罗歇·吉耶曼
Lana Parrilla,拉娜·帕瑞拉
Bill Russell,比尔·拉塞尔
Willa Holland,薇拉·賀蘭德
Camryn Manheim,卡姆琳·曼海姆
Julia Gardiner Tyler,朱丽娅·加德纳·泰勒
Helen Stephens,海伦·斯蒂芬斯
Paris Hilton,芭黎絲·希爾頓
Matt Dillon,麥·迪倫
Montgomery Clift,蒙哥馬利·克利夫特
James Woods,占士·活士
Dianne Wiest,黛安·韦斯特
