George Washington,ジョージ・ワシントン
Anne Hathaway,アン・ハサウェイ
Harry Houdini,ハリー・フーディーニ
Milla Jovovich,ミラ・ジョヴォヴィッチ
Ernest Lawrence,アーネスト・ローレンス
Edward Dmytryk,エドワード・ドミトリク
Buckminster Fuller,バックミンスター・フラー
Paul Berg,ポール・バーグ
Joe Frazier,ジョー・フレージャー
Nancy Pelosi,ナンシー・ペロシ
Henry James,ヘンリー・ジェイムズ
John Williams,ジョン・ウィリアムズ
Bill Monroe,ビル・モンロー
Josef Albers,ヨゼフ・アルバース
Shaquille O'Neal,シャキール・オニール
Peter Schutz,ピーター・シュッツ
Tommy Lee Jones,トミー・リー・ジョーンズ
Žydrūnas Ilgauskas,ジードルナス・イルガスカス
Guenter Wendt,ギュンター・ウェント
Ernest Borgnine,アーネスト・ボーグナイン
Dennis Hopper,デニス・ホッパー
Muhammad Ali,モハメド・アリ
David Scott,デービッド・スコット (政治家)
Elden Auker,エルデン・オーカー
Nick Buoniconti,ニック・ブオニコンティ
Jack Warner,ジャック・L・ワーナー
Gunter Schlierkamp,グンター・シュリエルカンプ
Toni Morrison,トニ・モリスン
Sarah Jessica Parker,サラ・ジェシカ・パーカー
Arthur Nussbaum,アルトゥール・ヌスバウム
James Stewart,ジェームズ・ステュアート
Eazy-E,イージー・イー
Aurora Snow,オーロラ・スノー
Vladimir Nabokov,ウラジーミル・ナボコフ
Robert De Niro,ロバート・デ・ニーロ
Craig Ferguson,クレイグ・ファーガソン
Paul Samuelson,ポール・サミュエルソン
Max Otte,マックス・オッテ
Cassie Ventura,キャシー
Harriet Tubman,ハリエット・タブマン
Elia Kazan,エリア・カザン
Marin Ireland,マリン・アイルランド
Meshell Ndegeocello,ミシェル・ンデゲオチェロ
Machine Gun Kelly,マシンガン・ケリー
Diane Keaton,ダイアン・キートン
George Peppard,ジョージ・ペパード
Danielle Steel,ダニエル・スティール
Ernst Steinhoff,エルンスト・シュタインホフ
Johnny Depp,ジョニー・デップ
Albert R. Broccoli,アルバート・R・ブロッコリ
Mario Andretti,マリオ・アンドレッティ
Amy Ried,エイミー・レイド
Audrey Hollander,オードリー・ホランダー
Roger Boisjoly,ロジャー・ボージョレー
Annie Cruz,アニー・クルス
Oliver Hardy,オリヴァー・ハーディ
Kurt Otto Friedrichs,カート・オットー・フリードリヒ
Samuel Goldwyn,サミュエル・ゴールドウィン
Kendrick Perkins,ケンドリック・パーキンス
Jon Kasdan,ジョン・カスダン
Wilhelm Steinitz,ヴィルヘルム・シュタイニッツ
Ron Howard,ロン・ハワード
Jackie Chan,ジャッキー・チェン
Cheech Marin,チーチ・マリン
Bing Crosby,ビング・クロスビー
Raoul Walsh,ラオール・ウォルシュ
Hal Roach,ハル・ローチ
Caterina Fake,カタリーナ・フェイク
Thalía,タリア
Tom Cruise,トム・クルーズ
Johnny Whitaker,ジョニー・ウィタカー
Lana Del Rey,ラナ・デル・レイ
Philip K. Dick,フィリップ・K・ディック
Bill Thomas,ビル・トーマス
Willem de Kooning,ウィレム・デ・クーニング
George Lopez,ジョージ・ロペス
Viggo Mortensen,ヴィゴ・モーテンセン
Roger D. Kornberg,ロジャー・コーンバーグ
Jake Johnson,ジェイク・ジョンソン
Peter Revson,ピーター・レブソン
Oral Roberts,オーラル・ロバーツ
Jennifer Connelly,ジェニファー・コネリー
Elisha Otis,エリシャ・オーチス
Yul Brynner,ユル・ブリンナー
Robert Wilson,ロバート・ウッドロウ・ウィルソン
Henry Lee Lucas,ヘンリー・リー・ルーカス
Jeff Young,ジェフ・ヤング
Jimmie Lee Sloas,ジミー・リー・スロース
Chuck Behler,チャック・ビーラー
Eva Mendes,エヴァ・メンデス
Jon Landau,ジョン・ランドー
Eleanor Rosch,エレノア・ロッシュ
William Plumer,ウィリアム・プルーマー
Joe Johnson,ジョー・ジョンソン
Laura Prepon,ローラ・プレポン
Ron Dante,ロン・ダンテ
Glenn Miller,グレン・ミラー
John Michael Talbot,ジョン・マイケル・タルボット
Nicole Kidman,ニコール・キッドマン
Q'orianka Kilcher,クオリアンカ・キルヒャー
Jimmy Smits,ジミー・スミッツ
Robert Oppenheimer,ロバート・オッペンハイマー
T. S. Eliot,T・S・エリオット
Charlie Parker,チャーリー・パーカー
Bobby Timmons,ボビー・ティモンズ
Larry Manetti,ラリー・マネッティ
Irakli Tsereteli,イラクリー・ツェレテリ
Elmer Swenson,エルマー・スウェンソン
Horace Maynard,ホーレス・メイナード
John Bissell Carroll,ジョン・B. キャロル
Macaulay Culkin,マコーレー・カルキン
Hayden Panettiere,ヘイデン・パネッティーア
Mark Donohue,マーク・ダナヒュー
Robert Duvall,ロバート・デュヴァル
Brett Lunger,ブレット・ランガー
Richie Ginther,リッチー・ギンサー
Dan Gurney,ダン・ガーニー
Michael Andretti,マイケル・アンドレッティ
Robert Kempner,ロベルト・ケンプナー
Stanley Kramer,スタンリー・クレイマー
Scott Speed,スコット・スピード
Willard Boyle,ウィラード・ボイル
Groucho Marx,グルーチョ・マルクス
Kurt Russell,カート・ラッセル
Mervyn LeRoy,マーヴィン・ルロイ
Peter Debye,ピーター・デバイ
Jake Gyllenhaal,ジェイク・ジレンホール
Kirk Douglas,カーク・ダグラス
Charlie Sheen,チャーリー・シーン
Harry Schell,ハリー・シェル
Rikky von Opel,リッキー・フォン・オペル
Jackson Pollock,ジャクソン・ポロック
Christy Mathewson,クリスティ・マシューソン
Gene Kelly,ジーン・ケリー
Joseph Howell,ジョーゼフ・ハウエル
Frederick Valentine Melsheimer,フレドリック・ヴァレンタイン・メルスハイマー
Nathan Eovaldi,ネイサン・イオバルディ
Dave Hansen,デーブ・ハンセン
Don Blasingame,ドン・ブラッシンゲーム
Dawn Marie Johnston,ドーン・マリー・ジョンストン
Clinton Davisson,クリントン・デイヴィソン
James R. Schlesinger,ジェームズ・R・シュレシンジャー
Ronnie Bucknum,ロニー・バックナム
Ryan Lindley,ライアン・リンドリー
Mila Kunis,ミラ・キュニス
Miguel,ミゲル
Brooklyn Lee,ブルックリン・リー
Buster Keaton,バスター・キートン
Alexandre Mouton,アレグザンダー・ムートン
Carlo Tresca,カルロ・トレスカ
Jessie Godderz,ジェシー・ゴッダーズ
Michael Manasseri,マイケル・マナッセリ
Peggy Lee Leather,ペギー・リー・レザー
Cassandra Steen,カサンドラ・スティーン
Thorstein Veblen,ソースティン・ヴェブレン
Earl Mac Rauch,アール・マック・ローチ
Steve Forbes,スティーブ・フォーブス
Leonardo DiCaprio,レオナルド・ディカプリオ
Hap Sharp,ハップ・シャープ
Patrick Simmons,パトリック・シモンズ
Ayn Rand,アイン・ランド
Adam Sandler,アダム・サンドラー
Arthur T. Ippen,アーサー・トーマス・イッペン
Ralph Macchio,ラルフ・マッチオ
George Follmer,ジョージ・フォルマー
Tony Bettenhausen,トニー・ベッテナウゼン
Bobby Unser,ボビー・アンサー
Matthew Perry,マシュー・ペリー
Sylvia Plath,シルヴィア・プラス
Percy Williams Bridgman,パーシー・ブリッジマン
Steve Buscemi,スティーヴ・ブシェミ
Eli Wallach,イーライ・ウォラック
Masiela Lusha,マシエラ・ルーシャ
Lauren Bacall,ローレン・バコール
Steve Cishek,スティーブ・シシェック
Susan Sarandon,スーザン・サランドン
Lillian Gish,リリアン・ギッシュ
Jiří Dienstbier Jr.,イジー・ディーンストビール
Rodney Davis,ロドニー・デイビス
Roselyn Sánchez,ロゼリン・サンチェス
Robert Todd Carroll,ロバート・キャロル
Steven Soderbergh,スティーヴン・ソダーバーグ
Charles Griffin,チャールズ・グリフィン
Mockingbird,モッキングバード
Murphy J. Foster,マーフィー・J・フォスター
Gloria Katz,グロリア・カッツ
Marla Gibbs,マーラ・ギブズ
Jamie Foxx,ジェイミー・フォックス
Helen Keller,ヘレン・ケラー
Bill Vukovich,ビル・ブコビッチ
Thomas Mann,トーマス・マン
Mel Brooks,メル・ブルックス
Kimberly Peirce,キンバリー・ピアース
Harry Callahan,ハリー・キャラハン
Ernie Pyle,アーニー・パイル
Brianna Love,ブリアナ・ラブ
Tony Sbarbaro,トニー・スバーバロ
Natalie Portman,ナタリー・ポートマン
Benjamin Bratt,ベンジャミン・ブラット
John Malkovich,ジョン・マルコヴィッチ
Eddy Duchin,エディ・デューチン
Amber Valletta,アンバー・ヴァレッタ
Sidney Poitier,シドニー・ポワティエ
George Lucas,ジョージ・ルーカス
Allene Ray,アリーン・レイ
John Carroll,ジョン・キャロル
Doris Day,ドリス・デイ
William Fox,ウィリアム・フォックス
Paula Fox,ポーラ・フォックス
Michael Phelps,マイケル・フェルプス
Nicole Arendt,ニコル・アレント
Bob Sweikert,ボブ・スウェイカート
Michael Crichton,マイケル・クライトン
Mike Anchondo,マイク・アンチュド
Scott A. Williams,スコット・ウィリアムズ
Dexter Lumis,サム・ショー
Jack McBean,ジャック・マクビーン
Wayne Raney,ウェイン・レイニー
Dorothy M. Metcalf-Lindenburger,ドロシー・リンデンバーガー
Jennifer Garner,ジェニファー・ガーナー
Skip Barber,スキップ・バーバー
Barbara Potter,バーバラ・ポッター
Harold Lloyd,ハロルド・ロイド
Karen Keskulla Uhlenbeck,キャレン・アーレンベック
Rachel Weisz,レイチェル・ワイズ
Frederic Kimber Seward,フレデリック・キンバー・スワード
Karan Brar,カラン・ブラァ
Jamie Anne Allman,ジェイミー・アン・オールマン
Richard Corliss,リチャード・コーリス
John Steinbeck,ジョン・スタインベック
A. O. Scott,A・O・スコット
Jessica Lundy,ジェシカ・ランディ
Mickey Rooney,ミッキー・ルーニー
Roger Penske,ロジャー・ペンスキー
Douglas Fairbanks,ダグラス・フェアバンクス
Adrien Brody,エイドリアン・ブロディ
Sam Posey,サム・ポージー
Joseph Martin Reichard,ヨーゼフ・マルティン・ライヒャルト
Magic Johnson,マジック・ジョンソン
Harry Warner,ハリー・ワーナー
Timmy Mayer,ティミー・メイヤー
Chuck Daigh,チャック・デイ
Ed Harris,エド・ハリス
Eugene Isaac Meyer,ユージン・メイヤー
John C. Mather,ジョン・C・マザー
Jacob Albright,ヤーコブ・アルブレヒト
Tom McGrath,トム・マクグラス
Peter S. Kalikow,ピーター・カリコフ
Kishi Bashi,Kishi Bashi
Jonathan Beller,ジョナサン・ベラー
Billie Holiday,ビリー・ホリデイ
Jack Szostak,ジャック・W・ショスタク
William Faulkner,ウィリアム・フォークナー
Donald J. Cram,ドナルド・クラム
Elias James Corey,イライアス・コーリー
James Dutton,ジェームズ・ダットン
Earl Scruggs,アール・スクラッグス
Tennessee Williams,テネシー・ウィリアムズ
Henry Banks,ヘンリー・バンクス
Gus Hutchison,ガス・ハッチソン
Danny Ongais,ダニー・オンガイス
Candice King,キャンディス・アッコラ
Cuba Gooding Jr.,キューバ・グッディング・ジュニア
ZaSu Pitts,ザス・ピッツ
Hoodie Allen,フーディ・アレン
Ashraf Ghani,アシュラフ・ガニー
Walt Hansgen,ウォルト・ハンセン
Drew Brees,ドリュー・ブリーズ
Brad Paisley,ブラッド・ペイズリー
Pete Lovely,ピート・ラブリー
Bobby Rahal,ボビー・レイホール
Lloyd Ruby,ロイド・ラビー
Tyra Banks,タイラ・バンクス
Bruce Beutler,ブルース・ボイトラー
Christopher Lambert,クリストファー・ランバート
Truman Capote,トルーマン・カポーティ
John Rawls,ジョン・ロールズ
Jim Hall,ジム・ホール
Steven Chu,スティーブン・チュー
Ted Kennedy,エドワード・ケネディ
Moondog,ムーンドッグ
Pat McCrory,パット・マクローリー
Mos Def,モス・デフ
Chris Columbus,クリス・コロンバス
Ndamukong Suh,エンダムカン・スー
James Pickens,ジェームズ・ピケンズ・Jr
Myrna Smith,マーナ・スミス
Gus Arnheim,ガス・アーンハイム
Charles Wallace Richmond,チャールズ・ウォーレス・リッチモンド
Tad Lincoln,タッド・リンカーン
Edward H. East,エドワード・イースト
Richard Feynman,リチャード・P・ファインマン
Thomas Cech,トーマス・チェック
Sidney Sheldon,シドニィ・シェルダン
Bernard Hopkins,バーナード・ホプキンズ
Norman Scott,ノーマン・スコット
Matt Sorum,マット・ソーラム
Bob Kerrey,ボブ・ケリー
Adolph Douai,アドルフ・ドゥエイ
William A. Moffett,ウィリアム・A・モフェット
Yaron Brook,ヤロン・ブルック
Jack Nicholson,ジャック・ニコルソン
Zab Judah,ザブ・ジュダー
James Harden,ジェームス・ハーデン
Tom Beauchamp,トム・ビーチャム
Heinrich Klüver,ハインリッヒ・クリューバー
Martin Fowler,マーティン・ファウラー
Sojourner Truth,ソジャーナ・トゥルース
Z-Ro,Z・ロー
Jackie Mason,ジャッキー・メイソン
Butch Otter,C.L.オッター
Terry Branstad,テリー・ブランスタッド
Tom Clancy,トム・クランシー
"Charles Francis Adams, Sr.",チャールズ・フランシス・アダムズ
Ferdinand Lindheimer,フェルディナント・リンドハイマー
Jerry Unser,ジェリー・アンサーJr.
Johnny Thomson,ジョニー・トムソン
Rodger Ward,ロジャー・ウォード
Ted Williams,テッド・ウィリアムズ
Tommy Hilfiger,トミー・ヒルフィガー
Ed Lauter,エド・ローター
Kristin Bauer van Straten,クリスティン・バウアー・ヴァン・ストラテン
Rudolph Schoenheimer,ルドルフ・シェーンハイマー
Dan Donegan,ダン・ドネガン
Arthur Frank Mathews,アーサー・フランク・マシューズ
Todd Lowe,トッド・ロウ
Chris Bauer,クリス・バウアー
Bud Cort,バッド・コート
Max Lilienthal,マックス・リリエンタール
Seymour Nebenzal,シーモア・ネベンザル
Leo Reisman,レオ・レイズマン
John Fitch,ジョン・フィッチ
Bob Bondurant,ボブ・ボンデュラント
Jim Rathmann,ジム・ラスマン
Kira Buckland,キラ・バックランド
Chris Cason,クリス・カーソン
Michael Collins,マイケル・コリンズ
Holly Hunter,ホリー・ハンター
John Updike,ジョン・アップダイク
Isaiah Washington,イザイア・ワシントン
AnnaSophia Robb,アナソフィア・ロブ
Jean Harlow,ジーン・ハーロウ
Jesse Williams,ジェシー・ウィリアムズ
Danny Kladis,ダニー・クラディス
George Connor,ジョージ・コナー
Lucas Luetge,ルーカス・リットキー
Ace Steel,エース・スティール
J. H. Hobart Ward,J・H・ホバート・ウォード
Katie Ledecky,ケイティ・レデッキー
Matt Murphy,マット・マーフィー
James H. Billington,ジェームズ・H・ビリントン
Andy Linden,アンディ・リンデン
Andre Iguodala,アンドレ・イグドラ
Nat King Cole,ナット・キング・コール
Hans Zimmer,ハンス・ジマー
Bob Veith,ボブ・ヴェイス
Baruch Samuel Blumberg,バルーク・サミュエル・ブランバーグ
Jack Coleman,ジャック・コールマン
George Antheil,ジョージ・アンタイル
Samuel Finley Breese Morse,サミュエル・モールス
Cal Niday,カル・ニディ
Dean Reed,ディーン・リード
Stephen King,スティーヴン・キング
Jessica Capshaw,ジェシカ・キャプショー
Ludwig Bemelmans,ルドウィッヒ・ベーメルマンス
Kevin Kline,ケヴィン・クライン
Ronny Cox,ロニー・コックス
Michael McMillian,マイケル・マクミリアン
Blythe Danner,ブライス・ダナー
Joseph Weizenbaum,ジョセフ・ワイゼンバウム
Herbie Hancock,ハービー・ハンコック
George E. Smith,ジョージ・スミス
John Denver,ジョン・デンバー
Ralph Steinman,ラルフ・スタインマン
Janina Gavankar,ジャニナ・ガヴァンカー
Ann Brashares,アン・ブラッシェアーズ
John Brahm,ジョン・ブラーム
Charles Bukowski,チャールズ・ブコウスキー
Kirsten Dunst,キルスティン・ダンスト
Amy Lee,エイミー・リー
Sylvester Stallone,シルヴェスター・スタローン
Jason Bates,ジェイソン・ベイツ
Lucy R. Lippard,ルーシー・リパード
Alex Payne,アレックス・ペイン
T. R. Knight,T・R・ナイト
Richard Linklater,リチャード・リンクレイター
Isaac Bashevis Singer,アイザック・バシェヴィス・シンガー
Bobby Fish,ボビー・フィッシュ
Oona O'Neill,ウーナ・オニール
Anthony Rapp,アンソニー・ラップ
William Hurt,ウィリアム・ハート
David Gross,デイビッド・グロス
Nicholas G. Carr,ニコラス・G・カー
Heather Vandeven,ヘザー・ヴァンデヴェン
Julie Bowen,ジュリー・ボーウェン
Bob Crane,ボブ・クレイン
David Lee,デーヴィッド・リー
Chandra Wilson,チャンドラ・ウィルソン
Jay Grdina,ジャスティン・スターリング
Stipe Miocic,スタイプ・ミオシッチ
Michael Keaton,マイケル・キートン
Paul Morphy,ポール・モーフィー
Will Smith,ウィル・スミス
Samuel L. Jackson,サミュエル・L・ジャクソン
Cassie Bernall,キャシー・バーナル
William Trautmann,ウィリアム・トラウトマン
Jawed Karim,ジョード・カリム
Carol Chomsky,キャロル・チョムスキー
Curtis Stevens,カーチス・スティーブンス
Stefan Heym,シュテファン・ハイム
O. Henry,オー・ヘンリー
Stanisława Walasiewicz,スタニスラワ・ワラシェビッチ
Arno Allan Penzias,アーノ・ペンジアス
Dave Chappelle,デイヴ・シャペル
Sandra Oh,サンドラ・オー
Murray Gell-Mann,マレー・ゲルマン
James Horner,ジェームズ・ホーナー
Hermann Braun,ヘルマン・ブラウン
Ei-ichi Negishi,根岸英一
Kate Capshaw,ケイト・キャプショー
Lillian Moller Gilbreth,リリアン・ギルブレス
Bea Arthur,ビアトリス・アーサー
Myrna Loy,マーナ・ロイ
Justin Chambers,ジャスティン・チェンバース
Wendell Meredith Stanley,ウェンデル・スタンリー
Stanley C. Wilson,スタンリー・ウィルソン
Anthony Fokker,アントニー・フォッカー
Herman Bing,ハーマン・ビング
Adele Goldstine,アデル・ゴールドスタイン
Nelsan Ellis,ネルサン・エリス
Candy Clark,キャンディ・クラーク
Sara Ramirez,サラ・ラミレス
Sam Trammell,サム・トラメル
John Cusack,ジョン・キューザック
Adam Riess,アダム・リース
Peter Walter,ピーター・ウォルター
John Howard Northrop,ジョン・ノースロップ
Erich Mendelsohn,エーリヒ・メンデルゾーン
Terrance Woodbury,テレンス・ウッドベリー
William Powell,ウィリアム・パウエル
Fred Gamble,フレッド・ギャンブル
Susie Essman,スージー・エスマン
Kate Gleason,ケイト・グリーソン
Lewis Morris Rutherfurd,ルイス・ラザファード
Emilio G. Segrè,エミリオ・セグレ
Kevin McHale,ケビン・マクヘイル
Isaiah Mustafa,イザイア・ムスタファ
River Phoenix,リヴァー・フェニックス
Peter Criss,ピーター・クリス
Friedwardt Winterberg,フリードワード・ウィンターバーグ
Charles Boyer,シャルル・ボワイエ
Paul Lauterbur,ポール・ラウターバー
Rutina Wesley,ラットイーナ・ウェスレイ
Mike Vogel,マイク・ヴォーゲル
Daniel Webster,ダニエル・ウェブスター
Heinz Fraenkel-Conrat,ハインツ・フレンケル＝コンラート
Julia Roberts,ジュリア・ロバーツ
Laura Cantrell,ローラ・カントレル
Ricky Berens,リッキー・ベレンズ
Lars Ulrich,ラーズ・ウルリッヒ
John Grisham,ジョン・グリシャム
Cherami Leigh,シェラミー・リー
Chris Niosi,クリス・ニオシ
Beno Gutenberg,ベノー・グーテンベルグ
Max Delbrück,マックス・デルブリュック
Bill Holland,ビル・ホーランド
Richard F. Heck,リチャード・ヘック
Rudolf Carnap,ルドルフ・カルナップ
Blake Jenner,ブレイク・ジェンナー
Ray Bradbury,レイ・ブラッドベリ
Keith Ellison,ケイス・エリソン
Tammy Baldwin,タミー・ボールドウィン
Franz Boas,フランツ・ボアズ
William Joyce,ウィリアム・ジョイス
Danny Sullivan,ダニー・サリバン
Eddie Cheever,エディ・チーバー
Andy Rooney,アンディ・ルーニー
Edward Frenkel,エドワード・フレンケル
Keak da Sneak,キーク・ダ・スニーク
A. J. Foyt,A.J.フォイト
Asaph Hall,アサフ・ホール
Ricki Lake,リッキー・レイク
Janeane Garofalo,ジャニーン・ガラファロー
Sylvia Nasar,シルヴィア・ネイサー
Briana Banks,ブリアナ・バンクス
John Fenn,ジョン・フェン
Richard Smalley,リチャード・スモーリー
Éamon de Valera,エイモン・デ・ヴァレラ
John Baptist Purcell,ジョン・バプテスト・パーセル
Curt Stern,カート・スターン
Jerome Karle,ジェローム・カール
Martin Chalfie,マーティン・チャルフィー
Hans von Ohain,ハンス・フォン・オハイン
Dankmar Adler,ダンクマール・アドラー
Johann Deisenhofer,ヨハン・ダイゼンホーファー
Teddy Mayer,テディ・メイヤー
Steve Nichols,スティーブ・ニコルズ
Ice Cube,アイス・キューブ
Flying Lotus,フライング・ロータス
John Wayne,ジョン・ウェイン
Ahmed Zewail,アハメッド・ズウェイル
Margaret Mitchell,マーガレット・ミッチェル
Elizabeth Marvel,エリザベス・マーヴェル
Ignace Gelb,イグナス・ゲルブ
Mikaela Shiffrin,ミカエラ・シフリン
Jane Kramer,ジェーン・クレイマー
Joseph Strick,ジョセフ・ストリック
Jennifer Lopez,ジェニファー・ロペス
Carl Zuckmayer,カール・ツックマイヤー
Max Horkheimer,マックス・ホルクハイマー
Alan J. Heeger,アラン・ヒーガー
Lee Marvin,リー・マーヴィン
Charlie Wilson,チャールズ・A・ウィルソン・ジュニア
Zac Posen,ザック・ポーゼン
Mary Cassatt,メアリー・カサット
Max Schmeling,マックス・シュメリング
Fritz Albert Lipmann,フリッツ・アルベルト・リップマン
Tod Murphy,トッド・マーフィー
Jim Carrey,ジム・キャリー
Jim McWithey,ジム・マクウィゼイ
Klaus Mann,クラウス・マン
Lion Feuchtwanger,リオン・フォイヒトヴァンガー
Chris Kaman,クリス・ケイマン
Ruth Westheimer,ルース・ウエストハイマー
Joseph Pulitzer,ジョーゼフ・ピューリツァー
Johnny Mantz,ジョニー・マンツ
Jeff Goldblum,ジェフ・ゴールドブラム
Julie Adams,ジュリー・アダムス
Joan Crawford,ジョーン・クロフォード
Andrea Bowen,アンドレア・ボーウェン
August Belmont,オーガスト・ベルモント
Terrence Jones,テレンス・ジョーンズ
James B. Sumner,ジェームズ・サムナー
John Augustus Roebling,ジョン・ローブリング
Jamie Lee Curtis,ジェイミー・リー・カーティス
Saul Perlmutter,ソール・パールマッター
Carl Joachim Friedrich,カール・ヨアヒム・フリードリッヒ
Karl Deutsch,カール・ドイッチュ
Robert Lucas,ロバート・ルーカス
Mariah Carey,マライア・キャリー
Helmut Jahn,ヘルムート・ヤーン
Kurt Zadek Lewin,クルト・レヴィン
Albert Bierstadt,アルバート・ビアスタット
Rosalyn Sussman Yalow,ロサリン・ヤロー
Masten Gregory,マステン・グレゴリー
Zach Wamp,ザック・ワンプ
Frank Sinatra,フランク・シナトラ
Monica Seles,モニカ・セレシュ
Candice Bergen,キャンディス・バーゲン
George Grosz,ジョージ・グロス
Otto Loewi,オットー・レーヴィ
Melvin Frank,メルヴィン・フランク
Zach Braff,ザック・ブラフ
Leo Strauss,レオ・シュトラウス
Mary Harris Jones,マザー・ジョーンズ
Zach Bogosian,ザック・ボゴシアン
Zach Galifianakis,ザック・ガリフィアナキス
Zach Staenberg,ザック・ステンバーグ
Zach Roerig,ザック・ローリグ
Zach Helm,ザック・ヘルム
Zach Johnson,ザック・ジョンソン
Peter Huttenlocher,ピーター・フッテンロッヒャー
Tony Shalhoub,トニー・シャルーブ
Charles Herbert Allen,チャールズ・ハーバート・アレン
Zach Randolph,ザック・ランドルフ
Chris O'Donnell,クリス・オドネル
Jessica Lange,ジェシカ・ラング
Martin Wagner,マルティン・ヴァグナー
Werner Klemperer,ワーナー・クレンペラー
Al Shean,アル・シーン
Chet Miller,チェット・ミラー
Bobby Fischer,ボビー・フィッシャー
Sandra Bullock,サンドラ・ブロック
Marshall Teague,マーシャル・ティーグ
Zach Galligan,ザック・ギャリガン
Zach Grenier,ザック・グルニエ
Al Pacino,アル・パチーノ
Akebono Tarō,曙太郎
Andreas Gruentzig,アンドレアス・グリューンツィヒ
Margarete Mitscherlich-Nielsen,マルガレーテ・ミッチャリヒ
Lars Onsager,ラルス・オンサーガー
Len Sutton,レン・サットン
Francis Lieber,フランシス・リーバー
William Prager,ウィリアム・プラーガー
Curt Siodmak,カート・シオドマク
Herman Frasch,ハーマン・フラッシュ
Count Basie,カウント・ベイシー
Martin Scorsese,マーティン・スコセッシ
Erich von Stroheim,エリッヒ・フォン・シュトロハイム
Zachary Quinto,ザカリー・クイント
Steve Miner,スティーヴ・マイナー
Herbert A. Hauptman,ハーバート・ハウプトマン
Paul Feyerabend,ポール・ファイヤアーベント
Carl Ferdinand Cori,カール・コリ
Zachary Levi,ザッカリー・リーヴァイ
Har Gobind Khorana,ハー・ゴビンド・コラナ
Adolf Busemann,アドルフ・ブーゼマン
Gerhard Fischer,ゲルハルト・フィッシャー
Martin Lewis Perl,マーチン・パール
Hugh David Politzer,H. デビッド・ポリツァー
Konrad Heiden,コンラート・ハイデン
Demi Lovato,デミ・ロヴァート
Arthur Penn,アーサー・ペン
Jane Fonda,ジェーン・フォンダ
Zack O'Malley Greenburg,ザック・オマリー・グリーンバーグ
Ben Roy Mottelson,ベン・ロイ・モッテルソン
Jacqueline Wong,黄心穎
Katherine LaNasa,キャサリン・ラ・ナサ
Fritz Machlup,フリッツ・マハループ
Carl Djerassi,カール・ジェラッシ
Fritz Stiedry,フリッツ・シュティードリー
David Copperfield,デビッド・カッパーフィールド
Jessie Willcox Smith,ジェシー・ウィルコックス・スミス
Lester Lyles,レスター・ライルス
Christopher Reeve,クリストファー・リーヴ
Charles Mingus,チャールズ・ミンガス
Alexander Haig,アレクサンダー・ヘイグ
Zachary Lansdowne,ザカリー・ランズダウン
Frank Wilczek,フランク・ウィルチェック
Zachariah Chandler,ザカライア・チャンドラー
LaMarcus Adna Thompson,L・A・トンプソン
James E. Davis,ジェームズ・E・デイビス
Al Haig,アル・ヘイグ
Josh Brolin,ジョシュ・ブローリン
Michael Jordan,マイケル・ジョーダン
Zachary Knighton,ザカリー・ナイトン
Zachary Gordon,ザカリー・ゴードン
Gilbert Stuart,ギルバート・ステュアート
Samuel D. Nicholson,サミュエル・D・ニコルソン
Henry Cabot Lodge,ヘンリー・カボット・ロッジ
Zack de la Rocha,ザック・デ・ラ・ロッチャ
Zachary Scott,ザカリー・スコット
Luke Wilson,ルーク・ウィルソン
Vince Vaughn,ヴィンス・ヴォーン
Charles Stark Draper,チャールズ・スターク・ドレイパー
Kurt Gödel,クルト・ゲーデル
Robert L. Stewart,ロバート・リー・スチュアート
Rodney Rowland,ロドニー・ローランド
Mark Ruffalo,マーク・ラファロ
Sheldon Glashow,シェルドン・グラショー
Norman Foster Ramsey,ノーマン・ラムゼー
Zachery Ty Bryan,ザカリー・タイ・ブライアン
James B. Pollack,ジェームズ・B・ポラック
Richard Romanus,リチャード・ロマナス
Jack Ging,ジャック・ギング
Glen Brand,グレン・ブランド
Elisabeth Young-Bruehl,エリザベス・ヤング＝ブルーエル
Franz Werfel,フランツ・ヴェルフェル
Michael Shannon,マイケル・シャノン
Helen Greiner,ヘレン・グライナー
Matt Cardona,ザック・ライダー
Sergei Dovlatov,セルゲイ・ドヴラートフ
Fritz Kreisler,フリッツ・クライスラー
Joseph Schumpeter,ヨーゼフ・シュンペーター
John Bassett Moore,ジョン・バセット・ムーア
Jim Belushi,ジェームズ・ベルーシ
Andrew Schally,アンドルー・ウィクター・シャリー
Thomas J. Sargent,トーマス・サージェント
Peter Lorre,ピーター・ローレ
John Young,ジョン・ヤング
Tom Cole,トム・コール
Blind Boy Fuller,ブラインド・ボーイ・フラー
Madeleine Albright,マデレーン・オルブライト
Jeremy Miller,ジェレミー・ミラー
Mercedes McCambridge,マーセデス・マッケンブリッジ
Victor Francis Hess,ヴィクトール・フランツ・ヘス
Wolfgang Zilzer,ヴォルフガング・ツィルツァー
Heinz Ansbacher,ハインツ・アンスバッハー
Mary Tyler Moore,メアリー・タイラー・ムーア
Walter Kohn,ウォルター・コーン
David Darling,デヴィッド・ダーリング
Bill Talbert,ビル・タルバート
Ken Baumann,ケン・バウマン
Ludwig Mies van der Rohe,ルートヴィヒ・ミース・ファン・デル・ローエ
Erich Leinsdorf,エーリヒ・ラインスドルフ
Maria Kraus-Boelté,マリア・クラウス＝ベルテ
Jean Simmons,ジーン・シモンズ
