Campinas,カンピーナス
Rio Real,リオ・レアル (バイーア州)
Oeste Futebol Clube,オエステFC
Santo Antônio do Içá,サント・アントニオ・ド・イサ
São José Esporte Clube,サン・ジョゼEC
Parque Nacional das Emas,エマス国立公園
Rio Tapajós,タパジョース川
Juazeiro,ジュアゼイロ
Meridiano 63 W,西経63度線
Biritiba Mirim,ブリチバ・ミリム
Maracanaço,マラカナンの悲劇
Campeonato Mundial de Handebol Feminino de 2011,2011年世界女子ハンドボール選手権
Brasil nos Jogos Olímpicos de Verão de 1980,1980年モスクワオリンピックのブラジル選手団
Pedro Leopoldo,ペドロ・レオポルド
Esporte Clube Novo Hamburgo,ECノヴォ・アンブルゴ
São Pedro do Butiá,サン・ペードロ・ド・ブチアー
Nova Prata,ノヴァ プラタ
São Caetano do Sul,サン・カエターノ・ド・スウ
Itabira,イタビラ
Simões Filho,シモンイス・フィーリョ
Mirandópolis,ミランドポリス
Passo Fundo,パッソ・フンド
Grupo Gay da Bahia,グルポ・ゲイ・ダ・バヒア
Nacional Futebol Clube,ナシオナルFC
região do Brasil,ブラジルの地域
Supremo Tribunal Federal,連邦最高裁判所
Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento,環境と開発に関する国際連合会議
Eldorado Business Tower,エルドラドビジネスタワー
Vicente Dutra,ヴィセンチ・ドゥトラ
Instituto Butantan,ブタンタン研究所
Bastos,バストス市
Cabo de Santo Agostinho,カボ・デ・サント・アゴスチーニョ
Teófilo Otoni,テオフリオ・オトニ
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
O Globo,オ・グロボ
Seleção Brasileira de Futebol Feminino,サッカーブラジル女子代表
Aeromóvel,大気圧鉄道
Arroio do Meio,アロイオ・ド・メイオ
Campeonato Mundial de Basquetebol Feminino de 1971,1971年女子バスケットボール世界選手権
Panair do Brasil,パン・エアー
Lapa,ラパ
Salesópolis,サレソーポリス
Ilha Comprida,コンプリダ島
Aeroporto Internacional de Belém,ヴァウ・デ・カンス国際空港
Mogeiro,モゲイロ
Joaçaba,ジョアサバ
Carlos Gomes,カルロス・ゴメス
Campeonato Carioca de Futebol,カンピオナート・カリオカ
Copa América de 1983,コパ・アメリカ1983
Lavras,ラヴラス
Taquaritinga,タクアリティンガ
Porto Feliz,ポルトフェリス
Palmeira d'Oeste,パルメイラ・ドエスチ
Eirunepé,エイルネペ
Auditório Ibirapuera,イビラプエラ劇場
Lages,ラジェス
Batida (bebida),バチーダ
Nova Lima,ノヴァ・リマ
Parnaíba,パルナイバ
Jandira,ジャンヂーラ
Ariquemes,アリケメス
Bachianas brasileiras,ブラジル風バッハ
Paralelo 4 S,南緯4度線
Rally dos Sertões,ラリー・ドス・セルトーエス
Presidente Prudente,プレジデンチ・プルデンチ
Palhoça,パリョサ
Brasiliense Futebol Clube,ブラジリエンセFC
Jateí,ジャテイ
Caibi,カイビ
"Sociedade Esportiva, Recreativa e Cultural Guarani",グアラニ・デ・パリョーサFL
Urubici,ウルビシ
Tefé,テフェ
Embraer C-390 Millennium,エンブラエル C-390
Brasil Open de 2010 – Simples,2010年ブラジル・オープンシングルス
Itabirito,イタビリート
Andradina,アンドラジーナ
Iguape,イグァーピ
Universidade Federal do Rio Grande do Sul,リオグランデ・ド・スル大学
Viseu,ヴィゼウ (パラー州)
Santana de Parnaíba,サンターナ・ジ・パルナイーバ
Tarauacá,タラウアカ
Pindamonhangaba,ピンダモニャンガバ
Francisco Morato,フランシスコモラト
Copa do Nordeste de Futebol,カンピオナート・ド・ノルデステ
Nilópolis,ニローポリス
Prêmio Machado de Assis,マシャド・デ・アシス賞
Clube Atlético do Porto,ポルト
Clube Desportivo Sete de Setembro,CDセテ・デ・セテンブロ
Bonito,ボニート (マットグロッソ・ド・スル州)
Arealva,アレアウヴァ
Rubineia,ルビネイラ
Itatinga,イタチンガ
São Francisco do Conde,サン・フランシスコ・ド・コンデ
educação no Brasil,ブラジルの教育
Garanhuns,ガラニュンス
Gravatá,グラヴァタ
Farroupilha,ファホウピーリャ
Campeonato Brasiliense de Futebol,カンピオナート・ブラジリエンセ
Aeroporto Internacional de Florianópolis,エルシリオ・ルス国際空港
Rafard,ハファージ
Estádio Governador Ernani Sátyro,アミゴン
Campeonato Paraense de Futebol,カンピオナート・パラエンセ
Confederação do Equador,エクアドル連合
Acopiara,アコピアラ
Valinhos,ヴァリーニョス
Partido Trabalhista Renovador,改革労働党
Santa Teresa,サンタ・テレサ地区
Ferraz de Vasconcelos,フェラス・デ・ヴァスコンセロス
Região Centro-Oeste do Brasil,中西部
GE 2-D+D-2,リトル・ジョー
Xavantes,シャバンテ族
Tibau do Sul,チバウ・ド・スウ
Siderópolis,シデロポリス
Urânia,ウラニア (ブラジル)
Jaú,ジャウー
Nielsen Company,ニールセン・ホールディングス
Campeonato Sul-Americano de Voleibol Feminino de 1995,1995年バレーボール女子南米選手権
Clube Atlético Bragantino,CAブラガンチーノ
Campeonato Brasileiro de Futebol de 1984,1984 カンピオナート・ブラジレイロ・セリエA
Cordeiro,コルデイロ
Carazinho,カラジニョ
Itatiba,イタチーバ
Itanhaém,イタニャエン
Valparaíso de Goiás,ヴァウパライーゾ・デ・ゴイアース
Timbó,チンボー
Campeonato Mundial de Basquetebol Feminino de 2006,2006年女子バスケットボール世界選手権
Rio Paranaíba,パラナイバ川
Autódromo Internacional de Curitiba,クリチバ・サーキット
Ceará-Mirim,セアラー＝ミリン
Santa Bárbara d'Oeste,サンタ・バルバラ・ドエスチ
Guajará-Mirim,グアジャラ・ミリン
Varginha,ヴァルジーニャ
Manacapuru,マナカプル
poema/processo,プロセス・アート
Televisão no Brasil,ブラジルのテレビ
Várzea Paulista,ヴァールゼア・パウリスタ
Bento Gonçalves,ベント・ゴンサルベス
Barra Bonita,バーハ・ボニータ
São Bernardo Futebol Clube,サンベルナルドFC
Volkswagen Brasil,フォルクスワーゲン・ド・ブラジル
ATP Challenger Tour Finals,ATPチャレンジャーツアー・ファイナル
Seleção Brasileira de Beisebol,野球ブラジル代表
Catanduva,カタンドゥーヴァ
Vinhedo,ヴィニェード
Caraguatatuba,カラグァタトゥバ
Venâncio Aires,ヴェナンシオ・アイレス
São José do Rio Pardo,サン・ジョゼ・ド・リオ・パルド
Brasil Open de 2010,2010年ブラジル・オープン
Clube de Regatas Guará,CRグアラー
Samambaia,サマンバイア
Ji-Paraná,ジ＝パラナ
Várzea Grande,マットグロッソ州
Arpoador,アルポアドール
Irará,イララー
Orlândia,オルランジア
Santa Cruz do Sul,サンタ・クルス・ド・スル
Santa Vitória do Palmar,サンタ・ヴィトリア・ド・パルマル
São José dos Ausentes,サン・ホセ・ドス・オーセンテス
Pedro Canário,ペドロ・カナーリオ
Brasilis Futebol Clube,ブラジリスFC
Campeonato Brasileiro de Futebol de 1975,1975 カンピオナート・ブラジレイロ・セリエA
Estrela,エストレーラ
Piratininga,ピラチニンガ
Mesquita,メスキータ
eleição presidencial no Brasil em 2010,2010年ブラジル大統領選挙
Tietê,ティエテ
Angra dos Reis,アングラドスレイス
Patos de Minas,パスト・デ・ミナス
Castanhal,カスタニャウ
Serra do Mar,セーハ・ド・マール
Tacacá,タカカ
Pedro de Toledo,ペドロ・デ・トレド
Línguas ianomâmis ou Yanomamis,ワイカ語族
Barra do Garças,バラ・ド・ガルサス
Conselheiro Lafaiete,コンセリェイロ・ラファイエテ
Rondonópolis,ロンドノーポリス
Quixadá Futebol Clube,キシャダFC
Eixo Monumental,エイショ・モヌメンタル
Echaporã,エシャポラ
Ibitinga,イビチンガ
Bolsa Família,ボウサ・ファミリア
Parque Nacional Montanhas do Tumucumaque,トゥムクマケ国立公園
Copa Libertadores da América de Futebol Feminino de 2013,コパ・リベルタドーレス・フェメニーナ2013
Lençóis Paulista,レンソイス・パウリスタ
Itariri,イタリリ
Campeonato Brasileiro de Futebol de 1979,1979 カンピオナート・ブラジレイロ・セリエA
Nhandeara,ニャンデアラ
Mariana,マリアナ (ミナスジェライス州)
São Lourenço,サン・ロウレンソ
Estância Velha,エスタンシア・ヴェーリャ
Avaré,アヴァレ
Seleção Brasileira de Basquetebol Feminino,バスケットボール女子ブラジル代表
Arroio do Sal,アロイオ・ド・サル
Roca Sales,ローカ・サレス
Cascavel,カスカヴェル
TUE CAF- UT 440R,レンフェ440系電車
Bangu Atlético Clube,バングーAC
Itacaré,イタカレ (バイーア州)
Patrocínio Paulista,パトロシーニオ・パウリスタ
Santa Maria da Serra,サンタ・マリア・ダ・セーハ
Confins,コンフィンス
Taquarivaí,タクァリヴァイ
Almirante Tamandaré,アウミランテ・タマンダレー
Cachoeira,カショエイラ
Marechal Deodoro,マレシャル・デオドロ
Barra da Tijuca,バハ・ダ・チジューカ
Barra Mansa,バーハ・マンサ
Indiaporã,インジアポラ
Senador Canedo,セナドル・カネド
Francisco Beltrão,フランシスコ・ベウトラン
Passos,パソス (ミナスジェライス州)
Morungaba,モルンガバ
Ramos,ラモス
Ourinhos,オウリニョス
Azul Linhas Aéreas Brasileiras,アズールブラジル航空
B3,BM&F Bovespa
Itajubá,イタジュバ
Guanambi,グァナンビ
Salto de Pirapora,サルト・ジ・ピラポーラ
Mairinque,マイリンケ市
Araras,アララス (サンパウロ)
Santa Rita do Sapucaí,サンタ・リタ・ド・サプカイ
Barbacena,バルバセーナ
Leme,レメ
Puma Automóveis,プーマ
Bradesco,バンコ・ブラデスコ
Banco Central do Brasil,ブラジル中央銀行
Bandeirantes,バンデイランテス
Finta,フィンタ
Carlos Chagas,カルロス・シャガス (ミナスジェライス州)
Tupi Paulista,トゥピ・パウリスタ
2002 no Brasil,2002年のブラジル
Região Metropolitana da Baixada Santista,バイシャーダ・サンティスタ
Avianca Brasil,アビアンカ・ブラジル航空
Sarapuí,サラプイ
João Monlevade,ジョアン・モンレヴァージ
Vitória de Santo Antão,ビトリア・デ・サント・アンタン
Arapongas,アラポンガス
Vale,ヴァーレ
Tarumã,タルマン (サンパウロ州)
Microrregião de Passos,パッソス
Cachoeira Paulista,カショエイラ・パウリスタ
Santo Antônio de Posse,サント・アントニオ・デ・ポッセ
Itatiaia,イタチアイア
Juazeiro do Norte,ジュアゼイロ・ドゥ・ノルチェ
Goianápolis,ゴイアナポリス
Belo Oriente,ベロ・オリエンチ
Goiás Esporte Clube,ゴイアスEC
Igreja de Nosso Senhor do Bonfim,ノッソ・セニョール・ド・ボンフィム教会
Barcelos,バルセロス (アマゾナス州)
São Lourenço da Serra,サン・ロレンソ・ダ・セッラ
Bela Vista de Goiás,ベラ・ヴィスタ・ジ・ゴイアス
Usina Hidrelétrica de Belo Monte,ベロ・モンテ水力発電ダム群
Ituano Futebol Clube,イトゥアーノ
Itumbiara Esporte Clube,イツンビアラEC
JBS,JBS
Cajamar,カジャマル
Miracatu,ミラカトゥ
Apiaí,アピアイ
Parnamirim,パルナミリン
Aeroporto de Diamantina,ディアマンティーナ空港
Aeroporto Carlos Drummond de Andrade,ベロオリゾンテ/パンプーリャ=カルロス・ドゥモンジ・ジ・アンドラージ空港
Aeroporto de Concórdia,コンコーディア空港
Aeroporto de Confresa,コンフレサ空港
Aeroporto de Coari,コアリ空港
Icamiabas,イカミアバス
Aeroporto de Conceição do Araguaia,コンセイサン・ド・アラグアイア空港
Caravelas,カラベラス
Itararé,イタラレ
Poços de Caldas,ポソス・デ・カルダス
Trindade,トリンダーデ
Paraíso,パライソ (サンパウロ州)
Caixa,連邦貯蓄銀行
Caucaia,カウカイア
Chapecó,シャペコ
Bertioga,ベルティオガ
tepui,テプイ
Estádio Cícero Pompeu de Toledo,エスタジオ・ド・モルンビー
Santo Ângelo,サント・アンジェロ
Campeonato Mundial de Futsal de 2008,2008 FIFAフットサルワールドカップ
cruzeiro real,クルゼイロ・レアル
Bola de Ouro,ボーラ・ジ・オーロ
Partido Republicano Mineiro,ミネイロ共和党
Ilha de Itamaracá,イタマラカ島
Frei Paulo,フライ・パウル
Araxá,アラシャ
Campeonato Brasileiro de Futebol de 1989,1989 カンピオナート・ブラジレイロ・セリエA
Linha 2 do Metrô de São Paulo,サンパウロ地下鉄2号線
Campeonato Mundial de Basquetebol Masculino de 1963,1963年バスケットボール世界選手権
Grupo Bauru,バウル層群
1987 no Brasil,1987年のブラジル
Indústria de Material Bélico do Brasil,インベル社
Infraero,ブラジル空港インフラ公社
Microrregião de Guanhães,グァニャンイス
Aeroporto Internacional de Corumbá,コルンバ
Aeroporto Internacional de Cruzeiro do Sul,クルゼイロ・ド・スル国際空港
Aeroporto Regional de Dourados,ドウラドス
Aeroporto Internacional de Bagé,グスタボ・クレーマー国際空港
Sabino,サビノ
Universidade de São Paulo,サンパウロ大学
São Sebastião,サン・セバスチャン
Universidade Federal do Rio de Janeiro,リオデジャネイロ連邦大学
Pirapora do Bom Jesus,ピラポラ・ド・ボム・ジェスス
Rio Abacaxis,アバカシス川
Liga Mundial de Voleibol de 1995,1995年バレーボール・ワールドリーグ
Implementação conjunta,共同実施
Sociedade Esportiva e Recreativa Caxias do Sul,SERカシアス・ド・スル
Praça dos Três Poderes,三権広場
Aviação Naval Brasileira,ブラジル海軍航空隊
Rua XV de Novembro,11月15日通り
Supercopa do Brasil,スーペルコパ・ド・ブラジル
Carajás (tribo),カラジャ族
Campeonato Mundial de Natação em Piscina Curta de 1995,1995年世界短水路選手権
Juquiá,ジュキア
Juquitiba,ジュクイチバ
Poloni,ポローニ
Aeroporto Internacional de São Luís,サンルイス
Tocantinópolis,トカンチノポリス
Caso Rojas,ロハス事件
Magé,マジェー
São Cristóvão,サン・クリストヴァン
Cariacica,カリアシカ
Sete Lagoas,セテ・ラゴアス
Taboão da Serra,タボアン・ダ・セッラ
São José do Norte,サン・ジョゼ・ド・ノルティ
Copa América de 1989,コパ・アメリカ1989
lista de bandeiras do Brasil,ブラジルの州旗一覧
Paraná Clube,パラナ・クルーベ
Embraer EMB-312,エンブラエル EMB-312
Cubatão,クバタン
Brazópolis,ブラソポリス
Limeira,リメイラ
Itaboraí,イタボライー
Serrania,セラニア
Pico da Bandeira,ピコ・ダ・バンデイラ
Severínia,セヴェリーニア
Equipe Brasileira da Fed Cup,フェドカップブラジル代表
Campeonato Amazonense de Futebol,カンピオナート・アマゾネンセ
Formação Santana,サンタナ累層
Partido Democrático Social,民主社会党 (ブラジル)
Pampulha,パンプーリャ
acidente radiológico de Goiânia,ゴイアニア被曝事故
Extremoz,エクストレモス
Cáceres,カセレス (ブラジル)
Caçador,カサドール (ブラジル)
economia do Brasil,ブラジルの経済
Caso Isabella Nardoni,イザベラ・ナルドーニ事件
Maricá,マリカー (リオデジャネイロ州)
Pall Mall,ポールモール
Itajaí,イタジャイ
TAV Rio–São Paulo,ブラジル高速鉄道
Copa do Brasil de Futebol,コパ・ド・ブラジル
Umuarama,ウムアラマ
Acaiaca,アカイアーカ
Cataguases,カタグアゼス
Marabá Paulista,マラバ (サンパウロ州)
Maracaí,マラカイ
Conceição do Jacuípe,コンセイソン・ド・ジャクイーペ
Brasil nos Jogos Olímpicos,オリンピックのブラジル選手団
torneiro feminino do Aberto de Tênis do Brasil,ブラジル・オープン
Novo Gama,ノーヴォ・ガマ
relações entre Brasil e Estados Unidos,アメリカ合衆国とブラジルの関係
Ciclo da borracha,アマゾンのゴム景気
Petrolina,ペトロリーナ
Fundão,フンダン
Iporanga,イポランガ
Arapeí,アラペイ
Embu-Guaçu,エンブー・グアス
Movimento dos Trabalhadores Rurais Sem Terra,土地なし農民運動
Agência Espacial Brasileira,ブラジル宇宙機関
Gaspar,ガスパール
Vilhena,ビリェナ
Monte Alto,モンテ・アウト
Forças Armadas do Brasil,ブラジル軍
Criciúma Esporte Clube,クリシューマEC
Literatura do Brasil,ブラジル文学
Brasil nos Jogos Olímpicos de Verão de 1952,1952年ヘルシンキオリンピックのブラジル選手団
Transporte ferroviário no Brasil,ブラジルの鉄道
Maragogipe,マラゴジッペ
Goianésia,ゴイアネージア
Alfredo Chaves,アウフレド・シャーヴェス
Aeroporto Internacional de Boa Vista - Atlas Brasil Cantanhede,ボア・ヴィスタ
Campeonato Sul-Americano de Futebol de 1949,サッカー南米選手権1949
Rio Tietê,ティエテー川
Pedrinhas Paulista,ペドリーニャス・パウリスタ
Pará de Minas,パラ・デ・ミナス
Camaragibe,カマラジベ
Mooca,モオカ
Ubatuba,ウバツバ
Dom Pedrito,ドン・ペドリト
Praia Grande,プライア・グランデ
Movimento dos Trabalhadores Sem Teto,ホームレス労働運動
União da Vitória,ウニアン・ダ・ビトリア
Itaqui,イタクイ
Alegrete,アレグレテ
Jaraguá do Sul,ジャラグア・ド・スル
Campos do Jordão,カンポス・ド・ジョルドン
São João do Oeste,サン・ジョアン・ド・オエステ
Martins,マルチンス
São Francisco de Assis,サン・フランシスコ・デ・アシス
Cordeirópolis,コルデイロポリス
Manoel Viana,マノエル・ビアナ
Lagoa da Prata,ラゴア・ダ・プラタ
Rio Negro,ネグロ川
Aeroporto Santos Dumont,サントス・ドゥモン空港
Voo TAM 3054,TAM航空3054便オーバーラン事故
Diocese de Alto Solimões,低ソリモエンス司教管区
Balneário Camboriú,バウネアーリオ・コンボリウー
Caieiras,カイエイラス
Vargem Grande Paulista,ヴァルゲム・グランデ・パウリスタ
Prêmio Craque do Brasileirão,プレミオ・クラッキ・ド・ブラジレイロン
cacique,カシケ
Sinagoga Kahal Zur Israel,カハル・ズル・イスラエル・シナゴーグ
Araruama,アラルアマ
Cacoal,カコアウ
Mogi Mirim,モジ・ミリン
Brasil nos Jogos Olímpicos de Inverno de 1992,1992年アルベールビルオリンピックのブラジル選手団
Arroio dos Ratos,アロイオ・ドス・ラトス
Varig,ヴァリグ・ブラジル航空
Aeroporto de Congonhas/São Paulo,コンゴーニャス空港
Triunfo,トリウンフォ
Teresina de Goiás,テレジナ・ジ・ゴイアス
Afogados da Ingazeira,アフォガドス・ダ・インガゼイラ
Pontifícia Universidade Católica do Rio Grande do Sul,リオグランデドスル・カトリック大学
Hidrolândia,イドロランジア
Barra do Piraí,バーハ・ド・ピライ
Ponte Nova,ポンテ・ノヴァ
Ceilândia,セイランディア
Formosa,フォルモザ
Mansidão,マンシドン
Agudos,アグドス
Campeonato Brasileiro de Futebol de 2003,2003 カンピオナート・ブラジレイロ・セリエA
Aeroporto Internacional de Campo Grande,カンポ・グランデ国際空港
Marialva,パラナ州
Estádio Joaquim Américo Guimarães,アレナ・ダ・バイシャーダ
Montenegro,モンテネグロ
Santiago,サンティアゴ (ブラジル)
Campeonato Baiano de Futebol,カンピオナート・バイアーノ
mapinguari,マピンガリ
Santa Rosa,サンタホーザ
Flamengo,フラメンゴ
Caxias,カシアス
Rio Cuiabá,クヤバ川
Associação Desportiva RJX,RJボーリ
Rio Grande,リオ・グランデ・デ・ソル
Cruzeiro,クルゼイロ (サンパウロ州)
Tiradentes,チラデンテス
1974 no Brasil,1974年のブラジル
Antônio Dias,アントーニオ・ジーアス
Ceilândia Esporte Clube,セイランディアEC
Campeonato Brasileiro de Futebol - Série B,カンピオナート・ブラジレイロ・セリエB
Banco do Brasil,ブラジル銀行
Itacoatiara,イタコアチアラ
Pirassununga,ピラスヌンガ
Teixeira,テイシェイラ
Crato,クラート
Capivari,カピヴァーリ
Rolândia,ホーランジア
Canindé,カニンデ
Campeonato Brasileiro de Futebol de 1980,1980 カンピオナート・ブラジレイロ・セリエA
Ordem dos Advogados do Brasil,ブラジル弁護士会
Estância,エスタンシア
São José de Ribamar,サン・ジョゼ・デ・リバマル
Valença,ヴァレンサ (リオデジャネイロ州)
Valença,バレンサ (バイーア州)
Xapuri,シャプリ
Ariranha,アリラーニャ (サンパウロ州)
São Sebastião do Caí,サン・セバスチアン・ド・カイー
Arujá,アルジャー
Grupo Globo,オルガニザソンイス・グロボ
Cianorte Futebol Clube,シアノルテFC
São Tiago,サン・ティアゴ
Pesqueira,ペスケイラ
Teixeiras,テイシェイラス
Domingos Martins,ドミンゴス・マルチンス
Indaiatuba,インダイアツーバ
Federação de Futebol do Estado do Rio de Janeiro,リオデジャネイロ州サッカー連盟
Rio Jacuí,ジャクイ川
Culinária do Brasil,ブラジル料理
Caruaru,カルアル
Uruguaiana,ウルグアイアーナ
tapioca,タピオカ
Teresópolis,サレゾポリス市
Aracruz Celulose,アラクルーズ・セルロース
Bonde da Stronda,BONDE DA STRONDA
assalto ao Banco Central do Brasil em Fortaleza,ブラジル中央銀行フォルタレザ支店金庫破り事件
Japeri,ジャペリ
CSS,CSS
Lagoa Mirim,メリン湖
Vespasiano,ヴェスパシアーノ (ミナスジェライス州)
Línguas arauás,アラワ語族
Araçatuba,アラサトゥバ
Três Rios,トレス・リオス
Araguaína,アラグアイーナ
Arapiraca,アラピラカ
Aparecida,アパレシダ
Novo Progresso,ノーヴォ・プログレッソ
Timon,チモン
Navegantes,ナヴェガンテス
Humaitá,ウマイタ (アマゾナス州)
Campo Grande,カンポ・グランデ (リオデジャネイロ州)
Aporá,アポラー
Brotas de Macaúbas,ブロタス・デ・マカウバス
Rio das Ostras,リオ・ダス・オストラス
Paço do Lumiar,パーソ・ド・ルミアル
Campeonato Pernambucano de Futebol,カンピオナート・ペルナンブカーノ
Irecê,イレセー
Guadalupe,リオデジャネイロ
Lençóis,レンソーイス
Bom Jesus,ボン・ジェズーズ
Araraquara,アララクアラ
Parque Nacional de Ilha Grande,グランデ島国立公園
Bom Jesus,ボン・イエス
Ipiranga,イピランガ (サンパウロ)
Caiapós,カイアポ族
Terenas,テレナ族
Macaé Esporte Futebol Clube,マカエEFC
Clube de Regatas Brasil,クルーベ・ジ・レガタス・ブラジル
Maraã,マラアン
Açailândia,アサイランジア市
Mesquita,メスキータ
Clube Atlético Hermann Aichinger,CAエルマン・アイシンジェル
CELPE-Bras,外国人のためのポルトガル語検定試験
Igarassu,イガラス
Santo Antônio de Jesus,サント・アントニオ・デ・ジェズス
Botocudos,クレナック族
Ibovespa,IBOVESPA
Bradespar,ブラデスパル
Cametá,カメタ
Tomé-Açu,トメアスー
São Fidélis,サンフィデーリス
Conceição do Araguaia,コンセイサン・ド・アラグアイア
Campo Largo,カンポ・ラルゴ
Seleção Brasileira de Handebol Masculino,ハンドボールブラジル代表
Ilha do Mel,メウ島
Associação Desportiva Recreativa Cultural Icasa,ADRCイカザ
Campeonato Sul-Americano de Voleibol Masculino de 2011,2011年バレーボール男子南米選手権
Luverdense Esporte Clube,ルヴェルデンセEC
Tupi Football Club,トゥピFC
Duque de Caxias Futebol Clube,ドゥケ・デ・カシアスFC
Dracena,ドラセーナ
Campinense Clube,カンピネンセ・クルーベ
Barragem de Campos Novos,カンポスノボスダム
Aeroporto Internacional de Aracaju,サンタマリア空港
Urupema,ウルペマ
Campo dos Afonsos,アフォンソス空軍基地
Brasil Foods S.A.,ブラジル・フーズ
Bragança Paulista,ブラガンサ・パウリスタ
Brahma,ブラフマー
Grupo Votorantim,ヴォトランチン・グループ
"Eliminatórias da Copa do Mundo FIFA de 2014 - América do Norte, Central e Caribe",2014 FIFAワールドカップ・北中米カリブ海予選
Embraer EMB-145 AEW&C,R-99A (航空機)
Estádio Beira-Rio,エスタジオ・ベイラ＝リオ
Suzano Papel e Celulose,スザーノ・パペル・エ・セルロース
Aeroporto de Maricá,マリカー空港
Aeroporto de Maringá,マリンガ
Aeroporto de Marília,フランク・ミロイェ ミレンコヴィシ空港
Aeroporto Internacional Marechal Rondon,クイアバ
Ceará Sporting Club,セアラーSC
Centro Federal de Educação Tecnológica,連邦工業教育センター
Brasil Open de 2011,2011年ブラジル・オープン
Brasil Telecom,ブラジル・テレコム
Equipe Brasileira de Copa Davis,デビスカップブラジル代表
Jaguaruna,ジャグァルナ
Campeonato mundial de karaté de 1998,1998年世界空手選手権大会
Bororos,ボロロ人
Botafogo,ボタフォゴ
Jequié,ジェキエー
São Mateus,サン・マテウス
cruzado novo,新クルザード
Aragoiânia,アラゴイアニア
Bom Jesus da Lapa,ボン・ジェズス・ダ・ラパ
Aripuanã,アリプアナン
Happy Science,幸福の科学
Correntina,コヘンチナ
Assu,アスー
Goiana,ゴイアナ
Benjamin Constant,ベンジャミン・コンスタン
Pinhais,ピニャイス
Catedral Metropolitana de São Paulo,サンパウロ大聖堂
lista de imperatrizes do Brasil,ブラジル王妃・皇后一覧
eleições gerais no Brasil em 2010,2010年ブラジル総選挙
Cangaço,カンガセイロ
Hibria,ヒブリア
Dia de São José,聖ヨセフの日
Campeonato Mundial de Basquetebol Feminino de 1983,1983年女子バスケットボール世界選手権
Barcarena,バルカレナ
geografia do Brasil,ブラジルの地理
Esplanada,エスプラナーダ
Afonso Bezerra,アフォンソ・ベゼハ
Nobres,ノブレス
Arapoti,アラポチ
JV Lideral Futebol Clube,JVリデラルFC
Araguaia Atlético Clube,アラグアイアAC
Cerâmica Atlético Clube,セラミカAC
Seleção Brasileira de Futebol Sub-23,U-23サッカーブラジル代表
Copa do Mundo FIFA de Futebol de Areia de 2005,2005 FIFAビーチサッカーワールドカップ
Jaguarari,ジャグアラリ
programa do Satélite Sino-Brasileiro de Recursos Terrestres,中国・ブラジル地球資源衛星
Jogos Pan-Americanos de 2007,2007年パンアメリカン競技大会
Região Sul do Brasil,南部
TAM Cargo,TAMカーゴ
Vibra São Paulo,クレディカード・ホール
Línguas chapacuras,チャパキュラ語族
Elencos da Copa do Mundo FIFA de 1950,1950 FIFAワールドカップ参加チーム
Ítalo-brasileiro,イタリア系ブラジル人
Eliminatórias da Copa do Mundo FIFA de 2014 - Repescagem intercontinental,2014 FIFAワールドカップ・大陸間プレーオフ
Corpo de Fuzileiros Navais,ブラジル海兵隊
Uarequenas,ワレケナ語
Tenharins,テンハリム
Cinema novo,シネマ・ノーヴォ
Ponte Octávio Frias de Oliveira,オクタヴィオ・フリアス・ジ・オリヴェイラ橋
Veranópolis,ヴェラノポリス
Região Sudeste do Brasil,南東部
Feriados no Brasil,ブラジルの祝日
Porto Acre,ポルト・アクレ
Santa Maria de Itabira,サンタ・マリア・ジェ・イタビーラ
Club Athletico Paulistano,CAパウリスターノ
Carmo,カルモ
Conceição do Coité,コンセイソン・ド・コイテ
Instituto Nacional de Pesquisas Espaciais,ブラジル国立宇宙研究所
Confresa,コンフレサ
Riachinho,リアチーニョ (ミナスジェライス州)
Colégio Pedro II,ペドロ2世学校
Comando Vermelho,コマンド・ヴェルメーリョ
Parauapebas,パラウアペバス
Arenápolis,アレナポリス
Carmo do Rio Verde,カルモ・ド・リオ・ベルデ
Itaparica,イタパリカ
Fagundes,ファグンデス
Minaçu,ミナスー
Porto Calvo,ポルト・カウヴォ
Ibiquera,イビケラ
Pato Branco,パト・ブランコ
Passo de Camaragibe,パッソ・ジ・カマラジビ
Antônio Gonçalves,アントーニオ・ゴンサウヴェス
Barreirinha,バヘイリーニャ
Comgás,サンパウロガス
Comissão Pastoral da Terra,土地司牧委員会
Laranjal do Jari,アマパー州
Serra Geral,ジェラウ山脈
Complexo do Alemão,コンプレクソ・ド・アレマン
Zé Doca,ゼ・ドカ
Igaraçu do Tietê,イガラス・ド・チエテ
Companhia Brasileira de Trens Urbanos,ブラジル都市鉄道会社
Cambé,カンベー
Manoel Vitorino,マノエル・ヴィトリーノ
Campo Mourão,カンポ・モウラン
São José do Belmonte,サン・ジョゼ・ド・ベウモンチ
Companhia Energética de São Paulo,サンパウロ電力
Companhia Energética de Minas Gerais,ミナスジェライス電力
Companhia Paulista de Estradas de Ferro,パウリスタ鉄道
CPFL Energia,CPFLエネルジア
CCR,コンセッソンエス・ロドビアリア
Companhia Paulista de Trens Metropolitanos,サンパウロ都市圏鉄道会社
Barbosa Ferraz,バルボーザ・フェラス
Chôros No. 7,ショーロス第7番
eleições gerais no Brasil em 2006,2006年ブラジル総選挙
