Leandro Damião,レアンドロ・ダミアン・ダ・シウバ・ドス・サントス
Reinaldo Vicente Simão,レイナルド・ビセンチ・シモン
Júnior Negrão,グレイディオノール・フィゲイレド・ピント・ジュニオール
Anderson Batatais,アンデルソン・ルイス・ダ・シルバ
Edmílson Matias,エジミウソン・マティアス
Arivaldo Alves dos Santos,アリバルド・アルベス・ドス・サントス
Renata Colombo,レナタ・コロンボ
Caio Canedo Correa,カイオ・カネド・コレア
Maria Gomes Valentim,マリア・ゴメス・ヴァレンチン
Bia Figueiredo,アナ・ベアトリス
Ernesto Geisel,エルネスト・ガイゼル
Humberto Castelo Branco,ウンベルト・デ・アレンカール・カステロ・ブランコ
Rodrigo Santoro,ロドリゴ・サントロ
Mariana Ximenes,マリアナ・シメネス
Régis Pitbull,ヘジス・フェルナンデス・シルバ
Claudio Santoro,クラウジオ・サントロ
Giuliano Tadeu Aranda,ジュリアノ・タデュー・アランダ
Aquiles Priester,アキレス・プリースター
Augusto César (futebolista),アウグスト・ペドロ・デ・ソウザ
Luciano Corrêa,ルシアーノ・コヘア
Ranielli,ラニエリ・ホセ・セチナト
Mancini (futebolista),アレッサンドロ・マンシーニ
Carlos Alberto Torres,カルロス・アウベルト
César Cielo,セーザル・シエロ
Vágner Love,ヴァグネル・シウヴァ・ジ・ソウザ
Edmílson,エジミウソン・ジョゼ・ゴメス・ジ・モラエス
Cláudio Taffarel,クラウディオ・タファレル
Tcheco (futebolista),アンデルソン・シマス・ルシアーノ
Coutinho (futebolista),アントニオ・ウィルソン・オノリオ
Antônio Parreiras,アントニオ・パレイラス
Graziela Barroso,グラズィエラ・マシエル・バホーゾ
Adriano Gabiru,カルロス・アドリアーノ・デ・ソウザ・ヴィエイラ
Gaúcho (futebolista),ルイス・カルロス・トッフォリ
Argel Fuchs,アルジェリコ・フックス
Araújo (futebolista),クレメルソン・デ・アラウージョ・ソアレス
Dino Sani,ジノ・サニ
Vágner Rogério Nunes,ヴァグネル・ロジェリオ・ヌネス
Roger Guerreiro,ロジェール・ゲレイロ
Aldair (futebolista),アウダイール
Lúcio Costa,ルシオ・コスタ
Rodrigo Taddei,ホドリゴ・フェハンチ・タッデイ
Bruninho (voleibolista),ブルーノ・レゼンデ
Antônio de Castro Mayer,アントニオ・デ・カストロ・マイヤー
Sérgio Echigo,セルジオ越後
Sandro Hiroshi,サンドロ・ヒロシ・パヘオン・オオイ
Wilson Rodrigues Fonseca,ウイルソン・ロドリゲス・フォンセカ
Edvaldo Alves de Santa Rosa,エジヴァウド・アウヴェス・デ・サンタ・ローザ
Jonas Eduardo Américo,ジョナス・エドゥアルド・アメリコ
Guilherme dos Santos Torres,ギリェルミ・ドス・サントス・トーレス
Jaime Melo (piloto),ハイメ・メロ
"Fininho (futebolista, 1983)",ヴィニシウス・アパレシド・ペレイラ・デ・サンタナ・カンポス
Taison,タイソン・バルセロス・フレダ
Djalma Santos,ジャウマ・サントス
Cristiano Marques Gomes,クリスチアーノ・マルケス・ゴメス
Rafael Cabral,ラファエウ・カブラル・バルボサ
Ricardo Rogério de Brito,リカルド・ロジェーリオ・デ・ブリト
Casemiro (futebolista),カルロス・エンリケ・ジョゼ・フランシスコ・ヴェナンシオ・カジミーロ
Glaube Feitosa,グラウベ・フェイトーザ
Cícero Santos,シセロ・サントス
Oswaldo de Oliveira (treinador de futebol),オズワルド・オリヴェイラ
Fofão (voleibolista),エリア・ソウザ
Marco Antônio Feliciano,マルコ・アントニオ・フェリシアーノ
Michel Macedo (futebolista),ミシェル・マセド・ローシャ・マシャド
Blanka,ブランカ・(ストリートファイター)
Rodrigo Sperafico,ロドリーゴ・スペラフィコ
Max Cavalera,マックス・カヴァレラ
Amoroso,マルシオ・アモローゾ・ドス・サントス
Diego Cavalieri,ジエゴ・カバリエリ
Caetano Veloso,カエターノ・ヴェローゾ
Café Filho,カフェ・フィーリョ
Jânio Quadros,ジャニオ・クアドロス
João Gabriel Schlittler,ジョアン・シリトレー
Eduardo Neto,エドゥアルド・ダ・シルヴァ・ナシメント・ネット
Dênis Marques,デニス・マルケス・ド・ナシメント
Carlos Roberto Gallo,カルロス・ロベルト・ガーロ
Daniel Rezende,ダニエル・レゼンデ
Eninho,エニオ・オリヴェイラ・ジュニオール
Oscar Schmidt,オスカー・シュミット
Fabão,ジョゼ・ファビオ・アルヴェス・アゼヴェード
Neto (futebolista),ジョゼ・フェレイラ・ネト
Abel Braga,アベウ・カルロス・ダ・シウバ・ブラガ
Narciso dos Santos,ナルシーゾ・ドス・サントス
Fábio Santos Romeu,ファビオ・サントス・ロメウ
Luís Pereira,ルイス・エドムンド・ペレイラ
André Santos,アンドレ・クラリンド・ドス・サントス
Michel Bastos,ミシェル・フェルナンデス・バストス
Marcus Túlio Tanaka,田中マルクス闘莉王
Pedro Weingärtner,ペドロ・ヴァインゲルトナー
Laurindo Almeida,ローリンド・アルメイダ
Max Sandro,マクサンドロ・バルボサ・デ・オリベイラ
Fabiano Cezar Viegas,ファビアーノ・セザル・ビエガス
Rodrigo Mendes,ロドリゴ・ファビアーノ・メンデス
Durval (futebolista),セヴェリーノ・ドス・ハモス・ドゥルヴァウ・ダ・シウヴァ
Muricy Ramalho,ムリシ・ラマーリョ
José Carlos de Almeida,ジョゼ・カルロス・ジ・アウメイダ
Luís Henrique Pereira dos Santos,ルイス・エンリケ・ペレイラ・ドス・サントス
José Maria Rodrigues Alves,ジョゼ・マリア・ロドリゲス・アウヴェス
Eliseu Visconti,エリゼウ・ヴィスコンティ
José Ivanaldo de Souza,ジョゼ・イヴァナウド・デ・ソウザ
Kléberson,ジョゼ・クレベルソン・ペレイラ
David Bohm,デヴィッド・ボーム
Machado de Assis,マシャード・デ・アシス
Artur Bernardes,アルトゥール・ベルナルデス
Walter Wanderley,ワルター・ワンダレイ
Jucilei,ジュシレイ・ダ・シウヴァ
Anita Garibaldi,アニータ・ガリバルディ
Washington Luís,ワシントン・ルイス
Scheidt (futebolista),ラファエル・フェリペ・シャイデ
Fábio Henrique Tavares,ファビオ・エンリケ・タバレス
Alex Sandro Santana de Oliveira,アレックス・サンドロ・サンターナ・オリヴェイラ
Elpídio Silva,エウピジオ・ペレイラ・ダ・シルバ・フィーリョ
Ricardo Souza Silva,リカルド・ソウザ・シルバ
Germano Borovicz Cardoso Schweger,ジェルマーノ・ボロビック・カルドゾ・シュウェジェル
Galeano,マルコス・アウレリオ・ガレアーノ
Mateus Facho Inocêncio,マテウス・ファッショ・イノセンシオ
Fernando Henrique Mariano,フェルナンド・エンリケ・マリアーノ
Valdir Espinosa,バウディール・エスピノーザ
Marco Greco,マルコ・グレコ
Gilberto da Silva Melo,ジウベルト・ダ・シウバ・メロ
Tostão,トスタン
"Júnior (futebolista, 1954)",レオヴェジウド・リンス・ダ・ガマ・ジュニオール
Giuseppe Ungaretti,ジュゼッペ・ウンガレッティ
Philippe Coutinho,フィリペ・コウチーニョ・コレイア
Paulo Roberto Falcão,パウロ・ロベルト・ファルカン
Thomaz Bellucci,トマス・ベルッシ
Sérgio Cláudio dos Santos,セルジオ・クラウディオ・ドス・サントス
Sylvinho,シウヴィオ・メンデス・カンポス・ジュニオル
Vavá,エジバウド・イジディオ・ネト
Zagallo,マリオ・ザガロ
Charles Fabian,シャルレス・ファビアン・フィゲイレド・サントス
Daniel Rossi,ダニエル・ロッシ・シルバ
Deborah Secco,デボラ・セコ
Gavião (futebolista),カルロス・アウベルト・ロドリゲス・ガヴィオン
Rinaldo Gonçalves,アントニオ・リナルド・ゴンサウヴェス
Júlio César Rocha Costa,ジュリオ・セザール・ロシャ・コスタ
Gilberto Ribeiro Gonçalves,ジウベルト・リベイロ・ゴンサウベス
Diogo Antunes de Oliveira,ジオゴ・アントゥネス・デ・オリヴェイラ
Nicolau de Figueiredo,ニコラウ・デ・フィゲイレド
Leônidas da Silva,レオニダス・ダ・シルバ
Denílson de Oliveira,デニウソン・デ・オリヴェイラ・アラウージョ
Wellington Alves da Silva,ウェリントン・アウヴェス・ダ・シウバ
Rubens Fernando Moedim,ルベンス・フェルナンド・モエディム
Russo (futebolista),リカルド・ソアレス・フロレンシオ
Maicosuel,マイコスエウ・レジナウド・デ・マトス
Henrique Arlindo Etges,エンリケ・アルリンド・エトジェス
José Ricardo dos Santos Oliveira,ジョゼ・リカルド・ドス・サントス・オリベイラ
José Pedro Santos,ジョゼ・ペドロ・サントス
Taílson,ジョゼ・イルソン・ドス・サントス
Wagner Ferreira dos Santos,ワグネル・フェレイラ・ドス・サントス
Marcos Paulo Alves,マルコス・パウロ・アウヴェス
Claudecir Aparecido de Aguiar,クラウデシール・アパレシド・デ・アギアル
Luís Müller,ミゲル・ルイス・ミューレル
Cléber Arado,クレーベル・エドゥアルド・アラード
Nasa (futebolista),ジェジエル・ジョゼ・デ・リマ
Marcelo Mabilia,マルセロ・マビリア
Phan Văn Santos,ファン・バン・サントス
Jardel Nivaldo Vieira,ジャルデウ・ニヴァウド・ヴィエイラ
Ramón Osni Moreira Lage,ハモン・オズニ・モレイラ・ラジェ
Yamaguchi Falcão,ヤマグチ・ファルカン
Émerson Carvalho da Silva,エメルソン・カルヴァーリョ・ダ・シウヴァ
Kita (futebolista),ジョアン・レイトアルチ・ネト
Danilo Silva,ダニーロ・アパレシド・ダ・シウヴァ
Carlos Arthur Nuzman,カルロス・ヌズマン
Mauricio de Sousa,マウリシオ・デ・ソウザ
Ari (futebolista),アリクレネス・ダ・シウヴァ・フェレイラ
Marquinhos Cambalhota,マルコス・ゴメス・デ・アラウージョ
Lisa Ono,小野リサ
Perla Haney-Jardine,パーラ・ヘイニー＝ジャーディン
Lucas Severino,ルーカス・セベリーノ
Andre Matos,アンドレ・マトス
Deco,アンデルソン・ルイス・デ・ソウザ
Maria Portela,マリア・ポルテラ
Mariana Silva (judoca),マリアナ・シルバ
Maria Suelen Altheman,マリア・アルテマン
Rafaela Silva,ラファエラ・シルバ
Eduardo Saverin,エドゥアルド・サベリン
Didi (futebolista),ヴァルディール・ペレイラ
Mineiro (futebolista),カルロス・ルシアーノ・ダ・シウヴァ
Frederico Chaves Guedes,フレデリコ・シャヴェス・ゲデス
Edu Manga,エドゥアルド・アントニオ・ドス・サントス
Diego Nunes,ディエゴ・ヌネス
Danilo Fernandes,ダニーロ・フェルナンデス・バチスタ
Roberto Ierusalimschy,ロベルト・イエルサリムスキー
Felipe (futebolista),フェリペ・アウグスト・ジ・アウメイダ・モンテイロ
Wagner Lopes,呂比須ワグナー
Lucas Moura,ルーカス・ロドリゲス・モウラ・ダ・シルヴァ
Paulo Mendes da Rocha,パウロ・メンデス・ダ・ロシャ
Diego Alves,ジエゴ・アウベス・カレイラ
Raí,ライー
Naldo (futebolista),ロナウド・アパレシド・ロドリゲス
Santos Dumont,アルベルト・サントス＝デュモン
Evandro Goebel,エヴァンドロ・ゴエベル
Fernandão,フェルナンドン
Castilho (futebolista),カルロス・ジョゼ・カスチーリョ
Tico (futebolista),アレックス・シャンドレ・デ・オリヴェイラ
Carlos Simon,カルロス・エウジェニオ・シモン
Roque Júnior,ロッキ・ジュニオール
Augusto Leopoldo de Saxe-Coburgo e Bragança,アウグスト・レオポルト・フォン・ザクセン＝コーブルク・ウント・ゴータ
Dom Um Romão,ドン・ウン・ロマン
Victor Ramos,ヴィクトル・ラモス・フェレイラ
Mário Haberfeld,マリオ・ハーバーフェルド
Eleazar de Carvalho,エレアザール・デ・カルヴァーリョ
Paulo Thiago (lutador),パウロ・チアゴ
Ana Rezende,アナ・レゼンデ
Bertha Lutz,ベルタ・ルッツ
Leonardo Bittencourt (futebolista),レオナルド・ビッテンコート
Rickson Gracie,ヒクソン・グレイシー
Henrique Adriano Buss,エンリケ・アドリアーノ・ブス
Hernanes,アンデルソン・エルナネス・デ・カルヴァーリョ・アンドラーデ・リマ
Daishiro Yoshimura,吉村大志郎
Érika Miranda,エリカ・ミランダ
Paulo Henrique Ganso,パウロ・エンリケ・シャガス・ジ・リマ
Andrés D'Alessandro,アンドレス・ダレッサンドロ
Kerlon de Souza,ケルロン・モウラ・ソウザ
Keirrison,ケイリゾン・デ・ソウザ・カルネイロ
Sonny Anderson,アンデルソン・ダ・シウバ
Jô (futebolista),ジョアン・アウヴェス・デ・アシス・シウヴァ
Diego Maurício,ジエゴ・マウリシオ・マシャド・ジ・ブリット
Douglas Franco Teixeira,ダグラス・フランコ・テイシェイラ
Xandão,アレシャンドリ・ルイス・レアメ
Rogério Ceni,ロジェリオ・セニ
Fabian Guedes,ファビアン・ゲデス
Fernando Lucas Martins,フェルナンド・ルーカス・マルチンス
Washington Orelha,ワシントン・ルイス・マスカレニャス・シルバ
Pipo Derani,ピポ・デラーニ
José Eduardo de Araújo,ジョゼ・エドゥアルド・デ・アラウージョ
Paulo Henrique Carneiro Filho,パウロ・エンリケ・カルネイロ・フィーリョ
Levir Culpi,レヴィー・クルピ
Lori Sandri,ロリ・パウロ・サンドリ
Roberto Menescal,ホベルト・メネスカル
Vanderlei Luxemburgo,ヴァンデルレイ・ルシェンブルゴ
Edu Gaspar,エドゥアルド・セザール・ダウド・ガスパール
Venceslau Brás,ヴェンセズラウ・ブラス
Fábio Deivson Lopes Maciel,ファビオ・デイヴソン・ロペス・マシエウ
Gilberto Freyre,ジルベルト・フレイレ
Ricardo Oliveira,リカルド・ジ・オリヴェイラ
Paulo Sérgio Silvestre Nascimento,パウロ・セルジオ・シウヴェストレ・ド・ナシメント
César Sampaio,セザール・サンパイオ
Marlos,マルロス・ロメロ・ボンフィム
Schwenck,クレーベル・シュウェンク・ティエネ
Rodrigo Gral,ロドリーゴ・グラウ
Fernando Almeida de Oliveira,フェルナンド・アルメイダ・デ・オリベイラ
José Róbson do Nascimento,ジョゼ・ロブソン・ド・ナシメント
Rodrigo Izecson dos Santos Leite,ロドリゴ・イゼクソン・ドス・サントス・レイチ
Nenê (futebolista),アンデルソン・ルイス・デ・カルヴァーリョ
Candido Portinari,カンディド・ポルチナーリ
Arnaldo Cezar Coelho,アルナウド・ダヴィド・セザル・コエリョ
Fernanda Venturini,フェルナンダ・ベンツリーニ
Demian Maia,デミアン・マイア
Robson Conceição,ロブソン・コンセイソン
Arnaldo da Silva,アルナルド・ダ・シルバ
Sandro Viana,サンドロ・ビアナ
Marcelo D2,マルセロ・D2
"Marquinho (futebolista, 1986)",マルコ・アントニオ・デ・マットス・フィリォ
Jardel,マリオ・ジャルデウ・アルメイダ・リベイロ
Marcos Pontes,マルコス・ポンテス
Juninho Paulista,ジュニーニョ・パウリスタ
João Miranda de Souza Filho,ジョアン・ミランダ・デ・ソウザ・フィリョ
Bentinho (futebolista),アントニオ・ベント・ドス・サントス
Péricles de Oliveira Ramos,ペリクレス・デ・オリベイラ・ラモス
Léo Baptistão,レオナルド・カリーリョ・バチストン
Rodrigo Possebon,ホドリゴ・ペレイラ・ポセボン
Jonas Gonçalves Oliveira,ジョナス・ゴンサウヴェス・オリヴェイラ
Manuel Arruda Câmara,マヌエル・アルーダ・ダ・カマラ
Henrique Oswald,エンリキ・オスワルド
Lúcia Petterle,ルキア・ペテルレ
Adilson Kindlemann,アジウソン・キンドルマン
Marquinhos Paraná,アントニオ・マルコス・ダ・シルバ・フィリオ
Thales Leites,ターレス・レイチ
Gabriel Gonzaga,ガブリエル・ゴンザーガ
Paulão (basquetebolista),パウラォン・プレステス
Ivan Lins,イヴァン・リンス
Paulo Rink,パウロ・リンク
Luís Augusto de Saxe-Coburgo-Gota,ルートヴィヒ・アウグスト・フォン・ザクセン＝コーブルク・ウント・ゴータ
Waldemar Aureliano de Oliveira Filho,バルデマール・アウレリアーノ・デ・オリベイラ・フィリョ
Edinho Nazareth,エジノ・ナザレト・フィリョ
Bruno Cabrerizo,ブルーノ・カブレリーゾ
Morris Albert,モーリス・アルバート
Jefferson Fredo Rodrigues,ジェフェルソン・フレド・ロドリゲス
Martha Vasconcellos,マーサ・バスコンセロス
Marco Ruas,マルコ・ファス
Claudinei Cardoso Félix da Silva,クラウジネイ・カルドーソ・フェリックス・ダ・シウヴァ
"Luiz Gustavo (futebolista, 1987)",ルイス・グスタヴォ・ディアス
Gabriel (futebolista),ガブリエル・サンターナ・ピント
"Thomas Cochrane, 10.º Conde de Dundonald",トマス・コクラン
Vinicius de Moraes,ヴィニシウス・ヂ・モライス
Chico Buarque,シコ・ブアルキ
Ademir de Menezes,アデミール・マルケス・デ・メネゼス
Gil de Ferran,ジル・ド・フェラン
Newton Mendonça,ニュウトン・メンドンサ
Robert de Pinho de Souza,ホベルチ・ピーニョ・デ・ソウザ
Bauer (futebolista),ジョゼ・カルロス・バウエル
Fabiano Santacroce,ファビアーノ・サンタクローチェ
Derlei,ヴァンデルレイ・フェルナンデス・シルヴァ
Mário Fernandes,マリオ・フィゲイラ・フェルナンデス
Nair Bello,ナイール・ベロ
Catanha,エンリケ・ゲデス・ダ・シウヴァ
Jedaias Capucho Neves,ジェダイアス・カプーショ・ネヴェス
Joel Camargo,ジョエウ・カマルゴ
Felipe Mattioni,フェリペ・マッティオーニ・ローデ
Afonso Alves,アフォンソ・アウヴェス・マルチンス・ジュニオール
Sérgio Mendes,セルジオ・メンデス
Anderson Carvalho,アンデルソン・デ・カルバーリョ・サントス
Fernanda Montenegro,フェルナンダ・モンテネグロ
Mauro Silva,マウロ・シルバ
Brito (futebolista),エルクレス・ブリット・ルアス
Marcos Roberto Silveira Reis,マルコス・ロベルト・シウベイラ・レイス
Augusto Farfus,アウグスト・ファルフス
Murilo Fischer,ムリロ・フィスシャー
Fernando Baiano,フェルナンド・バイアーノ
Naná Vasconcelos,ナナ・ヴァスコンセロス
Ricardo Semler,リカルド・セムラー
José Padilha,ジョゼ・パジーリャ
César Aparecido Rodrigues,セーザル・アパレシド・ロドリゲス
Waldo Machado,ワウド・マシャド・ダ・シウヴァ
Emerson Moisés Costa,エメルソン・モイゼス・コスタ
Jadson Viera,ジャジソン・ビエラ・カストロ
Paulo Nagamura,パウロ・ロベルト・コラーディ・ナガムラ
Emil Rached,エミール・ラシェド
João Donato,ジョアン・ドナート
Kayke Moreno,カイケ・モレノ・ジ・アンドラージ・ロドリゲス
Leo (futebolista),レオナルド・ロウレンソ・バストス
Nunes do Flamengo,ジョアン・バチスタ・ヌーネス・デ・オリヴェイラ
Jaime Câmara Neto,ジェイミー・カマラ
Leonardo de Jesus Geraldo,レオナルド・デ・ジェスス・ジェラウド
Mazarópi,ジェラルド・ペレイラ・デ・マットス・フィーリョ
Diego Souza,ジエゴ・デ・ソウザ・アンドラージ
Zé Love,ジョゼ・エドゥアルド・ビスショフェ・デ・アウメイダ
Fernando Meirelles,フェルナンド・メイレレス
Careca (futebolista),アントニオ・デ・オリベイラ・フィーリョ
Osman Lins,オスマン・リンス
Acácio (futebolista),アカシオ・コルデイロ・バレット
Bartolomeu de Gusmão,バルトロメウ・デ・グスマン
Eduardo Pereira Rodrigues,エドゥアルド・ペレイラ・ロドリゲス
Marcelo Zarvos,マーセロ・ザーヴォス
Rafael Marques Mariano,ラファエル・マルケス・マリアーノ
Carlos Marighella,カルロス・マリゲーラ
Luís Alves de Lima e Silva,ルイス・アルヴェス・デ・リマ・エ・シルヴァ・(カシアス公爵)
Reginaldo Ferreira da Silva,レジナルド・フェレイラ・ダ・シルヴァ
Carlos Alberto Carvalho dos Anjos Junior,カルロス・アルベルト・カルヴァリョ・ドス・アンジョス・ジュニオル
Isaac Karabtchevsky,イサーク・カラブチェフスキー
Gláucio,グラウシオ・デ・ジェズス・カルヴァリオ
Oreco,ヴァウデマール・ロドリゲス・マルチンス
Mitsuyo Maeda,前田光世
Rafael Bábby,ラファエル・アラウージョ・(バスケットボール)
Henrique Almeida,エンヒキ・アウメイダ・カイシェタ・ナセンテス
Ketleyn Quadros,ケトレイン・クアドロス
Flávio Conceição,フラビオ・コンセイソン
Rafael Sóbis,ラファエウ・アウグスト・ソビス・ド・ナシメント
Filipe Luís,フィリペ・ルイス・カスミルスキ
Luiz Carlos Bombonato Goulart,ルイス・カルロス・ボンボナート・グラール
Neto Baiano,エウヴァウド・ジョゼ・デ・アグイアール・ネット
França (futebolista),フランソアウド・セナ・デ・ソウザ
Tiago Splitter,ティアゴ・スプリッター
Iomar do Nascimento,イオマール・ド・ナシメント
Branco (futebolista),クラウディオ・イブライム・バス・レアル
Giuliano,ジュリアーノ・ヴィクトル・デ・パウラ
Gustavo Endres,グスタボ・エンドレス
Paulo Autuori,パウロ・アウトゥオリ
Bruno César,ブルーノ・セザル・ザナキ
Francisco Mignone,フランシスコ・ミニョーネ
Erison Carlos dos Santos Silva,エリソン・カルロス・ドス・サントス・シルバ
Juninho Fonseca,アルシデス・フォンセカ・ジュニオール
"Luizinho (futebolista, 1958)",ルイス・カルロス・フェレイラ
Lucas Saatkamp,ルーカス・サートカンプ
Josimar Higino Pereira,ジョジマール・イジーノ・ペレイラ
Tita (futebolista),ミウトン・ケイロス・ダ・パイション
Artur Avila,アルトゥル・アビラ
José Oscar Bernardi,ジョゼ・オスカー・ベルナルディ
Florent Amodio,フローラン・アモディオ
Vampeta,ヴァンペッタ
Wilson Matias,ヴィウソン・チアゴ・マチアス
R. R. Soares,ロミルド・リベイロ・ソアーレス
Rômulo Souza Orestes Caldeira,ロムロ・ソウザ・オレステス・カルデイラ
Allan Marques Loureiro,アラン・マルケス・ロウレイロ
Carlos Germano,カルロス・ジェルマーノ
Willian José,ウィリアン・ジョゼ・ダ・シウバ
"Abuda (futebolista, 1986)",アデイルソン・ペレイラ・コエーリョ
Mike Deodato Jr.,マイク・デオダート
Jorge Mendonça,ジョルジ・ピント・メンドンサ
Renato Gaúcho,レナト・ガウショ
Adhemar (futebolista),アデマール・フェレイラ・デ・カマルゴ・ネト
Túlio Maravilha,トゥーリオ・マラヴィーリャ
Ademir da Guia,アデミール・ダ・ギア
Georgia Brown,ジョージア・ブラウン・(ブラジルの歌手)
Virna Dias,バーナ・ディアス
Ronaldo Guiaro,ロナルド・ギアロ
João Bosco (músico),ジョアン・ボスコ
Nelsinho Baptista,ネルソン・バプティスタ・ジュニオール
Ernesto Nazareth,エルネスト・ナザレー
Marcelo Oliveira,マルセロ・オリヴェイラ
Nicolau Sevcenko,ニコラス・セフチェンコ
Douglas Pereira dos Santos,ドウグラス・ペレイラ・ドス・サントス
Anderson Silva,アンデウソン・シウバ
Adi Rocha Sobrinho,アディ・ロチャ・ソブリーニョ・フィーリョ
Carlos Ghosn,カルロス・ゴーン
Renato Augusto,レナト・ソアレス・ジ・オリヴェイラ・アウグスト
Nenê Hilário,ネネイ
Sebastião Salgado,セバスチャン・サルガド
Pedro Botelho (futebolista),ペドロ・ロベルト・シウヴァ・ボテーリョ
Jadson,ジャジソン・ロドリゲス・ダ・シルバ
Domingos da Guia,ドミンゴス・ダ・ギア
Manoel de Morais Amorim,マノエウ・モライス・アモリム
Sydney Possuelo,シドニー・ポスエロ
Réver,レーヴェル・ウンベルト・アウヴェス・アラウージョ
Adalto (futebolista),アダウト・バティスタ・ダ・シルバ
Pedro Henrique de Orléans e Bragança,ペドロ・エンリケ・デ・オルレアンス・イ・ブラガンサ
Fernando Arêas Rifan,フェルナンド・アレアス・リファン
Helton Arruda,エウトン・ダ・シウヴァ・アルーダ
Bernardinho,ベルナルド・レゼンデ
Marcelo Huertas,マルセロ・ウェルタス
Sidnei (futebolista),シジネイ・レチェル・ダ・シウヴァ・ジュニオール
Ricardo Sperafico,リカルド・スペラフィコ
Júlio César Jacobi,ジュリオ・セザール・ジャコビ
Weldon Santos de Andrade,ヴェウドン・サントス・ジ・アンドラージ
Raphael Matos,ラファエル・マトス
Júnior Nagata,ジェニウソン・アンジェロ・デ・ソウザ
Airton Ferreira da Silva,アイルトン・フェレイラ・ダ・シウヴァ
André Luiz Ladaga,アンドレ・ルイス・ラダガ
Arlene Xavier,アルレネ・シャビエル
Bruno Cortês,ブルーノ・コルテース・バルボサ
Telê Santana,テレ・サンタナ
Alessandro dos Santos,三都主アレサンドロ
Anderson Varejão,アンダーソン・ヴァレジャオ
Mehmet Aurélio,メフメト・アウレリオ
Antônio Monteiro Dutra,アントニオ・モンテイロ・ドゥトラ
Finazzi,アレシャンドレ・シルベイラ・フィナージ
Carlos Rafael do Amaral,カルロス・ハファエル・ド・アマラウ
Alessandro Nunes Nascimento,アレッサンドロ・ヌーネス・ナシメント
Marcos Aurélio de Oliveira Lima,マルコス・アウレリオ・ジ・オリヴェイラ・リマ
Thiego,ウィリアン・チエゴ・ジ・ジェズス
Gabriel Rodrigues dos Santos,ガブリエウ・ホドリゲス・ドス・サントス
Rogério Sampaio,ロジェリオ・サンパイオ
Estêvão Silva,エステヴァン・シルヴァ
Pedro de Alcântara Gastão de Orléans e Bragança,ペドロ・ガスタン・デ・オルレアンス・エ・ブラガンサ
Alex Mineiro,アレシャンデル・ペレイラ・カルドーゾ
Joyce Silva,ジョイセ・シルバ
Alecsandro,アレクサンドロ・バルボーサ・フェリスビーノ
Ricardo Sugano,魁聖一郎
Bruno Rodrigo,ブルーノ・ホドリゴ・フェネロン・パロモ
Renato Sobral,レナート・ババル
Adriano Pimenta,アドリアーノ・ファリア・ピメンタ
Deyvison Rogério da Silva,デイヴソン・ロジェリオ・ダ・シウヴァ
Guilherme Siqueira,ギリェルメ・マダレナ・シケイラ
Fábio Rochemback,ファビオ・ロッケンバック
Adriana Behar,アドリアナ・ベアール
João do Pulo,ジョアン・カルロス・ジ・オリヴェイラ
Carlos Alberto Gomes de Jesus,カルロス・アルベルト・ゴメス・デ・ジェズス
Marcelo Bordon,マルセロ・ボルドン
Arthur Friedenreich,アルツール・フリーデンライヒ
Vanderlei Cordeiro de Lima,バンデルレイ・デ・リマ
Willian Arão,ヴィリアン・ソウザ・アロン・ダ・シウヴァ
Sassá,ウェリサ・ゴンザーガ
Ludwig Riedel,ルートヴィヒ・リーデル
Júnior Moraes,アルイーシオ・シャヴェス・ヒベイロ・モラエス・ジュニオール
Lyoto Machida,リョート・マチダ
Iriney,イリネイ・サントス・ダ・シルヴァ
André Ribeiro,アンドレ・リベイロ
Renan (futebolista),レナン・ブリト・ソアレス
Thiago Neves,チアゴ・ネーヴィス・アウグスト
Fabíola (voleibolista),ジョゼファ・ファビオラ・ソウザ
Gilmar Rinaldi,ジルマール・ルイス・リナルジ
Negueba,ギリェルメ・フェレイラ・ピント
Pedro Rizzo,ペドロ・ヒーゾ
Luís Oliveira,ルイス・オリヴェイラ
Roberto de Assis Moreira,ロベルト・デ・アシス・モレイラ
Juciely Barreto,ジュシエリ・クリスチナ・バレト
Wellington Tanque,ウェリントン・ルイス・デ・ソウザ
Carlos Eduardo (futebolista),カルロス・エドゥアルド・マルケス
Camargo Guarnieri,カマルゴ・グアルニエリ
Walter Afanasieff,ウォルター・アファナシェフ
Marcelo Antônio Guedes Filho,マルセロ・アントニオ・ゲデス・フィリォ
José Roberto de Oliveira,ジョゼ・ホベルト・デ・オリベイラ
Evanílson,エヴァニウソン・アパレシド・フェレイラ
Marcelo Mattos,マルセロ・メンドーサ・デ・マットス
Ruy Guerra,ルイ・ゲーハ
Walter Casagrande,ワルテル・カーザグランデ
Elton Rodrigues Brandão,エウトン・ロドリゲス・ブランドン
Sávio,サヴィオ
Félix Miélli Venerando,フェリックス・ミエーリ・ヴェネランド
Zito (futebolista),ジョゼ・エリ・デ・ミランダ
Rafael Silva (judoca),ラファエル・シルバ
Oscar Lorenzo Fernández,オスカル・ロレンソ・フェルナンデス
Raphael Assunção,ハファエル・アスンソン
Maicon Oliveira,マイコン・ペレイラ・デ・オリベイラ
George Kobayashi,ジョージ小林
Ronaldo Jacaré,ホナウド・ジャカレイ
Antônio Silva (lutador),アントニオ・シウバ
Adriano Pereira da Silva,アドリアーノ・ペレイラ・ダ・シウヴァ
