Polska,ポーランド
Mistrzostwa Świata Juniorów w Lekkoatletyce 2008,2008年世界ジュニア陸上競技選手権大会
Chemik Police (piłka siatkowa kobiet),グルパ・アゾティ・チェミック・ポリツェ
Liga Światowa w Piłce Siatkowej 2011,2011年バレーボール・ワールドリーグ
Muzeum Książąt Czartoryskich w Krakowie,チャルトリスキ美術館
"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",ウッチ映画大学
Platforma wschodnioeuropejska,東ヨーロッパ・クラトン
Liga Światowa w Piłce Siatkowej 2007,2007年バレーボール・ワールドリーグ
Jomsborg,ヨムスボルグ
Grunwald (wieś w województwie warmińsko-mazurskim),グルンヴァルト
Chrząchów,フションフフ
Zimowa Uniwersjada 2001,2001年冬季ユニバーシアード
Górnik Łęczna,グルニク・ウェンチナ
Warta Poznań (piłka nożna),ヴァルタ・ポズナン
Bruk-Bet Termalica Nieciecza,ブルク＝ベット・テルマリカ・ニエチェツァ
Uniwersytet Ekonomiczny w Krakowie,クラクフ経済大学
Skra Bełchatów,スクラ・ベウハトゥフ
Warszawska Jesień,ワルシャワの秋
Wisła Płock (piłka nożna),ヴィスワ・プウォツク
Unia Demokratyczna,民主連合・(ポーランド)
Politechnika Warszawska,ワルシャワ工科大学
Polska Agencja Prasowa,ポーランド通信社
Uniwersytet Ekonomiczny we Wrocławiu,ヴロツワフ経済大学
Bitwa pod Płowcami,プウォフツェの戦い
Ergo Arena,エルゴ・アリーナ
Spodek (hala widowiskowa),スポデク
Centralwings,セントラルウィングス
Unia Pracy,労働連合
Muzeum Karola Szymanowskiego w willi „Atma” w Zakopanem,ザコパネの別荘アトマのカロル・シマノフスキ博物館
Stocznia Gdańska,グダニスク造船所
Polska na Zimowych Igrzyskach Olimpijskich 2002,2002年ソルトレークシティオリンピックのポーランド選手団
Mistrzostwa Świata w Podnoszeniu Ciężarów 2002,2002年ウエイトリフティング世界選手権
Trójkąt Trzech Cesarzy,三帝の角
Rodzimowierstwo słowiańskie,ロドノヴェリエ
Województwo warszawskie (1975–1998),ワルシャワ県・(1975年-1998年)
Narodowe Odrodzenie Polski,新生ポーランド
Mistrzostwa Świata w Zapasach 1982,1982年レスリング世界選手権
Województwo chełmskie,ヘウム県
Województwo skierniewickie,スキェルニェヴィツェ県
Rzeki w Polsce,ポーランドの河川の一覧
Województwo słupskie,スウプスク県
Reprezentacja Polski w piłce nożnej kobiet,サッカーポーランド女子代表
Uniwersytet Gdański,グダニスク大学
Pałac Kazimierzowski w Warszawie,カジミェシュ宮殿
Turzonowie,トゥルゾー家
Dywizjon 303,第303コシチュシコ戦闘機中隊・(イギリス空軍)
Kolegium Europejskie,欧州大学
Maszt radiowy w Konstantynowie,ワルシャワラジオ塔
Lotte Wedel,ヴェーデル
Trefl Sopot (piłka siatkowa kobiet),アトム・トレフル・ソポト
Faworki,ファボルキ
Mistrzostwa Świata w Zapasach 1997,1997年レスリング世界選手権
Mistrzostwa Świata w Narciarstwie Alpejskim 1939,1939年アルペンスキー世界選手権
Powiat zgierski,ズギェシ郡
Powiat sochaczewski,ソハチェフ郡
Powiat pajęczański,パイェンチュノ郡
Marka polska,ポーランド・マルカ
Reprezentacja Polski U-21 w piłce nożnej mężczyzn,U-21サッカーポーランド代表
Międzynarodowy Konkurs Skrzypcowy im. Henryka Wieniawskiego,ヴィエニャフスキ国際ヴァイオリン・コンクール
Samoobrona Rzeczpospolitej Polskiej,自衛・(ポーランド)
Polska na Zimowych Igrzyskach Olimpijskich 1956,1956年コルチナ・ダンペッツオオリンピックのポーランド選手団
Powiat żywiecki,ジヴィエツ郡
Powiat mrągowski,ムロンゴヴォ郡
Powiat bartoszycki,バルトシツェ郡
Powiat kętrzyński,ケントシン郡
Tramwaje w Górnośląsko-Zagłębiowskiej Metropolii,シレジア・インターアーバン
Powiat olecki,オレツコ郡
Powiat ełcki,エウク郡
Powiat zawierciański,ザヴィエルチェ郡
Powiat dąbrowski,ドンブロヴァ郡
Powiat działdowski,ジャウドヴォ郡
Powiat iławski,イワヴァ郡
Powiat nidzicki,ニジツァ郡
Uniwersytet Medyczny w Lublinie,ルブリン医科大学
Centrum Nauki Kopernik w Warszawie,コペルニクス科学センター
Mistrzostwa Europy w Łyżwiarstwie Figurowym 2007,2007年ヨーロッパフィギュアスケート選手権
Parki narodowe w Polsce,ポーランドの国立公園の一覧
Muzeum Kolejnictwa w Warszawie,ワルシャワ鉄道博物館
Grób Nieznanego Żołnierza w Warszawie,無名戦士の墓・(ワルシャワ)
Poniatowscy herbu Ciołek,ポニャトフスキ家
Powiat cieszyński,チェシン郡
Powiat mikołowski,ミコウフ郡
Stare Miasto w Warszawie,ワルシャワ歴史地区
Powiat chrzanowski,フシャヌフ郡
Powiat elbląski,エルブロンク郡
Browar w Elblągu,エルブルワリー
Tramwaje w Grudziądzu,グルジョンツ市電
Mistrzostwa Świata w Narciarstwie Klasycznym 1929,1929年ノルディックスキー世界選手権
Mistrzostwa Świata w Narciarstwie Klasycznym 1962,1962年ノルディックスキー世界選手権
Reprezentacja Polski w piłce ręcznej kobiet,ハンドボールポーランド女子代表
Kościół archiprezbiterialny Wniebowzięcia Najświętszej Marii Panny w Krakowie,聖マリア教会・(クラクフ)
Szczerbiec,シュチェルビェツ
Tour de Pologne 2007,ツール・ド・ポローニュ2007
Wybory do Parlamentu Europejskiego w Polsce w 2009 roku,2009年欧州議会議員選挙・(ポーランド)
Narodowa Orkiestra Symfoniczna Polskiego Radia w Katowicach,ポーランド国立放送交響楽団
Ruch Palikota,みんなの運動
Uniwersytet Muzyczny Fryderyka Chopina,ショパン音楽アカデミー
Szlakiem Grodów Piastowskich,シュラキエム・グロドゥフ・ピャストフスキフ
Linia kolejowa nr 65,65号線・(ポーランド)
Halowe Mistrzostwa Świata w Lekkoatletyce 2014,2014年世界室内陸上競技選手権大会
Powiat bielski (województwo śląskie),ビェルスコ・ビャワ郡
Rozewie,ロゼヴィア岬
Pojazdy Szynowe Pesa Bydgoszcz,PESA
Polska na Letnich Igrzyskach Olimpijskich 1952,1952年ヘルシンキオリンピックのポーランド選手団
Województwo przemyskie,プシェムィシル県
Tramwaje w Gdańsku,グダニスク市電
Leśna (dopływ Bugu),リャスナヤ川
Zimowa Uniwersjada 1993,1993年冬季ユニバーシアード
Krzywy Las (pomnik przyrody),クシュヴィ・ラス
Powiat myszkowski,ムィシュクフ郡
Hate (zespół muzyczny),ヘイト・(バンド)
Warszawski Międzynarodowy Festiwal Filmowy,ワルシャワ国際映画祭
Tour de Pologne 2012,ツール・ド・ポローニュ2012
Narodowe Święto Niepodległości,独立記念日・(ポーランド)
ISO 3166-2:PL,ISO・3166-2:PL
Radomiak Radom,ラドミアク・ラドム
Mistrzostwa Świata w Kolarstwie Torowym 2009,世界選手権自転車競技大会トラックレース2009
Arena Kielce,アレーナ・キェルツェ
Sobiescy herbu Janina,ソビエスキ家
System Mizar,Mizar
Linia kolejowa nr 4,4号線・(ポーランド)
Szkoła Główna Handlowa w Warszawie,ワルシャワ経済大学
Tour de Pologne 2009,ツール・ド・ポローニュ2009
Reprezentacja Polski w piłce siatkowej mężczyzn,バレーボールポーランド男子代表
Pałac Saski w Warszawie,サスキ宮殿
Ekstraliga baseballowa,ポーランド・エクストラリーガ
Stal Mielec (piłka nożna),スタル・ミエレツ
Akademia Muzyczna im. Krzysztofa Pendereckiego w Krakowie,クラクフ音楽アカデミー
E261 (trasa europejska),E261号線
E462 (trasa europejska),E462号線
Uniwersytet Marii Curie-Skłodowskiej,マリー・キュリー・スクウォドフスカ大学
Reprezentacja Polski w piłce siatkowej kobiet,バレーボールポーランド女子代表
Wojska Specjalne,ポーランド特別軍
Socjaldemokracja Rzeczypospolitej Polskiej,ポーランド共和国社会民主党
Warszawa Gdańska,ワルシャワ・グダニスク駅
Muzeum Sztuki Nowoczesnej w Warszawie,ワルシャワ近代美術館
Polska na Letnich Igrzyskach Olimpijskich 1932,1932年ロサンゼルスオリンピックのポーランド選手団
Port lotniczy Bydgoszcz-Szwederowo,ブィドゴシュチュ・イグナツィ・ヤン・パデレフスキ空港
Mistrzostwa Świata w Narciarstwie Klasycznym 1939,1939年ノルディックスキー世界選手権
Turystyka w Polsce,ポーランドの観光地
Wybory do Parlamentu Europejskiego w 1999 roku,1999年欧州議会議員選挙
Tour de Pologne 2005,ツール・ド・ポローニュ2005
Sąsiadka,ステイスク
Tour de Pologne 2006,ツール・ド・ポローニュ2006
Polska na Letnich Igrzyskach Olimpijskich 1972,1972年ミュンヘンオリンピックのポーランド選手団
ORP Sęp (1938),センプ・(潜水艦)
Tramwaje w Gorzowie Wielkopolskim,ゴジュフ・ヴィエルコポルスキ市電
E373 (trasa europejska),E373号線
Świsłocz (dopływ Niemna),スヴィスラチ川・(ネマン川の支流)
Polska na Letnich Igrzyskach Olimpijskich 1924,1924年パリオリンピックのポーランド選手団
Unia Wolności,自由連合・(ポーランド)
Polska na Letnich Igrzyskach Olimpijskich 1948,1948年ロンドンオリンピックのポーランド選手団
PZL-104 Wilga,PZL・104
Warszawa Śródmieście,ワルシャワ・シルドミエシチェ駅
Linia kolejowa nr 6,6号線・(ポーランド)
Polska na Letnich Igrzyskach Olimpijskich 1968,1968年メキシコシティーオリンピックのポーランド選手団
Rajd Polski,ラリー・ポーランド
Polska na Letnich Igrzyskach Olimpijskich 2000,2000年シドニーオリンピックのポーランド選手団
Pesa Elf,Elf・(鉄道車両)
Awaryjne lądowanie lotu PLL LOT 016,LOTポーランド航空16便胴体着陸事故
Gruchawka,ラットル・(楽器)
Terespol (stacja kolejowa),テレスポル駅
Politechnika Łódzka,ウッチ工科大学
Mistrzostwa Świata w Zapasach 1998,1998年レスリング世界選手権
Polskie Towarzystwo Matematyczne,ポーランド数学会
Techland,テックランド
PlusLiga,ポーランド男子バレーボールリーグ
Wybory parlamentarne w Polsce w 1989 roku,1989年ポーランド議会選挙
Kraków Główny,クラクフ中央駅
Polska na Letnich Igrzyskach Olimpijskich 1992,1992年バルセロナオリンピックのポーランド選手団
Łupków (stacja kolejowa),ウプクフ駅
Niegosławice (województwo lubuskie),ニェゴスワヴィツェ
Calisia (piłka siatkowa),SSKカリシア・カリシュ
Polska na Letnich Igrzyskach Olimpijskich 1956,1956年メルボルンオリンピックのポーランド選手団
Granica polsko-litewska,リトアニア＝ポーランド国境
Stal Mielec (piłka siatkowa kobiet),KPSKスタル・ミエレツ
Trolejbusy w Lublinie,ルブリン・トロリーバス
Bochotnica,ボホトニツァ
Słubice (przystanek kolejowy),スウビツェ駅
Kino TV,FilmBox
Polska na Letnich Igrzyskach Olimpijskich 1980,1980年モスクワオリンピックのポーランド選手団
Warszawa Stadion,ワルシャワ・スタディオン駅
Warszawa Lotnisko Chopina,ワルシャワ・ショパン空港駅
Wybory prezydenckie w Polsce w 2005 roku,2005年ポーランド大統領選挙
E372 (trasa europejska),E372号線
Polska na Letnich Igrzyskach Olimpijskich 1960,1960年ローマオリンピックのポーランド選手団
Polska na Letnich Igrzyskach Olimpijskich 1964,1964年東京オリンピックのポーランド選手団
Katowice Open,カトヴィツェ・オープン
Żabka (sieć sklepów),ジャプカ
Warszawa Zachodnia,ワルシャワ西駅
Pajęczno (gmina),グミナ・パイェンチュノ
Mistrzostwa Świata Juniorów Młodszych w Lekkoatletyce 1999,1999年世界ユース陸上競技選手権大会
E371 (trasa europejska),E371号線
Reprezentacja Polski U-17 w piłce nożnej mężczyzn,U-17サッカーポーランド代表
Brygada Karmeli,カルメリ旅団・(イスラエル国防軍)
Wybory do Parlamentu Europejskiego w Polsce w 2004 roku,2004年欧州議会議員選挙・(ポーランド)
Mentor Toruń Cup,ネスレ杯
Trolejbusy w Gdyni,グディニャ・トロリーバス
Mistrzostwa Polski w łyżwiarstwie figurowym,ポーランドフィギュアスケート選手権
Ziemie Odzyskane,回復領
Wybory parlamentarne w Polsce w 1991 roku,1991年ポーランド議会選挙
Linia kolejowa nr 93,93号線・(ポーランド)
Tramwaje w Elblągu,エルブロンク市電
Warszawa Śródmieście WKD,WKDワルシャワ・シルドミエシチェ駅
Chałupki (stacja kolejowa),ハウプキ駅
Ministerstwo Obrony Narodowej,国防省・(ポーランド)
Radonica,ラドニツァ
Tramwaje w Toruniu,トルン市電
Polska na Letnich Igrzyskach Olimpijskich 1988,1988年ソウルオリンピックのポーランド選手団
Konfrontacja Sztuk Walki,Konfrontacja・Sztuk・Walki
Linia kolejowa nr 1,1号線・(ポーランド)
Fabryka Broni „Łucznik”,ファブルィカ・ブローニ・ウーチュニク
Hrubieszów Miasto,フルビェシュフ町駅
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2014,2014年バレーボール男子世界選手権
Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi,ウッチ・ヴワディスワフ・スチシェミンスキ美術アカデミー
Reprezentacja Polski U-19 w piłce nożnej mężczyzn,U-19サッカーポーランド代表
Podsłońce,映日
Prezes Rady Ministrów,ポーランドの首相
Katastrofa lotnicza w Lesie Kabackim,ポーランド航空5055便墜落事故
Warszawa Wschodnia,ワルシャワ東駅
Warszawa Powiśle,ワルシャワ・ポビシレ駅
World Games 2017,ワールドゲームズ2017
Opera Krakowska,クラクフ歌劇場
Częstochowa (stacja kolejowa),チェンストホヴァ駅
Pesa Twist,ツイスト・(路面電車車両)
Warsaw Cup,ワルシャワ杯
4 Armia Sił Powietrznych i Obrony Przeciwlotniczej,第4航空・防空軍・(ロシア航空宇宙軍)
1 Samodzielny Batalion Kobiecy im. Emilii Plater,エミリア・プラテル独立女性大隊
Baumkuchen,バウムクーヘン
Muzeum Fryderyka Chopina w Warszawie,フレデリック・ショパン博物館
Centrum Badań Kosmicznych Polskiej Akademii Nauk,ポーランド科学アカデミー宇宙研究センター
Grody Czerwieńskie,チェルヴェンの諸都市
Coffeeheaven,コーヒーヘブン
Mistrzostwa Świata w Podnoszeniu Ciężarów Kobiet 1996,1996年ウエイトリフティング世界選手権
Batalion „Parasol”,パラソル大隊
Reprezentacja Polski U-20 w piłce nożnej mężczyzn,U-20サッカーポーランド代表
Open’er Festival,オープナー・フェスティバル
Trolejbusy w Tychach,ティヒ・トロリーバス
Kino moralnego niepokoju,モラルの不安の映画
Chleb żytni,ライ麦パン
Zatrucia czeskim metanolem w 2012,2012年チェコにおけるメタノール入り密造酒事件
Babsk (wieś w województwie lubelskim),バプスク・(ルブリン県)
Ministerstwo Zdrowia (Polska),保健省・(ポーランド)
Ministerstwo Edukacji Narodowej,国民教育省・(ポーランド)
Ministerstwo Spraw Wewnętrznych i Administracji,内務・行政省・(ポーランド)
Ministerstwo Sprawiedliwości (Polska),法務省・(ポーランド)
Ministerstwo Finansów (Polska),財務省・(ポーランド)
Ministerstwo Sportu i Turystyki (Polska),スポーツ・観光省・(ポーランド)
"Ministerstwo Rodziny, Pracy i Polityki Społecznej",家族・労働・社会政策省・(ポーランド)
Ministerstwo Rolnictwa i Rozwoju Wsi,農業・農村開発省・(ポーランド)
Boksze-Osada,ボクシェ
Kara śmierci w Polsce,ポーランドにおける死刑
Huta Stalowa Wola,スタロヴァ・ヴォラ製鉄所
Łazy (województwo lubelskie),ワジ・(ウクフ郡)
Daniel (Pośrednik),ダニェル・(ヴィエルコポルスカ県)
Bielsko-Biała Główna,ビェルスコ＝ビャワ中央駅
Gwardia Koszalin,KSグバルディア・コシャリン
Sempółki,センプウキ
Koluszki (stacja kolejowa),コルシュキ駅
Cerkiew Częstochowskiej Ikony Matki Bożej w Częstochowie,チェンストホヴァの神の母イコン聖堂
Mistrzostwa Świata w Podnoszeniu Ciężarów 2013,2013年ウエイトリフティング世界選手権
Polski Czerwony Krzyż,ポーランド赤十字社
Arrasy wawelskie,ヴァヴェル城のタペストリー
Kantar Millward Brown,ミルウォード・ブラウン
Ochotnicza Legia Kobiet,女性志願兵軍団
Grupa kapitałowa CD Projekt,CD・Projekt
Protram,プロトラム
Polska A i B,ポーランドAとポーランドB
Polska na Zimowych Igrzyskach Olimpijskich 2014,2014年ソチオリンピックのポーランド選手団
Przewodów,プシェヴォドゥフ
Stosunki polsko-ukraińskie,ポーランドとウクライナの関係
Kategoria:Polskie linie lotnicze,Category:ポーランドの航空会社
Piotrowice (powiat otwocki),ピョトロヴィツェ・(オトフォツク郡)
Teyon,テヨン・(ゲーム会社)
Trojany (województwo mazowieckie),トロヤニ・(マゾフシェ県)
Trojany (województwo łódzkie),トロヤニ・(ウッチ県)
Drewniane cerkwie w polskim i ukraińskim regionie Karpat,ポーランドとウクライナのカルパティア地方の木造教会群
Uniwersytet SWPS,SWPS大学
Bitwa pod Wyszecinem,ヴィシェチノの戦い
Ambasada Japonii w Polsce,在ポーランド日本国大使館
Głębowice (województwo dolnośląskie),グウェンボビツェ・(ドルヌィ・シロンスク県)
HCP Puma,ピューマ・(路面電車車両)
Samorząd terytorialny w Polsce,ポーランドの地方自治
Arena Lublin,アレーナ・ルブリン
Stosunki polsko-łotewskie,ラトビアとポーランドの関係
Stronnictwo Patriotyczne,愛国派・(ポーランド)
Styków (Głogów Małopolski),スティクフ・(ポトカルパチェ県)
Tramwaje w Olsztynie,オルシュティン市電
Tour de Pologne 2013,ツール・ド・ポローニュ2013
Wawel (przedsiębiorstwo),Wawel
Zabytkowa Kopalnia Srebra,タルノフスキェ・グルィの鉛・銀・亜鉛鉱山とその地下水管理システム
Zakopane (stacja kolejowa),ザコパネ駅
Polsko-Japońska Akademia Technik Komputerowych,ポーランド日本情報工科大学
Szkoła Japońska w Warszawie,ワルシャワ日本人学校
Ostrów Wielkopolski (stacja kolejowa),オストルフ・ヴィエルコポルスキ駅
Linia kolejowa nr 139,139号線・(ポーランド)
Ekstraklasa w piłce nożnej (2013/2014),エクストラクラサ・2013-14
ORP Dzik (1966),ヂク・(潜水艦・2代)
Linia kolejowa nr 440,440号線・(ポーランド)
Warsaw Cup 2011,2011年ワルシャワ杯
Warsaw Cup 2012,2012年ワルシャワ杯
Linia kolejowa nr 132,ビトム・-・ヴロツワフ線
Linia kolejowa nr 137,137号線・(ポーランド)
Linia kolejowa nr 190,ビェルスコ＝ビャワ・-・チェシン線
Linia kolejowa nr 18,18号線・(ポーランド)
Linia kolejowa nr 275,275号線・(ポーランド)
Linia kolejowa nr 64,64号線・(ポーランド)
Linia kolejowa nr 7,7号線・(ポーランド)
Linia kolejowa nr 8,8号線・(ポーランド)
Linia kolejowa Lwów – Mościska II,リヴィウ・-・プシェムィシル線
Muzeum Obrony Wybrzeża w Helu,海防博物館・(ポーランド)
Międzynarodowy Konkurs Pianistyczny im. Ignacego Jana Paderewskiego,パデレフスキ国際ピアノコンクール
Modertrans Poznań,モダトランス
Newag Nevelo,ネヴェロ・(路面電車車両)
Narodowy Instytut Fryderyka Chopina,フレデリック・ショパン研究所
Pistolet Erma KGP-68/KGP-69,エルマ・KGP-68
Pomnik Grunwaldzki w Krakowie,グルンヴァルト記念碑
Płaszów,プワシュフ
Tauron Arena Kraków,クラクフ・アリーナ
Flying Wild Hog,Flying・Wild・Hog
Stroje ludowe w Polsce,ポーランドの民族衣装
Wybory do Parlamentu Europejskiego w Polsce w 2014 roku,2014年欧州議会議員選挙・(ポーランド)
Centrum Kongresowe ICE Kraków,ICEクラクフ・コングレス・センター
Mistrzostwa Świata w Siatkówce Plażowej 2013,2013年ビーチバレーボール世界選手権
Warsaw Cup 2013,2013年ワルシャワ杯
Halowe Mistrzostwa Świata w Lekkoatletyce 2014 – pięciobój kobiet,2014年世界室内陸上競技選手権大会・女子五種競技
Mistrzostwa Świata Juniorów w Lekkoatletyce 2016,2016年U20世界陸上競技選手権大会
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2017,2017年バレーボール男子欧州選手権
Wybory prezydenckie w Polsce w 2015 roku,2015年ポーランド大統領選挙
Mistrzostwa Europy U-21 w Piłce Nożnej 2017,UEFA・U-21欧州選手権2017
Linia kolejowa nr 2,2号線・(ポーランド)
Konsulat Generalny Chińskiej Republiki Ludowej w Gdańsku,在グダニスク中華人民共和国総領事館
Polska na Letnich Igrzyskach Olimpijskich 2016,2016年リオデジャネイロオリンピックのポーランド選手団
Warsaw Cup 2014,2014年ワルシャワ杯
Pomnik Wikipedii w Słubicach,ウィキペディアモニュメント
Liga Europejska w piłce siatkowej mężczyzn 2015,2015年バレーボール男子欧州リーグ
Mistrzostwa Europy U-21 w Piłce Nożnej 2017 (eliminacje),UEFA・U-21欧州選手権2017・(予選)
XVII Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,第17回ショパン国際ピアノ・コンクール
Złoty pociąg (legenda),ナチスの黄金列車
Liga Światowa w Piłce Siatkowej 2016,2016年FIVBバレーボール・ワールドリーグ
Reprezentacja Polski U-23 w piłce nożnej mężczyzn,U-23サッカーポーランド代表
Warsaw Cup 2015,2015年ワルシャワ杯
Mistrzostwa Świata U-20 w Piłce Nożnej 2019,2019・FIFA・U-20ワールドカップ
Cracovia (piłka nożna),KSクラコヴィア
"Konferencja Narodów Zjednoczonych w sprawie Zmian Klimatu, Katowice 2018",第24回気候変動枠組条約締約国会議
Mistrzostwa Polski w piłce siatkowej kobiet,ポーランド女子バレーボールリーグ
Swedish Rhapsody (stacja numeryczna),スウェーデン狂詩曲・(乱数放送)
Warsaw Cup 2016,2016年ワルシャワ杯
Polska na Zimowych Igrzyskach Olimpijskich 2018,2018年平昌オリンピックのポーランド選手団
Warsaw Cup 2017,2017年ワルシャワ杯
Stosunki polsko-japońskie,日本とポーランドの関係
XVIII Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,第18回ショパン国際ピアノ・コンクール
Igrzyska Europejskie 2023,2023年ヨーロッパ競技大会
Mistrzostwa Europy w Piłce Siatkowej Kobiet 2019,2019年バレーボール女子欧州選手権
Stosunki polsko-kazachskie,カザフスタンとポーランドの関係
Polska na Zimowych Igrzyskach Olimpijskich 2022,2022年北京オリンピックのポーランド選手団
Kościół Polskokatolicki w Rzeczypospolitej Polskiej,ポーランド・カトリック教会
Extinction Rebellion,エクスティンクション・レベリオン
Buzz (linie lotnicze),ライアンエアー・サン
Mistrzostwa Europy w Gimnastyce Sportowej 2019,2019年ヨーロッパ体操競技選手権
Mistrzostwa Świata w Piłce Siatkowej Kobiet 2022,2022年バレーボール女子世界選手権
Polska na Letnich Igrzyskach Olimpijskich 2020,2020年東京オリンピックのポーランド選手団
Grupa Ładosia,ワドシ・グループ
Warsaw Cup 2019,2019年ワルシャワ杯
Pandemia COVID-19,新型コロナウイルス感染症の世界的流行・(2019年-)
Bukaresztańska Dziewiątka,ブカレスト9
European League of Football,ヨーロピアン・リーグ・オブ・フットボール
Wybory parlamentarne w Polsce w 2023 roku,2023年ポーランド議会選挙
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2021,2021年バレーボール男子欧州選手権
Polska 2050,ポーランド2050
Trolejbusy w Polsce,ポーランドのトロリーバス
Judo na Igrzyskach Europejskich 2023,2023年ヨーロッパ競技大会における柔道競技
Stadler Tango Kraków Lajkonik,ライコニク・(路面電車車両)
Kaplica św. Barbary w Warszawie (Śródmieście),聖バルバラ教会・(ワルシャワ)
Camp Kościuszko (Polska),キャンプ・コシチュシュコ
Katastrofa ekologiczna na Odrze,2022年オーデル川環境災害
Warsaw Cup 2022,2022年ワルシャワ杯
Eksplozja rakiety w Przewodowie,2022年ポーランドでのミサイル爆発
Koalicja KO-PSL-PL2050-NL,10月15日連立
