Angela Merkel,アンゲラ・メルケル
Georg Friedrich Knapp,ゲオルク・フリードリヒ・クナップ
Johann Rantzau,ヨハン・ランツァウ
Christian Gottlieb Ludwig,クリスティアン・ゴットリープ・ルートヴィッヒ
Werner Maser,ヴェルナー・マーザー
Elisabeth von Hohenzollern-Nürnberg,エリーザベト・フォン・ニュルンベルク
Michael Kunze (Librettist),ミヒャエル・クンツェ
Richard Vogt (Ingenieur),リヒャルト・フォークト
Ruth Fischer,ルート・フィッシャー
Karl-Herbert Scheer,カール・ヘルベルト・シェール
Christina Beier,クリスティーナ・バイアー
Heinrich Donatus von Hessen,ハインリヒ・ドナトゥス・フォン・ヘッセン
Wolfgang Huber,ヴォルフガング・フーバー
Alexander von Daniels (General),アレクサンダー・エドラー・フォン・ダニエルス
Isabel Mundry,イザベル・ムンドリー
Julian Scherner,ユリアン・シェルナー
Franz Ningel,フランツ・ニンゲル
Bernhard Waldenfels,ベルンハルト・ヴァルデンフェルス
Helmuth Brückner,ヘルムート・ブリュックナー
Philibert von Baden,フィリベルト・(バーデン＝バーデン辺境伯)
Eckhard Dagge,エックハルト・ダッゲ
Heinrich Schlusnus,ハインリヒ・シュルスヌス
Peter Terting,ペーター・テルティング
Georg Elias Müller,ゲオルク・エリアス・ミュラー
Veronica Ferres,ヴェロニカ・フェレ
Hans-Emil Schuster,ハンス＝エミール・シュスター
Rudolf Schock,ルドルフ・ショック
Anton Graf von Arco auf Valley,アントン・グラーフ・フォン・アルコ・アオフ・ファーライ
Sascha Paeth,サシャ・ピート
Paul Schäfer (Sektengründer),パウル・シェーファー
Kurt Neumann (Regisseur),カート・ニューマン
Bruno Bräuer,ブルーノ・ブロイアー
Helmut Sick,ヘルムート・ジック
Lucas Luhr,ルーカス・ルーア
Ernst Friedrich (Baden-Durlach),エルンスト・フリードリヒ・(バーデン＝ドゥルラハ辺境伯)
Gustav Cohn,グスタフ・コーン
Marco Hofschneider,マルコ・ホーフシュナイダー
Erwin Blumenfeld,アーウィン・ブルーメンフェルド
Hans Kammler,ハンス・カムラー
Isabella von Bayern (1863–1924),イザベラ・フォン・バイエルン
Jens Lehmann (Radsportler),イェンス・レーマン・(自転車選手)
Marie Auguste von Anhalt,マリー・アウグステ・フォン・アンハルト
Sophie von Merenberg,ゾフィー・フォン・メーレンベルク
Elisabeth von Anhalt (1857–1933),エリーザベト・フォン・アンハルト＝デッサウ
Ingrid Noll,イングリート・ノル
Erich I. (Braunschweig-Lüneburg-Calenberg-Göttingen),エーリヒ1世・(ブラウンシュヴァイク＝カレンベルク＝ゲッティンゲン公)
Anna Maria Mühe,アンナ・マリア・ミューエ
Jens Keller,イェンス・ケラー
Franz Joseph von Thurn und Taxis,フランツ・ヨーゼフ・フォン・トゥルン・ウント・タクシス
Johann Peter Uz,ヨハン・ペーター・ウッツ
Johann Ernst II. (Sachsen-Weimar),ヨハン・エルンスト2世・(ザクセン＝ヴァイマル公)
Paul Schöffler,パウル・シェフラー
Elisabeth Renata von Lothringen,エリーザベト・フォン・ロートリンゲン
Ludwig zu Mecklenburg,ルートヴィヒ・ツー・メクレンブルク
Claus Peter Flor,クラウス・ペーター・フロール
Timo Boll,ティモ・ボル
Arthur Nebe,アルトゥール・ネーベ
Klaus Nomi,クラウス・ノミ
Walter Schellenberg (SS-Mitglied),ヴァルター・シェレンベルク
Matthias Erzberger,マティアス・エルツベルガー
Theo Albrecht,テオ・アルブレヒト
Hermann Tilke,ヘルマン・ティルケ
Johannes Heinrich Schultz,ヨハネス・ハインリヒ・シュルツ
Friedrich Paschen (Physiker),フリードリッヒ・パッシェン
Günther Blumentritt (General),ギュンター・ブルーメントリット
Philipp Rösler,フィリップ・レスラー
Fritz Wunderlich,フリッツ・ヴンダーリヒ
Hans Joachim von Zieten,ハンス・ヨアヒム・フォン・ツィーテン
Martin Dibelius,マルティン・ディベリウス
Waldemar Bonsels,ワルデマル・ボンゼルス
Werner Krauß (Schauspieler),ヴェルナー・クラウス
Hans Henny Jahnn,ハンス・ヘニー・ヤーン
Lennart Poettering,レナート・ポッターリング
Rudi Fink,ルディ・フィンク
Heinz Stücke,ハインツ・シュトゥッケ
Gustav Albrecht zu Sayn-Wittgenstein-Berleburg,グスタフ・アルブレヒト・ツー・ザイン＝ヴィトゲンシュタイン＝ベルレブルク
Maren Fromm,マーレン・フロム
Andrea Henkel,アンドレア・ヘンケル
Klaus Badelt,クラウス・バデルト
Otto Georg Thierack,オットー・ゲオルク・ティーラック
Sven Hannawald,スヴェン・ハンナバルト
Ricco Groß,リッコ・グロス
Josef Terboven,ヨーゼフ・テアボーフェン
David Möller,ダビット・メラー
Carl Hilpert,カール・ヒルペルト
Paul Walden,パウル・ヴァルデン
Sylke Otto,ジルケ・オットー
Gustav Simon (Gauleiter),グスタフ・ジーモン
Christine Kaufmann,クリスティーネ・カウフマン
Waldemar von Preußen (1889–1945),ヴァルデマール・フォン・プロイセン・(1889-1945)
Horst Heldt,ホルスト・ヘルト
Bettina Bunge,ベッティーナ・バンジ
Maxi Herber,マキシ・ヘルバー
Peter van Eyck,ペーター・ファン・アイク
Andrea Sawatzki,アンドレア・サバスキ
Wilhelm von Hohenzollern,ヴィルヘルム・フォン・ホーエンツォレルン＝ジグマリンゲン
Ingo Metzmacher,インゴ・メッツマッハー
Bernhard Krüger (SS-Mitglied),ベルンハルト・クリューガー
Ferdinand von Schirach,フェルディナント・フォン・シーラッハ
Zacharias Wagner,ツァハリアス・ヴァグナー
Hermann Henselmann,ヘルマン・ヘンセルマン
Bertha Krupp von Bohlen und Halbach,ベルタ・クルップ
Guido Fulst,ギド・フルスト
Erich IV. (Sachsen-Lauenburg),エーリヒ4世・(ザクセン＝ラウエンブルク公)
Herman Nohl,ヘルマン・ノール
Georg Andreas Gabler,ゲオルク・アンドレアス・ガプラー
Georg Zundel,ゲオルグ・ズンデル
Hermann Friedrich Wilhelm Hinrichs,ヘルマン・フリードリヒ・ヒンリヒス
Hans Hotter,ハンス・ホッター
Patriz Ilg,パトリツ・イルク
Peter van Pels,ペーター・ファン・ペルス
Alfred Wünnenberg,アルフレート・ヴェンネンベルク
Sibylle von Jülich-Kleve-Berg (1512–1554),ジビュレ・フォン・ユーリヒ＝クレーフェ＝ベルク
Björn Andrae,ビョルン・アンドレ
Marcus Popp,マルクス・ポップ
Friedrich I. (Pfalz-Simmern),フリードリヒ1世・(プファルツ＝ジンメルン公)
Norbert Blüm,ノルベルト・ブリューム
Konrad von Megenberg,コンラート・フォン・メゲンベルク
Luise von Brandenburg-Schwedt,ルイーゼ・フォン・ブランデンブルク＝シュヴェート
Hermann Kemper,ヘルマン・ケンペル
Dietrich von Landsberg,ディートリヒ・(ランツベルク辺境伯)
Marianne Werner,マリアンネ・ヴェルナー
Karl II. Otto (Pfalz-Zweibrücken-Birkenfeld),カール2世オットー・(プファルツ＝ツヴァイブリュッケン＝ビルケンフェルト公)
Christian Ludwig (Braunschweig-Lüneburg),クリスティアン・ルートヴィヒ・(ブラウンシュヴァイク＝リューネブルク公)
Dieter Laser,ディーター・ラーザー
Johann Thölde,ヨハン・テルデ
Sabine Schmitz,サビーネ・シュミッツ
Florian Henckel von Donnersmarck,フロリアン・ヘンケル・フォン・ドナースマルク
Annette Schavan,アンネッテ・シャーヴァン
Josef Harpe,ヨーゼフ・ハルペ
Friedrich Franz IV. (Mecklenburg),フリードリヒ・フランツ4世・(メクレンブルク＝シュヴェリーン大公)
Fritz London,フリッツ・ロンドン
Stephan III. (Bayern),シュテファン3世・(バイエルン公)
Ernst (Bayern),エルンスト・(バイエルン公)
Otto VII. (Meranien),オットー1世・(メラーン公)
Alex Hofmann (Rennfahrer),アレックス・ホフマン
Heinrich von Vietinghoff,ハインリヒ・フォン・フィーティングホフ
Ilona Slupianek,イローナ・スルピアネク
Sylvia Hanika,シルビア・ハニカ
Johannes Pfefferkorn,ヨハンネス・プフェファーコルン
Curt Bois,クルト・ボウワ
Paul Hermann (Mediziner),パウル・ヘルマン
Konrad von Bayern (1883–1969),コンラート・フォン・バイエルン
Erich Zeigner,エーリヒ・ツァイグナー
Friedelind Wagner,フリーデリント・ワーグナー
Bill Brandt,ビル・ブラント
Stephan II. (Bayern),シュテファン2世・(バイエルン公)
Kamil Glik,カミル・グリク
Sebastian Koch,セバスチャン・コッホ
Nikolaus von Amsdorf,ニコラウス・フォン・アムスドルフ
Kunigunde von Staufen,クニグンデ・フォン・ホーエンシュタウフェン
Hans Conzelmann (Theologe),ハンス・コンツェルマン
Fritz Rieger,フリッツ・リーガー
Jochen Schöps,ヨッヘン・ショップス
Horst Sindermann,ホルスト・ジンダーマン
Ralf Rangnick,ラルフ・ラングニック
Annegret Richter,アンネグレート・リヒター
Karl Wolff (SS-Mitglied),カール・ヴォルフ
Jennifer Oeser,イェニファー・エーザー
Rolf Stommelen,ロルフ・シュトメレン
Bruno Streckenbach,ブルーノ・シュトレッケンバッハ
Rudolf Kempe,ルドルフ・ケンペ
Heide Ecker-Rosendahl,ハイデ・ローゼンダール
Mario Theissen,マリオ・タイセン
Otto Witte (Schausteller),オットー・ヴィッテ
Erik Spiekermann,エリック・シュピーカーマン
Thilo Sarrazin,ティロ・ザラツィン
Günther Oettinger,ギュンター・エッティンガー
Manfred Rommel,マンフレート・ロンメル
Jan Ullrich,ヤン・ウルリッヒ
Robert Heger,ロベルト・ヘーガー
Rudolf Moralt,ルドルフ・モラルト
Victor Hensen,ヴィクトル・ヘンゼン
Konrad I. (Nürnberg),コンラート1世・(ニュルンベルク城伯)
Mandy Wötzel,マンディ・ベッツェル
Rudolf II. (Pfalz),ルドルフ2世・(ライン宮中伯)
Michael Krumm,ミハエル・クルム
Erich Bärenfänger,エーリッヒ・ベーレンフェンガー
Dennis Siver,デニス・シヴァー
Friedrich IV. (Zollern),フリードリヒ2世・(ニュルンベルク城伯)
Marc Lieb,マルク・リープ
Thomas Bach,トーマス・バッハ
Christian Kum,クリスティアン・クム
Peter Schreier,ペーター・シュライアー
Reinhard Gehlen,ラインハルト・ゲーレン
Willi Hennig,ヴィリー・ヘニッヒ
Ludwig VI. (Pfalz),ルートヴィヒ6世・(プファルツ選帝侯)
Wilhelm Karl von Urach,ミンダウガス2世
Otto Carius,オットー・カリウス
Leo Geyr von Schweppenburg,レオ・ガイヤー・フォン・シュヴェッペンブルク
Wilhelm Stuckart,ヴィルヘルム・シュトゥッカート
Gerhard Schmidhuber,ゲルハルト・シュミートフーバー
Rudi Gutendorf,ルディ・グーテンドルフ
"Elisabeth von Dänemark, Norwegen und Schweden",エリサベト・ア・ダンマーク・(1485-1555)
Leonhard Rauwolf,レオンハルト・ラウヴォルフ
Cornelia Funke,コルネーリア・フンケ
Gottfried zu Hohenlohe-Langenburg,ゴットフリート・ツー・ホーエンローエ＝ランゲンブルク
Maximilian Karl von Thurn und Taxis,マクシミリアン・カール・フォン・トゥルン・ウント・タクシス
Otto Brunfels,オットー・ブルンフェルス
Guido Knopp,グイド・クノップ
Eduard Sievers,エドゥアルト・ジーファース
Hans-Georg Aschenbach,ハンス＝ゲオルク・アッシェンバッハ
Edith Picht-Axenfeld,エディット・ピヒト＝アクセンフェルト
Lotte Jacobi,ロッテ・ヤコビ
Wilhelm René de l’Homme de Courbière,ヴィルヘルム・ルネ・ド・ロム・ド・クービエール
Sandra Hüller,ザンドラ・ヒュラー
Elisabeth Helene von Thurn und Taxis,エリーザベト・ヘレーネ・フォン・トゥルン・ウント・タクシス
Friedrich Delitzsch,フリードリヒ・デーリッチュ
Maria Kliegel,マリア・クリーゲル
Marvin Plattenhardt,マルヴィン・プラッテンハルト
Caspar Schamberger,カスパル・シャムベルゲル
Menahem Pressler,メナヘム・プレスラー
Erich II. (Sachsen-Lauenburg),エーリヒ2世・(ザクセン＝ラウエンブルク公)
Christian Ludwig Herzog zu Mecklenburg,クリスティアン・ルートヴィヒ・ツー・メクレンブルク
Andreas Staier,アンドレアス・シュタイアー
Nikolaus von Vormann,ニコラウス・フォン・フォルマン
Else Lasker-Schüler,エルゼ・ラスカー＝シューラー
Anton Schwarzkopf,アントン・シュワルツコフ
Siegfried Palm,ジークフリート・パルム
Jacob Christian Schäffer,ヤーコブ・クリスティアン・シェーファー
Carl Severing,カール・ゼーフェリンク
Robert Spaemann,ローベルト・シュペーマン
Stefan Lindemann (Eiskunstläufer),シュテファン・リンデマン
Walther Müller (Physiker),ヴァルター・ミュラー
Frida Leider,フリーダ・ライダー
Ernst (Baden-Durlach),エルンスト・(バーデン＝ドゥルラハ辺境伯)
Georg Wilhelm (Pfalz-Zweibrücken-Birkenfeld),ゲオルク・ヴィルヘルム・(プファルツ＝ツヴァイブリュッケン＝ビルケンフェルト公)
Hans Jacob Reissner,ハンス・ライスナー
Wilhelm Bousset,ウィルヘルム・ブセット
Johannes von Thurn und Taxis,ヨハネス・フォン・トゥルン・ウント・タクシス
Hermann Prieß,ヘルマン・プリース
Maria Schrader,マリア・シュラーダー
Johann II. (Bayern),ヨハン2世・(バイエルン公)
Moritz von Hessen,モーリッツ・フォン・ヘッセン
Katarina Witt,カタリナ・ヴィット
Dimitrij Ovtcharov,ドミトリ・オフチャロフ
Florian Gallenberger,フローリアン・ガレンベルガー
Feodora von Sachsen-Meiningen (1890–1972),フェオドラ・フォン・ザクセン＝マイニンゲン・(1890-1972)
Karl I. (Pfalz-Zweibrücken-Birkenfeld),カール1世・(プファルツ＝ツヴァイブリュッケン＝ビルケンフェルト公)
Friedrich von Hohenzollern,フリードリヒ・フォン・ホーエンツォレルン＝ジグマリンゲン
Heinrich Müller (Gestapo),ハインリヒ・ミュラー
Wilhelm von Lüneburg,ヴィルヘルム・(リューネブルク公)
Otto II. (Schwaben),オットー2世・(シュヴァーベン大公)
Rudi Glöckner,ルディ・グレックナー
Albrecht Graf von Goertz,アルブレヒト・フォン・ゲルツ
Paul Giesler,パウル・ギースラー
Walter Giller,ワルター・ギラー
Josef Stübben,ヨーゼフ・スチューベン
Günter Schlierkamp,グンター・シュリエルカンプ
Marco Minnemann,マルコ・ミンネマン
Ruth Leuwerik,ルート・ロイヴェリク
Alexander Schalck-Golodkowski,アレクサンダー・シャルク＝ゴロトコフスキ
Heinrich V. (Luxemburg),ハインリヒ5世・(ルクセンブルク伯)
Karl-Otto Alberty,カール＝オットー・アルベルティ
Ingrid Caven,イングリット・カーフェン
Karl Friedrich Küstner,フリードリッヒ・キュストナー
Ernst Zinner,エルンスト・ツィナー
Ilse Koch,イルゼ・コッホ
Christoph von Dohnányi,クリストフ・フォン・ドホナーニ
Wilhelm Ernst (Sachsen-Weimar-Eisenach),ヴィルヘルム・エルンスト・(ザクセン＝ヴァイマル＝アイゼナハ大公)
Johann Salomo Semler,ヨーハン・ゼムラー
Alexander Lippisch,アレクサンダー・リピッシュ
Anton Dostler,アントン・ドストラー
Robert Gernhardt,ローベルト・ゲルンハルト
Joachim Kroll,ヨアヒム・クロル
Gabriella Brum,ガブリエラ・ブルーム
Otto Schott,フリードリッヒ・オットー・ショット
André Schürrle,アンドレ・シュールレ
Daniel Brühl,ダニエル・ブリュール
Ernst Röhm,エルンスト・レーム
Paul Heinrich von Groth,ポール・ハインリッヒ・フォン・グロート
Moritz Bleibtreu,モーリッツ・ブライプトロイ
Guido Westerwelle,ギド・ヴェスターヴェレ
Erik H. Erikson,エリク・H・エリクソン
Ernst August von Hannover (1954),エルンスト・アウグスト・フォン・ハノーファー・(1954-)
David Kross,ダフィット・クロス
Claudia Leistner,クラウディア・ライストナー
Adolf (Pfalz),アドルフ・(ライン宮中伯)
Tanja Szewczenko,タニヤ・シェフチェンコ
Hermann Graedener (Komponist),ヘルマン・グレーデナー・(作曲家)
Otmar von Verschuer,オトマー・フライヘル・フォン・フェアシューアー
Siegfried Handloser,ジークフリート・ハントローザー
Hans von Dohnanyi,ハンス・フォン・ドホナーニ
Theodor Nöldeke,テオドール・ネルデケ
August Conrady,アウグスト・コンラーディ・(中国学者)
Jakob Adlung,ヤーコプ・アードルング
Toni Mang,アントン・マンク
Friedrich Wilhelm Kettler,フリードリヒ・ヴィルヘルム・ケトラー
Hans Hermann von Katte,ハンス・ヘルマン・フォン・カッテ
Andreas Bauer (Skispringer),アンドレアス・バウアー
Ernst Günther von Schleswig-Holstein-Sonderburg-Augustenburg,エルンスト・ギュンター・フォン・シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝アウグステンブルク
Joachim Mrugowsky,ヨアヒム・ムルゴウスキー
Alexander Hacke,アレクサンダー・ハッケ
Kirsten Bolm,キルステン・ボルム
Franz Konwitschny,フランツ・コンヴィチュニー
Juliane Köhler (Schauspielerin),ユリアーネ・ケーラー
Robert Schwentke,ロベルト・シュヴェンケ
Bernhard Goetzke,ベルンハルト・ゲッケ
Raphael Holzdeppe,ラファエル・ホルツデッペ
Brigitte Fassbaender,ブリギッテ・ファスベンダー
Dorothea von Anhalt-Zerbst,ドロテア・フォン・アンハルト＝ツェルプスト
Thomas Pogge,トマス・ポッゲ
Ludwig Suthaus,ルートヴィヒ・ズートハウス
Wilhelm (Baden-Baden),ヴィルヘルム・(バーデン＝バーデン辺境伯)
Guenter Wendt,ギュンター・ウェント
Erhard Raus,エアハルト・ラウス
Elena Gerhardt,エレナ・ゲルハルト
Richard Heidrich,リヒャルト・ハイドリヒ
Matthias Goerne,マティアス・ゲルネ
Steffi Nerius,シュテフィ・ネリウス
Julius Schreck,ユリウス・シュレック
André Gunder Frank,アンドレ・グンダー・フランク
Dirk Niebel,ディルク・ニーベル
Arthur Drews (Philosoph),アルトゥール・ドレフス
Ulli Lommel,ウリ・ロンメル
Johannes Popitz,ヨハネス・ポーピッツ
August Heißmeyer,アウグスト・ハイスマイヤー
Robert Ley,ロベルト・ライ
Hugo Sperrle,フーゴ・シュペルレ
Max Rudolf (Dirigent),マックス・ルドルフ
Ernst Boris Chain,エルンスト・ボリス・チェーン
Ernst Hanfstaengl,エルンスト・ハンフシュテングル
Ludwig IV. (Thüringen),ルートヴィヒ4世・(テューリンゲン方伯)
Konrad von Marburg,コンラート・フォン・マールブルク
Frieda Fromm-Reichmann,フリーダ・フロム＝ライヒマン
Wilhelm Plüschow,ヴィルヘルム・プリュショー
Peter Stump,ペーター・シュトゥンプ
Lothar Koch (Oboist),ローター・コッホ
Magnus I. (Mecklenburg),マグヌス1世・(メクレンブルク公)
Maximilian de Angelis,マクシミリアン・デ・アンゲリス
Ilse Steppat,イルゼ・ステパット
Franz Xaver von Sachsen,フランツ・クサーヴァー・フォン・ザクセン
Jutta zu Mecklenburg-Strelitz,ユッタ・フォン・メクレンブルク＝シュトレーリッツ
Philipp (Schleswig-Holstein-Gottorf),フィーリプ・(シュレースヴィヒ＝ホルシュタイン＝ゴットルプ公)
Jutta Bauer,ユッタ・バウアー
Georg Heinrich von Görtz,ゲオルク・ハインリヒ・フォン・ゲルツ
Jörg Zander,ヨルグ・ザンダー
Stephan Letter,ステファン・レッテル
Martin Keller,マルティン・ケラー
Karl Simrock,カール・ヨーゼフ・ジムロック
Albrecht VI. (Mecklenburg),アルブレヒト6世・(メクレンブルク公)
Peter Armbruster,ペーター・アルムブルスター
Marlene Schmidt,マルレーネ・シュミット
Gerhard Ritter,ゲルハルト・リッター・(1888年生)
Arthur Rudolph,アルトゥール・ルドルフ
Johann Georg Palitzsch,ヨハン・ゲオルク・パリッチュ
Louis Ferdinand Prinz von Preußen (1944–1977),ルイ・フェルディナント・フォン・プロイセン・(1944-1977)
Max Streibl,マックス・シュトライブル
Hans Fritzsche,ハンス・フリッチェ
Franz Müntefering,フランツ・ミュンテフェーリング
Hans Georg Dehmelt,ハンス・デーメルト
Gerd von Rundstedt,ゲルト・フォン・ルントシュテット
Karl Gero von Urach,カール・ゲロ・(ウラッハ公)
Karl Gebhardt,カール・ゲープハルト
Hans Jürgen Eysenck,ハンス・アイゼンク
Fedor von Bock,フェードア・フォン・ボック
Herbert Quandt,ヘルベルト・クヴァント
Hugo Borchardt,ヒューゴ・ボーチャード
Michael Ande,ミハエル・アンデ
Hanns Martin Schleyer,ハンス＝マルティン・シュライヤー
Dedê,レオナルド・デ・デウス・サントス
Erdoğan Atalay,エルドゥアン・アタライ
Gabriel Heinze,ガブリエル・エインセ
Sarah Connor,サラ・コナー
Peter Gay,ピーター・ゲイ
Arne Friedrich,アルネ・フリードリヒ
Sibel Kekilli,シベル・ケキリ
Helmut Griem,ヘルムート・グリーム
Theodor Eustach (Pfalz-Sulzbach),テオドール・オイスタッハ・(プファルツ＝ズルツバッハ公)
Ole Bischof,オーレ・ビショフ
Grit Breuer,グリット・ブロイアー
Walter Model,ヴァルター・モーデル
Gerd Siegmund,ゲルト・ジークムント
Maximilian Levy,マキシミリアン・レヴィ
Magdalena Wilhelmine von Württemberg,マグダレーナ・ヴィルヘルミーネ・フォン・ヴュルテンベルク
Friedrich Ulrich (Braunschweig-Wolfenbüttel),フリードリヒ・ウルリヒ・(ブラウンシュヴァイク＝ヴォルフェンビュッテル公)
Hermann von Stein,ヘルマン・フォン・ステイン
Ludwig IV. (Pfalz),ルートヴィヒ4世・(プファルツ選帝侯)
Elly Ney,エリー・ナイ
Johann IV. (Mecklenburg),ヨハン4世・(メクレンブルク公)
Götz Werner,ゲッツ・ヴェルナー
Walther Reinhardt,ヴァルター・ラインハルト
Franz Beyer (Musiker),フランツ・バイヤー
Inge Helten,インゲ・ヘルテン
Hermann Baumann (Hornist),ヘルマン・バウマン
Marcus Hahnemann,マーカス・ハーネマン
Theo Jörgensmann,テオ・ユルゲンスマン
Wolfgang von Hessen,ヴォルフガング・フォン・ヘッセン
Anna Schäffer,アンナ・シェーファー
Ernst Ulrich von Weizsäcker,エルンスト・ウルリヒ・フォン・ヴァイツゼッカー
Athanasius Schneider,アタナシウス・シュナイダー
Albrecht V. (Mecklenburg),アルブレヒト5世・(メクレンブルク公)
Peter-Erich Cremer,ペーター＝エーリヒ・クレーマー
Heinz Guderian,ハインツ・グデーリアン
Robert Ochsenfeld,ローベルト・オクセンフェルト
Otto Braun,オットー・ブラウン
Max August Zorn,マックス・ツォルン
Hans-Joachim Stuck,ハンス＝ヨアヒム・スタック
Robert Förster,ローベルト・フェルスター
Oskar Dirlewanger,オスカール・ディルレヴァンガー
Günther Rall,ギュンター・ラル
Lutz Heßlich,ルッツ・ヘスリッヒ
Johann Leopold von Sachsen-Coburg und Gotha,ヨハン・レオポルト・フォン・ザクセン＝コーブルク・ウント・ゴータ
Ernst II. zu Hohenlohe-Langenburg,エルンスト2世・ツー・ホーエンローエ＝ランゲンブルク
Mike Rockenfeller,マイク・ロッケンフェラー
Ulrich Matthes,ウルリッヒ・マテス
Elly Beinhorn,エリー・バインホルン
Joseph Karl von Pfalz-Sulzbach,ヨーゼフ・カール・フォン・プファルツ＝ズルツバッハ
Paul Rostock,パウル・ロストック
Josef Priller (Jagdflieger),ヨーゼフ・プリラー
Wilhelm Ritter von Leeb,ヴィルヘルム・フォン・レープ
Per Mertesacker,ペア・メルテザッカー
Robin Szolkowy,ロビン・ゾルコーヴィ
Anni Friesinger-Postma,アンニ・フリージンガー
Günther Schumacher,ギュンター・シューマッハー
Hartwig Gauder,ハートヴィッヒ・ガウダー
Margaretha von Staufen,マルガレータ・フォン・シュタウフェン
Klaus Naumann (General),クラウス・ナウマン
Eva Wagner-Pasquier,エファ・ワーグナー・パスキエ
Jürgen Sparwasser,ユルゲン・シュパールヴァッサー
Erich Kempka,エーリヒ・ケンプカ
August Wilhelm von Preußen (1887–1949),アウグスト・ヴィルヘルム・フォン・プロイセン・(1887-1949)
Julius Schaub,ユリウス・シャウブ
Wolfgang Borchert,ヴォルフガング・ボルヒェルト
Joachim Winkelhock,ヨアヒム・ヴィンケルホック
Heinz Linge,ハインツ・リンゲ
Serdar Taşçı,ザーダール・タスキ
André Hennicke,アンドレ・ヘンニッケ
Karl Kling (Rennfahrer),カール・クリング
Irma Grese,イルマ・グレーゼ
Hanna Schwarz,ハンナ・シュヴァルツ
Johann Adolf II. (Sachsen-Weißenfels),ヨハン・アドルフ2世・(ザクセン＝ヴァイセンフェルス公)
Markus Bott,マルクス・ボット
Babett Peter,バベット・ペーター
Wilhelm Filchner,ヴィルヘルム・フィルヒナー
Arthur Scherbius,アルトゥール・シェルビウス
Alfred Dompert,アルフレート・ドンペルト
Heiko Hunger,ハイコ・フンガー
Werner Haas,ヴェルナー・ハース・(ライダー)
Christian Abt,クリスチャン・アプト
Herbert Runge,ヘルベルト・ルンゲ
Christian Hülsmeyer,クリスティアン・ヒュルスマイヤー
Karl-Otto Apel,カール＝オットー・アーペル
Gustav von Kahr,グスタフ・フォン・カール
Wolfgang Kapp,ヴォルフガング・カップ
Jens Voigt,イェンス・フォイクト
Wolfgang (Pfalz-Zweibrücken),ヴォルフガング・(プファルツ＝ツヴァイブリュッケン公)
Johann Beringer,ヨハン・ベリンガー
Georg I. (Waldeck-Pyrmont),ゲオルク1世・(ヴァルデック侯)
Petra Rossner,ペトラ・ロスナー
Willy Ley,ウィリー・レイ・(作家)
Ruprecht I. (Pfalz),ループレヒト1世・(プファルツ選帝侯)
Johann Ernst (Sachsen-Saalfeld),ヨハン・エルンスト・(ザクセン＝コーブルク＝ザールフェルト公)
Anna Maria von Pfalz-Neuburg,アンナ・マリア・フォン・プファルツ＝ノイブルク
Emil Ludwig,エーミール・ルートヴィヒ
Claudia Nystad,クラウディア・ニスタット
Serge Gnabry,セルジュ・ニャブリ
Dieter Braun (Rennfahrer),ディーター・ブラウン
Friedrich Ludwig (Schleswig-Holstein-Sonderburg-Beck),フリードリヒ・ルートヴィヒ・(シュレースヴィヒ＝ホルシュタイン＝ゾンダーブルク＝ベック公)
Friedrich-Wilhelm Müller,フリードリッヒ＝ヴィルヘルム・ミュラー
Smilo von Lüttwitz,スミロ・フォン・リュトヴィッツ
Wilhelm Heye,ヴィルヘルム・ハイエ
Sebastian Fitzek,セバスチャン・フィツェック
August Lösch,アウグスト・レッシュ
Helene zu Mecklenburg-Strelitz,ヘレーネ・ツー・メクレンブルク・(1857-1936)
Ruprecht von der Pfalz (Freising),ループレヒト・フォン・デア・プファルツ
Eugen Leviné,オイゲン・レヴィーネ
Paul Singer (Politiker),パウル・ジンガー
Daniel Richter,ダニエル・リヒター
Stefan Hübner,シュテファン・ヒュブナー
Friedrich Karl Ferdinand (Braunschweig-Wolfenbüttel-Bevern),フリードリヒ・カール・フェルディナント・(ブラウンシュヴァイク＝ヴォルフェンビュッテル＝ベーヴェルン公)
Ernst Jacobi,エルンスト・ヤコビ
Steve Jenkner,スティーブ・イェンクナー
Franz Josef Huber (SS-Mitglied),フランツ・ヨーゼフ・フーバー
Karl Fiehler,カール・フィーラー
Theodor Hoffmann (Admiral),テオドール・ホフマン・(軍人)
Johann Georg von Hohenzollern,ヨハン・ゲオルク・フォン・ホーエンツォレルン＝ジグマリンゲン
Mike Frantz,マイク・フランツ
Otto Fürst von Bismarck,オットー・フォン・ビスマルク・(1897-1975)
Sebastian Polter,セバスティアン・ポルター
Dedo I. (Lausitz),デド1世・(ラウジッツ辺境伯)
Axel Schulz (Boxer),アクセル・シュルツ
Ludwig Heilmann,ルートヴィッヒ・ハイルマン
Jan Sosniok,ヤン・ソスニオク
Rolf Carls,ロルフ・カールス
Gustav Adolf Scheel,グスタフ・アドルフ・シェール
"Hans Vogel (Politiker, 1881)",ハンス・フォーゲル
Rudolf Witzig,ルドルフ・ヴィッツィヒ
Hannah Arendt,ハンナ・アーレント
Karl von Amira,カール・フォン・アーミラ
Charlotte Auerbach,シャーロット・アワーバック
Johannes Mühlenkamp,ヨハネス・ミューレンカンプ
Karl-Lothar Schulz,カール＝ロタール・シュルツ
Ludwig II. (Thüringen),ルートヴィヒ2世・(テューリンゲン方伯)
