Diego Velázquez,ディエゴ・ベラスケス
Pedro Contreras,ペドロ・コントレラス
Pablo Lastras,パブロ・ラストラス
Marc Rich,マーク・リッチ
Elvira Lindo,エルビラ・リンド
Joseba Sarrionandia,ホセバ・サリオナンディア
Maria del Mar Bonet,マリア・デル・マール・ボネット
Lara Arruabarrena,ララ・アルアバレナ
Margarita de Borbón,マルガリータ・デ・ボルボン・イ・ボルボン＝ドス・シシリアス
Leonor Álvarez de Toledo y Osorio,エレオノーラ・ディ・トレド
Agila II,アギラ2世
Ildefonso Cerdá,イルデフォンソ・セルダ
Araceli Segarra,アラセリ・セガーラ
Bartolomé García de Nodal,バルトロメ・ガルシア・デ・ノダル
Javier Echevarría Rodríguez,ハビエル・エチェバリーア・ロドリゲス
Luis Egidio Meléndez,ルイス・メレンデス
George Santayana,ジョージ・サンタヤーナ
Luisa Carlota de Borbón-Dos Sicilias,ルイサ・カルロッタ・デ・ボルボーン＝ドス・シシリアス
Juan Manuel Rodríguez Parrondo,ファン・パロンド
Rafael Frühbeck de Burgos,ラファエル・フリューベック・デ・ブルゴス
Juan Marrero Pérez,フアン・イラリオ・マレーロ・ペレス
Fernando Ocáriz Braña,フェルナンド・オカリス・ブラーニャ
Chester Himes,チェスター・ハイムズ
Agustín García-Gasco,アグスティン・ガルシア＝ガスコ・ビセンテ
Agustín Ibarrola,アグスティン・イバロラ
Piru Gainza,アグスティン・ガインサ
Agustín Fernando Muñoz y Sánchez,アグスティン・フェルナンド・ムニョス
Jordi Arrese,ホルディ・アレッセ
Sebastián Iradier,セバスティアン・イラディエル
Iván Gutiérrez,ホセ・イバン・グティエレス
Agustín de Betancourt,アグスティン・デ・ベタンクル
Agustín Tamames,アグスティン・タマメス
Agustín Muñoz Grandes,アグスティン・ムニョス・グランデス
Francisco Antolínez y Sarabia,フランシスコ・アントリネス
Aldo Sambrell,アルド・サンブレル
Marcelino Elena,マルセリーノ・エレナ
Dani Sotres,ダニエル・ソトレス
José Antonio García Calvo,ガルシア・カルボ
Tino Zaballa,コンスタンティノ・サバリャ
Alberto Ormaetxea,アルベルト・オルマエチェア
Sanmao (escritora),三毛
Pedro Horrillo,ペドロ・オリリョ
Dolores Ibárruri,ドロレス・イバルリ
Zacarías González Velázquez,ザカリアス・ゴンサレス・ベラスケス
José Vicente Train,ホセ・ビセンテ・トライン
Marcial Pina,マルシアル・ピナ
Casimiro Gómez Ortega,カシミーロ・ゴメス・オルテガ
Emilio Pujol,エミリオ・プジョル
Silvia Soler,シルビア・ソレール・エスピノサ
María Luisa Fernanda de Borbón,ルイサ・フェルナンダ・デ・ボルボーン
Eulalia de Borbón,エウラリア・デ・ボルボーン
Isabel de Borbón y Borbón,イサベル・フランシスカ・デ・ボルボン
Sabino Barinaga,サビノ・バリナガ
Joan Pujol,フアン・プホル・ガルシア
Pilar de Borbón,ピラール・デ・ボルボン・イ・ボルボン＝ドス・シシリアス
Aitor López Rekarte,アイトール・ロペス・レカルテ
Aitor González,アイトール・ゴンサレス
Aitor Larrazabal,アイトール・ララサバル
Joel González,ジョエル・ゴンサレス
Aitor Ocio,アイトール・オシオ・カリオン
Gerónimo de Aguilar,ヘロニモ・デ・アギラール
Rubén Pérez del Mármol,ルベン・ペレス
Baltasar Carlos de Austria,バルタサール・カルロス・デ・アウストリア
Xavier Florencio,シャビエル・フロレンシオ
Ángel Dealbert,アンヘル・デアルベルト
Roberto Gerhard,ロベルト・ジェラール
Narciso Monturiol,ナルシス・ムントリオル
Luisa Francisca de Guzmán,ルイサ・デ・グスマン
Carmen Amaya,カルメン・アマヤ
Glory Alozie,グローリー・アロジー
Elena Anaya,エレナ・アナヤ
Pablo Álvarez Núñez,パブロ・アルバレス・ヌニェス
Jorge Lorenzo,ホルヘ・ロレンソ
José Antonio Zaldúa,ホセ・アントニオ・サルドゥア
Jesús Gil,ヘスス・ヒル
Rafael Marañón,ラファエル・カルロス・ペレス・ゴンサレス
Aitor Tornavaca,アイトール・トルナバカ・フェルナンデス
Estanislao Figueras,エスタニスラオ・フィゲラス
José Luis Rubiera,ホセ・ルイス・ルビエラ
Sergio Escudero Palomo,セルヒオ・エスクデロ・パロモ
Martín Enríquez de Almansa,マルティン・エンリケス・デ・アルマンサ
Lorenzo Serra Ferrer,ロレンソ・セラ・フェレール
Manolo Sánchez Delgado,マノロ・サンチェス
David Trueba,ダビド・トルエバ
Chris Marquette,クリス・マークエット
Rafael Altamira,ラファエル・アルタミラ・イ・クレベア
Lucas Ordóñez,ルーカス・オルドネス
José Eulogio Gárate,ホセ・エウロヒオ・ガラテ
Javito,フランシスコ・ハビエル・ペラル
Arturo Soria,アルトゥーロ・ソリア・イ・マータ
Ferran Olivella,フェラン・オリベジャ
Santiago de Liniers,サンティアゴ・デ・リニエルス
Lola Flores,ロラ・フローレス
María Valverde,マリア・バルベルデ
Irene de Grecia,イリニ・(ギリシャ王女)
María de la Paz de Borbón,マリア・デ・ラ・パス・デ・ボルボーン
Gaspar Cassadó,ガスパール・カサド
Emilio Sánchez (tenista),エミリオ・サンチェス
Juan José Nogués,フアン・ホセ・ノゲス
José Gutiérrez-Solana,ホセ・グティエレス・ソラーナ
Martín Rico,マルティン・リコ
Francisco Pradilla,フランシスコ・プラディーリャ・オルティス
Leonardo Torres Quevedo,レオナルド・トーレス・ケベード
Josep Maria Fusté,ジョゼップ・マリア・フステ
José Manuel Abascal,ホセ・マヌエル・アバスカル
Francisco de Ulloa,フランシスコ・デ・ウジョア
Bernardo Ruiz,ベルナルド・ルイス
Alberto Puig,アルベルト・プーチ
Manel Estiarte,マヌエル・エスティアルテ
Juan de Roelas,フアン・デ・ロエラス
Juan Antonio Ipiña,フアン・アントニオ・イピーニャ
Uxue Barkos,ウシュエ・バルコス
Jon Kortajarena,ジョン・コルタジャレナ
Iñigo Díaz de Cerio,イニゴ・ディアス・デ・セリオ
Guillermo Gorostiza,ギジェルモ・ゴロスティサ
María Isabel de Orleans,マリー＝イザベル・ドルレアン
Antonio Machado,アントニオ・マチャード
Catalanes,カタルーニャ人
Nicolás Almagro,ニコラス・アルマグロ
Jordi Sabatés,ジョルディ・サバテス
Íñigo Idiakez,イニゴ・イディアケス
Víctor Claver,ビクトル・クラベール
Fran Yeste,フランシスコ・ジェステ
Isaac Gálvez,イサーク・ガルベス
Ricardo Viñes,リカルド・ビニェス
Carlos Busquets,カルレス・ブスケツ
Gervasio Deferr,ヘルバシオ・デフェル
Domingo Cisma,ドミンゴ・シスマ
Miguel Tendillo,ミゲル・テンディーリョ
Jesús Huerta de Soto,ヘスース・ウエルタ・デ・ソト
Ángel Cuéllar,アンヘル・クエジャル
Marianín,マリアニン
Martin Droeswoode,マーティン・ドルーシャウト
Florentino Pérez,フロレンティーノ・ペレス
Denís Chéryshev,デニス・チェリシェフ
Suso (futbolista),ヘスス・フェルナンデス・サエス
José María Olazábal,ホセ・マリア・オラサバル
José de Iturrigaray,ホセ・デ・イトゥリガライ
Josefa Menéndez,ホセファ・メネンデス
Igor Gabilondo,イゴール・ガビロンド
Patricia Urquiola,パトリシア・ウルキオラ
Ana Pastor Julián,アナ・パストール・フリアン
Rita Barberá,リタ・バルベラ
José Iraragorri,ホセ・イララゴーリ
José Rodríguez Martínez,ホセ・ロドリゲス・マルティネス
Wally Szczerbiak,ウォーリー・ザービアック
Mariano Martín,マリアーノ・マルティン
Joan Segarra,ジョアン・セガーラ
Jonathan Urretaviscaya,ホナタン・ウレタビスカヤ
Javi Moreno,ハビ・モレノ
Alejandro Farnesio (1635-1689),アレッサンドロ・ファルネーゼ・(1635-1689)
Juanma Ortiz,フアン・マヌエル・オルティス
Víctor Erice,ビクトル・エリセ
Morten Skoubo,モルテン・スコウボ
Marcos García Barreno,マルコス・ガルシア
Javier Casquero,ハビエル・カスケーロ
Víctor Cabedo,ビクトル・カベド
Eduardo Arroyo,エドゥアルド・アロヨ
Ruperto Chapí,ルペルト・チャピ
Juan Jesús Gutiérrez Cuevas,フアン・ヘスス・グティエレス・クエバス
Enrique de Lucas,エンリケ・デ・ルーカス
Juanito Oiarzabal,フアニート・オヤルサバル
Nicolás del Campo,ニコラス・デル・カンポ
Luis Alberto Romero Alconchel,ルイス・アルベルト
José Enrique Sánchez,ホセ・エンリケ
Indalecio Prieto,インダレシオ・プリエト
Princessa,プリンセッサ
Montserrat Grases,モンツェ・グラセス
Àlex Crivillé,アレックス・クリビーレ
Daniel Plaza,ダニエル・プラサ
Baldomero Espartero,バルドメロ・エスパルテロ
Julián Simón,フリアン・シモン
Nicolás de Ovando,ニコラス・デ・オバンド
Marc Bernaus,マルク・ベルナウス
José de Acosta,ホセ・デ・アコスタ
Jesús Gámez,ヘスス・ガメス
Kepa Junkera,ケパ・フンケラ
Mateo Garralda,マテオ・ガラルダ
Kiko Casilla,キコ・カシージャ
Manuel Blanco Ramos,フランシスコ・マヌエル・ブランコ
Rubén Xaus,ルベン・チャウス
Txeroki,ミゲル・ガリコイツ・アスピアス・ルビーナ
Pedro Romero,ペドロ・ロメロ
Laudelino Cubino,ラウデリーノ・クビノ
Rafael Azcona,ラファエル・アスコナ
Jean Cassou,ジャン・カスー
Pablo Aguilar Bermúdez,パブロ・アギラール
Álex Abrines,アレックス・アブリネス
Álex Ubago,アレックス・ウバゴ
Álex Mumbrú,アレックス・ムンブル
Álvar Núñez Cabeza de Vaca,アルバル・ヌニェス・カベサ・デ・バカ
Álex de la Iglesia,アレックス・デ・ラ・イグレシア
Álvaro Bautista,アルバロ・バウティスタ
Álvaro Arbeloa,アルバロ・アルベロア
Álvaro Cervera,アルバロ・セルベラ
Marta Etura,マルタ・エトゥラ
Gonzalo Pizarro,ゴンサロ・ピサロ
Cristina Sánchez,クリスティーナ・サンチェス
Iban Mayo,イバン・マヨ
Manuel Martínez Gutiérrez,マヌエル・マルティネス
Juan de Salcedo,フアン・デ・サルセード
David Prieto,ダビド・プリエト
Pepe Sánchez (baloncestista),ファン・イグナシオ・サンチェス
José Miguel de Barandiarán,ホセ・ミゲル・デ・バランディアラン
Capi,ヘスス・カピタン・プラダ
Álvaro Mejía Pérez,アルバロ・メヒア
Luis de Velasco y Ruiz de Alarcón,ルイス・デ・ベラスコ・イ・ルイス・デ・アラルコン
Ciriaco Errasti,シリアコ・エラスティ
Roberto Bautista,ロベルト・バウティスタ・アグート
Luis de Molina,ルイス・デ・モリナ
Narciso Yepes,ナルシソ・イエペス
Bartolomé de Selma y Salaverde,バルトロメオ・デ・セルマ
Assumpta Serna,アスンプタ・セルナ
Álvaro Pino,アルバロ・ピノ
Álvaro Novo,アルバロ・ノボ
Álvaro de Bazán,アルバロ・デ・バサン
Álvaro Vázquez,アルバロ・バスケス
Jorge Martínez (piloto de motociclismo),ホルヘ・マルチネス・(ライダー)
Juan Donoso Cortés,フアン・ドノソ・コルテス
Tomás Bretón,トマス・ブレトン
Ángel Casero,アンヘル・カセロ
Ángel Gabilondo,アンヘル・ガビロンド
Ángel López Ruano,アンヘル・ロペス
Ángel Madrazo,アンヘル・マドラソ
Ángel Lafita,アンヘル・ラフィタ
David Fuster,ダビド・フステル
Álvaro del Portillo,アルバロ・デル・ポルティーリョ
Francisco Fernández Ochoa,フランシスコ・フェルナンデス・オチョア
Nicolás García Hemme,ニコラス・ガルシア
Miguel Ángel González Suárez,ミゲル・アンヘル・ゴンサレス・(サッカー選手)
Juan Jacinto Muñoz Rengel,フアン・ハシント・ムーニョス・レンヘル
Ramón Rodríguez (actor),ラモン・ロドリゲス・(俳優)
Joaquín Cortés,ホアキン・コルテス
Blas Infante,ブラス・インファンテ
Fernando de Austria (cardenal-infante),フェルナンド・デ・アウストリア・(枢機卿)
Míchel González,ミチェル
César Navas,セサル・ゴンサレス・ナバス
Roberto Marina,ロベルト・マリナ
Gaspar Sanz,ガスパル・サンス
Pol Espargaró,ポル・エスパルガロ
Carlos Cabezas,カルロス・カベサス
Fernando Escartín,フェルナンド・エスカルティン
Keylor Navas,ケイロル・ナバス
Juan Valverde de Amusco,ファン・ワルエルダ・デ・アムスコ
Kike Maíllo,キケ・マイーリュ
Juan Gabriel Vásquez,フアン・ガブリエル・バスケス
Julio Rey de Paz,フリオ・レイ
Marquitos (futbolista),マルコス・アロンソ・イマス
Ramón Casas,ラモン・カザス
Ruy González de Clavijo,ルイ・ゴンザレス・デ・クラビホ
Víctor Díaz Miguel,ビクトル・ディアス・ミゲル
Baltasar Hidalgo de Cisneros,バルタサール・イダルゴ・デ・シスネロス
Delio Rodríguez,デリオ・ロドリゲス
Lorenzo Robledo,ロレンツォ・ロブレド
Emilio Rodríguez Barros,エミリオ・ロドリゲス
David Cobeño,ダビド・コベーニョ
Manuel Olivares,マヌエル・オリバレス
Vicente Trueba,ビセンテ・トルエバ
Juanele,フアン・カスターニョ・キロス
Joan Oriol,ジョアン・オリオル
Fernando Gómez Colomer,フェルナンド・ゴメス・(スペインのサッカー選手)
Ángel María Villar,アンヘル・マリア・ビジャール
Ángel Martínez Cervera,アンヘル・マルティネス・セルベラ
Ángel Nieto,アンヘル・ニエト
Paco Buyo,フランシスコ・ブーヨ
Gaizka Toquero,ガイスカ・トケーロ
Julián Bautista,フリアン・バウティスタ
Patxi Puñal,パチ・プニャル
Iago Falque,イアゴ・ファルケ・シルバ
Salvador Puig Antich,サルバドール・プッチ・アンティック
Jon Aurtenetxe,ホン・アウルテネチェ
Juan Rodríguez Villamuela,ファン・アントニオ・ロドリゲス
Mikel Nieve,ミケル・ニエベ
Yvonne Blake,イボンヌ・ブレイク
Ángel del Pozo,アンヘル・デル・ポゾ
Ángel Álvarez (actor),アンヘル・アルヴァレス
Ángel Vicioso,アンヘル・ビシオソ
Martín Montoya,マルティン・モントヤ
Bruno Saltor,ブルーノ・サルトール・グラウ
Conchita Supervía,コンチータ・スペルビア
Sergio García Fernández,セルヒオ・ガルシア
Joan Fuster,ジョアン・フステル
Gorka Elustondo,ゴルカ・エルストンド・ウルコラ
Pedro Berruguete,ペドロ・ベルゲーテ
Miquel Barceló,ミケル・バルセロ
Javier López Vallejo,ハビエル・ロペス・バジェホ
Osmar Ibáñez,オスマル・イバニェス
Juan José Millás,フアン・ホセ・ミリャス
Carles Planas,カルレス・プラナス
Juan Bautista de Anza,フアン・バウティスタ・デ・アンサ
Gaetano Brunetti,ガエターノ・ブルネッティ
Iván Raña,イバン・ラーニャ
Ivan Balliu,イバン・バジウ
María Teresa de Borbón,マリア・テレサ・デ・ボルボーン
Espido Freire,エスピード・フレイレ
Manuel Díaz Vega,マヌエル・ディアス・ベガ
Fernando Sor,フェルナンド・ソル
Edurne Pasaban,エドゥルネ・パサバン
Luis García Fernández,ルイス・ガルシア・フェルナンデス
Joan Maragall,ジュアン・マラガイ
Kike Sola,エンリケ・ソラ・クレメンテ
Mané Jiménez,ホセ・マヌエル・ヒメネス・オルティス
Ayoze Díaz,アジョセ・ディアス
Tete Montoliu,テテ・モントリュー
Chente García Acosta,ホセ・ビセンテ・ガルシア
Miguel Fleta,ミゲル・フレータ
Antonio de Mendoza y Pacheco,アントニオ・デ・メンドーサ
Dora del Hoyo,ドラ・デル・オヨ
Javier Urruticoechea,ハビエル・ウルティコエチェア
Roberto Canella,ロベルト・カネーリャ
Jesús María Satrústegui,ヘスス・マリア・サトゥルステギ
Jan Urban,ヤン・ウルバン
Javier Otxoa,ハビエル・オチョア
Juan O'Donojú,フアン・オドノフ
Tristán Ulloa,トリスタン・ウヨア
Eulogio Martínez,エウロヒオ・マルティネス
Sergio Sánchez Martínez,セルヒオ・サンチェス・(陸上選手)
Juan Ruiz Anchía,フアン・ルイス・アンチア
Juan Pedro Benali,ファン・ペドロ・ベナーリ
Daniel Juncadella,ダニエル・ジュンカデラ
Laura Gallego García,ラウラ・ガジェゴ・ガルシア
Marga Fullana,マルガリータ・フリャナ
Mala Rodríguez,ラ・マラ・ロドリゲス
Amparo Muñoz,アンパロ・ムニョス
Manuel Infante,マヌエル・インファンテ
Rosa Díez,ロサ・ディエス
Teresa Cabarrús,テレーズ・カバリュス
Blanca de Borbón y Borbón-Parma,ブランカ・デ・ボルボーン・(1868-1949)
"María Teresa de Silva, XIII duquesa de Alba",マリア・デ・シルバ・イ・アルバレス・デ・トレド
Juan de Garay,フアン・デ・ガライ
Willy Caballero,ウィルフレード・カバジェロ
Maider Unda,マイデル・ウンダ
Leire Olaberria,レイレ・オラベリア
Juan de Borbón y Braganza,フアン・カルロス・デ・ボルボーン・(モンティソン伯)
Carmen Jordá,カルメン・ホルダ
Azorín,アソリン
Diego Forlán,ディエゴ・フォルラン
Ustaritz Aldekoaotalora,ウスタリツ・アルデコアオタロラ
Tomatito,トマティート
María José Rienda,マリア・ホセ・リエンダ
Queralt Castellet,ケラルト・カステリェト
José Ramón Alexanco,ホセ・ラモン・アレサンコ
Pirri (futbolista),ホセ・マルティネス・サンチェス
Lilí Álvarez,リリ・デ・アルバレス
Sabicas,サビーカス
Pablo Bruna,パブロ・ブルーナ
Carlos de Austria (1607-1632),カルロス・デ・アウストリア・(1607-1632)
Anthony Losilla,アントニー・ルジア
Emilio Esteban-Infantes y Martín,エミリオ・エステバン＝インファンテス
Christian Fernández Salas,クリスティアン・フェルナンデス
Gregorio Blasco Sánchez,グレゴリオ・ブラスコ
Jesús Guridi,ヘスース・グリーディ
Fernando Vázquez Pena,フェルナンド・バスケス
Roberto Merhi,ロベルト・メリ
Luis Díez del Corral,ディエス・デル・コラール
Juan Arza,フアン・アルサ
Fernando Tabales,フェルナンド・タバレス
Amaro Pargo,アマロ・ロドリゲス・フェリペ
Sito Pons,シト・ポンス
José Celestino Mutis,ホセ・セレスティーノ・ムティス
Juan Tamariz,ホアン・タマリッツ
Luis Rubiales,ルイス・ルビアレス
Francisco de Herrera el Mozo,フランシスコ・エレーラ・(子)
Hipólito Ruiz López,イポリト・ルイス・ロペス
Kiko (futbolista),フランシスコ・ミゲル・ナルバエス・マチョン
Felipe Guillermo de Orange-Nassau,フィリップス・ウィレム・(オラニエ公)
Najwa Nimri,ナイワ・ニムリ
Gorka Iraizoz,ゴルカ・イライソス・モレノ
María Mercader,マリア・メルカデル
Fernando de Austria (príncipe de Asturias),フェルナンド・デ・アウストリア・(1571-1578)
Ángel David Rodríguez,アンヘル・ダビド・ロドリゲス
Luis Aragonés,ルイス・アラゴネス
Alberto Marcos Rey,アルベルト・マルコス・レイ
Borja Fernández Fernández,ボルハ・フェルナンデス
Mikel Aranburu,ミケル・アランブル
Ricardo López Felipe,リカルド・ロペス・フェリペ
Marcos Alonso Mendoza,マルコス・アロンソ・メンドーサ
Juan de Zumárraga,フアン・デ・スマラガ
Jaime Gavilán,ハイメ・ガビラン
Tiko,ロベルト・マルティネス・リポダス
Javi Chica,フランシスコ・ハビエル・チカ
Juan José Delhuyar,ファン・ホセ・デ・エルヤル
Gerard López,ジェラール・ロペス
Kepa Blanco,ケパ・ブランコ
Cristian Hidalgo,クリスティアン・イダルゴ
María Blanchard,マリア・ブランシャール
Iván Ramis,イバン・ラミス
José Manuel Fuente,ホセ・マヌエル・フエンテ
Alberto Rivera,アルベルト・リベラ
Mari Lacruz,ヘスス・マリア・ラクルス
Regino Sainz de la Maza,レヒーノ・サインス・デ・ラ・マーサ
David Barral,ダビド・バラル
Alberto Sánchez Pérez,アルベルト・サンチェス・ペレス
Icíar Bollaín,イシアル・ボジャイン
Isabel Fernández Gutiérrez,イサベル・フェルナンデス
Brigitte Yagüe,ブリヒッテ・ヤグエ
Enrique Barón,エンリケ・バロン・クレスポ
Tania Head,アリシア・エステベ・ヘッド
Félix Mantilla,フェリックス・マンティーリャ
Ángel (futbolista),アンヘル・ルイス・ロドリゲス・ディアス
Carmen Martín,カルメン・マルティン
"Margarita de Foix, infanta de Navarra",マルグリット・ド・フォワ
Efrén Vázquez,エフレン・バスケス
Maruja Torres,マルーハ・トーレス
Rossy de Palma,ロッシ・デ・パルマ
Manolo Santana,マニュエル・サンタナ
Miguel Ángel Lotina,ミゲル・アンヘル・ロティーナ
Javi Venta,ハビエル・ロドリゲス・ベンタ
Antonio Piedra,アントニオ・ピエドラ
José Luis Artetxe,ホセ・アルテチェ
Ignacio Zoco,イグナシオ・ソコ
Amalia de Borbón,アマリア・デル・ピラール・デ・ボルボーン
Dani Sordo,ダニ・ソルド
Lucía Bosé,ルチア・ボゼー
Emilio Nsue,エミリオ・エンスエ
Diego Rodríguez Fernández,ディエゴ・ロドリゲス・フェルナンデス
Vanesa Amorós,バネサ・アモロス
José Antonio Escuredo,ホセ・アントニオ・エスクレド
Xabier Zandio,ハビエル・サンディオ
Joaquín Peiró,ホアキン・ペイロ
Javier Navarrete,ハビエル・ナバレテ
Jesús Herrada,ヘスス・エラダ
Elías García Martínez,エリアス・ガルシア・マルティネス
La Niña de los Peines,ラ・ニーニャ・デ・ロス・ペイネス
Koldo Fernández de Larrea,コルド・フェルナンデス
Manuel Quiroga Losada,マヌエル・キロガ
Xabier Etxeita,シャビエル・エチェイタ
Héctor Rial,エクトル・リアル
Josefa de Óbidos,ジョゼファ・デ・オビドス
Isabella Colbran,イザベラ・コルブラン
José Francisco Molina,フランシスコ・モリーナ
Ignacio Ramonet,イグナシオ・ラモネ
Beatriz de Borbón y Battenberg,ベアトリス・デ・ボルボン・イ・バッテンベルグ
Andrea Barnó,アンドレア・バルノ
Eli Pinedo,エリサベト・ピネード
David Arroyo,ダビ・アロヨ
Pedro Duque,ペドロ・デュケ
Javi Guerrero,ハビ・ゲレーロ
Gaizka Garitano,ガイスカ・ガリターノ
Pier Luigi Cherubino,ピエール・ルイージ・チェルビーノ
Pablo Abián,パブロ・アビアン
Juanma Lillo,フアン・マヌエル・リージョ
Santiago Cañizares,サンティアゴ・カニサレス
Paloma Picasso,パロマ・ピカソ
Luis Suárez Miramontes,ルイス・スアレス・ミラモンテス
María Beatriz de Austria-Este,マリーア・ベアトリーチェ・ダズブルゴ＝エステ
Carlos Pellegrini,カルロス・ペレグリーニ
Marta Mangué,マルタ・マングエ
Ana Torroja,アナ・トローハ
María Dolores de Cospedal,マリア・ドローレス・デ・コスペダル・ガルシーア
Antonio Muñoz Molina,アントーニオ・ムーニョス・モリーナ
Carlos Barredo,カルロス・バレード
Nacho Novo,イグナシオ・ノボ
Alberto Berasategui,アルベルト・ベラサテギ
Igor González de Galdeano,イゴル・ゴンサレス・デ・ガルデアノ
Íñigo Landaluze,イニィーゴ・ランダルセ
Paul de la Cuesta,パウル・デ・ラ・クエスタ
Víctor Vázquez Solsona,ビクトル・バスケス
José Juncosa,ホセ・フンコサ
Antonio Perrenot de Granvela,アントワーヌ・ド・グランヴェル
Mónica Naranjo,モニカ・ナランホ
Juan José Ruiz de Apodaca y Eliza,フアン・ルイス・デ・アポダカ
Txillardegi,チリャルデギ
Fonsi Nieto,フォンシ・ニエト
Severiano Ballesteros,セベ・バレステロス
Blanca Fernández Ochoa,ブランカ・フェルナンデス・オチョア
María Teresa de Vallabriga,マリア・テレサ・デ・バリャブリガ
Francisco Javier Farinós,フランシスコ・ファリノス
Iñigo Martínez,イニゴ・マルティネス
Francisco Vázquez de Coronado,フランシスコ・バスケス・デ・コロナド
Javi Hervás,ハビエル・エルバス
Miriam Blasco,ミリアム・ブラスコ
Carlos Manuel de Céspedes y del Castillo,カルロス・マヌエル・デ・セスペデス
Pedro Arrupe,ペドロ・アルペ
Dani Clos,ダニ・クロス
Diego Colón,ディエゴ・コロン
Amancio Amaro,アマンシオ・アマロ
Juan Bautista Martínez del Mazo,フアン・バウティスタ・マルティネス・デル・マーソ
Silvestre Igoa,シルベストレ・イゴア
Antonio Jesús López Nieto,アントニオ・ロペス・ニエト
Paz de la Huerta,パス・デ・ラ・ウエルタ
Leopoldo Calvo-Sotelo,レオポルド・カルボ＝ソテーロ
Beñat Etxebarria,ベニャ・エチェバリア
Rafinha Alcántara,ラファエル・アルカンタラ・ド・ナシメント
Alberto Noguera,アルベルト・ノゲーラ
Sergi Escobar,セルヒ・エスコバル
Antonio María Esquivel,アントニオ・マリア・エスキベル
Bartolomé de Escobedo,バルトロメー・デ・エスコベド
Antonio García (piloto),アントニオ・ガルシア
Lucas Alcaraz,ルーカス・アルカラス
Cristian López,クリスティアン・ロペス
Manuel Sanchís Martínez,マヌエル・サンチス・マルティネス
Almudena Grandes,アルムデナ・グランデス・エルナンデス
Alejandro Amenábar,アレハンドロ・アメナーバル
Leonardo Padura,レオナルド・パドゥーラ・フエンテス
Leopoldo O'Donnell,レオポルド・オドンネル
César Martín Villar,セサル・マルティン
Francisco de Herrera el Viejo,フランシスコ・エレーラ・(父)
Martirio (cantante),マルティリオ
Conde de Aranda,ペドロ・パブロ・アバルカ・イ・ボレア・(第10代アランダ伯)
Eloy Olaya,エロイ・オラージャ
Paco Ignacio Taibo II,パコ・イグナシオ・タイボ二世
Carlos Cardús,カルロス・カルダス
Jeffrén Suárez,ジェフレン・スアレス
Juande Ramos,ファンデ・ラモス
La Bella Otero,ラ・ベル・オテロ
Manuel Fraga,マヌエル・フラガ・イリバルネ
Marc Gasol,マルク・ガソル
José Emilio Amavisca,ホセ・エミリオ・アマビスカ
Estanislao Basora,エスタニスラオ・バソラ
Tomás Mejías,トマス・メヒアス
Iván Moreno y Fabianesi,イバン・モレノ・イ・ファビアネシ
Antonio Lima Solá,アントニ・リマ
Guillermo Timoner,ギジェルモ・ティモネル
Lluís Homar,ルイス・オマール
Carlos de Haes,カルロス・デ・アエス
Carlos Ruiz Herrero,カルロス・ルイス・エレーロ
Koke Resurrección,ホルヘ・レスレクシオン
Alejandro Sanz,アレハンドロ・サンス
Dionisio Aguado y García,ディオニシオ・アグアド
Mosé ben Sem Tob de León,モーシェ・デ・レオン
Rafaela Porras y Ayllón,ラファエラ・マリア・ポラス
José Antonio Reyes,ホセ・アントニオ・レジェス
Federico Mompou,フェデリコ・モンポウ
Antonio Albacete,アントニオ・アルバセテ
Alberto Martín Magret,アルベルト・マルティン
Pablo Gargallo,パブロ・ガルガーリョ
Miguel Ángel Nieto de la Calle,ミゲル・アンヘル・ニエト
Pedro José Martín Moreno,ペドロ・マルティン
José Luis Ortiz Moreno,ホセ・ルイス・オルティス
Ángel Montoro Sánchez,アンヘル・モントーロ・サンチェス
Julián Arcas,フリアン・アルカス
Axel Pons,アクセル・ポンス
Carmelo Cedrún,カルメロ・セドルン
Juan Oró,ジュアン・ウロー
José María Zárraga,ホセ・マリア・サラガ
Alonso de Guzmán y Sotomayor,アロンソ・ペレス・デ・グスマン
Gómez Pereira,ゴメス・ペレイラ
Roberto Heras,ロベルト・エラス
María Bayo,マリア・バーヨ
Ana de Mendoza de la Cerda,アナ・デ・メンドーサ
Federico Borrell,フェデリコ・ボレル・ガルシア
Esteban Granero,エステバン・グラネロ・モリナ
Ruth Beitia,ルート・ベイティア
Lola Dueñas,ロラ・ドゥエニャス
Oona Chaplin,ウーナ・チャップリン
Jonathan Castroviejo,ジョナタン・カストロビエホ
Alfonso de Borbón y Dampierre,アルフォンソ・デ・ボルボーン・(カディス公)
Guayre Betancor,アントニオ・グアイレ
Marco Banderas,マルコ・バンデラス
José Ángel Valdés,ホセ・アンヘル・バルデス・ディアス
Paulino Alcántara,パウリーノ・アルカンタラ
Pablo Hernández Domínguez,パブロ・エルナンデス
Gorka Izagirre,ゴルカ・イサギレ
Ana Torrent,アナ・トレント
Carolina Marín,カロリーナ・マリン
Yoana Martínez,ヨアナ・マルティネス
Roberto Jiménez Gago,ロベルト・ヒメネス
Baltasar Albéniz,バルタサル・アルベニス
Antonio Notario,アントニオ・ノタリート
Antonio Caba,アントニ・カバ
Melcior Mauri,メルチョル・マウリ
Antonio Nariño,アントニオ・ナリーニョ
Bartolomé Carducho,バルトロメーオ・カルドゥッチ
Benja Martínez,ベンジャミン・マルティネス・マルティネス
