정주시,定州市
조선민주주의인민공화국 U-17 축구 국가대표팀,U-17サッカー朝鮮民主主義人民共和国代表
애국렬사릉,愛国烈士陵
대성산,大城山
삼지연,三池淵
조선민주주의인민공화국 휘거스케이팅 선수권 대회,北朝鮮フィギュアスケート選手権
조선민주주의인민공화국의 인구,朝鮮民主主義人民共和国の人口統計
초도,椒島空港
대동교,大同橋
조선로동당 창건일,朝鮮労働党創建日
영생탑,永生塔
조선직업총동맹,朝鮮職業総同盟
조선민주주의인민공화국 중앙재판소,中央裁判所
광법사,広法寺
조선민주주의인민공화국의 정치범수용소,朝鮮民主主義人民共和国の強制収容所
박천 전투,粛川・順川の戦い
송평구역,松坪区域
러시아-조선민주주의인민공화국 관계,朝鮮民主主義人民共和国とロシアの関係
조선민주주의인민공화국적십자회,朝鮮赤十字会
납북자,北朝鮮拉致問題
안악 3호분,安岳3号墳
북조선로동당,北朝鮮労働党
추애산,楸愛山
수양산 (황해도),首陽山
주체연호,主体暦
안학궁,安鶴宮
인풍루,仁風楼
통군정,統軍亭
옹진반도,甕津半島
평양산원,平壌産院
은하수관현악단,銀河水管弦楽団
개선청년공원,凱旋青年公園
대흥산성,大興山城
황룡산성,皇龍山城
청암구역,青岩区域
수남구역,水南区域
포항구역,浦港区域
라남구역,羅南区域
부윤구역,富潤区域
신암구역,新岩区域
일본-조선민주주의인민공화국 관계,日朝関係
재령강,載寧江
숭인전,崇仁殿
북한에 대한 제재,朝鮮民主主義人民共和国に対する制裁
부용당,芙蓉堂
두만강동,豆満江洞
조선농업근로자동맹,朝鮮農業勤労者同盟
재덕역,載徳駅
기암역,奇岩駅
서하역,西下駅 (江原道)
서함흥역,西咸興駅
서해갑문역,西海閘門駅
서해리역,西海里駅
서해주역,西海州駅
기탄역,岐灘駅
야촌역,野村駅
석다역,石多駅
석름역,石廩駅
석막역,石幕駅
약산동대,薬山東台
석봉역,石峰駅
양곡역,暘谷駅 (両江道)
민탕역,珉湯駅
선군절,先軍節
양동역,養洞駅
선봉역,先鋒駅
전거리역,全巨里駅
한이천역,漢二川駅
양승역,陽勝駅
한천역,漢川駅 (平安南道)
이압역,二鴨駅
덕현역,徳峴駅
태천역,泰川駅
송학역,松鶴駅
제남역,済南駅 (平安南道)
송화역,松禾駅
거산역,居山駅
송화온천역,松禾温泉駅
송흥역,松興駅
거차역,巨次駅
수교역,水橋駅 (黄海南道)
도내역,島内駅
건자역,乾自駅
수구포역,水口浦駅
홍원역,洪原駅
수남역,水南駅
건하역,乾下駅
수덕역,修徳駅
토령역,土嶺駅
범포역,范浦駅
김책역,金策駅
도장산,道場山
수양역,首陽駅
오계역,梧渓駅
오구비역,オグビ駅
도평역,島坪駅
수의역,守義駅
인평역,仁平駅
인흥역,仁興駅
일신역,日新駅
주서역,州西駅
주의동역,主義洞駅
죽전역,竹田駅
중도역,中島駅 (咸鏡北道)
중성간역,中城干駅
중이역,中二駅
중촌역,中村駅 (咸鏡南道)
중평역,中坪駅
증산역,曽山駅
지상역,支上駅
지수역,智水駅
지하리역,支下里駅
진평역,津坪駅
진흥왕 순수비,真興王巡狩碑
왕신역,王神駅
왕장역,旺場駅
외금강역,外金剛駅
부지역,富只駅
부평역,富坪駅
북송리역,北松里駅
북신현역,北薪峴駅
북창역,北倉駅 (平安南道)
태풍 노을,ノウル
조선중앙방송,朝鮮中央放送委員会
조선로동당 중앙위원회 정치국 상무위원회,朝鮮労働党中央委員会政治局常務委員会
조선민주주의인민공화국 로동성,労働省 (朝鮮民主主義人民共和国)
조선민주주의인민공화국 림업성,林業省
조선민주주의인민공화국 문화성,朝鮮民主主義人民共和国文化省
조선민주주의인민공화국 국가계획위원회,朝鮮民主主義人民共和国国家計画委員会
조선민주주의인민공화국 보건성,保健省
조선민주주의인민공화국 국토환경보호성,国土環境保護省
조선민주주의인민공화국 과학원,朝鮮民主主義人民共和国国家科学院
조선민주주의인민공화국 체육성,朝鮮民主主義人民共和国体育省
인민봉사총국,人民奉仕総局
푸에블로호 피랍 사건,プエブロ号事件
향원역,郷元駅
향죽역,香竹駅
향하역,香河駅
가창역,仮倉駅
소록강,小緑江
각암역,閣岩駅
갈산역,葛山駅
여해진역,汝海津駅
강계군,江界郡
정일봉,正日峰
강구역,江口駅 (両江道)
강덕역,康徳駅
연복사종,演福寺鐘
강동역,江東駅
속후역,俗厚駅
강령역,康翎駅
연안역,延安駅 (黄海南道)
연암역,延岩駅
강상리역,江上里駅
연중역,延中駅
연평역,延坪駅
연풍역,延豊駅
형제역,兄弟駅
리명수,鯉明水
북한인민해방전선,北韓解放人民戦線
과학기술전당,科学技術殿堂
물골역,ムルゴル駅
청룡역,青龍駅
금바위역,金バウィ駅
서석역,西席駅
장연역,長淵駅
청수역,青水駅
금산역,金山駅
금산포역,金山浦駅
금생역,金生駅
금송역,金松駅
압록강역,鴨緑江駅
미둔역,弥屯駅
장천리역,長川里駅
금패역,金佩駅
청학역,青鶴駅
미림역,美林駅
장평역,長坪駅
육진 방언,六鎮方言
초도,椒島
초상역,草上駅
장흥역,章興駅
천동역,泉洞駅
새동역,セドン駅
무창역,茂昌駅
경원역,慶源駅
생기령역,生気嶺駅
묵시역,墨時駅
묵천역,墨川駅
귀인역,貴仁駅
천을역,天乙駅
문동청년역,文童青年駅
문봉역,文峰駅
생장역,生長駅
천태역,天台駅
철광역,鉄鉱駅
장덕역,長徳駅
안석역,安石駅
문정역,文井駅 (黄海南道)
장둔역,長屯駅
철송청년역,鉄松青年駅
장림역,長林駅
서두역,西頭駅
극동역,極洞駅
문화역,文化駅
근동역,芹洞駅
안주역,安州駅
설마리 전투,雪馬里の戦い
사이버 공격,サイバー攻撃
조선민주주의인민공화국 U-23 축구 국가대표팀,U-23サッカー朝鮮民主主義人民共和国代表
덕천역,徳川駅 (平安南道)
쑥섬,スク島
2016년 9월 조선민주주의인민공화국 핵 실험,北朝鮮の核実験 (2016年9月)
2016년 함경북도 홍수,2016年の北朝鮮における洪水
강양역,江陽駅
송가역,松街駅
송관역,松観駅
송남청년역,松南青年駅
송단역,松端駅
송덕역,松徳駅
송도역,松道駅
송림청년역,松林青年駅
염분역,塩盆駅
염전역,塩田駅 (平安南道)
염탄역,塩灘駅
송삼역,松三駅
송상역,松上駅
송신역,松新駅
강하역,江下駅
영광역,栄光駅 (咸鏡南道)
백산청년역,白山青年駅
백상루,百祥楼
개고청년역,价古青年駅
백석역,白石駅 (黄海南道)
송전역,松田駅
송정역,松亭駅 (江原道)
홍군역,洪君駅
송중역,松中駅
백원역,百源駅
개천역,价川駅
송평역,松坪駅
한국휴전협정,朝鮮戦争休戦協定
황주공군기지,黄州空軍基地
제1차 마량산 전투,第1次馬良山の戦い
조선노동당 규약,朝鮮労働党規約
조선민주주의인민공화국 저작권법,朝鮮民主主義人民共和国著作権法
안주성,安州城
6월4일차량종합기업소,6月4日車両連合企業所
조선민주주의인민공화국 국무위원회,朝鮮民主主義人民共和国国務委員会
화암역,花岩駅
조막산역,造幕山駅
화전역,樺田駅
오몽리역,吾夢里駅
수풍역,水豊駅
화천역,貨泉駅
오봉역,梧鳳駅
화평역,和坪駅
경성역,鏡城駅
경안역,景安駅
동부역,東部駅
동북리역,東北里駅
오일역,五一駅
동산역,東山駅 (平安北道)
동선봉역,東先鋒駅
동신역,東新駅
판교역,板橋駅
팔원청년역,八院青年駅
조양탄광역,朝陽炭鉱駅
팔흥역,八興駅
황파역,黄坡駅 (咸鏡北道)
황포역,黄浦駅
봉강역,鳳岡駅
황해룡문역,黄海龍門駅
동천역,東川駅
성간역,城干駅
양촌역,陽村駅
은덕역,恩徳駅
함가역,咸家駅
어대진역,漁大津駅
추동역,楸洞駅
함주역,咸州駅
어미현역,魚尾峴駅
합수역,合水駅
축전역,杻田駅
전천역,前川駅 (慈江道)
성천역,成川駅
전평역,銭坪駅
의주역,義州駅
성후역,城後駅
세검정,洗剱亭
업억역,業億駅
정광역,精鉱駅
해주 다라니석당,海州陀羅尼石幢
세선역,世仙駅
칠만산역,七万山駅
정문리역,正門里駅
정문촌역,正門村駅
보천청년역,普天青年駅
세포리역,細浦里駅
묘향산역,妙香山駅
정봉역,丁峰駅
조선인민군 특수작전군,朝鮮人民軍特殊作戦軍
조선민주주의인민공화국의 언론,朝鮮民主主義人民共和国のメディア
2013년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験 (2013年)
천리장성,千里長城
제105기갑사단,第105戦車師団
조선민주주의인민공화국의 보건,北朝鮮の保健
김일성가,金王朝
북창공군기지,北倉空軍基地
북청역,北青駅
풍계역,豊渓駅
풍리역,豊利駅
풍산역,豊山駅 (咸鏡北道)
풍양역,豊陽駅
풍어역,豊漁駅
풍인역,豊仁駅
풍정역,豊井駅
풍천역,楓川駅
하농역,下農駅
하면역,下面駅
하성역,下成駅
하신원역,下新院駅
하운승역,下雲承駅
하초역,下草駅
하홍군역,下洪君駅
학성역,鶴城駅
학포역,鶴浦駅
한국 중부,韓国中部
시중역,時中駅
신강계역,新江界駅
신건역,新乾駅
신단천역,新端川駅
한국의 반미감정,反米ナショナリズム
기산청년역,箕山青年駅
암실 (개성),岩室
한국의 반일감정,朝鮮の反日感情
유점사,楡岾寺
개심사,開心寺
표훈사,表訓寺
부벽루,浮碧楼
백두산 영웅 청년 발전소,白頭山英雄青年発電所
자양역,紫陽駅 (黄海南道)
황금의삼각주은행,金三角銀行
국도 제10호선,国道10号線
국도 제9호선,国道9号線
신전역,新田駅 (咸鏡北道)
국도 제8호선,国道8号線
전사의 영예 훈장,戦士栄誉勲章
체육신문,体育新聞
장마당,チャンマダン
도문국경대교,図們国境大橋
두만강대교,図們江大橋
관서팔경,関西八景
장산곶,長山串
만경봉,万景峰
만경대혁명학원,万景台革命学院
기자릉,箕子陵
평양대극장,平壌大劇場
봉화예술극장,烽火芸術劇場
조선중앙력사박물관,朝鮮中央歴史博物館
회안역,檜安駅
회양역,檜陽駅
옥천역,玉泉駅 (平安南道)
회중역,檜中駅
고령진역,高嶺鎮駅
부거역,富居駅
평남신덕역,新寧里駅
평리역,坪里駅
부령역,富寧駅 (咸鏡北道)
두일령역,杜日嶺駅
두지역,杜芝駅
남계역,南渓駅
후주청년역,厚州青年駅
후창역,厚倉駅
후평청년역,後坪青年駅
남덕천역,南徳川駅
승방역,勝芳駅
승방하리역,勝芳下里駅
종성역,鍾城駅
득장역,得将駅
남문역,南門駅
승원역,勝院駅
승호리역,勝湖里駅
고인역,古仁駅
조선인민군의 최고사령관,朝鮮人民軍最高司令官
김정일훈장,金正日勲章
조선민주주의인민공화국의 성소수자 권리,朝鮮民主主義人民共和国におけるLGBTの権利
조선민주주의인민공화국 정부,朝鮮民主主義人民共和国政府
조선정교위원회,朝鮮正教委員会
조선민주주의인민공화국의 선전,北朝鮮におけるプロパガンダ
보통강역,普通江駅
순천역,順川駅
멸악산맥,滅悪山脈
수운도,水運島
옹진역,甕津駅
포치리역,浦淄里駅
포평청년역,葡坪青年駅
남석역,南夕駅
흑령역,黒嶺駅
희천군,熙川郡
희천발전소,熙川発電所
희천청년역,熙川青年駅
남양역,南陽駅
남중역,南中駅
내동역,内洞駅
공북역,公北駅
라죽역,羅竹駅
라하대역,羅荷坮駅
라흥역,羅興駅
락산역,洛山駅
락생역,楽生駅 (平安南道)
락연역,楽淵駅
락원역,楽園駅
랭정역,冷井駅 (黄海南道)
량가역,良家駅
량강신상역,両江新上駅
인산역,仁山駅 (両江道)
제12사단,第12師団
제13사단,第13師団 (北朝鮮軍)
평양희천고속도로,平壌-香山観光道路
제1사단,第1師団 (北朝鮮軍)
2009년 미 여기자 조선민주주의인민공화국 억류 사건,2009年の北朝鮮によるアメリカ人ジャーナリスト拘束事件
항구구역,港口区域
한포역,汗浦駅
회암선,灰岩線
회령탄광선,会寧炭鉱線
무산선,茂山線
백무선,白茂線
대평역,大平駅
흥수역,興水駅
후릉,厚陵
평성리과대학,平城理科大学
평양철도대학,平壌鉄道大学
서풍산역,西豊山駅
서호역,西湖駅
석간역,石間駅
성덕역,城徳駅
수진역,水鎮駅
승암역,勝岩駅
신중역,新中駅
신파청년역,新坡青年駅
신학포역,新鶴浦駅
신흥동역,新興洞駅
양화역,陽化駅
어랑역,漁郎駅
어사역,御史駅
영저역,嶺底駅
운양역,雲陽駅
장파역,長坡駅
재령역,載寧駅
정평역,定平駅
침교역,砧橋駅
허천역,虚川駅
회암역,灰岩駅
훈융역,訓戎駅
강서대묘,江西三墓
대수압도,大睡鴨島
영명사,永明寺 (平壌)
금수산,錦繡山
녕변군,寧辺郡
장혜국제대교,長恵国際大橋
신압록강대교,新鴨緑江大橋
삼강역,三江駅
서사리원역,西沙里院駅
서종역,西鐘駅
석탄역,石灘駅
장수산역,長寿山駅
정도역,鼎島駅
화산역,花山駅
북한의 농업,朝鮮民主主義人民共和国の農業
조선민주주의인민공화국의 환경,朝鮮民主主義人民共和国の環境
김철주사범대학,金哲柱師範大学
중화역,中和駅
조선로동당 대표자회,朝鮮労働党党大会
의주비행장,義州飛行場
반성렬도,盤城列島
풍계리 핵 실험장,豊渓里核実験場
제6사단,第6師団 (朝鮮人民軍)
제766독립보병연대,第766独立歩兵連隊
아호비령산맥,阿虎飛嶺山脈
만수대예술극장,万寿台芸術劇場
칠골역,チルゴル駅
마식령 스키장,馬息嶺スキー場
리비아-조선민주주의인민공화국 관계,リビア-北朝鮮関係
개성 성균관,開城成均館
묘향산 보현사 팔각십삼층탑,普賢寺八角十三層塔
적조사 쇠부처,開城寂照寺鉄造如来坐像
2008년 조선민주주의인민공화국 인구일제조사,2008年朝鮮民主主義人民共和国国勢調査
간평역,間坪駅
강안리역,江岸里駅
거흥역,巨興駅
경포역,景浦駅
구성역,亀城駅
국봉역,菊峰駅
금평역,錦坪駅
남덕역,南徳駅
내포역,内浦駅
농포역,農圃駅
대덕역,大徳駅 (咸鏡北道)
대풍역,大豊駅 (平安南道)
덕성역,徳城駅
동사리원역,東沙里院駅
동평양역,東平壌駅
려호역,呂湖駅
룡연역,龍淵駅
룡운역,龍雲駅
룡풍역,龍豊駅 (平安北道)
만달리역,晩達里駅
만춘역,晩春駅
문필역,文筆駅
방진역,方津駅
배산점역,裵山店駅
봉학역,鳳鶴駅
부동역,釜洞駅
상황토역,上黄土駅
풍계리,豊渓里
대원수,朝鮮民主主義人民共和国大元帥
와우도구역,臥牛島区域
곡하역,曲河駅
무산광산선,茂山鉱山線
부성역,富成駅
사향역,麝香駅
송악산,松岳山
쌍방동역,双芳洞駅
안찬역,安賛駅
청하역,清下駅
연목역,椽木駅
평양호텔,平壌ホテル
일탄선,日炭線
인민문화궁전,人民文化宮殿
두루섬,トゥル島
대북송금 사건,対北朝鮮送金事件
찬동자 파크,賛同者球場
장진선,長津線
장연선,長淵線
제릉,斉陵
칠성문,七星門
침촌역,沈村駅
정방산성,正方山城
청천강역,清川江駅
청강역,清江駅
청계역,清渓駅
청진청년역,清津青年駅
정주청년역,定州青年駅
양도 (길주군),洋島
두리하나선교회,ドュリハナ
두만강역,豆満江駅
강덕선,康徳線
은률선,殷栗線
덕현선,徳峴線
백마선,白馬線
금골선,クムゴル線
개천선,价川線
신흥선,新興線
배천선,白川線
흑교역,黒橋駅
2010년 아시안 게임 조선민주주의인민공화국 선수단,2010年アジア競技大会北朝鮮選手団
력포역,力浦駅
강계선,江界線
은파산체육단,銀波山体育団
월미도체육단,月実島体育団
황해청년선,黄海青年線
룡주역,龍州駅
옹진선,甕津線
조선민주주의인민공화국의 전화번호 체계,朝鮮民主主義人民共和国の電話番号
신안주청년역,新安州青年駅
선천역,宣川駅
평산역,平山駅
황주역,黄州駅
삼지연선,三池淵線
만월대,満月台
남신의주역,南新義州駅
평덕선,平徳線
신안주,新安州
고려박물관,高麗博物館
개천비행장,价川空軍基地
개풍역,開豊駅
강동 관저,江東官邸
강서역,江西駅
고건원선,古乾原線
안골선,アンゴル線
문수물놀이장,紋繍プール
대관리선,大館里線
두언선,豆彦線
봉산선,鳳山線
봉천탄광선,鳳泉炭鉱線
도지리선,島智里線
고비선,高飛線
오시천선,五是川線
평양화전선,平壌火電線
대향선,大郷線
량천사,梁泉寺
봉수교회,鳳岫教会
금광사,金光寺
최승대,最勝台
보천읍,普天邑
문천역,文川駅
세길역,セギル駅 (江原道)
평양연극영화대학,平壌演劇映画大学
평양건축종합대학,平壌建築大学
대성산성,平壌大城山城
배화역,培花駅
재북평화통일촉진협의회,在北平和統一促進協議会
함흥화학공업대학,咸興化学工業大学
전탄역,前灘駅
광명성절,光明星節
선죽교,善竹橋
조국해방전쟁 승리 기념일,祖国解放戦争勝利記念日
하단역 (정주),下端駅
해주 경기장,海州競技場
함흥본궁,咸興本宮
함흥대극장,咸興大劇場
현지지도,現地指導
광탄역,広灘駅
내토역,内土駅
미곡역,嵋谷駅
미력역,未力駅
방어역,防禦駅
마평역,馬坪駅
봉천탄광역,鳳泉炭鉱駅
학산역,鶴山駅
룡림역,龍林駅
룡암포역,龍岩浦駅
룡암역,龍岩駅
룡악역,龍岳駅
룡계리역,龍渓里駅
룡문탄광역,龍門炭鉱駅
구봉산역,亀鳳山駅
삼덕역,三徳駅
하삼봉역,下三峰駅
동포역,東浦駅
남라진역,南羅津駅
고건원역,古乾原駅
봉의역,鳳儀駅
소암역,嘯巌駅
당령역,堂嶺駅
수정역,寿亭駅
대향역,大郷駅
녕변선,寧辺線
조선민주주의인민공화국의 원자력 발전,北朝鮮における原子力発電
조선민주주의인민공화국의 경찰,北朝鮮の法執行組織
북한법,朝鮮法
덕산비행장,徳山飛行場
룡담역,龍潭駅
김형직사범대학,金亨稷師範大学
창광원,蒼光院
맹중리역,孟中里駅
라진역,羅津駅
피바다가극단,血の海歌劇団
제2군단,第2軍団 (朝鮮人民軍)
조선인민군 제1군단,第1軍
이천청년역,伊川青年駅
임남댐,任南ダム
광명성,光明星
조국평화통일위원회,祖国平和統一委員会
가도 (철산군),カ島
만덕선,満徳線
만탑산,万塔山
법흥사 (평원군),法興寺
정양사,正陽寺
동림폭포,東林瀑布
박연폭포,朴淵瀑布
조선로동당 제4차당대회,朝鮮労働党第4次大会
조선로동당 제6차당대회,朝鮮労働党第6次大会
조선로동당 제5차당대회,朝鮮労働党第5次大会
조선로동당 제3차당대회,朝鮮労働党第3次大会
대리역,岱里駅
형봉역,亨鳳駅
덕남역,徳南駅
덕산역,徳山駅
신성역,新城駅
신명천역,新明川駅
신회령역,新会寧駅
계림역,鶏林駅
일탄역,日炭駅
주초역,朱草駅
니서역,尼西駅
청진조차장,清津操車場
청진항역,清津港駅
구단역,坵丹駅
립암역,立岩駅
승리역,勝利駅
선교리역,船橋里駅
잉포역,芿浦駅
무산광산역,茂山鉱山駅
서창역,西倉駅
서덕천역,西徳川駅
송도원역,松涛園駅
피현역,枇峴駅
류사역,柳沙駅
시정역,柴井駅
리현역,梨峴駅
수동역,水洞駅 (咸鏡南道)
강안역,江岸駅
태향역,汰香駅
해산역,海山駅
청남역,清南駅
아득령역,牙得嶺駅
증산리역,甑山里駅
백마역,白馬駅
직동탄광역,直洞炭鉱駅
진지역,真池駅
석하역,石下駅 (平安北道)
석하리역,石下里駅
립석탄광역,立石炭鉱駅
잠진리역,箴津里駅
량책역,良策駅
화도역,花島駅
초평역,草坪駅
로현역,芦峴駅
서봉산역,西鳳山駅
서다사도역,西多獅島駅
장동역,長洞駅
북한의 미국 대통령 암살음모사건,米朝開戦
신대역,新大駅
학현역,鶴峴駅
일원역,一院駅
칠리역,七里駅 (平安南道)
삼산역,三山駅
삼천포역,三川浦駅
삼소역,三所駅 (平安南道)
상십리평역,上十里坪駅
상서역,上西駅
풍남역,豊南駅 (咸鏡南道)
락랑역,楽浪駅
운대산역,雲台山駅
창동역,倉東駅
원산항역,元山港駅
원흥역,元興駅 (平安南道)
북계수역,北渓水駅
조선민주주의인민공화국 U-20 여자 축구 국가대표팀,U-20サッカー朝鮮民主主義人民共和国女子代表
려행증,旅行証 (朝鮮民主主義人民共和国)
2016년 하계 올림픽 조선민주주의인민공화국 선수단,2016年リオデジャネイロオリンピックの北朝鮮選手団
조선민주주의인민공화국의 공훈예술가,朝鮮民主主義人民共和国功勲芸術家
진파리일호무덤,真坡里1号墳
진파리사호무덤,真坡里4号墳
주조 러시아 대사관,駐朝鮮民主主義人民共和国ロシア大使館
조선민주주의인민공화국의 군,朝鮮民主主義人民共和国の郡
썬더볼트 작전,サンダーボルト作戦
친선훈장,親善勲章
PSCORE,PSCORE
박천선,博川線
락원역,楽元駅
조선로동당 중앙정치국,朝鮮労働党中央委員会政治局
옥평역,玉坪駅
봉산역,鳳山駅
곡부 공씨,曲阜孔氏
조선민주주의인민공화국의 총리,朝鮮民主主義人民共和国の首相
다사도항역,多獅島港駅
신정리역,信井里駅
조선기자동맹,朝鮮記者同盟
청류관,清流館
조선무역은행,朝鮮民主主義人民共和国貿易銀行
홰불체육단,フェブル体育団
송도원,松濤園
철산선,鉄山線 (北朝鮮)
국가우주개발국,国家宇宙開発局
고성역,高城駅
고읍역,古邑駅
고원탄광선,高原炭鉱線
금천역,金川駅
곽산역,郭山駅
계정역,鶏井駅
경암루,景岩楼
금강산청년선,金剛山青年線
오악 (한국),朝鮮の五岳
을밀대,乙密台
조선민주주의인민공화국 사회안전성,朝鮮民主主義人民共和国社会安全省
몽골-조선민주주의인민공화국 관계,モンゴルと北朝鮮の関係
물개역,物開駅
문덕역,文徳駅
문무역,文武駅
내중역,内中駅
개성 남대문,開城南大門
남포경기장,南浦競技場
부포선,釜浦線
평북선,平北線
평양체육관,平壌体育館
평양 축구단,全平壌蹴球団
라남역,羅南駅
로하역,路下駅
봉창역,鳳倉駅
분강역,分江駅
전진역,前進駅 (平安南道)
북중역,北中駅
남흥역,南興駅
박천역,博川駅
화풍역,和豊駅
성법역,聖法駅
외동역,外東駅
대건역,戴建駅
대원역,大園駅
대보역,大宝駅
대각역,大角駅
부산리역,富山里駅
부흥역,富興駅
녕변역,寧辺駅
천내역,川内駅 (江原道)
평북운산역,平北雲山駅
평남서호역,平南西湖駅
평천역,平川駅
고암역,庫岩駅
덕봉역,徳峰駅
덕사역,徳寺駅
무진대역,無尽台駅
명당역,明堂駅
동남흥역,東南興駅
조선의 체신체계,朝鮮民主主義人民共和国の郵便
어파역,漁波駅
북한의 맥주,北朝鮮のビール
2017년 조선민주주의인민공화국 미사일 발사,北朝鮮によるミサイル発射実験 (2017年)
조선민주주의인민공화국 요리,北朝鮮料理
124부대,124部隊
운전역,雲田駅
운산선,雲山線
제5군단,朝鮮人民軍第5軍団
평양원산관광도로,平壌-元山観光道路
원수,共和国元帥
로농적위군,労農赤衛隊
유선역,遊仙駅
철기산역,鉄騎山駅
장선강선,長鮮江線
장상역,長上駅
청암역,青岩駅
순덕역,順徳駅
평양강동고속도로,平壌江東高速道路
라자루스 그룹,ラザルス
현내역,県内駅
서흥역,瑞興駅
숙천역,粛川駅
순안역,順安駅
순천비행장,順川空軍基地
서해갑문선,西海閘門線
대안선,平南大安線
태백산성역,太白山城駅
석암역,石巌駅
대교역,大橋駅
대령강,大寧江
주 북한 프랑스 협력사무소,在北朝鮮フランス協力事務所
조선-러시아 우정의 다리,朝鮮・ロシア友情橋
국방과학원,国防科学院
주조 중국 대사관,駐朝鮮民主主義人民共和国中華人民共和国大使館
낙도역,楽道駅
평해튼,ピョンハッタン
배움의 천리길,学びの天理道
평양기계대학,平壌機械大学
조선예술교류협회,朝鮮芸術交流教会
조선인민군 총참모부,朝鮮人民軍総参謀部
조선인민군 총정치국,朝鮮人民軍総政治局
옥련산,玉蓮山
주조 스웨덴 대사관,駐朝鮮民主主義人民共和国スウェーデン王国大使館
아시안 게임 조선민주주의인민공화국 선수단,アジア競技大会北朝鮮選手団
조선민주주의인민공화국 U-20 축구 국가대표팀,U-20サッカー朝鮮民主主義人民共和国代表
납북자,北朝鮮による韓国人拉致問題
제2기 최고인민회의 대의원 선거,第二期最高人民会議代議員選挙
제3기 최고인민회의 대의원 선거,第三期最高人民会議代議員選挙
제5기 최고인민회의 대의원 선거,第五期最高人民会議代議員選挙
제6기 최고인민회의 대의원 선거,第六期最高人民会議代議員選挙
제7기 최고인민회의 대의원 선거,第七期最高人民会議代議員選挙
제8기 최고인민회의 대의원 선거,第八期最高人民会議代議員選挙
제9기 최고인민회의 대의원 선거,第九期最高人民会議代議員選挙
태왕,太王
다사도선,多獅島線
제3땅굴,南侵第3トンネル
한국 문화 속의 호랑이,韓国文化における虎
조선민주주의인민공화국의 핵개발 연표,北朝鮮核問題の年表
현릉,王建王陵
통천역,通川駅
동림역,東林駅
태풍 기러기,キロギー
운암역,雲巌駅
려명거리,黎明通り
국제김정일상,国際金正日賞
유엔사령부 군사정전위원회,国連軍司令部軍事休戦委員会
방현비행장,方峴空港
7·4 남북 공동 성명,南北共同声明
8월 종파 사건,8月宗派事件
가곡역,佳谷駅
갑산파,甲山派
제11군단,軽歩兵教導指導局
고무산역,古茂山駅
금강산청년역,金剛山青年駅
룡악산,龍岳山
룡곡서원,龍谷書院
룡지원역,龍池院駅
4월의 봄 친선예술축전,4月の春親善芸術祭
만포청년역,満浦青年駅
반죽역,班竹駅
백암청년역,白岩青年駅
부래산역,浮来山駅
북한한류,北鮮海流
소련파,ソ連派
숭양서원,崧陽書院
한국어족,朝鮮語族
김일성방송대학,金日成放送大学
김정일정치군사대학,金正日政治軍事大学
김책제철련합기업소,金策製鉄所
삼방역,三防駅
동가리역,董家里駅
단양제이팔경,丹陽第二八景
락천역,落川駅
광명역 (고산),光明駅
검불랑역,剣仏浪駅
남산역 (안변),南山駅
성산역 (세포),城山駅
평강역 (평강),平康駅
인민위원회,人民委員会
조선로동당 중앙위원회 정무국,朝鮮労働党中央委員会政務局
리목역,梨木駅
세포청년역,洗浦青年駅
황포강,黄浦江
청강,清江
남강,南江 (江原道)
송남청년탄광선,ソルゴル炭鉱線
장상선,チャンサン線
춘두선,チュンドゥ線
대건선,戴建線
득장선,トゥクチャン線
비날론선,ビナロン線
3대혁명붉은기쟁취운동,三大革命赤旗獲得運動
중앙인민위원회,中央人民委員会
구봉산선,亀鳳山線
조양탄광선,价川炭鉱線
보안대,保安隊
보산선,保山線
대북전단과 대남전단,北朝鮮向けビラ
남양국경선,南陽国境線
고참탄광선,古站炭鉱線
염주역,塩州駅
조선소년단,朝鮮少年団
은산선,殷山線
신성천역,新成川駅
석탕온천역,石湯温泉駅
성내역 (수동),城内駅
4·25문화회관,4・25文化会館
둔전역 (수동),屯田駅
양덕역,陽徳駅
은산역,殷山駅
고려왕릉,高麗王陵
릉라인민유원지,綾羅人民遊園地
려현역,礪峴駅
룡강선,龍岡線
룡천역,龍川駅
용성 관저,龍城官邸
룡흥사,龍興寺 (咸鏡南道)
령통사,霊通寺
서산축구경기장,西山サッカー競技場
신계역,新渓駅
석현역,石峴駅
신의주 관저,新義州官邸
조선로동당출판사,朝鮮労働党出版社
사회과학원,朝鮮社会科学院
조선적십자종합병원,朝鮮赤十字総合病院
동포선,東浦線
재동선,梓洞線
락랑선,楽浪線
수풍선,水豊線
해안경비대 (북한),海岸警備隊 (北朝鮮)
청진항선,清津港線
청화력선,清火力線
직동탄광선,直洞炭鉱線
조국해방전쟁승리기념관,祖国解放戦争勝利記念館
자력갱생,自力更生
서호선,西湖線
운하선,運河線
김만유병원,金萬有病院
금야선,金野線
령대선,霊デ線
북한의 소수민족,北朝鮮の少数民族
조선의 오늘,朝鮮の今日
로라스케트장,平壌スケートパーク
김일성-김정일주의,金日成・金正日主義
보산제철소,保山製鉄所
대안중기계련합기업소,大安重機械連合企業所
대안친선유리공장,大安親善ガラス工場
2017년 조선민주주의인민공화국,2017年の朝鮮民主主義人民共和国
동아시아 청소년 경기 대회,東アジアユースゲームズ
가담역,カダム駅
