Campinas,カンピーナス
Maracanaço,マラカナンの悲劇
Ponta do Seixas,ブランコ岬・(南アメリカ)
Senninha,セニーニャ
Klabin,クラビン
Estrada de Ferro Madeira-Mamoré,マデイラ・マモレ鉄道
Serra do Tumucumaque,トゥムクマケ山地
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,セルソ・スコヴ・ダ・フォンセカ連邦技術教育センター
Eliminatórias da Copa do Mundo FIFA de 2014 - Ásia,2014・FIFAワールドカップ・アジア予選
ALCO RSC-1,アルコRSC-1形ディーゼル機関車
Porto Seguro,ポルト・セグーロ
Palácio do Planalto,プラナルト宮殿
Campeonato Mundial de Clubes da FIFA de 2000,FIFAクラブ世界選手権2000
Sítio Arqueológico de São Miguel Arcanjo,サン・ミゲル・ダス・ミソンイス
Paranaguá,パラナグア
Partido Comunista do Brasil,ブラジル共産党
Aeromóvel,大気圧鉄道
Seleção Brasileira de Futebol Feminino,サッカーブラジル女子代表
Rio Jaguarão,ジャグアラン川
Rio Abunã,アブナ川
NET (empresa),NETセルビソス
Catanduva,カタンドゥーヴァ
Grêmio Esportivo Brasil,GEブラジウ
Franca,フランカ
Aeroporto Internacional de Belém,ヴァウ・デ・カンス国際空港
Esporte Clube Novo Hamburgo,ECノヴォ・アンブルゴ
Copa América de 1983,コパ・アメリカ1983
Campeonato Carioca de Futebol,カンピオナート・カリオカ
Gerdau,ジェルダウ
Paysandu Sport Club,パイサンドゥSC
Educação no Brasil,ブラジルの教育
Troller,トロラー
Farmasi Arena,ジュネス・アリーナ
Club Athletico Paranaense,アトレチコ・パラナエンセ
Corcovado,コルコバード
Campeonato Brasileiro de Futebol de 1994,1994・カンピオナート・ブラジレイロ・セリエA
São Lourenço (Minas Gerais),サン・ロウレンソ・(ブラジル)
Política de boa vizinhança,善隣政策
Gradiente (empresa),グラディエンテ
Bachianas brasileiras,ブラジル風バッハ
Bonito (Mato Grosso do Sul),ボニート・(マットグロッソ・ド・スル州)
Oi (empresa),テレマール・ノルテ・レステ
Usiminas,ウジミナス
Metrô de Belo Horizonte,メトロ・デ・ベロオリゾンテ
Santa Cruz Futebol Clube,サンタクルスFC
Vila Nova Futebol Clube,ヴィラ・ノヴァFC
Clube Atlético do Porto,クルーベ・アトレチコ・ド・ポルト
Campeonato Mundial de Basquetebol Feminino de 2006,2006年女子バスケットボール世界選手権
Timbó (Santa Catarina),チンボー
Grand Prix de Futsal,グランプリ・デ・フットサル
GPA,ポム・デ・アスカー
ATP da Costa do Sauípe de 2010,2010年ブラジル・オープン
Nacional Futebol Clube (Amazonas),ナシオナルFC・(アマゾナス州)
Meridiano 63 W,西経63度線
Campeonato Brasileiro de Futebol de 1975,1975・カンピオナート・ブラジレイロ・セリエA
Guaraná (refrigerante),ガラナ飲料
Gurgel,グルジェル
Supremo Tribunal Federal,連邦最高裁判所・(ブラジル)
Museu de Arte Contemporânea de Niterói,ニテロイ現代美術館
Museu de Arte Moderna de São Paulo,サンパウロ近代美術館
Grupo Ultra,ウルトラパール
Madureira Esporte Clube,マドゥレイラEC
Itaúsa,イタウサ
TUE Série 440 (Renfe),レンフェ440系電車
Bangu Atlético Clube,バングーAC
Brasiliense Futebol Clube,ブラジリエンセFC
ATP da Costa do Sauípe de 2010 - Simples,2010年ブラジル・オープンシングルス
Carlos Barbosa,カルロス・バルボーザ
Atibaia,アチバイア
Bandeirantes,バンデイランテス
Banco Central do Brasil,ブラジル中央銀行
Bradesco,バンコ・ブラデスコ
Paralelo 4 S,南緯4度線
Avianca Brasil,アビアンカ・ブラジル航空
Passa Quatro,パッサ・クアトロ
Itabira,イタビラ
Londrina Esporte Clube,ロンドリーナEC
Sport Club Corinthians Alagoano,SCコリンチャンス・アラゴアーノ
Azul Linhas Aéreas Brasileiras,アズールブラジル航空
B3 (bolsa de valores),サンパウロ証券・商品・先物取引所
Barbacena (Minas Gerais),バルバセーナ
Flamengo (bairro do Rio de Janeiro),フラメンゴ
Campeonato Mundial de Basquetebol Masculino de 1963,1963年バスケットボール世界選手権
Caucaia,カウカイア
Goiás Esporte Clube,ゴイアスEC
Usina Hidrelétrica de Belo Monte,ベロ・モンテ水力発電ダム群
Formosa (Goiás),フォルモザ
Mirandópolis,ミランドポリス
Palmeira d'Oeste,パルメイラ・ドエスチ
Cubatão,クバタン
Estádio Morumbis,エスタジオ・ド・モルンビー
Copa do Mundo de Futsal de 2008,2008・FIFAフットサルワールドカップ
Bola de Ouro,ボーラ・ジ・オーロ
Carlos Gomes (Rio Grande do Sul),カルロス・ゴメス・(ブラジル)
Petrolina,ペトロリーナ
Embraer EMB-312 Tucano,エンブラエル・EMB-312
Cariacica,カリアシカ
Caso Rojas,ロハス事件
São Cristóvão (Sergipe),サン・クリストヴァン
Paraná Clube,パラナ・クルーベ
Jandira,ジャンヂーラ
Copa América de 1989,コパ・アメリカ1989
Lista de bandeiras do Brasil,ブラジルの州旗一覧
Universidade de São Paulo,サンパウロ大学
Serra do Mar,セーハ・ド・マール
Movimento dos Trabalhadores Rurais sem Terra,土地なし農民運動
Agência Espacial Brasileira,ブラジル宇宙機関
Clube de Regatas Brasil,クルーベ・ジ・レガタス・ブラジル
São Bernardo Futebol Clube,サンベルナルドFC
Volkswagen Brasil,フォルクスワーゲン・ド・ブラジル
ATP Challenger Tour Finals,ATPチャレンジャーツアー・ファイナル
Seleção Brasileira de Beisebol,野球ブラジル代表
Autódromo Internacional de Curitiba,クリチバ・サーキット
Campos do Jordão,カンポス・ド・ジョルドン
Campeonato Sul-Americano de Futebol de 1949,サッカー南米選手権1949
Luverdense Esporte Clube,ルヴェルデンセEC
Macaé Esporte Futebol Clube,マカエEFC
Campeonato Sul-Americano de Voleibol Masculino de 2011,2011年バレーボール男子南米選手権
Associação Desportiva Recreativa Cultural Icasa,ADRCイカザ
Tupi Football Club,トゥピFC
Duque de Caxias Futebol Clube,ドゥケ・ジ・カシアスFC
Aeroporto Internacional de Florianópolis,エルシリオ・ルス国際空港
Campeonato Brasiliense de Futebol,カンピオナート・ブラジリエンセ
Copa do Brasil de Futebol,コパ・ド・ブラジル
TAV Rio–São Paulo,ブラジル高速鉄道
Brasil nos Jogos Olímpicos,オリンピックのブラジル選手団
Economia do Brasil,ブラジルの経済
Jaú,ジャウー
Campeonato Brasileiro de Futebol de 1984,1984・カンピオナート・ブラジレイロ・セリエA
Campeonato Sul-Americano de Voleibol Feminino de 1995,1995年バレーボール女子南米選手権
Red Bull Bragantino,レッドブル・ブラガンチーノ
Pall Mall (cigarro),ポールモール
Literatura do Brasil,ブラジル文学
Transporte ferroviário no Brasil,ブラジルの鉄道
Brasil nos Jogos Olímpicos de Verão de 1952,1952年ヘルシンキオリンピックのブラジル選手団
Estádio Beira-Rio,エスタジオ・ベイラ＝リオ
Embraer EMB-145 AEW%26C,エンブラエル・R-99
Lista de imperatrizes do Brasil,ブラジル王妃・皇后一覧
Campeonato Brasileiro de Futebol de 1979,1979・カンピオナート・ブラジレイロ・セリエA
Voo TAM 3054,TAM航空3054便オーバーラン事故
Jogos Pan-Americanos de 2007,2007年パンアメリカン競技大会
Ceará Sporting Club,セアラーSC
Seleção Brasileira de Basquetebol Feminino,バスケットボール女子ブラジル代表
Parque Nacional Montanhas do Tumucumaque,トゥムクマケ国立公園
Varig,ヴァリグ・ブラジル航空
Rio Negro (Uruguai),ネグロ川・(ウルグアイ)
Aeroporto do Rio de Janeiro-Santos Dumont,サントス・ドゥモン空港
Aeroporto de São Paulo-Congonhas,コンゴーニャス空港
Hibria,ヒブリア
Cangaço,カンガセイロ
Aeroporto Internacional de Aracaju,サンタマリア空港・(セルジペ州)
Campeonato Mundial de Basquetebol Feminino de 1983,1983年女子バスケットボール世界選手権
Eleições gerais no Brasil em 2010,2010年ブラジル総選挙
Finta,フィンタ
Campinense Clube,カンピネンセ・クルーベ
Fundão (Espírito Santo),フンダン・(ブラジル)
Pampulha,パンプーリャ
Acidente radiológico de Goiânia,ゴイアニア被曝事故
Instituto Nacional de Pesquisas Espaciais,ブラジル国立宇宙研究所
Club Athletico Paulistano,アトレチコ・パウリスターノ
Campeonato Brasileiro de Futebol de 1989,1989・カンピオナート・ブラジレイロ・セリエA
Vale S.A.,ヴァーレ
Puma Automóveis,プーマ・(自動車)
Araxá,アラシャ
Universidade Federal do Rio de Janeiro,リオデジャネイロ連邦大学
Cinema novo,シネマ・ノーヴォ
Região Sul do Brasil,南部地域・(ブラジル)
Happy Science,幸福の科学
Eliminatórias da Copa do Mundo FIFA de 2014 - Repescagem intercontinental,2014・FIFAワールドカップ・大陸間プレーオフ
Ítalo-brasileiro,イタリア系ブラジル人
Ponte Octávio Frias de Oliveira,オクタヴィオ・フリアス・ジ・オリヴェイラ橋
Satélite Sino-Brasileiro de Recursos Terrestres,中国・ブラジル地球資源衛星
Região Sudeste do Brasil,南東部地域・(ブラジル)
CPFL Energia,CPFLエネルジア
Companhia Energética de São Paulo,サンパウロ電力
Companhia Energética de Minas Gerais,ミナスジェライス電力
Grupo CCR,コンセッソンエス・ロドビアリア
Companhia Paulista de Trens Metropolitanos,サンパウロ都市圏鉄道会社
Tapioca,タピオカ
Campeonato Amazonense de Futebol,カンピオナート・アマゾネンセ
Supercopa Rei,スーペルコパ・ド・ブラジル
Campeonato Mundial de Natação em Piscina Curta de 1995,1995年世界短水路選手権
Comgás,サンパウロガス
Rio Abacaxis,アバカシス川
Ituano Futebol Clube,イトゥアーノFC
Itumbiara Esporte Clube,イツンビアラEC
JBS,JBS・(企業)
Sociedade Esportiva e Recreativa Caxias do Sul,SERカシアス・ド・スル
Liga Mundial de Voleibol de 1995,1995年バレーボール・ワールドリーグ
Implementação conjunta,共同実施
Balneário Camboriú,バウネアーリオ・コンボリウー
Criciúma Esporte Clube,クリシューマEC
Forças Armadas do Brasil,ブラジル軍
Lagoa Mirim,メリン湖
Cacique,カシケ
Prêmio Craque do Brasileirão,プレミオ・クラッキ・ド・ブラジレイロン
Mogi Mirim,モジ・ミリン
Pará de Minas,パラ・デ・ミナス
Bradespar,ブラデスパル
Votorantim S/A,ヴォトランチン・グループ
Ibovespa,ボベスパ指数
Campeonato Baiano de Futebol,カンピオナート・バイアーノ
Estádio Mário Celso Petraglia,アレナ・ダ・バイシャーダ
Aeroporto Internacional de Campo Grande,カンポ・グランデ国際空港
Triunfo (Rio Grande do Sul),トリウンフォ
BRF,ブラジル・フーズ
Campeonato Brasileiro de Futebol de 2003 - Série A,2003・カンピオナート・ブラジレイロ・セリエA
Seleção Brasileira de Futebol Sub-23,U-23サッカーブラジル代表
Brasil Telecom,ブラジル・テレコム
ATP da Costa do Sauípe de 2011,2011年ブラジル・オープン
Campeonato Brasileiro de Futebol - Série B,カンピオナート・ブラジレイロ・セリエB
Ceilândia Esporte Clube,セイランジアEC
Banco do Brasil,ブラジル銀行
Cansei de Ser Sexy,CSS・(バンド)
Domingos Martins,ドミンゴス・マルチンス
Cianorte Futebol Clube,シアノルテFC
Campeonato Brasileiro de Futebol de 1980,1980・カンピオナート・ブラジレイロ・セリエA
Culinária do Brasil,ブラジル料理
Grupo Globo,グルーポ・グローボ
Bonde da Stronda,BONDE・DA・STRONDA
Assalto ao Banco Central do Brasil em Fortaleza,ブラジル中央銀行フォルタレザ支店金庫破り事件
Caruaru,カルアル
Arapiraca,アラピラカ
Seleção Brasileira de Handebol Masculino,ハンドボールブラジル代表
Rio Paraíba do Sul,パライーバ・ド・スル川
Araraquara,アララクアラ
"Eliminatórias da Copa do Mundo FIFA de 2014 - América do Norte, Central e Caribe",2014・FIFAワールドカップ・北中米カリブ海予選
Campeonato Pernambucano de Futebol,カンピオナート・ペルナンブカーノ
Itapagipe,イタパジペ
Campeonato Acriano de Futebol,カンピオナート・アクレアーノ
Jequié,ジェキエー
Metrô do Recife,メトロ・ド・レシフェ
Nazaré (Bahia),ナザレ・(ブラジル)
Brumado,ブルマード
Neve no Brasil,ブラジルでの降雪
Campeonato Mato-Grossense de Futebol,カンピオナート・マトグロッセンセ
Liga Mundial de Voleibol de 2002,2002年バレーボール・ワールドリーグ
Picos,ピークス
Associação Carlos Barbosa de Futsal,カルロス・バルボーザ・(フットサルクラブ)
Campeonato Capixaba de Futebol,カンピオナート・カピシャーバ
Lei do Ventre Livre,リオ・ブランコ法
Carandaí,カランダイ
Viçosa (Minas Gerais),ヴィソーザ
Club Sportivo Sergipe,CSセルジッペ
Copa Norte de Futebol,コパ・ノルテ
Campeonato Brasileiro de Futebol de 2011 - Série A,2011・カンピオナート・ブラジレイロ・セリエA
São Carlos Futebol Clube,サンカルロスFC
Stadler He 4/4,シュタッドラー・He4/4形電気機関車
Universo Online,ウニヴェルソ・オンライン
Brasil nos Jogos Olímpicos de Verão de 1972,1972年ミュンヘンオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 1948,1948年ロンドンオリンピックのブラジル選手団
Exército Brasileiro,ブラジル陸軍
União São João Esporte Clube,ウニオン・サンジョアンEC
Theatro Municipal de São Paulo,サンパウロ市立劇場
Seleção Brasileira de Futebol Sub-20,U-20サッカーブラジル代表
Agremiação Sportiva Arapiraquense,アグレミアソン・スポルチーヴァ・アラピラケンセ
Bumba meu boi,ブンバ・メウ・ボイ
Seleção Brasileira de Futebol de Areia,ビーチサッカーブラジル代表
Campeonato Brasileiro de Futebol de 2012 - Série A,2012・カンピオナート・ブラジレイロ・セリエA
Campeonato Catarinense de Futebol,カンピオナート・カタリネンセ
Banda Black Rio,バンダ・ブラック・リオ
Botafogo Futebol Clube (Ribeirão Preto),ボタフォゴFC・(サンパウロ州)
Câmara dos Deputados do Brasil,連邦議会下院・(ブラジル)
Palácio da Alvorada,アルボラーダ宮殿
Praia de Ponta Negra (Natal),ポンタ・ネグラ
Associação Atlética Aparecidense,AAアパレシデンセ
Olaria Atlético Clube,オラリアAC
Anchieta (Espírito Santo),アンシエタ・(エスピリトサント州)
Campeonato Brasileiro de Futebol de 2009 - Série A,2009・カンピオナート・ブラジレイロ・セリエA
Uberlândia Esporte Clube,ウベルランジアEC
Rede (empresa),レデカード
MS Ore Brasil,ヴァーレ・ブラジル
Associação Atlética Portuguesa (Rio de Janeiro),AAポルトゥゲーザ・(リオデジャネイロ州)
Marcopolo,マルコポーロ・(企業)
Metrô de Fortaleza,Metrofor
Primeiro Comando da Capital,首都第一コマンド
Universidade Federal de Santa Catarina,サンタカタリーナ連邦大学
Museu Nacional,ブラジル国立博物館
ATP da Costa do Sauípe de 2010 - Duplas,2010年ブラジル・オープンダブルス
Seleção Brasileira de Futebol Sub-17,U-17サッカーブラジル代表
Constituição brasileira de 1988,ブラジル連邦共和国憲法
Americano Futebol Clube,アメリカーノFC
Luta livre esportiva,ルタ・リーブリ
Catedral de Petrópolis,ペトロポリス大聖堂
Catedral de São Sebastião do Rio de Janeiro,リオデジャネイロ大聖堂
MRV Engenharia,MRVエンゲンハリア
Partido Social Liberal,社会自由党・(ブラジル)
Fórmula Truck,フォーミュラ・トラック
Lista de clubes de futebol do Brasil,ブラジルのサッカークラブ一覧
Campeonato Sul-Americano de Voleibol Feminino de 1989,1989年バレーボール女子南米選手権
Campeonato Brasileiro de Futebol de 2013 - Série A,2013・カンピオナート・ブラジレイロ・セリエA
Mogi Mirim Esporte Clube,モジミリンEC
Sertãozinho Futebol Clube,セルトンジーニョFC
Vinho brasileiro,ブラジルワイン
Campeonato Brasileiro de Futebol - Série C,カンピオナート・ブラジレイロ・セリエC
Campeonato Sul-Americano de Voleibol Masculino de 1951,1951年バレーボール男子南米選手権
Campeonato Sul-Americano de Voleibol Feminino de 2009,2009年バレーボール女子南米選手権
Brasil nos Jogos Olímpicos de Verão de 1976,1976年モントリオールオリンピックのブラジル選手団
Campeonato Gaúcho de Futebol,カンピオナート・ガウショ
Joinville Esporte Clube,ジョインヴィレEC
Atlético Roraima Clube,アトレチコ・ロライマ・クルーベ
Marília Atlético Clube,マリーリアAC
Grêmio Esportivo Sãocarlense,GDサンカルレンセ
Copa dos Campeões (CBF),コパ・ドス・カンピオンイス
Campeonato Brasileiro de Futebol de 2005 - Série A,2005・カンピオナート・ブラジレイロ・セリエA
Brasil nos Jogos Olímpicos de Verão de 1964,1964年東京オリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 1968,1968年メキシコシティーオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 2000,2000年シドニーオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 1960,1960年ローマオリンピックのブラジル選手団
Sampaio Corrêa Futebol Clube,サンパイオ・コヘイアFC
Brasil nos Jogos Olímpicos de Verão de 1956,1956年メルボルンオリンピックのブラジル選手団
Copa João Havelange,コパ・ジョアン・アヴェランジェ
ATP da Costa do Sauípe de 2011 - Simples,2011年ブラジル・オープンシングルス
ATP da Costa do Sauípe de 2011 - Duplas,2011年ブラジル・オープンダブルス
Bacamarte (banda),バカマルテ
Registro (São Paulo),レジストロ
Campeonato Sul-Mato-Grossense de Futebol,カンピオナート・スル＝マトグロッセンセ
Campeonato Cearense de Futebol,カンピオナート・セアレンセ
Partido Socialista Brasileiro (1985),ブラジル社会党
Zona Franca de Manaus,マナウス自由貿易地区
Nossa Senhora da Conceição Aparecida,アパレシーダの聖母
Universidade Estadual de Campinas,カンピーナス州立大学
Campeonato Alagoano de Futebol,カンピオナート・アラゴアーノ
Águia de Marabá Futebol Clube,アギア・ジ・マラバFC
Rebeldes (banda),RebeldeS
Reservas de Mata Atlântica da Costa do Descobrimento,コスタ・ド・デスコブリメントの大西洋岸森林保護区群
Potiguar,ポティグアル
Esporte no Brasil,ブラジルのスポーツ
Universidade do Estado de Minas Gerais,ミナス・ジェライス州立大学
Central Sport Club,セントラルSC
Rio Branco Atlético Clube,リオ・ブランコAC
Esporte Clube São José,ECサン・ジョゼ
Esporte Clube Pelotas,ECペロタス
Quinta da Boa Vista,キンタ・ダ・ボア・ヴィスタ
Habib's,ハビービス
Associação Atlética Anapolina,AAアナポリナ
Alecrim Futebol Clube,アレクリンFC
Reservas de Mata Atlântica do Sudeste,大西洋岸森林南東部の保護区群
Línguas do Brasil,ブラジルの言語
Língua caingangue,カインガング語
Campeonato Brasileiro de Futebol de 2006 - Série A,2006・カンピオナート・ブラジレイロ・セリエA
Campeonato Piauiense de Futebol,カンピオナート・ピアウイエンセ
J.Malucelli Futebol S/A,J・マルセーリ・フチボウ
Moto Club,モト・クルブ・ジ・サン・ルイス
Friburguense Atlético Clube,フリブルゲンセAC
Brusque Futebol Clube,ブルスキFC
Museu Nacional de Belas Artes (Brasil),国立美術館・(ブラジル)
Campeonato Brasileiro de Futebol de 2004 - Série A,2004・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 2002,2002・カンピオナート・ブラジレイロ・セリエA
Esporte Clube Flamengo,ECフラメンゴ
Fluminense de Feira Futebol Clube,フルミネンセ・フェイラFC
Iraty Sport Club,イラチSC
Embraer Lineage 1000,エンブラエル・リネージュ・1000
Esporte Clube Democrata,ECデモクラータ
Bola de Prata,ボーラ・ジ・プラッタ
Associação Chapecoense de Futebol,アソシアソン・シャペコエンセ・ジ・フチボウ
WTA de Florianópolis,ブラジル・テニス・カップ
Polícias militares do Brasil,軍警察・(ブラジル)
Stock Car Pro Series,ストックカー・ブラジル
Meridiano 56 W,西経56度線
Campeonato Brasileiro de Futebol de 1971,1971・カンピオナート・ブラジレイロ・セリエA
São Cristóvão de Futebol e Regatas,サンクリストヴァンFR
Meridiano 64 W,西経64度線
Meridiano 69 W,西経69度線
Meridiano 65 W,西経65度線
Meridiano 52 W,西経52度線
Meridiano 53 W,西経53度線
Meridiano 55 W,西経55度線
Meridiano 57 W,西経57度線
Meridiano 59 W,西経59度線
Meridiano 58 W,西経58度線
Volta Redonda Futebol Clube,ヴォルタ・レドンダFC
Mixto Esporte Clube,ミストEC
Clube do Remo,クルーベ・ド・レモ
Theatro Municipal do Rio de Janeiro,リオデジャネイロ市立劇場
Brasil nos Jogos Olímpicos de Verão de 1932,1932年ロサンゼルスオリンピックのブラジル選手団
Rio Branco Esporte Clube,リオ・ブランコEC
Paralelo 2 S,南緯2度線
Meridiano 38 W,西経38度線
Meridiano 35 W,西経35度線
Meridiano 50 W,西経50度線
Meridiano 62 W,西経62度線
Associação Sportiva Sociedade Unida,アソシアソン・スポルティーヴァ・ソシエダージ・ウニーダ
Meridiano 54 W,西経54度線
Meridiano 61 W,西経61度線
Meridiano 70 W,西経70度線
Meridiano 60 W,西経60度線
Catupiry,カトゥピリ
Campeonato Rondoniense de Futebol,カンピオナート・ロンドニエンセ
Meridiano 45 W,西経45度線
Paralelo 23 S,南緯23度線
Canoas Sport Club,カノアスSC
Campeonato Paraibano de Futebol,カンピオナート・パライバーノ
Campeonato Sergipano de Futebol,カンピオナート・セルジパーノ
Clube Atlético Metropolitano,CAメトロポリターノ
ALCO RS-3,アルコRS-3形ディーゼル機関車
Centro de Lançamento da Barreira do Inferno,バライラ・ド・インフェルノ射場
Campeonato Sul-Americano de Voleibol Feminino de 1991,1991年バレーボール女子南米選手権
Campeonato Sul-Americano de Voleibol Feminino de 1958,1958年バレーボール女子南米選手権
Inconfidência Mineira,ミナスの陰謀
Campeonato Sul-Americano de Voleibol Feminino de 1981,1981年バレーボール女子南米選手権
Meridiano 68 W,西経68度線
Campeonato Sul-Americano de Voleibol Feminino de 1951,1951年バレーボール女子南米選手権
Meridiano 67 W,西経67度線
Global Village Telecom,グローバル・ヴィレッジ・テレコム
Rede Bandeirantes,バンデランテス
Rio de Janeiro Vôlei Clube,レクソーナ・アデス
Guaratinguetá Futebol Ltda.,グアラチンゲタ・フチボウ
Rio Branco Football Club,リオ・ブランコFC
Clube Atlético Matogrossense,アトレチコ・マトグロッセンセ
Associação Desportiva Ferroviária Vale do Rio Doce,デスポルチーヴァ・フェロヴィアリア
Mostra Internacional de Cinema de São Paulo,サンパウロ国際映画祭
Seleção Brasileira de Rugby Union,ラグビーブラジル代表
Discografia de Sepultura,セパルトゥラの作品
Decasségui,出稼ぎ
Campeonato Brasileiro de Futebol de 1986,1986・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1983,1983・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1985,1985・カンピオナート・ブラジレイロ・セリエA
Aeroporto Internacional de Belo Horizonte-Confins,タンクレド・ネヴェス国際空港
Campeonato Brasileiro de Futebol de 2010 - Série A,2010・カンピオナート・ブラジレイロ・セリエA
UFC 147,UFC・147
Aeroporto Internacional de Fortaleza,ピント・マルチンス国際空港
Campeonato Brasileiro de Futebol de 1973,1973・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1976,1976・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1978,1978・カンピオナート・ブラジレイロ・セリエA
Meridiano 40 W,西経40度線
Campeonato Brasileiro de Futebol de 1977,1977・カンピオナート・ブラジレイロ・セリエA
Brasil nos Jogos Olímpicos de Verão de 1988,1988年ソウルオリンピックのブラジル選手団
Associação Atlética Portuguesa,AAポルトゥゲーザ・(サンパウロ州)
Brasil nos Jogos Olímpicos de Verão de 1992,1992年バルセロナオリンピックのブラジル選手団
Brasil nos Jogos Olímpicos de Verão de 1984,1984年ロサンゼルスオリンピックのブラジル選手団
Operário Ferroviário Esporte Clube,オペラリオ・フェロヴィアリオEC
Brasil nos Jogos Olímpicos de Verão de 1996,1996年アトランタオリンピックのブラジル選手団
Cultura do Brasil,ブラジルの文化
Campeonato Brasileiro de Futebol de 1972,1972・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1974,1974・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1991,1991・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1988,1988・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1990,1990・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1982,1982・カンピオナート・ブラジレイロ・セリエA
ATP da Costa do Sauípe de 2011 - Simples (qualificatório),2011年ブラジル・オープンシングルス予選
Shabono,シャボノ
Novo Basquete Brasil,ノーヴォ・バスケット・ブラジル
Campeonato Mundial de Judô Masculino de 1965,1965年世界柔道選手権大会
Penalty,ペナルティ・(スポーツ用品)
Campeonato Maranhense de Futebol,カンピオナート・マラニェンセ
Campeonato Brasileiro de Futebol de 1995,1995・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1996,1996・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1992,1992・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1998,1998・カンピオナート・ブラジレイロ・セリエA
Campeonato Amapaense de Futebol,カンピオナート・アマパエンセ
Aberto de São Paulo,プライム・カップ・オープン・サンパウロ
Osasco Voleibol Clube,オザスコ・バレーボールクラブ
Almah,アルマー
Cachoeira do Itiquira,イチキラの滝
Universidade do Estado do Rio de Janeiro,リオデジャネイロ州立大学
2009 no Brasil,2009年のブラジル
Recopa Sul-Americana de 2012,レコパ・スダメリカーナ2012
Brasília Futebol Clube,ブラジリアFC
Atlético Clube Juventus,ACジュベントス
Mirassol Futebol Clube,ミラソウFC
São Raimundo Esporte Clube (Pará),サン・ライムンドEC・(パラー州)
Campeonato Brasileiro de Futebol de 2007 - Série A,2007・カンピオナート・ブラジレイロ・セリエA
Campeonato Brasileiro de Futebol de 1997,1997・カンピオナート・ブラジレイロ・セリエA
Anápolis Futebol Clube,アナポリスFC
Rio Claro Futebol Clube,リオ・クラロFC
América Futebol Clube (São José do Rio Preto),アメリカFC・(サンパウロ州)
Partido Social Democrático (1945),社会民主党・(ブラジル、1945年結成)
Esporte Clube Noroeste,ECノロエスチ
B2W Digital,B2Wヴァレジョ
BRA Transportes Aéreos,BRA航空
Arquivo Nacional (Brasil),ナショナル・アーカイブ・(ブラジル)
Derby Paulista,サンパウロダービー
Esporte Clube XV de Novembro (Piracicaba),ECキンゼ・ジ・ノヴェンブロ・(ピラシカーバ)
Associação Atlética Luziânia,AAルジアニア
Associação Atlética Francana,AAフランカーナ
Associação Desportiva Cabofriense,ADカボフリエンセ
Associação Desportiva Leônico,ADレオニコ
Associação Desportiva Vasco da Gama,ADヴァスコ・ダ・ガマ
Taça Independência (1972),タッサ・インデペンデンシア
Campeonato Sul-Americano de Voleibol Masculino de 1967,1967年バレーボール男子南米選手権
Campeonato Sul-Americano de Voleibol Masculino de 2005,2005年バレーボール男子南米選手権
Campeonato Sul-Americano de Voleibol Masculino de 1983,1983年バレーボール男子南米選手権
Campeonato Sul-Americano de Voleibol Masculino de 1989,1989年バレーボール男子南米選手権
Campeonato Brasileiro de Futebol de 1999,1999・カンピオナート・ブラジレイロ・セリエA
Campeonato Sul-Americano de Voleibol Masculino de 1991,1991年バレーボール男子南米選手権
Campeonato Sul-Americano de Voleibol Masculino de 1995,1995年バレーボール男子南米選手権
Campeonato Sul-Americano de Voleibol Masculino de 2003,2003年バレーボール男子南米選手権
Botafogo Futebol Clube (João Pessoa),ボタフォゴFC・(パライバ州)
Salgueiro Atlético Clube,サルゲイロAC
Maloca,マロカ
Revolução Praieira,プライエイラ革命
Campeonato Brasileiro de Futebol de 2008 - Série A,2008・カンピオナート・ブラジレイロ・セリエA
Escola de samba,サンバチーム
Banco Santander (Brasil),バンコ・サンタンデール・ブラジル
Boavista Sport Club,ボアヴィスタSC
Beisebol nos Jogos Pan-Americanos de 2007,2007年パンアメリカン競技大会における野球競技
Estádio Aquático Olímpico,エスタジオ・アクアティコ・オリンピコ
Brasil Ecodiesel,ブラジル・エコディーゼル
