México,墨西哥
Rito de los voladores,飞人典礼
Rally de México,墨西哥拉力賽
Apango,阿潘戈
Apizaco,阿皮薩科
nunciatura apostólica en México,教廷驻墨西哥大使馆
Vicaría Apostólica de Calapan,天主教卡拉潘代牧区
Parque nacional Cofre de Perote,科夫雷德佩羅特峰國家公園
Torneo Bicentenario 2010,2009年至2010年墨西哥足球甲级联赛
Dorados de Sinaloa,迪聖拉諾亞
Batalla de San Pablo del Monte,聖巴勃羅德爾蒙特戰役
Azteca América,阿茲泰克美國電視臺
Miramar,美麗華 (塔毛利帕斯州)
Magnicharters,馬格尼查特斯航空
línea 2 del Metro de Monterrey,蒙特雷地鐵2號線
Parque Delta,三角洲公园
Amozoc,阿莫索克-德莫塔
Parque nacional El Tepeyac,特佩亞克國家公園
Archivo General de la Nación,國家檔案總館
Congreso de la Ciudad de México,聯邦區立法會議
La mano de Dios,上帝之手
Cultura mixteca,米斯特克
Horchata,歐洽塔
Batalla de San Juan de Ulúa,聖胡安德烏魯阿戰役
Constitución Política de los Estados Unidos Mexicanos,墨西哥憲法
Juegos Panamericanos de 1955,1955年泛美運動會
Centro histórico de Ciudad de México,墨西哥城歷史中心
Río Jamapa,哈馬帕河
Flora Mesoamericana,中部美洲植物志
Tecolotes de Nuevo Laredo,新拉雷多貓頭鷹
Telcel,telcel
Telpochcalli,特尔波奇卡尔利
San José del Cabo,聖荷西得卡波
Ixtapa Zihuatanejo,伊斯塔柏
Guerra de Reforma,改革战争
batalla de Otumba,奥通巴战役
Catedral de Aguascalientes,圣母升天圣殿主教座堂
historia de Ciudad de México,墨西哥城历史
Catedral Metropolitana de la Ciudad de México,墨西哥城主教座堂
Aeropuerto Internacional de Cancún,坎昆國際機場
Xochimilco,霍奇米尔科
Islas Marías,瑪麗亞群島
Mocorito,莫科里托
Final de la Copa Mundial de Fútbol de 1986,1986年世界盃足球賽決賽
Consejo Mundial de Lucha Libre,世界摔跤協會
mexicanos,墨西哥人
Puerto Morelos,莫雷洛斯港
Ensenada,恩塞纳达
Presa Infiernillo,因菲耶尼約水壩
México en los Juegos Olímpicos,奥林匹克运动会墨西哥代表团
Paralelo 20 norte,北緯20度線
México en la Copa Mundial de Fútbol de 1962,1962年世界杯足球赛墨西哥队
Isla San Marcos,聖馬科斯島
Agencia Federal de Investigación,聯邦警察部
Clásico Regiomontano,蒙特雷打比
Parque nacional Sierra de Órganos,奧加諾斯山脈國家公園
presidente de México,墨西哥总统
elecciones federales de México de 2000,2000年墨西哥大选
Paralelo 25 norte,北纬25度线
Paralelo 15 norte,北緯15度線
Paralelo 30 norte,北纬30度线
InterLiga,南美自由盃墨西哥區附加賽
Cabo Corrientes (México),卡波科連特斯
Cadenatres,卡德納特雷斯
Río Moctezuma,莫克特苏马河
Gabinete de México,墨西哥内阁
Mahahual,玛哈乌尔
Los Cabos,洛斯卡沃斯
Cadena costera del Pacífico,太平洋海岸山脈
aviso de viaje,旅遊警示
Municipio de Ojinaga,奥希纳加自治区
Aeropuerto Internacional Carlos Rovirosa Pérez,比亞埃爾莫薩
Aeropuerto Internacional Amado Nervo,特皮克
Aeropuerto Internacional de Ciudad del Carmen,卡門城國際機場
Meridiano 115 oeste,西经115度线
Diócesis de Tacámbaro,天主教塔坎巴羅教區
Puebla Fútbol Club,普埃布拉足球會
Arquidiócesis de Acapulco,天主教阿卡普尔科总教区
Adidas Telstar Durlast,阿迪达斯Telstar
Eparquía de Nuestra Señora del Paraíso en México,默基特希臘禮天主教墨西哥城天堂之母教區
Cuauhtémoc,考乌特莫克联邦区
Eparquía de Nuestra Señora de los Mártires del Líbano en México,馬龍尼禮天主教墨西哥城黎巴嫩殉道者聖母教區
Tenayuca,特纳尤卡
Pijijiapan,皮希希亚潘自治区
Facultad de Artes y Diseño,设计与多媒体学院
Planta de energía geotérmica Cerro Prieto,安諾·艾美
Cuilápam de Guerrero,格雷罗的奎拉潘
Río Acaponeta,阿卡波內塔河
Club Necaxa,内卡哈俱乐部
Televisión Azteca,阿兹台克电视台
Texas Mexicana,墨西哥德克薩斯
Los Guerreros,葛雷洛家族
Ocupación estadounidense de Veracruz de 1914,美軍占領墨西哥維拉克魯茲
Isla Ángel de la Guarda,安赫爾德拉瓜爾達島
El Caracol (arquitectura),蛇形观象台
Sierra Negra,内格拉火山
Aeropuerto Internacional de Bahías de Huatulco,哈杜克
Aeropuerto Nacional Licenciado Miguel de la Madrid,米格爾·德拉馬德里機場
Zona Metropolitana de Monterrey,蒙特雷都會區
Matador,鬥牛士
La Peñita de Jaltemba,拉佩尼塔德哈尔特姆巴
Aeropuerto de Bahía de los Ángeles,天使灣機場
Candelaria (estación Metro de Ciudad de México),坎德拉里亚站
Canto a Baja California,致下加利福尼亞之歌
iglesia de Nuestra Señora de Valvanera,巴尔巴内拉圣母主教座堂
Catedral de Nuestra Señora de la Asunción (Oaxaca),圣母升天都主教座堂
Catedral Basílica de Zacatecas,萨卡特卡斯圣母升天圣殿主教座堂
Premio Mundial de Ciencias Albert Einstein,愛因斯坦世界科學獎
Margarita,玛格丽特
Progreso,普羅格雷索 (尤卡坦州)
Anexo:Medallero de los Juegos Paralímpicos de Tel Aviv 1968,1968年夏季残疾人奥林匹克运动会奖牌榜
Cordillera norteamericana,北美科迪勒拉山脉
Macroplaza,大广场
El Fuerte,埃尔富埃尔特
Aeropuerto Internacional de Tapachula,塔帕丘拉國際機場
Aeropuerto Internacional General Francisco J. Mujica,莫雷利亞機場
Aeropuerto Internacional Federal de Culiacán,Bachigualato聯邦國際機場
Aeropuerto Internacional de Uruapan,乌鲁阿潘国际机场
Aeropuerto Abraham González,Abraham González國際機場
Atlacomulco,阿特拉科穆爾科
El Colegio de México,墨西哥學院
El Economista,经济学家报
Kids Choice Awards México,墨西哥兒童選擇獎
nacionalidad mexicana,墨西哥國籍法
Comalcalco,科馬爾卡爾科自治區
Metepec,麦特佩克
Río Concepción,康塞普西翁河
Casa de los Azulejos,瓷砖之家
Ixil,伊希爾瑪雅人
Jerez de García Salinas,赫雷斯 (萨卡特卡斯州)
Comarca Lagunera,拉古内拉地区
San Ignacio,聖伊格納西奧
elecciones federales en México de 2006,2006年墨西哥大选
Cuautitlán Izcalli,庫奧蒂特蘭伊斯卡伊
Isla Danzante,丹澤特島
Chilón,契隆
Estadio Morelos,莫雷洛斯体育场
El Universal,宇宙报
Ostioneros de Guaymas,瓜伊馬斯牡蠣
Benito Juárez,貝尼托華雷斯
San José de Gracia,聖何塞·德格拉西亞
Champurrado,墨西哥熱可可
Chaparral y bosques de California,加利福尼亞叢林
Charrería,墨西哥牛仔競技
Oxkutzcab,奧斯庫茨卡夫
José Mariano Jiménez,何塞-马里亚诺希门尼斯
Campeonato FIBA Américas de 1989,1989 墨西哥城
La Paz,拉巴斯
Ciudad Serdán,塞尔丹城
Aculco,阿庫爾科
Atletismo en los Juegos Olímpicos de México 1968 - 80 metros vallas femenino,1968年夏季奥林匹克运动会田径女子80公尺跨栏比赛
Rosamorada,羅薩莫拉達市
Deportivo Toluca,托卢卡足球俱乐部
Municipio de Huixquilucan,维斯基卢坎
Golfo de Tehuantepec,特萬特佩克灣
Milenio Diario,千年报
Aeropuerto Internacional de Ciudad Obregón,奧夫雷貢城國際機場
OXXO,OXXO
cine mexicano,墨西哥电影
Matehuala,马特瓦拉
Zona Metropolitana del Valle de México,大墨西哥城都會區
Estadio Akron,芝華士運動場
Cinco de Mayo,五月五日节
Coyoacán,科约阿坎区
Hecelchakán,埃塞尔查坎市镇
Diócesis de Ciudad Juárez,天主教華雷斯城教區
Yaxchilán,亚斯奇兰
Iztaccíhuatl,伊斯塔西瓦特爾火山
Cerro de las Minas,矿丘
Matanza del Jueves de Corpus,基督圣体圣血节大屠杀
Río Grande de Santiago,大聖地亞哥河
Electric Daisy Carnival (EDC),電子小菊花嘉年華音樂會
Barrancas del Cobre,銅峽谷
Torneo Apertura 2011,2011年至2012年墨西哥足球甲级联赛
Solidaridad,索利達麗達特
Centrobasket 2008,2008 墨西哥
México prehispánico,前哥伦布时期的墨西哥
Partido Revolucionario Institucional,革命制度党
Ciudad Obregón,奧夫雷貢城
Universidad Iberoamericana,伊比利美洲大學
Tlaxcala de Xicohténcatl,特拉斯卡拉
Clásico del fútbol mexicano,超級德比
Candelaria,坎德拉里亚市镇
Calvillo,卡维洛
Copa FIFA Confederaciones 1999,1999年洲際國家盃
Armería,阿尔梅里亚自治区
Santa Cruz,聖塔克魯茲
Instituto Tecnológico y de Estudios Superiores de Monterrey,蒙特雷科技大学
Estadio Jalisco,阿茲迪球場
Juegos Panamericanos de 1975,1975年泛美运动会
Cihuatlán,锡瓦特兰
La Cruz,拉克鲁斯自治区
Municipio de Tula de Allende,图拉镇
First meeting of the Internet Governance Forum,互联网管理论坛
Presa Malpaso,馬爾帕索水壩
Nextlalpan,下一个拉潘
Torneo femenino de fútbol en los Juegos Panamericanos de 2011,2011年泛美运动会女子足球比赛
Foro Sol,佛羅索球場
Plaza de la Constitución,宪法广场
Liga Mexicana de Beisbol,墨西哥聯盟
Lago de Pátzcuaro,帕茨夸羅湖
Comité Olímpico Mexicano,墨西哥奧林匹克委員會
Convención de Aguascalientes,阿瓜斯卡连特斯会议
C&A,C&A
Ejido Eréndira,埃希多埃伦迪拉
Ejército Popular Revolucionario,人民革命军 (墨西哥)
Presa El Cajón,卡洪水壩
San Antonio la Isla,圣安东尼奥拉岛
Reynosa,雷諾薩
Municipio de Tlahuelilpan,特拉威利潘
Anexo:Entidades federativas de México por IDH,墨西哥各州人類發展指數列表
Hormiguero,奥尔米盖罗
Club de Fútbol Pachuca,帕丘卡足球俱乐部
Templo de Mérida,墨西哥梅里達聖殿
Templo de Hermosillo,墨西哥埃莫西約聖殿
Municipio de Cherán,切兰
Arquidiócesis de Guadalajara,天主教瓜達拉哈拉總教區
Arquidiócesis de Hermosillo,天主教埃莫西約總教區
Arquidiócesis de León,天主教萊昂總教區
Arquidiócesis de Monterrey,天主教蒙特雷總教區
Arquidiócesis de Puebla de los Ángeles,天主教普埃布拉總教區
Anexo:MTV Movie Awards México 2004,2004年墨西哥MTV影視大獎
MTV Movie Awards México,墨西哥MTV影視大獎
Cultura de México,墨西哥文化
Tecate,特卡特
Palacio de Lecumberri,莱昆贝里宫
Torre Altus,阿爾特斯塔
Acta Solemne de la Declaración de Independencia de la América Septentrional,北美獨立宣言莊嚴法案
Soconusco,索科诺奇科
Tapalpa,塔帕爾帕
Aeropuerto Internacional General Roberto Fierro Villalobos,Roberto Fierro Villalobos將軍國際機場
Abierto GNP Seguros,蒙特雷公开赛
Voleibol en los Juegos Olímpicos de México 1968,1968年夏季奧林匹克運動會排球比賽
Estadio León,萊昂體育場
Estadio Olímpico Benito Juárez,貝尼托華雷斯奧林匹克球場
Templo de Santa Prisca de Taxco,圣普利斯卡教堂
Estadio Sergio León Chávez,塞爾吉奧·萊昂·查韋斯體育場
Arquidiócesis de Tlalnepantla,天主教特拉爾內潘特拉總教區
Arquidiócesis de Tuxtla Gutiérrez,天主教圖斯特拉古鐵雷斯總教區
Mitla,米特拉
Rocas Alijos,阿利霍斯群島
Nevado de Toluca,托盧卡火山
Anexo:Lucha en los Juegos Olímpicos de México 1968,1968年夏季奧林匹克運動會摔跤比賽
Municipio de Teziutlán,特休特兰
Oxkutzcab,奧斯庫茨卡夫
Matachí,马塔奇自治区
Ascensión,阿森松自治区
Municipio de Galeana,加莱阿纳自治区
Apan,阿潘
Hidalgo del Parral,伊达尔戈-德尔帕拉尔自治区
Salto del Agua,萨尔托·德·阿瓜站
Tultitlán de Mariano Escobedo,圖爾蒂特蘭
Iztapalapa,伊斯塔帕拉帕
Tulum,圖隆
Mezcal,梅斯卡爾
Copa Mundial de Fútbol Sub-17 de 2011,2011年U17世界盃足球賽
Lucha Libre AAA Worldwide,墨西哥摔角AAA國際
Univision,聯合電視
Manzanillo,曼萨尼约
Estadio Corregidora,科雷希多拉體育場
Estadio Universidad Tecnológica de Nezahualcóyotl,内萨86体育场
Heroica Matamoros,馬塔莫羅斯
Templo de Colonia Juárez,墨西哥華雷斯殖民地聖殿
línea 1 del Metro de la Ciudad de México,墨西哥城地鐵1號線
Antiguo Colegio de San Ildefonso,聖方索學院
Metro CDMX,墨西哥城地铁
Ciudad Mante,曼特城
Tortuguero,托圖傑洛
La Familia Michoacana,米却肯州家族
Monumento a la Revolución,革命纪念塔
Zona Metropolitana de Guadalajara,瓜達拉哈拉都會區
Río Nazas,納薩斯河
Sistema Ox Bel Ha,奧克斯贝尔哈洞穴
Atizapán de Zaragoza,阿蒂萨潘-德萨拉戈萨
Comisión para la Cooperación Abiental,环境合作委员会
Museo Nómada,遊牧美術館
Tradición de Teuchitlán,塔木西蘭傳統
Anexo:Municipios de Baja California,下加利福尼亚州行政区划
Gran Pirámide de Cholula,乔鲁拉大金字塔
Instituto de Investigaciones Estéticas,美學调查机构
Anexo:Waterpolo en los Juegos Olímpicos de México 1968,1968年夏季奧林匹克運動會水球比賽
Secretaría de Marina Armada de México,海軍秘書處
Grupo Financiero Banamex,金融集团墨西哥国家银行
Secretaría de Economía de México,墨西哥經濟部
Atole,墨西哥玉米粥
Sistema de Tren Eléctrico Urbano,瓜達拉哈拉輕軌列車#SITEUR卡
Arquidiócesis de Chihuahua,天主教奇瓦瓦總教區
Río Tehuantepec,特萬特佩克河
Batalla de Churubusco,楚魯巴斯科之役
México en el Campeonato Mundial de Natación de 2011,2011年世界游泳锦标赛墨西哥代表团
Club Santos Laguna,桑托斯拉古纳俱乐部
El Tule,埃尔图莱自治区
Ahumada,阿乌马达自治区
Ignacio Zaragoza,伊格纳西奥-萨拉戈萨自治区
Riva Palacio,里瓦帕拉西奥自治区
Cárdenas,卡德納斯
Isla Socorro,索科羅島
Kansas City Southern de México,墨西哥堪薩斯城南方鐵路
Tratado de Velasco,維拉斯科條約
Isla Coronado,科羅納多島
Arquidiócesis de Antequera (Oaxaca),天主教瓦哈卡總教區
Jalcomulco,哈爾科穆爾科
Rosario,罗萨里奥自治区
Melchor Ocampo,梅尔乔奥坎波
Municipio de San Agustín Metzquititlán,聖奧斯丁緬斯瓜提蘭
municipio de Tijuana,蒂华纳市镇
Municipio de Zempoala,森波阿拉 (伊达尔戈州)
Michelada,米切拉達
Tecoh,特科市
Estadio Hidalgo,伊达尔戈球场
Estadio Tecnológico,特科讷洛吉科体育场
Estadio Victoria,維多利亞運動場 (墨西哥)
Escuinapa,埃斯奎纳帕自治区
Tollan,托兰
Vuelo 940 de Mexicana de Aviación,墨西哥航空940號班機空難
Museo de la Ciudad de México,墨西哥城博物馆
Valle de Zaragoza,巴耶-德萨拉戈萨
Plan de Ayutla,阿尤特拉计划
Arquidiócesis de Tulancingo,天主教圖蘭辛戈總教區
Lipán,阿帕契族立邦部落
Benito Juárez,貝尼托·胡亞雷斯區
Nautla,瑙特拉
El Tepozteco,德波戴科
Anexo:Municipios del estado de México,墨西哥州行政区划
Coatlán del Río,科特蘭德爾里奧
Municipio de Acajete,阿卡赫特
o'odham,歐罕語
Ocoyoacac,奥科约阿卡克
Aquiles Serdán,阿基莱斯-塞尔丹自治区
Aeropuerto Internacional General Rafael Buelna,拉斐爾·布勒納將軍國際機場
Aeropuerto Internacional Manuel Crescencio Rejón,梅里達國際機場
Aeropuerto Internacional Xoxocotlán,瓦哈卡
Aeropuerto Internacional General Abelardo L. Rodríguez,提華納國際機場
Secretaría de Energía de México,能源秘書處
"Secretaría de Infraestructura, Comunicaciones y Transportes",墨西哥交通通讯部
Secretaría de Bienestar,社会发展部
Secretaría del Trabajo y Previsión Social de México,墨西哥勞工部
Secretaría de Educación Pública de México,墨西哥教育部長
Secretaría de Agricultura y Desarrollo Rural,墨西哥農業和農村發展部秘書處
Misiones franciscanas de la Sierra Gorda de Querétaro,克雷塔罗州的谢拉戈达的方济会传教区
Meoqui,梅奥基自治区
Aeropuerto Internacional General Mariano Matamoros,Mariano Matamoros將軍機場
Izapa,伊萨帕
Sierra de San Jacinto,聖哈辛投山
Elsevier,愛思唯爾
Anexo:Fútbol en los Juegos Olímpicos de México 1968,1968年夏季奥林匹克运动会足球比赛
Atlixco,阿特利斯科
Atlético Celaya,撒耶拉
Atlético Mexiquense,墨西克森
Meridiano 100 oeste,西经100度线
Elecciones federales de México,墨西哥选举
Complejo Cultural Los Pinos,墨西哥城
Meridiano 110 oeste,西经110度线
Aeropuerto Internacional de Cozumel,科蘇梅爾國際機場
Aeropuerto Internacional Del Bajío,德爾巴喬國際機場
Aeropuerto Internacional General Ignacio Pesqueira García,埃莫西約國際機場
Municipio de Guadalupe,瓜达卢佩自治区
Nonoava,诺诺阿瓦自治区
Aldama,阿尔达马自治区 (奇瓦瓦州)
Anexo:Gobernantes de México-Tenochtitlan,阿兹特克帝國皇帝
jugo de tomate,番茄汁
Primera división mexicana 1943/44,1943年至1944年墨西哥足球甲级联赛
Primera División de México,墨西哥足球甲级联赛
Partido de la Revolución Democrática,民主革命党
Estadio Olímpico Universitario,墨西哥国立自治大学奥运体育场
Sayil,萨伊尔
Chiapas Fútbol Club,恰帕斯美洲虎
Aeropuerto Internacional de Acapulco,阿卡普爾科國際機場
Municipio de Mineral del Monte,蒙特雷礦區
Salvatierra,萨尔瓦铁拉
Madera,马德拉
San Francisco del Rincón,聖弗朗西斯科德爾林孔
Acayucan,阿卡尤坎
San Juan del Río del Centauro del Norte,聖胡安戴里奧
Los Mochis,洛斯莫奇斯
Partido Socialista Unificado de México,墨西哥统一社会党
Municipio de Santa Catarina,聖卡塔琳娜
Ometepec,奧梅特佩克
Anexo:Conmemoraciones en México,祖國日
El Tajín,埃尔塔欣
Parque nacional Pico de Orizaba,奥里萨巴山国家公园
Partido Popular Socialista,社会主义人民党
Partido Auténtico de la Revolución Mexicana,墨西哥革命真正党
San Miguel de Allende,聖米格爾-德阿連德
Felipe Carrillo Puerto,费利佩卡里略波多
Instituto Nacional de Migración,國家移民局 (墨西哥)
Ferrocarril Chihuahua al Pacífico,奇瓦瓦太平洋铁路
Festival Internacional de Cine en Guadalajara,瓜達拉哈拉國際影展
Meskwaki,福克斯語
México en la Copa Mundial de Fútbol de 2010,2010年世界杯足球赛墨西哥队
Paseo de la Reforma,改革大道
Yagul,亚古尔
Las Margaritas,拉斯·马格丽塔斯
Autódromo Miguel E. Abed,米格尔·E·阿韦德赛道
Avenida de los Insurgentes,起义者大道
Triple Alianza,阿兹特克帝国
Presa Chicoasén,Chicoasén 水壩
Xcaret,伊施卡瑞特
San Francisco de Conchos,孔乔斯河畔圣弗朗西斯科
San Andrés,圣安德烈斯
Nonoava,诺诺阿瓦
Anexo:Patrimonio de la Humanidad en México,墨西哥世界遗产列表
Géiser Fly,飞喷泉
Guadalupe y Calvo,瓜达卢佩-卡尔沃
Club Atlético Morelia,莫雷利亚君主竞技俱乐部
Campeonato Nacional Abierto de México,墨西哥羽毛球國際賽
Congreso de la Unión,联邦议会
Estadio Universitario El volcán,大學體育場
isla San Francisco,聖弗朗西斯科島
antojito,墨西哥小吃
Zona Arqueológica de San Lorenzo,聖羅倫索
Arco del Cabo San Lucas,圣卢卡斯角海拱
Bocoyna,博科伊纳
Candelaria Loxicha,坎德拉里亞-洛克西查
México en la Copa Mundial de Fútbol de 1958,1958年世界杯足球赛墨西哥队
Tixtla de Guerrero,蒂克斯特拉
Municipio de Sahuayo,撒瓦约
Cártel del Golfo,海灣販毒集團
Mexicali,墨西加利自治區
Chínipas de Almada,奇尼帕斯-德阿尔马达
General Escobedo,埃斯科韋多將軍鎮
La Magdalena Contreras,马格达莱纳·孔特雷拉斯
Estadio BBVA Bancomer,西班牙對外銀行墨西哥商業銀行體育場
Dorados de Chihuahua,奇奇瓦金人
San Juan Teposcolula,圣胡安-特波斯科卢拉
Sayulita,萨尤利塔
Arteaga,阿特亚加
Anexo:Atletismo en los Juegos Olímpicos de México 1968,1968年夏季奧林匹克運動會田徑比賽
Universidad Autónoma de Guadalajara,瓜达拉哈拉自治大学
Teatro Metropólitan,大都会剧院
Frente Democrático Nacional (México),国家民主前线
Atotonilco de Tula,阿托托尼尔科-德图拉
Cedral,塞德拉爾
Unión Hidalgo,伊達爾戈自治市
Instituto Nacional de Estadística y Geografía,國家統計和地理研究所
Viva Aerobus,萬歲空中巴士
Plaza Garibaldi,加里波第广场
Fuerza Aérea Mexicana,墨西哥空軍
Museo de Arte Moderno de México,現代藝術博物館
Irapuato,伊拉普阿托
Soledad de Doblado,索莱达日多夫拉多
Parque nacional Lagunas de Chacahua,查卡華潟湖國家公園
Dirección Federal de Seguridad,墨西哥聯邦安全局
Fondo de Cultura Económica,經濟文化基金
Hidalgo del Parral,帕拉爾
WGC-Campeonato Cadillac,CA锦标赛
Monterrey-Gen. Mariano Escobedo,蒙特雷國際機場
Club de Fútbol Monterrey,蒙特雷足球俱乐部
Constitución Federal de los Estados Unidos Mexicanos de 1824,1824年墨西哥宪法
Teatro Degollado,迪哥拉多大劇院
Batalla de Padierna,孔特雷拉斯战役
Piedra del Sol,阿茲特克曆法石
Templo Mayor,大神庙
Grupo Bimbo,宾堡集團
Cañón del Sumidero,苏米德罗峡谷
Banco de México,墨西哥银行
Diócesis de Cuauhtémoc-Madera,天主教庫奧特莫克-馬德拉教區
Polanco,波朗科
NASCAR México Series,纳斯卡墨西哥系列赛
Kohunlich,克洪利奇
Bahía de los Ángeles,天使灣 (墨西哥)
Desierto de Baja California,下加利福尼亚沙漠
Balamkú,巴兰库
puente Baluarte Bicentenario,巴鲁阿特大桥
La Unión de Isidoro Montes de Oca,拉乌尼翁自治区
Cámara de Diputados de México,墨西哥众议院
Challenger de San Luis Potosí,圣路易斯网球公开赛
Tlatelolco,特拉特洛科
Xochicalco,霍奇卡爾科
Bahía de Magdalena,馬格達萊納灣
Secretaría de Hacienda y Crédito Público,墨西哥財政和公信部秘書處
Secretaría de Gobernación de México,內政部秘書處
Secretaría de Seguridad Pública de México,国家公共安全部长
Venta de La Mesilla,蓋茲登購地
Ameca,阿梅卡河
Anexo:Natación en los Juegos Olímpicos de México 1968,1968年夏季奥林匹克运动会游泳比赛
Valle de Guadalupe,瓜達盧佩谷
Torre Mayor,主塔大廈
Isla de California,加利福尼亚岛
Labná,拉博纳
Banorte,北方银行
Provincia geológica de Basin and Range,盆地-山岭区域
Becán,贝坎
Cártel de los Beltrán Leyva,貝爾川雷瓦販毒集團
Yecuatla,耶庫阿特拉
Xico,濟科 (韋拉克魯斯州)
Isla Roca Partida,羅卡帕蒂達島
Isla Santa Catalina,聖卡塔利娜島
Tepanecas,特帕奈哥
Parque nacional Cañón del Sumidero,蘇米德羅峽谷國家公園
Terremoto de Baja California de 2010,2010年下加利福尼亚州地震
Instituto Politécnico Nacional,國立理工學院
Tlalnepantla de Baz,特拉尔内潘特拉
Cruz Azul,蓝十字足球俱乐部
Mascota,馬斯科塔
Tampico Alto,坦皮科奧拓
Isla Bermeja,貝爾梅哈
Volcán de Colima,科利馬火山
Municipio de Aguililla,阿奎利利亞
Eclipse solar del 11 de julio de 1991,1991年7月11日日食
Anexo:Municipios de Baja California Sur,南下加利福尼亚州行政区划
Palacio Nacional,国家宫
Tehuacán,提瓦坎
Ferrocarriles en México,墨西哥铁路运输
Tigres de la UANL,新莱昂自治大学老虎足球俱乐部
Atlante Fútbol Club,亚特兰特足球俱乐部
Parque nacional Desierto de los Leones,洛斯萊昂斯沙漠國家公園
Partido Acción Nacional,墨西哥国家行动党
Río Hondo,翁多河
Guiengola,吉恩戈拉
La Mixteca,密斯特卡
Gran Premio Tecate,特卡特大獎賽
Tilantongo,蒂兰通戈
Valle de Toluca,托卢卡山谷
Terremotos de Guerrero-Oaxaca de 2012,2012年格雷罗 - 瓦哈卡地震
Allende,阿連德
Nogales,諾加萊斯
Zacapu,萨卡普
Batalla de Monterrey,蒙特雷戰役
Explosiones de San Juan Ixhuatepec de 1984,圣胡安尼克灾难
Río Bec,里奥贝克
Formación Aguja,阿古哈组
Líneas Aéreas Azteca,阿兹特克航空公司
Arena Monterrey,蒙特雷体育馆
Pajapan,帕哈潘
Río Sonora,索諾拉河
Liga Nacional de Baloncesto Profesional de México,墨西哥國家職業聯賽
Holbox,奧爾沃克斯島
Llanura costera de golfo,墨西哥湾沿岸平原
batalla de Chapultepec,夏布爾特佩克之役
Archipiélago Madrense,馬德雷天空群島
Áreas metropolitanas de México,墨西哥的都會區
Grupo Reforma,改革集团
Partido Revolucionario de los Trabajadores,工人革命党
Unión Nacional Sinarquista,辛纳基全国联盟
Torreón,托雷翁自治区
línea 6 del Metro de la Ciudad de México,墨西哥城地鐵6號線
Tamazula de Gordiano,塔马苏拉-德戈尔迪亚诺
Festival Internacional de Cine de Guanajuato,瓜納華托國際電影節
Primera dama de México,墨西哥第一夫人
Ferrocarriles Nacionales de México,墨西哥鐵路局
Festival Internacional de Cine de Morelia,莫雷利亞國際電影節
Municipio de Tepeji del Río de Ocampo,特佩希
San Pedro,圣佩德罗
Santiago Tianguistenco,圣地亚哥-蒂安吉斯滕科
Tequila,特基拉
Copa de Oro de la Concacaf 1993,1993年美洲金盃
Ciclismo en los Juegos Olímpicos de México 1968,1968年夏季奥林匹克运动会自行车比赛
Vicepresidente de México,墨西哥副总统
Anexo:Entidades federativas de México por población,墨西哥各州人口列表
Cumbre del G-20 de Los Cabos,2012年二十国集团洛斯卡沃斯峰会
Paquimé,帕魁姆
Isla Guadalupe,瓜達盧普島
desastre minero de Pasta de Conchos,2006年墨西哥礦難
Ensenada,恩塞那达
Municipio de Santa María Chimalapa,圣玛丽亚奇马拉帕
México en los Juegos Paralímpicos de Pekín 2008,2008年夏季殘奧會墨西哥代表團
Premio Ariel,阿里爾獎
Batallón de San Patricio,聖派翠克大隊
Muyil,穆伊爾
Temósachic,特莫萨奇
Escuela Libre de Derecho,自由法律学院
Santiago Papasquiaro,圣地亚哥 - 德帕帕斯基亚罗
Mulegé,穆莱赫
Prelatura de Jesús María El Nayar,天主教赫蘇斯-馬利亞-德爾納亞爾自治監督區
Ópata,奥帕塔人
doctrina Estrada,埃斯特拉达主义
Magdalena de Kino,马格达莱纳-德基诺
Palenque,帕倫克
Torneo Apertura 2010,2010年至2011年墨西哥超級足球聯賽
Tzintzuntzan,钦聪灿
Lobos de la BUAP,普埃布拉自治大学灰狼足球俱乐部
Venados FC,贝纳多斯足球俱乐部
Observación de Bonilla,包尼牙觀測
San Cristóbal de la Barranca,圣克里斯托瓦尔-德拉巴兰卡自治市
Diócesis de Atlacomulco,天主教阿特拉科穆爾科教區
Diócesis de Autlán,天主教奧特蘭教區
Diócesis de Campeche,天主教坎佩切教区
Diócesis de Celaya,天主教塞拉亞教區
Leones de Yucatán,尤卡坦獅子
Río Lerma,萊爾馬河
Copa de Oro de la Concacaf 2003,2003年美洲金盃
Falla de Motagua,莫塔瓜断层
Chichonal,埃尔奇琼火山
Tecomán,特科曼
Ferrocarril Suburbano de la Zona Metropolitana del Valle de México,墨西哥谷都會區市郊鐵路
Coatlicue,科瓦特利奎雕塑
Todos Santos,托多斯桑托斯岛
Archipiélago de Revillagigedo,雷维利亚希赫多群岛
Tancítaro,坦西塔罗
Bosques de pino-encino de América Central,中美洲松橡树林
Parque nacional Grutas de Cacahuamilpa,卡卡瓦米爾帕洞穴國家公園
"Kansas City, México y Orient Railway",東方鐵路
Plan de Iguala,伊瓜拉法案
Malinalco,马利纳尔科
elecciones federales en México de 2012,2012年墨西哥大选
Cártel de Sinaloa,錫納羅亞販毒集團
Juan Aldama,胡安-阿尔达马
Gómez Farías,戈麦斯法里亚斯自治区
Pedro Escobedo,佩德羅埃斯科韋多
La Huerta,拉韋爾塔
Cartel de Juárez,華雷斯販毒集團
Arcos de Guadalajara,瓜達拉哈拉拱門
Isla San José,聖何塞島
