Hebe Camargo,이비 카마르구
Carlos Alberto Filho de Arrascaneta,카를루스 아우베르투
Serginho Chulapa,세르지뉴 슐라파
Edgard Leuenroth,에드가르드 레우엔로스
Nívea Maria,니베아 마리아
Hélder Câmara,엘데르 카마라
Anderson Vital da Sai do Cruzeiro,데데
Juca de Oliveira,주카 지올리베이라
Jonatas Cristian de Jesus,조나타스 데 제수스
Thiago Alves,치아구 아우베스
José Serra,조제 세하
Leandro Castán,레안드루 카스탕
José Rodolfo Pires Ribeiro,조제 호도우푸 피리스 히베이루
Marcelino Júnior Lopes Arruda,마르셀리노 주니오르 로페스 아후다
Angelo Esmael da Costa Júnior,안젤로 다 코스타 후니오르
Egberto Gismonti,이그베르투 지즈몬치
Gabriel Silva,가브리에우 시우바
Rômulo Pires,호물루 피리스
Marcelinho Carioca,마르셀리뉴 카리오카
Leonardo Boff,레오나르도 보프
Luís Antônio Corrêa da Costa,뮐레르
Adílson Warken,아딜손 와컨
Douglas Costa,더글라스 코스타
Adílson Batista,아지우송 지아스 바치스타
Gilmar Luís Rinaldi,지우마르 호나우디
Carolina Albuquerque,카롤리나 아우부케르키
Osmar Donizete Cândido,오즈마르 도니제치 칸지두
Ciro Gomes,시루 고메스
Mel Fronckowiak,메우 프롱코위아크
Agnelo Rossi,아그넬루 호시
Gilberto Braga,지우베르투 브라가
Augusto Cury,아우구스투 쿠리
Ricardo Arona,히카르두 아로나
Otto Bumbel,오투 붐베우
Daniella Cicarelli,다니엘라 시카렐리
Rosinei Adolfo,호지네이 아도우푸
Fernando Prass,페르난두 프라스
Gonzaguinha,곤자기냐
Lília Cabral,릴리아 카브라우
Miguel Ángel Portugal,미겔 앙헬 포르투갈
João Carlos Costa,주앙 카를루스
Airto Moreira,아이르투 모레이라
Karim Aïnouz,카림 아이 누우 즈
Cássio Vargas Barbosa,카시우 바르가스 바르보사
Edivaldo Rojas Hermoza,에디발도 에르모사
Rafael Cavalcante,하파에우 카바우칸치
Carol Francischini,카롤리니 프란시스시니
Conceição Geremias,콘세이상 제레미아스
Roberto Carlos,호베르투 카를루스
Edivaldo Martins da Fonseca,이지바우두 마르칭스 폰세카
Damiris Dantas do Amaral,다미리스 단타스
Francileudo Santos,프란실레우두 산투스
Magda Tagliaferro,마그다 탈리아페후
Taís Araújo,타이스 아라우주
Júnior Cigano,주니오르 두스 산투스
Gabriel Bá,가브리에우 바
Leticia Spiller,레치시아 스필레르
Maria Fernanda Cândido,마리아 페르난다 칸지두
Felipe Anderson,펠리피 안데르송 페레이라 고메즈
Ricardo Alves Pereira,히카르두 아우베스 페레이라
Guiomar Novaes,기오마르 노바이스
Pretinha,프레치냐
Renan Fernandes Garcia,헤낭 가르시아
Marcelo Melo,마르셀루 멜루
André Sá,안드레 사
Geraldo Azevedo,제라우두 아제베두
Carlos Chagas,카를루스 샤가스
Antônio Carlos Zago,안토니우 카를루스 사구
Jair Pereira,자이르 페헤이라
Lêdo Ivo,레두 이부
Danilo Luiz da Silva,다닐루 루이스 다 시우바
Milton Cruz,미우통 크루스
Sthefany Brito,스테파니 브리투
Alcione,아우시오니
Nelson Freire,넬슨 프레이레
Adriane Galisteu,아드리안 갈리스테우
Adaílton José dos Santos Filho,아다이우통 조제 두스산투스 필류
Rafael de Souza Pereira,하파에우 카리오카
Leomar Leiria,레오마르 레이리아
Adriana Esteves,아드리아나 에스테베스
Angela Park,안젤라 박
Andrews Nakahara,앤드루스 나카하라
Nílton Ferreira Júnior,니우통 페헤이라 주니오르
Lincoln,린코웅
Alex Sandro da Silva,알레스 산드로 다 시우바
Formiga,포르미가
Natália Falavigna,나탈리아 팔라비냐
Vanessa Giácomo,바네사 지아코무
Ana Cláudia Michels,아나 클라우지아 미셰우스
Ademilson,아데미우송 브라가 비스푸 주니오르
Abdias do Nascimento,아브지아스 두 나시멘투
Renato Aragão,헤나투 아라강
Rosa Passos,호자 파수스
Maurício Manieri,마우리시우 마니에리
Rogério Pinheiro,호제리우 피녜이루 두스 산투스
Lucas Zen,루카스 진
brasileiros,브라질인
Lázaro Ramos,라자루 하무스
Adilson da Silva,아지우송 다시우바
Christian Corrêa Dionísio,크리스치앙 코헤아 지오니지우
Juniti Saito,주니치 사이토
Bernardo Vieira de Souza,베르나르두 비에이라 지 소자
Júnior Baiano,주니오르 바이아누
Ricardo Gomes,히카르두 고메스
Blairo Maggi,블라이루 마지
Victor Andrade,빅토르 안드라지 산투스
Gilberto Carlos Nascimento,지우베르투 카를루스 나시멘투
Daniel da Silva,다니엘 다 시우바
Gabriel Marques,가브리에우 마르키즈
Edmundo,이드문두 아우베스 지 소자 네투
Sabrina Sato,사브리나 사토
Eduardo Gonçalves de Oliveira,에두아르두 곤사우베스 지 올리베이라
Jean Carlos Dondé,제앙 카를루스 돈데
Maurício Rua,마우리시우 후아
Edenilson Andrade dos Santos,이데니우송 안드라지 두스 산투스
Emanuela de Paula,이마누엘라 지 파울라
Renan Bardini Bressan,헤낭 바르지니 브레상
Zé Ramalho,제 하말류
Leandro Costa Miranda Moraes,레안드루 코스타 미란다
Renato Carlos Martins Júnior,헤나투 카를루스 마르틴스 주니오르
Pedro Júnior,페드루 주니오르
Marcelo Chierighini,마르셀루 시에리그히니
Wallace Leandro de Souza,왈라시 지 소자
Juan Guilherme Nunes Jesus,주앙 길헤르미 누네스 제수스
Netinho,네치뉴
Axel Rodrigues de Arruda,악셀
Cintia Dicker,신티아 작은거래
Cássio Ramos,카시우 하무스
Ewerton Teixeira,에베르통 테이셰이라
Miúcha,미우샤
Borges,험버리토 보르제스
Astrojildo Pereira,아스트로질두 페레이라
Diego Tardelli,디에고 타르델리
Sérgio Buarque de Holanda,세르지오 부아르케 데 올란다
Joaquim Cruz,호아킴 크루즈
Norma Bengell,노마 벤겔
Baltazar Maria de Morais Júnior,바우타사르 마리아 지 모라아스 주니오르
Preguinho,프레기뉴
Theotonio dos Santos,테오토니우 두스산투스
Alessandra Negrini,알레산드라 네그리니
Dirceu José Guimarães,지르세우
Hélio Gracie,엘리우 그레이시
Carlos Alexandre Torres,알렉상드르 토레스
Rafael Alcântara,라파 알칸타라
Roberto Requião,호베르투 헤키앙
Wagner Moura,바그네르 모라
Giba,지바
Wellington Rocha dos Santos,웰링통 호샤
Richarlyson,히샤를리송
Rodrigo Pimpão,호드리구 핌팡
Welliton Soares Morais,웰리통
Wanderlei Silva,반데를레이 시우바
Walter Salles,바우테르 살리스
Vítor Belfort,비토르 베우포르
Fernando Luiz Rosa,페르난두 루이스 호자
Camila Alves,카밀라 아우베스
Gracie Carvalho,그라시 카르발류
Marshall Brickman,마셜 브리크먼
André Gonçalves Dias,안드레 디아스
Sandra Corveloni,산드라 코르벨로니
José Carlos Nepomuceno Mozer,카를루스 모제르
Fábio César Montezine,파비우 세자르 몬테지니
Leandro Vissotto Neves,레안드루 비소투
Diego Costa,디에고 다 시우바 코스타
Gleisi Hoffmann,글레이지 오프망
Juliana Knust,줄리아나 크누스트
Roberto Abdenur,호베르투 아브데누르
Edcarlos,이드카를루스 콘세이상 산투스
Daniel de Oliveira,다니에우 지 올리베이라
Fagner Conserva Lemos,파그네르
Isadora Williams,이사도라 윌리엄스
Cleber Sonda,클레베르 손다
Júlio Sérgio Bertagnoli,줄리우 세르지우
Alan Carlos Gomes da Costa,알라지뉴
Francisco Filho,프란시스코 필류
Ricardo Henrique da Silva dos Santos,히카르두 엔히키 다 시우바 두스 산투스
Roberto Carlos,호베르투 카를루스
Dorothy Stang,도로시 스탕
Isabel do Brasil,브라질 황태녀 이자베우
Aurélio Miguel,아우렐리우 미구엘
Maria Gadú,마리아 가두
Cristiana Reali,크리스티나 레알리
Michel Temer,미셰우 테메르
Aécio Neves,아에시우 네베스
Heitor Pereira,에이토르 페레이라
Guinga,깅가
Bianca Comparato,비앙카 콤파라투
Geraldo Mattos,제라우두 마투스
Ronaldão,호나우두 호드리게스 드 제수스
Ederson Honorato Campos,이데르송 오노라투 캄푸스
Muriqui,무리키
David Cortes da Silva,다비 코르치스 다 시우바
Luiz Bonfá,루이스 봉파
Valdo Cândido de Oliveira Filho,바우두 필류
Gilson Bernardo,질송 베르나르두
Junior Negão,주니오르 네그랑
Donato Gama da Silva,도나토 가마 다 실바
Maria Gomes Valentim,마리아 고메스 발렌칭
Ibson Barreto da Silva,입송
Lygia Fagundes Telles,리지아 파군지스 텔리스
Marília Pêra,마릴리아 페라
Débora Falabella,데보라 팔라벨라
Djavan,자방
Zeca Baleiro,제카 발레이루
Murilo Benício,무릴루 베니시우
Ellen Rocche,일렝 호시
Diogo Luís Santo,지오구 루이스 산투
Fernanda Torres,페르난다 토히스
Beto Richa,베투 히샤
Carlos Eduardo Castro da Silva,카를루스 에두아르두 카스트루 다 시우바
Fábio Simplício,파비우 심플리시오
Nara Leão,나라 레앙
Washington Stecanela Cerqueira,와싱통 스테카넬라 세르케이라
Dudu Cearense,두두 체아렌세
Ísis Valverde,이지스 바우베르지
Rafael Suzuki,하파에우 스즈키
Carol Castro,카로우 카스트루
Caio Canedo Corrêa,카이우 카네두 코헤아
Tarsila do Amaral,타르실라 두아마라우
Juliana Paes,줄리아나 파이스
Elis Regina,엘리스 헤지나
Chiquinha Gonzaga,시키냐 곤자가
Claudemir de Souza,클라우데미르 지소자
Raffael Caetano de Araújo,하파에우 카에타누 지 아라우주
Céu,세우
Daniella Sarahyba,다니엘라 사라이바
Klebber Toledo,클레버 톨레도
Argélico Fuchs,아르제우 푸크스
Dagoberto Pelentier,다고베르투
Euclides da Cunha,유클리드 다 쿠나
Rubem Fonseca,후벵 폰세카
Clemerson de Araújo Soares,클레메르송 지 아라우주 소아리스
Camila Morgado,카밀라 모르가두
Camila Pitanga,카밀라 피탕가
Renan Barão,헤낭 바랑
Oscar Castro-Neves,오스카르 카스트루네베스
Gilberto Oliveira Souza Junior,지우베르투 올리베이라 소우자 주니오르
Carla Camurati,카를라 카무라치
Paula Fernandes,파울라 페르난지스
Rivaldo,히바우두
Guilherme dos Santos Torres,길례르미 두스 산투스 토히스
Amora Mautner,아모라 마우트네르
Magno Alves,마그누 아우베스
Betty Faria,베치 파리아
Bento Gonçalves,벤투 곤사우베스 다 시우바
Eddy Gordo,에디 골드
Ana Botafogo,아나 보타포구
Blanka,블랑카
Sérgio Soares,세르지우 소아리스
Claudia Leitte,클라우지아 레이치
Cleo Pires,클레우 피리스
Michel Teló,미셸 텔로
Victor Simões de Oliveira,빅토르 시몽이스
Antônio Rogério Silva Oliveira,안토니우 호제리우 시우바 올리베이라
Tony Ramos,토니 라모스
Anderson Luís de Abreu Oliveira,안데르송 루이스 지 아브레우 올리베이라
Adriano Chuva,아드리아누 슈바
Edvaldo Alves de Santa Rosa,이드바우두 아우베스 지 산타 호자
Valdenir da Silva Vitalino,바우데미르 다 시우바
Dinélson,지네우송 두스 산투스 리마
Éverton Cardoso da Silva,에베르통 카르도주 다 시우바
Ronaldo da Costa,호나우두 다 코스타
Clodoaldo Paulino de Lima,클로도아우두 파울리뉴 지 리마
Itamar Franco,이타마르 프랑쿠
Danielle Winits,다니엘리 위니츠
Danny Morais,다니 모라이스
Chico Anysio,시쿠 아니지우
Leandro Lima,제오르지 레안드루 아브레우 지 리마
Cabore,이베라우두 지 제수스 페헤이라
Pepe,페페
João Soares da Mota Neto,주앙 소아리스 다 모타 네투
Tiago Jorge Honório,티아구 조르지 오노리우
Nonato,노나또
André Luiz Tavares,안드레 루이스 타바레스
Camilo Sanvezzo,카밀루 다 시우바 산베주
Denilson Martins Nascimento,데니우송 마르틴스 나시멘투
Itamar Batista da Silva,이타마르 바티스타 다 시우바
José Roberto Rodrigues Mota Júnior,조제 호베르투 호드리게스 모타
Elon Lages Lima,일롱 라지스 리마
Leivinha,레이비냐
Paulinho da Costa,파울리뇨 다 코스타
Waldemar Lemos,와우데마르 레무스 지 올리베이라
Júnio César Arcanjo,주니우 세자르 아르칸주
Moacir Pereira,모아시르 페레이라
Héverton Durães Coutinho Alves,에베르통 두랑이스 코치뉴 아우베스
Dira Paes,지라 파이스
Geraldo Alckmin,제라우두 아우키민
Frederico Rodrigues Santos,프레데리쿠 호드리게스 산투스
Arthur Bernardes,아르투르 베르나르지스
Tássio Maia dos Santos,타시우 마이아 두스 산투스
Leandro Machado,레안드루 마샤두
Sérgio Farias,세르지우 파리아스
Anselmo Vendrechovski Júnior,안세우무 벤드레초프스키 주니오르
Almir Lopes de Luna,아우미르 로페스 지 루나
Alexandro da Silva Batista,알레산드루 다 시우바 바티스타
Luís Henrique da Silva Alves,루이스 엔리케 다 시우바 아우베스
Vágner Luiz da Silva,바기뉴
Débora Nascimento,데보라 나시멘투
Bérgson Gustavo Silveira da Silva,베르그송 구스타부 시우베이라 다 시우바
Rinaldo Santana dos Santos,히나우두 산타나 두스 산투스
Fabrício Eduardo Souza,파브리시우 소자
João Hericles Nascimento De Lima,주앙 마리아 리마 두 나시멘투
Fábio Santos Romeu,파비우 산투스 호메우
Felipe Azevedo,펠리피 아제베두 두스 산투스
Wando da Costa Silva,완두 다 코스타 시우바
Ronieli Gomes dos Santos,호니엘리 고메스 두스 산투스
Elionar Bombinha,일리오나르 나시멘투 히베이루
Giuseppe Occhialini,주세페 오키알리니
Jacob Palis,자코브 팔리스
Fogo,파이어
Grazi Massafera,그라지 마사페라
Olivio da Rosa,올리비우 다 호자
Leonardo Rodriguez Pereira,레오나드루 호드리게스 페레이라
Renaldo Lopes da Cruz,헤나우도
Caíque Silva Rocha,카이키 시우바 호샤
Valdir Espinosa,바우지르 이스피노자
Alexsandro de Souza,알레산드루 지 소자
Bruno Uvini,브루누 우비니
Jean Raphael Vanderlei Moreira,제앙 하파에우 반데를레이 모레이라
Mika Someya,소메야 미카
Anderson Ricardo dos Santos,안데르송 히카르두 두스 산투스
Flávia de Oliveira,플라비아 지 올리베이라
Wallace Oliveira dos Santos,왈라스 올리베이라 두스 산투스
Murilo Rosa,무릴루 호자
Gabriela Duarte,가브리엘라 두아르치
Reynaldo Gianecchini,헤이나우두 지아네시니
Danilo Fernando Avelar,다닐루 페르난두 아벨라르
Eduardo Paes,에두아르도 파에스
José Graziano,조제 그라지아노 다 시우바
Maria Flor,마리아 플로
Maitê Proença,마이테 프로엔사
Paolla Oliveira,파올라 올리베이라
Gilberto Ribeiro Gonçalves,지우베르투 히베이루 곤사우베스
Guilherme Alvim Marinato,길례르미 마리나투
José Aldo,조제 아우두
Menotti Del Picchia,메노치 데우피시아
Jefferson de Oliveira Galvão,제페르송
Cléber Santana,클레베르 산타나
Deborah Secco,데보라 세코
Alex Teixeira,알레스 테이셰이라
Pedro Rocha,페드로 로차
Mel Lisboa,메우 리즈보아
Paloma Bernardi,팔로마 베르나르지
Elias Mendes Trindade,일리아스 멘지스 트린다지
Alice Dellal,앨리스 델럴
Angelo Benedicto Sormani,안젤로 소르마니
Marcos Venâncio de Albuquerque,세아라
Marcelo Serrado,마르셀루 세하두
Renata Sorrah,헤나타 소하
Fernando Francisco Reges,페르난두 프란시스쿠 헤제스
Daniele Suzuki,다니엘리 스즈키
Wagner Lopes,와그너 로페스
Miguel Nicolelis,미겔 니코렐리스 (Miguel Nicolelis)
Flávia Coelho,플라비아 코엘류
Totia Meireles,토치아 메이렐리스
André Felipe Ribeiro de Souza,안드레 펠리피 히베이루 지 소우자
Carlos Saldanha,카를루스 사우다냐
Julia Bacha,쥴리아 바챠
Felipe Augusto Santana,펠리피 산타나
Fernanda Paes Leme,페르난다 파이스 레미
Fernanda Motta,페르난다 모타
Fernando Menegazzo,페르난두 메네가주
Rafaela Silva,하파엘라 시우바
Flávia Alessandra,플라비아 알레산드라
Luan Garcia Teixeira,루앙 가르시아 테이셰이라
Luiz Marcelo Morais dos Reis,룰리냐
Fernando Haddad,페르난두 하다드
Patrícia Pillar,파트리시아 필라르
Levir Culpi,레비르 쿠우피
Joaquim Roriz,조아킹 호리스
Yan Gomes,얀 고메스
Gabriela Guimarães,가브리엘라 기마랑이스
José Carlos Serrão,조제 카를루스 세항
Deyvid Sacconi,데이비드 프랑크 시우바 사코니
André Lima,안드레 리마
Elizabeth Savalla,일리자베트 사발라
Lori Sandri,로리 산드리
Marco Antônio de Mattos Filho,마르쿠 안토니우 데 마투스 필류
Musashi Mizushima,미즈시마 무사시
Jadson Alves,자드송 아우베스 두스 산투스
Daishiro Yoshimura,요시무라 다이시로
Valdeir Badú Vieira,바우데이르 비에이라
Johnathan,조나탕 아파레시두 다 시우바
Anfilogino Guarisi,안필로지노 과리시
Ronaldo Nazário,호나우두
Cristiano da Silva,크리스치아누 다 시우바
Kaká,카카
Ivan Reis,이방 헤이스
Edílson da Silva Ferreira,이지우송
Péricles Chamusca,페리클리스 샤무스카
Léa Garcia,레아 가르시아
Paulo César Tinga,칭가
Jorge Luiz Frello Filho,조르지 루이스 프렐루
Raymundo Damasceno Assis,하이문두 다마세누 아시스
Milton Nascimento,밀톤 나시멘토
Jonas Sulzbach,조나스 줄츠바흐
José Germano de Sales,제르마누
Diogo Santos Rangel,지오구 산투스 한제우
Alessandro Lopes Pereira,알레산드루 로페스 페헤이라
Zezé Polessa,제제 폴레사
Dominguinhos,도밍기뉴스
João Vianna,주앙 비아나
Alex Monteiro de Lima,알레스 리마
Alex Barboza de Azevedo Terra,알레스 바르보자 지 아제베두 테하
Lya Luft,랴 루프트
Sophie Charlotte,소피 샤를로치
Thaila Ayala,타일라 아얄라
Juliana Didone,줄리아나 지도니
Héctor Babenco,헥터 바벤코
Antônio Rodrigo Nogueira,안토니우 호드리구 노게이라
Juliana Moreira,줄리아나 모레이라
Laurentino Gomes,라우렌치누 고메스
Wesley Barbosa de Morais,웨즐레이 바르보자 지 모라이스
Débora Bloch,데보라 블로시
Dyanfres Douglas Chagas Matos,도글라스
Hélio José de Souza Gonçalves,엘리우
Walter Henrique da Silva,와우테르 엔히키 다 시우바
Daúde,다우지
Edmilson,에드미우송 디아스 지 루세나
Leandra Leal,레안드라 레아우
Alinne Moraes,알리니 모라이스
Alexandré Pölking,알렉산드레 푈킹
Aline Weber,알리니 웨베르
Amanda Nunes,아만다 누네즈
Edu Sales,에두 살레스
Mauro Refosco,마우루 헤포스쿠
Escândalo,스캔들 새비지
Luiz Fernando Pereira da Silva,루이스 페르난두 페레이라 다 시우바
Carmo Dalla Vecchia,카르무 달라베시아
Lua Blanco,루아 블랑쿠
Eddy Barrows,에디 배로스
Isabelle Drummond,이자벨리 드루몬드
Giulia Gam,지울리아 강
Malvino Salvador,마우비누 사우바도르
Luana Piovani,루아나 피오바니
Manoel Messias Silva Carvalho,마노에우 메시아스 시우바 카르발류
Maurides Roque Júnior,마우리지스
Elierce Barbosa de Souza,일리어시 바르보자 지 소우자
Marlon Sandro,말론 산드로
Gustavo Gianetti,구스타부 지아네치
Christine Fernandes,크리스치니 페르난지스
Newton da Costa,니우통 다 코스타
Luiz Philipe Lima Oliveira,루이스 펠리피 리마 올리베이라
Elsinho,에우송 페헤이라 지 소자
Erick Silva,에릭 시우바
Mário Sérgio Santos Costa,마리뉴
Andréia Horta,안드레이아 오르타
Telmário de Araújo Sacramento,지네이
Valmir Louruz,바우미르 로루스
Nanda Costa,난다 코스타
Nathalie Moellhausen,나탈리 모엘하우젠
Emerson Palmieri,이메르송 팔미에리
Jaques Wagner,자크 바그너
Otávio Edmilson da Silva Monteiro,오타비우
Paulo Emílio Frossard Jorge,파울루 이밀리우
Andréa Beltrão,안드레아 베우트랑
André Puccinelli,안드레 푸치넬리
Fernanda Vasconcellos,페르난다 바스콘셀루스
Marilena Chauí,마릴레나 지소자 샤우이
Tato Gabus Mendes,타투 가부스
Eraldo Anício Gomes,이라우두 아니시우 고메스
Fabiana Semprebom,파비아나 셈프레봉
Evandro Silva do Nascimento,에반드루 시우바 두 나시멘투
Edinaldo Gomes Pereira,나우두
Everton Kempes dos Santos Gonçalves,이베르통 켐페스 두스 산투스 곤사우베스
Rafael Marques Pinto,하파에우 마르케스 핀투
Rafael Tolói,하파엘 톨로이
Rafael de Andrade Bittencourt Pinheiro,하파에우 지 안드라지 비텡코흐 피녜이루
Bianca Bin,비앙카 빙
Fabiano Soares Pessoa,파비아누 소아리스 페소아
Roberson de Arruda Alves,호베르송 지 아루다 아우베스
Paulo Sérgio Luiz de Souza,파울루 세르지우 루이스 지 소자
Pepeu Gomes,페페우 고메스
Felipe Barreto Adão,펠리페 바헤토 아당
Johnath Marlone Azevedo da Silva,마를로니
Felipe de Oliveira Silva,펠리피 지 올리베이라 시우바
Babi Xavier,바비 샤비에르
Rodrigo Souza Silva,호드리구 소우자 시우바
Roger Carvalho,호제르 카르발류
Roberta Silva Ratzke,호베르타 하츠키
Caco Ciocler,카코 시오클러
Ricardo Bueno,히카르두 부에누
Felipe Lima,펠리피 리마
Felipe Barreto da Silva,펠리피뉴
Samuel Rosa Gonçalves,사무엘 호사 곤살베스
José Fágner Silva da Luz,조제 파그네르 시우바 다 루스
Bemvindo Sequeira,벰빈두 세케이라
Tainá Müller,타이나 뮐러
Ana Beatriz Nogueira,아나 베아트리스 노게이라
José Dumont,조제 두몽
Sabotage,사보타지
José Sebastião Pires Neto,조제 세바스티앙 피레스 네투
Thomás Bedinelli,토마스 베디넬리
Floriano Peixoto,플로리아누 페이쇼투
Sílvio Luiz Borba da Silva,시우비우 루이스 보르바 다 시우바
Carlos Kaiser,카를루스 카이저
Eder Luís de Carvalho,에데르 루이스 지 카르발류
Bárbara Micheline do Monte Barbosa,바르바라 미셸리니 두 몬치 바르보자
Bill Hudson,빌 허드슨
Monique Alfradique,모니키 아우프라지키
Fernanda Lima,페르난다 리마
Bruna Linzmeyer,브루나 린즈메예르
Bruno Suzuki,스즈키 브루노
Thiago Braz,티아구 브라스
João Paulo da Silva Araújo,주앙 파울루 다 시우바 아라우주
Vanderlei Farias da Silva,반데를레이 파리아스 다 시우바
João Miguel Serrano Leonelli,호아오 미구엘
Fábio Bahia,파비우 바이아
Everton Ribeiro,에베르통 히베이루
Danielle Foxxx,다니엘 폭스
Vinicius Cunha Reche,비니시우스 헤시
Leopoldo Nachbin,레오포우두 나시빙
Weverson Leandro Oliveira Moura,웨베르송 레안드루 올리베이라 모우라
Bruno Gissoni,브루누 지소니
Fábio Neves Florentino,파비우 네베스 플로렌치누
Ingra Lyberato,인그라 리베라토
Agnaldo Cordeiro Pereira,아그날도 코르데이로 페헤이라
Carlos Adriano de Sousa Cruz,카를루스 아드리아누 지 소우자 크루스
Marieta Severo,마리에타 세베루
Othon Bastos,오손 바스토스
Katiuscia Canoro,카치우시아 카노루
Aloísio dos Santos Gonçalves,알로이시우 두스 산투스 곤사우베스
Karina Bacchi,카리나 바시
Aléx Bruno,알레스 브루누 지 소자 시우바
Coreano-brasileiros,한국계 브라질인
Kaio Felipe Gonçalves,카이우
Márcio Garcia,마르시오 가르시아
Milton Gonçalves,미우통 곤사우베스
José Carlos Tofolo Júnior,조제 카를루스 토폴루 주니오르
Lais Ribeiro,라이스 히베이루
Antonio Peticov,안토니우 페티쿠브
Leandro Altair Machado,레안드루 마샤두
Cauã Reymond,카우앙 헤이몬드
Caroline Ribeiro,카롤리니 히베이루
Tirone E. David,치로니 E. 다비드
Maria Luísa Mendonça,마리아 루이자 멘돈사
Júlio Titow,줄리우 티투
Bruna Marquezine,브루나 마르케지니
José Bonifácio Lafayette de Andrada,조제 보니파시우 라파예치 지안드라다
Charles Oliveira,찰스 올리베이라
Larissa Manoela,라리사 마노엘라
Sino-brasileiros,중국계 브라질인
Roberto César Zardin Rodrigues,호베르투 세자르 자르딩 호드리게스
Heberty Fernandes de Andrade,헤베르치 페르난지스 지 안드라지
Louis Chirillo,루이스 치릴로
Guta Stresser,구타 스트레세르
Nicette Bruno,니세치 브루누
André Mattos,안드레 마투스
Marco Nanini,마르쿠 나니니
Tatá Werneck,타타 웨르네크
Lino Facioli,리누 파시올리
Camila Finn,카밀라 핑
Ary Fontoura,아리 폰토라
Gero Camilo,제루 카밀루
Lucas Silva Borges,루카스 시우바 보르헤스
Débora Lyra,데보라 리라
Rosimar Amancio,비우
Wágner da Conceição Martins,줄루징요
Ramon Lopez de Freitas,하몬 로페스 지 프레이타스
Diego Pelicles da Silva,지에구 펠리클레스 다 시우바
Éder Lima dos Santos,에데르 리마
Célio Ferreira dos Santos,셀리우 페헤이라 두스 산투스
Marina Ruy Barbosa,마리나 후이 바르보자
Egídio de Araújo Pereira Júnior,에지지우 페레이라 주니오르
Dani Calabresa,다니 칼라브레자
Zizi Possi,지지 포시
Fiorella Mattheis,피오렐라 젤리 마테이스
Ludmila Dayer,루드밀라 다이
Herlison Caion de Sousa Ferreira,에를리송 카이옹 지 소자 페헤이라
Cleonésio Carlos da Silva,클레오네시우 카를루스 다 시우바
Daniel Matsunaga,다니에우 마쓰나가
Luis Carlos dos Santos Martins,루이스 카를루스 두스 산투스 마르틴스
Natanael de Souza Santos Junior,나타나에우 지 소자 산투스 주니오르
Aderbar dos Santos Neto,아데르바르 멜루 두스 산투스 네투
Marcílio Marques Moreira,마르실리우 마르케스 모레이라
David Aparecido da Silva,다비드 다 시우바
Daniel Lovinho,다니에우 로비뉴
Luke Ross,루크 로스
Marçal Justen Filho,마르사우 주스텡 필류
Mart'nália,마르트날리아
Léo Gamalho,레우 가말류
Maurício de Oliveira Anastácio,마우리시우 지 올리베이라 아나스타시우
Adriana Melo,아드리아나 멜루
Matheus Humberto Maximiano,마테우스 움베르투 마시미아누
Eriberto Leão,이리베르투 레앙
Magno Damasceno Santos,마그누 크루스
Denise Fraga,데니지 프라가
Luís Mário Miranda da Silva,루이스 마리우 미란다 다 실바
Maciel,마시에우 루이스 프랑쿠
Diego da Silva Giaretta,디에구 다 시우바 지아레타
Lúcio Flávio da Silva Oliva,루시우 플라비우 다 시우바 올리바
Marcelo Adnet,마르셀루 아드네트
Rafael dos Anjos,하파엘 도스 안요스
Simone Spoladore,시모니 스폴라도리
Paulo Rogério Reis Silva,파울루 호제리우 헤이스 시우바
Mike dos Santos Nenatarvicius,마이키
Milhem Cortaz,밀헴 코타즈
Sérgio Paulo Nascimento Filho,세르지우 파울루 나시멘투 필류
Miguel Krigsner,미겔 크리그스네르
Marcelo Toscano,마르셀루 토스카누
Marcos Denner,마르코 아우렐리오 마르틴스 이보
Marco Antônio,마르쿠 안토니우 지 프레이타스 필류
Marco Aurélio Moreira,마르쿠 아우렐리우 모레이라
Nando Reis,난두 헤이스
Thaís Duarte Guedes,타이스 두아르치 게지스
Alfredo Lamy Filho,알프레도 라미 휘리오
Nelson Xavier,넬슨 자비에
Tom Payne,톰 페인
Tonico Pereira,토니쿠 페레이라
Vadão (treinador de futebol),바당
Augusto Heleno Ribeiro Pereira,아우구스투 엘레누 히베이루 페레이라
Otacílio Gonçalves da Silva Júnior,오타실리우 곤사우베스
Vanderlei Francisco,반델레이 프란시스쿠
Valesca Popozuda,발레스카 포포주다
Paulinho Paiakã,파울리뉴 파이아캉
Paulinho Moska,파울리뉴 모스카
Costinha (humorista),코스치냐
Paulo Roberto Rocha,파울리뉴 크리키우마
Wendell Lira,웬데우 리라
Vladimir Brichta,블라디미르 브리치타
Anderson Souza Conceição,탈리스카
Paulo José,파울로 호세
Paulo Luiz Santos,파울리뉴
Pedro Carmona da Silva Neto,페드루 카르모나 다 시우바 네투
Paulo Marcel Pereira Merabet,파울루 마르세우 페레이라 메라베트
Paulo Vitor Damo da Rosa,파울루 비토르 다무 다호자
Cássio Reis,카시오 레이스
Catia Fonseca,카티아 폰세카
Paulo Tarso Flecha de Lima,파울루 타르수 플레샤 지리마
André Gomes (futebolista),루이스 안드리 고메스
Penélope Nova,페넬로피 노바
Weverton Pereira da Silva,웨베르통
Petra Costa,페트라 코스타
William Henrique,윌리앙 엔히키
