九龍塘,가우룽통
会德丰国际广场,상하이 휠록 스퀘어
南皮县,난피현
上海证券交易所综合股价指数,상하이 종합지수
东方市,둥팡시
呼图壁县,후투비현
扎赉特旗,짜라이터 기
科尔沁右翼中旗,커얼친 우익중기
新郑市,신정시
绥芬河市,쑤이펀허시
陈巴尔虎旗,천바얼후 기
阿勒泰市,아러타이시
莫力达瓦达斡尔族自治旗,모린다와 다우르족 자치기
德令哈市,더링하시
鼓浪屿,구랑위
和硕县,허숴현
彝族,이족
响水县,샹수이현
庐山会议·(1959年),루산 회의
2008年夏季奧林匹克運動會羽毛球混合雙打比賽,2008년 하계 올림픽 배드민턴 혼합 복식
中日和平友好條約,중일평화우호조약
建宁县,젠닝현
巴马瑶族自治县,바마 야오족 자치현
北回归线,북회귀선
木里藏族自治县,무리 티베트족 자치현
厦门高崎国际机场,샤먼 가오치 국제공항
汤阴县,탕인현
殷墟,은허
元上都,상도 (지명)
稷山县,지산현
霍邱县,훠추현
长春亚泰足球俱乐部,창춘 야타이
淮滨县,화이빈현
安顺市,안순시
六盘水市,류판수이시
岳麓区,웨루구
通河县,퉁허현
延寿县,옌서우현
渤海,보하이해
曹县,차오현
耒阳市,레이양시
瑞金市,루이진시
邵武市,사오우시
浏阳市,류양시
蔡甸区,차이뎬구
新市区·(乌鲁木齐市),신스구 (우루무치시)
头屯河区,터우툰허구
井陉矿区,징싱 광구
包河区,바오허구
繁体字,정체자
西峡县,시샤현
没有共产党就没有新中国,공산당이 없으면 신중국도 없다
中山大学,중산 대학
巴中市,바중시
沈海高速公路,선하이 고속공로
吴桥县,우차오현
绥满高速公路,쑤이만 고속공로
巴东县,바둥현
铜仁市,퉁런시
八公山区,바궁산구
2013年世界羽毛球錦標賽,2013년 세계 배드민턴 선수권 대회
华阴市,화인시
南岔县,난차현
雷山县,레이산현
2008年夏季奧林匹克運動會帆船比賽,2008년 하계 올림픽 요트
2008年夏季奧林匹克運動會現代五項比賽,2008년 하계 올림픽 근대5종
宝山区·(双鸭山市),바오산구 (솽야산시)
自治州,자치주 (중화인민공화국)
新青区,신칭구
广安区,광안구
博兴县,보싱현
博野县,보예현
实德集团,스더 그룹
宋家庄站,쑹자좡역
2012年中国反日示威活动,2012년 중국의 반일 시위
玉树市,위수시 (칭하이성)
滨北铁路,빈베이 철로
喀什站,카슈가르역
广州白云机场劫机相撞事件,1990년 광저우 바이윈 공항 충돌 사고
中国北方航空6136号班机空难,중국북방항공 6136편 추락 사고
梁山泊,양산박
满洲里市,만저우리시
勃利县,보리현
博湖县,보후현
波密县,보미현
泊头市,보터우시
博山区,보산구
北京植物园,베이징 식물원
博乐市,보러시
吉木萨尔县,지무싸얼현
上海市摩天大樓列表,상하이시의 마천루 목록
桥西区·(石家庄市),차오시구 (스자좡시)
大连软件园,다롄 소프트웨어 파크
依兰县,이란현 (하얼빈시)
武都区,우두구
饶河县,라오허현
成县,청현
上海国际电影节,상하이 국제 영화제
拉萨贡嘎机场,라싸 공가 공항
五家渠市,우자취시
香港城市大學,홍콩 성시 대학
黟县,이현 (황산시)
城关区·(拉萨市),청관구 (라싸시)
类乌齐县,레이우치현
索县,쒀현
定日县,딩르현
玛沁县,마친현
江达县,장다현
申扎县,선자현
嘉黎县,자리현
黄山市,황산시
布洛阿特峰,브로드피크산
柯尔克孜族,키르기스인
2008年中国大奖赛,2008년 중국 그랑프리
佛坪县,포핑현
京哈高速公路,징하 고속공로
佛冈县,포강현
东北边疆历史与现状系列研究工程,동북변강역사여현상계열연구공정
北纬38度线,북위 38도
翠屏区,추이핑구
乌孜别克族,우즈베크인
崂山区,라오산구
2015年世界田徑錦標賽,2015년 세계 육상 선수권 대회
重庆江北国际机场,충칭 장베이 국제공항
安州区,안저우구
东乡族自治县,둥샹족 자치현
阿穆尔板块,아무르판
亚洲冰球联赛,아시아리그 아이스하키
吴兴区,우싱구
社會民主連線,사회민주련선
海曙区,하이수구
新昌县,신창현 (사오싱시)
同里镇,퉁리 진
噶尔县,가얼현
崇明区,충밍구
中国银行,중국은행
中华人民共和国外交,중화인민공화국의 대외 관계
屏边苗族自治县,핑볜 먀오족 자치현
聂荣县,녜룽현
洛隆县,뤄룽현
色尼区,써니구
昂仁县,앙런현
中国网,중국망
中华人民共和国国家民族事务委员会,국가민족사무위원회
巴青县,바칭현
岗巴县,강바현
尼玛县,니마현
南木林县,난무린현
贡觉县,궁줴현
阿瓦提县,아와티현
中华人民共和国政治,중화인민공화국의 정치
同人遊戲,동인 게임
中华人民共和国水利部,중화인민공화국 수리부
青城山,칭청산
PP视频,PPLive
中英关系,영중 관계
中华人民共和国民政部,중화인민공화국 민정부
中国地震烈度表,중국 진도 계급
中国海洋石油,중국해양석유총공사
八达岭,팔달령 장성
2007年中国足球超级联赛,중국 슈퍼리그 2007
吴淞江,우쑹강
2006年中国足球超级联赛,중국 슈퍼리그 2006
察哈尔蒙古语,차하르 몽골어
南宁市,난닝시
府谷县,푸구현
2005年中国足球超级联赛,중국 슈퍼리그 2005
2004年中国足球超级联赛,중국 슈퍼리그 2004
茶具文物館,플래그스태프 하우스
香港藝術館,홍콩 예술관
中国红十字会,중국 홍십자회
中日聯合聲明,중일공동성명
青藏高原,티베트고원
工布江达县,궁부장다현
阳关,양관 (지명)
中国基督教,중국의 기독교
郵電局·(澳門),마카오 우정국
夏河县,샤허현
乐陵市,라오링시
兰州市,란저우시
门头沟区,먼터우거우구
合肥市,허페이시
昆明市,쿤밍시
中国龙队,차이나 드래곤
天津环球金融中心,톈진 세계금융센터
西伯利亞高壓,시베리아 기단
2004年亞足聯亞洲盃,2004년 AFC 아시안컵
中国人民志愿军,중국인민지원군
钓鱼台国宾馆,댜오위타이 국빈관
城阳区,청양구
中央人民政府和西藏地方政府关于和平解放西藏办法的协议,십칠조협의
渝北区,위베이구
定西市,딩시시
扶余市,푸위시
中日韩领导人会议,한중일 정상회의
云山战斗,운산 전투
民航空運公司,민항공운공사
毕节市,비제시
白帝城,바이디성
达坂城区,다반청구
道外区,다오와이구
一汽-大众汽车,제일-폭스바겐 모터스
京沪高速铁路,징후 고속철도
奥林匹克公园·(北京),올림픽 공원 (베이징시)
交通銀行,교통은행
柳江区,류장구
旗·(行政区划),기 (행정 구역)
班戈县,반거현
牛郎织女,견우직녀
秦始皇陵,진시황릉
班玛县,반마현
DJJ1型电力动车组,중국철도 DJJ1
白银区,바이인구
边坝县,볜바현
百度百科,바이두백과
白河县,바이허현
白碱滩区,바이젠탄구
安次区,안치구
胶州湾,자오저우만
安达市,안다시
傲游浏览器,맥스톤
中国共产党全国代表大会,중국공산당 전국대표대회
回族,후이족
安定区·(定西市),안딩구 (딩시시)
亞洲公路1號線,아시안 하이웨이 1호선
亞洲公路6號線,아시안 하이웨이 6호선
柏乡县,바이샹현
白下区,바이샤구
白水县,바이수이현
新都区,신두구 (청두시)
郫都区,피두구
玉溪市,위시시
保靖县,바오징현
保德县,바오더현
宝丰县,바오펑현
宝墩文化,바오둔 문화
宝安区,바오안구
京沪铁路,징후 철로
保康县,바오캉현
宝塔区,바오타구
苏州轨道交通,쑤저우 궤도교통
宝清县,바오칭현
城东区·(西宁市),청둥구
天河区,톈허구
皮山县,피산현
南山区·(鹤岗市),난산구 (허강시)
华晨汽车集团,화천자동차
澄海区,청하이구
英德市,잉더시
日土县,르투현
兴化市,싱화시
恩施市,언스시
临高县,린가오현
聂拉木县,녜라무현
达拉特旗,다라터 기
昆仑山脉,쿤룬산맥
中华人民共和国国徽,중화인민공화국의 국장
中國時區,중국의 시간
加舒尔布鲁木I峰,가셔브룸 1봉
香港電影金紫荊獎,금자형장
上汽集团,상하이 자동차
中国民生银行,중국민생은행
南浦大桥,난푸 대교
廣深港高速鐵路,광선강 고속철도
加舒尔布鲁木II峰,가셔브룸 2봉
昌邑区,창이구
洛阳市,뤄양시
复旦大学,푸단 대학
中国共产党中央委员会政法委员会,중국공산당 중앙정치법률위원회
乐东黎族自治县,러둥 리족 자치현
南湖·(嘉兴),난호
塔什库尔干塔吉克自治县,타슈쿠르간 타지크 자치현
康平县,캉핑현
呼兰区,후란구
东台市,둥타이시
木兰县,무란현
凭祥市,핑샹시 (충쭤시)
曲靖市,취징시
渤海湾,보하이만
辽东湾,랴오둥만
宜州区,이저우구 (허츠시)
黄岩区,황옌구
昌江黎族自治县,창장 리족 자치현
新乐市,신러시
琼中黎族苗族自治县,충중 리족 먀오족 자치현
建德市,젠더시
天山区,톈산구
藏族,티베트인
保山市,바오산시
普洱市,푸얼시
坡头区,포터우구
2035年9月2日日食,2035년 9월 2일 일식
2008年夏季奧林匹克運動會跳水比賽—男子10米高臺,2008년 하계 올림픽 다이빙 남자 10m 플랫폼
2008年夏季奥林匹克运动会田径比赛—女子200米,2008년 하계 올림픽 육상 여자 200m
墨脱县,모퉈현
什邡市,스팡시
沙依巴克区,사이바커구
亚东县,야둥현
咸阳市,셴양시
临沧市,린창시
宝兴县,바오싱현
宝应县,바오잉현
保亭黎族苗族自治县,바오팅 리족 먀오족 자치현
马尔康市,마얼캉시
融水苗族自治县,룽수이 먀오족 자치현
阿拉善右旗,아라산 우기
2018年8月11日日食,2018년 8월 11일 일식
澄江市,청장시
颱風布拉萬·(2012年),태풍 볼라벤 (2012년)
2008年夏季奧林匹克運動會跳水比賽,2008년 하계 올림픽 다이빙
花都区,화두구
周口店遗址,저우커우뎬
八宿县,바쑤현
巴里坤哈萨克自治县,바리쿤 카자흐 자치현
巴音郭楞蒙古自治州,바인골린 몽골 자치주
巴彦县,바옌현
鲅鱼圈区,바위취안구
拜城县,바이청현
教师节,교사의 날
宜章县,이장현
曾都区,쩡두구
增城区,쩡청구
諾門罕戰役,할힌골 전투
青岛胶州湾大桥,자오저우만 대교
莘县,선현 (랴오청시)
龙游县,룽유현
新闸路站,신자루역
霸州市,바저우시
巴州区,바저우구
中国中央电视台中文国际频道,CCTV-4
凉城县,량청현
和田县,호탄현
中國—蒙古國關係,몽골-중국 관계
沈河区,선허구
2004年夏季奥林匹克运动会中国代表团,2004년 하계 올림픽 중국 선수단
万山区,완산구 (퉁런시)
中国堕胎,중국의 낙태
名山区,밍산구 (야안시)
班公错,판공호
桂林市,구이린시
2008年夏季奧林匹克運動會籃球比賽,2008년 하계 올림픽 농구
海口市,하이커우시
乃堆拉山口,나투 라
2008年夏季奧林匹克運動會田徑比賽,2008년 하계 올림픽 육상
渭河平原,관중 (지명)
中原,중원 (중국)
西湖,서호
北安市,베이안시
平遥古城,핑야오 고성
海河,하이허
北关区,베이관구
北戴河区,베이다이허구
北湖区,베이후구
北江,북강
北川羌族自治县,베이촨 창족 자치현
博格达峰,보거다펑
复兴门站·(北京市),푸싱먼역
车师,차사 (국가)
北京奔驰,베이징 벤츠
北汽集团,베이징 자동차 그룹
兰陵县,창산현 (린이시)
澳門新葡京酒店,그랜드 리스보아
仓山区,창산구
龙门县,룽먼현
苍溪县,창시현
上海北站,상하이 북역
香港航空,홍콩 항공
沧源佤族自治县,창위안 와족 자치현
苍梧县,창우현 (우저우시)
鄂温克族,에벤크인
中共中央党校,중국공산당 중앙당교
中国旧石器文化列表,중국의 구석기 유물 목록
大嶼山,란터우섬
中国石油天然气股份,페트로차이나
中國2010年上海世界博覽會,2010년 세계 박람회
贵阳市,구이양시
2008年夏季奧林匹克運動會足球比賽,2008년 하계 올림픽 축구
赫哲族,나나이인
中苏交恶,중소 분쟁
河南足球俱乐部,허난 FC
碑林区,베이린구 (시안시)
北林区,베이린구 (쑤이화시)
北京世界公园,베이징 세계공원
北京国安足球俱乐部,베이징 궈안
国家天文台施密特CCD小行星巡天计划,베이징 슈미트 CCD 소행성 관측 계획
明天廣場,밍톈광창
黄州区,황저우구
辉南县,후이난현
伊犁河,일리강
釣魚臺列嶼主權問題,센카쿠 열도 분쟁
高昌区,가오창구
北市区,베이스구
北票市,베이퍄오시
北汽福田,포톤 자동차
北流市,베이류시
丹阳市,단양시
汝南县,루난현
江苏足球俱乐部,장쑤 FC
海沧区,하이창구
图瓦人,투바인
松江新城站,쑹장신청역
中华人民共和国铁道部,중화인민공화국 철도부
曲阜孔庙、孔林和孔府,삼공 (유적)
浦东国际机场站,푸둥 국제공항 역
港城路站,강청루역
蓝村路站,란춘루역
金沙江,진사강
西藏南路站,시짱난루역
2022年冬季奥林匹克运动会,2022년 동계 올림픽
2008年夏季奧林匹克運動會網球比賽,2008년 하계 올림픽 테니스
北塔区,베이타구
望花区,왕화구
長白山脈,창바이산맥
椒江区,자오장구
北屯市,베이툰시
北镇市,베이전시
北塘区,베이탕구
三星堆遗址,싼싱두이
明清皇家陵寝,명과 청 시대의 황릉
保安族,바오안족
龙山县,룽산현
蚌山区,벙산구
洛浦县,뤄푸현
华南地区,화난
天河体育场,톈허 스타디움
汾阳市,펀양시
京九铁路,징주 철로
南乐县,난러현
中国共产党中央书记处,중국공산당 중앙서기처
火焰山,화염산
2008年夏季奧林匹克運動會比賽場館列表,2008년 하계 올림픽 경기장
澄迈县,청마이현
道真仡佬族苗族自治县,다오전 거라오족 먀오족 자치현
海北藏族自治州,하이베이 티베트족 자치주
红山区,훙산구 (츠펑시)
北新泾站,베이신징역
淞虹路站,쑹훙루역
威宁路站,웨이닝루역
中国泛蓝联盟,중국범람연맹
世纪公园站,스지공원역
娄山关路站,루샨관루역
灵岩南路站,링옌난루역
炎陵县,옌링현 (주저우시)
临潼区,린퉁구
邵阳市,사오양시
榆林市,위린시 (산시성)
延安市,옌안시
汉中市,한중시
商洛市,상뤄시
安康市,안캉시
天津地铁,톈진 지하철
宝鸡市,바오지시
铜川市,퉁촨시
百花齐放、百家争鸣,백화제방·백가쟁명
深圳证券交易所,선전 증권거래소
赤壁之戰,적벽 대전
红旗渠,홍기거
湖滨区,후빈구
广水市,광수이시
京津城际铁路,징진 고속철도
东方红,동방홍
西安清真大寺,시안다칭전사
都江堰,두장옌
红卫兵,홍위병
南昌站·(江西省),난창역 (장시성)
四惠东站,쓰후이 동역
北京地铁八通线,베이징 지하철 바퉁선
四惠站,쓰후이역
苹果园站,핑궈위안역
土桥站·(北京市),투차오역
富锦路站,푸진루역
北京中医药大学,베이징 중의약 대학교
闸北区,자베이구
香港郵政,홍콩우정
沁水县,친수이현
察雅县,차야현
沖南岩,오키노미나미 암
泽州县,쩌저우현
网易,넷이즈
四人帮,사인방
陇南市,룽난시
国立西南联合大学,중화민국 국립 시난 연합대학
巴宜区,바이구
元宝山区,위안바오산구
文县,원현 (룽난시)
湘江,상강 (후난성)
中国石化,중국석유화공
中国人民解放军国防科技大学,중국인민해방군국방과기대학
南丫島,라마섬
中华人民共和国司法部,중화인민공화국 사법부
嘉绒语,걀롱어
中华人民共和国财政部,중화인민공화국 재정부
中华人民共和国交通运输部,중화인민공화국 교통운수부
中国围棋天元战,중국위기천원전
新野县,신예현
先行者,선행자
如心廣場,니나 타워
克木族,크무족
香格里拉市,샹그릴라시
甘丹寺,간덴 사원
张华浜站,장화방역
梅江·(韩江支流),매강
太子河,타이쯔허
广州国际金融中心,광저우 국제금융센터
南雄市,난슝시
北京猛虎队,베이징 타이거스
天津雄獅隊,톈진 라이언스
中华人民共和国教育部,중화인민공화국 교육부
中北大学,중베이 대학
漳平市,장핑시
张家川回族自治县,장자촨 후이족 자치현
张家港市,장자강시
西单民主墙,민주벽
岢岚县,커란현
北京西站,베이징 서역
南城县,난청현
西藏历史,티베트의 역사
扎囊县,자낭현
章贡区,장궁구
张店区,장뎬구
张北县,장베이현
漳县,장현 (딩시시)
中國人民解放軍駐香港部隊,중국인민해방군 주홍콩부대
天津奥林匹克中心体育场,톈진 올림픽 센터 스타디움
上海交通大学,상하이 자오퉁 대학
源汇区,위안후이구
温岭市,원링시
方正县,팡정현
中華人民共和國政府,중화인민공화국 정부
麻山区,마산구
2008年夏季奧林匹克運動會男子100米自由泳比賽,2008년 하계 올림픽 수영 남자 100m 자유형
澳門甲組足球聯賽,리가 드 일리트
自治旗,자치기 (행정 구역)
觀塘,군통
嘉陵江,자링강
锡伯族,시버족
北角,박곡
副地级市,부지급시
新浪,시나닷컴
东西湖区,둥시후구
涟水县,롄수이현
地区行政公署,지구 (중화인민공화국)
中华人民共和国监察部,중화인민공화국 감찰부
赣江,감강 (장시성)
苏州站,쑤저우역
县辖区·(中华人民共和国),현할구
山东泰山足球俱乐部,산둥 타이산
漳浦县,장푸현
章丘区,장추구
樟树市,장수시
张家界市,장자제시
张掖市,장예시
张湾区,장완구
彰武县,장우현
长子县,장쯔현 (창즈시)
澳門國際機場,마카오 국제공항
新乡县,신샹현
呼中区,후중구
2008年夏季奧林匹克運動會男子200米背泳比賽,2008년 하계 올림픽 수영 남자 200m 배영
湛河区,잔허구
安福县,안푸현 (지안시)
上海站,상하이역
松北区,쑹베이구
上海轨道交通10号线,상하이 지하철 10호선
中華人民共和國法律,중화인민공화국의 법
重庆大学,충칭 대학
汕头大学,산터우 대학
复旦大学上海医学院,푸단 대학교 상하이 의대학
昭阳区,자오양구
昭觉县,자오줴현
昭平县,자오핑현
唐昭陵,소릉 (당)
昭苏县,자오쑤현
沾化区,잔화구
诏安县,자오안현
赵县,자오현
沾益区,잔이구
肇东市,자오둥시
站前区,잔첸구
廣深鐵路,광선 철로
2008年夏季奧林匹克運動會自行車比賽—男子越野賽,2008년 하계 올림픽 사이클 남자 크로스컨트리
西吉县,시지현
2008年夏季奧林匹克運動會自行車比賽—女子越野賽,2008년 하계 올림픽 사이클 여자 크로스컨트리
青铜峡市,칭퉁샤시
2008年中国奶制品污染事件,2008년 중국산 유제품 멜라민 오염사건
柳城县,류청현
康马县,캉마현
东经130度线,동경 130도
陵水黎族自治县,링수이 리족 자치현
昂昂溪区,앙앙시구
中国科学院,중국과학원
习水县,시수이현 (쭌이시)
涡扇-10,WS-10
祁连县,치롄현
2008年夏季奧林匹克運動會射擊比賽—男子10米空氣手槍,2008년 하계 올림픽 사격 남자 10m 공기권총
晋州市·(河北省),진저우시 (스자좡시)
羊卓雍错,얌드록초호
巴丹吉林沙漠,바단지린 사막
昌都邦達機場,창두 방다 공항
嘉峪关市,자위관시
白玉县,바이위현
肇州县,자오저우현
柞水县,자수이현
昭通市,자오퉁시
招远市,자오위안시
肇源县,자오위안현
金昌市,진창시
白银市,바이인시
麻阳苗族自治县,마양 먀오족 자치현
江永县,장융현
永修县,융슈현
岑溪市,천시시
广汽吉奥,고나우
柘城县,저청현
天水市,톈수이시
中国共产党中央政治局常务委员会,중국공산당 중앙정치국 상무위원회
华北地区,화베이
承德避暑山庄及其周围寺庙,피서산장
珠江新城,주장신청
河北大学,허베이 대학
对外经济贸易大学,대외경제무역대학
松桃苗族自治县,쑹타오 먀오족 자치현
酒泉市,주취안시
庆阳市,칭양시
广州站,광저우역
四川冠城足球俱樂部,쓰촨 관청
广州地铁2号线,광저우 지하철 2호선
霍特國際商學院,헐트 국제경영대학원
2010年亚洲运动会中国代表团,2010년 아시안 게임 중화인민공화국 선수단
广州地铁1号线,광저우 지하철 1호선
大雁塔,대안탑
江孜县,장쯔현 (르카쩌시)
吴中区,우중구
重慶大廈,충칭 빌딩
古交市,구자오시
舒城县,수청현
邵氏兄弟,쇼브라더스
顺德区,순더구
2008年夏季奧林匹克運動會射擊比賽—女子50米步槍三姿,2008년 하계 올림픽 사격 여자 50m 소총 3자세
历下区,리샤구
晉峰足球會,타이충 FC
番禺区,판위구
桂林路站,구이린루역
東亞共同體,동아시아 공동체
二里頭文化,얼리터우 문화
河西走廊,하서주랑
长沙地铁,창사 지하철
中国足球协会乙级联赛,중국 을급리그
册亨县,처헝현
正安县,정안현
正宁县,정닝현
正定县,정딩현
政和县,정허현
郑国渠,정국거
正蓝旗·(内蒙古),정란 기
镇巴县,전바현
振安区,전안구
浙江大学,저장 대학
镇安县,전안현
贞丰县,전펑현
呼和浩特市,후허하오터시
正镶白旗,정샹바이 기
芒康县,망캉현
平凉市,핑량시
南山区,난산구 (선전시)
查干湖,차간호
山海关,산해관
家庭联产承包责任制,가정연산승포책임제
上海博物馆,상하이 박물관
南迦巴瓦峰,남차바르와산
中山纪念堂·(广州),중산기념당
時代廣場·(香港),타임스 스퀘어 (홍콩)
中国篮球协会,중국 농구 협회
香港區議會,홍콩의 구의회
越王勾践剑,월왕구천검
天津站,톈진역
膠濟鐵路,자오지 철로
荐福寺,천복사
南溪区,난시구 (이빈시)
京承铁路,징청 철로
滨绥铁路,빈쑤이 철로
重庆轨道交通2号线,충칭 궤도교통 2호선
南疆铁路,난장 철로
天津津门虎足球俱乐部,톈진 진먼후
桑干河,쌍간허
呼倫湖,후룬호
化隆回族自治县,화룽 후이족 자치현
人民英雄纪念碑,인민영웅기념비
203国道,국도 제203호선 (중국)
數碼港,사이버포트
中华人民共和国网络审查,중화인민공화국의 인터넷 검열
香港大會堂,홍콩 대회당
丘北县,추베이현
沈大高速公路,선다 고속공로
九龍灣,가우룽완
容城县,룽청현
2009年冬季世界大學生運動會,2009년 동계 유니버시아드
2008年夏季奧林匹克運動會女子200米蛙泳比賽,2008년 하계 올림픽 수영 여자 200m 평영
复兴区·(邯郸市),푸싱구 (한단시)
虹桥路站,훙차오루역
永济市,융지시
美兰区,메이란구
鲁迅公园·(青岛),루쉰 공원 (칭다오시)
中共中央办公厅,중국공산당 중앙판공청
56網,56.com
镇雄县,전슝현
镇宁布依族苗族自治县,전닝 부이족 먀오족 자치현
镇赉县,전라이현
镇平县,전핑현 (난양시)
镇康县,전캉현
镇坪县,전핑현 (안캉시)
镇海区·(宁波市),전하이구
正阳县,정양현
浈江区,전장구
蒸湘区,정샹구
正阳门,정양문
镇远县,전위안현 (첸둥난)
振兴区,전싱구
镇原县,전위안현 (칭양시)
甘州区,간저우구
柘荣县,저룽현
镇沅彝族哈尼族拉祜族自治县,전위안 이족 하니족 라후족 자치현
宁远县,닝위안현
橙天嘉禾,오렌지 스카이 골든 하베스트
八步区,바부구
安国市,안궈시
香格里拉酒店,샹그릴라 호텔
中国人民解放军北部战区海军,북해함대
东辽河,둥랴오허
墨江哈尼族自治县,모장 하니족 자치현
库尔勒市,코를라시
龙山区·(辽源市),룽산구 (랴오위안시)
平乐县,핑러현
信州区,신저우구 (상라오시)
肃宁县,쑤닝현
萝北县,뤄베이현
建始县,젠스현
乌尔禾区,우얼허구
太谷区,타이구구
米林市,미린시
鄂伦春族,오로촌족
茶陵县,차링현
哈尔滨站,하얼빈역
中华人民共和国高速铁路,중화인민공화국의 고속철도
滨洲铁路,빈저우 철로
中国东北地区,둥베이
京西国际学校,경서 국제 학교
澳門特別行政區政府,마카오 특별행정구 정부
黑龙江大学,헤이룽장 대학
南昌地铁,난창 지하철
中关村,중관춘
中江县,중장현
中国尊,차이나 준
中国棋院,중국기원
中华书局有限公司,중화서국
易县,이현 (바오딩시)
终南山,중난산 (산시성)
中国中南地区,중난
钟楼区,중러우구
中牟县,중무현
北京语言大学,베이징 어언대학
新津区,신진구
江口县,장커우현
重庆足球俱乐部,충칭 FC
明故宫,난징 고궁
广东日之泉足球俱乐部,광둥 르즈취안
湖南湘濤足球俱樂部,후난 샹타오
安吉县,안지현 (후저우시)
扶绥县,푸쑤이현
東涌站·(東涌綫),둥충역
黃大仙站,웡다이신역
佐敦站,조던역
香港禮賓府,홍콩 예빈부
藍田站·(香港),람틴역
搜狐,소후
石硤尾站,섹깁메이역
青衣站,칭이역
樂富站,록푸역
油麻地站,야우마데이역
殷都区,인두구
平房区·(哈尔滨市),핑팡구
桐柏县,퉁바이현
高银金融117,골딘 파이낸스 117
灵渠,영거 (운하)
中宁县,중닝현
中南海,중난하이
中沙群島,중사 군도
中山区·(大连市),중산구 (다롄시)
钟山县,중산현
玉佛寺·(上海),위포쓰
上海体育馆站,상하이 체육관 역
长安区·(西安市),창안구 (시안시)
长安区·(石家庄市),창안구 (스자좡시)
涪江,부강
天津天海足球俱乐部,톈진 톈하이
涪陵区,푸링구
巴南区,바난구
中华人民共和国副主席,중화인민공화국의 부주석
沈阳中泽足球俱乐部,선양 중쩌
延边富德足球俱乐部,옌볜 푸더
安龙县,안룽현
西安地铁,시안 지하철
蒙古縱貫鐵路,몽골 종단 철도
安陆市,안루시
韶山市,사오산시
西灣河站,사이완호역
太古站,타이구역
荃灣站,췬완역
长葛市,창거시
长海县,창하이현
长岛县,창다오현
长丰县,창펑현
昌江区,창장구
昌乐县,창러현
中通客車,중통버스
钟山区,중산구 (류판수이시)
中卫市,중웨이시
钟祥市,중샹시
鰂魚涌站,쿼리베이역
北角站,박곡역
葵芳站,콰이퐁역
香港大學站,홍콩대학역
博覽館站,박람관역
深水埗站,삼서이보역
長沙灣站,청사완역
环球时报,환구시보
利川市·(湖北省),리촨시
东山县,둥산현
上党区·(长治市),상당구 (창즈시)
射洪市,서훙시
靖边县,징볜현
长泰区,창타이구
景宁畲族自治县,징닝 서족 자치현
昌宁县,창닝현 (바오산시)
长岭县,창링현
昌黎县,창리현
长宁县,창닝현 (이빈시)
长顺县,창순현
长清区,창칭구
长沙县,창사현
常山县,창산현 (취저우시)
周宁县,저우닝현
中原区·(郑州市),중위안구
周村区,저우춘구
中站区,중잔구
中阳县,중양현
周原遗址,주원 (지명)
庄浪县,좡랑현
周口市,저우커우시
庄河市,좡허시
周至县,저우즈현
南京禄口国际机场,난징 루커우 국제공항
叶尔羌河,야르칸드강
香港節日與公眾假期,홍콩의 공휴일
旺角大球場,웡곡대구장
珠晖区,주후이구
舟曲县,저우취현
诸城市,주청시
朱家角镇,주자자오
虎跑泉,호포천
中国共产党中央顾问委员会,중국공산당 중앙고문위원회
京石客运专线,징스 고속철도
中国人民解放军大将,중국인민해방군 대장
治多县,즈둬현
芷江侗族自治县,즈장 둥족 자치현
枝江市,즈장시
中国致公党,중국 치공당
志丹县,즈단현
烏溪沙站,우카이사역
荷塘区,허탕구
烟大铁路轮渡,보하이 철로 페리
梅河口市,메이허커우시
黃竹坑,웡죽항
织金县,즈진현
中方县,중팡현
仲巴县,중바현
忠县,중현
渠江·(嘉陵江支流),거강
江淮汽车,JAC 자동차
2008年夏季奧林匹克運動會壘球比賽,2008년 하계 올림픽 소프트볼
安化县,안화현
呈贡区,청궁구
淮安区,화이안구
丹凤县,단펑현
309国道,국도 제309호선 (중국)
中山公园站·(上海市),중산 공원 역 (상하이시)
議事亭前地,세나두 광장
松花湖,쑹화호
彩虹站,초이훙역
江蘇鉅馬隊,장쑤 휴즈홀스
桂平市,구이핑시
大连周水子国际机场,다롄 저우수이쯔 국제공항
人民广场站·(上海市),런민광창역 (상하이시)
宁晋县,닝진현 (싱타이시)
2008年夏季奧林匹克運動會射擊比賽—女子不定向飛靶,2008년 하계 올림픽 사격 여자 트랩
維多利亞城,빅토리아시티
黄岛区,황다오구
港鐵巴士,MTR 버스
欣澳站,서니베이역
长洲区,창저우구
潮安区,차오안구
瀍河回族区,찬허 후이족구
巢湖,차오호
三山五嶽,삼산오악
长汀县,창팅현
徽县,후이현
昌图县,창투현
上海迪士尼度假區,상하이 디즈니 리조트
集美区,지메이구
大沽口炮台,다구포대
郊区·(长治市),자오구 (창즈시)
南涧彝族自治县,난젠 이족 자치현
南关区,난관구
长武县,창우현 (셴양시)
长兴县,창싱현
昌邑市,창이시
长阳土家族自治县,창양 투자족 자치현
长垣市,창위안시
卢沟桥,루거우차오
揭阳潮汕国际机场,제양 차오산 국제공항
中国—朝鲜边界,조중 국경
禅城区,찬청구
大连实德足球俱乐部,다롄 스더
涿鹿县,줘루현
珠江啤酒,주장 맥주
驻马店市,주마뎬시
诸暨市,주지시
甘南县,간난현
成都飞机工业集团,청두 항공기공업 그룹
辽河,랴오허
涿州市,줘저우시
竹山县,주산현
卓资县,줘쯔현
珠山区,주산구
渌口区,루커우구
竹溪县,주시현 (스옌시)
武汉长江足球俱乐部,우한 창장
