George Washington,乔治·华盛顿
Stan Getz,史坦·蓋茲
David Draiman,大衛·德拉曼
Bailey Jay,貝莉·潔
Shawn Michaels,尚恩·麥可
Jefferson Davis,傑佛遜·戴維斯
Bernice Johnson Reagon,伯妮丝·约翰逊·里根
Kevin S. Bright,凱文·S·布賴特
Vondie Curtis-Hall,馮蒂·柯蒂斯-霍爾
Ashley Harkleroad,阿什利·哈克罗
Melanie Oudin,梅蘭妮·歐丁
Norman Abramson,諾曼·艾布拉姆森
Richard Courant,理查·科朗特
Charles Proteus Steinmetz,查爾斯·普羅透斯·斯泰因梅茨
Herman Goldstine,赫爾曼·戈德斯坦
Blake Lively,布蕾克·萊芙莉
Llewellyn Thomas,路維林·湯瑪斯
Norman Thomas,诺曼·托马斯
Stuart Feldman,斯圖亞特·費爾德曼
Sean Paul Lockhart,布兰特·科里根
Herb Sutter,赫布·萨特
Charles H. Moore,查理斯·摩爾
Armond Hill,阿尔蒙德·希尔
Diane Venora,黛安·薇諾拉
David J. Wineland,大卫·维因兰德
Georgia Engel,喬琪亞·英格爾
Charles Quigley,查尔斯·奎格利
Henry Draper,亨利·德雷伯
Ivan Fuqua,伊万·富卡
Evelyn Brent,伊芙琳·布倫特
Max Levchin,马克斯·列夫琴
Brian Behlendorf,布莱恩·贝伦多夫
Michael Tiemann,邁克爾·蒂曼
Lov Grover,洛夫·格羅弗
Ira Gershwin,艾拉·格什溫
LeRoy Collins,萊羅伊·柯林斯
"Alfred A. Knopf, Sr.",老阿尔弗雷德·A·克诺夫
Michael Grunstein,迈克尔·格伦斯坦
Dwyane Wade,小德韋恩·泰隆·韦德
Carl Laemmle,卡尔·拉姆勒
Thomas Macdonough,湯瑪斯·麥克多諾
Matthew C. Perry,马休·佩里
Henry Koster,亨利·科斯特
Leon O. Chua,蔡少棠
Heinrich Göbel,亨利·戈培爾
Kurt Koffka,科特·考夫卡
Ken Schwaber,肯·施瓦布
John Walker,約翰·沃克 (程式師)
Bob Frankston,鮑伯·法蘭克斯頓
Charles E. Leiserson,查尔斯·雷瑟尔森
Jürgen Prochnow,尤尔根·普洛斯诺
Karl August Wittfogel,魏特夫
Robert Fano,羅伯特·法諾
Thomas S. Ray,托马斯·S·雷
Max Dehn,马克斯·登
Walter Huston,華特·休斯頓
Jason Antoon,杰森·安顿
Frank Chin,赵健秀
Travis Mills,崔維斯·米爾斯
Detlef Schrempf,德特夫·史伦夫
Werner Jaeger,维尔纳·耶格
Brenda Strong,布兰达·斯特朗
Bruno Nettl,布鲁诺·内特尔
Dave Brown,戴夫·布朗
Branch Rickey,布蘭奇·瑞基
Kelly Coffield Park,凱莉·柯菲爾德·帕克
George C. Homans,霍曼斯
William Kennedy,威廉·肯尼迪
Lindsay Lee-Waters,林赛·李-沃特斯
Edward Norton,爱德华·诺顿
William Alston,威廉·奧爾斯頓
Frank Tuttle,弗蘭克·塔特爾
Marguerite Yourcenar,玛格丽特·尤瑟纳尔
Carl Hewitt,卡爾·赫維特
E-40,E-40
Jessica Lu,杰茜卡·路
John Sparks,約翰·斯帕克斯
Robert S. Barton,羅伯特·S·巴頓
Pei-Yuan Wei,魏培源
Larry McDonald,拉里·麥唐諾
Fred Karger,弗雷德·卡尔热
John Weakland,約翰·魏克蘭
Oren Patashnik,奧倫·帕塔什尼克
Michael J. Massimino,邁克爾·馬西莫諾
Stephen Frick,史蒂芬·弗里克
Sam Lantinga,山姆·兰迪加
Bill Inmon,比爾·英蒙
Barry Watson,巴里·華生
Bill D'Elia,比爾·迪里亞
David Duke,大衛·杜克
Stephen Hague,史蒂芬·海格
Edward D. Crippa,愛德華·D·克里帕
Eva Longoria,伊娃·朗歌莉亞
Samuel Bowles,塞缪尔·鲍尔斯
Robert Taylor,罗伯特·W·泰勒
David Rumelhart,大卫·鲁梅尔哈特
Tom DeMarco,湯姆·狄馬克
Scott Meyers,斯科特·邁爾斯
David Luenberger,大衛·倫伯傑
Roy Fielding,罗伊·菲尔丁
Daniel Spielman,丹尼尔·斯皮尔曼
Lita Grey,丽泰·格雷
Tina Aumont,蒂娜·奧蒙
Joseph L. Green,约瑟夫·L·格林
Sam Spiegel,山姆·史匹格
Tulsi Gabbard,圖爾西·加伯德
Nia Vardalos,妮雅·瓦達蘿絲
William Taubman,威廉·陶伯曼
Greg Kroah-Hartman,葛雷格·克羅哈曼
Charles Rackoff,查爾斯·拉克福
Edna St. Vincent Millay,埃德娜·聖文森特·米萊
Sendhil Ramamurthy,森德希·拉玛莫西
Jessica Biel,謝茜嘉·比爾
Karl Freund,卡爾·弗洛伊德
Duane G. Carey,杜安·G·凯里
Carl Gustav Hempel,卡尔·亨普尔
Bettie Page,貝蒂·佩吉
Jennifer Aniston,珍妮佛·安妮斯顿
Luke Ridnour,卢克·里德诺
James Joseph Dresnok,傑瑞·韋恩·派瑞許
Walter De Maria,沃尔特·德·玛利亚
Madhu Sudan,马杜·苏丹
Jon Schillaci,乔恩·斯基拉奇
Gerald Weinberg,傑拉爾德·溫伯格
Shmuel Winograd,什穆埃爾·威諾格拉德
Donald D. Chamberlin,唐纳德·钱柏林
Gary Miller,加里·李·米勒
Stella Adler,史岱拉
Leonard Kleinrock,莱昂纳多·克莱洛克
Andrzej Ehrenfeucht,安德热·伊伦弗赫特
Neil Immerman,尼尔·伊莫尔曼
Eric Szmanda,艾瑞克·蘇曼達
Torry Holt,托里·霍爾特
Blu Mankuma,布鲁曼·库玛
Nan Hayworth,南·海沃斯
Ronald Fagin,羅納德·法金
James McClelland,詹姆斯·麦克兰德
Lita Ford,莉達·福特
Bruce Graham,布鲁斯·格雷厄姆
Theodore Thomas,希奥多·汤玛斯
Ted Nelson,泰德·尼爾森
Bob Kahn,罗伯特·卡恩
Miguel de Icaza,米格爾·德伊卡薩
Robbie Nevil,羅比·奈弗
Glen Campbell,格倫·坎貝爾
Hilary Swank,希拉里·斯旺克
Donald Shell,唐纳德·希尔
Karl Sims,卡尔·西姆斯
Ralph Barton Perry,拉尔夫·巴顿·佩里
Fran Lebowitz,弗兰·利博维茨
Warren Moon,瓦倫.穆恩
Chester Newton,切斯特·牛顿
Philip Agee,费利佩·阿吉
Meredith Michaels-Beerbaum,梅雷迪丝·迈克尔斯-贝尔鲍姆
Jessica Sanchez,杰西卡·桑切斯
Kurt Goldstein,库特·古尔德斯坦
Juan José Linz,胡安·林茲
Michael Shermer,邁克爾·謝爾默
Herb Jeffries,弗蘭克·雅布蘭斯
Kristen Stewart,克莉絲汀·史都華
Pierre Samuel du Pont IV,皮埃爾·S·杜邦四世
Joseph Pilates,約瑟夫·皮拉提斯
Leslie Valiant,莱斯利·瓦利安特
Ivan Sutherland,伊凡·蘇澤蘭
John G. Downey,约翰·G·唐尼
Ezra Pound,艾兹拉·庞德
Valery Leontiev,瓦列里里昂惕夫
Jim Gettys,吉姆·給提
Steven Rudich,史蒂芬·魯迪奇
Edward J. McCluskey,愛德華·J·麥克盧斯基
Rupert Wildt,魯伯特·維爾德
Silvio Micali,希爾維奧·米卡利
Alan Perlis,艾倫·傑·佩利
William Shockley,威廉·肖克利
Thomas Paine,托马斯·潘恩
Bessie Smith,贝西史密斯
Gene Amdahl,吉恩·阿姆達爾
Jimmy Van Heusen,吉米·范·优迅
Stephen Cook,史提芬·古克
Eugene O'Neill,尤金·奥尼尔
George S. Kaufman,喬治·S·考夫曼
Jane Barkman,简·巴克曼
Ernst Herzfeld,恩斯特 赫茲菲爾德
Atticus Shaffer,阿蒂庫斯·沙弗爾
Michael Grimm,麥克·格里姆
Sharon Stone,莎朗·史東
J. Michael Straczynski,约瑟夫·迈克尔·斯特拉日恩斯基
Mario Van Peebles,馬里歐·範·比柏斯
Elisabeth Röhm,伊莉莎白·盧姆
Elisabeth Schumann,伊莉莎白·舒曼
Jay-Z,杰斯
Solomon P. Sharp,所羅門·P·夏普
George Nethercutt,喬治·內瑟卡特
Johnny Rogers,约翰尼·罗杰斯
Lynn Anderson,琳·安德森
Brandi Carlile,布兰迪·卡莉
Chris Gibson,克里斯·吉布森
Marlon Brando,马龙·白兰度
Richard L. Hanna,里察·L·漢納
Sandy Mosse,Sandy Mosse
Ben Shneiderman,本·施奈德曼
Thomas C. Platt,托马斯·C·普拉特
George Halas,喬治哈拉斯
Cyd Charisse,賽德·查里斯
Victor Fleming,维克托·弗莱明
Charles Bachman,查尔斯·巴赫曼
Ulric Neisser,乌尔里克·奈塞尔
Kesha,凱莎
Philip Kotler,菲利普·科特勒
Christopher Lawrence,克里斯托弗·劳伦斯
Justin Mentell,贾斯汀·蒙特尔
Mase,梅斯
Edwin Catmull,艾德文·卡特姆
Walter Kaufmann,瓦爾特·阿諾德·考夫曼
Jacques Loeb,雅克·洛布
Errol Flynn,埃羅爾·弗林
Miles Davis,邁爾士·戴維斯
Marc Andreessen,馬克·安德生
Mark Zbikowski,馬克·茨柏克沃斯基
Carver Mead,卡弗·安德烈斯·米德
Mark Weiser,马克·维瑟
John Edward Hopcroft,約翰·霍普克洛夫特
Antje Harvey,安特耶·哈维
Larry Eyler,拉里·埃勒
Fred Weller,弗雷德里克·韦勒
Peter Norton,彼得·諾頓
Andrew Yao,姚期智
Kevin Granata,凯文·格兰纳达
Cassin Young,卡辛·杨
Maria von Trapp,玛丽亚·冯·崔普
Joseph Schildkraut,約瑟夫·希爾德克勞特
Nadia Comăneci,纳迪娅·科马内奇
W. Michael Blumenthal,沃纳·迈克尔·布卢门撒尔
Dana Wynter,丹娜·维纳
Dwayne A. Day,德韦恩·戴伊
Jason O'Mara,杰森·奥玛拉
Frank Zappa,弗兰克·扎帕
Samuel Francis Du Pont,都板
H. A. Boucher,哈鮑徹
Jim Duggan,吉姆·達根
F. Scott Fitzgerald,弗朗西斯·斯科特·菲茨杰拉德
Slash,史萊許
Douglas MacArthur,道格拉斯·麦克阿瑟
Albert A. Michelson,阿尔伯特·迈克耳孙
Jim Kajiya,吉姆·卡吉雅
Fazlur Khan,法茲勒·拉赫曼
Leonor Michaelis,雷昂諾·米凱利斯
Theodore Roosevelt,西奥多·罗斯福
Randee Heller,芮蒂海乐
Vicki Baum,薇姬·鲍姆
Larry O'Brien,拉里·奥布赖恩
Alice Paul,艾麗斯·保羅
Harold Lockwood,哈羅德·洛克伍德
Ava Gardner,艾娃·加德纳
"Howard R. Hughes, Sr.",老侯活·R·曉治
Mark Wahlberg,馬克·華伯格
Chuck Baldwin,查克·鮑德溫
Robert Rauschenberg,羅伯特·勞森伯格
Vincent du Vigneaud,文森特·迪维尼奥
Charlene Barshefsky,查伦·巴尔舍夫斯基
David Koechner,大衛·柯屈納
Simon Newcomb,西蒙·紐康
Douglas L. Coleman,道格拉斯·高爾曼
Mark Price,马克·普莱斯
Tavis Smiley,泰維斯·斯密利
Robert Satcher,罗伯特·撒切尔
Peter Gay,彼得·盖伊
Theodore von Kármán,西奥多·冯·卡门
Ellsworth Bunker,埃爾斯沃思·邦克
Prince Paul,保羅王子 (製片人)
Joanna Kerns,乔安娜·克恩斯
Galen Rupp,盖伦·鲁普
Christopher Paolini,克里斯托弗·鲍里尼
Ambrose Akinmusire,安布罗斯·阿金缪尔
Mae Jemison,梅·杰米森
Annie Parisse,安妮·帕里西
Drake,德雷克
Alexander Graham Bell,亚历山大·格雷厄姆·贝尔
Chris Christie,克里斯·克里斯帝
Carl Schurz,卡爾·舒爾茨
Frank Kugler,弗兰克·库格勒
Paul Henreid,保罗·亨雷
Willy Ley,威利·雷
Emil Julius Gumbel,埃米爾·岡貝爾
Pedro Castillo,彼得·格雷
Bitty Schram,比蒂·施拉姆
Baby Face Nelson,娃娃臉尼爾森
Andreas Deja,安德鲁斯·德加
Glenn Snyder,格倫·斯耐德
Kathleen Wilhoite,凯瑟琳·威尔霍特
Bess Armstrong,贝丝·阿姆斯特朗
Bela Lugosi,贝拉·卢戈西
Tony Adams,東尼·亞當斯
Sarah Thompson,萨拉·汤普森
Max Fleischer,馬克思·弗萊舍
Len Blavatnik,李奧納德·布拉瓦尼克
Thomas Gold,湯馬士·戈爾德
Woodrow Wilson,伍德罗·威尔逊
Verlyn Flieger,福林·弗里格
Paul Watzlawick,保罗·瓦兹拉威克
Ashton Kutcher,克里斯多福·艾希頓·庫奇
Paul Leder,保羅·萊德
Andre Dawson,安德烈·道森
Jabez Upham,賈貝茲·阿珀姆
George Dzundza,喬治·德桑薩
Linus Torvalds,林纳斯·托瓦兹
John Chambers,約翰·錢伯斯(化妝師)
Roy J. Glauber,罗伊·格劳伯
Pat Hingle,帕特·亨格尔
Gary Cooper,賈利·古柏
Gary Friedrich,蓋瑞·弗萊德瑞奇
Maria Sanchez,玛利亚·桑切斯
Madison Keys,麥迪遜·凱斯
Ozzie Smith,奧茲·史密斯
Bernie Leadon,伯尼·利登
Henry Jarvis Raymond,亨利·贾维斯·雷蒙德
James Augustine,詹姆斯·奥古斯丁
Albert Sabin,阿爾伯特·沙賓
Shere Hite,雪儿·海特
Karen Wynn Fonstad,凱倫·韋恩·方斯坦
Robert Adler,罗伯特·阿德勒
Molly Ephraim,茉莉·艾夫萊姆
Bobby Bonds,鮑比·邦茲
Lee Pui Ming,李佩鳴
Abby Brammell,埃比·布拉梅尔
Arleigh Burke,阿利·伯克
Uta Hagen,乌塔·哈根
Ashley Tisdale,阿什丽·提斯代尔
Henry Clay Frick,亨利·克雷·弗里克
Robert Motherwell,罗伯特·马瑟韦尔
Max Rudolf,马克斯·鲁道夫
Malcolm McKenna,马尔科姆·麦肯纳
Herbert Feigl,赫伯特·费格尔
Whitney Houston,惠特妮·休斯顿
Harry Coover,哈利·庫弗
John Salmons,約翰·薩爾蒙斯
Dweezil Zappa,杜威佐·扎帕
Churchill C. Cambreleng,邱吉爾·C·康布勒朗
Robert Downey Jr.,小勞勃·道尼
M. Shadows,馬修·桑德斯
Mark W. Clark,馬克·克拉克
Gwyneth Paltrow,格威妮丝·帕尔特罗
Arshile Gorky,阿希尔·戈尔基
Frank Skinner,法蘭克·斯基納
Steve Whitmire,史蒂夫·惠特迈尔
Esther Dyson,埃丝特·戴森
Barbara Stanwyck,芭芭拉·斯坦威克
Arthur Holly Compton,阿瑟·康普顿
Rudolf Kompfner,魯道夫·康普弗納
Paul Lazarsfeld,保罗·F·拉扎斯菲尔德
James Cagney,詹姆斯·卡格尼
Greg Garcia,格雷格·格拉西亚
Walter M. Elsasser,瓦爾特·埃爾紹澤
Kathryn Newton,凱瑟琳·紐頓
Micah Sloat,弥迦·斯洛特
Melle Mel,梅勒·梅尔
Ewan McGregor,伊万·迈克格雷戈
Kathryn Bigelow,凯瑟琳·毕格罗
Scarlett Johansson,史嘉蕾·喬韓森
Alfred Schütz,阿尔弗雷德·舒茨
Natalie Clifford Barney,娜塔莉·克利福德·巴尼
David Denman,大衛·丹曼
Ulysses S. Grant,尤利西斯·格兰特
Anastacia,安娜塔西亚
James A. Garfield,詹姆斯·A·加菲尔德
Sherman Howard,謝爾曼·霍華德
Wendi McLendon-Covey,溫蒂·麥莉登康薇
Tobey Maguire,托比·马圭尔
Rockin' Robin,罗萍·史密斯
Oskar Morgenstern,摩根斯頓
Wolfgang Pauli,沃尔夫冈·泡利
Kip Williams,陶德·威廉斯
Richard Brauer,理查德·布饶尔
Jürgen Moser,尤爾根·莫澤爾
Bob Hope,鲍勃·霍普
Charles Frédéric Girard,查尔斯·弗雷德里克·吉拉德
Jack Lemmon,傑克·萊蒙
John Wellborn Root,約翰·威爾博恩·魯特
Anthony Sowell,安東尼·索維爾
Robert Foster,羅伯特·福斯特
Henry Slesar,亨利·史利沙
Burton M. Cross,伯頓·梅爾文·克羅斯
Michael Laughlin,邁克爾·拉夫林
Dion Waiters,迪昂·维特斯
Phil Gordon,菲爾·戈登
Vincent McEveety,文森特·麦克伊维提
Rodney Atkins,羅德尼·阿特金斯
Maria Callas,瑪麗亞·卡拉絲
Walt Ader,沃尔特·阿德
Jacqueline Kennedy Onassis,杰奎琳·肯尼迪
Benjamin Franklin,本傑明·富蘭克林
Peter Duesberg,彼得·迪斯贝格
Anthony Hopkins,安東尼·霍普金斯
Frances Fisher,法蘭斯．菲雪
Renée Fleming,芮妮·弗萊明
Louis B. Sohn,Louis B. Sohn
Vince DiCola,文斯·迪卡拉
Abyss,阿比斯
Edward A. O'Neal,爱德华·奥尼尔
Deborah Raffin,德博拉·拉芬
Bart D. Ehrman,巴特·葉爾曼
Al Jolson,艾爾·喬遜
Mackenzie Foy,麦肯基·弗依
Lauren Cohan,蘿倫·科漢
Isaac Asimov,艾萨克·阿西莫夫
Caleb Walton West,迦勒布·瓦爾敦·韋斯特
William H. Cabell,威廉·H·喀拜爾
Elizabeth Taylor,伊丽莎白·泰勒
Bantz J. Craddock,班蒂斯·克拉多克
Gregg Toland,格雷格·托蘭德
Irving Berlin,歐文·柏林
"Florenz Ziegfeld, Jr.",佛羅瑞茲·齊格菲
Terry Kiser,特利·奇瑟
Robert E. Lee,羅伯特·李
Henry Kissinger,亨利·基辛格
Frederic Lewy,弗德里克·路易
Fritz Stern,弗里茨·施特恩
Isidor Isaac Rabi,伊西多·拉比
Georg Karl Tänzler,卡尔·坦泽勒
Thomas Szasz,托馬斯·薩斯
Grover Cleveland,格罗弗·克利夫兰
Horst P. Horst,霍斯特P.霍斯特
Karl Malden,卡爾·馬登
Carl H. Eigenmann,卡爾·H·艾根曼
William Holden,威廉·荷頓
Timothy Chandler,蒂莫西·錢德勒
Matthias Pintscher,馬賽厄斯·平茨徹
John Barrymore,約翰·巴里摩
Bob Rafelson,鲍勃·拉菲尔森
Rose Marie,羅絲·瑪麗 (歌曲)
Kylie Ireland,凱莉·愛爾蘭
Shirley MacLaine,莎莉·麥克琳
Warren Beatty,沃伦·比蒂
Arleen Sorkin,艾琳·索金
Kurt Wimmer,卻·溫瑪
John Davies,约翰·戴维斯 (游泳运动员)
Tommy Mercer,汤米·默瑟
Usher,亚瑟小子
Thomas Pynchon,托马斯·品钦
Carmelo Anthony,卡梅隆·安东尼
Alexander Singer,阿里克斯·辛格
Luke Bryan,盧克·布萊恩
Georganne Moline,乔治安妮·莫林
Logan Miller,洛根·米勒
Mike Eruzione,迈克·埃鲁齐翁
Tom Amandes,汤姆·阿曼德茨
Norma Shearer,瑙瑪·希拉
Ethel Merman,埃塞爾·默爾曼
Damien Thorn,譚明·索
Rebecca Balding,雷貝嘉·巴爾丁
Blake Shelton,布雷克·谢尔顿
Jane Wyman,珍·惠曼
John Gray,約翰·格雷
Daniel J. Callaghan,丹尼爾‧卡拉漢
William McKinley,威廉·麦金莱
Paulette Goddard,寶蓮·高黛
Peter van Eyck,彼得·范·艾克
Shelomo Dov Goitein,謝洛莫·多夫·戈伊泰恩
Steve Coll,史蒂夫·柯爾
Ricky Martin,瑞奇·馬丁
Max Warburg,马克斯·M·沃伯格
Herbert Hoover,赫伯特·胡佛
Marty Marion,馬蒂·馬里昂
Will Chase,威爾·切斯
Walter Tewksbury,沃尔特·图克斯伯里
Joan Bennett,瓊·傑拉丁·貝內特
Richard Norton,李察羅頓
Danielle Fishel,丹妮拉·费舍
Henry M. Morris,亨利·莫里斯
Juana Maria,胡安娜·玛丽亚
Lindsey Stirling,琳賽·斯特林
Anna Kendrick,安娜·姬妲妮
Warren G. Harding,沃伦·加梅利尔·哈定
John Forbes Nash,约翰·福布斯·纳什
Joan Fontaine,琼·芳登
Heinz Berggruen,貝爾古恩
Brent Anderson,布蘭特·安德森
Abner Biberman,阿伯納·比伯曼
Richard Goldschmidt,理查德·戈德施密特
Melinda Page Hamilton,梅琳達·佩吉·漢密爾頓
Ginger Rogers,琴吉·羅傑斯
Wesley Morris,韋斯利·莫里斯
Robert Jordan,羅伯特·喬丹
Glen H. GoodKnight,葛倫·H·古德奈特
Wayne G. Hammond,韋恩·G·哈蒙德
Andrew A. Humphreys,安德魯·漢弗萊斯
Olivia de Havilland,奥利维娅·德哈维兰
Chester A. Arthur,切斯特·艾伦·阿瑟
Frédéric Lichtenberg,弗雷德里克·馮·安哈爾特
Eddie Bracken,埃迪·布莱肯
Kristine Lilly,克里斯汀·莉莉
James Caan,詹姆斯·肯恩
Brad Pitt,布萊德·彼特
Giada De Laurentiis,嘉妲·狄罗伦提斯
Leopold Jessner,利奥波德·杰斯纳
Klaus Patau,克勞斯·巴陶
Alexander Wendt,亚历山大·溫特
Rudolph Dirks,魯道夫·德克斯
Christopher Memminger,克里斯托弗·梅明格
Peter H. Wyden,彼得·H·懷登
Irving Kaplansky,厄文·卡普兰斯基
Bruce Jones,布魯斯·瓊斯
Manuel Cardona Castro,曼努埃尔·卡多纳
Joseph Cotten,約瑟夫·考登
"Earl Wilbur Sutherland, Jr.",厄爾·威爾伯·薩瑟蘭
Richard Musgrave,理查·馬斯格雷夫
John Carpenter,約翰·卡彭特
Nathaniel Hawthorne,纳撒尼尔·霍桑
Tim Robbins,蒂姆·罗宾斯
Norman Taurog,諾曼·陶羅格
Delmer Daves,狄瑪·戴維斯
Brigitte Horney,布里吉特·霍妮
Alfred Rehder,俄福雷·雷德額
Allysin Chaynes,阿利森·查恩斯
Ava Vincent,艾娃·文森
Ruth Harriet Louise,露絲·哈里特·路易絲
Matt Besler,馬特·貝斯勒
Ansley J. Coale,安斯利·科爾
Robert A. M. Stern,羅伯特·斯坦恩
GoonRock,GoonRock
Leo Fitzpatrick,李奧·菲茨派翠克
Hans Rademacher,汉斯·拉代马海尔
Benjamin Harrison,本杰明·哈里森
Hannes Jaenicke,汉恩斯·詹尼可
Kenny Rollins,肯尼·罗林斯
Brandon Soo Hoo,布蘭登·蘇·胡
Hans Lewy,漢斯·盧伊
Clarence Clemons,克拉倫斯·克萊蒙
Aimee Sweet,艾梅·斯威特
Samuel Adler,塞缪尔·阿德勒
Alfred Brauer,阿爾弗雷德·布勞爾
Thomas M. Rees,湯瑪斯·M·瑞斯
Dorothy Lamour,多萝西·拉穆尔
William M. McCarty,威廉·梅森·麦卡蒂
E. J. Dionne,E.J.迪翁
John Kasich,約翰·卡西奇
Jan Harlan,揚·哈蘭
Rolf Landauer,羅爾夫·蘭道爾
Fritz Feld,弗里兹·费尔德
2 Chainz,雙鍊大師
Kemba Walker,肯巴·沃克
Thelma Schoonmaker,黛瑪·史娟梅嘉
Edgar Alexander Mearns,艾德嘉·亞歷山大·米恩斯
James Ingo Freed,詹姆斯·英戈·弗里德
Max Friedrich Meyer,马克斯·迈耶
Benjamin F. Harding,本杰明·富兰克林·哈定
William Howard Taft,威廉·霍华德·塔夫脱
David Corn,大衛·科恩
Bushrod Washington,布什罗德·华盛顿
Nayer,内叶尔
Peter Horton,彼得·霍頓
Peter Bergmann,彼得·伯格曼
Charles Fey,查爾斯·菲
Johnny Isakson,強尼·艾薩克森
Gertrude B. Elion,格特魯德·B·埃利恩
Ernst Ising,恩斯特·易辛
Jared Lobdell,傑瑞德·洛布德爾
Hans Dreier,漢斯·德雷爾
Robert Aldrich,罗伯特·奥尔德里奇
Memphis Bleek,孟菲斯·布勒克
James L. Brooks,詹姆斯·L·布鲁克斯
Rutherford B. Hayes,拉瑟福德·伯查德·海斯
Vermin Supreme,沃克文·施平
Katrina Leskanich,卡翠娜·勒斯卡尼
Fred Baur,弗雷德里克·鮑爾
Chris Cannon,克里斯·加農
Adam Strange,亚当·斯特兰奇
Barney Dreyfuss,巴恩尼·德雷夫斯
Wallace Stevens,华莱士·史蒂文斯
Hans Georg Dehmelt,汉斯·德默尔特
Konrad Emil Bloch,康拉德·布洛赫
Kenneth Claiborne Royall,肯尼斯·克萊伯恩·羅亞爾
Isham Jones,艾沙姆·琼斯
Daniel Coit Gilman,丹尼爾·科伊特·吉爾曼
Tim Cain,蒂姆·坎
DJ Ashba,DJ Ashba
Kurt Neumann,庫爾特·諾伊曼
James Kirby Martin,詹姆斯·柯比·马丁
Eero Saarinen,埃罗·萨里宁
Alektra Blue,亞莉特克拉·布魯
Christian Schwartz,克里斯蒂安·施瓦茨
Claude Frank,克勞德·弗蘭克
Theodor W. Hänsch,特奥多尔·亨施
Paul Warburg,保羅.M.瓦爾堡
Menahem Pressler,梅內海姆·普萊斯勒
Audrey Bitoni,奧黛莉·比托尼
Neal Cassady,尼爾·卡薩蒂
Jon Voight,強·沃特
Emile Berliner,埃米尔·贝利纳
Ralf D. Bode,拉爾夫·D·博德
Friedrich Sorge,左尔格
Hubertus Strughold,胡波圖斯·斯特拉胡德
George Bellows,喬治·貝洛斯
Bill Hicks,比爾·希克斯
Nick Saban,尼克·塞班
Ralph H. Baer,拉夫·亨利·贝尔
Adelaide Lambert,阿德莱德·兰伯特
William L. Laurence,威廉·L·勞倫斯
Thomas C. Südhof,托马斯·聚德霍夫
Andrew Ellicott,安德魯·埃利科特
A$AP Rocky,速可達硬漢
Bradley C. Livezey,布拉德利·柯蒂斯·利弗澤
Henry Blanke,亨利·布蘭克
Fanny Hesse,范妮·黑塞
Herbert Kroemer,赫伯特·克勒默
Theda Skocpol,西达·斯科克波
David Wu,吴振伟
John Havlicek,约翰·哈夫利切克
Ashley Blue,艾希莉·布魯
Charles Pfizer,查爾斯·費澤
William Francis Hillebrand,威廉·弗朗西斯·希尔布兰德
Karen Horney,卡伦·霍妮
Judah Friedlander,賈達·弗雷德蘭德
Robert Hofstadter,罗伯特·霍夫施塔特
Clark Gable,克拉克·盖博
John Bachman,约翰·巴克曼
Stanley Miller,史丹利·米勒
Troy Gentile,特羅伊·根泰爾
Kim Stanley Robinson,金·史丹利·羅賓遜
Ian Somerhalder,伊恩·桑莫哈德
Elizabeth Berkley,伊丽莎白·伯克利
John Tormey,約翰·托米
James Comey,詹姆斯·科米
Emmy Rossum,艾米·罗森
Hermann Weyl,赫尔曼·外尔
Ashlynn Brooke,艾希琳·布魯克
Meg Ryan,梅格·瑞安
James Crabe,詹姆斯·克雷貝
Charles Sumner Hamlin,查爾斯·薩姆納·哈姆林
Guenter Lewy,冈特·路易
Mary Carey,瑪麗·凱莉
Richard Löwenthal,理查德·洛文塔爾
Alfred Neumann,阿爾弗雷德·諾伊曼
Nicole Scherzinger,妮可·舒辛格
Alanis Morissette,艾拉妮絲·莫莉塞特
John Hamburg,約翰·漢堡
Gore Vidal,戈尔·维达尔
James Murray Mason,詹姆斯·默里·梅森
Steve McNair,史蒂夫·麦克奈尔
Isham G. Harris,艾沙姆·G·哈里斯
Margarete Bieber,瑪格麗特·比伯
Tracey Ullman,崔茜·鄔嫚
Michael Jan Friedman,邁克爾·揚·傅利曼
"Tyler, the Creator",造物主泰勒
Bette Davis,贝蒂·戴维斯
Alexis Texas,亞歷克西·得克薩斯
James Fenimore Cooper,詹姆斯·菲尼莫尔·库珀
Ferdinand Lessing,佛狄南·烈辛
Molly Quinn,莫莉·奎恩
Aria Giovanni,阿麗雅·喬瓦尼
Muhammad Ali,穆罕默德·阿里
Calvin Coolidge,卡尔文·柯立芝
Spencer Tracy,史賓塞·屈賽
Zbigniew Brzezinski,兹比格涅夫·布热津斯基
Moritz Geiger,莫里茨·盖格
Heinrich Blücher,海因里希·布呂赫
Anna Kournikova,安娜·庫妮可娃
Beyoncé,碧昂絲
Julius Erasmus Hilgard,朱利葉斯·伊拉斯謨斯·希爾加德
Berthold Laufer,贝特霍尔德·劳费尔
Truxtun Hare,特拉克斯顿·黑尔
Leo Frank,利奥·弗兰克案
Kendrick Lamar,肯德里克·拉马尔
Henry David Thoreau,亨利·戴维·梭罗
LeBron James,勒布朗·詹姆斯
Kikkan Randall,基克肯·蓝道尔
Jessie Diggins,杰西卡·迪金斯
Steven Schiff,史蒂芬·希夫
Frank Wisbar,法蘭克·維斯伯
Chet Atkins,切特·阿特金斯
Ellie Kemper,艾莉·坎波
Robert A. Millikan,罗伯特·密立根
Edward Dmytryk,愛德華·迪麥雷克
Charles Bronson,查尔斯·布朗森
Mia Talerico,米娅·塔莱里科
