España,스페인
Ciudad de las Artes y las Ciencias,예술 과학 도시
Segunda División de España 2001/02,세군다 디비시온 2001-02
Estación de Avenida de la Paz,아베니다 데 라 파스 역
Plasencia,플라센시아
Zubizuri,주비주리
Entrena,엔트레나
Teulada,테울라다
Primera División de España 1976/77,라리가 1976-77
Segunda División de España 1944/45,세군다 디비시온 1944-45
Salou,살로우
Segunda División de España 1998/99,세군다 디비시온 1998-99
Álora,알로라
Estación Espacial Internacional,국제우주정거장
Algorta,알고르타
Primera División de España 1960/61,라리가 1960-61
Bardenas Reales,바르데나스 레알레스
Primera División de España 2007/08,프리메라리가 2007-08
Estadio de San Mamés (1913),산 마메스
asturiano,아스투리아스어
Estación de Valdecarros,발데카로스역
Torre de Hércules,헤라클레스의 탑
lista de monarcas de Asturias,아스투리아스 국왕
plaza de toros de Valencia,발렌시아 투우장
extremeño,에스트레마두라어
Autovía de Málaga,말라가 고속도로 (스페인)
Gran Premio de España de 2011,2011년 포뮬러 원 스페인 그랑프리
Alicante Club de Fútbol,알리칸테 CF
Línea de alta velocidad Madrid-Segovia-Valladolid,마드리드-바야돌리드 고속선
Primera División de España 2008/09,프리메라리가 2008-09
Batalla de Medina de Rioseco,메디나 델 리오 세코 전투
Segunda División de España 1990/91,세군다 디비시온 1990-91
Segunda División de España 1930/31,세군다 디비시온 1930-31
Abadal,아바달
Sierra Nevada,시에라네바다산맥
Generalife,헤네랄리페
Hispano-Suiza,이스파노 수이사
Real Monasterio de San Lorenzo de El Escorial,엘에스코리알
Panda Security,판다 시큐리티
batalla de Gibraltar,지브롤터 해전
Segunda División de España 1971/72,세군다 디비시온 1971-72
Primera División de España 1986/87,라리가 1986-87
Autovía de la Barranca,오토비아 데 라 바랑카 (스페인)
Mezquita-catedral de Córdoba,메스키타
valenciano,발렌시아어
lengua de signos valenciana,발렌시아어 수화
Vuelta a España,부엘타 아 에스파냐
Estadio Heliodoro Rodríguez López,에스타디오 엘리오도로 로드리게스 로페스
Primera División de España 1966/67,라리가 1966-67
Club Gimnàstic de Tarragona,힘나스틱 데 타라고나
UCAM Murcia Club de Fútbol,UCAM 무르시아 CF
Real Club Deportivo Español "B",RCD 에스파뇰 B
Águilas,아길라스
estación de Joaquín Vilumbrales,호아킨 빌룸브랄레스 역
España en los Juegos Olímpicos de Atenas 2004,2004년 하계 올림픽 스페인 선수단
Archidiócesis de Madrid,가톨릭 마드리드 대교구
Segunda División de España 1982/83,세군다 디비시온 1982-83
Segunda División de España,세군다 디비시온
El Periódico de Catalunya,엘 페리오디코 데 카탈루냐
nombre español,스페인의 작명
Clasificación de AFC y OFC para la Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵 아시아·오세아니아 지역 예선
Copa del Rey de fútbol 1981-82,코파 델 레이 1981-82
Siglo de Oro,스페인 황금 세기
Supercopa de Europa 1997,1997년 UEFA 슈퍼컵
Partido Obrero de Unificación Marxista,마르크스주의통일노동자당
Auditorio de Tenerife,테네리페 음악당
Estación de Plaza España,플라사 데스파냐 역
Gandía,간디아
mancomunidad,만코무니다드
Segunda División de España 1977/78,세군다 디비시온 1977-78
Estado Mallorca Son Moix,이베로스타 에스타디오
Supercopa de España de Fútbol 2008,수페르코파 데 에스파냐 2008
caló,칼로어
Supercopa de Europa 1989,1989년 UEFA 슈퍼컵
gótico,고트어
Villafranca de Ordizia,오르디시아
Vuelta a Andalucía,부엘타 아 안달루시아
Real Oviedo,레알 오비에도
Primera División de España 1945/46,라리가 1945-46
Estrecho de Gibraltar,지브롤터 해협
Estadio Olímpico Lluís Companys,에스타디 올림픽 루이스 쿰파니스
Batalla de Vitoria,비토리아 전투
gascón,가스코뉴어
lengua de signos catalana,카탈루냐어 수화
Aeropuerto de Bilbao,빌바오 공항
Autopista Ocaña-La Roda,오카냐-라 로다 고속도로 (스페인)
Écija Balompié,에시자 발롬피에
División de Honor de Rugby,디비시온 데 아너
Copa del Generalísimo de fútbol 1952,코파 델 헤네랄리시모 1952
Liga Europea de la UEFA 2013-14,2013-14년 UEFA 유로파리그
Carral,카랄
Arancón,아랑콘
Segunda División de España 1991/92,세군다 디비시온 1991-92
Chiclana de la Frontera,시클라나 데라 프론테라
Copa del Rey de Fútbol 1906,코파 델 레이 1906
Telemadrid,텔레마드리드
Primera División de España 1964/65,라리가 1964-65
Estadio Ramón Sánchez Pizjuán,에스타디오 라몬 산체스 피스후안
Serie 120 de Renfe,렌페 120급·렌페 121급
Primera División Femenina de España,프리메라 디비시온 페메니나
Primera División de España 1971/72,라리가 1971-72
Teide,테이데봉
.es,.es
Seo de Urgel,위르젤
Cañizo,카니조
Primera División de España 1980/81,라리가 1980-81
selección de fútbol de España,스페인 축구 국가대표팀
golfo de Vizcaya,비스케이 만
idiomas de España,스페인의 언어
España en el Festival de la Canción de Eurovisión,스페인의 유로비전 송 콘테스트 참가
IE Universidad,IE 대학교
Estación de Conservatorio,콘세르바토리오역
Espejo,에스페호
Ágreda,아그레다
Olympic Broadcasting Services,올림픽 방송 서비스
Autovía del Noroeste,오토비아 델 노로스테 (스페인)
Linares,리나레스
Primera División de España 2000/01,프리메라리가 2000-01
Montehermoso,몬테헤르모소
Copa de España de Fútbol 1931,코파 델 프레시덴테 데 라 레푸블리카 1931
Serie 490 de Renfe,렌페 490급
Camino de Santiago,산티아고 순례길
Tenerife,테네리페섬
Selección de hockey sobre hierba de España,스페인 필드하키 국가대표팀
Primera División de España 2002/03,프리메라리가 2002-03
Armada Española,스페인 해군
Partido Nacionalista Vasco,바스크 국민당
Autopista del Atlántico,오토피스타 델 아틀란티코 (스페인)
Primera División de España 1990/91,프리메라리가 1999-00
Copa del Rey de Fútbol 1903,코파 델 레이 1903
Congreso de los Diputados,스페인 하원
Segunda División de España 1932/33,세군다 디비시온 1932-33
carlismo,카를로스파
Primera División de España 1988/89,라리가 1988-89
Unión Deportiva Melilla,UD 멜리야
Euskadi Ta Askatasuna,바스크 조국과 자유
Palacio de Deportes de la Comunidad de Madrid,팔라시오 데 데포르테스 데 라 코무니다드 데 마드리드
regionalismo y nacionalismo en España,스페인의 민족주의와 지역주의
Segunda División de España 1956/57,세군다 디비시온 1956-57
Tordesillas,토르데시야스
Unidad Militar de Emergencias,시민보호부대 (스페인)
Copa Mundial Femenina de Rugby de 2002,2002년 여자 럭비 월드컵
ABC,ABC
Lorca,스페인 로르카
Primera División de España 1942/43,라리가 1942-43
Puerto del Rosario,푸에르토델로사리오
túnel ferroviario de Guadarrama,과다라마 터널
Euskal Herria,바스크
Campeonato Mundial de Natación de 2013,2013년 세계 수영 선수권 대회
Adra,아드라
Telescopio William Herschel,윌리엄 허셜 망원경
Rentería,에렌테리아
Alhambra,알람브라 궁전
Estación de Móstoles,모스톨레스 센트랄 역
Telescopio MAGIC,매직
Copa Mundial de Fútbol de 1982,1982년 FIFA 월드컵
Jaca,하카
Alcalá de Henares,알칼라데에나레스
El País,엘 파이스
Pungín,푼싱
Primera División de España 1948/49,라리가 1948-49
Segunda División de España 1947/48,세군다 디비시온 1947-48
Aldea del Fresno,알데아델프레스노
Sagunto,사군토
Templo Expiatorio de la Sagrada Familia,사그라다 파밀리아
fala,팔라어
Copa de España de Fútbol 1933,코파 델 프레시덴테 데 라 레푸블리카 1933
Telecinco,텔레싱코
Toro de Osborne,오스본 불
Parque de la Ciudadela,시우타데야 공원
Mahón,마온
Fútbol Club Barcelona,FC 바르셀로나
Primera División de España 1984/85,라리가 1984-85
Primera División de España 2001/02,프리메라리가 2001-02
Primera División de España 1993/94,라리가 1993-94
Topas,토파스
Copa del Generalísimo de fútbol 1952-53,코파 델 헤네랄리시모 1952-53
Elda,엘다
Estación de Tres Olivos,트레스 올리보스 역
línea 11 del Metro de Madrid,마드리드 지하철 11호선
Copa de Ferias 1961-62,1961-62년 인터시티스 페어스컵
Cabrera,카브레라섬
Oleiros,올레이로스
Menorca,미노르카 섬
Aeropuerto de Zaragoza-Garrapinillos,사라고사 공항
Asociación de Academias de la Lengua Española,스페인어 아카데미 협회
Serie 100 de Renfe,렌페 100급
Batalla de Rande,비고만 해전
Talgo,탈고
Formentera,포르멘테라섬
Anexo:Béisbol en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 야구
Ibiza,이비사섬
Sitio de Barcelona (1713-1714),바르셀로나 공방전
Primera División de España 2012/13,프리메라리가 2012-13
Primera División de España 1995/96,프리메라리가 1995-96
Primera División de España 1991/92,라리가 1991-92
reino de Galicia,갈리시아 왕국
Pull&Bear,풀앤베어
Autopista Vasco-Aragonesa,오토피스타 바스코-아라고네사 (스페인)
Aeropuerto de Málaga-Costa del Sol,말라가 코스타델솔 공항
provincia de Cuenca,쿠엥카주
Primera División de España 1983/84,라리가 1983-84
Primera División de España 2004/05,프리메라리가 2004-05
As,as
Tuenti,Tuenti
San Cristóbal de La Laguna,산크리스토발데라라구나
Parque nacional del Teide,테이데 국립공원
Sahara español,스페인령 사하라
Duque de Alba,알바 공작
Mini Estadi,미니 에스타디
Recurso de amparo,암파로 영장
provincia de Albacete,알바세테주
RTVE,RTVE
provincia de Toledo,톨레도주
Metro de Sevilla,세비야 지하철
Universidad de Salamanca,살라망카 대학교
Real Avilés Industrial C. F.,레알 아빌레스 CF
Primera División de España 1996/97,프리메라리가 1996-97
Selección de balonmano de España,스페인 핸드볼 국가대표팀
Medina del Campo,메디나델캄포
Batalla de Vélez-Málaga,벨레즈-말라가 해전
Primera División de España 1974/75,라리가 1974-75
ruta europea E05,유럽 고속도로 05호선
Morón de la Frontera,모론데라프론테라
Bolsas y Mercados Españoles,스페인 거래소 그룹
Real Madrid de Baloncesto,레알 마드리드 발론세스토
provincia de Valencia,발렌시아도
Primera División de España 1987/88,라리가 1987-88
Primera División de España 1994/95,프리메라리가 1994-95
Primera División de España 1981/82,라리가 1981-82
Batalla de Almansa,알만사 전투
El jardín de las delicias,세속적인 쾌락의 정원
provincia de Palencia,팔렌시아주
Bailén,바일렌
Aeropuerto de Vitoria,비토리아 공항
Segunda División de España 1954/55,세군다 디비시온 1954-55
Supercopa de España de Fútbol 1990,수페르코파 데 에스파냐 1990
provincia de Guadalajara,과달라하라주
Aldealseñor,알데알세뇨르
provincia de Ciudad Real,시우다드레알주
provincia de Ávila,아빌라주
Trujillo,트루히요
Fuenlabrada,푸엔라브라다
Primera División de España,프리메라리가
Valencia Basket,발렌시아 BC
provincia de Castellón,카스테욘
Real Unión Club,레알 우니온
Club Deportivo Basconia,CD 바스코니아
provincia de Alicante,알리칸테주
Estadio La Rosaleda,에스타디오 라 로살레다
provincia de Burgos,부르고스주
Batalla de Baecula,바이쿨라 전투
provincia de Teruel,테루엘주
provincia de Huesca,우에스카주
Metro de Bilbao,빌바오 지하철
Aldealpozo,알데알포소
Fuerzas Armadas,스페인의 군사
Aeropuerto Josep Tarradellas Barcelona-El Prat,바르셀로나 엘프라트 공항
Primera División de España 1929/30,라리가 1929-30
Primera División de España 1928/29,라리가 1929
Telde,텔데
Trofeo Pichichi,피치치
Cerbón,세르본
Avenida de América,아베니다 데 아메리카 역
Primera División de España 2003/04,프리메라리가 2003-04
Batalla de Almenar,알메나라 전투
Unión Deportiva Salamanca,UD 살라망카
Aeropuerto de Salamanca,살라망카 공항
Premios Princesa de Asturias,아스투리아스 공상
Grupo Danone,다논그룹
Alemania Federal vs. Austria,히혼의 수치
provincia de Zaragoza,사라고사주
Macizo de Montserrat,몬세라트
provincia de Soria,소리아주
provincia de Segovia,세고비아주
Casa de Borbón,부르봉 왕가
Alcubilla de Avellaneda,알쿠비야데아베야네다
Covaleda,코발레다
Almazul,알마술
Casarejos,카사레호스
Torre Glòries,토레 글로라이즈
Sanfermines,산 페르민 축제
plaza de toros Monumental de Barcelona,바르셀로나 모누멘탈 투우장
Úbeda,우베다
ONU Turismo,세계 관광 기구
Villajoyosa,비야호요사
Beratón,베라톤
Arcos de Jalón,아르코스데할론
Juegos Mediterráneos de 1955,1955년 지중해 게임
Cabrales,카브랄레스
moneda de euro española,스페인의 유로 주화
Estación de Congosto,콩고스토역
Loja,로하
Air Europa,에어 유로파
Acciona,악시오나
Silla Barcelona,바르셀로나 의자
gigantes y cabezudos,행렬의 거인
Almenar de Soria,알메나르데소리아
Tratado Chino-Portugués de Pekín,중국-포르투갈 우호통상조약
Gran Telescopio Canarias,그랑 텔레스코피오 카나리아스
Nepas,네파스
provincia de Valladolid,바야돌리드주
Ciudad Deportiva del Real Madrid,시우다드 데포르티바
Adeje,아데헤
provincia de Zamora,사모라주
provincia de Salamanca,살라망카주
Bádminton en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 배드민턴
Torres de Santa Cruz,토레스 데 산타 크루즈
Leganés,레가네스
Estadio El Sadar,에스타디오 엘 사다르
Copa del Rey de Fútbol 1907,코파 델 레이 1907
Protestas en España de 2011-2013,2011~2012년 스페인 시위
provincia de Almería,알메리아주
provincia de Barcelona,바르셀로나주
Villarrobledo,비야로블레도
provincia de La Coruña,라코루냐주
provincia de León,레온도
Collado Villalba,코야도비얄바
Imperio español,스페인 제국
Anexo:Equipos participantes en la Eurocopa 1964,1964년 유럽 네이션스컵 선수 명단
Premio Miguel de Cervantes,미겔 데 세르반테스 상
Mr Gay World,미스터 게이 월드
Las Aldehuelas,라스알데우엘라스
provincia de Badajoz,바다호스주
llanito,야니토
iberismo,이베리스모
Álava,알라바주
provincia de Córdoba,코르도바도
Red Nacional de los Ferrocarriles Españoles,렌페
Borobia,보로비아
provincia de Granada,그라나다도
Serie 130 de Renfe,렌페 130급
Metro Ligero de Madrid,마드리드 경전철
provincia de Cáceres,카세레스주
Concierto de Aranjuez,아랑후에스 협주곡
provincia de Cádiz,카디스주
Ferrocarriles de la Generalidad de Cataluña,카탈루냐 공영 철도
Primera División de España 1969/70,라리가 1969-70
Antiguo Estadio José Zorrilla,에스타디오 호세 소리야
Desierto de Tabernas,타베르나스 사막
Chupa Chups,츄파춥스
IBEX 35,IBEX 35
Primera División de España 1965/66,라리가 1965-66
Primera División de España 1970/71,라리가 1970-71
ruta europea E70,유럽 고속도로 70호선
Parque nacional de Ordesa y Monte Perdido,오르데사 이 몬테 페르디도 국립공원
Final de la Liga de Campeones de la UEFA 1998-1999,1999 UEFA 챔피언스리그 결승전
Estadio de la Cerámica,에스타디오 데 라 세라미카
Juegos Mediterráneos de 2005,2005년 지중해 게임
Parque de atracciones Tibidabo,티비다보 놀이공원
Universidad de Las Palmas de Gran Canaria,라스팔마스데그란카나리아 대학교
bosníacos,보슈냐크인
Primera División de España 1935/36,라리가 1935-36
Segunda División de España 2010/11,세군다 디비시온 2010-11
Primera División de España 1958/59,라리가 1958-59
complejo monumental del Valle de Cuelgamuros,전몰자의 계곡
Club Atlético de Pinto,CA 핀토
Isla de Alborán,알보란섬
Chipiona,치피오나
Vizcaya,비스카야주
"Un, dos, tres, chocolate inglés",무궁화 꽃이 피었습니다
Puerta de Alcalá,푸에르타 데 알칼라
Puerta de Europa,푸에르타 데 에우로파
Aeropuerto de Gerona,히로나-코스타 브라바 공항
Renfe Cercanías AM,FEVE
Anexo:Patrimonio de la Humanidad en España,스페인의 세계유산
Serie 101 de Renfe,렌페 101급
Club Deportivo Castellón,CD 카스테욘
Cumbre Vieja,쿰브레비에하
Fallas de Valencia,파야스
"Unión, Progreso y Democracia","연합, 진보, 민주주의"
batalla de Zaragoza,사라고사 전투
Bosque del Recuerdo,기억의 숲
Ejército del Aire y del Espacio,스페인 공군
Blacos,블라코스
Fabada,파바다
Arreglo de Madrid,마드리드 의정서
Vía Domitia,도미티아 가도
Carabanchel,카라반첼
Euromed,유로메드
Matalascañas,마탈라스카냐스
Torre del Oro,황금의 탑
Primera División de España 1957/58,라리가 1957-58
Primera División de España 1946/47,라리가 1946-47
Primera División de España 1954/55,라리가 1954-55
IE Business School,IE 비즈니스 스쿨
Elsevier,엘제비어
Tratado de Zaragoza,사라고사 조약
Torre de Collserola,콜세롤라 타워
Arteijo,아르테이쇼
Final de la Eurocopa 1964,1964년 유럽 네이션스컵 결승전
Estación de Quevedo,케베도역
Cala Millor,칼라미요르
Estadio de Gran Canaria,에스타디오 그란 카나리아
Primera División de España 1961/62,라리가 1961-62
Primera División de España 1959/60,라리가 1959-60
Primera División de España 1941/42,라리가 1941-42
Primera División de España 1934/35,라리가 1934-35
puente de Alcántara,알칸타라 다리
Bayona,바이오나
Museo de Juguetes y Autómatas,장난감과 로봇 박물관
Estadio José Rico Pérez,에스타디오 호세 리코 페레스
Anexo:Fútbol en los Juegos Olímpicos de Barcelona 1992,1992년 하계 올림픽 축구
Hegoalde,에고알데
Línea de Alta Velocidad Madrid-Zaragoza-Barcelona-Frontera francesa,마드리드-바르셀로나 고속선
Masters de Madrid,마드리드 마스터스
Segunda División de España 2011/12,세군다 디비시온 2011-12
Biblioteca Nacional de España,스페인 국립도서관
guerras carlistas,카를로스파 전쟁
Borja,보르하
Tercera División de España,테르세라 디비시온
Liga ASOBAL,리가 아소발
Hala Madrid,알라 마드리드
gallegos,갈리시아인
Tercio,테르시오
Final de la Liga de Campeones de la UEFA 2009-2010,2010 UEFA 챔피언스리그 결승전
Segunda División B de España,세군다 디비시온 B
CAF Oaris,CAF 오아리스
príncipe de Asturias,아스투리아스 공
Recopa de Europa 1961-62,1961-62년 유러피언컵위너스컵
Las Ventas,라스 벤타스
Primera División de España 1973/74,라리가 1973-74
ruta europea E01,유럽 고속도로 01호선
Templo Expiatorio del Sagrado Corazón,사그랏 코르
islas Alhucemas,알우세마스 제도
Paralelo 40 norte,북위 40도
Gobierno de España,스페인 정부
Bandera de Melilla,멜리야의 기
Red del Espacio Profundo,심우주 통신망
Paralelo 37 norte,북위 37도
educación en España,스페인의 교육
Pyro Studios,파이로 스튜디오
Anexo:Diócesis de España,스페인의 로마 가톨릭 교구 목록
Orden de Santiago,산티아고 기사단
Primera División de España 1932/33,라리가 1932-33
cine español,스페인의 영화
Biblioteca de Cataluña,카탈루냐 국립도서관
España en los Juegos Olímpicos,올림픽 스페인 선수단
Rianjo,리안쇼
África Occidental Española,스페인령 서아프리카
Primera División de España 1933/34,라리가 1933-34
Primera División de España 1967/68,라리가 1967-68
Primera División de España 1962/63,라리가 1962-63
Faro de Chipiona,치피오나 등대
Levante Fútbol Club,레반테 FC
Recopa de Europa de la UEFA 1994-95,1994-95년 UEFA 컵위너스컵
Segunda División de España 1929/30,세군다 디비시온 1929-30
Segunda División de España 1931/32,세군다 디비시온 1931-32
Aquarium de Barcelona,바르셀로나 수족관
Isla de Santa Catalina,산타카탈리나섬
Exposición Universal de Sevilla,1992년 세비야 세계 박람회
Alpedrete,알페드레테
Anexo:Islas de España,스페인의 섬 목록
cesta punta,하이알라이
Sucesión al Trono de España,스페인의 왕위 계승 순위
Himno de Galicia,갈리시아 지방의 국가
Toro,토로
Banco Sabadell,사바델은행
Tratado de Sevilla,세비야 조약
WOW Cargo Alliance,와우 얼라이언스
Pullmantur Air,팔마툰 항공
Anexo:Presidente del Consejo de Ministros de España,스페인의 총리 목록
arte en España,스페인의 미술
Lacón,라콘
Montblanch,몬블랑
rodelero,로델레로
lista de partidos políticos de España,스페인의 정당
Línea de alta velocidad Córdoba-Málaga,코르도바-말라가 고속선
expedición de Magallanes-Elcano,마젤란-엘카노 주항
Supercopa de Europa 1992,1992년 UEFA 슈퍼컵
Serie 730 de Renfe,렌페 730급
Camino Portugués,포르투갈 순례길
Camino de Santiago Francés,프랑스 순례길
Sporting News,스포팅 뉴스
Sevilla Atlético Club,세비야 아틀레티코
Copa del Generalísimo de fútbol 1957,코파 델 헤네랄리시모 1957
Estadio Manuel Martínez Valero,에스타디오 마누엘 마르티네스 발레로
Torre de Cristal,토레 데 크리스탈
Calçotada,칼소타다
Real Jaén Club de Fútbol,레알 하엔
San Carlos de la Rápita,산트카를레스데라라피타
Unió Esportiva Lleida,UE 예이다
Club Deportivo Alcoyano,CD 알코야노
Campeonato de Cataluña de fútbol,코파 마캬야
Echévarri,에체바리
Usera,우세라
Segunda División de España 1975/76,세군다 디비시온 1975-76
Segunda División de España 1980/81,세군다 디비시온 1980-81
Segunda División de España 1983/84,세군다 디비시온 1983-84
Segunda División de España 1978/79,세군다 디비시온 1978-79
Segunda División de España 1988/89,세군다 디비시온 1988-89
Basauri,바사우리
Segunda División de España 1986/87,세군다 디비시온 1986-87
Segunda División de España 1992/93,세군다 디비시온 1992-93
Segunda División de España 1985/86,세군다 디비시온 1985-86
Castilla la Vieja,카스티야라비에하
Restauración borbónica en España,왕정 복고 하의 스페인
Camp del Carrer Indústria,캄 데 라 인두스트리아
Camper,캠퍼
El Hierro,엘이에로섬
Segunda División de España 2003/04,세군다 디비시온 2003-04
Partido de clasificación para la Eurocopa entre España y Malta,스페인 대 몰타
Sociedad Deportiva Eibar,SD 에이바르
Primera División de España 1953/54,라리가 1953-54
Estación de Goya,고야역
Comisión Internacional para la Conservación del Atún Atlántico,대서양참치보존위원회
Primera División de España 1979/80,라리가 1979-80
Recopa de Europa 1996-97,1996-97년 UEFA 컵위너스컵
Primera División de España 1951/52,라리가 1951-52
Segunda División de España 1995/96,세군다 디비시온 1995-96
Estación de Avenida de Guadalajara,아베니다 데 과달라하라 역
Castillo Gahete,가에테성
Pax hispanica,팍스 히스파니카
Construcciones y Auxiliar de Ferrocarriles,CAF (기업)
Primera División de España 1972/73,라리가 1972-73
Primera División de España 1977/78,라리가 1977-78
Junta de Valladolid,바야돌리드 논쟁
Castillo de Loarre,로아레성
Barca,바르카
Primera División de España 1940/41,라리가 1940-41
Primera División de España 1947/48,라리가 1947-48
Monasterio de Montserrat,몬세라트 수도원
Copa del Rey de fútbol 1985-86,코파 델 레이 1985-86
plaza de España,스페인 광장
Copa del Generalísimo de fútbol 1943,코파 델 헤네랄리시모 1943
Copa de Ferias 1965-66,1965-66년 인터시티스 페어스컵
Estación de Lucero,루세로역
Museo Picasso de Barcelona,피카소 미술관
Casa de Campo,카사 데 캄포
Himno de la Comunidad de Madrid,마드리드 시 찬가
Joma,조마
Área metropolitana de Madrid,마드리드 도시권
Playa de la Barceloneta,바르셀로네타 해변
Costa de Almería,알메리아 해안
Recopa de Europa 1971-72,1971-72년 유러피언컵위너스컵
Recopa de Europa 1978-79,1978-79년 유러피언컵위너스컵
Recopa de Europa 1981-82,1981-82년 유러피언컵위너스컵
Estación de Francos Rodríguez,프랑코스 로드리게스 역
historia medieval de España,스페인의 중세사
Premio Don Balón,돈 발론 상
Isla de Lobos,로보스섬
Primera División de España 1949/50,라리가 1949-50
Universidad de Málaga,말라가 대학교
Queso Mahón-Menorca,마온 치즈
Torrejoncillo del Rey,토레혼시요델레이
Segunda División de España 1943/44,세군다 디비시온 1943-44
Segunda División de España 1941/42,세군다 디비시온 1941-42
Segunda División de España 1946/47,세군다 디비시온 1946-47
Happy Science,행복의 과학
112,112
Segunda División de España 1939/40,세군다 디비시온 1939-40
Segunda División de España 2005/06,세군다 디비시온 2005-06
Segunda División de España 1928/29,세군다 디비시온 1929
Autovía del Nordeste,오토비아 델 노르데스테 (스페인)
pueblo egipcio,이집트인
Segunda División de España 1969/70,세군다 디비시온 1969-70
Universidad de Lérida,예이다 대학교
Copa de la Paz 2005,2005년 피스컵
Copa del Rey de fútbol 2012-13,코파 델 레이 2012-13
Costa del Azahar,아사하르 해안
edicto de Granada,알람브라 칙령
Batalla de Ilipa,일리파 전투
La 1,라 우노
elecciones generales de España de 2011,2011년 스페인 총선거
Mando de Operaciones Especiales,스페인 육군 특수작전사령부
Club Atlético de Madrid "B",아틀레티코 마드리드 B
Segunda División de España 2006/07,세군다 디비시온 2006-07
Zumárraga,수마라가
Presidente del Gobierno de España,스페인의 총리
Cheles,첼레스
La Mancha,라만차
Primera División de España 1978/79,라리가 1978-79
Racing Club de Ferrol,라싱 페롤
Copa del Rey de fútbol 2010-11,코파 델 레이 2010-11
Segunda División de España 1948/49,세군다 디비시온 1948-49
Segunda División de España 1951/52,세군다 디비시온 1951-52
Segunda División de España 1952/53,세군다 디비시온 1952-53
Guinda al marasquino,마라스키노 체리
Comarca de Ortegal,오르테갈
Observatorio del Roque de los Muchachos,로크 데 로스 무차초스 천문대
Copa Mundial de Clubes de la FIFA 2001,2001년 FIFA 클럽 세계 선수권 대회
Cartagena Fútbol Club,카르타헤나 FC
Instituto Nacional de Estadística,스페인 통계청
Pasajes,파사이아
Miss España,미스 에스파냐
Anexo:Banderas de España,스페인의 기 목록
Iglesias,이글레시아스
Cinturón alpino,알프스-히말라야 조산대
Segunda División de España 2007-08,세군다 디비시온 2007-08
Segunda División de España 2008/09,세군다 디비시온 2008-09
Puerto Real,푸에르토레알
Queso Idiazabal,이디아사발 치즈
Anexo:Medallero de los Juegos Paralímpicos de Barcelona 1992,1992년 하계 패럴림픽 메달 집계
Beasáin,베아사인
CaixaBank,카이샤은행
Renfe Cercanías,세르카니아스
Cercanías Madrid,세르카니아스 마드리드
Real Madrid TV,레알 마드리드 TV
Estación de Plaza Elíptica,플라사 엘립티카 역
moros y cristianos,모로스 이 크리스티아노스
Núñez de Balboa,누녜스 데 발보아 역
Segunda División de España 1993/94,세군다 디비시온 1993-94
MACBA Museo de Arte Contemporáneo de Barcelona,바르셀로나 현대미술관
Real Sociedad de Fútbol "B",레알 소시에다드 B
Real Madrid Club de Fútbol "C",레알 마드리드 C
Copa del Rey de fútbol 1986-87,코파 델 레이 1986-87
Constitución española de 1978,스페인 헌법
Segunda División de España 2000/01,세군다 디비시온 2000-01
Guetaria,게타리아
catedral de la Almudena,알무데나 대성당
Aeropuerto de Alicante,알리칸테 엘체 공항
La Graciosa,그라시오사섬
Serie 102 de Renfe,렌페 102급
Autopista Ruta de la Plata,루타 데 라 플라타 고속도로 (스페인)
Autopista AP-51,AP-51 고속도로 (스페인)
Autopista Central de Galicia,오토피스타 센트럴 데 갈리시아 (스페인)
Autopista del Noroeste,오토비아 델 노로스테 (스페인)
La Rambla,람블라 거리
queso de Cabrales,카브랄레스 치즈
selección femenina de fútbol de España,스페인 여자 축구 국가대표팀
Túnel de Gibraltar,지브롤터 해협의 횡단
Massimo Dutti,마시모두띠
Autovía del V Centenario,오토비아 델 V 센테나리오 (스페인)
música española,스페인의 음악
Autovía Extremeña,오토비아 익스트레마두라 (스페인)
Club Balonmano Ciudad Real,BM 시우다드 레알
Talgo,탈고
Línea de alta velocidad Madrid-Sevilla,마드리드-세비야 고속선
El tres de mayo de 1808 en Madrid,1808년 5월 3일
Jávea,샤비아
Estación de Islas Filipinas,이슬라스 필리피나스 역
Segunda División de España 1984/85,세군다 디비시온 1984-85
Autopista del Norte,오토비아 델 노르테 (스페인)
Autopista de Navarra,오토비아 데 나바라 (스페인)
Senado de España,스페인 상원
Club Deportivo Atlético Baleares,CD 아틀레티코 발레아레스
política de España,스페인의 정치
Autovía del Norte,오토비아 델 노르테 (스페인)
Ducado de Moctezuma de Tultengo,목테수마 데 툴텡고 공작
Villarreal Club de Fútbol "B",비야레알 CF B
Autovía de la Cultura,오토피스타 데 라 컬투라 (스페인)
Autovía Lugo-Santiago de Compostela,루고-산티아고 데 콤포스텔라 고속도로 (스페인)
Autovía de las Rías Bajas,오토비아 데 라스 바하스 (스페인)
Autopista León-Astorga,레온-아스토르가 고속도로 (스페인)
Autopista del Mediterráneo,오토피스타 델 메디테라네오 (스페인)
iglesia de San Miguel,산미구엘 교회
melón con jamón,멜론 콘 하몬
Burgos Club de Fútbol,부르고스 CF
Autovía de la Ribagorza,오토비아 데 라 리바고르자 (스페인)
Autovía de Navarra,오토비아 데 나바라 (스페인)
Autovía del Pirineo,오토비아 델 피리네오 (스페인)
Autovía Vigo-Frontera Portuguesa,비고-포르투갈 국경 고속도로 (스페인)
Autovía Lugo-Orense,루고-오렌세 고속도로 (스페인)
