Alexandra Stan,亞歷山德拉·斯坦
Octav Băncilă,O. 本奇勒
Mirela Lavric,米蕾拉·拉夫里克
Olga Homeghi,奥尔加·霍梅吉
Emil Bodnăraș,埃米尔·波德纳拉希
Alexandru Nicolschi,亚历山德鲁·尼科尔斯基
Maria-Victoria Drăguș,玛丽亚-维多利亚·德拉古斯
Adrian Popa,阿德里安·波帕
Lajos Sătmăreanu,绍特马里·拉约什
Nicu Ceaușescu,尼库·齐奥塞斯库
Claudiu Keșerü,克劳迪乌·凯谢吕
Alexandru Bârlădeanu,亚历山德鲁·伯尔勒迪亚努
George Demetrescu Mirea,喬治·德梅特斯庫·米拉
Rodion Cămătaru,路迪安·卡馬他路
George Georgescu,乔治·杰奥尔杰斯库
Mircea Axente,雅克恩特
Radu Lupu,拉度·魯普
Teoctist Arăpașu,泰奧克蒂斯
Gelu Radu,格鲁·拉杜
Gabriela Trușcă,加布里埃拉·特鲁什克
Anca Grigoraș,安卡·格里戈拉什
Mariana Constantin,玛丽安娜·康斯坦丁
Cosmin Olăroiu,科斯明·奥勒罗尤
Ianis Zicu,斯古
Ana Pascu,安娜·帕斯库
Anamaria Vartolomei,安娜瑪麗亞·沃特魯梅
Andrei Bărbulescu,安德烈·伯尔布列斯库
Andrei Glanzmann,安德烈·格兰茨曼
Andrei Ionescu,安德烈·尤内斯库
Valentin Silaghi,瓦伦丁·西拉吉
Ladislau Raffinsky,拉芬斯基·拉斯洛
Octavian Chihaia,奧達維恩·捷凱亞
Anca Măroiu,安卡·马罗尤
Alin Alexuc-Ciurariu,阿林·阿列克苏克-丘拉留
Francisc Horvath,弗朗奇斯克·霍瓦特
Tiberiu Dolniceanu,蒂贝留·多尔尼恰努
Florin Zalomir,弗洛林·扎洛米尔
Alin Toșca,阿林·托斯卡
Gabriel Sîncrăian,加布里埃爾·辛克勒揚
Principesa Sofia a României,索菲亞公主 (羅馬尼亞)
Gabriel Popescu,盖布瑞·波佩斯库
Elena Moșuc,艾蓮娜·莫蘇克
Ana Caterina Morariu,安娜·卡特琳娜·莫拉露
Gabriel Oprea,加布里埃尔·奥普拉
Liviu Ganea,加內亞
Eugen Barbu,欧根·巴布
Olga Szabó-Orbán,绍博-欧尔班·奥尔加
Attila Bartis,鲍尔蒂什·奥蒂洛
Alexandru Moghioroș,亚历山德鲁·莫吉奥罗什
Alexandru Moșanu,亞歷山德魯·莫薩努
Cosmina Stratan,柯斯米·娜史崔坦
Anatol Șalaru,阿纳托里亚·沙拉鲁
Florin Mergea,弗洛林·梅爾賈
Florin Vlaicu,弗羅林·弗拉伊庫
Răzvan Martin,勒兹万·马丁
Roxana Cocoș,罗克萨娜·科科什
Mircea Fulger,米尔恰·富尔杰
Alin Chița,艾連·科恩·基察
Sergiu Costin,哥斯甸
Alexandru Nicolae Vlad,亞力山卓·瓦德
Viorel Talapan,维奥雷尔·塔拉潘
Nicolae Mărăscu,尼古拉·默勒斯库
Liviu Ciulei,利維烏·丘列伊
Nicolae Kovács,科瓦奇·尼古拉
Teodor Florian,特奥多尔·弗洛里安
Ana Guțu,安娜·古圖
Gheorghe Brandabura,格奥尔基·布兰达布拉
Ana Iliuță,安娜·伊柳策
Anca Pătrășcoiu,安卡·珀特勒什科尤
Anca Tănase,安卡·特纳塞
Claudiu Răducanu,克劳迪尤·拉杜卡努
Alina Gorghiu,阿利娜·戈尔吉乌
Ioana Barbu (actriță),伊万娜·巴尔布
Andrea Faciu,安德里亚·法丘
Colea Răutu,科萊亞·羅圖
Andrei Bănică,安德烈·伯尼克
Arhiducele Ștefan de Austria,奧地利的斯特凡大公
Gheorghe Megelea,格奥尔基·梅杰莱亚
Gheorghe Mihali,格奥尔格·米哈利
Grigore Preoteasa,格雷戈里·普雷奥蒂亚萨
Ion Geantă,扬·杰安特
Gheorghe Liliac,格奥尔基·利利亚克
Andreea Marin,安德莉亚·巴妮察
Gheorghe Pană,格奥尔基·帕纳
Constantin Pârvulescu,康斯坦丁·珀尔伏列斯库
George Piștereanu,乔治·皮斯特努
Constantin Dăscălescu,康斯坦丁·德斯克列斯库
Dorin Chirtoacă,多林·基尔托阿科
Dumitru Macri,杜米特魯.馬克里
Claudia Ștef,克劳迪娅·斯戴夫
Constantin Stanciu,康斯坦丁·斯坦丘
Dan Grecu,达恩·格雷库
Simona Gherman,西蒙娜·盖尔曼
Alexandru Mesian,亞歷山大·梅西安
Elena Antoci,埃琳娜·伊格
Ionel Dănciulescu,丹尼尔·丹丘内斯库
Andrei Georgescu,安德烈·喬治斯庫
Andrei Hergheligiu,安德烈·赫尔盖莱久
Aneta Mihaly,阿内塔·米哈伊
Anton Calenic,安东·卡莱尼克
Jules Perahim,朱尔斯·佩拉欣
Vladimir Cosma,弗拉迪米尔·科斯马
Denis Alibec,丹尼斯·艾利比
Anișoara Dobre-Bălan,阿尼什瓦拉·多布雷-伯兰
Andrew Ilie,安德魯·伊利耶
Augustin Buzura,奥古斯汀·布祖拉
Cosmin Moți,高斯米·摩迪
Lucien Goldmann,卢西安·戈尔德曼
Alexandru Athanasiu,亚历山德鲁·阿塔纳西乌
Leontina Văduva,利昂蒂娜·瓦杜娃
Jean Bart,欧根尼·博斯
Helmut Stürmer,赫尔穆特·斯特默尔
Vasile Dumitrescu,瓦西里·杜米特雷斯库
Marius Copil,馬利尤斯·科皮爾
Alexandru Sirițeanu,亚历山德鲁·西里采亚努
Mariana Simionescu,玛丽安娜·西苗内斯库
Sabin Ilie,萨宾·伊利耶
Aristide Razu,阿里斯蒂德·拉祖
Gabriel Giurgiu,基奧古
Ionel Ganea,加內
Medeea Marinescu,梅迪亚·马里内斯丘
Simion Ismailciuc,西米翁·伊斯梅尔丘克
Angelica Aposteanu,安杰莉卡·阿波斯泰亚努
Maria Nichiforov,玛丽亚·尼基福罗夫
Gogu Rădulescu,格奥尔基·勒杜列斯库
Aurel Vernescu,奥雷尔·韦尔内斯库
Mircea Rednic,米尔恰·雷德尼克
Constantin Coandă,康斯坦丁·科安德
Ivan Patzaichin,伊万·帕察伊钦
Serge Moscovici,塞尔日·莫斯科维奇
Atanasia Ionescu-Albu,阿塔纳西娅·约内斯库
Atanasie Sciotnic,阿塔纳塞·肖特尼克
Alexandru Frim,亚历山德鲁·弗里姆
Aurel Babeș,奥里尔·巴拜士
Nicolae Manolescu,N. 马诺莱斯库
Aurica Bărăscu,奥丽卡·伯勒斯库
Constantin Budeanu,康斯坦丁·布代亞努
Alexandru Nilca,亚历山德鲁·尼尔卡
Ioan Pop,伊万·波普
Corneliu Marin,科尔内尔·马林
Marin Mustață,马林·穆斯塔策
Mihai Zafiu,米哈伊·扎菲乌
Mihail Majearu,米哈伊尔·马热亚鲁
Laura Vasiliu,劳拉·瓦西里
László Tőkés,拉兹罗·托克斯
Alexandru Chiculiță,亚历山德鲁·基库利策
Vilmoș Szabo,绍博·维尔莫什
Constantin Tudosie,康斯坦丁·图多西耶
Angelo Niculescu,安杰洛·尼古列斯库
Joseph M. Juran,約瑟夫·朱蘭
Nicușor Eșanu,尼库绍尔·埃沙努
Oana Pellea,瓦娜·佩莱亚
Constantin Argetoianu,康斯坦丁·阿尔杰托阿亚努
Constantin Bosianu,康斯坦丁·博西亞努
Constantin Alexandru,康斯坦丁·亚历山德鲁
Ioachim Moldoveanu,约阿基姆·莫尔多韦亚努
George Macovescu,马可威士古
Pierre Hassner,皮埃爾·阿斯奈
Iosif Sîrbu,约瑟夫·瑟尔布
Mihnea Gheorghiu,米尼亞·喬治烏
Csaba Gal,明雅·塞巴·加爾
Mirabela Dauer,米拉贝拉·多尔
Radu Mihăileanu,拉杜·米哈伊列亚努
George Țucudean,乔治·图库迪安
Bogdan Mitrea,保丹·米特利
Bogdan Nicolae Niculescu Duvăz,波格丹·尼古列斯庫·杜瓦茲
Ion Păun,扬·珀温
Ionel Drîmbă,约内尔·德伦伯
Cornel Dinu,科尔内尔·迪努
Bianca Răzor,碧安卡·勒佐爾
Cornel Fugaru,科尔内尔·富加
I. A. L. Diamond,I·A·L·戴蒙德
Ion Adrian Zare,扬·阿德里安·扎雷
Ion Alexe,扬·阿列克谢
Ion Baciu,扬·巴丘
Ion Davidov,伊昂·达维多夫
Laura Cosoi,劳拉·科索伊
Costică Ștefănescu,科斯蒂克·斯特凡内斯库
Marian Oprea,马里安·奥普雷亚
Laurențiu Roșu,劳伦·柳·罗夫
Rudolf Wagner-Régeny,鲁道夫·瓦格纳-雷吉尼
Ionuț Rada,约努茨·拉达
Mircea David,米尔恰·达维德
Iuliu Bodola,尤柳·博多拉
Corneliu Mănescu,科尔内留·曼内斯库
Corneliu Papură,科尔内柳·帕普拉
Corneliu Vadim Tudor,科爾內留·瓦迪姆·都鐸
Ion Sturza,揚·斯圖爾扎
Radu Câmpeanu,拉杜·坎佩亞努
Marius Lăcătuș,NRE大增
Lascăr Catargiu,拉斯克尔·卡塔尔久
Dinu Pescariu,迪努·佩斯卡留
Anghel Iordănescu,伊奧丹尼斯古
Cornel Râpă,拉柏
Constantin Constantinescu-Claps,康斯坦丁·康斯坦丁内斯库-克拉普斯
Barbu Catargiu,巴尔布·卡塔尔久
Cristina Flutur,克莉提娜·芙露圖爾
Gheorghe Negrea,格奥尔基·内格雷亚
Alexandru Mățel,亞歷山德魯·馬特爾
Petru Gherghel,伯多祿·蓋爾格爾
Constantin Popovici,康斯坦丁·波波维奇
Calistrat Cuțov,卡利斯特拉特·库措夫
Ionel Augustin,约内尔·奥古斯丁
Camelia Diaconescu,卡梅利娅·迪亚科内斯库
Bogdan Mara,保丹·馬拉
Dimitrie A. Sturdza,迪米特里·斯图尔扎
Cristi Puiu,克利斯提·普優
Cristian Dulca,基斯坦·杜爾卡
Sorin Copilul de Aur,索林·科皮卢尔·德·奥尔
Dan Bittman,丹·比特曼
Ciprian Manolescu,齐普里安·马诺列斯库
Ana de Bourbon-Parma,安妮王后 (羅馬尼亞)
Călin Georgescu,卡林·乔治斯库
Dacian Varga,D.瓦爾加
Cătălin Munteanu,蒙泰努
Cătălin Predoiu,克特林·普雷多尤
Celestina Popa,切莱斯蒂娜·波帕
Eugenia Golea,欧金尼娅·戈莱亚
Camelia Voinea,卡梅利娅·沃伊内亚
Gabriela Potorac,加布里埃拉·波托拉克
Marius Gherman,马里乌斯·盖尔曼
Ion Țăranu,扬·策拉努
Ion Vlădoiu,弗拉多尤
Dan Petrescu,佩特雷斯库
Costin Lazăr,科斯蒂·拉扎爾
Sorin Mihăilescu,索林·米赫伊列斯库
Paul Nedelcovici,保罗·内德尔科维奇
Iosif Nemeș,约瑟夫·内梅什
Mihai Vardală,米哈伊·瓦尔达勒
Silviu Bindea,希尔维乌·宾代亚
Cătălin Hîldan,希登
Georgeta Pitică,杰奥尔杰塔·皮蒂卡
Ion Gârleșteanu,扬·格尔莱什泰亚努
Soare Macedonski,蘇亞爾·馬其頓斯基
Damian Luca,达米安·卢卡
Dan Alexa,丹·阿歷薩
Paul Vidrașcu,保罗·维德拉什库
Anastasie Tănăsescu,阿塔纳谢·特讷塞斯库
Dumitru Volvoreanu,杜米特鲁·沃尔沃雷亚努
Mircea Sfetescu,米尔恰·斯费泰斯库
Teodor Marian,特奥多尔·马里安
Sterian Soare,索阿雷·斯泰里安
Adrian Sînă,阿德里安·辛納
Florin Bratu,弗洛林·布拉图
Costică Dafinoiu,科斯蒂克·达菲诺尤
Marin Dragnea,马林·德拉格内亚
Miklós Nyiszli,米克洛斯·尼斯利
Anton Doboș,安东·杜博
Tudor Gheorghe,圖多爾·格奧爾基
Stelian Burcea,斯特利安·布爾庫亞
Vasile Tiță,瓦西里·蒂策
Carmen Tănase,卡门·塔纳塞
Daniela Nane,丹妮拉·南恩
Constantin Budescu,康斯坦丁·布德斯库
Hariclea Darclée,哈利克里娅·達克利
Bogdan Olteanu,奥尔泰亚努
Lazăr Sfera,拉泽尔·斯费拉
Iulian Chiriță,尤利安·基里策
Chira Apostol,基拉·阿波斯托尔
Claudiu Marin,加布里埃尔·马林
Teodor Meleșcanu,特奥多尔·梅莱什卡努
Eugen Sfetescu,欧金·斯费泰斯库
Dumitru Mitu,杜米特鲁·米图
Paul Papp,保羅·皮帕
Nicolae de Roumanie Medforth-Mills,尼古拉斯王子 (羅馬尼亞)
Daniel Tătaru,达尼埃尔·特塔鲁
Tudorel Stoica,图多雷尔·斯托伊卡
Radu Muntean,拉杜·蒙泰安
Doina Spircu,多依娜·斯珀尔库
Adrian Minune,阿德里安·米尼内
Valentin Niculae Calafeteanu,瓦倫丁·采拉費泰努
József Tamás,若瑟·陶馬什
Nicolae Lupu,尼古拉·L·卢普
Dalma Kovács,达尔马·科瓦克斯
Dumitru Chipăruș,德梅特·奇帕鲁斯
Nicolae Batzaria,尼古拉·康斯坦丁·巴察里亚
Dumitru Stângaciu,杜米特鲁·斯滕加丘
Mihaela Ciobanu,米哈埃拉·乔巴努
Valentin Ceaușescu,瓦伦丁·齐奥塞斯库
Dumitru Pârvulescu,杜米特鲁·珀尔武列斯库
Răzvan Florea,勒兹万·弗洛蕾亚
Mircea Simon,米尔恰·希蒙
Alec Năstac,亚历克·讷斯塔克
Sorin Babii,索林·巴比
Cornel Nemțoc,科尔内尔·内姆措克
Viorel Morariu,維奧雷爾·莫拉留
Gheorghe Tătărăscu,格奥尔基·塔塔内斯库
Vlad Chiricheș,云莱德·克里切斯
Vasile Tomoiagă,瓦西里·托莫亚格
Constantin C. Arion,康斯坦丁·C·阿里昂
Alexandru Tudor,阿里克桑德魯·丹·圖多爾
Alexandru Vaida-Voievod,亞歷山德魯·費達-沃埃沃德
Constantin Petrovicescu,康斯坦丁·彼得罗维塞斯库
Constantin Schumacher,科斯坦丁·舒马赫
Constantin Dumitrescu,康斯坦丁·杜米特雷斯库
Corneliu M. Popescu,科尼利烏·M·波佩斯庫
Corneliu Oros,科尔内留·奥罗斯
Vasile Groapă,瓦西里·格罗阿珀
Constantin Langa-Rășcanu,康斯坦丁·兰加·拉斯卡努
Ciprian Tătărușanu,西普里安·塔塔魯薩努
Dida Drăgan,迪达·德拉甘
Principesa Maria a României,羅馬尼亞的瑪麗亞 (1964)
Dumitru Brătianu,迪米特里·布勒蒂亚努
Vintilă I. C. Brătianu,温蒂勒·布勒蒂亚努
Sergiu Nicolaescu,塞尔玖·尼古拉耶斯库
Rudolf Bürger,比尔格·鲁道夫
Alexandru D. Xenopol,亚历山德鲁·迪米特里耶·克塞诺波尔
Sofia Corban,索菲娅·科尔班
Ioan Petru Culianu,伊安·卡里亚努
Diana Bulimar,迪安娜·布利马尔
Marian Ivan,马里安·伊万
Emil Bobu,埃米爾·博布
Constantin Ion Parhon,康斯坦丁·扬·巴洪
Ovidiu Burcă,奥维迪乌·布尔卡
Marcel Iureș,马塞尔·尤勒斯
Costică Olaru,科斯蒂克·奥拉鲁
Ștefan Tașnadi,斯特凡·塔什纳迪
Corina Belcea,柯莉娜·貝爾琪亞
Alexandra Dinu,亚历桑德拉·迪努
Marcel Pavel,马塞尔·帕维尔
Cristian Nemescu,克利斯汀·南梅斯古
Andreea Stefanescu,安德烈娅·斯特凡内斯库
Alexandru Iulian Maxim,亚历山德鲁·马克西姆
Lucian Goian,卢西恩·戈伊安
Vintilă Cossini,温蒂勒·科西尼
Constantin Vișoianu,康斯坦丁·维绍亚努
Ana Bogdan,安娜·博格丹
Cristian Popescu,克里斯蒂安·波佩斯庫
Nicolae Negrilă,尼古拉·内格里勒
Alexandru Zotincă,阿莱克斯·索天卡
Daniel Minea,丹尼尔·米内亚
Nicolae Teclu,尼可拉耶·特克卢
Cristian Tudor Popescu,克里斯蒂安·都鐸·波佩斯庫
Ionuț Gheorghe,约努茨·格奥尔基
Sergiu Radu,塞尔久·拉杜
Marius Onofraș,奧路法斯
Lucian Sănmărtean,盧西恩·桑馬特安
Antonel Borșan,安东内尔·博尔尚
Dragoș Bucur,德拉戈什·布库尔
Corneliu Ion,科尔内留·扬
Corneliu Teodorini,柯內流·堤多里尼
Marcel Răducanu,马塞尔·拉杜卡努
Mario Livio,馬里奧·利維奧
Margareta a României,瑪格麗塔公主 (羅馬尼亞)
Gheorghe Asachi,格奧爾基·阿薩奇
Ricardo Cadú,卡杜
Gavril Dejeu,加夫里尔·德治乌
Bogdan Mustață,博格丹·穆斯塔塔
Zsolt Nagy,若尔特·瑙吉
Mihail Lascăr,米哈伊爾·拉斯卡
Gheorghe Vitanidis,格奧爾基·維塔尼迪斯
Eliezer Berkovits,埃利泽·贝尔科维茨
Eugen Bejinariu,尤金·贝日纳留
Andreea Mitu,安德莉雅·米圖
Ludovic Orban,卢多维克·奥尔班
Dan Coe,达恩·科埃
Dimitrie Leonida,迪米特里·莱奥尼达
Vasile Voiculescu,V. 伏伊库莱斯库
Max Blecher,馬克斯·布萊切
Octavian C. Tăslăuanu,奧克塔維安·科德魯·塔斯勞安努
Gabriel Sudan,加布里埃爾·蘇丹
Raul-Cristian Săraru,劳尔·基斯甸
Alexandru Macedonski,亞歷山德魯·馬其頓斯基
Mircea Druc,米尔恰·德鲁克
Norman Manea,诺尔曼·马尼亚
Constantin Gâlcă,康斯坦丁·加尔卡
Marius Șumudică,马里乌斯·苏穆迪卡
Michael Klein,堅恩
Vasile Pușcașu,瓦西里·普什卡舒
DJ Sava,康斯坦丁·萨瓦
Silviu Brucan,西尔维乌·布鲁坎
Daniel Timofte,丹尼尔·蒂莫夫特
Gheorghe Grigore Cantacuzino,格奧爾基·格里戈里·坎塔丘齊諾
Bogdan Stancu,博格丹·斯坦庫
George-Valentin Bibescu,乔治·瓦伦丁·比布斯古
Adriean Videanu,阿德里安·维代亚努
Gheorghe Gornea,格奥尔基·戈尔内亚
Petru Cazacu,佩特鲁·卡扎库
Preda Mihăilescu,普雷達·米赫伊列斯庫
Isidore Isou,伊西多尔·伊祖
Dimitrie D. Pompeiu,迪米特里·蓬佩尤
Cornel Donici,多尼
Gheorghe Cristescu,格奥尔基·克里斯泰斯库
Vladimir Cantarean,肯塔列努
Marcel Pauker,马塞尔·波克尔
Klaus Iohannis,克劳斯·约翰尼斯
Gheorghe Fiat,格奥尔基·菲亚特
Cătălin Mitulescu,卡塔林·米图雷斯库
Dan Negru,丹·内格鲁
Dan Nistor,丹·尼斯托爾
Alin Moldoveanu,阿林·莫尔多韦亚努
Tibor Selymes,蒂博尔·塞里米斯
Ionel Gane,伊安利·加尼
Ion C. Inculeț,扬·因库列特
Vasile Oprea,瓦西里·奥普雷亚
Dan Gîrleanu,达恩·格尔莱亚努
Dan Ioan Popescu,丹·约安·波佩斯库
Nicu Gângă,尼库·根格
Dan Iuga,达恩·尤加
Eusebie Mandicevschi,曼德哲夫斯基
Lazăr Edeleanu,拉扎爾·埃德亞努
Mihail Sebastian,米哈伊尔·锡巴斯琴
Emil Brumaru,埃米爾·布魯瑪魯
Mihail Jora,米哈伊尔·乔拉
Dan Fâșie,丹·費西
Daniel Măstăcan,达尼埃尔·默斯特坎
Dan Andrei Aldea,Dan Andrei Aldea
Dan Bordeianu (actor),丹·博德亚努
Horațiu Rădulescu,霍拉蒂乌·勒杜列斯库
Adrian Simion,阿德里安·西米翁
Marius Popa,马里乌斯·波帕
Alexander Bălănescu,亚历山大·巴拉内斯库
Dana Nălbaru,戴纳·纳巴鲁
Werner Stöckl,维尔纳·施特克尔
Max Goldstein,马克斯·戈德斯坦
Cezar Drăgăniță,切扎尔·德勒格尼策
Emil Hoștină,埃米尔·奥斯迪那
Ștefan Birtalan,斯特凡·比尔陶隆
Claudiu Ionescu,克劳迪乌·欧金·约内斯库
Cristian Gațu,克里斯蒂安·加楚
Alexander Fölker,亚历山德鲁·弗尔克
Gheorghe Covaciu,格奥尔基·科瓦丘
Lucian Vasilache,卢奇安·瓦西拉凯
Dan Marin,达恩·马林
Gheorghe Dogărescu,格奥尔基·多格雷斯库
Gheorghe Vasilichi,格奥尔基·瓦西利基
Iosif Boroș,约瑟夫·博罗什
Mircea Grabovschi,米尔恰·格拉博夫斯基
Mircea Bedivan,米尔恰·贝迪万
Ioan Andone,伊万·安多内
Eduard Stăncioiu,爱德华·斯滕乔尤
Gheorghe Craioveanu,格奧爾基·克雷奧維努
Mihai Covaliu,米哈伊·科瓦柳
Otmar Szafnauer,奥特马尔·萨夫诺尔
Adrian Cosma,阿德里安·科斯马
Dumitru Berbece,杜米特鲁·贝尔贝切
Ion Dumitru,扬·杜米特鲁
Maricel Voinea,马里切尔·沃伊内亚
Emilia Vătășoiu-Liță,埃米莉亚·沃特绍尤
Alexandru Dincă,亚历山德鲁·丁卡
Nastasia Ionescu,纳斯塔西娅·约内斯库
Marian Drăgulescu,马里安·德勒古莱斯库
Lucian Bute,卢西恩·布特
Alexandru Buligan,亚历山德鲁·布利甘
Maria Ștefan-Mihoreanu,玛丽亚·斯特凡
Agafia Constantin-Buhaev,阿加菲娅·康斯坦丁
Tecla Marinescu-Borcănea,泰克拉·马里内斯库
David Popescu,大衛·波佩斯庫
Neculai Vasilcă,尼古拉·瓦西尔克
Albert-László Barabási,巴拉巴西
Cornel Durău,科尔内尔·杜勒乌
Daniela Druncea,达妮埃拉·德伦恰
Constantin A. Rosetti,康斯坦丁·亞歷山德魯·羅塞蒂
Marian Dumitru,马里安·杜米特鲁
Valentin Samungi,瓦伦丁·萨蒙吉
Nicolae Munteanu,尼古拉·蒙泰亚努
Vasile Gergely,盖尔盖伊·拉斯洛
Ilie Matei,伊利耶·马泰
Eugen-Cristian Popescu,歐根-克里斯蒂安·波佩斯庫
Sebastian Papaiani,塞巴斯蒂安·帕帕亚尼
Ramona Pop,拉蒙娜·珀普
Ernest Klein,埃内斯特·克莱因
Loredana Dinu,洛雷达娜·迪努
Serafim Urechean,塞拉菲姆·乌列基安
Dem Rădulescu,德姆·勒杜列斯库
Ion Dumitrescu,扬·杜米特雷斯库
Dimitrie Popescu,迪米特里耶·波佩斯库
Dimitrie Bolintineanu,迪米特里耶·博林蒂內亞努
Valeriu Ștefan Zgonea,兹戈内亚
Vazken Balgian,瓦茲根一世
Dimitrie Ivanov,迪米特里耶·伊万诺夫
Vasile Blaga,瓦西里·布拉加
Florica Lavric,弗洛丽卡·拉夫里克
Elek Köblös,埃莱克·克布勒什
Florica Bucur,弗洛丽卡·布库尔
Laurențiu Dumănoiu,劳伦丘·杜默诺尤
Laurențiu Buș,劳伦蒂·巴斯
Dean Beța,迪恩·贝察
Nicolae Țaga,尼古拉·察加
Felicia Afrăsiloaie,费利恰·阿弗勒西洛阿耶
Doina Robu,多依娜·罗布
Julie Mayaya,朱莉·玛雅雅
Marcel Glăvan,马塞尔·格勒万
Dumitru Radu Popescu,杜米特鲁·拉杜·波佩斯库
Grigoraș Dinicu,丁尼庫
Doru Romulus Costea,多魯·羅穆盧斯·科斯泰亞
Florin Corbeanu,弗洛林·科尔贝亚努
Bogdan Rath,波格丹·拉特
Steliana Nistor,斯泰利娅娜·尼斯托尔
Mădălina Manole,马达丽娜·马诺莱
Sanda Weigl,桑达·韦格
Sabin Țambrea,萨宾·塔布瑞亚
Ovidiu Hațegan,奧維迪烏·阿林·哈特甘
Alexandru G. Golescu,亞歷山德魯·戈列斯庫
Cristian Tănase,克里斯蒂安·塔納塞
Doina Șnep-Bălan,多依娜·什内普-伯兰
Florin Mina,弗洛林·米纳
Andreea Bănică,安德烈亚·帕尼卡
Florin Diacu,弗洛林·迪亚库
Flavius Koczi,弗拉菲烏斯·科齊
Dumitru Cipere,杜米特鲁·奇佩雷
Alexandru Proca,亞歷山德魯·普羅喀
Sergiu Buș,塞尔久·巴斯
Simona Richter,西蒙娜·里希特
Miron Cristea,米龍·克裡斯蒂亞
Dumitru Răducanu,杜米特鲁·勒杜卡努
Elena-Cristina Marchisano,埃伦娜-克里斯蒂娜·马尔基萨诺
Béla Károlyi,贝拉·卡罗里伊
Eduard Iordănescu,愛德華·約德內斯庫
Monica Bîrlădeanu,莫妮卡·伯尔勒德阿努
Gabriel Sandu,桑杜
Sonia Olariu,索尼亚·奥拉留
Ioan Lupescu,伊万·卢佩斯库
Ecaterina Oancia,埃卡特琳娜·万恰
Ecaterina Nazare,埃卡特琳娜·纳扎尔
Dănuț Dobre,德努茨·多布雷
Elena Săcălici-Petroșanu,埃列娜·瑟克利奇
Elena Dobrițoiu,埃列娜·多布里佐尤
Pál Teleki,泰莱基·帕尔
Anamaria Tămârjan,安娜玛丽亚·塔米尔然
Ecaterina Teodoroiu,葉卡特琳娜‧泰奧多琉
Georgeta Hurmuzachi-Dumitrescu,杰奥尔杰塔·胡尔穆扎基-杜米特雷斯库
Mitică Pricop,米蒂克·普里科普
Florin Popescu,弗洛林·波佩斯库
Noemi Lung,诺埃米·伦格
Gabriel Cotabiță,加布里埃尔·科塔比塔
Gheorghe Cantacuzino-Grănicerul,齐齐·坎塔库齐诺
Gheorghe Argeșanu,格奥尔基·阿格萨努
Augustin Deleanu,奥古斯丁·德莱亚努
Nicolae Ciupercă,尼古拉·丘佩爾克
Aurel Țicleanu,奥雷尔·齐克莱亚努
Noni Răzvan Ene,諾尼·拉茲萬·埃內
Elena Bondar,埃列娜·邦达尔
Geo Da Silva,基欧·达·撕拉瓦
Nicolae Titulescu,尼古莱·蒂杜莱斯库
Aurel Vlaicu,奥雷尔·弗拉伊库
Elisabeta Lazăr,伊丽莎白·拉泽尔
Elena Leușteanu,埃列娜·莱乌什泰亚努
Tataee,塔塔伊
Elena Horvat,埃列娜·霍瓦特
Virgil Trofin,维尔吉尔·特罗芬
Sorin Popa,索林·波帕
Elena Giurcă,埃列娜·久尔克
Sergiu Comissiona,塞尔吉·科密申纳
Iosif Chișinevschi,约瑟夫·基希涅夫斯基
Nicolae Martinescu,尼古拉·马丁内斯库
Lucian Bălan,卢锡安·巴兰
Alexandru Philippide,亞歷山大·菲利普德斯
Paul Călinescu,保羅·卡林內斯古
Gheorghe Băgulescu,格奥尔基·伯古列斯库
Maria Vicol,玛丽亚·维科尔
Aurora Dan,奥罗拉·达恩
Marcela Zsak,玛尔切拉·莫尔多万-扎克
Gheorghe Andriev,格奧爾基·安德列夫
Gheorghe Arsenescu,格奧爾基·阿塞內斯庫
Nicolae Mărgineanu,尼古拉·默尔吉内亚努
Giulia Anghelescu,朱莉娅·安格列斯库
Iuliu Baratky,巴拉特基·久洛
Victor Atanasie Stănculescu,维克多·阿塔纳西·斯坦库勒斯库
Steliano Filip,斯泰利亚诺·菲利普
Elena Mărgărit-Niculescu,埃列娜·默尔格里特
Elena Radu,埃列娜·拉杜
Ștefan Andrei,斯特凡·安德烈
Corina Căprioriu,科丽娜·克普里奥留
Hilde Lauer,希尔德·劳尔
Andreea Chițu,安德列雅·姬圖
Gheorghe Gaston-Marin,格奧爾基·加斯頓·馬林
Gheorghe Danielov,格奥尔基·达尼埃洛夫
Policarp Malîhin,波利卡尔普·马勒欣
Iulian Vlad,尤利安·弗拉德
Gheorghe Vodă,格奧爾基·沃達
Gheorghe Alexandrescu,格奥尔基·亚历山德雷斯库
Gheorghe Flutur,格奧爾基·弗魯圖爾
Petre Iosub,彼得鲁·约苏布
Ilarion Ciobanu,教伊拉里翁·西奥班
Barbu Știrbei,巴尔布·什蒂尔贝伊
Gheorghe Simionov,格奥尔基·西苗诺夫
Ovidiu Hoban,奧維迪烏·賀班
Radu Pavel Gheo,拉杜·帕维尔·杰奥
Roxana Daniela Dumitrescu,罗克萨娜·杜米特雷斯库
Rozalia Oros,罗扎利娅·胡斯蒂
Bernard Natan,伯納德·納坦
Radu Stroe,拉杜·斯特罗埃
Petre Nicolae,彼得·尼古拉
Enikő Barabás,鲍劳巴什·埃妮克
Raluca Ioniță,拉卢卡·约尼策
Tudor Giurgiu,图多尔·吉尔居
Luminița Gheorghiu,呂明妮塔·傑爾吉烏
Thomas Nägler,托马斯·纳格勒
