João Carlos dos Santos,若昂·卡洛斯·多斯桑托斯
Marcelinho Machado,馬塞利尼奧·馬查多
Daniella Cicarelli,丹妮埃拉·西卡雷莉
Bruno Cortês,般奴·哥迪斯
Edivaldo Rojas,埃迪瓦爾多·夏莫沙
Nelson Freire,内尔森·弗莱雷
"Luiz Gustavo (futebolista, 1987)",路易斯·古斯塔沃
"Thomas Cochrane, 10.º Conde de Dundonald",第十代邓唐纳德伯爵托马斯·科克伦
Sérgio Vieira de Mello,塞尔吉奥·维埃拉·德梅洛
Ademir de Menezes,阿德米尔·德梅内塞斯
Fernanda Montenegro,費爾蘭德·蒙特納哥
Felipe Anderson,费利佩·安德森
Jonas Gonçalves Oliveira,莊拿斯·干卡維斯·奧利華拉
Léo Baptistão,莱奥·巴普蒂斯唐
Mauro Silva,毛罗·席尔瓦
Marcos Roberto Silveira Reis,马科斯·罗伯托·西尔维拉·雷斯
Afonso Alves,艾方素·艾維斯
Careca (futebolista),卡雷卡
Fernando Meirelles,费尔南多·梅雷莱斯
Alexandra Araujo,亚历山德拉·阿劳若
Aloísio Pires Alves,阿洛伊西奥·(1963年)
Felipe Mattioni,費利佩·馬蒂奧尼
Jorge Luís Andrade da Silva,安德拉德·(1957年)
Maicon Oliveira,麦孔·佩雷拉·德·奥利维拉
Rafael Silva (judoca),拉斐尔·席尔瓦
George Kobayashi,小林乔治
Thiago Cionek,蒂亞戈·西奥内克
Juliano Roberto Antonello,儒卡
Antônio Carlos Zago,安東尼奧·卡路士·薩高
Algodão (basquetebolista),阿尔戈当
Iomar do Nascimento,马齐尼奥
Daniel da Silva,丹尼尔·达·席尔瓦
Sidiclei de Souza,薛迪利·達·蘇沙
Axel Rodrigues,阿克塞尔
Gilberto Carlos Nascimento,吉尔伯托·卡洛斯·纳西门托
Christian Corrêa Dionísio,克里斯蒂安·科雷亚·迪奥尼西乌
Aurora Miranda,奧羅拉·米蘭達
Marcos Assunção,馬科斯·阿松桑
Tomé de Sousa,托梅·德索萨
José Alencar,若澤·阿倫卡爾
Robson Ponte,笠臣·邦迪
Brasileiros,巴西人
Filipe Luís,菲利佩·路易斯·卡斯米尔斯基
Luiz Carlos Bombonato Goulart,路易桑
Gilberto Milos,吉尔伯托·米洛斯
Albano Bortoletto Cavallin,阿尔巴诺·博托莱托·卡瓦林
Eduardo Antunes Coimbra,埃杜·科因布拉
Tiago Splitter,蒂亚戈·斯普利特
Adaílton Martins Bolzan,艾達頓·馬田斯·保坦
Renato Carlos Martins Júnior,列拿度·卡路士·馬田斯·祖利亞
Claiton,卡爾頓·阿爾拔圖·方杜拉·度斯·山度士
Ademir da Guia,阿德米尔·达吉亚
Alexandre Torres,亚历山大·托里斯
Paulo Marcos de Jesus Ribeiro,保罗·马科斯·德·约苏斯·里贝罗
José Rodolfo Pires Ribeiro,何塞·鲁道夫·佩雷斯·里贝罗
Renato Cajá,雷纳托·卡贾
Alex Garcia (basquetebolista),亚历克斯·加西亚
Martial Gueroult,马夏尔·盖鲁
Anselmo Ramon,安塞尔莫·拉蒙
Marcelo Chierighini,馬塞洛·切爾希尼
Anderson Silva,安德森·席尔瓦
Adi Rocha Sobrinho,阿迪·罗查·索布里尼奥·菲尔霍
Carlos Ghosn,卡洛斯·戈恩
Renato Augusto,雷纳托·奥古斯托
Nenê Hilário,内内
Helton Arruda,希頓
Cássio Ramos,卡斯奧·拉莫斯
Diego Tardelli,迭戈·塔尔德利
Rodrigo Lima (futebolista),洛迪高·利馬
Sebastião Salgado,塞巴斯蒂昂·萨尔加多
Jadson,謝臣·洛迪古斯·達施華
Carlos Gracie,卡洛斯·格雷西
Alessandro dos Santos,三都主
Leandro Guilheiro,莱安德罗·古列罗
Marcelo Demoliner,马塞洛·德莫里内
Leandro Castán,莱昂德罗·卡斯坦
Gilton Ribeiro,基列頓·列比路
César Santin,施薩·辛坦
Wagner Moura,華格納·莫拉
Pedro de Alcântara de Orléans e Bragança,佩德羅·德·阿爾坎塔拉
Lovefoxxx,Lovefoxxx
Davi Rodrigues de Jesus,达维·罗德里格斯·德·赫苏斯
Junior Dutra,杜查·祖利亞
Aureliano Chaves,奧雷利亞諾·查維斯
Lyoto Machida,町田龙太
Zito (futebolista),济托
Sávio,薩維奧·巴托裡尼·皮門特爾
Thiago Neves,泰亞高·尼維斯
Ronaldão,罗纳尔多·罗德里格斯·德·热苏斯
Mauro Galvão,毛罗·加尔旺
Caio Bonfim,卡约·邦芬
Marcelo Bordon,马塞洛·博登
Vanderlei Cordeiro de Lima,萬德雷·科代羅·利馬
Anderson Varejão,安德森·瓦莱乔
Hugo Alcântara,曉高·艾簡達拿
Mozer,卡洛斯·莫泽
Donato Gama da Silva,多纳托·加马·达·席尔瓦
Roger Bernardo,羅渣·比拿度
Adalberto Pereira dos Santos,阿達爾維托·杜斯·桑托斯
Cuca (treinador de futebol),库卡·(足球教练)
Júlio Prestes,儒利奥·普列斯特斯
Carlos Eduardo (futebolista),卡路士·艾杜亞度
Luís Henrique Dias,路易斯·恩里克·(1960年)
Luís de Orléans e Bragança,路易斯·(奧爾良-布拉干薩)
Epaminondas Gomes dos Santos,伊巴米濃達多斯·桑托斯
Carol Gattaz,卡洛·蓋塔茲
Guilherme Siqueira,吉列尔梅·西凯拉
Fábio Rochemback,法比奥·罗申巴克
Marcelinho Carioca,马塞利尼奥·卡里奥卡
Rodrigo Moreno,罗德里戈·莫雷诺·马查多
Fabiano Medina da Silva,法比亚诺·梅迪纳·达·席尔瓦
David Cortes da Silva,达维·(1963年)
Raul Neto,勞爾·內托
Augusto Pacheco Fraga,奥古斯托·帕切科·弗拉加
Matuzalém,馬度沙林
Adílson Batista,阿迪尔森·巴帝斯塔
Müller (futebolista),繆勒·(足球員)
José Bonifácio de Andrada e Silva,若澤·博尼法西奧·德·安德拉達
Gilberto Braga,吉爾貝托·布拉加
Delfim Moreira,德尔芬·莫雷拉
Afonso Pedro de Bragança,巴西皇太子阿方索
Juliana Imai,茱莉安娜·今井
Diego Clementino,迪亞高·荷西·克利曼甸奴
Marcos Júnior,馬高斯·祖利亞
Loalwa Braz,拉娃·布拉茲
Zé Roberto Guimarães,何塞·羅伯托·吉馬良斯
Cristiano Cordeiro (futebolista),基斯坦奴·高尼路
Danilo Larangeira,达尼洛·拉朗杰拉
Campos Sales,坎波斯·萨莱斯
Valdo,瓦尔多·菲略
Diogo Luís Santo,桑托·(1987年)
Paulo Moura,保罗·莫拉
Renato Ribeiro Calixto,雷纳托·里贝罗·卡利斯托
Yan Gomes,楊·高姆茲
Claudemir de Souza,哥迪馬·迪·蘇沙
Douglas Costa,道格拉斯·科斯塔
Mayra Aguiar,梅拉·阿吉亞爾
Alex Tjong,亚历克斯·汤
Seu Jorge,塞乌·乔尔吉
Daniella Sarahyba,达妮埃拉·萨拉伊巴
Silvio Paiva,西尔维尼奥·(1958年)
Família Gracie,格雷西家族
Estácio Coimbra,埃施塔西奧·科英布拉
Aloísio dos Santos Gonçalves,洛国富
Rosalia de Souza,蘿莎莉亞
Ricardo Rocha (futebolista),里卡多·罗查
Roberto Carlos (futebolista),罗伯托·卡洛斯
Charles Miller,查尔斯·米勒
Fernando Haddad,費爾南多·阿達
Melo Viana,梅洛·维亚纳
Niède Guidon,聂德·吉东
Véra Clouzot,維拉·克魯佐
Obina,奥比纳
Alexandro Alves do Nascimento,亚历山德罗·阿尔维斯·多·纳西门托
Serafim Fernandes de Araújo,色辣芬·費爾南德斯·德·阿勞若
Cândido Rondon,坎迪多·龍東
Gabriel Vasconcellos,加布里埃尔·瓦斯康塞洛斯·费雷拉
Ademar Júnior,艾迪馬·泰華利斯·祖利亞
Frederico Rodrigues Santos,費特·洛迪古斯
Geraldo Alckmin,傑拉爾多·阿爾克明
Danilo Luiz da Silva,达尼洛·路易斯·达·席尔瓦
Jacob Palis,雅各布·帕里斯
Éldis Fernando Damasio,艾迪斯·費蘭度·達馬斯奧
Adiel de Oliveira Amorim,艾迪爾·達·奧利華拉·艾莫林
Tiago Prado,迪亞高·柏度
Flávio Saretta,弗拉維奧·薩雷塔
José Graziano,若泽·格拉齐亚诺·达席尔瓦
Edivaldo Martins da Fonseca,埃迪瓦尔多·马丁斯·达·丰塞卡
Guilherme Alvim Marinato,吉列尔梅·马里纳图
Everaldo Marques da Silva,艾華拿度
Fernando Meligeni,費爾南多·梅利傑尼
Danilo Avelar,達尼洛·費南多·阿維拉爾
Edmar Bernardes dos Santos,埃德马尔
Feijão (tenista),若昂·索萨·(巴西)
Gabriela Guimarães,加布里埃拉·桂馬萊絲
Marcelo Melo,馬塞洛·梅洛
Alex Sandro da Silva,阿歷斯·施華
André Sá,安德烈·薩
Jaqueline Mourão,雅克利娜·莫朗
Júnior Baiano,小巴亚诺
Fernando Reges,費蘭度·列謝斯
Milton Cruz,米尔顿·克鲁斯
Guilherme Finkler,古希美·芬拿
João Carlos Martins,若昂·卡洛斯·马丁斯
João Geraldo Kuhlmann,若昂·杰拉尔多·库尔曼
Warwick Kerr,沃里克·埃斯特万·克尔
Edmundo (futebolista),艾蒙度·艾維斯·迪蘇沙·尼圖
Alison Cerutti,艾利森·切魯蒂
Lincoln Cássio de Souza Soares,連干·卡西奧·迪·蘇沙·蘇亞雷斯
Oscar Oiwa,大岩奥斯卡尔
Rico (futebolista),利安臣·迪亞斯·達·施華
Renan Bressan,雷南·布雷桑
Eduardo Gonçalves de Oliveira,爱德华多·贡萨尔维斯·德·奥利维拉
Ademilson,艾迪美臣·巴拉加
Alberto Antônio de Paula,阿尔伯特·安东尼奥·德·保拉
Cíntia Dicker,辛蒂亞·迪克
Joaquim Cruz,若阿金·克鲁斯
Demerson Bruno Costa,德默森·布鲁诺·科斯塔
Júnior Urso,乌索
Rafael Alcântara,拉芬拿·艾簡達拿
José de Alencar,若澤·德·阿倫卡爾
Giba (voleibolista),吉巴·(排球运动员)
Baltazar (futebolista),巴爾塔扎爾·馬利亞·莫賴斯
Tiago Camilo,蒂亚戈·卡米洛
Juan Jesus,胡安·古伊列梅·努内斯·赫苏斯
Borges (futebolista),亨巴利圖·巴路基斯·泰西拿
Hélio Gracie,艾里奥·格雷西
Ana Beatriz Correa,阿納·比亞特麗斯·科雷亞
Detinho,迪天奴
Glover Teixeira,格洛佛·特谢拉
Fernando Luiz Roza,費蘭甸奴
Walter Salles,華特·薩勒斯
Chana Masson,沙娜·马松
Jéssica Pauletto,傑茜卡·保萊托
José Luis dos Santos Pinto,施辛奴
Aurélio Miguel,奥雷利奥·米格尔
Ana Paula Henkel,安娜·葆拉·康內莉
Carlos Alberto Gomes Kao Yien,卡洛斯·阿尔贝托·戈梅斯·高冉
Charles Oliveira,查尔斯·奥利维拉
Flávio Canto,弗拉维奥·坎托
Charles Dias,查里斯·戴亞斯·達·奧利華拉
Ederson Honorato Campos,埃德森·奥诺拉托·坎波斯
Diego Costa,迪亞高·哥斯達
Alcides Araújo Alves,艾斯迪斯·阿拉魯祖·艾華斯
Marcos Daniel,馬科斯·丹尼爾
"Isabel, Princesa Imperial do Brasil",伊莎贝尔·(巴西)
Clodoaldo (futebolista),哥羅多度
Jorge Luiz Frello Filho,若日尼奥
Michel Temer,米歇爾·特梅爾
Aécio Neves,阿埃西奧·內維斯
Raffael Caetano de Araújo,拉斐尔·卡塔诺·德·阿劳约
Fábio Simplício,法比奧·森比斯奧
Carlos Latuff,卡洛斯·拉特福
Daniela Mercury,达妮埃拉·玛克丽
Fernanda Torres,费尔南达·托雷斯
Imigração chinesa no Brasil,巴西华人
Christian Lindell,克里斯蒂安·林戴爾
Washington Stecanela Cerqueira,华盛顿·斯泰卡奈罗·塞凯拉
Clodoaldo de Oliveira,哥多度·迪奧利韋拉
Hamilton de Souza,卡雷卡·(1968年)
Poliana Okimoto,波利亚娜·冲本
Dudu Cearense,杜都
Luiz Fernando Pereira da Silva,路爾斯·費蘭度
Danielson Ferreira Trindade,丹尼爾臣·費利拿·泰尼達迪
Rubem Fonseca,鲁本·丰塞卡
Abrahão de Moraes,阿布拉昂·德莫赖斯
Itamar Franco,伊塔馬爾·佛朗哥
Almir Lopes de Luna,艾美亞·盧比斯·迪·路拿
Dinélson,迪尼尔森
Adriano Chuva,艾杜安奴·祖華
Anderson (futebolista),安德森·路易斯·迪·阿布努·奧利維拉
Antônio Rogério Silva Oliveira,安東尼奧·洛加利奧·施華·奧利華拉
Ana Marcela Cunha,安娜·玛赛拉·库尼亚
Magno Alves,马格诺·阿尔维斯
Guido Beck,吉多·贝克
Pepe (futebolista),佩佩
Cristiano Alves Pereira,基斯坦奴·艾維斯·彭利拿
Rivaldo,里瓦尔多
Paula Fernandes,保拉·费尔南德斯
Caboré,卡保利
Sérgio Farias,塞尔吉奥·法里亚斯
Giuseppe Occhialini,朱塞佩·奥基亚利尼
Daniel Orzechowski,丹尼爾·奧謝霍夫斯基
Rolando Ferreira,罗兰多·费雷拉
Michel Teló,米歇爾·泰洛
Ivo (futebolista),奥利维奥·达罗萨
André Luiz Tavares,安德烈·路易斯·塔瓦雷斯
Felipe Azevedo,菲臘比·艾斯維度·杜斯·山度士
Otávio Monteiro,奧塔維奧·蒙泰羅
Waguinho (futebolista),瓦格纳·路易斯·达席尔瓦
Leonardo Rodriguez Pereira,莱昂纳多·罗德里格斯·佩雷拉
Bérgson Gustavo Silveira da Silva,柏格森·席尔瓦
Paulo Santos (futebolista),保罗·桑托斯
Naldo Pereira,埃迪纳尔多·戈麦斯·佩雷拉
Jonathan Cícero Moreira,乔纳森·莫雷拉
Lily Safra,莉莉·萨夫拉
Jefferson de Oliveira Galvão,謝佛遜·德·奧利韋拉·加爾旺
Benjamin Insfran,本杰明·因斯福兰
Wallace Oliveira dos Santos,华莱士·奥利维拉·多斯桑托斯
José Aldo,何塞·奥尔多
Aline Weber,艾琳·韋伯
Nathalie Moellhausen,纳塔莉·默尔豪森
Alexandre Pölking,亞歷山大·珀金
Rafael Tolói,拉斐尔·特洛伊
Bruno Uvini,布鲁诺·乌维尼
Angelo Sormani,安杰洛·索尔马尼
Pedro Rocha,佩德羅·羅沙
Alex Teixeira,阿歷士·泰斯拿
Alexandra Nascimento,亚历山德拉·纳西门托
André Felipe Ribeiro de Souza,安德烈·菲利佩·里貝羅·德·索薩
Carlos Saldanha,卡洛斯·沙尔丹哈
Felipe Santana,菲臘比·辛坦拿
Amanda Nunes,阿曼达·努涅斯
André Lima (futebolista),安德雷·利马
Dória (futebolista),多瑞亞
Tonho Gil,托尼奥·吉尔
Jean Ferreira Narde,吉恩·费雷拉·纳尔德
Roberta Ratzke,羅貝塔·拉茲克
Rodrigo Caio,洛迪高·卡爾奧
André Luís dos Santos Ferreira,安德烈·路易斯·(1959年)
Weligton,維列頓
Roberto Burle Marx,罗伯托·布雷·马克思
Rosaly Lopes,羅莎莉·洛佩兹
Bruna Ferraz,布魯娜·費拉斯
Douglas (futebolista),迪扬夫雷斯·道格拉斯·沙加斯·马托斯
Picoli,伊迪馬·安東尼奧·比高利
Ronaldo Nazário,罗纳尔多
Renan Dal Zotto,雷南·達爾·佐托
Paulo César Tinga,廷加
Éverton Ribeiro,埃韦顿·里贝罗
Fernanda Lima,费尔南达·利马
Ana Beatriz Nogueira,安娜·比阿特丽斯·诺盖拉
Renê Júnior,小雷内
Kaká,卡卡
Edílson Capetinha,埃迪尔森
Cristiano da Silva,基斯坦奴·達施華
Thiago Braz,蒂亚戈·布拉兹
Edson Tavares,埃德森·塔瓦雷斯
Edson Barboza,埃德森·巴博萨
Thiago Pereira (nadador),蒂亞戈·佩雷拉
Alexandre Guimarães,亚历山大·吉马良斯
Carlos Kaiser,卡路士·凱撒
Eduardo Campos,爱德华多·坎波斯
Raymundo Damasceno Assis,雷蒙·達瑪森諾·阿西斯
Eleílson Moura,埃雷尔森
Emerson Palmieri,埃莫森·帕爾米耶里
Walter Henrique da Silva,沃尔特·亨里克·达·席尔瓦
Geraldo Majella Agnelo,吉拉·馬熱拉·阿涅洛
José Freire Falcão,若瑟·弗雷萊·法爾考
Eusébio Oscar Scheid,欧瑟伯·奥斯卡·沙伊德
Weverson Leandro Oliveira Moura,韋法臣·李安度
Henrique Guimarães,恩里克·吉马良斯
Luciano Ratinho,卢西亚诺·拉蒂尼奥
Felipe Lima,费利佩·利马
Geraldo Magela da Cruz Quintão,热拉尔多·马热拉·金唐
Guilherme Marques (futebolista),吉列尔梅·科斯塔·马克斯
Lucas Silva,盧卡斯·施華
Bruno Peres,般奴·佩雷斯
Fabrício dos Santos Messias,法布里西奥·多斯·桑托斯·梅西亚斯
Gustavo Papa,古斯亞禾·沙拔·馬田斯
Ricardo Goulart,里卡多·高拉特
Carlos Honorato,卡洛斯·奥诺拉托
Carlos Wizard,卡洛斯·韦泽·马丁斯
Flávio Barros,法維奧·巴路士·蘇沙
Léo Gamalho,里奧·加馬奴
Carlos Adriano de Sousa Cruz,卡洛斯·阿德里亚诺·索萨·克鲁斯
Rodrigo Ely,罗德里戈·埃利
Ithamara Koorax,伊莎·柯芮
Stefan Figueiredo,史提芬·彭利拿
Manfredo Fest,曼弗雷多·菲斯特
Leandro Carrijo,李安度·卡里祖
Gilbert Burns,吉尔伯特·伯恩斯
Nelson Ned,内尔松·内德
Marcelo Toscano,马塞洛·托斯卡诺
Marco Aurélio Motta,馬爾科·奧雷利奧·莫達
Ronaldo Moraes,罗纳尔多·莫赖斯
Igor Sartori,伊高·沙托尼
Sidraílson,沙域臣
Darlan Romani,达兰·罗马尼
Mauri König,莫里·柯尼格
May East,梅·伊斯特
Maurício dos Santos Nascimento,毛里西奥·多斯桑扎斯·西门托
Jorge Zarif,豪爾赫·扎里夫
Oscar Araripe,奧斯卡·艾拉萊普
Inácio Arruda,伊纳西奥·阿鲁达
João Amazonas,若昂·阿马佐纳斯
Jumar,胡马尔
Juliana Baroni,茱莉安娜·巴羅尼
Paulinho Piracicaba,福保羅
Weverton,韋華頓·佩雷拉·達施華
Rafael Coelho (futebolista),拉菲尔·科埃略
William Alves,威廉·艾古斯圖·艾維斯
Wendell Lira,文德尔·利拉
Paulo Goulart,保羅·古拉特
Laura Pigossi,勞拉·皮戈西
Paulo Schroeber,保羅·施勒伯
Élcio Álvares,埃爾西奧·阿爾瓦雷斯
Anderson Talisca,塔利斯卡
Ana Paula de Tassis,安娜·保拉·德塔西斯
Etiene Medeiros,艾蒂安·梅代罗斯
Leonardo Gonçalves Silva,莱昂纳多·贡萨尔维斯·席尔瓦
Felipe Wu,菲利佩·阿尔梅达·吴
Daiene Dias,戴妮·迪亚斯
Fábio Riodi Yassuda,安田良治
Diego Barcelos,迭戈·德·利马·巴塞罗斯
Zé Alcino,泽·阿尔西诺
Márcio Fábio Martins,馬斯奧·法比奧·馬田斯
Yuu Kamiya,榎宮祐
Gustavo Guimarães,古斯塔沃·吉馬良斯
Hugo Calderano,雨果·卡爾德拉諾
Jair Bolsonaro,雅伊爾·博索納羅
João Gomes Júnior,小若昂·戈梅斯
Marcélia Cartaxo,马塞利娅·卡尔塔绍
Mike Krieger,邁克·克里格
Murilo Ribeiro de Almeida,梅里路·迪阿米達
Luciana Santos,卢西亚娜·桑托斯
Moisés Lima Magalhães,莫伊塞斯·利马·马加良斯
Roger Agnelli,罗杰·阿格内利
Róger Guedes,罗热·格德斯
Marcela Temer,馬塞拉·特梅爾
Manuela d'Ávila,曼努埃拉·达阿维拉
Luciano do Valle,盧西亞諾·多·瓦萊
Pedro Pomar,佩德罗·波马尔
Tereza Delta,特雷扎·德尔塔
Pietro Fittipaldi,彼得罗·菲蒂帕尔迪
Rebeca Andrade,麗貝卡·安得拉迪
Léia Silva,雷亞·達·席爾瓦
Índio do Buraco,洞人
Ricardo Winicki,里卡多·桑托斯·(帆船運動員)
Suzana Herculano-Houzel,苏珊娜·埃尔库拉诺-乌泽尔
Suzane Carvalho,苏珊·卡瓦略
Alex Pereira,亚历克斯·佩雷拉
Sérgio Guerra,塞尔吉奥·格拉
Roberto Azevêdo,罗伯托·阿泽维多
Vilamar Damasceno,韋拉馬
Fernando Henrique da Conceição,费南多
Anitta,阿妮塔
Cícero Moraes,西塞羅·莫賴斯
Júnior Caiçara,小凯萨拉
Henrique Dourado,恩里克·多拉多
Marco Dutra,馬可·杜特拉
Gabriel Paulista,加布里埃尔·保利斯塔
Gabigol,加布里埃尔·巴尔博萨·阿尔梅达
Pepe Escobar,佩佩·埃斯科巴
Kleber Mendonça Filho,克雷伯·曼東沙·費侯
Ryūkō Gō,隆濤剛
Ana Carolina (voleibolista),安娜·卡洛琳娜·達·席爾瓦
Kenedy (futebolista),羅拔·堅尼地
Ryder Matos,莱德·马托斯·桑托斯
Wendell Nascimento Borges,溫德爾
Jéssica Andrade,杰西卡·安德拉德
Thiago Monteiro (tenista),蒂亞戈·蒙泰羅·(網球運動員)
Alex Telles,阿歷斯·泰利斯
Hugo Barra,雨果·巴拉
Samir,薩米爾·桑托斯
David Miranda (político),大卫·米兰达
Marcelo Zormann,马塞洛·索尔曼
Matheus Santana,马特乌斯·桑塔纳
Maciel Santos,马西埃尔·桑托斯
Ederson Santana de Moraes,艾達臣·摩拉斯
Manfredo do Carmo,曼弗雷多·杜卡莫
Malcom (futebolista),馬爾甘
Everton Cebolinha,艾佛頓·索亞雷斯
Hyuri,尤里·(足球运动员)
Sandro Meira Ricci,桑德罗·列治
Nathan (futebolista),尼敦·阿倫·迪蘇沙
Marlon Santos (futebolista),馬龍·桑托斯
Eduardo Bolsonaro,愛德華多·博索納羅
Fernando Codá Marques,费尔南多·科达·马克斯
Duda Lisboa,爱德华达·桑托斯·利斯博阿
Jemerson,謝美臣
Diego Carlos,迭戈·卡洛斯
Alexandre da Silva Pedrosa Guimarães,祁羅沙
Walace,華萊士·蘇沙·施華
Luan Guilherme de Jesus Vieira,盧恩·古靴美·迪·捷西斯·韋拉
Flávia Saraiva,弗拉维娅·洛佩斯·萨赖瓦
Joelinton,祖連頓
Ingrid Gamarra Martins,英格丽德·马丁斯
Gabriel Boschilia,加比爾·保治利亞
Martine Grael,马蒂娜·格拉埃尔
Lucas Fonseca,卢卡斯·丰塞卡
Marcus Vinicius D'Almeida,馬庫斯·維尼修斯·德阿爾梅達
Isaquias Queiroz,伊萨基亚斯·凯罗斯
William de Asevedo Furtado,費塔朵·威廉
Kahena Kunze,卡埃娜·孔泽
Arthur Nory Mariano,阿图尔·马里亚诺
Marcus Almeida,马库斯·阿尔梅达
Rômulo José Pacheco da Silva,罗慕洛·(足球运动员)
Josip Vrlić,约瑟普·弗尔利奇
Thiago Maia,堤亞高·馬亞
Roger Mello,罗杰·米罗
Guilherme Arana,吉列爾梅·阿拉納
Alisson Becker,阿利松·拉姆西斯·贝克尔
Gerson Santos da Silva,謝臣·山度士·達施華
José Afonso Sancho,若澤·阿方索·桑喬
Natalia de Luccas,纳塔利娅·德卢卡斯
Bruna de Paula,布鲁娜·德葆拉
Douglas Souza,道格拉斯·索薩
Ygor Coelho,伊戈尔·科埃略·德奥利维拉
Ana Paula Campos,安娜·保拉·坎波斯
Gabriel Jesus,加布里埃爾·熱蘇斯
Rafael da Silva,拿費爾·達施華
Ricardo Lopes,里卡多·洛佩斯·佩雷拉
Gabriel Magalhães,加比爾·馬加希斯
Flávio Gualberto,弗拉維奧·瓜爾貝托
Lucas Veríssimo,盧卡斯·維里西莫
Rodrigo Dourado,羅德里戈·多拿度
Richarlison,理查利森
Ingrid de Oliveira,英格丽德·德奥利韦拉
Silvestre de Sousa,蘇兆輝
Rafael Matos,拉斐尔·梅托斯
Wesley Moraes,韋斯利·摩賴斯·費瑞拉·達·席爾瓦
Tiquinho Soares,蒂基尼奥·苏亚雷斯
Brandonn Almeida,布兰顿·阿尔梅达
Rosamaria Montibeller,羅薩馬利亞·蒙蒂貝勒
Luiz Altamir Melo,路易斯·阿尔塔米尔·梅洛
Luisa Stefani,路易莎·斯特凡尼
Melody (cantora),旋律·(巴西歌手)
Léo Jardim,莱奥·雅尔丁
Arthur Lira,阿图尔·利拉
Lyanco,利安科·沃伊诺维奇
Yoandy Leal,約安迪·萊亞
Marília Mendonça,玛丽亚·门东萨
David Neres,大衛·涅里斯
Maicon de Andrade,迈孔·安德拉德
Lorrane dos Santos,洛拉娜·奥利韦拉
Igor Julio,伊戈爾·胡利奧
Gabriel Santos,加布里埃尔·桑托斯
Fernando Pedreira (futebolista),費蘭度·佩德雷拉
Raphinha,拉斐爾·迪亞斯·貝洛利
Vinícius Júnior,维尼修斯
Caio Henrique,卡约·恩里克
Alexandre Pantoja,亚历山大·潘托哈
Alok,阿洛克
Éder Militão,埃德爾·米利唐
Bianca de Oliveira Lima,比安卡·德奧利維拉·利馬
Gabriel Costa França,加比爾·哥斯達
Luiz Felipe,路易斯·菲利佩·(足球員)
Naomi Munakata,宗像直美
Emerson Royal,愛默生·萊耶
Jaqueline Lima,杰奎琳·利马
Douglas Luiz,道格拉斯·路易斯
Lucas Paquetá,盧卡斯·帕克塔
Paulo Borrachinha,保罗·科斯塔
Wenderson Galeno,加雷諾
Daniel Cargnin (judoca),丹尼爾·卡格連
Ana Patrícia Ramos,安娜·帕特里夏·拉莫斯
Felipe Drugovich,费利佩·德鲁戈维奇
Carlos Vinícius,卡路士·雲尼斯奧斯
Matheus Cunha,馬特烏斯·庫尼亞
André Luis Silva de Aguiar,安德烈·路易斯·(1994年)
Gleison Bremer,格雷森·布雷默
Pedro Guilherme Abreu dos Santos,佩德罗·阿布雷乌·多斯桑托斯
Jessica Alves,潔西卡·艾維斯
Guilherme Costa (nadador),吉列尔梅·科斯塔
Arthur Melo,阿瑟·梅洛
Andrew Parsons,安德鲁·帕森斯
Arthur Cabral,亞瑟·卡布拉爾
Marielle Franco,马里耶勒·佛朗哥
Thiago Seyboth Wild,蒂亚戈·赛博特·维尔德
Renan Lodi,雷南·洛迪
João Klauss de Mello,克劳斯·(足球运动员)
Milena Titoneli,米萊娜·蒂托內尼
Ícaro Miguel Soares,伊卡洛·米格爾·索阿里斯
Deiveson Figueiredo,戴维森·菲格雷多
Michelle Bolsonaro,米歇爾·博索納羅
Kaio Jorge,凯奥·若热
Paulo André Camilo,保罗·安德烈·卡米洛·德奥利维拉
Hamilton Mourão,漢密爾頓·莫朗
Rodrygo Goes,羅德里戈·德戈埃斯
Gabriel Martinelli,加布里埃爾·馬丁內利
Bruno Guimarães,布魯諾·吉馬良斯
Fernando Scheffer,费尔南多·舍费尔
Yuri Alberto,尤里·阿尔贝托
Catarina Macario,卡塔里娜·马卡里奥
Giovanna Diamante,焦万娜·迪亚曼特
Viviane Jungblut,维维亚娜·容布卢特
Johnny Walker,强尼·沃克
Antony Matheus dos Santos,安东尼·(巴西足球运动员)
Gabriel Menino,加布里埃尔·梅尼诺
Alison dos Santos,埃里森·多斯·桑托斯
Reinier,雷涅尔·热苏斯·卡瓦略
André Lamoglia,安德烈·拉莫利亞
João Pedro Junqueira Jesus,若昂·佩德罗
Natan Bernardo de Souza,纳坦
Ângelo Gabriel,安哲奴·加比爾
Lord Vinheteiro,Lord·Vinheteiro
Matheus Nunes,馬修斯·努內斯
Junior Messias,儒尼奥尔·梅西亚斯
Matheus Pato,马特乌斯·帕托
Gabriel Veron,加布里埃尔·贝隆
Sávio Moreira de Oliveira,薩維奧·莫雷拉·德·奧利維拉
Vladas Sidoravicius,弗拉达斯·西多拉维丘斯
Francisca Celsa dos Santos,弗朗西斯卡·塞爾薩·多斯桑托斯
Andrey Santos,安德烈·山度士
Vanderson de Oliveira Campos,范德森
Antônia da Santa Cruz,安东尼娅·达·圣克鲁斯
Endrick,恩德里克·(2006年)
Vitor Roque,域陀·賀基
Marcus Vinicius Oliveira Alencar,馬昆奴斯·(2003年)
Eduardo Bartolomeo,柏安铎
Inah Canabarro Lucas,伊娜·卡納巴羅·盧卡斯
