GND-Kennung,GND ID
Bundesstraße 210,연방도 제210호선
TuS Koblenz,TuS 코블렌츠
Airbus Helicopters,에어버스 헬리콥터
Frankfurter Buchmesse,프랑크푸르트 도서전
Marsberg,마르스베르크
Präsident des Deutschen Bundestages,독일 연방의회 의장
Bundesverfassungsgericht,연방헌법재판소
Bad Aibling,바트아이블링
Pangermanismus,범게르만주의
Weimarer Verfassung,바이마르 헌법
RTL,RTL
Deutscher Zollverein,독일 관세동맹
Ladenburg,라덴부르크
Buchenurwälder und Alte Buchenwälder der Karpaten und anderer Regionen Europas,카르파티아 및 유럽의 기타 지역에 생육하는 고대 및 원시 너도밤나무 숲
Die Heimat,독일 국민민주당
Aachener Dom,아헨 대성당
Frieden von Aachen,엑스라샤펠 조약
ATP Hamburg,독일 오픈
Junkers Ju 88,융커스 Ju 88
Internationale Automobil-Ausstellung,프랑크푸르트 국제 모터쇼
1. FC Magdeburg,1. FC 마그데부르크
Olympische Winterspiele 1936/Ski Alpin,1936년 동계 올림픽 알파인스키
AVUS,AVUS
Saalfeld/Saale,잘펠트
Liste der Kreise in Deutschland,독일의 군 목록
I.G. Farben,파르벤 이익공동체
Trierer Dom,트리어 대성당
Spartakusbund,스파르타쿠스단
BayArena,바이아레나
Würzburger Residenz,뷔르츠부르크궁
Steinway & Sons,스타인웨이
Hohenzollern,호엔촐레른가
Bamberger Dom,밤베르크 대성당
Messeturm,메세투름
Bild,빌트
Schlösser Augustusburg und Falkenlust,브륄의 아우구스투스부르크성
Fürst-Pückler-Park Bad Muskau,무스카우 공원
Reichenau,라이헤나우섬
Türken,터키인
Pariser Platz,파리저 광장
Altes Museum,베를린 구 박물관
Landkreis Schaumburg,샤움부르크
Walter Storz,스토바
Entartete Kunst,퇴폐예술
Gewandhausorchester,라이프치히 게반트하우스 관현악단
Frieden von Kiel,킬 조약
Fokker Dr.I,포커 Dr.I
Volkswagen AG,폭스바겐 AG
Universität Hamburg,함부르크 대학교
Christian-Albrechts-Universität zu Kiel,킬 대학교
Merck,메르크
DFL-Supercup,DFL-슈퍼컵
Neustrelitz,노이슈트렐리츠
Heinkel He 162,하인켈 He 162
Air Berlin,에어 베를린
Himmelsscheibe von Nebra,네브라 하늘원반
Goethe-Institut,독일 문화원
Bückeburg,뷔케부르크
Dornier Do 17,도르니에 Do 17
Schwarzenberg/Erzgeb.,슈바르첸베르크
Landkreis Havelland,하벨란트 군
Haus Hannover,하노버 왕가
Jüdisches Museum Berlin,베를린 유대인 박물관
Rot-Weiß Oberhausen,로트바이스 오버하우젠
Aue,아우에
Landkreis Uckermark,우커마르크군
Welthauptstadt Germania,세계수도 게르마니아
Bertelsmann,베텔스만
Landkreis Barnim,바르님군
Puma SE,푸마
KFC Uerdingen,KFC 위르딩겐 05
Landkreis Prignitz,프리그니츠군
Die Zeit,디 차이트
Landkreis Potsdam-Mittelmark,포츠담미텔마르크군
1. FC Saarbrücken,1. FC 자르브뤼켄
Pergamonmuseum,페르가몬 박물관
Neues Museum,베를린 신 박물관
Zschopau,초파우
Landkreis Oberspreewald-Lausitz,오버슈프레발트라우지츠군
Landkreis Spree-Neiße,슈프레나이세군
Landkreis Dahme-Spreewald,다메슈프레발트군
Deutsche Bank Park,코메르츠방크 아레나
Frauenkirche,드레스덴 성모교회
Flughafen Düsseldorf,뒤셀도르프 국제공항
Landkreis Oberhavel,오베르하벨 군
Landkreis Ostprignitz-Ruppin,오스트프리그니츠루핀군
Bayreuther Festspiele,바이로이트 축제
Technische Universität München,뮌헨 공과대학교
Landkreis Oder-Spree,오데르슈프레군
Landkreis Märkisch-Oderland,메르키슈오데를란트군
Landkreis Teltow-Fläming,텔토프플레밍 군
Soest,조스트
Unterhaltungssoftware Selbstkontrolle,소프트웨어 심의 등급 기관
Fichtelgebirge,피히텔산맥
Flughafen Köln/Bonn,쾰른 본 공항
VfL Wolfsburg,VfL 볼프스부르크
S-Bahn Köln,쾰른 S반
Unterschleißheim,운터슐라이스하임
S-Bahn,S-반
Berliner Verkehrsbetriebe,베를린교통공사
S-Bahn Berlin,베를린 S반
Straßenbahn Berlin,베를린 트램
Tag der Deutschen Einheit,독일 통일의 날
Deutsches Zentrum für Luft- und Raumfahrt,독일 항공우주 센터
FSV Frankfurt,FSV 프랑크푸르트
U1,베를린 지하철 1호선
U2,베를린 지하철 2호선
Bundestagswahl 2009,독일 연방하원 2009년 선거
Wacken Open Air,바켄 오픈 에어
Deutsche Börse,도이치 뵈르제
Landkreis Elbe-Elster,엘베엘스터군
Commerzbank,코메르츠방크
Deutsche Post AG,도이체 포스트
Kreis Wesel,베젤 군
Deutsche Zentrumspartei,독일 중앙당
U3,베를린 지하철 3호선
U4,베를린 지하철 4호선
U5,베를린 지하철 5호선
Friede von Frankfurt,프랑크푸르트 조약
U8,베를린 지하철 8호선
Zisterzienserabtei Maulbronn,마울브론 수도원
U6,베를린 지하철 6호선
U7,베를린 지하철 7호선
Bode-Museum,보데 박물관
Holstein Kiel,홀슈타인 킬
Max-Planck-Gesellschaft,막스 플랑크 협회
Treptow-Köpenick,트레프토쾨페니크구
Oktoberfest,옥토버페스트
Steglitz-Zehlendorf,슈테글리츠첼렌도르프구
Spandau,슈판다우
Landkreis Mittelsachsen,미텔작센구
Fulda,풀다강
Borussia Mönchengladbach,보루시아 묀헨글라트바흐
Limburgisch,림뷔르흐어
Pommern,포메라니아
U9,베를린 지하철 9호선
U12,베를린 지하철 12호선
Rote Armee Fraktion,적군파
Charlottenburg-Wilmersdorf,샤를로텐부르크빌머스도르프
Amoklauf von Winnenden,비넨덴 학교 총기 난사 사건
Lahn,란강
Tempelhof-Schöneberg,템펠호프쇠네베르크구
SpVgg Unterhaching,SpVgg 운터하힝
Bayer 04 Leverkusen,바이어 04 레버쿠젠
Kleinmachnow,클라인마하노
1. FC Köln,1. FC 쾰른
GSG 9 der Bundespolizei,GSG 9
Arminia Bielefeld,아르미니아 빌레펠트
Karlsruher SC,카를스루에 SC
1. FSV Mainz 05,1. FSV 마인츠 05
Dohna,도나
Stern,슈테른
Technische Universität Dresden,드레스덴 공과대학교
Medaillenspiegel der Olympischen Winterspiele 1936,1936년 동계 올림픽 메달 집계
Hertha BSC,헤르타 BSC 베를린
SC Freiburg,SC 프라이부르크
Europastraße,유럽 고속도로
Süddeutsche Zeitung,쥐트도이체 차이퉁
Reinickendorf,라이니켄도르프구
Hamburg Hauptbahnhof,함부르크 중앙역
Friesen,프리젠족
Flughafen Frankfurt-Hahn,프랑크푸르트 한 공항
Nassau,나사우
Werra,베라강
U-Bahn Hamburg,함부르크 지하철
Flughafen Stuttgart,슈투트가르트 공항
Taunus,타우누스산맥
Großer Preis von Deutschland 2012,2012년 독일 그랑프리
AEG,아에게
VfL Bochum,VfL 보훔
Büsingen am Hochrhein,뷔징겐
Sauer,자우어강
Brauerei Beck,벡스
Landkreis,독일의 군
Bundesliga 2011/12,푸스발-분데스리가 2011-12
Mecklenburg,메클렌부르크
FC St. Pauli,FC 장크트파울리
VfB Stuttgart II,VfB 슈투트가르트 II
Energie Cottbus,FC 에네르기 콧부스
Fußball-Weltmeisterschaft der Frauen 2011,2011년 FIFA 여자 월드컵
Isar,이자르강
Teutoburger Wald,토이토부르크 숲
Nuclear Blast,뉴클리어 블래스트
Friedrichshain-Kreuzberg,프리드리히스하인크로이츠베르크구
Bundesliga 2010/11,푸스발-분데스리가 2010-11
Holstein,홀슈타인
Mitteldeutscher Rundfunk,중부독일방송
Olympische Sommerspiele 1972/Fußball,1972년 하계 올림픽 축구
Olympische Sommerspiele 1936/Basketball,1936년 하계 올림픽 농구
Europa-Park,유로파파크
Brobergen,브로베르겐
Die Bremer Stadtmusikanten,브레멘 음악대
KZ Ravensbrück,라벤스브뤼크 강제 수용소
politisches System Deutschlands,독일의 내각제
Sammlung Philippi,필리피 컬렉션
Olympische Sommerspiele 1972/Handball,1972년 하계 올림픽 핸드볼
Herrnhuter Brüdergemeinde,모라비안
Rothschild,로트실트 가문
CeBIT,세빗
Ingelheim am Rhein,잉겔하임암라인
Bundesstraße 254,연방도 제254호선
Iller,일러강
Leichtathletik bei den Olympischen Sommerspielen 1936,1936년 하계 올림픽 육상
Lutherstadt Wittenberg,비텐베르크
BFC Dynamo,베를린 FC 디나모
Kickers Offenbach,키커스 오펜바흐
Bad Oeynhausen,바트외인하우젠
Ravensburg,라벤스부르크
Speyer,슈파이어
Universität Rostock,로스토크 대학교
Elmshorn,엘름스호른
Stockach,슈토카흐
Verdienstorden der Bundesrepublik Deutschland,독일연방공화국 공로장
Rastatt,라슈타트
Kleve,클레베
Dülmen,뒬멘
Rock am Ring,록 암 링
Hof,호프
Frankenthal,프랑켄탈
Vaalserberg,팔제르베르크
Europastraße E30,유럽 고속도로 30호선
Kurfürstendamm,쿠르퓌르스텐담
Heidenheim an der Brenz,하이덴하임안데어브렌츠
Stade,슈타데
Deutscher Werkbund,독일 공작연맹
Singen (Hohentwiel),징겐
Kallstadt,칼슈타트
Leonberg,레온베르크
Böblingen,뵈블링엔
Heinkel He 51,하인켈 He 51
VfL Osnabrück,VfL 오스나브뤼크
Gotha,고타
Bitterfeld-Wolfen,비터펠드 울펜
Freising,프라이징
Maulburg,마울부르크
Regierungsbezirk,독일의 현
Speyerer Dom,슈파이어 대성당
Flughafen Berlin Brandenburg,베를린 브란덴부르크 공항
Wismar,비스마르
Starnberg,슈타른베르크
Filderstadt,필더스타드
SC Paderborn 07,SC 파더보른 07
Amberg,암베르크
Neues Schloss Herrenchiemsee,헤렌킴제
Oberursel (Taunus),오버우어젤
"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",당
Marzahn-Hellersdorf,마르찬헬러스도르프구
Nordhausen,노르트하우젠
Bad Kreuznach,바트크로이츠나흐
Weinheim,바인하임
kreisfreie Stadt in Deutschland,독립 도시
Lahr/Schwarzwald,라어
TSG 1899 Hoffenheim,TSG 1899 호펜하임
Straubing,슈트라우빙
Bundesliga 2008/09,푸스발-분데스리가 2008-09
SGS Essen,SGS 에센
Zeche Zollverein,체체 촐버레인
Eisenach,아이제나흐
Grünstadt,그륀슈타트
Contact Air,콘텍트 에어
Ketsch,케치
Walldorf,발도르프
Dachau,다하우
Landstuhl,란트슈툴
Halberstadt,하버슈타트
Monheim am Rhein,몬하임암라인
Universität Stuttgart,슈투트가르트 대학교
Denkmal für die ermordeten Juden Europas,학살된 유럽 유대인을 위한 기념비
Sandhausen,잔트하우젠
Bundesliga 2009/10,푸스발-분데스리가 2009-10
Bundesliga 2005/06,푸스발-분데스리가 2005-06
Playmobil,플레이모빌
Nürnberger Ärzteprozess,의사 재판
Bauhaus,바우하우스
Battenberg,바텐베르크
Stendal,슈텐달
Scorpions,스콜피언스
Unter den Linden,운터덴린덴
KZ Bergen-Belsen,베르겐-벨젠 강제 수용소
Niederländisch,네덜란드어
Vector Informatik,Vector Informatik
Germania magna,게르마니아
Oder-Neiße-Grenze,오데르-나이세선
Internationale Filmfestspiele Berlin 1998,제48회 베를린 국제 영화제
Internationale Filmfestspiele Berlin 1997,제47회 베를린 국제 영화제
Internationale Filmfestspiele Berlin 1999,제49회 베를린 국제 영화제
Ostalpen,동알프스산맥
Deutsche Bank,도이체 방크
Pfälzisch,팔츠 독일어
U-Bahn Berlin,베를린 U반
Hochtaunuskreis,호흐타우누스군
Checkpoint Charlie,체크포인트 찰리
Berg,베르크
Großhartmannsdorf,그로스하르트만스도르프
Garmisch-Partenkirchen,가르미슈파르텐키르헨
Chaos Computer Club,카오스 컴퓨터 클럽
Norderney,노르더나이
Regierungsbezirk Düsseldorf,뒤셀도르프현
Regierungsbezirk Köln,쾰른현
Regierungsbezirk Münster,뮌스터현
Regierungsbezirk Detmold,데트몰트현
Wirtschaft Deutschlands,독일의 경제
Paulaner,파울라너
Bremen,브레멘
Regierungsbezirk Kassel,카셀현
Regierungsbezirk Gießen,기센현
Audi,아우디
Fraunhofer-Gesellschaft,프라운호퍼 협회
Bundesliga 2007/08,푸스발-분데스리가 2007-08
Allianz-Arena,알리안츠 아레나
Universität Bielefeld,빌레펠트 대학교
Regierungsbezirk Freiburg,프라이부르크현
Regierungsbezirk Tübingen,튀빙겐현
Großer Preis von Deutschland,독일 그랑프리
Regierungsbezirk Darmstadt,다름슈타트현
Justizpalast,정의궁
MTU Aero Engines,MTU 에어로 엔진스
Rhein-Neckar-Kreis,라인네카어군
Regierungsbezirk Arnsberg,아른스베르크현
Palast der Republik,공화국 궁전
Wacker Burghausen,SV 바커 부르크하우젠
Deutsche Männer-Handballnationalmannschaft,독일 핸드볼 국가대표팀
Ramstein Air Base,램스타인 공군 기지
Stettiner Haff,슈체친 석호
arte,Arte
Regierungsbezirk Karlsruhe,카를스루에현
Regierungsbezirk Dresden,드레스덴현
Regierungsbezirk Leipzig,라이프치히현
Regierungsbezirk Chemnitz,켐니츠현
Internationale Filmfestspiele Berlin,베를린 국제 영화제
Rheinmetall,라인메탈
Intercity-Express,ICE
Regierungsbezirk Stuttgart,슈투트가르트현
Frankenberg/Sa.,프랑켄베르크
Südschleswigscher Wählerverband,남슐레스비히 유권자 연합
Chemnitzer FC,켐니츠 FC
FC Sachsen Leipzig,FC 작센 라이프치히
Großer Preis von Deutschland 2009,2009년 포뮬러 원 독일 그랑프리
Großer Preis von Deutschland 2010,2010년 포뮬러 원 독일 그랑프리
Petting,페팅
Bundespräsident,독일의 대통령
Serben,세르비아인
Niederdeutsch,저지 독일어
Junkers Flugzeug- und Motorenwerke,융커스
0711 Entertainment,0711 엔터테인먼트
Berlin-Marathon,베를린 마라톤
PreZero-Arena,라인 네카어 아레나
Jütland,윌란반도
Friesisch,프리슬란트어
Internationale Raumstation,국제우주정거장
Platz der Republik,공화국 광장
Schiefer Turm von Suurhusen,주르후젠의 사탑
Flughafen München,뮌헨 국제공항
Der Spiegel,슈피겔
deutsche Euromünzen,독일의 유로 주화
Leica Camera,라이카
Deutsches Museum,국립 독일 박물관
Starnberger See,슈타른베르크호
Döbeln,되벨른
Wülfrath,뷜프라트
Sorbisch,소르브어
Olympiastadion München,뮌헨 올림픽 스타디움
Weihenstephan,바이엔슈테판
TSV 1860 München,TSV 1860 뮌헨
documenta,도큐멘타전
Julius-Maximilians-Universität Würzburg,뷔르츠부르크 대학교
Johannes Gutenberg-Universität Mainz,마인츠 요하네스 구텐베르크 대학교
Junkers Ju 52/3m,Ju 52
Wattenmeer,바덴해
Schloss Nymphenburg,님펜부르크궁
Ischtar-Tor,이슈타르의 문
Alemannisch,알레만어
Lebus,레부스
BMW,BMW
Schloss Hohenschwangau,호엔슈방가우성
1. Britische Panzerdivision,제1사단
Essen Hauptbahnhof,에센 중앙역
Schmiedeberg,슈미데베르크
Saterfriesisch,동프리슬란트어
Charlottenburg,샤를로텐부르크
Bundeswappen Deutschlands,독일의 국장
Bulgaren,불가리아인
Glyptothek,글립토테크
Junkers Ju 87,Ju-87
Olympische Sommerspiele 1972,1972년 하계 올림픽
Mercedes-AMG,메르세데스-AMG
ISO 3166-2:DE,ISO 3166-2:DE
Alte Nationalgalerie,베를린 구 국립미술관
Lufthansa CityLine,루프트한자 시티라인
ZF Friedrichshafen AG,ZF 프리드리히스하펜 AG
Deutsche Bundesbank,독일 연방은행
Malmedy-Massaker,말메디 학살
Deutsche Nationalbibliothek,독일 국립도서관
1. FC Kaiserslautern,1. FC 카이저슬라우테른
Cherry,체리
Schlacht im Hürtgenwald,휘르트겐 숲의 전투
Bundesliga 2006/07,푸스발-분데스리가 2006-07
Zalando,잘란도
Mercedes-Benz Group,메르세데스-벤츠 그룹
Flughafen Hamburg,함부르크 공항
1. FC Heidenheim,1. FC 하이덴하임 1846
thyssenkrupp AG,티센크루프
RWE,RWE
Bundesstraße 400,연방도 제400호선
Borgward,보그바르트
Odenwald,오덴발트산맥
Landessternwarte Heidelberg-Königstuhl,하이델베르크 천문대
Auto Union,아우토 유니언
Landkreis Alzey-Worms,알차이보름스군
Irminsul,이르민술
1. FC Lokomotive Leipzig,1. FC 로코모티프 라이프치히
FC 08 Homburg,FC 08 홈부르크
Landkreis Altenkirchen (Westerwald),알텐키르헨군
1. Gebirgsdivision,제1산악사단
nordfriesische Sprache,북프리슬란트어
Peenestrom,페네슈트롬 해협
Nürnberger Prozesse,뉘른베르크 재판
Landkreis Ahrweiler,아르바일러군
Westfalen,베스트팔렌
Jiddisch,이디시어
Moritzburg,모리츠부르크
Springer Science+Business Media,슈프링어
Bundesarbeitsgericht,독일 연방노동법원
1. FFC Frankfurt,아인트라흐트 프랑크푸르트 프라우엔
Usedom,우제돔
Hanomag,하노마크
Bundesstraße 246,연방도 제246호선
Meißen,마이센
Horch,호르히
Bürgermeister,수령
Xanten,크산텐
Charité,샤리테
Die Welt,디 벨트
Messegelände Hannover,하노버 국제전시장
Sternwarte Göttingen,괴팅겐 천문대
Zentralstelle für das Auslandsschulwesen,독일 해외학교 관리처
zbMATH,첸트랄블라트 마트
Riesa,리자
Nationalsozialistischer Untergrund,국가사회주의 지하조직
Bairisch,오스트로바이에른어
Zeithain,자이틴
Zentralfriedhof Friedrichsfelde,프리드리히스펠데 중앙 묘지
Armenisch,아르메니아어
Pankow,팡코구
Grimms Märchen,그림 동화
Armenier in Deutschland,독일에 거주한 아르메니아인
Bahnstrecke Eglisau–Neuhausen,에글리자우-노이하우젠 철도 노선
Artern,아르테른
Tschetschenen,체첸인
Axel Springer SE,악셀 스프링거 AG
1. Luftlandedivision,제1공수사단
Berghof,베르그호프
Continental AG,콘티넨탈 AG
U-Bahnhof Viktoria-Luise-Platz,빅토리아루이제플라츠역
Flugzeugkollision von Überlingen,위버링겐 상공 공중 충돌
Henschel & Sohn,헨셸
Gesamtdeutsche Mannschaft,올림픽 독일 연합 선수단
Albaner,알바니아인
KUKA AG,KUKA
Langenscheidt,랑엔샤이트
1. Panzer-Division,제1기갑사단
1. Panzerarmee,제1기갑군
1. Panzerdivision,제1기갑사단
Großer Preis von Deutschland 2008,2008년 포뮬러 원 독일 그랑프리
Europäische Zentralbank,유럽 중앙은행
Martin-Luther-Universität Halle-Wittenberg,할레 비텐베르크 마르틴 루터 대학교
Bundesautobahn 9,아우토반 9호선
Bundesautobahn 10,아우토반 10호선
Abmahnung,정지명령
Bundesautobahn 2,아우토반 2호선
Bundesautobahn 3,아우토반 3호선
Bundesautobahn 1,아우토반 1호선
Bundesautobahn 7,아우토반 7호선
Bundesautobahn 19,아우토반 19호선
Bundesautobahn 5,아우토반 5호선
Ripuarisch,리프아리어
Luxemburgisch,룩셈부르크어
FC Schalke 04,FC 샬케 04
Bundesautobahn 12,아우토반 12호선
Grünwald,그륀발트
Bundesautobahn 15,아우토반 15호선
Lausitz,루사티아
Millennium Tower,밀레니엄 타워
Katharinenkirche,성 카탈리나 교회
Slowenisch,슬로베니아어
Dänisch,덴마크어
Bundesautobahn 17,아우토반 17호선
Bier in Deutschland,독일의 맥주
Griechisch,그리스어
Zoo Leipzig,라이프치히동물원
Deutsch-ukrainische Beziehungen,독일-우크라이나 관계
Städelsches Kunstinstitut,슈테델 미술관
Mitte,미테
Volksempfänger,국민라디오
Zeughaus,초이그하우스
U-Bahn Frankfurt,프랑크푸르트 지하철
Bundesautobahn 21,아우토반 21호선
Bundesautobahn 23,아우토반 23호선
Bundesautobahn 24,아우토반 24호선
Issel,아우더에이설강
Bundesliga 2002/03,푸스발-분데스리가 2002-03
Aserbaidschanisch,아제르바이잔어
BASF SE,바스프
Bad Doberan,바트도베란
Kasachisch,카자흐어
Nollendorfplatz,놀렌도르프 광장
Deutsche Telekom,도이체 텔레콤
U-Bahn München,뮌헨 지하철
Lufthansa,루프트한자
Deutsche Bahn,독일철도주식회사
US Army Europe,미국 유럽-아프리카 육군
Bundesautobahn 29,아우토반 29호선
Bundesautobahn 30,아우토반 30호선
Eurotower,유로타워
Frankfurter Paulskirche,프랑크푸르트 파울 교회
Frankfurt (Main) Ost,프랑크푸르트 동역
Historisches Museum Frankfurt,프랑크푸르트 역사박물관
10. Panzerdivision,제10기갑사단
Frankfurter Allgemeine Zeitung,프랑크푸르터 알게마이네 차이퉁
Deutsche Basketballnationalmannschaft,독일 농구 국가대표팀
Bundesautobahn 28,아우토반 28호선
Bundesautobahn 25,아우토반 25호선
Bundesautobahn 27,아우토반 27호선
Jestetten,예슈테튼
Panzerspähwagen Sd.Kfz. 234,Sd.Kfz. 234
Crytek,크라이텍
Flughafen Berlin-Schönefeld,베를린 쇠네펠트 공항
Eurovision Song Contest 2011,유로비전 송 콘테스트 2011
Metropolregion Rhein-Ruhr,라인-루르 대도시권
35. SS- und Polizei-Grenadier-Division,제35SS경찰척탄병사단
Eberswalde,에베르스발데
Flughafen Berlin-Tempelhof,베를린 템펠호프 공항
Flughafen Berlin-Tegel,베를린 테겔 국제공항
Zaza-Sprache,자자어
Bundesstraße 248a,연방도 제248a호선
Manessische Handschrift,마네세 법전
Waldeck,발데크
Dornier-Werke,도르니에 비행기공장
Gemäldegalerie,베를린 국립회화관
Olympische Winterspiele 1936/Eishockey,1936년 동계 올림픽 아이스하키
Regierungsbezirk Dessau,데사우현
Universität Greifswald,그라이프스발트 대학교
Frankfurt (Main) Hauptbahnhof,프랑크푸르트 중앙역
Hann. Münden,한뮌덴
Focke-Wulf,포케불프
Bundestagswahl 2005,2005년 독일 총선거
Mauser,마우저
Fußball-Weltmeisterschaft 1974,1974년 FIFA 월드컵
Norddeutsches Tiefland,북독일 평원
Hüllhorst,휠호르스트
Munich Re,뮤닉 리
376. Infanterie-Division,제376보병사단
Sennheiser,젠하이저
U-Bahnhof Rüdesheimer Platz,뤼데스하이머 플라츠역
383. Infanterie-Division,제383보병사단
384. Infanterie-Division,제384보병사단
Reinheitsgebot,맥주 순수령
Schlacht bei Lützen,뤼첸 전투
Bildungssystem in Deutschland,독일의 교육
"Frauenkirche, München",프라우엔키르헤
Post Tower,포스트 타워
Europastraße E60,유럽 고속도로 60호선
WWK ARENA,WWK 아레나
Z1,Z1
Zusmarshausen,추스마르스하우젠
Dunlop,던롭 타이어
Landkreis Traunstein,트라운슈타인군
Walpurgisnacht,발푸르기스의 밤
Deutsche Grammophon,도이치 그라모폰
Universität Münster,뮌스터 베스트팔렌 빌헬름 대학교
Metro AG,METRO AG
Haribo,하리보
Blomberg,블롬베르크
Niedersächsisch,서부 저지 독일어
Kriegsverbrechergefängnis Spandau,슈판다우 교도소
Bach,바흐 가문
Deutsche Eishockey Liga,도이치 아이스하키 리가
ProSieben,프로지벤
Oberpfalz,오버팔츠현
Schwaben,슈바벤현
Jugoslawen,유고슬라브인
Eurowings,유로윙스
3. Panzer-Division,제3기갑사단
Unterfranken,운터프랑켄현
Niederbayern,니더바이에른현
Mittelfranken,미텔프랑켄현
ReactOS,ReactOS
Robert Bosch,보쉬
Norddeutscher Rundfunk,북부독일방송
Bernsteinstraße,호박의 길
5. Luftwaffendivision,제5항공사단
Oberfranken,오버프랑켄현
U-Bahnhof Kochstraße,코흐슈트라세역
Oberbayern,오버바이에른현
Beiersdorf AG,바이어스도르프
Europastraße E36,유럽 고속도로 36호선
U-Bahnhof Nürnberger Platz,뉘른베르거 플라츠역
Bundeskunstsammlung,분데스쿤스트삼름룽
Steinheim,슈타인하임
Pelikan Vertriebsgesellschaft,펠리컨 (기업)
Bundesstraße 436,연방도 제436호선
11. Panzergrenadierdivision,제11기갑척탄병사단
Sommer-Paralympics 1972,1972년 하계 패럴림픽
FC Ingolstadt 04,FC 잉골슈타트 04
Staatsbibliothek zu Berlin,베를린 주립도서관
Evangelische Kirche in Deutschland,독일 개신교회
Bad Münstereifel,바트 뭰스터아이펠
Rot Weiss Ahlen,로트 바이스 알렌
Märklin,메르클린
SV Waldhof Mannheim,SV 발트호프 만하임
Neandertal,네안더탈
Gendarmenmarkt,잔다르멘마르크트
Flughafen Hannover,하노버 공항
Zeiss-Großplanetarium,자이스 대형 천체투영관
Stuttgarter Kickers,슈투트가르터 키커스
FC Rot-Weiß Erfurt,FC 로트바이스 에르푸르트
Lufthansa Regional,루프트한자 리저널
Markranstädt,마르크란슈테트
Der Höllensturz der Verdammten,저주받은 이들의 몰락
Westdeutscher Rundfunk,서부독일방송
Rötha,뢰타
Grimma,그리마
Litauer,리투아니아인
Wuppertaler SV,부퍼탈러 SV
Berliner Schloss,베를린궁
St.-Hedwigs-Kathedrale,성 헤드비지스 대성당
Alpina,알피나
Brakel,브라켈
Bundesautobahn 64,아우토반 64호선
Bundesautobahn 37,아우토반 37호선
Bundesautobahn 38,아우토반 38호선
Bundesautobahn 46,아우토반 46호선
Bundesautobahn 48,아우토반 48호선
Atomwaffensperrvertrag,핵확산금지조약
Bundesautobahn 42,아우토반 42호선
Bundesautobahn 43,아우토반 43호선
BMW M,BMW M
Bundesstraße 467,연방도 제467호선
Bundesautobahn 62,아우토반 62호선
Bundesautobahn 31,아우토반 31호선
Bad Rothenfelde,바트로텐펠데
12. Panzerdivision,제12기갑사단
Abchasen,압하스인
Wachtendonk,바히텐동크
Bundesautobahn 67,아우토반 67호선
Bundesautobahn 70,아우토반 70호선
Bundesautobahn 72,아우토반 72호선
Zeitpyramide,시간 피라미드
Haldensleben,할덴슬레벤
V. SS-Freiwilligen-Gebirgskorps,제5SS산악군단
S-Bahn München,뮌헨 S반
Transparency International,국제 투명성 기구
Kochel am See,코헬
Kabardiner,카바르딘인
Löwenbräu,뢰벤브로이
Zwilling J. A. Henckels,츠빌링 J. A 헨켈
Zell (Mosel),첼
Bischofswiesen,비쇼프스비젠
Bundesstraße 304,연방도 제304호선
Wuppertaler Schwebebahn,부퍼탈 슈베베반
Leichlingen,라이힐링겐
Handball-Bundesliga,핸드볼 분데스리가
Landtagswahl in Thüringen 2009,2009년 튀링겐 주의회 선거
Bayerisches Alpenvorland,바이에른 산록지대
Internationales Paralympisches Komitee,국제 패럴림픽 위원회
Panzer-Brigade 150,제150기갑여단
Regnum Teutonicum,독일 왕국
Bahnhof Berlin-Wittenau,베를린 비테나우역
Schlacht bei Breitenfeld,브라이텐펠트 전투
Marksburg,막스부르크성
IPPNW,핵전쟁 방지 국제 의사회
Cham,캄
Kissing,키싱
Zähringer,체링겐가
Bundesamt für Sicherheit in der Informationstechnik,연방정보기술안정청
ADAC,ADAC
Dreiländerbrücke,세 나라 다리
Bundesstraße 305,연방도 제305호선
Bahnhof Potsdam Griebnitzsee,포츠담 그리브니츠제역
Öffa-Wechsel,외파 어음
AFM Records,AFM 레코드
AIDA Cruises,아이다 크루즈
Bitburg,비트부르크
BMW-Motorrad,BMW 모토라드
Ergoldsbach,에르골츠바흐
Freiburger Münster,프라이부르크 대성당
Liste der Städte in Deutschland,독일의 인구순 도시 목록
Mannheimer Sternwarte,만하임 천문대
2. Panzerarmee,제2기갑군
Red Bull Arena,레드불 아레나
Bundesstraße 418,연방도 제418호선
Potsdam-Institut für Klimafolgenforschung,포츠담 기후영향연구소
Englischer Garten,영국 정원
Falknerei,매사냥
Vietnamesen,킨족
Sinn,진
Württemberg-Baden,뷔르템부르크바덴주
Erzbistum Freiburg,프라이부르크 대교구
24-Stunden-Rennen auf dem Nürburgring,뉘르부르크링 24시
DTM,독일 투어링카 마스터즈
Wannseebahn,반제선
Mittelgebirgsschwelle,중앙고지대
Schliersee,슐리르제
Tour de Sol,태양광 자동차 경주대회
Schwabing,슈바빙
Marienplatz,마리엔 광장
Tegernsee,타게른제
Deutscher Sparkassen- und Giroverband,독일 저축은행협회
Französischer Dom,프랑스 돔
Ortsteil,오르츠타일
Stunde Null,0시 (1945년)
Deutscher Dom,독일 돔
Bahnhof Berlin Mexikoplatz,베를린 멕시코플라츠역
Bundesstraße 6n,연방도 제6n호선
Traunstein,트라운슈타인
Tokyopop,도쿄팝
Baden,바덴주
