Ocna Sibiului,オクナ・シビウルイ
Castelul Bánffy de la Bonțida,バンフィ城
Siret,シレト
România la Jocurile Olimpice de iarnă din 1994,1994年リレハンメルオリンピックのルーマニア選手団
FC Argeș Pitești,FCアルジェシュ・ピテシュティ
Brad,ブラド
Munții Căliman,カリマニ山脈
Podul Calafat-Vidin,新ヨーロッパ橋
FC Sportul Studențesc București,FCスポルトゥル・ストゥデンツェスク・ブカレスト
Tisa,ティサ
Direcția Națională Anticorupție,ルーマニア国家防犯局
Șvabi,シュヴァーベン人
Mănăstirea Moldovița,モルドヴィツァ修道院
Sânpetru,スンペトル
Valea Nadășului,ファレア・ナダシュルイ
Aeroportul Internațional București Băneasa - Aurel Vlaicu,アウレル・ヴライク国際空港
România la Jocurile Olimpice de iarnă din 1984,1984年サラエボオリンピックのルーマニア選手団
Campionatul European de Fotbal sub 19 ani 2011,UEFA U-19欧州選手権2011
Cetatea Sighișoara,シギショアラ歴史地区
TVR 2,TVR2
CSM Râmnicu Vâlcea,CSMリムニク・ヴィルチャ
CSM Reșița,FCMレシツァ
Concordia Chiajna,CSコンコルディア・キアジナ
Echipa națională de fotbal feminin a României,サッカールーマニア女子代表
Electrecord,エレクトレコード
Liceul Teoretic „Nikolaus Lenau”,ニコラウス・レナウ高校
Selecția Națională,セレクツィア・ナツィオナーラ
Cavnic,カヴニク
Societatea Română de Televiziune,ルーマニア・テレビ
Ținutul Secuiesc,セーケイ地方
Tilișca,ティリシュカ
Stadionul Dinamo,スタディオヌル・ディナモ
Parcul Carol I,カロル1世公園
Pro TV Internațional,Pro TV Internațional
Cultura României,ルーマニアの文化
Jamu Mare,ジャム・マーレ
Prejmer,プレジュメル
TVR Internațional,TVR Internațional
FC Callatis Mangalia,FCカラティス・マンガリア
Jijia,ジジア川
Câmpulung la Tisa,クンプルング・ラ・ティサ
CSF CFR 1933 Timișoara,FC CFRティミショアラ
Politehnica Iași,CSMストゥデンツェスク・ヤシ
Tramvaiul din Iași,ヤシ市電
Rotunda,ロトゥンダ
Orchestra Națională Radio,ルーマニア国立放送交響楽団
Partidul Liberal Democrat,自由民主党
Gazeta Sporturilor,ガゼタ・スポルトゥリロル
Linia M1 a metroului din București,ブカレスト地下鉄M1号線
Lacul Roșu,レッド湖
Stadionul Dr. Constantin Rădulescu,コンスタンティン・ラドゥレスク
Pedeapsa capitală în România,ルーマニアにおける死刑
Moldova-Sulița,モルドバ・スリツァ
Aeroportul Oradea,オラデア国際空港
Balotești,バロテシュティ
drumul european E675,E675号線
Eclipsa totală de Soare din 11 august 1999,1999年8月11日の日食
drepturi LGBT în România,ルーマニアにおけるLGBTの権利
Paralela 45 nord,北緯45度線
Linia M4 a metroului din București,ブカレスト地下鉄M4号線
Centrala Nucleară de la Cernavodă,チェルナヴォダ原子力発電所
Romanian Top 100,ロマニアン・トップ100
transporturile în România,ルーマニアの交通
România Sub-21,U-21サッカールーマニア代表
Echipa națională de volei masculin a României,バレーボールルーマニア男子代表
Tramvaiul din Ploiești,プロイエシュティ市電
Tramvaiul din Oradea,オラデア市電
Întreprinderea de Autocamioane Brașov,ロマン (自動車メーカー)
Catedrala Mitropolitană din Timișoara,三成聖者大聖堂
FC Botoșani,FCボトシャニ
Universitatea „Dunărea de Jos”,ガラツィ大学
FCM Dunărea Galați,FCMドゥナレア・ガラツィ
Jetix Play,ジェティックスプレイ
H!T Music Channel,H!T Music Channel
Vișeu,ヴィシェウ川
Biserica Sfântul Nicolae din Brașov,聖ニコラエ聖堂
Parcul Național Cozia,コジア国立公園
Cotroceni,コトロチェニ
Echipa națională de volei feminin a României,バレーボールルーマニア女子代表
Rugby în România,ルーマニアのラグビーユニオン
Forțele Terestre Române,ルーマニア陸軍
Castelul Pelișor,ペレシュ城
FCM Câmpina,FCMクンピナ
Strâmtura,ストルムトゥラ
Aeroportul Internațional „Ștefan cel Mare” Suceava,スチャヴァ空港
Șirna,シルナ
Crasna,クラースナ川
Mănăstirea Putna,プトナ修道院
Măgurele,マグレレ
România în al Doilea Război Mondial,第二次世界大戦下のルーマニア
Brațul Sulina,スリナ川
Tramvaie în București,ブカレスト市電
Troesmis,トロエミス
Realitatea TV,Realitatea TV
Groupama,グルパマ
Stadionul Gaz Metan,スタディオヌル・ガズ・メタン
FC Petrolul Ploiești,FCペトロルル・プロイェシュティ
Stadionul Municipal Sibiu,スタディオヌル・ムニチパル
Muzeul Național de Artă al României,ルーマニア国立美術館
viticultura în România,ルーマニアワイン
Renașterea națională a României,1848年の革命
U TV,U TV
Brațul Chilia,キリア川
Stadionul Ilie Oană,スタディオヌル・イリエ・オアナ
Fotbalul în România,ルーマニアのサッカー
sportul în România,ルーマニアのスポーツ
MediaPro Music,メディアプロ・ミュージック
Ministerul Culturii,文化省 (ルーマニア)
Stadionul Tineretului,ティネレトゥルイ・スタジアム
Lisa,リサ
drumul european E577,E577号線
drumul european E673,E673号線
drumul european E87,E87号線
Trambulina Valea Cărbunării,ラシュノフ・ジャンプ競技場
Agenția Spațială Română,ルーマニア宇宙局
drumul european E671,E671号線
drumul european E68,E68号線
FCM Târgoviște,FCMトゥルゴヴィシュテ
Bihor Oradea,FCビホル・オラデア
FC Onești,FCMディナモ・オネシュティ
Electroputere,エレクトロプテレ
Frontiera între România și Serbia,ルーマニア・セルビア国境
Zborul 371 al TAROM,タロム航空371便墜落事故
Lupii București,ルーマニアン・ウルブズ
Mănăstirea Radu Vodă,ラドウ・ヴォダ修道院
Mănăstirea Tismana,ティスマナ修道院
"Vârful Negoiu, Munții Făgăraș",ネゴイウ山
Aeroportul Internațional Satu Mare,サトゥ・マーレ国際空港
Tramvaiul din Botoșani,ボトシャニ市電
Partidul Național Român din Ungaria și Transilvania,ルーマニア国民党
drumul european E581,E581号線
Bistreț,ビストレッツ
CSA Steaua București,CSAステアウア・ブクレシュティ
Stadionul Emil Alexandrescu,スタディオヌル・エミル・アレクサンドレスク
Șcheii Brașovului,シュケイ
Federația Română de Rugby,ルーマニアラグビー連盟
Societatea de Transport București,ブカレスト交通公団
Stadionul Ion Oblemenco,スタディオヌル・ヨン・オブレメンコ
"Tratatul de la București, 1916",ブカレスト条約
Islamul în România,ルーマニアのイスラム教
Muzeul Național de Istorie Naturală „Grigore Antipa”,国立自然史博物館
județul Hotin,ホティン県
OTV,OTV (ルーマニア)
Parcul Natural Balta Mică a Brăilei,バルタ・ミカ・ア・ブライラ自然公園
Parcul Natural Munții Maramureșului,マラムレシュ山地国立公園
Armata a 4-a Română,第4軍 (ルーマニア軍)
Holocaustul în România,ルーマニアにおけるホロコースト
Ferar Cluj,コロジュヴァーリAC
Stadionul Giulești - Valentin Stănescu,スタディオヌル・ジュレシュティ＝ヴァレンティン・スタネスク
Partidul Socialist Român,ルーマニア社会党
Aeroportul Internațional Arad,アラド国際空港
demografia României,ルーマニアの人口統計
Mănăstirea Antim,アンティム修道院
Cârța,カルツファルヴァ村またはカルツ村
Senatul României,元老院
Frontul Plugarilor,耕民戦線
Bod,ボド
Biharia,ビハリア
Aninoasa,アニノアサ
Aeroportul Internațional Craiova,クラヨーヴァ
Aeroportul Internațional Iași,ヤシ国際空港
Închisoarea Sighet,シゲト刑務所
Piața Revoluției,革命広場
Tratatul de la Craiova,クラヨヴァ協定
Colonești,コロネスティ
Constituția României,ルーマニア憲法
drumul european E771,E771号線
Universitatea Națională de Arte București,ブカレスト国立芸術大学
Universitatea Politehnica Timișoara,ティミソアラ工科大学
Aeroportul Internațional Timișoara - Traian Vuia,トライアン・ヴイア国際空港
FC Dinamo II București,ディナモ・ブカレストⅡ
Negri,ネグリ
Universitatea Politehnica din București,ブカレスト工科大学
Universitatea Transilvania din Brașov,トランシルバニア大学
Șimian,エールシェムイェーン
Serviciul Român de Informații,ルーマニア情報庁
Ordinul Virtutea Aeronautică,航空有功勲章騎士十字章
Aeroportul Internațional Maramures,Baia Mare 空港
Tinca,ティンカ
Palatul Mogoșoaia,モゴショア宮殿
Catedrala Patriarhală din București,ルーマニア総主教座大聖堂
Închisoarea Doftana,ドフタナ刑務所
Fratelia,フラテリア
Ministerul Apărării Naționale,国防省 (ルーマニア)
Universitatea „Alexandru Ioan Cuza” din Iași,アレクサンドル・ヨアン・クザ大学
Uda,ウダ (ルーマニア)
Nat Geo People,ナットジオ ピープル
Frontiera între Republica Moldova și România,モルドバとルーマニアの国境
Ofensiva Armatei României în Transilvania în 1916,トランシルヴァニアの戦い
Podișul Moldovei,モルダヴィア高原
Ilia,イリア
Vulcan,ヴルカン
Bogdan Vodă,ボグダン・ヴォダ
Dobrogea de Nord,北ドブルジャ
Palatul Crețulescu,クレツレスク宮殿
Festivalul Internațional „Cerbul de Aur”,チェルブル・デ・アウル国際音楽祭
Casa Presei Libere,カーサ・プレセイ・リベレ
Societatea Română de Radiodifuziune,ルーマニアラジオ放送協会
Universitatea „Ovidius” din Constanța,オビディウス大学
Timișoara Saracens,SCMラグビー・ティミショアラ
Vulcan,ヴルカン
Coloana Infinitului,無限柱
Bătălia pentru București,ブカレストの戦い
vlax romani,ワラキア方言群
Ordinul Mihai Viteazul,ミハイ勇敢公勲章
Prislav,ペレヤスラヴェツ
Cutremurul din 1940,Mw7.7の地震
Scînteia,スクンテイア
Centrul Civic,チェントルル・チヴィク
Mormântul Ostașului Necunoscut din București,無名戦士の墓
Aeroportul Internațional Caransebeș,カランセベシュ空港
Tramvaiul din Brăila,ブライラ市電
Tramvaiul din Reșița,レシツァ市電
"Alegeri prezidențiale în România, 2004",2004年ルーマニア大統領選挙
Linia M5 a metroului din București,ブカレスト地下鉄M5号線
Romula,ロムラ
Festivalul Internațional de Film Transilvania,トランシルバニア国際映画祭
Insula Peuce,ペウス島
"Ministerul Dezvoltării, Lucrărilor Publice și Administrației",国家地方開発・地方政府省
Ministerul Afacerilor Interne,インターネット省
Ministerul Educației,ルーマニア教育省
Săliște,サリシュテ
Școala Națională de Studii Politice și Administrative,ルーマニア国立政治行政大学
Partidul Conservator,保守党
Servtrans,セルブトランス
Muzeul Militar Național,国立軍事博物館（ルーマニア）
Stadionul Arcul de Triumf,スタディオヌル・アルクル・デ・トリウンフ
Mănăstirea Dealu,デアル修道院
Tramvaiul din Arad,アラド市電
Regia Autonomă de Transport Oradea O.T.L.,オラデア地域交通
Mănăstirea Racovița,ラコビカ修道院
Echipa națională de baschet a României,バスケットボールルーマニア代表
Holt,ホルト
Mănăstirea Chiajna,キアジュナ修道院
Pasul Huta,フタ峠
Avioane Craiova,I.R.Av クラヨーヴァ
Coandă-1910,コアンダ=1910
Surdila-Greci,スルディラ＝グレチ
Bahlui,バフルイ川
Snagov,スナゴヴ
Jilava,ジラヴァ
"Alegeri locale în România, 2012",2012年ルーマニア地方選挙
Ziua Națională a României,統一記念日
Remetea Chioarului,レメテア・キオアルルイ
Dunărea Giurgiu,FCドゥナレア・ジュルジュ
Tărtăria,タルタリア
Brațul Sfântul Gheorghe,スフント・ギョルゲ川
Filmul românesc,ルーマニアの映画
FC Drobeta-Turnu Severin,FCドロベタ＝トゥルヌ・セヴェリン
Forțele Navale Române,ルーマニア海軍
Biserica de lemn din Șurdești,シュルデシュティの木造教会
Lacul Morii,モリイ湖
Transcarpatia,カルパティア・ルテニア
Mănăstirea Nicula,ニクラ修道院
Podul Anghel Saligny,アンゲル・サリグニ橋
Lacul Razim,ラジム湖
Liga a III-a,リーガ3
Prima TV,Prima TV
Tramvaiul din Craiova,クラヨーヴァ市電
Corvinul Hunedoara,FCコルヴィヌル・フネドアラ
SuperLiga,リーガ・ナツィオナーラ・デ・ラグビー
Curtea Constituțională a României,ルーマニア憲法裁判所
Jandarmeria Română,ルーマニア国家憲兵隊
"Alegeri generale în România, 1990",1990年ルーマニア総選挙
Aeroportul Internațional „George Enescu” Bacău,バカウ
FC Delta Tulcea,FCデルタ・トゥルチャ
Cupa României la fotbal,クパ・ロムニエイ
Teatrul Național „Ion Luca Caragiale”,ブカレスト国立劇場
Rocar,ロカー
FC Tractorul Brașov,FCトラクトルル・ブラショヴ
Frontiera între România și Ungaria,ハンガリー・ルーマニア国境
Frontiera între România și Ucraina,ルーマニアとウクライナの国境
Tâncăbești,トゥンカベシュティ
Mănăstirea Curtea de Argeș,クルテア・デ・アルジェシュ聖堂
Crăciun în România,ルーマニアのクリスマス
Cultura Cucuteni,ククテニ文化
Coroana de Oțel,鋼の王冠
Petrom,ペトロム
Catedrala Evanghelică din Sibiu,シビウ福音教会
Parlamentul României,ルーマニアの議会
Opera Națională București,ルーマニア国立歌劇場（ブカレスト）
regele României,ルーマニア国王
Frontul Salvării Naționale,救国戦線評議会
Partidul Național-Țărănesc,国民農民党
drumul european E583,E583号線
Histria,ヒストリア遺跡
Jurnalul Național,ジュルナルル・ナツィオナル
Linia M2 a metroului din București,ブカレスト地下鉄M2号線
Ungheni,ウンゲニ
Salina Turda,サリーナ・トゥルダ
Universitatea Națională de Muzică București,ブカレスト国立音楽大学
Parcul Național Domogled - Valea Cernei,ドモグレッド＝ヴァレア・チェルネイ国立公園
România la Jocurile Olimpice de iarnă din 1968,1968年グルノーブルオリンピックのルーマニア選手団
Politica României,ルーマニアの政治
Stadionul Dan Păltinișanu,スタディオヌル・ダン・パルティヌシャヌ
Afumați,アフマツィ
"Alegeri prezidențiale în România, 2000",2000年ルーマニア大統領選挙
Piața Universității,大学広場 (ブカレスト)
Râmnicelu,ルムニチェル
paralela de 44º latitudine nordică,北緯44度線
Clinceni,クリンチェニ
Târnava Mare,トゥルナヴァ・マーレ川
Megamax,メガマックス
Mihai Eminescu,イポテシュティ
Borcea,ボルチャ
Canalul Dunăre-București,ドナウ・ブカレスト運河
Liga a IV-a,リーガ4
Strada Lipscani,リプスカニ
Podișul Dobrogei,ドブロジャ高原
Fly Project,フライ・プロジェクト
Repedea,レペデア
Sălățig,シラージセグ村
România la Jocurile Olimpice de iarnă din 2002,2002年ソルトレークシティオリンピックのルーマニア選手団
Mitoc,ミトク
Alegeri generale în România,1937年の選挙
Partidul Socialist al Muncii,社会主義労働者党 (ルーマニア)
Marca,マルカ
Lisa,リサ
gara Brașov,ブラショフ駅
Academia Ștefan Gheorghiu,シュテファン・ゲオルギウアカデミー
Cochirleanca,コキルレアンカ
Horia,ホリア
Grădina Zoologică din Timișoara,ティミショアラ動物公園
Padeș,パデシュ
șantinerul naval din Galați,ガラツィ造船所
Horia,ホリア
Universitatea de Medicină și Farmacie „Grigore T. Popa” din Iași,ヤシ医科薬科大学
Pănătău,パナタウ
Bătălia de la Mărăști,マラシュティの戦い
Parcul Natural Porțile de Fier,鉄門自然公園
Sectorul 2,セクトール2 (ブカレスト)
Frontiera între Bulgaria și România,ブルガリア＝ルーマニア国境
Ronișoara,ロニショアラ川
Antena 3 CNN,Antena 3 CNN (ルーマニア)
Biserica Adormirea Maicii Domnului din Borzești,ボルゼシュティ聖堂
Găgești,ガジェシュチ
Linia M3 a metroului din București,ブカレスト地下鉄M3号線
Bătălia de la Oituz (1917),第三次オイトゥズ戦争
Bătălia de la Mărășești in 1999,マラシェスティの戦い
Frontul Democrat al Salvării Naționale,民主救国戦線
U Mobitelco Cluj,CSウニヴェルシタテア・クルジュ＝ナポカ
1 Decembrie 1918,1918年12月1日駅
2009 în România,2009年のルーマニア
Universitatea Națională de Educație Fizică și Sport,ルーマニアスポーツアカデミー
Codrii Vlăsiei,ヴラシエイの森
Tătarii din România,ルーマニアのタタール人
Piața Victoriei,勝利広場 (ブカレスト)
ArcelorMittal Galați,ガラツィ製鉄所
Mănăstirea Sinaia,シナヤ修道院
„U” Olimpia Cluj,FCU オリンピア・クルージュ
CSM Știința Baia Mare,CSMシュティインツァ・バヤ・マーレ
CSM Volei Alba Blaj,CSMヴォレイ・アルバ・ブラジ
Recensământul populației din 2002 (România),2002年ルーマニア国勢調査
Cimitirul Ghencea,ゲンチャ墓地
Pop Ivan,ピップ・イヴァン
Prima bătălie de la Târgu Frumos,第一次トゥルグ・フルモス攻防戦
Biserica Sfânta Treime din Sighișoara,至聖三者大聖堂
Calea Victoriei,ヴィクトリエイ通り
Grivița,グリヴィツァ
Ministerul Sănătății,厚生省
Ministerul Agriculturii și Dezvoltării Rurale,農業・農村開発相
Săpânța,サプンツァ川
ACS Daco-Getica București,ユヴェントス・ブカレスト
Religia în România,ルーマニアの宗教
Roton,ロトン
Fraterna Unio din 1437,三カ国連合
Bata,バタ
Dealul Mitropoliei,ミトロポリエイ丘
Semlac,セムラク
Belia,ベリア川
Divizia 1 Infanterie,第1歩兵師団
CS Dinamo București (rugby),CSディナモ・ブクレシュティ
2011 în România,2011年のルーマニア
2012 în România,2012年のルーマニア
Berea în România,ルーマニアのビール
Aeroportul Alexeni,アレクセニ飛行場
Metroul ușor din București,41号線
Problema basarabeană,ルーマニア・ソビエト連邦関係におけるベッサラビア
Partidul Țărănesc din Basarabia,ベッサラビア農民党
2013 în România,2013年のルーマニア
ACS Foresta Suceava,ACSフォレスタ・スチャヴァ
Linia M6 a metroului din București,ブカレスト地下鉄M6号線
Palatul Telefoanelor din București,電話局
DAC,ディーゼル・オート・カミオン
DDTV,DDTV
Dunărea Călărași,AFCドゥナレア・カララシ
Bârnaru,ヒガ川
ASC Corona Brașov,ASCコロナ・ブラショフ
Politehnica Timișoara,SSポリテフニカ・ティミショアラ
CS Sportul Snagov,CSスポルトゥル・スナゴヴ
Transhumanță,移牧
Antena Stars,Antena Stars
Antena Internațional,Antena Internațional
Daewoo Mangalia Heavy Industries,マンガリア造船所
Alfa Omega TV,Alfa Omega TV
Ansamblul sculptural Constantin Brâncuși de la Târgu-Jiu,無限柱
CF Liberty Salonta,CFリバティ・オラデア
Bârjaba,ブルジャバ川
gara Arad,アラド中央駅
Aerostar Bacău,CSアエロスタル・バカウ
Academica Clinceni,FCアカデミカ・クリンチェニ
CS Minerul Motru,CSミネルル・モトル
Tichilești,ティキレシュティ
Școala de Aplicație pentru Forțele Aeriene „Aurel Vlaicu”,アウレル・ヴライク航空学校
Digi24,Digi 24
Apold,アポルト
Colegiul Național Carol I din Craiova,カロル一世国民学校
Parcul Natural Dumbrava Sibiului,シビウ・ドゥンブラヴァ自然公園
Tilișca,ティリシュカ
educația în România,ルーマニアの教育
Industria energetică în România,ルーマニアのエネルギー
Armenii din România,ルーマニアのアルメニア人
Palatul Elisabeta,エリサベータ宮殿
Halmeu,ハルメウ
Budacu de Jos,ビューダック
Horia,ホリア
Armata 1,第1軍
B1 TV,B1 TV
FC Rapid II București,エレクトロマグネティカ
Kanal D România,カナルD (ルーマニア)
Happy Channel,Happy Channel
Ciocârlia,チオカリア
Chindia Târgoviște,AFCキンディア・トゥルゴヴィシュテ
CS Hunedoara,CSフネドアラ
FC Maramureș Universitar Baia Mare,FCマラムレシュ・ウニヴェルシタテア・バヤ・マレ
Inter Olt Slatina,FCオルト・スラティナ
AFC Unirea Slobozia,AFCウニレア・スロボジア
Baia,バイア
Festivalul Internațional de Teatru de la Sibiu,シビウ国際演劇祭
Valea Viilor,ヴァレア・ヴィイロル
Favorit TV,Favorit TV
Grupa montană Iezer-Păpușa-Făgăraș,ファガラシュ山群
Fălciu,ファルチウ県
GSP TV,GSP TV
Patinoarul Galați,ガラツィ・スケーティング・リンク
Tuzla,トゥズラ (コンスタンツァ県)
Stadionul Municipal,スタディオヌル・ムニチパル
Jamu Mare,ジャム・マーレ
Săpânța,サプンツァ
Târgșoru Vechi,トゥルグショル・ベキ
Cartierul Iris din Cluj-Napoca,イリス
Remetea Chioarului,キオアル
drepturile omului în România,ルーマニアの人権
Șimand,シマンド
Groșii Țibleșului,グロシイ・ツィブレシュルイ
Industria României,ルーマニアの産業
Vladimir,ヴラジミル (ゴルジュ県)
Lăpuș,ラプシュ
Biertan,ビエルタン
Național TV,Național TV
N24,Național 24 Plus
Institutul Național de Statistică,国立統計研究所
Partidul Național Liberal-Brătianu,ブラティアヌ派国民自由党
Partidul Național-Socialist,国家社会主義党 (ルーマニア)
Grupa muntoasă Retezat-Godeanu,レテザト山群
Cristian,シビウ
Jiul de Est,ジウル・デ・エスト川
Jiul de Vest,ジウル・デ・ヴェスト川
Liga Apărării Național-Creștine,国家キリスト教擁護同盟
Atid,アティッド
Grup Feroviar Român,フェロビアル・ロマン・グループ
Baza 95 Aeriană „Erou Căpitan Aviator Alexandru Șerbănescu”,第95航空基地 (ルーマニア空軍)
Pro Cinema,Pro Cinema
Ziua Națională de Comemorare a Holocaustului,ホロコーストを追悼する日
Grupul pentru Dialog Social,社会対話の会
Băiuț,ストランブ＝バイウツ
Orman,オルマン川
județele României,ルーマニアの県
Partidul Național Creștin,キリスト教国民党
Baza 57 Aeriană,第57航空基地 (ルーマニア空軍)
Partidul Popular,人民党 (ルーマニア、2005–2006)
Partidul Poporului,人民党
Kiss TV (Romania),Kiss TV (ルーマニア)
Geoparcul Dinozaurilor „Țara Hațegului”,ハツェグ・カントリー・恐竜ジオパーク
sănătatea în România,ルーマニアの医療
Flotila 71 Aeriană,第71航空基地 (ルーマニア空軍)
Flotila 90 Transport Aerian,第90航空輸送基地 (ルーマニア空軍)
Partidul Țărănesc,農民党 (ルーマニア)
Aeroportul Internațional „Delta Dunării” Tulcea,トゥルチャ空港
Rotunda,ロトゥンダ
Stadionul Liberty,リバティ・スタジアム (サロンタ)
Brateiu,シビウ県
Băla,バラ (ムレシュ県)
Șeica Mică,シビウ県
Transportul feroviar în România,ルーマニアの鉄道
Balș,バルシュ
Bârnova,ブルノバ
Fundația Culturală Română,ルーマニア文化財団
Frontul Românesc,ルーマニア戦線
Noul val românesc,ルーマニア・ニューウェーブ
Societatea Națională de Cruce Roșie din România,ルーマニア赤十字社
Liga Profesionistă de Fotbal,リーガ・プロフェショニスタ・デ・フォトバル
Hodod,ホドド
Complexul expozițional Romexpo,ブカレストセントラルパビリオン
România TV,România TV
Podul Lipcani–Rădăuți-Prut,リプカニ・ラダウツィ橋
Sala Polivalentă din Cluj-Napoca,BTアリーナ
Breaza,ブラーザ
România,ルーマニア
"Alegeri locale în România, 2016",2016年ルーマニア地方選挙
"Alegeri locale în România, 2004",2004年ルーマニア地方選挙
"Alegeri prezidențiale în România, 2014",2014年ルーマニア大統領選挙
SperanțaTV,SperanțaTV
Pro Arena,Pro Arena
Corpurile Voluntarilor Români din Rusia,ルーマニア義勇軍
"alegeri parlamentare în România, 2016",2016年ルーマニア立法選挙
"Alegeri locale în România, 1992",1992年ルーマニア地方選挙
"Alegeri locale în România, 2000",2000年ルーマニア地方選挙
România la Jocurile Olimpice de iarnă din 2014,2014年ソチオリンピックのルーマニア選手団
Echipa națională de fotbal a României sub 23,U-23サッカールーマニア代表
România U19,U-19サッカールーマニア代表
Președinte al Camerei Deputaților din România,ルーマニア代議院議長
președinte al Senatului României,元老院議長
Prima Sport,Prima Sport
Piața Mare din Sibiu,シビウ大広場
Stadionul Marin Anastasovici,スタディオヌル・マリン・アナスタソヴィチ
Valea Prahovei,プラホヴァ谷
prefect,県知事
Ciurea,チュレア
Storojineț,ストロイネツ県
Stadionul Nicolae Dobrin,スタディオヌル・ニコラエ・ドブリン
Locul fosilifer cu dinozauri Sânpetru,スンペトル層
Cele șapte coline ale Iașului,ヤシの七丘
Telesport,Telesport
Comana,コマナ (ジュルジュ県)
Graiul moldovenesc,モルドバ方言
Relațiile româno-moldovene,モルドバとルーマニアの対外関係
The Money Channel,The Money Channel
Alianța Civică,市民連合財団
Troleibuze în București,ブカレスト・トロリーバス
colectivizarea în România,ルーマニアにおける集団化
Opera Română din Cluj,ルーマニア国立歌劇場（クルジュ＝ナポカ）
Câlnic,クルニク
Transferoviar Grup,トランス・フェロビアル・グループ
mass media în România,ルーマニアのメディア
Colegiul Național de Informatică „Tudor Vianu” (București),チューダー・ヴィアヌ国立コンピュータサイエンス高等学校
Grădina Botanică „Alexandru Buia” din Craiova,クラヨーヴァ植物園
Ministerul Tineretului și Sportului (România),スポーツ省
Tramvaiul din Brașov,ブラショフ市電
Tramvaiul din Constanța,コンスタンツァ市電
Cosău,コサウ川
Castelul regal de la Săvârșin,サブルシン城
TVR 3,TVR3
TVR Cultural,TVR Cultural
Corpul Muncitoresc Legionar,軍団労働者隊
Corvin,コルヴィン川
Criminalitatea în România,ルーマニアの犯罪
ACS Poli Timișoara,ACSポリ・ティミショアラ
FilmBox Family,FilmBox Family
Galița,ガリツァ
Bacău,バカウ
Timișoreana,ティミショアレアナ
Cruciada Românismului,ルーマニア主義の十字軍
Rețeaua rutieră din România,ルーマニアの道路
Calea ferată Oravița–Baziaș,オラヴィツァ・バジアシュ鉄道
Maramureș,マラムレシュ
Brad,ブラッド
Vânători de munte,山岳猟兵 (ルーマニア軍)
Muzeul „Astra” din Sibiu,ASTRA国立総合博物館
RC Grivița Roșie București,RCグリヴィツァ
Valea Iazului,イアズ川
Golineasa,ゴーライネアサ
Goruna,ゴルーナ
Opera Națională Română Iași,ルーマニア国立歌劇場（ヤシ）
Mausoleul de la Mărășești,マラシェシュティ廟
Energia eoliană în România,ルーマニアの風力発電
Arhitectura în România,ルーマニアの建築
ACS FC Olt Slatina,FCオルト・スラティナ
Colibași,コリバシ
Dara,ダラ
Costinești,コスティネシュティ
Dobridor,ドブリドル
Baia,バヤ
Chilia,チリア
Dudeștii Vechi,ドゥデシュティイ・ヴェキ
Vulcan,ヴルカン
Vinga,ヴィンガ
Obârșia-Cloșani,クロシャニ
Carașova,クラショヴァ人
Maidan,マイダン
Surdila-Găiseanca,スルディラ・グイサンカ
Surdila-Greci,スルディラ＝グレチ
Periprava,ペリプラヴァ
ambasada Ucrainei în România,在ルーマニア・ウクライナ大使館
Șag,シャグ
recensământul populației din 2011 (România),2011年ルーマニア国勢調査
Palatul Cantacuzino (Florești),Cantacuzino（Florești）の
Calea ferată Timișoara–Arad,ティミショアラ - アラド線
Calea ferată Timișoara–Jimbolia–Kikinda,ティミショアラ - キキンダ線
Canaralele de la Hârșova,カナラレレ・デ・ラ・ハルショヴァ
Șiria,シリア (ルーマニア)
"Alegeri locale în România, 1996",1996年ルーマニア地方選挙
Plenița,ドルジュ県
Cat Music,キャット・ミュージック
Tichilești,ティキレシュティ
Aeroportul Utilitar Timișoara,ティミショアラ飛行場
Acasă Gold,Acasă Gold
Chichiș,キキシュ
Pișchia,ピシュキア
Asociația Foștilor Deținuți Politici din România,ルーマニア元政治犯協会
Cetatea Bologa,ボローガ要塞
Augustin,アウグスティン
Bala,バラ (メヘディンチ県)
Aninoasa,アニノアサ
Dona,ドナ
gara Oradea,オラデア駅
Bradu,ブラドゥ
Rotunda,ロトゥンダ
Rotunda,ロトゥンダ
Rotunda,ロトゥンダ
Insula k,K島
Festivalul internațional de film București,ブカレスト国際映画祭
Năsăud,ナサウド郡
Someș,ソメシュ県
Desa,デサ
Roșia Montană,ロシア・モンタナ
Filioara,フィリップオアラ
Partidul Muncitoresc Român,ルーマニア労働者党
Deveselu,デベセル
Călinești,カリネネュティ
Mynele TV,Mynele TV
Gilău,ジラウ
Heci,ヘチ
Podul Minciunilor din Sibiu,うそつき橋
Ezeriș,エゼリシュ
MediaPro Entertainment,メディアプロエンターテインメント
Mooz Ro,Mooz Ro
Horia,ホリア
Horia,ホリア
Peștera Mare de pe Valea Firei,マーレ洞窟
Horia,ホリア
recensământul populației din 1941 (România),1941年ルーマニア国勢調査
Recensământul din 1930,1930年ルーマニア国勢調査
Revista Română,ルーマニアの雑誌
Peștera din Piatra Ponorului,ピアトラ・ポノルルイ洞窟
Peștera și izbucul Izvorul Albastru al Izei,イザの青い泉の洞窟
Grădinari,グレディナリ
Societatea Națională de Radiocomunicații,ルーマニア無線通信協会
Moisei,モイセイ
Taraf TV,Taraf TV
Subcarpați,スブカルパツィ
Lisa,リサ
Trinitas TV,Trinitas TV
Scobâlțeni,スコブルツェニ
