Aachener Dom,아헨 대성당
Regierungsbezirk Arnsberg,아른스베르크현
Arte,아르테
Landkreis Altenkirchen (Westerwald),알텐키르헨군
Jiddisch,이디시어
Bundesautobahn 1,아우토반 1호선
Bundesautobahn 21,아우토반 21호선
Bundesautobahn 23,아우토반 23호선
Bundesautobahn 31,아우토반 31호선
Bundesautobahn 43,아우토반 43호선
Bundesautobahn 46,아우토반 46호선
Bundesautobahn 27,아우토반 27호선
Zaza-Sprache,자자어
Herrenberg,헤렌베르크
European Pressphoto Agency,EPA (통신사)
Hamburger SV,함부르크 SV
Solingen,졸링겐
Donauwörth,도나우뵈르트
DFL-Supercup 2022,DFL-슈퍼컵 2022
Deutsche Bank,도이체 방크
Paderborn,파더보른
Tübingen,튀빙겐
Kleve,클레베
Landkreis Teltow-Fläming,텔토플레밍군
Frankfurt (Oder),프랑크푸르트 (오데르)
Plauen,플라우엔
Kölner Dom,쾰른 대성당
Hof (Saale),호프 (바이에른주)
1. FC Kaiserslautern,1. FC 카이저슬라우테른
Norderney,노르더나이
Sardische Sprache,사르데냐어
Gemeinsame Normdatei,게마인자메 노름다타이
Sorbische Sprache,소르브어
Büsingen am Hochrhein,뷔징겐
Flughafen Düsseldorf,뒤셀도르프 공항
Türken,튀르키예인
Rote Armee Fraktion,적군파 (독일)
U-Bahn-Linie U12 (Berlin),베를린 지하철 12호선
U-Bahn-Linie U6 (Berlin),베를린 지하철 6호선
U-Bahn-Linie U9 (Berlin),베를린 지하철 9호선
Bezirk Reinickendorf,라이니켄도르프구
Fußball-Bundesliga 2007/08,분데스리가 2007-08
Lufthansa Regional,루프트한자 리저널
Märklin,메르클린
St.-Hedwigs-Kathedrale,성 헤드비지스 대성당
Bildungssystem in Deutschland,독일의 교육
Deutsche Eishockey Liga,도이체 아이스하키 리가
U-Bahn München,뮌헨 U반
Europastraße,유럽 고속도로
Garmisch-Partenkirchen,가르미슈파르텐키르헨
10. Panzerdivision (Bundeswehr),제10기갑사단 (독일 연방방위군)
Städelsches Kunstinstitut,슈테델 미술관
Zeiss-Großplanetarium,자이스 대형 천체투영관
Millennium Tower (Frankfurt am Main),밀레니엄 타워 (프랑크푸르트)
Brauerei Beck,벡스 (회사)
Fußball-Bundesliga 2005/06,분데스리가 2005-06
Mecklenburg,메클렌부르크
Olympische Winterspiele 1960/Teilnehmer (Deutschland),1960년 동계 올림픽 독일 연합 선수단
Olympische Winterspiele 1932/Teilnehmer (Deutsches Reich),1932년 동계 올림픽 독일 선수단
Europa-Park,유로파파크
Unterhaltungssoftware Selbstkontrolle,소프트웨어 심의 등급 기관
1st Armoured Division (Vereinigtes Königreich),제1사단 (영국)
Artern,아르테른
Iller,일러강
Isar,이자르강
TSV 1860 München,TSV 1860 뮌헨
FC 08 Homburg,FC 08 홈부르크
Olympische Sommerspiele 2000/Teilnehmer (Deutschland),2000년 하계 올림픽 독일 선수단
Reichstagsgebäude,국가의회 의사당
Universität Leipzig,라이프치히 대학교
Weserstadion,베저슈타디온
Geographie Deutschlands,독일의 지리
Grünenthal (Unternehmen),그뤼넨탈
1. FC Heidenheim,1. FC 하이덴하임
Kuka (Unternehmen),KUKA
U-Bahn Frankfurt,프랑크푸르트 U반
Fußball-Weltmeisterschaft 1974,1974년 FIFA 월드컵
Olympische Winterspiele 1936/Eishockey,1936년 동계 올림픽 아이스하키
Rot-Weiss Essen,로트바이스 에센
Großer Preis von Deutschland 2010,2010년 독일 그랑프리
Medaillenspiegel der Olympischen Winterspiele 1936,1936년 동계 올림픽 메달 집계
Buddy Bär,아름다운 버디베어
Salzach,잘차흐강
AVUS,AVUS
DAX,DAX
Westwall,지크프리트선
Nollendorfplatz,놀렌도르프 광장
Bertelsmann,베르텔스만
Jüdisches Museum Berlin,베를린 유대인 박물관
Tag der Deutschen Einheit,독일 통일의 날
FC Rot-Weiß Erfurt,FC 로트바이스 에르푸르트
Post Tower,포스트 타워
ProSieben,프로지벤
FC Ingolstadt 04,FC 잉골슈타트 04
Internationales Paralympisches Komitee,국제 패럴림픽 위원회
Sternwarte Göttingen,괴팅겐 천문대
Steinheim (Westfalen),슈타인하임
Brabus,브라부스
Museumsinsel (München),박물관섬 (뮌헨)
Skulptur Projekte,뮌스터 조각 프로젝트
Universität Mannheim,만하임 대학교
3. Panzer-Division (Wehrmacht),제3기갑사단 (독일 국방군)
Pelikan Holding,펠리컨 (기업)
Europastraße 36,유럽 고속도로 36호선
Tour de Sol,태양광 자동차 경주대회
Fußball-Bundesliga 2012/13,분데스리가 2012-13
Vogelsberg,포겔스베르크산맥
Marienplatz (München),마리엔 광장
Bayerisches Alpenvorland,바이에른 산록지대
Red Dot Design Award,레드닷 디자인 어워드
Städtisches Stadion an der Grünwalder Straße,그륀발데어 슈타디온
Öffa-Wechsel,외파 어음
S-Bahn Mitteldeutschland,중부독일 S반
Erzbistum München und Freising,가톨릭 뮌헨-프라이징 대교구
Bad Tölz,바트 퇼츠
Infineon,인피니온 테크놀로지스
Fußball-Bundesliga 2003/04,분데스리가 2003-04
Frankfurt-Niederursel,니더우어젤
FSV Zwickau,FSV 츠비카우
Justus-Liebig-Universität Gießen,기센 대학교
NATO-Flugplatz Geilenkirchen,가일렌키르헨 NATO 공군기지
Neoplan,네오플란
Kissing,키싱
Deutsche Reichspartei (1950),독일 국가당 (1950년)
Don Karlos (Schiller),돈 카를로스 (희곡)
Enercon,에네르콘
Stuttgarter Ballett,슈투트가르트 발레단
Altenkirchen (Westerwald),알텐키르헨
Anklam,앙클람
Brest (Niedersachsen),브레스트 (독일)
Preußische Akademie der Wissenschaften,프로이센 과학 아카데미
Toni%26Guy,토니앤가이
Landtagswahl in Rheinland-Pfalz 2011,2011년 라인란트팔츠 주의회 선거
Meiningen,마이닝겐
Dingelstädt,딩겔슈테트
Kronprinzenpalais (Berlin),베를린 왕세자궁
Verwaltungsgliederung Deutschlands,독일의 행정 구역
Regierungsbezirk Magdeburg,마그데부르크현
Westdeutsche Länder,구연방주
Bad Belzig,벨치히
Berliner Ringbahn,베를린 순환선
Berliner Waldbühne,발트뷔네
Oberbefehlshaber West,서부최고지휘관
Schlacht bei Freiberg,프라이베르크 전투
Karl-Marx-Haus,카를 마르크스 생가
Koreaner in Deutschland,재독 한국인
Fehmarnbelt,페마른벨트 해협
Tierpark Hagenbeck,하겐베크 동물원
Fußball-Bundesliga 2000/01,분데스리가 2000-01
Regierungsbezirk Trier,트리어현
Fußball-Bundesliga 1992/93,분데스리가 1992-93
12. Panzer-Division (Wehrmacht),제12기갑사단 (독일 국방군)
Worldcon,월드콘
Bundesministerium der Verteidigung,연방방위부 (독일)
Bundesministerium des Innern und für Heimat,연방내무부 (독일)
Sangerhausen,장거하우젠
Illertissen,일러티센
SG Wattenscheid 09,SG 바텐샤이트 09
Daimler-Benz,다임러-벤츠
Deutsche Staatsangehörigkeit,독일 국적법
FH Münster,뮌스터 응용학문대학
Schlacht bei Lübeck,뤼베크 전투
Stadthagen,슈타트하겐
Europastraße 531,유럽 고속도로 531호선
Hamburg Airways,함부르크 항공
DHL,DHL
Gelnhausen,겔른하우젠
Hersbruck,허스부르크
Außenpolitik der Bundesrepublik Deutschland,독일의 대외 관계
Fußballtrainer des Jahres (Deutschland),독일 올해의 축구 감독
S-Bahn Basel,바젤 S반
U-Bahnhof Blissestraße,블리세슈트라세역
Beeskow,베스코
Escada,에스카다
Dreikönigenschrein,동방 박사 유물함
Gesetzliche Feiertage in Deutschland,독일의 공휴일
Europastraße 52,유럽 고속도로 52호선
Flughafen Saarbrücken,자르브뤼켄 공항
Internationale Filmfestspiele Berlin 2012,제62회 베를린 국제 영화제
Kempinski,켐핀스키
Qimonda,키몬다
Schlacht bei Torgau,토르가우 전투
ISTAF Berlin,ISTAF 육상 대회
Tierpark Berlin,티어파크 베를린
Bundestagswahl 1961,1961년 독일 연방의회 선거
Bundestagswahl 1994,1994년 독일 연방의회 선거
Fils (Fluss),필스강
Leichtathletik-Europameisterschaften 1986,1986년 유럽 육상 선수권 대회
SSV Ulm 1846 (Verein),SSV 울름 1846
Bombardier Traxx,봄바디어 TRAXX
Fußball-Bundesliga 1969/70,분데스리가 1969-70
LexisNexis,렉시스
Miniatur Wunderland,미니어처 분더란트
Robert Koch-Institut,로베르트 코흐 연구소
Eder,에더강
Radio Bremen,라디오 브레멘
Stadt Stolberg (Harz),슈톨베르크 (작센안할트주)
Steinberg Media Technologies,스테인버그
Fußball-Bundesliga 1985/86,분데스리가 1985-86
Nationalpark Schleswig-Holsteinisches Wattenmeer,슐레스비히홀슈타인 바텐메어 국립공원
Europastraße 54,유럽 고속도로 54호선
Bahnhof Berlin Alexanderplatz,베를린 알렉산더플라츠역
Bebelplatz,베벨 광장
Deutsches Theater Berlin,도이체 극장
Fußball-Bundesliga 1971/72,분데스리가 1971-72
Bitburger Brauerei,비트부르거
Carl Walther GmbH,발터 (기업)
Fußball-Bundesliga 1976/77,분데스리가 1976-77
Fußball-Bundesliga 1981/82,분데스리가 1981-82
Anuga,독일 쾰른 국제 식품 박람회
Bad Kötzting,바트쾨츠팅
Symphonieorchester des Bayerischen Rundfunks,바이에른 방송 교향악단
Europastraße 43,유럽 고속도로 43호선
Landespolizei (Deutschland),지방경찰 (독일)
Edeka,에데카
Europaturm,유로파투름
Tourismus in Deutschland,독일의 관광
Ostrach,오스트라흐
Hackescher Markt,하케셔마르크트
NRW.Invest,NRW.INVEST
Deutsche Partei,독일당
Recht Deutschlands,독일의 법
Erdinger Weißbräu,에딩거
BVG-Baureihe HK,BVG HK
Hapag-Lloyd,하파크로이트
Bundesanstalt für Geowissenschaften und Rohstoffe,연방지질자원연구소
Gelbe Seiten,옐로 페이지
Deck13,덱13
Deutsche Weinstraße,독일 포도주의 길
Modern Creation München,모던 크리에이션 뮌헨
Modern Dance,근대 무용
Deutsche Bibelgesellschaft,독일성서공회
Hochschule für Schauspielkunst Ernst Busch,에른스트 부슈 연극예술학교
Gallia Comata,갈리아 코마타
SBB GmbH,SBB 유한회사
Museum für Ostasiatische Kunst (Köln),쾰른 동아시아 박물관
Operation Varsity,바시티 작전
DFB-Supercup 1990,DFB-슈퍼컵 1990
Ecosia,Ecosia
Surplex,Surplex
Dresdner Bank,드레스드너방크
Feldheim (Treuenbrietzen),펠트하임 (트로이엔브리첸)
Hermes Europe,헤르메스 (기업)
Landtagswahl in Thüringen 1999,1999년 튀링겐 주의회 선거
Grenzgänger im Raum Berlin 1948–1961,1948년–1961년 베를린 광역권 통근 문제
Liberale Demokraten,"자유민주당 (독일, 1982년)"
FC Bayern München/Namen und Zahlen,FC 바이에른 뮌헨의 기록과 통계
SK Gaming,SK 게이밍
Kunstsammlung der Universität Göttingen,괴팅겐 대학교 미술관
Kurtrier,트리어 선제후국
Reichstagswahl August 1867,1867년 8월 북독일 국가의회 선거
MetaGer,MetaGer
Deutsch-südkoreanische Beziehungen,한독 관계
Föderalismus in Deutschland,독일의 연방제
Kaufmann (Familienname),카우프만 (성씨)
Flix (Unternehmen),플릭스버스
Airbus Defence and Space,에어버스 디펜스 앤드 스페이스
SSV Ulm 1846,SSV 울름 1846 (축구)
Fußball-Bundesliga 2014/15,분데스리가 2014-15
Kommando Feldjäger der Bundeswehr,연방방위군야전엽병사령부
ESport-Bund Deutschland,독일 e스포츠 연맹
"Wirtschafts- und Handelsbüro Hongkong, Berlin",주베를린 홍콩 경제무역대표부
Landtagswahl in Bayern 2018,2018년 바이에른 주의회 선거
Democracy in Europe Movement 2025,유럽민주화운동
Anschlag in München 2016,2016년 뮌헨 총기 난사 사건
Rundfunkbeitrag,독일의 수신료 징수제
Fipronil-Skandal 2017,2017년 살충제 달걀 파동
DFL-Supercup 2018,DFL-슈퍼컵 2018
Landtagswahl in Thüringen 2024,다음 튀링겐 주의회 선거
Fußball-Bundesliga 2022/23,분데스리가 2022-23
Heilbronn,하일브론
Dortmund,도르트문트
Hemer,헤머
Thüringen,튀링겐주
Halle (Saale),할레
Nürnberg,뉘른베르크
Göttingen,괴팅겐
Gladbeck,글라트베크
Rostock,로스토크
Dachau,다하우
Ems,엠스강
Piratenpartei Deutschland,독일 해적당
Adidas,아디다스
Iserlohn,이절론
Schleswig-Holstein,슐레스비히홀슈타인주
Luxemburgische Sprache,룩셈부르크어
Regierungsbezirk Detmold,데트몰트현
Eschweiler,에슈바일러
Wesel,베젤
Bundesautobahn 28,아우토반 28호선
Eberswalde,에베르스발데
Bundesautobahn 10,아우토반 10호선
Bundesautobahn 3,아우토반 3호선
Slowenische Sprache,슬로베니아어
Erzgebirge,에르츠산맥
Landkreis Oberspreewald-Lausitz,오버슈프레발트라우지츠군
Elmshorn,엘름스호른
Stendal,슈텐달
Armenische Sprache,아르메니아어
Dresden,드레스덴
Herne,헤르네
Hochwasser in West- und Mitteleuropa 2021,2021년 유럽 홍수
Fehmarn,페마른섬
Hameln,하멜른
Landkreis Havelland,하펠란트군
Düren,뒤렌
Eisenhüttenstadt,아이젠휘텐슈타트
Erding,에르딩
Kassel,카셀
Wolfsburg,볼프스부르크
Bundesautobahn 103,아우토반 103호선
Speyerer Dom,슈파이어 대성당
Bottrop,보트로프
Bergisch Gladbach,베르기슈글라트바흐
Witten,비텐
Sandhausen,잔트하우젠
Fußball-Weltmeisterschaft 2006,2006년 FIFA 월드컵
Wilhelmshaven,빌헬름스하펜
MBB/Kawasaki BK 117,MBB/가와사키 BK 117
Rundfunk Berlin-Brandenburg,베를린-브란덴부르크 방송
Kabardinische Sprache,카바르다어
Nord-Ostsee-Kanal,킬 운하
Ruprecht-Karls-Universität Heidelberg,하이델베르크 대학교
Regierungsbezirk Kassel,카셀현
U-Bahn Hamburg,함부르크 U반
Kasachische Sprache,카자흐어
DFB-Pokal,DFB-포칼
Hansa Rostock,FC 한자 로스토크
ZF Friedrichshafen,ZF 프리드리히스하펜 AG
BFC Dynamo,BFC 뒤나모
Nuclear Blast,뉴클리어 블래스트
Schlacht im Hürtgenwald,휘르트겐 숲 전투
Volksempfänger,국민라디오
Wacker Burghausen,SV 바커 부르크하우젠
Messegelände Hannover,하노버 국제전시장
Porsche,포르쉐
Oberfranken,오버프랑켄현
Goldener Bär,황금곰상
Leichtathletik-Weltmeisterschaften 2009,2009년 세계 육상 선수권 대회
Bundesautobahn 48,아우토반 48호선
Bundesautobahn 64,아우토반 64호선
Bundesautobahn 72,아우토반 72호선
FC Bayern München,FC 바이에른 뮌헨
Friesische Sprachen,프리슬란트어
Altbier,알트비어
Aue (Sachsen),아우에
Bundesverfassungsgericht,연방헌법재판소
Freiberg,프라이베르크
Fallschirmjägertruppe (Bundeswehr),강하엽병
Lidl,리들
Neue Wache,노이에 바헤
Saterfriesische Sprache,동프리슬란트어
Werder Bremen,SV 베르더 브레멘
FC St. Pauli,FC 장크트파울리
Die PARTEI,당 (독일)
Regierungsbezirk Leipzig,라이프치히현
Ostdeutsche Eisenbahn,오스트도이치 철도
Signal Iduna Park,지그날 이두나 파르크
Eifel,아이펠
Friedrich-Schiller-Universität Jena,예나 대학교
Humboldt-Universität zu Berlin,베를린 훔볼트 대학교
Schloss Sanssouci,상수시궁
24-Stunden-Rennen auf dem Nürburgring,뉘르부르크링 24시
Zollkriminalamt,관세형사청
Atomwaffensperrvertrag,핵확산방지조약
Handball-Bundesliga,핸드볼 분데스리가
Fokker Dr.I,포커 Dr.I
Volkswagen AG,폭스바겐 그룹
Bezirk Friedrichshain-Kreuzberg,프리드리히스하인크로이츠베르크구
Heinkel He 51,하인켈 He 51
Landtagswahl in Thüringen 2009,2009년 튀링겐 주의회 선거
Zähringer,체링겐가
Flughafen Hannover,하노버 공항
Haribo,하리보
Xanten,크산텐
Führungsakademie der Bundeswehr,독일 합동련합지휘참모대학교
Deutsche Bank Park,도이체 방크 파르크
Deutsche Post AG,도이체 포스트
Herrnhuter Brüdergemeine,모라비아 형제회
Kloster Maulbronn,마울브론 수도원
Technische Universität Dresden,드레스덴 공과대학교
Altes Museum,베를린 구 박물관
Frauenkirche (Dresden),드레스덴 성모교회
Berlin-Marathon,베를린 마라톤
Rock am Ring,록 암 링
Universität Rostock,로스토크 대학교
Scorpions,스콜피언스
Weimarer Verfassung,바이마르 헌법
Deutsche Basketballnationalmannschaft,독일 농구 국가대표팀
Deutsche Bundesbank,독일 연방은행
Schlacht bei Lützen,뤼첸 전투 (1632년)
Springer Science%2BBusiness Media,슈프링어
Alpina Burkard Bovensiepen,알피나
Air Berlin,에어 베를린
Sauer (Mosel),자우어강
Unter den Linden,운터덴린덴
1. Gebirgsdivision (Bundeswehr),제1산악사단 (독일 연방방위군)
Issel (Fluss),아우더에이설강
Eurotower,유로타워 (프랑크푸르트)
Burghausen,부르크하우젠
Gamescom,게임스컴
Red Bull Arena (Leipzig),레드불 아레나 (라이프치히)
Bitburg,비트부르크
Bin Air,빈에어
Friede von Aachen (1668),엑스라샤펠 조약 (1668년)
Konrad-Adenauer-Stiftung,아데나워재단
Erzbistum Freiburg,프라이부르크 대교구
Kölner Karneval,쾰른 사육제
Potsdam-Institut für Klimafolgenforschung,포츠담 기후영향연구소
Unterhaching,운터하힝
Acta Eruditorum,학술기요
Doggerbank,도거 뱅크
Lanxess Arena,랑세스 아레나
Warnemünde,바르네뮌데
Heliotrop (Gebäude),헬리오트롭
Tamron,탐론
BMW Motorrad,BMW 모토라드
SSV Jahn Regensburg,SSV 얀 레겐스부르크
Autobahn (Deutschland),아우토반
Flughafen München-Riem,뮌헨 림 공항
Reiskirchen,라이스키르헨
Élysée-Vertrag,엘리제 조약
Bayerischer Rundfunk,바이에른 방송
Sinn (Uhrenmarke),진 (시계)
International Arctic Science Committee,국제북극과학위원회
Kicker (Sportmagazin),키커 (잡지)
Fußball-Bundesliga 1989/90,분데스리가 1989-90
Max-Planck-Institut für Radioastronomie,막스플랑크전파천문학연구소
Wittenberge,비텐베르게
Arnstadt,아른슈타트
Lutherstadt Eisleben,아이슬레벤
Deutsche Presse-Agentur,Dpa 통신
Deutsche Eishockeynationalmannschaft,독일 아이스하키 국가대표팀
Schlacht bei Großbeeren,그로스베렌 전투
St. Salvator (München),구세주 교회
Ablösungsrecht,대위변제
I. Deutsch-Niederländisches Corps,제1군단 (독일-네덜란드)
Helmstadt,헬름슈타트
Landtagswahl in Baden-Württemberg 2011,2011년 바덴뷔르템베르크 주의회 선거
Kunstsammlung Nordrhein-Westfalen,노르트라인베스트팔렌 미술전시관
Bürgerschaftswahl in Bremen 2011,2011년 브레멘 주의회 선거
Bürgerschaftswahl in Hamburg 2011,2011년 함부르크 주의회 선거
BMW 3er,BMW 3 시리즈
"Hochschule für Musik, Theater und Medien Hannover",하노버 음악연극미디어대학교
Landtagswahl in Schleswig-Holstein 2012,2012년 슐레스비히홀슈타인 주의회 선거
Thalys,탈리스
Niedersächsische Staats- und Universitätsbibliothek Göttingen,괴팅겐 대학 도서관
U-Bahnhof Rohrdamm,로어담역
Bischofsheim (Mainspitze),비쇼프스하임 (헤센주)
Nördlingen,뇌르틀링겐
DELAG,독일 비행선운수 주식회사
Deutsches Historisches Museum,독일 역사박물관
Fußball-Bundesliga 1991/92,분데스리가 1991-92
Lanxess,랑세스
Oberkrämer,오베르크래머
Bahnhof Berlin Zoologischer Garten,베를린 동물원역
Bayerischer Verdienstorden,바이에른 공로장
Berenberg Bank,베렌베르크 은행
Mainzer Dom,마인츠 대성당
Deutscher Film,독일 영화
Lausitzring,유로스피드웨이 라우지츠
Bergen auf Rügen,베르겐아우프뤼겐
Handball-Weltmeisterschaft der Frauen 2017,2017년 세계 여자 핸드볼 선수권 대회
SV Babelsberg 03,SV 바벨스베르크 03
Fußball-Bundesliga 1968/69,분데스리가 1968-69
Fußball-Bundesliga 1986/87,분데스리가 1986-87
Kinzig (Main),킨치히강 (마인강)
Fußball-Bundesliga 1994/95,분데스리가 1994-95
Fußball-Bundesliga 1998/99,분데스리가 1998-99
Fußball-Bundesliga 1965/66,분데스리가 1965-66
Fußball-Bundesliga 1988/89,분데스리가 1988-89
Fußball-Bundesliga 1993/94,분데스리가 1993-94
Staatliche Museen zu Berlin,베를린 박물관
Warsteiner Brauerei Haus Cramer,바르슈타이너
Landsberg am Lech,란츠베르크암레흐
Marktl,마르크틀
Bund Neues Vaterland,신조국동맹
Elternvertretung,학부모 교사 연합회
Bad Schwalbach,바트슈발바흐
Regierungsbezirk Rheinhessen-Pfalz,라인헤센팔츠현
Jako (Unternehmen),자코
Eintracht-Stadion,아인트라흐트슈타디온
Bundesbeauftragter für die Stasi-Unterlagen,연방슈타지기록물처
Kunsthaus Tacheles,타헬레스
U-Bahnhof Halemweg,할렘베크역
U-Bahnhof Haselhorst,하젤호르스트역
Bahnhof Berlin-Wedding,베를린 베딩역
Spiegel-Affäre,슈피겔 사건
Waldorf (Rheinland-Pfalz),발도르프 (라인란트팔츠주)
Wahl des deutschen Bundespräsidenten 2012,2012년 독일 대통령 선거
Friede von Hubertusburg,후베르투스부르크 조약
Hannover Hauptbahnhof,하노버 중앙역
U-21-Fußball-Europameisterschaft 2004,2004년 UEFA U-21 축구 선수권 대회
XL Airways Germany,XL 에어웨이스 독일
Flughafen Dresden,드레스덴 공항
Internationale Vereinigung der ökologischen Landbaubewegungen,세계유기농업운동연맹
Speicherstadt,슈파이허슈타트
Bökelbergstadion,뵈켈베르크 슈타디온
Flughafen Rostock-Laage,로스토크-라게 공항
FC Bayern München (Basketball),FC 바이에른 뮌헨 (농구)
Europastraße 331,유럽 고속도로 331호선
Universität Passau,파사우 대학교
Researchgate,리서치게이트
Kaiser-Wilhelm-Gesellschaft,카이저 빌헬름 협회
Volkswagenwerk Wolfsburg,볼프스부르크 폭스바겐 공장
Philosophenweg (Heidelberg),철학자의 길
Deutsche Forschungsgemeinschaft,독일 연구협회
Europastraße 251,유럽 고속도로 251호선
Trolli,트롤리 (기업)
Bayerisches Polizeimuseum,바이에른 경찰 박물관
DB-Baureihe 420,DB 420
LZ 4,LZ 4
Division Luftbewegliche Operationen,공중기동작전사단
Fußball-Europameisterschaft der Frauen 1995,UEFA 여자 유로 1995
Nomos Glashütte,노모스 글라슈테
Olympische Winterspiele 1994/Teilnehmer (Deutschland),1994년 동계 올림픽 독일 선수단
Reichsmarineamt,국가해군청
Setra,세트라
Bundesinstitut für Berufsbildung,직업 교육 연방 연구소
Bundessicherheitsrat,연방안전보장평의회
Männerparkplatz (Triberg),남성전용 주차공간
Deutsche Zeppelin-Reederei (2001),독일 체펠린 선사
Einsatzflottille 1,제1기동전단
Kampfbund für deutsche Kultur,독일문화투쟁동맹
Etienne Aigner AG,아이그너
Fachhochschule (Deutschland),응용학문대학
Landtagswahl in Niedersachsen 1970,1970년 니더작센 주의회 선거
Reichsbürgerbewegung,라이히스뷔르거 운동
Schadow-Gymnasium,샤도프 김나지움
Landtagswahl in Nordrhein-Westfalen 2017,2017년 노르트라인베스트팔렌 주의회 선거
DFB-Supercup 1994,DFB-슈퍼컵 1994
716. Infanterie-Division (Wehrmacht),제716정지사단
Jagdgeschwader 3 „Udet“,제3전투비행단 우데트
Bundeskanzler (Deutschland),독일의 연방총리
Deutsche Energiewirtschaft,독일의 에너지
Kurköln,쾰른 선제후국
Bahnhof Waldshut,발츠후트역
Neue Normalität,뉴 노멀 (경제)
Pegida,서양의 이슬람화를 반대하는 애국 유럽인
Landtagswahl in Rheinland-Pfalz 2016,2016년 라인란트팔츠 주의회 선거
Wahl des deutschen Bundespräsidenten 2017,2017년 독일 대통령 선거
Landtagswahl in Niedersachsen 2017,2017년 니더작센 주의회 선거
ÖBB Nightjet,나이트젯
Biontech,바이온텍
Olympische Winterspiele 2018/Teilnehmer (Deutschland),2018년 동계 올림픽 독일 선수단
Die blaue Partei,청색당 (독일)
Extinction Rebellion,멸종에의 반란
Braunschweig,브라운슈바이크
Schwerin,슈베린
Ostsee,발트해
Heidelberg,하이델베르크
Flensburg,플렌스부르크
Landkreis Traunstein,트라운슈타인군
Torgau,토르가우
Krefeld,크레펠트
Sendenhorst,젠덴호르스트
Dessau-Roßlau,데사우로슬라우
Lüdenscheid,뤼덴샤이트
Delmenhorst,델멘호르스트
Neuss,노이스
Warnow (Fluss),바르노강
Limburg an der Lahn,림부르크안데어란
Deutsche Mark,독일 마르크
Internationale Raumstation,국제우주정거장
Eintracht Frankfurt,아인트라흐트 프랑크푸르트
Rhein,라인강
Leipzig,라이프치히
Gelsenkirchen,겔젠키르헨
Leverkusen,레버쿠젠
Worms,보름스
Ingolstadt,잉골슈타트
PreZero Arena,라인 네카어 아레나
Anschlag in Hanau 2020,2020년 하나우 총기 난사 사건
DFB-Pokal 2020/21,DFB-포칼 2020-21
Fußball-Bundesliga 2021/22,분데스리가 2021-22
Niederdeutsche Sprache,저지 독일어
Bodensee,보덴호
Offenburg,오펜부르크
Regierungsbezirk Stuttgart,슈투트가르트현
Bundesautobahn 17,아우토반 17호선
Bundesautobahn 2,아우토반 2호선
Bundesautobahn 9,아우토반 9호선
Eurovision Song Contest 2011,유로비전 송 콘테스트 2011
Usedom (Stadt),우제돔 (메클렌부르크포어포메른주)
Flughafen Frankfurt Main,프랑크푸르트암마인 공항
Lüneburg,뤼네부르크
Neubrandenburg,노이브란덴부르크
Greifswald,그라이프스발트
Neu-Ulm,노이울름
Landkreis Dahme-Spreewald,다메슈프레발트군
Neustadt an der Weinstraße,노이슈타트안데어바인슈트라세
Lahr/Schwarzwald,라어
Riesa,리자 (독일)
Griechische Sprache,그리스어
Langenscheidt,랑엔샤이트
Romani,롬어
Bernburg (Saale),베른부르크
Schwaben (Bayern),슈바벤현
Bundesautobahn 62,아우토반 62호선
Siegburg,지크부르크
Tscherkessen,체르케스인
Ketsch (Gemeinde),케치 (독일)
Audi,아우디
Airbus Helicopters,에어버스 헬리콥터
Schlacht bei Jena und Auerstedt,예나-아우어슈테트 전투
Technische Universität Berlin,베를린 공과대학교
Documenta,도큐멘타
Fußball-Bundesliga,분데스리가
Europäische Südsternwarte,유럽 남방 천문대
Saar,자르강
Alemannia Aachen,알레마니아 아헨
Kempten (Allgäu),켐프텐
Herborn,헤르보른
BMW,BMW
Hannover 96,하노버 96
Horch,호르히
Polabische Sprache,폴라브어
.de,.de
Luftwaffe (Bundeswehr),독일 공군
Kanzler von Deutschland,독일의 총리
Cherry (Unternehmen),체리 (회사)
Mauser (Waffenhersteller),마우저
Regnum Teutonicum,독일 왕국
Flughafen Stuttgart,슈투트가르트 공항
Spartakusbund,스파르타쿠스 동맹
Wattenmeer (Nordsee),바덴해
Deutsche,독일인
Charité,샤리테
Borussia-Park,보루시아 파르크
Brücke (Künstlergruppe),브뤼케
Schlösser Augustusburg und Falkenlust,브륄의 아우구스투스부르크성
Staatswappen der Deutschen Demokratischen Republik,동독의 국장
Checkpoint Charlie,체크포인트 찰리
Deutsche Küche,독일 요리
Pommern,포메라니아
Olympische Winterspiele 1936/Teilnehmer (Deutsches Reich),1936년 동계 올림픽 독일 선수단
Albaner,알바니아인
Borussia Mönchengladbach,보루시아 묀헨글라트바흐
U-Bahn-Linie U7 (Berlin),베를린 지하철 7호선
Commerzbank Tower,코메르츠방크 타워
Universität Potsdam,포츠담 대학교
Einbeck,아인베크
Sigmaringen,지크마링겐
1. FC Magdeburg,1. FC 마그데부르크
FIFA-Konföderationen-Pokal 2005,2005년 FIFA 컨페더레이션스컵
Polydor,폴리도르 레코드
Olympische Winterspiele 1936/Ski Alpin,1936년 동계 올림픽 알파인스키
Puma (Sportartikelhersteller),푸마
Bulgaren,불가리아인
Europa-Universität Viadrina,비아드리나 유럽 대학교
Bundestagswahl 2009,2009년 독일 연방의회 선거
Haus Hannover,하노버가
Bezirk Tempelhof-Schöneberg,템펠호프쇠네베르크구
Mitteldeutscher Rundfunk,중부독일방송
Vaalserberg,팔제르베르크
