Pioneer plaque,先驅者鍍金鋁板
"Lehr, North Dakota",莱尔·(北达科他州)
"Oldenburg, Indiana",歐登堡·(印第安納州)
46th Street–Bliss Street station,46街-布利斯街車站
"Albion, Michigan",阿尔比恩·(密歇根州)
"East Richmond Heights, California",東列治文高地·(加利福尼亞州)
"Inkster, North Dakota",英克斯特·(北达科他州)
"Lake Worth Corridor, Florida",沃思湖走廊·(佛羅里達州)
Free Library of Philadelphia,费城自由图书馆
Freedom Plaza,自由广场·(华盛顿哥伦比亚特区)
Getty Oil,蓋蒂石油
"Lisbon, Louisiana",里斯本·(路易斯安那州)
"Norfolk, New York",诺福克·(纽约州)
Santa Fe Depot (San Diego),聖迭戈聖塔菲車站
"Milton, Indiana",米爾頓·(印地安納州)
233rd Street station,233街車站
"Aristocrat Ranchettes, Colorado",阿里斯托克拉特蘭徹茨·(科羅拉多州)
"Reynolds, Indiana",雷諾茲·(印地安納州)
"Derby, Colorado",德比·(科羅拉多州)
"Viborg, South Dakota",维堡·(南达科他州)
"Geddes, South Dakota",格迪斯·(南达科他州)
"Kinderhook, Illinois",肯德胡克·(伊利諾伊州)
"Lorraine, Kansas",洛雷恩·(堪薩斯州)
Los Angeles Railway,洛杉矶铁路
Mount Vernon Square,弗农山广场
"Roselle, Illinois",羅塞爾·(伊利諾伊州)
"Spring Valley Township, Monona County, Iowa",斯普林瓦利鎮區·(愛荷華州莫諾納縣)
"Cherry Valley, California",櫻桃谷·(加利福尼亞州)
"Foresthill, California",森林山·(加利福尼亞州)
"Grandview, Indiana",格蘭德維尤·(印地安納州)
"Mesa, Colorado",梅薩·(科羅拉多州)
Mount Timpanogos Utah Temple,猶他州廷帕諾戈斯山聖殿
"Sterlington, Louisiana",斯特林顿·(路易斯安那州)
Third Avenue–138th Street station,第三大道-138街車站
Air Florida Flight 90,佛罗里达航空90号班机空难
"Alexander, Arkansas",亞歷山大·(阿肯色州)
Blue Line (CTA),芝加哥地铁蓝线
"Brooklyn, Illinois",布魯克林·(伊利諾伊州)
"LaFayette, Georgia",拉法葉·(喬治亞州)
"New Whiteland, Indiana",新懷特蘭·(印地安納州)
Walking Liberty half dollar,行走自由女神半美元
2006 Westchester County tornado,2006年威斯特彻斯特县龙卷风
"McLouth, Kansas",麥克洛斯·(堪薩斯州)
"Carlisle, Kentucky",卡莱尔·(肯塔基州)
General (United States),上将·(美国)
"Kewanna, Indiana",基瓦納·(印地安納州)
"Morrison Bluff, Arkansas",莫里森布拉夫·(阿肯色州)
"Naguabo, Puerto Rico",納瓜沃
"Pawcatuck, Connecticut",波卡塔克·(康乃狄克州)
"Prosperity, South Carolina",繁荣·(南卡罗来纳州)
Television Critics Association,电视评论家协会
"Chignik Lagoon, Alaska",奇格尼克潟湖·(阿拉斯加州)
"Clearlake Oaks, California",克里爾雷克奧克斯·(加利福尼亞州)
"Lower Grand Lagoon, Florida",下大拉貢·(佛羅里達州)
"Woodlawn, Illinois",伍德洛恩·(伊利諾伊州)
Central Park Tower,中央公園塔
"Gifford, South Carolina",吉福德·(南卡罗来纳州)
"Hanalei, Hawaii",哈納利·(夏威夷州)
"Klukwan, Alaska",克盧宛·(阿拉斯加州)
"Kalaheo, Hawaii",卡拉赫奧·(夏威夷州)
"Bellemeade, Kentucky",贝尔米德·(肯塔基州)
Boston Massachusetts Temple,麻薩諸塞州波士頓聖殿
"Jamestown, California",詹姆斯敦·(加利福尼亞州)
"Hanover, Illinois",漢諾弗·(伊利諾伊州)
"New Bedford, Illinois",新貝德福德·(伊利諾伊州)
"Scales Mound, Illinois",斯凱爾斯芒德·(伊利諾伊州)
"Topeka, Illinois",托皮卡·(伊利諾伊州)
"Browning, Illinois",布朗寧·(伊利諾伊州)
"East Brooklyn, Illinois",東布魯克林·(伊利諾伊州)
Sea Org,海洋機構·(山達基)
"Sprague, Connecticut",斯普拉格·(康乃狄克州)
"Kings Beach, California",金斯海灘·(加利福尼亞州)
"Marshallville, Georgia",馬歇爾維爾·(喬治亞州)
NetherRealm Studios,NetherRealm·Studios
Calvin University,加爾文大學·(密歇根州)
"Bryant, South Dakota",布莱恩特·(南达科他州)
"Hessmer, Louisiana",赫斯米尔·(路易斯安那州)
"Iota, Louisiana",洛塔·(路易斯安那州)
"National Academies of Sciences, Engineering, and Medicine",美国国家学院
Siege of Charleston,查爾斯頓圍城戰
"Belknap, Illinois",貝爾納普·(伊利諾伊州)
"Dover, Kentucky",多佛·(肯塔基州)
"New Paris, Indiana",新巴黎·(印地安納州)
"Waterman, Illinois",沃特曼·(伊利諾伊州)
"Bonanza, Arkansas",波南扎·(阿肯色州)
"Pittman, Florida",皮特曼·(佛羅里達州)
"Sun River Terrace, Illinois",森里弗特雷斯·(伊利諾伊州)
"White City, St. Lucie County, Florida",懷特城·(佛羅里達州聖盧西亞縣)
"Formoso, Kansas",福莫蘇·(堪薩斯州)
"Minto, North Dakota",明托·(北达科他州)
Ninth Avenue station,第九大道車站
"Tolna, North Dakota",托尔瑙·(北达科他州)
"Hodge, Louisiana",霍奇·(路易斯安那州)
"Rockport, Indiana",羅克波特·(印地安納州)
"Swansea, South Carolina",斯旺西·(南卡罗来纳州)
"Timmonsville, South Carolina",蒂蒙斯维尔·(南卡罗来纳州)
"Hetland, South Dakota",赫特兰·(南达科他州)
"Lisbon, Connecticut",里斯本·(康乃狄克州)
"North Augusta, South Carolina",北奥古斯塔·(南卡罗来纳州)
"North Utica, Illinois",北尤蒂卡·(伊利諾伊州)
"Fox River Grove, Illinois",福克斯里弗格羅夫·(伊利諾伊州)
"Fults, Illinois",法爾茨·(伊利諾伊州)
"Irwin, Illinois",歐文·(伊利諾伊州坎卡基縣)
"New Haven, Illinois",紐黑文·(伊利諾伊州)
"Wonder Lake, Illinois",溫德湖·(伊利諾伊州)
"Lake Hamilton, Arkansas",漢密爾頓湖·(阿肯色州)
"Lily Lake, Illinois",百合湖·(伊利諾伊州)
"Santa Venetia, California",聖威尼斯·(加利福尼亞州)
"Spillertown, Illinois",斯皮勒敦·(伊利諾伊州)
"Kalihiwai, Hawaii",卡利希懷·(夏威夷州)
Kingston Avenue station,京斯頓大道車站
"Belmont, New York",贝尔蒙特·(纽约州)
"Hernando Beach, Florida",赫爾南多海灘·(佛羅里達州)
Nokia C6-00,诺基亚C6
"Anchor Bay, California",安徹灣·(加利福尼亞州)
"Buchanan, Georgia",布坎南·(喬治亞州)
Cathedral of Christ the King (Atlanta),基督君王主教座堂·(亞特蘭大)
"Center Township, LaPorte County, Indiana",森特鎮區·(印地安納州拉波特縣)
"East Bend Township, Champaign County, Illinois",東本德鎮區·(伊利諾伊州尚佩恩縣)
"Joes, Colorado",喬斯·(科羅拉多州)
"Plymouth, Florida",普利茅斯·(佛羅里達州)
"Temple, Georgia",坦普爾·(喬治亞州)
AIM alliance,AIM联盟
"Ashmore, Illinois",阿什莫爾·(伊利諾伊州)
"Baldwin, Illinois",鮑德溫·(伊利諾伊州)
"Cedar Point, Illinois",錫達波因特·(伊利諾伊州)
Murder trial of O. J. Simpson,辛普森案
EA Orlando,EA·Tiburon
"Bucks Lake, California",巴克斯湖·(加利福尼亞州)
"Farmersburg, Indiana",法默斯堡·(印地安納州)
"Nebo, Kentucky",尼波·(肯塔基州)
"Pinon, Arizona",皮尼翁·(亞利桑那州)
White River National Forest,怀特河国家森林
"Mineral, Illinois",米納勒爾·(伊利諾伊州)
"Naplate, Illinois",納普拉特·(伊利諾伊州)
"Stuckey, South Carolina",罗德尼·-·斯塔基·(南卡罗来纳州)
"Green Oaks, Illinois",格林奧克斯·(伊利諾伊州)
"Mount Auburn, Illinois",芒特奧本·(伊利諾伊州)
"Nelson, Illinois",納爾森·(伊利諾伊州)
"Rock City, Illinois",羅克城·(伊利諾伊州)
"Rossville, Illinois",羅斯維爾·(伊利諾伊州弗米利恩縣)
Allston Street station,奥尔斯顿街站
Baltimore Police Department,巴尔的摩警察局
CNN Business,CNN商业
"Chloride, Arizona",克羅拉德·(亞利桑那州)
ESPN Radio,ESPN广播
"Custer, Idaho",卡斯特·(愛達荷州)
George Washington and Jefferson National Forests,乔治·华盛顿和杰斐逊国家森林
Ochoco National Forest,奥乔科国家森林
Critics' Choice Movie Award for Best Action Movie,評論家選擇電影獎最佳動作電影
Megan's Law,梅根法案
Eye-Fi,Eye-Fi
"Norman Park, Georgia",諾曼公園·(喬治亞州)
"Sardis, Georgia",薩迪斯·(喬治亞州)
"Summit, Illinois",薩米特·(伊利諾伊州)
"Corinth, Kentucky",科林斯·(肯塔基州)
"Hill 'n Dale, Florida",希爾和代爾·(佛羅里達州)
"Spencer, South Dakota",斯宾塞·(南达科他州)
"Vamo, Florida",瓦莫·(佛羅里達州)
"Andrews, South Carolina",安德鲁斯·(南卡罗来纳州)
"Boyette, Florida",博耶特·(佛羅里達州)
"Crossville, Illinois",克羅斯維爾·(伊利諾伊州)
International Spy Museum,华盛顿间谍博物馆
"North Riverside, Illinois",北里弗賽德·(伊利諾伊州)
Beach 105th Street station,海灘105街車站
Burke Avenue station,柏克大道車站
Freeman Street station,自由人街車站
"French Gulch, California",法國峽谷·(加利福尼亞州)
"Midway, Kentucky",米德韦·(肯塔基州)
Racism in the United States,美国种族主义
Saline River (Kansas),萨林河·(堪萨斯州)
"Forest Hills, Kentucky",森林山·(肯塔基州)
"Stonewall, Louisiana",斯通沃尔·(路易斯安那州)
145th meridian west,西经145度线
165th meridian west,西经165度线
Bingham Canyon Mine,賓漢谷銅礦場
"Elloree, South Carolina",埃洛里·(南卡罗来纳州)
Miami-Dade Police Department,邁阿密-戴德縣警察局
"Rome City, Indiana",羅馬城·(印地安納州)
"Bethany, Oregon",贝瑟尼·(俄勒冈州)
Dallas Theological Seminary,达拉斯神学院
MD Helicopters MH-6 Little Bird,MH-6直昇機
National Toxicology Program,美國國家毒物計畫
New York State Legislature,纽约州议会
Solyndra,Solyndra
"Clinton, Dutchess County, New York",克林顿·(达奇斯县)
South Coventry Historic District,南考文垂·(康乃狄克州普查規定居民點)
"Cube Cove, Alaska",立方灣·(阿拉斯加州)
Elliott Bay,埃利奥特湾
Government Center station (MBTA),政府中心站·(波士顿地铁)
"Highgrove, California",海格羅夫·(加利福尼亞州)
Kitsap Peninsula,基萨普半岛
Ogilvie Transportation Center,奧格爾維轉運中心
"Queen Valley, Arizona",昆瓦利·(亞利桑那州)
"Almond, New York",阿蒙德
"Dudley, Georgia",達德利·(喬治亞州)
111 West 57th Street,西57街111号
"Mapleton, Kansas",梅普爾頓·(堪薩斯州)
"Monte Rio, California",蒙特里奧·(加利福尼亞州)
Bluepoint Games,蓝点游戏工作室
"Maurice, Louisiana",莫里斯·(路易斯安那州)
"Mokulēia, Hawaii",莫庫萊亞·(夏威夷州)
"Old Westbury, New York",舊韋斯特伯里·(紐約州)
"Rockmart, Georgia",羅克馬特·(喬治亞州)
"Chimayo, New Mexico",奇馬約
"Pleasant Hill, Sabine Parish, Louisiana",普莱森特希尔·(路易斯安那州)
1926 World Series,1926年世界大賽
2004 American League Championship Series,2004年美国联盟冠军赛
Golf Digest,高尔夫大师
Israel–United States military relations,美以軍事關係
Marlborough-Blenheim Hotel,馬爾博羅-布倫海姆酒店
Pink Line (CTA),芝加哥地鐵粉紅線
Comerica Bank Tower,联信银行大厦
"Montezuma, Kansas",蒙提祖馬·(堪薩斯州)
"Hayden Lake, Idaho",海登湖·(愛達荷州)
"Bureau Junction, Illinois",比羅章克申·(伊利諾伊州)
"New Minden, Illinois",新明登·(伊利諾伊州)
"Rocheport, Missouri",罗什波特
"Cornwall, Connecticut",康沃爾·(康乃狄克州)
"Elgin, North Dakota",埃尔金·(北达科他州)
"Scotland, Connecticut",蘇格蘭·(康乃狄克州)
"Sterling, Connecticut",斯特林·(康乃狄克州)
"Washington, Connecticut",華盛頓·(康乃狄克州)
"Aleneva, Alaska",阿勒內瓦·(阿拉斯加州)
"Algonac, Michigan",阿尔戈纳克·(密歇根州)
"Elizabeth, Indiana",伊莉莎白·(印地安納州)
"Manistee, Michigan",马尼斯蒂
"Fieldon, Illinois",菲爾登·(伊利諾伊州)
"Flemington, Georgia",弗萊明頓·(喬治亞州)
"Mechanicsburg, Illinois",梅坎尼克斯堡·(伊利諾伊州)
"Protection, Kansas",普羅特克申·(堪薩斯州)
1952 Major League Baseball season,1952年美國職棒大聯盟球季
"Baldwin, Georgia",鮑德溫·(喬治亞州)
"Lemmon, South Dakota",莱蒙·(南达科他州)
Little Osage River,小欧塞奇河
"Rushville, Iowa",拉什維爾·(愛荷華州)
"Davenport, North Dakota",达文波特·(北达科他州)
Dixie National Forest,迪克西国家森林
"Glenfield, North Dakota",格伦菲尔德·(北达科他州)
"Kentfield, California",肯特菲爾德·(加利福尼亞州)
"Tolstoy, South Dakota",托尔斯泰·(南达科他州)
"Harrisville, Michigan",哈里斯維爾·(密歇根州)
Kehila Kedosha Janina,加尼納猶太會堂
"Mullins, South Carolina",马林斯·(南卡罗来纳州)
National Symphony Orchestra,國家交響樂團·(美國)
"Lake City, Georgia",萊克城·(喬治亞州)
"North Myrtle Beach, South Carolina",美特尔海滩·(南卡罗来纳州)
"Pomaria, South Carolina",波梅里亚·(南卡罗来纳州)
"Cave Spring, Georgia",洞泉·(喬治亞州)
"Davisboro, Georgia",戴維斯伯勒·(喬治亞州)
Louisburg Square,路易斯堡广场
"McCaysville, Georgia",麥凱斯維爾·(喬治亞州)
Tower Records,淘兒唱片
Continental Express Flight 2574,美国大陆快运2574号班机空难
"Granger, New York",格兰杰·(纽约州)
Kentucky State Capitol,肯塔基州議會大廈
"Lapeer, New York",拉皮尔·(纽约州)
"Mina, New York",米纳
"Pharsalia, New York",法沙利亚
"Bethlehem, New York",伯利恒·(纽约州)
"Parkerfield, Kansas",帕克菲爾德·(堪薩斯州)
"Sterling, New York",斯特灵·(纽约州)
St. Paul's Catholic Church (San Francisco),圣保禄堂·(旧金山)
"Toms Place, California",湯姆斯普萊斯·(加利福尼亞州)
Universities Research Association,大学研究协会
Vermont Street (San Francisco),佛蒙特街
Ventura County Line,文图拉县线
Relativity Media,相对论传媒
"Sky Valley, Georgia",斯凱瓦利·(喬治亞州)
"Stapleton, Nebraska",斯泰普爾頓·(內布拉斯加州)
"Woonsocket, South Dakota",文索基特·(南達科他州)
"Cookeville, Tennessee",庫克維爾·(田納西州)
"Foosland, Illinois",富斯蘭·(伊利諾伊州)
"Justice, Illinois",賈斯蒂斯·(伊利諾伊州)
Ocean Parkway station,海洋公園道車站
Xylem Inc.,赛莱默
"Brownsboro Village, Kentucky",布朗斯伯村·(肯塔基州)
"Crestview, Kentucky",克雷斯特韦·(肯塔基州)
"Edgemont, South Dakota",埃奇蒙特·(南达科他州)
"C-Road, California",C道·(加利福尼亞州)
"Barlow, Kentucky",巴洛·(肯塔基州)
"Citrus Park, Florida",西特拉斯公園·(佛羅里達州)
"Hampshire, Illinois",罕布夏·(伊利諾伊州)
"Mayetta, Kansas",梅耶塔·(堪薩斯州)
"Gleeson, Arizona",格里森·(亞利桑那州)
Intuitive Surgical,直覺手術
11th Armored Cavalry Regiment,美国陆军第11装甲骑兵团
"Fincastle, Kentucky",菲卡斯图·(肯塔基州)
"Raymond, South Dakota",雷蒙德·(南达科他州)
"Tierra Verde, Florida",蒂埃拉弗德·(佛羅里達州)
"Ochopee, Florida",奧喬皮·(佛羅里達州)
Peace dollar,和平银元
Buldir Volcano,布爾迪爾火山
"Camptonville, California",坎普頓維爾·(加利福尼亞州)
"Easton, California",伊斯頓·(加利福尼亞州)
Fort Frances–International Falls International Bridge,弗朗西斯堡-國際瀑布城國際大橋
Franklin Delano Roosevelt Bridge,富兰克林·德拉诺·罗斯福大桥
"Portuguese Flat, California",葡萄牙平原·(加利福尼亞州)
"Batesville, Indiana",貝茨維爾·(印地安納州)
"Newington, Georgia",紐因頓·(喬治亞州)
"Sylvester, Georgia",西爾維斯特·(喬治亞州)
"Bradford, Illinois",布拉德福德·(伊利諾伊州)
"Maunawili, Hawaii",莫納威利·(夏威夷州)
"Rocky Ford, Georgia",羅基福德·(喬治亞州)
"Rosepine, Louisiana",罗斯派恩·(路易斯安那州)
USS Sailfish (SS-192),旗鱼号潜艇·(SS-192)
2010 New York Film Critics Circle Awards,2010年纽约影评人协会奖
Boston Society of Film Critics Awards 2000,第21届波士顿影评人协会奖
"Hoboken, Georgia",霍博肯·(喬治亞州)
"Marengo, Indiana",馬倫戈·(印地安納州)
New York Film Critics Online Awards 2006,第6届纽约在线影评人协会奖
San Diego Film Critics Society Awards 2010,第15届圣地亚哥影评人协会奖
San Diego Film Critics Society Awards 2011,第16届圣地亚哥影评人协会奖
Washington D.C. Area Film Critics Association Awards 2010,第9届华盛顿影评人协会奖
District of Columbia and United States Territories quarters,美国哥伦比亚特区及自治领地25美分纪念币
"Morganfield, Kentucky",摩根菲尔德·(肯塔基州)
Illinois's 4th congressional district,伊利諾州第四國會選區
Metallurgical Laboratory,芝加哥大学冶金实验室
"Queensbury, New York",昆斯伯里·(纽约州)
Quincy station (CTA),昆西站·(芝加哥地鐵)
"Lycan, Colorado",萊肯·(科羅拉多州)
Richard B. Dunn Solar Telescope,鄧恩太陽望遠鏡
United States Army Medical Command,美國陸軍醫療司令部
Utah Railway,猶他鐵路
"Vineland, Colorado",瓦恩蘭·(科羅拉多州)
1953 NBA draft,1953年NBA选秀
1965 NBA draft,1965年NBA選秀
"Brodhead, Kentucky",布罗德黑德·(肯塔基州)
Fresno Yosemite International Airport,弗雷斯诺约塞米蒂国际机场
Great Fire of New York (1776),1776年紐約大火
Working Families Party,工作家庭党
"Mortons Gap, Kentucky",莫顿斯加普·(肯塔基州)
"Wallace, California",華萊士·(加利福尼亞州)
"Hollywood, South Carolina",好莱坞·(南卡罗来纳州)
"Lancaster, New York",兰开斯特·(纽约州)
"Fort Benning South, Georgia",南本寧堡·(喬治亞州)
"Hanna City, Illinois",哈納城·(伊利諾伊州)
"Olmsted, Illinois",奧爾姆斯特德·(伊利諾伊州)
"Pindall, Arkansas",平多爾·(阿肯色州)
"Valley Wells, California",威爾斯谷·(加利福尼亞州)
"Meiners Oaks, California",梅納斯奧克斯·(加利福尼亞州)
Papa John's,棒！约翰
"Pendergrass, Georgia",彭德格拉斯·(喬治亞州)
"Union Point, Georgia",尤尼昂波因特·(喬治亞州)
"Doerun, Georgia",杜倫·(喬治亞州)
"Elk Grove Township, Cook County, Illinois",埃爾克格羅夫鎮區·(伊利諾伊州庫克縣)
"Garfield Township, Jackson County, Kansas",加菲爾德鎮區·(堪薩斯州傑克遜縣)
"Jackson Township, Harrison County, Iowa",傑克遜鎮區·(愛荷華州哈里森縣)
"Liberty Township, Keokuk County, Iowa",利柏提鎮區·(愛荷華州基奧卡克縣)
Ohio Cup,俄亥俄盃
"Otranto, Iowa",奧特蘭托·(愛荷華州)
"Scotch Grove Township, Jones County, Iowa",斯科奇格羅夫鎮區·(愛荷華州瓊斯縣)
"Yucca, Arizona",尤卡·(亞利桑那州)
"Bloomfield, Kentucky",布卢姆菲尔德·(肯塔基州)
"Du Bois, Illinois",杜波伊斯·(伊利諾伊州)
International Union of Basic and Clinical Pharmacology,国际基础药理学与临床药理学联合会
"Springville, California",史普林維爾·(加利福尼亞州)
Academy of Art University,旧金山艺术大学
"Franklin, Delaware County, New York",富兰克林·(特拉华县)
"North Terre Haute, Indiana",北特雷霍特·(印地安納州)
"Ellis, Kansas",埃利斯·(堪薩斯州)
"Huron, Kansas",休倫·(堪薩斯州)
"Littleport, Iowa",利特爾波特·(艾奧瓦州)
Ohio State University Airport,俄亥俄州立大学机场
Thanksgiving (United States),感恩节·(美国)
"Fort Oglethorpe, Georgia",奧格爾索普堡·(喬治亞州)
"Garfield, Georgia",加菲爾德·(喬治亞州)
"Lucerne Valley, California",盧塞恩山谷·(加利福尼亞州)
MLS Cup 2008,2008年美国足球大联盟杯
"Winterhaven, California",溫特哈芬·(加利福尼亞州)
Carmike Cinemas,卡麦克院线
CNN Türk,有线电视新闻网土耳其语频道
"Gibsland, Louisiana",吉布斯兰·(路易斯安那州)
Hudson Institute,哈德遜研究所
"Schuyler Falls, New York",斯凯勒福尔斯
Space Coast,太空海岸
Montague Island (Alaska),蒙塔古島·(阿拉斯加州)
John Paul Jones Arena,约翰·保罗·琼斯竞技场
"Pringle, South Dakota",普林格尔·(南达科他州)
"Waterloo (village), New York",滑铁卢村·(纽约州)
Artemis 1,阿提米絲1號
Appian Way Productions,亞壁古道影業
"Clifford, Indiana",克里福德·(印地安納州)
Bally's %26 Paris station,百利與巴黎站
Battle of Roanoke Island,羅諾克島之役
Battle of Short Hills,矮山戰役
Baylor College of Medicine,貝勒醫學院
"Bishop Hill, Illinois",比肖普山·(伊利諾伊州)
"Viera West, Florida",西維埃拉·(佛羅里達州)
"Westport, Oklahoma",西港·(俄克拉何馬州)
WYPR,WYPR
"Claremont, South Dakota",克莱蒙特·(南达科他州)
"Heath Springs, South Carolina",希思泉·(南卡罗来纳州)
"St. Francis, South Dakota",圣弗朗西斯·(南达科他州)
Breeders' Cup Classic,育馬者盃經典大賽
California Caverns,長毛象洞·(加利福尼亞州)
"Logan, New Mexico",洛根·(新墨西哥州)
"Maine Township, Linn County, Iowa",緬因鎮區·(愛荷華州林縣)
"Rochester, Iowa",羅徹斯特·(愛荷華州)
"York Township, Steuben County, Indiana",約克鎮區·(印地安納州斯托本縣)
"Washington Township, Jackson County, Iowa",華盛頓鎮區·(愛荷華州傑克遜縣)
"Essex, Illinois",埃塞克斯·(伊利諾伊州)
"Hutsonville, Illinois",哈特森維爾·(伊利諾伊州)
"Jericho, Arkansas",傑里科·(阿肯色州)
"Kasigluk, Alaska",卡斯古魯克·(阿拉斯加州)
"Cambridge, Kentucky",剑桥·(肯塔基州)
"South Beach, Florida",南海灘·(佛羅里達州)
Willis Avenue Bridge,威利斯大道橋
"Butte County, South Dakota",布尤特縣·(南達科他州)
Delancey Street/Essex Street station,德蘭西街／埃塞克斯街車站
Avenue I station,I大道車站
Avenue M station,M大道車站
Genius (company),Genius·(網站)
Yakima SunDome,雅基马太阳穹顶球馆
WWE Music Group,世界摔角娛樂唱片公司
"Hope, Arizona",霍普·(亞利桑那州)
"June Lake Junction, California",六月湖交匯處·(加利福尼亞州)
"Middle Amana, Iowa",中阿馬納·(愛荷華州)
2007–08 San Antonio Spurs season,2007–08·圣安东尼奥马刺赛季
2011–12 San Antonio Spurs season,2011–12·圣安东尼奥马刺赛季
2003 Major League Baseball season,2003年美國職棒大聯盟球季
Avenue U station (BMT Brighton Line),U大道車站·(BMT布萊頓線)
"Clear Lake, Illinois",克利爾萊克·(伊利諾伊州)
"Emery, South Dakota",埃默里·(南达科他州)
"Williamsburg, Kansas",威廉斯堡·(堪薩斯州)
"August, California",奧古斯特·(加利福尼亞州)
Bowery station,布利車站
Church Avenue station (BMT Brighton Line),教堂大道車站·(BMT布萊頓線)
Franklin Avenue/Botanic Garden station,富蘭克林大道／植物園車站
"Sidney, Illinois",悉尼·(伊利諾州)
"Butler, South Dakota",巴特勒·(南达科他州)
"Concord, Illinois",康科德·(伊利諾伊州)
"Larkfield-Wikiup, California",拉克菲爾德-威基阿普·(加利福尼亞州)
"Memphis, Indiana",孟菲斯·(印地安納州)
Questia Online Library,Questia
"Cataula, Georgia",卡托拉·(喬治亞州)
Office of Thrift Supervision,儲蓄機構管理局
"Pauoa, Hawaii",波奧亞·(夏威夷州)
S.T.A.R. Labs,星辰实验室
Seattle Washington Temple,華盛頓州西雅圖聖殿
St. Paul Minnesota Temple,明尼蘇達州聖保羅聖殿
Temple Lot,圣殿基地
Working People's Party (Puerto Rico),劳动人民党·(波多黎各)
Luby's shooting,露比餐廳槍擊案
Ko Olina Resort,奧利納度假村
Redlands California Temple,加利福尼亞州雷德蘭茲聖殿
"Wailea, Hawaii",懷勒亞·(夏威夷州)
1985 American League Championship Series,1985年美國聯盟冠軍賽
"4S Ranch, California",4S牧場·(加利福尼亞州)
"Aguila, Arizona",阿吉拉·(亞利桑那州)
"Idalia, Colorado",艾達利亞·(科羅拉多州)
Mount Douglas (Alaska),道格拉斯火山
"Mount Meigs, Alabama",芒特梅格斯·(阿拉巴馬州)
"Ripley, California",里普利·(加利福尼亞州)
SandForce,SandForce
"Sargents, Colorado",薩金茨·(科羅拉多州)
1920 World Series,1920年世界大賽
1974 National League Championship Series,1974年國家聯盟冠軍賽
1979 National League Championship Series,1979年國家聯盟冠軍賽
1986 American League Championship Series,1986年美國聯盟冠軍賽
1986 National League Championship Series,1986年國家聯盟冠軍賽
1987 American League Championship Series,1987年美國聯盟冠軍賽
1991 National League Championship Series,1991年國家聯盟冠軍賽
1992 American League Championship Series,1992年美國聯盟冠軍賽
1993 American League Championship Series,1993年美國聯盟冠軍賽
Maryland Terrapins,马里兰大学淡水龟队
College Park–University of Maryland station,学院公园-马里兰大学站
North Park University,北帕克大學
Sullivan Square station,沙利文广场站
Travelers Tower,旅行家大厦
"United States v. Paramount Pictures, Inc.",合众国诉派拉蒙影业公司案
University of Wisconsin–Whitewater,威斯康星大學白水分校
4th Psychological Operations Group,美國陸軍第4心理作戰群
Douglas Island,道格拉斯岛
Detroit Observatory,底特律天文台
Hollywood String Quartet,好萊塢弦樂四重奏團
1976 World Series,1976年世界大賽
"Marcelline, Illinois",馬賽琳·(伊利諾伊州)
U.S. Route 117,117号美国国道
Archaeology (magazine),考古學·(雜誌)
Khmers Kampuchea-Krom Federation,下柬埔寨高棉人联合会
Old Bethel United Methodist Church,卫理公会老伯特利堂·(查尔斯顿)
Church of St. Mary the Virgin (Manhattan),圣马利亚堂·(纽约)
GeoEye,地球之眼卫星公司
"Healy, Kansas",希利·(堪薩斯州)
St. Nicholas of Myra Church (Manhattan),圣尼古拉教堂·(曼哈顿)
Aquarium station (MBTA),水族馆站·(波士顿地铁)
University of Massachusetts Dartmouth,马萨诸塞大学达特茅斯分校
Ipiutak site,伊皮尤塔克文化
"Kellerville, Illinois",凱勒維爾·(伊利諾伊州)
"Kingston, Adams County, Illinois",金斯頓·(伊利諾伊州亞當斯縣)
"Mililani Mauka, Hawaii",米利拉尼莫卡·(夏威夷州)
"Ocean Pointe, Hawaii",縉皇居·(夏威夷州)
"Lake Alpine, California",阿爾派恩湖·(加利福尼亞州)
Lexington Cemetery,莱克星顿公墓
American Conservative Union,美國保守派聯盟
American Legislative Exchange Council,美国立法交流委员会
"Clymer, New York",克莱默·(纽约州)
Equal Employment Opportunity Commission,公平就业机会委员会
"North Norwich, New York",北诺威奇
"Green Mountain, Iowa",格林芒廷·(愛荷華州)
Kingsport (Lovecraft),金斯波特·(洛夫克拉夫特)
The Daily Dot,The·Daily·Dot
USA Sevens,美國國際七人欖球賽
"Blount Springs, Alabama",布朗特斯普林斯·(阿拉巴馬州)
"Corner, Alabama",科納·(阿拉巴馬州)
"German, New York",杰曼·(纽约州)
"Hanover, New York",汉诺威·(纽约州)
Jackson Square station,杰克逊广场站
"Jurupa Valley, California",朱鲁帕谷
"Preble, New York",普雷布尔
"Stockton, Georgia",斯托克頓·(喬治亞州)
"Boulevard, California",布爾瓦德·(加利福尼亞州)
"Famoso, California",費莫索·(加利福尼亞州)
"Forest Ranch, California",福里斯特牧場·(加利福尼亞州)
"Guinda, California",櫻桃·(加利福尼亞州)
"Santa Nella, California",聖內拉·(加利福尼亞州)
"Upper Lake, California",上湖·(加利福尼亞州)
63rd Drive–Rego Park station,63徑-雷哥公園車站
American Alpine Club,美國高山俱樂部
Critics' Choice Movie Award for Best Comedy,評論家選擇電影獎最佳喜劇電影
Primetime Emmy Award for Outstanding Guest Actress in a Comedy Series,黃金時段艾美獎喜劇類影集最佳客串女演員
"Eastvale, California",东谷·(加利福尼亚州)
