Dortmund,ドルトムント
Air Berlin,エア・ベルリン
Landkreis Verden,フェルデン郡
Landkreis Aurich,アウリッヒ郡
Heidekreis,ハイデクライス郡
Landkreis Rotenburg (Wümme),ローテンブルク（ヴュンメ）郡
Christian-Albrechts-Universität zu Kiel,キール大学
Dornier Do 17,Do 17
Spartakusbund,スパルタクス団
Burg Hohenzollern,ホーエンツォレルン城
Entartete Kunst,退廃芸術
VfL Bochum,VfLボーフム
Heinade,ハイナーデ
Landkreis Grafschaft Bentheim,グラーフシャフト・ベントハイム郡
Landkreis Osnabrück,オスナブリュック郡
Steinway & Sons,スタインウェイ・アンド・サンズ
Reichenau,ライヒェナウ島
Husum,フースム
Landkreis Leer,レーア郡
Landkreis Emsland,エムスラント
Gaiberg,ガイベルク
Landkreis Wittmund,ヴィットムント郡
Landkreis Friesland,フリースラント郡
Landkreis Celle,ツェレ郡
Trierer Dom,トリーア大聖堂
Werbach,ヴェルバッハ
VfB Stuttgart II,VfBシュトゥットガルトII
Energie Cottbus,エネルギー・コットブス
Fußball-Weltmeisterschaft der Frauen 2011,2011 FIFA女子ワールドカップ
Friedrichstadt,フリードリヒシュタット
Landkreis Wesermarsch,ヴェーザーマルシュ郡
Landkreis Oldenburg,オルデンブルク郡
Heinkel He 162,ハインケルHe162
Welthauptstadt Germania,世界首都ゲルマニア
BayArena,バイ・アレーナ
Wieskirche,ヴィースの巡礼教会
Affalterbach,アファルターバッハ
Bayer 04 Leverkusen,バイエル・レバークーゼン
Naumburger Dom,ナウムブルク大聖堂
Kreis Olpe,オルペ郡
Landkreis Diepholz,ディープホルツ郡
Märkischer Kreis,メルキッシャー郡
Fürst-Pückler-Park Bad Muskau,ムスカウ公園
Würzburger Residenz,ヴュルツブルクのレジデンツ
Teutoburger Wald,トイトブルクの森
Landkreis Vechta,フェヒタ郡
Landkreis Cloppenburg,クロッペンブルク郡
Europastraße,欧州自動車道路
Landkreis Nienburg/Weser,ニーンブルク/ヴェーザー郡
Region Hannover,ハノーファー広域連合
Kreis Soest,ゾースト郡
Landkreis Schaumburg,シャウムブルク郡
Königssee,ケーニヒス湖
Pariser Platz,パリ広場
Landkreis Hameln-Pyrmont,ハーメルン＝ピルモント郡
Landkreis Holzminden,ホルツミンデン郡
Rheinzabern,ラインツァーバーン
Vierschanzentournee,スキージャンプ週間
Himmelsscheibe von Nebra,ネブラ・ディスク
DFL-Supercup,DFBスーパーカップ
Jüdisches Museum Berlin,ベルリン・ユダヤ博物館
Isar,イザール川
Verdienstorden der Bundesrepublik Deutschland,ドイツ連邦共和国功労勲章
Wittighausen,ヴィッティヒハウゼン
Efringen-Kirchen,エフリンゲン＝キルヒェン
Huy,ヒュー
Friesen,フリース人
Hochsauerlandkreis,ホッホザウアーラント郡
Landkreis Ammerland,アンマーランド
Bundesliga 2010/11,ドイツ・ブンデスリーガ2010-2011
Holstein,ホルシュタイン
Landkreis Peine,パイネ郡
Landkreis Helmstedt,ヘルムシュテット郡
Bundesliga 2011/12,ドイツ・ブンデスリーガ2011-2012
Mecklenburg,メクレンブルク
Benningen am Neckar,ベニンゲン・アム・ネッカー
Bärnau,ベールナウ
Löbau,レーバウ
List auf Sylt,リスト
Olympische Sommerspiele 1972/Basketball,1972年ミュンヘンオリンピックのバスケットボール競技
Fokker Dr.I,フォッカー Dr.I
Hallig,ハリゲン諸島
Landkreis,ラントクライス
Brauerei Beck,ベックス・ブルワリー
Bach-Collegium Stuttgart,シュトゥットガルト・バッハ・コレギウム
Banteln,バンテルン
Bertelsmann,ベルテルスマン
Merck,メルク
Freudental (Steinbachtal),フロイデンタール
Korntal-Münchingen,コルンタール＝ミュンヒンゲン
International Federation of Robotics,国際ロボット連盟
Die Bremer Stadtmusikanten,ブレーメンの音楽隊
Fußgönheim,フースゲンハイム
Altrip,アルトリップ
Landkreis Northeim,ノルトハイム郡
Altmarkkreis Salzwedel,アルトマルク・ザルツヴェーデル郡
Landkreis Börde,ベルデ郡
Hermersberg,ヘルマースベルク
Sundern (Sauerland),ズンデルン
Universität Hamburg,ハンブルク大学
Kandern,カンデルン
Carmina Burana,カルミナ・ブラーナ
Zittau,ツィッタウ
Ellern,エレン
Kreuztal,クロイツタール
Landkreis Göttingen,ゲッティンゲン郡
Landkreis Goslar,ゴスラー郡
Lindwedel,リントヴェーデル
Höheischweiler,ヘーハイシュヴァイラー
Landkreis Wolfenbüttel,ヴォルフェンビュッテル郡
Landkreis Hildesheim,ヒルデスハイム郡
Kreis Siegen-Wittgenstein,ジーゲン＝ヴィトゲンシュタイン郡
Erdmannhausen,エルトマンハウゼン
Puma SE,プーマ
Rot-Weiß Oberhausen,SCロートヴァイス・オーバーハウゼン
Goethe-Institut,ゲーテ・インスティトゥート
Bückeburg,ビュッケブルク
Bremm,ブレム
Bissersheim,ビッサースハイム
Ditzingen,ディッツィンゲン
Mehren,メーレン (ドイツ)
Deutsches Zentrum für Luft- und Raumfahrt,ドイツ航空宇宙センター
FSV Frankfurt,FSVフランクフルト
Kindenheim,キンデンハイム
Erpolzheim,エアポルツハイム
Landkreis Harz,ハルツ郡
Landkreis Jerichower Land,イェリヒョウアー・ラント郡
Landkreis Anhalt-Bitterfeld,アンハルト＝ビッターフェルト郡
Remseck am Neckar,レムスエック・アム・ネッカー
Bockenheim an der Weinstraße,ボッケンハイム・アン・デア・ヴァインシュトラーセ
Ebertsheim,エバーツハイム
Die Zeit,ディー・ツァイト
Landkreis Wernigerode,ヴェルニゲローデ郡
Landkreis Bernburg,ベルンブルク郡
Winnweiler,ヴィンヴァイラー
Haus Hannover,ハノーヴァー朝
Frauenkirche,聖母教会
Rothenburg/O.L.,ローテンブルク/オーバーラウジッツ
Dörrenbach,デルレンバッハ
Pergamonmuseum,ペルガモン博物館
Gerolsheim,ゲーロルスハイム
Großkarlbach,グロースカールバッハ
Landkreis Weißenfels,ヴァイセンフェルス郡
Landkreis Köthen,ケーテン郡
Landkreis Aschersleben-Staßfurt,アシャースレーベン＝シュタスフルト郡
Landkreis Halberstadt,ハルバーシュタット郡
Kallstadt,カルシュタット
Sternberg,シュテルンベルク
Landkreis Mansfeld-Südharz,マンスフェルト＝ズュートハルツ郡
Saalekreis,ザーレ郡
Gaienhofen,ガイエンホーフェン
Ense,エンゼ
Oberriexingen,オーバーリークシンゲン
Sersheim,ゼルスハイム
Landkreis Wittenberg,ヴィッテンベルク郡
Salzlandkreis,ザルツラント郡
Randersacker,ランダースアッカー
Burgenlandkreis,ブルゲンラント郡
Steinheim an der Murr,シュタインハイム・アン・デア・ムル
Deutsche Bank Park,ヴァルトシュタディオン
Böhmerwald,ベーマーの森
2. Frauen-Bundesliga,女子サッカー・2. ブンデスリーガ
Neues Museum,新博物館
Ingersheim,インゲルスハイム
Külsheim,キュルスハイム
Landkreis Mansfelder Land,マンスフェルダー・ラント郡
Landkreis Uckermark,ウッカーマルク郡
Focke-Wulf Fw 200 Condor,Fw 200
Deutsche Zentrumspartei,中央党
Dessau-Wörlitzer Gartenreich,デッサウ・ヴェルリッツの庭園王国
Kirn,キルン
Erligheim,エルリヒハイム
Landkreis Gifhorn,ギフホルン郡
Landkreis Stendal,シュテンダール郡
Waldfischbach-Burgalben,ヴァルトフィッシュバッハ＝ブルガルベン
Abtei und Altenmünster des Klosters Lorsch,ロルシュ修道院
Tag der Deutschen Einheit,ドイツ統一の日
Niederstetten,ニーダーシュテッテン
Lauda-Königshofen,ラウダ＝ケーニヒスホーフェン
Unterhaltungssoftware Selbstkontrolle,ソフトウェア事前審査機構
Technische Universität München,ミュンヘン工科大学
Möglingen,メークリンゲン
Tauberbischofsheim,タウバービショフスハイム
Bode-Museum,ボーデ博物館
Eberdingen,エーバーディンゲン
Landkreis Oberhavel,オーバーハーフェル郡
Landkreis Ostprignitz-Ruppin,オストプリーグニッツ＝ルピーン郡
Dirmstein,ディルムシュタイン
Bayreuther Festspiele,バイロイト音楽祭
Assamstadt,アッサムシュタット
Großrinderfeld,グロースリンダーフェルト
Friede von Frankfurt,フランクフルト講和条約
Landkreis Prignitz,プリーグニッツ郡
Landkreis Schönebeck,シェーネベック郡
Bundestagswahl 2009,ドイツ連邦議会2009年選挙
Zisterzienserabtei Maulbronn,マウルブロン修道院
Reichenbach/O.L.,ライヘンバッハ
1. FC Saarbrücken,1.FCザールブリュッケン
Holstein Kiel,ホルシュタイン・キール
Wacken Open Air,ヴァッケン・オープン・エア
Büsingen am Hochrhein,ビュージンゲン
Deutsche Börse,ドイツ取引所
KFC Uerdingen,KFCユルディンゲン05
Koburger Ehrenzeichen,コブルク章
Landkreis Quedlinburg,クヴェードリンブルク郡
Zittau-Reichenberger Eisenbahngesellschaft,ツィッタウ-ライヒェンベルク鉄道
Landkreis Bitterfeld,ビッターフェルト郡
Ramstein-Miesenbach,ラムシュタイン＝ミーゼンバッハ
Landkreis Barnim,バルニム郡
Landkreis Teltow-Fläming,テルトウ＝フレーミング郡
Ebersburg,エーバースブルク
Landkreis Potsdam-Mittelmark,ポツダム＝ミッテルマルク郡
Soest,ゾースト
Herxheim am Berg,ハークスハイム・アム・ベルク
Kreis Steinfurt,シュタインフルト郡
Besigheim,ベージヒハイム
Landkreis Anhalt-Zerbst,アンハルト＝ツェルプスト郡
Landkreis Spree-Neiße,シュプレー＝ナイセ郡
Landkreis Dahme-Spreewald,ダーメ＝シュプレーヴァルト郡
TSG 1899 Hoffenheim,TSG1899ホッフェンハイム
Speyerer Dom,シュパイアー大聖堂
Landkreis Havelland,ハーフェルラント郡
Stammdienststelle der Bundeswehr,連邦軍基幹業務局
Marktschellenberg,マルクトシェレンベルク
Wickede,ヴィッケデ (ルール)
Regierungsbezirk,ドイツの行政管区
Landkreis Oder-Spree,オーダー＝シュプレー郡
Landkreis Märkisch-Oderland,メルキッシュ＝オーダーラント郡
Spandau,シュパンダウ区
Max-Planck-Gesellschaft,マックス・プランク協会
Landkreis Elbe-Elster,エルベ＝エルスター郡
Kulmbach,クルムバッハ
Commerzbank,コメルツ銀行
Altlußheim,アルトルスハイム
Wiesloch,ヴィースロッホ
Landkreis Oberspreewald-Lausitz,オーバーシュプレーヴァルト＝ラウジッツ郡
Kreis Unna,ウナ郡
Germersheim,ゲルマースハイム
Kreis Borken,ボルケン郡
Kreis Coesfeld,コースフェルト郡
Flughafen Köln/Bonn,ケルン・ボン空港
Deutsche Post AG,ドイツポスト
Fichtelgebirge,フィヒテル山地
Kreis Recklinghausen,レックリングハウゼン郡
Wolfsburg,ヴォルフスブルク城
Bad Dürkheim,バート・デュルクハイム
Großbottwar,グロースボットヴァール
Amoklauf von Winnenden,ヴィネンデン銃乱射事件
Tempelhof-Schöneberg,テンペルホーフ＝シェーネベルク区
Landkreis Merseburg-Querfurt,メルゼブルク＝クヴェーアフルト郡
Konferenz Nationaler Kultureinrichtungen,国立文化機関会議
Ahorn,アホルン
Pergamonaltar,ペルガモンの大祭壇
Steglitz-Zehlendorf,シュテークリッツ＝ツェーレンドルフ区
Oberstenfeld,オーベルステンフェルト
Schopfheim,ショプフハイム
Nettersheim,ネッタースハイム
Stockach,シュトッカッハ
Königheim,ケーニヒハイム
Kreis Gütersloh,ギュータースロー郡
Walldorf,ヴァルドルフ
Tamm,タム
Speyerbach,シュパイアーバッハ
Boxberg,ボックスベルク
Schönau im Schwarzwald,シェーナウ・イム・シュヴァルツヴァルト
Sonnschied,ゾンシート
Norddeutsche Bank,北ドイツ銀行
Haune,ハウネ川
Eberbach,エーバーバッハ
Junge Freiheit,ユンゲ・フライハイト
Altensteig,アルテンシュタイク
"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",パルタイ
Medaillenspiegel der Olympischen Winterspiele 1936,1936年ガルミッシュ・パルテンキルヘンオリンピックのメダル受賞数一覧
Flughafen Frankfurt-Hahn,フランクフルト・ハーン空港
Nassau,ナッサウ
SpVgg Unterhaching,SpVggウンターハヒンク
Technische Universität Dresden,ドレスデン工科大学
Freiberg am Neckar,フライベルク・アム・ネッカー
Weikersheim,ヴァイカースハイム
Bönnigheim,ベニヒハイム
Gerlingen,ゲルリンゲン
Kreis Herford,ヘルフォルト郡
Marbach am Neckar,マルバッハ・アム・ネッカー
GSG 9 der Bundespolizei,GSG-9
St. Michael,ヒルデスハイムの聖マリア大聖堂と聖ミカエル聖堂
Dillingen/Saar,ディリンゲン/ザール
Graben-Neudorf,グラーベン＝ノイドルフ
Treptow-Köpenick,トレプトー＝ケーペニック区
Charlottenburg-Wilmersdorf,シャルロッテンブルク＝ヴィルマースドルフ区
Kreis Viersen,フィールゼン郡
Rhein-Kreis Neuss,ライン・ノイス郡
Landstuhl,ラントシュトゥール
Kreis Mettmann,メットマン郡
kreisfreie Stadt in Deutschland,独立市
Kreis Kleve,クレーヴェ郡
Kreis Heinsberg,ハインスベルク郡
Freudenberg,フロイデンベルク
Grünsfeld,グリュンスフェルト
Ehingen,エーインゲン (ドナウ)
Ilvesheim,イルフェスハイム
Sachsenheim,ザクセンハイム
Igersheim,イガースハイム
Landkreis Nordsachsen,ルトザクセン郡
Bad Gottleuba-Berggießhübel,バート・ゴットロイバ＝ベルクギースヒューベル
Brühl,ブリュール
Kreis Höxter,ヘクスター郡
Kreis Lippe,リッペ郡
Nuclear Blast,ニュークリア・ブラスト
Deidesheim,ダイデスハイム
Annweiler am Trifels,アンヴァイラー・アム・トリフェルス
Kreis Paderborn,パーダーボルン郡
Kusel,クーゼル
Rheinisch-Bergischer Kreis,ライニッシュ＝ベルギッシャー郡
Oberbergischer Kreis,オーバーベルギッシャー郡
Bad Mergentheim,バート・メルゲントハイム
digitalcourage,デジタルカリッジ
Geschwister-Scholl-Preis,ショル兄妹賞
Weil am Rhein,ヴァイル・アム・ライン
Kreis Minden-Lübbecke,ミンデン＝リュベッケ郡
Kreis Wesel,ヴェーゼル郡
Rhein-Sieg-Kreis,ライン＝ジ－ク郡
Rhein-Erft-Kreis,ライン＝エルフト郡
Landkreis Leipzig,ライプツィヒ郡
Landkreis Meißen,マイセン郡
Neues Schloss Herrenchiemsee,ヘレンキームゼー城
Kutschenberg,クッチェンベルク
Klindworth-Scharwenka-Konservatorium,クリントヴォルト＝シャルヴェンカ音楽院
Benediktinerabtei St. Maximin vor Trier,ザンクト・マクシミン修道院
Hessigheim,ヘッシヒハイム
Rockenhausen,ロッケンハウゼン
Wilhelmsfeld,ヴィルヘルムスフェルト
Blankenloch,ブランケンロッホ
Stutensee,シュトゥッテンゼー
Vogtlandkreis,フォクトランド
Erzgebirgskreis,エールツゲビルクスクライス
Stern,シュテルン (雑誌)
Grünstadt,グリューンシュタット
Mitteldeutscher Rundfunk,中部ドイツ放送
Großer Preis von Deutschland 2012,2012年ドイツグランプリ
AEG,AEG
Kandel,カンデル
Landkreis Mittelsachsen,ミッテルザクセン郡
Landkreis Zwickau,ツヴィッカウ郡
Century Media,センチュリー・メディア・レコード
Süddeutsche Zeitung,南ドイツ新聞
Brobergen,ブロベルゲン
Eisenbach (Hochschwarzwald),アイゼンバッハ
Feilitzsch,ファイリッチュ
Friedrichshain-Kreuzberg,フリードリヒスハイン＝クロイツベルク区
Sauer,ザウアー川
Vaihingen an der Enz,ファイインゲン・アン・デア・エンツ
Nd,ノイエス・ドイチュラント
Flughafen Stuttgart,シュトゥットガルト空港
Schwieberdingen,シュヴィーバーディンゲン
Bad Schandau,バート・シャンダウ
politisches System Deutschlands,ドイツの政治
Sächsische Schweiz,ザクセン・スイス・スキンヘッド
Europa-Park,ヨーロッパ・パーク
Olympische Sommerspiele 1972/Fußball,1972年ミュンヘンオリンピックのサッカー競技
Samtgemeinde Himmelpforten,ザムトゲマインデ・ヒンメルプフォルテン
Starnberg,シュタルンベルク
Herrnhuter Brüdergemeinde,モラヴィア兄弟団
Rothschild,ロスチャイルド家
Weisenheim am Sand,ヴァイゼンハイム・アム・ザント
Friedelsheim,フリーデルスハイム
Rieschweiler-Mühlbach,リーシュヴァイラー＝ミュールバッハ
Deutsche Universität für Verwaltungswissenschaften Speyer,シュパイアー行政大学院
Oberrheinische Tiefebene,ライン地溝帯
Iller,イラー川
Kirchheim an der Weinstraße,キルヒハイム・アン・デア・ヴァインシュトラーセ
Fulda,フルダ川
Bahretal,バーレータール
Lingenfeld,リンゲンフェルト
Sammlung Philippi,フィリッピ・コレクション
Wittstock/Dosse,ヴィットシュトック/ドッセ
Neulußheim,ノイルスハイム
Battenberg,バッテンベルク (プファルツ)
Kleinkarlbach,クラインカールバッハ
Wertheim,ヴェルトハイム
Olympische Sommerspiele 1936/Basketball,1936年ベルリンオリンピックのバスケットボール競技
Volleyball bei den Olympischen Sommerspielen 1972,1972年ミュンヘンオリンピックのバレーボール競技
Olympische Sommerspiele 1972/Handball,1972年ミュンヘンオリンピックのハンドボール競技
Brehna,ブレーナ
Marzahn-Hellersdorf,マルツァーン＝ヘラースドルフ区
Landkreis Görlitz,ゲルリッツ郡
Landkreis Sächsische Schweiz-Osterzgebirge,ゼクシッシェ・シュヴァイツ゠オスターツゲビルゲ郡
Bannewitz,バンネヴィッツ
Jungfernstieg,ユングフェルンシュティーク
Hamburg Hauptbahnhof,ハンブルク中央駅
Hohenfels,ホーヘンフェルス
Hamburger Hochbahn AG,ハンブルク高架鉄道
U-Bahn Hamburg,ハンブルク地下鉄
Dohma,ドーマ
Dohna,ドーナ
Gottmadingen,ゴットマディンゲン
Werra,ヴェラ川
Schwäbische Alb,シュヴァーベンジュラ山脈
CeBIT,CeBIT
Beindersheim,バインダースハイム
KZ Ravensbrück,ラーフェンスブリュック強制収容所
Kreis Düren,デューレン郡
Kreis Euskirchen,オイスキルヒェン郡
Ingelheim am Rhein,インゲルハイム・アム・ライン
Walheim,ヴァルハイム
BFC Dynamo,ベルリナーFCディナモ
Kickers Offenbach,キッカーズ・オッフェンバッハ
Ober-Olm,オーバー＝オルム
Queidersbach,クヴァイダースバッハ
Bippen,ビッペン
Sandhausen,ザントハウゼン
Ketsch,ケッチュ
Connichi,Connichi
Sulzbach am Main,ズルツバッハ・アム・マイン
Schifferstadt,シファーシュタット
Dippoldiswalde,ディポルディスヴァルデ
FC St. Pauli,FCザンクトパウリ
Dorfhain,ドルフハイン
Westheim,ヴェストハイム (プファルツ)
Reinickendorf,ライニッケンドルフ区
Taunus,タウヌス山地
Steinen,シュタイネン
Vaalserberg,ファールス山
Lambsheim,ランプスハイム
Lustadt,ルシュタット
Uslar,ウスラー
Technische Universität Chemnitz,ケムニッツ工科大学
Alpine Skiweltmeisterschaft 2011,2011年アルペンスキー世界選手権
Maikammer,マイカンマー
Egg an der Günz,エック・アン・デア・ギュンツ
DFB-Pokal 1970/71,DFBポカール1970-1971
Mickhausen,ミックハウゼン
Ellerstadt,エラーシュタット
Volkertshausen,フォルカーツハウゼン
Pirna,ピルナ
Eigeltingen,アイゲルティンゲン
Orsingen-Nenzingen,オルジンゲン＝ネンツィンゲン
Hundsangen,フンツァンゲン
Pfälzisch,プファルツ語
DM-12 PARM,PARM1地雷
Dörfles-Esbach,デルフレス＝エスバッハ
KZ Oranienburg,オラニエンブルク強制収容所
Dernbach,デルンバッハ (ズュートリヒェ・ヴァインシュトラーセ)
Gohrisch,ゴーリッシュ
Contact Air,コンタクト・エア
Schliengen,シュリーンゲン
Wittelshofen,ヴィッテルスホーフェン
Bahnstrecke Görlitz–Dresden,ゲルリッツ-ドレスデン線
SGS Essen,SGSエッセン
Zeche Zollverein,ツォルフェアアイン炭鉱業遺産群
Bad Laasphe,バート・ラースフェ
Hartmannsdorf-Reichenau,ハートマンスドルフ＝ライヒェナウ
Hilzingen,ヒルツィンゲン
Hohnstein,ホーンシュタイン
Königstein,ケーニヒシュタイン
Leimen,ライメン
Regionalverband Saarbrücken,ザールブリュッケン都市連合
Dürrröhrsdorf-Dittersbach,デュルレールスドルフ＝ディッタースバッハ
Glashütte,グラスヒュッテ
Goethe-Preis der Stadt Frankfurt am Main,ゲーテ賞
Oder-Neiße-Radweg,オーダー＝ナイセ自転車道
Universität Rostock,ロストック大学
Sächsische Porzellanmanufaktur Dresden GmbH,ドレスデン・ポルツェラン
Landkreis Neunkirchen,ノインキルヒェン郡
Landkreis Merzig-Wadern,メルツィヒ＝ヴァーデン郡
Schopp,ショップ (ドイツ)
Merzalben,メルツァルベン
Reinheim,ラインハイム
Mosbach,モースバッハ
Börsborn,ボアスボルン
Raddusch,ラドゥシュ
Jänkendorf,イェンケンドルフ
Frankenstein,フランケンシュタイン (ラインラント＝プファルツ)
Kreischa,クライシャ
Landkreis St. Wendel,ザンクト・ヴェンデル郡
Leichtathletik bei den Olympischen Sommerspielen 1936,1936年ベルリンオリンピックの陸上競技
Olympische Sommerspiele 1972/Leichtathletik,1972年ミュンヘンオリンピックの陸上競技
Hosena,ホズナ
Otterbach,オッターバッハ
Bundesliga 2008/09,ドイツ・ブンデスリーガ2008-2009
Rüstungsbereich,軍備範囲
Waldsee,ヴァルトゼー (プファルツ)
Edesheim,イデスハイム
Weinhübel,ヴァインヒューベル
Pleidelsheim,プライデルスハイム
Bahnstrecke München Hbf–Regensburg Hbf,ミュンヘン - レーゲンスブルク線
Bundesliga 2009/10,ドイツ・ブンデスリーガ2009-2010
Bundesliga 2005/06,ドイツ・ブンデスリーガ2005-2006
Universität Stuttgart,シュトゥットガルト大学
Droemer Knaur,ドレマー・クノール
Saarpfalz-Kreis,ザールプファルツ郡
Landkreis Saarlouis,ザールルイ郡
Rock am Ring,ロック・アム・リング
Siebeldingen,ジーベルディンゲン
Kirchheim am Neckar,キルヒハイム・アム・ネッカー
Herchweiler,ヘルヒヴァイラー
Giekau,ギーカウ
U-Bahnhof Oberwiesenfeld,オーバーヴィーゼンフェルト
Scorpions,スコーピオンズ
Forst an der Weinstraße,フォルスト・アン・デア・ヴァインシュトラーセ
Steinbach am Glan,シュタインバッハ・アム・グラン
Quirnbach,キルンバッハ (クーゼル)
Colonia Claudia Ara Agrippinensium,コロニア・クラウディア・アラ・アグリッピネンシウム
Otterstadt,オターシュタット
Obermoschel,オーバーモシェル
Mühlingen,ミューリンゲン
Europastraße E30,E30号線
Langenbach,ランゲンバッハ (クーゼル)
Armeemarschsammlung,陸軍行進曲集
Ravensburg,ラーベンスブルク
Gemmrigheim,ゲムリヒハイム
Kircheib,キルハイプ
Spee,シュペー家
Lemberg,レムベルク (ドイツ)
Peine,パイネ
Moos,モース
Hessischer Rundfunk,ヘッセン放送
Lutherstadt Wittenberg,ヴィッテンベルク
Häg-Ehrsberg,ヘーク＝エールスベルク
Mundelsheim,ムンデルスハイム
Mühlhausen-Ehingen,ミュールハウゼン＝エヒンゲン
Heidenheim an der Brenz,ハイデンハイム・アン・デア・ブレンツ
Löchgau,レヒガウ
Regierungsbezirk Leipzig,ライプツィヒ県
Regierungsbezirk Chemnitz,ケムニッツ県
Chaos Computer Club,カオス・コンピュータ・クラブ
Bornheim,ボルンハイム
Hauenstein,ハウエンシュタイン
Bauhaus,バウハウス
Elmshorn,エルムスホルン
Borkum,ボルクム島
Haus Schminke,シュミンケ邸
Hemmingen (Württemberg),ヘンミンゲン
Neustadt/Spree,ノイシュタット・アン・デア・シュプレー
Alfred Toepfer Stiftung F. V. S.,アルフレッド・トプファー財団F.V.S.
Audi,アウディ
Frechen,フレッヒェン
Speyer,シュパイアー
Juist,ユイスト島
Neuburg an der Donau,ノイブルク・アン・デア・ドナウ
Kaiser-Wilhelm-Nationaldenkmal,ヴィルヘルム皇帝国民記念碑
Heinkel He 51,ハインケルHe51
Lörrach,レラッハ
Klix,クリックス (グロースドゥブラウ)
Neunkirchen,ノインキルヒェン
Bad Oeynhausen,バート・エーンハウゼン
Lichtenfels,リヒテンフェルス
Frankenthal,フランケンタール
Panketal,パンケタール
Russisch-Orthodoxe Kirche Wiesbaden,聖エリーザベト教会
SAP Arena,SAPアレーナ
Hardtwald,ハルトワルト
Schlenze,シュランツェ川
Museum Folkwang,フォルクヴァンク美術館
Gierskoppbach,ギールスコップバッハ川
Kleve,クレーフェ
Kurfürstendamm,クーアフュルステンダム
Bad Sulza,バート・ズルツァ
Bremen,ブレーメン
Norderney,ノルダーナイ島
Eiskunstlauf-Weltmeisterschaft 1928,1928年世界フィギュアスケート選手権
Regierungsbezirk Dresden,ドレスデン県
Memmert,メンマート島
Lütje Hörn,リュティエ・ヘルン島
Kachelotplate,カヘロトプラーテ島
Deutscher Volleyball-Verband,ドイツバレーボール連盟
Schwerte,シュヴェールテ
Baltrum,バルトルム島
Münchener Secession,ミュンヘン分離派
Allgemeiner Deutscher Fahrrad-Club,一般ドイツ自転車クラブ
Universität Bielefeld,ビーレフェルト大学
Rodenbach,ローデンバッハ
Kyllburg,キルブルク
Langeoog,ランゲオーク島
Herzogenrath,ヘルツォーゲンラート
Flieth-Stegelitz,フリート＝シュテーゲリッツ
Hof,ホーフ
Hardthöhe,ハルトヘーエ
Deutsche Bank,ドイツ銀行
Internationale Filmfestspiele Berlin 1998,第48回ベルリン国際映画祭
Internationale Filmfestspiele Berlin 1997,第47回ベルリン国際映画祭
Donauried,ドナウリード
Germania magna,ゲルマニア
Telefonvorwahl,ドイツの電話番号
Vector Informatik,ベクター・インフォマティック
Straßenbahn Kassel,カッセル市電
Voith,フォイト
Internationale Filmfestspiele Berlin 1999,第49回ベルリン国際映画祭
Sternwarte Sonneberg,ゾンネベルク天文台
Ostalpen,東アルプス山脈
Brüder Horten,ホルテン兄弟
Deutscher Werkbund,ドイツ工作連盟
Nordhessen Arena,カッセル・アイスシュポルトハレ
Institut für Museumsforschung,博物館調査研究所
Das Buddhistische Haus,仏教の家
Bobritzsch-Hilbersdorf,ボプリッチュ＝ヒルバースドルフ
Spiekeroog,スピーケローク島
Wangerooge,ヴァンゲローゲ島
U-Bahn Berlin,ベルリン地下鉄
Checkpoint Charlie,チェックポイント・チャーリー
Rastatt,ラシュタット
Rheda-Wiedenbrück,レーダ＝ヴィーデンブリュック
Flughafen Berlin Brandenburg,ベルリン・ブランデンブルク国際空港
Dülmen,デュルメン
Brühlsche Terrasse,ブリュールのテラス
Bundespräsident,連邦大統領
Singen (Hohentwiel),ジンゲン
Internationale Raumstation,国際宇宙ステーション
Bernau am Chiemsee,バルナウ・アム・キームゼー
Verlagsgruppe Georg von Holtzbrinck,ホルツブリンク出版グループ
Jütland,ユトランド半島
Hennef,ヘンネフ
Niederdeutsch,低地ドイツ語
Waldrohrbach,ヴァルトロアバッハ
Friesisch,フリジア語
Stade,シュターデ
Alsdorf,アルスドルフ
Melle,メレ
Freising,フライジンク
Böblingen,ベーブリンゲン
Sorbisch,ソルブ語
Badenweiler,バーデンヴァイラー
Garmisch-Partenkirchen,ガルミッシュ＝パルテンキルヒェン
Gronau,グローナウ
Erkrath,エルクラート
Deutsche Tourenwagen-Meisterschaft 1991,1991年のドイツツーリングカー選手権
Neuental,ノイエンタール
Semperoper,ゼンパー・オーパー
Neustadt am Rübenberge,ノイシュタット・アム・リューベンベルゲ
Erlau,エアラウ
Weihenstephan,ヴァイエンシュテファン
Susanna und die beiden Alten,スザンナの水浴
Claußnitz,クラウスニッツ
Dorfchemnitz bei Sayda,ドルフケムニッツ
Belgweiler,ベルクヴァイラー
Paulaner,パウラーナー
Bitterfeld-Wolfen,ビッターフェルト＝ヴォルフェン
Allianz-Arena,アリアンツ・アレーナ
Königshain-Wiederau,ヴィーデラウ
Hartmannsdorf,ハートマンスドルフ
Königsfeld,ケーニヒスフェルト
Fußball-Oberliga Rheinland-Pfalz/Saar,オーバーリーガ・ラインラント＝プファルツ/ザール
Nagold,ナーゴルト (都市)
Kalypso Media,カリプソ・メディア
Deutsch-Sowjetischer Grenz- und Freundschaftsvertrag,ドイツ・ソビエト境界友好条約
VfL Osnabrück,VfLオスナブリュック
SC Paderborn 07,SCパーダーボルン07
