Григорий Яковлевич Перельман,グリゴリー・ペレルマン
Вячеслав Петрович Артёмов,ヴャチェスラフ・アルチョーモフ
"Сен-При, Эммануил Францевич",ギョーム・エマニュエル・ギニャール
Олег Григорьевич Макаров,オレグ・マカロフ
Алексей Борисович Миллер,アレクセイ・ミレル
"Мамиашвили, Михаил Геразиевич",ミハイル・マミアシビリ
Яна Фархадовна Батыршина,ヤナ・バテリシナ
Игорь Солопов,イゴール・ソロポフ
Тимур Касимович Зульфикаров,ティムール・ズルフィカーロフ
"Славнов, Сергей Геннадьевич",セルゲイ・スラフノフ
"Колодинский, Игорь Георгиевич",イーゴリ・コロディンスキー
Оксана Владимировна Грищук,オクサナ・グリシュク
Михаил Юрьевич Бирюков,ミハイル・ビリュコフ
Татьяна Евгеньевна Самойлова,タチアナ・サモイロワ
"Романова, Вера Константиновна",ヴェラ・コンスタンチノヴナ
Андрей Донатович Синявский,アンドレイ・シニャフスキー
Светлана Бубненкова,スヴェトラナ・ブブネコヴァ
Инна Александровна Гомес,イナ・ゴメス
Анися Бясыровна Кирдяпкина,アニシャ・キルディアプキナ
"Голубчикова, Юлия Алексеевна",ユリア・ゴルブチコワ
Юко Кавагути,川口悠子
"Минибаев, Виктор Эдуардович",ヴィクトル・ミニバエフ
"Давыдов, Сергей Дмитриевич",セルゲイ・ダビドフ
"Комар, Виталий Анатольевич",ヴィタリー・コーマル
Евгений Максимович Примаков,エフゲニー・プリマコフ
"Никулин, Игорь Юрьевич",イゴール・ニクリン
"Степашкин, Станислав Иванович",スタニスラフ・ステパシュキン
Наталья Юрьевна Рагозина,ナターシャ・ラゴシーナ
"Намашко, Станислав Андреевич",スタニスラフ・ナマシュコ
Валерия Михайловна Сорокина,バレリー・ソロキナ
Алексей Маратович Орлов,アレクセイ・オルロフ (政治家)
"Когуашвили, Гоги Мурманович",ゴギ・コグアシビリ
"Петров, Николай Арнольдович",ニコライ・ペトロフ
"Махов, Билял Валерьевич",ビリャル・マホフ
"Шокуров, Вячеслав Владимирович",ヴャチェスラフ・ショクロフ
Сергей Евгеньевич Воронов,セルゲイ・ボロノフ
"Семёнов, Алексей Анатольевич",アレクセイ・セミョーノフ
"Садур, Нина Николаевна",ニーナ・サドゥール
"Крюков, Николай Вячеславович",ニコライ・クリュコフ
Валерий Золотухин,ヴァレリー・ゾロトキン
Виталий Манский,ヴィタリー・マンスキー
"Чиженко-Фоменко, Юлия Николаевна",ユニア・フォメンコ
Сергей Фирсанов,セルゲイ・フィルサノフ
"Лагутин, Борис Николаевич",ボリス・ラグティン
Александр Дюков,アレクサンドル・デュコフ
"Скурыгин, Герман Анатольевич",ゲルマン・スクリギン
"Лопушанский, Константин Сергеевич",コンスタンチン・ロプチャンスキー
"Алоян, Михаил Суренович",ミーシャ・アロイアン
"Арцутанов, Юрий Николаевич",ユーリイ・アルツターノフ
"Помазан, Евгений Валерьевич",エフゲニー・ポマザン
"Эйфман, Борис Яковлевич",ボリス・エイフマン
"Иоффе, Борис Лазаревич",ボルス・イオッフェ
Борис Львович Фейгин,ボリス・フェイギン
"Зайцев, Борис Михайлович",ボリス・ミハイロヴィッチ・ザイツェフ
Галина Леонидовна Брежнева,ガリーナ・ブレジネヴァ
Тамара Фёдоровна Макарова,タマラ・マカロワ
"Пичкунов, Александр Николаевич",アレキサンダー・ピチュクノフ
Армен Борисович Джигарханян,アルメン・ジガルハンヤン
Семён Могилевич,セミオン・モギレヴィッチ
Олег Витальевич Макаров,オレグ・マカロフ
Леонид Анатольевич Волошин,レオニード・ボロシン
"Климкин, Илья Сергеевич",イリヤ・クリムキン
Анна Григорьевна Достоевская,アンナ・スニートキナ
Елена Николаевна Николаева,エレーナ・ニコラエワ
Ирина Владимировна Кириллова,イリーナ・キリロワ
"Ярошинская, Алла Александровна",アラ・ヤロシンスカヤ
Владимир Борисович Габулов,ウラジーミル・ガブロフ
"Климова, Марина Владимировна",マリナ・クリモワ
Зинаида Степановна Амосова,ジナイダ・アモソワ
"Погорилая, Анна Алексеевна",アンナ・ポゴリラヤ
"Кудухов, Бесик Серодинович",ベシク・クドゥホフ
Юрий Хатуевич Темирканов,ユーリ・テミルカーノフ
Спартак Артурович Гогниев,スパルタク・ゴニエフ
"Степанова, Инна Яковлевна",インナ・ステパノワ
Илона Александровна Броневицкая,イローナ・ブロンヴィッツカヤ
Илья Рашковский,イリヤ・ラシュコフスキー
Георгий Васильевич Свиридов,ゲオルギー・スヴィリードフ
Владимир Викторович Аксёнов,ウラジーミル・アクショーノフ
"Станкина, Ирина Васильевна",イリナ・スタンキナ
Муса Хираманович Манаров,ムサ・マナロフ
Ирина Аллегрова,イリーナ・アレグロワ
Наталья Филимоновна Бестемьянова,ナタリア・ベステミアノワ
Татьяна Андреевна Волосожар,タチアナ・ボロソジャル
Борис Сафарович Эбзеев,ボリス・エブゼーエフ
Александр Валерьевич Радулов,アレクサンドル・ラドゥーロフ
Александр Сергеевич Волчков,アレクサンドル・ヴォルチコフ (1952年生のアイスホッケー選手)
Анна Самохина,アンナ・サモキナ
Владимир Сергеевич Лисин,ウラジーミル・リシン
Владимир Михайлович Зельдин,ウラジーミル・ゼルディン
"Черток, Борис Евсеевич",ボリス・チェルトック
Геннадий Михайлович Стрекалов,ゲンナジー・ストレカロフ
"Дубровин, Борис Анатольевич",ボリス・ドゥブローヴィン
Борис Давидович Белкин,ボリス・ベルキン
Виктор Михайлович Афанасьев,ヴィクトル・アファナシェフ
Леонид Максимович Леонов,レオニード・レオーノフ
Моисей Самуилович Вайнберг,モイセイ・ヴァインベルク
Пётр Борисович Кислов,ピョートル・キスロフ
"Гришин, Евгений Романович",エフゲニー・グリシン
Валерий Викторович Рюмин,ワレリー・リューミン
"Прудников, Александр Александрович",アレクサンドル・プルドニコフ
"Кузнецов, Борис Георгиевич",ボリス・クズネツォフ
Борис Григорьевич Фёдоров,ボリス・フョードロフ
Борис Иванович Тищенко,ボリス・ティシチェンコ
Александр Владимирович Рогожкин,アレクサンドル・ロゴシュキン
Станислав Сергеевич Говорухин,スタニスラフ・ゴヴォルーヒン
Татьяна Толстая,タチヤーナ・トルスタヤ
"Болибрух, Андрей Андреевич",アンドレイ・ボリブルヒ
Виктор Владимирович Ерофеев,ヴィクトル・エロフェーエフ
Леонид Игоревич Маркелов,レオニード・マルケロフ
Александр Александрович Волков,アレクサンドル・ヴォルコフ
Илья Авербух,イリヤ・アベルブフ
"Смолова, Полина Петровна",ポリーナ・スモロヴァ
Иван Тимофеевич Фролов,イワン・フロロフ
"Славникова, Ольга Александровна",オリガ・スラヴニコワ
Сергей Никитич Хрущёв,セルゲイ・フルシチョフ
"Щелканова, Татьяна Сергеевна",タチアナ・シチェルカノワ
"Вирсаладзе, Элисо Константиновна",エリソ・ヴィルサラーゼ
Елена Германовна Водорезова,エレーナ・ボドレゾワ
"Репин, Вадим Викторович",ヴァディム・レーピン
"Рогинский, Арсений Борисович",アルセニー・ロギンスキー
Дмитрий Валерьевич Хохлов,ドミトリー・ホフロフ
"Крючкова, Светлана Валентиновна",スベトラーナ・クリュチコワ
Наталия Николаевна Белохвостикова,ナタリア・ベロフヴォスティコワ
Иван Андреевич Созонов,イヴァン・ソゾノフ
Алексей Васильевич Гордеев,アレクセイ・ゴルデーエフ
Геннадий Иванович Воронов,ゲンナジー・ヴォロノフ
"Рубинштейн, Лев Семёнович",レフ・ルービンシュタイン
"Рушайло, Владимир Борисович",ウラジーミル・ルシャイロ
"Чайковский, Борис Александрович",ボリス・チャイコフスキー
Борис Хмельницкий,ボリス・フメリニツキー
Владимир Познер,ヴラジーミル・ポーズネル
Иван Шведов,イワン・シュヴェドフ
Наталия Ильинична Сац,ナターリャ・サーツ
Наталья Михайлова,ナタリア・ミハイロワ
"Иевлева, Александра Андреевна",アレクサンドラ・イエヴレワ
"Гутман, Наталья Григорьевна",ナターリヤ・グートマン
Вадим Александрович Шипачёв,ワディム・シパチョフ
"Курамагомедов, Заур Исматулаевич",ザウル・クラマゴメドフ
Александр Мамут,アレクサンドル・マムート
Ирина Константиновна Архипова,イリーナ・アルヒポワ
Анна Семенович,アンナ・セメノビッチ
Елизавета Сергеевна Туктамышева,エリザヴェータ・トゥクタムィシェワ
"Дерягин, Борис Владимирович",ボリス・デリャーギン
"Родина, Ирина Викторовна",ロジーナ・イリーナ
"Ракобольская, Ирина Вячеславовна",イリーナ・ラコボルスカヤ
Вячеслав Михайлович Анисин,ヴャチェスラフ・アニシン
"Токарев, Борис Сергеевич",ボリス・トカレフ
Борис Викторович Александров,ボリス・アレクサンドロフ
Зульфия Забирова,ズルフィヤ・ザビロワ
Евгения Александровна Старцева,エフゲーニャ・スタルツェワ
"Перепёлкина, Мария Николаевна",マリア・ペレペルキナ
"Кошелева, Татьяна Сергеевна",タチアナ・コシェレワ
Наталья Олеговна Гончарова,ナタリア・ゴンチャロワ
Инна Владимировна Макарова,イーンナ・マカーロヴァ
Вадим Иосифович Богиев,ワディム・ボギエフ
Ирина Николаевна Воробьёва,イリーナ・ボロビエワ
"Королёв, Евгений Александрович",エフゲニー・コロリオフ
Карэн Хачатурян,カレン・ハチャトゥリアン
Игорь Витальевич Жижикин,イゴール・ジジキン
"Соколова, Елена Сергеевна",エレーナ・セルゲーエヴナ・ソコロワ
"Иванов, Владимир Анатольевич",ウラジミール・イワノフ
Алиса Фрейндлих,アリーサ・フレインドリフ
Полина Дашкова,ポリーナ・ダシコワ
"Синецкая, Ирина Владимировна",イリーナ・シネツカヤ
Нина Николаевна Берберова,ニーナ・ベルベーロヴァ
"Кацалапов, Никита Геннадьевич",ニキータ・カツァラポフ
Ирина Скобцева,イリーナ・スコブツェワ
"Платонова, Анастасия Александровна",アナスタシア・プラトノワ
"Романовская, Елена Константиновна",エレーナ・ロマノフスカヤ
"Злобина, Юлия Сергеевна",ユリア・ズロビナ
"Шишкова, Евгения Васильевна",エフゲーニヤ・シシコワ
Иван Чередник,イヴァン・チェレドニク
"Денисенко, Алексей Алексеевич",アレクセイ・デニセンコ
Толстиков Яков Григорьевич,ヤコブ・トルスティコフ
"Яковлев, Егор Владимирович",エゴール・ヤコブレフ
Валерий Кузьмич Непомнящий,ヴァレリー・ニポムニシ
Андрей Юрьевич Соломатин,アンドレイ・ソロマティン
Николай Константинович Байбаков,ニコライ・バイバコフ
Вербов Алексей Игоревич,アレクセイ・ベルボフ
Дмитрий Владимирович Комбаров,ドミトリ・コムバロフ
"Нарочницкая, Наталия Алексеевна",ナタリア・ナロチュニツカヤ
Эдисон Васильевич Денисов,エディソン・デニソフ
"Дедюшко, Александр Викторович",アレクサンドル・デデュシコ
Анатолий Фёдорович Добрынин,アナトリー・ドブルイニン
"Витушкин, Анатолий Георгиевич",アナトリー・ヴィトゥシキン
Константин Цзю,コンスタンチン・チュー
Геннадий Николаевич Трошев,ゲンナジー・トロシェフ
Шериг-оол Дизижикович Ооржак,シェリグ＝オール・オルジャック
"Муртазалиев, Махач Далгатович",マハチ・ムルタザリエフ
Алексей Станиславович Федорченко,アレクセイ・フェドルチェンコ
Сергей Юрьевич Глазьев,セルゲイ・グラジエフ
"Крылов, Владимир Валентинович",ウラジミール・クリロフ
"Самокутяев, Александр Михайлович",アレクサンダー・サマクチャイエフ
Александр Алексеевич Авдеев,アレクサンドル・アヴデーエフ
Олег Кимович Васильев,オレグ・ワシリエフ
Василий Васильевич Рочев,ヴァシーリー・ヴァシーリエヴィチ・ロチェフ
"Панкин, Борис Дмитриевич",ボリス・パンキン
Игорь Петрович Волк,イゴール・ボルク
Яна Карапетовна Егорян,ヤナ・エゴリアン
"Новиков, Валентин Юрьевич",バレンティン・ノビコフ
"Яцков, Анатолий Антонович",アナトリ・ヤツコフ
"Михайлов, Анатолий Аркадьевич",アナトリー・ミハイロフ
Анатолий Фёдорович Бышовец,アナトリー・ブイショヴェツ
Анастасия Войнова,アナスタシア・ヴォイノヴァ
Александр Константинович Петров,アレクサンドル・ペトロフ
"Маматов, Виктор Фёдорович",ヴィクトル・ママトフ
Александр Евгеньевич Бухаров,アレクサンドル・ブハロフ
Джамал Султанович Отарсултанов,ジャマル・オタルスルタノフ
"Швидлер, Евгений Маркович",ユージン・シュビドラー
Анастасия Родионова,アナスタシア・ロディオノワ
Наталья Валерьевна Бочина,ナタリア・ボチナ
"Поистогова, Екатерина Ивановна",エカテェリーナ・ポイストゴワ
Мадина Ульфатовна Биктагирова,マディナ・ビクタギロワ
"Маркелов, Владимир Николаевич",ウラジーミル・マルケロフ (体操選手)
Владимир Петрович Воронков,ヴラディーミル・ヴォロンコフ
"Филин, Сергей Юрьевич",セルゲイ・フィーリン
"Скрипочка, Олег Иванович",オレグ・スクリポチカ
Роман Андреевич Власов,ロマン・ブラソフ
Борис Владимирович Моруков,ボリス・モロコフ
"Креер, Витольд Анатольевич",ヴィトールド・クレール
Александр Наумович Митта,アレクサンドル・ミッタ
Валерий Мухамедович Коков,ヴァレリー・ココフ
"Чащина, Ирина Викторовна",イリーナ・チャシナ
"Кузнецов, Евгений Евгеньевич",エフゲニー・クズネツォフ
Анатолий Алексеевич Карацуба,アナトリー・カラツバ
Эдвард Станиславович Радзинский,エドワード・ラジンスキー
Евгений Гришковец,エヴゲーニイ・グリシコヴェツ
Анатолий Иванович Лукьянов,アナトリー・ルキヤノフ
"Овчинников, Юрий Львович",ユーリイ・オフチンニコフ
"Найдёнова, Ольга Владимировна",オリガ・ナイヂョノワ
"Фёдорова, Ирина Константиновна",イリーナ・フョードロワ
Сергей Пантелеевич Мавроди,セルゲイ・マブロジ
Сергей Александрович Волков,セルゲイ・ヴォルコフ
Анатолий Алексеевич Иванишин,アナトリー・イワニシン
Анатолий Андреевич Ким,アナトリー・キム
Александр Маркович Поляков,アレクサンドル・ポリャコフ
Сергей Сухорученков,セルゲイ・スホルチェンコフ
"Мунзук, Максим Монгужукович",マクシム・ムンズク
Василий Серафимович Синайский,ヴァシリー・シナイスキー
"Таймазов, Тимур Борисович",チムール・タイマゾフ
"Протопопов, Олег Алексеевич",オレグ・プロトポポフ
"Чепчугов, Сергей Андреевич",セルゲイ・チェプチュゴフ
Галина Николаевна Мельник,ガリーナ・メルニク
"Опалев, Максим Александрович",マクシム・オパレフ
Олег Леонидович Лундстрем,オレーク・ルントストレム
Владимир Ефимович Семичастный,ウラジーミル・セミチャストヌイ
"Приставкин, Анатолий Игнатьевич",アナトーリイ・プリスターフキン
Анатолий Иванович Грибков,アナトリー・グリブコフ
"Калашников, Анатолий Иванович",アナトリー・カラシニコフ
Павел Семёнович Лунгин,パーヴェル・ルンギン
Сергей Николаевич Лазарев,セルゲイ・ニコラエヴィチ・ラザレフ
"Калугин, Олег Данилович",オレグ・カルーギン
"Николаева, Маргарита Николаевна",マルガリータ・ニコラエワ
"Хрущелёва, Наталья Петровна",ナタリア・フルシェレワ
Ирина Ивановна Алфёрова,イリーナ アルフェロヴァ
Дмитрий Алексеевич Глуховский,ドミトリー・グルホフスキー
Владимир Соловьёв,ウラジーミル・ソロビエフ
Пётр Вениаминович Свидлер,ピーター・スヴィドラー
Вадим Юсупович Абдрашитов,ヴァディム・アブドラシトフ
Александр Салкинд,アレクサンダー・サルキンド
Анатолий Петрович Александров,アナトーリー・アレクサーンドロフ
Анатолий Степанович Дятлов,アナトリー・ディアトロフ
Филипп Киркоров,フィリップ・キルコロフ
Сервер Джепаров,セルヴェル・ジェパロフ
Равиль Фаритович Гениатулин,ラヴィーリ・ゲニアトゥーリン
Александр Васильевич Бердников,アレクサンドル・ベルドニコフ
Зафар Сафар оглы Гулиев,ザファー・グリエフ
Евгений Витальевич Миронов,エフゲニー・ミローノフ
Махарбек Хазбиевич Хадарцев,マハルベク・ハダルツェフ
"Горшков, Александр Георгиевич",アレクサンドル・ゴルシコフ
"Жигуленко, Евгения Андреевна",エヴゲニヤ・ジグレンコ
"Захаревич, Юрий Иванович",ユーリ・ザハレビッチ
Анатолий Юрьевич Оноприенко,アナトーリ・オノプリエンコ
"Тихонов, Владимир Михайлович",朴露子
"Новиков, Игорь Дмитриевич",イゴール・ノヴィコフ
Хаджимурат Магомедович Аккаев,クハドジムラト・アカエフ
Алексей Цатевич,アレクセイ・ツァテヴィッチ
Анастасия Сергеевна Павлюченкова,アナスタシア・パブリュチェンコワ
"Гранкин, Сергей Юрьевич",セルゲイ・グランキン
Юрий Викторович Бережко,ユーリー・ベレジュコ
Александр Владимирович Иваницкий,アレクサンドル・イワニツキー
Константин Аркадьевич Райкин,コンスタンティン・ライキン
"Кучеров, Никита Игоревич",ニキータ・クチェロフ
Олег Семёнович Шенин,オレグ・シェーニン
"Семёнова, Ксения Андреевна",キセニア・セミョーノワ
"Остапенко, Алексей Александрович",アレクセイ・オスタペンコ
Анатолий Васильевич Филипченко,アナトリー・フィリプチェンコ
"Кляшторный, Сергей Григорьевич",セルゲイ・グリゴリエヴィチ・クリャシュトルヌィ
"Гусев, Никита Андреевич",ニキータ・グセフ
Анатолий Николаевич Алябьев,アナトリー・アリャビエフ
Анатолий Николаевич Перминов,アナトーリー・ペルミノフ
"Полнова, Татьяна Фёдоровна",タチアナ・ポルノワ
Станислав Алексеевич Поздняков,スタニスラフ・ポズドニャコフ
"Чуров, Владимир Евгеньевич",ウラジーミル・チューロフ
Галина Васильевна Старовойтова,ガリーナ・スタロヴォイトワ
Александр Александрович Волков,アレクサンドル・ボルコフ
"Перепечёнов, Олег Александрович",オレク・ペレペチェノフ
"Лозино-Лозинский, Глеб Евгеньевич",グレブ・ロジノ・ロジンスキー
Сергей Владимирович Шубенков,セルゲイ・シュベンコフ
"Моргунов, Сергей Сергеевич",セルゲイ・モルグノフ
Сергей Андреевич Афанасьев,セルゲイ・アファナシエフ
Александр Данилович Александров,アレクサンドル・アレクサンドロフ (数学者)
Иван Семёнович Козловский,イワン・コズロフスキー
Нина Олеговна Братчикова,ニーナ・ブラチコワ
"Подкопаева, Екатерина Ильинична",エカテリーナ・ポドコパエワ
Владимир Караджаевич Байрамов,ウラジミール・バイラモフ
Владимир Владимирович Вдовиченков,ヴラディミール・ヴドヴィチェンコフ
Равиль Исмагилович Гайнутдин,ラヴィル・ガイヌッティン
"Шармина, Екатерина Михайловна",エカテリーナ・シャルミナ
Дарья Андреевна Дмитриева,ダリア・ドミトリエワ
Весна Долонц,ベスナ・マナシエワ
Александра Панова,アレクサンドラ・パノワ
"Карпенко, Виктор Александрович",ヴィクトル・カルペンコ
Ксения Олеговна Макарова,クセニヤ・マカロワ
"Сурайкин, Андрей Александрович",アンドレイ・スライキン
Андрей Суслин,アンドレイ・ススリン
Надежда Андреевна Толоконникова,ナジェージダ・トロコンニコワ
Александр Сергеевич Лазарев,アレクサンドル・ラザレフ
"Волосова, Любовь Михайловна",リュボフ・ボロソワ
Ксения Анатольевна Собчак,クセーニア・サプチャーク
Любовь Григорьевна Полищук,リュボフ・ポリシュチュク
"Третьяков, Александр Владимирович",アレクサンドル・トレティアコフ
Татьяна Ивановна Иванова,タチアナ・イワノワ
Дмитрий Сергеевич Воробьёв,ドミトリ・ボロビエフ
россияне,ロシア国民
Ольга Борисовна Барнет,オルガ・バルネット
Виталий Иванович Чуркин,ヴィタリー・チュルキン
"Лактионов, Денис Владимирович",デニス・ラクチオノフ
"Сарычев, Валерий Константинович",申宜孫
"Элиашберг, Яков Матвеевич",ヤコフ・エリアシュバーグ
"Левада, Юрий Александрович",ユーリー・レヴァダ
"Данилочкин, Юрий Миланович",ユーリ・ダニロッチキン
Алексей Александрович Мордашов,アレクセイ・モルダショフ
Рустэм Закиевич Хамитов,ルステム・ハミトフ
Александр Порсев,アレクサンドル・ポルセフ
Евгений Викторович Тарле,イェウヘーン・タルレ
"Искандарян, Мнацакан Фрунзевич",ムナトサカン・イスカンダリアン
Олег Иванович Лобов,オレグ・ロボフ
"Ахматхузин, Артур Камилевич",アルトゥル・アハマトフジン
"Фёдоров, Святослав Николаевич",スヴャトスラフ・フョードロフ
Виктор Георгиевич Веселаго,ヴィクトル・ヴェセラゴ
"Коган, Павел Леонидович",パヴェル・コーガン
Игорь Иванович Шувалов,イーゴリ・シュワロフ
Михаил Андреевич Глузский,ミハイル・グラスキー
Лия Меджидовна Ахеджакова,リヤ・アヘジャコワ
Хаджимурад Сайгидмагомедович Магомедов,ハジムラド・マゴメドフ
Владимир Владимирович Бут,ウラジーミル・ブット
Сергей Владимирович Бодров,セルゲイ・ボドロフ
Андрей Александрович Фурсенко,アンドレイ・フルセンコ
Андрей Кузнецов,アンドレイ・クズネツォフ
Эдуард Вениаминович Лимонов,エドワルド・リモノフ
Александр Иванович Лебедь,アレクサンドル・レベジ
"Дасаев, Ринат Файзрахманович",リナト・ダサエフ
Александр Владимирович Попов,アレクサンドル・ポポフ
Андрей Алексеевич Чернышов,アンドレイ・チェルニショフ
Андрей Анатольевич Букин,アンドレイ・ブキン
Игорь Валерьевич Андреев,イーゴリ・アンドレエフ
Игорь Петрович Семшов,イーゴリ・セムショフ
Никита Белых,二キータ・べールイフ
Юрий Дмитриевич Маслюков,ユーリ・マスリュコフ
Владимир Мышкин,ウラジーミル・ムイシュキン
"Гурейро, Джонатан Францискович",ジョナサン・ゲレイロ
"Чесноков, Андрей Эдуардович",アンドレイ・チェスノコフ
"Толубеев, Андрей Юрьевич",アンドレイ・トルベエフ
Ксения Олеговна Вдовина,クセニヤ・リジョワ
"Заболотная, Наталья Александровна",ナタリア・ザボロトナヤ
Андрей Геннадьевич Кириленко,アンドレイ・キリレンコ
Дмитрий Евгеньевич Торбинский,ドミートリー・トルビンスキー
Евгений Александрович Евтушенко,エフゲニー・エフトゥシェンコ
Иоланда Евгеньевна Чен,ヨランダ・チェン
"Тюрин, Олег Григорьевич",オレグ・チューリン
"Мишин, Василий Павлович",ヴァシーリー・ミシン
"Фёдорова, Ольга Олеговна",オリガ・フョードロワ
Иван Иванович Сафронов,イワン・サフロノフ
Максим Александрович Матвеев,マクシム・マトヴェーエフ
"Фёдоров, Андрей Витальевич",アンドレイ・フョードロフ
Григорий Дэвидович Сиятвинда,グリゴリー・シヤトヴィンダ
Евгений Алексеевич Киселёв,エフゲニー・キセリョフ
"Юровский, Владимир Михайлович",ウラディーミル・ユロフスキ
"Черкасов, Андрей Геннадьевич",アンドレイ・チェルカソフ
Андрей Георгиевич Битов,アンドレイ・ビートフ
Карл Вайно,カルル・ヴァイノ
Екатерина Владимировна Чемберджи,イェカチェリーナ・チェンベルジ
Алла Ефремовна Гербер,アッラ・ガーバー
"Милашина, Елена Валерьевна",エレナ・ミラシナ
"Маслов, Александр Владимирович",アレクサンドル・マスロフ
Ирина Игоревна Дибирова,イリーナ・ディビロワ
"Степанова, Мария Александровна",マリア・ステパノワ
Ахмат Кадыров,アフマド・カディロフ
"Сливенко, Оксана Николаевна",オクサナ・スリベンコ
Арина Ивановна Родионова,アリーナ・ロディオノワ
Алла Ивановна Важенина,アッラ・ヴァジェニーナ
Андрей Юрьевич Воробьёв,アンドレイ・ヴォロビヨフ
"Чемеркин, Андрей Иванович",アンドレイ・チェメルキン
Андрей Яковлевич Эшпай,アンドレイ・エシュパイ
Валерий Владимирович Буре,ワレリー・ブレ
"Фрид, Григорий Самуилович",グレゴリー・フリード
Денис Константинович Бояринцев,デニス・ボヤリンツェフ
"Иванович, Андрей Викторович",アンドレイ・イヴァノヴィチ (ピアニスト)
Андрей Иванович Борисенко,アンドレイ・ボリセンコ
Валерия,ヴァレリヤ
Анастасия Александровна Вертинская,アナスタシア・ヴェルティンスカヤ
Лилия Зильберштейн,リーリャ・ジルベルシュテイン
Аркадий Владимирович Дворкович,アルカジー・ドヴォルコーヴィチ
"Данилов-Данильян, Виктор Иванович",ヴィクトル・ダニロフ＝ダニリャン
"Храмов, Андрей Михайлович",アンドレイ・ハラモフ
Андрей Николаевич Коваленко,アンドレイ・コヴァレンコ (アイスホッケー)
Андрей Николаевич Ланьков,アンドレイ・ランコフ
Виктор Савельевич Онопко,ヴィクトル・オノプコ
Антон Владимирович Шунин,アントン・シュニン
"Калешин, Виталий Игоревич",ヴィタリ・カレシン
Вильям Васильевич Похлёбкин,ヴィリヤム・ポフリョプキン
"Балашов, Юрий Сергеевич",ユーリ・バラショフ
"Луговой, Андрей Константинович",アンドレイ・ルゴボイ
Вик Уайлд,ヴィック・ワイルド
"Черемисинов, Алексей Борисович",アレクセイ・チェレミシノフ
Дмитрий Евгеньевич Сычёв,ドミートリー・シチョフ
Станислава Станиславовна Комарова,スタニスラワ・コマロワ
Юрий Иванович Фёдоров,ユーリイ・フョードロフ (アイスホッケー選手)
"Маканин, Владимир Семёнович",ウラジミール・マカニン
"Солдатова, Юлия Николаевна",ユリア・ソルダトワ
Ольга Гурлукович,オルガ・ゴルルコビッチ
"Лисс, Дмитрий Ильич",ドミトリー・リス
"Тихонов, Андрей Валерьевич",アンドレイ・チーホノフ
Андрей Васильевич Бушков,アンドレイ・ブシュコフ
"Яковлева, Ольга Леонидовна",オルガ・ヤコヴレヴァ
Зара,ザラ
"Фатеева, Ольга Александровна",オリガ・ファテーエワ
"Синай, Яков Григорьевич",ヤコフ・シナイ
"Мусульбес, Давид Владимирович",ダビッド・ムスルベス
Светлана Афанасьевна Светличная,スヴェトラーナ・スヴェトリクナヤ
Юрий Николаевич Балуевский,ユーリー・バルエフスキー
Сергей Франк,セルゲイ・フランク
Сергей Викторович Козко,セルゲイ・コズコ
Александр Сергеевич Панайотов,アレクサンドル・パナヨートフ
"Попов, Денис Александрович",デニス・ポポフ
"Панарин, Игорь Николаевич",イゴール・パナリン
Сергей Владиленович Пономаренко,セルゲイ・ポノマレンコ
Рой Джонс,ロイ・ジョーンズ・ジュニア
Евгений Крылатов,エフゲニー・クリラトフ
"Яковлев, Вячеслав Юрьевич",スラブ・ヤコブレフ
Геннадий Николаевич Селезнёв,ゲンナジー・セレズニョフ
Валерий Георгиевич Карпин,ヴァレリー・カルピン
"Сальников, Владимир Валерьевич",ウラジミール・サルニコフ
Юрий Владимирович Никулин,ユーリー・ニクーリン
"Хотеев, Андрей Иванович",アンドレイ・ホテーエフ
Андрей Ильич Мерзликин,アンドレイ・メルズリキン
Андрей Игоревич Мельниченко,アンドレイ・メリニチェンコ
Иларион,イラリオン・アルフェエフ
Андрей Николаевич Малахов,アンドレイ・マラホフ
Виталий Иванович Воротников,ヴィタリー・ウォロトニコフ
Василий Владимирович Березуцкий,ヴァシリ・ベレズツキー
Александр Михайлович Овечкин,アレキサンダー・オベチキン
Денис Меньшов,デニス・メンショフ
Надежда Валерьевна Скардино,ナデジダ・スカルディノ
Валентин Валентинович Иванов,ワレンチン・イワノフ
"Ольховский, Андрей Станиславович",アンドレイ・オルホフスキー
Абдул-Вахед Валидович Ниязов,アブドゥル・ヴァヘド・ニヤゾフ
Владислав Петрович Крапивин,V・P・クラピーヴィン
Марат Наилевич Измайлов,マラト・イズマイロフ
"Салов, Валерий Борисович",ヴァレリー・サロフ
Оксана Александровна Костина,オクサナ・コスティナ
"Мурадов, Ширвани Гаджикурбанович",シルバニ・ムラドフ
Геннадий Михайлович Манаков,ゲンナジー・マナコフ
Джабар Магомедович Аскеров,ジャバル・アスケロフ
"Колобова, Виолетта Витальевна",ヴィオレッタ・コロボワ
"Казакевич, Вечеслав Степанович",ヴェチェスラフ・ステパーノヴィチ・カザケーヴィチ
"Медведев, Алексей Сергеевич",アレクセイ・メドヴェージェフ
"Первышин, Андрей Сергеевич",アンドレイ・ペルヴィシン
"Шутова, Любовь Андреевна",リュボフ・シュトワ
"Афонин, Вадим Сергеевич",ヴァディム・アフォーニン
"Шишелов, Владимир Александрович",ウラディーミル・シシェロフ
Анатолий Дмитриевич Артамонов,アナトリー・アルタモーノフ
"Шаклеин, Николай Иванович",ニコライ・シャクレイン
"Жилкин, Александр Александрович",アレクサンドル・ジルキン
