Lionel Messi,リオネル・メッシ
Enrico Mattei,エンリコ・マッテイ
Vasco Pratolini,ヴァスコ・プラトリーニ
Al Cliver,アル・クライヴァー
Dorian Gray,ドリアン・グレイ
Francesco Dracone,フランチェスコ・ドラコーネ
Maurizio Zaccaro,マウリツィオ・ツァッカーロ
Martina Stella,マルティナ・ステラ
Gianni Rodari,ジャンニ・ロダーリ
Pio da Pietrelcina,ピオ神父
Gazebo,ガゼボ
Adriano Celentano,アドリアーノ・チェレンターノ
Immacolata Sirressi,イマコラータ・シレッシ
Leo Gullotta,レオ・グロッタ
Claudia Catani,クラウディア・カターニ
Zetti,アルメリーノ・ドニゼッティ・クワリアト
Pietro Badoglio,ピエトロ・バドリオ
Mario Scaccia,マリオ・スカッチャ
Bruno Zevi,ブルーノ・ゼービ
David Bortolussi,デビット・ボルトルッシ
Elsa Schiaparelli,エルザ・スキャパレッリ
Franco Fraticelli,フランコ・フラティチェリ
Cesare Siepi,チェーザレ・シエピ
Tito Gobbi,ティート・ゴッビ
Michele Scarponi,ミケーレ・スカルポーニ
Joe D'Amato,ジョー・ダマト
Ubaldo Righetti,ウバルド・リゲッティ
Aldo Palazzeschi,アルド・パラッツェスキ
Roberto Regazzi,ロベルト・レガッツィ
Fausto Cercignani,ファウスト・チェルチニャーニ
Sergio Pellissier,セルジオ・ペリッシエール
Alighiero Boetti,アリギエーロ・ボエッティ
Mauro Esposito,マウロ・エスポージト
Stefania Prestigiacomo,ステファニア・プレスティアコモ
Alfonso Bialetti,アルフォンソ・ビアレッティ
Romaine Brooks,ロメイン・ブルックス
Emanuele Giaccherini,エマヌエレ・ジャッケリーニ
Vittorio Cotesta,ヴィットーリオ・コスタスタ
Camillo Mastrocinque,カミロ・マストローチンク
Miguel Angel Virasoro,ミゲル・ヴィラソロ
Francesco Guccini,フランチェスコ・グッチーニ
Salvatore Giuliano,サルヴァトーレ・ジュリアーノ
Patty Pravo,パティ・プラヴォ
Carlo Galetti,カルロ・ガレッティ
Vido Musso,ヴィド・ムッソ
Daniele Bennati,ダニエーレ・ベンナーティ
Laura Biagiotti,ラウラ・ビアジョッティ
Enrico Gasparotto,エンリコ・ガスパロット
Domenico Modugno,ドメニコ・モドゥーニョ
Mario Costa,マリオ・コスタ
Adolfo Celi,アドルフォ・チェリ
Andrea Gaudenzi,アンドレア・ガウデンツィ
Margherita Buy,マルゲリータ・ブイ
Chiara Arcangeli,キアラ・アルカンジェリ
Fausto Bertinotti,ファウスト・ベルティノッティ
Salvatore Licitra,サルヴァトーレ・リチートラ
Roberto De Simone,ロベルト・デ・シモーネ
Pierino Favalli,ピエリーノ・ファヴァッリ
Achille Castiglioni,アキーレ・カスティリオーニ
Carla Fracci,カルラ・フラッチ
Giuseppe Bennati,ジュゼッペ・ベンナーティ
Giuseppe Sculli,ジュゼッペ・スクッリ
Giuseppe Mascara,ジュゼッペ・マスカーラ
Raffaele Lombardo,ラファエレ・ロンバルド
Christian Riganò,クリスティアン・リガノ
Elsa Martinelli,エルザ・マルティネッリ
Arnaldo Pambianco,アルナルド・パンビアンコ
Joe Adonis,ジョー・アドニス
Stefano Caldoro,ステーファノ・カルドーロ
Nello Santi,ネルロ・サンティ
Giacomo Dalla Torre del Tempio di Sanguinetto,ジャコモ・ダッラ・トーレ・テンピオ・デ・サンギネット
Adolfo Baloncieri,アドルフォ・バロンチェーリ
Giuliano Amato,ジュリアーノ・アマート
Paolo Rossi Monti,パオロ・ロッシ
Anna Falchi,アンナ・ファルチ
Salvatore Luria,サルバドール・エドワード・ルリア
Gabriele Muccino,ガブリエレ・ムッチーノ
Sergio Ferrara,セルヒオ・フェラーラ
Giancarlo De Cataldo,ジャンカルロ・デ・カタルド
Angelo Mangiarotti,アンジェロ・マンジャロッティ
Isabella Rossellini,イザベラ・ロッセリーニ
Gianfranco Contini,ジャンフランコ・コンティーニ
Adone Zoli,アドネ・ツォーリ
Johnny Torrio,ジョニー・トーリオ
Dalila Di Lazzaro,ダリラ・ディ・ラザーロ
Edoardo Amaldi,エドアルド・アマルディ
Mino Loy,ミーノ・ロイ
Tommaso Padoa-Schioppa,トマソ・パドア＝スキオッパ
Alborosie,アルボロジー
Alberto Cova,アルベルト・コバ
Giovanni Falcone,ジョヴァンニ・ファルコーネ
Simone Pepe,シモーネ・ペペ
Chiara Cainero,キアラ・カイネロ
Massimo Ranieri,マッシーモ・ラニエリ
Carolina Crescentini,カロリーナ・クレシェンティーニ
Filippo Anfuso,フィリッポ・アンフーゾ
Leonardo Bonucci,レオナルド・ボヌッチ
Franco Modigliani,フランコ・モディリアーニ
Giorgio Chinaglia,ジョルジョ・キナーリャ
Vittorio Storaro,ヴィットリオ・ストラーロ
Mario Gariazzo,マリオ・ガリアッツォ
Massimo Scolari,マッシモ・スコラーリ
Nino Baragli,ニーノ・バラーリ
Tullio Kezich,トゥリオ・ケツィク
Marco Sau,マルコ・サウ
Ardito Desio,アルディト・デジオ
Marino Girolami,マリノ・ジロラミ
Nanni Balestrini,ナンニ・バレストリーニ
Fulvio Collovati,フルビオ・コロバティ
Rosy Bindi,ロージー・ビンディ
Tommaso Landolfi,トンマーゾ・ランドルフィ
Claudio Volonté,クラウディオ・カマソ
Adolfo Consolini,アドルフォ・コンソリーニ
Umberto Tozzi,ウンベルト・トッツィ
Arnaldo Catinari,アルナルド・カティナーリ
Amerigo Gengarelli,アメリゴ・ジェンガレッリ
Valerio Massimo Manfredi,ヴァレリオ・マッシモ・マンフレディ
Maurizio Nichetti,マウリツィオ・ニケッティ
Vittorio Caprioli,ヴィットリオ・カプリオーリ
Vitaliano Brancati,ヴィタリアーノ・ブランカーティ
Paolo Negro,パオロ・ネグロ
David Di Michele,ダビド・ディ・ミケーレ
Lorenzo Ghielmi,ロレンツォ・ギエルミ
Stéphane Grappelli,ステファン・グラッペリ
Daniele Barioni,ダニエーレ・バリオーニ
Naike Rivelli,ナイケ・リベリ
Valerio Adami,ヴァレリオ・アダミ
Mattia Preti,マッティア・プレーティ
Elio Vittorini,エリオ・ヴィットリーニ
Luis Trenker,ルイス・トレンカー
Enrico Castellani,エンリコ・カステラーニ
Juan Martín Maldacena,フアン・マルダセナ
Francesco Moser,フランチェスコ・モゼール
Adolfo Lastretti,アドルフォ・ラストレッティ
Adolfo Leoni,アドルフォ・レオーニ
Leandro Rinaudo,レアンドロ・リナウド
Federico Macheda,フェデリコ・マケダ
Claudio Baglioni,クラウディオ・バリョーニ
Flavia Pennetta,フラビア・ペンネッタ
Carlo Cudicini,カルロ・クディチーニ
Sani Bečirovič,サニ・ベシロビッチ
Alessandro Diamanti,アレッサンドロ・ディアマンティ
Massimo Bottura,マッシモ・ボットゥーラ
Lamberto Dini,ランベルト・ディーニ
Lucky Luciano,ラッキー・ルチアーノ
Roberto Maroni,ロベルト・マローニ
Antonello Venditti,アントネッロ・ヴェンディッティ
Giacomo Rizzolatti,ジャコモ・リッツォラッティ
Maurizio Merli,マウリツィオ・メルリ
Annibale Bugnini,アンニーバレ・ブグニーニ
Giovanni Maria Vian,ジョヴァンニ・マリア・ヴィアン
Ignazio Abate,イニャツィオ・アバーテ
Luigi Pareyson,ルイジ・パレイゾン
Lisa Gastoni,リザ・ガストーニ
Mike Francis,マイク・フランシス
Riccardo Illy,リッカルド・イリー
Gastone Moschin,ガストーネ・モスキン
Enrico Beruschi,エンリコ・ベルスキ
Mauricio Macri,マウリシオ・マクリ
Cesare Merzagora,チェーザレ・メルザゴラ
Anna Morpurgo Davies,アンナ・モーパーゴ・デイビーズ
Francesco Saverio Nitti,フランチェスコ・サヴェリオ・ニッティ
Pontormo,ヤコポ・ダ・ポントルモ
Tranquillo Barnetta,トランクイロ・バルネッタ
Fabiano Caruana,ファビアーノ・カルアナ
Letizia Battaglia,レティツィア・バッターリア
Alessandra Amoroso,アレッサンドラ・アモローゾ
Daniele Dessena,ダニエレ・デッセーナ
Gianni De Biasi,ジャンニ・デ・ビアージ
Andrea Poli,アンドレア・ポーリ
Silvio Proto,シルヴィオ・プロト
Gian Piero Gasperini,ジャン・ピエロ・ガスペリーニ
Vittorio Emanuele di Savoia,ヴィットーリオ・エマヌエーレ・ディ・サヴォイア
Bartolomeo Pagano,バルトロメオ・パガーノ
Sebastian Giovinco,セバスティアン・ジョヴィンコ
Gabry Ponte,ガブリー・ポンテ
Salvatore Aronica,サルヴァトーレ・アロニカ
Pierfranco Vianelli,ピエルフランコ・ヴィアネッリ
Cesare Bovo,チェーザレ・ボヴォ
Guglielmo Stendardo,グリエルモ・ステンダルド
Rino Gaetano,リノ・ガエターノ
Giacomo Manzoni,ジャコモ・マンゾーニ
Alberto Savinio,アルベルト・サヴィニオ
Giacomo Balla,ジャコモ・バッラ
Lucio Battisti,ルチオ・バッティスティ
Franco Moschino,フランコ・モスキーノ
Luigi Tenco,ルイジ・テンコ
Mario Merola,マリオ・メローラ
Ferruccio Furlanetto,フェルッチョ・フルラネット
Ricky Tognazzi,リッキー・トニャッツィ
Cesare Zavattini,チェザーレ・ザヴァッティーニ
Mario Scelba,マリオ・シェルバ
Roberto Tricella,ロベルト・トリセラ
Charles Atlas,チャールズ・アトラス
Vincenzo Sospiri,ヴィンセンツォ・ソスピリ
Sergio Endrigo,セルジュ・エンドリゴ
Claudia Gerini,クラウディア・ジェリーニ
Giuseppe Penone,ジュゼッペ・ペノーネ
Luciano Mancini,ルシアノ・マンチーニ
Emilio Lussu,エミリオ・ルッス
Anna Proclemer,アンナ・プロクレマー
Sergio Martini,セルジオ・マルティーニ
Luigi Morleo,ルイージ・モルレオ
Paola Pitagora,パオラ・ピタゴーラ
Tina Pica,ティナ・ピカ
Nino Rota,ニーノ・ロータ
Christian Maggio,クリスティアン・マッジョ
Anselmo Robbiati,アンセルモ・ロヴィアーティー
Predrag Matvejević,プレドラグ・マトヴェイェーヴィチ
Renato Rascel,レナート・ラシェル
Elena Sofia Ricci,エレナ・ソフィア・リッチ
Bruno Sammartino,ブルーノ・サンマルチノ
Domenico Criscito,ドメニコ・クリシート
Cesare Prandelli,チェーザレ・プランデッリ
Giuseppe Becce,ジュゼッペ・ベッチェ
Davide Lanzafame,ダヴィデ・ランザファーメ
Alessandro Costacurta,アレッサンドロ・コスタクルタ
Luciano Floridi,ルチアーノ・フロリディ
Giuseppe Tomasi di Lampedusa,ジュゼッペ・トマージ・ディ・ランペドゥーサ
Antonio Nocerino,アントニオ・ノチェリーノ
Giuliana De Sio,ジュリアナ・デ・シオ
Marina Berlusconi,マリナ・ベルルスコーニ
François Stahly,フランソワ・スターリ
Carla Gravina,カルラ・グラヴィナ
Mariacarla Boscono,マリアカルラ・ボスコーノ
Lyda Borelli,リダ・ボレッリ
Gianluigi Galli,ジャンルイジ・ガリ
Piergiuseppe Vacchelli,ピエルジュゼッペ・ヴァッケーリ
Rita Marcotulli,リタ・マルコトゥッリ
Luciano Salce,ルチアーノ・サルチェ
Gino Peruzzi,ヒーノ・ペルッシ
Sergio Rubini,セルジオ・ルビーニ
Daria Nicolodi,ダリア・ニコロディ
Rinaldo Alessandrini,リナルド・アレッサンドリーニ
Shlomo Venezia,シュロモ・ヴェネツィア
Giulio Romano,ジュリオ・ロマーノ
Tommaso Buscetta,トンマーゾ・ブシェッタ
Luciana Serra,ルチアーナ・セッラ
Franco Maria Malfatti,フランコ・マリア・マルファッティ
Massimo Campigli,マッシモ・カンピーリ
Stefano Satta Flores,ステファノ・サッタ・フローレス
Lina Sastri,リナ・サストリ
Virginio Rosetta,ヴィルジーニオ・ロセッタ
Riccardo Allegretti,リカルド・アッレグレッティ
Antonio Fassina,アントニオ・ファッシーナ
Elena Ferrante,エレナ・フェッランテ
Valentino Bucchi,ヴァレンティーノ・ブッキ
Giampaolo Pazzini,ジャンパオロ・パッツィーニ
Giacinto Facchetti,ジャチント・ファッケッティ
Alfredo Ottaviani,アルフレド・オッタビアーニ
Aldo Busi,アルド・ブージ
Luigi Allemandi,ルイージ・アッレマンディ
Renato Izzo,レナート・イッツォ
Cristiano Lupatelli,クリスティアーノ・ルパテッリ
Roberto Locatelli,ロベルト・ロカテリ
Morgan De Sanctis,モルガン・デ・サンクティス
Gino Paoli,ジーノ・パオリ
Nicola Caricola,ニコラ・カリコラ
Andrea Lucchetta,アンドレア・ルケッタ
Renato Salvatori,レナート・サルヴァトーリ
Carlo Zecchi,カルロ・ゼッキ
Michelangelo Pistoletto,ミケランジェロ・ピストレット
Roberto D'Aversa,ロベルト・ダヴェルサ
Mario Merz,マリオ・メルツ
Paolo Giordano,パオロ・ジョルダーノ
Massimo Cacciari,マッシモ・カッチャーリ
Primo Zeglio,プリモ・ツェリオ
Joe Manganiello,ジョー・マンガニエロ
Gigi Proietti,ジジ・プロイエッティ
Salvo Randone,サルヴォ・ランドーネ
Monica Guerritore,モニカ・ゲリトル
Massimo Serato,マッシモ・セアート
Ferruccio Parri,フェルッチョ・パッリ
Francesco Clemente,フランチェスコ・クレメンテ
Flavia Fortunato,フラビア・フォルトゥナート
Manuel Belletti,マヌエル・ベッレッティ
Mattia Cassani,マッティア・カッサーニ
Franco Balmamion,フランコ・バルマミオン
Umberto Mastroianni,ウンベルト・マストロヤンニ
Michele Emiliano,ミケーレ・エミリアーノ
Luciano Berio,ルチアーノ・ベリオ
Riccardo Ferri,リカルド・フェッリ
Gianfranco Ferré,ジャンフランコ・フェレ
Guido Stampacchia,グイード・スタンパッキア
Graziano Pellè,グラツィアーノ・ペッレ
Alvaro Vitali,アルヴァロ・ヴィターリ
Riccardo Cocciante,リッカルド・コッチャンテ
Ruggiero Rizzitelli,ルジェーロ・リッツィテッリ
Francesco Tavano,フランチェスコ・タヴァーノ
Mario Riva,マリオ・リーヴァ
Carlo Miranda,カルロ・ミランダ
Pietro Parolin,ピエトロ・パロリン
Ennio Flaiano,エンニオ・フライアーノ
Gigliola Cinquetti,ジリオラ・チンクェッティ
Anthony Steffen,アンソニー・ステファン
Simone Cantarini,シモーネ・カンタリーニ
Veneti,アドリア・ヴェネティ
Lucas Leiva,ルーカス・レイヴァ
Gianfranco Giagni,ジャンフランコ・ジャンニ
Renata Tebaldi,レナータ・テバルディ
Simone Martini,シモーネ・マルティーニ
Fausto Coppi,ファウスト・コッピ
Federico Tedeschini,フェデリコ・テデスキーニ
Alberto Bottari de Castello,アルベルト・ボッターリ・デ・カステッロ
Carlo Abarth,カルロ・アバルト
Donatella Versace,ドナテラ・ヴェルサーチ
Giovanni Lombardo Radice,ジョヴァンニ・ロンバルド・ラディーチェ
Arrigo Pola,アッリーゴ・ポーラ
Davide Bombardini,ダビデ・ボンバルディーニ
Walter Mazzarri,ワルテル・マッツァーリ
Fabio Grosso,ファビオ・グロッソ
Leonardo Pieraccioni,レオナルド・ピエラッチョーニ
Antonino Zichichi,アントニオ・ツィキキ
Felice Casorati,フェリーチェ・カゾラーティ
Giuseppe Taddei,ジュゼッペ・タッデイ
Giovanni Lombardi,ジョヴァンニ・ロンバルディ
Davide Valsecchi,ダヴィデ・ヴァルセッチ
Rosario Lo Bello,ロザリオ・ロ・ベッロ
Franco Semioli,フランコ・セミオーリ
Leoluca Orlando,レオルカ・オルランド
Emanuele Arciuli,エマニュエレ・アルチウリ
Piero Sraffa,ピエロ・スラッファ
Claudio Langes,クラウディオ・ランジェス
Gianni Poggi,ジャンニ・ポッジ
Paolo Benvenuti,パオロ・ベンヴェヌーティ
Costante Girardengo,コスタンテ・ジラルデンゴ
Paul G. Comba,パオロ・G・コンバ
Gustavo Petro,グスタボ・ペトロ
Giovanni Battaglin,ジョヴァンニ・バッタリン
Enzo Cucchi,エンツォ・クッキ
Paolo Villaggio,パオロ・ヴィラッジョ
Paolo Giobbe,パオロ・ジョッベ
Learco Guerra,レアルコ・グエッラ
Luigi Longo,ルイージ・ロンゴ
Leonardo Domenici,レオナルド・ドメニチ
Domenico Paladino,ミンモ・パラディーノ
Bud Spencer,バッド・スペンサー
Alessandro Nesta,アレッサンドロ・ネスタ
Bernardo Corradi,ベルナルド・コッラーディ
Simone Moro,シモーネ・モーロ
Mario Zanin,マリオ・ツァニン
Alberto Grimaldi,アルベルト・グリマルディ
Riccardo Chailly,リッカルド・シャイー
Maurizio Ganz,マウリツィオ・ガンツ
Marino Marini,マリノ・マリーニ
Delio Rossi,デリオ・ロッシ
Alfonso Cristiano di Borbone-Spagna,アルフォンソ・デ・ボルボン・イ・ボルボン＝ドス・シシリアス
Matteo Bono,マッテオ・ボーノ
Clemente Russo,クレメンテ・ルッソ
Fabiano Santacroce,ファビアーノ・サンタクローチェ
Ettore Bastico,エットーレ・バスティコ
Federico Moccia,フェデリコ・モッチャ
Mattia Sbragia,マッティア・スブラジア
Leopoldo Trieste,レオポルド・トリエステ
Mara Santangelo,マラ・サンタンジェロ
Tathiana Garbin,タチアナ・ガルビン
Giuseppe Galderisi,ジュゼッペ・ガルデリシ
Andrea Sussi,アンドレア・スッシ
Sara Errani,サラ・エラニ
Pericle Fazzini,ペリクレ・ファッツィーニ
Maurizio Stecca,マウリシオ・ステッカ
Valentina Vezzali,バレンチナ・ベッツァーリ
Gianni Rivera,ジャンニ・リベラ
Jannis Kounellis,ヤニス・クネリス
Amleto Giovanni Cicognani,アムレート・ジョヴァンニ・チコニャーニ
Erri De Luca,エルリ・デ・ルカ
Francesco Antonioli,フランチェスコ・アントニオーリ
Corrado Alvaro,コラード・アルバロ
Valeria Golino,ヴァレリア・ゴリノ
Laura Toscano,ラウラ・トスカーノ
Carmelo Bossi,カルメロ・ボッシ
Mina,ミーナ・マッツィーニ
Moreno Torricelli,モレノ・トリチェッリ
Anita Caprioli,アニータ・カプリオリ
Emilio Scanavino,エミリオ・スカナヴィーノ
Piero Manzoni,ピエロ・マンゾーニ
Maria Elena Camerin,マリア・エレナ・カメリン
Karin Knapp,カリン・クナップ
Humberto Honorio,ウンベルト・オノリオ
Sara Gama,サラ・ガマ
Fiorenzo Magni,フィオレンツォ・マーニ
Cristina Chiabotto,クリスティーナ・チャアボット
Clyde Geronimi,クライド・ジョロニミ
Francesco Toldo,フランチェスコ・トルド
Susanna Tamaro,スザンナ・タマーロ
Eros Capecchi,エロス・カペッキ
Matteo Priamo,マッテオ・プリアーモ
Giancarlo Badessi,ジャンカルロ・バデッシ
Antonio Tabucchi,アントニオ・タブッキ
Asia Argento,アーシア・アルジェント
Andrea Noè,アンドレア・ノエ
Gianna Nannini,ジャンナ・ナンニーニ
Valeria Bruni-Tedeschi,ヴァレリア・ブルーニ・テデスキ
Irene Fornaciari,イレーネ・フォルナチャーリ
Ninetto Davoli,ニネット・ダボリ
Luciano Pigozzi,ルチアーノ・ピゴッツィ
Sabrina Salerno,サブリナ・サレルノ
Alberta Brianti,アルベルタ・ブリアンティ
Salvatore Accardo,サルヴァトーレ・アッカルド
Federica Pellegrini,フェデリカ・ペレグリニ
Iva Zanicchi,イーヴァ・ザニッキ
Geno Auriemma,ジノ・アウリーマ
Diego Lugano,ディエゴ・ルガーノ
Daniele Bonera,ダニエレ・ボネーラ
Mirella Freni,ミレッラ・フレーニ
Michele Parrinello,ミケーレ・パリネロ
Edoardo Mortara,エドアルド・モルタラ
Nicola di Grecia,ニコラオス・ティス・エラザス
Aldo Andreotti,アルド・アンドレオッティ
Renzo Palmer,レンツォ・パルメール
Luca Marrone,ルカ・マッローネ
Alfonso Calzolari,アルフォンソ・カルツォラーリ
Fabio Lione,ファビオ・リオーネ
Gianpiero Marini,ジャンピエロ・マリーニ
Sergio Stivaletti,セルジオ・スティバレッティ
Giovanni Arrighi,ジョヴァンニ・アリギ
Giulio Natta,ジュリオ・ナッタ
Donato Coco,ドナート・ココ
Carolina Kostner,カロリーナ・コストナー
Simone Perrotta,シモーネ・ペッロッタ
Stefano Tacconi,ステファノ・タッコーニ
Giacomo Alberione,ヤコブ・アルベリオーネ
Vince Tempera,ヴィンス・テンペラ
Giancarlo Rastelli,ジャンカルロ・ラステリ
Francesco Chicchi,フランチェスコ・キッキ
Alessandro Cagno,アレッサンドロ・カーニョ
Artemide Zatti,アルテミデ・ザッティ
Adriana Ambesi,エイドリアナ・アンベシ
Gilberto Zorio,ジルベルト・ゾリオ
Bruno Nicolai,ブルーノ・ニコライ
Lorella De Luca,ロレッラ・デ・ルーカ
Paolo Sorrentino,パオロ・ソレンティーノ
Maria Grazia Cucinotta,マリア・グラツィア・クチノッタ
Marco Amelia,マルコ・アメリア
Giovanna di Savoia,ジョヴァンナ・ディ・サヴォイア
Greta Scacchi,グレタ・スカッキ
Bruno Sacco,ブルーノ・サッコ
Ana Chumachenco,アナ・チュマチェンコ
Paolo Maldini,パオロ・マルディーニ
Mario Tronti,マリオ・トロンティ
Luca Cadalora,ルカ・カダローラ
Giovanna Amati,ジョバンナ・アマティ
Giulietta Simionato,ジュリエッタ・シミオナート
Marinella Falca,マリネラ・ファルカ
Massimo Ficcadenti,マッシモ・フィッカデンティ
Nicola Ventola,ニコラ・ヴェントラ
Rik Battaglia,リック・バッタリア
Giuseppe Bergomi,ジュゼッペ・ベルゴミ
Luigi Malerba,ルイージ・マレルバ
Francesco Marchisano,フランチェスコ・マルキサーノ
Luca Barbarossa,ルカ・バルバロッサ
Sergio Grieco,セルジオ・グリエコ
Giovanni Galli,ジョバンニ・ガッリ
Adriano Bolzoni,アドリアーノ・ボルゾーニ
Francesco Panetta,フランチェスコ・パネッタ
Pierluigi Collina,ピエルルイジ・コッリーナ
Claudio Ranieri,クラウディオ・ラニエリ
Toto Cutugno,トト・クトゥーニョ
Nina Ricci,ニナ・リッチ
Augusto Caminito,アウグスト・カミニート
Dario David Cioni,ダリオ・チオーニ
Claudio Chiappucci,クラウディオ・キアプッチ
Adriano Malori,アドリアーノ・マローリ
Adriana Facchetti,アドリアーナ・ファッケッティ
Cecilia Maffei,チェチーリア・マッフェイ
Mirka Francia,ミルカ・フランシア
Adriana Asti,アドリアーナ・アスティ
Nuccio Ordine,ヌッチョ・オルディネ
Giuseppe Baldini,ジュゼッペ・バルディーニ
Roger Piantoni,ロジェ・ピアントニ
Antonio Chimenti,アントニオ・キメンティ
Adriano Baffi,アドリアーノ・バッフィ
Bruno Munari,ブルーノ・ムナーリ
Fiona May,フィオナ・メイ
Costanzo Preve,コスタンゾ・プレーヴ
Santo Versace,サント・ヴェルサーチ
Stefania Sandrelli,ステファニア・サンドレッリ
Leonora Ruffo,レオノーラ・ルッフォ
Amy Adams,エイミー・アダムス
Franco Evangelisti,フランコ・エヴァンゲリスティ
Mia Martini,ミア・マルティーニ
Tatiana Guderzo,タティアナ・グデルツォ
Caterina Davinio,カテリーナ・ダヴィニオ
Manuel Quinziato,マヌエル・クインツィアート
Veriano Luchetti,ベリアノ・ルケッティ
Giovanni Pasquale,ジョヴァンニ・パスクアーレ
Enrico Dante,エンリコ・ダンテ
Ernesto Brambilla,エルネスト・ブランビラ
Marzio Bruseghin,マルツィオ・ブルセギン
Sylva Koscina,シルヴァ・コシナ
Luigi Padovese,ルイージ・パドヴェーゼ
Paolo Lorenzi,パオロ・ロレンツィ
Ornella Vanoni,オルネラ・ヴァノーニ
Edmondo Rossoni,エドモンド・ロッソーニ
Franco Interlenghi,フランコ・インテルレンギ
Nicola Pietrangeli,ニコラ・ピエトランジェリ
Roberto Cecon,ロベルト・チェコン
Pietro Caucchioli,ピエトロ・カウッキオーリ
Silvia Farina Elia,シルビア・ファリナ・エリア
Felice Boselli,フェリーチェ・ボゼッリ
Dino Zandegù,ディーノ・ザンデグー
Luciano Bianciardi,ルチアーノ・ビアンチャルディ
Giovanni Sollima,ジョヴァンニ・ソッリマ
Francesco Moriero,フランチェスコ・モリエーロ
Lorenzo Bernucci,ロレンツォ・ベルヌッチ
Giulio Cabianca,ジュリオ・カビアンカ
Sofonisba Anguissola,ソフォニスバ・アングイッソラ
Adriano Panatta,アドリアーノ・パナッタ
Daniele Lupo,ダニエーレ・ルーポ
Santino Spinelli,サンティーノ・スピネッリ
Daniele Bagnoli,ダニエレ・バニョーリ
Souleymane Diamoutene,スレイマン・ディアムテーヌ
Emilio Cecchi,エミリオ・チェッキ
Mike D'Antoni,マイク・ダントーニ
Michele Dancelli,ミケーレ・ダンチェッリ
Giuliano Giannichedda,ジュリアーノ・ジャンニケッダ
Ugo Fano,ウーゴ・ファノ
Guido Cantelli,グィード・カンテッリ
Carlo Zotti,カルロ・ゾッティ
Carlo Rambaldi,カルロ・ランバルディ
John Acquaviva,ジョン・アクワビバ
Severino Poletto,セヴェリーノ・ポレット
Giulia Michelini,ジュリア・ミケリーニ
Gianbattista Baronchelli,ジャンバッティスタ・バロンケッリ
Lorenzo Perosi,ロレンツォ・ペロージ
Paolo Marella,パオロ・マレーラ
Romina Power,ロミナ・パワー
Gala,ガーラ
Roxana Baldetti,ロクサーナ・バルデッティ
Adriano Sofri,アドリアーノ・ソフリ
Stefania Belmondo,ステファーニア・ベルモンド
Amelita Galli-Curci,アメリータ・ガリ＝クルチ
Alda Merini,アルダ・メリーニ
Alessandra Karpoff,アレッサンドラ・カルポフ
Rinaldo Varalda,リナルド・ヴァラルダ
Alberto Meda,アルベルト・メダ
Andrea Anastasi,アンドレア・アナスタージ
Andrea Aureli,アンドレア・アウレリ
Mario Sereni,マリオ・セレーニ
Angelo Infanti,アンジェロ・インファンティ
Andrea Bianchi,アンドレア・ビアンキ
Andrea Boattini,アンドレア・ボアッティーニ
Letizia Moratti,レティツィア・モラッティ
Vanessa Ferrari,バネッサ・フェラーリ
Giulio Castagnoli,ジュリオ・カスタニョーリ
Marco Storari,マルコ・ストラーリ
Laura Gemser,ラウラ・ジェムサー
Romina Oprandi,ロミナ・オプランディ
Gianluca Vialli,ジャンルカ・ヴィアッリ
Joseph Bonanno,ジョゼフ・ボナンノ
Joe Colombo,ジョエ・コロンボ
Laura Antonelli,ラウラ・アントネッリ
Licia Albanese,リチア・アルバネーゼ
Nello Pazzafini,ネッロ・パッツァフィーニ
Paolo Emilio Thaon di Revel,パオロ・タオン・ディ・リベレ
Gastone Nencini,ガストネ・ネンチーニ
Renata Scotto,レナータ・スコット
Federico Ferrari,フェデリコ・フェラーリ
Lou Castel,ルー・カステル
Caterina Murino,カテリーナ・ムリーノ
Mauro Del Vecchio,マルオ・デル・ヴェッキオ
Daniele Nardello,ダニエーレ・ナルデッロ
Mario Cecchi Gori,マリオ・チェッキ・ゴーリ
Maximilian Sciandri,マキシミリアン・シャンドリ
Gianna Beretta Molla,ジアンナ・ベレッタ・モッラ
Mario Castelnuovo-Tedesco,マリオ・カステルヌオーヴォ＝テデスコ
Gustavo Pesenti,グスタヴォ・ペセンティ
Lino Capolicchio,リーノ・カポリッキオ
Fiorenza Cossotto,フィオレンツァ・コッソット
Michael Agazzi,ミカエル・アガッツィ
Miuccia Prada,ミウッチャ・プラダ
Caterina Valente,カテリーナ・ヴァレンテ
Monty Banks,モンティ・バンクス
Luca Cambiaso,ルカ・カンビアーソ
Emiliano Viviano,エミリアーノ・ヴィヴィアーノ
Alexia,アレクシア
Aldo Protti,アルド・プロッティ
Daniela Bianchi,ダニエラ・ビアンキ
Dino Buzzati,ディーノ・ブッツァーティ
Moana Pozzi,モアナ・ポッツィ
Andrea Caracciolo,アンドレア・カラッチョロ
Ondina Valla,トレビゾンダ・ヴァッラ
Andrea Bregno,アンドレア・ブレーニョ
Anton Giulio Majano,アントン・ジュリオ・マセノ
Ivan Gotti,イヴァン・ゴッティ
Silvia Di Pietro,シルビア・ディ・ピエトロ
Alessia Filippi,アレシア・フィリピ
Marco Dente,マルコ・デンテ
Andrea Cordero Lanza di Montezemolo,アンドレア・コルデロ・ランツァ・ディ・モンテゼモロ
Andrea Cossu,アンドレア・コッス
Elisa Rigaudo,エリザ・リガウド
Andrea Barzini,アンドレア・バルジーニ
Andrea Collinelli,アンドレア・コッリネッリ
