Polska,波蘭
Centralny Obóz Pracy w Potulicach,博图里采中央劳改营
Międzygórze,濟西熱
Auschwitz II – Birkenau,比尔克瑙
Orzeł za najlepszą główną rolę kobiecą,波蘭奧斯卡獎最佳女主角
Sierpc,謝爾普茨
Mikołów,米科武夫
SZD-9 Bocian,SZD-9鸛滑翔機
Ekoregion lasów karpackich,喀爾巴阡山脈針葉林
Dzień Nauczyciela,教师节
Piaseczno,皮亞塞奇諾
powiat kolbuszowski,科爾布紹瓦縣
Uniwersytet Jagielloński w Krakowie,雅盖隆大学
Konfederacja polsko-czechosłowacka,波蘭-捷克斯洛伐克聯合
Wołomin,沃沃明
Legnica,萊格尼察車站
Olsztyn Główny,奥尔什丁火车总站
Opole Główne,奧波萊火車總站
Łódź Fabryczna,羅茲法布利茲納車站
Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu,波茲南醫學大學
Krajenka,克拉延卡
Plac Marszałka Józefa Piłsudskiego w Warszawie,畢蘇斯基廣場
Legia Warszawa,華沙軍團足球會
powiat bielski,別爾斯克縣
Tatry,塔特拉山脉
Muzeum Narodowe w Poznaniu,國立波茲南博物館
Bakałarzewo,巴卡瓦热沃
Pomnik Chrystusa Króla w Świebodzinie,基督君王像
Lubaczów,盧巴丘夫
powiat makowski,馬庫夫縣
Szadek,沙代克
Wawel,瓦维尔山
Katowice,卡托維茲車站
Bogusze,博古舍
Bydgoszcz Główna,比得哥什火车总站
Gdynia Główna,格丁尼亚火车总站
Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego,百事球場
Zgłowiączka,茲格沃維翁奇卡河
Ciechanów,切哈努夫
Otwock,奧特沃茨克
Sieradz,謝拉茲
Sucha Beskidzka,貝斯基德地區蘇哈
Sandomierz,桑多梅日
Puszcza Białowieska,比亞沃維耶扎原始森林
Głogów Małopolski,小波兰地区格沃古夫乡
Aleksandrów Łódzki,羅茲地區亞歷山德魯夫
Filharmonia Bałtycka,波蘭波羅的海愛樂樂團
powiat otwocki,奧特沃茨克縣
Odolanów,奧多拉努夫
Oblężenie Wrocławia,布列斯勞圍城戰
Barlinek,巴爾利內克
bonifratrzy,聖若望昆仲會
Baranów Sandomierski,巴拉諾夫桑多米爾斯基
Barbakan w Krakowie,克拉科夫瓮城
Piast Gliwice,皮亞斯特足球俱樂部
Stadion GKS Bełchatów,GKS體育場
Muzeum Narodowe w Krakowie,克拉科夫國家博物館
Liswarta,利斯瓦爾塔河
Bazylika Matki Bożej Bolesnej Królowej Polski w Licheniu Starym,利亨圣母朝圣所
powiat sierpecki,謝爾普茨縣
Barwice,巴爾維采
Barycz,巴雷奇河
Łomna,沃姆纳
Sokółka,索庫烏卡
Tramwaje w Bydgoszczy,比得哥什電車
Mrągowo,姆龍戈沃
Lubniewice,盧布涅維采
Podlasie,波德拉西亚
Knyszyn,克內申
Rotunda PKO w Warszawie,PKO圓形大廳
Bolesławice,博萊斯瓦維采
linia kolejowa nr 3,波兰铁路3号线
Mariawityzm,瑪麗亞維特教會
Państwowe Muzeum Auschwitz-Birkenau w Oświęcimiu,奧斯維辛－比克瑙國家博物館
Wałcz,瓦烏奇
Buk,布克
powiat szydłowiecki,希德沃維茨縣
Bartoszyce,巴爾托希採
Łobez,沃貝茲
Góra,古拉
Bazylika konkatedralna Wniebowzięcia Najświętszej Maryi Panny w Gdańsku,圣玛利亚教堂
Most Grunwaldzki,格倫瓦德橋
Krynica Morska,克里尼查謨爾斯卡
Kościerzyna,科希切日納
Tramwaje w Częstochowie,琴斯托霍瓦電車
Barczewo,巴爾切沃
Bardo,巴爾多
Oborniki Śląskie,希隆斯克地區奧博爾尼基
Trzcianka,奇強卡
Śląskie Kamienie,西里西亚石头山
Gdańsk Wrzeszcz,格但斯克弗熱什茨車站
historia Polski w latach 1945–1989,波蘭歷史
Polska w Konkursie Piosenki Eurowizji dla Dzieci,波蘭在歐洲青少年歌唱大賽之歷年表現
droga krajowa nr 3,国道3号
Szydłowiec,希德沃維茨
Panteon Wielkich Polaków,波兰先贤祠
powiat brzeski,布熱斯科縣
Arka Gdynia,格丁尼亞阿爾卡足球俱樂部
Diecezja tarnowska,天主教塔爾努夫教區
Getto lubelskie,卢布林隔都
Politechnika Krakowska im. Tadeusza Kościuszki,克拉科夫理工大学
powiat pruszkowski,普魯什庫夫縣
Janikowo,亞尼科沃
powiat gorlicki,戈爾利采縣
Bitwa Warszawska,华沙战役
Lutowiska,盧托維斯卡
Orlen,奥伦
powiat wołomiński,沃沃明縣
powiat płoński,普翁斯克縣
Nagroda Literacka Nike,尼刻獎
Stąporków,斯他朴古夫
Przasnysz,普扎斯内什
Reda,雷達
Wejherowo,韋伊海羅沃
Świątynia Opatrzności Bożej w Warszawie,天佑国家圣殿
Bitwa o Poznań,波兹南战役
Wybory prezydenckie w Polsce w 1990 roku,1990年波蘭總統選舉
Operacja Samum,萨姆行动
Nysa,尼斯
Mazury,馬祖里亞
Bochnia,博赫尼亞
powiat sokołowski,索科武夫縣
powiat przysuski,普日蘇哈縣
Włodawa,弗沃達瓦
powiat radomski,拉多姆縣
powiat pułtuski,普烏圖斯克縣
powiat żyrardowski,日拉爾杜夫縣
Turoń,图龙
Reprezentacja Polski w koszykówce mężczyzn,波蘭國家男子籃球隊
Pomnik Obrońców Wybrzeża,西盘半岛纪念碑
Sierpień 1980,1980年8月波兰
powiat aleksandrowski,亞歷山德魯夫縣
powiat bydgoski,比得哥什縣
Lubsza,盧布沙河
Sejny,塞伊内
Siekierki,谢凯尔基
Krosno,克羅斯諾
Stadion Oporowska,奥波洛瓦斯卡体育场
Sanktuarium Bożego Miłosierdzia,救主慈悲圣殿
Tymczasowy Rząd Jedności Narodowej,民族團結臨時政府
Strzelcy podhalańscy,波蘭高地步槍隊
powiat będziński,本津縣
Transport kolejowy w Polsce,波蘭鐵路交通
Wielka Synagoga we Włodawie,弗沃達瓦猶太會堂
Kunowice,庫諾威
Województwo śląskie,西里西亞自治省
Orkan Kyrill,風暴基里爾
GKS Bełchatów,貝烏哈圖夫GKS足球俱樂部
trasa europejska E67,欧洲E67公路
Elektrownia Rybnik,雷布尼克發電廠
powiat węgrowski,文格魯夫縣
Starachowice,斯塔拉霍維采
Lidzbark Warmiński,瓦爾米亞地區利茲巴克
Arkadia,韋斯特菲爾德阿卡迪亞購物中心
Ziemia chełmińska,海乌姆诺
Noteć,諾泰奇河
Stalowa Wola,斯塔洛瓦沃拉
Węgorzewo,文戈熱沃
Jezioro Myśliborskie Wielkie,大米策爾堡湖
kuchnia polska,波蘭飲食
Bukowo,布科沃湖
Atlas Arena,阿特拉斯競技場
kościół Zmartwychwstania Pańskiego w Katowicach,复活堂 (卡托维兹)
Gołdapa,戈烏達帕河
Płonia,普沃尼亞河
Zamek Królewski w Warszawie,皇家城堡
Poprad,波普拉德河
powiat sokólski,索科烏卡縣
Strzyżów,斯奇茹夫
Tatarzy w Polsce,立陶宛韃靼人
powiat bełchatowski,貝烏哈圖夫縣
Podbeskidzie Bielsko-Biała,波德比斯基足球俱樂部
Kujawy,庫亞維
Rysy,萊希山
Kurówka,库鲁夫卡河
Polska na letnich igrzyskach olimpijskich,奥林匹克运动会波兰代表团
Krapkowice,克拉普科維采
Dęblin,登布林
Pisa,比薩河
Gostynin,戈斯蒂寧
Tykocin,蒂科欽
Central Tower,奧科塔
Kruszyniany,克魯日尼亞尼
powiat kartuski,卡爾圖濟縣
Pogoń Szczecin,什切青波貢足球俱樂部
Puchar Polski w piłce nożnej,波蘭杯
Bohoniki,伯赫尼基
Pilica,皮利察河
W-3 Sokół,W-3索科爾直升機
Pałac Przebendowskich w Warszawie,普熱本多夫斯基宮
Niezależne Zrzeszenie Studentów,獨立學生聯盟
Socjaldemokracja Polska,波蘭社會民主黨
Stronnictwo Narodowe,国家党
Bytowa,貝圖瓦河
Olkusz,奧爾庫什
Drezdenko,德雷兹登科
Władysławowo,弗瓦迪斯瓦沃沃
Nogat,諾加特河
Gmyrdek,格梅爾代克河
Pieniny,皮耶尼內山脈
Warszawa Ochota,華沙奧喬塔車站
media w Polsce,波蘭媒體
TVP Kultura,波蘭電視台文化頻道
Czaplinek,恰普利內克
Głuchołazy,格武霍瓦濟
Działdowo,賈烏多沃
Grodków,格羅德庫夫
Bombardier Traxx,庞巴迪TRAXX
Ostrów Mazowiecka,馬佐夫舍地區奧斯特魯夫
Maków Mazowiecki,馬佐夫舍地區馬庫夫
Nieszawa,涅沙瓦
Dunajec,杜納耶茨河
Orogeneza hercyńska,法利斯葛造山運動
Giżycko,吉日茨科
Sławków,斯瓦夫庫夫
Nisko,尼斯科
Borowy Las,博羅韋拉斯
Zamek Piastowski w Gliwicach,格利維采城堡
Łemkowie,蘭科人
Układ zgorzelecki,茲戈熱萊茨条约
Mrocza,姆羅恰
powiat przemyski,普熱梅希爾縣
Długi Targ,长广场
Przeworsk,普熱沃斯克
Alwernia,阿爾韋尼亞
Radzyń Podlaski,波德拉謝地區拉曾
Mława,姆瓦瓦
Łańcuch alpejsko-himalajski,阿尔卑斯带
Bitwa pod Gołyminem,戈維明戰役
Zakliczyn,扎克利琴
Order Virtuti Militari,军事美德勋章
Port lotniczy Łódź-Lublinek,羅茲
Pomnik Poległych Stoczniowców 1970,1970年死难造船厂工人纪念碑
Województwo legnickie,萊格尼察省
Pol’and’Rock Festival,波蘭胡士托音樂藝術節
Pieniężno,佩尼恩日諾
Żandarmeria Wojskowa,波蘭憲兵
Siennica,希耶尼卡乡
Iłowo-Osada,伊沃沃
Potulice,博图里采
Koleje Mazowieckie – KM,馬佐夫舍鐵路
porozumienia sierpniowe,格但斯克協議
bar mleczny,牛奶吧
Trzebinia,切比尼亞
Gołdap,戈乌达普
Kraśnik,克拉希尼克
Wołów,沃武夫
Czarnowąsy,恰尔诺翁瑟
Dębica,登比察
Solaris Bus & Coach,索拉瑞斯巴士客车公司
Swobnica,斯否布尼察
Pszczyna,普什奇納
powiat lubiński,卢宾县
powiat lwówecki,希隆斯克地區勒武韋克縣
powiat miński,明斯克縣
powiat grójecki,格魯耶茨縣
Rydułtowy,雷杜烏托維
Bielsk Podlaski,波德拉謝地區別爾斯克
Polska Partia Robotnicza,波兰工人党
Chełmża,海烏姆扎
Woźnawieś,沃兹纳维斯
Kamieniec Ząbkowicki,卡緬涅茨宗布科維采
powiat kozienicki,科傑尼采縣
Borówno,波卢夫诺（比得哥什县）
powiat płocki,普沃茨克縣
powiat mławski,姆瓦瓦縣
powiat gostyniński,戈斯蒂寧縣
Nowy Dwór Mazowiecki,馬佐夫舍地區新莊園
Biała,比亞瓦河 (維斯瓦河支流)
Biało-Czerwone Iskry,紅白火花
Bełżyce,貝烏日采
Departament bydgoski,比得哥什部
podział administracyjny Polski,波蘭行政區劃
Jasło,亚斯沃
Drewniane kościoły południowej Małopolski,南部小波蘭木製教堂
Bezpartyjny Blok Wspierania Reform,支持改革无党派联盟
Piątek,皮扬泰克
Drohiczyn,德羅希琴
Mikołajki,米科瓦伊基
Biblioteka Narodowa,波蘭國家圖書館
Biały Bór,比亞維布爾
Wolsztyn,沃尔什滕
Biała Piska,比亞瓦皮斯卡
Szczecinek,什切齊內克
powiat włodawski,弗沃達瓦縣
Krotoszyn,克羅托申
powiat lubański,盧班縣
powiat nowodworski,格但斯克新莊園縣
Grybów,格雷布夫市
Kanał Augustowski,奥古斯图夫运河
powiat nowotarski,新塔爾格縣
Padniewko,帕德纽克
Janowiec Wielkopolski,大波蘭地區亞諾維茨
Wilamowice,維拉莫維采
Miedź Legnica,萊格尼卡
Liga Polskich Rodzin,波兰家庭联盟
powiat radziejowski,拉傑尤夫縣
Zamek Grodno,格羅德諾城堡
Hel,赫爾
Zbrodnia w Ciepielowie 1939,切畢亞洛夫屠殺案
Wkra,弗克拉河
Województwo płockie,普沃茨克省
Gwardia Warszawa,華沙基華迪亞體育會
powiat łosicki,沃西采縣
Gorlice,戈爾利采
literatura polska,波兰文学
powiat stalowowolski,斯塔洛瓦沃拉縣
Wieniawa,维尼亚瓦
Bielany,别拉内区
Bielawa,別拉瓦
Archidiecezja poznańska,天主教波兹南总教区
Tatry Wysokie,高塔特拉山
Pojezierze Mazurskie,马祖里湖区
Polonia Bytom,比托姆波蘭人足球俱樂部
Centrum LIM,中央LIM
Andrychów,安德雷胡夫
Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,蕭邦國際鋼琴比賽
KL Warschau,華沙集中營
Warszawa Centralna,华沙中央车站
Diecezja radomska,天主教拉多姆教区
Medyk Konin,科寧醫生女子足球俱樂部
Stanowisko archeologiczne w Biskupinie,比斯庫平
Konarzewo,柯納澤沃
Lipowina,利波繃納
Akademia Lubrańskiego,卢布兰斯基学院
sołtys,自治市鎮官
Biebrza,別布扎河
Auschwitz III – Monowitz,莫诺维茨集中营
Stalag Luft III,拉夫特3號俘虜收容所
Sąd Ostateczny,最后的审判 (梅姆林)
Rynek Główny w Krakowie,中央集市广场
Sobór św. Aleksandra Newskiego w Łodzi,亞歷山大·涅夫斯基主教座堂
Białobrzegi,比亞沃布熱吉
Białołęka,比亞沃文卡區
Brodnica,布罗德尼察
Sulejówek,苏雷欧维克
Kobyłka,科貝烏卡
Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie,华沙泽尔维罗维奇戏剧学院
H. Cegielski - Poznań,策傑爾斯基工廠
Muzeum Wojska Polskiego w Warszawie,波蘭軍隊博物館
Bieżuń,別容
Bierutów,別魯圖夫
Kargowa,卡尔戈瓦乡
droga krajowa nr 2,国道2号
Szczytno,什奇特諾
Diecezja opolska,天主教奥波莱教区
Diecezja pelplińska,天主教佩爾普林教區
Diecezja płocka,天主教普沃茨克教区
Węgrów,文格魯夫
Sojusz Lewicy Demokratycznej,民主左派聯盟
Wschowa,弗斯霍瓦
Trzebnica,切布尼察
Pisz,皮什
Frampol,弗蘭波爾
Wieża Bismarcka w Szczecinie,俾斯麦塔
Oleszyce,奧萊希采
Sokołów Małopolski,小波蘭地區索科武夫
Wojkowice,沃伊科維采
Góra Kalwaria,古拉卡爾瓦里亞
Przysucha,普日蘇哈
Józefów,約瑟夫烏
Olecko,奧萊茨科
Aula Leopoldina,利奥波德礼堂
Lubliniec,盧布利涅茨
Obrona Wizny,威兹那战役
Ulica Długa w Gdańsku,长街
Communio,共融
obrona Helu,海爾半島戰役
Arłamów,阿瓦莫夫
Chojna,霍伊納
operacja Tannenberg,坦能堡行動
Masyw Czeski,波西米亞山脈
Arsenał Królewski w Warszawie,华沙兵工厂
Konstantynów Łódzki,羅茲省康斯坦丁努夫
Głowno,格沃夫諾
Cedynia,采迪尼亞
Brześć Kujawski,庫亞維地區布熱希奇
Bukowno,布科夫諾
Kowary,科瓦雷
powiat milicki,米利奇縣
powiat oławski,奧瓦瓦縣
system oświaty w Polsce,波蘭教育
Namysłów,納梅斯武夫
Milicz,米利奇
Goniądz,戈尼翁茲
powiat wołowski,沃武夫縣
powiat wrocławski,弗羅茨瓦夫縣
Głuszyca,格武希察
C&A,C&A
Radomyśl Wielki,大拉多梅希爾
Ulanów,乌兰努夫
Diecezja bydgoska,天主教比得哥什教区
Diecezja siedlecka,天主教谢德尔采教区
Zdziebórz,兹捷布什
Sędziszów Małopolski,小波蘭地區森濟舒夫
Skawinka,斯卡溫卡河
Diecezja legnicka,天主教莱格尼察教区
Zastal Zielona Góra,斯特梅特绿山城
Diecezja kaliska,天主教卡利什教区
Diecezja kielecka,天主教凯尔采教区
diecezja koszalińsko-kołobrzeska,天主教科沙林-科沃布日格教区
diecezja łomżyńska,天主教沃姆扎教区
Diecezja łowicka,天主教沃维奇教区
Biuro Ochrony Rządu,政府保護局
Ciechocinek,切霍齊內克
Brwinów,布爾維努夫
Jarosław,雅罗斯瓦夫
Kudowa-Zdrój,庫多瓦-茲德魯伊
powiat polkowicki,波爾科維采縣
powiat trzebnicki,切布尼察縣
Dwór Artusa w Gdańsku,阿特斯法院
Skórcz,斯庫爾奇
Olesno,奧萊斯諾
powiat świdnicki,希維德尼察縣
Strzelce Krajeńskie,斯切爾采-克拉延斯凱
Karaimi,卡拉伊姆人
droga ekspresowa S3,S3快速公路
Głogówek,格沃古韋克
Diecezja rzeszowska,天主教热舒夫教区
WUWA,工作地點及家居展覽
Diecezja sandomierska,天主教桑多梅日教区
diecezja sosnowiecka,天主教索斯诺维茨教区
Diecezja toruńska,天主教托伦教区
Pruszków,普魯斯科夫
Kopiec Krakusa,克拉庫斯丘
Połczyn-Zdrój,波烏琴-茲德魯伊
powiat chełmiński,海烏姆諾縣
powiat golubsko-dobrzyński,戈盧布-多布任縣
powiat złotoryjski,茲沃托雷亞縣
Konstancin-Jeziorna,康斯坦欽-耶焦爾納
powiat zgorzelecki,茲戈熱萊茨縣
powiat ząbkowicki,希隆斯克地區宗布科維采縣
Instytut Pamięci Narodowej,波蘭國家紀念學院
Żydowski Związek Wojskowy,犹太军事联盟
pogrom w Jedwabnem,耶德瓦布内反犹骚乱
Gozdnica,戈茲德尼察
Chełmek,海烏梅克
powiat krasnostawski,克拉斯內斯塔夫縣
Redłowo,雷德洛沃
diecezja włocławska,天主教弗沃茨瓦韦克教区
Diecezja zamojsko-lubaczowska,天主教扎莫希奇-卢巴丘夫教区
stan wojenny w Polsce w latach 1981–1983,波兰戒严
Piława Górna,上皮瓦瓦
Diecezja elbląska,天主教埃尔布隆格教区
Diecezja ełcka,天主教埃乌克教区
Jezioro Ełckie,埃烏克湖
diecezja gliwicka,天主教格利维采教区
Kolumna Zygmunta III Wazy,西吉斯蒙德圆柱
Głubczyce,格武布奇采
Sulęcin,蘇倫欽
Dąbrowa Białostocka,比亞韋斯托克的棟布羅瓦
Czartoryscy herbu własnego,恰尔托雷斯基家族
Bogdaniec,波格丹涅茨
Komisja Nadzoru Finansowego,波蘭金融管理局
powiat lipnowski,利普諾縣
powiat inowrocławski,伊諾弗羅茨瓦夫縣
Zamek w Łańcucie,萬楚特城堡
Brda,布爾達河
Boguchwała,博古赫瓦瓦
Boguszów-Gorce,博古舒夫-戈爾采
Warszawska Kolej Dojazdowa,華沙通勤鐵路
Kazimierz Dolny,卡齊米日多爾尼
Świebodzin,希维博津乡
Polska szkoła filmowa,波蘭電影學校
Strzelin,斯切林
Bitwa pod Gołębiem,戈瓦布战役
powiat strzyżowski,斯奇茹夫縣
Bodzentyn,博曾滕
powiat białobrzeski,比亞沃布熱吉縣
powiat grudziądzki,格魯瓊茲縣
Kęty,肯蒂
powiat myślenicki,梅希萊尼采縣
Ciężkowice,錢日科維采
Pałac Blanka,布蘭克宮
Armia Polska we Francji,藍軍
Szczuczyn,什丘琴
Muzeum Budownictwa Ludowego w Sanoku,薩諾克鄉村建築博物館
Bojanowo,博亞諾沃
Przedecz,普熱代奇
Prudnik,普魯德尼克
Port Police,波利采港
Łapanów,瓦帕努夫
powiat wąbrzeski,翁布熱伊諾縣
powiat włocławski,弗沃茨瓦韋克縣
Rudy,魯迪
Kałuszyn,卡武申
Lubawa,盧巴瓦
Bolków,博爾庫夫
powiat rypiński,雷平縣
Konstytucja Rzeczypospolitej Polskiej,波蘭憲法
Państwowe Muzeum Etnograficzne w Warszawie,國立民族學博物館
Stadion Miejski w Krakowie,克拉科夫市立体育场
powiat wodzisławski,沃濟斯瓦夫縣
Zamek w Bolkowie,博爾庫夫城堡
Nowy Staw,新斯塔夫
Koalicja Obywatelska,公民聯盟
Dziemiany,捷姆亚尼
Okonek,奧科內克
Chociwel,霍齊韋爾
Bytom Odrzański,奧得河畔比托姆
Skoczów,斯科丘夫
Brzostek,布若斯泰克
Końskie,孔斯凱
Koszęcin,科斯岑丁
Komańcza,戈曼薩
Miłosław,米沃斯瓦夫
Pałac Sapiehów w Warszawie,薩皮埃哈宮
Górzno,古日諾
Reszel,雷謝爾
Poniatowa,波尼亞托瓦
powiat świecki,希維切縣
Park Krajobrazowy Łuk Mużakowa,马斯喀拱形
Prochowice,普羅霍維采
Krzywy Domek,哈哈屋
Glinojeck,格利諾耶茨克
Szczytna,斯齐特纳
Orneta,奥尔内塔
Józefów,約瑟夫烏
Prabuty,普拉布蒂
Gryfów Śląski,希隆斯克地區格雷富夫
Pokój,波科采
Rogoźno,羅戈伊諾
Górowo Iławeckie,古羅沃伊瓦韋茨凱
Jedlina-Zdrój,耶德利納-茲德魯伊
Wojcieszów,沃伊切舒夫
Chodecz,霍代奇
Nowy Młyn,新米赫莱
Paczków,帕奇庫夫
Nakło nad Notecią,諾泰奇河畔納克沃
Karpaty Wschodnie,東喀爾巴阡山脈
Mistrzostwa Europy w Piłce Siatkowej Kobiet 2009,2009年歐洲女子排球錦標賽
Tramwaje w Szczecinie,什切青電車
Ołtarz Wita Stwosza w Krakowie,克拉科夫圣母大殿祭坛画
Stronie Śląskie,斯托尼拉斯奇
Głogów Małopolski,小波蘭地區格沃古夫
Przełęcz Dukielska,杜克拉山口
Mońki,蒙基
Jarosławiec,雅罗斯瓦夫维奇
Sieraków,謝拉庫夫
Piechowice,佩霍維采
Moryń,莫倫
Kępice,肯皮采
Pruszcz Gdański,格但斯克普魯什奇
Karlino,卡爾利諾
Wielka akcja deportacyjna w getcie warszawskim,华沙大行动
Kunów,庫努夫
Kosów Lacki,科苏夫拉茨基
Reprezentacja Polski w hokeju na trawie mężczyzn,波兰国家曲棍球队
Festiwal Interwizji,国间歌曲大赛
Canal+ Premium,Canal+波兰台
Grunwald,格倫瓦德
Czerwińsk nad Wisłą,切爾溫斯克
Dorohucza,多罗胡察
trasa europejska E65,欧洲E65公路
powiat chełmski,海烏姆縣
Skała,斯卡瓦
Stary Sącz,舊松奇
Sanktuarium pasyjno-maryjne w Kalwarii Zebrzydowskiej,卡瓦利－澤布日多夫斯津公園
powiat węgorzewski,文戈熱沃縣
Kościół św. Wojciecha w Krakowie,圣亚德伯堂
Pałac Branickich w Warszawie (Miodowa),布蘭尼基宮
Pelplin,佩爾普林
Witnica,維特尼察
Drawno,德拉夫諾
Dobrzany,多布扎內
archikatedra św. Jana Chrzciciela we Wrocławiu,弗罗茨瓦夫主教座堂
Ratusz we Wrocławiu,弗罗茨瓦夫市政厅
Wieleń,維倫
Polanów,波拉努夫
Kalisz Pomorski,波莫瑞地區卡利什
Obra,奧布拉河
Ostróda,奧斯特魯達
Europa Środkowo-Wschodnia,中东欧
TVP Sport,TVP體育
powiat zduńskowolski,茲敦斯卡沃拉縣
Mieszkowice,梅什科維采
Pasłęk,帕斯文克
Wyrzysk,維日斯克
Dobiegniew,多别格涅夫
Mirosławiec,米羅斯瓦維茨
Ińsko,因斯科
Sianów,夏努夫
Wyszków,維什庫夫
Tomaszów Lubelski,盧布林地區托馬舒夫
Niepołomice,涅波沃米采
Recz,雷奇
Pełczyce,佩烏奇采
Ursynów,乌尔瑟努夫区
powiat tomaszowski,盧布林地區托馬舒夫縣
Pradolina Toruńsko-Eberswaldzka,埃伯斯瓦尔德冰河谷
Warsaw Trade Tower,華沙貿易塔
powiat radzyński,波德拉謝地區拉曾縣
powiat rycki,雷基縣
TVP Polonia,波蘭電視台波蘭頻道
TVP HD,波蘭電視台高畫質台
Polsat Sport,波兰卫星体育
Borne Sulinowo,博爾內蘇利諾沃
Rudnik nad Sanem,桑河畔鲁德尼克
powiat lubelski,盧布林縣
"Konferencja Narodów Zjednoczonych w sprawie Zmian Klimatu, Poznań 2008",2008年聯合國氣候變化大會
powiat lubartowski,盧巴爾圖夫縣
Paszporty w Polsce,波蘭護照
ORP Orzeł,雕号潜艇
powiat opolski,盧布林地區奧波萊縣
Tarnogród,塔爾諾格魯德
Jezioro Paczkowskie,帕奇庫夫湖
Uniwersytet Ekonomiczny we Wrocławiu,弗罗茨瓦夫经济大学
Uniwersytet Latający,移動大學
Bitwa pod Płowcami,普沃切战役
Dynów,迪努夫
powiat bialski,比亞瓦-波德拉斯卡縣
powiat biłgorajski,比烏戈拉伊縣
Spektrum,頻譜塔
Wojczyce,瓦波日赫
Błaszki,布瓦什基
Nowogard,諾沃加德
Gronowo,格罗诺沃
Katedra św. Marii Magdaleny we Wrocławiu,瑪利亞瑪達肋納堂
Elektrownia Bełchatów,貝烏哈圖夫發電廠
Gunica,古利察河
Spodek,飛碟館
Maszewo,馬謝沃
gospodarka Polski,波蘭經濟
Połaniec,波瓦涅茨
Kłodawa,克沃達瓦
Pilzno,皮爾茲諾
Flaga śląska,西里西亞旗幟
Kowalewo Pomorskie,波莫瑞地區科瓦萊沃
powiat parczewski,帕爾切夫縣
Gubałówka,古巴洛瓦卡山
powiat puławski,普瓦維縣
Gąbin,貢賓
Kobylin,科貝林
Rzepin,熱平
Wielka Zbrojownia w Gdańsku,格但斯克大軍械庫
Byczyna,貝奇納
Dziwnów,濟夫努夫
Centralwings,中央之翼
Narodowy Instytut Onkologii im. Marii Skłodowskiej-Curie – Państwowy Instytut Badawczy,华沙居里研究院
Wielka Synagoga w Białymstoku,比亚韦斯托克大犹太会堂
Wielka Synagoga w Warszawie,大猶太會堂
Rynek we Wrocławiu,中央集市广场 (弗罗茨瓦夫)
Poniatowscy herbu Ciołek,波尼亚托夫斯基家族
Świna,希維納河
Rudawa,魯達瓦河
Szopki krakowskie,肖普卡
Kozienice,科傑尼采
Orzysz,奧日什
Kisielice,基謝利采
Raszyn,拉申
Osiecznica,奧謝奇尼察
Polski październik 1956,波蘭十月
Maków Podhalański,波德哈雷的马库夫
Ryglice,雷格利采
Szczucin,什丘欽
E. Wedel,E·威德爾
transport w Polsce,波蘭交通
Mistrzostwa Świata w Narciarstwie Klasycznym 1962,1962年北欧滑雪世界锦标赛
Główny Urząd Statystyczny,波蘭中央統計局
Grybów,格雷布夫
Pyzdry,佩茲德雷
Piwniczna-Zdrój,皮夫尼奇納-兹德魯伊
powiat suski,蘇哈縣
Polskie Radio,波蘭電台
powiat świdnicki,希維德尼克縣
Zakon Braci Mniejszych,方濟會小修士
Kock,科茨克
Niezależny Samorządny Związek Zawodowy „Solidarność” w latach 1980–1989,團結工聯歷史
Martynów,马尔蒂努夫
Margonin,馬爾戈寧
Jaworzyna Śląska,希隆斯克地區亞沃日納
Prezydent Rzeczypospolitej Polskiej,波兰总统
Kolbuszowa,科爾布紹瓦
Wielimie,維利梅湖
Siewierz,謝維日
Tolkmicko,托爾克米茨科
Tuczno,圖奇諾
powiat starachowicki,斯塔拉霍維采縣
Hutnik Kraków,胡特尼克體育會
Radłów,拉德武夫
Mistrzostwa Świata w Podnoszeniu Ciężarów 2002,2002年世界举重锦标赛
Tatry Zachodnie,西塔特拉山
Sukiennice w Krakowie,纺织会馆
Narodowe Odrodzenie Polski,波兰民族复兴
Chocianów,霍恰努夫
Gniewkowo,格涅夫科沃
Dolsk,多爾斯克
Pogorzela,波戈熱拉
Raszków,拉什庫夫
Bystrzyca Kłodzka,貝斯奇察克沃茲卡
Debrzno,代布日諾
Człopa,奇沃帕
Elektrownia Jaworzno,亞沃日諾發電廠
Reprezentacja Polski w piłce nożnej kobiet,波蘭國家女子足球隊
Jurgów,于尔高
powiat łukowski,武庫夫縣
Więcbork,溫茨堡
Janów Lubelski,盧布林地區亞努夫
powiat zamojski,扎莫希奇縣
Mirsk,米爾斯克
Szlichtyngowa,什利赫滕戈瓦
Wielka Czantoria,大贊托利亞山
Szkoła lwowsko-warszawska,洛华华沙逻辑学校
marszałek województwa,省長 (波蘭)
Mikstat,米克斯塔特
Brzeszcze,布熱什切
Tramwaje w Grudziądzu,格魯瓊茲電車
Hotel Europejski w Warszawie,歐羅普斯基酒店
Hotel Polonia w Warszawie,波隆尼亞宮酒店
Archikatedra Chrystusa Króla w Katowicach,基督君王主教座堂
Bazylika katedralna św. Jana Chrzciciela i św. Jana Ewangelisty w Toruniu,托倫聖若翰洗者與聖史若望聖殿主教座堂
Oksywie,歐克斯威
trasa europejska E77,欧洲E77公路
