곡산군,谷山郡
무산철산역,茂山铁山站
위연역,渭渊站
무수역,舞袖站
대택역,大泽站
갈마각,葛麻角
대동문영화관,大同門映畫館
조선우표박물관,朝鮮郵票展示館
제3군단,朝鲜人民军第3军
평양시간,平壤時間
수의역,守義站
일본-조선민주주의인민공화국 관계,日本－朝鲜关系
숭인전,崇仁殿
북한에 대한 제재,对朝鲜的制裁
부용당,芙蓉堂
두만강동,豆滿江洞
조선농업근로자동맹,朝鮮農業勞動者同盟
이압역,二鴨站
덕현역,德岘站
태천역,泰川站
송학역,松鶴站
제남역,济南站
송화역,松禾站
거산역,居山站
송화온천역,松禾温泉站
송흥역,松興站
거차역,巨次站
제4군단,朝鮮人民軍第4軍
수교역,水桥站
도내역,岛内站
건자역,乾自站
수구포역,水口浦站
홍원역,洪原站
수남역,水南站
건하역,乾下站
수덕역,修德站
토령역,土岭站
범포역,范浦站
김책역,金策站
수양역,首阳站
오계역,梧溪站
오구비역,五古比站
도평역,島坪站
최고인민회의 대의원,最高人民会议代议员
천리마제강련합기업소,千里馬製鋼聯合企業所
조선로동당 제7차 대회,朝鮮勞動黨第七次代表大會
한반도 중부 낙엽수림,朝鲜中部落叶林
만주 혼합림,满洲混交林
장백산맥 혼합림,长白山混交林
부풍역,富丰站
대관리역,大館里站
신온역,新温站
봉천역,凤泉站
자작역,自作站
미래과학자거리,未來科學家大街
미래과학자거리 레지던스 은하 타워,未來科學家大街銀河塔
쑥섬,肅島
2016년 9월 조선민주주의인민공화국 핵 실험,2016年9月朝鲜核试验
2016년 함경북도 홍수,2016年朝鲜洪灾
재덕역,載德站
기암역,奇岩站
서하역,西下站
서함흥역,西咸興站
서해갑문역,西海闸门站
서해리역,西海里站
서해주역,西海州站
기탄역,岐滩站
야촌역,野村站
석다역,石多站
석름역,石廩站
석막역,石幕站
약산동대,藥山東臺
석봉역,石峰站
양곡역,阳谷站
민탕역,珉湯站
선군절,先军节
양동역,养洞站
선봉역,先鋒站
전거리역,全巨里站
한이천역,漢二川站
양승역,陽勝站
양시선,楊市線
한천역,漢川站
성간역,城干站
양촌역,阳村站
은덕역,恩德站
함가역,咸家站
어대진역,渔大津站
추동역,楸洞站
함주역,咸州站
어미현역,鱼尾岘站
합수역,合水站
축전역,杻田站
전천역,前川站
성천역,成川站
전평역,錢坪站
의주역,义州站
성후역,城后站
세검정,洗劍亭 (滿浦)
업억역,业亿站
정광역,精矿站
세선역,世仙站
칠만산역,七万山站
정문리역,正门里站
정문촌역,正門村站
보천청년역,普天青年站
세포리역,细浦里站
묘향산역,妙香山站
정봉역,丁峰站
심포리역,深浦里站
대오천역,大五川站
검산리역,剑山里站
보안역,甫安站
2016년 조선민주주의인민공화국 핵 실험,2016年1月北韓核試驗
2016년 조선민주주의인민공화국,2016年朝鲜
체육 텔레비죤,朝鲜体育电视台
리명수청년역,鲤明水青年站
명고역,鸣皋站
려수역,麗水站
황초령역,黃草嶺站
룡성역,龍城站
룡수역,龍水站
라산역,罗山站
자양역,紫阳站 (黄海南道)
국도 제10호선,國道10號
국도 제9호선,國道9號
신전역,新田站
국도 제8호선,國道8號
김일성종합대학출판사,金日成综合大学出版社
소래교회,苏莱教会
전사의 영예 훈장,朝鲜民主主义人民共和国战士荣誉勋章
장마당,朝鮮民主主義人民共和國黑市
조선노동당 규약,朝鲜劳动党章程
조선민주주의인민공화국 저작권법,朝鲜著作权法
대동신용은행,大同信用银行
남포항역,南浦港驛
봉화화학공장,烽火化学工厂
조선민주주의인민공화국 국무위원회,朝鲜民主主义人民共和国国务委员会
천지삭도,白头山天地索道
옹진역,瓮津站
포치리역,浦淄里站
포평청년역,葡坪青年站
남석역,南夕站
흑령역,黑岭站
희천발전소,熙川水电站
희천청년역,熙川青年站
남양역,南陽站
남중역,南中站
내동역,内洞站
공북역,公北站
라죽역,羅竹站
라하대역,羅荷坮站
라흥역,罗兴站
락산역,洛山站
락생역,樂生站
락연역,乐渊站
락원역,乐园站
랭정역,冷井站
량가역,良家站
량강신상역,兩江新上站
인민상,人民獎
인산역,仁山站
사이버 공격,攻擊
조선민주주의인민공화국 U-23 축구 국가대표팀,朝鮮23歲以下國家足球隊
붉은 군대 사령부의 원,苏联红军票 (朝鲜)
북청역,北青站
풍계역,丰溪站
풍리역,豐利站
풍산역,豐山站
풍양역,丰阳站
풍어역,丰渔站
풍인역,豐仁站
풍정역,丰井站
풍천역,楓川站
하농역,下農站
하면역,下面站
하성역,下成站
하신원역,下新院站
하운승역,下雲承站
하초역,下草站
하홍군역,下洪君站
학성역,鹤城站
학포역,鶴浦站
한국 중부,韓國中部
시중역,时中站
신강계역,新江界站
신건역,新乾站
신단천역,新端川站
한국의 반미감정,韓國反美情緒
기산청년역,箕山青年站
한국휴전협정,朝鲜停战协定
황주공군기지,黄州機場
조선중앙식물원,朝鮮中央植物園
제1차 마량산 전투,马良山战役
조선인민군 총참모장,朝鲜人民军总参谋部
제12사단,朝鮮人民軍第12師
제13사단,朝鮮人民軍第13師
평양희천고속도로,平壤熙川高速公路
제1사단,朝鮮人民軍第1師
2009년 미 여기자 조선민주주의인민공화국 억류 사건,2009年朝鲜拘留美国记者事件
화암역,花岩站
조막산역,造幕山站
화전역,桦田站
오몽리역,吾梦里站
수풍역,水豐站
화천역,货泉站
오봉역,梧凤站
화평역,和坪站
경성역,镜城站
경안역,景安站
조선민주주의인민공화국 재정성,财政省
동부역,東部站
동북리역,东北里站
오일역,五一站
동산역,东山站
동선봉역,東先鋒站
동신역,东新站
판교역,板桥站
팔원청년역,八院青年站
조양탄광역,朝阳煤矿站
팔흥역,八兴站
황파역,黃坡站
황포역,黃浦站
봉강역,凤冈站
황해룡문역,黄海龙门站
동천역,东川站
향원역,乡元站
향죽역,香竹站
향하역,香河站
가창역,假仓站
소록강,小绿江
각암역,阁岩站
갈산역,葛山站
여해진역,汝海津站
강계군,江界郡
정일봉,正日峰
강구역,江口站
강덕역,康德站
강동역,江东站
속후역,俗厚站
강령역,康翎站
연안역,延安站
연암역,延岩站
강상리역,江上里站
연중역,延中站
연평역,延坪站
연풍역,延丰站
형제역,兄弟站
국제김일성상,国际金日成奖
리명수폭포,鲤明水瀑布
인민체육인,人民运动员
사회역,四會站
사리원 전투,沙里院市戰役
한국의 반일감정,韩国反日情绪
유점사,榆岾寺
개성·문산 전투,開城-汶山戰役
개심사,開心寺
표훈사,表訓寺
부벽루,浮碧樓
기린굴,麒麟窟
구장읍,球場邑
풍계리,豐溪里
대원수,朝鲜民主主义人民共和国大元帅
와우도구역,臥牛島區域
곡하역,曲河站
구오역,九五站
무산광산선,茂山礦山線
부성역,富城站
사향역,麝香站
송악산,松岳山
쌍방동역,双芳洞站
안찬역,安赞站
청하역,清下站
연목역,椽木站
일탄선,日炭線
북조선로동당,北朝鲜劳动党
수양산 (황해도),首陽山 (朝鮮)
주체연호,主體曆
안학궁,安鶴宮
인풍루,仁風樓
통군정,統軍亭
옹진반도,甕津半島
제6사단,朝鮮人民軍第6師
제766독립보병연대,朝鲜人民军第766独立步兵团
만수대예술극장,萬壽臺藝術劇場
칠골역,七溝站
조선인민군 특수작전군,朝鮮人民軍特種部隊
조선민주주의인민공화국의 언론,朝鮮民主主義人民共和國的媒體
2013년 조선민주주의인민공화국 핵 실험,2013年朝鲜核试验
천리마-091,千里马-091
천리장성,千里长城
제105기갑사단,朝鲜人民军陆军第105装甲师
조선민주주의인민공화국의 보건,朝鲜民主主义人民共和国健康
김일성가,金日成家族
북창공군기지,北倉機場
서풍산역,西丰山站
서호역,西湖站
석간역,石间站
성덕역,城德站
수진역,水镇站
승암역,胜岩站
신중역,新中站
신파청년역,新坡青年站
신학포역,新鶴浦站
신흥동역,新兴洞站
양화역,阳化站
어랑역,渔郎站
어사역,御史站
영저역,嶺底站
운양역,云阳站
장파역,長坡站
재령역,载宁站
정평역,定平站
침교역,砧桥站
허천역,虛川站
회암역,灰岩站
훈융역,訓戎站
강서대묘,江西三墓
상황토역,上黄土站
조선인민군의 최고사령관,朝鮮人民軍最高司令官
김정일훈장,金正日勋章
간평역,間坪站
강안리역,江岸里站
거흥역,巨兴站
경포역,景浦站
구성역,龟城站
국봉역,菊峰站
금평역,锦坪站
남덕역,南德站
내포역,内浦站
농포역,農圃站
대덕역,大德站
대풍역,大丰站
덕성역,德城站
동사리원역,东沙里院站
동평양역,东平壤站
려호역,吕湖站
룡연역,龍淵站
룡운역,龙云站
룡풍역,龙丰站
만달리역,晚达里站
만춘역,晩春站
문필역,文坪站
방진역,方津站
배산점역,裴山店站
봉학역,凤鹤站
부동역,釜洞站
고인역,古仁站
조선민주주의인민공화국의 성소수자 권리,朝鮮LGBT權益
조선민주주의인민공화국 정부,朝鲜民主主义人民共和国政府
조선민주주의인민공화국의 선전,北韓宣傳
보통강역,普通江站
순천역,顺川站
멸악산맥,滅惡山脈
러시아계 한국인,俄羅斯人在韓國
회안역,桧安站
회양역,檜陽站
옥천역,玉泉站
회중역,檜中站
고령진역,高嶺鎮站
부거역,富居站
평남신덕역,平南新德站
평리역,坪里站
부령역,富宁站
두일령역,杜日岭站
두지역,杜芝站
남계역,南溪站
후주청년역,厚州青年站
페무산역,废茂山站
후창역,厚仓站
후평청년역,后坪青年站
남덕천역,南德川站
승방역,胜芳站
승방하리역,胜芳下里站
종성역,鍾城站
득장역,得将站
남문역,南门站
승원역,胜院站
승호리역,胜湖里站
인평역,仁平站
인흥역,仁兴站
일신역,日新站
주서역,州西站
주의동역,主義洞站
죽전역,竹田站
중도역,中島站
중성간역,中城干站
중이역,中二站
중촌역,中村站
중평역,中坪站
증산역,曾山站
지상역,支上站
지수역,智水站
지하리역,支下里站
진평역,津坪站
차령역,车岭站
왕신역,王神站
왕장역,旺场站
외금강역,外金刚站
부지역,富只站
부평역,富坪站
북송리역,北松里站
북신현역,北薪岘站
북창역,北仓站
마식령 스키장,馬息嶺滑雪場
1993년 조선민주주의인민공화국 인구일제조사,1993年朝鮮民主主義人民共和國人口普查
2008년 조선민주주의인민공화국 인구일제조사,2008年朝鮮民主主義人民共和國人口普查
고성역,高城站
고읍역,古邑站
고원탄광선,高原煤礦線
금천역,金川站
군우동,軍隅里
곽산역,郭山站
계정역,鸡井站
금강산청년선,金刚山青年线
조선로동당의 영원한 총비서,朝鲜劳动党永远的总书记
신대역,新大站
학현역,鹤岘站
일원역,一院站
칠리역,七里站
삼산역,三山站
삼천포역,三川浦站
삼소역,三所站
상십리평역,上十里坪站
상서역,上西站
풍남역,丰南站
락랑역,乐浪站
운대산역,云台山站
창동역,仓东站
원산항역,元山港站
원흥역,元興站
인민문화궁전,人民文化宮
두루섬,豆老島
찬동자 파크,贊同者球場
찬동자체육단,赞同者体育团
장진선,長津線
장연선,長淵線
칠성문,七星門
침촌역,沈村站
정방산성,正方山城
청천강역,清川江站
청강역,清江站
청계역,清溪站
청진청년역,清津青年站
정주청년역,定州青年站
도문국경대교,圖門國境大橋
두만강대교,圖們江大橋
관서팔경,朝鮮關西八景
장산곶,長山岬
만경대혁명학원,萬景臺革命學院
기자릉,箕子陵
평양대극장,平壤大劇院
봉화예술극장,烽火藝術劇場
조선중앙력사박물관,国立中央历史博物馆
영명사,永明寺
금수산,錦繡山
녕변군,寧邊郡
장혜국제대교,長惠國際大橋
신압록강대교,中朝鸭绿江界河公路大桥
은파산체육단,銀波山體育團
제비체육단,燕子體育團
월미도체육단,月尾島體育團
황해청년선,黄海青年线
룡주역,龙州站
옹진선,甕津線
조선민주주의인민공화국의 전화번호 체계,+850
신안주청년역,新安州青年站
선천역,宣川站
평산역,平山站
황주역,黄州站
삼지연선,三池淵線
만월대,滿月臺
남신의주역,南新义州站
평덕선,平德线
항구구역,港口區域
한포역,汗浦站
회암선,灰岩线
회령탄광선,會寧煤礦線
무산선,茂山线
백무선,白茂線
대평역,大平站
흥수역,兴水站
후릉,朝鮮厚陵
평성리과대학,平城理科大學
평양철도대학,平壤鐵道大學
중화역,中和站
조선로동당 대표자회,朝鲜劳动党全国代表大会
현무문,玄武門
의주비행장,義州空軍基地
반성렬도,盘城列岛
풍계리 핵 실험장,豐溪里核試驗場
선죽교,善竹橋
조국해방전쟁 승리 기념일,祖國解放戰爭勝利紀念日
개성청년경기장,開城青年競技場
하단역 (정주),下端站
해주 경기장,海州體育場
함흥본궁,咸興本宮
동평양경기장,東平壤競技場
두만강역,豆满江站
강덕선,康德線
은률선,殷栗线
덕현선,德岘线
백마선,白馬線
금골선,金溝線
개천선,价川线
신흥선,新興線
배천선,白川線
흑교역,黑桥站
2010년 아시안 게임 조선민주주의인민공화국 선수단,2010年亚洲运动会朝鲜代表团
력포역,力浦站
강계선,江界線
신안주,新安州
제임스타운선,詹姆斯敦防线
고려박물관,高麗博物館
개천비행장,价川機場
개풍역,开丰站
강동 관저,江東官邸
강서역,江西站
고건원선,古乾原線
조선민주주의인민공화국의 FIFA 월드컵 성적,世界杯足球赛朝鲜队
북계수역,北溪氣站
조선민주주의인민공화국 U-20 여자 축구 국가대표팀,朝鮮20歲以下國家女子足球隊
2016년 하계 올림픽 조선민주주의인민공화국 선수단,2016年夏季奧林匹克運動會朝鮮代表團
조선민주주의인민공화국의 경찰,朝鮮民主主義人民共和國警察
북한법,朝鲜民主主义人民共和国法律
덕산비행장,德山机场
룡담역,龙潭站
김형직사범대학,金亨稷師範大學
창광원,蒼光院
맹중리역,孟中里站
안골선,安溝線
문수물놀이장,紋繡戲水場
대관리선,大館里線
두언선,豆彦线
봉산선,凤山线
봉천탄광선,鳳泉煤礦線
도지리선,島智里線
고비선,高飛線
오시천선,五是川线
평양화전선,平壤火电线
대향선,大鄉線
량천사,梁泉寺
봉수교회,鳳岫教堂
조선미술박물관,朝鲜美术博物馆
함흥대극장,咸兴大剧院
위원댐,渭原水电站
현지지도,现场指导
로동자신문,勞動者新聞
광탄역,广滩站
내토역,內土站
미곡역,嵋谷站
미력역,未力站
봉창역,凤仓站
분강역,分江站
전진역,前进站
북중역,北中站
남흥역,南興站
박천역,博川站
화풍역,和丰站
성법역,圣法站
외동역,外东站
대건역,戴建站
대원역,大园站
대보역,大寶站
대각역,大角站
부산리역,富山里站
부흥역,富興站
녕변역,寧邊站
도지리역,島智里站
천내역,川内站
평북운산역,平北雲山站
평남서호역,平南西湖站
평천역,平川站
고암역,库岩站
덕봉역,德峰站
덕사역,德寺站
무진대역,无尽台站
명당역,明堂站
동남흥역,東南興站
삼강역,三江站
서사리원역,西沙里院站
서종역,西钟站
석탄역,石滩站
장수산역,长寿山站
정도역,鼎岛站
화산역,花山站
북한의 농업,朝鮮民主主義人民共和國農業
장연호,長淵湖
김철주사범대학,金哲柱師範大學
송도원국제소년단야영소,松濤園國際少年團夏令營
조선민주주의인민공화국 체신성,朝鮮遞信省
라진역,羅津站
피바다가극단,血海歌剧团
제2군단,朝鮮人民軍第2軍
조선인민군 제1군단,朝鮮人民軍第1軍
이천청년역,伊川青年站
임남댐,任南水壩
광명성,光明星
조국평화통일위원회,祖國和平統一委員會
가도 (철산군),椵岛
만덕선,滿德線
만탑산,万塔山
특급시,特級市
법흥사 (평원군),法興寺 (朝鮮)
정양사,正陽寺
동림폭포,東林瀑布
박연폭포,朴淵瀑布
조선로동당 제4차당대회,朝鲜劳动党第四次代表大会
조선로동당 제6차당대회,朝鲜劳动党第六次代表大会
조선로동당 제5차당대회,朝鲜劳动党第五次代表大会
조선로동당 제3차당대회,朝鲜劳动党第三次代表大会
북한의 불법행위,朝鲜民主主义人民共和国非法活动
주조 러시아 대사관,俄羅斯駐朝鮮大使館
녕변선,寧邊線
대리역,岱里站
형봉역,亨鳳站
덕남역,德南站
덕산역,德山站
신성역,新城站
신명천역,新明川站
신회령역,新會寧站
계림역,鸡林站
일탄역,日炭站
춘두역,春斗站
주초역,朱草站
재동역,梓洞站
장상역,檜屯站
니서역,尼西站
청진조차장,清津操車場
청진항역,清津港站
령대역,灵台站
솔골역,率谷站
구단역,坵丹站
백화역,百花站
석산역,石山站
립암역,立岩站
잠진리선,箴津里线
승리역,胜利站
선교리역,船桥里站
잉포역,芿浦站
무산광산역,茂山礦山站
서창역,西仓站
서덕천역,西德川站
장선강역,長鮮江站
방어역,防禦站
마평역,马坪站
봉천탄광역,鳳泉煤礦站
학산역,鹤山站
룡림역,龍林站
룡암포역,龙岩浦站
룡암역,龙岩站
룡악역,龙岳站
룡계리역,龙溪里站
룡문탄광역,龙门煤矿站
구봉산역,龟凤山站
삼덕역,三德站
하삼봉역,下三峰站
동포역,东浦站
남포선,南浦線
남라진역,南羅津站
고건원역,古乾原站
봉의역,鳳儀站
소암역,嘯巖站
성평역,城坪站
당령역,堂嶺站
수정역,壽亭站
대향역,大鄉站
관하역,官下站
썬더볼트 작전,漢江南岸防禦戰
박천선,博川線
락원역,乐元站
조선로동당 중앙정치국,朝鲜劳动党中央政治局
옥평역,玉坪站
봉화산체육단,烽火山體育團
봉산역,凤山站
곡부 공씨,曲阜孔氏 (朝鲜半岛)
조선민주주의인민공화국의 총리,朝鲜民主主义人民共和国总理
서흥역,瑞兴站
송암동굴,松巖洞窟
숙천역,肃川站
순안역,顺安站
순천비행장,順川機場
승지백암,承旨白岩
서해갑문선,西海閘門線
대안선,大安线
태백산성역,太白山城站
석암역,石巖站
대교역,大桥站
부포선,釜浦線
평북선,平北線
평양체육관,平壤體育館
라남역,罗南站
로하역,路下站
다사도항역,多狮岛港站
신정리역,信井里站
조선기자동맹,朝鮮記者同盟
청류관,清流館
3대혁명전시관,三大革命展示館
금강정치학원,金剛政治學院
조선무역은행,朝鮮貿易銀行
홰불체육단,火炬體育團
송도원,松濤園
철산선,铁山线
국가우주개발국,朝鮮民主主義人民共和國宇宙開發局
오악 (한국),五岳 (朝鲜半岛)
을밀대,乙密臺
조선민주주의인민공화국 사회안전성,朝鲜民主主义人民共和国人民保安部
몽골-조선민주주의인민공화국 관계,蒙朝關係
물개역,物开站
문덕역,文德站
문무역,文武站
내중역,内中站
개성 남대문,開城南大門
남포경기장,南浦競技場
조선민주주의인민공화국 국적법,朝鮮民主主義人民共和國國籍法
조선의 체신체계,朝鮮民主主義人民共和國郵政
운산읍,雲山邑
어파역,渔波站
조선민주주의인민공화국의 천연기념물,朝鮮民主主義人民共和國天然紀念物
조선민주주의인민공화국 U-20 축구 국가대표팀,朝鮮20歲以下國家足球隊
송도원역,松涛园站
피현역,枇岘站
류사역,柳沙站
시정역,柴井站
리현역,梨岘站
수동역,水洞站
강안역,江岸站
태향역,汰香站
해산역,海山站
청남역,清南站
청화력역,清火力站
아득령역,牙得嶺站
증산리역,甑山里站
백마역,白马站
직동탄광역,直洞煤礦站
진지역,真池站
석하역,石下站
석하리역,石下里站
립석탄광역,立石煤矿站
잠진리역,箴津里站
양막역,良幕站
량책역,良策站
화도역,花岛站
초평역,草坪站
로현역,蘆峴站
서봉산역,西凤山站
서다사도역,西多狮岛站
장동역,長洞站
유선역,遊仙站
철기산역,铁骑山站
장선강선,長鮮江線
장상역,长上站
청암역,青岩站
순덕역,顺德站
명학역,鳴鶴站
평양강동고속도로,平壤江東高速公路
라자루스 그룹,拉撒路集团
현내역,县内站
납북자,北朝鮮綁架韓國人問題
제2기 최고인민회의 대의원 선거,1957年朝鮮民主主義人民共和國最高人民會議選舉
제3기 최고인민회의 대의원 선거,1962年朝鮮民主主義人民共和國最高人民會議選舉
제5기 최고인민회의 대의원 선거,1972年朝鮮民主主義人民共和國最高人民會議選舉
제6기 최고인민회의 대의원 선거,1977年朝鮮民主主義人民共和國最高人民會議選舉
제7기 최고인민회의 대의원 선거,1982年朝鮮民主主義人民共和國最高人民會議選舉
제8기 최고인민회의 대의원 선거,1986年朝鮮民主主義人民共和國最高人民會議選舉
제9기 최고인민회의 대의원 선거,1990年朝鮮民主主義人民共和國最高人民會議選舉
금광사,朝鮮金光寺
최승대,最勝臺
보천보전투승리기념탑,普天堡戰鬥勝利紀念塔
보천읍,普天堡
문천역,文川站
세길역,三路站
평양연극영화대학,平壤話劇電影大學
평양문화전시관,平壤文化展示館
평양건축종합대학,平壤建設建材大學
대성산성,大城山城
배화역,培花站
재북평화통일촉진협의회,在北和平統一促進協會
함흥화학공업대학,咸興化學工業大學
전탄역,前滩站
광명성절,光明星节
고려왕릉,高麗王陵
릉라인민유원지,綾羅人民遊園地
려현역,砺岘站
룡강선,龍岡線
룡천역,龙川站
용성 관저,龍城官邸
룡흥사,龍興寺 (朝鮮)
령통사,靈通寺
서산축구경기장,西山足球競技場
신계역,新溪站
석현역,石峴站
신의주 관저,新義州官邸
태왕,太王
다사도선,多獅島線
현릉,王建王陵
통천역,通川站
동림역,东林站
태풍 기러기,颱風鴻雁
운암역,云岩站
유엔사령부 군사정전위원회,聯合國軍事停戰委員會
방현비행장,方峴機場
7·4 남북 공동 성명,南北共同声明
8월 종파 사건,八月宗派事件
가곡역,佳谷站
갑산파,游擊隊派
제11군단,朝鮮人民軍第11軍
고무산역,古茂山站
금강산청년역,金刚山青年站
내곡온천,內曲溫泉
평양기계대학,平壤機械大學
월향전시관,月香展示館
조선예술교류협회,朝鮮藝術交流協會
조선인민군 총참모부,朝鲜人民军总参谋部
조선인민군 총정치국,朝鲜人民军总政治局
옥련산,玉蓮山
숙천농업대학,肅川農業大學
스웨덴-조선민주주의인민공화국 관계,朝鲜－瑞典关系
주조 스웨덴 대사관,瑞典駐朝鮮大使館
국제김정일상,国际金正日奖
만수대 아파트,萬壽臺公寓
려명거리 아파트,黎明公寓
북한의 소수민족,朝鮮的少數民族
조선의 오늘,今日朝鲜
송남청년탄광선,松南青年煤矿线
장상선,长上线
춘두선,春斗线
대건선,戴建線
득장선,得场线
비날론선,維尼綸線
3대혁명붉은기쟁취운동,争获三大革命红旗运动
중앙인민위원회,中央人民委员会
구봉산선,龜鳳山線
조양탄광선,朝阳煤矿线
보안대,保安隊
보산선,保山线
대북전단과 대남전단,韩国气球宣传活动
남양국경선,南陽國境線
고참탄광선,古站煤矿线
김일성-김정일주의,金日成金正日主義
대안친선유리공장,大安友谊琉璃工厂
2017년 조선민주주의인민공화국,2017年朝鲜
동아시아 청소년 경기 대회,東亞青年運動會
가담역,加潭站
부전호반역,赴戰湖畔站
시,朝鲜的城市
한국어족,朝鮮語系
룡악산,龍岳山
룡곡서원,龍谷書院
룡지원역,龙池院站
4월의 봄 친선예술축전,四月之春親善藝術節
만포청년역,满浦青年站
반죽역,班竹站
백암청년역,白岩青年站
부래산역,浮来山站
북한 국제 문서 프로젝트,朝鮮國際文件研究項目
소련파,蘇聯派
숭양서원,崧陽書院 (開城)
조선로동당출판사,朝鮮勞動黨出版社
사회과학원,朝鮮社會科學院
동포선,東浦線
재동선,梓洞线
락랑선,樂浪線
수풍선,水豐線
청진항선,清津港線
청화력선,清火力線
직동탄광선,直洞煤礦線
조국해방전쟁승리기념관,祖國解放戰爭勝利紀念館
서호선,西湖線
운하선,运河线
김만유병원,金萬有醫院
금야선,金野線
령대선,灵台线
운전역,云田站
운산선,雲山線
제5군단,朝鮮人民軍第5軍
평양원산관광도로,平壤元山觀光公路
조선민주주의인민공화국의 여성,朝鲜的女性
원수,元帅 (朝鲜半岛)
로농적위군,工農赤衛隊
북한의 맥주,北韩的啤酒
조선민족보험총회사,朝鲜国民保险公司
2017년 조선민주주의인민공화국 미사일 발사,2017年朝鲜导弹试验
KISU 레지던스 타워,KISU 住宅
려명거리신도시,黎明大街
김책공업종합대학 아파트 타워,金策工業綜合大學
태동 레지던스,大同江公寓
금강천,金剛川
재일 조선인 북송사업,在日朝鮮人歸國運動
제4기 최고인민회의 대의원 선거,1967年朝鮮民主主義人民共和國最高人民會議選舉
조선문학예술총동맹,朝鮮文學藝術總同盟
조선민주주의인민공화국 최고검찰소,朝鲜民主主义人民共和国中央检察所
주체농법,主體農法
청진 궤도전차,清津電車
판문군,板門區域
평양 지하철도 만경대선,萬景臺線
평양제1백화점,平壤第一百貨商店
해주청년역,海州青年站
홍의역,洪仪站
서창선,西仓线
금성천,金城川
주 북한 이란 대사관,伊朗駐朝鮮大使館
조선 중앙 통계국,朝鲜民主主义人民共和国中央统计局
성평선,城坪線
성진제강련합기업소,城津制钢联合企业所
대안의 사업체계,大安事業體系
대각선,大角線
천성탄광선,天聖煤礦線
관하선,官下线
천내선,川内线
평양방어사령부,平壤防禦司令部
형봉선,亨鳳線
률동체조,律动体操
덕남선,德南线
문천항선,文川港线
신성선,新城線
신흥철도,新兴铁道
창흥선,昌兴线
명당선,明堂线
보위사령부,朝鲜人民军保卫司令部
조선불교도련맹,朝鮮佛教徒聯盟
봉명천,鳳鳴川
오조천,吾助川
염주역,盐州站
조선소년단,朝鲜少年团
운봉댐,云峰水库
은산선,殷山線
신성천역,新成川站
석탕온천역,石汤温泉站
성내역 (수동),城内站
4·25문화회관,4·25文化會館
둔전역 (수동),屯田站
양덕역,阳德站
은산역,殷山站
비날론역,維尼綸站
사리원신천고속도로,沙里院信川高速公路
사회주의 헌법절,社會主義憲法節
삼봉역,三峰站
삼일포,三日浦
삼일포역,三日浦站
고구려 평양성 석편,平壤城壁石刻
송산역 (봉산),松山站
수성역,輸城站
신강령역,新康翎站
신남포역,新南浦站
주 북한 프랑스 협력사무소,法國駐朝鮮合作辦事處
조선-러시아 우정의 다리,朝俄国境友谊桥
국방과학원,朝鲜国防科学院
주조 중국 대사관,中國駐朝鮮大使館
낙도역,樂道站
북망 타워,北塔
김일성방송대학,金日成廣播大學
김정일정치군사대학,金正日政治軍事大學
김책제철련합기업소,金策製鐵聯合企業所
삼방역,三防站
동가리역,东锄里站
단양제이팔경,丹阳第二八景
락천역,落川站
광명역 (고산),光明站 (江原道)
검불랑역,剑拂浪站
남산역 (안변),南山站
성산역 (세포),城山站
평강역 (평강),平康站
인민위원회,人民委员会
기상수문국,朝鮮國家水文氣象局
조선로동당 중앙위원회 정무국,朝鲜劳动党中央书记局
계응상사리원농업대학,桂應祥沙里院農業大學
리목역,梨木站
법운암,法雲庵
세포청년역,洗浦青年站
연평도 해역 공무원 피격 사망 사건,延坪岛海域枪杀韩国公务员事件
조국통일오개방침,关于统一祖国的五点方针
화성-17형,火星17彈道飛彈
조선로동당 제8기 중앙위원회,朝鲜劳动党第八届中央委员会
조선로동당 중앙위원회 비서국,朝鮮勞動黨中央委員會書記局
2019년 6월 북미정상회담,2019年朝鲜 - 美国板门店峰会
조선민주주의인민공화국의 대량살상무기,朝鲜与大规模杀伤性武器
조선민주주의인민공화국 금융정보국,朝鮮民主主義人民共和國金融情報局
민주독립당,民主独立党
김형직군의대학,金亨稷军医大学
창골역,倉溝站
답촌역,畓村站
원리역,院里站
람전역,藍田站
포태역,胞胎站
봉명역,鳳鳴站
판막역,板幕站
서부역,西部站
풍년역,丰年站
대령강역,大寧江站
2020년 남북공동연락사무소 폭파사건,南北共同聯絡事務所炸毀事件
김일성정치대학,金日成政治大学
김정은국방종합대학,金正恩国防综合大学
최고인민회의 의장,最高人民會議議長
대홍단 감자,大红湍土豆
2020년 한국 집중호우,2020年韓國洪災
조선로동당 제8차 대회,朝鲜劳动党第八次代表大会
스타 조인트 벤처,星合營會社
과일역,瓜饴站
은률역,殷栗站
강계역,江界站
검은모루동굴유적,黑隅里遗址
고산역 (고산),高山站 (江原道)
국제관계대학,國際關係大學
금옥역,金玉站
길주청년역,吉州青年站
김일성 배지,金日成與金正日像章
남강덕역,南康德站
다사도역,多狮岛站
붉은청년근위대,红色青年近卫队
2021년 북한 원전 건설 추진 문건 사건,2021年推動朝鮮建設核電站文件案
중앙식물원,中央植物園
판문구역,板門區域
조선민주주의인민공화국 내각사무국,朝鲜民主主义人民共和国内阁事务局
동대역,東坮站
랑림역,狼林站
로동자구,勞動者區
룡반역,龙蟠站
룡문탄광선,龙门煤矿线
룡성역,龙城站
립석리역,立石里站
