"Достоевский, Фёдор Михайлович",표도르 도스토옙스키
"Вайгина-Ефремова, Лилия Николаевна",릴리야 바이히나예프레모바
"Кузнецов, Евгений Борисович (футболист)",예브게니 쿠즈네초프 (1961년생 축구인)
"Саввина, Ия Сергеевна",이야 사비나
"Уайлд, Вик",빅 와일드
"Савичева, Юлия Станиславовна",율리야 사비체바
"Нурутдинова, Лилия Фоатовна",릴리야 누루트디노바
"Карасёв, Сергей Васильевич",세르게이 카라쇼프 (농구 선수)
"Ерохин, Александр Юрьевич",알렉산드르 예로힌
"Добрыгин, Григорий Эдуардович",그리고리 도브리긴
"Хугаев, Алан Анатольевич",알란 후가예프 (1989년)
"Розов, Виктор Сергеевич",빅토르 로조프
"Николаева, Татьяна Петровна",타티야나 니콜라예바
"Орлов, Алексей Маратович",알렉세이 마라토비치 오를로프
"Басаргин, Виктор Фёдорович",빅토르 바사르긴
"Васин, Виктор Владимирович",빅토르 바신
"Семёнов, Мингиян Артурович",민기얀 세묘노프
"Володин, Вячеслав Викторович",뱌체슬라프 볼로딘
"Левитин, Игорь Евгеньевич",이고리 레비틴
"Янукович, Виктор Фёдорович",빅토르 야누코비치
"Голикова, Татьяна Алексеевна",타티야나 골리코바
"Шушунова, Елена Львовна",옐레나 슈슈노바
"Миллер, Алексей Борисович",알렉세이 밀레르
"Ская, Софья Андреевна",소피야 스카야
"Свиридов, Георгий Васильевич",게오르기 스비리도프
"Астаповский, Владимир Александрович",블라디미르 아스타폽스키
Emin,에민 아갈라로프
"Пинигин, Павел Павлович",파벨 파니긴
"Рахимов, Муртаза Губайдуллович",무르타자 라히모프
"Нарышкин, Сергей Евгеньевич",세르게이 나리시킨
"Бесчастных, Владимир Евгеньевич",블라디미르 베스차스트니흐
"Коржаненко, Ирина Николаевна",이리나 코르자넨코
"Фролина, Анна Алексеевна",안나 프롤리나
"Забелинская, Ольга Сергеевна",올가 자벨린스카야
"Ригерт, Давид Адамович",다비트 리게르트
"Лисин, Владимир Сергеевич",블라디미르 리신
"Черток, Борис Евсеевич",보리스 체르토크
"Чайка, Юрий Яковлевич",유리 차이카
"Радченко, Дмитрий Леонидович",드미트리 랏첸코
"Плющенко, Евгений Викторович",예브게니 플류셴코
"Лебзяк, Александр Борисович",알렉산드르 레브자크
"Тимченко, Геннадий Николаевич",겐나디 팀첸코
"Германика, Валерия Гай Александровна",발레리야 가이 게르마니카
"Соколов, Григорий Липманович",그리고리 소콜로프
"Кудухов, Бесик Серодинович",베시크 쿠두호프
"Габулов, Владимир Борисович",블라디미르 가불로프
"Бортко, Владимир Владимирович (младший)",블라디미르 보르트코
"Захарова, Светлана Юрьевна",스베틀라나 자하로바
"Мустафина, Алия Фархатовна",알리야 무스타피나
"Егорова, Валентина Михайловна",발렌티나 예고로바
"Бирюкова, Анна Германовна",안나 비류코바
"Леонов, Леонид Максимович",레오니트 레오노프
"Костенюк, Александра Константиновна",알렉산드라 코스테뉴크
"Джигарханян, Армен Борисович",아르멘 지가르하냔
"Тищенко, Алексей Викторович",알렉세이 티셴코
"Любимов, Алексей Борисович",알렉세이 류비모프
"Сафина, Динара Мубиновна",디나라 사피나
"Фаддеев, Людвиг Дмитриевич",류드비크 파데예프
"Журова, Светлана Сергеевна",스베틀라나 주로바
"Тарасова, Татьяна Анатольевна",타티야나 타라소바
"Бутырская, Мария Викторовна",마리야 부티르스카야
"Колобков, Павел Анатольевич",파벨 콜롭코프
"Ефремов, Олег Николаевич",올레크 예프레모프
"Вилкова, Екатерина Николаевна",예카테리나 빌코바
"Екимов, Алексей Иванович",알렉세이 예키모프
"Давыдов, Сергей Сергеевич (футболист)",세르게이 다비도프
"Рыбкин, Иван Петрович",이반 립킨
"Чиркунов, Олег Анатольевич",올레크 치르쿠노프
"Гацалов, Хаджимурат Солтанович",하지무라트 가찰로프
"Потапов, Леонид Васильевич",레오니트 포타포프
Алсу,알수
"Павлюченкова, Анастасия Сергеевна",아나스타시야 파블류첸코바
"Костецкая, Екатерина Александровна",예카테리나 코스테스카야
"Рощин, Анатолий Александрович",아나톨리 로신
Крейвен-охотник,사냥꾼 크레이븐
"Ким, Анатолий Андреевич",아나톨리 킴
"Исаев, Мансур Мустафаевич",만수르 이사예프
"Сивкова, Анна Витальевна",안나 십코바
"Безруков, Сергей Витальевич",세르게이 베즈루코프
"Хохлов, Дмитрий Валерьевич",드미트리 호흘로프
"Непомнящий, Валерий Кузьмич",발레리 네폼냐시
"Демидова, Алла Сергеевна",알라 데미도바
"Каспарян, Юрий Дмитриевич",유리 카스파랸
"Ивашко, Владимир Антонович",블라디미르 이바시코
"Назаров, Юрий Владимирович",유리 나자로프
Наташа Королёва,나타샤 코롤료바
"Афанасьев, Валерий Павлович",발레리 아파나시예프
"Лапина, Светлана Михайловна",스베틀라나 라피나
"Примаков, Евгений Максимович",예브게니 프리마코프
"Кавагути, Юко",유코 카바구티
"Дедюшко, Александр Викторович",알렉산드르 데듀시코
"Соломатин, Андрей Юрьевич",안드레이 솔로마틴
"Родионова, Анастасия Ивановна",아나스타시야 로디오노바
"Шишкин, Роман Александрович",로만 시시킨
"Коблова, Валерия Сергеевна",발레리야 코블로바
"Джикия, Георгий Тамазович",게오르기 지키야
"Зеляева, Валентина Андреевна",발렌티나 젤랴예바
"Машков, Владимир Львович",블라디미르 마시코프
"Волосожар, Татьяна Андреевна",타티야나 볼로소자르
"Фрейндлих, Алиса Бруновна",알리사 프라인들리히
"Орлова, Марина Владимировна",마리나 오를로바
"Николаева, Елена Николаевна",옐레나 니콜라예바
"Бышовец, Анатолий Фёдорович",아나톨리 비쇼베츠
"Добрынин, Анатолий Фёдорович",아나톨리 도브리닌
"Зайцев, Иван Вячеславович",이반 자이체브
"Колесов, Анатолий Иванович",아나톨리 콜레소프
"Кравчук, Игорь Александрович",이고리 크랍추크
"Китаенко, Дмитрий Георгиевич",드미트리 키타옌코
"Рауш, Константин Викторович",콘스탄틴 라우슈
"Строкоус, Дарья Владимировна",다리야 스트로코우스
"Макеев, Евгений Владимирович",예브게니 마케예프
"Дымовский, Алексей Александрович",알렉세이 디몹스키
Пелагея (певица),펠라게야
"Круглова, Лариса Николаевна",라리사 크루글로바
"Быков, Анатолий Михайлович",아나톨리 비코프 (레슬링 선수)
"Перминов, Анатолий Николаевич",아나톨리 페르미노프
"Дятлов, Анатолий Степанович",아나톨리 댜틀로프
"Воробьёв, Аркадий Никитич",아르카디 보로비요프
"Фирсов, Анатолий Васильевич",아나톨리 피르소프
"Вяхирев, Рем Иванович",렘 뱌히레프
"Подладчиков, Юрий Юрьевич",유리 포들라치코프
"Федун, Леонид Арнольдович",레오니트 페둔
"Бурда, Любовь Викторовна",류보비 부르다
"Герасимов, Вадим Викторович",바딤 게라시모프
"Масорин, Владимир Васильевич",블라디미르 마소린
"Устинов, Владимир Васильевич (юрист)",블라디미르 우스티노프
"Строев, Егор Семёнович",예고르 스트로예프
"Оганесян, Юрий Цолакович",유리 오가네샨
"Кошелева, Татьяна Сергеевна",타티야나 코셸레바
"Щелканова, Татьяна Сергеевна",타티야나 셸카노바
"Водорезова, Елена Германовна",엘레나 보도레조바
"Вирсаладзе, Элисо Константиновна",엘리소 비르살라제
"Оноприенко, Анатолий Юрьевич",아나톨리 오노프리옌코
"Тихонов, Владимир Михайлович",박노자
Россияне,로시야네
"Прудников, Алексей Павлович",알렉세이 프루드니코프
"Елышев, Олег Вячеславович",올레크 엘리셰프
"Караев, Руслан Савельевич",루슬란 카라에프
"Нагибин, Юрий Маркович",유리 나기빈
"Накаряков, Сергей Михайлович",세르게이 나카리아코프
"Комбаров, Дмитрий Владимирович",드미트리 콤바로프
"Фурсенко, Андрей Александрович",안드레이 푸르센코
"Толстая, Татьяна Никитична",타티야나 톨스타야
"Бичевская, Жанна Владимировна",잔나 비쳅스카야
"Фадзаев, Арсен Сулейманович",아르센 파자예프
"Вексельберг, Виктор Феликсович",빅토르 베켈베르크
"Старостин, Сергей Анатольевич",세르게이 스타로스틴
"Лактионов, Денис Владимирович",데니스 락티오노프
"Сарычев, Валерий Константинович",신의손
"Черкесов, Виктор Васильевич",빅토르 체르케소프
"Доброскок, Дмитрий Михайлович",드미트리 도브로스코크
"Гафурзянова, Камилла Юсуфовна",카밀라 가푸르자노바
"Черчесов, Станислав Саламович",스타니슬라프 체르체소프
"Наумов, Лев Николаевич",레프 나우모프
"Корнилов, Денис Александрович",데니스 코르닐로프
"Бочина, Наталья Валерьевна",나탈리야 보치나
"Туктамышева, Елизавета Сергеевна",옐리자베타 툭타미셰바
"Джепаров, Сервер Решатович",세르베르 제파로프
"Киркоров, Филипп Бедросович",필리프 키르코로프
"Лунёв, Андрей Евгеньевич",안드레이 루뇨프
"Ярыгин, Иван Сергеевич",이반 야리긴
"Дериглазова, Инна Васильевна",인나 데리글라조바
"Капустин, Николай Гиршевич",니콜라이 카푸스틴
"Марков, Даниил Евгеньевич",다닐 마르코프
"Шафран, Даниил Борисович",다닐 샤프란
"Букин, Андрей Анатольевич",안드레이 부킨
"Хотеев, Андрей Иванович",안드레이 호테예프
"Шостакович, Максим Дмитриевич",막심 쇼스타코비치
"Матиясевич, Юрий Владимирович",유리 마티야세비치
"Артемьев, Эдуард Николаевич",예두아르트 아르테미예프
"Штыров, Вячеслав Анатольевич",뱌체슬라프 시티로프
"Рослякова, Влада",블라다 로슬랴코바
"Торлопов, Владимир Александрович",블라디미르 토를로포프
"Кейру, Виктор Джонович",빅토르 케이루
"Шанаева, Аида Владимировна",아이다 샤나예바
"Поляков, Александр Маркович",알렉산드르 마르코비치 폴랴코프
"Лавров, Андрей Иванович",안드레이 라브로프
"Свидлер, Пётр Вениаминович",페테르 스비들레르
"Николишин, Андрей Васильевич",안드레이 니콜리신
"Чемеркин, Андрей Иванович",안드레이 체메르킨
"Шафаревич, Игорь Ростиславович",이고리 샤파레비치
"Шевченко, Дмитрий Игоревич",드미트리 솁첸코 (육상 선수)
"Манский, Виталий Всеволодович",비탈리 만스키
"Голубев, Александр Вячеславович",알렉산드르 골루베프
"Ланьков, Андрей Николаевич",안드레이 란코프
"Коваленко, Андрей Николаевич",안드레이 코발렌코 (아이스하키 선수)
"Дзюба, Артём Сергеевич",아르툠 주바
"Голованов, Владимир Семёнович",블라디미르 골로바노프
"Лапиков, Дмитрий Валентинович",드미트리 라피코프
"Ковтун, Дмитрий Владимирович",드미트리 콥툰
"Сватковский, Дмитрий Валерьевич",드미트리 스밧콥스키
"Полянский, Дмитрий Степанович",드미트리 폴랸스키
"Берестов, Дмитрий Владимирович",드미트리 베레스토프
"Андрейкин, Дмитрий Владимирович",드미트리 안드레이킨
"Врубель, Дмитрий Владимирович",드미트리 브루벨
"Мамиашвили, Михаил Геразиевич",미하일 마미아시빌리
"Глуховский, Дмитрий Алексеевич",드미트리 글루홉스키
"Моисеев, Андрей Сергеевич",안드레이 모이세예프
"Рыжиков, Сергей Викторович",세르게이 리지코프
"Айвазян, Артур Суренович",아르투르 아이바잔
"Орбакайте, Кристина Эдмундовна",크리스티나 오르바카이테
"Гениатулин, Равиль Фаритович",라빌 게니아툴린
"Легков, Александр Геннадьевич",알렉산드르 렉코프
"Силаев, Иван Степанович",이반 실라예프
"Воевода, Алексей Иванович",알렉세이 보예보다
"Тактаров, Олег Николаевич",올레크 탁타로프
"Дмитриев, Артур Валерьевич",아르투르 드미트리예프
"Тучкин, Александр Аркадьевич",알렉산드르 투치킨
"Гаврилов, Андрей Владимирович",안드레이 가브릴로프
"Гречин, Андрей Владимирович",안드레이 그레친
"Барышникова, Анастасия Владимировна",아나스타시야 바리시니코바
"Собчак, Ксения Анатольевна",크세니야 솝차크
"Третьяков, Александр Владимирович (борец)",알렉산드르 트레티야코프 (레슬링 선수)
"Денисенко, Алексей Алексеевич",알렉세이 데니센코
"Егорян, Яна Карапетовна",야나 예고랸
"Пресняков, Игорь Витальевич",이고리 프레스냐코프
Arty,아티 (음악가)
"Рузина, Елена Ивановна",옐레나 루지나
"Гусаров, Алексей Васильевич",알렉세이 구사로프
"Дмитриева, Дарья Андреевна",다리야 드미트리예바 (체조 선수)
"Маркин, Виктор Фёдорович",빅토르 마르킨
"Таймазов, Артур Борисович",아르투르 타이마조프
"Усманов, Алишер Бурханович",알리셰르 우스마노프
"Муртазалиев, Сагид Магомедович",사기트 무르타잘리예프
"Гуревич, Борис Максович",보리스 구레비치 (1931년)
"Пятецкий-Шапиро, Илья Иосифович",일리야 퍄테츠키샤피로
"Леонов, Евгений Павлович",예브게니 레오노프
"Иваницкий, Александр Владимирович",알렉산드르 이바니츠키
"Шармина, Екатерина Михайловна",예카테리나 마르티노바
"Макаров, Сергей Михайлович",세르게이 마카로프 (아이스하키 선수)
"Шахин, Рамазан",라마잔 샤힌
"Черепанов, Алексей Андреевич",알렉세이 체레파노프
"Клименко, Виктор Яковлевич",빅토르 클리멘코
"Феклистов, Александр Васильевич",알렉산드르 페클리스토프
"Дасаев, Ринат Файзрахманович",리나트 다사예프
"Попов, Александр Владимирович (пловец)",알렉산드르 포포프 (수영 선수)
"Торбинский, Дмитрий Евгеньевич",드미트리 토르빈스키
"Кириленко, Андрей Геннадьевич",안드레이 키릴렌코
"Могильный, Александр Геннадьевич",알렉산드르 모길니
"Лебедь, Александр Иванович",알렉산드르 레베디
"Лимонов, Эдуард Вениаминович",에두아르드 리모노프
"Таривердиев, Микаэл Леонович",미카엘 타리베르디예프
"Царгуш, Денис Игоревич",데니스 차르구시
"Ахеджакова, Лия Меджидовна",리야 아헤자코바
"Меньшов, Владимир Валентинович",블라디미르 멘쇼프
"Евтушенко, Евгений Александрович",예브게니 옙투셴코
Валерия (певица),발레리야
"Сычёв, Дмитрий Евгеньевич",드미트리 시초프
"Кадыров, Ахмат Абдулхамидович",아흐마트 카디로프
"Семшов, Игорь Петрович",이고리 셈쇼프
"Кошевая, Марина Владимировна",마리나 코셰바야
"Казакова, Оксана Борисовна",옥사나 카자코바
"Хмылёв, Юрий Алексеевич",유리 흐밀료프
"Смирнов, Игорь Николаевич",이고리 스미르노프
"Измайлов, Марат Наилевич",마라트 이즈마일로프
"Вертинская, Анастасия Александровна",아나스타시야 베르틴스카야
"Цыбутович, Ксения Геннадьевна",크세니야 치부토비치
"Полевщикова, Наталья Сергеевна",나타샤 폴리
"Лопаткина, Ульяна Вячеславовна",울리야나 로팟키나
"Кривокрасов, Сергей Владимирович",세르게이 크리보크라소프
"Онопко, Виктор Савельевич",빅토르 오놉코
"Шунин, Антон Владимирович",안톤 슈닌
"Карпин, Валерий Георгиевич",발레리 카르핀
"Сальников, Владимир Валерьевич",블라디미르 사르니코프
"Мутко, Виталий Леонтьевич",비탈리 뭇코
"Галиулин, Вагиз Искандарович",바기스 갈리울린
"Трутнев, Юрий Петрович",유리 트루트네프
"Коновалов, Александр Владимирович (юрист)",알렉산드르 코노발로프
"Магомедов, Магомедали Магомедович",마고메달리 마고메도프
"Харитонов, Сергей Валерьевич",세르게이 하리토노프
"Фридман, Михаил Маратович",미하일 프리드만
"Катанандов, Сергей Леонидович",세르게이 카타난도프
"Мишин, Алексей Владимирович",알렉세이 미신 (레슬링 선수)
"Мишин, Алексей Николаевич",알렉세이 미신 (피겨스케이팅 선수)
"Меркушкин, Николай Иванович",니콜라이 메르쿠시킨
"Кулик, Илья Александрович (фигурист)",일리야 쿨리크
"Березуцкий, Василий Владимирович",바실리 베레주츠키
"Овечкин, Александр Михайлович",알렉산드르 오베치킨
"Березовский, Борис Абрамович",보리스 베레좁스키
"Никулин, Юрий Владимирович",유리 니쿨린
"Зотов, Александр Владимирович (футболист)",알렉산드르 조토프
"Фёдоров, Николай Васильевич (политик)",니콜라이 표도로프
"Морозов, Алексей Алексеевич",알렉세이 모로조프 (아이스하키 선수)
"Климова, Екатерина Александровна",예카테리나 클리모바
"Новиков, Сергей Петрович (дзюдоист)",세르게이 노비코프 (유도 선수)
"Канчельскис, Андрей Антанасович",안드레이 칸첼스키스
"Меньшов, Денис Николаевич",데니스 멘쇼프
"Скардино, Надежда Валерьевна",나제야 스카르지나
"Яковлев, Александр Николаевич",알렉산드르 니콜라예비치 야코블레프
"Иванов, Валентин Валентинович",발렌틴 이바노프 (1961년생 축구인)
"Гайдай, Леонид Иович",레오니드 가이다이
"Васильев, Валерий Иванович",발레리 바실리예프 (1949년)
"Тетюхин, Сергей Юрьевич",세르게이 테튜힌
"Бадёнов, Баир Доржиевич",바이르 바됴노프
"Рогозин, Дмитрий Олегович",드미트리 로고진
"Хлопонин, Александр Геннадиевич",알렉산드르 흘로포닌
"Альтшуллер, Генрих Саулович",겐리히 알츠슐러
"Штефанко, Олег Степанович",올레그 스테판
"Ким, Кристина Александровна",크리스티나 킴
"Александрова, Марина Андреевна",마리나 알렉산드로바
"Алёшин, Самуил Иосифович",사무일 알료신
"Тихонов, Вячеслав Васильевич",뱌체슬라프 티호노프
"Семак, Сергей Богданович",세르게이 세마크
"Седых, Юрий Георгиевич",유리 세디흐
"Шаронов, Роман Сергеевич",로만 샤로노프
"Мацуев, Денис Леонидович",데니스 마추예프
"Ковалёв, Алексей Вячеславович",알렉세이 코발료프 (아이스하키 선수)
"Иванов, Михаил Петрович",미하일 이바노프 (스키 선수)
"Кваша, Олег Владимирович",올레크 크바샤
"Кривошлыков, Денис Иванович",데니스 크리보실리코프
"Макаревич, Андрей Вадимович",안드레이 마카레비치
"Михайлин, Александр Вячеславович",알렉산드르 미하일린
"Кудряшов, Фёдор Васильевич",표도르 쿠드랴쇼프
"Яковлев, Павел Владимирович",파벨 야코블레프
"Налич, Пётр Андреевич",표트르 날리치
"Колодин, Денис Алексеевич",데니스 콜로딘
"Набабкин, Кирилл Анатольевич",키릴 나밥킨
"Иванов, Валентин Козьмич",발렌틴 이바노프 (1934년생 축구인)
"Алиев, Александр Александрович",올렉산드르 알리예우
"Сайтиев, Бувайсар Хамидович",부바이사르 사이티예프
"Ким, Юлий Черсанович",율리 킴
"Колбин, Геннадий Васильевич",겐나디 콜빈
"Конакбаев, Серик Керимбекович",세리크 코나크바예프
"Казаков, Рустем Абдуллаевич",루스템 카자코프
"Кириенко, Сергей Владиленович",세르게이 키리옌코
"Степашин, Сергей Вадимович",세르게이 스테파신
"Илюмжинов, Кирсан Николаевич",키르산 일륨지노프
"Миронова, Мария Андреевна",마리아 미로노바
"Динерштейн, Александр Григорьевич",알렉산드르 디네르시테인
"Вьялицына, Анна Сергеевна",앤 비알리치나
"Янковский, Олег Иванович",올레크 얀콥스키
"Руцкой, Александр Владимирович",알렉산드르 루츠코이
"Муратов, Дмитрий Андреевич",드미트리 무라토프
"Грищук, Александр Игоревич",알렉산데르 그리추크
"Глушаков, Денис Борисович",데니스 글루샤코프
"Малкин, Евгений Владимирович",예브게니 말킨
"Воробьёв, Алексей Владимирович (музыкант)",알렉세이 보로비요프
"Быстров, Владимир Сергеевич",블라디미르 비스트로프
"Перова, Ксения Витальевна",크세니야 페로바
"Бут, Виктор Анатольевич",빅토르 부트
"Литвинов, Сергей Николаевич",세르게이 리트비노프 (1958년)
"Медведчук, Виктор Владимирович",빅토르 메드베드추크
"Ахмедов, Бахтияр Шахабутдинович",바흐티야르 아흐메도프
"Шмаров, Валерий Валентинович",발레리 시마로프
"Жевнов, Юрий Владимирович",유리 제브노프
"Радимов, Владислав Николаевич",블라디슬라프 라디모프
"Винер, Ирина Александровна",이리나 비네르
"Алифиренко, Сергей Геннадьевич",세르게이 알리피렌코
"Баранова, Анастасия",아나스타시아 바라노바
"Окуньков, Андрей Юрьевич",안드레이 오쿤코프
"Дерипаска, Олег Владимирович",올레크 데리파스카
"Тихонов, Николай Александрович",니콜라이 티호노프
"Хряпа, Виктор Владимирович",빅토르 흐랴파
"Смолов, Фёдор Михайлович",표도르 스몰로프
"Геутваль, Клавдия Ивановна",클라브디야 게우트발
"Бондарчук, Фёдор Сергеевич",표도르 본다르추크
"Ионов, Алексей Сергеевич",알렉세이 이오노프
"Гранат, Владимир Васильевич",블라디미르 그라나트
"Пичушкин, Александр Юрьевич",알렉산드르 피추시킨
"Христенко, Виктор Борисович",빅토르 흐리스텐코
"Третьяк, Владислав Александрович",블라디슬라프 트레티야크
"Ягудин, Алексей Константинович",알렉세이 야구딘
"Сердюков, Анатолий Эдуардович",아나톨리 세르듀코프
"Поляков, Валерий Владимирович",발레리 폴랴코프
"Чадов, Алексей Александрович",알렉세이 차도프
"Алханов, Али Дадашевич",알루 알하노프
"Фалин, Валентин Михайлович",발렌틴 팔린
"Собянин, Сергей Семёнович",세르게이 소뱌닌
"Газзаев, Валерий Георгиевич",발레리 가자예프
"Брумель, Валерий Николаевич",발레리 브루멜
"Борзаковский, Юрий Михайлович",유리 보르자콥스키
"Коробейникова, Лариса Викторовна",라리사 코로베이니코바
"Карданов, Мурат Наусбиевич",무라트 카르다노프
"Сорокин, Владимир Георгиевич",블라디미르 소로킨
"Вахонин, Алексей Иванович",알렉세이 바호닌
"Антонов, Юрий Михайлович",유리 안토노프
"Бушуев, Виктор Георгиевич",빅토르 부슈에프
"Наумов, Владимир Наумович",블라디미르 나우모프
"Гопин, Валерий Павлович",발레리 고핀
"Парфёнов, Анатолий Иванович",아나톨리 파르표노프
"Богдан, Иван Гаврилович",이반 보흐단
"Приб, Эдгар",에드가 프립
"Мамонов, Пётр Николаевич",표트르 마모노프
"Сухоруков, Виктор Иванович",빅토르 수크호루코브
"Куравлёв, Леонид Вячеславович",레오니트 쿠라블료프
"Аракелов, Сурен Юрьевич",수렌 유리예비치 아라켈로프
"Володин, Александр Моисеевич",알렉산드르 볼로딘
"Хворостовский, Дмитрий Александрович",드미트리 흐보로스톱스키
"Смирнов, Станислав Константинович",스타니슬라프 스미르노프
"Кабо, Ольга Игоревна",올가 카보
"Собчак, Анатолий Александрович",아나톨리 솝차크
"Новиков, Сергей Петрович (математик)",세르게이 노비코프 (수학자)
"Горин, Григорий Израилевич",그리고리 고린
"Кузютина, Наталья Юрьевна",나탈리야 쿠주티나
"Юсупов, Артур Римович",아르투르 유수포프
"Смольянинов, Артур Сергеевич",아르투르 스몰랴니노프
"Козлов, Алексей Анатольевич",알렉세이 코즐로프
"Швед, Алексей Викторович",알렉세이 시베트
"Паршивлюк, Сергей Викторович",세르게이 파르시블류크
"Радионова, Елена Игоревна",옐레나 라디오노바
"Юсков, Денис Игоревич",데니스 유스코프
"Макаров, Виталий Валерьевич",비탈리 마카로프
"Лычёва, Екатерина Александровна",카탸 리초바
"Смольников, Игорь Александрович",이고리 스몰니코프
"Григорьев, Владимир Викторович (конькобежец)",블라디미르 그리고리예프 (쇼트트랙 선수)
"Марцинкевич, Максим Сергеевич",막심 마르친케비치
"Цвейба, Ахрик Сократович",아흐리크 츠베이바
"Мостовой, Александр Владимирович",알렉산드르 모스토보이
"Друбич, Татьяна Люсьеновна",타티야나 드루비치
"Панин, Андрей Владимирович",안드레이 파닌
"Серебряков, Алексей Валерьевич",알렉세이 세레브랴코프
"Грушко, Александр Викторович",알렉산드르 그루시코
"Башаров, Марат Алимжанович",마라트 바샤로프
"Бекмамбетов, Тимур Нуруахитович",티무르 베크맘베토프
"Гурьянов, Георгий Константинович",게오르기 구리야노프
"Соловьёв, Николай Николаевич (борец)",니콜라이 솔로비요프 (레슬링 선수)
"Кагарлицкий, Борис Юльевич",보리스 카가를리츠키
"Тменов, Тамерлан Русланович",타메를란 트메노프
"Сайтиев, Адам Хамидович",아담 사이티예프
"Ковальчук, Анна Леонидовна",안나 코발추크
"Мадянов, Роман Сергеевич",로만 마댜노프
"Симонова, Евгения Павловна",예브게니야 시모노바
"Алентова, Вера Валентиновна",베라 알렌토바
"Голованова, Елизавета Игоревна",옐리자베타 골로바노바
"Лукьяненко, Евгений Юрьевич",예브게니 루키야넨코
"Кадиевич, Велько",벨코 카디예비치
"Кудрин, Алексей Леонидович",알렉세이 쿠드린
"Моня, Сергей Александрович",세르게이 모냐
"Резанцев, Валерий Григорьевич",발레리 레잔체프
"Козловский, Данила Валерьевич",다닐라 코즐롭스키
"Громов, Михаил Леонидович",미하일 레오니도비치 그로모프
"Ерёменко, Роман Алексеевич",로만 에레멩코
"Мозгов, Тимофей Павлович",티모페이 모즈고프
"Сотникова, Аделина Дмитриевна",아델리나 소트니코바
"Добровольский, Игорь Иванович",이고리 도브로볼스키
"Серебренников, Кирилл Семёнович",키릴 세레브렌니코프
"Бероев, Егор Вадимович",예고르 베로예프
"Котова, Татьяна Николаевна",타티야나 코토바
"Скрипаль, Сергей Викторович",세르게이 스크리팔
"Нургалиев, Рашид Гумарович",라시트 누르갈리예프
"Жук, Станислав Алексеевич",스타니슬라프 주크
"Носков, Николай Иванович (музыкант)",니콜라이 노스코프
"Будина, Ольга Александровна",올가 부디나
"Самедов, Александр Сергеевич",알렉산드르 사메도프
"Хиль, Эдуард Анатольевич",예두아르트 힐
"Ерёменко, Алексей Алексеевич",알렉세이 에레멩코
"Лавров, Игорь Викторович",이고리 라브로프
"Кобзон, Иосиф Давыдович",이오시프 코브존
"Фигейра Фернандес, Марио",마리우 피게이라 페르난지스
"Саенко, Иван Иванович",이반 사엔코
"Колобнев, Александр Васильевич",알렉산드르 콜로브네프
Витас,비타스
"Донгузашвили, Теа Гайозовна",테아 돈구자시빌리
"Немцов, Борис Ефимович",보리스 넴초프
"Тетрадзе, Омари Михайлович",오마리 테트라제
"Рашидова, Сархат Ибрагимовна",사르핫 라쉬도바
"Савочкин, Игорь Юрьевич",이고리 사보치킨
"Кожевникова, Мария Александровна",마리야 코제브니코바
"Джалилов, Манучехр Насруллоевич",마누체흐르 잘릴로프
"Рыжков, Николай Иванович",니콜라이 리시코프
"Кудинов, Василий Александрович",바실리 쿠디노프
"Высоцкая, Юлия Александровна",율리야 비소츠카야
"Михайлов, Борис Петрович",보리스 미하일로프 (아이스하키 선수)
"Линде, Андрей Дмитриевич",안드레이 린데
"Миронов, Сергей Михайлович",세르게이 미로노프
"Михалкова, Надежда Никитична",나데즈다 미할코바
"Сафонова, Елена Всеволодовна",옐레나 사포노바
"Бердыев, Курбан Бекиевич",쿠르반 베르디예프
"Шаймиев, Минтимер Шарипович",민티메르 샤이미예프
"Фёдоров, Сергей Викторович",세르게이 표도로프
"Гаврилова, Юлия Петровна",율리야 가브릴로바
"Гребенников, Женя",제니아 그레베니코브
"Гундарева, Наталья Георгиевна",나탈리야 군다레바
"Таов, Хасанби Урусбиевич",하산비 타오프
"Лебедев, Александр Евгеньевич",알렉산드르 레베데프
"Каун, Александр Олегович",알렉산드르 카운
"Тихонов, Андрей Николаевич",안드레이 니콜라예비치 티호노프
"Лоськов, Дмитрий Вячеславович",드미트리 로스코프
"Илизаров, Гавриил Абрамович",가브릴 일리자로프
"Концевич, Максим Львович",막심 콘체비치
"Брик, Евгения Владимировна",예브게니야 히립스카야
"Смертин, Алексей Геннадьевич",알렉세이 스메르틴
"Немов, Алексей Юрьевич",알렉세이 네모프
"Малахов, Владимир Игоревич",블라디미르 말라호프 (아이스하키 선수)
"Хисамутдинов, Шамиль Шамшатдинович",샤밀 히사무트디노프
"Миронов, Дмитрий Олегович (хоккеист)",드미트리 미로노프 (아이스하키 선수)
"Буцаев, Вячеслав Геннадьевич",뱌체슬라프 부차예프
"Шадрин, Владимир Николаевич",블라디미르 샤드린
"Гамба, Эцио",에치오 감바
"Концевич, Лев Рафаилович",레프 콘체비치
"Берлинская, Людмила Валентиновна",류드밀라 베를린스카야
"Урсуляк, Александра Сергеевна",알렉산드라 우르술랴크
"Порошина, Мария Михайловна",마리야 포로시나
"Садовый, Евгений Викторович",예브게니 사도비
"Зелепукин, Валерий Михайлович",발레리 젤레푸킨
"Иванов, Игорь Сергеевич",이고리 이바노프
"Скобрев, Иван Александрович",이반 스코브레프
"Черязова, Лина Анатольевна",리나 체랴조바
