François Hollande,フランソワ・オランド
Catherine de Navarre,カタリナ・(ナバラ女王)
Bernadette Lafont,ベルナデット・ラフォン
Catherine Breillat,カトリーヌ・ブレイヤ
Jean-Pierre Rassam,ジャン＝ピエール・ラッサム
Amélie d'Orléans,アメリー・ドルレアン
Germaine de Foix,ジェルメーヌ・ド・フォワ
Marc-André Dalbavie,マーク＝アンドレ・ダルバヴィ
Pierre Pflimlin,ピエール・フリムラン
Deanna Durbin,ディアナ・ダービン
Jean de Joinville,ジャン・ド・ジョアンヴィル
Madame de Sévigné,セヴィニエ侯爵夫人マリー・ド・ラビュタン＝シャンタル
Marie NDiaye,マリー・ンディアイ
Marie-Claire Alain,マリー＝クレール・アラン
Linda Maria Baros,リンダ・マリア・バロス
Clémentine d'Orléans,クレマンティーヌ・ドルレアン
Étienne-François Geoffroy,エティエンヌ・F・ジョフロア
Henriette de Nevers (1542-1601),アンリエット・ド・ヌヴェール
Pascal Bonitzer,パスカル・ボニゼール
Ida Rubinstein,イダ・ルビンシュタイン
Marcel Lods,マルセル・ロッズ
Jean-Baptiste Du Hamel,ジャン＝バティスト・デュアメル
Pierre Seignette,ピエール・セニエット
Peter Kassovitz,ペテ・カソヴィッツ
Étienne Jeaurat,エティエンヌ・ジョーラ
André Rigaud,アンドレ・リゴー
Étienne Gilson,エティエンヌ・ジルソン
Youssouf Falikou Fofana,ユスフ・ファリク・フォファナ
Moussa Sissoko,ムサ・シソコ
Julien Ingrassia,ジュリアン・イングラシア
Edmond de Sélys Longchamps,エドモン・ド・セリ・ロンシャン
Camille Silvy,カミーユ・シルヴィ
Laurent de La Hyre,ローラン・ド・ラ・イール
Yohann Pelé,ヨアン・プレ
Franck Tabanou,フランク・タバヌ
Cheikh M'Bengue,シェイフ・ムベング
Jean-Christophe Bahebeck,ジャン＝クリストフ・バエベック
Maxime Colin,マクシム・コラン
Emma de Caunes,エマ・ドゥ・コーヌ
Fabrice N'Sakala,ファブリス・エンサカラ
Mounir Obbadi,ムニル・オバディ
Étienne Capoue,エティエンヌ・カプエ
Jacques Hadamard,ジャック・アダマール
Henri Cartan,アンリ・カルタン
René Thom,ルネ・トム
Nancy Huston,ナンシー・ヒューストン
Mathilde Bonaparte,マチルド・ボナパルト
Alexa Davalos,アレクサ・ダヴァロス
Jean-Jacques-Régis de Cambacérès,ジャン＝ジャック・レジ・ド・カンバセレス
Pierre Moerlen,ピエール・ムーラン
Sébastien Japrisot,セバスチアン・ジャプリゾ
Marie-Josèphe de Saxe (1731-1767),マリー＝ジョゼフ・ド・サクス
Louise de Coligny,ルイーズ・ド・コリニー
Olga Kurylenko,オルガ・キュリレンコ
Marguerite Yourcenar,マルグリット・ユルスナール
Claire Denis,クレール・ドニ
Marie de Bourbon-Montpensier,マリー・ド・ブルボン＝モンパンシエ
Blanche de Valois,ブランシュ・ド・ヴァロワ
Isabelle Ire de Lorraine,イザベル・ド・ロレーヌ
Françoise-Marie de Bourbon,フランソワーズ・マリー・ド・ブルボン
Marie-Françoise-Élisabeth de Savoie,マリー・フランソワーズ・ド・サヴォワ＝ヌムール
Louis Ier de Bar,ルイ1世・(バル公)
Jérôme Salle,ジェローム・サル
Étienne Mattler,エティエンヌ・マトレ
Edmund Dene Morel,エドモンド・モレル・(ジャーナリスト)
Sergueï Boulgakov,セルゲイ・ブルガーコフ
Frank Lebœuf,フランク・ルブーフ
Matthieu Dreyer,マテュー・ドレイエ
Étienne-François Le Tourneur,エティエンヌ＝フランソワ・ル・トゥルヌール
Michel Baron,ミシェル・バロン
François Gérard,フランソワ・ジェラール
Éléonore de Roye,エレオノール・ド・ロワイエ
Marc Vidal,マルク・ヴィダル
Étienne Berne-Bellecour,エティエンヌ＝プロスペル・ベルン＝ベルクール
Marie Walewska,マリア・ヴァレフスカ
Sonia Rykiel,ソニア・リキエル
Étienne Pivert de Senancour,エティエンヌ・ピヴェール・ド・セナンクール
Jerzy Grotowski,イェジー・グロトフスキ
Daniel Pennac,ダニエル・ペナック
Étienne Pierre Ventenat,エティエンヌ・ピエール・ヴァントナ
Léon Bouly,レオン・ブリー
Guillaume Fichet,ギヨーム・フィシェ
Étienne Didot,エティエンヌ・ディド
Jean-Daniel Akpa-Akpro,ジャン＝ダニエル・アクパ＝アクプロ
Jérémie Bréchet,ジェレミー・ブレシェ
Josef Hoëné-Wronski,ユゼフ・マリア・ハーネー＝ウロンスキー
Charles de L'Écluse,カロルス・クルシウス
Le Primatice,フランチェスコ・プリマティッチオ
Sophie Gengembre Anderson,ソフィー・アンダーソン
Pierre Louis Moreau de Maupertuis,ピエール・ルイ・モーペルテュイ
Wendelin Werner,ウェンデリン・ウェルナー
Serge Aurier,セルジュ・オーリエ
Emmanuel Rivière,エマニュエル・リヴィエール
Louise Abbéma,ルイズ・アベマ
Adélaïde de France (1732-1800),マリー・アデライード・ド・フランス
Walter Gieseking,ヴァルター・ギーゼキング
Louis Jouvet,ルイ・ジューヴェ
Jean-Baptiste Dumas (chimiste),ジャン＝バティスト・デュマ
Gaston Darboux,ジャン・ガストン・ダルブー
Jacques Prévert,ジャック・プレヴェール
Stéphane Hessel,ステファン・エセル
Étienne Terrus,エティエンヌ・テリュス
Louis VIII le Lion,ルイ8世・(フランス王)
Jean XXII,ヨハネス22世・(ローマ教皇)
Victoire de Saxe-Cobourg-Gotha,ヴィクトワール・ド・サクス＝コブール＝コアリー
Vassily Kandinsky,ワシリー・カンディンスキー
Louis VI le Gros,ルイ6世・(フランス王)
Emmanuelle Arsan,エマニュエル・アルサン
Marie-Josée Croze,マリ＝ジョゼ・クローズ
Mathilde Kschessinska,マチルダ・クシェシンスカヤ
Rama Yade,ラマ・ヤド
Anne Fontaine (réalisatrice),アンヌ・フォンテーヌ
Marguerite Durand (féministe),マルグリット・デュラン
Sœur Emmanuelle,シスター・エマニュエル
Marie-Christine Barrault,マリー＝クリスティーヌ・バロー
Mylène Demongeot,ミレーヌ・ドモンジョ
Marion Maréchal,マリオン・マレシャル
Jeanne Demessieux,ジャンヌ・ドゥメッシュー
Enki Bilal,エンキ・ビラル
Raymond Radiguet,レーモン・ラディゲ
Alain Touraine,アラン・トゥーレーヌ
Pierre Alphonse Laurent,ピエール・アルフォンス・ローラン
Jean-Pierre Raffarin,ジャン＝ピエール・ラファラン
Jean Rouch,ジャン・ルーシュ
Étienne de Silhouette,エティエンヌ・ド・シルエット
Jean-Victor Bertin,ジャン＝ヴィクトール・ベルタン
Étienne de La Boétie,エティエンヌ・ド・ラ・ボエシ
Charles Colbert de Croissy,シャルル・コルベール・ド・クロワシー
Joris Ivens,ヨリス・イヴェンス
Paul Henri Balluet d'Estournelles de Constant,エストゥールネル・ド・コンスタン
Jacques Charles,ジャック・シャルル
Olivier Kapo,オリビエ・カポ
Uffie,アフィ
Christophe Landrin,クリストフ・ランドラン
Elsa Lunghini,エルザ・ランギーニ
Charles Virolleaud,シャルル・ヴィロロー
Cécile Corbel,セシル・コルベル
Sylvain Chavanel,シルヴァン・シャヴァネル
Hilaire Belloc,ヒレア・ベロック
Samir Amin,サミール・アミン
Christopher Samba,クリストファー・サンバ
Alain Cuny,アラン・キュニー
Michèle Laroque,ミシェル・ラロック
Corinne Lepage,コリーヌ・ルパージュ
Bernard Parmegiani,ベルナール・パルメジャーニ
Nicolò dell'Abbate,ニコロ・デッラバーテ
Nicolas-Louis Vauquelin,ルイ＝ニコラ・ヴォークラン
Alexis Lemaire,アレクシス・ルメール
Dominique Perben,ドミニク・ペルベン
Jules Oppert,ジュール・オッペール
Dominique Bussereau,ドミニク・ビュスロ
Henri-Gatien Bertrand,アンリ・ガティアン・ベルトラン
Eugène Poubelle,ウジェーヌ・プベル
Andreas Franz Wilhelm Schimper,アンドレアス・フランツ・ヴィルヘルム・シンパー
Françoise Dolto,フランソワーズ・ドルト
Victor Jacquemont,ヴィクトール・ジャケモン
Zinaïda Hippius,ジナイーダ・ギッピウス
Stéphanie de Beauharnais,ステファニー・ド・ボアルネ
Frédéric-Armand de Schomberg,フレデリック・ションバーグ・(初代ションバーグ公爵)
Coline Mattel,コリン・マテル
Hubert de Givenchy,ユベール・ド・ジバンシィ
Jacques Rivette,ジャック・リヴェット
Charles V le Sage,シャルル5世・(フランス王)
Joann Sfar,ジョアン・スファール
Marie-France Pisier,マリー＝フランス・ピジェ
Paul Le Guen,ポール・ル・グエン
Friedrich Burgmüller,ヨハン・ブルグミュラー
Théodelinde de Beauharnais,テオドランド・ド・ボアルネ
Michel Constantin,ミシェル・コンスタンタン
Karl-Heinz Förster,カールハインツ・フェルスター
Julie Depardieu,ジュリー・ドパルデュー
Édouard Vuillard,エドゥアール・ヴュイヤール
Sami Bouajila,サミ・ブアジラ
Marina Anissina,マリナ・アニシナ
Lucie Décosse,リュシ・デコス
Marie-Casimire-Louise de La Grange d'Arquien,マリー・カジミール・ド・ラ・グランジュ・ダルキアン
Jules Mazarin,ジュール・マザラン
Anne de Bavière (1648-1723),アンヌ・ド・バヴィエール
Beate Klarsfeld,ベアテ・クラルスフェルト
Bernard Cerquiglini,ベルナール・セルキリーニ
Pauline Parmentier,ポーリーン・パルマンティエ
Jane Avril,ジャンヌ・アヴリル
Sara Forestier,サラ・フォレスティエ
Louise-Françoise de Bourbon (1673-1743),ルイーズ・フランソワーズ・ド・ブルボン
Sophie Quinton,ソフィー・カントン
Yvette Guilbert,イヴェット・ギルベール
Chantal Akerman,シャンタル・アケルマン
Marie Laforêt,マリー・ラフォレ
Gabriel-François Doyen,ガブリエル＝フランソワ・ドワイアン
Fanny Valette,ファニー・ヴァレット
Sofiane Feghouli,ソフィアン・フェグリ
Agnès Jaoui,アニエス・ジャウィ
Henri Lehmann,アンリ・ラマン
Marie d'Orléans (1813-1839),マリー・ドルレアン・(1813-1839)
Allan Kardec,アラン・カルデック
Linh-Dan Pham,リン・ダン・ファン
Paul Barras,ポール・バラス
Pierre-Louis Lions,ピエール＝ルイ・リオン
Cédric Villani,セドリック・ヴィラニ
Aimée du Buc de Rivery,エイメ・デュ・ビュク・ド・リヴェリ
Zaz (chanteuse),ザーズ
Zazie,ザジ・(歌手)
Alizée,アリゼ
Christian Herter,クリスティアン・アーチボルド・ハーター
Marina Hands,マリナ・ハンズ
Virginie Arnold,バージニー・アーノルド
Pascale Cossart,パスカル・コサール
Óscar Domínguez,オスカル・ドミンゲス
Pierre Louÿs,ピエール・ルイス
Lise de la Salle,リーズ・ドゥ・ラ・サール
Charles Péguy,シャルル・ペギー
Félicité de La Mennais,フェリシテ・ド・ラムネー
Sophie de Bar,ゾフィア・(バル女伯)
Nora Arnezeder,ノラ・アルネゼデール
Anastasia Griffith,アナスタシア・グリフィス
Julien Green,ジュリアン・グリーン
Théodore Agrippa d'Aubigné,アグリッパ・ドービニェ
Pierre-Henri de Valenciennes,ピエール＝アンリ・ド・ヴァランシエンヌ
Brigitte Fossey,ブリジット・フォッセー
Béatrice d'Albon,ベアトリス・ダルボン
Bonne d'Artois,ボンヌ・ダルトワ
Marguerite de Bourbon (1438-1483),マルグリット・ド・ブルボン・(1438-1483)
Gisèle Freund,ジゼル・フロイント
Éric Serra,エリック・セラ
Jean Victor Marie Moreau,ジャン・ヴィクトル・マリー・モロー
Emmanuel de Grouchy,エマニュエル・ド・グルーシー
Heinrich Schëuch,ハインリッヒ・シューク
Daniel-Henry Kahnweiler,ダニエル＝ヘンリー・カーンワイラー
Jean-Pol Martin,ジャン＝ポール・マーティン
Siegfried Bing,サミュエル・ビング
Éléonore Desmier d'Olbreuse,エレオノール・ドルブリューズ
Nicolas Remy,ニコラ・レミ
Jean Marais,ジャン・マレー
Richard Clayderman,リチャード・クレイダーマン
Joseph Jérôme Lefrançois de Lalande,ジェローム・ラランド
Charles Hermite,シャルル・エルミート
Jacques-Bénigne Bossuet,ジャック＝ベニーニュ・ボシュエ
Georges Moustaki,ジョルジュ・ムスタキ
Marina Vlady,マリナ・ヴラディ
Sylvie Vartan,シルヴィ・ヴァルタン
Lautréamont,ロートレアモン伯爵
Guy de Lusignan (roi de Jérusalem),ギー・ド・リュジニャン
Jules Romains,ジュール・ロマン
Tahar Ben Jelloun,ターハル・ベン・ジェルーン
Jeannot Szwarc,ヤノット・シュワルツ
Robert Badinter,ロベール・バダンテール
Charles Nodier,シャルル・ノディエ
Charles de Steuben,シャルル・ド・スチューベン
Frédéric Back,フレデリック・バック
Pierre-Augustin Caron de Beaumarchais,カロン・ド・ボーマルシェ
Germaine Krull,ジェルメーヌ・クルル
Irène Némirovsky,イレーヌ・ネミロフスキー
Jean-Victor Poncelet,ジャン＝ヴィクトル・ポンスレ
Boughéra El Ouafi,ブエラ・エル・ワフィ
Roger Milla,ロジェ・ミラ
Natalie Dessay,ナタリー・デセイ
Christa Ludwig,クリスタ・ルートヴィヒ
Maurice de Vlaminck,モーリス・ド・ヴラマンク
Emmanuelle Devos,エマニュエル・ドゥヴォス
Olivier Blanchard,オリヴィエ・ブランチャード
Gustave Le Bon,ギュスターヴ・ル・ボン
Jean-François de La Pérouse,ラ・ペルーズ伯ジャン＝フランソワ・ド・ガロー
Abedi Pelé,アベディ・ペレ
Marie-Anne de Camargo,マリー・カマルゴ
Emmanuel-Joseph Sieyès,エマニュエル＝ジョゼフ・シエイエス
Philippe Soupault,フィリップ・スーポー
Hubert Maga,ユベール・マガ
François Clouet,フランソワ・クルーエ
Jean Aurel,ジャン・オーレル
Rodolphe Kreutzer,ロドルフ・クレゼール
Bernard Ménez,ベルナール・メネズ
Clément Janequin,クレマン・ジャヌカン
Mireille Mathieu,ミレイユ・マチュー
Innocent VI,インノケンティウス6世・(ローマ教皇)
Guy Lapébie,ギィ・ラペビー
Charles Koechlin,シャルル・ケクラン
Sophie Blanchard,ソフィー・ブランシャール
Urbain IV,ウルバヌス4世・(ローマ教皇)
Cléo de Mérode,クレオ・ド・メロード
Raoul Salan,ラウル・サラン
Marguerite Perey,マルグリット・ペレー
Catherine Labouré,カトリーヌ・ラブレ
Guillaume Depardieu,ギョーム・ドパルデュー
Sacha Guitry,サシャ・ギトリ
Marcel Mauss,マルセル・モース
Gustave Caillebotte,ギュスターヴ・カイユボット
Michel Piccoli,ミシェル・ピコリ
Jean-Baptiste Élissalde,ジャン＝バチスト・エリサルド
Honoré Blanc,オノレ・ブラン
Jean-Pierre Melville,ジャン＝ピエール・メルヴィル
Gerberge de Saxe,ゲルベルガ・フォン・ザクセン
Niki de Saint Phalle,ニキ・ド・サンファル
Claudius Dornier,クラウディウス・ドルニエ
Alfred Kastler,アルフレッド・カストレル
Victor de Broglie (1785-1870),ヴィクトル・ド・ブロイ・(第3代ブロイ公爵)
Alexandre Dumas (fils),アレクサンドル・デュマ・フィス
Martine Carol,マルティーヌ・キャロル
Julie Halard,ジュリー・アラール＝デキュジス
Pierre Vaultier,ピエール・ボルティエ
Marguerite Broquedis,マルグリット・ブロクディス
Marguerite d'Anjou (1273-1299),マルグリット・ダンジュー
Françoise d'Eaubonne,フランソワーズ・ドボンヌ
Rosa Bonheur,ローザ・ボヌール
Virginie Despentes,ヴィルジニー・デパント
Léon Gambetta,レオン・ガンベッタ
Claude Lelouch,クロード・ルルーシュ
Henri Cornet,アンリ・コルネ
René Pottier (cyclisme),ルネ・ポティエ
Louis Ier d'Orléans,ルイ・ド・ヴァロワ・(オルレアン公)
Bertrand Tavernier,ベルトラン・タヴェルニエ
Lino Ventura,リノ・ヴァンチュラ
Lucas Digne,リュカ・ディニュ
Louise d'Orléans (1812-1850),ルイーズ＝マリー・ドルレアン
Alexander Büchner,アレクサンダー・ビューヒナー
Napoléon-Louis Bonaparte (1804-1831),ナポレオン・ルイ・ボナパルト
Adolphe Brongniart,アドルフ・ブロンニャール
Grégoire XI,グレゴリウス11世・(ローマ教皇)
Louise de Marillac,ルイーズ・ド・マリヤック
Étienne Œhmichen,エティエンヌ・ウーミシェン
Émile Loubet,エミール・ルーベ
Claude de France (1547-1575),クロード・ド・ヴァロワ
Roger Guillemin,ロジェ・ギルマン
Mélissa Lauren,メリッサ・ローレン
Maria Helena Vieira da Silva,マリア・エレナ・ヴィエイラ・ダ・シルヴァ
Lily Pons,リリー・ポンス
Michaël Llodra,ミカエル・ロドラ
Camille Flammarion,カミーユ・フラマリオン
Édouard Limonov,エドワルド・リモノフ
Mathias Énard,マティアス・エナール
André Chénier,アンドレ・シェニエ
Maurice Koechlin,モーリス・ケクラン
Cédric Kanté,セドリック・カンテ
Donat Nonnotte,ドナシャン・ノノット
André Bellessort,アンドレ・ベルソール
Marianne Loir,マリアンヌ・ロワール
Jacques Lacan,ジャック・ラカン
Gino Severini,ジーノ・セヴェリーニ
Johan Micoud,ジョアン・ミクー
Jean Dubuffet,ジャン・デュビュッフェ
André Masséna,アンドレ・マッセナ
Bertrade de Montfort,ベルトラード・ド・モンフォール
Jean Tigana,ジャン・ティガナ
Sylvie Testud,シルヴィー・テステュー
Marie Mancini,マリー・マンシーニ
Jean-Pierre Léaud,ジャン＝ピエール・レオ
Gérard Houllier,ジェラール・ウリエ
Paul Claudel,ポール・クローデル
Jimmy Briand,ジミー・ブリアン
Achille Valenciennes,アシル・ヴァランシエンヌ
François-Christian Gau,フランツ・クリスティアン・ガウ
Joseph Derenbourg,ジョゼフ・ドランブール
Maurice de Saxe (1696-1750),モーリス・ド・サックス
Pierre de Fermat,ピエール・ド・フェルマー
Léon Bonnat,レオン・ボナ
Éric Cantona,エリック・カントナ
Kees van Dongen,キース・ヴァン・ドンゲン
Anne-Caroline Chausson,アンヌ＝カロリーヌ・ショソン
Blanche d'Artois,ブランシュ・ダルトワ
Romain Bussine,ロマン・ビュシーヌ
Chris Marker,クリス・マルケル
Robert Desnos,ロベール・デスノス
Camille (chanteuse),カミーユ・(歌手)
Kristina Mladenovic,クリスティナ・ムラデノビッチ
Liane de Pougy,リアーヌ・ド・プジー
Lothaire (roi des Francs),ロテール・(西フランク王)
Jean-Paul Gaultier,ジャン＝ポール・ゴルチエ
Gaston Doumergue,ガストン・ドゥメルグ
Jean-de-Dieu Soult,ニコラ＝ジャン・ド・デュ・スールト
Peguy Luyindula,ペギー・リュインドゥラ
Ibrahim Ba,イブラヒム・バ
Georges Prêtre,ジョルジュ・プレートル
Théodore Chassériau,テオドール・シャセリオー
Félix Faure,フェリックス・フォール
Jules Grévy,ジュール・グレヴィ
Florent Sinama-Pongolle,フロラン・シナマ＝ポンゴル
Philippe Christanval,フィリップ・クリスタンヴァル
Mamadou Niang,ママドゥ・ニアン
Daniel Cohn-Bendit,ダニエル・コーン＝ベンディット
Alexandre Grothendieck,アレクサンドル・グロタンディーク
Hermann Mayer Salomon Goldschmidt,ヘルマン・ゴルトシュミット
Benoît Assou-Ekotto,ブノワ・アスー＝エコト
Lotte H. Eisner,ロッテ・アイスナー
Georges Enesco,ジョルジェ・エネスク
Maxime Weygand,マキシム・ウェイガン
Benoît XII,ベネディクトゥス12世・(ローマ教皇)
Benjamin Stambouli,ベンジャミン・スタンブリ
Roman Coppola,ロマン・コッポラ
Michel Debré,ミシェル・ドゥブレ
Dado Pršo,ダド・プルショ
Kossi Agassa,コシ・アガサ
Armand Fallières,アルマン・ファリエール
Alcide Dessalines d'Orbigny,アルシド・ドルビニ
Philippe d'Orléans (1640-1701),フィリップ1世・(オルレアン公)
Costa-Gavras,コスタ＝ガヴラス
Saad Hariri,サード・ハリーリー
Ľubomír Moravčík,リュボミール・モラフチク
Kader Keita,アブドゥル・カデル・ケイタ
Maurice Thorez,モーリス・トレーズ
Henri Maspero,アンリ・マスペロ
Moktar Ould Daddah,モクタル・ウルド・ダッダ
Eugene Lauste,ウジェーヌ・ロースト
Jean-Gabriel Albicocco,ジャン＝ガブリエル・アルビコッコ
Pierre Braunberger,ピエール・ブロンベルジェ
Alphonse de Poitiers,アルフォンス・ド・ポワティエ
Calixte II,カリストゥス2世・(ローマ教皇)
Romy Schneider,ロミー・シュナイダー
Philippe VI de Valois,フィリップ6世・(フランス王)
Clément VI,クレメンス6世・(ローマ教皇)
Seán MacBride,ショーン・マクブライド
Jean-Marie Vianney,ジャン＝マリー・ヴィアンネ
Zygmunt Krasiński,ジグムント・クラシンスキ
Innocent V,インノケンティウス5世・(ローマ教皇)
Demba Ba,デンバ・バ
Catalans,カタルーニャ人
Ernst Rüdiger Starhemberg,エルンスト・シュターレンベルク
Richard Coudenhove-Kalergi,リヒャルト・クーデンホーフ＝カレルギー
Alfred Neubauer,アルフレート・ノイバウアー
Max Deutsch,マックス・ドイッチュ
Jean-Baptiste Joseph Delambre,ジャン＝バティスト・ジョゼフ・ドランブル
Ludovic Savatier,リュドヴィク・サヴァティエ
Didier Pironi,ディディエ・ピローニ
Sébastien Bourdais,セバスチャン・ボーデ
Benoît Paire,ブノワ・ペール
Zénaïde Bonaparte,ゼナイード・ボナパルト
Charles Meryon,シャルル・メリヨン
Jacques Ibert,ジャック・イベール
Roscelin de Compiègne,コンピエーニュのロスケリヌス
Brian Joubert,ブライアン・ジュベール
Ante Gotovina,アンテ・ゴトヴィナ
Grégory Lemarchal,グレゴリー・ルマルシャル
Léonin,レオニヌス
Alain Bernard,アラン・ベルナール
Hassan Gouled Aptidon,ハッサン・グレド・アプティドン
Charles François de Cisternay du Fay,シャルル・フランソワ・デュ・フェ
George Sluizer,ジョルジュ・シュルイツァー
Jean-Baptiste Bessières,ジャン＝バティスト・ベシェール
Joseph-Louis Lagrange,ジョゼフ＝ルイ・ラグランジュ
Henri Poincaré,アンリ・ポアンカレ
Edita Piekha,エディタ・ピエーハ
Jean-Louis Schlesser,ジャン＝ルイ・シュレッサー
Joséphine de Beauharnais,ジョゼフィーヌ・ド・ボアルネ
Jean-Pierre Jabouille,ジャン＝ピエール・ジャブイーユ
Jacques Laffite,ジャック・ラフィット
Maurice Trintignant,モーリス・トランティニアン
Alexandre Farnèse (cardinal),アレッサンドロ・ファルネーゼ・(枢機卿)
Sylvie Goulard,シルヴィー・グラール
Camille Desmoulins,カミーユ・デムーラン
David Ruelle,ダヴィッド・ルエール
Ambroise Thomas,アンブロワーズ・トマ
Hippolyte Taine,イポリット・テーヌ
Michael Lonsdale,マイケル・ロンズデール
Nathalie Sarraute,ナタリー・サロート
Maurice Delafosse,モリス・ドゥラフォス
Christiaan Hendrik Persoon,クリスティアーン・ヘンドリク・ペルズーン
François Rude,フランソワ・リュード
Charles-Augustin Coulomb,シャルル・ド・クーロン
Alfred Dreyfus,アルフレド・ドレフュス
Jo Schlesser,ジョー・シュレッサー
Nicolas-Charles Bochsa,ニコラ＝シャルル・ボクサ
Jane Bathori,ジャーヌ・バトリ
Jean-Baptiste Greuze,ジャン＝バティスト・グルーズ
Adalbéron de Laon,アダルベロン・(ラン司教)
Jehan Alain,ジャン・アラン
Pierre Bérégovoy,ピエール・ベレゴヴォワ
Alain-Fournier,アラン＝フルニエ
Jean de Lattre de Tassigny,ジャン・ド・ラトル・ド・タシニ
Antoine Béchamp,アントワーヌ・ベシャン
Éric Bernard,エリック・ベルナール
Jean-Pierre Beltoise,ジャン＝ピエール・ベルトワーズ
Patrick Bruel,パトリック・ブリュエル
Yves Saint Laurent,イヴ・サン＝ローラン
Paul Belmondo (pilote),ポール・ベルモンド
Henri Pescarolo,アンリ・ペスカロロ
Patrick Depailler,パトリック・デパイユ
Gui II de Montlhéry,ギー2世・ド・モンレリ
Jean-Pierre Jarier,ジャン＝ピエール・ジャリエ
Jacques II de Bourbon,ジャック2世・(ラ・マルシュ伯)
Pierre Richer de Belleval,ピエール・リシェ・ド・ベルヴァル
Jean-Baptiste Jourdan,ジャン＝バティスト・ジュールダン
Barthélemy Boganda,バルテレミー・ボガンダ
Yasmina Reza,ヤスミナ・レザ
Liliane Bettencourt,リリアンヌ・ベタンクール
Julien Gracq,ジュリアン・グラック
Anthar Yahia,アンター・ヤヒア
François Achille Bazaine,フランソワ・アシル・バゼーヌ
Nicolas Penneteau,ニコラ・プヌトー
David Ducourtioux,ダヴィド・デュクルティウ
François Mauriac,フランソワ・モーリアック
Pierre Levegh,ピエール・ルヴェー
Georges Clemenceau,ジョルジュ・クレマンソー
Gérard Larrousse,ジェラール・ラルース
Johnny Servoz-Gavin,ジョニー・セルボ＝ギャバン
Pierre-Henri Raphanel,ピエール＝アンリ・ラファネル
Yves Bonnefoy,イヴ・ボヌフォワ
Gaston Planté,ガストン・プランテ
Marc Raquil,マルク・ラキーユ
Zacharie Boucher,ザシャリー・ブシェ
Maurice Scève,モーリス・セーヴ
Djimi Traoré,ジミ・トラオレ
Guy Debord,ギー・ドゥボール
René-Robert Cavelier de La Salle,ロベール＝カブリエ・ド・ラ・サール
Simone Veil,シモーヌ・ヴェイユ・(政治家)
Jean de Berry,ジャン1世・(ベリー公)
Vikash Dhorasoo,ヴィカシュ・ドラソー
Antoine Meillet,アントワーヌ・メイエ
Georges-Antoine Rochegrosse,ジョルジュ・ロシュグロス
Armand David,アルマン・ダヴィド
Henri de Toulouse-Lautrec,アンリ・ド・トゥールーズ＝ロートレック
Charles Despiau,シャルル・デスピオ
Omar Bongo,オマール・ボンゴ・オンディンバ
Marie d'Agoult,マリー・ダグー
Karine Ruby,カリーヌ・リュビ
Dominique Aury,ドミニク・オーリー
Guy Ligier,ギ・リジェ
Simone Simon,シモーヌ・シモン
Jacques Miller,ジャック・ミラー・(生物学者)
Christopher Tolkien,クリストファ・トールキン
Jean-Baptiste de Lamarck,ジャン＝バティスト・ラマルク
Marthe Hanau,マルト・アノー
Ségolène Royal,セゴレーヌ・ロワイヤル
Hélène Grimaud,エレーヌ・グリモー
Philippe II de Bourgogne,フィリップ2世・(ブルゴーニュ公)
Jeanne III de Bourgogne,ジャンヌ3世・(ブルゴーニュ女伯)
Olivier Panis,オリビエ・パニス
Georges Auric,ジョルジュ・オーリック
Charles-François Daubigny,シャルル＝フランソワ・ドービニー
Leslie Djhone,レスリー・ジョーヌ
Simon Ier de Lorraine,シモン1世・(ロレーヌ公)
Robert IV de La Marck,ロベール4世・ド・ラ・マルク
Jules Janssen,ピエール・ジャンサン
Jean Todt,ジャン・トッド
Laurent de Gouvion-Saint-Cyr,ローラン・グーヴィオン＝サン＝シール
Michel Galabru,ミシェル・ガラブリュ
Louis-Jules Mancini-Mazarini,ルイ＝ジュール・マンシーニ＝マザリーニ
Étienne Macdonald,ジャック・マクドナル
Louis Renault (industriel),ルイ・ルノー・(実業家)
Gabriel Obertan,ガブリエル・オベルタン
François Perrier (artiste),フランソワ・ペリエ・(画家)
Henri Deloge,アンリ・デロージュ
Romain Grosjean,ロマン・グロージャン
Jean-Éric Vergne,ジャン＝エリック・ベルニュ
Gaston Leroux,ガストン・ルルー
Adalbéron de Reims,アダルベロン・(ランス大司教)
Marcel Cerdan,マルセル・セルダン
Jean sans Peur,ジャン1世・(ブルゴーニュ公)
Claude Berri,クロード・ベリ
Pascal Fabre,パスカル・ファブル
Georges Cuvier,ジョルジュ・キュヴィエ
Pierre Cardin,ピエール・カルダン
Hermann Zotenberg,エルマン・ゾータンベール
Lúcio Costa,ルシオ・コスタ
Jean Behra,ジャン・ベーラ
François Hesnault,フランソワ・エスノー
Patrick Gaillard,パトリック・ガイヤール
François Migault,フランソワ・ミゴール
Ilya Ilitch Metchnikov,イリヤ・メチニコフ
Philippe III le Hardi,フィリップ3世・(フランス王)
Claude-Henri de Rouvroy de Saint-Simon,アンリ・ド・サン＝シモン
Fréhel (chanteuse),フレエル
Marguerite Stuart (1424-1445),マーガレット・ステュアート
Flora Tristan,フローラ・トリスタン
Carlo Ponti,カルロ・ポンティ
Charles Itandje,シャルル・イタンジュ
Simon Helberg,サイモン・ヘルバーク
Guy IV de Châtillon-Saint-Pol,ギー4世・(サン＝ポル伯)
Mathurin Jacques Brisson,マチュラン・ジャック・ブリソン
Gaspar Noé,ギャスパー・ノエ
