Los Angeles,엘에이
Thomasville,토머스빌
Tuskegee,터스키기
Atlantic Beach,애틀랜틱비치
Aventura,애번투라
Cape Canaveral,케이프커내버럴
Delaware City,델라웨어시티
Sunrise,선라이즈
Palm Beach,팜비치
Key West International Airport,케이 웨스트 국제공항
Lawrenceburg,로렌스버그
Murray,머리
Bardstown,바드스타운
Hays,헤이스
Mount Carmel,마운트카멀
Abilene,애빌린
Guam,괌
Roseburg,로즈버그
McMinnville,맥민빌
Crater Lake National Park,크레이터 레이크 국립공원
Payson,페이슨
Florence,플로렌스
Flathead Lake,플랫헤드 호
Lebanon,레버넌
Newport,뉴포트
Glacier National Park,글레이셔 국립공원
Pyramid Lake,피라미드 호
Devils Tower,데빌스타워
Kelso,켈소
Long Beach,롱비치
Waimea,와이메아
Ellensburg,엘렌스버그
Buckley,버클리
Burlington,벌링턴
Cascade Range,캐스케이드 산맥
Moses Lake,모지스레이크
Nooksack,눅색
Mount Rainier,레이니어 산
SeaTac,시택
Barrow,배로
Glacier Bay National Park and Preserve,글레이셔 만 국립공원
Kailua-Kona,카일루아 코나
Kaneohe,카네오헤
Maunaloa,마우나로아 산
Maunakea,마우나케아 산
Seward,슈어드
Pribilof Islands,프리빌로프 제도
Unalakleet,어널래클릿
North America,북아메리카
National Mall,내셔널 몰
Kapolei,카폴레이
One World Trade Center,원 월드 트레이드 센터
Edwards Air Force Base,에드워즈 공군 기지
