Lionel Messi,리오넬 메시
Eusebio Di Francesco,에우세비오 디 프란체스코
Antonio Cantafora,안토니오 캔타포라
Matteo Contini,마테오 콘티니
Gianluigi Lentini,잔루이지 렌티니
Mattia Cassani,마티아 카사니
Morgan De Sanctis,모르간 데 산크티스
Giacinto Facchetti,자친토 파케티
Giampaolo Pazzini,잠파올로 파치니
Mauro Bellugi,마우로 벨루지
Daniele Galloppa,다니엘레 갈로파
Cristiano Lupatelli,크리스티아노 루파텔리
Fausto Coppi,파우스토 코피
Lucas Leiva,루카스 레이바
Simone Martini,시모네 마르티니
Bud Spencer,버드 스펜서
Alex Gaudino,알렉스 가우디노
Luciano Berio,루치아노 베리오
Riccardo Ferri,리카르도 페리
Pino Dordoni,피노 도르도니
Pietro Ferraris,피에트로 페라리스
Davide Brivio,다비데 브리비오
Claudio Graziano,클라우디오 그라치아노
Massimo Maccarone,마시모 마카로네
Antonino Barillà,안토니노 바릴라 (축구 선수)
Andrea Petagna,안드레아 페타냐
Piero Tosi,피에로 토시
Roberto Soriano,로베르토 소리아노
Nichi Vendola,니키 벤돌라
Alessandro Nesta,알레산드로 네스타
Gigliola Cinquetti,질리올라 칭케티
Donatella Versace,도나텔라 베르사체
Renata Tebaldi,레나타 테발디
Gianni Rivera,잔니 리베라
Valentina Vezzali,발렌티나 베찰리
Fabio Grosso,파비오 그로소
Valeria Solarino,발레리아 솔라리노
Toni Servillo,토니 세르빌로
Facundo Roncaglia,파쿤도 롱카글리아
Ezequiel Schelotto,에제키엘 스켈로토
Angelo Anquilletti,안젤로 안퀼레티
Sandro Puppo,산드로 푸포
Antonio Floro Flores,안토니오 플로로 플로레스
Alice Rohrwacher,알리체 로르바케르
Giancarlo Esposito,잔카를로 에스포지토
Domenico Fioravanti,도메니코 피오라반티
Stefano Morrone,스테파노 모로네
Enrico Fabris,엔리코 파브리스
Jury Chechi,유리 케키
Federico Lombardi,페데리코 롬바르디
Giuseppe Dossena,주세페 도세나
Luigi De Agostini,루이지 데 아고스티니
Antonio Mirante,안토니오 미란테
Michele di Grecia,그리스와 덴마크의 왕자 미하일
Antonio Juliano,안토니오 율리아노
Mina (cantante),미나 (이탈리아의 가수)
Valeria Golino,발레리아 골리노
Mirella Freni,미렐라 프레니
Carlo Maria Giulini,카를로 마리아 줄리니
Moira Orfei,모이라 오페이
Emilio Pucci,에밀리오 푸치
Guido Castelnuovo,귀도 카스텔누오보
Ernesto Ambrosini,에르네스토 암브로시니
Giacomo Bonaventura,자코모 보나벤투라
Gino Fano,지노 파노
Simone Perrotta,시모네 페로타
Luigi Beccali,루이지 베칼리
Claudio Gora,클라우디오 고라
Paolo Virzì,파올로 비르지
Giancarlo Marocchi,잔카를로 마로키
Gianna Nannini,잔나 난니니
Asia Argento,아시아 아르젠토
Valeria Bruni Tedeschi,발레리아 브루니 테데스키
Sabrina Salerno,사브리나 살레르노
Alba Rohrwacher,알바 로르바케르
Carlo Rota,카를로 로타
Miki Biasion,미키 비아시온
Stefano Accorsi,스테파노 아코르시
Alessandra Panaro,알레산드라 파나로
Nicola Pavarini,니콜라 파바리니
Ercole Rabitti,에르콜레 라비티
Raf Vallone,라프 발로네
Bruno de Finetti,브루노 데 피네티
Arnaldo Forlani,아르날도 포를라니
Maria Valtorta,마리아 발토르타
Chiara Mastalli,키아라 마스탈리
Giulia Rubini,줄리아 루비니
Eleonora Giorgi,엘레오노라 조르지
Lino Banfi,리노 밴피
Antonio Rosati,안토니오 로사티
Pierino Prati,피에리노 프라티
Roberto Pruzzo,로베르토 프루초
Alessandro Lucarelli,알레산드로 루카렐리
Tommaso Berni,톰마소 베르니
Giulio Natta,줄리오 나타
Carolina Kostner,카롤리나 코스트너
Nina Ricci (stilista),니나 리치
Francesco Toldo,프란체스코 톨도
Tony Dallara,토니 달라라
Federica Pellegrini,페데리카 펠레그리니
Luigi Russolo,루이지 루솔로
Mariangela Giordano,마리안젤라 지오르다노
Marco Amelia,마르코 아멜리아
Maria Grazia Cucinotta,마리아 그라치아 쿠치노타
Iva Zanicchi,이바 자니키
Luca Bucci,루카 부치
Barbora Bobuľová,바르보라 보불로바
Daniele Bonera,다니엘레 보네라
Claudio Ranieri,클라우디오 라니에리
Peter Capaldi,피터 카팔디
Cosimo Pinto,코시모 핀토
Rossella Fiamingo,로셀라 피아밍고
Erno Crisa,에르노 크리사
Alessandro Preziosi,알레산드로 프리지오시
Pietro Arcari,피에트로 아르카리
Alessandro Safina,알레산드로 사피나
Giuseppe Bergomi,주세페 베르고미
Anna Bonaiuto,안나 보나이우토
Sofonisba Anguissola,소포니스바 안귀솔라
Greta Scacchi,그레타 스카키
Gala (cantante),갈라 (가수)
Romina Power,로미나 포베르
Anna Oxa,안나 옥사
Fiona May,피오나 마이
Stefania Sandrelli,스테파니아 산드렐리
Fiorenza Cossotto,피오렌차 코소토
Laura Antonelli,라우라 안토넬리
Irene Galter,이렌 갈터
Gianluca Vialli,잔루카 비알리
Caterina Murino,카테리나 무리노
Ornella Vanoni,오르넬라 바노니
Nina Zilli,니나 질리
Gianna Beretta Molla,잔나 베레타 몰라
Milena Vukotic,밀레나 부코티츠
Ambra Angiolini,암브라 안졸리니
Catherine Spaak,캐서린 스파크
Luciana Paluzzi,루시아나 팔루치
Franco Columbu,프란코 콜룸부
Luca Antonelli,루카 안토넬리
Marta Gastini,마르타 가스티니
Eleonora Rossi Drago,엘레오노라 로시 드라고
Francesco Severi,프란체스코 세베리
Nando Paone,난도 파오네
Giancarlo De Sisti,잔카를로 데 시스티
Emanuele Calaiò,에마누엘레 칼라이오
Luigi Sturzo,루이지 스투르초
Sergio Castellitto,세르조 카스텔리토
Osvaldo Bagnoli,오스발도 바뇰리
Carlo Urbani,카를로 우르바니
Alessandro Andrei,알레산드로 안드레이
Elisa Santoni,엘리사 산토니
Gianni Clerici,잔니 클레리치
Bruno Venturini (calciatore),브루노 벤투리니
Letícia Román,레티시아 로만
Sylva Koscina,실바 코스치나
Licia Albanese,리차 알바네세
Nello Pazzafini,넬로 파자피니
Marco Storari,마르코 스토라리
Ondina Valla,트레비손다 발라
Francesca Michielin,프란체스카 미키엘린
Laura Chiatti,로라 치아티
Luca Cigarini,루카 치가리니
Sebastiano Rossi,세바스티아노 로시
Michele Canini,미켈레 카니니
Francesco Solimena,프란체스코 솔리메나
Natalia Valeeva,나탈리아 발레예바
Amelita Galli-Curci,아멜리타 갈리 쿠르치
Marisa Sannia,마리사 산니아
Emiliano Viviano,에밀리아노 비비아노
Francesca Neri,프란체스카 네리
Renata Scotto,레나타 스코토
Daniela Bianchi,다니엘라 비앙키
Roberto Murolo,로베르토 무롤로
Tomas Arana,토머스 아라나
Antonio Tajani,안토니오 타야니
Marco Mengoni,마르코 멘고니
Luca Marchegiani,루카 마르케자니
Luigi Apolloni,루이지 아폴로니
Matteo Tagliariol,마테오 탈리아리올
Caterina Valente,캐터리나 발렌트
Vanessa Hessler,바네사 헤슬러
Terence Hill,테런스 힐
Milva,밀바
John Turturro,존 터투로
Giuseppe Biava,주세페 비아바
Miuccia Prada,미우치아 프라다
Fernando Belluschi,페르난도 벨루스치
Isabella Ragonese,이사벨라 라고네세
Leonardo De Lorenzo,레오나르도 데 로렌초
Gabriele Veneziano,가브리엘레 베네치아노
Massimo Gobbi,마시모 고비
Giandomenico Mesto,잔도메니코 메스토
Lorenzo De Silvestri,로렌초 데 실베스트리
Melania Gabbiadini,멜라니아 가비아디니
Ottavio Bianchi,오타비오 비안키
Fabio Testi,파비오 테스티
Pietro Serantoni,피에트로 세란토니
Delia Scala,델리아 스칼라
Marco Delvecchio,마르코 델베키오
Eraldo Pecci,에랄도 페치
Francesco Cilea,프란체스코 칠레아
Demetrio Albertini,데메트리오 알베르티니
Catalani,카탈루냐인
Emma (cantante 1984),엠마 마로네
Aldo Maldera,알도 말데라
Fabio Borini,파비오 보리니
Gabriele Angella,가브리엘레 안젤라
Gianpaolo Bellini (calciatore),잔파올로 벨리니
Antonio Benarrivo,안토니오 베나리보
Marco Belinelli,마르코 벨리넬리
Andrés Nocioni,안드레스 노시오니
Alberto Lupo,알베르토 루포
Giuseppe Furino,주세페 푸리노
Ángel Di María,앙헬 디 마리아
Andrea Coda,안드레아 코다
Giampiero Pinzi,잠피에로 핀치
Francesco Acerbi,프란체스코 아체르비
Guido Marini,귀도 마리니
Nicoletta Braschi,니콜레타 브라스키
Azeglio Vicini,아첼리오 비치니
Fabiana Udenio,파비아나 우데니오
Giuseppe Giannini (calciatore),주세페 잔니니
Athina Cenci,아티나 첸치
Kaká,카카
Massimo Donati,마시모 도나티
Franco Selvaggi,프란코 셀바지
Giovanni Papini,조반니 파피니
Giuseppe De Luca (calciatore),주세페 데 루카
Giovanni Saldarini,조반니 살다리니
Giulio Donati,줄리오 도나티
Malisa Longo,맬리서 롱고
Lionello Manfredonia,리오넬로 만프레도니아
Giuseppe Cavanna,주세페 카반나
Don Vito Corleone,비토 코를레오네
Riccardo Bacchelli,리카르도 바켈리
Thomas Manfredini,토마스 만프레디니
Sandra Ceccarelli,산드라 체카렐리
Aldo Donati (calciatore),알도 도나티
Giulia Quintavalle,줄리아 퀸타발레
Vladimir Luxuria,블라디미르 룩수리아
Gino Colaussi,지노 콜라우시
Gabriella Dorio,가브리엘라 도리오
Alessandra Mastronardi,알레산드라 마스트로나르디
Luigi Tarantino,루이지 타란티노
Franco Tancredi,프란코 탄크레디
Francesco Rocca (calciatore),프란체스코 로카
Luca Barbareschi,루카 바르바레스키
Alessandro Potenza,알레산드로 포텐차
Arianna Fontana,아리안나 폰타나
Carlo Bergonzi,카를로 베르곤치
Marcella Bella,마르첼라 벨라
Maurizio Domizzi,마우리치오 도미치
Walter Chiari,발테르 키아리
Ruben Buriani,루벤 부리아니
Francesco Pannofino,프란체스코 판노피노
Valentina Cortese,발렌티나 코르테세
Romano Mussolini,로마노 무솔리니
Cristian Raimondi,크리스티안 라이몬디
Ciro Polito,치로 폴리토
Niccolò Campriani,니콜로 캄프리아니
Alessio Romagnoli,알레시오 로마뇰리
Carlo Annovazzi,카를로 안노바치
Diego Fuser,디에고 푸세르
Elisa Di Francisca,엘리사 디 프란치스카
Daniela Ceccarelli,다니엘라 체카렐리
Bobby Solo,보비 솔로
Al Bano,알 바노
Rita Pavone,리타 파보네
Gianni Versace,잔니 베르사체
Raimundo Orsi,라이문도 오르시
Alessandro Mendini,알레산드로 멘디니
Iginio Straffi,이기니오 스트라피
Aurelio Sabattani,아우렐리오 사바타니
Edwige Fenech,에드위그 페네치
Raffaella Carrà,라파엘라 카라
Ernesto Castano,에르네스토 카스타노
Giorgio Ferrini,조르조 페리니
Roberto Alagna,로베르토 알라냐
Suso Cecchi D'Amico,수소 체키 다미코
Manuela Di Centa,마누엘라 디 첸타
Lucia Bosè,루차 보세
Kim Rossi Stuart,킴 로시 스튜어트
Mauro Sarmiento,마우로 사르미엔토
Vittoria Puccini,비토리아 푸치니
Valentine Demy,발렌틴 데미
Cristiano Biraghi,크리스티아노 비라기
Beppo Levi,베포 레비
Allison Miller,앨리슨 밀러
Kasia Smutniak,카시아 스무트니아크
Franco Scoglio,프란코 스콜리오
Luciano Re Cecconi,루차노 레 체코니
Gian Carlo Menotti,잔 카를로 메노티
Giuseppe Favalli,주세페 파발리
Marina Suma,마리나 수마
Diego Occhiuzzi,디에고 오키우치
Lina Bo Bardi,리나 보 바르디
Marisa Pavan,마리사 파반
Giulio Leoni,줄리오 레오니
Ottavia Piccolo,오타비아 피콜로
Betty Curtis,베티 쿠르티스
Maurizio Damilano,마우리치오 다밀라노
Archimede Morleo,아르키메데 몰레오
Cinzia Monreale,신지아 몬레알레
Vincenzo Maenza,빈첸초 마엔차
Sabrina Ferilli,사브리나 페릴리
Licia Maglietta,리차 말리에타
Mattia Perin,마티아 페린
Roberto Insigne,로베르토 인시녜
Amintore Fanfani,아민토레 판파니
Rosalba Neri,로살바 네리
Roberto Boninsegna,로베르토 보닌세냐
Erika Lechner,에리카 레히너
Salvatore Ferragamo,살바토레 페라가모
Marco Pantani,마르코 판타니
Sydne Rome,시드니 롬
Cristina Comencini,크리스티나 코멘치니
Ilaria Occhini,일라리아 오키니
Luciano Rossi (attore),루치아노 로지
Marina Berti,마리나 베르티
Jasmine Trinca,재스민 트린카
Federico Agliardi,페데리코 알리아르디
Roberto Vitiello,로베르토 비티엘로
Alessandro Agostini,알레산드로 아고스티니
Luca Antei,루카 안테이
Sebastiano Baggio,세바스티아노 바조
Carmelo Bene,카르멜로 베네
Rosalinda Celentano,로살린다 첼렌타노
Arianna Errigo,아리안나 에리고
Lea Padovani,레아 파도바니
Roberto Rosato,로베르토 로사토
Cristina D'Avena,크리스티나 다베나
Michelangelo Albertazzi,미켈란젤로 알베르타치
Eugenio Scalfari,에우제니오 스칼파리
Carlo Buccirosso,카를로 부치로소
Xuxa,슈샤 (연예인)
Giovanni Messe,조반니 메세
Elsa Morante,엘사 모란테
Vito Mannone,비토 마노네
Rosanna Schiaffino,로잔나 쉬아피노
Susanna Agnelli,수산나 아녤리
Igor Cassina,이고르 카시나
Tano Cimarosa,타노 시마로사
Riccardo Muti,리카르도 무티
Gigi Riva,루이지 리바
Fabiola Gianotti,파비올라 자노티
Raffaele Palladino,라파엘레 팔라디노
Francesco Gabrieli,프란체스코 가브리엘리
Stefania Casini,스테파니아 카시니
John Elkann,존 엘칸
Gabriel Garko,가브리엘 가르코
Facundo Ferreyra,파쿤도 페레이라
Delia Boccardo,델리아 보카르도
Diego Tardelli,지에구 타르델리
Tullio Lanese,툴리오 라네세
Federico Piovaccari,페데리코 피오바카리
Alfredo Guzzoni,알프레도 구초니
Gianluca Pegolo,잔루카 페골로
Alice (cantante),알리체 (가수)
Laura Betti,라우라 베티
Alessandra Mussolini,알레산드라 무솔리니
Stephen Spinella,스티븐 스피넬라
Gabriele Perico,가브리엘레 페리코
Claudio Terzi,클라우디오 테르치
Claudio Sala,클라우디오 살라
Marisa Allasio,마리사 알라시오
Mario Pizziolo,마리오 피치올로
Daniele Portanova,다니엘레 포르타노바
Alessandro Maestri,알레산드로 마에스트리
Tiberio Guarente,티베리오 구아렌테
Giovanni Invernizzi (calciatore 1931),조반니 인베르니치
Dacia Maraini,다차 마라이니
Salvatore Sanzo,살바토레 산초
Sergio Floccari,세르조 플로카리
Elisabetta Canalis,엘리사베타 카날리스
Carlo Carcano,카를로 카르카노
Antonio Bacchetti,안토니오 바케티
Claudio Bigagli,클라우디오 비갈리
Amos Mariani,아모스 마리아니
Guido Marilungo,구이도 마릴룬고
Alessandro Gassmann,알레산드로 가스만
Luigi De Canio,루이지 데 카니오
Daniele Masala,다니엘레 마살라
Claudia Mori,클라우디아 모리
Vittorio Gui,비토리오 구이
Renato Olmi,레나토 올미
Lea Massari,레아 마사리
Alessandra Martines,알레산드라 말티네스
Aitana Sánchez-Gijón,아이타나 산체스히혼
Maria Tipo,마리아 티포
Roberto Di Donna,로베르토 디 돈나
Giuliana Rancic,줄리아나 란치치
Luigi Radice,루이지 라디체
Mario Sampirisi,마리오 삼피리시
Edmondo Fabbri,에드몬도 파브리
Bruno Chizzo,브루노 키초
Stefano Pioli,스테파노 피올리
Cristina Scabbia,크리스티나 스카비아
Yvonne Rüegg,이본 뤼에크
Cristiana Capotondi,크리스티아나 카포톤디
Bianca Balti,비안카 발티
Domiziana Giordano,도미지아나 지오다노
Sandra Milo,산드라 밀로
Arrigo Sacchi,아리고 사키
Federico Balzaretti,페데리코 발차레티
Pierdomenico Baccalario,피에르도메니코 바칼라리오
Federico Peluso,페데리코 펠루소
Giovanni Lodetti,조반니 로데티
Francesco Lodi,프란체스코 로디
Mauro Fiore,마우로 피오레
Egisto Pandolfini,에지스토 판돌피니
Angelo Peruzzi,안젤로 페루치
Roberto Donadoni,로베르토 도나도니
Salvatore Schillaci,살바토레 스킬라치
Umberto Giordano,움베르토 조르다노
Davide Santon,다비데 산톤
Walter Zenga,발테르 젱가
Mario Draghi,마리오 드라기
Giada Colagrande,지아다 콜라그란데
Massimo Bonetti,마시모 보네티
Valerio Jalongo,발레리오 얄론고
Lisandro López (calciatore 1983),리산드로 로페스
Roberto Rosetti,로베르토 로세티
Cesare Maldini,체사레 말디니
Silvio Piola,실비오 피올라
Dino De Laurentiis,디노 드 로렌티스
Massimo Moratti,마시모 모라티
Carlo Ponti,카를로 폰티
Vincenzo Fiorillo,빈첸초 피오릴로
Giulio Berruti,줄리오 베루티
Daniele Luchetti,다니엘레 루케티
Rocco Papaleo,로코 파팔레오
Cristian Pasquato,크리스티안 파스콰토
Francesco Pisano,프란체스코 피사노
Daniele Conti,다니엘레 콘티
Nicola Pozzi,니콜라 포치 (축구 선수)
Sandro Cois,산드로 코이스
Fabrizio Ravanelli,파브리치오 라바넬리
Carlo Di Palma,카를로 디 팔마
Roberto Faenza,로베르토 파엔차
Libero De Rienzo,리베로 데리엔초
Vittorio Emanuele Orlando,비토리오 에마누엘레 오를란도
Paolo Bettini,파올로 베티니
Simone Barone,시모네 바로네
Pierre Cardin,피에르 가르뎅
Renato Pozzetto,레나토 포제토
Elisa Bartoli,엘리사 바르톨리
Salvatore Sirigu,살바토레 시리구
Gaetano Scirea,가에타노 시레아
Leandro Greco,레안드로 그레코
Clara Bindi,클라라 빈디
Evaristo Beccalossi,에바리스토 베칼로시
Gianfranco Bedin,잔프란코 베딘
Roberto Abbondanzieri,로베르토 아본단시에리
Gianluca Ramazzotti,잔루카 라마초티
Vincenzo Montella,빈첸초 몬텔라
Pietro Torrisi,피에트로 토리시
Davide Ballardini,다비데 발라르디니
Daniele Cacia,다니엘레 카차
Fabio Aru,파비오 아루
Virgilio Noè,비르질리오 노에
Matteo Garrone,마테오 가로네
Giampiero Albertini,지암피에로 알베르티니
Claudio Amendola,클라우디오 아멘돌라
Nicola Rodigari,니콜라 로디가리
Elisabetta Rocchetti,엘리사베타 로케티
Enrique Mateos,엔리케 마테오스
Cosimo Fusco,코시모 푸스코
Luca Antonini (calciatore),루카 안토니니
Abdon Pamich,아브돈 파미치
Daniele Padelli,다니엘레 파델리
Vincenzo Talarico,빈첸초 탈라리코
Mario Brega,마리오 브레가
Rossano Brazzi,로사노 브라치
Nicola Zingaretti,니콜라 칭가레티
Robert Miles,로버트 마일즈
Luciano Spalletti,루차노 스팔레티
John Aloisi,존 알로이지
Palmiro Togliatti,팔미로 톨리아티
Cristiano Lucarelli,크리스티아노 루카렐리
Toni Negri,안토니오 네그리
Angelo Palombo,안젤로 팔롬보
Franco Nero,프랑코 네로
Giorgio Agamben,조르조 아감벤
Cristian Brocchi,크리스티안 브로키
Nicola Legrottaglie,니콜라 레그로탈리에
Nancy Brilli,낸시 브릴리
Carla Signoris,카를라 시뇨리스
Lando Buzzanca,란도 버잔카
Flavio Bucci,플라비오 부치
Emanuele Birarelli,에마누엘레 비라렐리
Renato Carpentieri,레나토 카펜티에리
Milena Miconi,밀레나 미코니
Luciano Spinosi,루차노 스피노시
Emilio Caprile,에밀리오 카프릴레
Alessio Boni,아레시오 보니
Umberto Orsini,움베르토 오르시니
Gigi D'Agostino,지지 다고스티노
Guido Masetti,기도 마세티
Franco Menichelli,프란코 메니켈리
Renato Zaccarelli,레나토 차카렐리
Luca Guadagnino,루카 구아다니노
Joel McHale,조엘 맥헤일
Paolo Cannavaro,파올로 칸나바로
Giuseppe Ungaretti,주세페 운가레티
Rolando Bianchi,롤란도 비안키
Benny Benassi,베니 베나시
Valentina Diouf,발렌티나 디우프
Mario Bertini,마리오 베르티니
Antonio Catania,안토니오 카타니아
Frank Pentangeli,프랭키 펜탄젤리
Carlo Ceresoli,카를로 체레솔리
Nino Martini,니노 마르티니
Remo Ruffini,레모 루피니
Luisa Ranieri,루이자 라니에리
Michele Didoni,미켈레 디도니
Cristiano Del Grosso,크리스티아노 델 그로소
Ferruccio Lamborghini,페루치오 람보르기니
Andrea Dossena,안드레아 도세나
Emilio Colombo,에밀리오 콜롬보
Carlo Reali,카를로 레알리
Carlo Rizzo,카를로 리조
Carlo Ponti (direttore d'orchestra),카를로 폰티 주니어
Carlo Parola,카를로 파롤라
Marco Parolo,마르코 파롤로
Luca Caldirola,루카 칼디롤라
Gioia Marzocca,조이아 마르초카
Gianpietro Marchetti,잔피에트로 마르케티
Leopoldo Conti,레오폴도 콘티
Carlo Rovelli,카를로 로벨리
Simonetta Stefanelli,시모네타 스테파넬리
Giuseppe Peruchetti,주세페 페루케티
Maxi López,막시 로페즈
Vincenzo Nibali,빈첸초 니발리
Giuseppe Di Stefano,주세페 디 스테파노
Lucio Fontana,루초 폰타나
Alessandro Gamberini,알레산드로 감베리니
Tinto Brass,틴토 브라스
Bartolomeo Ammannati,바르톨로메오 암만나티
Giorgio Moroder,조르조 모로더
Angelo Ogbonna,안젤로 오그본나
Ida Di Benedetto,이다 디베네데토
Giorgio Pasotti,조르조 파소티
Elvio Banchero,엘비오 반케로
Pier Giacomo Pisoni,피에르 자코모 피소니
Glauco Onorato,글라우코 오노라토
Mario Varglien,마리오 발리엔
Enrico Casarosa,엔리코 카사로사
Valeria Ciangottini,발레리아 시안고티니
Giovanni Marchese (calciatore),조반니 마르케세
Mark Bresciano,마크 브레시아노
Salvatore Adamo,살바토르 아다모
Curzio Malaparte,쿠르치오 말라파르테
Marco Tardelli,마르코 타르델리
Paola Cortellesi,파올라 코르텔레시
Roberto Citran,로베르토 시트란
Enrico Lo Verso,엔리코 로 베르소
Mario Del Monaco,마리오 델 모나코
Diego Alves,지에구 아우베스
Mauro Tassotti,마우로 타소티
Enrico Porro,엔리코 포로
Enzo Bearzot,엔초 베아르초트
Cristiano Zanetti,크리스티아노 차네티
Gianluca Pagliuca,잔루카 팔리우카
Aldo Montano,알도 몬타노 (1978년)
Andrés D'Alessandro,안드레스 달레산드로
Luigi Diberti,루이지 디베르티
Isabella Ferrari,이사벨라 페라리
Turi Ferro,투리 페로
Daniele Gatti,다니엘레 가티
Franco Corelli,프랑코 코렐리
Luigi Di Biagio,루이지 디 비아조
Ciro Ferrara,치로 페라라
Cristian Molinaro,크리스티안 몰리나로
Renato Ruggiero,레나토 루지에로
Stefano Casiraghi,스테파노 카시라기
Simona Izzo,시모나 이초
Orso Maria Guerrini,오소 마리아 구에리니
Sandro Mazzola,산드로 마촐라
Salvatore Bocchetti,살바토레 보케티
Marco Leonardi,마르코 레오나르디
Nicola Rizzoli,니콜라 리촐리
Angelo Schiavio,안젤로 스키아비오
Giancarlo Giannini,잔카를로 잔니니
Claudio Santamaria,클라우디오 산타마리아
Carlo Fassi,카를로 파시
Andrea Ranocchia,안드레아 라노키아
Cristian Rodríguez,크리스티안 로드리게스
Nini Rosso,니니 로소
Stefano Colantuono,스테파노 콜란투오노
Simone Inzaghi,시모네 인차기
Ettore Bugatti,에토레 부가티
Eva Riccobono,에바 리코보노
Alberto Malesani,알베르토 말레사니
Claudio Gentile,클라우디오 젠틸레
Valerio Mastandrea,발레리오 마스탄드레아
Piero Pasinati,피에트로 파시나티
Adalberto Maria Merli,아달베르토 마리아 멀리
Cristian Daniel Ledesma,크리스티안 다니엘 레데스마
Bernardo Provenzano,베르나르도 프로벤자노
Ciriaco De Mita,치리아코 데 미타
Paolo De Ceglie,파올로 데 첼리에
Alberto Zaccheroni,알베르토 자케로니
Giorgetto Giugiaro,조르제토 주지아로
Vito Antuofermo,비토 안투오페모
Claudio Bisio,클라우디오 비시오
Mario Pisu,마리오 피수
Daniela Sabatino,다니엘라 사바티노
Fulvio Bernardini,풀비오 베르나르디니
Mango (cantante),망고 (가수)
Antonella Ponziani,안토넬라 폰치아니
Micaela Ramazzotti,미카엘라 라마초티
Carla Cassola,카를라 카솔라
Giuseppe Bellusci,주세페 벨루시
Ermes Muccinelli,에르메스 무치넬리
Vittorio Miele,비토리오 미엘레
Nicolao Dumitru,니콜라오 두미트루
Leo Lionni,레오 리오니
Pino Donaggio,피노 도나지오
Luigi Mastrangelo,루이지 마스트란젤로
Matteo Salvini,마테오 살비니
Lunetta Savino,루네타 사비노
Umberto Spadaro,움베르토 스파다로
Peter Clemenza,피터 클레멘자
Francesco Giacomo Tricomi,프란체스코 트리코미
Michele Andreolo,미켈레 안드레올로
Aldo Olivieri,알도 올리비에리
Dave Rodgers,데이브 로저스
Diego Armando Maradona Junior,디에고 시나그라
Marco Rossi (calciatore 1978),마르코 로시
Fabio Carta,파비오 카르타
Stefano Dionisi,스테파노 디오니시
Riccardo Carapellese,리카르도 카라펠레세
Ignazio La Russa,이냐치오 라 루사
Umberto Raho,움베르토 라호
Paolo Pizzo,파올로 피초
Daniela Poggi,다니엘라 포기
José Graziano da Silva,조제 그라지아노 다 시우바
Sébastien Corchia,세바스티앵 코르시아
Jacopo Sala,야코포 살라
Federico Barbaro,페데리코 바르바로
Umberto Agnelli,움베르토 아녤리
Luigi Maifredi,루이지 마이프레디
Stefano Eranio,스테파노 에라니오
Giovanni Francini,조반니 프란치니
Stefano Lucchini,스테파노 루키니
Fulvia Franco,풀비아 프란코
Luca Argentero,루카 아르젠테로
Sergio Marchionne,세르지오 마키오네
Raimondo Vianello,라이몬도 비아넬로
Fabio Lanzoni,파비오 란초니
Tullio Regge,툴리오 레제
Simon Laner,시몬 라네르
Paolo Mazza,파올로 마차
Paolo Gentiloni,파올로 젠틸로니
Elio Germano,엘리오 제르마노
Roberto Bolle,로베르토 볼레
Danilo Avelar,다닐루 페르난두 아벨라르
Adriano Giannini,아드리아노 잔니니
Giorgio Parisi,조르조 파리시
Nico Fidenco,니코 피덴코
Mario Perazzolo,마리오 페라촐로
Francesco Benussi,프란체스코 베누시
Nicola Belmonte,니콜라 벨몬테
Angela Finocchiaro,안젤라 피노키아로
Luciano Favero,루차노 파베로
Frank Sivero,프랭크 시베로
Federico Munerati,페데리코 무네라티
Renato Cesarini,레나토 체사리니
Andrea Bertolacci,안드레아 베르톨라치
Marcello Piacentini,Piacentini
Alessandro Florenzi,알레산드로 플로렌치
Fabrizio Poletti,파브리초 폴레티
Ennio Falco,엔니오 팔코
Massimo Briaschi,마시모 브리아스키
Fëdor Fëdorovič Šaljapin,표도르 샬랴핀 주니어
Liliana Segre,릴리아나 세그레
Luciano Castellini,루차노 카스텔리니
Carlo Biagi,카를로 비아지
Ferruccio Valcareggi,페루초 발카레지
Eugenio Bersellini,에우제니오 베르셀리니
Giuseppe Casari,주세페 카사리
Renzo De Vecchi,렌초 데 베키
Francesco D'Macho,프란체스코 디마초
Josef Polig,요제프 폴리히
Francesco Morini,프란체스코 모리니
Norberto Oberburger,노르베르토 오베르부르제르
Andrius Pojavis,안드류스 포야비스
Andrea Catellani,안드레아 카텔라니
Paolo Castellini,파올로 카스텔리니
Ezio Greggio,에지오 그레지오
Fabrizio Cacciatore,파브리치오 카차토레
Massimo Rigoni,마시모 리고니
Riccardo Cazzola,리카르도 카촐라
Giancarlo Corradini,잔카를로 코라디니
George Hilton,조지 힐튼
Giacomo Albanese,자코모 알바네세
Giacomo Mari,자코모 마리
Paolo Conti (calciatore 1950),파올로 콘티
Andrea Consigli,안드레아 콘실리
Roberto Colombo (calciatore),로베르토 콜롬보
Pierluigi Cera,피엘루이지 체라
Alex Cordaz,알렉스 코르다츠
Dario Compiani,다리오 콤피아니
Nicolò Cherubin,니콜로 체루빈
Luciano Chiarugi,루차노 키아루지
Lucidio Sentimenti,루치디오 센티멘티
Marcello Giordani,마르첼로 조르다니
Toni Bertorelli,토니 버토렐리
Andrea Benelli,안드레아 베넬리
Gregorio Paltrinieri,그레고리오 팔트리니에리
Gigi Ballista,지지 벨리스타
Gino Rossetti,지노 로세티
Mara Navarria,마라 나바리아
Claudio Pollio,클라우디오 폴리오
Franco Balducci,프랑코 발두치
Franco Brienza,프란코 브리엔차
Bianca Del Carretto,비안카 델 카레토
