동해시,東海市·(韓國)
대흥역,大兴站·(首尔)
천주교 원주교구,天主教原州教区
강동역,江东站·(首尔)
부평시장역,富平市场站
버티고개역,波堤嶺站
대한민국 산업통상자원부,產業通商資源部
지식정보단지역,知识信息园区站
노량진수산시장,鷺梁津水產市場
북촌 한옥마을,北村韓屋村
거창 양민 학살 사건,居昌屠杀事件
서울 사직단,首爾社稷壇
작전역,鹊田站
오대산,五台山·(韩国)
상일동역,上一洞站
인천시청역,仁川市厅站
캠퍼스타운역,大学城站·(仁川)
박촌역,朴村站
해운대해수욕장,海云台海滩
센트럴파크역,中央公园站·(韩国)
부평삼거리역,富平三岔路口站
신연수역,新延寿站
을지로3가역,乙支路3街站
동수역,东树站
목포공항,木浦機場
계산역,桂山站
예술회관역,艺术会馆站
반크,韩国网络外交使节团
행주대교,幸州大橋
징비록,懲毖錄
이화여자외국어고등학교,梨花女子外國語高等學校
백석대학교,白石大學
북천역,北川站·(庆尚南道)
오두산 통일전망대,烏頭山統一展望台
성산대교,城山大橋
KBS울산방송국,KBS蔚山放送局
GS칼텍스배,GS加德士杯
청주야구장,清州綜合運動場棒球場
KBS제주방송총국,KBS濟州放送總局
대한민국 제13대 국회의원 선거,1988年大韓民國國會選舉
MBC 표준FM,MBC标准FM
인왕산,仁王山
부산 도시철도 1호선,釜山都市铁道1号线
대한민국 제18대 대통령 선거,2012年大韓民國總統選舉
부산 도시철도 4호선,釜山都市铁道4号线
부산 도시철도 2호선,釜山都市铁道2号线
서울 지하철 1호선,首爾地鐵1號線
부산 도시철도 3호선,釜山都市铁道3号线
부산-김해 경전철,釜山—金海轻电铁
산성역,山城站·(京畿道)
문정역,文井站
단대오거리역,丹岱五岔路口站
수진역,寿进站
송파역,松坡站
장지역,长旨站
남한산성입구역,南汉山城站
신흥역 (성남),新兴站·(京畿道)
논산시,論山市
마포역,麻浦站
마천역,馬川站
경인교대입구역,京仁教育大學站
까치산역,喜鹊山站
길동역,吉洞站
마곡역,麻谷站
인천터미널역,仁川客运站
올림픽공원역,奥林匹克公园站·(韩国)
울산 현대모비스 피버스,蔚山現代摩比斯太陽神
무의도,舞衣岛
안동 도산서원,陶山書院
북악산,北岳山
연등회,燃灯会
경주 옥산서원,玉山書院·(慶州市)
SBS M,SBS·M
서울 지하철,首尔地下铁
성서산업단지역,城西產業園區站
석굴암,石窟庵
전국민주노동조합총연맹,全國民主勞動組合總聯盟
OGN,OGN
동해중부선 (일제강점기),慶東線
대덕연구개발특구,大德科學園區
한국 표준시,韩国标准时
중국국제항공 129편 추락 사고,中国国际航空129号班机空难
양재역,良才站
대치역,大峙站
잠원역,蠶院站
남부터미널역,南部客運站
매봉역,梅峰站·(首尔)
일원역,逸院站
학여울역,鶴灘站
대청역,大厅站
익산역,益山站
금련산역,金蓮山站
행죽역,行竹站
평촌역 (진주),坪村站·(庆尚南道)
표교역,標橋站
2013년 K리그1,2013年韩国职业足球经典联赛
제7보병사단 (대한민국),韩国陆军第7步兵师
해병대 제2사단 (대한민국),韓國第2海軍陸戰師
한강리역,汉江里站
학산역,鹤山站·(庆尚北道)
제3보병사단 (대한민국),韓國陸軍第3步兵師
강릉공항,江陵飛行場
오정역,梧井站
약대역,若大站
오류역,五柳站
오천역,午川站
안성역,安城站·(京畿道)
예하역,禮下站
양정역 (상주),杨亭站·(庆尚北道)
양학동역,良鹤洞站
용월역,龍月站·(京畿道)
옥정역,玉井站·(全罗南道)
용인역,龍仁站·(京畿道)
안성읍내역,安城邑内站
연남역,延南站
연희역,延禧站
연라리역,煙羅里站
앵남역,鸚南站
야음역,也音站
인하대역,仁荷大學站
아현리역,阿岘里站
안양풀장역,安养泳池场站
양지역 (용인),陽智站
영흥도,灵兴岛
학동·증심사입구역,鹤洞·证心寺入口站
영산포역,榮山浦站
양양역,襄阳站·(韩国)
여주역 (폐역),骊州站·(废站)
월곡역 (폐역),月谷站·(国铁)
원북역,院北站
원정역,元亭站
원천역,遠川站
충북대학교,忠北大学
토함산,吐含山
한국방송통신대학교,韓國放送通信大學
울산대학교,蔚山大學
세종대학교,世宗大學
남해도,南海岛
경주국립공원,慶州國立公園
종합운동장역 (서울),综合运动场站·(首尔)
구룡역 (서울),九龍站·(首爾)
의정부 경전철,議政府輕電鐵
캠프 험프리스,漢弗萊營
내장산,内藏山
영상물등급위원회,映像物等级委员会
모란 민속장,牡丹市場
이북5도위원회,以北五道
국방과학연구소,國防科學研究所
수도권 전철 서해선,首都圈電鐵西海線
관악산,冠岳山
대한민국 중앙선거관리위원회,中央選舉管理委員會
민족문제연구소,民族問題研究所
한국개발연구원,韩国开发研究院
명동역,明洞站
삼성 갤럭시 (e스포츠),Samsung·Galaxy·(电子竞技)
봉원사,奉元寺
계룡역,鸡龙站
국립부여박물관,国立扶余博物馆
KBS창원방송총국,KBS昌原放送总局
LG유플러스,LG·U%2B
난중일기,亂中日記
쌍방울 레이더스,雙鈴突擊者
OCN (텔레비전 채널),OCN·(頻道)
신라대학교,新罗大学
일산선,一山線
평능역,平陵站
율현역,栗峴站
의암역,衣岩站
진주수목원역,晋州树木园站
죽림역,竹林站
유산역,酉山站
장동역 (화순),壯東站
주천역,注川站
월정리역,月井里站
초구역,草邱站
장산역 (담양),長山站·(南韓)
장호원역,長湖院站
청평호반역,清平湖畔站
죽당역,竹堂站
죽산역,竹山站
죽산읍내역,竹山邑内站
초량역 (폐역),草梁站·(国铁)
장단역,长湍站
제일역,霽日站
증약역,增若站
진성역,晋城站·(庆尚南道)
입교역,笠橋站
이천역 (수려선),利川站·(水骊线)
경복궁역,景福宮站
불광역,佛光站
무악재역,毋岳嶺站
독립문역,獨立門站
녹번역,碌磻站
안국역,安国站·(首尔)
종로3가역,鐘路3街站
종로5가역,鐘路5街站
홍제역,弘濟站
대한민국 정부,大韩民国政府
어정역 (폐역),漁汀站
구학산,九鹤山
동아대학교,東亞大學·(韓國)
서해대교,西海大桥
구봉대산,九峰台山
송도 인천타워,102仁川塔
황성역,隍城站
입석리역,立石里站·(忠清北道)
화성역,華城站·(京畿道)
고색역,古索站
호당역,虎堂站
호명역,虎鳴站
장락역,长乐站·(韩国)
경찰대학,警察大學·(韓國)
안테나 (기업),Antenna·(韓國公司)
한국의 반일감정,韩国反日情绪
안산대학교,安山大学
어천역,渔川站
야목역,野牧站
상평역,上坪站
북전주역,北全州站
병점차량사업소,饼店车辆基地
사리역,四里站
아중역,牙中站
군산화물역,群山货物站
석불역,石佛站·(京畿道)
옥구역,沃溝站
오봉역,五峯站·(京畿道)
개정역,开井站
장흥역 (양주),长兴站·(京畿道)
송천역,松川站·(韩国)
봉천역 (임실),凤泉站·(韩国)
산성역 (남원),山城站·(全北特别自治道)
충무로역,忠武路站
금호역 (서울),金湖站·(首爾)
수도권 전철 5호선,首都圈電鐵5號線
신사역,新沙站·(首尔)
서울 지하철 6호선,首尔地铁6号线
서울 지하철 4호선,首爾地鐵4號線
동대입구역,東國大學站
약수역,药水站·(首尔)
압구정역,狎鷗亭站
제9보병사단 (대한민국),韓國陸軍第9步兵師
백병산 (강원),白屏山
대우건설,大宇建设
충주 험멜 FC,忠州胡默爾足球會
영동대교,永東大橋
한국학중앙연구원,韓國學中央研究院
태화강역,太和江站
제8기동사단,韩国陆军第8机械化步兵师
684부대,684部隊
개성 경천사지 십층석탑,敬天寺十層石塔
경주 불국사 삼층석탑,佛國寺釋迦塔
HD현대미포,現代尾浦造船
공항철도 (기업),機場鐵道·(企業)
대구 도시철도 3호선,大邱都市鐵道3號線
올림픽 슬라이딩 센터,阿爾卑西亞滑行中心
노동자연대 (대한민국),劳动者团结
아차산,峨嵯山
KBS 바둑왕전,KBS杯
경주 황룡사지,皇龙寺
코스닥,科斯达克
대경대학교,大庆大学
홍익대학교,弘益大學
S.E.S.,S.E.S.·(組合)
통도사,通度寺
한국가스공사,韓國石油公社
카라 (음악 그룹),Kara
아차산역,峨嵯山站
한국은행 화폐박물관,韩国银行货币博物馆
성산일출봉,城山日出峰
애오개역,儿岭站
부산 오픈 국제 남자 챌린저 테니스 대회,釜山挑戰賽
TS 엔터테인먼트,TS娛樂
백마고지역,白马高地站
대한민국 배드민턴 국가대표팀,韓國國家羽毛球隊
한화생명보험,韩华生命保险
경화역,庆和站
마산항역,马山港站
침곡역,寝谷站
반성역,班城站
초남역,草南站
장유역,长有站
남창원역,南昌原站
덕산역,德山站·(庆尚南道)
신창원역,新昌原站
흥국사역,兴国寺站
성주사역,圣住寺站
태금역,太金站
황길역,黄吉站
화악산 (경기/강원),华岳山
광주 도시철도 1호선,光州都市铁道1号线
국가연구소대학교,科學技術聯合大學院大學
AOA (음악 그룹),AOA
공작산,孔雀山·(韩国)
방태산,芳台山
명량해협,鸣梁海峡
괴목역,槐木站
덕진역,德津站
성산역 (순천),星山站
옹정역,甕井站
적량역,积良站
여수부두역,丽水码头站
대불역,大佛站
한국 요리,韓國料理
신광양항역,新光阳港站
초강역,楚江站
여수항역,丽水港站
안평역 (장성),安平站·(全罗南道)
장성화물역,长城货物站
춘포역,春浦站
아리랑,阿里郎
광양항역,光阳港站
제주어,濟州語
동대문역사문화공원역,東大門歷史文化公園站
대한민국의 박물관과 미술관 목록,韩国博物馆列表
신민당 (1967년),新民党·(韩国)
해운대 두산위브더제니스,海雲臺斗山We’ve·The·Zenith
울산 HD FC,蔚山HD足球俱樂部
봉은사,奉恩寺
LG그룹,LG集团
국립해양박물관,国立海洋博物馆
양재동,良才洞
피에스타 (음악 그룹),FIESTAR
중림동,中林洞
인천논현역,仁川论岘站
회현동 (서울),會賢洞
광희동,光熙洞
영남대역,岭南大站
정평역 (경산),正坪站
대한민국의 일본 대중문화 개방,韓國對日本媒體的審查
니트족,尼特族
개인산,开仁山
대한민국 필드하키 국가대표팀,韩国国家曲棍球队
1990년 다이너스티컵,1990年皇朝杯足球赛
대공원역 (대구),大公园站·(大邱)
KBS원주방송국,KBS原州放送局
수도권 전철 중앙선,首都圈電鐵中央線
안동 병산서원,屏山書院·(韓國)
필동,筆洞
양재시민의숲역,良才市民之林站
EXID,EXID
장충동,獎忠洞
신당동 (서울),新堂洞
임당역,林堂站
수원 토막 살인 사건,水原殺人分屍案
대한민국 정부 발표 친일반민족행위자 명단,親日反民族行為者
남산역 (김천),南山站·(庆尚北道)
주평역,舟坪站
서강대역,西江大學站
괴동역,槐東站
청천역,清泉站·(庆尚北道)
진해역,镇海站·(庆尚南道)
문경역,闻庆站
왜성 (건축),倭城
제철역,制铁站
신내역,新內站
봉화역 (봉화),奉化站·(庆尚北道)
금호역 (영천),琴湖站
진남역,镇南站·(庆尚北道)
백원역 (상주),白元站
통해역,统海站
딘타이펑,鼎泰豐
송암역,松岩站·(庆尚北道)
장산역 (예천),獐山站
가야역 (한국철도공사),伽倻站·(韩国铁道公社)
봉정역,凤亭站
하양역,河阳站
BBK 주가 조작 사건,BBK股价操纵案
대한민국의 자동차 산업,韩国汽车工业
대한민국-오스트리아 관계,韓國—奧地利關係
대한민국-오스트레일리아 관계,韓國—澳大利亞關係
고한역,古汗站
연당역,渊堂站
신선대역,神仙台站
구절리역,九切里站
선평역,仙坪站
거제해맞이역,巨堤迎日站
탄부역,炭釜信号场
주례역 (한국철도공사),周礼站·(韩国铁道公社)
문곡역,文曲站
서면역 (동해남부선),西面站·(国铁)
외고산역,外高山站
좌천역 (한국철도공사),佐川站·(韩国铁道公社)
우암역,牛岩站
쌍룡역,双龙站·(江原特别自治道)
대방역,大方站
성균관대역,成均館大學站
오산역,烏山站·(韓國)
석수역,石水站
독산역,秃山站
명학역,鳴鶴站
관악역,冠岳站
남영역,南營站
신길역,新吉站·(首尔)
한국철도공사 8500호대 전기 기관차,韩国铁道公社8500型电力机车
채널A,Channel·A
메가박스,Megabox電影中心
화천댐,華川水壩
대한민국의 검열,韩国审查制度
평택역,平泽站
청계산입구역,清溪山站
데일리NK,Daily·NK
국군체육부대,国军体育部队
SKY (대학교),SKY·(大學)
대한민국의 자살,韩国自杀现象
한탄강,漢灘江
브레이브걸스,BB·Girls
별내역,别内站
달월역,达月站
수원시청역,水原市厅站
대전 전투,大田戰役
한복,韓服
매교역,梅橋站
매탄권선역,梅灘勸善站
전대·에버랜드역,前垈·爱宝乐园站
용인중앙시장역,運動場·松潭大學站
둔전역 (용인),屯田站·(京畿道)
명지대역,明知大學站
초당역,草堂站
고진역,古陳站
강남대역,江南大學站·(韓國)
김량장역,金良场站
경기도청북부청사역,京畿道厅北部厅舍站
어정역,御井站·(南韓)
지석역,支石站
동백역 (용인),東栢站
삼가역,三街站·(京畿道)
시청·용인대역,市廳·龍仁大學站
보평역,洑坪站
경전철의정부역,轻电铁议政府站
곤제역,昆弟站
삼척역,三陟站
청령포역,清冷浦信号场
추암역,湫岩站
석항역,石项站
사북역,舍北站
연하역,莲下信号场
울산항역,蔚山港站
아우라지역,阿乌拉吉站
삼척해변역,三陟海边站
묵호항역,墨湖港站
영월역,宁越站
정선역,旌善站
자미원역,紫味院信号场
삼화역,三和站·(韓國)
민둥산역,民东山站
예미역,礼美站
별어곡역,別於谷站
조동역,鸟洞信号场
나전역,罗田站·(韩国)
남양산역,南梁山站
수도권 전철 경의선,首都圈电铁京义线
호포역,湖浦站
전주이씨대동종약원,全州李氏大同宗約院
백둔봉,柏屯峰
석촌고분역,石村古墳站
박달산,朴达山
백석예술대학교,白石藝術大學
박달봉,朴达峰
백제어,百濟語
범골역,虎谷站
발곡역,钵谷站
영락교회,永乐教会
송파나루역,松坡渡口站
함백역,咸白站
만민중앙교회,万民中央教会
동오역,东梧站
2001년 세계 쇼트트랙 선수권 대회,2001年世界短道速滑锦标赛
소망교회,所望教会
새말역,塞末站
금란교회,金兰教会
경성 축구단,京城蹴球团
합천 해인사 대장경판,高丽大藏经
인천문학경기장,仁川文鶴競技場
구몬교육연구회,公文式
2012년 하계 올림픽 대한민국 선수단,2012年夏季奧林匹克運動會韓國代表團
2008년 하계 올림픽 대한민국 선수단,2008年夏季奥林匹克运动会韩国代表团
의정부중앙역,议政府中央站
송산역 (의정부),松山站·(京畿道)
어룡역 (의정부),鱼龙站·(京畿道)
RWE,莱茵集团
의정부시청역,议政府市厅站
오산대역,烏山大學站
군포역,軍浦站
당정역,堂井站
세마역,洗馬站·(韓國)
삼성 애니콜,三星Anycall系列
평택 전투,平泽战役
오산 공군기지,烏山空軍基地
SK텔레콤,SK电讯
대한민국-베트남 관계,韩国—越南关系
평택지제역,平泽芝制站
쌍용역,双龙站·(忠清南道)
진위역,振威站
LG전자,LG電子
봉명역,凤鸣站·(忠清南道)
배방역,排芳站
두정역,斗井站
양남면,陽南面
보광동 (서울),普光洞
2002년 아시안 게임 보디빌딩,2002年亞洲運動會健美比賽
4대강 정비 사업,四大江治理工程
대한민국의 도,道·(韓國)
극락강역,极乐江站
피의 능선 전투,血染岭战斗
무공훈장 (대한민국),武功勋章
춘천 전투,春川戰役
개심사 (서산시),開心寺·(瑞山市)
FC 안양,安養足球會
대한민국의 예절,韩国礼仪
대한민국의 맥주,韩国的啤酒
남북전 (축구),南北韓足球打吡
브레이브 엔터테인먼트,Brave娛樂
맥심커피배,麦馨杯九段最强战
부천 FC 1995,富川1995足球俱乐部
부일영화상,釜日電影獎
남산역 (부산),南山站·(釜山)
평강역 (부산),平江站
대한불교조계종,大韩佛教曹溪宗
두실역,斗实站
대연역,大淵站
경성대·부경대역,慶星大學·釜慶大學站
고촌역 (부산),古村站
노포역,老圃站
금사역,锦丝站
안평역 (부산),安平站·(釜山)
체육공원역,体育公园站·(釜山)
신인왕전 (한국),韓國新人王戰
구서역,久瑞站
서동역,书洞站
서부산유통지구역,西釜山流通地区站
동남보건대학교,東南保健大學
월명종합경기장 야구장,群山月明綜合運動場棒球場
개금역,開琴站
공동경비구역,共同警备区域
동의대역,東義大學站
아시안 하이웨이 6호선,亞洲公路6號線
부암역,釜岩站
코리아 익스프레스 에어,韩国快运航空
가야역 (도시철도),伽倻站·(釜山地鐵)
범내골역,凡内谷站
범일역 (도시철도),凡一站·(釜山地铁)
못골역,池谷站·(釜山)
부산역 (도시철도),釜山站·(釜山地铁)
문현역,門峴站
동래역 (도시철도),东莱站·(釜山地铁)
좌천역 (도시철도),佐川站·(釜山地鐵)
수안역,寿安站
지게골역,支架谷站
명륜역,明倫站
미남역,美南站
초량역,草梁站
명장역,鸣藏站
국제금융센터·부산은행역,國際金融中心·釜山銀行站
충렬사역,忠烈祠站
낙민역,樂民站
사직역,社稷站
양정역 (부산),楊亭站
부전역 (도시철도),釜田站·(釜山地铁)
구남역,龜南站
덕천역 (부산),德川站·(釜山)
구명역,龜明站
전포역,田浦站·(韓國)
만덕역,万德站·(釜山)
동원역,東院站
금곡역 (부산),金谷站·(釜山)
남산정역,南山亭站
수정역,水亭站
부산항대교,釜山港大桥
소공동,小公洞
팬택,泛泰
판교신도시,板橋新都市
한불 관계,法國—韓國關係
흥선역,兴宣站
대저역,大渚站
탑석역,塔石站
불암역,佛岩站
공항역 (부산),机场站·(釜山)
강서구청역,江西区厅站
등구역,登龟站
인제대역,仁济大站
김해대학역,金海大学站
대구역 (도시철도),大邱站·(大邱地铁)
효자역 (의정부),孝子站·(京畿道)
덕두역,德斗站
양산역,梁山站·(慶尚南道)
대사역,大沙站·(釜山)
지내역,池内站
구포역 (도시철도),龟浦站·(釜山地铁)
아신대학교,亚神大学
운주사,雲住寺
대한체육회,大韓體育會
소쇄원,瀟灑園
교동도,乔桐岛
제5회 전국동시지방선거,2010年大韓民國地方選舉
조두순 사건,趙斗淳事件
고상전역,高商前站
인천축구전용경기장,仁川足球場
연지공원역,莲池公园站
부원역,府院站
수로왕릉역,首露王陵站
가야대역,加耶大站
안동 전투,安東戰役
봉황역,鳳凰站·(慶尚南道)
김해시청역,金海市厅站
장신대역,长神大站
박물관역,博物馆站·(庆尚南道)
구덕운동장,釜山九德运动场
부산 실내사격장 화재,釜山射擊場大火
직산역,稷山站·(韩国)
아리랑 3호,阿里郎3号
성환역,成欢站
아산역,牙山站
서정리역,西井里站
송탄역,松炭站
대한민국 여자 농구 국가대표팀,韓國國家女子籃球隊
303고지 학살,303高地屠杀
외동읍,外東邑
냉정역,冷井站
숙등역,淑嶝站
사상역 (도시철도),沙上站·(釜山地铁)
괘법르네시떼역,挂法Renecite站
주례역,周禮站
율리역,栗里站
신분당선 (기업),新盆唐線·(企業)
감전역,甘田站·(釜山)
천안함 피격 사건,天安号沉没事件
대한민국 이라크 평화·재건 사단,宰桐部隊
한국 정교회,韩国正教会
모덕역,毛德站
모라역,毛羅站
괴정역,槐亭站
서대신역,西大新站
불암산,佛岩山
대티역,大峙站·(釜山)
대한민국의 법,韩国法律
하단역 (부산),下端站·(釜山)
동대신역,東大新站
대한민국-불가리아 관계,保加利亚—韩国关系
대전 도시철도 1호선,大田都市铁道1号线
대구 도시철도 2호선,大邱都市鐵道2號線
서울특별시 도시철도공사,首尔特别市都市铁道公社
대구 도시철도 1호선,大邱都市铁道1号线
롯데월드타워,樂天世界塔
대한민국의 대학 목록,韓國大學列表
대한민국 원,韓圓
대한민국의 교통표지,韓國交通標誌
부산 충렬사,釜山忠烈祠
춘사영화제,春史電影獎
죽령역,竹岭信号场
단성역,丹城站
공항동,空港洞
대한민국의 지리,韩国地理
문수역,文殊站·(庆尚北道)
한진해운,韓進海運
희방사역,喜方寺站
도담역,嶋潭站
삼곡역,三谷站·(忠清北道)
신사동 (강남구),新沙洞
충북도립대학교,忠北道立大学
온양온천역,温阳温泉站
아리랑국제방송,阿里郎國際放送
신창역,新昌站·(韩国)
장항선,長項線
한국고속철도,KTX高速列车
광주 FC,光州足球俱樂部
코리아 인터내셔널 서킷,韓國國際賽道
포항 스틸러스,浦項製鐵足球俱樂部
미스코리아,韓國小姐
대한민국 국회,韩国国会
르노코리아자동차,雷諾韓國汽車
SK그룹,SK集团
2010년 코리아 그랑프리,2010年韩国大奖赛
2NE1,2NE1
가락시장,可樂市場
한글날,韓文日
아시안 하이웨이 1호선,亞洲公路1號線
광안역,广安站·(釜山)
우리은행,友利銀行
동의보감,東醫寶鑑
남천역,南川站
토성역,土城站·(釜山)
오마이뉴스,OhmyNews
서울월드컵경기장,首爾世界盃競技場
5·18 광주 민주화 운동,光州民主化運動
1988년 하계 올림픽 축구,1988年夏季奥林匹克运动会足球比赛
직지심체요절,直指心體要節
1988년 하계 올림픽 다이빙,1988年夏季奧林匹克運動會跳水比賽
1988년 하계 패럴림픽,1988年夏季帕拉林匹克運動會
전국한자교육추진총연합회,全國漢字教育推進總聯合會
해동용궁사,海东龙宫寺
CGV,星聚匯
K리그1,K聯賽1
씨제스 스튜디오,C-JeS·Studio
배산역,盃山站
망미역,望美站
동백역 (부산),冬柏站
민주화 (풍자),民主化·(讽刺)
민락역,民樂站·(釜山)
종합운동장역 (부산),综合运动场站·(釜山)
연산역 (부산),蓮山站
윗반송역,上盤松站
중앙역 (부산),中央站·(釜山)
남포역 (부산),南浦站·(釜山)
자갈치역,札嘎其站
물만골역,水满谷站
거제역,巨堤站
시청역 (부산),市厅站·(釜山)
교대역 (부산),教大站·(釜山)
수영역,水營站
소정리역,小井里站
포스코타워-송도,东北亚贸易大厦
전의역,全義站
전동역,全东信号场
국립중앙박물관,国立中央博物馆
보도연맹 학살 사건,保導聯盟事件
서창역,瑞仓信号场
반여농산물시장역,盘如农产品市场站
벡스코역,BEXCO站
중동역 (부산),中洞站·(釜山)
윷놀이,柶戲
센텀시티역,Centum·City站
영산대역,靈山大學站
도메인 핵,域名hack
석대역,石坮站
죽도 (울릉군),竹嶼
대한민국의 국립 대학 목록,韩国国立大学列表
북한강,北漢江
내남면,內南面
청와대,青瓦台
영대병원역,岭大医院站
덕포역,德浦站
용유차량기지,龍遊車輛基地
안지랑역,安吉朗站
한라산,漢拏山
감삼역,甘三站
대명역,大明站
두류역,头流站
강창역,江仓站
해운대역,海雲臺站
고려사,高麗史
대실역,大希爾站
고산역 (대구),孤山站·(大邱)
신기역 (대구),新基站
방촌역,芳村站·(大邱)
각산역,角山站
동대구역 (도시철도),东大邱站·(大邱地铁)
반고개역,半高盖站
송현역,松岘站
율하역,栗下站
진천역,辰泉站
이곡역,梨谷站
내당역,内唐站
다사역,多斯站
해안역,解顏站
아양교역,峨洋桥站
월촌역,月村站
월배역,月背站
대한독립촉성국민회,國民會·(1946年)
군종신부와 부상병 학살 사건,斗滿屠殺事件
수도기계화보병사단,韩国首都机械化步兵师
제일기획,第一企划
창의문,彰義門
대한민국-캐나다 관계,韩国—加拿大关系
캠프 페이지,佩基營
천보산,天宝山·(京畿道)
천안종합운동장,天安體育場
범어역,泛魚站
간도,间岛
신매역,新梅站
연호역,蓮湖站·(大邱)
대방동 (서울),大方洞
청파동,青坡洞
청주방송,清州廣播
평창군,平昌郡
내판역,内板信号场
조치원역,鸟致院站
부강역,芙江站
세천역,细川站·(大田)
대전조차장역,大田操车场
회덕역,怀德站·(韩国)
연기군,燕岐郡
신탄진역,新滩津站
대한민국의 국가,愛國歌·(大韓民國)
광주월드컵경기장,光州世界盃競技場
전남대학교,全南大学
남대문시장,南大門市場
대한민국 야구 국가대표팀,韓國棒球代表隊
한국민속촌,韓國民俗村
북한산,北漢山
대한민국의 사형제,大韓民國死刑制度
에버랜드,爱宝乐园
롯데월드,乐天世界
강화도,江華島
일본항공 351편 공중 납치 사건,淀号劫机事件
수원월드컵경기장,水原世界盃競技場
티웨이항공,德威航空
한국야구위원회,韓國棒球委員會
택견,跆跟
경동시장,京東市場
조선은행,朝鮮銀行
가평 전투,加平戰鬥
규장각,奎章閣
씨름,韩式摔跤
대한민국-중화인민공화국 관계,中国—韩国关系
지리산국립공원,智異山國立公園
박 (성씨),朴姓
한자 문화권,漢字文化圈
한국 서울 성전,韩国首尔圣殿
능동 (서울),陵洞
최정산,最顶山
일본 상품 불매운동,抵制日货
K리그2,K聯賽2
한국기독교총연합회,韓國基督教總聯合會
한국외국어대학교,韓國外國語大學
2011년 세계 육상 선수권 대회,2011年世界田徑錦標賽
콘스탄티노폴리스 세계 총대주교청,君士坦丁堡普世牧首区
매사냥,鹰猎
경주 양동마을,良洞村
마라도,马罗岛
경주역사유적지구,庆州历史遗迹地区
대한민국의 역사,大韓民國歷史
2002년 아시안 게임,2002年亚洲运动会
한국항공우주연구원,韩国航空宇宙研究院
조선왕릉,朝鲜王陵
코리아 오픈 (테니스),韩国网球公开赛
인천 도시철도,仁川都市鐵道
판문점,板門店
운산역,云山站·(韩国)
아시안 하이웨이,亞洲公路網
업동역,业洞信号场
풍기역,丰基站
단촌역,丹村站
무릉역,武陵站
비봉역,飞凤信号场
가거도,可居岛
북영주역,北荣州信号场
우보역,友保站
안정역,安定信号场
의성역,义城站
이하역,伊下站
탑리역,塔里站
평은역,平恩站
옹천역,瓮泉信号场
서지역,西枝站
마사역,麻仕站
승문역,繩文站
용산동 (서울),龍山洞·(首爾)
대치동,大峙洞
청담동,清潭洞
삼성동 (강남구),三成洞·(江南區)
가양동 (서울),加陽洞
한미연합군사령부,韓美聯合軍司令部
대한민국의 보수주의,韩国保守主义
대한민국의 병역 제도,韩国兵役制度
진해 해군기지,鎮海海軍基地
대한민국의 자동차 운전면허,韩国驾驶执照
부산 아이파크,釜山IPark
대한민국 아이스하키 국가대표팀,韩国男子冰球代表队
국립중앙도서관,国立中央图书馆·(韩国)
실미도,實尾島
KG모빌리티,双龙汽车
2PM,2PM
한국증권거래소,韓國證券交易所
한국거래소,韩国交易所
2014년 아시안 게임,2014年亚洲运动会
광안리해수욕장,广安里海滩
창원시,昌原市
종각역,鐘閣站
부천역,富川站·(京畿道)
아시아나항공,韓亞航空
광운대학교,光云大学
2012년 세계 박람회,2012年世界博覽會
국립국어원,國立國語院
티아라 (음악 그룹),T-ara
한국기원,韩国棋院
대한항공,大韓航空
JTBC,JTBC
마산시,马山市
청주공항역,清州机场站
청계천,清溪川
청주역,清州站
서울대공원,首爾大公園
아산만,牙山灣
노근리 양민 학살 사건,老斤里事件
오근장역,梧根场站
대화면,大和面
연남동,延南洞
화산역,花山站·(庆尚北道)
송포역,松浦信号场
갑현역,甲岘信号场
북영천역,北永川站
신녕역,新宁站
모량역,牟梁站
한국e스포츠협회,韩国电子竞技协会
임포역,林浦站·(庆尚北道)
건천역,乾川站
율동역,栗洞信号场
영천역,永川站·(庆尚北道)
화본역,花本站
봉림역,鳳林站·(韓國)
아화역,阿火站
엘스비어,愛思唯爾
쌍문동,雙門洞
삼청동,三清洞
대한민국 여자 축구 국가대표팀,韩国国家女子足球队
대한민국의 문화,韩国文化
롯데 자이언츠,乐天巨人
대구보건대학교,大邱保健大学
대구광역시립중앙도서관,大邱廣域市立中央圖書館
DMZ국제다큐영화제,DMZ韩国国际纪录片电影节
TBC (대한민국의 방송사),TBC股份有限公司
국방정보본부,國防情報本部
대동대학교,大同大學·(韓國)
대구경북,大邱慶北
세계평화통일가정연합,統一教
영통역,灵通站
망포역,网浦站
상갈역,上葛站
청명역,清明站·(京畿道)
2011년 코리아 그랑프리,2011年韩国大奖赛
증평역,曾坪站
채운역,彩云信号场
강경역,江景站
달천역,达川站
주덕역,周德站
목행역,牧杏站
삼탄역,三滩站
소이역,苏伊站
개태사역,开泰寺站
금동미륵보살반가사유상 (국보 제83호),金铜弥勒半跏思惟像·(大韩民国国宝第83号)
보천역,甫川站
용동역,龙东站
가수원역,佳水院站
공전역,公田站
부황역,夫皇站
흑석리역,黑石里站
동량역,东良站
내수역,内秀站
음성역,阴城站
대한민국 국군,大韓民國國軍
광주 도시철도,光州都市鐵道
고창 화순 강화 고인돌 유적,高敞、和顺、江华支石墓遗址
나로우주센터,罗老宇宙中心
대진대학교,大真大学
대원외국어고등학교,大元外國語高等學校
대순진리회,大巡真理會
