Polska,波兰
Księstwo legnickie,萊格尼察公國
Radomsko,拉多姆斯科
PZL-130 Orlik,PZL-130小鷹教練機
Jaworzno,亚沃日诺
Żagań,薩根
Powiat słubicki,斯武比采縣
Parowozownia Piła,皮拉车库小组
Powiat wschowski,弗斯霍瓦縣
Łęknica,文克尼察
Powiat zielonogórski,綠山城縣
Nidzica,尼濟察
Powiat świebodziński,希維博津縣
Europejskie Centrum Solidarności,欧洲团结工会中心
Obrona Westerplatte,西盤半島戰役
Polska Zjednoczona Partia Robotnicza,波兰统一工人党
Roztoczański Park Narodowy,羅茲托切國家公園
Powiat niżański,尼斯科縣
Ratusz w Opolu,奧波萊市政廳
Ozorków,奧佐爾庫夫
Puck,普茨克
Obóz zagłady w Bełżcu,贝乌热茨灭绝营
Obóz zagłady w Chełmnie nad Nerem,海乌姆诺灭绝营
Ustka,乌斯特卡
Cieszyn,切申
Działoszyce,賈沃希采
Lublin (KL),馬伊達內克滅絕營
Góry Świętokrzyskie,聖十字山脈
Powiat głogowski,格沃古夫縣
E30 (trasa europejska),欧洲E30公路
Groß-Rosen,格罗斯-罗森集中营
Radziejów,拉傑尤夫
Zamek Cesarski w Poznaniu,波茲南皇宮
Muzeum Sztuki i Techniki Japońskiej „Manggha”,日本美术技术博物馆漫画馆
Synagoga Chewra Lomdei Misznajot w Oświęcimiu,奧斯威辛猶太會堂
Polsko-niemiecki traktat o dobrym sąsiedztwie,德波睦鄰條約
Warmia,瓦尔米亚
Braniewo,布拉涅沃
Proszowice,普羅紹維采
Granica na Odrze i Nysie Łużyckiej,奧得河—尼斯河線
Wieruszów,維魯舒夫
Łask,瓦斯克
Poddębice,波德登比采
Plaszow,普瓦舒夫集中营
Brzeziny,布札希尼
Wąbrzeźno,翁布熱伊諾
Województwo leszczyńskie,萊什諾省
Miedwie,梅德維湖
Powiat chojnicki,霍伊尼采縣
Brzesko,布熱斯科
Staszów,斯塔舒夫
Sępólno Krajeńskie,森普爾諾-克拉延斯凱
Czeladź (miasto),切拉季
Mysłowice,梅斯沃維采
Leśna,萊希納
Złotoryja,茲沃托雷亞
Żukowo,茹科夫·(波蘭)
Kłobuck,克沃布茨克
Żnin,日寧
Limanowa,利馬諾瓦
Lipno,利普諾
Iłowa,伊沃瓦
Miechów,梅胡夫
Kamień Pomorski,波莫瑞地區卡緬
Bieruń,別倫
Dąbrowa Tarnowska,塔爾努夫的棟布羅瓦
Brzeźnicka Węgorza,布熱伊察文戈扎河
Golub-Dobrzyń,戈盧布-多布任
Rypin,雷平·(波蘭)
Myślenice,梅希萊尼采
Jasna Góra,光明山修道院
Muzeum Powstania Warszawskiego,華沙起義博物館
Województwo kaliskie (1975–1998),卡利什省
Aleksandrów Kujawski,庫亞維地區亞歷山德魯夫
Pieńsk,片斯克
Solec Kujawski,庫亞維地區索萊茨
Sławno,斯瓦夫諾
Białogard,比亞沃加德
Chełmno,海烏姆諾
Dzierzgoń,傑日貢
Lista najwyższych budynków w Warszawie,華沙摩天大樓列表
Pajęczno,帕延奇諾
I liga polska w piłce nożnej,波蘭足球乙級聯賽
Mogilno,莫吉爾諾
Tuchola,圖霍拉
Łęczyca,文奇察
Drawsko Pomorskie,波莫瑞地區德拉夫斯科
Opawa (dopływ Odry),奧帕瓦河
Rospuda,羅斯普達河
Nowa synagoga w Ostrowie Wielkopolskim,新猶太會堂·(大波蘭地區奧斯特魯夫)
Powiat żniński,日寧縣
Powiat karkonoski,耶萊尼亞古拉縣
Powiat dzierżoniowski,傑爾若紐夫縣
Powiat bolesławiecki,博萊斯瓦維茨縣
Powiat górowski,古拉縣
Order Odrodzenia Polski,波兰复兴勋章
Powiat kamiennogórski,卡緬納古拉縣
Powiat kłodzki,克沃茲科縣
Morskie Oko,海洋之眼
Powiat bieszczadzki,別什恰迪縣
1 Dywizja Pancerna (PSZ),波蘭第1裝甲師
Trzebiatów,切比亞圖夫
Pomorze Nadwiślańskie,東波美拉尼亞
Bytów,貝圖夫
Stutthof (KL),施图特霍夫集中营
Nowe,諾韋·(波蘭)
Bazylika archikatedralna św. Stanisława i św. Wacława w Krakowie,圣达尼老圣文策老圣殿总主教座堂
Powiat brodnicki,布羅德尼察縣
Czarna Woda (miasto),黑水鎮·(波蘭)
E40 (trasa europejska),欧洲E40公路
Kwidzyn,克维曾
Powiat gryfiński,格雷菲諾縣
Kleszczele,克萊什切萊
Sztab Generalny Wojska Polskiego,波兰总参谋部
Powiat jaworski,亞沃爾縣
Państwowe Muzeum Archeologiczne w Warszawie,國家考古學博物館·(波蘭)
Świętokrzyska (stacja metra),圣十字站
E75 (trasa europejska),欧洲E75公路
Złota (dopływ Sanu koło Kuryłówki),茲沃塔河
Centrum (stacja metra),中央站·(华沙地铁)
Stęszew,斯滕謝夫
Oborniki,奧博爾尼基
Słupca,斯武普察
Międzyrzecz,緬濟熱奇
Dębno,登布諾
Rusyfikacja,俄羅斯化
Kartuzy,卡爾圖濟
Choszczno,霍什奇诺
Człuchów,奇武胡夫
Sztum,什圖姆
Myślibórz,梅希利布日
V3,V-3炮
Bitwa nad Bzurą,布楚拉戰役
Szprotawa,什普羅塔瓦
Reprezentacja Polski w piłce nożnej mężczyzn,波蘭國家足球隊
Śląsk Wrocław (piłka nożna),弗羅茨瓦夫足球俱樂部
Konfederacja warszawska (1573),華沙聯盟協約
Węgliniec,文格利涅茨
Szczyrk,什切爾克
Bazylika katedralna Wniebowzięcia Najświętszej Maryi Panny w Pelplinie,佩尔普林圣母升天圣殿主教座堂
Ostrzeszów,奧斯切舒夫
Województwo pomorskie (II Rzeczpospolita),濱海省·(1919-1939)
Rail Baltica,波羅的海鐵路
Port lotniczy Kraków-Balice,克拉科夫若望保祿二世國際機場
Bitwa pod Kockiem (1939),科克戰役·(1939年)
Kopiec Kościuszki w Krakowie,柯斯丘什科丘
Kruszwica,克魯什維察
Goleniów,戈萊紐夫
Tarnowskie Góry,塔爾諾夫斯凱古雷
Kępno,肯普諾
Wda (rzeka),弗達河
Radymno,拉迪姆诺
Gliwice (stacja kolejowa),格利維采車站
Grajewo,格拉耶沃
Wysokie Mazowieckie,馬佐夫舍地區維索凱
Dukla,杜克拉
Ropczyce,羅普奇采
Ćmielów,奇梅盧夫
Bazylika archikatedralna św. Jakuba w Szczecinie,圣雅各伯圣殿总主教座堂
Nowe Warpno,新瓦爾普諾
Powiat nakielski,納克沃縣
Powiat jarosławski,雅羅斯瓦夫縣
Radzionków,拉濟翁科夫
Garwolin,加爾沃林
Jabłonowo Pomorskie,波莫瑞地區亞布沃諾沃
Mazowsze,马佐夫舍
Pałac Na Wyspie,瓦津基宮
Łazienki Królewskie w Warszawie,瓦金基公园
Łaziska Górne,上瓦濟斯卡
Wągrowiec,翁格羅維茨
ŁKS Łódź (piłka nożna),羅茲體育會
Kościół Świętych Apostołów Piotra i Pawła w Krakowie,圣伯多禄圣保禄圣殿·(克拉科夫)
Łebsko,韋巴湖
Łeba,韋巴
Wyżyna Krakowsko-Częstochowska,克拉科夫-琴斯托霍瓦高地
Pałac Kultury i Nauki,科学文化宫
Łazy,瓦濟
Łańcut,萬楚特
Łobżenica,沃布熱尼察
Łochów,沃胡夫
Czarna Białostocka,黑比亞沃斯托茨卡
Łapy,瓦佩
Łasin,瓦辛
Łabiszyn,瓦比申
Belweder w Warszawie,美景宮·(華沙)
Powiat legnicki,萊格尼察縣
Pałac Biskupów Krakowskich w Kielcach,凱爾采克拉科夫主教宮
Powiat wieruszowski,維魯舒夫縣
Prusice,普魯西采
Skarżysko-Kamienna,斯卡日斯科-卡緬納
Ty5,德意志国铁路50型蒸汽机车
Gryfice,格雷菲采
Zawadzkie,扎瓦茲凱
Biała Chorwacja,白克羅埃西亞
Pomnik Adama Mickiewicza w Krakowie,亚当·密茨凯维奇纪念碑·(克拉科夫)
Pomnik Adama Mickiewicza w Warszawie,亚当·密茨凯维奇纪念碑·(华沙)
Uniwersytet im. Adama Mickiewicza w Poznaniu,波兹南亚当·密茨凯维奇大学
Rządza (rzeka),容扎河
Zawisza Bydgoszcz (piłka nożna),薩維斯沙比得哥什足球俱樂部
Zawidów,扎維杜夫
Wel (dopływ Drwęcy),韋爾河·(德爾文察河支流)
Sanna (dopływ Wisły),桑納河·(維斯瓦河支流)
Mińsk Mazowiecki,馬佐夫舍地區明斯克
Kościoły Pokoju,亞沃爾和希維德尼察的和平教堂
Rzgów (gmina w województwie wielkopolskim),日古夫
Uniwersytet Zielonogórski,綠山城大學
Zbąszynek,兹邦希内克
Powiat raciborski,拉齊布日縣
Suwałki (gmina wiejska),苏瓦乌基乡
Narodowy Bank Polski,波蘭國家銀行
Golczewo,戈爾切夫
Baborów,巴博魯夫
Małogoszcz,馬沃戈什奇
Lechia Gdańsk (piłka nożna),格但斯克萊吉亞足球俱樂部
Wielki Młyn w Gdańsku,格但斯克大磨坊
Zduńska Wola,茲敦斯卡沃拉
Godło Polski,波蘭國徽
Stadion im. Zdzisława Krzyszkowiaka,茲齊斯瓦夫·克日什科維亞克體育場
Zduny,茲杜內
Zbąszyń,茲邦申
Archidiecezja częstochowska,天主教琴斯托霍瓦总教区
Superpuchar Polski w piłce nożnej,波蘭超級盃
Wołosaty,沃沃薩蒂河
Powiat rybnicki,里布尼克縣
Województwo nowosądeckie,新松奇省
Gdańsk Oliwa,格但斯克奧利瓦車站
Elma (rzeka),埃爾馬河
Bazylika archikatedralna św. Jana Chrzciciela w Warszawie,圣若翰洗者圣殿总主教座堂
Pałac Biskupów Krakowskich w Warszawie,克拉科夫主教宮
Katolicki Uniwersytet Lubelski Jana Pawła II,卢布林若望·保祿二世天主教大學
Krwawa niedziela (Bydgoszcz),血腥星期日·(1939年)
Żywiec,日維茨
Powiat toruński,托倫縣
Sobór metropolitalny Świętej Równej Apostołom Marii Magdaleny w Warszawie,抹大拉的馬利亞主教座堂·(華沙)
Polsko-niemiecki traktat graniczny,德波邊界條約
Muzeum Lotnictwa Polskiego w Krakowie,波兰航空博物馆
Kościół Świętej Trójcy w Warszawie (Śródmieście),聖三一教堂·(華沙)
Sieniawa,谢尼亚瓦
Przedbórz,普熱德布日
Pałac Myślewicki w Warszawie,梅希萊維茨基宮
Bolków,博爾庫夫
Kazimierz Dolny,卡齊米日多爾尼
Powiat włocławski,弗沃茨瓦韋克縣
Powiat wąbrzeski,翁布熱伊諾縣
Inowrocław,伊诺弗罗茨瓦夫
Powiat lipnowski,利普諾縣
Skrwa,斯克爾瓦河
Nowe Miasto Lubawskie,盧巴瓦新城
Powiat wodzisławski,沃濟斯瓦夫縣
Powiat rypiński,雷平縣
Teatr Wielki w Warszawie,華沙大劇院
Brynica (dopływ Czarnej Przemszy),布雷尼察河
Olimpia Grudziądz,奧林匹亞格魯瓊茲足球會
Stadion Narodowy im. Kazimierza Górskiego w Warszawie,國家體育場·(華沙)
Zamek Książ,克雄日城堡
Powiat świecki,希維切縣
Polska Akademia Nauk,波蘭科學院
Tramwaje w Szczecinie,什切青電車
Archikatedra św. Jana Chrzciciela we Wrocławiu,弗罗茨瓦夫主教座堂
Województwo radomskie,拉多姆省
Imielin,伊梅林
Kańczuga,坎丘加
Brzozów,布若祖夫
Gazeta Wyborcza,选举报
Powiat kolbuszowski,科爾布紹瓦縣
Ziemia lubuska,卢布斯兰
Krajenka,克拉延卡
Piaseczno,皮亞塞奇諾
Stadion w Gdańsku,格但斯克能源體育場
Stare Miasto w Krakowie,克拉科夫老城
Dzierżoniów,傑爾若紐夫
Czerwieńsk,切爾維延斯克
Powiat janowski,盧布林地區亞努夫縣
Cieszanów,切沙努夫
Tarnogród,塔爾諾格魯德
Mońki,蒙基
Tomaszów Lubelski,盧布林地區托馬舒夫
E65 (trasa europejska),欧洲E65公路
Powiat chełmski,海烏姆縣
Powiat lubartowski,盧巴爾圖夫縣
"Konferencja Narodów Zjednoczonych w sprawie Zmian Klimatu, Poznań 2008",2008年聯合國氣候變化大會
Gospodarka Polski,波蘭經濟
Powiat rycki,雷基縣
Powiat tomaszowski (województwo lubelskie),盧布林地區托馬舒夫縣
Powiat opolski (województwo lubelskie),盧布林地區奧波萊縣
Powiat lubelski,盧布林縣
Powiat parczewski,帕爾切夫縣
Powiat puławski,普瓦維縣
Gubałówka,古巴洛瓦卡山
Powiat radzyński,波德拉謝地區拉曾縣
Litwini,立陶宛人
Szklarska Poręba,什克拉爾斯卡-波倫巴
Gryfino,格雷菲諾
Powiat ostrowiecki,奧斯特羅維茨縣
Iwonicz-Zdrój,伊沃尼奇-茲德魯伊
Jedlicze,耶德利切
Powiat łukowski,武庫夫縣
Piastów,皮亞斯圖夫
Kościół św. Antoniego Padewskiego w Łodzi,聖安東尼教堂·(羅茲)
Powiat zamojski,扎莫希奇縣
Powiat otwocki,奧特沃茨克縣
Chojnice,霍伊尼采
Brzostek,布若斯泰克
Mauzoleum Hindenburga,坦能堡纪念碑
Powiat strzeliński,斯切林縣
Mistrzostwa Europy w Piłce Siatkowej Mężczyzn 2013,2013年歐洲男子排球錦標賽
Powiat makowski,馬庫夫縣
Wawel,瓦维尔山
Szadek,沙代克
Końskie,孔斯凱
Karpaty Wschodnie,東喀爾巴阡山脈
Ratusz we Wrocławiu,弗罗茨瓦夫市政厅
Stadion Poznań,波茲南市立球場
Stadion Miejski we Wrocławiu,弗罗茨瓦夫市立球场
Powiat łęczyński,文奇納縣
Port Lotniczy Gdańsk im. Lecha Wałęsy,格但斯克萊赫·華勒沙機場
Dynów,迪努夫
Powiat biłgorajski,比烏戈拉伊縣
Powiat bialski,比亞瓦-波德拉斯卡縣
Dzień Nauczyciela,教师节
Jagiellonia Białystok,乔治罗尼亚比亚韦斯托克足球俱乐部
Wyszków,維什庫夫
Gryfici,格里芬家族
Bzura,布楚拉河
Krzna,克日納河
Ciechanów,切哈努夫
Sucha Beskidzka,貝斯基德地區蘇哈
Otwock,奧特沃茨克
Sieradz,謝拉茲
Powiat średzki (województwo dolnośląskie),希隆斯克地區希羅達縣
Oblężenie Wrocławia (1945),布雷斯劳围城战
Mielec,梅萊茨
Janikowo,亞尼科沃
Polska w Konkursie Piosenki Eurowizji dla Dzieci,波蘭在歐洲青少年歌唱大賽之歷年表現
Powiat lipski,利普斯科縣
Aleksandrów Łódzki,羅茲地區亞歷山德魯夫
Fontanna Neptuna w Gdańsku,海神喷泉·(格但斯克)
Granice Polski,波蘭邊界
Konfederacja polsko-czechosłowacka,波蘭-捷克斯洛伐克邦聯
Granica polsko-rosyjska,波蘭—俄羅斯邊界
Wisła Kraków (piłka nożna),维斯瓦克拉科夫足球俱乐部
Puszcza Białowieska,比亞沃維耶扎原始森林
Polityka zagraniczna Polski,波兰外交
Dąb Bartek,巴爾特克·(樹)
Collegium Maius Uniwersytetu Jagiellońskiego,克拉科夫大學院
Mrągowo,姆龍戈沃
Powiat gołdapski,戈烏達普縣
Mikołów,米科武夫
Kościół św. Ducha w Warszawie,聖靈教堂·(華沙)
Uniwersytet Jagielloński,亞捷隆大學
Elbląg (rzeka),埃爾布隆格河
Zelów,澤盧夫
Odolanów,奧多拉努夫
Góra (miasto),古拉·(城镇)
Most Grunwaldzki we Wrocławiu,格倫瓦德橋
Tatry,塔特拉山脉
Legia Warszawa (piłka nożna),華沙萊吉亞足球俱樂部
Powiat świdnicki (województwo lubelskie),希維德尼克縣
Sandomierz,桑多梅日
Siły Powietrzne,波兰空军
Prusy (kraina historyczna),普鲁士·(地区)
Buk (miasto),布克·(波兰)
Knyszyn,克內申
Rotunda PKO w Warszawie,PKO圓形大廳
Liswarta,利斯瓦爾塔河
Piast Gliwice,格利維采皮亞斯特體育會
Brzeszcze,布熱什切
Getto lubelskie,卢布林隔都
Reprezentacja Polski w koszykówce mężczyzn,波蘭國家男子籃球隊
Diecezja tarnowska,天主教塔爾努夫教區
E77 (trasa europejska),欧洲E77公路
Babimost,巴比莫斯特
Arka Gdynia (piłka nożna),格丁尼亞阿爾卡足球俱樂部
Wielka Synagoga we Włodawie,弗沃達瓦猶太會堂
Transport kolejowy w Polsce,波蘭鐵路運輸
Pilica,皮利察河
Powiat aleksandrowski,亞歷山德魯夫縣
Powiat bydgoski,比得哥什縣
Stalowa Wola,斯塔洛瓦沃拉
Lidzbark Warmiński,瓦爾米亞地區利茲巴克
Węgorzewo,文戈熱沃
Starachowice,斯塔拉霍維采
Włodawa,弗沃達瓦
Muzeum Narodowe w Poznaniu,波茲南國家博物館
GIEKSA Arena,GKS體育場
Muzeum Narodowe w Krakowie,克拉科夫國家博物館
Rysy,萊希山
Ziemia chełmińska,庫爾默蘭
Katowice (stacja kolejowa),卡托維茲車站
Opole Główne,奧波萊火車總站
Gdynia Główna,格丁尼亞火車總站
Bydgoszcz Główna,比得哥什火車總站
Olsztyn Główny,奧爾什丁火車總站
Wejherowo,韋伊海羅沃
Łódź Fabryczna,罗兹法布雷奇纳车站
Gołdapa,戈烏達帕河
Płonia (rzeka),普沃尼亞河
Łobez,沃貝茲
Zgłowiączka (rzeka),茲格沃維翁奇卡河
Przasnysz,普扎斯内什
Filharmonia Bałtycka,波蘭波羅的海愛樂樂團
Barlinek,巴爾利內克
Kuchnia polska,波蘭飲食
Zamek Królewski w Warszawie,皇家城堡·(华沙)
Barwice,巴爾維采
Barycz (rzeka),巴雷奇河
Bartoszyce,巴爾托希采
Wybory prezydenckie w Polsce w 1990 roku,1990年波蘭總統選舉
Sierpień 1980,1980年8月波兰
Wielka akcja deportacyjna w getcie warszawskim,华沙大行动
Tymczasowy Rząd Jedności Narodowej,民族团结临时政府
E67 (trasa europejska),欧洲E67公路
GKS Bełchatów,貝烏哈圖夫體育俱樂部
Bukowo (jezioro w powiecie sławieńskim),布科沃湖
Barbakan w Krakowie,克拉科夫瓮城
Baranów Sandomierski,桑多梅日地区巴拉努夫
Barczewo,巴爾切沃
Bardo (miasto),巴爾多
Zalew Paczkowski,帕奇庫夫湖
Alstom Traxx,庞巴迪TRAXX
Pałac Przebendowskich w Warszawie,普熱本多夫斯基宮
Nysa,尼斯·(波兰)
Mazury,馬祖里亞
Bochnia,博赫尼亞
Sokółka,索庫烏卡
Powiat węgorzewski,文戈熱沃縣
Oberek,奧貝雷克
Poprad (rzeka),波普拉德河
Mrocza,姆羅恰
Kościół Zmartwychwstania Pańskiego w Katowicach,复活堂·(卡托维兹)
Bazylika Najświętszej Maryi Panny Licheńskiej w Licheniu Starym,圣母圣殿·(利亨)
Powiat garwoliński,加爾沃林縣
Oława,奧瓦瓦
Grodzisk Mazowiecki,馬佐夫舍地區格羅濟斯克
Powiat ciechanowski,切哈努夫縣
Choroszcz,霍羅什奇
Gmyrdek,格梅爾代克河
Pieniny,皮耶尼內山脈
Bitwa Warszawska,华沙战役·(1920年)
Hrubieszów,赫魯別舒夫
Krzanowice,克扎諾維采
Gąsawka,貢薩夫卡河
Turek,圖雷克
Porozumienia sierpniowe,格但斯克协议
Bar mleczny,牛奶吧
GKS Katowice (piłka nożna),卡托維治採礦運動俱樂部
Brok,布罗克·(马佐夫舍省)
Kuźnica (województwo podlaskie),庫茲尼察
Powiat zwoleński,茲沃倫縣
Okrągły Stół (Polska),波兰圆桌会议
Soła,索瓦河
Bytowa,貝圖瓦河
Olkusz,奧爾庫什
Głuchołazy,格武霍瓦濟
TVP Kultura,波蘭電視台文化頻道
Czaplinek,恰普利內克
Powiat przemyski,普熱梅希爾縣
Długi Targ,长广场
Lubsza (rzeka),盧布沙河
Radlin,拉德林
Pomnik Poległych Stoczniowców 1970,1970年死难造船厂工人纪念碑
Układ zgorzelecki,兹戈热莱茨条约
Kurówka (dopływ Wisły),庫魯夫卡河
Polska na letnich igrzyskach olimpijskich,奥林匹克运动会波兰代表团
Strzyżów,斯奇茹夫
Nieszawa,涅沙瓦
Pieniężno,佩尼恩日諾
Pomnik Obrońców Wybrzeża,西盘半岛纪念碑
Tatarzy w Polsce,利普卡韃靼人
Podbeskidzie Bielsko-Biała,波德比斯基足球俱樂部
Kujawy,庫亞維
Pogoń Szczecin,什切青波貢足球俱樂部
Władysławowo,弗瓦迪斯瓦沃沃
Drezdenko,德雷兹登科
Plac marsz. Józefa Piłsudskiego w Warszawie,畢蘇斯基廣場
Krosno,克羅斯諾
Sejny,塞伊内
Karpaty Zachodnie,西喀爾巴阡山脈
Powiat warszawski zachodni,西華沙縣
Jezioro Myśliborskie Wielkie,大米策爾堡湖
Noteć,諾泰奇河
Strzelcy podhalańscy,波德哈莱步枪兵
Sierpc,謝爾普茨
Zamek Piastowski w Gliwicach,格利維采城堡
Łemkowie,蘭科人
Puchar Polski w piłce nożnej mężczyzn,波蘭盃
Solaris Bus %26 Coach,索拉瑞斯客车
Wołomin,沃沃明
Historia Polski (1945–1989),波蘭歷史·(1945年—1989年)
Szydłowiec,希德沃維茨
Powiat brzeski (województwo małopolskie),布熱斯科縣
Powiat gorlicki,戈爾利采縣
Powiat lubański,盧班縣
Powiat lubiński,卢宾县
Brodnica,布罗德尼察
Powiat radziejowski,拉傑尤夫縣
Polska Partia Robotnicza,波兰工人党
Powiat lwówecki,希隆斯克地區勒武韋克縣
Powiat bełchatowski,貝烏哈圖夫縣
Trzebinia,切比尼亞
Drohiczyn (Polska),德羅希琴
Powiat będziński,本津縣
Wkra (dopływ Narwi),弗克拉河
Aula Leopoldina,利奥波德礼堂
Bazylika konkatedralna Wniebowzięcia Najświętszej Maryi Panny w Gdańsku,圣母升天圣殿·(格但斯克)
Nowy Dwór Mazowiecki,馬佐夫舍地區新莊園
Archidiecezja poznańska,天主教波兹南总教区
Sobór św. Aleksandra Newskiego w Łodzi,亞歷山大·涅夫斯基主教座堂·(羅茲)
Rynek Główny w Krakowie,中央集市广场·(克拉科夫)
Gwardia Warszawa (piłka nożna),華沙基華迪亞體育會
Orogeneza hercyńska,华力西造山运动
Dunajec,杜納耶茨河
Giżycko,吉日茨科
Ostrów Mazowiecka,馬佐夫舍地區奧斯特魯夫
Sławków (województwo śląskie),斯瓦夫庫夫
Świątynia Opatrzności Bożej w Warszawie,天佑国家圣殿
Padniewko,帕德纽克
Powiat nowotarski,新塔爾格縣
Tatry Wysokie,上塔特拉山
Lubniewice,盧布涅維采
Powiat krasnostawski,克拉斯內斯塔夫縣
Powiat stalowowolski,斯塔洛瓦沃拉縣
Warschau (KL),华沙集中营
Warszawa Centralna,华沙中央车站
Diecezja radomska,天主教拉多姆教区
Jasło,亚斯沃
Hel (miasto),海爾·(波蘭)
Łańcuch alpejsko-himalajski,阿尔卑斯带
Lubaczów,盧巴丘夫
Powiat bielski (województwo podlaskie),別爾斯克縣
Szczecinek,什切齊內克
Trzcianka,奇強卡
Socjaldemokracja Polska,波蘭社會民主黨
Powiat oławski,奧瓦瓦縣
Powiat polkowicki,波爾科維采縣
Powiat milicki,米利奇縣
Diecezja siedlecka,天主教谢德尔采教区
Powiat złotoryjski,茲沃托雷亞縣
Powiat chełmiński,海烏姆諾縣
Powiat zgorzelecki,茲戈熱萊茨縣
Powiat wrocławski,弗羅茨瓦夫縣
Powiat ząbkowicki,希隆斯克地區宗布科維采縣
Muzeum Wojska Polskiego w Warszawie,波蘭軍隊博物館
Powiat golubsko-dobrzyński,戈盧布-多布任縣
Powiat wołowski,沃武夫縣
Dwór Artusa w Gdańsku,阿特斯法院
Powiat trzebnicki,切布尼察縣
Ulica Długa w Gdańsku,长街·(格但斯克)
Drewniane kościoły południowej Małopolski,南部小波蘭木製教堂
Bielsk Podlaski,波德拉謝地區別爾斯克
Chełmża,海烏姆扎
Wolsztyn,沃尔什滕
C%26A,C%26A
Sąd Ostateczny (obraz Hansa Memlinga),最后的审判·(梅姆林)
Wałcz,瓦烏奇
Krynica Morska,克里尼查謨爾斯卡
Połczyn-Zdrój,波烏琴-茲德魯伊
Biała Piska,比亞瓦皮斯卡
Podział administracyjny Polski,波蘭行政區劃
Departament bydgoski,比得哥什部
Bełżyce,貝烏日采
Głuszyca,格武希察
Operacja Tannenberg,坦能堡行动
Masyw Czeski,波希米亞山
Działdowo,賈烏多沃
Kraśnik,克拉希尼克
Biała (dopływ Wisły),比亞瓦河·(維斯瓦河支流)
Powiat włodawski,弗沃達瓦縣
Obrona Helu,海爾半島戰役
Instytut Pamięci Narodowej,国家记忆研究院
Pogrom w Jedwabnem,耶德瓦布内大屠杀
Powiat szydłowiecki,希德沃維茨縣
Powiat sierpecki,謝爾普茨縣
Białobrzegi,比亞沃布熱吉
Białołęka,比亞沃文卡區
Kościerzyna,科希切日納
Oborniki Śląskie,希隆斯克地區奧博爾尼基
Powiat pruszkowski,普魯什庫夫縣
Powiat pułtuski,普烏圖斯克縣
Powiat wołomiński,沃沃明縣
Nogat,諾加特河
Powiat radomski,拉多姆縣
Powiat żyrardowski,日拉爾杜夫縣
Krapkowice,克拉普科維采
Dęblin,登布林
Wołów,沃武夫
Strzelce Krajeńskie,斯切爾采-克拉延斯凱
Olesno,奧萊斯諾
Powiat świdnicki (województwo dolnośląskie),希維德尼察縣
Wschowa,弗斯霍瓦
Milicz,米利奇
Namysłów,納梅斯武夫
Stan wojenny w Polsce (1981–1983),波兰戒严
Sulęcin,蘇倫欽
Głubczyce,格武布奇采
Trzebnica,切布尼察
Ulanów,乌兰努夫
Diecezja bydgoska,天主教比得哥什教区
Strzelin,斯切林
Sędziszów Małopolski,小波蘭地區森濟舒夫
Brda,布爾達河
Pruszków,普魯斯科夫
Biblioteka Narodowa (Warszawa),波蘭國家圖書館
Powiat płoński,普翁斯克縣
Powiat sokołowski,索科武夫縣
Powiat grudziądzki,格魯瓊茲縣
Biały Bór,比亞維布爾
Powiat przysuski,普日蘇哈縣
Kęty,肯蒂
Zamek w Łańcucie,萬楚特城堡
Powiat inowrocławski,伊諾弗羅茨瓦夫縣
Alwernia,阿爾韋尼亞
Jarosław (województwo podkarpackie),雅罗斯瓦夫
Karaimi,卡拉伊姆人
Nowy Wiśnicz,新維希尼奇
Gopło,戈普沃湖
Biebrza,別布扎河
Międzynarodowy Konkurs Pianistyczny im. Fryderyka Chopina,蕭邦國際鋼琴比賽
Bielawa,別拉瓦
Bielany (Warszawa),别拉内区
Bierutów,別魯圖夫
Bieżuń,別容
Pojezierze Mazurskie,馬祖爾湖區
Polonia Bytom (piłka nożna),比托姆波蘭人足球俱樂部
Samodzielny rektorat Bożego Miłosierdzia w Krakowie (Łagiewniki),救主慈悲圣殿·(克拉科夫)
Reda (miasto),雷達·(波蘭)
Siekierki (województwo zachodniopomorskie),谢凯尔基
Piaski (miasto),皮亞斯基
Kopiec Krakusa,克拉库斯丘
System oświaty w Polsce,波兰教育
Wieża Gocławska,俾斯麦塔·(斯德丁)
Oleszyce,奧萊希采
Sokołów Małopolski,小波蘭地區索科武夫
Radomyśl Wielki,大拉多梅希爾
Głowno,格沃夫諾
Konstantynów Łódzki,羅茲省康斯坦丁努夫
Radzyń Podlaski,波德拉謝地區拉曾
Mława,姆瓦瓦
Gostynin,戈斯蒂寧
Przeworsk,普熱沃斯克
Maków Mazowiecki,馬佐夫舍地區馬庫夫
Sępopol,森波波爾
Zamek w Ciechanowie,切哈努夫城堡
Diecezja ełcka,天主教埃乌克教区
Diecezja kielecka,天主教凯尔采教区
Diecezja kaliska,天主教卡利什教区
Jezioro Ełckie,埃烏克湖
Diecezja elbląska,天主教埃尔布隆格教区
Diecezja gliwicka,天主教格利维采教区
Diecezja koszalińsko-kołobrzeska,天主教科沙林-科沃布日格教区
Zamek Czocha,佐查城堡
Powiat węgrowski,文格魯夫縣
Powiat białobrzeski,比亞沃布熱吉縣
Polski hydraulik,波兰水管工
Orkan Kyrill,風暴基里爾
Województwo śląskie (II Rzeczpospolita),西里西亞自治省
Nisko,尼斯科
Warszawa Ochota (przystanek kolejowy),華沙奧喬塔車站
Tykocin,蒂科欽
Diecezja rzeszowska,天主教热舒夫教区
