Zygmunt I Stary,齐格蒙特一世
Robert Gadocha,罗伯特·加多哈
Henryk XI głogowski,亨里克十一世·(格沃古夫)
Halina Górecka,哈利娜·古雷茨卡
Piotr Małachowski (lekkoatleta),彼得·马瓦霍夫斯基
Andrzej Panufnik,安德热·帕努夫尼克
Józef Lipski (dyplomata),約瑟夫·利普斯基
Katarzyna Bachleda-Curuś,卡塔日娜·巴赫莱达-楚鲁希
Magda Linette,瑪格達·蕾妮特
Władysław Stecyk,瓦迪斯瓦夫·斯泰齐克
Sławomir Szmal,斯瓦沃米尔·什马尔
Jerzy Giedroyc,耶日·盖德罗伊茨
Jake Kaminski,杰克·卡明斯基
Paweł Pawlikowski,帕维乌·帕夫利科夫斯基
Jadwiga Jagiellonka (1457–1502),雅德薇加·雅蓋隆卡·(1457-1502)
Helga Haase,黑尔佳·哈泽
Ewa Kłobukowska,埃娃·克沃布科夫斯卡
Maja Włoszczowska,马娅·沃什乔夫斯卡
Jadwiga Jagiellonka (1513–1573),雅德薇加·雅蓋隆卡·(1513-1573)
Jadwiga Wajsówna,雅德维加·瓦伊斯
Katarzyna Niedźwiedzka,卡塔日娜·沃伊尼亚克
Jan Tomaszewski (piłkarz),扬·托马谢夫斯基
Grzegorz Lato,格热戈日·拉托
Kazimierz Zimny,卡齐米日·齐姆内
Mateusz Bartel,马特乌什·巴特尔
Józef Świeżyński,约瑟夫·希维任斯基
Józef Zapędzki,约瑟夫·扎彭兹基
Sala Burton,萨拉·伯顿
Józef Wesołowski,若瑟·韋索沃夫斯基
Walery Antoni Wróblewski,瓦列里·符卢勃列夫斯基
Krystyna Janda,克雷斯蒂娜·扬达
Władysław Żmuda (ur. 1954),瓦迪斯瓦夫·日穆达
Barbara Sobotta,芭尔芭拉·索博塔
Stefan Hula (ur. 1986),斯特凡·胡拉·(1986年)
Marian Kasprzyk,马里安·卡斯普日克
Jan Werner (lekkoatleta),扬·维尔纳
Szymon Kołecki,希蒙·科韦茨基
Michel Jazy,米歇尔·雅齐
Leszek Błażyński,莱谢克·布瓦任斯基
Władysław Odonic,瓦迪斯瓦夫·歐登尼采
Mirosław Waligóra,米罗斯瓦夫·瓦利古拉
Roger Verey,罗歇·韦雷
Marek Bajor,马雷克·巴约尔
Piotr Mowlik,彼得·莫夫利克
Czesław Kwieciński,切斯瓦夫·克维钦斯基
Wolf Messing,沃尔夫·梅辛
Lech Koziejowski,莱赫·科杰约夫斯基
Janusz Pyciak-Peciak,雅努什·佩恰克-佩恰克
Robert Siatka,羅伯特·西亞特卡
Marcin Komorowski,馬爾欽·科莫羅夫斯基
Tomasz Łapiński,托马什·瓦平斯基
Aleksander Szczygło,亚历山大·什奇格沃
Dariusz Goździak,达留什·戈伊齐亚克
Joachim Lelewel,约阿希姆·莱莱韦尔
Małgorzata Szumowska,瑪寇札塔·叔莫斯卡
Piotr Jaroszewicz,彼得·雅罗谢维奇
Maciej Gołąb,馬齊·戈翁布
Mariusz Stępiński,马里乌什·斯滕平斯基
Nechama Tec,尼查马·泰克
Roman Opałka,罗曼·奥帕乌卡
Ludwik Silberstein,盧迪威格·席柏斯坦
Paula Kania-Choduń,保拉·卡妮雅
Wanda Wiłkomirska,万达·维乌科米尔斯卡
Sebastian Mila,塞巴斯蒂安·米拉
Witold Gombrowicz,維爾托德·貢布羅維奇
Krystyna Łybacka,克里斯蒂娜·维巴茨卡
Michał Przysiężny,米哈烏·柏茲西茲尼
Mariusz Wlazły,馬里烏斯·沃拉茲里
Monika Michalik,莫妮卡·米哈利克
Mariusz Jurkiewicz,马里乌什·尤尔凯维奇
Christopher Ferguson,克里斯托弗·弗格森
Stefan Liv,斯特凡·利夫
Jacek Wszoła,亚采克·弗绍瓦
Rafał Blechacz,拉法乌·布莱哈奇
Richard Pipes,理查德·派普斯
Artur Partyka,阿图尔·帕尔蒂卡
Tadeusz Ślusarski,塔德乌什·希卢萨尔斯基
Joanna Chmielewska,乔安娜·奇米勒斯卡
Józef Szmidt,约瑟夫·施密特
Maciej Łasicki,马切伊·瓦西茨基
Ryszard Staniek,理夏德·斯塔涅克
Tomasz Wieszczycki,托马什·维什奇茨基
Henryk Wawrowski,亨里克·瓦夫罗夫斯基
Mariusz Błaszczak,马里乌什·布瓦什恰克
Paweł Woicki,帕維爾·沃爾克基
Władysław Komar,瓦迪斯瓦夫·科马尔
Beata Poźniak,贝娅塔·波兹尼亚克
Joachim Halupczok,约阿希姆·哈卢普乔克
Katarzyna Pawłowska,凯瑟琳·帕弗沃夫斯卡
Tadeusz Rozwadowski,塔德烏什·約爾丹-羅茲瓦多夫斯基
Artur Wojdat,阿图尔·沃伊达特
Magdalena Piekarska,玛格达莱娜·皮耶卡尔斯卡-特瓦尔多赫尔
Jadwiga Barańska,雅德维加·巴兰斯卡
Czesław Kiszczak,切斯瓦夫·基什恰克
Oskar Lange,奥斯卡·朗格
Nadieżda Zięba,娜蒂斯达·希尔巴
Li Qian (polska tenisistka stołowa),李倩·(乒乓球运动员)
Bolesław I Wysoki,波列斯瓦夫一世·(西里西亞)
Moïse Kisling,莫伊斯·基斯林
Piotr Wyszomirski,彼得·维绍米尔斯基
Mateusz Jachlewski,马特乌什·亚赫莱夫斯基
Wolha Konan,奥尔佳·科农
Paweł Piwko,帕维乌·皮夫科
Marcin Wichary,马尔钦·维哈里
Patryk Kuchczyński,帕特里克·库赫琴斯基
Łukasz Pawłowski,武卡什·帕夫沃夫斯基
Andrzej Kazimierz Potocki,安杰伊·卡杰米日·波托茨基
Michał Rola-Żymierski,米哈尔·罗拉-日梅尔斯基
Layvin Kurzawa,利雲·古沙華
Leon Petrażycki,莱翁·彼得拉日茨基
Franciszek Gągor,弗朗齐谢克·贡戈尔
Audrys Bačkis,奧德里斯·若瑟·巴契基斯
Celina Jesionowska,采莉纳·耶肖诺夫斯卡
Halszka Osmólska,哈茲卡·奧斯穆斯卡
Urszula Kielan,乌尔舒拉·凯兰
Awraham Stern,亚伯拉罕·斯特恩
Agnieszka Wieszczek-Kordus,阿格涅什卡·维什切克-科尔杜斯
Sylwia Gruchała,瑟尔维娅·格鲁哈瓦
Michał Rogalski (badmintonista),麦克·罗加尔斯基
Jan Czochralski,扬·柴可拉斯基
Bartosz Bereszyński,巴托斯·貝雷辛內斯基
Leopold Infeld,利奧波德·英費爾德
Henryk Mikołaj Górecki,亨里克·戈雷茨基
Edward Śmigły-Rydz,爱德华·雷兹-希米格维
Emilia Plater,艾米利亚·普莱特
Ladislao Kubala,庫巴拉·拉迪斯勞
Wacław Sierpiński,瓦茨瓦夫·谢尔宾斯基
Roger Guerreiro,羅傑爾·蓋雷羅
Przemysław Tytoń,普热梅斯瓦夫·蒂通
Waldemar Malak,瓦尔德马·马拉克
Siemowit III,謝莫維特三世
Bryan Rabello,拉韦略
Marek Gołąb,马雷克·戈翁布
Kazimierz Czarnecki (sportowiec),卡齐米日·恰尔内茨基
Kamil Stoch,卡米尔·斯托赫
Krzysztof Kosedowski,克日什托夫·科塞多夫斯基
Robert Korzeniowski,罗伯特·科热尼奥夫斯基
Maciej Żurawski,馬歇伊·茹拉夫斯基
Kazimierz Nowak (podróżnik),卡齐米日·诺瓦克
Karol Borsuk,卡罗尔·博苏克
Hans Ziglarski,汉斯·齐格拉尔斯基
Bronisław Malinowski (sportowiec),布罗尼斯瓦夫·马利诺夫斯基
Thiago Cionek,蒂亞戈·西奥内克
Michał Łogosz,麦克·罗高斯
Robert Orzechowski,罗伯特·奥热霍夫斯基
Ludwik Waryński,卢德维克·瓦伦斯基
Ignacy Mościcki,伊格纳齐·莫希奇茨基
Mieczysław Najdorf,米格尔·纳依道夫
Marcin Wasilewski (piłkarz),馬爾欽·瓦西萊夫斯基
Samuel Reshevsky,塞缪尔·雷谢夫斯基
Mariusz Lewandowski,馬里烏什·萊萬多夫斯基
Aleksander Wolszczan,亞歷山大·沃爾茲森
Andrzej Sapkowski,安傑·薩普科夫斯基
Ryszard Wolny,理夏德·沃尔内
Aleksander Cichoń,亚历山大·齐洪
Grzegorz Tkaczyk,格热戈日·特卡奇克
Jerzy Kukuczka,捷西·库库奇卡
Edward Gierek,爱德华·盖莱克
Stanisław Wyspiański,斯坦尼斯拉夫·维斯皮安斯基
Henryk Szeryng,亨利克·谢林
Paweł Brożek,帕維烏·布羅熱克
Michał Kubiak (siatkarz),米扎爾·庫比亞克
Fryderyk I legnicki,腓特烈一世·(萊格尼察)
Ludwik I brzeski,路德維克一世·(布熱格)
Tomasz Kuszczak,湯馬士·古斯錫
Antoni Zajkowski,安东尼·扎伊科夫斯基
Jerzy Kulej,耶日·库莱伊
Grzegorz Kosok,格雷澤戈爾茨·科索克
Dariusz Dudka,達里烏斯·杜德卡
Paul Konchesky,保罗·孔切斯基
Władysław Kozakiewicz,瓦迪斯瓦夫·科扎凯维奇
Włodzimierz Lubański,沃齐米日·卢班斯基
Bartosz Bosacki,巴尔托什·博萨茨基
Michał Żewłakow,米哈爾·熱夫拉科夫
Piotr Szełochonow,彼得·伊拉里昂诺维奇·舍罗霍诺夫
Herschel Grynszpan,赫佐爾·格林斯潘
Jerzy Kaczmarek (szermierz),耶日·卡奇马雷克
Leszek Blanik,萊謝克·布拉尼克
Marek Dąbrowski (szermierz),马雷克·东布罗夫斯基
Horst Szymaniak,霍斯特·希马尼亚克
Andrzej Bartkowiak (filmowiec),安德瑞·巴寇亞克
Witold Woyda,维托尔德·沃伊达
Arkadiusz Godel,阿尔卡迪乌什·戈德尔
Jerzy Gorgoń,耶日·戈尔贡
Eddie Slovik,埃迪·斯洛維克
Rafał Lemkin,拉斐爾·萊姆金
Emanuel Ax,伊曼纽尔·艾克斯
Wojciech Fibak,沃伊切赫·菲巴克
Adam Matuszczyk,亞當·馬圖什奇克
Henryk Jabłoński,亨里克·雅布翁斯基
Witold Pilecki,威托德·皮雷茨基
Jacek Bąk (ur. 1973),雅塞克·巴克
Marcin Mroziński,马尔钦·米罗辛希
Solomon Asch,所罗门·阿希
Bogusław VIII,波吉斯瓦夫八世
Stanisław Kania,斯坦尼斯瓦夫·卡尼亞
Akiba Rubinstein,阿基巴·鲁宾斯坦
Marcin Kamiński (piłkarz),馬爾琴·卡明斯基
Kamil Grosicki,卡米爾·格羅西茨基
Jan Dołgowicz,扬·多乌戈维奇
Richard Nowakowski,里夏德·诺瓦科夫斯基
Matthias Ostrzolek,马蒂亚斯·奥斯特若莱克
Mieczysław Nowak (sztangista),米奇斯瓦夫·诺瓦克
Wojciech Kilar,沃伊切赫·基拉尔
Grzegorz Sandomierski,格熱戈日·山杜米爾斯基
Mieczysław Karłowicz,米奇斯拉夫·卡洛维茨
Aneta Konieczna,阿内塔·科涅奇纳
Egon Franke (szermierz),埃贡·弗兰克
Leopold Trepper,利奥波德·特雷伯
Konrad IV Starszy,康拉德四世·(奧萊希尼察)
Julia Michalska,尤利娅·米哈尔斯卡
Edward Barcik,爱德华·巴尔齐克
Magdalena Fularczyk-Kozłowska,玛格达莱娜·富拉尔奇克
Elwira Seroczyńska,埃尔维拉·塞罗琴斯卡
Eugeniusz Łazowski,尤金·拉佐斯基
Ewelina Ptak,埃韦利娜·普塔克
Ewa Trzebińska,埃娃·切宾斯卡
Maurycy Moszkowski,莫里茨·莫什科夫斯基
Andrzej Głąb,安杰伊·格翁布
Andrzej Grubba,安杰伊·格鲁巴
Andrzej Badeński,安杰伊·巴登斯基
Zbigniew Bródka,兹比格涅夫·布鲁德卡
Zofia Noceti-Klepacka,索非娅·克莱帕茨卡
Katarzyna Klata,卡塔日娜·克拉塔
Joanna Nowicka,约安娜·诺维茨卡
Józef Grzesiak (bokser),约瑟夫·格热夏克
Stanisław Dragan,斯坦尼斯瓦夫·德拉甘
Kazimierz Adach,卡齐米日·阿达赫
Helena Pilejczyk,海伦娜·皮莱伊奇克
Francis Smerecki,弗朗西斯·斯梅雷茨基
Franciszek Szymczyk,弗朗齐歇克·希姆奇克
Mieczysław Nowicki,米奇斯瓦夫·诺维茨基
Andrzej Skrzydlewski,安杰伊·斯克日德莱夫斯基
Kazimierz Kordylewski,卡齊米日·柯迪萊夫斯基
Edward Babiuch,爱德华·巴比乌赫
Jerzy Pilch,耶日·皮尔赫
Andrzej Jarosik,安杰伊·雅罗西克
Balthus,巴尔蒂斯
Jakub Słowik,雅庫布·斯沃維克
Bogdan Wenta,波格丹·文塔
Jan Kowalczyk (jeździec),扬·科瓦尔奇克
Mordechaj Anielewicz,莫德哈伊·阿涅萊維奇
Andrzej Juskowiak,安杰伊·尤斯科维亚克
Andrzej Żuławski,安德烈·左拉斯基
Kazimierz Dąbrowski (psycholog),卡齊米日·東布羅夫斯基
Grzegorz Nowak (wioślarz),格热戈日·诺瓦克
Piotr Paleczny,彼得·帕莱奇内
Norbert Ozimek,诺贝特·奥齐梅克
Iwona Dzięcioł-Marcinkiewicz,伊沃娜·马尔钦凯维奇
Jakub Krzewina,雅各布·克热维纳
Edmund Wnuk-Lipiński,艾德蒙·努克-李平斯基
Andrzej Strejlau,安杰依·斯特雷劳
Tadeusz Różewicz,塔德烏什·魯熱維奇
Andrzej Piątkowski,安杰伊·皮翁特科夫斯基
Bolesław IV warszawski,波列斯瓦夫四世·(華沙)
Irena Szydłowska,伊雷娜·希德沃夫斯卡
Andrzej Wroński,安杰伊·弗龙斯基
Andrzej Zieliński (lekkoatleta),安杰伊·杰林斯基
Barbara Grabowska,芭芭拉·格拉博夫斯卡
Stanisław Mikołajczyk,斯坦尼斯瓦夫·米科瓦伊奇克
Artur Jędrzejczyk,亞瑟·耶德爾澤西克
Aleksander Małecki (1901-1939),亚历山大·马韦茨基
Kazimierz Laskowski (sportowiec),卡齐米日·拉斯科夫斯基
Marian Suski,马里安·苏斯基
Oda Schottmüller,欧达·绍特穆勒
Marian Kuszewski,马里安·库谢夫斯基
Janusz Olech,雅努什·奥莱赫
Karol Zalewski,卡羅爾·扎萊夫斯基
Paweł Adamowicz,帕维尔·阿达莫维奇
Paweł Skrzecz,帕维乌·斯克热奇
Krystyna Czajkowska,克雷斯蒂娜·恰伊科夫斯卡
Jan Władysław Woś,扬·瓦迪斯瓦夫·沃希
Marta Ptaszyńska,馬達·阿絲妮西卡
J.R. Celski,杰·亚·塞斯基
Andrzej Supron,安杰伊·苏普龙
Tadeusz Friedrich,塔德乌什·弗里德里赫
Jerzy Zabielski,耶日·扎别尔斯基
Władysław Dobrowolski,瓦迪斯瓦夫·多布罗沃尔斯基
Jan Tyranowski,揚·蒂蘭諾夫斯基
Jan Niecisław Baudouin de Courtenay,博杜恩·德·库尔德内
Alfred Korzybski,阿尔弗雷德·柯日布斯基
Florian Siwicki,弗洛里安·西维茨基
Waldemar Legień,瓦尔德马·莱金
Janusz Bobik,雅努什·博比克
Janusz Ślązak,雅努什·希隆扎克
Jan Woleński,一月·沃兰斯基
Anna Kiełbasińska,安娜·凯乌巴辛斯卡
Michał Wojnicz,威尔弗雷德·伏尼契
Joanna Wołosz,喬安娜·沃沃什
Krzysztof Mączyński,克日什托夫·马辛斯基
Ludwik Fleck,路德維克·弗萊克
Pati Yang,帕蒂·杨
Joanna Kulig,约安娜·库利格
Aleksy Antkiewicz,阿莱克西·安特凯维奇
Wojciech Rudy,沃伊切赫·鲁迪
Bronisław Bebel,布罗尼斯瓦夫·贝贝尔
Mirosław Rybaczewski,米罗斯瓦夫·雷巴切夫斯基
Tadeusz Walasek,塔德乌什·瓦拉塞克
Janusz Różycki (szermierz),雅努什·鲁日茨基
Łukasz Kubot,盧卡斯·古博特
Kazimierz Deyna,卡齐米日·德厄纳
Jerzy Andrzejewski,耶日·安德热耶夫斯基
Marcin Brzeziński,马尔钦·布热津斯基
Ben Sahar,賓·沙夏
Cyprian Kamil Norwid,齐普里安·诺尔维德
Adam Jerzy Czartoryski,亚当·耶日·恰尔托雷斯基
Kasia Struss,卡莎·斯特拉斯
Tadeusz Rutkowski (sztangista),塔德乌什·鲁特科夫斯基
Maciej Rybus,馬切伊·里布斯
Adam Cwalina,亚当·克瓦林纳
Władysław Podkowiński,瓦迪斯瓦夫·波德科溫斯基
Grzegorz Wojtkowiak,格熱戈日·沃伊特科維亞克
Henryk Józewski,亨利克·约瑟夫斯基
Marian Kozicki,马里安·科齐茨基
Mariusz Stańczuk,马里乌什·斯坦丘克
Łukasz Garguła,卢卡兹·加尔古拉
Dariusz Koseła,达留什·科塞瓦
Andrew Ornoch,安德鲁·奥诺赫
Wiesław Gawłowski,维斯瓦夫·加沃夫斯基
Włodzimierz Sadalski,沃齐米日·萨达尔斯基
Jan Dydak,扬·迪达克
Mikołaj Burda,米科瓦伊·布尔达
Mirosław Handke,米罗斯瓦夫·汉德克
Natalia Madaj,纳塔利娅·马达伊
Andrzej Sokołowski (piłkarz ręczny),安杰伊·索科沃夫斯基
Tadeusz Olechowski,塔德乌什·奥莱霍夫斯基
Jerzy Melcer,耶日·梅尔采尔
Kazimierz Szczerba,卡齐米日·什切尔巴
Leszek Swornowski,莱谢克·斯沃尔诺夫斯基
Maciej Czyżowicz,马切伊·奇若维奇
Piotr Grabarczyk,彼得·格拉巴尔奇克
Piotr Chrapkowski,彼得·赫拉普科夫斯基
Natalia Czerwonka,纳塔利娅·切尔翁卡
Jan Krenz-Mikołajczak,扬·克伦兹-米科瓦伊恰克
Franciszek Bronikowski,弗朗齐歇克·布罗尼科夫斯基
Zbigniew Romaszewski,兹比格涅夫·罗曼舍夫斯基
Bolesław Drewek,博莱斯瓦夫·德雷韦克
Andrzej Szymczak,安杰伊·希姆恰克
Ryszard Przybysz,理夏德·普日贝什
Zygfryd Kuchta,齐克弗里特·库赫塔
Zdzisław Antczak (piłkarz ręczny),兹齐斯瓦夫·安特恰克
Włodzimierz Zieliński (piłkarz ręczny),沃齐米日·杰林斯基
Józefa Ledwig,约瑟法·莱德维格
Piotr Gacek (siatkarz),皮奧特·加切克
Zofia Szcześniewska-Bryszewska,索非娅·什琴希涅夫斯卡
Beata Mikołajczyk,贝娅塔·米科瓦伊奇克
Małgorzata Dydek,瑪歌查塔·迪德克
Władysław Strzemiński,弗拉迪斯瓦夫·斯特泽敏斯基
Marta Walczykiewicz,玛尔塔·瓦尔奇凯维奇
Karolina Naja,卡罗利娜·纳亚
Jerzy Ustupski,耶日·乌斯图普斯基
Stanisław Urban (wioślarz),斯坦尼斯瓦夫·乌尔班
Edward Kobyliński,爱德华·科贝林斯基
Henryk Budziński,亨里克·布津斯基
Leon Birkholz,莱昂·比尔克霍尔茨
Ernest Malinowski,埃內斯特·馬里諾夫斯基
Ary Sternfeld,阿里·施特恩费尔德
Paweł Fajdek,帕维乌·法伊德克
Michele Baranowicz,麥克·巴拉諾維茨
Czesława Kościańska,切斯瓦娃·科希恰因斯卡
Stanisław Pestkowski,斯坦尼斯拉夫·佩斯特科夫斯基
Edward Skorek,爱德华·斯科雷克
Bartłomiej Sienkiewicz,巴特沃梅伊·显克微支
Dariusz Białkowski,达留什·比亚乌科夫斯基
Killion Munyama,基利永·蒙澤萊·蒙亞馬
Aleksander Imich,亞歷山大·伊米奇
Czesław Michniewicz,切斯瓦夫·米赫涅维奇
Eric Piatkowski,埃里克·皮亚考斯基
Vincent Boryla,文斯·博里拉
Tomasz Makowski (kartograf),湯瑪斯·馬科夫斯基·(製圖師)
Rafał Kuptel,拉法乌·库普泰尔
Irina Zaricka,伊琳娜·扎里茨卡娅
Olek Czyż,奧萊克·切茨
Paweł Zatorski,帕维乌·扎托尔斯基
Danuta Kordaczuk,达努塔·科尔达丘克
Józef Lange,约瑟夫·朗格
Adam Królikiewicz,亚当·克鲁利凯维奇
Jan Łazarski,扬·瓦扎尔斯基
Jerzy Jokiel,耶日·约凯尔
Piotr Malarczyk,皮奥特尔·马拉尔茨克
Dawid Tomala,達維德·托馬拉
Kazimierz Aleksander Gzowski,卡齐米日·格佐夫斯基
Kazimierz Szosland,卡齐米日·绍斯兰
Zdzisław Kawecki,兹齐斯瓦夫·卡韦茨基
Seweryn Kulesza,塞韦伦·库莱沙
Henryk Leliwa-Roycewicz,亨里克·莱利瓦-罗伊采维奇
Adam Papée,亚当·帕佩
Rafał Sznajder,拉法乌·施奈德
Przemysław Zamojski,普雷澤米斯勞·扎莫伊斯基
Bartłomiej Pawełczak,巴尔特沃梅伊·帕韦乌恰克
Jacek Yerka,吉斯凯·尤科
Łukasz Broź,盧卡什·布羅茲
Józef Tracz,约瑟夫·特拉奇
Ryszard Zub,理夏德·祖布
Sergiusz Prytycki,谢尔盖·普里季茨基
Renata Mauer-Różańska,雷娜塔·毛厄尔-鲁然斯卡
Łukasz Teodorczyk,盧卡斯·迪奧多斯基
Emil Krukowicz-Przedrzymirski,埃米尔·克鲁科维奇-普热杰米尔斯基
Krzysztof Kołomański,克日什托夫·科沃曼斯基
Tomasz Stankiewicz,托马什·斯坦凯维奇
Michał Staniszewski,米哈乌·斯坦尼谢夫斯基
Wacław Stachiewicz,瓦茨瓦夫·斯塔切维奇
Robert Skibniewski,羅伯特·斯基布涅夫斯基
Piotr Cieśla,彼得·切希拉
Marcin Jałocha,马尔钦·亚沃哈
Łukasz Koszarek,盧卡斯·科斯薩里科
Nina Andrycz,尼娜·安德雷奇
Wang Zengyi,王增羿
Wiesław Hartman,维斯瓦夫·哈特曼
Andrzej Cikoto,祁高德
Tomasz Różycki (poeta),多瑪殊·洛捷基
Elżbieta Porzec-Nowak,埃尔日别塔·波热茨
Monika Jagaciak,莫妮卡·雅克
Bartosz Salamon,巴托斯·薩拉蒙
Adam Hrycaniuk,亞當·海簡尼克
Adam Łapeta,亞當·拉佩塔
Adam Waczyński,亞當·華欽斯基
Miłosz Bernatajtys,米沃什·贝尔纳塔伊蒂斯
Paweł Rańda,帕维乌·兰达
Krzysztof Bosak,克齐斯茨托夫·博萨克
Daniela Walkowiak,达妮埃拉·瓦尔科维亚克-皮莱茨卡
Anna Świrszczyńska,安娜·希维尔什琴斯卡
Magdalena Frąckowiak,玛德莲娜·弗莱克维亚
Izaak Grünbaum,伊扎克·格伦鲍姆
Edmund Biernacki,埃德蒙·比尔奈基
Adam Smelczyński,亚当·斯梅尔琴斯基
Agnieszka Czopek,阿格涅什卡·乔佩克
Dariusz Wódke,达留什·武德凯
Daniel Jędraszko,丹尼尔·延德拉什科
Dardan Berisha,達爾丹·貝里沙
Jerzy Kraska,耶日·克拉斯卡
Joachim Marx,约阿希姆·马克思
Marian Ostafiński,马里安·奥斯塔芬斯基
Alfred Kałuziński,阿尔弗雷德·卡武津斯基
Bohdan Gonsior,博赫丹·贡肖尔
George Modelski,喬治·莫德爾斯基
Aaron Cel,阿隆·塞爾
Leon Ludwik Sapieha,莱昂·萨皮耶哈
Andrzej Bednarz,安迪施積·比納斯
Andrzej Gronowicz,安杰伊·格罗诺维奇
Halina Aszkiełowicz,哈利娜·阿什凯沃维奇-沃伊诺
Karolina Kucharczyk,卡罗利娜·库哈尔奇克
Ryszard Szymczak,理夏德·希姆恰克
Karol Linetty,卡羅爾·利内蒂
Eugeniusz Kamiński (aktor),欧根纽什·卡明斯基
Grzegorz Stellak,格热戈日·斯泰拉克
Grzegorz Kotowicz,格热戈日·科托维奇
Grzegorz Cziura,格热戈日·丘拉
Andrzej Bek,安杰伊·贝克
Adam Wiśniewski (piłkarz ręczny),亚当·维希涅夫斯基
Adam Tomasiak,亚当·托马夏克
Adam Skorek,亚当·斯科雷克
Agnieszka Skrzypulec,阿格涅什卡·斯克日普莱茨
Izabela Dylewska,伊莎贝拉·迪莱夫斯卡
Bartłomiej Bonk,巴尔特沃梅伊·邦克
Katarzyna Wasick,卡塔日娜·瓦西克
Henryk Niedźwiedzki,亨里克·涅季维兹基
Brook Billings,布鲁克·比林斯
Ludwik Rajchman,路德維克·萊赫曼
Wojciech Kopczuk,沃伊切赫·科普丘克
Jadwiga Marko-Książek,雅德维加·克西翁热克
Jacek Streich,亚采克·斯特雷赫
Jadwiga Abisiak,雅德维加·鲁特科夫斯卡
Aneta Szczepańska,阿内塔·什切潘斯卡
Krzysztof Mikołaj Radziwiłł,克日什托夫·米科瓦伊·拉齐维乌
Jacek Fafiński,亚采克·法芬斯基
Leszek Kosedowski,莱谢克·科塞多夫斯基
Kazimierz Mijal,卡齐米日·米雅尔
Krystyna Ostromęcka,克雷斯蒂娜·奥斯特罗门茨卡
Krystyna Krupa,克雷斯蒂娜·克鲁帕
Krystyna Kobylańska,克里斯蒂娜·科比蘭斯卡
Krystyna Jakubowska,克雷斯蒂娜·雅库博夫斯卡
Helena Rakoczy,海伦娜·拉科奇
Mieczysław Wojczak,米奇斯瓦夫·沃伊恰克
Janusz Brzozowski,雅努什·布若佐夫斯基
Filip Kubski,NEO·(电玩家)
Tadeusz Klimecki,塔德乌什·克里梅茨基
Iga Baumgart-Witan,伊加·鲍姆加特-维坦
Kazimierz Kelles-Krauz,卡西米尔·凯勒斯-克劳斯
Lidia Chmielnicka-Żmuda,利迪娅·赫梅尔尼茨卡-日穆达
Maciej Gajos,馬切伊·加諾斯
Janusz I Starszy,雅努斯一世
Beata Szydło,貝婭塔·席多
Franciszka Mann,弗朗切斯卡·曼恩
Marek Witkowski (kajakarz),马雷克·维特科夫斯基
Hanna Busz,汉娜·布什
Jerzy Opara,耶日·奥帕拉
Maria Golimowska,玛丽亚·戈利莫夫斯卡
Marek Zając (piłkarz),馬里科
Lech Łasko,莱赫·瓦斯科
Janusz Liberkowski,亞努什·利貝爾科夫斯基
Jerzy Przybylski,耶日·普日比尔斯基
Jerzy Wiatr,葉基·維亞特爾
Zuzanna Bijoch,蘇珊娜·碧約
Maciej Freimut,马切伊·弗雷穆特
Daniel Trojanowski,达尼埃尔·特罗扬诺夫斯基
Marian Tałaj,马里安·塔瓦伊
Romuald Muklewicz,罗穆亚尔德·穆克列维奇
Maria Śliwka,玛丽亚·希利夫卡
Joanna Hentka,约安娜·莱什琴斯卡
Ryszard Stadniuk,理夏德·斯塔德纽克
Mateusz Zachara,马特乌什·扎恰拉
Małgorzata Dłużewska,马乌戈热塔·德乌热夫斯卡
Małgorzata Książkiewicz,马乌戈热塔·克西翁日凯维奇
Michał Szpakowski,米哈乌·什帕科夫斯基
Ryszard Bosek,理夏德·博塞克
Stanisław Wróblewski (zapaśnik),斯坦尼斯瓦夫·弗鲁布莱夫斯基
Józef Trenkwald,约瑟夫·特伦克瓦尔德
Józef Kustroń,约瑟夫·库斯特龙
Kajetan Broniewski,卡耶坦·布罗涅夫斯基
Natalia Maliszewska,纳塔利娅·马利谢夫斯卡
Natalia Karp,娜塔莉亞·卡普
Michał Cieślak (wioślarz),米哈乌·切希拉克
Andrzej Cofalik,安杰伊·措法利克
Mirosław Rzepkowski,米罗斯瓦夫·热普科夫斯基
Waldemar Kikolski,瓦尔德马·基科尔斯基
Stefan Kapłaniak,斯特凡·卡普瓦尼亚克
Stefan Szlaszewski,斯蒂凡·施拉舍夫斯基
Wojciech Jankowski (wioślarz),沃伊切赫·扬科夫斯基
Tadeusz Trojanowski,塔德乌什·特罗扬诺夫斯基
Wojciech Kurpiewski,沃伊切赫·库尔皮耶夫斯基
Agnieszka Kobus-Zawojska,阿格涅什卡·科布斯-扎沃伊斯卡
Wanda Wiecha-Wanot,万达·维哈
Wiesław Gawlikowski (sportowiec),维斯瓦夫·加夫利科夫斯基
Szymon Marciniak,西蒙·馬齊尼亞克
Patryk Dobek,帕特里克·多貝克
Patrycja Wyciszkiewicz-Zawadzka,帕特蕾恰·维齐什凯维奇
Paweł Olkowski,帕維爾·奥爾科夫斯基
Włodzimierz Brus,弗拉基米尔·布鲁斯
Władysław Zieliński (kajakarz),瓦迪斯瓦夫·杰林斯基
Włodzimierz Stefański,沃齐米日·斯特凡斯基
Agnieszka Korneluk,阿格涅什卡·科尔内卢克
Andrzej Duda,安杰伊·杜达
